context: So we need your songs to response:	heal the Star Whale's sickness!
context: You promised, Aria.\We'd go to the surface in secret.\Verde, it's you, right?\No... this isn't what I wanted.\Aria... you promised,\but you lied?\I didn't lie!\I didn't lie, but... response:	But this wasn't...
context: We'd go to the surface in secret.\Verde, it's you, right?\No... this isn't what I wanted.\Aria... you promised,\but you lied?\I didn't lie!\I didn't lie, but...\But this wasn't... response:	Don't cry.
context: Verde, it's you, right?\No... this isn't what I wanted.\Aria... you promised,\but you lied?\I didn't lie!\I didn't lie, but...\But this wasn't...\Don't cry. response:	I'll protect your songs and voice.
context: No... this isn't what I wanted.\Aria... you promised,\but you lied?\I didn't lie!\I didn't lie, but...\But this wasn't...\Don't cry.\I'll protect your songs and voice. response:	Let's go together.
context: Aria... you promised,\but you lied?\I didn't lie!\I didn't lie, but...\But this wasn't...\Don't cry.\I'll protect your songs and voice.\Let's go together. response:	We can go anywhere
context: but you lied?\I didn't lie!\I didn't lie, but...\But this wasn't...\Don't cry.\I'll protect your songs and voice.\Let's go together.\We can go anywhere response:	you want.
context: I didn't lie!\I didn't lie, but...\But this wasn't...\Don't cry.\I'll protect your songs and voice.\Let's go together.\We can go anywhere\you want. response:	The Star Whale...
context: I didn't lie, but...\But this wasn't...\Don't cry.\I'll protect your songs and voice.\Let's go together.\We can go anywhere\you want.\The Star Whale... response:	You're trying to stop me?
context: But this wasn't...\Don't cry.\I'll protect your songs and voice.\Let's go together.\We can go anywhere\you want.\The Star Whale...\You're trying to stop me? response:	What am I doing here?
context: Don't cry.\I'll protect your songs and voice.\Let's go together.\We can go anywhere\you want.\The Star Whale...\You're trying to stop me?\What am I doing here? response:	I can't remember.
context: I'll protect your songs and voice.\Let's go together.\We can go anywhere\you want.\The Star Whale...\You're trying to stop me?\What am I doing here?\I can't remember. response:	Who's there?
context: Let's go together.\We can go anywhere\you want.\The Star Whale...\You're trying to stop me?\What am I doing here?\I can't remember.\Who's there? response:	I have to help them!
context: We can go anywhere\you want.\The Star Whale...\You're trying to stop me?\What am I doing here?\I can't remember.\Who's there?\I have to help them! response:	Aria...
context: you want.\The Star Whale...\You're trying to stop me?\What am I doing here?\I can't remember.\Who's there?\I have to help them!\Aria... response:	Don't go...
context: The Star Whale...\You're trying to stop me?\What am I doing here?\I can't remember.\Who's there?\I have to help them!\Aria...\Don't go... response:	Find me... and stay by me.
context: You're trying to stop me?\What am I doing here?\I can't remember.\Who's there?\I have to help them!\Aria...\Don't go...\Find me... and stay by me. response:	This way!
context: What am I doing here?\I can't remember.\Who's there?\I have to help them!\Aria...\Don't go...\Find me... and stay by me.\This way! response:	There's a door!
context: I can't remember.\Who's there?\I have to help them!\Aria...\Don't go...\Find me... and stay by me.\This way!\There's a door! response:	Yeah!
context: Who's there?\I have to help them!\Aria...\Don't go...\Find me... and stay by me.\This way!\There's a door!\Yeah! response:	Aria...
context: I have to help them!\Aria...\Don't go...\Find me... and stay by me.\This way!\There's a door!\Yeah!\Aria... response:	Gaul!
context: Aria...\Don't go...\Find me... and stay by me.\This way!\There's a door!\Yeah!\Aria...\Gaul! response:	You...
context: Don't go...\Find me... and stay by me.\This way!\There's a door!\Yeah!\Aria...\Gaul!\You... response:	Is it you?
context: Find me... and stay by me.\This way!\There's a door!\Yeah!\Aria...\Gaul!\You...\Is it you? response:	My guards are famous for appearing and
context: This way!\There's a door!\Yeah!\Aria...\Gaul!\You...\Is it you?\My guards are famous for appearing and response:	disappearing when you least expect it.
context: There's a door!\Yeah!\Aria...\Gaul!\You...\Is it you?\My guards are famous for appearing and\disappearing when you least expect it. response:	They can chase and run faster than anybody.
context: Yeah!\Aria...\Gaul!\You...\Is it you?\My guards are famous for appearing and\disappearing when you least expect it.\They can chase and run faster than anybody. response:	Y-Y-You...
context: Aria...\Gaul!\You...\Is it you?\My guards are famous for appearing and\disappearing when you least expect it.\They can chase and run faster than anybody.\Y-Y-You... response:	Don't get in
context: Gaul!\You...\Is it you?\My guards are famous for appearing and\disappearing when you least expect it.\They can chase and run faster than anybody.\Y-Y-You...\Don't get in response:	our way, human!
context: You...\Is it you?\My guards are famous for appearing and\disappearing when you least expect it.\They can chase and run faster than anybody.\Y-Y-You...\Don't get in\our way, human! response:	Just like I thought, you're just a kid.
context: Is it you?\My guards are famous for appearing and\disappearing when you least expect it.\They can chase and run faster than anybody.\Y-Y-You...\Don't get in\our way, human!\Just like I thought, you're just a kid. response:	Don't think you can get by in the world...
context: My guards are famous for appearing and\disappearing when you least expect it.\They can chase and run faster than anybody.\Y-Y-You...\Don't get in\our way, human!\Just like I thought, you're just a kid.\Don't think you can get by in the world... response:	Just by being a selfish brat!
context: disappearing when you least expect it.\They can chase and run faster than anybody.\Y-Y-You...\Don't get in\our way, human!\Just like I thought, you're just a kid.\Don't think you can get by in the world...\Just by being a selfish brat! response:	Let me go!
context: They can chase and run faster than anybody.\Y-Y-You...\Don't get in\our way, human!\Just like I thought, you're just a kid.\Don't think you can get by in the world...\Just by being a selfish brat!\Let me go! response:	Sorry, I can't.
context: Y-Y-You...\Don't get in\our way, human!\Just like I thought, you're just a kid.\Don't think you can get by in the world...\Just by being a selfish brat!\Let me go!\Sorry, I can't. response:	It's our boss's orders.
context: Don't get in\our way, human!\Just like I thought, you're just a kid.\Don't think you can get by in the world...\Just by being a selfish brat!\Let me go!\Sorry, I can't.\It's our boss's orders. response:	It's my fault.
context: our way, human!\Just like I thought, you're just a kid.\Don't think you can get by in the world...\Just by being a selfish brat!\Let me go!\Sorry, I can't.\It's our boss's orders.\It's my fault. response:	I made him like that.
context: Just like I thought, you're just a kid.\Don't think you can get by in the world...\Just by being a selfish brat!\Let me go!\Sorry, I can't.\It's our boss's orders.\It's my fault.\I made him like that. response:	I don't know the reason,
context: Don't think you can get by in the world...\Just by being a selfish brat!\Let me go!\Sorry, I can't.\It's our boss's orders.\It's my fault.\I made him like that.\I don't know the reason, response:	but you can't handle him anymore.
context: Just by being a selfish brat!\Let me go!\Sorry, I can't.\It's our boss's orders.\It's my fault.\I made him like that.\I don't know the reason,\but you can't handle him anymore. response:	I guess that's a really troublesome type of demon.
context: Let me go!\Sorry, I can't.\It's our boss's orders.\It's my fault.\I made him like that.\I don't know the reason,\but you can't handle him anymore.\I guess that's a really troublesome type of demon. response:	If I go back, he'll do what I say.
context: Sorry, I can't.\It's our boss's orders.\It's my fault.\I made him like that.\I don't know the reason,\but you can't handle him anymore.\I guess that's a really troublesome type of demon.\If I go back, he'll do what I say. response:	But that would mean
context: It's our boss's orders.\It's my fault.\I made him like that.\I don't know the reason,\but you can't handle him anymore.\I guess that's a really troublesome type of demon.\If I go back, he'll do what I say.\But that would mean response:	we're abandoning you.
context: It's my fault.\I made him like that.\I don't know the reason,\but you can't handle him anymore.\I guess that's a really troublesome type of demon.\If I go back, he'll do what I say.\But that would mean\we're abandoning you. response:	Our boss wouldn't let that happen,
context: I made him like that.\I don't know the reason,\but you can't handle him anymore.\I guess that's a really troublesome type of demon.\If I go back, he'll do what I say.\But that would mean\we're abandoning you.\Our boss wouldn't let that happen, response:	nor would any of our friends.
context: I don't know the reason,\but you can't handle him anymore.\I guess that's a really troublesome type of demon.\If I go back, he'll do what I say.\But that would mean\we're abandoning you.\Our boss wouldn't let that happen,\nor would any of our friends. response:	But...
context: but you can't handle him anymore.\I guess that's a really troublesome type of demon.\If I go back, he'll do what I say.\But that would mean\we're abandoning you.\Our boss wouldn't let that happen,\nor would any of our friends.\But... response:	Our biggest goal is to save the Star Whale
context: I guess that's a really troublesome type of demon.\If I go back, he'll do what I say.\But that would mean\we're abandoning you.\Our boss wouldn't let that happen,\nor would any of our friends.\But...\Our biggest goal is to save the Star Whale response:	and all the Star People, including you.
context: If I go back, he'll do what I say.\But that would mean\we're abandoning you.\Our boss wouldn't let that happen,\nor would any of our friends.\But...\Our biggest goal is to save the Star Whale\and all the Star People, including you. response:	But I'm also training to be a specialist
context: But that would mean\we're abandoning you.\Our boss wouldn't let that happen,\nor would any of our friends.\But...\Our biggest goal is to save the Star Whale\and all the Star People, including you.\But I'm also training to be a specialist response:	in dealing with demons.
context: we're abandoning you.\Our boss wouldn't let that happen,\nor would any of our friends.\But...\Our biggest goal is to save the Star Whale\and all the Star People, including you.\But I'm also training to be a specialist\in dealing with demons. response:	Even if he's a Disciple, if he can be saved, I want to save him.
context: Our boss wouldn't let that happen,\nor would any of our friends.\But...\Our biggest goal is to save the Star Whale\and all the Star People, including you.\But I'm also training to be a specialist\in dealing with demons.\Even if he's a Disciple, if he can be saved, I want to save him. response:	What we need isn't sacrifice and dedication,
context: nor would any of our friends.\But...\Our biggest goal is to save the Star Whale\and all the Star People, including you.\But I'm also training to be a specialist\in dealing with demons.\Even if he's a Disciple, if he can be saved, I want to save him.\What we need isn't sacrifice and dedication, response:	it's information and a plan!
context: But...\Our biggest goal is to save the Star Whale\and all the Star People, including you.\But I'm also training to be a specialist\in dealing with demons.\Even if he's a Disciple, if he can be saved, I want to save him.\What we need isn't sacrifice and dedication,\it's information and a plan! response:	Would you tell us the details?
context: Our biggest goal is to save the Star Whale\and all the Star People, including you.\But I'm also training to be a specialist\in dealing with demons.\Even if he's a Disciple, if he can be saved, I want to save him.\What we need isn't sacrifice and dedication,\it's information and a plan!\Would you tell us the details? response:	What happened between you and him?
context: and all the Star People, including you.\But I'm also training to be a specialist\in dealing with demons.\Even if he's a Disciple, if he can be saved, I want to save him.\What we need isn't sacrifice and dedication,\it's information and a plan!\Would you tell us the details?\What happened between you and him? response:	Aria said she wanted to go to the surface.
context: But I'm also training to be a specialist\in dealing with demons.\Even if he's a Disciple, if he can be saved, I want to save him.\What we need isn't sacrifice and dedication,\it's information and a plan!\Would you tell us the details?\What happened between you and him?\Aria said she wanted to go to the surface. response:	I'm going to make that dream come true!
context: in dealing with demons.\Even if he's a Disciple, if he can be saved, I want to save him.\What we need isn't sacrifice and dedication,\it's information and a plan!\Would you tell us the details?\What happened between you and him?\Aria said she wanted to go to the surface.\I'm going to make that dream come true! response:	You don't have to do this; we'll take her!
context: Even if he's a Disciple, if he can be saved, I want to save him.\What we need isn't sacrifice and dedication,\it's information and a plan!\Would you tell us the details?\What happened between you and him?\Aria said she wanted to go to the surface.\I'm going to make that dream come true!\You don't have to do this; we'll take her! response:	If you promise not to be bad, we'll take you, too!
context: What we need isn't sacrifice and dedication,\it's information and a plan!\Would you tell us the details?\What happened between you and him?\Aria said she wanted to go to the surface.\I'm going to make that dream come true!\You don't have to do this; we'll take her!\If you promise not to be bad, we'll take you, too! response:	I won't believe that!
context: it's information and a plan!\Would you tell us the details?\What happened between you and him?\Aria said she wanted to go to the surface.\I'm going to make that dream come true!\You don't have to do this; we'll take her!\If you promise not to be bad, we'll take you, too!\I won't believe that! response:	The people of the surface refuse to accept us.
context: Would you tell us the details?\What happened between you and him?\Aria said she wanted to go to the surface.\I'm going to make that dream come true!\You don't have to do this; we'll take her!\If you promise not to be bad, we'll take you, too!\I won't believe that!\The people of the surface refuse to accept us. response:	Even in the distant past,
context: What happened between you and him?\Aria said she wanted to go to the surface.\I'm going to make that dream come true!\You don't have to do this; we'll take her!\If you promise not to be bad, we'll take you, too!\I won't believe that!\The people of the surface refuse to accept us.\Even in the distant past, response:	they tried to exterminate us, even though we didn't do anything wrong.
context: Aria said she wanted to go to the surface.\I'm going to make that dream come true!\You don't have to do this; we'll take her!\If you promise not to be bad, we'll take you, too!\I won't believe that!\The people of the surface refuse to accept us.\Even in the distant past,\they tried to exterminate us, even though we didn't do anything wrong. response:	I see.
context: I'm going to make that dream come true!\You don't have to do this; we'll take her!\If you promise not to be bad, we'll take you, too!\I won't believe that!\The people of the surface refuse to accept us.\Even in the distant past,\they tried to exterminate us, even though we didn't do anything wrong.\I see. response:	I won't believe in the star people
context: You don't have to do this; we'll take her!\If you promise not to be bad, we'll take you, too!\I won't believe that!\The people of the surface refuse to accept us.\Even in the distant past,\they tried to exterminate us, even though we didn't do anything wrong.\I see.\I won't believe in the star people response:	or the humans of the surface.
context: If you promise not to be bad, we'll take you, too!\I won't believe that!\The people of the surface refuse to accept us.\Even in the distant past,\they tried to exterminate us, even though we didn't do anything wrong.\I see.\I won't believe in the star people\or the humans of the surface. response:	I'll make them all sleep with my power,
context: I won't believe that!\The people of the surface refuse to accept us.\Even in the distant past,\they tried to exterminate us, even though we didn't do anything wrong.\I see.\I won't believe in the star people\or the humans of the surface.\I'll make them all sleep with my power, response:	and make a peaceful and gentle world.
context: The people of the surface refuse to accept us.\Even in the distant past,\they tried to exterminate us, even though we didn't do anything wrong.\I see.\I won't believe in the star people\or the humans of the surface.\I'll make them all sleep with my power,\and make a peaceful and gentle world. response:	Wait. Wait a second!
context: Even in the distant past,\they tried to exterminate us, even though we didn't do anything wrong.\I see.\I won't believe in the star people\or the humans of the surface.\I'll make them all sleep with my power,\and make a peaceful and gentle world.\Wait. Wait a second! response:	I won't wait!
context: they tried to exterminate us, even though we didn't do anything wrong.\I see.\I won't believe in the star people\or the humans of the surface.\I'll make them all sleep with my power,\and make a peaceful and gentle world.\Wait. Wait a second!\I won't wait! response:	Once all the humans
context: I see.\I won't believe in the star people\or the humans of the surface.\I'll make them all sleep with my power,\and make a peaceful and gentle world.\Wait. Wait a second!\I won't wait!\Once all the humans response:	in our way are gone,
context: I won't believe in the star people\or the humans of the surface.\I'll make them all sleep with my power,\and make a peaceful and gentle world.\Wait. Wait a second!\I won't wait!\Once all the humans\in our way are gone, response:	Aria can go to the surface to play in peace.
context: or the humans of the surface.\I'll make them all sleep with my power,\and make a peaceful and gentle world.\Wait. Wait a second!\I won't wait!\Once all the humans\in our way are gone,\Aria can go to the surface to play in peace. response:	She'll let me be the only one to hear her songs.
context: I'll make them all sleep with my power,\and make a peaceful and gentle world.\Wait. Wait a second!\I won't wait!\Once all the humans\in our way are gone,\Aria can go to the surface to play in peace.\She'll let me be the only one to hear her songs. response:	So human...
context: and make a peaceful and gentle world.\Wait. Wait a second!\I won't wait!\Once all the humans\in our way are gone,\Aria can go to the surface to play in peace.\She'll let me be the only one to hear her songs.\So human... response:	Sleep here.
context: Wait. Wait a second!\I won't wait!\Once all the humans\in our way are gone,\Aria can go to the surface to play in peace.\She'll let me be the only one to hear her songs.\So human...\Sleep here. response:	The Hero Shinku
context: I won't wait!\Once all the humans\in our way are gone,\Aria can go to the surface to play in peace.\She'll let me be the only one to hear her songs.\So human...\Sleep here.\The Hero Shinku response:	is here in Hero Mode!
context: Once all the humans\in our way are gone,\Aria can go to the surface to play in peace.\She'll let me be the only one to hear her songs.\So human...\Sleep here.\The Hero Shinku\is here in Hero Mode! response:	Don't get in
context: in our way are gone,\Aria can go to the surface to play in peace.\She'll let me be the only one to hear her songs.\So human...\Sleep here.\The Hero Shinku\is here in Hero Mode!\Don't get in response:	my way!
context: Aria can go to the surface to play in peace.\She'll let me be the only one to hear her songs.\So human...\Sleep here.\The Hero Shinku\is here in Hero Mode!\Don't get in\my way! response:	Seems like
context: She'll let me be the only one to hear her songs.\So human...\Sleep here.\The Hero Shinku\is here in Hero Mode!\Don't get in\my way!\Seems like response:	the situation's worse than we imagined.
context: So human...\Sleep here.\The Hero Shinku\is here in Hero Mode!\Don't get in\my way!\Seems like\the situation's worse than we imagined. response:	We'll just have to cut open a path.
context: Sleep here.\The Hero Shinku\is here in Hero Mode!\Don't get in\my way!\Seems like\the situation's worse than we imagined.\We'll just have to cut open a path. response:	Alliance knights and medics!
context: The Hero Shinku\is here in Hero Mode!\Don't get in\my way!\Seems like\the situation's worse than we imagined.\We'll just have to cut open a path.\Alliance knights and medics! response:	Hang on!
context: is here in Hero Mode!\Don't get in\my way!\Seems like\the situation's worse than we imagined.\We'll just have to cut open a path.\Alliance knights and medics!\Hang on! response:	Right!
context: Don't get in\my way!\Seems like\the situation's worse than we imagined.\We'll just have to cut open a path.\Alliance knights and medics!\Hang on!\Right! response:	Princess, I'm going to up our speed!
context: my way!\Seems like\the situation's worse than we imagined.\We'll just have to cut open a path.\Alliance knights and medics!\Hang on!\Right!\Princess, I'm going to up our speed! response:	Okay! Please do!
context: Seems like\the situation's worse than we imagined.\We'll just have to cut open a path.\Alliance knights and medics!\Hang on!\Right!\Princess, I'm going to up our speed!\Okay! Please do! response:	Everybody's here!
context: the situation's worse than we imagined.\We'll just have to cut open a path.\Alliance knights and medics!\Hang on!\Right!\Princess, I'm going to up our speed!\Okay! Please do!\Everybody's here! response:	The songstress from the surface is here, isn't she?
context: We'll just have to cut open a path.\Alliance knights and medics!\Hang on!\Right!\Princess, I'm going to up our speed!\Okay! Please do!\Everybody's here!\The songstress from the surface is here, isn't she? response:	Everybody, get the dais for the Star Festival ready!
context: Alliance knights and medics!\Hang on!\Right!\Princess, I'm going to up our speed!\Okay! Please do!\Everybody's here!\The songstress from the surface is here, isn't she?\Everybody, get the dais for the Star Festival ready! response:	Right!
context: Hang on!\Right!\Princess, I'm going to up our speed!\Okay! Please do!\Everybody's here!\The songstress from the surface is here, isn't she?\Everybody, get the dais for the Star Festival ready!\Right! response:	I have to go, too.
context: Right!\Princess, I'm going to up our speed!\Okay! Please do!\Everybody's here!\The songstress from the surface is here, isn't she?\Everybody, get the dais for the Star Festival ready!\Right!\I have to go, too. response:	Pega, this way.
context: Princess, I'm going to up our speed!\Okay! Please do!\Everybody's here!\The songstress from the surface is here, isn't she?\Everybody, get the dais for the Star Festival ready!\Right!\I have to go, too.\Pega, this way. response:	Your wings may be the key to saving everyone.
context: Okay! Please do!\Everybody's here!\The songstress from the surface is here, isn't she?\Everybody, get the dais for the Star Festival ready!\Right!\I have to go, too.\Pega, this way.\Your wings may be the key to saving everyone. response:	Show the dragon priestess Sharl and everyone else
context: Everybody's here!\The songstress from the surface is here, isn't she?\Everybody, get the dais for the Star Festival ready!\Right!\I have to go, too.\Pega, this way.\Your wings may be the key to saving everyone.\Show the dragon priestess Sharl and everyone else response:	your true form.
context: The songstress from the surface is here, isn't she?\Everybody, get the dais for the Star Festival ready!\Right!\I have to go, too.\Pega, this way.\Your wings may be the key to saving everyone.\Show the dragon priestess Sharl and everyone else\your true form. response:	I'm sorry princess, to ask you to sing in all this chaos.
context: Everybody, get the dais for the Star Festival ready!\Right!\I have to go, too.\Pega, this way.\Your wings may be the key to saving everyone.\Show the dragon priestess Sharl and everyone else\your true form.\I'm sorry princess, to ask you to sing in all this chaos. response:	Not at all.
context: Right!\I have to go, too.\Pega, this way.\Your wings may be the key to saving everyone.\Show the dragon priestess Sharl and everyone else\your true form.\I'm sorry princess, to ask you to sing in all this chaos.\Not at all. response:	I'll sing anywhere, at any time.
context: I have to go, too.\Pega, this way.\Your wings may be the key to saving everyone.\Show the dragon priestess Sharl and everyone else\your true form.\I'm sorry princess, to ask you to sing in all this chaos.\Not at all.\I'll sing anywhere, at any time. response:	Especially if it can help keep the Sky Sea safe.
context: Pega, this way.\Your wings may be the key to saving everyone.\Show the dragon priestess Sharl and everyone else\your true form.\I'm sorry princess, to ask you to sing in all this chaos.\Not at all.\I'll sing anywhere, at any time.\Especially if it can help keep the Sky Sea safe. response:	There's nothing that would make me happier as a singer.
context: Your wings may be the key to saving everyone.\Show the dragon priestess Sharl and everyone else\your true form.\I'm sorry princess, to ask you to sing in all this chaos.\Not at all.\I'll sing anywhere, at any time.\Especially if it can help keep the Sky Sea safe.\There's nothing that would make me happier as a singer. response:	No way!
context: Show the dragon priestess Sharl and everyone else\your true form.\I'm sorry princess, to ask you to sing in all this chaos.\Not at all.\I'll sing anywhere, at any time.\Especially if it can help keep the Sky Sea safe.\There's nothing that would make me happier as a singer.\No way! response:	Princess of Biscotti, Hero Rebecca,
context: your true form.\I'm sorry princess, to ask you to sing in all this chaos.\Not at all.\I'll sing anywhere, at any time.\Especially if it can help keep the Sky Sea safe.\There's nothing that would make me happier as a singer.\No way!\Princess of Biscotti, Hero Rebecca, response:	I'm glad you're safe.
context: I'm sorry princess, to ask you to sing in all this chaos.\Not at all.\I'll sing anywhere, at any time.\Especially if it can help keep the Sky Sea safe.\There's nothing that would make me happier as a singer.\No way!\Princess of Biscotti, Hero Rebecca,\I'm glad you're safe. response:	Priestess!
context: Not at all.\I'll sing anywhere, at any time.\Especially if it can help keep the Sky Sea safe.\There's nothing that would make me happier as a singer.\No way!\Princess of Biscotti, Hero Rebecca,\I'm glad you're safe.\Priestess! response:	Who's that?
context: I'll sing anywhere, at any time.\Especially if it can help keep the Sky Sea safe.\There's nothing that would make me happier as a singer.\No way!\Princess of Biscotti, Hero Rebecca,\I'm glad you're safe.\Priestess!\Who's that? response:	It's Pega.
context: Especially if it can help keep the Sky Sea safe.\There's nothing that would make me happier as a singer.\No way!\Princess of Biscotti, Hero Rebecca,\I'm glad you're safe.\Priestess!\Who's that?\It's Pega. response:	This is his true form.
context: There's nothing that would make me happier as a singer.\No way!\Princess of Biscotti, Hero Rebecca,\I'm glad you're safe.\Priestess!\Who's that?\It's Pega.\This is his true form. response:	Let's hurry.
context: No way!\Princess of Biscotti, Hero Rebecca,\I'm glad you're safe.\Priestess!\Who's that?\It's Pega.\This is his true form.\Let's hurry. response:	The star festival will be ready soon.
context: Princess of Biscotti, Hero Rebecca,\I'm glad you're safe.\Priestess!\Who's that?\It's Pega.\This is his true form.\Let's hurry.\The star festival will be ready soon. response:	Right!
context: I'm glad you're safe.\Priestess!\Who's that?\It's Pega.\This is his true form.\Let's hurry.\The star festival will be ready soon.\Right! response:	Stay sharp!
context: Priestess!\Who's that?\It's Pega.\This is his true form.\Let's hurry.\The star festival will be ready soon.\Right!\Stay sharp! response:	There's still more!
context: Who's that?\It's Pega.\This is his true form.\Let's hurry.\The star festival will be ready soon.\Right!\Stay sharp!\There's still more! response:	Right!
context: It's Pega.\This is his true form.\Let's hurry.\The star festival will be ready soon.\Right!\Stay sharp!\There's still more!\Right! response:	There's no end to them!
context: This is his true form.\Let's hurry.\The star festival will be ready soon.\Right!\Stay sharp!\There's still more!\Right!\There's no end to them! response:	No army is infinite.
context: Let's hurry.\The star festival will be ready soon.\Right!\Stay sharp!\There's still more!\Right!\There's no end to them!\No army is infinite. response:	Right!
context: The star festival will be ready soon.\Right!\Stay sharp!\There's still more!\Right!\There's no end to them!\No army is infinite.\Right! response:	Let's go, Shinku!
context: Right!\Stay sharp!\There's still more!\Right!\There's no end to them!\No army is infinite.\Right!\Let's go, Shinku! response:	Yeah, Gaul!
context: Stay sharp!\There's still more!\Right!\There's no end to them!\No army is infinite.\Right!\Let's go, Shinku!\Yeah, Gaul! response:	Divine Rule: Glorious Flying Slash!
context: There's still more!\Right!\There's no end to them!\No army is infinite.\Right!\Let's go, Shinku!\Yeah, Gaul!\Divine Rule: Glorious Flying Slash! response:	This is it.
context: Right!\There's no end to them!\No army is infinite.\Right!\Let's go, Shinku!\Yeah, Gaul!\Divine Rule: Glorious Flying Slash!\This is it. response:	Not yet.
context: There's no end to them!\No army is infinite.\Right!\Let's go, Shinku!\Yeah, Gaul!\Divine Rule: Glorious Flying Slash!\This is it.\Not yet. response:	No, this is the end.
context: No army is infinite.\Right!\Let's go, Shinku!\Yeah, Gaul!\Divine Rule: Glorious Flying Slash!\This is it.\Not yet.\No, this is the end. response:	This song...
context: Right!\Let's go, Shinku!\Yeah, Gaul!\Divine Rule: Glorious Flying Slash!\This is it.\Not yet.\No, this is the end.\This song... response:	It's starting...
context: Let's go, Shinku!\Yeah, Gaul!\Divine Rule: Glorious Flying Slash!\This is it.\Not yet.\No, this is the end.\This song...\It's starting... response:	The princess' song.
context: Yeah, Gaul!\Divine Rule: Glorious Flying Slash!\This is it.\Not yet.\No, this is the end.\This song...\It's starting...\The princess' song. response:	Everyone!
context: Divine Rule: Glorious Flying Slash!\This is it.\Not yet.\No, this is the end.\This song...\It's starting...\The princess' song.\Everyone! response:	Let's sing a song of healing to the Star Whale, too!
context: This is it.\Not yet.\No, this is the end.\This song...\It's starting...\The princess' song.\Everyone!\Let's sing a song of healing to the Star Whale, too! response:	Yeah!
context: Not yet.\No, this is the end.\This song...\It's starting...\The princess' song.\Everyone!\Let's sing a song of healing to the Star Whale, too!\Yeah! response:	Who is this wonderful person?
context: No, this is the end.\This song...\It's starting...\The princess' song.\Everyone!\Let's sing a song of healing to the Star Whale, too!\Yeah!\Who is this wonderful person? response:	Who could it be?
context: This song...\It's starting...\The princess' song.\Everyone!\Let's sing a song of healing to the Star Whale, too!\Yeah!\Who is this wonderful person?\Who could it be? response:	Call me Pegasus Mask.
context: It's starting...\The princess' song.\Everyone!\Let's sing a song of healing to the Star Whale, too!\Yeah!\Who is this wonderful person?\Who could it be?\Call me Pegasus Mask. response:	Huh? Next week's the last episode?
context: The princess' song.\Everyone!\Let's sing a song of healing to the Star Whale, too!\Yeah!\Who is this wonderful person?\Who could it be?\Call me Pegasus Mask.\Huh? Next week's the last episode? response:	Returning Home
