context: 'This is a weird feeling. response:	As if looking through a binocular,
context: No.\Hoe? Then how'\I had some business a while ago'\I'll go and return this.\Doesn't Li-kun look angry?\Men are complicated.\Sakura-chan!\What's wrong? response:	It's nothing.
context: Hoe? Then how'\I had some business a while ago'\I'll go and return this.\Doesn't Li-kun look angry?\Men are complicated.\Sakura-chan!\What's wrong?\It's nothing. response:	What's wrong?
context: I had some business a while ago'\I'll go and return this.\Doesn't Li-kun look angry?\Men are complicated.\Sakura-chan!\What's wrong?\It's nothing.\What's wrong? response:	Sakura-chan got sucked into the book.
context: I'll go and return this.\Doesn't Li-kun look angry?\Men are complicated.\Sakura-chan!\What's wrong?\It's nothing.\What's wrong?\Sakura-chan got sucked into the book. response:	What?
context: Doesn't Li-kun look angry?\Men are complicated.\Sakura-chan!\What's wrong?\It's nothing.\What's wrong?\Sakura-chan got sucked into the book.\What? response:	I can feel strong magic'
context: Men are complicated.\Sakura-chan!\What's wrong?\It's nothing.\What's wrong?\Sakura-chan got sucked into the book.\What?\I can feel strong magic' response:	What do we do?
context: Sakura-chan!\What's wrong?\It's nothing.\What's wrong?\Sakura-chan got sucked into the book.\What?\I can feel strong magic'\What do we do? response:	Hoe? These clothes.
context: What's wrong?\It's nothing.\What's wrong?\Sakura-chan got sucked into the book.\What?\I can feel strong magic'\What do we do?\Hoe? These clothes. response:	Tomoyo-chan!
context: It's nothing.\What's wrong?\Sakura-chan got sucked into the book.\What?\I can feel strong magic'\What do we do?\Hoe? These clothes.\Tomoyo-chan! response:	Where is this place
context: What's wrong?\Sakura-chan got sucked into the book.\What?\I can feel strong magic'\What do we do?\Hoe? These clothes.\Tomoyo-chan!\Where is this place response:	I was reading a book at the library just now'
context: Sakura-chan got sucked into the book.\What?\I can feel strong magic'\What do we do?\Hoe? These clothes.\Tomoyo-chan!\Where is this place\I was reading a book at the library just now' response:	Then'
context: What?\I can feel strong magic'\What do we do?\Hoe? These clothes.\Tomoyo-chan!\Where is this place\I was reading a book at the library just now'\Then' response:	what else happened again?
context: I can feel strong magic'\What do we do?\Hoe? These clothes.\Tomoyo-chan!\Where is this place\I was reading a book at the library just now'\Then'\what else happened again? response:	I know' am I inside the book?
context: What do we do?\Hoe? These clothes.\Tomoyo-chan!\Where is this place\I was reading a book at the library just now'\Then'\what else happened again?\I know' am I inside the book? response:	That's right!
context: Hoe? These clothes.\Tomoyo-chan!\Where is this place\I was reading a book at the library just now'\Then'\what else happened again?\I know' am I inside the book?\That's right! response:	Over here!
context: Tomoyo-chan!\Where is this place\I was reading a book at the library just now'\Then'\what else happened again?\I know' am I inside the book?\That's right!\Over here! response:	Eriol-kun!
context: Where is this place\I was reading a book at the library just now'\Then'\what else happened again?\I know' am I inside the book?\That's right!\Over here!\Eriol-kun! response:	No, I'm the Cheshire cat!
context: I was reading a book at the library just now'\Then'\what else happened again?\I know' am I inside the book?\That's right!\Over here!\Eriol-kun!\No, I'm the Cheshire cat! response:	Cheshire cat'
context: Then'\what else happened again?\I know' am I inside the book?\That's right!\Over here!\Eriol-kun!\No, I'm the Cheshire cat!\Cheshire cat' response:	as in from' Alice in Wonderland?
context: what else happened again?\I know' am I inside the book?\That's right!\Over here!\Eriol-kun!\No, I'm the Cheshire cat!\Cheshire cat'\as in from' Alice in Wonderland? response:	Yes.
context: I know' am I inside the book?\That's right!\Over here!\Eriol-kun!\No, I'm the Cheshire cat!\Cheshire cat'\as in from' Alice in Wonderland?\Yes. response:	Ahh' I got it! This must be a dream!
context: That's right!\Over here!\Eriol-kun!\No, I'm the Cheshire cat!\Cheshire cat'\as in from' Alice in Wonderland?\Yes.\Ahh' I got it! This must be a dream! response:	You're wrong!
context: Over here!\Eriol-kun!\No, I'm the Cheshire cat!\Cheshire cat'\as in from' Alice in Wonderland?\Yes.\Ahh' I got it! This must be a dream!\You're wrong! response:	Then?
context: Eriol-kun!\No, I'm the Cheshire cat!\Cheshire cat'\as in from' Alice in Wonderland?\Yes.\Ahh' I got it! This must be a dream!\You're wrong!\Then? response:	Eriol-kun doing something like that'
context: No, I'm the Cheshire cat!\Cheshire cat'\as in from' Alice in Wonderland?\Yes.\Ahh' I got it! This must be a dream!\You're wrong!\Then?\Eriol-kun doing something like that' response:	this is definitely a dream.
context: Cheshire cat'\as in from' Alice in Wonderland?\Yes.\Ahh' I got it! This must be a dream!\You're wrong!\Then?\Eriol-kun doing something like that'\this is definitely a dream. response:	It isn't. I actually like
context: as in from' Alice in Wonderland?\Yes.\Ahh' I got it! This must be a dream!\You're wrong!\Then?\Eriol-kun doing something like that'\this is definitely a dream.\It isn't. I actually like response:	to fool around a lot
context: Yes.\Ahh' I got it! This must be a dream!\You're wrong!\Then?\Eriol-kun doing something like that'\this is definitely a dream.\It isn't. I actually like\to fool around a lot response:	Is that so?
context: Ahh' I got it! This must be a dream!\You're wrong!\Then?\Eriol-kun doing something like that'\this is definitely a dream.\It isn't. I actually like\to fool around a lot\Is that so? response:	But I have a tought time
context: You're wrong!\Then?\Eriol-kun doing something like that'\this is definitely a dream.\It isn't. I actually like\to fool around a lot\Is that so?\But I have a tought time response:	trying to restrain myself
context: Then?\Eriol-kun doing something like that'\this is definitely a dream.\It isn't. I actually like\to fool around a lot\Is that so?\But I have a tought time\trying to restrain myself response:	from being dragged into you and Li-kun's level.
context: Eriol-kun doing something like that'\this is definitely a dream.\It isn't. I actually like\to fool around a lot\Is that so?\But I have a tought time\trying to restrain myself\from being dragged into you and Li-kun's level. response:	My' level.
context: this is definitely a dream.\It isn't. I actually like\to fool around a lot\Is that so?\But I have a tought time\trying to restrain myself\from being dragged into you and Li-kun's level.\My' level. response:	Yes.
context: It isn't. I actually like\to fool around a lot\Is that so?\But I have a tought time\trying to restrain myself\from being dragged into you and Li-kun's level.\My' level.\Yes. response:	Then why are you so serious around me all the time?
context: to fool around a lot\Is that so?\But I have a tought time\trying to restrain myself\from being dragged into you and Li-kun's level.\My' level.\Yes.\Then why are you so serious around me all the time? response:	Because there are people around you
context: Is that so?\But I have a tought time\trying to restrain myself\from being dragged into you and Li-kun's level.\My' level.\Yes.\Then why are you so serious around me all the time?\Because there are people around you response:	who know my real self.
context: But I have a tought time\trying to restrain myself\from being dragged into you and Li-kun's level.\My' level.\Yes.\Then why are you so serious around me all the time?\Because there are people around you\who know my real self. response:	I can't be revealed just yet.
context: trying to restrain myself\from being dragged into you and Li-kun's level.\My' level.\Yes.\Then why are you so serious around me all the time?\Because there are people around you\who know my real self.\I can't be revealed just yet. response:	Eh?
context: from being dragged into you and Li-kun's level.\My' level.\Yes.\Then why are you so serious around me all the time?\Because there are people around you\who know my real self.\I can't be revealed just yet.\Eh? response:	Well then' please take your time
context: My' level.\Yes.\Then why are you so serious around me all the time?\Because there are people around you\who know my real self.\I can't be revealed just yet.\Eh?\Well then' please take your time response:	in enjoying
context: Yes.\Then why are you so serious around me all the time?\Because there are people around you\who know my real self.\I can't be revealed just yet.\Eh?\Well then' please take your time\in enjoying response:	' Alice's wonderland in this book.' Wait!
context: Then why are you so serious around me all the time?\Because there are people around you\who know my real self.\I can't be revealed just yet.\Eh?\Well then' please take your time\in enjoying\' Alice's wonderland in this book.' Wait! response:	What should I do.
context: Because there are people around you\who know my real self.\I can't be revealed just yet.\Eh?\Well then' please take your time\in enjoying\' Alice's wonderland in this book.' Wait!\What should I do. response:	If this really is inside the book,
context: who know my real self.\I can't be revealed just yet.\Eh?\Well then' please take your time\in enjoying\' Alice's wonderland in this book.' Wait!\What should I do.\If this really is inside the book, response:	then I need to figure out how to get out of here'
context: I can't be revealed just yet.\Eh?\Well then' please take your time\in enjoying\' Alice's wonderland in this book.' Wait!\What should I do.\If this really is inside the book,\then I need to figure out how to get out of here' response:	Must hurry, hurry, hurry, hurry'
context: Eh?\Well then' please take your time\in enjoying\' Alice's wonderland in this book.' Wait!\What should I do.\If this really is inside the book,\then I need to figure out how to get out of here'\Must hurry, hurry, hurry, hurry' response:	Yukito-san!
context: Well then' please take your time\in enjoying\' Alice's wonderland in this book.' Wait!\What should I do.\If this really is inside the book,\then I need to figure out how to get out of here'\Must hurry, hurry, hurry, hurry'\Yukito-san! response:	No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)
context: in enjoying\' Alice's wonderland in this book.' Wait!\What should I do.\If this really is inside the book,\then I need to figure out how to get out of here'\Must hurry, hurry, hurry, hurry'\Yukito-san!\No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit) response:	Oh, I'm going to be late, if I don't hurry.
context: ' Alice's wonderland in this book.' Wait!\What should I do.\If this really is inside the book,\then I need to figure out how to get out of here'\Must hurry, hurry, hurry, hurry'\Yukito-san!\No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)\Oh, I'm going to be late, if I don't hurry. response:	Where are you going?
context: What should I do.\If this really is inside the book,\then I need to figure out how to get out of here'\Must hurry, hurry, hurry, hurry'\Yukito-san!\No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)\Oh, I'm going to be late, if I don't hurry.\Where are you going? response:	Where the Queen is at.
context: If this really is inside the book,\then I need to figure out how to get out of here'\Must hurry, hurry, hurry, hurry'\Yukito-san!\No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)\Oh, I'm going to be late, if I don't hurry.\Where are you going?\Where the Queen is at. response:	Rabbit who is on his way to the Queen in a hurry'
context: then I need to figure out how to get out of here'\Must hurry, hurry, hurry, hurry'\Yukito-san!\No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)\Oh, I'm going to be late, if I don't hurry.\Where are you going?\Where the Queen is at.\Rabbit who is on his way to the Queen in a hurry' response:	this is definitely Alice's wonderland in the book.
context: Must hurry, hurry, hurry, hurry'\Yukito-san!\No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)\Oh, I'm going to be late, if I don't hurry.\Where are you going?\Where the Queen is at.\Rabbit who is on his way to the Queen in a hurry'\this is definitely Alice's wonderland in the book. response:	Must hurry, hurry'
context: Yukito-san!\No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)\Oh, I'm going to be late, if I don't hurry.\Where are you going?\Where the Queen is at.\Rabbit who is on his way to the Queen in a hurry'\this is definitely Alice's wonderland in the book.\Must hurry, hurry' response:	Please wait! Wait!
context: No, I'm the rabbit. (Yukito -> snow-rabbit -> rabbit)\Oh, I'm going to be late, if I don't hurry.\Where are you going?\Where the Queen is at.\Rabbit who is on his way to the Queen in a hurry'\this is definitely Alice's wonderland in the book.\Must hurry, hurry'\Please wait! Wait! response:	That's right'
context: Oh, I'm going to be late, if I don't hurry.\Where are you going?\Where the Queen is at.\Rabbit who is on his way to the Queen in a hurry'\this is definitely Alice's wonderland in the book.\Must hurry, hurry'\Please wait! Wait!\That's right' response:	Um' Yue-san?
context: Where are you going?\Where the Queen is at.\Rabbit who is on his way to the Queen in a hurry'\this is definitely Alice's wonderland in the book.\Must hurry, hurry'\Please wait! Wait!\That's right'\Um' Yue-san? response:	It's faster if I fly.
context: Where the Queen is at.\Rabbit who is on his way to the Queen in a hurry'\this is definitely Alice's wonderland in the book.\Must hurry, hurry'\Please wait! Wait!\That's right'\Um' Yue-san?\It's faster if I fly. response:	We're here.
context: Rabbit who is on his way to the Queen in a hurry'\this is definitely Alice's wonderland in the book.\Must hurry, hurry'\Please wait! Wait!\That's right'\Um' Yue-san?\It's faster if I fly.\We're here. response:	Sakura-chan.
context: this is definitely Alice's wonderland in the book.\Must hurry, hurry'\Please wait! Wait!\That's right'\Um' Yue-san?\It's faster if I fly.\We're here.\Sakura-chan. response:	It's no use.
context: Must hurry, hurry'\Please wait! Wait!\That's right'\Um' Yue-san?\It's faster if I fly.\We're here.\Sakura-chan.\It's no use. response:	Huh? Where is Sakura-chan?
context: Please wait! Wait!\That's right'\Um' Yue-san?\It's faster if I fly.\We're here.\Sakura-chan.\It's no use.\Huh? Where is Sakura-chan? response:	She went back to the classroom to get something that she'd forgot.
context: That's right'\Um' Yue-san?\It's faster if I fly.\We're here.\Sakura-chan.\It's no use.\Huh? Where is Sakura-chan?\She went back to the classroom to get something that she'd forgot. response:	Whew'
context: Um' Yue-san?\It's faster if I fly.\We're here.\Sakura-chan.\It's no use.\Huh? Where is Sakura-chan?\She went back to the classroom to get something that she'd forgot.\Whew' response:	Brother?
context: It's faster if I fly.\We're here.\Sakura-chan.\It's no use.\Huh? Where is Sakura-chan?\She went back to the classroom to get something that she'd forgot.\Whew'\Brother? response:	I am the Mad Hatter.
context: We're here.\Sakura-chan.\It's no use.\Huh? Where is Sakura-chan?\She went back to the classroom to get something that she'd forgot.\Whew'\Brother?\I am the Mad Hatter. response:	Drink it?
context: Sakura-chan.\It's no use.\Huh? Where is Sakura-chan?\She went back to the classroom to get something that she'd forgot.\Whew'\Brother?\I am the Mad Hatter.\Drink it? response:	Yes.
context: It's no use.\Huh? Where is Sakura-chan?\She went back to the classroom to get something that she'd forgot.\Whew'\Brother?\I am the Mad Hatter.\Drink it?\Yes. response:	It's good. That was good!
context: Huh? Where is Sakura-chan?\She went back to the classroom to get something that she'd forgot.\Whew'\Brother?\I am the Mad Hatter.\Drink it?\Yes.\It's good. That was good! response:	Oh wait,
context: She went back to the classroom to get something that she'd forgot.\Whew'\Brother?\I am the Mad Hatter.\Drink it?\Yes.\It's good. That was good!\Oh wait, response:	if this is Alice's wonderland,
context: Whew'\Brother?\I am the Mad Hatter.\Drink it?\Yes.\It's good. That was good!\Oh wait,\if this is Alice's wonderland, response:	then there may be potions to shrink me.
context: Brother?\I am the Mad Hatter.\Drink it?\Yes.\It's good. That was good!\Oh wait,\if this is Alice's wonderland,\then there may be potions to shrink me. response:	I better watch what I'm drinking.
context: I am the Mad Hatter.\Drink it?\Yes.\It's good. That was good!\Oh wait,\if this is Alice's wonderland,\then there may be potions to shrink me.\I better watch what I'm drinking. response:	Or it will be very troublesome.
context: Drink it?\Yes.\It's good. That was good!\Oh wait,\if this is Alice's wonderland,\then there may be potions to shrink me.\I better watch what I'm drinking.\Or it will be very troublesome. response:	So?
context: Yes.\It's good. That was good!\Oh wait,\if this is Alice's wonderland,\then there may be potions to shrink me.\I better watch what I'm drinking.\Or it will be very troublesome.\So? response:	You just drank
context: It's good. That was good!\Oh wait,\if this is Alice's wonderland,\then there may be potions to shrink me.\I better watch what I'm drinking.\Or it will be very troublesome.\So?\You just drank response:	the potion to shrink yourself
context: Oh wait,\if this is Alice's wonderland,\then there may be potions to shrink me.\I better watch what I'm drinking.\Or it will be very troublesome.\So?\You just drank\the potion to shrink yourself response:	Li-kun! Thank you!
context: if this is Alice's wonderland,\then there may be potions to shrink me.\I better watch what I'm drinking.\Or it will be very troublesome.\So?\You just drank\the potion to shrink yourself\Li-kun! Thank you! response:	Hoe??? Why are there two of Li-kun!
context: then there may be potions to shrink me.\I better watch what I'm drinking.\Or it will be very troublesome.\So?\You just drank\the potion to shrink yourself\Li-kun! Thank you!\Hoe??? Why are there two of Li-kun! response:	I am Twiddle-Dum. I Twiddle-Dee.
context: I better watch what I'm drinking.\Or it will be very troublesome.\So?\You just drank\the potion to shrink yourself\Li-kun! Thank you!\Hoe??? Why are there two of Li-kun!\I am Twiddle-Dum. I Twiddle-Dee. response:	Umm' hey Li-kun'
context: Or it will be very troublesome.\So?\You just drank\the potion to shrink yourself\Li-kun! Thank you!\Hoe??? Why are there two of Li-kun!\I am Twiddle-Dum. I Twiddle-Dee.\Umm' hey Li-kun' response:	Do you know how to get out of this world?
context: So?\You just drank\the potion to shrink yourself\Li-kun! Thank you!\Hoe??? Why are there two of Li-kun!\I am Twiddle-Dum. I Twiddle-Dee.\Umm' hey Li-kun'\Do you know how to get out of this world? response:	Do you want to know?
context: You just drank\the potion to shrink yourself\Li-kun! Thank you!\Hoe??? Why are there two of Li-kun!\I am Twiddle-Dum. I Twiddle-Dee.\Umm' hey Li-kun'\Do you know how to get out of this world?\Do you want to know? response:	If you solve this riddle then I'll tell you.
context: the potion to shrink yourself\Li-kun! Thank you!\Hoe??? Why are there two of Li-kun!\I am Twiddle-Dum. I Twiddle-Dee.\Umm' hey Li-kun'\Do you know how to get out of this world?\Do you want to know?\If you solve this riddle then I'll tell you. response:	I have someone that I like.
context: Li-kun! Thank you!\Hoe??? Why are there two of Li-kun!\I am Twiddle-Dum. I Twiddle-Dee.\Umm' hey Li-kun'\Do you know how to get out of this world?\Do you want to know?\If you solve this riddle then I'll tell you.\I have someone that I like. response:	I don't have anyone that I like.
context: Hoe??? Why are there two of Li-kun!\I am Twiddle-Dum. I Twiddle-Dee.\Umm' hey Li-kun'\Do you know how to get out of this world?\Do you want to know?\If you solve this riddle then I'll tell you.\I have someone that I like.\I don't have anyone that I like. response:	Which one?
context: I am Twiddle-Dum. I Twiddle-Dee.\Umm' hey Li-kun'\Do you know how to get out of this world?\Do you want to know?\If you solve this riddle then I'll tell you.\I have someone that I like.\I don't have anyone that I like.\Which one? response:	Do you want this dumpling? Here'
context: Umm' hey Li-kun'\Do you know how to get out of this world?\Do you want to know?\If you solve this riddle then I'll tell you.\I have someone that I like.\I don't have anyone that I like.\Which one?\Do you want this dumpling? Here' response:	Li-kun likes Yukito-san'
context: Do you know how to get out of this world?\Do you want to know?\If you solve this riddle then I'll tell you.\I have someone that I like.\I don't have anyone that I like.\Which one?\Do you want this dumpling? Here'\Li-kun likes Yukito-san' response:	so' Yes!
context: Do you want to know?\If you solve this riddle then I'll tell you.\I have someone that I like.\I don't have anyone that I like.\Which one?\Do you want this dumpling? Here'\Li-kun likes Yukito-san'\so' Yes! response:	Bing-bong! Correct!
context: If you solve this riddle then I'll tell you.\I have someone that I like.\I don't have anyone that I like.\Which one?\Do you want this dumpling? Here'\Li-kun likes Yukito-san'\so' Yes!\Bing-bong! Correct! response:	Last Question
context: I have someone that I like.\I don't have anyone that I like.\Which one?\Do you want this dumpling? Here'\Li-kun likes Yukito-san'\so' Yes!\Bing-bong! Correct!\Last Question response:	The person I like is taller than me.
context: I don't have anyone that I like.\Which one?\Do you want this dumpling? Here'\Li-kun likes Yukito-san'\so' Yes!\Bing-bong! Correct!\Last Question\The person I like is taller than me. response:	The person I like is shorter than me.
context: Which one?\Do you want this dumpling? Here'\Li-kun likes Yukito-san'\so' Yes!\Bing-bong! Correct!\Last Question\The person I like is taller than me.\The person I like is shorter than me. response:	Which one?
context: Do you want this dumpling? Here'\Li-kun likes Yukito-san'\so' Yes!\Bing-bong! Correct!\Last Question\The person I like is taller than me.\The person I like is shorter than me.\Which one? response:	Since Yukito-san is taller'
context: Li-kun likes Yukito-san'\so' Yes!\Bing-bong! Correct!\Last Question\The person I like is taller than me.\The person I like is shorter than me.\Which one?\Since Yukito-san is taller' response:	TALLER! Boo! Wrong!
context: so' Yes!\Bing-bong! Correct!\Last Question\The person I like is taller than me.\The person I like is shorter than me.\Which one?\Since Yukito-san is taller'\TALLER! Boo! Wrong! response:	How come?
context: Bing-bong! Correct!\Last Question\The person I like is taller than me.\The person I like is shorter than me.\Which one?\Since Yukito-san is taller'\TALLER! Boo! Wrong!\How come? response:	But Yukito-san is taller than Li-kun!
context: Last Question\The person I like is taller than me.\The person I like is shorter than me.\Which one?\Since Yukito-san is taller'\TALLER! Boo! Wrong!\How come?\But Yukito-san is taller than Li-kun! response:	It's not Yukito-san?
context: The person I like is taller than me.\The person I like is shorter than me.\Which one?\Since Yukito-san is taller'\TALLER! Boo! Wrong!\How come?\But Yukito-san is taller than Li-kun!\It's not Yukito-san? response:	Dissapeared'
context: The person I like is shorter than me.\Which one?\Since Yukito-san is taller'\TALLER! Boo! Wrong!\How come?\But Yukito-san is taller than Li-kun!\It's not Yukito-san?\Dissapeared' response:	I have to get out of this world!
context: Which one?\Since Yukito-san is taller'\TALLER! Boo! Wrong!\How come?\But Yukito-san is taller than Li-kun!\It's not Yukito-san?\Dissapeared'\I have to get out of this world! response:	But when I'm this small
context: Since Yukito-san is taller'\TALLER! Boo! Wrong!\How come?\But Yukito-san is taller than Li-kun!\It's not Yukito-san?\Dissapeared'\I have to get out of this world!\But when I'm this small response:	finding the exit is going to be tough
context: TALLER! Boo! Wrong!\How come?\But Yukito-san is taller than Li-kun!\It's not Yukito-san?\Dissapeared'\I have to get out of this world!\But when I'm this small\finding the exit is going to be tough response:	Oh that's right
context: How come?\But Yukito-san is taller than Li-kun!\It's not Yukito-san?\Dissapeared'\I have to get out of this world!\But when I'm this small\finding the exit is going to be tough\Oh that's right response:	Here it is!
context: But Yukito-san is taller than Li-kun!\It's not Yukito-san?\Dissapeared'\I have to get out of this world!\But when I'm this small\finding the exit is going to be tough\Oh that's right\Here it is! response:	Oh Key that hids the power of the stars,
context: It's not Yukito-san?\Dissapeared'\I have to get out of this world!\But when I'm this small\finding the exit is going to be tough\Oh that's right\Here it is!\Oh Key that hids the power of the stars, response:	reveal you true form before me.
context: Dissapeared'\I have to get out of this world!\But when I'm this small\finding the exit is going to be tough\Oh that's right\Here it is!\Oh Key that hids the power of the stars,\reveal you true form before me. response:	I Sakura command
context: I have to get out of this world!\But when I'm this small\finding the exit is going to be tough\Oh that's right\Here it is!\Oh Key that hids the power of the stars,\reveal you true form before me.\I Sakura command response:	Release!
context: But when I'm this small\finding the exit is going to be tough\Oh that's right\Here it is!\Oh Key that hids the power of the stars,\reveal you true form before me.\I Sakura command\Release! response:	Please' change'
context: finding the exit is going to be tough\Oh that's right\Here it is!\Oh Key that hids the power of the stars,\reveal you true form before me.\I Sakura command\Release!\Please' change' response:	Oh card created by Clow' lose your form and be reborn'
context: Oh that's right\Here it is!\Oh Key that hids the power of the stars,\reveal you true form before me.\I Sakura command\Release!\Please' change'\Oh card created by Clow' lose your form and be reborn' response:	I command you'
context: Here it is!\Oh Key that hids the power of the stars,\reveal you true form before me.\I Sakura command\Release!\Please' change'\Oh card created by Clow' lose your form and be reborn'\I command you' response:	BIG!
context: Oh Key that hids the power of the stars,\reveal you true form before me.\I Sakura command\Release!\Please' change'\Oh card created by Clow' lose your form and be reborn'\I command you'\BIG! response:	I did it! Hoeee!!!
context: reveal you true form before me.\I Sakura command\Release!\Please' change'\Oh card created by Clow' lose your form and be reborn'\I command you'\BIG!\I did it! Hoeee!!! response:	I'm too big
context: I Sakura command\Release!\Please' change'\Oh card created by Clow' lose your form and be reborn'\I command you'\BIG!\I did it! Hoeee!!!\I'm too big response:	What? A Leaf?
context: Release!\Please' change'\Oh card created by Clow' lose your form and be reborn'\I command you'\BIG!\I did it! Hoeee!!!\I'm too big\What? A Leaf? response:	I've got to return to my original size.
context: Please' change'\Oh card created by Clow' lose your form and be reborn'\I command you'\BIG!\I did it! Hoeee!!!\I'm too big\What? A Leaf?\I've got to return to my original size. response:	Oh card created by Clow'
context: Oh card created by Clow' lose your form and be reborn'\I command you'\BIG!\I did it! Hoeee!!!\I'm too big\What? A Leaf?\I've got to return to my original size.\Oh card created by Clow' response:	lose your form and be reborn'
context: I command you'\BIG!\I did it! Hoeee!!!\I'm too big\What? A Leaf?\I've got to return to my original size.\Oh card created by Clow'\lose your form and be reborn' response:	I command you'
context: BIG!\I did it! Hoeee!!!\I'm too big\What? A Leaf?\I've got to return to my original size.\Oh card created by Clow'\lose your form and be reborn'\I command you' response:	LITTLE!
context: I did it! Hoeee!!!\I'm too big\What? A Leaf?\I've got to return to my original size.\Oh card created by Clow'\lose your form and be reborn'\I command you'\LITTLE! response:	Hoe? Where am I?
context: I'm too big\What? A Leaf?\I've got to return to my original size.\Oh card created by Clow'\lose your form and be reborn'\I command you'\LITTLE!\Hoe? Where am I? response:	On the Chess board.
context: What? A Leaf?\I've got to return to my original size.\Oh card created by Clow'\lose your form and be reborn'\I command you'\LITTLE!\Hoe? Where am I?\On the Chess board. response:	Tomoyo-chan.
context: I've got to return to my original size.\Oh card created by Clow'\lose your form and be reborn'\I command you'\LITTLE!\Hoe? Where am I?\On the Chess board.\Tomoyo-chan. response:	I am Humpty-Dumpty.
context: Oh card created by Clow'\lose your form and be reborn'\I command you'\LITTLE!\Hoe? Where am I?\On the Chess board.\Tomoyo-chan.\I am Humpty-Dumpty. response:	I am in the middle of a chess game.
context: lose your form and be reborn'\I command you'\LITTLE!\Hoe? Where am I?\On the Chess board.\Tomoyo-chan.\I am Humpty-Dumpty.\I am in the middle of a chess game. response:	Hoe? With whom?
context: I command you'\LITTLE!\Hoe? Where am I?\On the Chess board.\Tomoyo-chan.\I am Humpty-Dumpty.\I am in the middle of a chess game.\Hoe? With whom? response:	Kero-chan!
context: LITTLE!\Hoe? Where am I?\On the Chess board.\Tomoyo-chan.\I am Humpty-Dumpty.\I am in the middle of a chess game.\Hoe? With whom?\Kero-chan! response:	Kero-chan,
context: Hoe? Where am I?\On the Chess board.\Tomoyo-chan.\I am Humpty-Dumpty.\I am in the middle of a chess game.\Hoe? With whom?\Kero-chan!\Kero-chan, response:	do you know
context: On the Chess board.\Tomoyo-chan.\I am Humpty-Dumpty.\I am in the middle of a chess game.\Hoe? With whom?\Kero-chan!\Kero-chan,\do you know response:	how I can get out of this book?
context: Tomoyo-chan.\I am Humpty-Dumpty.\I am in the middle of a chess game.\Hoe? With whom?\Kero-chan!\Kero-chan,\do you know\how I can get out of this book? response:	I am not Kero-chan.
context: I am Humpty-Dumpty.\I am in the middle of a chess game.\Hoe? With whom?\Kero-chan!\Kero-chan,\do you know\how I can get out of this book?\I am not Kero-chan. response:	You have interrupted my chess game.
context: I am in the middle of a chess game.\Hoe? With whom?\Kero-chan!\Kero-chan,\do you know\how I can get out of this book?\I am not Kero-chan.\You have interrupted my chess game. response:	Kero-chan'
context: Hoe? With whom?\Kero-chan!\Kero-chan,\do you know\how I can get out of this book?\I am not Kero-chan.\You have interrupted my chess game.\Kero-chan' response:	I am not Kero-chan.
context: Kero-chan!\Kero-chan,\do you know\how I can get out of this book?\I am not Kero-chan.\You have interrupted my chess game.\Kero-chan'\I am not Kero-chan. response:	I am the Queen!
context: Kero-chan,\do you know\how I can get out of this book?\I am not Kero-chan.\You have interrupted my chess game.\Kero-chan'\I am not Kero-chan.\I am the Queen! response:	What's going on, Kero-chan!
context: do you know\how I can get out of this book?\I am not Kero-chan.\You have interrupted my chess game.\Kero-chan'\I am not Kero-chan.\I am the Queen!\What's going on, Kero-chan! response:	Call me your majesty!
context: how I can get out of this book?\I am not Kero-chan.\You have interrupted my chess game.\Kero-chan'\I am not Kero-chan.\I am the Queen!\What's going on, Kero-chan!\Call me your majesty! response:	Wait! I'm not done with you yet!
context: I am not Kero-chan.\You have interrupted my chess game.\Kero-chan'\I am not Kero-chan.\I am the Queen!\What's going on, Kero-chan!\Call me your majesty!\Wait! I'm not done with you yet! response:	Ahh! Eriol-kun!
context: You have interrupted my chess game.\Kero-chan'\I am not Kero-chan.\I am the Queen!\What's going on, Kero-chan!\Call me your majesty!\Wait! I'm not done with you yet!\Ahh! Eriol-kun! response:	I am the Cheshire cat.
context: Kero-chan'\I am not Kero-chan.\I am the Queen!\What's going on, Kero-chan!\Call me your majesty!\Wait! I'm not done with you yet!\Ahh! Eriol-kun!\I am the Cheshire cat. response:	Even in the book, Cheshire cat knew a lot'
context: I am not Kero-chan.\I am the Queen!\What's going on, Kero-chan!\Call me your majesty!\Wait! I'm not done with you yet!\Ahh! Eriol-kun!\I am the Cheshire cat.\Even in the book, Cheshire cat knew a lot' response:	Please tell me
context: I am the Queen!\What's going on, Kero-chan!\Call me your majesty!\Wait! I'm not done with you yet!\Ahh! Eriol-kun!\I am the Cheshire cat.\Even in the book, Cheshire cat knew a lot'\Please tell me response:	how can I get out of this book?
context: What's going on, Kero-chan!\Call me your majesty!\Wait! I'm not done with you yet!\Ahh! Eriol-kun!\I am the Cheshire cat.\Even in the book, Cheshire cat knew a lot'\Please tell me\how can I get out of this book? response:	There's only one way out.
