context: Mari, where do you think you're going? response:	You promised you'd be quiet at home for a while.
context: Searching?\Yes.\Do you know where he might have gone?\Dr. Hayase, you mean?\Yes...\If he's anywhere, it might be the university.\University?\Bonn University, where I work. response:	He's always...
context: Yes.\Do you know where he might have gone?\Dr. Hayase, you mean?\Yes...\If he's anywhere, it might be the university.\University?\Bonn University, where I work.\He's always... response:	A-Are you okay?
context: Do you know where he might have gone?\Dr. Hayase, you mean?\Yes...\If he's anywhere, it might be the university.\University?\Bonn University, where I work.\He's always...\A-Are you okay? response:	I'm fine... Fine...
context: Dr. Hayase, you mean?\Yes...\If he's anywhere, it might be the university.\University?\Bonn University, where I work.\He's always...\A-Are you okay?\I'm fine... Fine... response:	Papa!
context: Yes...\If he's anywhere, it might be the university.\University?\Bonn University, where I work.\He's always...\A-Are you okay?\I'm fine... Fine...\Papa! response:	Johanna...
context: If he's anywhere, it might be the university.\University?\Bonn University, where I work.\He's always...\A-Are you okay?\I'm fine... Fine...\Papa!\Johanna... response:	Thank you for coming.
context: University?\Bonn University, where I work.\He's always...\A-Are you okay?\I'm fine... Fine...\Papa!\Johanna...\Thank you for coming. response:	Hey, look at this!
context: Bonn University, where I work.\He's always...\A-Are you okay?\I'm fine... Fine...\Papa!\Johanna...\Thank you for coming.\Hey, look at this! response:	What's this?
context: He's always...\A-Are you okay?\I'm fine... Fine...\Papa!\Johanna...\Thank you for coming.\Hey, look at this!\What's this? response:	It might fix your cough!
context: A-Are you okay?\I'm fine... Fine...\Papa!\Johanna...\Thank you for coming.\Hey, look at this!\What's this?\It might fix your cough! response:	I see. Thank you.
context: I'm fine... Fine...\Papa!\Johanna...\Thank you for coming.\Hey, look at this!\What's this?\It might fix your cough!\I see. Thank you. response:	Who's that?
context: Papa!\Johanna...\Thank you for coming.\Hey, look at this!\What's this?\It might fix your cough!\I see. Thank you.\Who's that? response:	Oh, um, I'm...
context: Johanna...\Thank you for coming.\Hey, look at this!\What's this?\It might fix your cough!\I see. Thank you.\Who's that?\Oh, um, I'm... response:	The daughter of a friend of mine.
context: Thank you for coming.\Hey, look at this!\What's this?\It might fix your cough!\I see. Thank you.\Who's that?\Oh, um, I'm...\The daughter of a friend of mine. response:	I'm Johanna!
context: Hey, look at this!\What's this?\It might fix your cough!\I see. Thank you.\Who's that?\Oh, um, I'm...\The daughter of a friend of mine.\I'm Johanna! response:	Hello, I'm Mari.
context: What's this?\It might fix your cough!\I see. Thank you.\Who's that?\Oh, um, I'm...\The daughter of a friend of mine.\I'm Johanna!\Hello, I'm Mari. response:	Darling!
context: It might fix your cough!\I see. Thank you.\Who's that?\Oh, um, I'm...\The daughter of a friend of mine.\I'm Johanna!\Hello, I'm Mari.\Darling! response:	Reading is all well and good,
context: I see. Thank you.\Who's that?\Oh, um, I'm...\The daughter of a friend of mine.\I'm Johanna!\Hello, I'm Mari.\Darling!\Reading is all well and good, response:	but it's time to get ready to leave the hospital.
context: Who's that?\Oh, um, I'm...\The daughter of a friend of mine.\I'm Johanna!\Hello, I'm Mari.\Darling!\Reading is all well and good,\but it's time to get ready to leave the hospital. response:	You're not going to go home in your robe, are you?
context: Oh, um, I'm...\The daughter of a friend of mine.\I'm Johanna!\Hello, I'm Mari.\Darling!\Reading is all well and good,\but it's time to get ready to leave the hospital.\You're not going to go home in your robe, are you? response:	Good point. I'll get ready right away.
context: The daughter of a friend of mine.\I'm Johanna!\Hello, I'm Mari.\Darling!\Reading is all well and good,\but it's time to get ready to leave the hospital.\You're not going to go home in your robe, are you?\Good point. I'll get ready right away. response:	By the way, Elisabeth...
context: I'm Johanna!\Hello, I'm Mari.\Darling!\Reading is all well and good,\but it's time to get ready to leave the hospital.\You're not going to go home in your robe, are you?\Good point. I'll get ready right away.\By the way, Elisabeth... response:	Could we stop by the university before we head home?
context: Hello, I'm Mari.\Darling!\Reading is all well and good,\but it's time to get ready to leave the hospital.\You're not going to go home in your robe, are you?\Good point. I'll get ready right away.\By the way, Elisabeth...\Could we stop by the university before we head home? response:	This girl is looking for her father.
context: Darling!\Reading is all well and good,\but it's time to get ready to leave the hospital.\You're not going to go home in your robe, are you?\Good point. I'll get ready right away.\By the way, Elisabeth...\Could we stop by the university before we head home?\This girl is looking for her father. response:	Thank you!
context: Reading is all well and good,\but it's time to get ready to leave the hospital.\You're not going to go home in your robe, are you?\Good point. I'll get ready right away.\By the way, Elisabeth...\Could we stop by the university before we head home?\This girl is looking for her father.\Thank you! response:	There's a policeman at the front.
context: but it's time to get ready to leave the hospital.\You're not going to go home in your robe, are you?\Good point. I'll get ready right away.\By the way, Elisabeth...\Could we stop by the university before we head home?\This girl is looking for her father.\Thank you!\There's a policeman at the front. response:	I don't think we can get inside.
context: You're not going to go home in your robe, are you?\Good point. I'll get ready right away.\By the way, Elisabeth...\Could we stop by the university before we head home?\This girl is looking for her father.\Thank you!\There's a policeman at the front.\I don't think we can get inside. response:	That's awful... Where's Mari?
context: Good point. I'll get ready right away.\By the way, Elisabeth...\Could we stop by the university before we head home?\This girl is looking for her father.\Thank you!\There's a policeman at the front.\I don't think we can get inside.\That's awful... Where's Mari? response:	Huh? Um... Well...
context: By the way, Elisabeth...\Could we stop by the university before we head home?\This girl is looking for her father.\Thank you!\There's a policeman at the front.\I don't think we can get inside.\That's awful... Where's Mari?\Huh? Um... Well... response:	She's in the past right now...
context: Could we stop by the university before we head home?\This girl is looking for her father.\Thank you!\There's a policeman at the front.\I don't think we can get inside.\That's awful... Where's Mari?\Huh? Um... Well...\She's in the past right now... response:	The past? What do you mean?!
context: This girl is looking for her father.\Thank you!\There's a policeman at the front.\I don't think we can get inside.\That's awful... Where's Mari?\Huh? Um... Well...\She's in the past right now...\The past? What do you mean?! response:	Well, see...
context: Thank you!\There's a policeman at the front.\I don't think we can get inside.\That's awful... Where's Mari?\Huh? Um... Well...\She's in the past right now...\The past? What do you mean?!\Well, see... response:	She was in so much danger last time...
context: There's a policeman at the front.\I don't think we can get inside.\That's awful... Where's Mari?\Huh? Um... Well...\She's in the past right now...\The past? What do you mean?!\Well, see...\She was in so much danger last time... response:	B-But she was really worried about her father...
context: I don't think we can get inside.\That's awful... Where's Mari?\Huh? Um... Well...\She's in the past right now...\The past? What do you mean?!\Well, see...\She was in so much danger last time...\B-But she was really worried about her father... response:	The fact that she was in danger before made her want to help him even more.
context: That's awful... Where's Mari?\Huh? Um... Well...\She's in the past right now...\The past? What do you mean?!\Well, see...\She was in so much danger last time...\B-But she was really worried about her father...\The fact that she was in danger before made her want to help him even more. response:	Honestly...
context: Huh? Um... Well...\She's in the past right now...\The past? What do you mean?!\Well, see...\She was in so much danger last time...\B-But she was really worried about her father...\The fact that she was in danger before made her want to help him even more.\Honestly... response:	Anyway, wait until I get there.
context: She's in the past right now...\The past? What do you mean?!\Well, see...\She was in so much danger last time...\B-But she was really worried about her father...\The fact that she was in danger before made her want to help him even more.\Honestly...\Anyway, wait until I get there. response:	I'll be there soon.
context: The past? What do you mean?!\Well, see...\She was in so much danger last time...\B-But she was really worried about her father...\The fact that she was in danger before made her want to help him even more.\Honestly...\Anyway, wait until I get there.\I'll be there soon. response:	Okay.
context: Well, see...\She was in so much danger last time...\B-But she was really worried about her father...\The fact that she was in danger before made her want to help him even more.\Honestly...\Anyway, wait until I get there.\I'll be there soon.\Okay. response:	Waka? What's wrong? Waka?
context: She was in so much danger last time...\B-But she was really worried about her father...\The fact that she was in danger before made her want to help him even more.\Honestly...\Anyway, wait until I get there.\I'll be there soon.\Okay.\Waka? What's wrong? Waka? response:	Hello? Hello?!
context: B-But she was really worried about her father...\The fact that she was in danger before made her want to help him even more.\Honestly...\Anyway, wait until I get there.\I'll be there soon.\Okay.\Waka? What's wrong? Waka?\Hello? Hello?! response:	Professor! You're out of the hospital?
context: The fact that she was in danger before made her want to help him even more.\Honestly...\Anyway, wait until I get there.\I'll be there soon.\Okay.\Waka? What's wrong? Waka?\Hello? Hello?!\Professor! You're out of the hospital? response:	Yes, I was just discharged.
context: Honestly...\Anyway, wait until I get there.\I'll be there soon.\Okay.\Waka? What's wrong? Waka?\Hello? Hello?!\Professor! You're out of the hospital?\Yes, I was just discharged. response:	By the way, has Dr. Hayase been in recently?
context: Anyway, wait until I get there.\I'll be there soon.\Okay.\Waka? What's wrong? Waka?\Hello? Hello?!\Professor! You're out of the hospital?\Yes, I was just discharged.\By the way, has Dr. Hayase been in recently? response:	Yes... he was here this morning.
context: I'll be there soon.\Okay.\Waka? What's wrong? Waka?\Hello? Hello?!\Professor! You're out of the hospital?\Yes, I was just discharged.\By the way, has Dr. Hayase been in recently?\Yes... he was here this morning. response:	Oh? S-So...
context: Okay.\Waka? What's wrong? Waka?\Hello? Hello?!\Professor! You're out of the hospital?\Yes, I was just discharged.\By the way, has Dr. Hayase been in recently?\Yes... he was here this morning.\Oh? S-So... response:	Who is this girl?
context: Waka? What's wrong? Waka?\Hello? Hello?!\Professor! You're out of the hospital?\Yes, I was just discharged.\By the way, has Dr. Hayase been in recently?\Yes... he was here this morning.\Oh? S-So...\Who is this girl? response:	She's the doctor's daughter.
context: Hello? Hello?!\Professor! You're out of the hospital?\Yes, I was just discharged.\By the way, has Dr. Hayase been in recently?\Yes... he was here this morning.\Oh? S-So...\Who is this girl?\She's the doctor's daughter. response:	Since you were off today, he said he'd visit you at your house.
context: Professor! You're out of the hospital?\Yes, I was just discharged.\By the way, has Dr. Hayase been in recently?\Yes... he was here this morning.\Oh? S-So...\Who is this girl?\She's the doctor's daughter.\Since you were off today, he said he'd visit you at your house. response:	I see.
context: Yes, I was just discharged.\By the way, has Dr. Hayase been in recently?\Yes... he was here this morning.\Oh? S-So...\Who is this girl?\She's the doctor's daughter.\Since you were off today, he said he'd visit you at your house.\I see. response:	Let's wait for him at my house then, Mari.
context: By the way, has Dr. Hayase been in recently?\Yes... he was here this morning.\Oh? S-So...\Who is this girl?\She's the doctor's daughter.\Since you were off today, he said he'd visit you at your house.\I see.\Let's wait for him at my house then, Mari. response:	Okay! Thank you.
context: Yes... he was here this morning.\Oh? S-So...\Who is this girl?\She's the doctor's daughter.\Since you were off today, he said he'd visit you at your house.\I see.\Let's wait for him at my house then, Mari.\Okay! Thank you. response:	Darling!
context: Oh? S-So...\Who is this girl?\She's the doctor's daughter.\Since you were off today, he said he'd visit you at your house.\I see.\Let's wait for him at my house then, Mari.\Okay! Thank you.\Darling! response:	Is Johanna here?
context: Who is this girl?\She's the doctor's daughter.\Since you were off today, he said he'd visit you at your house.\I see.\Let's wait for him at my house then, Mari.\Okay! Thank you.\Darling!\Is Johanna here? response:	There it is!
context: She's the doctor's daughter.\Since you were off today, he said he'd visit you at your house.\I see.\Let's wait for him at my house then, Mari.\Okay! Thank you.\Darling!\Is Johanna here?\There it is! response:	Mama?
context: Since you were off today, he said he'd visit you at your house.\I see.\Let's wait for him at my house then, Mari.\Okay! Thank you.\Darling!\Is Johanna here?\There it is!\Mama? response:	Are you okay?
context: I see.\Let's wait for him at my house then, Mari.\Okay! Thank you.\Darling!\Is Johanna here?\There it is!\Mama?\Are you okay? response:	Darling...
context: Let's wait for him at my house then, Mari.\Okay! Thank you.\Darling!\Is Johanna here?\There it is!\Mama?\Are you okay?\Darling... response:	I'm fine. You should find Johanna.
context: Okay! Thank you.\Darling!\Is Johanna here?\There it is!\Mama?\Are you okay?\Darling...\I'm fine. You should find Johanna. response:	But the university is so big.
context: Darling!\Is Johanna here?\There it is!\Mama?\Are you okay?\Darling...\I'm fine. You should find Johanna.\But the university is so big. response:	It might fix your cough!
context: Is Johanna here?\There it is!\Mama?\Are you okay?\Darling...\I'm fine. You should find Johanna.\But the university is so big.\It might fix your cough! response:	The plant diagrams...
context: There it is!\Mama?\Are you okay?\Darling...\I'm fine. You should find Johanna.\But the university is so big.\It might fix your cough!\The plant diagrams... response:	The garden?
context: Mama?\Are you okay?\Darling...\I'm fine. You should find Johanna.\But the university is so big.\It might fix your cough!\The plant diagrams...\The garden? response:	There is a botanical garden on the grounds. Could it be...
context: Are you okay?\Darling...\I'm fine. You should find Johanna.\But the university is so big.\It might fix your cough!\The plant diagrams...\The garden?\There is a botanical garden on the grounds. Could it be... response:	Mama!
context: Darling...\I'm fine. You should find Johanna.\But the university is so big.\It might fix your cough!\The plant diagrams...\The garden?\There is a botanical garden on the grounds. Could it be...\Mama! response:	Mama?
context: I'm fine. You should find Johanna.\But the university is so big.\It might fix your cough!\The plant diagrams...\The garden?\There is a botanical garden on the grounds. Could it be...\Mama!\Mama? response:	Johanna!
context: But the university is so big.\It might fix your cough!\The plant diagrams...\The garden?\There is a botanical garden on the grounds. Could it be...\Mama!\Mama?\Johanna! response:	What are you doing here?!
context: It might fix your cough!\The plant diagrams...\The garden?\There is a botanical garden on the grounds. Could it be...\Mama!\Mama?\Johanna!\What are you doing here?! response:	Mama...
context: The plant diagrams...\The garden?\There is a botanical garden on the grounds. Could it be...\Mama!\Mama?\Johanna!\What are you doing here?!\Mama... response:	Do you know how worried we were about you?
context: The garden?\There is a botanical garden on the grounds. Could it be...\Mama!\Mama?\Johanna!\What are you doing here?!\Mama...\Do you know how worried we were about you? response:	Well... But...
context: There is a botanical garden on the grounds. Could it be...\Mama!\Mama?\Johanna!\What are you doing here?!\Mama...\Do you know how worried we were about you?\Well... But... response:	No matter what happens, you can't just run off.
context: Mama!\Mama?\Johanna!\What are you doing here?!\Mama...\Do you know how worried we were about you?\Well... But...\No matter what happens, you can't just run off. response:	But... But...
context: Mama?\Johanna!\What are you doing here?!\Mama...\Do you know how worried we were about you?\Well... But...\No matter what happens, you can't just run off.\But... But... response:	I wanted to make Papa feel better.
context: Johanna!\What are you doing here?!\Mama...\Do you know how worried we were about you?\Well... But...\No matter what happens, you can't just run off.\But... But...\I wanted to make Papa feel better. response:	I know. I know.
context: What are you doing here?!\Mama...\Do you know how worried we were about you?\Well... But...\No matter what happens, you can't just run off.\But... But...\I wanted to make Papa feel better.\I know. I know. response:	I wanna help, too!
context: Mama...\Do you know how worried we were about you?\Well... But...\No matter what happens, you can't just run off.\But... But...\I wanted to make Papa feel better.\I know. I know.\I wanna help, too! response:	This is my job!
context: Do you know how worried we were about you?\Well... But...\No matter what happens, you can't just run off.\But... But...\I wanted to make Papa feel better.\I know. I know.\I wanna help, too!\This is my job! response:	No! I wanna stir!
context: Well... But...\No matter what happens, you can't just run off.\But... But...\I wanted to make Papa feel better.\I know. I know.\I wanna help, too!\This is my job!\No! I wanna stir! response:	The cake's done! Mathilde, help me!
context: No matter what happens, you can't just run off.\But... But...\I wanted to make Papa feel better.\I know. I know.\I wanna help, too!\This is my job!\No! I wanna stir!\The cake's done! Mathilde, help me! response:	Okay!
context: But... But...\I wanted to make Papa feel better.\I know. I know.\I wanna help, too!\This is my job!\No! I wanna stir!\The cake's done! Mathilde, help me!\Okay! response:	Mama, is this okay?
context: I wanted to make Papa feel better.\I know. I know.\I wanna help, too!\This is my job!\No! I wanna stir!\The cake's done! Mathilde, help me!\Okay!\Mama, is this okay? response:	Yes, it is. Thank you.
context: I know. I know.\I wanna help, too!\This is my job!\No! I wanna stir!\The cake's done! Mathilde, help me!\Okay!\Mama, is this okay?\Yes, it is. Thank you. response:	This should be very easy for Papa to eat.
context: I wanna help, too!\This is my job!\No! I wanna stir!\The cake's done! Mathilde, help me!\Okay!\Mama, is this okay?\Yes, it is. Thank you.\This should be very easy for Papa to eat. response:	Anyway, Mathilde...
context: This is my job!\No! I wanna stir!\The cake's done! Mathilde, help me!\Okay!\Mama, is this okay?\Yes, it is. Thank you.\This should be very easy for Papa to eat.\Anyway, Mathilde... response:	Would you put the fruit topping on?
context: No! I wanna stir!\The cake's done! Mathilde, help me!\Okay!\Mama, is this okay?\Yes, it is. Thank you.\This should be very easy for Papa to eat.\Anyway, Mathilde...\Would you put the fruit topping on? response:	Okay!
context: The cake's done! Mathilde, help me!\Okay!\Mama, is this okay?\Yes, it is. Thank you.\This should be very easy for Papa to eat.\Anyway, Mathilde...\Would you put the fruit topping on?\Okay! response:	Smells so good!
context: Okay!\Mama, is this okay?\Yes, it is. Thank you.\This should be very easy for Papa to eat.\Anyway, Mathilde...\Would you put the fruit topping on?\Okay!\Smells so good! response:	Yes!
context: Mama, is this okay?\Yes, it is. Thank you.\This should be very easy for Papa to eat.\Anyway, Mathilde...\Would you put the fruit topping on?\Okay!\Smells so good!\Yes! response:	Now I need to prepare the herbal tea, and we're done.
context: Yes, it is. Thank you.\This should be very easy for Papa to eat.\Anyway, Mathilde...\Would you put the fruit topping on?\Okay!\Smells so good!\Yes!\Now I need to prepare the herbal tea, and we're done. response:	What kind of herbal tea?
context: This should be very easy for Papa to eat.\Anyway, Mathilde...\Would you put the fruit topping on?\Okay!\Smells so good!\Yes!\Now I need to prepare the herbal tea, and we're done.\What kind of herbal tea? response:	Chamomile and marigold.
context: Anyway, Mathilde...\Would you put the fruit topping on?\Okay!\Smells so good!\Yes!\Now I need to prepare the herbal tea, and we're done.\What kind of herbal tea?\Chamomile and marigold. response:	I hear it's good for a cough.
context: Would you put the fruit topping on?\Okay!\Smells so good!\Yes!\Now I need to prepare the herbal tea, and we're done.\What kind of herbal tea?\Chamomile and marigold.\I hear it's good for a cough. response:	No!
context: Okay!\Smells so good!\Yes!\Now I need to prepare the herbal tea, and we're done.\What kind of herbal tea?\Chamomile and marigold.\I hear it's good for a cough.\No! response:	You need to put them on more neatly! It's all messed up!
context: Smells so good!\Yes!\Now I need to prepare the herbal tea, and we're done.\What kind of herbal tea?\Chamomile and marigold.\I hear it's good for a cough.\No!\You need to put them on more neatly! It's all messed up! response:	This is my job!
context: Yes!\Now I need to prepare the herbal tea, and we're done.\What kind of herbal tea?\Chamomile and marigold.\I hear it's good for a cough.\No!\You need to put them on more neatly! It's all messed up!\This is my job! response:	Give it to me!
context: Now I need to prepare the herbal tea, and we're done.\What kind of herbal tea?\Chamomile and marigold.\I hear it's good for a cough.\No!\You need to put them on more neatly! It's all messed up!\This is my job!\Give it to me! response:	-No! I'm doing it! -Stop it!
context: What kind of herbal tea?\Chamomile and marigold.\I hear it's good for a cough.\No!\You need to put them on more neatly! It's all messed up!\This is my job!\Give it to me!\-No! I'm doing it! -Stop it! response:	Papa, I helped with the cake and the soup!
context: Chamomile and marigold.\I hear it's good for a cough.\No!\You need to put them on more neatly! It's all messed up!\This is my job!\Give it to me!\-No! I'm doing it! -Stop it!\Papa, I helped with the cake and the soup! response:	I'm so proud, Johanna.
context: I hear it's good for a cough.\No!\You need to put them on more neatly! It's all messed up!\This is my job!\Give it to me!\-No! I'm doing it! -Stop it!\Papa, I helped with the cake and the soup!\I'm so proud, Johanna. response:	I made the cake!
context: No!\You need to put them on more neatly! It's all messed up!\This is my job!\Give it to me!\-No! I'm doing it! -Stop it!\Papa, I helped with the cake and the soup!\I'm so proud, Johanna.\I made the cake! response:	Yes, I'm proud of you too, Mathilde.
context: You need to put them on more neatly! It's all messed up!\This is my job!\Give it to me!\-No! I'm doing it! -Stop it!\Papa, I helped with the cake and the soup!\I'm so proud, Johanna.\I made the cake!\Yes, I'm proud of you too, Mathilde. response:	I made this soup with the Plantago asiatica Johanna found.
context: This is my job!\Give it to me!\-No! I'm doing it! -Stop it!\Papa, I helped with the cake and the soup!\I'm so proud, Johanna.\I made the cake!\Yes, I'm proud of you too, Mathilde.\I made this soup with the Plantago asiatica Johanna found. response:	Papa, eat it!
context: Give it to me!\-No! I'm doing it! -Stop it!\Papa, I helped with the cake and the soup!\I'm so proud, Johanna.\I made the cake!\Yes, I'm proud of you too, Mathilde.\I made this soup with the Plantago asiatica Johanna found.\Papa, eat it! response:	Thank you, I will.
context: -No! I'm doing it! -Stop it!\Papa, I helped with the cake and the soup!\I'm so proud, Johanna.\I made the cake!\Yes, I'm proud of you too, Mathilde.\I made this soup with the Plantago asiatica Johanna found.\Papa, eat it!\Thank you, I will. response:	It's just delicious, Johanna.
context: Papa, I helped with the cake and the soup!\I'm so proud, Johanna.\I made the cake!\Yes, I'm proud of you too, Mathilde.\I made this soup with the Plantago asiatica Johanna found.\Papa, eat it!\Thank you, I will.\It's just delicious, Johanna. response:	I'm glad!
context: I'm so proud, Johanna.\I made the cake!\Yes, I'm proud of you too, Mathilde.\I made this soup with the Plantago asiatica Johanna found.\Papa, eat it!\Thank you, I will.\It's just delicious, Johanna.\I'm glad! response:	Yes, it truly is delicious.
context: I made the cake!\Yes, I'm proud of you too, Mathilde.\I made this soup with the Plantago asiatica Johanna found.\Papa, eat it!\Thank you, I will.\It's just delicious, Johanna.\I'm glad!\Yes, it truly is delicious. response:	You two eat, too.
context: Yes, I'm proud of you too, Mathilde.\I made this soup with the Plantago asiatica Johanna found.\Papa, eat it!\Thank you, I will.\It's just delicious, Johanna.\I'm glad!\Yes, it truly is delicious.\You two eat, too. response:	Okay!
context: I made this soup with the Plantago asiatica Johanna found.\Papa, eat it!\Thank you, I will.\It's just delicious, Johanna.\I'm glad!\Yes, it truly is delicious.\You two eat, too.\Okay! response:	Thank you for the food!
context: Papa, eat it!\Thank you, I will.\It's just delicious, Johanna.\I'm glad!\Yes, it truly is delicious.\You two eat, too.\Okay!\Thank you for the food! response:	I'm full, so I think I'll go lie down.
context: Thank you, I will.\It's just delicious, Johanna.\I'm glad!\Yes, it truly is delicious.\You two eat, too.\Okay!\Thank you for the food!\I'm full, so I think I'll go lie down. response:	You're leaving already?
context: It's just delicious, Johanna.\I'm glad!\Yes, it truly is delicious.\You two eat, too.\Okay!\Thank you for the food!\I'm full, so I think I'll go lie down.\You're leaving already? response:	I'll have more soup tomorrow.
context: I'm glad!\Yes, it truly is delicious.\You two eat, too.\Okay!\Thank you for the food!\I'm full, so I think I'll go lie down.\You're leaving already?\I'll have more soup tomorrow. response:	Okay! Got it!
context: Yes, it truly is delicious.\You two eat, too.\Okay!\Thank you for the food!\I'm full, so I think I'll go lie down.\You're leaving already?\I'll have more soup tomorrow.\Okay! Got it! response:	Oh, I need to lay out Papa's robe.
context: You two eat, too.\Okay!\Thank you for the food!\I'm full, so I think I'll go lie down.\You're leaving already?\I'll have more soup tomorrow.\Okay! Got it!\Oh, I need to lay out Papa's robe. response:	Eat up, okay?
context: Okay!\Thank you for the food!\I'm full, so I think I'll go lie down.\You're leaving already?\I'll have more soup tomorrow.\Okay! Got it!\Oh, I need to lay out Papa's robe.\Eat up, okay? response:	Okay!
context: Thank you for the food!\I'm full, so I think I'll go lie down.\You're leaving already?\I'll have more soup tomorrow.\Okay! Got it!\Oh, I need to lay out Papa's robe.\Eat up, okay?\Okay! response:	Darling...!
context: I'm full, so I think I'll go lie down.\You're leaving already?\I'll have more soup tomorrow.\Okay! Got it!\Oh, I need to lay out Papa's robe.\Eat up, okay?\Okay!\Darling...! response:	I'm sorry.
context: You're leaving already?\I'll have more soup tomorrow.\Okay! Got it!\Oh, I need to lay out Papa's robe.\Eat up, okay?\Okay!\Darling...!\I'm sorry. response:	Don't apologize. You haven't done anything wrong.
context: I'll have more soup tomorrow.\Okay! Got it!\Oh, I need to lay out Papa's robe.\Eat up, okay?\Okay!\Darling...!\I'm sorry.\Don't apologize. You haven't done anything wrong. response:	Perhaps this is what I deserve.
context: Okay! Got it!\Oh, I need to lay out Papa's robe.\Eat up, okay?\Okay!\Darling...!\I'm sorry.\Don't apologize. You haven't done anything wrong.\Perhaps this is what I deserve. response:	Don't be foolish.
context: Oh, I need to lay out Papa's robe.\Eat up, okay?\Okay!\Darling...!\I'm sorry.\Don't apologize. You haven't done anything wrong.\Perhaps this is what I deserve.\Don't be foolish. response:	Heinrich, I'm so proud of you.
context: Eat up, okay?\Okay!\Darling...!\I'm sorry.\Don't apologize. You haven't done anything wrong.\Perhaps this is what I deserve.\Don't be foolish.\Heinrich, I'm so proud of you. response:	Elisabeth...
context: Okay!\Darling...!\I'm sorry.\Don't apologize. You haven't done anything wrong.\Perhaps this is what I deserve.\Don't be foolish.\Heinrich, I'm so proud of you.\Elisabeth... response:	But my research... what good will it do?
context: Darling...!\I'm sorry.\Don't apologize. You haven't done anything wrong.\Perhaps this is what I deserve.\Don't be foolish.\Heinrich, I'm so proud of you.\Elisabeth...\But my research... what good will it do? response:	I'll get it!
context: I'm sorry.\Don't apologize. You haven't done anything wrong.\Perhaps this is what I deserve.\Don't be foolish.\Heinrich, I'm so proud of you.\Elisabeth...\But my research... what good will it do?\I'll get it! response:	Mari!
context: Don't apologize. You haven't done anything wrong.\Perhaps this is what I deserve.\Don't be foolish.\Heinrich, I'm so proud of you.\Elisabeth...\But my research... what good will it do?\I'll get it!\Mari! response:	Papa! I'm so glad! I found you!
context: Perhaps this is what I deserve.\Don't be foolish.\Heinrich, I'm so proud of you.\Elisabeth...\But my research... what good will it do?\I'll get it!\Mari!\Papa! I'm so glad! I found you! response:	Y-Yes.
context: Don't be foolish.\Heinrich, I'm so proud of you.\Elisabeth...\But my research... what good will it do?\I'll get it!\Mari!\Papa! I'm so glad! I found you!\Y-Yes. response:	There's something I wanted to let Mr. Hertz know.
context: Heinrich, I'm so proud of you.\Elisabeth...\But my research... what good will it do?\I'll get it!\Mari!\Papa! I'm so glad! I found you!\Y-Yes.\There's something I wanted to let Mr. Hertz know. response:	What is it?
context: Elisabeth...\But my research... what good will it do?\I'll get it!\Mari!\Papa! I'm so glad! I found you!\Y-Yes.\There's something I wanted to let Mr. Hertz know.\What is it? response:	Excuse me.
context: But my research... what good will it do?\I'll get it!\Mari!\Papa! I'm so glad! I found you!\Y-Yes.\There's something I wanted to let Mr. Hertz know.\What is it?\Excuse me. response:	Please come in.
context: I'll get it!\Mari!\Papa! I'm so glad! I found you!\Y-Yes.\There's something I wanted to let Mr. Hertz know.\What is it?\Excuse me.\Please come in. response:	You want to talk to my husband, don't you?
context: Mari!\Papa! I'm so glad! I found you!\Y-Yes.\There's something I wanted to let Mr. Hertz know.\What is it?\Excuse me.\Please come in.\You want to talk to my husband, don't you? response:	Thank you.
context: Papa! I'm so glad! I found you!\Y-Yes.\There's something I wanted to let Mr. Hertz know.\What is it?\Excuse me.\Please come in.\You want to talk to my husband, don't you?\Thank you. response:	I'll let my husband know.
context: Y-Yes.\There's something I wanted to let Mr. Hertz know.\What is it?\Excuse me.\Please come in.\You want to talk to my husband, don't you?\Thank you.\I'll let my husband know. response:	So would you please wait a moment?
context: There's something I wanted to let Mr. Hertz know.\What is it?\Excuse me.\Please come in.\You want to talk to my husband, don't you?\Thank you.\I'll let my husband know.\So would you please wait a moment? response:	Of course.
context: What is it?\Excuse me.\Please come in.\You want to talk to my husband, don't you?\Thank you.\I'll let my husband know.\So would you please wait a moment?\Of course. response:	Listen, Papa.
context: Excuse me.\Please come in.\You want to talk to my husband, don't you?\Thank you.\I'll let my husband know.\So would you please wait a moment?\Of course.\Listen, Papa. response:	After we parted ways at Mr. Bell's place,
context: Please come in.\You want to talk to my husband, don't you?\Thank you.\I'll let my husband know.\So would you please wait a moment?\Of course.\Listen, Papa.\After we parted ways at Mr. Bell's place, response:	the armillary compass malfunctioned, and I almost didn't get back.
context: You want to talk to my husband, don't you?\Thank you.\I'll let my husband know.\So would you please wait a moment?\Of course.\Listen, Papa.\After we parted ways at Mr. Bell's place,\the armillary compass malfunctioned, and I almost didn't get back. response:	So I thought the same thing might have happened to you, and you can't get back.
context: Thank you.\I'll let my husband know.\So would you please wait a moment?\Of course.\Listen, Papa.\After we parted ways at Mr. Bell's place,\the armillary compass malfunctioned, and I almost didn't get back.\So I thought the same thing might have happened to you, and you can't get back. response:	Hey... After we get back,
context: I'll let my husband know.\So would you please wait a moment?\Of course.\Listen, Papa.\After we parted ways at Mr. Bell's place,\the armillary compass malfunctioned, and I almost didn't get back.\So I thought the same thing might have happened to you, and you can't get back.\Hey... After we get back, response:	would you promise not to time travel again?
