context: Felt-sama, thank you for gracing us with your presence. response:	Reinhard...
context: but to drag it out this long is senseless!\He's right.\The Astrea family offers a gutter rat to rule us,\while Margrave Mathers endorses a half-devil? Utter foolishness!\It isn't at all nice to call a half-elf a half-devil.\That silver-haired half-devil\matches the Jealous Witch's appearance, as described for generations!\Why do you not realize that even allowing her in the throne room is dreadful? response:	Filthy woman!
context: He's right.\The Astrea family offers a gutter rat to rule us,\while Margrave Mathers endorses a half-devil? Utter foolishness!\It isn't at all nice to call a half-elf a half-devil.\That silver-haired half-devil\matches the Jealous Witch's appearance, as described for generations!\Why do you not realize that even allowing her in the throne room is dreadful?\Filthy woman! response:	Enough of your crap!
context: The Astrea family offers a gutter rat to rule us,\while Margrave Mathers endorses a half-devil? Utter foolishness!\It isn't at all nice to call a half-elf a half-devil.\That silver-haired half-devil\matches the Jealous Witch's appearance, as described for generations!\Why do you not realize that even allowing her in the throne room is dreadful?\Filthy woman!\Enough of your crap! response:	Subaru, it's all right! Stop this!
context: while Margrave Mathers endorses a half-devil? Utter foolishness!\It isn't at all nice to call a half-elf a half-devil.\That silver-haired half-devil\matches the Jealous Witch's appearance, as described for generations!\Why do you not realize that even allowing her in the throne room is dreadful?\Filthy woman!\Enough of your crap!\Subaru, it's all right! Stop this! response:	I will not stop!
context: It isn't at all nice to call a half-elf a half-devil.\That silver-haired half-devil\matches the Jealous Witch's appearance, as described for generations!\Why do you not realize that even allowing her in the throne room is dreadful?\Filthy woman!\Enough of your crap!\Subaru, it's all right! Stop this!\I will not stop! response:	You people are full of crap!
context: That silver-haired half-devil\matches the Jealous Witch's appearance, as described for generations!\Why do you not realize that even allowing her in the throne room is dreadful?\Filthy woman!\Enough of your crap!\Subaru, it's all right! Stop this!\I will not stop!\You people are full of crap! response:	Apologize to Emilia
context: matches the Jealous Witch's appearance, as described for generations!\Why do you not realize that even allowing her in the throne room is dreadful?\Filthy woman!\Enough of your crap!\Subaru, it's all right! Stop this!\I will not stop!\You people are full of crap!\Apologize to Emilia response:	Subaru!
context: Why do you not realize that even allowing her in the throne room is dreadful?\Filthy woman!\Enough of your crap!\Subaru, it's all right! Stop this!\I will not stop!\You people are full of crap!\Apologize to Emilia\Subaru! response:	Allow me to formally introduce myself to the honored council of elders.
context: Filthy woman!\Enough of your crap!\Subaru, it's all right! Stop this!\I will not stop!\You people are full of crap!\Apologize to Emilia\Subaru!\Allow me to formally introduce myself to the honored council of elders. response:	My name is Emilia.
context: Enough of your crap!\Subaru, it's all right! Stop this!\I will not stop!\You people are full of crap!\Apologize to Emilia\Subaru!\Allow me to formally introduce myself to the honored council of elders.\My name is Emilia. response:	I am accompanied by Puck, a great spirit who controls fire,
context: Subaru, it's all right! Stop this!\I will not stop!\You people are full of crap!\Apologize to Emilia\Subaru!\Allow me to formally introduce myself to the honored council of elders.\My name is Emilia.\I am accompanied by Puck, a great spirit who controls fire, response:	and I am a silver-haired half-elf.
context: I will not stop!\You people are full of crap!\Apologize to Emilia\Subaru!\Allow me to formally introduce myself to the honored council of elders.\My name is Emilia.\I am accompanied by Puck, a great spirit who controls fire,\and I am a silver-haired half-elf. response:	A great spirit?
context: You people are full of crap!\Apologize to Emilia\Subaru!\Allow me to formally introduce myself to the honored council of elders.\My name is Emilia.\I am accompanied by Puck, a great spirit who controls fire,\and I am a silver-haired half-elf.\A great spirit? response:	I understand that my half-elf lineage,
context: Apologize to Emilia\Subaru!\Allow me to formally introduce myself to the honored council of elders.\My name is Emilia.\I am accompanied by Puck, a great spirit who controls fire,\and I am a silver-haired half-elf.\A great spirit?\I understand that my half-elf lineage, response:	and other similarities to the witch, subject me to prejudice.
context: Subaru!\Allow me to formally introduce myself to the honored council of elders.\My name is Emilia.\I am accompanied by Puck, a great spirit who controls fire,\and I am a silver-haired half-elf.\A great spirit?\I understand that my half-elf lineage,\and other similarities to the witch, subject me to prejudice. response:	However...
context: Allow me to formally introduce myself to the honored council of elders.\My name is Emilia.\I am accompanied by Puck, a great spirit who controls fire,\and I am a silver-haired half-elf.\A great spirit?\I understand that my half-elf lineage,\and other similarities to the witch, subject me to prejudice.\However... response:	I adamantly refuse to let all my potential be plucked out simply for that reason.
context: My name is Emilia.\I am accompanied by Puck, a great spirit who controls fire,\and I am a silver-haired half-elf.\A great spirit?\I understand that my half-elf lineage,\and other similarities to the witch, subject me to prejudice.\However...\I adamantly refuse to let all my potential be plucked out simply for that reason. response:	Emilia...
context: I am accompanied by Puck, a great spirit who controls fire,\and I am a silver-haired half-elf.\A great spirit?\I understand that my half-elf lineage,\and other similarities to the witch, subject me to prejudice.\However...\I adamantly refuse to let all my potential be plucked out simply for that reason.\Emilia... response:	By the way...
context: and I am a silver-haired half-elf.\A great spirit?\I understand that my half-elf lineage,\and other similarities to the witch, subject me to prejudice.\However...\I adamantly refuse to let all my potential be plucked out simply for that reason.\Emilia...\By the way... response:	What, exactly, is that young man's position?
context: A great spirit?\I understand that my half-elf lineage,\and other similarities to the witch, subject me to prejudice.\However...\I adamantly refuse to let all my potential be plucked out simply for that reason.\Emilia...\By the way...\What, exactly, is that young man's position? response:	Huh? Um, well, he's...
context: I understand that my half-elf lineage,\and other similarities to the witch, subject me to prejudice.\However...\I adamantly refuse to let all my potential be plucked out simply for that reason.\Emilia...\By the way...\What, exactly, is that young man's position?\Huh? Um, well, he's... response:	It's okay, Emilia. I've made up my mind, too.
context: and other similarities to the witch, subject me to prejudice.\However...\I adamantly refuse to let all my potential be plucked out simply for that reason.\Emilia...\By the way...\What, exactly, is that young man's position?\Huh? Um, well, he's...\It's okay, Emilia. I've made up my mind, too. response:	Your mind? To do what?
context: However...\I adamantly refuse to let all my potential be plucked out simply for that reason.\Emilia...\By the way...\What, exactly, is that young man's position?\Huh? Um, well, he's...\It's okay, Emilia. I've made up my mind, too.\Your mind? To do what? response:	Hey, Subaru, what are you going to do?
context: I adamantly refuse to let all my potential be plucked out simply for that reason.\Emilia...\By the way...\What, exactly, is that young man's position?\Huh? Um, well, he's...\It's okay, Emilia. I've made up my mind, too.\Your mind? To do what?\Hey, Subaru, what are you going to do? response:	Wait!
context: Emilia...\By the way...\What, exactly, is that young man's position?\Huh? Um, well, he's...\It's okay, Emilia. I've made up my mind, too.\Your mind? To do what?\Hey, Subaru, what are you going to do?\Wait! response:	Nice to meet you, members of the council of elders.
context: By the way...\What, exactly, is that young man's position?\Huh? Um, well, he's...\It's okay, Emilia. I've made up my mind, too.\Your mind? To do what?\Hey, Subaru, what are you going to do?\Wait!\Nice to meet you, members of the council of elders. response:	My name is Natsuki Subaru.
context: What, exactly, is that young man's position?\Huh? Um, well, he's...\It's okay, Emilia. I've made up my mind, too.\Your mind? To do what?\Hey, Subaru, what are you going to do?\Wait!\Nice to meet you, members of the council of elders.\My name is Natsuki Subaru. response:	I am a manservant in Roswaal's mansion, and I serve as this candidate's...
context: Huh? Um, well, he's...\It's okay, Emilia. I've made up my mind, too.\Your mind? To do what?\Hey, Subaru, what are you going to do?\Wait!\Nice to meet you, members of the council of elders.\My name is Natsuki Subaru.\I am a manservant in Roswaal's mansion, and I serve as this candidate's... response:	Emilia-sama's best knight!
context: It's okay, Emilia. I've made up my mind, too.\Your mind? To do what?\Hey, Subaru, what are you going to do?\Wait!\Nice to meet you, members of the council of elders.\My name is Natsuki Subaru.\I am a manservant in Roswaal's mansion, and I serve as this candidate's...\Emilia-sama's best knight! response:	Hmm, a knight, is he?
context: Your mind? To do what?\Hey, Subaru, what are you going to do?\Wait!\Nice to meet you, members of the council of elders.\My name is Natsuki Subaru.\I am a manservant in Roswaal's mansion, and I serve as this candidate's...\Emilia-sama's best knight!\Hmm, a knight, is he? response:	Ah, he knows little of our world...
context: Hey, Subaru, what are you going to do?\Wait!\Nice to meet you, members of the council of elders.\My name is Natsuki Subaru.\I am a manservant in Roswaal's mansion, and I serve as this candidate's...\Emilia-sama's best knight!\Hmm, a knight, is he?\Ah, he knows little of our world... response:	Forgive me for interrupting,
context: Wait!\Nice to meet you, members of the council of elders.\My name is Natsuki Subaru.\I am a manservant in Roswaal's mansion, and I serve as this candidate's...\Emilia-sama's best knight!\Hmm, a knight, is he?\Ah, he knows little of our world...\Forgive me for interrupting, response:	but there is something I must ask him...
context: Nice to meet you, members of the council of elders.\My name is Natsuki Subaru.\I am a manservant in Roswaal's mansion, and I serve as this candidate's...\Emilia-sama's best knight!\Hmm, a knight, is he?\Ah, he knows little of our world...\Forgive me for interrupting,\but there is something I must ask him... response:	If you truly proclaim yourself to be Emilia-sama's knight.
context: My name is Natsuki Subaru.\I am a manservant in Roswaal's mansion, and I serve as this candidate's...\Emilia-sama's best knight!\Hmm, a knight, is he?\Ah, he knows little of our world...\Forgive me for interrupting,\but there is something I must ask him...\If you truly proclaim yourself to be Emilia-sama's knight. response:	What do you mean by that?
context: I am a manservant in Roswaal's mansion, and I serve as this candidate's...\Emilia-sama's best knight!\Hmm, a knight, is he?\Ah, he knows little of our world...\Forgive me for interrupting,\but there is something I must ask him...\If you truly proclaim yourself to be Emilia-sama's knight.\What do you mean by that? response:	You just declared that you are a knight.
context: Emilia-sama's best knight!\Hmm, a knight, is he?\Ah, he knows little of our world...\Forgive me for interrupting,\but there is something I must ask him...\If you truly proclaim yourself to be Emilia-sama's knight.\What do you mean by that?\You just declared that you are a knight. response:	And you did so here, audaciously, before the Knights of Lugunica!
context: Hmm, a knight, is he?\Ah, he knows little of our world...\Forgive me for interrupting,\but there is something I must ask him...\If you truly proclaim yourself to be Emilia-sama's knight.\What do you mean by that?\You just declared that you are a knight.\And you did so here, audaciously, before the Knights of Lugunica! response:	That was pretty well-coordinated...
context: Ah, he knows little of our world...\Forgive me for interrupting,\but there is something I must ask him...\If you truly proclaim yourself to be Emilia-sama's knight.\What do you mean by that?\You just declared that you are a knight.\And you did so here, audaciously, before the Knights of Lugunica!\That was pretty well-coordinated... response:	Did you guys practice that for this meeting?
context: Forgive me for interrupting,\but there is something I must ask him...\If you truly proclaim yourself to be Emilia-sama's knight.\What do you mean by that?\You just declared that you are a knight.\And you did so here, audaciously, before the Knights of Lugunica!\That was pretty well-coordinated...\Did you guys practice that for this meeting? response:	Of course.
context: but there is something I must ask him...\If you truly proclaim yourself to be Emilia-sama's knight.\What do you mean by that?\You just declared that you are a knight.\And you did so here, audaciously, before the Knights of Lugunica!\That was pretty well-coordinated...\Did you guys practice that for this meeting?\Of course. response:	To make known to all the dignity of our empire,
context: If you truly proclaim yourself to be Emilia-sama's knight.\What do you mean by that?\You just declared that you are a knight.\And you did so here, audaciously, before the Knights of Lugunica!\That was pretty well-coordinated...\Did you guys practice that for this meeting?\Of course.\To make known to all the dignity of our empire, response:	we are highly conscious of our identities every day.
context: What do you mean by that?\You just declared that you are a knight.\And you did so here, audaciously, before the Knights of Lugunica!\That was pretty well-coordinated...\Did you guys practice that for this meeting?\Of course.\To make known to all the dignity of our empire,\we are highly conscious of our identities every day. response:	Do you have the resolve to match that?
context: You just declared that you are a knight.\And you did so here, audaciously, before the Knights of Lugunica!\That was pretty well-coordinated...\Did you guys practice that for this meeting?\Of course.\To make known to all the dignity of our empire,\we are highly conscious of our identities every day.\Do you have the resolve to match that? response:	I want to make Emilia-sama the ruler...
context: And you did so here, audaciously, before the Knights of Lugunica!\That was pretty well-coordinated...\Did you guys practice that for this meeting?\Of course.\To make known to all the dignity of our empire,\we are highly conscious of our identities every day.\Do you have the resolve to match that?\I want to make Emilia-sama the ruler... response:	No, I will make her the ruler!
context: That was pretty well-coordinated...\Did you guys practice that for this meeting?\Of course.\To make known to all the dignity of our empire,\we are highly conscious of our identities every day.\Do you have the resolve to match that?\I want to make Emilia-sama the ruler...\No, I will make her the ruler! response:	And you believe you have the resolve and strength for that?
context: Did you guys practice that for this meeting?\Of course.\To make known to all the dignity of our empire,\we are highly conscious of our identities every day.\Do you have the resolve to match that?\I want to make Emilia-sama the ruler...\No, I will make her the ruler!\And you believe you have the resolve and strength for that? response:	I don't have anything as grand as resolve,
context: Of course.\To make known to all the dignity of our empire,\we are highly conscious of our identities every day.\Do you have the resolve to match that?\I want to make Emilia-sama the ruler...\No, I will make her the ruler!\And you believe you have the resolve and strength for that?\I don't have anything as grand as resolve, response:	and I'm well aware that I lack strength.
context: To make known to all the dignity of our empire,\we are highly conscious of our identities every day.\Do you have the resolve to match that?\I want to make Emilia-sama the ruler...\No, I will make her the ruler!\And you believe you have the resolve and strength for that?\I don't have anything as grand as resolve,\and I'm well aware that I lack strength. response:	But I'm going to make Emilia the ruler!
context: we are highly conscious of our identities every day.\Do you have the resolve to match that?\I want to make Emilia-sama the ruler...\No, I will make her the ruler!\And you believe you have the resolve and strength for that?\I don't have anything as grand as resolve,\and I'm well aware that I lack strength.\But I'm going to make Emilia the ruler! response:	I'm going to make her wish come true!
context: Do you have the resolve to match that?\I want to make Emilia-sama the ruler...\No, I will make her the ruler!\And you believe you have the resolve and strength for that?\I don't have anything as grand as resolve,\and I'm well aware that I lack strength.\But I'm going to make Emilia the ruler!\I'm going to make her wish come true! response:	Do you not feel that your answer is too arrogant by far?
context: I want to make Emilia-sama the ruler...\No, I will make her the ruler!\And you believe you have the resolve and strength for that?\I don't have anything as grand as resolve,\and I'm well aware that I lack strength.\But I'm going to make Emilia the ruler!\I'm going to make her wish come true!\Do you not feel that your answer is too arrogant by far? response:	Weakness is something to feel shame, not pride, about.
context: No, I will make her the ruler!\And you believe you have the resolve and strength for that?\I don't have anything as grand as resolve,\and I'm well aware that I lack strength.\But I'm going to make Emilia the ruler!\I'm going to make her wish come true!\Do you not feel that your answer is too arrogant by far?\Weakness is something to feel shame, not pride, about. response:	To earn the right to stand here, have you worked hard?
context: And you believe you have the resolve and strength for that?\I don't have anything as grand as resolve,\and I'm well aware that I lack strength.\But I'm going to make Emilia the ruler!\I'm going to make her wish come true!\Do you not feel that your answer is too arrogant by far?\Weakness is something to feel shame, not pride, about.\To earn the right to stand here, have you worked hard? response:	Have you done enough service to shame us,
context: I don't have anything as grand as resolve,\and I'm well aware that I lack strength.\But I'm going to make Emilia the ruler!\I'm going to make her wish come true!\Do you not feel that your answer is too arrogant by far?\Weakness is something to feel shame, not pride, about.\To earn the right to stand here, have you worked hard?\Have you done enough service to shame us, response:	the Imperial Knights?
context: and I'm well aware that I lack strength.\But I'm going to make Emilia the ruler!\I'm going to make her wish come true!\Do you not feel that your answer is too arrogant by far?\Weakness is something to feel shame, not pride, about.\To earn the right to stand here, have you worked hard?\Have you done enough service to shame us,\the Imperial Knights? response:	I'm still going to make Emilia the ruler!
context: But I'm going to make Emilia the ruler!\I'm going to make her wish come true!\Do you not feel that your answer is too arrogant by far?\Weakness is something to feel shame, not pride, about.\To earn the right to stand here, have you worked hard?\Have you done enough service to shame us,\the Imperial Knights?\I'm still going to make Emilia the ruler! response:	I fail to understand...
context: I'm going to make her wish come true!\Do you not feel that your answer is too arrogant by far?\Weakness is something to feel shame, not pride, about.\To earn the right to stand here, have you worked hard?\Have you done enough service to shame us,\the Imperial Knights?\I'm still going to make Emilia the ruler!\I fail to understand... response:	After being so denied,
context: Do you not feel that your answer is too arrogant by far?\Weakness is something to feel shame, not pride, about.\To earn the right to stand here, have you worked hard?\Have you done enough service to shame us,\the Imperial Knights?\I'm still going to make Emilia the ruler!\I fail to understand...\After being so denied, response:	why do you continue to stand here?
context: Weakness is something to feel shame, not pride, about.\To earn the right to stand here, have you worked hard?\Have you done enough service to shame us,\the Imperial Knights?\I'm still going to make Emilia the ruler!\I fail to understand...\After being so denied,\why do you continue to stand here? response:	Because she's special!
context: To earn the right to stand here, have you worked hard?\Have you done enough service to shame us,\the Imperial Knights?\I'm still going to make Emilia the ruler!\I fail to understand...\After being so denied,\why do you continue to stand here?\Because she's special! response:	I understand and accept your reason for standing there.
context: Have you done enough service to shame us,\the Imperial Knights?\I'm still going to make Emilia the ruler!\I fail to understand...\After being so denied,\why do you continue to stand here?\Because she's special!\I understand and accept your reason for standing there. response:	But I do not think I can acknowledge you as a knight.
context: the Imperial Knights?\I'm still going to make Emilia the ruler!\I fail to understand...\After being so denied,\why do you continue to stand here?\Because she's special!\I understand and accept your reason for standing there.\But I do not think I can acknowledge you as a knight. response:	What are you...
context: I'm still going to make Emilia the ruler!\I fail to understand...\After being so denied,\why do you continue to stand here?\Because she's special!\I understand and accept your reason for standing there.\But I do not think I can acknowledge you as a knight.\What are you... response:	Anyone who inspires such an expression
context: I fail to understand...\After being so denied,\why do you continue to stand here?\Because she's special!\I understand and accept your reason for standing there.\But I do not think I can acknowledge you as a knight.\What are you...\Anyone who inspires such an expression response:	on the face of one they wish to stand beside, cannot be a knight.
context: After being so denied,\why do you continue to stand here?\Because she's special!\I understand and accept your reason for standing there.\But I do not think I can acknowledge you as a knight.\What are you...\Anyone who inspires such an expression\on the face of one they wish to stand beside, cannot be a knight. response:	I-Is being a knight that big a deal?
context: why do you continue to stand here?\Because she's special!\I understand and accept your reason for standing there.\But I do not think I can acknowledge you as a knight.\What are you...\Anyone who inspires such an expression\on the face of one they wish to stand beside, cannot be a knight.\I-Is being a knight that big a deal? response:	You just happened to be born into the job!
context: Because she's special!\I understand and accept your reason for standing there.\But I do not think I can acknowledge you as a knight.\What are you...\Anyone who inspires such an expression\on the face of one they wish to stand beside, cannot be a knight.\I-Is being a knight that big a deal?\You just happened to be born into the job! response:	Don't act like a big-shot with your daddy's name!
context: I understand and accept your reason for standing there.\But I do not think I can acknowledge you as a knight.\What are you...\Anyone who inspires such an expression\on the face of one they wish to stand beside, cannot be a knight.\I-Is being a knight that big a deal?\You just happened to be born into the job!\Don't act like a big-shot with your daddy's name! response:	Natsuki Subaru,
context: But I do not think I can acknowledge you as a knight.\What are you...\Anyone who inspires such an expression\on the face of one they wish to stand beside, cannot be a knight.\I-Is being a knight that big a deal?\You just happened to be born into the job!\Don't act like a big-shot with your daddy's name!\Natsuki Subaru, response:	that is not a beautiful look.
context: What are you...\Anyone who inspires such an expression\on the face of one they wish to stand beside, cannot be a knight.\I-Is being a knight that big a deal?\You just happened to be born into the job!\Don't act like a big-shot with your daddy's name!\Natsuki Subaru,\that is not a beautiful look. response:	That's enough, Subaru.
context: Anyone who inspires such an expression\on the face of one they wish to stand beside, cannot be a knight.\I-Is being a knight that big a deal?\You just happened to be born into the job!\Don't act like a big-shot with your daddy's name!\Natsuki Subaru,\that is not a beautiful look.\That's enough, Subaru. response:	I am deeply sorry to waste your time.
context: on the face of one they wish to stand beside, cannot be a knight.\I-Is being a knight that big a deal?\You just happened to be born into the job!\Don't act like a big-shot with your daddy's name!\Natsuki Subaru,\that is not a beautiful look.\That's enough, Subaru.\I am deeply sorry to waste your time. response:	I will make him stand down.
context: I-Is being a knight that big a deal?\You just happened to be born into the job!\Don't act like a big-shot with your daddy's name!\Natsuki Subaru,\that is not a beautiful look.\That's enough, Subaru.\I am deeply sorry to waste your time.\I will make him stand down. response:	Emilia-sama,
context: You just happened to be born into the job!\Don't act like a big-shot with your daddy's name!\Natsuki Subaru,\that is not a beautiful look.\That's enough, Subaru.\I am deeply sorry to waste your time.\I will make him stand down.\Emilia-sama, response:	if nothing else, he has shown us all that you are not one to be feared.
context: Don't act like a big-shot with your daddy's name!\Natsuki Subaru,\that is not a beautiful look.\That's enough, Subaru.\I am deeply sorry to waste your time.\I will make him stand down.\Emilia-sama,\if nothing else, he has shown us all that you are not one to be feared. response:	You have a fine attendant.
context: Natsuki Subaru,\that is not a beautiful look.\That's enough, Subaru.\I am deeply sorry to waste your time.\I will make him stand down.\Emilia-sama,\if nothing else, he has shown us all that you are not one to be feared.\You have a fine attendant. response:	Subaru is
context: that is not a beautiful look.\That's enough, Subaru.\I am deeply sorry to waste your time.\I will make him stand down.\Emilia-sama,\if nothing else, he has shown us all that you are not one to be feared.\You have a fine attendant.\Subaru is response:	not my attendant.
context: That's enough, Subaru.\I am deeply sorry to waste your time.\I will make him stand down.\Emilia-sama,\if nothing else, he has shown us all that you are not one to be feared.\You have a fine attendant.\Subaru is\not my attendant. response:	Natsuki Subaru-dono, please leave the room.
context: I am deeply sorry to waste your time.\I will make him stand down.\Emilia-sama,\if nothing else, he has shown us all that you are not one to be feared.\You have a fine attendant.\Subaru is\not my attendant.\Natsuki Subaru-dono, please leave the room. response:	Now, let us discuss how the royal selection will proceed.
context: I will make him stand down.\Emilia-sama,\if nothing else, he has shown us all that you are not one to be feared.\You have a fine attendant.\Subaru is\not my attendant.\Natsuki Subaru-dono, please leave the room.\Now, let us discuss how the royal selection will proceed. response:	What's going on?!
context: Emilia-sama,\if nothing else, he has shown us all that you are not one to be feared.\You have a fine attendant.\Subaru is\not my attendant.\Natsuki Subaru-dono, please leave the room.\Now, let us discuss how the royal selection will proceed.\What's going on?! response:	What are you doing?
context: if nothing else, he has shown us all that you are not one to be feared.\You have a fine attendant.\Subaru is\not my attendant.\Natsuki Subaru-dono, please leave the room.\Now, let us discuss how the royal selection will proceed.\What's going on?!\What are you doing? response:	Old Man Rom!
context: You have a fine attendant.\Subaru is\not my attendant.\Natsuki Subaru-dono, please leave the room.\Now, let us discuss how the royal selection will proceed.\What's going on?!\What are you doing?\Old Man Rom! response:	I don't know who you are,
context: Subaru is\not my attendant.\Natsuki Subaru-dono, please leave the room.\Now, let us discuss how the royal selection will proceed.\What's going on?!\What are you doing?\Old Man Rom!\I don't know who you are, response:	but for stealing into the castle, you must die.
context: not my attendant.\Natsuki Subaru-dono, please leave the room.\Now, let us discuss how the royal selection will proceed.\What's going on?!\What are you doing?\Old Man Rom!\I don't know who you are,\but for stealing into the castle, you must die. response:	Stop! Let him go!
context: Natsuki Subaru-dono, please leave the room.\Now, let us discuss how the royal selection will proceed.\What's going on?!\What are you doing?\Old Man Rom!\I don't know who you are,\but for stealing into the castle, you must die.\Stop! Let him go! response:	Unfortunately, I cannot comply.
context: Now, let us discuss how the royal selection will proceed.\What's going on?!\What are you doing?\Old Man Rom!\I don't know who you are,\but for stealing into the castle, you must die.\Stop! Let him go!\Unfortunately, I cannot comply. response:	You have publicly declared that
context: What's going on?!\What are you doing?\Old Man Rom!\I don't know who you are,\but for stealing into the castle, you must die.\Stop! Let him go!\Unfortunately, I cannot comply.\You have publicly declared that response:	you have no intention of participating in the royal selection.
context: What are you doing?\Old Man Rom!\I don't know who you are,\but for stealing into the castle, you must die.\Stop! Let him go!\Unfortunately, I cannot comply.\You have publicly declared that\you have no intention of participating in the royal selection. response:	I am not obligated to obey your orders.
context: Old Man Rom!\I don't know who you are,\but for stealing into the castle, you must die.\Stop! Let him go!\Unfortunately, I cannot comply.\You have publicly declared that\you have no intention of participating in the royal selection.\I am not obligated to obey your orders. response:	Fine...
context: I don't know who you are,\but for stealing into the castle, you must die.\Stop! Let him go!\Unfortunately, I cannot comply.\You have publicly declared that\you have no intention of participating in the royal selection.\I am not obligated to obey your orders.\Fine... response:	I'll do your stupid royal selection!
context: but for stealing into the castle, you must die.\Stop! Let him go!\Unfortunately, I cannot comply.\You have publicly declared that\you have no intention of participating in the royal selection.\I am not obligated to obey your orders.\Fine...\I'll do your stupid royal selection! response:	You want me to try to be the next ruler, right?
context: Stop! Let him go!\Unfortunately, I cannot comply.\You have publicly declared that\you have no intention of participating in the royal selection.\I am not obligated to obey your orders.\Fine...\I'll do your stupid royal selection!\You want me to try to be the next ruler, right? response:	Wh-What're you sayin', Felt?
context: Unfortunately, I cannot comply.\You have publicly declared that\you have no intention of participating in the royal selection.\I am not obligated to obey your orders.\Fine...\I'll do your stupid royal selection!\You want me to try to be the next ruler, right?\Wh-What're you sayin', Felt? response:	That old man is my family,
context: You have publicly declared that\you have no intention of participating in the royal selection.\I am not obligated to obey your orders.\Fine...\I'll do your stupid royal selection!\You want me to try to be the next ruler, right?\Wh-What're you sayin', Felt?\That old man is my family, response:	so release him now.
context: you have no intention of participating in the royal selection.\I am not obligated to obey your orders.\Fine...\I'll do your stupid royal selection!\You want me to try to be the next ruler, right?\Wh-What're you sayin', Felt?\That old man is my family,\so release him now. response:	Treat him with care!
context: I am not obligated to obey your orders.\Fine...\I'll do your stupid royal selection!\You want me to try to be the next ruler, right?\Wh-What're you sayin', Felt?\That old man is my family,\so release him now.\Treat him with care! response:	Very well.
context: Fine...\I'll do your stupid royal selection!\You want me to try to be the next ruler, right?\Wh-What're you sayin', Felt?\That old man is my family,\so release him now.\Treat him with care!\Very well. response:	Felt... I...
context: I'll do your stupid royal selection!\You want me to try to be the next ruler, right?\Wh-What're you sayin', Felt?\That old man is my family,\so release him now.\Treat him with care!\Very well.\Felt... I... response:	We'll talk later, Old Man Rom.
context: You want me to try to be the next ruler, right?\Wh-What're you sayin', Felt?\That old man is my family,\so release him now.\Treat him with care!\Very well.\Felt... I...\We'll talk later, Old Man Rom. response:	Hey, Reinhard,
context: Wh-What're you sayin', Felt?\That old man is my family,\so release him now.\Treat him with care!\Very well.\Felt... I...\We'll talk later, Old Man Rom.\Hey, Reinhard, response:	was this all part of your plan, too?
context: That old man is my family,\so release him now.\Treat him with care!\Very well.\Felt... I...\We'll talk later, Old Man Rom.\Hey, Reinhard,\was this all part of your plan, too? response:	Certainly not.
context: so release him now.\Treat him with care!\Very well.\Felt... I...\We'll talk later, Old Man Rom.\Hey, Reinhard,\was this all part of your plan, too?\Certainly not. response:	This was something far greater, guided by fate.
context: Treat him with care!\Very well.\Felt... I...\We'll talk later, Old Man Rom.\Hey, Reinhard,\was this all part of your plan, too?\Certainly not.\This was something far greater, guided by fate. response:	Are you a slave to fate or something?
context: Very well.\Felt... I...\We'll talk later, Old Man Rom.\Hey, Reinhard,\was this all part of your plan, too?\Certainly not.\This was something far greater, guided by fate.\Are you a slave to fate or something? response:	No.
context: Felt... I...\We'll talk later, Old Man Rom.\Hey, Reinhard,\was this all part of your plan, too?\Certainly not.\This was something far greater, guided by fate.\Are you a slave to fate or something?\No. response:	From now on, I am your knight.
context: We'll talk later, Old Man Rom.\Hey, Reinhard,\was this all part of your plan, too?\Certainly not.\This was something far greater, guided by fate.\Are you a slave to fate or something?\No.\From now on, I am your knight. response:	Fine, then.
context: Hey, Reinhard,\was this all part of your plan, too?\Certainly not.\This was something far greater, guided by fate.\Are you a slave to fate or something?\No.\From now on, I am your knight.\Fine, then. response:	I'll work you to death.
context: was this all part of your plan, too?\Certainly not.\This was something far greater, guided by fate.\Are you a slave to fate or something?\No.\From now on, I am your knight.\Fine, then.\I'll work you to death. response:	Anyway, Felt-sama and her knight, Reinhard,
context: Certainly not.\This was something far greater, guided by fate.\Are you a slave to fate or something?\No.\From now on, I am your knight.\Fine, then.\I'll work you to death.\Anyway, Felt-sama and her knight, Reinhard, response:	may we conclude that you both intend to participate in the royal selection?
context: This was something far greater, guided by fate.\Are you a slave to fate or something?\No.\From now on, I am your knight.\Fine, then.\I'll work you to death.\Anyway, Felt-sama and her knight, Reinhard,\may we conclude that you both intend to participate in the royal selection? response:	Sure, I'm in.
context: Are you a slave to fate or something?\No.\From now on, I am your knight.\Fine, then.\I'll work you to death.\Anyway, Felt-sama and her knight, Reinhard,\may we conclude that you both intend to participate in the royal selection?\Sure, I'm in. response:	But let me just say one thing.
context: No.\From now on, I am your knight.\Fine, then.\I'll work you to death.\Anyway, Felt-sama and her knight, Reinhard,\may we conclude that you both intend to participate in the royal selection?\Sure, I'm in.\But let me just say one thing. response:	I hate the nobility!
context: From now on, I am your knight.\Fine, then.\I'll work you to death.\Anyway, Felt-sama and her knight, Reinhard,\may we conclude that you both intend to participate in the royal selection?\Sure, I'm in.\But let me just say one thing.\I hate the nobility! response:	I hate knights!
context: Fine, then.\I'll work you to death.\Anyway, Felt-sama and her knight, Reinhard,\may we conclude that you both intend to participate in the royal selection?\Sure, I'm in.\But let me just say one thing.\I hate the nobility!\I hate knights! response:	I hate this kingdom!
