context: - You may be dismissed. - Yes. response:	Fourth Brother?
context: Is there anything amiss after your abrupt return to the Celestial Palace?\I've lost nine-tenths of my powers.\What?\It's perhaps because my heavenly trial was cut short and now I'm being punished.\It will be fine in a few years.\Keep this matter to yourself.\No one is to hear of it.\Yes. response:	Since Little Princess has repaid his kindness
context: I've lost nine-tenths of my powers.\What?\It's perhaps because my heavenly trial was cut short and now I'm being punished.\It will be fine in a few years.\Keep this matter to yourself.\No one is to hear of it.\Yes.\Since Little Princess has repaid his kindness response:	you're no longer related to Lord Dong Hua in any way.
context: What?\It's perhaps because my heavenly trial was cut short and now I'm being punished.\It will be fine in a few years.\Keep this matter to yourself.\No one is to hear of it.\Yes.\Since Little Princess has repaid his kindness\you're no longer related to Lord Dong Hua in any way. response:	Have some congee.
context: It's perhaps because my heavenly trial was cut short and now I'm being punished.\It will be fine in a few years.\Keep this matter to yourself.\No one is to hear of it.\Yes.\Since Little Princess has repaid his kindness\you're no longer related to Lord Dong Hua in any way.\Have some congee. response:	You lost so much weight in the Mortal Realm.
context: It will be fine in a few years.\Keep this matter to yourself.\No one is to hear of it.\Yes.\Since Little Princess has repaid his kindness\you're no longer related to Lord Dong Hua in any way.\Have some congee.\You lost so much weight in the Mortal Realm. response:	Mi Gu, tell me.
context: Keep this matter to yourself.\No one is to hear of it.\Yes.\Since Little Princess has repaid his kindness\you're no longer related to Lord Dong Hua in any way.\Have some congee.\You lost so much weight in the Mortal Realm.\Mi Gu, tell me. response:	I enraged Lord Dong Hua's mortal self so much that he died.
context: No one is to hear of it.\Yes.\Since Little Princess has repaid his kindness\you're no longer related to Lord Dong Hua in any way.\Have some congee.\You lost so much weight in the Mortal Realm.\Mi Gu, tell me.\I enraged Lord Dong Hua's mortal self so much that he died. response:	Did I repay his kindness or do I owe him more favors now?
context: Yes.\Since Little Princess has repaid his kindness\you're no longer related to Lord Dong Hua in any way.\Have some congee.\You lost so much weight in the Mortal Realm.\Mi Gu, tell me.\I enraged Lord Dong Hua's mortal self so much that he died.\Did I repay his kindness or do I owe him more favors now? response:	Little Princess, if that's how you see it
context: Since Little Princess has repaid his kindness\you're no longer related to Lord Dong Hua in any way.\Have some congee.\You lost so much weight in the Mortal Realm.\Mi Gu, tell me.\I enraged Lord Dong Hua's mortal self so much that he died.\Did I repay his kindness or do I owe him more favors now?\Little Princess, if that's how you see it response:	this debt will be hard to figure out.
context: you're no longer related to Lord Dong Hua in any way.\Have some congee.\You lost so much weight in the Mortal Realm.\Mi Gu, tell me.\I enraged Lord Dong Hua's mortal self so much that he died.\Did I repay his kindness or do I owe him more favors now?\Little Princess, if that's how you see it\this debt will be hard to figure out. response:	But if it can't be figured out, I can't just let it go.
context: Have some congee.\You lost so much weight in the Mortal Realm.\Mi Gu, tell me.\I enraged Lord Dong Hua's mortal self so much that he died.\Did I repay his kindness or do I owe him more favors now?\Little Princess, if that's how you see it\this debt will be hard to figure out.\But if it can't be figured out, I can't just let it go. response:	I'll say what you don't wish to hear.
context: You lost so much weight in the Mortal Realm.\Mi Gu, tell me.\I enraged Lord Dong Hua's mortal self so much that he died.\Did I repay his kindness or do I owe him more favors now?\Little Princess, if that's how you see it\this debt will be hard to figure out.\But if it can't be figured out, I can't just let it go.\I'll say what you don't wish to hear. response:	Even if you do figure out this debt
context: Mi Gu, tell me.\I enraged Lord Dong Hua's mortal self so much that he died.\Did I repay his kindness or do I owe him more favors now?\Little Princess, if that's how you see it\this debt will be hard to figure out.\But if it can't be figured out, I can't just let it go.\I'll say what you don't wish to hear.\Even if you do figure out this debt response:	could you really forget Lord Dong Hua?
context: I enraged Lord Dong Hua's mortal self so much that he died.\Did I repay his kindness or do I owe him more favors now?\Little Princess, if that's how you see it\this debt will be hard to figure out.\But if it can't be figured out, I can't just let it go.\I'll say what you don't wish to hear.\Even if you do figure out this debt\could you really forget Lord Dong Hua? response:	Mi Gu, you really can read my mind.
context: Did I repay his kindness or do I owe him more favors now?\Little Princess, if that's how you see it\this debt will be hard to figure out.\But if it can't be figured out, I can't just let it go.\I'll say what you don't wish to hear.\Even if you do figure out this debt\could you really forget Lord Dong Hua?\Mi Gu, you really can read my mind. response:	Tell me.
context: Little Princess, if that's how you see it\this debt will be hard to figure out.\But if it can't be figured out, I can't just let it go.\I'll say what you don't wish to hear.\Even if you do figure out this debt\could you really forget Lord Dong Hua?\Mi Gu, you really can read my mind.\Tell me. response:	Between me and him, is it just repaying him for his kindness?
context: this debt will be hard to figure out.\But if it can't be figured out, I can't just let it go.\I'll say what you don't wish to hear.\Even if you do figure out this debt\could you really forget Lord Dong Hua?\Mi Gu, you really can read my mind.\Tell me.\Between me and him, is it just repaying him for his kindness? response:	All those years we had together in the Mortal Realm, what is that to him?
context: But if it can't be figured out, I can't just let it go.\I'll say what you don't wish to hear.\Even if you do figure out this debt\could you really forget Lord Dong Hua?\Mi Gu, you really can read my mind.\Tell me.\Between me and him, is it just repaying him for his kindness?\All those years we had together in the Mortal Realm, what is that to him? response:	I often read the plays in the Mortal Realm.
context: I'll say what you don't wish to hear.\Even if you do figure out this debt\could you really forget Lord Dong Hua?\Mi Gu, you really can read my mind.\Tell me.\Between me and him, is it just repaying him for his kindness?\All those years we had together in the Mortal Realm, what is that to him?\I often read the plays in the Mortal Realm. response:	Some repaid kindness and ended up together.
context: Even if you do figure out this debt\could you really forget Lord Dong Hua?\Mi Gu, you really can read my mind.\Tell me.\Between me and him, is it just repaying him for his kindness?\All those years we had together in the Mortal Realm, what is that to him?\I often read the plays in the Mortal Realm.\Some repaid kindness and ended up together. response:	Others went their own ways when the kindness was repaid.
context: could you really forget Lord Dong Hua?\Mi Gu, you really can read my mind.\Tell me.\Between me and him, is it just repaying him for his kindness?\All those years we had together in the Mortal Realm, what is that to him?\I often read the plays in the Mortal Realm.\Some repaid kindness and ended up together.\Others went their own ways when the kindness was repaid. response:	Tell me...
context: Mi Gu, you really can read my mind.\Tell me.\Between me and him, is it just repaying him for his kindness?\All those years we had together in the Mortal Realm, what is that to him?\I often read the plays in the Mortal Realm.\Some repaid kindness and ended up together.\Others went their own ways when the kindness was repaid.\Tell me... response:	What about me and Lord Dong Hua?
context: Tell me.\Between me and him, is it just repaying him for his kindness?\All those years we had together in the Mortal Realm, what is that to him?\I often read the plays in the Mortal Realm.\Some repaid kindness and ended up together.\Others went their own ways when the kindness was repaid.\Tell me...\What about me and Lord Dong Hua? response:	I was asking you. Why did you throw the question back at me?
context: Between me and him, is it just repaying him for his kindness?\All those years we had together in the Mortal Realm, what is that to him?\I often read the plays in the Mortal Realm.\Some repaid kindness and ended up together.\Others went their own ways when the kindness was repaid.\Tell me...\What about me and Lord Dong Hua?\I was asking you. Why did you throw the question back at me? response:	Father?
context: All those years we had together in the Mortal Realm, what is that to him?\I often read the plays in the Mortal Realm.\Some repaid kindness and ended up together.\Others went their own ways when the kindness was repaid.\Tell me...\What about me and Lord Dong Hua?\I was asking you. Why did you throw the question back at me?\Father? response:	Where are you running off to?
context: I often read the plays in the Mortal Realm.\Some repaid kindness and ended up together.\Others went their own ways when the kindness was repaid.\Tell me...\What about me and Lord Dong Hua?\I was asking you. Why did you throw the question back at me?\Father?\Where are you running off to? response:	I've beenunfiliall.
context: Some repaid kindness and ended up together.\Others went their own ways when the kindness was repaid.\Tell me...\What about me and Lord Dong Hua?\I was asking you. Why did you throw the question back at me?\Father?\Where are you running off to?\I've beenunfiliall. response:	Father, please hit me.
context: Others went their own ways when the kindness was repaid.\Tell me...\What about me and Lord Dong Hua?\I was asking you. Why did you throw the question back at me?\Father?\Where are you running off to?\I've beenunfiliall.\Father, please hit me. response:	Father!
context: Tell me...\What about me and Lord Dong Hua?\I was asking you. Why did you throw the question back at me?\Father?\Where are you running off to?\I've beenunfiliall.\Father, please hit me.\Father! response:	I've done wrong!
context: What about me and Lord Dong Hua?\I was asking you. Why did you throw the question back at me?\Father?\Where are you running off to?\I've beenunfiliall.\Father, please hit me.\Father!\I've done wrong! response:	Please don't hit me.
context: I was asking you. Why did you throw the question back at me?\Father?\Where are you running off to?\I've beenunfiliall.\Father, please hit me.\Father!\I've done wrong!\Please don't hit me. response:	Second Brother, have some mercy.
context: Father?\Where are you running off to?\I've beenunfiliall.\Father, please hit me.\Father!\I've done wrong!\Please don't hit me.\Second Brother, have some mercy. response:	Feng Jiu is the only girl in the next generation of our family.
context: Where are you running off to?\I've beenunfiliall.\Father, please hit me.\Father!\I've done wrong!\Please don't hit me.\Second Brother, have some mercy.\Feng Jiu is the only girl in the next generation of our family. response:	It won't do if you beat her half to death!
context: I've beenunfiliall.\Father, please hit me.\Father!\I've done wrong!\Please don't hit me.\Second Brother, have some mercy.\Feng Jiu is the only girl in the next generation of our family.\It won't do if you beat her half to death! response:	Our family is totally embarrassed by this lass anyway!
context: Father, please hit me.\Father!\I've done wrong!\Please don't hit me.\Second Brother, have some mercy.\Feng Jiu is the only girl in the next generation of our family.\It won't do if you beat her half to death!\Our family is totally embarrassed by this lass anyway! response:	We might as well beat her to death!
context: Father!\I've done wrong!\Please don't hit me.\Second Brother, have some mercy.\Feng Jiu is the only girl in the next generation of our family.\It won't do if you beat her half to death!\Our family is totally embarrassed by this lass anyway!\We might as well beat her to death! response:	That won't do!
context: I've done wrong!\Please don't hit me.\Second Brother, have some mercy.\Feng Jiu is the only girl in the next generation of our family.\It won't do if you beat her half to death!\Our family is totally embarrassed by this lass anyway!\We might as well beat her to death!\That won't do! response:	Look, Second Brother.
context: Please don't hit me.\Second Brother, have some mercy.\Feng Jiu is the only girl in the next generation of our family.\It won't do if you beat her half to death!\Our family is totally embarrassed by this lass anyway!\We might as well beat her to death!\That won't do!\Look, Second Brother. response:	Both Bai Xuan and I have no children.
context: Second Brother, have some mercy.\Feng Jiu is the only girl in the next generation of our family.\It won't do if you beat her half to death!\Our family is totally embarrassed by this lass anyway!\We might as well beat her to death!\That won't do!\Look, Second Brother.\Both Bai Xuan and I have no children. response:	Qian Qian's wedding won't be held anytime soon.
context: Feng Jiu is the only girl in the next generation of our family.\It won't do if you beat her half to death!\Our family is totally embarrassed by this lass anyway!\We might as well beat her to death!\That won't do!\Look, Second Brother.\Both Bai Xuan and I have no children.\Qian Qian's wedding won't be held anytime soon. response:	When we pass on
context: It won't do if you beat her half to death!\Our family is totally embarrassed by this lass anyway!\We might as well beat her to death!\That won't do!\Look, Second Brother.\Both Bai Xuan and I have no children.\Qian Qian's wedding won't be held anytime soon.\When we pass on response:	the thrones of our five Far Lands are to be handed over to Feng Jiu.
context: Our family is totally embarrassed by this lass anyway!\We might as well beat her to death!\That won't do!\Look, Second Brother.\Both Bai Xuan and I have no children.\Qian Qian's wedding won't be held anytime soon.\When we pass on\the thrones of our five Far Lands are to be handed over to Feng Jiu. response:	Please show her some mercy!
context: We might as well beat her to death!\That won't do!\Look, Second Brother.\Both Bai Xuan and I have no children.\Qian Qian's wedding won't be held anytime soon.\When we pass on\the thrones of our five Far Lands are to be handed over to Feng Jiu.\Please show her some mercy! response:	Auntie...
context: That won't do!\Look, Second Brother.\Both Bai Xuan and I have no children.\Qian Qian's wedding won't be held anytime soon.\When we pass on\the thrones of our five Far Lands are to be handed over to Feng Jiu.\Please show her some mercy!\Auntie... response:	She already has a son.
context: Look, Second Brother.\Both Bai Xuan and I have no children.\Qian Qian's wedding won't be held anytime soon.\When we pass on\the thrones of our five Far Lands are to be handed over to Feng Jiu.\Please show her some mercy!\Auntie...\She already has a son. response:	- What? - What?
context: Both Bai Xuan and I have no children.\Qian Qian's wedding won't be held anytime soon.\When we pass on\the thrones of our five Far Lands are to be handed over to Feng Jiu.\Please show her some mercy!\Auntie...\She already has a son.\- What? - What? response:	The Crown Prince's son.
context: Qian Qian's wedding won't be held anytime soon.\When we pass on\the thrones of our five Far Lands are to be handed over to Feng Jiu.\Please show her some mercy!\Auntie...\She already has a son.\- What? - What?\The Crown Prince's son. response:	He's a stepson, but doesn't he still count as her son?
context: When we pass on\the thrones of our five Far Lands are to be handed over to Feng Jiu.\Please show her some mercy!\Auntie...\She already has a son.\- What? - What?\The Crown Prince's son.\He's a stepson, but doesn't he still count as her son? response:	You're talking about Ye Hua's son.
context: the thrones of our five Far Lands are to be handed over to Feng Jiu.\Please show her some mercy!\Auntie...\She already has a son.\- What? - What?\The Crown Prince's son.\He's a stepson, but doesn't he still count as her son?\You're talking about Ye Hua's son. response:	Feng Jiu, you nearly scared me to death.
context: Please show her some mercy!\Auntie...\She already has a son.\- What? - What?\The Crown Prince's son.\He's a stepson, but doesn't he still count as her son?\You're talking about Ye Hua's son.\Feng Jiu, you nearly scared me to death. response:	Ye Hua already has a son?
context: Auntie...\She already has a son.\- What? - What?\The Crown Prince's son.\He's a stepson, but doesn't he still count as her son?\You're talking about Ye Hua's son.\Feng Jiu, you nearly scared me to death.\Ye Hua already has a son? response:	Haven't you heard?
context: She already has a son.\- What? - What?\The Crown Prince's son.\He's a stepson, but doesn't he still count as her son?\You're talking about Ye Hua's son.\Feng Jiu, you nearly scared me to death.\Ye Hua already has a son?\Haven't you heard? response:	Someone did mention it to me.
context: - What? - What?\The Crown Prince's son.\He's a stepson, but doesn't he still count as her son?\You're talking about Ye Hua's son.\Feng Jiu, you nearly scared me to death.\Ye Hua already has a son?\Haven't you heard?\Someone did mention it to me. response:	A few hundred years ago I met Ye Hua once.
context: The Crown Prince's son.\He's a stepson, but doesn't he still count as her son?\You're talking about Ye Hua's son.\Feng Jiu, you nearly scared me to death.\Ye Hua already has a son?\Haven't you heard?\Someone did mention it to me.\A few hundred years ago I met Ye Hua once. response:	I assisted him in pacifying the unrest in the Far North.
context: He's a stepson, but doesn't he still count as her son?\You're talking about Ye Hua's son.\Feng Jiu, you nearly scared me to death.\Ye Hua already has a son?\Haven't you heard?\Someone did mention it to me.\A few hundred years ago I met Ye Hua once.\I assisted him in pacifying the unrest in the Far North. response:	He does have the demeanor of an apparent heir.
context: You're talking about Ye Hua's son.\Feng Jiu, you nearly scared me to death.\Ye Hua already has a son?\Haven't you heard?\Someone did mention it to me.\A few hundred years ago I met Ye Hua once.\I assisted him in pacifying the unrest in the Far North.\He does have the demeanor of an apparent heir. response:	Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.
context: Feng Jiu, you nearly scared me to death.\Ye Hua already has a son?\Haven't you heard?\Someone did mention it to me.\A few hundred years ago I met Ye Hua once.\I assisted him in pacifying the unrest in the Far North.\He does have the demeanor of an apparent heir.\Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan. response:	They like to expand their harem.
context: Ye Hua already has a son?\Haven't you heard?\Someone did mention it to me.\A few hundred years ago I met Ye Hua once.\I assisted him in pacifying the unrest in the Far North.\He does have the demeanor of an apparent heir.\Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.\They like to expand their harem. response:	Before Fifth Sister is married to him, she already has a stepson.
context: Haven't you heard?\Someone did mention it to me.\A few hundred years ago I met Ye Hua once.\I assisted him in pacifying the unrest in the Far North.\He does have the demeanor of an apparent heir.\Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.\They like to expand their harem.\Before Fifth Sister is married to him, she already has a stepson. response:	He's a pampered first-born son.
context: Someone did mention it to me.\A few hundred years ago I met Ye Hua once.\I assisted him in pacifying the unrest in the Far North.\He does have the demeanor of an apparent heir.\Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.\They like to expand their harem.\Before Fifth Sister is married to him, she already has a stepson.\He's a pampered first-born son. response:	That makes me quite displeased.
context: A few hundred years ago I met Ye Hua once.\I assisted him in pacifying the unrest in the Far North.\He does have the demeanor of an apparent heir.\Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.\They like to expand their harem.\Before Fifth Sister is married to him, she already has a stepson.\He's a pampered first-born son.\That makes me quite displeased. response:	Since Fifth Sister was young, she's fancied only High God Mo Yuan.
context: I assisted him in pacifying the unrest in the Far North.\He does have the demeanor of an apparent heir.\Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.\They like to expand their harem.\Before Fifth Sister is married to him, she already has a stepson.\He's a pampered first-born son.\That makes me quite displeased.\Since Fifth Sister was young, she's fancied only High God Mo Yuan. response:	Who knows?
context: He does have the demeanor of an apparent heir.\Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.\They like to expand their harem.\Before Fifth Sister is married to him, she already has a stepson.\He's a pampered first-born son.\That makes me quite displeased.\Since Fifth Sister was young, she's fancied only High God Mo Yuan.\Who knows? response:	She might call off this engagement soon.
context: Unfortunately, the Dragon Clan is unlike us, the Nine-tailed Fox Clan.\They like to expand their harem.\Before Fifth Sister is married to him, she already has a stepson.\He's a pampered first-born son.\That makes me quite displeased.\Since Fifth Sister was young, she's fancied only High God Mo Yuan.\Who knows?\She might call off this engagement soon. response:	Come over here now!
context: They like to expand their harem.\Before Fifth Sister is married to him, she already has a stepson.\He's a pampered first-born son.\That makes me quite displeased.\Since Fifth Sister was young, she's fancied only High God Mo Yuan.\Who knows?\She might call off this engagement soon.\Come over here now! response:	Bai Yi, calm down and let it go.
context: Before Fifth Sister is married to him, she already has a stepson.\He's a pampered first-born son.\That makes me quite displeased.\Since Fifth Sister was young, she's fancied only High God Mo Yuan.\Who knows?\She might call off this engagement soon.\Come over here now!\Bai Yi, calm down and let it go. response:	Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.
context: He's a pampered first-born son.\That makes me quite displeased.\Since Fifth Sister was young, she's fancied only High God Mo Yuan.\Who knows?\She might call off this engagement soon.\Come over here now!\Bai Yi, calm down and let it go.\Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit. response:	I'm worried that she might be bored, so I'll send Feng Jiu over to her.
context: That makes me quite displeased.\Since Fifth Sister was young, she's fancied only High God Mo Yuan.\Who knows?\She might call off this engagement soon.\Come over here now!\Bai Yi, calm down and let it go.\Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.\I'm worried that she might be bored, so I'll send Feng Jiu over to her. response:	Shouldn't you go to the West Sea now to keep your aunt company?
context: Since Fifth Sister was young, she's fancied only High God Mo Yuan.\Who knows?\She might call off this engagement soon.\Come over here now!\Bai Yi, calm down and let it go.\Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.\I'm worried that she might be bored, so I'll send Feng Jiu over to her.\Shouldn't you go to the West Sea now to keep your aunt company? response:	Yes, Fourth Uncle!
context: Who knows?\She might call off this engagement soon.\Come over here now!\Bai Yi, calm down and let it go.\Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.\I'm worried that she might be bored, so I'll send Feng Jiu over to her.\Shouldn't you go to the West Sea now to keep your aunt company?\Yes, Fourth Uncle! response:	Thank goodness for Fourth Uncle...
context: She might call off this engagement soon.\Come over here now!\Bai Yi, calm down and let it go.\Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.\I'm worried that she might be bored, so I'll send Feng Jiu over to her.\Shouldn't you go to the West Sea now to keep your aunt company?\Yes, Fourth Uncle!\Thank goodness for Fourth Uncle... response:	You're Yuan Zhen?
context: Come over here now!\Bai Yi, calm down and let it go.\Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.\I'm worried that she might be bored, so I'll send Feng Jiu over to her.\Shouldn't you go to the West Sea now to keep your aunt company?\Yes, Fourth Uncle!\Thank goodness for Fourth Uncle...\You're Yuan Zhen? response:	Exactly.
context: Bai Yi, calm down and let it go.\Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.\I'm worried that she might be bored, so I'll send Feng Jiu over to her.\Shouldn't you go to the West Sea now to keep your aunt company?\Yes, Fourth Uncle!\Thank goodness for Fourth Uncle...\You're Yuan Zhen?\Exactly. response:	Are you here to see my aunt?
context: Qian Qian is now alone in the West Sea guarding Mo Yuan's spirit.\I'm worried that she might be bored, so I'll send Feng Jiu over to her.\Shouldn't you go to the West Sea now to keep your aunt company?\Yes, Fourth Uncle!\Thank goodness for Fourth Uncle...\You're Yuan Zhen?\Exactly.\Are you here to see my aunt? response:	She's not in the Fox Den.
context: I'm worried that she might be bored, so I'll send Feng Jiu over to her.\Shouldn't you go to the West Sea now to keep your aunt company?\Yes, Fourth Uncle!\Thank goodness for Fourth Uncle...\You're Yuan Zhen?\Exactly.\Are you here to see my aunt?\She's not in the Fox Den. response:	No...
context: Shouldn't you go to the West Sea now to keep your aunt company?\Yes, Fourth Uncle!\Thank goodness for Fourth Uncle...\You're Yuan Zhen?\Exactly.\Are you here to see my aunt?\She's not in the Fox Den.\No... response:	Yes...
context: Yes, Fourth Uncle!\Thank goodness for Fourth Uncle...\You're Yuan Zhen?\Exactly.\Are you here to see my aunt?\She's not in the Fox Den.\No...\Yes... response:	Not exactly.
context: Thank goodness for Fourth Uncle...\You're Yuan Zhen?\Exactly.\Are you here to see my aunt?\She's not in the Fox Den.\No...\Yes...\Not exactly. response:	What is it exactly?
context: You're Yuan Zhen?\Exactly.\Are you here to see my aunt?\She's not in the Fox Den.\No...\Yes...\Not exactly.\What is it exactly? response:	Speak quickly. I have matters to see to.
context: Exactly.\Are you here to see my aunt?\She's not in the Fox Den.\No...\Yes...\Not exactly.\What is it exactly?\Speak quickly. I have matters to see to. response:	I'm actually here to see the little princess.
context: Are you here to see my aunt?\She's not in the Fox Den.\No...\Yes...\Not exactly.\What is it exactly?\Speak quickly. I have matters to see to.\I'm actually here to see the little princess. response:	In the Mortal Realm's Imperial Palace you and I...
context: She's not in the Fox Den.\No...\Yes...\Not exactly.\What is it exactly?\Speak quickly. I have matters to see to.\I'm actually here to see the little princess.\In the Mortal Realm's Imperial Palace you and I... response:	We're not involved in any way.
context: No...\Yes...\Not exactly.\What is it exactly?\Speak quickly. I have matters to see to.\I'm actually here to see the little princess.\In the Mortal Realm's Imperial Palace you and I...\We're not involved in any way. response:	I actually don't feel anything for you.
context: Yes...\Not exactly.\What is it exactly?\Speak quickly. I have matters to see to.\I'm actually here to see the little princess.\In the Mortal Realm's Imperial Palace you and I...\We're not involved in any way.\I actually don't feel anything for you. response:	At the bath?
context: Not exactly.\What is it exactly?\Speak quickly. I have matters to see to.\I'm actually here to see the little princess.\In the Mortal Realm's Imperial Palace you and I...\We're not involved in any way.\I actually don't feel anything for you.\At the bath? response:	There was a reason for what I did at the bath.
context: What is it exactly?\Speak quickly. I have matters to see to.\I'm actually here to see the little princess.\In the Mortal Realm's Imperial Palace you and I...\We're not involved in any way.\I actually don't feel anything for you.\At the bath?\There was a reason for what I did at the bath. response:	Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome
context: Speak quickly. I have matters to see to.\I'm actually here to see the little princess.\In the Mortal Realm's Imperial Palace you and I...\We're not involved in any way.\I actually don't feel anything for you.\At the bath?\There was a reason for what I did at the bath.\Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome response:	but you were in the way.
context: I'm actually here to see the little princess.\In the Mortal Realm's Imperial Palace you and I...\We're not involved in any way.\I actually don't feel anything for you.\At the bath?\There was a reason for what I did at the bath.\Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome\but you were in the way. response:	That's good then...
context: In the Mortal Realm's Imperial Palace you and I...\We're not involved in any way.\I actually don't feel anything for you.\At the bath?\There was a reason for what I did at the bath.\Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome\but you were in the way.\That's good then... response:	Why have you returned?
context: We're not involved in any way.\I actually don't feel anything for you.\At the bath?\There was a reason for what I did at the bath.\Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome\but you were in the way.\That's good then...\Why have you returned? response:	You're done with your heavenly trial?
context: I actually don't feel anything for you.\At the bath?\There was a reason for what I did at the bath.\Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome\but you were in the way.\That's good then...\Why have you returned?\You're done with your heavenly trial? response:	It wasn't supposed to end so soon.
context: At the bath?\There was a reason for what I did at the bath.\Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome\but you were in the way.\That's good then...\Why have you returned?\You're done with your heavenly trial?\It wasn't supposed to end so soon. response:	Lord Dong Hua was my father in the Mortal Realm
context: There was a reason for what I did at the bath.\Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome\but you were in the way.\That's good then...\Why have you returned?\You're done with your heavenly trial?\It wasn't supposed to end so soon.\Lord Dong Hua was my father in the Mortal Realm response:	and he was so enraged by me that he died.
context: Simply put, Lord Dong Hua and I had a heavenly trial of love to overcome\but you were in the way.\That's good then...\Why have you returned?\You're done with your heavenly trial?\It wasn't supposed to end so soon.\Lord Dong Hua was my father in the Mortal Realm\and he was so enraged by me that he died. response:	I had to die for my sins in the Mortal Realm.
context: but you were in the way.\That's good then...\Why have you returned?\You're done with your heavenly trial?\It wasn't supposed to end so soon.\Lord Dong Hua was my father in the Mortal Realm\and he was so enraged by me that he died.\I had to die for my sins in the Mortal Realm. response:	I've returned without finishing my 60-year heavenly trial.
context: That's good then...\Why have you returned?\You're done with your heavenly trial?\It wasn't supposed to end so soon.\Lord Dong Hua was my father in the Mortal Realm\and he was so enraged by me that he died.\I had to die for my sins in the Mortal Realm.\I've returned without finishing my 60-year heavenly trial. response:	You were also affected by that?
context: Why have you returned?\You're done with your heavenly trial?\It wasn't supposed to end so soon.\Lord Dong Hua was my father in the Mortal Realm\and he was so enraged by me that he died.\I had to die for my sins in the Mortal Realm.\I've returned without finishing my 60-year heavenly trial.\You were also affected by that? response:	I'm really sorry.
context: You're done with your heavenly trial?\It wasn't supposed to end so soon.\Lord Dong Hua was my father in the Mortal Realm\and he was so enraged by me that he died.\I had to die for my sins in the Mortal Realm.\I've returned without finishing my 60-year heavenly trial.\You were also affected by that?\I'm really sorry. response:	Not at all. It's quite a blessing in disguise.
context: It wasn't supposed to end so soon.\Lord Dong Hua was my father in the Mortal Realm\and he was so enraged by me that he died.\I had to die for my sins in the Mortal Realm.\I've returned without finishing my 60-year heavenly trial.\You were also affected by that?\I'm really sorry.\Not at all. It's quite a blessing in disguise. response:	It's because of you and Lord Dong Hua
context: Lord Dong Hua was my father in the Mortal Realm\and he was so enraged by me that he died.\I had to die for my sins in the Mortal Realm.\I've returned without finishing my 60-year heavenly trial.\You were also affected by that?\I'm really sorry.\Not at all. It's quite a blessing in disguise.\It's because of you and Lord Dong Hua response:	that I was able to return earlier to Deity Duty.
context: and he was so enraged by me that he died.\I had to die for my sins in the Mortal Realm.\I've returned without finishing my 60-year heavenly trial.\You were also affected by that?\I'm really sorry.\Not at all. It's quite a blessing in disguise.\It's because of you and Lord Dong Hua\that I was able to return earlier to Deity Duty. response:	I should thank the little princess instead.
context: I had to die for my sins in the Mortal Realm.\I've returned without finishing my 60-year heavenly trial.\You were also affected by that?\I'm really sorry.\Not at all. It's quite a blessing in disguise.\It's because of you and Lord Dong Hua\that I was able to return earlier to Deity Duty.\I should thank the little princess instead. response:	Don't bother.
context: I've returned without finishing my 60-year heavenly trial.\You were also affected by that?\I'm really sorry.\Not at all. It's quite a blessing in disguise.\It's because of you and Lord Dong Hua\that I was able to return earlier to Deity Duty.\I should thank the little princess instead.\Don't bother. response:	If there's nothing else, I should get going.
context: You were also affected by that?\I'm really sorry.\Not at all. It's quite a blessing in disguise.\It's because of you and Lord Dong Hua\that I was able to return earlier to Deity Duty.\I should thank the little princess instead.\Don't bother.\If there's nothing else, I should get going. response:	Oh no...
context: I'm really sorry.\Not at all. It's quite a blessing in disguise.\It's because of you and Lord Dong Hua\that I was able to return earlier to Deity Duty.\I should thank the little princess instead.\Don't bother.\If there's nothing else, I should get going.\Oh no... response:	I forgot to ask her to greet my mentor for me.
context: Not at all. It's quite a blessing in disguise.\It's because of you and Lord Dong Hua\that I was able to return earlier to Deity Duty.\I should thank the little princess instead.\Don't bother.\If there's nothing else, I should get going.\Oh no...\I forgot to ask her to greet my mentor for me. response:	You returned after sensing the divine energy?
