context: Just what are you...? response:	Where's Yin?
context: I don't know about humans though.\I don't know what you heard from the Madame, but she's human.\I only heard one thing from her.\We're humans that couldn't become dolls.\Basically, we're defects.\You're just trash, doll.\Can I talk to you?\Sure. response:	We've found out who the people in Hong Kong were dealing with.
context: I don't know what you heard from the Madame, but she's human.\I only heard one thing from her.\We're humans that couldn't become dolls.\Basically, we're defects.\You're just trash, doll.\Can I talk to you?\Sure.\We've found out who the people in Hong Kong were dealing with. response:	It was a Japanese secret service agent, but we don't know their name or who they belong to.
context: I only heard one thing from her.\We're humans that couldn't become dolls.\Basically, we're defects.\You're just trash, doll.\Can I talk to you?\Sure.\We've found out who the people in Hong Kong were dealing with.\It was a Japanese secret service agent, but we don't know their name or who they belong to. response:	And there are rumors that an agency will be formed in Japan that consists of contractors.
context: We're humans that couldn't become dolls.\Basically, we're defects.\You're just trash, doll.\Can I talk to you?\Sure.\We've found out who the people in Hong Kong were dealing with.\It was a Japanese secret service agent, but we don't know their name or who they belong to.\And there are rumors that an agency will be formed in Japan that consists of contractors. response:	Whether they're related or not, I don't know.
context: Basically, we're defects.\You're just trash, doll.\Can I talk to you?\Sure.\We've found out who the people in Hong Kong were dealing with.\It was a Japanese secret service agent, but we don't know their name or who they belong to.\And there are rumors that an agency will be formed in Japan that consists of contractors.\Whether they're related or not, I don't know. response:	They are probably after the doll too,
context: You're just trash, doll.\Can I talk to you?\Sure.\We've found out who the people in Hong Kong were dealing with.\It was a Japanese secret service agent, but we don't know their name or who they belong to.\And there are rumors that an agency will be formed in Japan that consists of contractors.\Whether they're related or not, I don't know.\They are probably after the doll too, response:	and from what I know, they've gotten hold of a lot of information.
context: Can I talk to you?\Sure.\We've found out who the people in Hong Kong were dealing with.\It was a Japanese secret service agent, but we don't know their name or who they belong to.\And there are rumors that an agency will be formed in Japan that consists of contractors.\Whether they're related or not, I don't know.\They are probably after the doll too,\and from what I know, they've gotten hold of a lot of information. response:	I don't know how much longer this place will last.
context: Sure.\We've found out who the people in Hong Kong were dealing with.\It was a Japanese secret service agent, but we don't know their name or who they belong to.\And there are rumors that an agency will be formed in Japan that consists of contractors.\Whether they're related or not, I don't know.\They are probably after the doll too,\and from what I know, they've gotten hold of a lot of information.\I don't know how much longer this place will last. response:	Now would be our chance to strike.
context: We've found out who the people in Hong Kong were dealing with.\It was a Japanese secret service agent, but we don't know their name or who they belong to.\And there are rumors that an agency will be formed in Japan that consists of contractors.\Whether they're related or not, I don't know.\They are probably after the doll too,\and from what I know, they've gotten hold of a lot of information.\I don't know how much longer this place will last.\Now would be our chance to strike. response:	Where's Amagiri?
context: It was a Japanese secret service agent, but we don't know their name or who they belong to.\And there are rumors that an agency will be formed in Japan that consists of contractors.\Whether they're related or not, I don't know.\They are probably after the doll too,\and from what I know, they've gotten hold of a lot of information.\I don't know how much longer this place will last.\Now would be our chance to strike.\Where's Amagiri? response:	He's not coming.
context: And there are rumors that an agency will be formed in Japan that consists of contractors.\Whether they're related or not, I don't know.\They are probably after the doll too,\and from what I know, they've gotten hold of a lot of information.\I don't know how much longer this place will last.\Now would be our chance to strike.\Where's Amagiri?\He's not coming. response:	We're doing it with just us.
context: Whether they're related or not, I don't know.\They are probably after the doll too,\and from what I know, they've gotten hold of a lot of information.\I don't know how much longer this place will last.\Now would be our chance to strike.\Where's Amagiri?\He's not coming.\We're doing it with just us. response:	Did you see where the Black Grim Reaper is?
context: They are probably after the doll too,\and from what I know, they've gotten hold of a lot of information.\I don't know how much longer this place will last.\Now would be our chance to strike.\Where's Amagiri?\He's not coming.\We're doing it with just us.\Did you see where the Black Grim Reaper is? response:	He's in the jungle now.
context: and from what I know, they've gotten hold of a lot of information.\I don't know how much longer this place will last.\Now would be our chance to strike.\Where's Amagiri?\He's not coming.\We're doing it with just us.\Did you see where the Black Grim Reaper is?\He's in the jungle now. response:	Doing what?
context: I don't know how much longer this place will last.\Now would be our chance to strike.\Where's Amagiri?\He's not coming.\We're doing it with just us.\Did you see where the Black Grim Reaper is?\He's in the jungle now.\Doing what? response:	Weren't you going to kill kim?
context: Now would be our chance to strike.\Where's Amagiri?\He's not coming.\We're doing it with just us.\Did you see where the Black Grim Reaper is?\He's in the jungle now.\Doing what?\Weren't you going to kill kim? response:	Why? Why are you after me?
context: Where's Amagiri?\He's not coming.\We're doing it with just us.\Did you see where the Black Grim Reaper is?\He's in the jungle now.\Doing what?\Weren't you going to kill kim?\Why? Why are you after me? response:	Because Amagiri said so.
context: He's not coming.\We're doing it with just us.\Did you see where the Black Grim Reaper is?\He's in the jungle now.\Doing what?\Weren't you going to kill kim?\Why? Why are you after me?\Because Amagiri said so. response:	You foiled our plans and killed Amber!
context: We're doing it with just us.\Did you see where the Black Grim Reaper is?\He's in the jungle now.\Doing what?\Weren't you going to kill kim?\Why? Why are you after me?\Because Amagiri said so.\You foiled our plans and killed Amber! response:	You're our enemy.
context: Did you see where the Black Grim Reaper is?\He's in the jungle now.\Doing what?\Weren't you going to kill kim?\Why? Why are you after me?\Because Amagiri said so.\You foiled our plans and killed Amber!\You're our enemy. response:	Yin!
context: He's in the jungle now.\Doing what?\Weren't you going to kill kim?\Why? Why are you after me?\Because Amagiri said so.\You foiled our plans and killed Amber!\You're our enemy.\Yin! response:	Li...
context: Doing what?\Weren't you going to kill kim?\Why? Why are you after me?\Because Amagiri said so.\You foiled our plans and killed Amber!\You're our enemy.\Yin!\Li... response:	What happened?
context: Weren't you going to kill kim?\Why? Why are you after me?\Because Amagiri said so.\You foiled our plans and killed Amber!\You're our enemy.\Yin!\Li...\What happened? response:	I don't know!
context: Why? Why are you after me?\Because Amagiri said so.\You foiled our plans and killed Amber!\You're our enemy.\Yin!\Li...\What happened?\I don't know! response:	I was sleeping, and then I heard a loud cry!
context: Because Amagiri said so.\You foiled our plans and killed Amber!\You're our enemy.\Yin!\Li...\What happened?\I don't know!\I was sleeping, and then I heard a loud cry! response:	I was scared, so I was hiding the whole time!
context: You foiled our plans and killed Amber!\You're our enemy.\Yin!\Li...\What happened?\I don't know!\I was sleeping, and then I heard a loud cry!\I was scared, so I was hiding the whole time! response:	And when it quieted down, I came out and didn't see anyone!
context: You're our enemy.\Yin!\Li...\What happened?\I don't know!\I was sleeping, and then I heard a loud cry!\I was scared, so I was hiding the whole time!\And when it quieted down, I came out and didn't see anyone! response:	Wait!
context: Yin!\Li...\What happened?\I don't know!\I was sleeping, and then I heard a loud cry!\I was scared, so I was hiding the whole time!\And when it quieted down, I came out and didn't see anyone!\Wait! response:	What the heck happened?
context: Li...\What happened?\I don't know!\I was sleeping, and then I heard a loud cry!\I was scared, so I was hiding the whole time!\And when it quieted down, I came out and didn't see anyone!\Wait!\What the heck happened? response:	It's a baby.
context: What happened?\I don't know!\I was sleeping, and then I heard a loud cry!\I was scared, so I was hiding the whole time!\And when it quieted down, I came out and didn't see anyone!\Wait!\What the heck happened?\It's a baby. response:	Li!
context: I don't know!\I was sleeping, and then I heard a loud cry!\I was scared, so I was hiding the whole time!\And when it quieted down, I came out and didn't see anyone!\Wait!\What the heck happened?\It's a baby.\Li! response:	What are you doing?
context: I was sleeping, and then I heard a loud cry!\I was scared, so I was hiding the whole time!\And when it quieted down, I came out and didn't see anyone!\Wait!\What the heck happened?\It's a baby.\Li!\What are you doing? response:	The baby is still crying!
context: I was scared, so I was hiding the whole time!\And when it quieted down, I came out and didn't see anyone!\Wait!\What the heck happened?\It's a baby.\Li!\What are you doing?\The baby is still crying! response:	According to the book, she will awaken and obtain the power to change the world.
context: And when it quieted down, I came out and didn't see anyone!\Wait!\What the heck happened?\It's a baby.\Li!\What are you doing?\The baby is still crying!\According to the book, she will awaken and obtain the power to change the world. response:	Something tries to talk to me.
context: Wait!\What the heck happened?\It's a baby.\Li!\What are you doing?\The baby is still crying!\According to the book, she will awaken and obtain the power to change the world.\Something tries to talk to me. response:	Something?
context: What the heck happened?\It's a baby.\Li!\What are you doing?\The baby is still crying!\According to the book, she will awaken and obtain the power to change the world.\Something tries to talk to me.\Something? response:	I'm sorry! I'm sorry!
context: It's a baby.\Li!\What are you doing?\The baby is still crying!\According to the book, she will awaken and obtain the power to change the world.\Something tries to talk to me.\Something?\I'm sorry! I'm sorry! response:	There, there.
context: Li!\What are you doing?\The baby is still crying!\According to the book, she will awaken and obtain the power to change the world.\Something tries to talk to me.\Something?\I'm sorry! I'm sorry!\There, there. response:	That idiot got me.
context: What are you doing?\The baby is still crying!\According to the book, she will awaken and obtain the power to change the world.\Something tries to talk to me.\Something?\I'm sorry! I'm sorry!\There, there.\That idiot got me. response:	What happened?
context: The baby is still crying!\According to the book, she will awaken and obtain the power to change the world.\Something tries to talk to me.\Something?\I'm sorry! I'm sorry!\There, there.\That idiot got me.\What happened? response:	It was the young contractor that was with me.
context: According to the book, she will awaken and obtain the power to change the world.\Something tries to talk to me.\Something?\I'm sorry! I'm sorry!\There, there.\That idiot got me.\What happened?\It was the young contractor that was with me. response:	He couldn't wait for your doll to awaken any longer.
context: Something tries to talk to me.\Something?\I'm sorry! I'm sorry!\There, there.\That idiot got me.\What happened?\It was the young contractor that was with me.\He couldn't wait for your doll to awaken any longer. response:	He injected her with something and made her unstable.
context: Something?\I'm sorry! I'm sorry!\There, there.\That idiot got me.\What happened?\It was the young contractor that was with me.\He couldn't wait for your doll to awaken any longer.\He injected her with something and made her unstable. response:	I should have realized it sooner, but it was too late.
context: I'm sorry! I'm sorry!\There, there.\That idiot got me.\What happened?\It was the young contractor that was with me.\He couldn't wait for your doll to awaken any longer.\He injected her with something and made her unstable.\I should have realized it sooner, but it was too late. response:	I tried to go warn you and this is what became of me.
context: There, there.\That idiot got me.\What happened?\It was the young contractor that was with me.\He couldn't wait for your doll to awaken any longer.\He injected her with something and made her unstable.\I should have realized it sooner, but it was too late.\I tried to go warn you and this is what became of me. response:	I can't stay in this dog any longer.
context: That idiot got me.\What happened?\It was the young contractor that was with me.\He couldn't wait for your doll to awaken any longer.\He injected her with something and made her unstable.\I should have realized it sooner, but it was too late.\I tried to go warn you and this is what became of me.\I can't stay in this dog any longer. response:	From what I saw, he was holding on to something,
context: What happened?\It was the young contractor that was with me.\He couldn't wait for your doll to awaken any longer.\He injected her with something and made her unstable.\I should have realized it sooner, but it was too late.\I tried to go warn you and this is what became of me.\I can't stay in this dog any longer.\From what I saw, he was holding on to something, response:	and took your doll.
context: It was the young contractor that was with me.\He couldn't wait for your doll to awaken any longer.\He injected her with something and made her unstable.\I should have realized it sooner, but it was too late.\I tried to go warn you and this is what became of me.\I can't stay in this dog any longer.\From what I saw, he was holding on to something,\and took your doll. response:	Where is she?
context: He couldn't wait for your doll to awaken any longer.\He injected her with something and made her unstable.\I should have realized it sooner, but it was too late.\I tried to go warn you and this is what became of me.\I can't stay in this dog any longer.\From what I saw, he was holding on to something,\and took your doll.\Where is she? response:	She's being followed.
context: He injected her with something and made her unstable.\I should have realized it sooner, but it was too late.\I tried to go warn you and this is what became of me.\I can't stay in this dog any longer.\From what I saw, he was holding on to something,\and took your doll.\Where is she?\She's being followed. response:	Your doll hasn't completely awakened yet.
context: I should have realized it sooner, but it was too late.\I tried to go warn you and this is what became of me.\I can't stay in this dog any longer.\From what I saw, he was holding on to something,\and took your doll.\Where is she?\She's being followed.\Your doll hasn't completely awakened yet. response:	In the end, she stopped the awakening herself.
context: I tried to go warn you and this is what became of me.\I can't stay in this dog any longer.\From what I saw, he was holding on to something,\and took your doll.\Where is she?\She's being followed.\Your doll hasn't completely awakened yet.\In the end, she stopped the awakening herself. response:	You can still make it.
context: I can't stay in this dog any longer.\From what I saw, he was holding on to something,\and took your doll.\Where is she?\She's being followed.\Your doll hasn't completely awakened yet.\In the end, she stopped the awakening herself.\You can still make it. response:	So...
context: From what I saw, he was holding on to something,\and took your doll.\Where is she?\She's being followed.\Your doll hasn't completely awakened yet.\In the end, she stopped the awakening herself.\You can still make it.\So... response:	Go kill her already.
context: and took your doll.\Where is she?\She's being followed.\Your doll hasn't completely awakened yet.\In the end, she stopped the awakening herself.\You can still make it.\So...\Go kill her already. response:	Can you fly? ano sora ni kagayaku Ziggy Star
context: Where is she?\She's being followed.\Your doll hasn't completely awakened yet.\In the end, she stopped the awakening herself.\You can still make it.\So...\Go kill her already.\Can you fly? ano sora ni kagayaku Ziggy Star response:	Can you fly? Ziggy Star shining in the sky
context: She's being followed.\Your doll hasn't completely awakened yet.\In the end, she stopped the awakening herself.\You can still make it.\So...\Go kill her already.\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky response:	kowareta yume kieta ai torimodoshite Fly away
context: Your doll hasn't completely awakened yet.\In the end, she stopped the awakening herself.\You can still make it.\So...\Go kill her already.\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away response:	Claiming back my broken dreams and lost love Fly away
context: In the end, she stopped the awakening herself.\You can still make it.\So...\Go kill her already.\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away response:	Can you try? nikushimi o jihi e to kaete
context: You can still make it.\So...\Go kill her already.\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete response:	Can you try? Changing this hate into compassion
context: So...\Go kill her already.\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion response:	kawaita mune o nurasu Darker than Black
context: Go kill her already.\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black response:	Soaking up my dry chest Darker than Black
context: Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black response:	utsuro ni hikaru kousou no mado
context: Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado response:	From hollow spaces the windows on the skyscrapers shine,
context: kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine, response:	hatasenu mama no yakusoku
context: Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku response:	a promise that remains unfulfilled
context: Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled response:	muda ni nagareta chi to namida ni somaru kanashii Game
context: Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game response:	Dyed in pointlessly flowing blood and tears, this sad Game
context: kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game response:	Oh, Where is my friend? hitori yozora o nagamereba
context: Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba response:	Oh, Where is my friend? If I Gaze at the night sky alone
context: utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone response:	hoshikage ni yureru kimi no Sweet smile
context: From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile response:	Swaying in the starlight is your Sweet smile
context: hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile response:	Can you try? tachihadakaru kabe o kowashite
context: a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite response:	Can you try? Break the wall that is blocking your way
context: muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way response:	tabidatsu toki o kizamu Darker than Black
context: Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black response:	The time to begin is ticking by Darker than Black
context: Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black response:	The battle continues, and the ruins are smeared in blood.
context: Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\The battle continues, and the ruins are smeared in blood. response:	Are they after evolution or destruction?
context: hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\The battle continues, and the ruins are smeared in blood.\Are they after evolution or destruction? response:	Why was Yin chosen?
context: Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\The battle continues, and the ruins are smeared in blood.\Are they after evolution or destruction?\Why was Yin chosen? response:	She slips through my held out hands, and falls.
