context: Tch. response:	Oh.
context: He's an awesome guy.\He's here now.\You want me to introduce you guys? Yeah?\No, maybe next time.\Of course.\Manatocchi was a Priest, right?\Center of the ty-par, huh.\Priests do have a high fatality rate. response:	They're often targeted.
context: He's here now.\You want me to introduce you guys? Yeah?\No, maybe next time.\Of course.\Manatocchi was a Priest, right?\Center of the ty-par, huh.\Priests do have a high fatality rate.\They're often targeted. response:	Really?
context: You want me to introduce you guys? Yeah?\No, maybe next time.\Of course.\Manatocchi was a Priest, right?\Center of the ty-par, huh.\Priests do have a high fatality rate.\They're often targeted.\Really? response:	Well, obviously.
context: No, maybe next time.\Of course.\Manatocchi was a Priest, right?\Center of the ty-par, huh.\Priests do have a high fatality rate.\They're often targeted.\Really?\Well, obviously. response:	Enemies know Priests are healers, too.
context: Of course.\Manatocchi was a Priest, right?\Center of the ty-par, huh.\Priests do have a high fatality rate.\They're often targeted.\Really?\Well, obviously.\Enemies know Priests are healers, too. response:	A Warrior like me's nothing.
context: Manatocchi was a Priest, right?\Center of the ty-par, huh.\Priests do have a high fatality rate.\They're often targeted.\Really?\Well, obviously.\Enemies know Priests are healers, too.\A Warrior like me's nothing. response:	I just have to protect my Priest no matter what.
context: Center of the ty-par, huh.\Priests do have a high fatality rate.\They're often targeted.\Really?\Well, obviously.\Enemies know Priests are healers, too.\A Warrior like me's nothing.\I just have to protect my Priest no matter what. response:	It's usually like that, you know.
context: Priests do have a high fatality rate.\They're often targeted.\Really?\Well, obviously.\Enemies know Priests are healers, too.\A Warrior like me's nothing.\I just have to protect my Priest no matter what.\It's usually like that, you know. response:	It's the basics.
context: They're often targeted.\Really?\Well, obviously.\Enemies know Priests are healers, too.\A Warrior like me's nothing.\I just have to protect my Priest no matter what.\It's usually like that, you know.\It's the basics. response:	I-I... couldn't protect him.
context: Really?\Well, obviously.\Enemies know Priests are healers, too.\A Warrior like me's nothing.\I just have to protect my Priest no matter what.\It's usually like that, you know.\It's the basics.\I-I... couldn't protect him. response:	He was always the one... saving me.
context: Well, obviously.\Enemies know Priests are healers, too.\A Warrior like me's nothing.\I just have to protect my Priest no matter what.\It's usually like that, you know.\It's the basics.\I-I... couldn't protect him.\He was always the one... saving me. response:	See here, the only thing you can do now is think about what you're going to do.
context: Enemies know Priests are healers, too.\A Warrior like me's nothing.\I just have to protect my Priest no matter what.\It's usually like that, you know.\It's the basics.\I-I... couldn't protect him.\He was always the one... saving me.\See here, the only thing you can do now is think about what you're going to do. response:	Face forward and think positively.
context: A Warrior like me's nothing.\I just have to protect my Priest no matter what.\It's usually like that, you know.\It's the basics.\I-I... couldn't protect him.\He was always the one... saving me.\See here, the only thing you can do now is think about what you're going to do.\Face forward and think positively. response:	We don't have to listen to what Kikkawa says, but what would Manato have done?
context: I just have to protect my Priest no matter what.\It's usually like that, you know.\It's the basics.\I-I... couldn't protect him.\He was always the one... saving me.\See here, the only thing you can do now is think about what you're going to do.\Face forward and think positively.\We don't have to listen to what Kikkawa says, but what would Manato have done? response:	It's fine, it's fine.
context: It's usually like that, you know.\It's the basics.\I-I... couldn't protect him.\He was always the one... saving me.\See here, the only thing you can do now is think about what you're going to do.\Face forward and think positively.\We don't have to listen to what Kikkawa says, but what would Manato have done?\It's fine, it's fine. response:	Think positively, huh?
context: It's the basics.\I-I... couldn't protect him.\He was always the one... saving me.\See here, the only thing you can do now is think about what you're going to do.\Face forward and think positively.\We don't have to listen to what Kikkawa says, but what would Manato have done?\It's fine, it's fine.\Think positively, huh? response:	Our party has no Priest.
context: I-I... couldn't protect him.\He was always the one... saving me.\See here, the only thing you can do now is think about what you're going to do.\Face forward and think positively.\We don't have to listen to what Kikkawa says, but what would Manato have done?\It's fine, it's fine.\Think positively, huh?\Our party has no Priest. response:	Why not find another one?
context: He was always the one... saving me.\See here, the only thing you can do now is think about what you're going to do.\Face forward and think positively.\We don't have to listen to what Kikkawa says, but what would Manato have done?\It's fine, it's fine.\Think positively, huh?\Our party has no Priest.\Why not find another one? response:	Find
context: See here, the only thing you can do now is think about what you're going to do.\Face forward and think positively.\We don't have to listen to what Kikkawa says, but what would Manato have done?\It's fine, it's fine.\Think positively, huh?\Our party has no Priest.\Why not find another one?\Find response:	Wait wait, let me talk.
context: Face forward and think positively.\We don't have to listen to what Kikkawa says, but what would Manato have done?\It's fine, it's fine.\Think positively, huh?\Our party has no Priest.\Why not find another one?\Find\Wait wait, let me talk. response:	You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.
context: We don't have to listen to what Kikkawa says, but what would Manato have done?\It's fine, it's fine.\Think positively, huh?\Our party has no Priest.\Why not find another one?\Find\Wait wait, let me talk.\You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party. response:	By the way, I'm not a trainee anymore.
context: It's fine, it's fine.\Think positively, huh?\Our party has no Priest.\Why not find another one?\Find\Wait wait, let me talk.\You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.\By the way, I'm not a trainee anymore. response:	You wanna see my badge?
context: Think positively, huh?\Our party has no Priest.\Why not find another one?\Find\Wait wait, let me talk.\You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.\By the way, I'm not a trainee anymore.\You wanna see my badge? response:	I can show you.
context: Our party has no Priest.\Why not find another one?\Find\Wait wait, let me talk.\You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.\By the way, I'm not a trainee anymore.\You wanna see my badge?\I can show you. response:	No thanks.
context: Why not find another one?\Find\Wait wait, let me talk.\You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.\By the way, I'm not a trainee anymore.\You wanna see my badge?\I can show you.\No thanks. response:	But that's the thing.
context: Find\Wait wait, let me talk.\You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.\By the way, I'm not a trainee anymore.\You wanna see my badge?\I can show you.\No thanks.\But that's the thing. response:	There aren't any Priests who'd want to join our party.
context: Wait wait, let me talk.\You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.\By the way, I'm not a trainee anymore.\You wanna see my badge?\I can show you.\No thanks.\But that's the thing.\There aren't any Priests who'd want to join our party. response:	That's not necessarily true.
context: You can just see if there are any Trainee Volunteer Soldiers Priests who want to join your party.\By the way, I'm not a trainee anymore.\You wanna see my badge?\I can show you.\No thanks.\But that's the thing.\There aren't any Priests who'd want to join our party.\That's not necessarily true. response:	Huh?
context: By the way, I'm not a trainee anymore.\You wanna see my badge?\I can show you.\No thanks.\But that's the thing.\There aren't any Priests who'd want to join our party.\That's not necessarily true.\Huh? response:	Despite my personality, I know a lot of people.
context: You wanna see my badge?\I can show you.\No thanks.\But that's the thing.\There aren't any Priests who'd want to join our party.\That's not necessarily true.\Huh?\Despite my personality, I know a lot of people. response:	Y-You know someone?
context: I can show you.\No thanks.\But that's the thing.\There aren't any Priests who'd want to join our party.\That's not necessarily true.\Huh?\Despite my personality, I know a lot of people.\Y-You know someone? response:	But before that...!
context: No thanks.\But that's the thing.\There aren't any Priests who'd want to join our party.\That's not necessarily true.\Huh?\Despite my personality, I know a lot of people.\Y-You know someone?\But before that...! response:	What were your names again?
context: But that's the thing.\There aren't any Priests who'd want to join our party.\That's not necessarily true.\Huh?\Despite my personality, I know a lot of people.\Y-You know someone?\But before that...!\What were your names again? response:	Sorry, sorry.
context: There aren't any Priests who'd want to join our party.\That's not necessarily true.\Huh?\Despite my personality, I know a lot of people.\Y-You know someone?\But before that...!\What were your names again?\Sorry, sorry. response:	I thought I'd remember them eventually while we talked.
context: That's not necessarily true.\Huh?\Despite my personality, I know a lot of people.\Y-You know someone?\But before that...!\What were your names again?\Sorry, sorry.\I thought I'd remember them eventually while we talked. response:	Sorry, ok?
context: Huh?\Despite my personality, I know a lot of people.\Y-You know someone?\But before that...!\What were your names again?\Sorry, sorry.\I thought I'd remember them eventually while we talked.\Sorry, ok? response:	Tell me, crescendo!
context: Despite my personality, I know a lot of people.\Y-You know someone?\But before that...!\What were your names again?\Sorry, sorry.\I thought I'd remember them eventually while we talked.\Sorry, ok?\Tell me, crescendo! response:	And this is Merry-san, a Priest!
context: Y-You know someone?\But before that...!\What were your names again?\Sorry, sorry.\I thought I'd remember them eventually while we talked.\Sorry, ok?\Tell me, crescendo!\And this is Merry-san, a Priest! response:	A Priest...
context: But before that...!\What were your names again?\Sorry, sorry.\I thought I'd remember them eventually while we talked.\Sorry, ok?\Tell me, crescendo!\And this is Merry-san, a Priest!\A Priest... response:	H-Hello.
context: What were your names again?\Sorry, sorry.\I thought I'd remember them eventually while we talked.\Sorry, ok?\Tell me, crescendo!\And this is Merry-san, a Priest!\A Priest...\H-Hello. response:	Nice to meet you...
context: Sorry, sorry.\I thought I'd remember them eventually while we talked.\Sorry, ok?\Tell me, crescendo!\And this is Merry-san, a Priest!\A Priest...\H-Hello.\Nice to meet you... response:	So, where are we going?
context: I thought I'd remember them eventually while we talked.\Sorry, ok?\Tell me, crescendo!\And this is Merry-san, a Priest!\A Priest...\H-Hello.\Nice to meet you...\So, where are we going? response:	Damuro?
context: Sorry, ok?\Tell me, crescendo!\And this is Merry-san, a Priest!\A Priest...\H-Hello.\Nice to meet you...\So, where are we going?\Damuro? response:	Y-Yeah... maybe?
context: Tell me, crescendo!\And this is Merry-san, a Priest!\A Priest...\H-Hello.\Nice to meet you...\So, where are we going?\Damuro?\Y-Yeah... maybe? response:	Maybe?
context: And this is Merry-san, a Priest!\A Priest...\H-Hello.\Nice to meet you...\So, where are we going?\Damuro?\Y-Yeah... maybe?\Maybe? response:	Make up your mind.
context: A Priest...\H-Hello.\Nice to meet you...\So, where are we going?\Damuro?\Y-Yeah... maybe?\Maybe?\Make up your mind. response:	T-To Damuro.
context: H-Hello.\Nice to meet you...\So, where are we going?\Damuro?\Y-Yeah... maybe?\Maybe?\Make up your mind.\T-To Damuro. response:	The old city.
context: Nice to meet you...\So, where are we going?\Damuro?\Y-Yeah... maybe?\Maybe?\Make up your mind.\T-To Damuro.\The old city. response:	Going after goblins.
context: So, where are we going?\Damuro?\Y-Yeah... maybe?\Maybe?\Make up your mind.\T-To Damuro.\The old city.\Going after goblins. response:	Then, why don't you go.
context: Damuro?\Y-Yeah... maybe?\Maybe?\Make up your mind.\T-To Damuro.\The old city.\Going after goblins.\Then, why don't you go. response:	I'll follow you.
context: Y-Yeah... maybe?\Maybe?\Make up your mind.\T-To Damuro.\The old city.\Going after goblins.\Then, why don't you go.\I'll follow you. response:	Hey, do something about your attitude or the way you talk.
context: Maybe?\Make up your mind.\T-To Damuro.\The old city.\Going after goblins.\Then, why don't you go.\I'll follow you.\Hey, do something about your attitude or the way you talk. response:	Uh, I don't mind, though.
context: Make up your mind.\T-To Damuro.\The old city.\Going after goblins.\Then, why don't you go.\I'll follow you.\Hey, do something about your attitude or the way you talk.\Uh, I don't mind, though. response:	I hope I didn't offend you.
context: T-To Damuro.\The old city.\Going after goblins.\Then, why don't you go.\I'll follow you.\Hey, do something about your attitude or the way you talk.\Uh, I don't mind, though.\I hope I didn't offend you. response:	My bad. Sorry.
context: The old city.\Going after goblins.\Then, why don't you go.\I'll follow you.\Hey, do something about your attitude or the way you talk.\Uh, I don't mind, though.\I hope I didn't offend you.\My bad. Sorry. response:	Never mind.
context: Going after goblins.\Then, why don't you go.\I'll follow you.\Hey, do something about your attitude or the way you talk.\Uh, I don't mind, though.\I hope I didn't offend you.\My bad. Sorry.\Never mind. response:	Why are you apologizing, Ranta?
context: Then, why don't you go.\I'll follow you.\Hey, do something about your attitude or the way you talk.\Uh, I don't mind, though.\I hope I didn't offend you.\My bad. Sorry.\Never mind.\Why are you apologizing, Ranta? response:	Are we going or not?
context: I'll follow you.\Hey, do something about your attitude or the way you talk.\Uh, I don't mind, though.\I hope I didn't offend you.\My bad. Sorry.\Never mind.\Why are you apologizing, Ranta?\Are we going or not? response:	If not, I'm leaving.
context: Hey, do something about your attitude or the way you talk.\Uh, I don't mind, though.\I hope I didn't offend you.\My bad. Sorry.\Never mind.\Why are you apologizing, Ranta?\Are we going or not?\If not, I'm leaving. response:	Oh, er...
context: Uh, I don't mind, though.\I hope I didn't offend you.\My bad. Sorry.\Never mind.\Why are you apologizing, Ranta?\Are we going or not?\If not, I'm leaving.\Oh, er... response:	I can't stand that girl.
context: I hope I didn't offend you.\My bad. Sorry.\Never mind.\Why are you apologizing, Ranta?\Are we going or not?\If not, I'm leaving.\Oh, er...\I can't stand that girl. response:	Then say something to Merry yourself.
context: My bad. Sorry.\Never mind.\Why are you apologizing, Ranta?\Are we going or not?\If not, I'm leaving.\Oh, er...\I can't stand that girl.\Then say something to Merry yourself. response:	Haruhiro, are you pushing things you don't want to do onto other people, hm?
context: Never mind.\Why are you apologizing, Ranta?\Are we going or not?\If not, I'm leaving.\Oh, er...\I can't stand that girl.\Then say something to Merry yourself.\Haruhiro, are you pushing things you don't want to do onto other people, hm? response:	I'm dead tired.
context: Why are you apologizing, Ranta?\Are we going or not?\If not, I'm leaving.\Oh, er...\I can't stand that girl.\Then say something to Merry yourself.\Haruhiro, are you pushing things you don't want to do onto other people, hm?\I'm dead tired. response:	Not now.
context: Are we going or not?\If not, I'm leaving.\Oh, er...\I can't stand that girl.\Then say something to Merry yourself.\Haruhiro, are you pushing things you don't want to do onto other people, hm?\I'm dead tired.\Not now. response:	You're no fun, Haruhiro.
context: If not, I'm leaving.\Oh, er...\I can't stand that girl.\Then say something to Merry yourself.\Haruhiro, are you pushing things you don't want to do onto other people, hm?\I'm dead tired.\Not now.\You're no fun, Haruhiro. response:	Merry was just the type of Priest Kikkawa had described her as.
context: Oh, er...\I can't stand that girl.\Then say something to Merry yourself.\Haruhiro, are you pushing things you don't want to do onto other people, hm?\I'm dead tired.\Not now.\You're no fun, Haruhiro.\Merry was just the type of Priest Kikkawa had described her as. response:	She basically doesn't cooperate.
context: I can't stand that girl.\Then say something to Merry yourself.\Haruhiro, are you pushing things you don't want to do onto other people, hm?\I'm dead tired.\Not now.\You're no fun, Haruhiro.\Merry was just the type of Priest Kikkawa had described her as.\She basically doesn't cooperate. response:	At all.
context: Then say something to Merry yourself.\Haruhiro, are you pushing things you don't want to do onto other people, hm?\I'm dead tired.\Not now.\You're no fun, Haruhiro.\Merry was just the type of Priest Kikkawa had described her as.\She basically doesn't cooperate.\At all. response:	Wait.
context: Haruhiro, are you pushing things you don't want to do onto other people, hm?\I'm dead tired.\Not now.\You're no fun, Haruhiro.\Merry was just the type of Priest Kikkawa had described her as.\She basically doesn't cooperate.\At all.\Wait. response:	Why do I have to go fight the goblins?
context: I'm dead tired.\Not now.\You're no fun, Haruhiro.\Merry was just the type of Priest Kikkawa had described her as.\She basically doesn't cooperate.\At all.\Wait.\Why do I have to go fight the goblins? response:	Oh, you can't? Why not?
context: Not now.\You're no fun, Haruhiro.\Merry was just the type of Priest Kikkawa had described her as.\She basically doesn't cooperate.\At all.\Wait.\Why do I have to go fight the goblins?\Oh, you can't? Why not? response:	I won't go to the front lines.
context: You're no fun, Haruhiro.\Merry was just the type of Priest Kikkawa had described her as.\She basically doesn't cooperate.\At all.\Wait.\Why do I have to go fight the goblins?\Oh, you can't? Why not?\I won't go to the front lines. response:	I'm a Priest, so it should be obvious why.
context: Merry was just the type of Priest Kikkawa had described her as.\She basically doesn't cooperate.\At all.\Wait.\Why do I have to go fight the goblins?\Oh, you can't? Why not?\I won't go to the front lines.\I'm a Priest, so it should be obvious why. response:	Now look here, bud
context: She basically doesn't cooperate.\At all.\Wait.\Why do I have to go fight the goblins?\Oh, you can't? Why not?\I won't go to the front lines.\I'm a Priest, so it should be obvious why.\Now look here, bud response:	Bud?
context: At all.\Wait.\Why do I have to go fight the goblins?\Oh, you can't? Why not?\I won't go to the front lines.\I'm a Priest, so it should be obvious why.\Now look here, bud\Bud? response:	Y-You ?
context: Wait.\Why do I have to go fight the goblins?\Oh, you can't? Why not?\I won't go to the front lines.\I'm a Priest, so it should be obvious why.\Now look here, bud\Bud?\Y-You ? response:	I can't believe I have to be so polite, Merry
context: Why do I have to go fight the goblins?\Oh, you can't? Why not?\I won't go to the front lines.\I'm a Priest, so it should be obvious why.\Now look here, bud\Bud?\Y-You ?\I can't believe I have to be so polite, Merry response:	-san.
context: Oh, you can't? Why not?\I won't go to the front lines.\I'm a Priest, so it should be obvious why.\Now look here, bud\Bud?\Y-You ?\I can't believe I have to be so polite, Merry\-san. response:	Merry-san.
context: I won't go to the front lines.\I'm a Priest, so it should be obvious why.\Now look here, bud\Bud?\Y-You ?\I can't believe I have to be so polite, Merry\-san.\Merry-san. response:	Anyway, is that staff just for show?
context: I'm a Priest, so it should be obvious why.\Now look here, bud\Bud?\Y-You ?\I can't believe I have to be so polite, Merry\-san.\Merry-san.\Anyway, is that staff just for show? response:	Yes, it just for show.
context: Now look here, bud\Bud?\Y-You ?\I can't believe I have to be so polite, Merry\-san.\Merry-san.\Anyway, is that staff just for show?\Yes, it just for show. response:	You freakin'
context: Bud?\Y-You ?\I can't believe I have to be so polite, Merry\-san.\Merry-san.\Anyway, is that staff just for show?\Yes, it just for show.\You freakin' response:	You what?
context: Y-You ?\I can't believe I have to be so polite, Merry\-san.\Merry-san.\Anyway, is that staff just for show?\Yes, it just for show.\You freakin'\You what? response:	Merry- san?
context: I can't believe I have to be so polite, Merry\-san.\Merry-san.\Anyway, is that staff just for show?\Yes, it just for show.\You freakin'\You what?\Merry- san? response:	You're now, you're so, this, how to say...
context: -san.\Merry-san.\Anyway, is that staff just for show?\Yes, it just for show.\You freakin'\You what?\Merry- san?\You're now, you're so, this, how to say... response:	I don't know, ugh!
context: Merry-san.\Anyway, is that staff just for show?\Yes, it just for show.\You freakin'\You what?\Merry- san?\You're now, you're so, this, how to say...\I don't know, ugh! response:	No, do whatever you want!
context: Anyway, is that staff just for show?\Yes, it just for show.\You freakin'\You what?\Merry- san?\You're now, you're so, this, how to say...\I don't know, ugh!\No, do whatever you want! response:	I'll do just that without you telling me.
context: Yes, it just for show.\You freakin'\You what?\Merry- san?\You're now, you're so, this, how to say...\I don't know, ugh!\No, do whatever you want!\I'll do just that without you telling me. response:	Well, of course!
context: You freakin'\You what?\Merry- san?\You're now, you're so, this, how to say...\I don't know, ugh!\No, do whatever you want!\I'll do just that without you telling me.\Well, of course! response:	I thought you would.
context: You what?\Merry- san?\You're now, you're so, this, how to say...\I don't know, ugh!\No, do whatever you want!\I'll do just that without you telling me.\Well, of course!\I thought you would. response:	Damn, what's up with her?
context: Merry- san?\You're now, you're so, this, how to say...\I don't know, ugh!\No, do whatever you want!\I'll do just that without you telling me.\Well, of course!\I thought you would.\Damn, what's up with her? response:	Can you clean up your language a little?
context: You're now, you're so, this, how to say...\I don't know, ugh!\No, do whatever you want!\I'll do just that without you telling me.\Well, of course!\I thought you would.\Damn, what's up with her?\Can you clean up your language a little? response:	You'll defile my ears.
context: I don't know, ugh!\No, do whatever you want!\I'll do just that without you telling me.\Well, of course!\I thought you would.\Damn, what's up with her?\Can you clean up your language a little?\You'll defile my ears. response:	My deepest apologies.
context: No, do whatever you want!\I'll do just that without you telling me.\Well, of course!\I thought you would.\Damn, what's up with her?\Can you clean up your language a little?\You'll defile my ears.\My deepest apologies. response:	It was my bad.
context: I'll do just that without you telling me.\Well, of course!\I thought you would.\Damn, what's up with her?\Can you clean up your language a little?\You'll defile my ears.\My deepest apologies.\It was my bad. response:	Why don't you just plug your ears if you dislike it that much?
context: Well, of course!\I thought you would.\Damn, what's up with her?\Can you clean up your language a little?\You'll defile my ears.\My deepest apologies.\It was my bad.\Why don't you just plug your ears if you dislike it that much? response:	Why do I need to do something so bothersome?
context: I thought you would.\Damn, what's up with her?\Can you clean up your language a little?\You'll defile my ears.\My deepest apologies.\It was my bad.\Why don't you just plug your ears if you dislike it that much?\Why do I need to do something so bothersome? response:	What about you, Moguzo?
context: Damn, what's up with her?\Can you clean up your language a little?\You'll defile my ears.\My deepest apologies.\It was my bad.\Why don't you just plug your ears if you dislike it that much?\Why do I need to do something so bothersome?\What about you, Moguzo? response:	She doesn't make you mad?
context: Can you clean up your language a little?\You'll defile my ears.\My deepest apologies.\It was my bad.\Why don't you just plug your ears if you dislike it that much?\Why do I need to do something so bothersome?\What about you, Moguzo?\She doesn't make you mad? response:	W-Well, kinda...
context: You'll defile my ears.\My deepest apologies.\It was my bad.\Why don't you just plug your ears if you dislike it that much?\Why do I need to do something so bothersome?\What about you, Moguzo?\She doesn't make you mad?\W-Well, kinda... response:	They're mad.
context: My deepest apologies.\It was my bad.\Why don't you just plug your ears if you dislike it that much?\Why do I need to do something so bothersome?\What about you, Moguzo?\She doesn't make you mad?\W-Well, kinda...\They're mad. response:	They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.
context: It was my bad.\Why don't you just plug your ears if you dislike it that much?\Why do I need to do something so bothersome?\What about you, Moguzo?\She doesn't make you mad?\W-Well, kinda...\They're mad.\They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died. response:	Especially when it's somebody like her.
context: Why don't you just plug your ears if you dislike it that much?\Why do I need to do something so bothersome?\What about you, Moguzo?\She doesn't make you mad?\W-Well, kinda...\They're mad.\They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.\Especially when it's somebody like her. response:	Hey, Haruhiro!
context: Why do I need to do something so bothersome?\What about you, Moguzo?\She doesn't make you mad?\W-Well, kinda...\They're mad.\They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.\Especially when it's somebody like her.\Hey, Haruhiro! response:	Well, I totally agree.
context: What about you, Moguzo?\She doesn't make you mad?\W-Well, kinda...\They're mad.\They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.\Especially when it's somebody like her.\Hey, Haruhiro!\Well, I totally agree. response:	Right?
context: She doesn't make you mad?\W-Well, kinda...\They're mad.\They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.\Especially when it's somebody like her.\Hey, Haruhiro!\Well, I totally agree.\Right? response:	It's true, Haruhiro.
context: W-Well, kinda...\They're mad.\They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.\Especially when it's somebody like her.\Hey, Haruhiro!\Well, I totally agree.\Right?\It's true, Haruhiro. response:	We didn't even ask Yume and Shihoru.
context: They're mad.\They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.\Especially when it's somebody like her.\Hey, Haruhiro!\Well, I totally agree.\Right?\It's true, Haruhiro.\We didn't even ask Yume and Shihoru. response:	I'm sure that Manato wouldn't have done something like this on a whim.
context: They're probably wondering what we were thinking when we invited a new Priest to the group right after Manato died.\Especially when it's somebody like her.\Hey, Haruhiro!\Well, I totally agree.\Right?\It's true, Haruhiro.\We didn't even ask Yume and Shihoru.\I'm sure that Manato wouldn't have done something like this on a whim. response:	Merry! Heal Ranta.
context: Especially when it's somebody like her.\Hey, Haruhiro!\Well, I totally agree.\Right?\It's true, Haruhiro.\We didn't even ask Yume and Shihoru.\I'm sure that Manato wouldn't have done something like this on a whim.\Merry! Heal Ranta. response:	No.
context: Hey, Haruhiro!\Well, I totally agree.\Right?\It's true, Haruhiro.\We didn't even ask Yume and Shihoru.\I'm sure that Manato wouldn't have done something like this on a whim.\Merry! Heal Ranta.\No. response:	Huh? No?
context: Well, I totally agree.\Right?\It's true, Haruhiro.\We didn't even ask Yume and Shihoru.\I'm sure that Manato wouldn't have done something like this on a whim.\Merry! Heal Ranta.\No.\Huh? No? response:	Why?
context: Right?\It's true, Haruhiro.\We didn't even ask Yume and Shihoru.\I'm sure that Manato wouldn't have done something like this on a whim.\Merry! Heal Ranta.\No.\Huh? No?\Why? response:	It's not a wound we need to heal immediately.
context: It's true, Haruhiro.\We didn't even ask Yume and Shihoru.\I'm sure that Manato wouldn't have done something like this on a whim.\Merry! Heal Ranta.\No.\Huh? No?\Why?\It's not a wound we need to heal immediately. response:	Deal with it.
context: We didn't even ask Yume and Shihoru.\I'm sure that Manato wouldn't have done something like this on a whim.\Merry! Heal Ranta.\No.\Huh? No?\Why?\It's not a wound we need to heal immediately.\Deal with it. response:	You bastard. Ow!
context: I'm sure that Manato wouldn't have done something like this on a whim.\Merry! Heal Ranta.\No.\Huh? No?\Why?\It's not a wound we need to heal immediately.\Deal with it.\You bastard. Ow! response:	You guys are a mess.
context: Merry! Heal Ranta.\No.\Huh? No?\Why?\It's not a wound we need to heal immediately.\Deal with it.\You bastard. Ow!\You guys are a mess. response:	If it were Manato and not me in charge, we could have easily beat the goblins of that level.
context: No.\Huh? No?\Why?\It's not a wound we need to heal immediately.\Deal with it.\You bastard. Ow!\You guys are a mess.\If it were Manato and not me in charge, we could have easily beat the goblins of that level. response:	Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.
context: Huh? No?\Why?\It's not a wound we need to heal immediately.\Deal with it.\You bastard. Ow!\You guys are a mess.\If it were Manato and not me in charge, we could have easily beat the goblins of that level.\Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader. response:	What should we do...
context: Why?\It's not a wound we need to heal immediately.\Deal with it.\You bastard. Ow!\You guys are a mess.\If it were Manato and not me in charge, we could have easily beat the goblins of that level.\Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.\What should we do... response:	Volunteer Soldier, huh.
context: It's not a wound we need to heal immediately.\Deal with it.\You bastard. Ow!\You guys are a mess.\If it were Manato and not me in charge, we could have easily beat the goblins of that level.\Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.\What should we do...\Volunteer Soldier, huh. response:	I know.
context: Deal with it.\You bastard. Ow!\You guys are a mess.\If it were Manato and not me in charge, we could have easily beat the goblins of that level.\Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.\What should we do...\Volunteer Soldier, huh.\I know. response:	I know what you're going to say, Haruhiro.
context: You bastard. Ow!\You guys are a mess.\If it were Manato and not me in charge, we could have easily beat the goblins of that level.\Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.\What should we do...\Volunteer Soldier, huh.\I know.\I know what you're going to say, Haruhiro. response:	Our goal for now is to buy our official badges to become a full-fledged Volunteer Soldiers.
context: You guys are a mess.\If it were Manato and not me in charge, we could have easily beat the goblins of that level.\Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.\What should we do...\Volunteer Soldier, huh.\I know.\I know what you're going to say, Haruhiro.\Our goal for now is to buy our official badges to become a full-fledged Volunteer Soldiers. response:	But it doesn't really feel like it matters anymore.
context: If it were Manato and not me in charge, we could have easily beat the goblins of that level.\Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.\What should we do...\Volunteer Soldier, huh.\I know.\I know what you're going to say, Haruhiro.\Our goal for now is to buy our official badges to become a full-fledged Volunteer Soldiers.\But it doesn't really feel like it matters anymore. response:	That's what you're thinking, right?
context: Manato was a defensive tank on par with Moguzo, a healer, our strategist, and our leader.\What should we do...\Volunteer Soldier, huh.\I know.\I know what you're going to say, Haruhiro.\Our goal for now is to buy our official badges to become a full-fledged Volunteer Soldiers.\But it doesn't really feel like it matters anymore.\That's what you're thinking, right? response:	I have mixed feelings about you knowing what I'm thinking.
context: What should we do...\Volunteer Soldier, huh.\I know.\I know what you're going to say, Haruhiro.\Our goal for now is to buy our official badges to become a full-fledged Volunteer Soldiers.\But it doesn't really feel like it matters anymore.\That's what you're thinking, right?\I have mixed feelings about you knowing what I'm thinking. response:	That's rude.
context: Volunteer Soldier, huh.\I know.\I know what you're going to say, Haruhiro.\Our goal for now is to buy our official badges to become a full-fledged Volunteer Soldiers.\But it doesn't really feel like it matters anymore.\That's what you're thinking, right?\I have mixed feelings about you knowing what I'm thinking.\That's rude. response:	I'll kill you.
context: I know.\I know what you're going to say, Haruhiro.\Our goal for now is to buy our official badges to become a full-fledged Volunteer Soldiers.\But it doesn't really feel like it matters anymore.\That's what you're thinking, right?\I have mixed feelings about you knowing what I'm thinking.\That's rude.\I'll kill you. response:	I'm very sorry.
