context: He said he found a master he could serve. response:	That's why he was leaving the village.
context: She's a Nanman.\She's quite strong.\Outrageous.\Truly, outrageously large.\Is this your type, Niko?\I prefer the priestess.\No one asked you.\All right, let's give these a feel... response:	What do you think you're doing?
context: She's quite strong.\Outrageous.\Truly, outrageously large.\Is this your type, Niko?\I prefer the priestess.\No one asked you.\All right, let's give these a feel...\What do you think you're doing? response:	What are you doing? That's not fair.
context: Outrageous.\Truly, outrageously large.\Is this your type, Niko?\I prefer the priestess.\No one asked you.\All right, let's give these a feel...\What do you think you're doing?\What are you doing? That's not fair. response:	Fine! We'll settle this with rock paper scissors. Come on!
context: Truly, outrageously large.\Is this your type, Niko?\I prefer the priestess.\No one asked you.\All right, let's give these a feel...\What do you think you're doing?\What are you doing? That's not fair.\Fine! We'll settle this with rock paper scissors. Come on! response:	Rock, paper, scissors, shoot!
context: Is this your type, Niko?\I prefer the priestess.\No one asked you.\All right, let's give these a feel...\What do you think you're doing?\What are you doing? That's not fair.\Fine! We'll settle this with rock paper scissors. Come on!\Rock, paper, scissors, shoot! response:	Rock, paper, scissors, shoot!
context: I prefer the priestess.\No one asked you.\All right, let's give these a feel...\What do you think you're doing?\What are you doing? That's not fair.\Fine! We'll settle this with rock paper scissors. Come on!\Rock, paper, scissors, shoot!\Rock, paper, scissors, shoot! response:	Isanami won't go back?
context: No one asked you.\All right, let's give these a feel...\What do you think you're doing?\What are you doing? That's not fair.\Fine! We'll settle this with rock paper scissors. Come on!\Rock, paper, scissors, shoot!\Rock, paper, scissors, shoot!\Isanami won't go back? response:	What does she think I'm distracting them for?
context: All right, let's give these a feel...\What do you think you're doing?\What are you doing? That's not fair.\Fine! We'll settle this with rock paper scissors. Come on!\Rock, paper, scissors, shoot!\Rock, paper, scissors, shoot!\Isanami won't go back?\What does she think I'm distracting them for? response:	I'm first!
context: What do you think you're doing?\What are you doing? That's not fair.\Fine! We'll settle this with rock paper scissors. Come on!\Rock, paper, scissors, shoot!\Rock, paper, scissors, shoot!\Isanami won't go back?\What does she think I'm distracting them for?\I'm first! response:	Damn it.
context: What are you doing? That's not fair.\Fine! We'll settle this with rock paper scissors. Come on!\Rock, paper, scissors, shoot!\Rock, paper, scissors, shoot!\Isanami won't go back?\What does she think I'm distracting them for?\I'm first!\Damn it. response:	Let's have some fun, lady!
context: Fine! We'll settle this with rock paper scissors. Come on!\Rock, paper, scissors, shoot!\Rock, paper, scissors, shoot!\Isanami won't go back?\What does she think I'm distracting them for?\I'm first!\Damn it.\Let's have some fun, lady! response:	Iga Ice Technique!
context: Rock, paper, scissors, shoot!\Rock, paper, scissors, shoot!\Isanami won't go back?\What does she think I'm distracting them for?\I'm first!\Damn it.\Let's have some fun, lady!\Iga Ice Technique! response:	Sohyoga!
context: Rock, paper, scissors, shoot!\Isanami won't go back?\What does she think I'm distracting them for?\I'm first!\Damn it.\Let's have some fun, lady!\Iga Ice Technique!\Sohyoga! response:	Wait! I've got something to do first!
context: Isanami won't go back?\What does she think I'm distracting them for?\I'm first!\Damn it.\Let's have some fun, lady!\Iga Ice Technique!\Sohyoga!\Wait! I've got something to do first! response:	Do what?
context: What does she think I'm distracting them for?\I'm first!\Damn it.\Let's have some fun, lady!\Iga Ice Technique!\Sohyoga!\Wait! I've got something to do first!\Do what? response:	Oh, right.
context: I'm first!\Damn it.\Let's have some fun, lady!\Iga Ice Technique!\Sohyoga!\Wait! I've got something to do first!\Do what?\Oh, right. response:	There's something I have to do.
context: Damn it.\Let's have some fun, lady!\Iga Ice Technique!\Sohyoga!\Wait! I've got something to do first!\Do what?\Oh, right.\There's something I have to do. response:	Why?
context: Let's have some fun, lady!\Iga Ice Technique!\Sohyoga!\Wait! I've got something to do first!\Do what?\Oh, right.\There's something I have to do.\Why? response:	I won't go back to Ueda.
context: Iga Ice Technique!\Sohyoga!\Wait! I've got something to do first!\Do what?\Oh, right.\There's something I have to do.\Why?\I won't go back to Ueda. response:	I cannot force her.
context: Sohyoga!\Wait! I've got something to do first!\Do what?\Oh, right.\There's something I have to do.\Why?\I won't go back to Ueda.\I cannot force her. response:	She doesn't wish to go.
context: Wait! I've got something to do first!\Do what?\Oh, right.\There's something I have to do.\Why?\I won't go back to Ueda.\I cannot force her.\She doesn't wish to go. response:	But I must follow Yukimura-sama's orders.
context: Do what?\Oh, right.\There's something I have to do.\Why?\I won't go back to Ueda.\I cannot force her.\She doesn't wish to go.\But I must follow Yukimura-sama's orders. response:	I have failed.
context: Oh, right.\There's something I have to do.\Why?\I won't go back to Ueda.\I cannot force her.\She doesn't wish to go.\But I must follow Yukimura-sama's orders.\I have failed. response:	I can't count on Sasuke for anything.
context: There's something I have to do.\Why?\I won't go back to Ueda.\I cannot force her.\She doesn't wish to go.\But I must follow Yukimura-sama's orders.\I have failed.\I can't count on Sasuke for anything. response:	Ana.
context: Why?\I won't go back to Ueda.\I cannot force her.\She doesn't wish to go.\But I must follow Yukimura-sama's orders.\I have failed.\I can't count on Sasuke for anything.\Ana. response:	Men are too easy.
context: I won't go back to Ueda.\I cannot force her.\She doesn't wish to go.\But I must follow Yukimura-sama's orders.\I have failed.\I can't count on Sasuke for anything.\Ana.\Men are too easy. response:	Let's go.
context: I cannot force her.\She doesn't wish to go.\But I must follow Yukimura-sama's orders.\I have failed.\I can't count on Sasuke for anything.\Ana.\Men are too easy.\Let's go. response:	You're covered in wounds.
context: She doesn't wish to go.\But I must follow Yukimura-sama's orders.\I have failed.\I can't count on Sasuke for anything.\Ana.\Men are too easy.\Let's go.\You're covered in wounds. response:	You did this for me.
context: But I must follow Yukimura-sama's orders.\I have failed.\I can't count on Sasuke for anything.\Ana.\Men are too easy.\Let's go.\You're covered in wounds.\You did this for me. response:	I won't go back!
context: I have failed.\I can't count on Sasuke for anything.\Ana.\Men are too easy.\Let's go.\You're covered in wounds.\You did this for me.\I won't go back! response:	Everyone's worried about you.
context: I can't count on Sasuke for anything.\Ana.\Men are too easy.\Let's go.\You're covered in wounds.\You did this for me.\I won't go back!\Everyone's worried about you. response:	If I go back, I'll just cause everyone more trouble.
context: Ana.\Men are too easy.\Let's go.\You're covered in wounds.\You did this for me.\I won't go back!\Everyone's worried about you.\If I go back, I'll just cause everyone more trouble. response:	Isanami.
context: Men are too easy.\Let's go.\You're covered in wounds.\You did this for me.\I won't go back!\Everyone's worried about you.\If I go back, I'll just cause everyone more trouble.\Isanami. response:	Do you think you're the pitiful protagonist of some sad little story?
context: Let's go.\You're covered in wounds.\You did this for me.\I won't go back!\Everyone's worried about you.\If I go back, I'll just cause everyone more trouble.\Isanami.\Do you think you're the pitiful protagonist of some sad little story? response:	You don't want to see anyone get hurt,
context: You're covered in wounds.\You did this for me.\I won't go back!\Everyone's worried about you.\If I go back, I'll just cause everyone more trouble.\Isanami.\Do you think you're the pitiful protagonist of some sad little story?\You don't want to see anyone get hurt, response:	so you cover your eyes and ears.
context: You did this for me.\I won't go back!\Everyone's worried about you.\If I go back, I'll just cause everyone more trouble.\Isanami.\Do you think you're the pitiful protagonist of some sad little story?\You don't want to see anyone get hurt,\so you cover your eyes and ears. response:	Pitying yourself and avoiding pain...
context: I won't go back!\Everyone's worried about you.\If I go back, I'll just cause everyone more trouble.\Isanami.\Do you think you're the pitiful protagonist of some sad little story?\You don't want to see anyone get hurt,\so you cover your eyes and ears.\Pitying yourself and avoiding pain... response:	But I won't let you do that.
context: Everyone's worried about you.\If I go back, I'll just cause everyone more trouble.\Isanami.\Do you think you're the pitiful protagonist of some sad little story?\You don't want to see anyone get hurt,\so you cover your eyes and ears.\Pitying yourself and avoiding pain...\But I won't let you do that. response:	You're a brave warrior.
context: If I go back, I'll just cause everyone more trouble.\Isanami.\Do you think you're the pitiful protagonist of some sad little story?\You don't want to see anyone get hurt,\so you cover your eyes and ears.\Pitying yourself and avoiding pain...\But I won't let you do that.\You're a brave warrior. response:	Do you want be someone who needs protection forever?
context: Isanami.\Do you think you're the pitiful protagonist of some sad little story?\You don't want to see anyone get hurt,\so you cover your eyes and ears.\Pitying yourself and avoiding pain...\But I won't let you do that.\You're a brave warrior.\Do you want be someone who needs protection forever? response:	Fight!
context: Do you think you're the pitiful protagonist of some sad little story?\You don't want to see anyone get hurt,\so you cover your eyes and ears.\Pitying yourself and avoiding pain...\But I won't let you do that.\You're a brave warrior.\Do you want be someone who needs protection forever?\Fight! response:	What will running solve?
context: You don't want to see anyone get hurt,\so you cover your eyes and ears.\Pitying yourself and avoiding pain...\But I won't let you do that.\You're a brave warrior.\Do you want be someone who needs protection forever?\Fight!\What will running solve? response:	Fight? I'm not even strong.
context: so you cover your eyes and ears.\Pitying yourself and avoiding pain...\But I won't let you do that.\You're a brave warrior.\Do you want be someone who needs protection forever?\Fight!\What will running solve?\Fight? I'm not even strong. response:	Whatever you might think, Yukimura-sama accepted you.
context: Pitying yourself and avoiding pain...\But I won't let you do that.\You're a brave warrior.\Do you want be someone who needs protection forever?\Fight!\What will running solve?\Fight? I'm not even strong.\Whatever you might think, Yukimura-sama accepted you. response:	He chose you to be one of his warriors.
context: But I won't let you do that.\You're a brave warrior.\Do you want be someone who needs protection forever?\Fight!\What will running solve?\Fight? I'm not even strong.\Whatever you might think, Yukimura-sama accepted you.\He chose you to be one of his warriors. response:	Are you going to run from that, too?
context: You're a brave warrior.\Do you want be someone who needs protection forever?\Fight!\What will running solve?\Fight? I'm not even strong.\Whatever you might think, Yukimura-sama accepted you.\He chose you to be one of his warriors.\Are you going to run from that, too? response:	But there's nothing I can do.
context: Do you want be someone who needs protection forever?\Fight!\What will running solve?\Fight? I'm not even strong.\Whatever you might think, Yukimura-sama accepted you.\He chose you to be one of his warriors.\Are you going to run from that, too?\But there's nothing I can do. response:	Physical strength isn't everything!
context: Fight!\What will running solve?\Fight? I'm not even strong.\Whatever you might think, Yukimura-sama accepted you.\He chose you to be one of his warriors.\Are you going to run from that, too?\But there's nothing I can do.\Physical strength isn't everything! response:	The courage to move forward is strength, too.
context: What will running solve?\Fight? I'm not even strong.\Whatever you might think, Yukimura-sama accepted you.\He chose you to be one of his warriors.\Are you going to run from that, too?\But there's nothing I can do.\Physical strength isn't everything!\The courage to move forward is strength, too. response:	It's all right.
context: Fight? I'm not even strong.\Whatever you might think, Yukimura-sama accepted you.\He chose you to be one of his warriors.\Are you going to run from that, too?\But there's nothing I can do.\Physical strength isn't everything!\The courage to move forward is strength, too.\It's all right. response:	You have great strength...
context: Whatever you might think, Yukimura-sama accepted you.\He chose you to be one of his warriors.\Are you going to run from that, too?\But there's nothing I can do.\Physical strength isn't everything!\The courage to move forward is strength, too.\It's all right.\You have great strength... response:	You are a brave warrior.
context: He chose you to be one of his warriors.\Are you going to run from that, too?\But there's nothing I can do.\Physical strength isn't everything!\The courage to move forward is strength, too.\It's all right.\You have great strength...\You are a brave warrior. response:	I'm a warrior...
context: Are you going to run from that, too?\But there's nothing I can do.\Physical strength isn't everything!\The courage to move forward is strength, too.\It's all right.\You have great strength...\You are a brave warrior.\I'm a warrior... response:	Ana, Isanami.
context: But there's nothing I can do.\Physical strength isn't everything!\The courage to move forward is strength, too.\It's all right.\You have great strength...\You are a brave warrior.\I'm a warrior...\Ana, Isanami. response:	Can you stand?
context: Physical strength isn't everything!\The courage to move forward is strength, too.\It's all right.\You have great strength...\You are a brave warrior.\I'm a warrior...\Ana, Isanami.\Can you stand? response:	Yeah.
context: The courage to move forward is strength, too.\It's all right.\You have great strength...\You are a brave warrior.\I'm a warrior...\Ana, Isanami.\Can you stand?\Yeah. response:	She's right. This is about me.
context: It's all right.\You have great strength...\You are a brave warrior.\I'm a warrior...\Ana, Isanami.\Can you stand?\Yeah.\She's right. This is about me. response:	If I don't want to cry, I have to stand.
context: You have great strength...\You are a brave warrior.\I'm a warrior...\Ana, Isanami.\Can you stand?\Yeah.\She's right. This is about me.\If I don't want to cry, I have to stand. response:	Sasuke, sorry about what I said earlier.
context: You are a brave warrior.\I'm a warrior...\Ana, Isanami.\Can you stand?\Yeah.\She's right. This is about me.\If I don't want to cry, I have to stand.\Sasuke, sorry about what I said earlier. response:	Thank you for coming to rescue me.
context: I'm a warrior...\Ana, Isanami.\Can you stand?\Yeah.\She's right. This is about me.\If I don't want to cry, I have to stand.\Sasuke, sorry about what I said earlier.\Thank you for coming to rescue me. response:	Isanami.
context: Ana, Isanami.\Can you stand?\Yeah.\She's right. This is about me.\If I don't want to cry, I have to stand.\Sasuke, sorry about what I said earlier.\Thank you for coming to rescue me.\Isanami. response:	None of us fear getting hurt.
context: Can you stand?\Yeah.\She's right. This is about me.\If I don't want to cry, I have to stand.\Sasuke, sorry about what I said earlier.\Thank you for coming to rescue me.\Isanami.\None of us fear getting hurt. response:	Not me, not Saizo, not Yukimura-sama.
context: Yeah.\She's right. This is about me.\If I don't want to cry, I have to stand.\Sasuke, sorry about what I said earlier.\Thank you for coming to rescue me.\Isanami.\None of us fear getting hurt.\Not me, not Saizo, not Yukimura-sama. response:	I won't be afraid either.
context: She's right. This is about me.\If I don't want to cry, I have to stand.\Sasuke, sorry about what I said earlier.\Thank you for coming to rescue me.\Isanami.\None of us fear getting hurt.\Not me, not Saizo, not Yukimura-sama.\I won't be afraid either. response:	I'm a brave warrior.
context: If I don't want to cry, I have to stand.\Sasuke, sorry about what I said earlier.\Thank you for coming to rescue me.\Isanami.\None of us fear getting hurt.\Not me, not Saizo, not Yukimura-sama.\I won't be afraid either.\I'm a brave warrior. response:	Let's fight together.
context: Sasuke, sorry about what I said earlier.\Thank you for coming to rescue me.\Isanami.\None of us fear getting hurt.\Not me, not Saizo, not Yukimura-sama.\I won't be afraid either.\I'm a brave warrior.\Let's fight together. response:	All of us.
context: Thank you for coming to rescue me.\Isanami.\None of us fear getting hurt.\Not me, not Saizo, not Yukimura-sama.\I won't be afraid either.\I'm a brave warrior.\Let's fight together.\All of us. response:	They are back.
context: Isanami.\None of us fear getting hurt.\Not me, not Saizo, not Yukimura-sama.\I won't be afraid either.\I'm a brave warrior.\Let's fight together.\All of us.\They are back. response:	Looks like you took quite a beating.
context: None of us fear getting hurt.\Not me, not Saizo, not Yukimura-sama.\I won't be afraid either.\I'm a brave warrior.\Let's fight together.\All of us.\They are back.\Looks like you took quite a beating. response:	Yukimura-sama,
context: Not me, not Saizo, not Yukimura-sama.\I won't be afraid either.\I'm a brave warrior.\Let's fight together.\All of us.\They are back.\Looks like you took quite a beating.\Yukimura-sama, response:	I wish I could report what happened immediately...
context: I won't be afraid either.\I'm a brave warrior.\Let's fight together.\All of us.\They are back.\Looks like you took quite a beating.\Yukimura-sama,\I wish I could report what happened immediately... response:	It's fine. Just rest for now.
context: I'm a brave warrior.\Let's fight together.\All of us.\They are back.\Looks like you took quite a beating.\Yukimura-sama,\I wish I could report what happened immediately...\It's fine. Just rest for now. response:	We'll talk later.
context: Let's fight together.\All of us.\They are back.\Looks like you took quite a beating.\Yukimura-sama,\I wish I could report what happened immediately...\It's fine. Just rest for now.\We'll talk later. response:	Saizo! Kakei-san!
context: All of us.\They are back.\Looks like you took quite a beating.\Yukimura-sama,\I wish I could report what happened immediately...\It's fine. Just rest for now.\We'll talk later.\Saizo! Kakei-san! response:	We've taken care of business.
context: They are back.\Looks like you took quite a beating.\Yukimura-sama,\I wish I could report what happened immediately...\It's fine. Just rest for now.\We'll talk later.\Saizo! Kakei-san!\We've taken care of business. response:	Don't worry.
context: Looks like you took quite a beating.\Yukimura-sama,\I wish I could report what happened immediately...\It's fine. Just rest for now.\We'll talk later.\Saizo! Kakei-san!\We've taken care of business.\Don't worry. response:	Isanami, I'm glad you're all right.
context: Yukimura-sama,\I wish I could report what happened immediately...\It's fine. Just rest for now.\We'll talk later.\Saizo! Kakei-san!\We've taken care of business.\Don't worry.\Isanami, I'm glad you're all right. response:	Same to you, Kakei-san. I'm sorry for making you worry.
context: I wish I could report what happened immediately...\It's fine. Just rest for now.\We'll talk later.\Saizo! Kakei-san!\We've taken care of business.\Don't worry.\Isanami, I'm glad you're all right.\Same to you, Kakei-san. I'm sorry for making you worry. response:	Saizo, are you okay? I...
context: It's fine. Just rest for now.\We'll talk later.\Saizo! Kakei-san!\We've taken care of business.\Don't worry.\Isanami, I'm glad you're all right.\Same to you, Kakei-san. I'm sorry for making you worry.\Saizo, are you okay? I... response:	Old man, I'm gonna take a bath.
context: We'll talk later.\Saizo! Kakei-san!\We've taken care of business.\Don't worry.\Isanami, I'm glad you're all right.\Same to you, Kakei-san. I'm sorry for making you worry.\Saizo, are you okay? I...\Old man, I'm gonna take a bath. response:	Saizo...
context: Saizo! Kakei-san!\We've taken care of business.\Don't worry.\Isanami, I'm glad you're all right.\Same to you, Kakei-san. I'm sorry for making you worry.\Saizo, are you okay? I...\Old man, I'm gonna take a bath.\Saizo... response:	You're the one who's been following Saizo?
context: We've taken care of business.\Don't worry.\Isanami, I'm glad you're all right.\Same to you, Kakei-san. I'm sorry for making you worry.\Saizo, are you okay? I...\Old man, I'm gonna take a bath.\Saizo...\You're the one who's been following Saizo? response:	That's right.
context: Don't worry.\Isanami, I'm glad you're all right.\Same to you, Kakei-san. I'm sorry for making you worry.\Saizo, are you okay? I...\Old man, I'm gonna take a bath.\Saizo...\You're the one who's been following Saizo?\That's right. response:	Saizo works for me now.
context: Isanami, I'm glad you're all right.\Same to you, Kakei-san. I'm sorry for making you worry.\Saizo, are you okay? I...\Old man, I'm gonna take a bath.\Saizo...\You're the one who's been following Saizo?\That's right.\Saizo works for me now. response:	I can't let you fight him.
context: Same to you, Kakei-san. I'm sorry for making you worry.\Saizo, are you okay? I...\Old man, I'm gonna take a bath.\Saizo...\You're the one who's been following Saizo?\That's right.\Saizo works for me now.\I can't let you fight him. response:	I see.
context: Saizo, are you okay? I...\Old man, I'm gonna take a bath.\Saizo...\You're the one who's been following Saizo?\That's right.\Saizo works for me now.\I can't let you fight him.\I see. response:	If you get in my way, I'll kill you.
context: Old man, I'm gonna take a bath.\Saizo...\You're the one who's been following Saizo?\That's right.\Saizo works for me now.\I can't let you fight him.\I see.\If you get in my way, I'll kill you. response:	Quickly.
context: Saizo...\You're the one who's been following Saizo?\That's right.\Saizo works for me now.\I can't let you fight him.\I see.\If you get in my way, I'll kill you.\Quickly. response:	That's no fun.
context: You're the one who's been following Saizo?\That's right.\Saizo works for me now.\I can't let you fight him.\I see.\If you get in my way, I'll kill you.\Quickly.\That's no fun. response:	What isn't?
context: That's right.\Saizo works for me now.\I can't let you fight him.\I see.\If you get in my way, I'll kill you.\Quickly.\That's no fun.\What isn't? response:	An attack should always be carried out slowly...
context: Saizo works for me now.\I can't let you fight him.\I see.\If you get in my way, I'll kill you.\Quickly.\That's no fun.\What isn't?\An attack should always be carried out slowly... response:	Patiently...
context: I can't let you fight him.\I see.\If you get in my way, I'll kill you.\Quickly.\That's no fun.\What isn't?\An attack should always be carried out slowly...\Patiently... response:	You're not bringing your prey to the edge,
context: I see.\If you get in my way, I'll kill you.\Quickly.\That's no fun.\What isn't?\An attack should always be carried out slowly...\Patiently...\You're not bringing your prey to the edge, response:	but rather your own pleasure.
context: If you get in my way, I'll kill you.\Quickly.\That's no fun.\What isn't?\An attack should always be carried out slowly...\Patiently...\You're not bringing your prey to the edge,\but rather your own pleasure. response:	You build it up...
context: Quickly.\That's no fun.\What isn't?\An attack should always be carried out slowly...\Patiently...\You're not bringing your prey to the edge,\but rather your own pleasure.\You build it up... response:	Doesn't that feel much better?
context: That's no fun.\What isn't?\An attack should always be carried out slowly...\Patiently...\You're not bringing your prey to the edge,\but rather your own pleasure.\You build it up...\Doesn't that feel much better? response:	You're amazing, old man!
context: What isn't?\An attack should always be carried out slowly...\Patiently...\You're not bringing your prey to the edge,\but rather your own pleasure.\You build it up...\Doesn't that feel much better?\You're amazing, old man! response:	You can stay here until then.
context: An attack should always be carried out slowly...\Patiently...\You're not bringing your prey to the edge,\but rather your own pleasure.\You build it up...\Doesn't that feel much better?\You're amazing, old man!\You can stay here until then. response:	You won't be bored.
context: Patiently...\You're not bringing your prey to the edge,\but rather your own pleasure.\You build it up...\Doesn't that feel much better?\You're amazing, old man!\You can stay here until then.\You won't be bored. response:	Saizo, have your wounds healed?
context: You're not bringing your prey to the edge,\but rather your own pleasure.\You build it up...\Doesn't that feel much better?\You're amazing, old man!\You can stay here until then.\You won't be bored.\Saizo, have your wounds healed? response:	If you need anything, let me know.
context: but rather your own pleasure.\You build it up...\Doesn't that feel much better?\You're amazing, old man!\You can stay here until then.\You won't be bored.\Saizo, have your wounds healed?\If you need anything, let me know. response:	I want to help you.
context: You build it up...\Doesn't that feel much better?\You're amazing, old man!\You can stay here until then.\You won't be bored.\Saizo, have your wounds healed?\If you need anything, let me know.\I want to help you. response:	I know you've always protected me until now,
context: Doesn't that feel much better?\You're amazing, old man!\You can stay here until then.\You won't be bored.\Saizo, have your wounds healed?\If you need anything, let me know.\I want to help you.\I know you've always protected me until now, response:	but I've gotten stronger
context: You're amazing, old man!\You can stay here until then.\You won't be bored.\Saizo, have your wounds healed?\If you need anything, let me know.\I want to help you.\I know you've always protected me until now,\but I've gotten stronger response:	Shut up.
context: You can stay here until then.\You won't be bored.\Saizo, have your wounds healed?\If you need anything, let me know.\I want to help you.\I know you've always protected me until now,\but I've gotten stronger\Shut up. response:	Saizo...
context: You won't be bored.\Saizo, have your wounds healed?\If you need anything, let me know.\I want to help you.\I know you've always protected me until now,\but I've gotten stronger\Shut up.\Saizo... response:	I believe in you.
context: Saizo, have your wounds healed?\If you need anything, let me know.\I want to help you.\I know you've always protected me until now,\but I've gotten stronger\Shut up.\Saizo...\I believe in you. response:	You're smothering me.
context: If you need anything, let me know.\I want to help you.\I know you've always protected me until now,\but I've gotten stronger\Shut up.\Saizo...\I believe in you.\You're smothering me. response:	What do you want?
context: I want to help you.\I know you've always protected me until now,\but I've gotten stronger\Shut up.\Saizo...\I believe in you.\You're smothering me.\What do you want? response:	What are you doing, you bastard?!
context: I know you've always protected me until now,\but I've gotten stronger\Shut up.\Saizo...\I believe in you.\You're smothering me.\What do you want?\What are you doing, you bastard?! response:	What are you doing?
context: but I've gotten stronger\Shut up.\Saizo...\I believe in you.\You're smothering me.\What do you want?\What are you doing, you bastard?!\What are you doing? response:	I am disappointed. You are a coward.
context: Shut up.\Saizo...\I believe in you.\You're smothering me.\What do you want?\What are you doing, you bastard?!\What are you doing?\I am disappointed. You are a coward. response:	Look who's talking.
context: Saizo...\I believe in you.\You're smothering me.\What do you want?\What are you doing, you bastard?!\What are you doing?\I am disappointed. You are a coward.\Look who's talking. response:	You really think you're strong enough to say that?
context: I believe in you.\You're smothering me.\What do you want?\What are you doing, you bastard?!\What are you doing?\I am disappointed. You are a coward.\Look who's talking.\You really think you're strong enough to say that? response:	No.
context: You're smothering me.\What do you want?\What are you doing, you bastard?!\What are you doing?\I am disappointed. You are a coward.\Look who's talking.\You really think you're strong enough to say that?\No. response:	I work hard, but you give up.
context: What do you want?\What are you doing, you bastard?!\What are you doing?\I am disappointed. You are a coward.\Look who's talking.\You really think you're strong enough to say that?\No.\I work hard, but you give up. response:	You cannot protect her.
context: What are you doing, you bastard?!\What are you doing?\I am disappointed. You are a coward.\Look who's talking.\You really think you're strong enough to say that?\No.\I work hard, but you give up.\You cannot protect her. response:	Protect her?
context: What are you doing?\I am disappointed. You are a coward.\Look who's talking.\You really think you're strong enough to say that?\No.\I work hard, but you give up.\You cannot protect her.\Protect her? response:	I hate trying to act like a hero.
context: I am disappointed. You are a coward.\Look who's talking.\You really think you're strong enough to say that?\No.\I work hard, but you give up.\You cannot protect her.\Protect her?\I hate trying to act like a hero. response:	Hate? No, you cannot do it.
context: Look who's talking.\You really think you're strong enough to say that?\No.\I work hard, but you give up.\You cannot protect her.\Protect her?\I hate trying to act like a hero.\Hate? No, you cannot do it. response:	You cannot accept your weakness.
context: You really think you're strong enough to say that?\No.\I work hard, but you give up.\You cannot protect her.\Protect her?\I hate trying to act like a hero.\Hate? No, you cannot do it.\You cannot accept your weakness. response:	Enough.
context: No.\I work hard, but you give up.\You cannot protect her.\Protect her?\I hate trying to act like a hero.\Hate? No, you cannot do it.\You cannot accept your weakness.\Enough. response:	When I am weak, I hone my skills.
context: I work hard, but you give up.\You cannot protect her.\Protect her?\I hate trying to act like a hero.\Hate? No, you cannot do it.\You cannot accept your weakness.\Enough.\When I am weak, I hone my skills. response:	This is important.
context: You cannot protect her.\Protect her?\I hate trying to act like a hero.\Hate? No, you cannot do it.\You cannot accept your weakness.\Enough.\When I am weak, I hone my skills.\This is important. response:	But you do not admit it.
context: Protect her?\I hate trying to act like a hero.\Hate? No, you cannot do it.\You cannot accept your weakness.\Enough.\When I am weak, I hone my skills.\This is important.\But you do not admit it. response:	You cannot admit it.
context: I hate trying to act like a hero.\Hate? No, you cannot do it.\You cannot accept your weakness.\Enough.\When I am weak, I hone my skills.\This is important.\But you do not admit it.\You cannot admit it. response:	That is why you cannot do it.
context: Hate? No, you cannot do it.\You cannot accept your weakness.\Enough.\When I am weak, I hone my skills.\This is important.\But you do not admit it.\You cannot admit it.\That is why you cannot do it. response:	Enough!
context: You cannot accept your weakness.\Enough.\When I am weak, I hone my skills.\This is important.\But you do not admit it.\You cannot admit it.\That is why you cannot do it.\Enough! response:	You do not understand.
context: Enough.\When I am weak, I hone my skills.\This is important.\But you do not admit it.\You cannot admit it.\That is why you cannot do it.\Enough!\You do not understand. response:	What don't I understand, you monkey?
context: When I am weak, I hone my skills.\This is important.\But you do not admit it.\You cannot admit it.\That is why you cannot do it.\Enough!\You do not understand.\What don't I understand, you monkey? response:	Ouch...
context: This is important.\But you do not admit it.\You cannot admit it.\That is why you cannot do it.\Enough!\You do not understand.\What don't I understand, you monkey?\Ouch... response:	Damn it...
context: But you do not admit it.\You cannot admit it.\That is why you cannot do it.\Enough!\You do not understand.\What don't I understand, you monkey?\Ouch...\Damn it... response:	You will rise numerous times.
context: You cannot admit it.\That is why you cannot do it.\Enough!\You do not understand.\What don't I understand, you monkey?\Ouch...\Damn it...\You will rise numerous times. response:	We need you.
context: That is why you cannot do it.\Enough!\You do not understand.\What don't I understand, you monkey?\Ouch...\Damn it...\You will rise numerous times.\We need you. response:	You can become stronger for someone else.
context: Enough!\You do not understand.\What don't I understand, you monkey?\Ouch...\Damn it...\You will rise numerous times.\We need you.\You can become stronger for someone else. response:	For someone else...
context: You do not understand.\What don't I understand, you monkey?\Ouch...\Damn it...\You will rise numerous times.\We need you.\You can become stronger for someone else.\For someone else... response:	I've never heard you speak so much before.
context: What don't I understand, you monkey?\Ouch...\Damn it...\You will rise numerous times.\We need you.\You can become stronger for someone else.\For someone else...\I've never heard you speak so much before. response:	Y-Yukimura-sama!
context: Ouch...\Damn it...\You will rise numerous times.\We need you.\You can become stronger for someone else.\For someone else...\I've never heard you speak so much before.\Y-Yukimura-sama! response:	So, what are you going to do?
context: Damn it...\You will rise numerous times.\We need you.\You can become stronger for someone else.\For someone else...\I've never heard you speak so much before.\Y-Yukimura-sama!\So, what are you going to do? response:	Are you going to rise up from where you are,
context: You will rise numerous times.\We need you.\You can become stronger for someone else.\For someone else...\I've never heard you speak so much before.\Y-Yukimura-sama!\So, what are you going to do?\Are you going to rise up from where you are, response:	or will you turn away and live as a toothless dog?
context: We need you.\You can become stronger for someone else.\For someone else...\I've never heard you speak so much before.\Y-Yukimura-sama!\So, what are you going to do?\Are you going to rise up from where you are,\or will you turn away and live as a toothless dog? response:	Who do you think I am?!
context: You can become stronger for someone else.\For someone else...\I've never heard you speak so much before.\Y-Yukimura-sama!\So, what are you going to do?\Are you going to rise up from where you are,\or will you turn away and live as a toothless dog?\Who do you think I am?! response:	Cut the shit!
