context: Hey. response:	Good morning, Haru.
context: A direct shot?\Yoshida, that's the wrong goal.\Wrong goal?\Look over here!\Haru-kun!\Yoshida, Yoshida.\Hilarious!\They're acting completely different now. response:	It wasn't that long ago that they all steered clear of him.
context: Yoshida, that's the wrong goal.\Wrong goal?\Look over here!\Haru-kun!\Yoshida, Yoshida.\Hilarious!\They're acting completely different now.\It wasn't that long ago that they all steered clear of him. response:	We should go practice.
context: Wrong goal?\Look over here!\Haru-kun!\Yoshida, Yoshida.\Hilarious!\They're acting completely different now.\It wasn't that long ago that they all steered clear of him.\We should go practice. response:	Oh? What's this?
context: Look over here!\Haru-kun!\Yoshida, Yoshida.\Hilarious!\They're acting completely different now.\It wasn't that long ago that they all steered clear of him.\We should go practice.\Oh? What's this? response:	Mitty, are you jealous?
context: Haru-kun!\Yoshida, Yoshida.\Hilarious!\They're acting completely different now.\It wasn't that long ago that they all steered clear of him.\We should go practice.\Oh? What's this?\Mitty, are you jealous? response:	Oh.
context: Yoshida, Yoshida.\Hilarious!\They're acting completely different now.\It wasn't that long ago that they all steered clear of him.\We should go practice.\Oh? What's this?\Mitty, are you jealous?\Oh. response:	So this is how it feels to be jealous...
context: Hilarious!\They're acting completely different now.\It wasn't that long ago that they all steered clear of him.\We should go practice.\Oh? What's this?\Mitty, are you jealous?\Oh.\So this is how it feels to be jealous... response:	She's so honest.
context: They're acting completely different now.\It wasn't that long ago that they all steered clear of him.\We should go practice.\Oh? What's this?\Mitty, are you jealous?\Oh.\So this is how it feels to be jealous...\She's so honest. response:	July 14
context: It wasn't that long ago that they all steered clear of him.\We should go practice.\Oh? What's this?\Mitty, are you jealous?\Oh.\So this is how it feels to be jealous...\She's so honest.\July 14 response:	Sports Day Go Class B!
context: We should go practice.\Oh? What's this?\Mitty, are you jealous?\Oh.\So this is how it feels to be jealous...\She's so honest.\July 14\Sports Day Go Class B! response:	Hey, Mitty!
context: Oh? What's this?\Mitty, are you jealous?\Oh.\So this is how it feels to be jealous...\She's so honest.\July 14\Sports Day Go Class B!\Hey, Mitty! response:	You haven't touched the ball yet!
context: Mitty, are you jealous?\Oh.\So this is how it feels to be jealous...\She's so honest.\July 14\Sports Day Go Class B!\Hey, Mitty!\You haven't touched the ball yet! response:	Wh-What do you want me to do?
context: Oh.\So this is how it feels to be jealous...\She's so honest.\July 14\Sports Day Go Class B!\Hey, Mitty!\You haven't touched the ball yet!\Wh-What do you want me to do? response:	I didn't expect Natsume-san to be big on sports.
context: So this is how it feels to be jealous...\She's so honest.\July 14\Sports Day Go Class B!\Hey, Mitty!\You haven't touched the ball yet!\Wh-What do you want me to do?\I didn't expect Natsume-san to be big on sports. response:	Hey, how did the girls do in volleyball?
context: She's so honest.\July 14\Sports Day Go Class B!\Hey, Mitty!\You haven't touched the ball yet!\Wh-What do you want me to do?\I didn't expect Natsume-san to be big on sports.\Hey, how did the girls do in volleyball? response:	We might have won if Mitty tried a little harder.
context: July 14\Sports Day Go Class B!\Hey, Mitty!\You haven't touched the ball yet!\Wh-What do you want me to do?\I didn't expect Natsume-san to be big on sports.\Hey, how did the girls do in volleyball?\We might have won if Mitty tried a little harder. response:	I'm sorry.
context: Sports Day Go Class B!\Hey, Mitty!\You haven't touched the ball yet!\Wh-What do you want me to do?\I didn't expect Natsume-san to be big on sports.\Hey, how did the girls do in volleyball?\We might have won if Mitty tried a little harder.\I'm sorry. response:	Yoshida was a big help on our side...
context: Hey, Mitty!\You haven't touched the ball yet!\Wh-What do you want me to do?\I didn't expect Natsume-san to be big on sports.\Hey, how did the girls do in volleyball?\We might have won if Mitty tried a little harder.\I'm sorry.\Yoshida was a big help on our side... response:	until he got too excited and punched the ref.
context: You haven't touched the ball yet!\Wh-What do you want me to do?\I didn't expect Natsume-san to be big on sports.\Hey, how did the girls do in volleyball?\We might have won if Mitty tried a little harder.\I'm sorry.\Yoshida was a big help on our side...\until he got too excited and punched the ref. response:	Where's Haru-kun?
context: Wh-What do you want me to do?\I didn't expect Natsume-san to be big on sports.\Hey, how did the girls do in volleyball?\We might have won if Mitty tried a little harder.\I'm sorry.\Yoshida was a big help on our side...\until he got too excited and punched the ref.\Where's Haru-kun? response:	Over there.
context: I didn't expect Natsume-san to be big on sports.\Hey, how did the girls do in volleyball?\We might have won if Mitty tried a little harder.\I'm sorry.\Yoshida was a big help on our side...\until he got too excited and punched the ref.\Where's Haru-kun?\Over there. response:	Oh, boy.
context: Hey, how did the girls do in volleyball?\We might have won if Mitty tried a little harder.\I'm sorry.\Yoshida was a big help on our side...\until he got too excited and punched the ref.\Where's Haru-kun?\Over there.\Oh, boy. response:	I hope it works out for Yoshida this time.
context: We might have won if Mitty tried a little harder.\I'm sorry.\Yoshida was a big help on our side...\until he got too excited and punched the ref.\Where's Haru-kun?\Over there.\Oh, boy.\I hope it works out for Yoshida this time. response:	Huh?
context: I'm sorry.\Yoshida was a big help on our side...\until he got too excited and punched the ref.\Where's Haru-kun?\Over there.\Oh, boy.\I hope it works out for Yoshida this time.\Huh? response:	I think I mentioned this before,
context: Yoshida was a big help on our side...\until he got too excited and punched the ref.\Where's Haru-kun?\Over there.\Oh, boy.\I hope it works out for Yoshida this time.\Huh?\I think I mentioned this before, response:	but Yoshida never came to class in middle school.
context: until he got too excited and punched the ref.\Where's Haru-kun?\Over there.\Oh, boy.\I hope it works out for Yoshida this time.\Huh?\I think I mentioned this before,\but Yoshida never came to class in middle school. response:	He got in a fight at the start of our first year,
context: Where's Haru-kun?\Over there.\Oh, boy.\I hope it works out for Yoshida this time.\Huh?\I think I mentioned this before,\but Yoshida never came to class in middle school.\He got in a fight at the start of our first year, response:	which caused a big fuss.
context: Over there.\Oh, boy.\I hope it works out for Yoshida this time.\Huh?\I think I mentioned this before,\but Yoshida never came to class in middle school.\He got in a fight at the start of our first year,\which caused a big fuss. response:	Oh, really?
context: Oh, boy.\I hope it works out for Yoshida this time.\Huh?\I think I mentioned this before,\but Yoshida never came to class in middle school.\He got in a fight at the start of our first year,\which caused a big fuss.\Oh, really? response:	He was pretty vicious back then.
context: I hope it works out for Yoshida this time.\Huh?\I think I mentioned this before,\but Yoshida never came to class in middle school.\He got in a fight at the start of our first year,\which caused a big fuss.\Oh, really?\He was pretty vicious back then. response:	Everyone was scared.
context: Huh?\I think I mentioned this before,\but Yoshida never came to class in middle school.\He got in a fight at the start of our first year,\which caused a big fuss.\Oh, really?\He was pretty vicious back then.\Everyone was scared. response:	After that, Yoshida stopped coming to school.
context: I think I mentioned this before,\but Yoshida never came to class in middle school.\He got in a fight at the start of our first year,\which caused a big fuss.\Oh, really?\He was pretty vicious back then.\Everyone was scared.\After that, Yoshida stopped coming to school. response:	So I hope that doesn't happen this time.
context: but Yoshida never came to class in middle school.\He got in a fight at the start of our first year,\which caused a big fuss.\Oh, really?\He was pretty vicious back then.\Everyone was scared.\After that, Yoshida stopped coming to school.\So I hope that doesn't happen this time. response:	So he has a record...
context: He got in a fight at the start of our first year,\which caused a big fuss.\Oh, really?\He was pretty vicious back then.\Everyone was scared.\After that, Yoshida stopped coming to school.\So I hope that doesn't happen this time.\So he has a record... response:	Why do you care so much about Haru, Sasayan-kun?
context: which caused a big fuss.\Oh, really?\He was pretty vicious back then.\Everyone was scared.\After that, Yoshida stopped coming to school.\So I hope that doesn't happen this time.\So he has a record...\Why do you care so much about Haru, Sasayan-kun? response:	Huh?
context: Oh, really?\He was pretty vicious back then.\Everyone was scared.\After that, Yoshida stopped coming to school.\So I hope that doesn't happen this time.\So he has a record...\Why do you care so much about Haru, Sasayan-kun?\Huh? response:	You never talked to him until recently, right?
context: He was pretty vicious back then.\Everyone was scared.\After that, Yoshida stopped coming to school.\So I hope that doesn't happen this time.\So he has a record...\Why do you care so much about Haru, Sasayan-kun?\Huh?\You never talked to him until recently, right? response:	Because I owe Yoshida.
context: Everyone was scared.\After that, Yoshida stopped coming to school.\So I hope that doesn't happen this time.\So he has a record...\Why do you care so much about Haru, Sasayan-kun?\Huh?\You never talked to him until recently, right?\Because I owe Yoshida. response:	Well? Do you like it?
context: After that, Yoshida stopped coming to school.\So I hope that doesn't happen this time.\So he has a record...\Why do you care so much about Haru, Sasayan-kun?\Huh?\You never talked to him until recently, right?\Because I owe Yoshida.\Well? Do you like it? response:	How does it taste?
context: So I hope that doesn't happen this time.\So he has a record...\Why do you care so much about Haru, Sasayan-kun?\Huh?\You never talked to him until recently, right?\Because I owe Yoshida.\Well? Do you like it?\How does it taste? response:	E-Excuse me.
context: So he has a record...\Why do you care so much about Haru, Sasayan-kun?\Huh?\You never talked to him until recently, right?\Because I owe Yoshida.\Well? Do you like it?\How does it taste?\E-Excuse me. response:	The teacher said to help set up the next event.
context: Why do you care so much about Haru, Sasayan-kun?\Huh?\You never talked to him until recently, right?\Because I owe Yoshida.\Well? Do you like it?\How does it taste?\E-Excuse me.\The teacher said to help set up the next event. response:	What? Already?
context: Huh?\You never talked to him until recently, right?\Because I owe Yoshida.\Well? Do you like it?\How does it taste?\E-Excuse me.\The teacher said to help set up the next event.\What? Already? response:	Oh... I can take care of it.
context: You never talked to him until recently, right?\Because I owe Yoshida.\Well? Do you like it?\How does it taste?\E-Excuse me.\The teacher said to help set up the next event.\What? Already?\Oh... I can take care of it. response:	Huh? Really?
context: Because I owe Yoshida.\Well? Do you like it?\How does it taste?\E-Excuse me.\The teacher said to help set up the next event.\What? Already?\Oh... I can take care of it.\Huh? Really? response:	Uh-huh, I'll go set everything up.
context: Well? Do you like it?\How does it taste?\E-Excuse me.\The teacher said to help set up the next event.\What? Already?\Oh... I can take care of it.\Huh? Really?\Uh-huh, I'll go set everything up. response:	Thank you!
context: How does it taste?\E-Excuse me.\The teacher said to help set up the next event.\What? Already?\Oh... I can take care of it.\Huh? Really?\Uh-huh, I'll go set everything up.\Thank you! response:	Are you sure about this? Aren't you friends?
context: E-Excuse me.\The teacher said to help set up the next event.\What? Already?\Oh... I can take care of it.\Huh? Really?\Uh-huh, I'll go set everything up.\Thank you!\Are you sure about this? Aren't you friends? response:	What? No way.
context: The teacher said to help set up the next event.\What? Already?\Oh... I can take care of it.\Huh? Really?\Uh-huh, I'll go set everything up.\Thank you!\Are you sure about this? Aren't you friends?\What? No way. response:	She's in our class, but we never talk.
context: What? Already?\Oh... I can take care of it.\Huh? Really?\Uh-huh, I'll go set everything up.\Thank you!\Are you sure about this? Aren't you friends?\What? No way.\She's in our class, but we never talk. response:	Yep.
context: Oh... I can take care of it.\Huh? Really?\Uh-huh, I'll go set everything up.\Thank you!\Are you sure about this? Aren't you friends?\What? No way.\She's in our class, but we never talk.\Yep. response:	It's so hot...
context: Huh? Really?\Uh-huh, I'll go set everything up.\Thank you!\Are you sure about this? Aren't you friends?\What? No way.\She's in our class, but we never talk.\Yep.\It's so hot... response:	You were great out there!
context: Uh-huh, I'll go set everything up.\Thank you!\Are you sure about this? Aren't you friends?\What? No way.\She's in our class, but we never talk.\Yep.\It's so hot...\You were great out there! response:	Water...
context: Thank you!\Are you sure about this? Aren't you friends?\What? No way.\She's in our class, but we never talk.\Yep.\It's so hot...\You were great out there!\Water... response:	I know!
context: Are you sure about this? Aren't you friends?\What? No way.\She's in our class, but we never talk.\Yep.\It's so hot...\You were great out there!\Water...\I know! response:	Hey, shouldn't we get a teacher?
context: What? No way.\She's in our class, but we never talk.\Yep.\It's so hot...\You were great out there!\Water...\I know!\Hey, shouldn't we get a teacher? response:	U-Um...
context: She's in our class, but we never talk.\Yep.\It's so hot...\You were great out there!\Water...\I know!\Hey, shouldn't we get a teacher?\U-Um... response:	That hurt.
context: Yep.\It's so hot...\You were great out there!\Water...\I know!\Hey, shouldn't we get a teacher?\U-Um...\That hurt. response:	Why did you drop that on my head?
context: It's so hot...\You were great out there!\Water...\I know!\Hey, shouldn't we get a teacher?\U-Um...\That hurt.\Why did you drop that on my head? response:	He has a bump!
context: You were great out there!\Water...\I know!\Hey, shouldn't we get a teacher?\U-Um...\That hurt.\Why did you drop that on my head?\He has a bump! response:	You look so dumb!
context: Water...\I know!\Hey, shouldn't we get a teacher?\U-Um...\That hurt.\Why did you drop that on my head?\He has a bump!\You look so dumb! response:	Shut up!
context: I know!\Hey, shouldn't we get a teacher?\U-Um...\That hurt.\Why did you drop that on my head?\He has a bump!\You look so dumb!\Shut up! response:	Let's go already.
context: Hey, shouldn't we get a teacher?\U-Um...\That hurt.\Why did you drop that on my head?\He has a bump!\You look so dumb!\Shut up!\Let's go already. response:	Damn, forget it.
context: U-Um...\That hurt.\Why did you drop that on my head?\He has a bump!\You look so dumb!\Shut up!\Let's go already.\Damn, forget it. response:	You're not wanted.
context: That hurt.\Why did you drop that on my head?\He has a bump!\You look so dumb!\Shut up!\Let's go already.\Damn, forget it.\You're not wanted. response:	Get lost.
context: Why did you drop that on my head?\He has a bump!\You look so dumb!\Shut up!\Let's go already.\Damn, forget it.\You're not wanted.\Get lost. response:	Yikes.
context: He has a bump!\You look so dumb!\Shut up!\Let's go already.\Damn, forget it.\You're not wanted.\Get lost.\Yikes. response:	Poor girl.
context: You look so dumb!\Shut up!\Let's go already.\Damn, forget it.\You're not wanted.\Get lost.\Yikes.\Poor girl. response:	Eh? What do you want?
context: Shut up!\Let's go already.\Damn, forget it.\You're not wanted.\Get lost.\Yikes.\Poor girl.\Eh? What do you want? response:	Oh, I recognize him!
context: Let's go already.\Damn, forget it.\You're not wanted.\Get lost.\Yikes.\Poor girl.\Eh? What do you want?\Oh, I recognize him! response:	You're the one who came to Class C, right?
context: Damn, forget it.\You're not wanted.\Get lost.\Yikes.\Poor girl.\Eh? What do you want?\Oh, I recognize him!\You're the one who came to Class C, right? response:	Did you really punch a girl and make her nose bleed?
context: You're not wanted.\Get lost.\Yikes.\Poor girl.\Eh? What do you want?\Oh, I recognize him!\You're the one who came to Class C, right?\Did you really punch a girl and make her nose bleed? response:	Want me to make your nose bleed?
context: Get lost.\Yikes.\Poor girl.\Eh? What do you want?\Oh, I recognize him!\You're the one who came to Class C, right?\Did you really punch a girl and make her nose bleed?\Want me to make your nose bleed? response:	Huh?
context: Yikes.\Poor girl.\Eh? What do you want?\Oh, I recognize him!\You're the one who came to Class C, right?\Did you really punch a girl and make her nose bleed?\Want me to make your nose bleed?\Huh? response:	Hey.
context: Poor girl.\Eh? What do you want?\Oh, I recognize him!\You're the one who came to Class C, right?\Did you really punch a girl and make her nose bleed?\Want me to make your nose bleed?\Huh?\Hey. response:	Don't get too cocky, freshman!
context: Eh? What do you want?\Oh, I recognize him!\You're the one who came to Class C, right?\Did you really punch a girl and make her nose bleed?\Want me to make your nose bleed?\Huh?\Hey.\Don't get too cocky, freshman! response:	Why do people like you have to tell her
context: Oh, I recognize him!\You're the one who came to Class C, right?\Did you really punch a girl and make her nose bleed?\Want me to make your nose bleed?\Huh?\Hey.\Don't get too cocky, freshman!\Why do people like you have to tell her response:	that she isn't wanted?
context: You're the one who came to Class C, right?\Did you really punch a girl and make her nose bleed?\Want me to make your nose bleed?\Huh?\Hey.\Don't get too cocky, freshman!\Why do people like you have to tell her\that she isn't wanted? response:	Hey, there's a fight going down!
context: Did you really punch a girl and make her nose bleed?\Want me to make your nose bleed?\Huh?\Hey.\Don't get too cocky, freshman!\Why do people like you have to tell her\that she isn't wanted?\Hey, there's a fight going down! response:	Wait a second...
context: Want me to make your nose bleed?\Huh?\Hey.\Don't get too cocky, freshman!\Why do people like you have to tell her\that she isn't wanted?\Hey, there's a fight going down!\Wait a second... response:	This looks bad.
context: Huh?\Hey.\Don't get too cocky, freshman!\Why do people like you have to tell her\that she isn't wanted?\Hey, there's a fight going down!\Wait a second...\This looks bad. response:	Are you okay?
context: Hey.\Don't get too cocky, freshman!\Why do people like you have to tell her\that she isn't wanted?\Hey, there's a fight going down!\Wait a second...\This looks bad.\Are you okay? response:	Stand up.
context: Don't get too cocky, freshman!\Why do people like you have to tell her\that she isn't wanted?\Hey, there's a fight going down!\Wait a second...\This looks bad.\Are you okay?\Stand up. response:	H-Hey, isn't this enough?
context: Why do people like you have to tell her\that she isn't wanted?\Hey, there's a fight going down!\Wait a second...\This looks bad.\Are you okay?\Stand up.\H-Hey, isn't this enough? response:	Just stop.
context: that she isn't wanted?\Hey, there's a fight going down!\Wait a second...\This looks bad.\Are you okay?\Stand up.\H-Hey, isn't this enough?\Just stop. response:	We're sorry.
context: Hey, there's a fight going down!\Wait a second...\This looks bad.\Are you okay?\Stand up.\H-Hey, isn't this enough?\Just stop.\We're sorry. response:	Hey.
context: Wait a second...\This looks bad.\Are you okay?\Stand up.\H-Hey, isn't this enough?\Just stop.\We're sorry.\Hey. response:	Haru.
context: This looks bad.\Are you okay?\Stand up.\H-Hey, isn't this enough?\Just stop.\We're sorry.\Hey.\Haru. response:	What are you doing?
context: Are you okay?\Stand up.\H-Hey, isn't this enough?\Just stop.\We're sorry.\Hey.\Haru.\What are you doing? response:	Hey! What are you guys doing?!
context: Stand up.\H-Hey, isn't this enough?\Just stop.\We're sorry.\Hey.\Haru.\What are you doing?\Hey! What are you guys doing?! response:	Honestly...
context: H-Hey, isn't this enough?\Just stop.\We're sorry.\Hey.\Haru.\What are you doing?\Hey! What are you guys doing?!\Honestly... response:	You ended up making things worse by intervening.
context: Just stop.\We're sorry.\Hey.\Haru.\What are you doing?\Hey! What are you guys doing?!\Honestly...\You ended up making things worse by intervening. response:	I never thought I'd have to run away from a teacher.
context: We're sorry.\Hey.\Haru.\What are you doing?\Hey! What are you guys doing?!\Honestly...\You ended up making things worse by intervening.\I never thought I'd have to run away from a teacher. response:	Shizuku...
context: Hey.\Haru.\What are you doing?\Hey! What are you guys doing?!\Honestly...\You ended up making things worse by intervening.\I never thought I'd have to run away from a teacher.\Shizuku... response:	Did I do something wrong?
context: Haru.\What are you doing?\Hey! What are you guys doing?!\Honestly...\You ended up making things worse by intervening.\I never thought I'd have to run away from a teacher.\Shizuku...\Did I do something wrong? response:	This happened once before.
context: What are you doing?\Hey! What are you guys doing?!\Honestly...\You ended up making things worse by intervening.\I never thought I'd have to run away from a teacher.\Shizuku...\Did I do something wrong?\This happened once before. response:	I looked up and everyone was staring at me, stunned.
context: Hey! What are you guys doing?!\Honestly...\You ended up making things worse by intervening.\I never thought I'd have to run away from a teacher.\Shizuku...\Did I do something wrong?\This happened once before.\I looked up and everyone was staring at me, stunned. response:	I have no idea why this happens.
context: Honestly...\You ended up making things worse by intervening.\I never thought I'd have to run away from a teacher.\Shizuku...\Did I do something wrong?\This happened once before.\I looked up and everyone was staring at me, stunned.\I have no idea why this happens. response:	Am I doing something wrong?
context: You ended up making things worse by intervening.\I never thought I'd have to run away from a teacher.\Shizuku...\Did I do something wrong?\This happened once before.\I looked up and everyone was staring at me, stunned.\I have no idea why this happens.\Am I doing something wrong? response:	It's hard to say.
context: I never thought I'd have to run away from a teacher.\Shizuku...\Did I do something wrong?\This happened once before.\I looked up and everyone was staring at me, stunned.\I have no idea why this happens.\Am I doing something wrong?\It's hard to say. response:	I can't say that you're going about things the right way,
context: Shizuku...\Did I do something wrong?\This happened once before.\I looked up and everyone was staring at me, stunned.\I have no idea why this happens.\Am I doing something wrong?\It's hard to say.\I can't say that you're going about things the right way, response:	but I know that
context: Did I do something wrong?\This happened once before.\I looked up and everyone was staring at me, stunned.\I have no idea why this happens.\Am I doing something wrong?\It's hard to say.\I can't say that you're going about things the right way,\but I know that response:	you're a kind person.
context: This happened once before.\I looked up and everyone was staring at me, stunned.\I have no idea why this happens.\Am I doing something wrong?\It's hard to say.\I can't say that you're going about things the right way,\but I know that\you're a kind person. response:	Really...
context: I looked up and everyone was staring at me, stunned.\I have no idea why this happens.\Am I doing something wrong?\It's hard to say.\I can't say that you're going about things the right way,\but I know that\you're a kind person.\Really... response:	I know that
context: I have no idea why this happens.\Am I doing something wrong?\It's hard to say.\I can't say that you're going about things the right way,\but I know that\you're a kind person.\Really...\I know that response:	you're a kind person.
context: Am I doing something wrong?\It's hard to say.\I can't say that you're going about things the right way,\but I know that\you're a kind person.\Really...\I know that\you're a kind person. response:	I'm sure they'll realize that one day.
context: It's hard to say.\I can't say that you're going about things the right way,\but I know that\you're a kind person.\Really...\I know that\you're a kind person.\I'm sure they'll realize that one day. response:	You were like a hero back there.
context: I can't say that you're going about things the right way,\but I know that\you're a kind person.\Really...\I know that\you're a kind person.\I'm sure they'll realize that one day.\You were like a hero back there. response:	A hero that always comes when I'm in danger.
context: but I know that\you're a kind person.\Really...\I know that\you're a kind person.\I'm sure they'll realize that one day.\You were like a hero back there.\A hero that always comes when I'm in danger. response:	The upperclassmen were the ones in danger.
context: you're a kind person.\Really...\I know that\you're a kind person.\I'm sure they'll realize that one day.\You were like a hero back there.\A hero that always comes when I'm in danger.\The upperclassmen were the ones in danger. response:	There's something on your forehead.
context: Really...\I know that\you're a kind person.\I'm sure they'll realize that one day.\You were like a hero back there.\A hero that always comes when I'm in danger.\The upperclassmen were the ones in danger.\There's something on your forehead. response:	Yoshida.
context: I know that\you're a kind person.\I'm sure they'll realize that one day.\You were like a hero back there.\A hero that always comes when I'm in danger.\The upperclassmen were the ones in danger.\There's something on your forehead.\Yoshida. response:	The next match is about to start.
context: you're a kind person.\I'm sure they'll realize that one day.\You were like a hero back there.\A hero that always comes when I'm in danger.\The upperclassmen were the ones in danger.\There's something on your forehead.\Yoshida.\The next match is about to start. response:	Okay!
context: I'm sure they'll realize that one day.\You were like a hero back there.\A hero that always comes when I'm in danger.\The upperclassmen were the ones in danger.\There's something on your forehead.\Yoshida.\The next match is about to start.\Okay! response:	B-Bye, Shizuku!
context: You were like a hero back there.\A hero that always comes when I'm in danger.\The upperclassmen were the ones in danger.\There's something on your forehead.\Yoshida.\The next match is about to start.\Okay!\B-Bye, Shizuku! response:	Y-Yes?
context: A hero that always comes when I'm in danger.\The upperclassmen were the ones in danger.\There's something on your forehead.\Yoshida.\The next match is about to start.\Okay!\B-Bye, Shizuku!\Y-Yes? response:	If we win,
context: The upperclassmen were the ones in danger.\There's something on your forehead.\Yoshida.\The next match is about to start.\Okay!\B-Bye, Shizuku!\Y-Yes?\If we win, response:	will you go somewhere with me over summer break?
context: There's something on your forehead.\Yoshida.\The next match is about to start.\Okay!\B-Bye, Shizuku!\Y-Yes?\If we win,\will you go somewhere with me over summer break? response:	Sure.
context: Yoshida.\The next match is about to start.\Okay!\B-Bye, Shizuku!\Y-Yes?\If we win,\will you go somewhere with me over summer break?\Sure. response:	Cool.
context: The next match is about to start.\Okay!\B-Bye, Shizuku!\Y-Yes?\If we win,\will you go somewhere with me over summer break?\Sure.\Cool. response:	Haru.
context: Okay!\B-Bye, Shizuku!\Y-Yes?\If we win,\will you go somewhere with me over summer break?\Sure.\Cool.\Haru. response:	G-Good luck.
context: B-Bye, Shizuku!\Y-Yes?\If we win,\will you go somewhere with me over summer break?\Sure.\Cool.\Haru.\G-Good luck. response:	What was that about?
context: Y-Yes?\If we win,\will you go somewhere with me over summer break?\Sure.\Cool.\Haru.\G-Good luck.\What was that about? response:	Haru ended up winning the one-sided bet.
context: If we win,\will you go somewhere with me over summer break?\Sure.\Cool.\Haru.\G-Good luck.\What was that about?\Haru ended up winning the one-sided bet. response:	Natsume Asako is diving from way up here!
context: will you go somewhere with me over summer break?\Sure.\Cool.\Haru.\G-Good luck.\What was that about?\Haru ended up winning the one-sided bet.\Natsume Asako is diving from way up here! response:	Whee!
context: Sure.\Cool.\Haru.\G-Good luck.\What was that about?\Haru ended up winning the one-sided bet.\Natsume Asako is diving from way up here!\Whee! response:	Next up, Yoshida Haru!
context: Cool.\Haru.\G-Good luck.\What was that about?\Haru ended up winning the one-sided bet.\Natsume Asako is diving from way up here!\Whee!\Next up, Yoshida Haru! response:	Diving from way, way up here!
context: Haru.\G-Good luck.\What was that about?\Haru ended up winning the one-sided bet.\Natsume Asako is diving from way up here!\Whee!\Next up, Yoshida Haru!\Diving from way, way up here! response:	Okay. Since we have beginners, we'll focus
context: G-Good luck.\What was that about?\Haru ended up winning the one-sided bet.\Natsume Asako is diving from way up here!\Whee!\Next up, Yoshida Haru!\Diving from way, way up here!\Okay. Since we have beginners, we'll focus response:	Summer!
context: What was that about?\Haru ended up winning the one-sided bet.\Natsume Asako is diving from way up here!\Whee!\Next up, Yoshida Haru!\Diving from way, way up here!\Okay. Since we have beginners, we'll focus\Summer! response:	on fish like char and salmon.
context: Haru ended up winning the one-sided bet.\Natsume Asako is diving from way up here!\Whee!\Next up, Yoshida Haru!\Diving from way, way up here!\Okay. Since we have beginners, we'll focus\Summer!\on fish like char and salmon. response:	Fish look upstream for their food,
context: Natsume Asako is diving from way up here!\Whee!\Next up, Yoshida Haru!\Diving from way, way up here!\Okay. Since we have beginners, we'll focus\Summer!\on fish like char and salmon.\Fish look upstream for their food, response:	so move in a downstream direction.
context: Whee!\Next up, Yoshida Haru!\Diving from way, way up here!\Okay. Since we have beginners, we'll focus\Summer!\on fish like char and salmon.\Fish look upstream for their food,\so move in a downstream direction. response:	Makes sense.
context: Next up, Yoshida Haru!\Diving from way, way up here!\Okay. Since we have beginners, we'll focus\Summer!\on fish like char and salmon.\Fish look upstream for their food,\so move in a downstream direction.\Makes sense. response:	I caught a bunch while I was swimming.
context: Diving from way, way up here!\Okay. Since we have beginners, we'll focus\Summer!\on fish like char and salmon.\Fish look upstream for their food,\so move in a downstream direction.\Makes sense.\I caught a bunch while I was swimming. response:	Are you Tarzan?
context: Okay. Since we have beginners, we'll focus\Summer!\on fish like char and salmon.\Fish look upstream for their food,\so move in a downstream direction.\Makes sense.\I caught a bunch while I was swimming.\Are you Tarzan? response:	Natsume-chan, can you wash this pot for us?
context: Summer!\on fish like char and salmon.\Fish look upstream for their food,\so move in a downstream direction.\Makes sense.\I caught a bunch while I was swimming.\Are you Tarzan?\Natsume-chan, can you wash this pot for us? response:	Oh, sure.
context: on fish like char and salmon.\Fish look upstream for their food,\so move in a downstream direction.\Makes sense.\I caught a bunch while I was swimming.\Are you Tarzan?\Natsume-chan, can you wash this pot for us?\Oh, sure. response:	Wh-What is it?
context: Fish look upstream for their food,\so move in a downstream direction.\Makes sense.\I caught a bunch while I was swimming.\Are you Tarzan?\Natsume-chan, can you wash this pot for us?\Oh, sure.\Wh-What is it? response:	Yeah...
context: so move in a downstream direction.\Makes sense.\I caught a bunch while I was swimming.\Are you Tarzan?\Natsume-chan, can you wash this pot for us?\Oh, sure.\Wh-What is it?\Yeah... response:	Gotta love fishing in the mountains.
context: Makes sense.\I caught a bunch while I was swimming.\Are you Tarzan?\Natsume-chan, can you wash this pot for us?\Oh, sure.\Wh-What is it?\Yeah...\Gotta love fishing in the mountains. response:	Oh, so Mi-chan-san and Haru-kun are cousins.
context: I caught a bunch while I was swimming.\Are you Tarzan?\Natsume-chan, can you wash this pot for us?\Oh, sure.\Wh-What is it?\Yeah...\Gotta love fishing in the mountains.\Oh, so Mi-chan-san and Haru-kun are cousins. response:	That's right.
context: Are you Tarzan?\Natsume-chan, can you wash this pot for us?\Oh, sure.\Wh-What is it?\Yeah...\Gotta love fishing in the mountains.\Oh, so Mi-chan-san and Haru-kun are cousins.\That's right. response:	His dad is my mom's older brother.
context: Natsume-chan, can you wash this pot for us?\Oh, sure.\Wh-What is it?\Yeah...\Gotta love fishing in the mountains.\Oh, so Mi-chan-san and Haru-kun are cousins.\That's right.\His dad is my mom's older brother. response:	Since my place is close to the high school,
context: Oh, sure.\Wh-What is it?\Yeah...\Gotta love fishing in the mountains.\Oh, so Mi-chan-san and Haru-kun are cousins.\That's right.\His dad is my mom's older brother.\Since my place is close to the high school, response:	I'm looking after him starting this year.
