context: Let's go over safety before we hit the pool. response:	If you have a fever, haven't slept,
context: Y-You can stop avoiding me, all right?\S-Sorry.\My boyfriend and I kissed for the first time.\But it was so sudden, I choked.\Once More\Who chokes on their first kiss?\I want to try again.\I want to try again! response:	Kamine's been weird lately.
context: S-Sorry.\My boyfriend and I kissed for the first time.\But it was so sudden, I choked.\Once More\Who chokes on their first kiss?\I want to try again.\I want to try again!\Kamine's been weird lately. response:	She looks like she wants to say something.
context: My boyfriend and I kissed for the first time.\But it was so sudden, I choked.\Once More\Who chokes on their first kiss?\I want to try again.\I want to try again!\Kamine's been weird lately.\She looks like she wants to say something. response:	Is it about that kiss?
context: But it was so sudden, I choked.\Once More\Who chokes on their first kiss?\I want to try again.\I want to try again!\Kamine's been weird lately.\She looks like she wants to say something.\Is it about that kiss? response:	Is she pissed that I did it out of the blue?
context: Once More\Who chokes on their first kiss?\I want to try again.\I want to try again!\Kamine's been weird lately.\She looks like she wants to say something.\Is it about that kiss?\Is she pissed that I did it out of the blue? response:	Was it too soon?
context: Who chokes on their first kiss?\I want to try again.\I want to try again!\Kamine's been weird lately.\She looks like she wants to say something.\Is it about that kiss?\Is she pissed that I did it out of the blue?\Was it too soon? response:	I wonder if Goda-kun isn't going to do it today.
context: I want to try again.\I want to try again!\Kamine's been weird lately.\She looks like she wants to say something.\Is it about that kiss?\Is she pissed that I did it out of the blue?\Was it too soon?\I wonder if Goda-kun isn't going to do it today. response:	Maybe I should ask him.
context: I want to try again!\Kamine's been weird lately.\She looks like she wants to say something.\Is it about that kiss?\Is she pissed that I did it out of the blue?\Was it too soon?\I wonder if Goda-kun isn't going to do it today.\Maybe I should ask him. response:	Of course.
context: Kamine's been weird lately.\She looks like she wants to say something.\Is it about that kiss?\Is she pissed that I did it out of the blue?\Was it too soon?\I wonder if Goda-kun isn't going to do it today.\Maybe I should ask him.\Of course. response:	I never had her permission.
context: She looks like she wants to say something.\Is it about that kiss?\Is she pissed that I did it out of the blue?\Was it too soon?\I wonder if Goda-kun isn't going to do it today.\Maybe I should ask him.\Of course.\I never had her permission. response:	It must have bothered her.
context: Is it about that kiss?\Is she pissed that I did it out of the blue?\Was it too soon?\I wonder if Goda-kun isn't going to do it today.\Maybe I should ask him.\Of course.\I never had her permission.\It must have bothered her. response:	I don't want to be the one to ask, though.
context: Is she pissed that I did it out of the blue?\Was it too soon?\I wonder if Goda-kun isn't going to do it today.\Maybe I should ask him.\Of course.\I never had her permission.\It must have bothered her.\I don't want to be the one to ask, though. response:	I hope he'll do it again.
context: Was it too soon?\I wonder if Goda-kun isn't going to do it today.\Maybe I should ask him.\Of course.\I never had her permission.\It must have bothered her.\I don't want to be the one to ask, though.\I hope he'll do it again. response:	I'll quit doing that kind of thing from now on.
context: I wonder if Goda-kun isn't going to do it today.\Maybe I should ask him.\Of course.\I never had her permission.\It must have bothered her.\I don't want to be the one to ask, though.\I hope he'll do it again.\I'll quit doing that kind of thing from now on. response:	Hey, Goda-kun, there's no one at the park today.
context: Maybe I should ask him.\Of course.\I never had her permission.\It must have bothered her.\I don't want to be the one to ask, though.\I hope he'll do it again.\I'll quit doing that kind of thing from now on.\Hey, Goda-kun, there's no one at the park today. response:	There isn't.
context: Of course.\I never had her permission.\It must have bothered her.\I don't want to be the one to ask, though.\I hope he'll do it again.\I'll quit doing that kind of thing from now on.\Hey, Goda-kun, there's no one at the park today.\There isn't. response:	It's just us two.
context: I never had her permission.\It must have bothered her.\I don't want to be the one to ask, though.\I hope he'll do it again.\I'll quit doing that kind of thing from now on.\Hey, Goda-kun, there's no one at the park today.\There isn't.\It's just us two. response:	It is.
context: It must have bothered her.\I don't want to be the one to ask, though.\I hope he'll do it again.\I'll quit doing that kind of thing from now on.\Hey, Goda-kun, there's no one at the park today.\There isn't.\It's just us two.\It is. response:	Doesn't that make you think of that kiss?
context: I don't want to be the one to ask, though.\I hope he'll do it again.\I'll quit doing that kind of thing from now on.\Hey, Goda-kun, there's no one at the park today.\There isn't.\It's just us two.\It is.\Doesn't that make you think of that kiss? response:	Want to go somewhere else, then?
context: I hope he'll do it again.\I'll quit doing that kind of thing from now on.\Hey, Goda-kun, there's no one at the park today.\There isn't.\It's just us two.\It is.\Doesn't that make you think of that kiss?\Want to go somewhere else, then? response:	Wh-Why?
context: I'll quit doing that kind of thing from now on.\Hey, Goda-kun, there's no one at the park today.\There isn't.\It's just us two.\It is.\Doesn't that make you think of that kiss?\Want to go somewhere else, then?\Wh-Why? response:	I mean, if it bothers you...
context: Hey, Goda-kun, there's no one at the park today.\There isn't.\It's just us two.\It is.\Doesn't that make you think of that kiss?\Want to go somewhere else, then?\Wh-Why?\I mean, if it bothers you... response:	I-It doesn't bother me.
context: There isn't.\It's just us two.\It is.\Doesn't that make you think of that kiss?\Want to go somewhere else, then?\Wh-Why?\I mean, if it bothers you...\I-It doesn't bother me. response:	But what about you?
context: It's just us two.\It is.\Doesn't that make you think of that kiss?\Want to go somewhere else, then?\Wh-Why?\I mean, if it bothers you...\I-It doesn't bother me.\But what about you? response:	Don't you want to try again?
context: It is.\Doesn't that make you think of that kiss?\Want to go somewhere else, then?\Wh-Why?\I mean, if it bothers you...\I-It doesn't bother me.\But what about you?\Don't you want to try again? response:	I'm fine.
context: Doesn't that make you think of that kiss?\Want to go somewhere else, then?\Wh-Why?\I mean, if it bothers you...\I-It doesn't bother me.\But what about you?\Don't you want to try again?\I'm fine. response:	I have no regrets.
context: Want to go somewhere else, then?\Wh-Why?\I mean, if it bothers you...\I-It doesn't bother me.\But what about you?\Don't you want to try again?\I'm fine.\I have no regrets. response:	O-Oh, really?
context: Wh-Why?\I mean, if it bothers you...\I-It doesn't bother me.\But what about you?\Don't you want to try again?\I'm fine.\I have no regrets.\O-Oh, really? response:	Uh-huh...
context: I mean, if it bothers you...\I-It doesn't bother me.\But what about you?\Don't you want to try again?\I'm fine.\I have no regrets.\O-Oh, really?\Uh-huh... response:	Wow.
context: I-It doesn't bother me.\But what about you?\Don't you want to try again?\I'm fine.\I have no regrets.\O-Oh, really?\Uh-huh...\Wow. response:	It doesn't look like he's going to do it.
context: But what about you?\Don't you want to try again?\I'm fine.\I have no regrets.\O-Oh, really?\Uh-huh...\Wow.\It doesn't look like he's going to do it. response:	Maybe the mood's not right.
context: Don't you want to try again?\I'm fine.\I have no regrets.\O-Oh, really?\Uh-huh...\Wow.\It doesn't look like he's going to do it.\Maybe the mood's not right. response:	She's pretty wary of me.
context: I'm fine.\I have no regrets.\O-Oh, really?\Uh-huh...\Wow.\It doesn't look like he's going to do it.\Maybe the mood's not right.\She's pretty wary of me. response:	I need to be careful so she doesn't think I'm a player.
context: I have no regrets.\O-Oh, really?\Uh-huh...\Wow.\It doesn't look like he's going to do it.\Maybe the mood's not right.\She's pretty wary of me.\I need to be careful so she doesn't think I'm a player. response:	M-Man, I'm getting sleepy.
context: O-Oh, really?\Uh-huh...\Wow.\It doesn't look like he's going to do it.\Maybe the mood's not right.\She's pretty wary of me.\I need to be careful so she doesn't think I'm a player.\M-Man, I'm getting sleepy. response:	Want to go home?
context: Uh-huh...\Wow.\It doesn't look like he's going to do it.\Maybe the mood's not right.\She's pretty wary of me.\I need to be careful so she doesn't think I'm a player.\M-Man, I'm getting sleepy.\Want to go home? response:	Nah.
context: Wow.\It doesn't look like he's going to do it.\Maybe the mood's not right.\She's pretty wary of me.\I need to be careful so she doesn't think I'm a player.\M-Man, I'm getting sleepy.\Want to go home?\Nah. response:	Can I sleep here?
context: It doesn't look like he's going to do it.\Maybe the mood's not right.\She's pretty wary of me.\I need to be careful so she doesn't think I'm a player.\M-Man, I'm getting sleepy.\Want to go home?\Nah.\Can I sleep here? response:	Sure.
context: Maybe the mood's not right.\She's pretty wary of me.\I need to be careful so she doesn't think I'm a player.\M-Man, I'm getting sleepy.\Want to go home?\Nah.\Can I sleep here?\Sure. response:	There.
context: She's pretty wary of me.\I need to be careful so she doesn't think I'm a player.\M-Man, I'm getting sleepy.\Want to go home?\Nah.\Can I sleep here?\Sure.\There. response:	There?
context: I need to be careful so she doesn't think I'm a player.\M-Man, I'm getting sleepy.\Want to go home?\Nah.\Can I sleep here?\Sure.\There.\There? response:	I-I'm sleeping in his lap!
context: M-Man, I'm getting sleepy.\Want to go home?\Nah.\Can I sleep here?\Sure.\There.\There?\I-I'm sleeping in his lap! response:	My heart's going to explode.
context: Want to go home?\Nah.\Can I sleep here?\Sure.\There.\There?\I-I'm sleeping in his lap!\My heart's going to explode. response:	But maybe this will get him in the mood.
context: Nah.\Can I sleep here?\Sure.\There.\There?\I-I'm sleeping in his lap!\My heart's going to explode.\But maybe this will get him in the mood. response:	Zzz...
context: Can I sleep here?\Sure.\There.\There?\I-I'm sleeping in his lap!\My heart's going to explode.\But maybe this will get him in the mood.\Zzz... response:	He's sleeping!
context: Sure.\There.\There?\I-I'm sleeping in his lap!\My heart's going to explode.\But maybe this will get him in the mood.\Zzz...\He's sleeping! response:	He's actually sleeping!
context: There.\There?\I-I'm sleeping in his lap!\My heart's going to explode.\But maybe this will get him in the mood.\Zzz...\He's sleeping!\He's actually sleeping! response:	He must have been tired from club work.
context: There?\I-I'm sleeping in his lap!\My heart's going to explode.\But maybe this will get him in the mood.\Zzz...\He's sleeping!\He's actually sleeping!\He must have been tired from club work. response:	I guess it's not going to happen.
context: I-I'm sleeping in his lap!\My heart's going to explode.\But maybe this will get him in the mood.\Zzz...\He's sleeping!\He's actually sleeping!\He must have been tired from club work.\I guess it's not going to happen. response:	Whoops, sorry.
context: My heart's going to explode.\But maybe this will get him in the mood.\Zzz...\He's sleeping!\He's actually sleeping!\He must have been tired from club work.\I guess it's not going to happen.\Whoops, sorry. response:	I was dozing off.
context: But maybe this will get him in the mood.\Zzz...\He's sleeping!\He's actually sleeping!\He must have been tired from club work.\I guess it's not going to happen.\Whoops, sorry.\I was dozing off. response:	I was about to touch your face.
context: Zzz...\He's sleeping!\He's actually sleeping!\He must have been tired from club work.\I guess it's not going to happen.\Whoops, sorry.\I was dozing off.\I was about to touch your face. response:	Are you all right, Kamine?
context: He's sleeping!\He's actually sleeping!\He must have been tired from club work.\I guess it's not going to happen.\Whoops, sorry.\I was dozing off.\I was about to touch your face.\Are you all right, Kamine? response:	Kamine?
context: He's actually sleeping!\He must have been tired from club work.\I guess it's not going to happen.\Whoops, sorry.\I was dozing off.\I was about to touch your face.\Are you all right, Kamine?\Kamine? response:	What's wrong?
context: He must have been tired from club work.\I guess it's not going to happen.\Whoops, sorry.\I was dozing off.\I was about to touch your face.\Are you all right, Kamine?\Kamine?\What's wrong? response:	The End
context: I guess it's not going to happen.\Whoops, sorry.\I was dozing off.\I was about to touch your face.\Are you all right, Kamine?\Kamine?\What's wrong?\The End response:	Minagawa-san, the student president, says she likes me.
context: Whoops, sorry.\I was dozing off.\I was about to touch your face.\Are you all right, Kamine?\Kamine?\What's wrong?\The End\Minagawa-san, the student president, says she likes me. response:	Like
context: I was dozing off.\I was about to touch your face.\Are you all right, Kamine?\Kamine?\What's wrong?\The End\Minagawa-san, the student president, says she likes me.\Like response:	I like you.
context: I was about to touch your face.\Are you all right, Kamine?\Kamine?\What's wrong?\The End\Minagawa-san, the student president, says she likes me.\Like\I like you. response:	Minagawa-san, are you being serious?
context: Are you all right, Kamine?\Kamine?\What's wrong?\The End\Minagawa-san, the student president, says she likes me.\Like\I like you.\Minagawa-san, are you being serious? response:	No.
context: Kamine?\What's wrong?\The End\Minagawa-san, the student president, says she likes me.\Like\I like you.\Minagawa-san, are you being serious?\No. response:	No? So you were kidding?
context: What's wrong?\The End\Minagawa-san, the student president, says she likes me.\Like\I like you.\Minagawa-san, are you being serious?\No.\No? So you were kidding? response:	Please, I wasn't kidding.
context: The End\Minagawa-san, the student president, says she likes me.\Like\I like you.\Minagawa-san, are you being serious?\No.\No? So you were kidding?\Please, I wasn't kidding. response:	It's true that I like you,
context: Minagawa-san, the student president, says she likes me.\Like\I like you.\Minagawa-san, are you being serious?\No.\No? So you were kidding?\Please, I wasn't kidding.\It's true that I like you, response:	but I'm not serious.
context: Like\I like you.\Minagawa-san, are you being serious?\No.\No? So you were kidding?\Please, I wasn't kidding.\It's true that I like you,\but I'm not serious. response:	I don't get it.
context: I like you.\Minagawa-san, are you being serious?\No.\No? So you were kidding?\Please, I wasn't kidding.\It's true that I like you,\but I'm not serious.\I don't get it. response:	I haven't shown you serious power.
context: Minagawa-san, are you being serious?\No.\No? So you were kidding?\Please, I wasn't kidding.\It's true that I like you,\but I'm not serious.\I don't get it.\I haven't shown you serious power. response:	Guys like this sort of thing, don't you?
context: No.\No? So you were kidding?\Please, I wasn't kidding.\It's true that I like you,\but I'm not serious.\I don't get it.\I haven't shown you serious power.\Guys like this sort of thing, don't you? response:	Th-Then what's your usual like?
context: No? So you were kidding?\Please, I wasn't kidding.\It's true that I like you,\but I'm not serious.\I don't get it.\I haven't shown you serious power.\Guys like this sort of thing, don't you?\Th-Then what's your usual like? response:	My usual is like as in, You're so cute, Furuya-kun.
context: Please, I wasn't kidding.\It's true that I like you,\but I'm not serious.\I don't get it.\I haven't shown you serious power.\Guys like this sort of thing, don't you?\Th-Then what's your usual like?\My usual is like as in, You're so cute, Furuya-kun. response:	So you are messing with me.
context: It's true that I like you,\but I'm not serious.\I don't get it.\I haven't shown you serious power.\Guys like this sort of thing, don't you?\Th-Then what's your usual like?\My usual is like as in, You're so cute, Furuya-kun.\So you are messing with me. response:	I like you.
context: but I'm not serious.\I don't get it.\I haven't shown you serious power.\Guys like this sort of thing, don't you?\Th-Then what's your usual like?\My usual is like as in, You're so cute, Furuya-kun.\So you are messing with me.\I like you. response:	That was like as in, You're so cute when you're angry.
context: I don't get it.\I haven't shown you serious power.\Guys like this sort of thing, don't you?\Th-Then what's your usual like?\My usual is like as in, You're so cute, Furuya-kun.\So you are messing with me.\I like you.\That was like as in, You're so cute when you're angry. response:	How am I supposed to answer when you act like that?
context: I haven't shown you serious power.\Guys like this sort of thing, don't you?\Th-Then what's your usual like?\My usual is like as in, You're so cute, Furuya-kun.\So you are messing with me.\I like you.\That was like as in, You're so cute when you're angry.\How am I supposed to answer when you act like that? response:	Oh?
context: Guys like this sort of thing, don't you?\Th-Then what's your usual like?\My usual is like as in, You're so cute, Furuya-kun.\So you are messing with me.\I like you.\That was like as in, You're so cute when you're angry.\How am I supposed to answer when you act like that?\Oh? response:	You were going to give me an answer?
context: Th-Then what's your usual like?\My usual is like as in, You're so cute, Furuya-kun.\So you are messing with me.\I like you.\That was like as in, You're so cute when you're angry.\How am I supposed to answer when you act like that?\Oh?\You were going to give me an answer? response:	Well, yeah, I don't like letting it drag on forever.
context: My usual is like as in, You're so cute, Furuya-kun.\So you are messing with me.\I like you.\That was like as in, You're so cute when you're angry.\How am I supposed to answer when you act like that?\Oh?\You were going to give me an answer?\Well, yeah, I don't like letting it drag on forever. response:	Then I'll listen seriously.
context: So you are messing with me.\I like you.\That was like as in, You're so cute when you're angry.\How am I supposed to answer when you act like that?\Oh?\You were going to give me an answer?\Well, yeah, I don't like letting it drag on forever.\Then I'll listen seriously. response:	But I can't give an answer if you aren't serious about liking me.
context: I like you.\That was like as in, You're so cute when you're angry.\How am I supposed to answer when you act like that?\Oh?\You were going to give me an answer?\Well, yeah, I don't like letting it drag on forever.\Then I'll listen seriously.\But I can't give an answer if you aren't serious about liking me. response:	Can you handle my serious like?
context: That was like as in, You're so cute when you're angry.\How am I supposed to answer when you act like that?\Oh?\You were going to give me an answer?\Well, yeah, I don't like letting it drag on forever.\Then I'll listen seriously.\But I can't give an answer if you aren't serious about liking me.\Can you handle my serious like? response:	All right, I'll let you hear it.
context: How am I supposed to answer when you act like that?\Oh?\You were going to give me an answer?\Well, yeah, I don't like letting it drag on forever.\Then I'll listen seriously.\But I can't give an answer if you aren't serious about liking me.\Can you handle my serious like?\All right, I'll let you hear it. response:	Wait, you're already making a joke out of it!
context: Oh?\You were going to give me an answer?\Well, yeah, I don't like letting it drag on forever.\Then I'll listen seriously.\But I can't give an answer if you aren't serious about liking me.\Can you handle my serious like?\All right, I'll let you hear it.\Wait, you're already making a joke out of it! response:	I'm not.
context: You were going to give me an answer?\Well, yeah, I don't like letting it drag on forever.\Then I'll listen seriously.\But I can't give an answer if you aren't serious about liking me.\Can you handle my serious like?\All right, I'll let you hear it.\Wait, you're already making a joke out of it!\I'm not. response:	I'm embarrassed, too.
context: Well, yeah, I don't like letting it drag on forever.\Then I'll listen seriously.\But I can't give an answer if you aren't serious about liking me.\Can you handle my serious like?\All right, I'll let you hear it.\Wait, you're already making a joke out of it!\I'm not.\I'm embarrassed, too. response:	Then... Here I go.
context: Then I'll listen seriously.\But I can't give an answer if you aren't serious about liking me.\Can you handle my serious like?\All right, I'll let you hear it.\Wait, you're already making a joke out of it!\I'm not.\I'm embarrassed, too.\Then... Here I go. response:	I like you.
context: But I can't give an answer if you aren't serious about liking me.\Can you handle my serious like?\All right, I'll let you hear it.\Wait, you're already making a joke out of it!\I'm not.\I'm embarrassed, too.\Then... Here I go.\I like you. response:	I-I like you, too.
context: Can you handle my serious like?\All right, I'll let you hear it.\Wait, you're already making a joke out of it!\I'm not.\I'm embarrassed, too.\Then... Here I go.\I like you.\I-I like you, too. response:	Sorry, I take that back.
context: All right, I'll let you hear it.\Wait, you're already making a joke out of it!\I'm not.\I'm embarrassed, too.\Then... Here I go.\I like you.\I-I like you, too.\Sorry, I take that back. response:	That was an I like your serious face, too kind of like.
context: Wait, you're already making a joke out of it!\I'm not.\I'm embarrassed, too.\Then... Here I go.\I like you.\I-I like you, too.\Sorry, I take that back.\That was an I like your serious face, too kind of like. response:	It's hard to be serious.
context: I'm not.\I'm embarrassed, too.\Then... Here I go.\I like you.\I-I like you, too.\Sorry, I take that back.\That was an I like your serious face, too kind of like.\It's hard to be serious. response:	Y-Yeah?
context: I'm embarrassed, too.\Then... Here I go.\I like you.\I-I like you, too.\Sorry, I take that back.\That was an I like your serious face, too kind of like.\It's hard to be serious.\Y-Yeah? response:	I thought so, too, actually.
context: Then... Here I go.\I like you.\I-I like you, too.\Sorry, I take that back.\That was an I like your serious face, too kind of like.\It's hard to be serious.\Y-Yeah?\I thought so, too, actually. response:	I like you.
context: I like you.\I-I like you, too.\Sorry, I take that back.\That was an I like your serious face, too kind of like.\It's hard to be serious.\Y-Yeah?\I thought so, too, actually.\I like you. response:	I like you.
context: I-I like you, too.\Sorry, I take that back.\That was an I like your serious face, too kind of like.\It's hard to be serious.\Y-Yeah?\I thought so, too, actually.\I like you.\I like you. response:	I like you!
context: Sorry, I take that back.\That was an I like your serious face, too kind of like.\It's hard to be serious.\Y-Yeah?\I thought so, too, actually.\I like you.\I like you.\I like you! response:	I like you.
context: That was an I like your serious face, too kind of like.\It's hard to be serious.\Y-Yeah?\I thought so, too, actually.\I like you.\I like you.\I like you!\I like you. response:	None of them really clicks.
context: It's hard to be serious.\Y-Yeah?\I thought so, too, actually.\I like you.\I like you.\I like you!\I like you.\None of them really clicks. response:	Maybe I can't express my serious like in words.
context: Y-Yeah?\I thought so, too, actually.\I like you.\I like you.\I like you!\I like you.\None of them really clicks.\Maybe I can't express my serious like in words. response:	Huh? Say what?
context: I thought so, too, actually.\I like you.\I like you.\I like you!\I like you.\None of them really clicks.\Maybe I can't express my serious like in words.\Huh? Say what? response:	Close your eyes.
context: I like you.\I like you.\I like you!\I like you.\None of them really clicks.\Maybe I can't express my serious like in words.\Huh? Say what?\Close your eyes. response:	What? Why?
context: I like you.\I like you!\I like you.\None of them really clicks.\Maybe I can't express my serious like in words.\Huh? Say what?\Close your eyes.\What? Why? response:	Just do it.
context: I like you!\I like you.\None of them really clicks.\Maybe I can't express my serious like in words.\Huh? Say what?\Close your eyes.\What? Why?\Just do it. response:	I can't do it with your eyes open.
context: I like you.\None of them really clicks.\Maybe I can't express my serious like in words.\Huh? Say what?\Close your eyes.\What? Why?\Just do it.\I can't do it with your eyes open. response:	Are they closed?
context: None of them really clicks.\Maybe I can't express my serious like in words.\Huh? Say what?\Close your eyes.\What? Why?\Just do it.\I can't do it with your eyes open.\Are they closed? response:	Don't open them until I say so.
context: Maybe I can't express my serious like in words.\Huh? Say what?\Close your eyes.\What? Why?\Just do it.\I can't do it with your eyes open.\Are they closed?\Don't open them until I say so. response:	Not yet.
context: Huh? Say what?\Close your eyes.\What? Why?\Just do it.\I can't do it with your eyes open.\Are they closed?\Don't open them until I say so.\Not yet. response:	Don't open them yet.
context: Close your eyes.\What? Why?\Just do it.\I can't do it with your eyes open.\Are they closed?\Don't open them until I say so.\Not yet.\Don't open them yet. response:	Wait, what?
context: What? Why?\Just do it.\I can't do it with your eyes open.\Are they closed?\Don't open them until I say so.\Not yet.\Don't open them yet.\Wait, what? response:	Is this okay?
context: Just do it.\I can't do it with your eyes open.\Are they closed?\Don't open them until I say so.\Not yet.\Don't open them yet.\Wait, what?\Is this okay? response:	We aren't even dating yet.
context: I can't do it with your eyes open.\Are they closed?\Don't open them until I say so.\Not yet.\Don't open them yet.\Wait, what?\Is this okay?\We aren't even dating yet. response:	No, so why don't I just go out with her?
context: Are they closed?\Don't open them until I say so.\Not yet.\Don't open them yet.\Wait, what?\Is this okay?\We aren't even dating yet.\No, so why don't I just go out with her? response:	Okay.
context: Don't open them until I say so.\Not yet.\Don't open them yet.\Wait, what?\Is this okay?\We aren't even dating yet.\No, so why don't I just go out with her?\Okay. response:	Well?
context: Not yet.\Don't open them yet.\Wait, what?\Is this okay?\We aren't even dating yet.\No, so why don't I just go out with her?\Okay.\Well? response:	Did you feel my serious like?
context: Don't open them yet.\Wait, what?\Is this okay?\We aren't even dating yet.\No, so why don't I just go out with her?\Okay.\Well?\Did you feel my serious like? response:	What part of that was serious?!
context: Wait, what?\Is this okay?\We aren't even dating yet.\No, so why don't I just go out with her?\Okay.\Well?\Did you feel my serious like?\What part of that was serious?! response:	Y-You used your fingers to pretend you were kissing me!
context: Is this okay?\We aren't even dating yet.\No, so why don't I just go out with her?\Okay.\Well?\Did you feel my serious like?\What part of that was serious?!\Y-You used your fingers to pretend you were kissing me! response:	I never said that was my fingers.
context: We aren't even dating yet.\No, so why don't I just go out with her?\Okay.\Well?\Did you feel my serious like?\What part of that was serious?!\Y-You used your fingers to pretend you were kissing me!\I never said that was my fingers. response:	You can tell if that was my fingers or if I was serious, can't you?
context: No, so why don't I just go out with her?\Okay.\Well?\Did you feel my serious like?\What part of that was serious?!\Y-You used your fingers to pretend you were kissing me!\I never said that was my fingers.\You can tell if that was my fingers or if I was serious, can't you? response:	Which do you think it was?
context: Okay.\Well?\Did you feel my serious like?\What part of that was serious?!\Y-You used your fingers to pretend you were kissing me!\I never said that was my fingers.\You can tell if that was my fingers or if I was serious, can't you?\Which do you think it was? response:	Well?
context: Well?\Did you feel my serious like?\What part of that was serious?!\Y-You used your fingers to pretend you were kissing me!\I never said that was my fingers.\You can tell if that was my fingers or if I was serious, can't you?\Which do you think it was?\Well? response:	Next episode: Lovers.
context: Did you feel my serious like?\What part of that was serious?!\Y-You used your fingers to pretend you were kissing me!\I never said that was my fingers.\You can tell if that was my fingers or if I was serious, can't you?\Which do you think it was?\Well?\Next episode: Lovers. response:	Lovers
