context: Metamorphie Vocias! response:	Metamorphie Vocias.
context: You're a rabbit.\You're going to be a rabbit.\Metamorphie Faciesse!\Come on!\That's not what I wanted!\How are you enjoying this, Lord Hanbridge?\Is it not a most entrancing dance?\Yes, it is quite charming, Headmistress Holbrooke. response:	Didn't I tell you little witches were great?
context: You're going to be a rabbit.\Metamorphie Faciesse!\Come on!\That's not what I wanted!\How are you enjoying this, Lord Hanbridge?\Is it not a most entrancing dance?\Yes, it is quite charming, Headmistress Holbrooke.\Didn't I tell you little witches were great? response:	Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.
context: Metamorphie Faciesse!\Come on!\That's not what I wanted!\How are you enjoying this, Lord Hanbridge?\Is it not a most entrancing dance?\Yes, it is quite charming, Headmistress Holbrooke.\Didn't I tell you little witches were great?\Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish. response:	The beauty emanating from her is overshadowing the rest!
context: Come on!\That's not what I wanted!\How are you enjoying this, Lord Hanbridge?\Is it not a most entrancing dance?\Yes, it is quite charming, Headmistress Holbrooke.\Didn't I tell you little witches were great?\Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.\The beauty emanating from her is overshadowing the rest! response:	She's that famous?
context: That's not what I wanted!\How are you enjoying this, Lord Hanbridge?\Is it not a most entrancing dance?\Yes, it is quite charming, Headmistress Holbrooke.\Didn't I tell you little witches were great?\Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.\The beauty emanating from her is overshadowing the rest!\She's that famous? response:	Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.
context: How are you enjoying this, Lord Hanbridge?\Is it not a most entrancing dance?\Yes, it is quite charming, Headmistress Holbrooke.\Didn't I tell you little witches were great?\Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.\The beauty emanating from her is overshadowing the rest!\She's that famous?\Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana. response:	Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.
context: Is it not a most entrancing dance?\Yes, it is quite charming, Headmistress Holbrooke.\Didn't I tell you little witches were great?\Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.\The beauty emanating from her is overshadowing the rest!\She's that famous?\Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.\Please join us for the feast after the show. Our cooks have prepared seadragon steak for you. response:	Headmistress Holbrooke.
context: Yes, it is quite charming, Headmistress Holbrooke.\Didn't I tell you little witches were great?\Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.\The beauty emanating from her is overshadowing the rest!\She's that famous?\Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.\Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.\Headmistress Holbrooke. response:	Yes?
context: Didn't I tell you little witches were great?\Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.\The beauty emanating from her is overshadowing the rest!\She's that famous?\Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.\Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.\Headmistress Holbrooke.\Yes? response:	Andrew appears to have tired of the dance.
context: Actually, there's one that caught my eye. It's Lady Diana from the distinguished House of Cavendish.\The beauty emanating from her is overshadowing the rest!\She's that famous?\Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.\Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.\Headmistress Holbrooke.\Yes?\Andrew appears to have tired of the dance. response:	Would you mind giving him a tour of the campus?
context: The beauty emanating from her is overshadowing the rest!\She's that famous?\Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.\Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.\Headmistress Holbrooke.\Yes?\Andrew appears to have tired of the dance.\Would you mind giving him a tour of the campus? response:	Diana!
context: She's that famous?\Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.\Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.\Headmistress Holbrooke.\Yes?\Andrew appears to have tired of the dance.\Would you mind giving him a tour of the campus?\Diana! response:	You called?
context: Come on, man. I know you don't care about magic, but even you must've heard of Lady Diana.\Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.\Headmistress Holbrooke.\Yes?\Andrew appears to have tired of the dance.\Would you mind giving him a tour of the campus?\Diana!\You called? response:	Give Lord Andrew a tour of the academy.
context: Please join us for the feast after the show. Our cooks have prepared seadragon steak for you.\Headmistress Holbrooke.\Yes?\Andrew appears to have tired of the dance.\Would you mind giving him a tour of the campus?\Diana!\You called?\Give Lord Andrew a tour of the academy. response:	Understood.
context: Headmistress Holbrooke.\Yes?\Andrew appears to have tired of the dance.\Would you mind giving him a tour of the campus?\Diana!\You called?\Give Lord Andrew a tour of the academy.\Understood. response:	Nice to meet you! I'm Frank, one of Andrew's friends.
context: Yes?\Andrew appears to have tired of the dance.\Would you mind giving him a tour of the campus?\Diana!\You called?\Give Lord Andrew a tour of the academy.\Understood.\Nice to meet you! I'm Frank, one of Andrew's friends. response:	The pleasure is all mine. My name is Diana.
context: Andrew appears to have tired of the dance.\Would you mind giving him a tour of the campus?\Diana!\You called?\Give Lord Andrew a tour of the academy.\Understood.\Nice to meet you! I'm Frank, one of Andrew's friends.\The pleasure is all mine. My name is Diana. response:	It's been a while.
context: Would you mind giving him a tour of the campus?\Diana!\You called?\Give Lord Andrew a tour of the academy.\Understood.\Nice to meet you! I'm Frank, one of Andrew's friends.\The pleasure is all mine. My name is Diana.\It's been a while. response:	Metamorphie Faciesse!
context: Diana!\You called?\Give Lord Andrew a tour of the academy.\Understood.\Nice to meet you! I'm Frank, one of Andrew's friends.\The pleasure is all mine. My name is Diana.\It's been a while.\Metamorphie Faciesse! response:	Metamorphie Faciesse!
context: You called?\Give Lord Andrew a tour of the academy.\Understood.\Nice to meet you! I'm Frank, one of Andrew's friends.\The pleasure is all mine. My name is Diana.\It's been a while.\Metamorphie Faciesse!\Metamorphie Faciesse! response:	Guess it's not gonna work.
context: Give Lord Andrew a tour of the academy.\Understood.\Nice to meet you! I'm Frank, one of Andrew's friends.\The pleasure is all mine. My name is Diana.\It's been a while.\Metamorphie Faciesse!\Metamorphie Faciesse!\Guess it's not gonna work. response:	I'm losing my confidence.
context: Understood.\Nice to meet you! I'm Frank, one of Andrew's friends.\The pleasure is all mine. My name is Diana.\It's been a while.\Metamorphie Faciesse!\Metamorphie Faciesse!\Guess it's not gonna work.\I'm losing my confidence. response:	Maybe I really am a dunce.
context: Nice to meet you! I'm Frank, one of Andrew's friends.\The pleasure is all mine. My name is Diana.\It's been a while.\Metamorphie Faciesse!\Metamorphie Faciesse!\Guess it's not gonna work.\I'm losing my confidence.\Maybe I really am a dunce. response:	I did get my hopes up a little back then.
context: The pleasure is all mine. My name is Diana.\It's been a while.\Metamorphie Faciesse!\Metamorphie Faciesse!\Guess it's not gonna work.\I'm losing my confidence.\Maybe I really am a dunce.\I did get my hopes up a little back then. response:	I thought that I really was a great witch and my powers were just sleeping inside me.
context: It's been a while.\Metamorphie Faciesse!\Metamorphie Faciesse!\Guess it's not gonna work.\I'm losing my confidence.\Maybe I really am a dunce.\I did get my hopes up a little back then.\I thought that I really was a great witch and my powers were just sleeping inside me. response:	Can't someone just come and tell me whether I have talent or not already?
context: Metamorphie Faciesse!\Metamorphie Faciesse!\Guess it's not gonna work.\I'm losing my confidence.\Maybe I really am a dunce.\I did get my hopes up a little back then.\I thought that I really was a great witch and my powers were just sleeping inside me.\Can't someone just come and tell me whether I have talent or not already? response:	Found it!
context: Metamorphie Faciesse!\Guess it's not gonna work.\I'm losing my confidence.\Maybe I really am a dunce.\I did get my hopes up a little back then.\I thought that I really was a great witch and my powers were just sleeping inside me.\Can't someone just come and tell me whether I have talent or not already?\Found it! response:	The Fountain of Polaris.
context: Guess it's not gonna work.\I'm losing my confidence.\Maybe I really am a dunce.\I did get my hopes up a little back then.\I thought that I really was a great witch and my powers were just sleeping inside me.\Can't someone just come and tell me whether I have talent or not already?\Found it!\The Fountain of Polaris. response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: I'm losing my confidence.\Maybe I really am a dunce.\I did get my hopes up a little back then.\I thought that I really was a great witch and my powers were just sleeping inside me.\Can't someone just come and tell me whether I have talent or not already?\Found it!\The Fountain of Polaris.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: Maybe I really am a dunce.\I did get my hopes up a little back then.\I thought that I really was a great witch and my powers were just sleeping inside me.\Can't someone just come and tell me whether I have talent or not already?\Found it!\The Fountain of Polaris.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: I did get my hopes up a little back then.\I thought that I really was a great witch and my powers were just sleeping inside me.\Can't someone just come and tell me whether I have talent or not already?\Found it!\The Fountain of Polaris.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: I thought that I really was a great witch and my powers were just sleeping inside me.\Can't someone just come and tell me whether I have talent or not already?\Found it!\The Fountain of Polaris.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Can't someone just come and tell me whether I have talent or not already?\Found it!\The Fountain of Polaris.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: Found it!\The Fountain of Polaris.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: The Fountain of Polaris.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
