context: Whenever I counted on someone, I ended up getting hurt. response:	You can count on me, Ohana!
context: Due to an unforeseen error, breakfast this morning is\Wow!\This looks incredible!\I didn't have anything to do, so...\Wow, I didn't know you could cook!\Tasty!\You're amazing, Ohana!\My mom's kind of crazy... response:	She's had me cooking meals since preschool.
context: Wow!\This looks incredible!\I didn't have anything to do, so...\Wow, I didn't know you could cook!\Tasty!\You're amazing, Ohana!\My mom's kind of crazy...\She's had me cooking meals since preschool. response:	Preschool?!
context: This looks incredible!\I didn't have anything to do, so...\Wow, I didn't know you could cook!\Tasty!\You're amazing, Ohana!\My mom's kind of crazy...\She's had me cooking meals since preschool.\Preschool?! response:	Boy, you've had a pretty tough life, huh?
context: I didn't have anything to do, so...\Wow, I didn't know you could cook!\Tasty!\You're amazing, Ohana!\My mom's kind of crazy...\She's had me cooking meals since preschool.\Preschool?!\Boy, you've had a pretty tough life, huh? response:	What a good girl.
context: Wow, I didn't know you could cook!\Tasty!\You're amazing, Ohana!\My mom's kind of crazy...\She's had me cooking meals since preschool.\Preschool?!\Boy, you've had a pretty tough life, huh?\What a good girl. response:	I think she might be better at this than you.
context: Tasty!\You're amazing, Ohana!\My mom's kind of crazy...\She's had me cooking meals since preschool.\Preschool?!\Boy, you've had a pretty tough life, huh?\What a good girl.\I think she might be better at this than you. response:	I'm going to do inventory.
context: You're amazing, Ohana!\My mom's kind of crazy...\She's had me cooking meals since preschool.\Preschool?!\Boy, you've had a pretty tough life, huh?\What a good girl.\I think she might be better at this than you.\I'm going to do inventory. response:	What's with her?
context: My mom's kind of crazy...\She's had me cooking meals since preschool.\Preschool?!\Boy, you've had a pretty tough life, huh?\What a good girl.\I think she might be better at this than you.\I'm going to do inventory.\What's with her? response:	Minko!
context: She's had me cooking meals since preschool.\Preschool?!\Boy, you've had a pretty tough life, huh?\What a good girl.\I think she might be better at this than you.\I'm going to do inventory.\What's with her?\Minko! response:	That was crossing the line, don't you think?
context: Preschool?!\Boy, you've had a pretty tough life, huh?\What a good girl.\I think she might be better at this than you.\I'm going to do inventory.\What's with her?\Minko!\That was crossing the line, don't you think? response:	What do you mean?
context: Boy, you've had a pretty tough life, huh?\What a good girl.\I think she might be better at this than you.\I'm going to do inventory.\What's with her?\Minko!\That was crossing the line, don't you think?\What do you mean? response:	Wait up!
context: What a good girl.\I think she might be better at this than you.\I'm going to do inventory.\What's with her?\Minko!\That was crossing the line, don't you think?\What do you mean?\Wait up! response:	Minko!
context: I think she might be better at this than you.\I'm going to do inventory.\What's with her?\Minko!\That was crossing the line, don't you think?\What do you mean?\Wait up!\Minko! response:	Back off!
context: I'm going to do inventory.\What's with her?\Minko!\That was crossing the line, don't you think?\What do you mean?\Wait up!\Minko!\Back off! response:	Huh?
context: What's with her?\Minko!\That was crossing the line, don't you think?\What do you mean?\Wait up!\Minko!\Back off!\Huh? response:	Did you make that meal just to spite me?
context: Minko!\That was crossing the line, don't you think?\What do you mean?\Wait up!\Minko!\Back off!\Huh?\Did you make that meal just to spite me? response:	No, of course not!
context: That was crossing the line, don't you think?\What do you mean?\Wait up!\Minko!\Back off!\Huh?\Did you make that meal just to spite me?\No, of course not! response:	It's just, I wanted to make up
context: What do you mean?\Wait up!\Minko!\Back off!\Huh?\Did you make that meal just to spite me?\No, of course not!\It's just, I wanted to make up response:	for the trouble I caused you with the whole futon thing.
context: Wait up!\Minko!\Back off!\Huh?\Did you make that meal just to spite me?\No, of course not!\It's just, I wanted to make up\for the trouble I caused you with the whole futon thing. response:	So, you repay me by giving me more trouble?
context: Minko!\Back off!\Huh?\Did you make that meal just to spite me?\No, of course not!\It's just, I wanted to make up\for the trouble I caused you with the whole futon thing.\So, you repay me by giving me more trouble? response:	M-More trouble?
context: Back off!\Huh?\Did you make that meal just to spite me?\No, of course not!\It's just, I wanted to make up\for the trouble I caused you with the whole futon thing.\So, you repay me by giving me more trouble?\M-More trouble? response:	Thanks for nothing.
context: Huh?\Did you make that meal just to spite me?\No, of course not!\It's just, I wanted to make up\for the trouble I caused you with the whole futon thing.\So, you repay me by giving me more trouble?\M-More trouble?\Thanks for nothing. response:	Seriously, what's with y
context: Did you make that meal just to spite me?\No, of course not!\It's just, I wanted to make up\for the trouble I caused you with the whole futon thing.\So, you repay me by giving me more trouble?\M-More trouble?\Thanks for nothing.\Seriously, what's with y response:	Die.
context: No, of course not!\It's just, I wanted to make up\for the trouble I caused you with the whole futon thing.\So, you repay me by giving me more trouble?\M-More trouble?\Thanks for nothing.\Seriously, what's with y\Die. response:	Here we go again...
context: It's just, I wanted to make up\for the trouble I caused you with the whole futon thing.\So, you repay me by giving me more trouble?\M-More trouble?\Thanks for nothing.\Seriously, what's with y\Die.\Here we go again... response:	Why does she hate me so much?
context: for the trouble I caused you with the whole futon thing.\So, you repay me by giving me more trouble?\M-More trouble?\Thanks for nothing.\Seriously, what's with y\Die.\Here we go again...\Why does she hate me so much? response:	I'm just trying to get used to my job.
context: So, you repay me by giving me more trouble?\M-More trouble?\Thanks for nothing.\Seriously, what's with y\Die.\Here we go again...\Why does she hate me so much?\I'm just trying to get used to my job. response:	And that's when I heard...
context: M-More trouble?\Thanks for nothing.\Seriously, what's with y\Die.\Here we go again...\Why does she hate me so much?\I'm just trying to get used to my job.\And that's when I heard... response:	Manager!
context: Thanks for nothing.\Seriously, what's with y\Die.\Here we go again...\Why does she hate me so much?\I'm just trying to get used to my job.\And that's when I heard...\Manager! response:	Get me the manager!
context: Seriously, what's with y\Die.\Here we go again...\Why does she hate me so much?\I'm just trying to get used to my job.\And that's when I heard...\Manager!\Get me the manager! response:	The draft I've been working on non-stop since coming here has vanished!
context: Die.\Here we go again...\Why does she hate me so much?\I'm just trying to get used to my job.\And that's when I heard...\Manager!\Get me the manager!\The draft I've been working on non-stop since coming here has vanished! response:	You hear me?
context: Here we go again...\Why does she hate me so much?\I'm just trying to get used to my job.\And that's when I heard...\Manager!\Get me the manager!\The draft I've been working on non-stop since coming here has vanished!\You hear me? response:	It's the work of the century!
context: Why does she hate me so much?\I'm just trying to get used to my job.\And that's when I heard...\Manager!\Get me the manager!\The draft I've been working on non-stop since coming here has vanished!\You hear me?\It's the work of the century! response:	It might very well win the Naoki Prize!
context: I'm just trying to get used to my job.\And that's when I heard...\Manager!\Get me the manager!\The draft I've been working on non-stop since coming here has vanished!\You hear me?\It's the work of the century!\It might very well win the Naoki Prize! response:	Do you understand?!
context: And that's when I heard...\Manager!\Get me the manager!\The draft I've been working on non-stop since coming here has vanished!\You hear me?\It's the work of the century!\It might very well win the Naoki Prize!\Do you understand?! response:	What's all this about?
context: Manager!\Get me the manager!\The draft I've been working on non-stop since coming here has vanished!\You hear me?\It's the work of the century!\It might very well win the Naoki Prize!\Do you understand?!\What's all this about? response:	That's the girl who cleaned my room, isn't it?
context: Get me the manager!\The draft I've been working on non-stop since coming here has vanished!\You hear me?\It's the work of the century!\It might very well win the Naoki Prize!\Do you understand?!\What's all this about?\That's the girl who cleaned my room, isn't it? response:	You!
context: The draft I've been working on non-stop since coming here has vanished!\You hear me?\It's the work of the century!\It might very well win the Naoki Prize!\Do you understand?!\What's all this about?\That's the girl who cleaned my room, isn't it?\You! response:	You! You! You! You!
context: You hear me?\It's the work of the century!\It might very well win the Naoki Prize!\Do you understand?!\What's all this about?\That's the girl who cleaned my room, isn't it?\You!\You! You! You! You! response:	New girl!
context: It's the work of the century!\It might very well win the Naoki Prize!\Do you understand?!\What's all this about?\That's the girl who cleaned my room, isn't it?\You!\You! You! You! You!\New girl! response:	Was this your doing?!
context: It might very well win the Naoki Prize!\Do you understand?!\What's all this about?\That's the girl who cleaned my room, isn't it?\You!\You! You! You! You!\New girl!\Was this your doing?! response:	Huh?
context: Do you understand?!\What's all this about?\That's the girl who cleaned my room, isn't it?\You!\You! You! You! You!\New girl!\Was this your doing?!\Huh? response:	Office
context: What's all this about?\That's the girl who cleaned my room, isn't it?\You!\You! You! You! You!\New girl!\Was this your doing?!\Huh?\Office response:	You're absolutely positive that all you did was clean?
context: That's the girl who cleaned my room, isn't it?\You!\You! You! You! You!\New girl!\Was this your doing?!\Huh?\Office\You're absolutely positive that all you did was clean? response:	Y-Yes.
context: You!\You! You! You! You!\New girl!\Was this your doing?!\Huh?\Office\You're absolutely positive that all you did was clean?\Y-Yes. response:	I did throw out the papers that were in the trash, but that's all.
context: You! You! You! You!\New girl!\Was this your doing?!\Huh?\Office\You're absolutely positive that all you did was clean?\Y-Yes.\I did throw out the papers that were in the trash, but that's all. response:	Unbelievable.
context: New girl!\Was this your doing?!\Huh?\Office\You're absolutely positive that all you did was clean?\Y-Yes.\I did throw out the papers that were in the trash, but that's all.\Unbelievable. response:	Shall we call the police?
context: Was this your doing?!\Huh?\Office\You're absolutely positive that all you did was clean?\Y-Yes.\I did throw out the papers that were in the trash, but that's all.\Unbelievable.\Shall we call the police? response:	No, that's all right.
context: Huh?\Office\You're absolutely positive that all you did was clean?\Y-Yes.\I did throw out the papers that were in the trash, but that's all.\Unbelievable.\Shall we call the police?\No, that's all right. response:	There's no need for that.
context: Office\You're absolutely positive that all you did was clean?\Y-Yes.\I did throw out the papers that were in the trash, but that's all.\Unbelievable.\Shall we call the police?\No, that's all right.\There's no need for that. response:	But...
context: You're absolutely positive that all you did was clean?\Y-Yes.\I did throw out the papers that were in the trash, but that's all.\Unbelievable.\Shall we call the police?\No, that's all right.\There's no need for that.\But... response:	I want to compete with the quality of my work.
context: Y-Yes.\I did throw out the papers that were in the trash, but that's all.\Unbelievable.\Shall we call the police?\No, that's all right.\There's no need for that.\But...\I want to compete with the quality of my work. response:	If it's made famous simply because of this scandal,
context: I did throw out the papers that were in the trash, but that's all.\Unbelievable.\Shall we call the police?\No, that's all right.\There's no need for that.\But...\I want to compete with the quality of my work.\If it's made famous simply because of this scandal, response:	it won't receive a fair evaluation.
context: Unbelievable.\Shall we call the police?\No, that's all right.\There's no need for that.\But...\I want to compete with the quality of my work.\If it's made famous simply because of this scandal,\it won't receive a fair evaluation. response:	I understand.
context: Shall we call the police?\No, that's all right.\There's no need for that.\But...\I want to compete with the quality of my work.\If it's made famous simply because of this scandal,\it won't receive a fair evaluation.\I understand. response:	My entire staff will search for the draft in question.
context: No, that's all right.\There's no need for that.\But...\I want to compete with the quality of my work.\If it's made famous simply because of this scandal,\it won't receive a fair evaluation.\I understand.\My entire staff will search for the draft in question. response:	I'll be holding you responsible if it's not found.
context: There's no need for that.\But...\I want to compete with the quality of my work.\If it's made famous simply because of this scandal,\it won't receive a fair evaluation.\I understand.\My entire staff will search for the draft in question.\I'll be holding you responsible if it's not found. response:	Meaning, my stay here will be free of charge.
context: But...\I want to compete with the quality of my work.\If it's made famous simply because of this scandal,\it won't receive a fair evaluation.\I understand.\My entire staff will search for the draft in question.\I'll be holding you responsible if it's not found.\Meaning, my stay here will be free of charge. response:	Yes, of course.
context: I want to compete with the quality of my work.\If it's made famous simply because of this scandal,\it won't receive a fair evaluation.\I understand.\My entire staff will search for the draft in question.\I'll be holding you responsible if it's not found.\Meaning, my stay here will be free of charge.\Yes, of course. response:	Mother, that jerk's been here at least a month
context: If it's made famous simply because of this scandal,\it won't receive a fair evaluation.\I understand.\My entire staff will search for the draft in question.\I'll be holding you responsible if it's not found.\Meaning, my stay here will be free of charge.\Yes, of course.\Mother, that jerk's been here at least a month response:	Madam Manager.
context: it won't receive a fair evaluation.\I understand.\My entire staff will search for the draft in question.\I'll be holding you responsible if it's not found.\Meaning, my stay here will be free of charge.\Yes, of course.\Mother, that jerk's been here at least a month\Madam Manager. response:	What shall we do, Madam Manager?
context: I understand.\My entire staff will search for the draft in question.\I'll be holding you responsible if it's not found.\Meaning, my stay here will be free of charge.\Yes, of course.\Mother, that jerk's been here at least a month\Madam Manager.\What shall we do, Madam Manager? response:	We are not to clean the Wave Room without the customer's supervision.
context: My entire staff will search for the draft in question.\I'll be holding you responsible if it's not found.\Meaning, my stay here will be free of charge.\Yes, of course.\Mother, that jerk's been here at least a month\Madam Manager.\What shall we do, Madam Manager?\We are not to clean the Wave Room without the customer's supervision. response:	Did Nako not tell you this?
context: I'll be holding you responsible if it's not found.\Meaning, my stay here will be free of charge.\Yes, of course.\Mother, that jerk's been here at least a month\Madam Manager.\What shall we do, Madam Manager?\We are not to clean the Wave Room without the customer's supervision.\Did Nako not tell you this? response:	She did, I'm sorry.
context: Meaning, my stay here will be free of charge.\Yes, of course.\Mother, that jerk's been here at least a month\Madam Manager.\What shall we do, Madam Manager?\We are not to clean the Wave Room without the customer's supervision.\Did Nako not tell you this?\She did, I'm sorry. response:	It's commendable that you're taking initiative.
context: Yes, of course.\Mother, that jerk's been here at least a month\Madam Manager.\What shall we do, Madam Manager?\We are not to clean the Wave Room without the customer's supervision.\Did Nako not tell you this?\She did, I'm sorry.\It's commendable that you're taking initiative. response:	But I warned you.
context: Mother, that jerk's been here at least a month\Madam Manager.\What shall we do, Madam Manager?\We are not to clean the Wave Room without the customer's supervision.\Did Nako not tell you this?\She did, I'm sorry.\It's commendable that you're taking initiative.\But I warned you. response:	Careless effort does nothing but harm.
context: Madam Manager.\What shall we do, Madam Manager?\We are not to clean the Wave Room without the customer's supervision.\Did Nako not tell you this?\She did, I'm sorry.\It's commendable that you're taking initiative.\But I warned you.\Careless effort does nothing but harm. response:	Ma'am, that's
context: What shall we do, Madam Manager?\We are not to clean the Wave Room without the customer's supervision.\Did Nako not tell you this?\She did, I'm sorry.\It's commendable that you're taking initiative.\But I warned you.\Careless effort does nothing but harm.\Ma'am, that's response:	How was I careless?
context: We are not to clean the Wave Room without the customer's supervision.\Did Nako not tell you this?\She did, I'm sorry.\It's commendable that you're taking initiative.\But I warned you.\Careless effort does nothing but harm.\Ma'am, that's\How was I careless? response:	What do you want from me?
context: Did Nako not tell you this?\She did, I'm sorry.\It's commendable that you're taking initiative.\But I warned you.\Careless effort does nothing but harm.\Ma'am, that's\How was I careless?\What do you want from me? response:	You told me I don't understand what it means to work,
context: She did, I'm sorry.\It's commendable that you're taking initiative.\But I warned you.\Careless effort does nothing but harm.\Ma'am, that's\How was I careless?\What do you want from me?\You told me I don't understand what it means to work, response:	so I was trying my hardest to learn.
context: It's commendable that you're taking initiative.\But I warned you.\Careless effort does nothing but harm.\Ma'am, that's\How was I careless?\What do you want from me?\You told me I don't understand what it means to work,\so I was trying my hardest to learn. response:	I'm doing my best...
context: But I warned you.\Careless effort does nothing but harm.\Ma'am, that's\How was I careless?\What do you want from me?\You told me I don't understand what it means to work,\so I was trying my hardest to learn.\I'm doing my best... response:	But after all that...
context: Careless effort does nothing but harm.\Ma'am, that's\How was I careless?\What do you want from me?\You told me I don't understand what it means to work,\so I was trying my hardest to learn.\I'm doing my best...\But after all that... response:	I'm going to look for the draft.
context: Ma'am, that's\How was I careless?\What do you want from me?\You told me I don't understand what it means to work,\so I was trying my hardest to learn.\I'm doing my best...\But after all that...\I'm going to look for the draft. response:	No, don't.
context: How was I careless?\What do you want from me?\You told me I don't understand what it means to work,\so I was trying my hardest to learn.\I'm doing my best...\But after all that...\I'm going to look for the draft.\No, don't. response:	I can't have you making another mistake.
context: What do you want from me?\You told me I don't understand what it means to work,\so I was trying my hardest to learn.\I'm doing my best...\But after all that...\I'm going to look for the draft.\No, don't.\I can't have you making another mistake. response:	Return to your regular duties.
context: You told me I don't understand what it means to work,\so I was trying my hardest to learn.\I'm doing my best...\But after all that...\I'm going to look for the draft.\No, don't.\I can't have you making another mistake.\Return to your regular duties. response:	She's acting so strangely today.
context: so I was trying my hardest to learn.\I'm doing my best...\But after all that...\I'm going to look for the draft.\No, don't.\I can't have you making another mistake.\Return to your regular duties.\She's acting so strangely today. response:	She'd usually stop at nothing to fulfill a customer's request.
context: I'm doing my best...\But after all that...\I'm going to look for the draft.\No, don't.\I can't have you making another mistake.\Return to your regular duties.\She's acting so strangely today.\She'd usually stop at nothing to fulfill a customer's request. response:	I've thought about rebelling,
context: But after all that...\I'm going to look for the draft.\No, don't.\I can't have you making another mistake.\Return to your regular duties.\She's acting so strangely today.\She'd usually stop at nothing to fulfill a customer's request.\I've thought about rebelling, response:	but I don't even know how to.
context: I'm going to look for the draft.\No, don't.\I can't have you making another mistake.\Return to your regular duties.\She's acting so strangely today.\She'd usually stop at nothing to fulfill a customer's request.\I've thought about rebelling,\but I don't even know how to. response:	Maybe I should be like Mom, and start flirting with boys.
context: No, don't.\I can't have you making another mistake.\Return to your regular duties.\She's acting so strangely today.\She'd usually stop at nothing to fulfill a customer's request.\I've thought about rebelling,\but I don't even know how to.\Maybe I should be like Mom, and start flirting with boys. response:	Hey, kid.
context: I can't have you making another mistake.\Return to your regular duties.\She's acting so strangely today.\She'd usually stop at nothing to fulfill a customer's request.\I've thought about rebelling,\but I don't even know how to.\Maybe I should be like Mom, and start flirting with boys.\Hey, kid. response:	If you've got nothing to do, come with me.
context: Return to your regular duties.\She's acting so strangely today.\She'd usually stop at nothing to fulfill a customer's request.\I've thought about rebelling,\but I don't even know how to.\Maybe I should be like Mom, and start flirting with boys.\Hey, kid.\If you've got nothing to do, come with me. response:	Kid? Are you talking to me?
context: She's acting so strangely today.\She'd usually stop at nothing to fulfill a customer's request.\I've thought about rebelling,\but I don't even know how to.\Maybe I should be like Mom, and start flirting with boys.\Hey, kid.\If you've got nothing to do, come with me.\Kid? Are you talking to me? response:	I don't see anyone else here.
context: She'd usually stop at nothing to fulfill a customer's request.\I've thought about rebelling,\but I don't even know how to.\Maybe I should be like Mom, and start flirting with boys.\Hey, kid.\If you've got nothing to do, come with me.\Kid? Are you talking to me?\I don't see anyone else here. response:	Don't you think it's rude to address someone that way?
context: I've thought about rebelling,\but I don't even know how to.\Maybe I should be like Mom, and start flirting with boys.\Hey, kid.\If you've got nothing to do, come with me.\Kid? Are you talking to me?\I don't see anyone else here.\Don't you think it's rude to address someone that way? response:	Just hop in.
context: but I don't even know how to.\Maybe I should be like Mom, and start flirting with boys.\Hey, kid.\If you've got nothing to do, come with me.\Kid? Are you talking to me?\I don't see anyone else here.\Don't you think it's rude to address someone that way?\Just hop in. response:	There's going to be a ton of stuff to carry.
context: Maybe I should be like Mom, and start flirting with boys.\Hey, kid.\If you've got nothing to do, come with me.\Kid? Are you talking to me?\I don't see anyone else here.\Don't you think it's rude to address someone that way?\Just hop in.\There's going to be a ton of stuff to carry. response:	But you've got big biceps,
context: Hey, kid.\If you've got nothing to do, come with me.\Kid? Are you talking to me?\I don't see anyone else here.\Don't you think it's rude to address someone that way?\Just hop in.\There's going to be a ton of stuff to carry.\But you've got big biceps, response:	and you look pretty strong, so you'll be perfect for the job.
context: If you've got nothing to do, come with me.\Kid? Are you talking to me?\I don't see anyone else here.\Don't you think it's rude to address someone that way?\Just hop in.\There's going to be a ton of stuff to carry.\But you've got big biceps,\and you look pretty strong, so you'll be perfect for the job. response:	I-I highly doubt you can see my biceps through these sleeves.
context: Kid? Are you talking to me?\I don't see anyone else here.\Don't you think it's rude to address someone that way?\Just hop in.\There's going to be a ton of stuff to carry.\But you've got big biceps,\and you look pretty strong, so you'll be perfect for the job.\I-I highly doubt you can see my biceps through these sleeves. response:	Once you're prepared to deal with the pain of loss...
context: I don't see anyone else here.\Don't you think it's rude to address someone that way?\Just hop in.\There's going to be a ton of stuff to carry.\But you've got big biceps,\and you look pretty strong, so you'll be perfect for the job.\I-I highly doubt you can see my biceps through these sleeves.\Once you're prepared to deal with the pain of loss... response:	I'm not too fond of this guy.
context: Don't you think it's rude to address someone that way?\Just hop in.\There's going to be a ton of stuff to carry.\But you've got big biceps,\and you look pretty strong, so you'll be perfect for the job.\I-I highly doubt you can see my biceps through these sleeves.\Once you're prepared to deal with the pain of loss...\I'm not too fond of this guy. response:	Say...
context: Just hop in.\There's going to be a ton of stuff to carry.\But you've got big biceps,\and you look pretty strong, so you'll be perfect for the job.\I-I highly doubt you can see my biceps through these sleeves.\Once you're prepared to deal with the pain of loss...\I'm not too fond of this guy.\Say... response:	Yes?
context: There's going to be a ton of stuff to carry.\But you've got big biceps,\and you look pretty strong, so you'll be perfect for the job.\I-I highly doubt you can see my biceps through these sleeves.\Once you're prepared to deal with the pain of loss...\I'm not too fond of this guy.\Say...\Yes? response:	You don't have any friends, do you?
context: But you've got big biceps,\and you look pretty strong, so you'll be perfect for the job.\I-I highly doubt you can see my biceps through these sleeves.\Once you're prepared to deal with the pain of loss...\I'm not too fond of this guy.\Say...\Yes?\You don't have any friends, do you? response:	What?!
context: and you look pretty strong, so you'll be perfect for the job.\I-I highly doubt you can see my biceps through these sleeves.\Once you're prepared to deal with the pain of loss...\I'm not too fond of this guy.\Say...\Yes?\You don't have any friends, do you?\What?! response:	How rude! I do so!
context: I-I highly doubt you can see my biceps through these sleeves.\Once you're prepared to deal with the pain of loss...\I'm not too fond of this guy.\Say...\Yes?\You don't have any friends, do you?\What?!\How rude! I do so! response:	I've always liked you, Ohana Matsumae!
context: Once you're prepared to deal with the pain of loss...\I'm not too fond of this guy.\Say...\Yes?\You don't have any friends, do you?\What?!\How rude! I do so!\I've always liked you, Ohana Matsumae! response:	Yeah, sure. Doesn't look that way.
context: I'm not too fond of this guy.\Say...\Yes?\You don't have any friends, do you?\What?!\How rude! I do so!\I've always liked you, Ohana Matsumae!\Yeah, sure. Doesn't look that way. response:	You don't seem very considerate, is all.
context: Say...\Yes?\You don't have any friends, do you?\What?!\How rude! I do so!\I've always liked you, Ohana Matsumae!\Yeah, sure. Doesn't look that way.\You don't seem very considerate, is all. response:	Right back at you.
context: Yes?\You don't have any friends, do you?\What?!\How rude! I do so!\I've always liked you, Ohana Matsumae!\Yeah, sure. Doesn't look that way.\You don't seem very considerate, is all.\Right back at you. response:	Well, you're pretty uncooperative.
context: You don't have any friends, do you?\What?!\How rude! I do so!\I've always liked you, Ohana Matsumae!\Yeah, sure. Doesn't look that way.\You don't seem very considerate, is all.\Right back at you.\Well, you're pretty uncooperative. response:	It's like you're blind to what's going on around you.
context: What?!\How rude! I do so!\I've always liked you, Ohana Matsumae!\Yeah, sure. Doesn't look that way.\You don't seem very considerate, is all.\Right back at you.\Well, you're pretty uncooperative.\It's like you're blind to what's going on around you. response:	I decided a long time ago not to rely on other people.
context: How rude! I do so!\I've always liked you, Ohana Matsumae!\Yeah, sure. Doesn't look that way.\You don't seem very considerate, is all.\Right back at you.\Well, you're pretty uncooperative.\It's like you're blind to what's going on around you.\I decided a long time ago not to rely on other people. response:	Oh, but you can rely on yourself?
context: I've always liked you, Ohana Matsumae!\Yeah, sure. Doesn't look that way.\You don't seem very considerate, is all.\Right back at you.\Well, you're pretty uncooperative.\It's like you're blind to what's going on around you.\I decided a long time ago not to rely on other people.\Oh, but you can rely on yourself? response:	Are you so amazing you can do everything by yourself?
context: Yeah, sure. Doesn't look that way.\You don't seem very considerate, is all.\Right back at you.\Well, you're pretty uncooperative.\It's like you're blind to what's going on around you.\I decided a long time ago not to rely on other people.\Oh, but you can rely on yourself?\Are you so amazing you can do everything by yourself? response:	Let me rephrase that. I seriously dislike this guy.
context: You don't seem very considerate, is all.\Right back at you.\Well, you're pretty uncooperative.\It's like you're blind to what's going on around you.\I decided a long time ago not to rely on other people.\Oh, but you can rely on yourself?\Are you so amazing you can do everything by yourself?\Let me rephrase that. I seriously dislike this guy. response:	What's the best word to hurt someone in situations like these?
context: Right back at you.\Well, you're pretty uncooperative.\It's like you're blind to what's going on around you.\I decided a long time ago not to rely on other people.\Oh, but you can rely on yourself?\Are you so amazing you can do everything by yourself?\Let me rephrase that. I seriously dislike this guy.\What's the best word to hurt someone in situations like these? response:	Die.
context: Well, you're pretty uncooperative.\It's like you're blind to what's going on around you.\I decided a long time ago not to rely on other people.\Oh, but you can rely on yourself?\Are you so amazing you can do everything by yourself?\Let me rephrase that. I seriously dislike this guy.\What's the best word to hurt someone in situations like these?\Die. response:	Huh?
context: It's like you're blind to what's going on around you.\I decided a long time ago not to rely on other people.\Oh, but you can rely on yourself?\Are you so amazing you can do everything by yourself?\Let me rephrase that. I seriously dislike this guy.\What's the best word to hurt someone in situations like these?\Die.\Huh? response:	J-Just kidding! You didn't hear that!
context: I decided a long time ago not to rely on other people.\Oh, but you can rely on yourself?\Are you so amazing you can do everything by yourself?\Let me rephrase that. I seriously dislike this guy.\What's the best word to hurt someone in situations like these?\Die.\Huh?\J-Just kidding! You didn't hear that! response:	I was joking!
context: Oh, but you can rely on yourself?\Are you so amazing you can do everything by yourself?\Let me rephrase that. I seriously dislike this guy.\What's the best word to hurt someone in situations like these?\Die.\Huh?\J-Just kidding! You didn't hear that!\I was joking! response:	What the heck is your problem?!
context: Are you so amazing you can do everything by yourself?\Let me rephrase that. I seriously dislike this guy.\What's the best word to hurt someone in situations like these?\Die.\Huh?\J-Just kidding! You didn't hear that!\I was joking!\What the heck is your problem?! response:	You trying to kill me?!
context: Let me rephrase that. I seriously dislike this guy.\What's the best word to hurt someone in situations like these?\Die.\Huh?\J-Just kidding! You didn't hear that!\I was joking!\What the heck is your problem?!\You trying to kill me?! response:	Dying is bad.
context: What's the best word to hurt someone in situations like these?\Die.\Huh?\J-Just kidding! You didn't hear that!\I was joking!\What the heck is your problem?!\You trying to kill me?!\Dying is bad. response:	Don't die! That'd be awful!
context: Die.\Huh?\J-Just kidding! You didn't hear that!\I was joking!\What the heck is your problem?!\You trying to kill me?!\Dying is bad.\Don't die! That'd be awful! response:	I have to go.
context: Huh?\J-Just kidding! You didn't hear that!\I was joking!\What the heck is your problem?!\You trying to kill me?!\Dying is bad.\Don't die! That'd be awful!\I have to go. response:	Please drive carefully, Tohru.
context: J-Just kidding! You didn't hear that!\I was joking!\What the heck is your problem?!\You trying to kill me?!\Dying is bad.\Don't die! That'd be awful!\I have to go.\Please drive carefully, Tohru. response:	Come home safe!
context: I was joking!\What the heck is your problem?!\You trying to kill me?!\Dying is bad.\Don't die! That'd be awful!\I have to go.\Please drive carefully, Tohru.\Come home safe! response:	H-Hey!
context: What the heck is your problem?!\You trying to kill me?!\Dying is bad.\Don't die! That'd be awful!\I have to go.\Please drive carefully, Tohru.\Come home safe!\H-Hey! response:	What am I gonna do about the luggage?!
context: You trying to kill me?!\Dying is bad.\Don't die! That'd be awful!\I have to go.\Please drive carefully, Tohru.\Come home safe!\H-Hey!\What am I gonna do about the luggage?! response:	You'll figure something out!
context: Dying is bad.\Don't die! That'd be awful!\I have to go.\Please drive carefully, Tohru.\Come home safe!\H-Hey!\What am I gonna do about the luggage?!\You'll figure something out! response:	What's wrong with me?
context: Don't die! That'd be awful!\I have to go.\Please drive carefully, Tohru.\Come home safe!\H-Hey!\What am I gonna do about the luggage?!\You'll figure something out!\What's wrong with me? response:	Why do I feel so mixed-up inside?
context: I have to go.\Please drive carefully, Tohru.\Come home safe!\H-Hey!\What am I gonna do about the luggage?!\You'll figure something out!\What's wrong with me?\Why do I feel so mixed-up inside? response:	I thought I just wanted to work.
context: Please drive carefully, Tohru.\Come home safe!\H-Hey!\What am I gonna do about the luggage?!\You'll figure something out!\What's wrong with me?\Why do I feel so mixed-up inside?\I thought I just wanted to work. response:	But is that really all?
context: Come home safe!\H-Hey!\What am I gonna do about the luggage?!\You'll figure something out!\What's wrong with me?\Why do I feel so mixed-up inside?\I thought I just wanted to work.\But is that really all? response:	I didn't actually come here to work...
context: H-Hey!\What am I gonna do about the luggage?!\You'll figure something out!\What's wrong with me?\Why do I feel so mixed-up inside?\I thought I just wanted to work.\But is that really all?\I didn't actually come here to work... response:	But now... I want to prove myself to them.
context: What am I gonna do about the luggage?!\You'll figure something out!\What's wrong with me?\Why do I feel so mixed-up inside?\I thought I just wanted to work.\But is that really all?\I didn't actually come here to work...\But now... I want to prove myself to them. response:	What is it that I really want to do?
