context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Um, excuse me!\What does this look like to you?\What does it look like?\Well, obviously, it's a big...\Yeah, obviously. That's what I thought.\I don't believe it! The plane turned into a damn robot!\The plane turned into a robot?!\How is that possible? response:	That's what I wanna know! Jeez...
context: What does this look like to you?\What does it look like?\Well, obviously, it's a big...\Yeah, obviously. That's what I thought.\I don't believe it! The plane turned into a damn robot!\The plane turned into a robot?!\How is that possible?\That's what I wanna know! Jeez... response:	What? But you're the pilot, aren't you?
context: What does it look like?\Well, obviously, it's a big...\Yeah, obviously. That's what I thought.\I don't believe it! The plane turned into a damn robot!\The plane turned into a robot?!\How is that possible?\That's what I wanna know! Jeez...\What? But you're the pilot, aren't you? response:	Just because I'm a pilot doesn't mean I'm a soldier, you know!
context: Well, obviously, it's a big...\Yeah, obviously. That's what I thought.\I don't believe it! The plane turned into a damn robot!\The plane turned into a robot?!\How is that possible?\That's what I wanna know! Jeez...\What? But you're the pilot, aren't you?\Just because I'm a pilot doesn't mean I'm a soldier, you know! response:	What?! Then why are you...
context: Yeah, obviously. That's what I thought.\I don't believe it! The plane turned into a damn robot!\The plane turned into a robot?!\How is that possible?\That's what I wanna know! Jeez...\What? But you're the pilot, aren't you?\Just because I'm a pilot doesn't mean I'm a soldier, you know!\What?! Then why are you... response:	How can I put this?
context: I don't believe it! The plane turned into a damn robot!\The plane turned into a robot?!\How is that possible?\That's what I wanna know! Jeez...\What? But you're the pilot, aren't you?\Just because I'm a pilot doesn't mean I'm a soldier, you know!\What?! Then why are you...\How can I put this? response:	He's a thief!
context: The plane turned into a robot?!\How is that possible?\That's what I wanna know! Jeez...\What? But you're the pilot, aren't you?\Just because I'm a pilot doesn't mean I'm a soldier, you know!\What?! Then why are you...\How can I put this?\He's a thief! response:	Yot-chan!
context: How is that possible?\That's what I wanna know! Jeez...\What? But you're the pilot, aren't you?\Just because I'm a pilot doesn't mean I'm a soldier, you know!\What?! Then why are you...\How can I put this?\He's a thief!\Yot-chan! response:	You little...! Anyway, it's gotten pretty banged up...
context: That's what I wanna know! Jeez...\What? But you're the pilot, aren't you?\Just because I'm a pilot doesn't mean I'm a soldier, you know!\What?! Then why are you...\How can I put this?\He's a thief!\Yot-chan!\You little...! Anyway, it's gotten pretty banged up... response:	But wasn't it expensive?
context: What? But you're the pilot, aren't you?\Just because I'm a pilot doesn't mean I'm a soldier, you know!\What?! Then why are you...\How can I put this?\He's a thief!\Yot-chan!\You little...! Anyway, it's gotten pretty banged up...\But wasn't it expensive? response:	Er...very.
context: Just because I'm a pilot doesn't mean I'm a soldier, you know!\What?! Then why are you...\How can I put this?\He's a thief!\Yot-chan!\You little...! Anyway, it's gotten pretty banged up...\But wasn't it expensive?\Er...very. response:	Hey, buddy! How about gettin' off the road?
context: What?! Then why are you...\How can I put this?\He's a thief!\Yot-chan!\You little...! Anyway, it's gotten pretty banged up...\But wasn't it expensive?\Er...very.\Hey, buddy! How about gettin' off the road? response:	I'm tryin' to evacuate to the shelter!
context: How can I put this?\He's a thief!\Yot-chan!\You little...! Anyway, it's gotten pretty banged up...\But wasn't it expensive?\Er...very.\Hey, buddy! How about gettin' off the road?\I'm tryin' to evacuate to the shelter! response:	Yes, sir! I'll get right to it!
context: He's a thief!\Yot-chan!\You little...! Anyway, it's gotten pretty banged up...\But wasn't it expensive?\Er...very.\Hey, buddy! How about gettin' off the road?\I'm tryin' to evacuate to the shelter!\Yes, sir! I'll get right to it! response:	Well,then...bye!
context: Yot-chan!\You little...! Anyway, it's gotten pretty banged up...\But wasn't it expensive?\Er...very.\Hey, buddy! How about gettin' off the road?\I'm tryin' to evacuate to the shelter!\Yes, sir! I'll get right to it!\Well,then...bye! response:	Take care, okay?
context: You little...! Anyway, it's gotten pretty banged up...\But wasn't it expensive?\Er...very.\Hey, buddy! How about gettin' off the road?\I'm tryin' to evacuate to the shelter!\Yes, sir! I'll get right to it!\Well,then...bye!\Take care, okay? response:	Sure.
context: But wasn't it expensive?\Er...very.\Hey, buddy! How about gettin' off the road?\I'm tryin' to evacuate to the shelter!\Yes, sir! I'll get right to it!\Well,then...bye!\Take care, okay?\Sure. response:	I sure hope I can get this thing to work...
context: Er...very.\Hey, buddy! How about gettin' off the road?\I'm tryin' to evacuate to the shelter!\Yes, sir! I'll get right to it!\Well,then...bye!\Take care, okay?\Sure.\I sure hope I can get this thing to work... response:	All right, here we go!
context: Hey, buddy! How about gettin' off the road?\I'm tryin' to evacuate to the shelter!\Yes, sir! I'll get right to it!\Well,then...bye!\Take care, okay?\Sure.\I sure hope I can get this thing to work...\All right, here we go! response:	Look out!
context: I'm tryin' to evacuate to the shelter!\Yes, sir! I'll get right to it!\Well,then...bye!\Take care, okay?\Sure.\I sure hope I can get this thing to work...\All right, here we go!\Look out! response:	Help!
context: Yes, sir! I'll get right to it!\Well,then...bye!\Take care, okay?\Sure.\I sure hope I can get this thing to work...\All right, here we go!\Look out!\Help! response:	Yot-chan, are you okay?
context: Well,then...bye!\Take care, okay?\Sure.\I sure hope I can get this thing to work...\All right, here we go!\Look out!\Help!\Yot-chan, are you okay? response:	Yeah.
context: Take care, okay?\Sure.\I sure hope I can get this thing to work...\All right, here we go!\Look out!\Help!\Yot-chan, are you okay?\Yeah. response:	Are you all right, miss?!
context: Sure.\I sure hope I can get this thing to work...\All right, here we go!\Look out!\Help!\Yot-chan, are you okay?\Yeah.\Are you all right, miss?! response:	I think so.
context: I sure hope I can get this thing to work...\All right, here we go!\Look out!\Help!\Yot-chan, are you okay?\Yeah.\Are you all right, miss?!\I think so. response:	That's a relief!
context: All right, here we go!\Look out!\Help!\Yot-chan, are you okay?\Yeah.\Are you all right, miss?!\I think so.\That's a relief! response:	Gravity control systems 1 through 48, are you showing green?
context: Look out!\Help!\Yot-chan, are you okay?\Yeah.\Are you all right, miss?!\I think so.\That's a relief!\Gravity control systems 1 through 48, are you showing green? response:	No. 4, green.
context: Help!\Yot-chan, are you okay?\Yeah.\Are you all right, miss?!\I think so.\That's a relief!\Gravity control systems 1 through 48, are you showing green?\No. 4, green. response:	Roger.
context: Yot-chan, are you okay?\Yeah.\Are you all right, miss?!\I think so.\That's a relief!\Gravity control systems 1 through 48, are you showing green?\No. 4, green.\Roger. response:	No. 16, preparations complete.
context: Yeah.\Are you all right, miss?!\I think so.\That's a relief!\Gravity control systems 1 through 48, are you showing green?\No. 4, green.\Roger.\No. 16, preparations complete. response:	Roger.
context: Are you all right, miss?!\I think so.\That's a relief!\Gravity control systems 1 through 48, are you showing green?\No. 4, green.\Roger.\No. 16, preparations complete.\Roger. response:	GH block 24, prepare for launch.
context: I think so.\That's a relief!\Gravity control systems 1 through 48, are you showing green?\No. 4, green.\Roger.\No. 16, preparations complete.\Roger.\GH block 24, prepare for launch. response:	No. 16, are you clear?
context: That's a relief!\Gravity control systems 1 through 48, are you showing green?\No. 4, green.\Roger.\No. 16, preparations complete.\Roger.\GH block 24, prepare for launch.\No. 16, are you clear? response:	AF 74 through 140, please complete preparations on the double!
context: Gravity control systems 1 through 48, are you showing green?\No. 4, green.\Roger.\No. 16, preparations complete.\Roger.\GH block 24, prepare for launch.\No. 16, are you clear?\AF 74 through 140, please complete preparations on the double! response:	No.34, are you clear?
context: No. 4, green.\Roger.\No. 16, preparations complete.\Roger.\GH block 24, prepare for launch.\No. 16, are you clear?\AF 74 through 140, please complete preparations on the double!\No.34, are you clear? response:	Roger. Block 25, prepare for launch ASAP!
context: Roger.\No. 16, preparations complete.\Roger.\GH block 24, prepare for launch.\No. 16, are you clear?\AF 74 through 140, please complete preparations on the double!\No.34, are you clear?\Roger. Block 25, prepare for launch ASAP! response:	Incoming transmission from UN Forces High Command.
context: No. 16, preparations complete.\Roger.\GH block 24, prepare for launch.\No. 16, are you clear?\AF 74 through 140, please complete preparations on the double!\No.34, are you clear?\Roger. Block 25, prepare for launch ASAP!\Incoming transmission from UN Forces High Command. response:	Space carriers ARMD-I and ARMD-II have completed fighter retrieval...
context: Roger.\GH block 24, prepare for launch.\No. 16, are you clear?\AF 74 through 140, please complete preparations on the double!\No.34, are you clear?\Roger. Block 25, prepare for launch ASAP!\Incoming transmission from UN Forces High Command.\Space carriers ARMD-I and ARMD-II have completed fighter retrieval... response:	Claudia, what's our reactor status?
context: GH block 24, prepare for launch.\No. 16, are you clear?\AF 74 through 140, please complete preparations on the double!\No.34, are you clear?\Roger. Block 25, prepare for launch ASAP!\Incoming transmission from UN Forces High Command.\Space carriers ARMD-I and ARMD-II have completed fighter retrieval...\Claudia, what's our reactor status? response:	We can launch at any time, sir.
context: No. 16, are you clear?\AF 74 through 140, please complete preparations on the double!\No.34, are you clear?\Roger. Block 25, prepare for launch ASAP!\Incoming transmission from UN Forces High Command.\Space carriers ARMD-I and ARMD-II have completed fighter retrieval...\Claudia, what's our reactor status?\We can launch at any time, sir. response:	Very well.
context: AF 74 through 140, please complete preparations on the double!\No.34, are you clear?\Roger. Block 25, prepare for launch ASAP!\Incoming transmission from UN Forces High Command.\Space carriers ARMD-I and ARMD-II have completed fighter retrieval...\Claudia, what's our reactor status?\We can launch at any time, sir.\Very well. response:	All hands, commence liftoff!
context: No.34, are you clear?\Roger. Block 25, prepare for launch ASAP!\Incoming transmission from UN Forces High Command.\Space carriers ARMD-I and ARMD-II have completed fighter retrieval...\Claudia, what's our reactor status?\We can launch at any time, sir.\Very well.\All hands, commence liftoff! response:	All hands, commence liftoff!
context: Roger. Block 25, prepare for launch ASAP!\Incoming transmission from UN Forces High Command.\Space carriers ARMD-I and ARMD-II have completed fighter retrieval...\Claudia, what's our reactor status?\We can launch at any time, sir.\Very well.\All hands, commence liftoff!\All hands, commence liftoff! response:	All hands, commence liftoff!
context: Incoming transmission from UN Forces High Command.\Space carriers ARMD-I and ARMD-II have completed fighter retrieval...\Claudia, what's our reactor status?\We can launch at any time, sir.\Very well.\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff! response:	All hands, commence liftoff!
context: Space carriers ARMD-I and ARMD-II have completed fighter retrieval...\Claudia, what's our reactor status?\We can launch at any time, sir.\Very well.\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff! response:	All hands, commence liftoff!
context: Claudia, what's our reactor status?\We can launch at any time, sir.\Very well.\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff! response:	Initiating transfer of main reactor output to gravity control systems.
context: We can launch at any time, sir.\Very well.\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\Initiating transfer of main reactor output to gravity control systems. response:	T-minus ten seconds to liftoff.
context: Very well.\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\Initiating transfer of main reactor output to gravity control systems.\T-minus ten seconds to liftoff. response:	Nine... Eight...
context: All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\Initiating transfer of main reactor output to gravity control systems.\T-minus ten seconds to liftoff.\Nine... Eight... response:	Seven... Six...
context: All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\Initiating transfer of main reactor output to gravity control systems.\T-minus ten seconds to liftoff.\Nine... Eight...\Seven... Six... response:	Five... Four...
context: All hands, commence liftoff!\All hands, commence liftoff!\All hands, commence liftoff!\Initiating transfer of main reactor output to gravity control systems.\T-minus ten seconds to liftoff.\Nine... Eight...\Seven... Six...\Five... Four... response:	Three... Two...
context: All hands, commence liftoff!\All hands, commence liftoff!\Initiating transfer of main reactor output to gravity control systems.\T-minus ten seconds to liftoff.\Nine... Eight...\Seven... Six...\Five... Four...\Three... Two... response:	One... Zero!
context: All hands, commence liftoff!\Initiating transfer of main reactor output to gravity control systems.\T-minus ten seconds to liftoff.\Nine... Eight...\Seven... Six...\Five... Four...\Three... Two...\One... Zero! response:	Liftoff!
context: Initiating transfer of main reactor output to gravity control systems.\T-minus ten seconds to liftoff.\Nine... Eight...\Seven... Six...\Five... Four...\Three... Two...\One... Zero!\Liftoff! response:	Good. So far so good...
context: T-minus ten seconds to liftoff.\Nine... Eight...\Seven... Six...\Five... Four...\Three... Two...\One... Zero!\Liftoff!\Good. So far so good... response:	What in the world is happening?!
context: Nine... Eight...\Seven... Six...\Five... Four...\Three... Two...\One... Zero!\Liftoff!\Good. So far so good...\What in the world is happening?! response:	I don't know, sir!
context: Seven... Six...\Five... Four...\Three... Two...\One... Zero!\Liftoff!\Good. So far so good...\What in the world is happening?!\I don't know, sir! response:	Captain! The bow!
context: Five... Four...\Three... Two...\One... Zero!\Liftoff!\Good. So far so good...\What in the world is happening?!\I don't know, sir!\Captain! The bow! response:	What is it?
context: Three... Two...\One... Zero!\Liftoff!\Good. So far so good...\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it? response:	What are those?!
context: One... Zero!\Liftoff!\Good. So far so good...\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?! response:	They appear to be the gravity control systems.
context: Liftoff!\Good. So far so good...\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems. response:	The gravity control systems?!
context: Good. So far so good...\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?! response:	That's impossible!
context: What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible! response:	Is everyone all right?
context: I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible!\Is everyone all right? response:	Yes, sir.
context: Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible!\Is everyone all right?\Yes, sir. response:	Kim, Shammy, get me a damage report!
context: What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible!\Is everyone all right?\Yes, sir.\Kim, Shammy, get me a damage report! response:	Roger.
context: What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible!\Is everyone all right?\Yes, sir.\Kim, Shammy, get me a damage report!\Roger. response:	What a terrible ship!
context: They appear to be the gravity control systems.\The gravity control systems?!\That's impossible!\Is everyone all right?\Yes, sir.\Kim, Shammy, get me a damage report!\Roger.\What a terrible ship! response:	That's what we get for trying to use salvaged parts, sir.
context: The gravity control systems?!\That's impossible!\Is everyone all right?\Yes, sir.\Kim, Shammy, get me a damage report!\Roger.\What a terrible ship!\That's what we get for trying to use salvaged parts, sir. response:	That's for sure.
context: That's impossible!\Is everyone all right?\Yes, sir.\Kim, Shammy, get me a damage report!\Roger.\What a terrible ship!\That's what we get for trying to use salvaged parts, sir.\That's for sure. response:	Okay!
context: Is everyone all right?\Yes, sir.\Kim, Shammy, get me a damage report!\Roger.\What a terrible ship!\That's what we get for trying to use salvaged parts, sir.\That's for sure.\Okay! response:	Stop, stop! Stop!
context: Yes, sir.\Kim, Shammy, get me a damage report!\Roger.\What a terrible ship!\That's what we get for trying to use salvaged parts, sir.\That's for sure.\Okay!\Stop, stop! Stop! response:	Skull Leader to Gunsight One.
context: Kim, Shammy, get me a damage report!\Roger.\What a terrible ship!\That's what we get for trying to use salvaged parts, sir.\That's for sure.\Okay!\Stop, stop! Stop!\Skull Leader to Gunsight One. response:	Skull Leader to Gunsight One.
context: Roger.\What a terrible ship!\That's what we get for trying to use salvaged parts, sir.\That's for sure.\Okay!\Stop, stop! Stop!\Skull Leader to Gunsight One.\Skull Leader to Gunsight One. response:	We've sent the enemy air forces back where they came from.
context: What a terrible ship!\That's what we get for trying to use salvaged parts, sir.\That's for sure.\Okay!\Stop, stop! Stop!\Skull Leader to Gunsight One.\Skull Leader to Gunsight One.\We've sent the enemy air forces back where they came from. response:	We are heading back to the ship.
context: That's what we get for trying to use salvaged parts, sir.\That's for sure.\Okay!\Stop, stop! Stop!\Skull Leader to Gunsight One.\Skull Leader to Gunsight One.\We've sent the enemy air forces back where they came from.\We are heading back to the ship. response:	Roger that, Major.
context: That's for sure.\Okay!\Stop, stop! Stop!\Skull Leader to Gunsight One.\Skull Leader to Gunsight One.\We've sent the enemy air forces back where they came from.\We are heading back to the ship.\Roger that, Major. response:	How many did you get?
context: Okay!\Stop, stop! Stop!\Skull Leader to Gunsight One.\Skull Leader to Gunsight One.\We've sent the enemy air forces back where they came from.\We are heading back to the ship.\Roger that, Major.\How many did you get? response:	Only ten.
context: Stop, stop! Stop!\Skull Leader to Gunsight One.\Skull Leader to Gunsight One.\We've sent the enemy air forces back where they came from.\We are heading back to the ship.\Roger that, Major.\How many did you get?\Only ten. response:	Adequate, I suppose.
context: Skull Leader to Gunsight One.\Skull Leader to Gunsight One.\We've sent the enemy air forces back where they came from.\We are heading back to the ship.\Roger that, Major.\How many did you get?\Only ten.\Adequate, I suppose. response:	Well, I haven't seen any action in two years!
context: Skull Leader to Gunsight One.\We've sent the enemy air forces back where they came from.\We are heading back to the ship.\Roger that, Major.\How many did you get?\Only ten.\Adequate, I suppose.\Well, I haven't seen any action in two years! response:	Anyway, do you know the location of the VT-102?
context: We've sent the enemy air forces back where they came from.\We are heading back to the ship.\Roger that, Major.\How many did you get?\Only ten.\Adequate, I suppose.\Well, I haven't seen any action in two years!\Anyway, do you know the location of the VT-102? response:	VT-102 made an emergency landing in the city a while ago.
context: We are heading back to the ship.\Roger that, Major.\How many did you get?\Only ten.\Adequate, I suppose.\Well, I haven't seen any action in two years!\Anyway, do you know the location of the VT-102?\VT-102 made an emergency landing in the city a while ago. response:	Really? That's good news!
context: Roger that, Major.\How many did you get?\Only ten.\Adequate, I suppose.\Well, I haven't seen any action in two years!\Anyway, do you know the location of the VT-102?\VT-102 made an emergency landing in the city a while ago.\Really? That's good news! response:	Is there something the matter with the VT-102?
context: How many did you get?\Only ten.\Adequate, I suppose.\Well, I haven't seen any action in two years!\Anyway, do you know the location of the VT-102?\VT-102 made an emergency landing in the city a while ago.\Really? That's good news!\Is there something the matter with the VT-102? response:	I'll explain later.
context: Only ten.\Adequate, I suppose.\Well, I haven't seen any action in two years!\Anyway, do you know the location of the VT-102?\VT-102 made an emergency landing in the city a while ago.\Really? That's good news!\Is there something the matter with the VT-102?\I'll explain later. response:	That's it, over and out!
context: Adequate, I suppose.\Well, I haven't seen any action in two years!\Anyway, do you know the location of the VT-102?\VT-102 made an emergency landing in the city a while ago.\Really? That's good news!\Is there something the matter with the VT-102?\I'll explain later.\That's it, over and out! response:	Skull Leader to all units.
context: Well, I haven't seen any action in two years!\Anyway, do you know the location of the VT-102?\VT-102 made an emergency landing in the city a while ago.\Really? That's good news!\Is there something the matter with the VT-102?\I'll explain later.\That's it, over and out!\Skull Leader to all units. response:	You guys head back to the Prometheus. I've gotta make a quick stop first.
context: Anyway, do you know the location of the VT-102?\VT-102 made an emergency landing in the city a while ago.\Really? That's good news!\Is there something the matter with the VT-102?\I'll explain later.\That's it, over and out!\Skull Leader to all units.\You guys head back to the Prometheus. I've gotta make a quick stop first. response:	Roger.
context: VT-102 made an emergency landing in the city a while ago.\Really? That's good news!\Is there something the matter with the VT-102?\I'll explain later.\That's it, over and out!\Skull Leader to all units.\You guys head back to the Prometheus. I've gotta make a quick stop first.\Roger. response:	Roger.
context: Really? That's good news!\Is there something the matter with the VT-102?\I'll explain later.\That's it, over and out!\Skull Leader to all units.\You guys head back to the Prometheus. I've gotta make a quick stop first.\Roger.\Roger. response:	Okay, now... Where'd that idiot get to?
context: Is there something the matter with the VT-102?\I'll explain later.\That's it, over and out!\Skull Leader to all units.\You guys head back to the Prometheus. I've gotta make a quick stop first.\Roger.\Roger.\Okay, now... Where'd that idiot get to? response:	Over there, huh?
context: I'll explain later.\That's it, over and out!\Skull Leader to all units.\You guys head back to the Prometheus. I've gotta make a quick stop first.\Roger.\Roger.\Okay, now... Where'd that idiot get to?\Over there, huh? response:	VT-102, come in.
context: That's it, over and out!\Skull Leader to all units.\You guys head back to the Prometheus. I've gotta make a quick stop first.\Roger.\Roger.\Okay, now... Where'd that idiot get to?\Over there, huh?\VT-102, come in. response:	102! Hikaru! Do you read me?
context: Skull Leader to all units.\You guys head back to the Prometheus. I've gotta make a quick stop first.\Roger.\Roger.\Okay, now... Where'd that idiot get to?\Over there, huh?\VT-102, come in.\102! Hikaru! Do you read me? response:	Sempai!
context: You guys head back to the Prometheus. I've gotta make a quick stop first.\Roger.\Roger.\Okay, now... Where'd that idiot get to?\Over there, huh?\VT-102, come in.\102! Hikaru! Do you read me?\Sempai! response:	You don't give up, do you?
context: Roger.\Roger.\Okay, now... Where'd that idiot get to?\Over there, huh?\VT-102, come in.\102! Hikaru! Do you read me?\Sempai!\You don't give up, do you? response:	Yeah. Sorry to disappoint you, but I'm still alive.
context: Roger.\Okay, now... Where'd that idiot get to?\Over there, huh?\VT-102, come in.\102! Hikaru! Do you read me?\Sempai!\You don't give up, do you?\Yeah. Sorry to disappoint you, but I'm still alive. response:	Wow, that's some change!
context: Okay, now... Where'd that idiot get to?\Over there, huh?\VT-102, come in.\102! Hikaru! Do you read me?\Sempai!\You don't give up, do you?\Yeah. Sorry to disappoint you, but I'm still alive.\Wow, that's some change! response:	It turned into a robot!
context: Over there, huh?\VT-102, come in.\102! Hikaru! Do you read me?\Sempai!\You don't give up, do you?\Yeah. Sorry to disappoint you, but I'm still alive.\Wow, that's some change!\It turned into a robot! response:	It sure did...
context: VT-102, come in.\102! Hikaru! Do you read me?\Sempai!\You don't give up, do you?\Yeah. Sorry to disappoint you, but I'm still alive.\Wow, that's some change!\It turned into a robot!\It sure did... response:	Well, Hikaru? How was your first time getting shot down?
context: 102! Hikaru! Do you read me?\Sempai!\You don't give up, do you?\Yeah. Sorry to disappoint you, but I'm still alive.\Wow, that's some change!\It turned into a robot!\It sure did...\Well, Hikaru? How was your first time getting shot down? response:	Not very good, obviously!
context: Sempai!\You don't give up, do you?\Yeah. Sorry to disappoint you, but I'm still alive.\Wow, that's some change!\It turned into a robot!\It sure did...\Well, Hikaru? How was your first time getting shot down?\Not very good, obviously! response:	And what's with these fighter planes turning into robots?
context: You don't give up, do you?\Yeah. Sorry to disappoint you, but I'm still alive.\Wow, that's some change!\It turned into a robot!\It sure did...\Well, Hikaru? How was your first time getting shot down?\Not very good, obviously!\And what's with these fighter planes turning into robots? response:	I can't really get into that right now.
context: Yeah. Sorry to disappoint you, but I'm still alive.\Wow, that's some change!\It turned into a robot!\It sure did...\Well, Hikaru? How was your first time getting shot down?\Not very good, obviously!\And what's with these fighter planes turning into robots?\I can't really get into that right now. response:	What, is it some military secret?
context: Wow, that's some change!\It turned into a robot!\It sure did...\Well, Hikaru? How was your first time getting shot down?\Not very good, obviously!\And what's with these fighter planes turning into robots?\I can't really get into that right now.\What, is it some military secret? response:	Exactly.
context: It turned into a robot!\It sure did...\Well, Hikaru? How was your first time getting shot down?\Not very good, obviously!\And what's with these fighter planes turning into robots?\I can't really get into that right now.\What, is it some military secret?\Exactly. response:	So why don't you join up?
context: It sure did...\Well, Hikaru? How was your first time getting shot down?\Not very good, obviously!\And what's with these fighter planes turning into robots?\I can't really get into that right now.\What, is it some military secret?\Exactly.\So why don't you join up? response:	You're dreaming! And would you please do something about this?!
context: Well, Hikaru? How was your first time getting shot down?\Not very good, obviously!\And what's with these fighter planes turning into robots?\I can't really get into that right now.\What, is it some military secret?\Exactly.\So why don't you join up?\You're dreaming! And would you please do something about this?! response:	Calm down. I'll have you fixed up in five minutes.
context: Not very good, obviously!\And what's with these fighter planes turning into robots?\I can't really get into that right now.\What, is it some military secret?\Exactly.\So why don't you join up?\You're dreaming! And would you please do something about this?!\Calm down. I'll have you fixed up in five minutes. response:	All right, that should do it.
context: And what's with these fighter planes turning into robots?\I can't really get into that right now.\What, is it some military secret?\Exactly.\So why don't you join up?\You're dreaming! And would you please do something about this?!\Calm down. I'll have you fixed up in five minutes.\All right, that should do it. response:	Put both feet on the pedals and press slowly.
context: I can't really get into that right now.\What, is it some military secret?\Exactly.\So why don't you join up?\You're dreaming! And would you please do something about this?!\Calm down. I'll have you fixed up in five minutes.\All right, that should do it.\Put both feet on the pedals and press slowly. response:	Okay. Like this?
context: What, is it some military secret?\Exactly.\So why don't you join up?\You're dreaming! And would you please do something about this?!\Calm down. I'll have you fixed up in five minutes.\All right, that should do it.\Put both feet on the pedals and press slowly.\Okay. Like this? response:	Good job.
context: Exactly.\So why don't you join up?\You're dreaming! And would you please do something about this?!\Calm down. I'll have you fixed up in five minutes.\All right, that should do it.\Put both feet on the pedals and press slowly.\Okay. Like this?\Good job. response:	Is it fixed?
context: So why don't you join up?\You're dreaming! And would you please do something about this?!\Calm down. I'll have you fixed up in five minutes.\All right, that should do it.\Put both feet on the pedals and press slowly.\Okay. Like this?\Good job.\Is it fixed? response:	Yes. Thank you for your help.
context: You're dreaming! And would you please do something about this?!\Calm down. I'll have you fixed up in five minutes.\All right, that should do it.\Put both feet on the pedals and press slowly.\Okay. Like this?\Good job.\Is it fixed?\Yes. Thank you for your help. response:	Minmay, let's go.
context: Calm down. I'll have you fixed up in five minutes.\All right, that should do it.\Put both feet on the pedals and press slowly.\Okay. Like this?\Good job.\Is it fixed?\Yes. Thank you for your help.\Minmay, let's go. response:	Okay! Well, see you!
context: All right, that should do it.\Put both feet on the pedals and press slowly.\Okay. Like this?\Good job.\Is it fixed?\Yes. Thank you for your help.\Minmay, let's go.\Okay! Well, see you! response:	Sure thing. Be careful!
context: Put both feet on the pedals and press slowly.\Okay. Like this?\Good job.\Is it fixed?\Yes. Thank you for your help.\Minmay, let's go.\Okay! Well, see you!\Sure thing. Be careful! response:	Auntie, wait!
context: Okay. Like this?\Good job.\Is it fixed?\Yes. Thank you for your help.\Minmay, let's go.\Okay! Well, see you!\Sure thing. Be careful!\Auntie, wait! response:	It looks like we're the last ones.
context: Good job.\Is it fixed?\Yes. Thank you for your help.\Minmay, let's go.\Okay! Well, see you!\Sure thing. Be careful!\Auntie, wait!\It looks like we're the last ones. response:	Right. We'd better hurry up and evacuate.
context: Is it fixed?\Yes. Thank you for your help.\Minmay, let's go.\Okay! Well, see you!\Sure thing. Be careful!\Auntie, wait!\It looks like we're the last ones.\Right. We'd better hurry up and evacuate. response:	Hey, Hikaru!
context: Yes. Thank you for your help.\Minmay, let's go.\Okay! Well, see you!\Sure thing. Be careful!\Auntie, wait!\It looks like we're the last ones.\Right. We'd better hurry up and evacuate.\Hey, Hikaru! response:	You take after me more and more every day! You dog!
context: Minmay, let's go.\Okay! Well, see you!\Sure thing. Be careful!\Auntie, wait!\It looks like we're the last ones.\Right. We'd better hurry up and evacuate.\Hey, Hikaru!\You take after me more and more every day! You dog! response:	It's not like that at all!
context: Okay! Well, see you!\Sure thing. Be careful!\Auntie, wait!\It looks like we're the last ones.\Right. We'd better hurry up and evacuate.\Hey, Hikaru!\You take after me more and more every day! You dog!\It's not like that at all! response:	Hey, take it easy!
context: Sure thing. Be careful!\Auntie, wait!\It looks like we're the last ones.\Right. We'd better hurry up and evacuate.\Hey, Hikaru!\You take after me more and more every day! You dog!\It's not like that at all!\Hey, take it easy! response:	Jeez...
context: Auntie, wait!\It looks like we're the last ones.\Right. We'd better hurry up and evacuate.\Hey, Hikaru!\You take after me more and more every day! You dog!\It's not like that at all!\Hey, take it easy!\Jeez... response:	Reguld platoons have made landfall.
context: It looks like we're the last ones.\Right. We'd better hurry up and evacuate.\Hey, Hikaru!\You take after me more and more every day! You dog!\It's not like that at all!\Hey, take it easy!\Jeez...\Reguld platoons have made landfall. response:	Understood.
