context: Maccachin stole some buns, and they got stuck in his throat. response:	Victor!
context: A three-jump combo!\What should I do with my feelings?\A triple axel.\Compared to practice, his skating is much more mellow.\He's like a completely different person.\Did something happen?\Love.\I can feel lost love in Michele's skating. response:	Sala, we've been inseparable since birth.
context: What should I do with my feelings?\A triple axel.\Compared to practice, his skating is much more mellow.\He's like a completely different person.\Did something happen?\Love.\I can feel lost love in Michele's skating.\Sala, we've been inseparable since birth. response:	My precious Sala...
context: A triple axel.\Compared to practice, his skating is much more mellow.\He's like a completely different person.\Did something happen?\Love.\I can feel lost love in Michele's skating.\Sala, we've been inseparable since birth.\My precious Sala... response:	My lady...
context: Compared to practice, his skating is much more mellow.\He's like a completely different person.\Did something happen?\Love.\I can feel lost love in Michele's skating.\Sala, we've been inseparable since birth.\My precious Sala...\My lady... response:	Why are boys mean to me?
context: He's like a completely different person.\Did something happen?\Love.\I can feel lost love in Michele's skating.\Sala, we've been inseparable since birth.\My precious Sala...\My lady...\Why are boys mean to me? response:	It's because you're cute.
context: Did something happen?\Love.\I can feel lost love in Michele's skating.\Sala, we've been inseparable since birth.\My precious Sala...\My lady...\Why are boys mean to me?\It's because you're cute. response:	I'll beat them all up!
context: Love.\I can feel lost love in Michele's skating.\Sala, we've been inseparable since birth.\My precious Sala...\My lady...\Why are boys mean to me?\It's because you're cute.\I'll beat them all up! response:	I got asked on a date again.
context: I can feel lost love in Michele's skating.\Sala, we've been inseparable since birth.\My precious Sala...\My lady...\Why are boys mean to me?\It's because you're cute.\I'll beat them all up!\I got asked on a date again. response:	I'll beat him up!
context: Sala, we've been inseparable since birth.\My precious Sala...\My lady...\Why are boys mean to me?\It's because you're cute.\I'll beat them all up!\I got asked on a date again.\I'll beat him up! response:	Don't get me wrong.
context: My precious Sala...\My lady...\Why are boys mean to me?\It's because you're cute.\I'll beat them all up!\I got asked on a date again.\I'll beat him up!\Don't get me wrong. response:	I'm just an idiot.
context: My lady...\Why are boys mean to me?\It's because you're cute.\I'll beat them all up!\I got asked on a date again.\I'll beat him up!\Don't get me wrong.\I'm just an idiot. response:	Sala, this is the last time that I skate for you.
context: Why are boys mean to me?\It's because you're cute.\I'll beat them all up!\I got asked on a date again.\I'll beat him up!\Don't get me wrong.\I'm just an idiot.\Sala, this is the last time that I skate for you. response:	My love ends here, too.
context: It's because you're cute.\I'll beat them all up!\I got asked on a date again.\I'll beat him up!\Don't get me wrong.\I'm just an idiot.\Sala, this is the last time that I skate for you.\My love ends here, too. response:	This is my real love.
context: I'll beat them all up!\I got asked on a date again.\I'll beat him up!\Don't get me wrong.\I'm just an idiot.\Sala, this is the last time that I skate for you.\My love ends here, too.\This is my real love. response:	Goodbye, Sala.
context: I got asked on a date again.\I'll beat him up!\Don't get me wrong.\I'm just an idiot.\Sala, this is the last time that I skate for you.\My love ends here, too.\This is my real love.\Goodbye, Sala. response:	A triple Lutz.
context: I'll beat him up!\Don't get me wrong.\I'm just an idiot.\Sala, this is the last time that I skate for you.\My love ends here, too.\This is my real love.\Goodbye, Sala.\A triple Lutz. response:	Wow! Flawless!
context: Don't get me wrong.\I'm just an idiot.\Sala, this is the last time that I skate for you.\My love ends here, too.\This is my real love.\Goodbye, Sala.\A triple Lutz.\Wow! Flawless! response:	Here come the scores for Michele Crispino of Italy.
context: I'm just an idiot.\Sala, this is the last time that I skate for you.\My love ends here, too.\This is my real love.\Goodbye, Sala.\A triple Lutz.\Wow! Flawless!\Here come the scores for Michele Crispino of Italy. response:	His score is 193.24!
context: Sala, this is the last time that I skate for you.\My love ends here, too.\This is my real love.\Goodbye, Sala.\A triple Lutz.\Wow! Flawless!\Here come the scores for Michele Crispino of Italy.\His score is 193.24! response:	RK: 1 Michele Crispino Total
context: My love ends here, too.\This is my real love.\Goodbye, Sala.\A triple Lutz.\Wow! Flawless!\Here come the scores for Michele Crispino of Italy.\His score is 193.24!\RK: 1 Michele Crispino Total response:	His total score is 282.89.
context: This is my real love.\Goodbye, Sala.\A triple Lutz.\Wow! Flawless!\Here come the scores for Michele Crispino of Italy.\His score is 193.24!\RK: 1 Michele Crispino Total\His total score is 282.89. response:	He's surpassed his personal best by almost twenty points!
context: Goodbye, Sala.\A triple Lutz.\Wow! Flawless!\Here come the scores for Michele Crispino of Italy.\His score is 193.24!\RK: 1 Michele Crispino Total\His total score is 282.89.\He's surpassed his personal best by almost twenty points! response:	Mickey!
context: A triple Lutz.\Wow! Flawless!\Here come the scores for Michele Crispino of Italy.\His score is 193.24!\RK: 1 Michele Crispino Total\His total score is 282.89.\He's surpassed his personal best by almost twenty points!\Mickey! response:	Sala!
context: Wow! Flawless!\Here come the scores for Michele Crispino of Italy.\His score is 193.24!\RK: 1 Michele Crispino Total\His total score is 282.89.\He's surpassed his personal best by almost twenty points!\Mickey!\Sala! response:	Congratulations!
context: Here come the scores for Michele Crispino of Italy.\His score is 193.24!\RK: 1 Michele Crispino Total\His total score is 282.89.\He's surpassed his personal best by almost twenty points!\Mickey!\Sala!\Congratulations! response:	That was the coolest program I've seen from you so far.
context: His score is 193.24!\RK: 1 Michele Crispino Total\His total score is 282.89.\He's surpassed his personal best by almost twenty points!\Mickey!\Sala!\Congratulations!\That was the coolest program I've seen from you so far. response:	You thought of me when you were skating, right?
context: RK: 1 Michele Crispino Total\His total score is 282.89.\He's surpassed his personal best by almost twenty points!\Mickey!\Sala!\Congratulations!\That was the coolest program I've seen from you so far.\You thought of me when you were skating, right? response:	Y-Yeah.
context: His total score is 282.89.\He's surpassed his personal best by almost twenty points!\Mickey!\Sala!\Congratulations!\That was the coolest program I've seen from you so far.\You thought of me when you were skating, right?\Y-Yeah. response:	I'm sorry for saying such mean things earlier.
context: He's surpassed his personal best by almost twenty points!\Mickey!\Sala!\Congratulations!\That was the coolest program I've seen from you so far.\You thought of me when you were skating, right?\Y-Yeah.\I'm sorry for saying such mean things earlier. response:	But I'm glad I did!
context: Mickey!\Sala!\Congratulations!\That was the coolest program I've seen from you so far.\You thought of me when you were skating, right?\Y-Yeah.\I'm sorry for saying such mean things earlier.\But I'm glad I did! response:	We're better apart, after all!
context: Sala!\Congratulations!\That was the coolest program I've seen from you so far.\You thought of me when you were skating, right?\Y-Yeah.\I'm sorry for saying such mean things earlier.\But I'm glad I did!\We're better apart, after all! response:	Huh?
context: Congratulations!\That was the coolest program I've seen from you so far.\You thought of me when you were skating, right?\Y-Yeah.\I'm sorry for saying such mean things earlier.\But I'm glad I did!\We're better apart, after all!\Huh? response:	Oh, Seung Gil's starting.
context: That was the coolest program I've seen from you so far.\You thought of me when you were skating, right?\Y-Yeah.\I'm sorry for saying such mean things earlier.\But I'm glad I did!\We're better apart, after all!\Huh?\Oh, Seung Gil's starting. response:	Later!
context: You thought of me when you were skating, right?\Y-Yeah.\I'm sorry for saying such mean things earlier.\But I'm glad I did!\We're better apart, after all!\Huh?\Oh, Seung Gil's starting.\Later! response:	Hey, Yakov.
context: Y-Yeah.\I'm sorry for saying such mean things earlier.\But I'm glad I did!\We're better apart, after all!\Huh?\Oh, Seung Gil's starting.\Later!\Hey, Yakov. response:	What?
context: I'm sorry for saying such mean things earlier.\But I'm glad I did!\We're better apart, after all!\Huh?\Oh, Seung Gil's starting.\Later!\Hey, Yakov.\What? response:	I'm changing the jump composition.
context: But I'm glad I did!\We're better apart, after all!\Huh?\Oh, Seung Gil's starting.\Later!\Hey, Yakov.\What?\I'm changing the jump composition. response:	I'll reduce the number of jumps in the first half from four to two.
context: We're better apart, after all!\Huh?\Oh, Seung Gil's starting.\Later!\Hey, Yakov.\What?\I'm changing the jump composition.\I'll reduce the number of jumps in the first half from four to two. response:	So you'll have six in the second half?
context: Huh?\Oh, Seung Gil's starting.\Later!\Hey, Yakov.\What?\I'm changing the jump composition.\I'll reduce the number of jumps in the first half from four to two.\So you'll have six in the second half? response:	That's right.
context: Oh, Seung Gil's starting.\Later!\Hey, Yakov.\What?\I'm changing the jump composition.\I'll reduce the number of jumps in the first half from four to two.\So you'll have six in the second half?\That's right. response:	Do you have a death wish?
context: Later!\Hey, Yakov.\What?\I'm changing the jump composition.\I'll reduce the number of jumps in the first half from four to two.\So you'll have six in the second half?\That's right.\Do you have a death wish? response:	I can't win against JJ or Yuri otherwise.
context: Hey, Yakov.\What?\I'm changing the jump composition.\I'll reduce the number of jumps in the first half from four to two.\So you'll have six in the second half?\That's right.\Do you have a death wish?\I can't win against JJ or Yuri otherwise. response:	RK: 3 Seung Gil Lee Total
context: What?\I'm changing the jump composition.\I'll reduce the number of jumps in the first half from four to two.\So you'll have six in the second half?\That's right.\Do you have a death wish?\I can't win against JJ or Yuri otherwise.\RK: 3 Seung Gil Lee Total response:	Although Seung Gil Lee recovered after a fall on his early quadruple loop,
context: I'm changing the jump composition.\I'll reduce the number of jumps in the first half from four to two.\So you'll have six in the second half?\That's right.\Do you have a death wish?\I can't win against JJ or Yuri otherwise.\RK: 3 Seung Gil Lee Total\Although Seung Gil Lee recovered after a fall on his early quadruple loop, response:	he suffered a huge loss in the standings
context: I'll reduce the number of jumps in the first half from four to two.\So you'll have six in the second half?\That's right.\Do you have a death wish?\I can't win against JJ or Yuri otherwise.\RK: 3 Seung Gil Lee Total\Although Seung Gil Lee recovered after a fall on his early quadruple loop,\he suffered a huge loss in the standings response:	and lost hope of advancing to the Grand Prix Final.
context: So you'll have six in the second half?\That's right.\Do you have a death wish?\I can't win against JJ or Yuri otherwise.\RK: 3 Seung Gil Lee Total\Although Seung Gil Lee recovered after a fall on his early quadruple loop,\he suffered a huge loss in the standings\and lost hope of advancing to the Grand Prix Final. response:	But we look forward to seeing him in the Four Continents Championship.
context: That's right.\Do you have a death wish?\I can't win against JJ or Yuri otherwise.\RK: 3 Seung Gil Lee Total\Although Seung Gil Lee recovered after a fall on his early quadruple loop,\he suffered a huge loss in the standings\and lost hope of advancing to the Grand Prix Final.\But we look forward to seeing him in the Four Continents Championship. response:	Here on his home turf, we have Yuri Plisetsky, age 15,
context: Do you have a death wish?\I can't win against JJ or Yuri otherwise.\RK: 3 Seung Gil Lee Total\Although Seung Gil Lee recovered after a fall on his early quadruple loop,\he suffered a huge loss in the standings\and lost hope of advancing to the Grand Prix Final.\But we look forward to seeing him in the Four Continents Championship.\Here on his home turf, we have Yuri Plisetsky, age 15, response:	Yuri! Yuri! Yuri!
context: I can't win against JJ or Yuri otherwise.\RK: 3 Seung Gil Lee Total\Although Seung Gil Lee recovered after a fall on his early quadruple loop,\he suffered a huge loss in the standings\and lost hope of advancing to the Grand Prix Final.\But we look forward to seeing him in the Four Continents Championship.\Here on his home turf, we have Yuri Plisetsky, age 15,\Yuri! Yuri! Yuri! response:	in third place after the short program.
context: RK: 3 Seung Gil Lee Total\Although Seung Gil Lee recovered after a fall on his early quadruple loop,\he suffered a huge loss in the standings\and lost hope of advancing to the Grand Prix Final.\But we look forward to seeing him in the Four Continents Championship.\Here on his home turf, we have Yuri Plisetsky, age 15,\Yuri! Yuri! Yuri!\in third place after the short program. response:	Just listen to those cheers!
context: Although Seung Gil Lee recovered after a fall on his early quadruple loop,\he suffered a huge loss in the standings\and lost hope of advancing to the Grand Prix Final.\But we look forward to seeing him in the Four Continents Championship.\Here on his home turf, we have Yuri Plisetsky, age 15,\Yuri! Yuri! Yuri!\in third place after the short program.\Just listen to those cheers! response:	I'll win the first gold of my senior debut here!
context: he suffered a huge loss in the standings\and lost hope of advancing to the Grand Prix Final.\But we look forward to seeing him in the Four Continents Championship.\Here on his home turf, we have Yuri Plisetsky, age 15,\Yuri! Yuri! Yuri!\in third place after the short program.\Just listen to those cheers!\I'll win the first gold of my senior debut here! response:	He is skating to Allegro Appassionato in B Minor.
context: and lost hope of advancing to the Grand Prix Final.\But we look forward to seeing him in the Four Continents Championship.\Here on his home turf, we have Yuri Plisetsky, age 15,\Yuri! Yuri! Yuri!\in third place after the short program.\Just listen to those cheers!\I'll win the first gold of my senior debut here!\He is skating to Allegro Appassionato in B Minor. response:	The program was choreographed by Lilia Baranovskaya,
context: But we look forward to seeing him in the Four Continents Championship.\Here on his home turf, we have Yuri Plisetsky, age 15,\Yuri! Yuri! Yuri!\in third place after the short program.\Just listen to those cheers!\I'll win the first gold of my senior debut here!\He is skating to Allegro Appassionato in B Minor.\The program was choreographed by Lilia Baranovskaya, response:	former principal of the Bolshoi Ballet.
context: Here on his home turf, we have Yuri Plisetsky, age 15,\Yuri! Yuri! Yuri!\in third place after the short program.\Just listen to those cheers!\I'll win the first gold of my senior debut here!\He is skating to Allegro Appassionato in B Minor.\The program was choreographed by Lilia Baranovskaya,\former principal of the Bolshoi Ballet. response:	For Yuri Plisetsky's senior debut,
context: Yuri! Yuri! Yuri!\in third place after the short program.\Just listen to those cheers!\I'll win the first gold of my senior debut here!\He is skating to Allegro Appassionato in B Minor.\The program was choreographed by Lilia Baranovskaya,\former principal of the Bolshoi Ballet.\For Yuri Plisetsky's senior debut, response:	they've chosen a piece well-known for its difficulty and heart-pounding intensity.
context: in third place after the short program.\Just listen to those cheers!\I'll win the first gold of my senior debut here!\He is skating to Allegro Appassionato in B Minor.\The program was choreographed by Lilia Baranovskaya,\former principal of the Bolshoi Ballet.\For Yuri Plisetsky's senior debut,\they've chosen a piece well-known for its difficulty and heart-pounding intensity. response:	He's been allowed to attempt quads since his senior debut.
context: Just listen to those cheers!\I'll win the first gold of my senior debut here!\He is skating to Allegro Appassionato in B Minor.\The program was choreographed by Lilia Baranovskaya,\former principal of the Bolshoi Ballet.\For Yuri Plisetsky's senior debut,\they've chosen a piece well-known for its difficulty and heart-pounding intensity.\He's been allowed to attempt quads since his senior debut. response:	Here's the first of two in this program.
context: I'll win the first gold of my senior debut here!\He is skating to Allegro Appassionato in B Minor.\The program was choreographed by Lilia Baranovskaya,\former principal of the Bolshoi Ballet.\For Yuri Plisetsky's senior debut,\they've chosen a piece well-known for its difficulty and heart-pounding intensity.\He's been allowed to attempt quads since his senior debut.\Here's the first of two in this program. response:	As in his short program, he landed that with confidence!
context: He is skating to Allegro Appassionato in B Minor.\The program was choreographed by Lilia Baranovskaya,\former principal of the Bolshoi Ballet.\For Yuri Plisetsky's senior debut,\they've chosen a piece well-known for its difficulty and heart-pounding intensity.\He's been allowed to attempt quads since his senior debut.\Here's the first of two in this program.\As in his short program, he landed that with confidence! response:	A triple axel from a spiral.
context: The program was choreographed by Lilia Baranovskaya,\former principal of the Bolshoi Ballet.\For Yuri Plisetsky's senior debut,\they've chosen a piece well-known for its difficulty and heart-pounding intensity.\He's been allowed to attempt quads since his senior debut.\Here's the first of two in this program.\As in his short program, he landed that with confidence!\A triple axel from a spiral. response:	That was really high. Doesn't he seem too psyched up?
context: former principal of the Bolshoi Ballet.\For Yuri Plisetsky's senior debut,\they've chosen a piece well-known for its difficulty and heart-pounding intensity.\He's been allowed to attempt quads since his senior debut.\Here's the first of two in this program.\As in his short program, he landed that with confidence!\A triple axel from a spiral.\That was really high. Doesn't he seem too psyched up? response:	That's right.
context: For Yuri Plisetsky's senior debut,\they've chosen a piece well-known for its difficulty and heart-pounding intensity.\He's been allowed to attempt quads since his senior debut.\Here's the first of two in this program.\As in his short program, he landed that with confidence!\A triple axel from a spiral.\That was really high. Doesn't he seem too psyched up?\That's right. response:	Dance with beauty.
context: they've chosen a piece well-known for its difficulty and heart-pounding intensity.\He's been allowed to attempt quads since his senior debut.\Here's the first of two in this program.\As in his short program, he landed that with confidence!\A triple axel from a spiral.\That was really high. Doesn't he seem too psyched up?\That's right.\Dance with beauty. response:	Beauty is a crushing force of righteousness!
context: He's been allowed to attempt quads since his senior debut.\Here's the first of two in this program.\As in his short program, he landed that with confidence!\A triple axel from a spiral.\That was really high. Doesn't he seem too psyched up?\That's right.\Dance with beauty.\Beauty is a crushing force of righteousness! response:	Strength means nothing without beauty.
context: Here's the first of two in this program.\As in his short program, he landed that with confidence!\A triple axel from a spiral.\That was really high. Doesn't he seem too psyched up?\That's right.\Dance with beauty.\Beauty is a crushing force of righteousness!\Strength means nothing without beauty. response:	A hellish step sequence without even time for a breath.
context: As in his short program, he landed that with confidence!\A triple axel from a spiral.\That was really high. Doesn't he seem too psyched up?\That's right.\Dance with beauty.\Beauty is a crushing force of righteousness!\Strength means nothing without beauty.\A hellish step sequence without even time for a breath. response:	How is he so calm?
context: A triple axel from a spiral.\That was really high. Doesn't he seem too psyched up?\That's right.\Dance with beauty.\Beauty is a crushing force of righteousness!\Strength means nothing without beauty.\A hellish step sequence without even time for a breath.\How is he so calm? response:	This is right around when he starts to tire.
context: That was really high. Doesn't he seem too psyched up?\That's right.\Dance with beauty.\Beauty is a crushing force of righteousness!\Strength means nothing without beauty.\A hellish step sequence without even time for a breath.\How is he so calm?\This is right around when he starts to tire. response:	Hold out in the second half.
context: That's right.\Dance with beauty.\Beauty is a crushing force of righteousness!\Strength means nothing without beauty.\A hellish step sequence without even time for a breath.\How is he so calm?\This is right around when he starts to tire.\Hold out in the second half. response:	D-Damn, this is tough...
context: Dance with beauty.\Beauty is a crushing force of righteousness!\Strength means nothing without beauty.\A hellish step sequence without even time for a breath.\How is he so calm?\This is right around when he starts to tire.\Hold out in the second half.\D-Damn, this is tough... response:	He's putting six jumps in the second half?
context: Beauty is a crushing force of righteousness!\Strength means nothing without beauty.\A hellish step sequence without even time for a breath.\How is he so calm?\This is right around when he starts to tire.\Hold out in the second half.\D-Damn, this is tough...\He's putting six jumps in the second half? response:	Here we go with the second-half jumps.
context: Strength means nothing without beauty.\A hellish step sequence without even time for a breath.\How is he so calm?\This is right around when he starts to tire.\Hold out in the second half.\D-Damn, this is tough...\He's putting six jumps in the second half?\Here we go with the second-half jumps. response:	A triple Lutz.
context: A hellish step sequence without even time for a breath.\How is he so calm?\This is right around when he starts to tire.\Hold out in the second half.\D-Damn, this is tough...\He's putting six jumps in the second half?\Here we go with the second-half jumps.\A triple Lutz. response:	Pork cutlet bowl has three quads,
context: How is he so calm?\This is right around when he starts to tire.\Hold out in the second half.\D-Damn, this is tough...\He's putting six jumps in the second half?\Here we go with the second-half jumps.\A triple Lutz.\Pork cutlet bowl has three quads, response:	and JJ has four.
context: This is right around when he starts to tire.\Hold out in the second half.\D-Damn, this is tough...\He's putting six jumps in the second half?\Here we go with the second-half jumps.\A triple Lutz.\Pork cutlet bowl has three quads,\and JJ has four. response:	A triple flip.
context: Hold out in the second half.\D-Damn, this is tough...\He's putting six jumps in the second half?\Here we go with the second-half jumps.\A triple Lutz.\Pork cutlet bowl has three quads,\and JJ has four.\A triple flip. response:	To beat them, I can't make any mistakes!
context: D-Damn, this is tough...\He's putting six jumps in the second half?\Here we go with the second-half jumps.\A triple Lutz.\Pork cutlet bowl has three quads,\and JJ has four.\A triple flip.\To beat them, I can't make any mistakes! response:	A quadruple toe loop.
context: He's putting six jumps in the second half?\Here we go with the second-half jumps.\A triple Lutz.\Pork cutlet bowl has three quads,\and JJ has four.\A triple flip.\To beat them, I can't make any mistakes!\A quadruple toe loop. response:	Here's a choreographic sequence.
context: Here we go with the second-half jumps.\A triple Lutz.\Pork cutlet bowl has three quads,\and JJ has four.\A triple flip.\To beat them, I can't make any mistakes!\A quadruple toe loop.\Here's a choreographic sequence. response:	I don't want to lose like that again!
context: A triple Lutz.\Pork cutlet bowl has three quads,\and JJ has four.\A triple flip.\To beat them, I can't make any mistakes!\A quadruple toe loop.\Here's a choreographic sequence.\I don't want to lose like that again! response:	With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,
context: Pork cutlet bowl has three quads,\and JJ has four.\A triple flip.\To beat them, I can't make any mistakes!\A quadruple toe loop.\Here's a choreographic sequence.\I don't want to lose like that again!\With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15, response:	is now in first place!
context: and JJ has four.\A triple flip.\To beat them, I can't make any mistakes!\A quadruple toe loop.\Here's a choreographic sequence.\I don't want to lose like that again!\With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,\is now in first place! response:	Huh?
context: A triple flip.\To beat them, I can't make any mistakes!\A quadruple toe loop.\Here's a choreographic sequence.\I don't want to lose like that again!\With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,\is now in first place!\Huh? response:	Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.
context: To beat them, I can't make any mistakes!\A quadruple toe loop.\Here's a choreographic sequence.\I don't want to lose like that again!\With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,\is now in first place!\Huh?\Let's climb the podium together again at the Rostelecom Cup, Yuri-chan. response:	That shithead!
context: A quadruple toe loop.\Here's a choreographic sequence.\I don't want to lose like that again!\With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,\is now in first place!\Huh?\Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.\That shithead! response:	Quadruple Salchow, triple toe loop.
context: Here's a choreographic sequence.\I don't want to lose like that again!\With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,\is now in first place!\Huh?\Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.\That shithead!\Quadruple Salchow, triple toe loop. response:	A beautiful jump with great height!
context: I don't want to lose like that again!\With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,\is now in first place!\Huh?\Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.\That shithead!\Quadruple Salchow, triple toe loop.\A beautiful jump with great height! response:	He's showing tremendous spirit in his program's second half.
context: With all eyes on him during the free skate, Yuri Plisetsky of Russia, age 15,\is now in first place!\Huh?\Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.\That shithead!\Quadruple Salchow, triple toe loop.\A beautiful jump with great height!\He's showing tremendous spirit in his program's second half. response:	A triple loop, double toe loop.
context: is now in first place!\Huh?\Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.\That shithead!\Quadruple Salchow, triple toe loop.\A beautiful jump with great height!\He's showing tremendous spirit in his program's second half.\A triple loop, double toe loop. response:	Here's the last jump combination.
context: Huh?\Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.\That shithead!\Quadruple Salchow, triple toe loop.\A beautiful jump with great height!\He's showing tremendous spirit in his program's second half.\A triple loop, double toe loop.\Here's the last jump combination. response:	Is this really Yurio?
context: Let's climb the podium together again at the Rostelecom Cup, Yuri-chan.\That shithead!\Quadruple Salchow, triple toe loop.\A beautiful jump with great height!\He's showing tremendous spirit in his program's second half.\A triple loop, double toe loop.\Here's the last jump combination.\Is this really Yurio? response:	A triple axel, single loop, and a triple Salchow.
context: That shithead!\Quadruple Salchow, triple toe loop.\A beautiful jump with great height!\He's showing tremendous spirit in his program's second half.\A triple loop, double toe loop.\Here's the last jump combination.\Is this really Yurio?\A triple axel, single loop, and a triple Salchow. response:	He landed all his jumps!
context: Quadruple Salchow, triple toe loop.\A beautiful jump with great height!\He's showing tremendous spirit in his program's second half.\A triple loop, double toe loop.\Here's the last jump combination.\Is this really Yurio?\A triple axel, single loop, and a triple Salchow.\He landed all his jumps! response:	At the Rostelecom Cup of the Grand Prix Series, his senior debut,
context: A beautiful jump with great height!\He's showing tremendous spirit in his program's second half.\A triple loop, double toe loop.\Here's the last jump combination.\Is this really Yurio?\A triple axel, single loop, and a triple Salchow.\He landed all his jumps!\At the Rostelecom Cup of the Grand Prix Series, his senior debut, response:	he's brushed off the pressure and responded to his local fans,
context: He's showing tremendous spirit in his program's second half.\A triple loop, double toe loop.\Here's the last jump combination.\Is this really Yurio?\A triple axel, single loop, and a triple Salchow.\He landed all his jumps!\At the Rostelecom Cup of the Grand Prix Series, his senior debut,\he's brushed off the pressure and responded to his local fans, response:	delivering a sublime free skate program!
context: A triple loop, double toe loop.\Here's the last jump combination.\Is this really Yurio?\A triple axel, single loop, and a triple Salchow.\He landed all his jumps!\At the Rostelecom Cup of the Grand Prix Series, his senior debut,\he's brushed off the pressure and responded to his local fans,\delivering a sublime free skate program! response:	A performance beyond his limits.
context: Here's the last jump combination.\Is this really Yurio?\A triple axel, single loop, and a triple Salchow.\He landed all his jumps!\At the Rostelecom Cup of the Grand Prix Series, his senior debut,\he's brushed off the pressure and responded to his local fans,\delivering a sublime free skate program!\A performance beyond his limits. response:	That must've been what it was.
context: Is this really Yurio?\A triple axel, single loop, and a triple Salchow.\He landed all his jumps!\At the Rostelecom Cup of the Grand Prix Series, his senior debut,\he's brushed off the pressure and responded to his local fans,\delivering a sublime free skate program!\A performance beyond his limits.\That must've been what it was. response:	Yuri Plisetsky from Russia.
context: A triple axel, single loop, and a triple Salchow.\He landed all his jumps!\At the Rostelecom Cup of the Grand Prix Series, his senior debut,\he's brushed off the pressure and responded to his local fans,\delivering a sublime free skate program!\A performance beyond his limits.\That must've been what it was.\Yuri Plisetsky from Russia. response:	RK: 1 Yuri Plisetsky Total
context: He landed all his jumps!\At the Rostelecom Cup of the Grand Prix Series, his senior debut,\he's brushed off the pressure and responded to his local fans,\delivering a sublime free skate program!\A performance beyond his limits.\That must've been what it was.\Yuri Plisetsky from Russia.\RK: 1 Yuri Plisetsky Total response:	His free skate score is 199.87, a personal best!
context: At the Rostelecom Cup of the Grand Prix Series, his senior debut,\he's brushed off the pressure and responded to his local fans,\delivering a sublime free skate program!\A performance beyond his limits.\That must've been what it was.\Yuri Plisetsky from Russia.\RK: 1 Yuri Plisetsky Total\His free skate score is 199.87, a personal best! response:	His total score is 297.96.
context: he's brushed off the pressure and responded to his local fans,\delivering a sublime free skate program!\A performance beyond his limits.\That must've been what it was.\Yuri Plisetsky from Russia.\RK: 1 Yuri Plisetsky Total\His free skate score is 199.87, a personal best!\His total score is 297.96. response:	He's currently in first place.
context: delivering a sublime free skate program!\A performance beyond his limits.\That must've been what it was.\Yuri Plisetsky from Russia.\RK: 1 Yuri Plisetsky Total\His free skate score is 199.87, a personal best!\His total score is 297.96.\He's currently in first place. response:	He's won a ticket to the Grand Prix Final!
context: A performance beyond his limits.\That must've been what it was.\Yuri Plisetsky from Russia.\RK: 1 Yuri Plisetsky Total\His free skate score is 199.87, a personal best!\His total score is 297.96.\He's currently in first place.\He's won a ticket to the Grand Prix Final! response:	How'd you like my free skate, pork cutlet bowl?!
context: That must've been what it was.\Yuri Plisetsky from Russia.\RK: 1 Yuri Plisetsky Total\His free skate score is 199.87, a personal best!\His total score is 297.96.\He's currently in first place.\He's won a ticket to the Grand Prix Final!\How'd you like my free skate, pork cutlet bowl?! response:	Katsuki Yuri from Japan is in second place after the short program.
context: Yuri Plisetsky from Russia.\RK: 1 Yuri Plisetsky Total\His free skate score is 199.87, a personal best!\His total score is 297.96.\He's currently in first place.\He's won a ticket to the Grand Prix Final!\How'd you like my free skate, pork cutlet bowl?!\Katsuki Yuri from Japan is in second place after the short program. response:	He is skating to Yuri on Ice.
context: RK: 1 Yuri Plisetsky Total\His free skate score is 199.87, a personal best!\His total score is 297.96.\He's currently in first place.\He's won a ticket to the Grand Prix Final!\How'd you like my free skate, pork cutlet bowl?!\Katsuki Yuri from Japan is in second place after the short program.\He is skating to Yuri on Ice. response:	I don't want them to think everything Victor's taught me
context: His free skate score is 199.87, a personal best!\His total score is 297.96.\He's currently in first place.\He's won a ticket to the Grand Prix Final!\How'd you like my free skate, pork cutlet bowl?!\Katsuki Yuri from Japan is in second place after the short program.\He is skating to Yuri on Ice.\I don't want them to think everything Victor's taught me response:	has been a waste.
context: His total score is 297.96.\He's currently in first place.\He's won a ticket to the Grand Prix Final!\How'd you like my free skate, pork cutlet bowl?!\Katsuki Yuri from Japan is in second place after the short program.\He is skating to Yuri on Ice.\I don't want them to think everything Victor's taught me\has been a waste. response:	I have to prove that by winning.
context: He's currently in first place.\He's won a ticket to the Grand Prix Final!\How'd you like my free skate, pork cutlet bowl?!\Katsuki Yuri from Japan is in second place after the short program.\He is skating to Yuri on Ice.\I don't want them to think everything Victor's taught me\has been a waste.\I have to prove that by winning. response:	If I fail here, everything is over.
