context: The Black Lizard... response:	The Black Lizard...
context: Why?\Ask this man.\We have no need for private investigators.\In fact, all of my subordinates are far superior to any private detective.\Oh?\What's your name?\What?\I am Sergeant Sugimura. response:	The victim, Ms. Yamagiwa, was my senior colleague!
context: Ask this man.\We have no need for private investigators.\In fact, all of my subordinates are far superior to any private detective.\Oh?\What's your name?\What?\I am Sergeant Sugimura.\The victim, Ms. Yamagiwa, was my senior colleague! response:	All right, Sugimoto-kun.
context: We have no need for private investigators.\In fact, all of my subordinates are far superior to any private detective.\Oh?\What's your name?\What?\I am Sergeant Sugimura.\The victim, Ms. Yamagiwa, was my senior colleague!\All right, Sugimoto-kun. response:	Solve this case in sixty seconds, starting now.
context: In fact, all of my subordinates are far superior to any private detective.\Oh?\What's your name?\What?\I am Sergeant Sugimura.\The victim, Ms. Yamagiwa, was my senior colleague!\All right, Sugimoto-kun.\Solve this case in sixty seconds, starting now. response:	60 Seconds
context: Oh?\What's your name?\What?\I am Sergeant Sugimura.\The victim, Ms. Yamagiwa, was my senior colleague!\All right, Sugimoto-kun.\Solve this case in sixty seconds, starting now.\60 Seconds response:	What?!
context: What's your name?\What?\I am Sergeant Sugimura.\The victim, Ms. Yamagiwa, was my senior colleague!\All right, Sugimoto-kun.\Solve this case in sixty seconds, starting now.\60 Seconds\What?! response:	I can solve it in under a minute.
context: What?\I am Sergeant Sugimura.\The victim, Ms. Yamagiwa, was my senior colleague!\All right, Sugimoto-kun.\Solve this case in sixty seconds, starting now.\60 Seconds\What?!\I can solve it in under a minute. response:	If you're as good as he says you are, you should be able to do the same.
context: I am Sergeant Sugimura.\The victim, Ms. Yamagiwa, was my senior colleague!\All right, Sugimoto-kun.\Solve this case in sixty seconds, starting now.\60 Seconds\What?!\I can solve it in under a minute.\If you're as good as he says you are, you should be able to do the same. response:	Okay, give it a try, Sugimoto-kun!
context: The victim, Ms. Yamagiwa, was my senior colleague!\All right, Sugimoto-kun.\Solve this case in sixty seconds, starting now.\60 Seconds\What?!\I can solve it in under a minute.\If you're as good as he says you are, you should be able to do the same.\Okay, give it a try, Sugimoto-kun! response:	What?!
context: All right, Sugimoto-kun.\Solve this case in sixty seconds, starting now.\60 Seconds\What?!\I can solve it in under a minute.\If you're as good as he says you are, you should be able to do the same.\Okay, give it a try, Sugimoto-kun!\What?! response:	Um, okay, well...
context: Solve this case in sixty seconds, starting now.\60 Seconds\What?!\I can solve it in under a minute.\If you're as good as he says you are, you should be able to do the same.\Okay, give it a try, Sugimoto-kun!\What?!\Um, okay, well... response:	Sixty seconds is a bit over the top, isn't it?!
context: 60 Seconds\What?!\I can solve it in under a minute.\If you're as good as he says you are, you should be able to do the same.\Okay, give it a try, Sugimoto-kun!\What?!\Um, okay, well...\Sixty seconds is a bit over the top, isn't it?! response:	Okay, fifty seconds left.
context: What?!\I can solve it in under a minute.\If you're as good as he says you are, you should be able to do the same.\Okay, give it a try, Sugimoto-kun!\What?!\Um, okay, well...\Sixty seconds is a bit over the top, isn't it?!\Okay, fifty seconds left. response:	What?!
context: I can solve it in under a minute.\If you're as good as he says you are, you should be able to do the same.\Okay, give it a try, Sugimoto-kun!\What?!\Um, okay, well...\Sixty seconds is a bit over the top, isn't it?!\Okay, fifty seconds left.\What?! response:	This is what I must be like.
context: If you're as good as he says you are, you should be able to do the same.\Okay, give it a try, Sugimoto-kun!\What?!\Um, okay, well...\Sixty seconds is a bit over the top, isn't it?!\Okay, fifty seconds left.\What?!\This is what I must be like. response:	Oh, right.
context: Okay, give it a try, Sugimoto-kun!\What?!\Um, okay, well...\Sixty seconds is a bit over the top, isn't it?!\Okay, fifty seconds left.\What?!\This is what I must be like.\Oh, right. response:	Yamagiwa-senpai was pursuing a political corruption case
context: What?!\Um, okay, well...\Sixty seconds is a bit over the top, isn't it?!\Okay, fifty seconds left.\What?!\This is what I must be like.\Oh, right.\Yamagiwa-senpai was pursuing a political corruption case response:	and also investigating the Port Mafia.
context: Um, okay, well...\Sixty seconds is a bit over the top, isn't it?!\Okay, fifty seconds left.\What?!\This is what I must be like.\Oh, right.\Yamagiwa-senpai was pursuing a political corruption case\and also investigating the Port Mafia. response:	I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.
context: Sixty seconds is a bit over the top, isn't it?!\Okay, fifty seconds left.\What?!\This is what I must be like.\Oh, right.\Yamagiwa-senpai was pursuing a political corruption case\and also investigating the Port Mafia.\I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution. response:	Maybe she was killed by the mafia members she was investigating
context: Okay, fifty seconds left.\What?!\This is what I must be like.\Oh, right.\Yamagiwa-senpai was pursuing a political corruption case\and also investigating the Port Mafia.\I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.\Maybe she was killed by the mafia members she was investigating response:	That's not true.
context: What?!\This is what I must be like.\Oh, right.\Yamagiwa-senpai was pursuing a political corruption case\and also investigating the Port Mafia.\I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.\Maybe she was killed by the mafia members she was investigating\That's not true. response:	What?
context: This is what I must be like.\Oh, right.\Yamagiwa-senpai was pursuing a political corruption case\and also investigating the Port Mafia.\I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.\Maybe she was killed by the mafia members she was investigating\That's not true.\What? response:	The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.
context: Oh, right.\Yamagiwa-senpai was pursuing a political corruption case\and also investigating the Port Mafia.\I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.\Maybe she was killed by the mafia members she was investigating\That's not true.\What?\The Port Mafia's retaliatory methods are as highly specific as a government-issued ID. response:	First, the traitor is made to bite the curb,
context: Yamagiwa-senpai was pursuing a political corruption case\and also investigating the Port Mafia.\I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.\Maybe she was killed by the mafia members she was investigating\That's not true.\What?\The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.\First, the traitor is made to bite the curb, response:	then they kick in the back of his head to shatter his jaw.
context: and also investigating the Port Mafia.\I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.\Maybe she was killed by the mafia members she was investigating\That's not true.\What?\The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.\First, the traitor is made to bite the curb,\then they kick in the back of his head to shatter his jaw. response:	As their victim writhes in agony,
context: I believe the murderer's M.O. is similar to the Mafia's method of exacting retribution.\Maybe she was killed by the mafia members she was investigating\That's not true.\What?\The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.\First, the traitor is made to bite the curb,\then they kick in the back of his head to shatter his jaw.\As their victim writhes in agony, response:	they flip him over...
context: Maybe she was killed by the mafia members she was investigating\That's not true.\What?\The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.\First, the traitor is made to bite the curb,\then they kick in the back of his head to shatter his jaw.\As their victim writhes in agony,\they flip him over... response:	then shoot him in the chest three times.
context: That's not true.\What?\The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.\First, the traitor is made to bite the curb,\then they kick in the back of his head to shatter his jaw.\As their victim writhes in agony,\they flip him over...\then shoot him in the chest three times. response:	If we're being precise, yes, but...
context: What?\The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.\First, the traitor is made to bite the curb,\then they kick in the back of his head to shatter his jaw.\As their victim writhes in agony,\they flip him over...\then shoot him in the chest three times.\If we're being precise, yes, but... response:	So this M.O. is similar to the Mafia's, but not the same.
context: The Port Mafia's retaliatory methods are as highly specific as a government-issued ID.\First, the traitor is made to bite the curb,\then they kick in the back of his head to shatter his jaw.\As their victim writhes in agony,\they flip him over...\then shoot him in the chest three times.\If we're being precise, yes, but...\So this M.O. is similar to the Mafia's, but not the same. response:	That means...
context: First, the traitor is made to bite the curb,\then they kick in the back of his head to shatter his jaw.\As their victim writhes in agony,\they flip him over...\then shoot him in the chest three times.\If we're being precise, yes, but...\So this M.O. is similar to the Mafia's, but not the same.\That means... response:	An attempt at a cover-up?
context: then they kick in the back of his head to shatter his jaw.\As their victim writhes in agony,\they flip him over...\then shoot him in the chest three times.\If we're being precise, yes, but...\So this M.O. is similar to the Mafia's, but not the same.\That means...\An attempt at a cover-up? response:	Shooting two extra rounds into the body just for that?
context: As their victim writhes in agony,\they flip him over...\then shoot him in the chest three times.\If we're being precise, yes, but...\So this M.O. is similar to the Mafia's, but not the same.\That means...\An attempt at a cover-up?\Shooting two extra rounds into the body just for that? response:	How cruel.
context: they flip him over...\then shoot him in the chest three times.\If we're being precise, yes, but...\So this M.O. is similar to the Mafia's, but not the same.\That means...\An attempt at a cover-up?\Shooting two extra rounds into the body just for that?\How cruel. response:	Beep!
context: then shoot him in the chest three times.\If we're being precise, yes, but...\So this M.O. is similar to the Mafia's, but not the same.\That means...\An attempt at a cover-up?\Shooting two extra rounds into the body just for that?\How cruel.\Beep! response:	Okay, time's up!
context: If we're being precise, yes, but...\So this M.O. is similar to the Mafia's, but not the same.\That means...\An attempt at a cover-up?\Shooting two extra rounds into the body just for that?\How cruel.\Beep!\Okay, time's up! response:	Too bad, you've got a ways to go before you reach my level.
context: So this M.O. is similar to the Mafia's, but not the same.\That means...\An attempt at a cover-up?\Shooting two extra rounds into the body just for that?\How cruel.\Beep!\Okay, time's up!\Too bad, you've got a ways to go before you reach my level. response:	At the very least, this proved that your subordinates
context: That means...\An attempt at a cover-up?\Shooting two extra rounds into the body just for that?\How cruel.\Beep!\Okay, time's up!\Too bad, you've got a ways to go before you reach my level.\At the very least, this proved that your subordinates response:	are not all superior to me.
context: An attempt at a cover-up?\Shooting two extra rounds into the body just for that?\How cruel.\Beep!\Okay, time's up!\Too bad, you've got a ways to go before you reach my level.\At the very least, this proved that your subordinates\are not all superior to me. response:	Cut the crap!
context: Shooting two extra rounds into the body just for that?\How cruel.\Beep!\Okay, time's up!\Too bad, you've got a ways to go before you reach my level.\At the very least, this proved that your subordinates\are not all superior to me.\Cut the crap! response:	You've been going on and on about deduction and great detectives.
context: How cruel.\Beep!\Okay, time's up!\Too bad, you've got a ways to go before you reach my level.\At the very least, this proved that your subordinates\are not all superior to me.\Cut the crap!\You've been going on and on about deduction and great detectives. response:	You've been reading too much pulp fiction!
context: Beep!\Okay, time's up!\Too bad, you've got a ways to go before you reach my level.\At the very least, this proved that your subordinates\are not all superior to me.\Cut the crap!\You've been going on and on about deduction and great detectives.\You've been reading too much pulp fiction! response:	Cases are solved by thorough investigations,
context: Okay, time's up!\Too bad, you've got a ways to go before you reach my level.\At the very least, this proved that your subordinates\are not all superior to me.\Cut the crap!\You've been going on and on about deduction and great detectives.\You've been reading too much pulp fiction!\Cases are solved by thorough investigations, response:	interviewing persons of interest, and analyzing the scene of the crime.
context: Too bad, you've got a ways to go before you reach my level.\At the very least, this proved that your subordinates\are not all superior to me.\Cut the crap!\You've been going on and on about deduction and great detectives.\You've been reading too much pulp fiction!\Cases are solved by thorough investigations,\interviewing persons of interest, and analyzing the scene of the crime. response:	Huh?
context: At the very least, this proved that your subordinates\are not all superior to me.\Cut the crap!\You've been going on and on about deduction and great detectives.\You've been reading too much pulp fiction!\Cases are solved by thorough investigations,\interviewing persons of interest, and analyzing the scene of the crime.\Huh? response:	When are you going to get it through your thick skull?
context: are not all superior to me.\Cut the crap!\You've been going on and on about deduction and great detectives.\You've been reading too much pulp fiction!\Cases are solved by thorough investigations,\interviewing persons of interest, and analyzing the scene of the crime.\Huh?\When are you going to get it through your thick skull? response:	Great detectives don't do investigations.
context: Cut the crap!\You've been going on and on about deduction and great detectives.\You've been reading too much pulp fiction!\Cases are solved by thorough investigations,\interviewing persons of interest, and analyzing the scene of the crime.\Huh?\When are you going to get it through your thick skull?\Great detectives don't do investigations. response:	My ability, Ultra-Deduction, can instantly identify the killer
context: You've been going on and on about deduction and great detectives.\You've been reading too much pulp fiction!\Cases are solved by thorough investigations,\interviewing persons of interest, and analyzing the scene of the crime.\Huh?\When are you going to get it through your thick skull?\Great detectives don't do investigations.\My ability, Ultra-Deduction, can instantly identify the killer response:	and when and how the murder was committed.
context: You've been reading too much pulp fiction!\Cases are solved by thorough investigations,\interviewing persons of interest, and analyzing the scene of the crime.\Huh?\When are you going to get it through your thick skull?\Great detectives don't do investigations.\My ability, Ultra-Deduction, can instantly identify the killer\and when and how the murder was committed. response:	Furthermore,
context: Cases are solved by thorough investigations,\interviewing persons of interest, and analyzing the scene of the crime.\Huh?\When are you going to get it through your thick skull?\Great detectives don't do investigations.\My ability, Ultra-Deduction, can instantly identify the killer\and when and how the murder was committed.\Furthermore, response:	I can see in my mind's eye how I can make the killer confess,
context: interviewing persons of interest, and analyzing the scene of the crime.\Huh?\When are you going to get it through your thick skull?\Great detectives don't do investigations.\My ability, Ultra-Deduction, can instantly identify the killer\and when and how the murder was committed.\Furthermore,\I can see in my mind's eye how I can make the killer confess, response:	and where the evidence lies, as if it's an epiphany.
context: Huh?\When are you going to get it through your thick skull?\Great detectives don't do investigations.\My ability, Ultra-Deduction, can instantly identify the killer\and when and how the murder was committed.\Furthermore,\I can see in my mind's eye how I can make the killer confess,\and where the evidence lies, as if it's an epiphany. response:	I am gifted, after all.
context: When are you going to get it through your thick skull?\Great detectives don't do investigations.\My ability, Ultra-Deduction, can instantly identify the killer\and when and how the murder was committed.\Furthermore,\I can see in my mind's eye how I can make the killer confess,\and where the evidence lies, as if it's an epiphany.\I am gifted, after all. response:	Given my line of work,
context: Great detectives don't do investigations.\My ability, Ultra-Deduction, can instantly identify the killer\and when and how the murder was committed.\Furthermore,\I can see in my mind's eye how I can make the killer confess,\and where the evidence lies, as if it's an epiphany.\I am gifted, after all.\Given my line of work, response:	I know about the gifted's existence.
context: My ability, Ultra-Deduction, can instantly identify the killer\and when and how the murder was committed.\Furthermore,\I can see in my mind's eye how I can make the killer confess,\and where the evidence lies, as if it's an epiphany.\I am gifted, after all.\Given my line of work,\I know about the gifted's existence. response:	But if you have such a convenient ability,
context: and when and how the murder was committed.\Furthermore,\I can see in my mind's eye how I can make the killer confess,\and where the evidence lies, as if it's an epiphany.\I am gifted, after all.\Given my line of work,\I know about the gifted's existence.\But if you have such a convenient ability, response:	why do my colleagues and I still have a job?
context: Furthermore,\I can see in my mind's eye how I can make the killer confess,\and where the evidence lies, as if it's an epiphany.\I am gifted, after all.\Given my line of work,\I know about the gifted's existence.\But if you have such a convenient ability,\why do my colleagues and I still have a job? response:	Right on!
context: I can see in my mind's eye how I can make the killer confess,\and where the evidence lies, as if it's an epiphany.\I am gifted, after all.\Given my line of work,\I know about the gifted's existence.\But if you have such a convenient ability,\why do my colleagues and I still have a job?\Right on! response:	You've finally caught up.
context: and where the evidence lies, as if it's an epiphany.\I am gifted, after all.\Given my line of work,\I know about the gifted's existence.\But if you have such a convenient ability,\why do my colleagues and I still have a job?\Right on!\You've finally caught up. response:	You bastard!
context: I am gifted, after all.\Given my line of work,\I know about the gifted's existence.\But if you have such a convenient ability,\why do my colleagues and I still have a job?\Right on!\You've finally caught up.\You bastard! response:	Now, now, Detective.
context: Given my line of work,\I know about the gifted's existence.\But if you have such a convenient ability,\why do my colleagues and I still have a job?\Right on!\You've finally caught up.\You bastard!\Now, now, Detective. response:	Rampo-san's always like this.
context: I know about the gifted's existence.\But if you have such a convenient ability,\why do my colleagues and I still have a job?\Right on!\You've finally caught up.\You bastard!\Now, now, Detective.\Rampo-san's always like this. response:	After all, my personal motto is,
context: But if you have such a convenient ability,\why do my colleagues and I still have a job?\Right on!\You've finally caught up.\You bastard!\Now, now, Detective.\Rampo-san's always like this.\After all, my personal motto is, response:	All's Well
context: why do my colleagues and I still have a job?\Right on!\You've finally caught up.\You bastard!\Now, now, Detective.\Rampo-san's always like this.\After all, my personal motto is,\All's Well response:	That's Well For Me!
context: Right on!\You've finally caught up.\You bastard!\Now, now, Detective.\Rampo-san's always like this.\After all, my personal motto is,\All's Well\That's Well For Me! response:	All's well that's well for me!
context: You've finally caught up.\You bastard!\Now, now, Detective.\Rampo-san's always like this.\After all, my personal motto is,\All's Well\That's Well For Me!\All's well that's well for me! response:	I've never heard a more convincing personal motto in my life.
context: You bastard!\Now, now, Detective.\Rampo-san's always like this.\After all, my personal motto is,\All's Well\That's Well For Me!\All's well that's well for me!\I've never heard a more convincing personal motto in my life. response:	What's Better
context: Now, now, Detective.\Rampo-san's always like this.\After all, my personal motto is,\All's Well\That's Well For Me!\All's well that's well for me!\I've never heard a more convincing personal motto in my life.\What's Better response:	Than Being Alive?
context: Rampo-san's always like this.\After all, my personal motto is,\All's Well\That's Well For Me!\All's well that's well for me!\I've never heard a more convincing personal motto in my life.\What's Better\Than Being Alive? response:	Well, well...
context: After all, my personal motto is,\All's Well\That's Well For Me!\All's well that's well for me!\I've never heard a more convincing personal motto in my life.\What's Better\Than Being Alive?\Well, well... response:	Have a Pure, Cheerful,
context: All's Well\That's Well For Me!\All's well that's well for me!\I've never heard a more convincing personal motto in my life.\What's Better\Than Being Alive?\Well, well...\Have a Pure, Cheerful, response:	and Energetic Suicide
context: That's Well For Me!\All's well that's well for me!\I've never heard a more convincing personal motto in my life.\What's Better\Than Being Alive?\Well, well...\Have a Pure, Cheerful,\and Energetic Suicide response:	Since you speak so highly of it, let's see this ability of yours.
context: All's well that's well for me!\I've never heard a more convincing personal motto in my life.\What's Better\Than Being Alive?\Well, well...\Have a Pure, Cheerful,\and Energetic Suicide\Since you speak so highly of it, let's see this ability of yours. response:	Oh?
context: I've never heard a more convincing personal motto in my life.\What's Better\Than Being Alive?\Well, well...\Have a Pure, Cheerful,\and Energetic Suicide\Since you speak so highly of it, let's see this ability of yours.\Oh? response:	Is that a request for me to take on the case?
context: What's Better\Than Being Alive?\Well, well...\Have a Pure, Cheerful,\and Energetic Suicide\Since you speak so highly of it, let's see this ability of yours.\Oh?\Is that a request for me to take on the case? response:	You should've just asked me from the start.
context: Than Being Alive?\Well, well...\Have a Pure, Cheerful,\and Energetic Suicide\Since you speak so highly of it, let's see this ability of yours.\Oh?\Is that a request for me to take on the case?\You should've just asked me from the start. response:	Heh, you have a lot of confidence about this difficult case
context: Well, well...\Have a Pure, Cheerful,\and Energetic Suicide\Since you speak so highly of it, let's see this ability of yours.\Oh?\Is that a request for me to take on the case?\You should've just asked me from the start.\Heh, you have a lot of confidence about this difficult case response:	despite the lack of any evidence.
context: Have a Pure, Cheerful,\and Energetic Suicide\Since you speak so highly of it, let's see this ability of yours.\Oh?\Is that a request for me to take on the case?\You should've just asked me from the start.\Heh, you have a lot of confidence about this difficult case\despite the lack of any evidence. response:	Want me to count to sixty?
context: and Energetic Suicide\Since you speak so highly of it, let's see this ability of yours.\Oh?\Is that a request for me to take on the case?\You should've just asked me from the start.\Heh, you have a lot of confidence about this difficult case\despite the lack of any evidence.\Want me to count to sixty? response:	I don't need that long.
context: Since you speak so highly of it, let's see this ability of yours.\Oh?\Is that a request for me to take on the case?\You should've just asked me from the start.\Heh, you have a lot of confidence about this difficult case\despite the lack of any evidence.\Want me to count to sixty?\I don't need that long. response:	Watch closely, Atsushi-kun.
context: Oh?\Is that a request for me to take on the case?\You should've just asked me from the start.\Heh, you have a lot of confidence about this difficult case\despite the lack of any evidence.\Want me to count to sixty?\I don't need that long.\Watch closely, Atsushi-kun. response:	This is the ability that keeps the Agency going.
context: Is that a request for me to take on the case?\You should've just asked me from the start.\Heh, you have a lot of confidence about this difficult case\despite the lack of any evidence.\Want me to count to sixty?\I don't need that long.\Watch closely, Atsushi-kun.\This is the ability that keeps the Agency going. response:	Once he puts on those glasses,
context: You should've just asked me from the start.\Heh, you have a lot of confidence about this difficult case\despite the lack of any evidence.\Want me to count to sixty?\I don't need that long.\Watch closely, Atsushi-kun.\This is the ability that keeps the Agency going.\Once he puts on those glasses, response:	Rampo-san's Ultra-Deduction is active.
context: Heh, you have a lot of confidence about this difficult case\despite the lack of any evidence.\Want me to count to sixty?\I don't need that long.\Watch closely, Atsushi-kun.\This is the ability that keeps the Agency going.\Once he puts on those glasses,\Rampo-san's Ultra-Deduction is active. response:	Rampo-san's ability reveals the truth about a case.
context: despite the lack of any evidence.\Want me to count to sixty?\I don't need that long.\Watch closely, Atsushi-kun.\This is the ability that keeps the Agency going.\Once he puts on those glasses,\Rampo-san's Ultra-Deduction is active.\Rampo-san's ability reveals the truth about a case. response:	Does such a gift really exist?
context: Want me to count to sixty?\I don't need that long.\Watch closely, Atsushi-kun.\This is the ability that keeps the Agency going.\Once he puts on those glasses,\Rampo-san's Ultra-Deduction is active.\Rampo-san's ability reveals the truth about a case.\Does such a gift really exist? response:	Ability: Ultra-Deduction!
context: I don't need that long.\Watch closely, Atsushi-kun.\This is the ability that keeps the Agency going.\Once he puts on those glasses,\Rampo-san's Ultra-Deduction is active.\Rampo-san's ability reveals the truth about a case.\Does such a gift really exist?\Ability: Ultra-Deduction! response:	Ultra-Deduction
context: Watch closely, Atsushi-kun.\This is the ability that keeps the Agency going.\Once he puts on those glasses,\Rampo-san's Ultra-Deduction is active.\Rampo-san's ability reveals the truth about a case.\Does such a gift really exist?\Ability: Ultra-Deduction!\Ultra-Deduction response:	I see.
context: This is the ability that keeps the Agency going.\Once he puts on those glasses,\Rampo-san's Ultra-Deduction is active.\Rampo-san's ability reveals the truth about a case.\Does such a gift really exist?\Ability: Ultra-Deduction!\Ultra-Deduction\I see. response:	I see, my ass.
context: Once he puts on those glasses,\Rampo-san's Ultra-Deduction is active.\Rampo-san's ability reveals the truth about a case.\Does such a gift really exist?\Ability: Ultra-Deduction!\Ultra-Deduction\I see.\I see, my ass. response:	You're trying to imply you know who the killer is?
context: Rampo-san's Ultra-Deduction is active.\Rampo-san's ability reveals the truth about a case.\Does such a gift really exist?\Ability: Ultra-Deduction!\Ultra-Deduction\I see.\I see, my ass.\You're trying to imply you know who the killer is? response:	Of course.
context: Rampo-san's ability reveals the truth about a case.\Does such a gift really exist?\Ability: Ultra-Deduction!\Ultra-Deduction\I see.\I see, my ass.\You're trying to imply you know who the killer is?\Of course. response:	Huh?
context: Does such a gift really exist?\Ability: Ultra-Deduction!\Ultra-Deduction\I see.\I see, my ass.\You're trying to imply you know who the killer is?\Of course.\Huh? response:	The killer...
context: Ability: Ultra-Deduction!\Ultra-Deduction\I see.\I see, my ass.\You're trying to imply you know who the killer is?\Of course.\Huh?\The killer... response:	That's right.
context: Ultra-Deduction\I see.\I see, my ass.\You're trying to imply you know who the killer is?\Of course.\Huh?\The killer...\That's right. response:	That's right.
context: I see.\I see, my ass.\You're trying to imply you know who the killer is?\Of course.\Huh?\The killer...\That's right.\That's right. response:	The killer...
context: I see, my ass.\You're trying to imply you know who the killer is?\Of course.\Huh?\The killer...\That's right.\That's right.\The killer... response:	The killer...
context: You're trying to imply you know who the killer is?\Of course.\Huh?\The killer...\That's right.\That's right.\The killer...\The killer... response:	The killer is you,
context: Of course.\Huh?\The killer...\That's right.\That's right.\The killer...\The killer...\The killer is you, response:	Sergeant Sugimoto.
context: Huh?\The killer...\That's right.\That's right.\The killer...\The killer...\The killer is you,\Sergeant Sugimoto. response:	What?
context: The killer...\That's right.\That's right.\The killer...\The killer...\The killer is you,\Sergeant Sugimoto.\What? response:	Rampo-san?
context: That's right.\That's right.\The killer...\The killer...\The killer is you,\Sergeant Sugimoto.\What?\Rampo-san? response:	Sergeant Sugimoto is my subordinate.
context: That's right.\The killer...\The killer...\The killer is you,\Sergeant Sugimoto.\What?\Rampo-san?\Sergeant Sugimoto is my subordinate. response:	Sergeant Sugimoto is the one who killed her.
context: The killer...\The killer...\The killer is you,\Sergeant Sugimoto.\What?\Rampo-san?\Sergeant Sugimoto is my subordinate.\Sergeant Sugimoto is the one who killed her. response:	Don't be stupid!
context: The killer...\The killer is you,\Sergeant Sugimoto.\What?\Rampo-san?\Sergeant Sugimoto is my subordinate.\Sergeant Sugimoto is the one who killed her.\Don't be stupid! response:	It's impossible that the killer would happen to be this close by in the first place!
context: The killer is you,\Sergeant Sugimoto.\What?\Rampo-san?\Sergeant Sugimoto is my subordinate.\Sergeant Sugimoto is the one who killed her.\Don't be stupid!\It's impossible that the killer would happen to be this close by in the first place! response:	It's exactly because he is the killer
context: Sergeant Sugimoto.\What?\Rampo-san?\Sergeant Sugimoto is my subordinate.\Sergeant Sugimoto is the one who killed her.\Don't be stupid!\It's impossible that the killer would happen to be this close by in the first place!\It's exactly because he is the killer response:	that he wants to stay close to the investigation.
context: What?\Rampo-san?\Sergeant Sugimoto is my subordinate.\Sergeant Sugimoto is the one who killed her.\Don't be stupid!\It's impossible that the killer would happen to be this close by in the first place!\It's exactly because he is the killer\that he wants to stay close to the investigation. response:	Besides, didn't I mention this?
context: Rampo-san?\Sergeant Sugimoto is my subordinate.\Sergeant Sugimoto is the one who killed her.\Don't be stupid!\It's impossible that the killer would happen to be this close by in the first place!\It's exactly because he is the killer\that he wants to stay close to the investigation.\Besides, didn't I mention this? response:	I also know where the evidence lies.
context: Sergeant Sugimoto is my subordinate.\Sergeant Sugimoto is the one who killed her.\Don't be stupid!\It's impossible that the killer would happen to be this close by in the first place!\It's exactly because he is the killer\that he wants to stay close to the investigation.\Besides, didn't I mention this?\I also know where the evidence lies. response:	Lend me your gun, will you?
context: Sergeant Sugimoto is the one who killed her.\Don't be stupid!\It's impossible that the killer would happen to be this close by in the first place!\It's exactly because he is the killer\that he wants to stay close to the investigation.\Besides, didn't I mention this?\I also know where the evidence lies.\Lend me your gun, will you? response:	Y-You've got to be kidding.
context: Don't be stupid!\It's impossible that the killer would happen to be this close by in the first place!\It's exactly because he is the killer\that he wants to stay close to the investigation.\Besides, didn't I mention this?\I also know where the evidence lies.\Lend me your gun, will you?\Y-You've got to be kidding. response:	The penalty for handing a government-issue firearm to a civilian
context: It's impossible that the killer would happen to be this close by in the first place!\It's exactly because he is the killer\that he wants to stay close to the investigation.\Besides, didn't I mention this?\I also know where the evidence lies.\Lend me your gun, will you?\Y-You've got to be kidding.\The penalty for handing a government-issue firearm to a civilian response:	is far worse than a pay cut.
context: It's exactly because he is the killer\that he wants to stay close to the investigation.\Besides, didn't I mention this?\I also know where the evidence lies.\Lend me your gun, will you?\Y-You've got to be kidding.\The penalty for handing a government-issue firearm to a civilian\is far worse than a pay cut. response:	And here I was hoping you'd have a point.
context: that he wants to stay close to the investigation.\Besides, didn't I mention this?\I also know where the evidence lies.\Lend me your gun, will you?\Y-You've got to be kidding.\The penalty for handing a government-issue firearm to a civilian\is far worse than a pay cut.\And here I was hoping you'd have a point. response:	Are you private investigators just talk?
context: Besides, didn't I mention this?\I also know where the evidence lies.\Lend me your gun, will you?\Y-You've got to be kidding.\The penalty for handing a government-issue firearm to a civilian\is far worse than a pay cut.\And here I was hoping you'd have a point.\Are you private investigators just talk? response:	If we examine that gun and come up empty,
context: I also know where the evidence lies.\Lend me your gun, will you?\Y-You've got to be kidding.\The penalty for handing a government-issue firearm to a civilian\is far worse than a pay cut.\And here I was hoping you'd have a point.\Are you private investigators just talk?\If we examine that gun and come up empty, response:	then sure, I'm just an idiot running my mouth.
context: Lend me your gun, will you?\Y-You've got to be kidding.\The penalty for handing a government-issue firearm to a civilian\is far worse than a pay cut.\And here I was hoping you'd have a point.\Are you private investigators just talk?\If we examine that gun and come up empty,\then sure, I'm just an idiot running my mouth. response:	I've had enough of listening to you!
context: Y-You've got to be kidding.\The penalty for handing a government-issue firearm to a civilian\is far worse than a pay cut.\And here I was hoping you'd have a point.\Are you private investigators just talk?\If we examine that gun and come up empty,\then sure, I'm just an idiot running my mouth.\I've had enough of listening to you! response:	Show him, Sugimoto!
context: The penalty for handing a government-issue firearm to a civilian\is far worse than a pay cut.\And here I was hoping you'd have a point.\Are you private investigators just talk?\If we examine that gun and come up empty,\then sure, I'm just an idiot running my mouth.\I've had enough of listening to you!\Show him, Sugimoto! response:	But...
