context: The head may err, but never the blood. response:	I don't feel like working.
context: Then how about this.\We settle our accounts here and now.\I thought you had discarded your katana...\Kokenshi Ginro Fukuzawa.\And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.\You still think like a little girl.\Do you still talk to cats?\A hologram ability. response:	That was an enjoyable meeting.
context: We settle our accounts here and now.\I thought you had discarded your katana...\Kokenshi Ginro Fukuzawa.\And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.\You still think like a little girl.\Do you still talk to cats?\A hologram ability.\That was an enjoyable meeting. response:	Let us continue it on the battlefield.
context: I thought you had discarded your katana...\Kokenshi Ginro Fukuzawa.\And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.\You still think like a little girl.\Do you still talk to cats?\A hologram ability.\That was an enjoyable meeting.\Let us continue it on the battlefield. response:	The Agency will be recovering Q tonight.
context: Kokenshi Ginro Fukuzawa.\And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.\You still think like a little girl.\Do you still talk to cats?\A hologram ability.\That was an enjoyable meeting.\Let us continue it on the battlefield.\The Agency will be recovering Q tonight. response:	And?
context: And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.\You still think like a little girl.\Do you still talk to cats?\A hologram ability.\That was an enjoyable meeting.\Let us continue it on the battlefield.\The Agency will be recovering Q tonight.\And? response:	Don't get in our way tonight.
context: You still think like a little girl.\Do you still talk to cats?\A hologram ability.\That was an enjoyable meeting.\Let us continue it on the battlefield.\The Agency will be recovering Q tonight.\And?\Don't get in our way tonight. response:	For the sake of both of us.
context: Do you still talk to cats?\A hologram ability.\That was an enjoyable meeting.\Let us continue it on the battlefield.\The Agency will be recovering Q tonight.\And?\Don't get in our way tonight.\For the sake of both of us. response:	Why?
context: A hologram ability.\That was an enjoyable meeting.\Let us continue it on the battlefield.\The Agency will be recovering Q tonight.\And?\Don't get in our way tonight.\For the sake of both of us.\Why? response:	That we love this city.
context: That was an enjoyable meeting.\Let us continue it on the battlefield.\The Agency will be recovering Q tonight.\And?\Don't get in our way tonight.\For the sake of both of us.\Why?\That we love this city. response:	As people of this city, as organizations that work to protect it,
context: Let us continue it on the battlefield.\The Agency will be recovering Q tonight.\And?\Don't get in our way tonight.\For the sake of both of us.\Why?\That we love this city.\As people of this city, as organizations that work to protect it, response:	we cannot allow foreign gifteds to raze it.
context: The Agency will be recovering Q tonight.\And?\Don't get in our way tonight.\For the sake of both of us.\Why?\That we love this city.\As people of this city, as organizations that work to protect it,\we cannot allow foreign gifteds to raze it. response:	The Guild is powerful.
context: And?\Don't get in our way tonight.\For the sake of both of us.\Why?\That we love this city.\As people of this city, as organizations that work to protect it,\we cannot allow foreign gifteds to raze it.\The Guild is powerful. response:	The Agency stands no chance.
context: Don't get in our way tonight.\For the sake of both of us.\Why?\That we love this city.\As people of this city, as organizations that work to protect it,\we cannot allow foreign gifteds to raze it.\The Guild is powerful.\The Agency stands no chance. response:	That is all from me.
context: For the sake of both of us.\Why?\That we love this city.\As people of this city, as organizations that work to protect it,\we cannot allow foreign gifteds to raze it.\The Guild is powerful.\The Agency stands no chance.\That is all from me. response:	Dazai-kun, the offer still stands for you to return to the executive team.
context: Why?\That we love this city.\As people of this city, as organizations that work to protect it,\we cannot allow foreign gifteds to raze it.\The Guild is powerful.\The Agency stands no chance.\That is all from me.\Dazai-kun, the offer still stands for you to return to the executive team. response:	No way.
context: That we love this city.\As people of this city, as organizations that work to protect it,\we cannot allow foreign gifteds to raze it.\The Guild is powerful.\The Agency stands no chance.\That is all from me.\Dazai-kun, the offer still stands for you to return to the executive team.\No way. response:	You're the one who kicked me out of the Port Mafia in the first place.
context: As people of this city, as organizations that work to protect it,\we cannot allow foreign gifteds to raze it.\The Guild is powerful.\The Agency stands no chance.\That is all from me.\Dazai-kun, the offer still stands for you to return to the executive team.\No way.\You're the one who kicked me out of the Port Mafia in the first place. response:	Did you not quit because you wanted to?
context: we cannot allow foreign gifteds to raze it.\The Guild is powerful.\The Agency stands no chance.\That is all from me.\Dazai-kun, the offer still stands for you to return to the executive team.\No way.\You're the one who kicked me out of the Port Mafia in the first place.\Did you not quit because you wanted to? response:	You were afraid, weren't you?
context: The Guild is powerful.\The Agency stands no chance.\That is all from me.\Dazai-kun, the offer still stands for you to return to the executive team.\No way.\You're the one who kicked me out of the Port Mafia in the first place.\Did you not quit because you wanted to?\You were afraid, weren't you? response:	That I might someday aspire to take your position
context: The Agency stands no chance.\That is all from me.\Dazai-kun, the offer still stands for you to return to the executive team.\No way.\You're the one who kicked me out of the Port Mafia in the first place.\Did you not quit because you wanted to?\You were afraid, weren't you?\That I might someday aspire to take your position response:	and put a knife to your throat.
context: That is all from me.\Dazai-kun, the offer still stands for you to return to the executive team.\No way.\You're the one who kicked me out of the Port Mafia in the first place.\Did you not quit because you wanted to?\You were afraid, weren't you?\That I might someday aspire to take your position\and put a knife to your throat. response:	Just as you did to your predecessor.
context: Dazai-kun, the offer still stands for you to return to the executive team.\No way.\You're the one who kicked me out of the Port Mafia in the first place.\Did you not quit because you wanted to?\You were afraid, weren't you?\That I might someday aspire to take your position\and put a knife to your throat.\Just as you did to your predecessor. response:	Evil expects evil from others.
context: No way.\You're the one who kicked me out of the Port Mafia in the first place.\Did you not quit because you wanted to?\You were afraid, weren't you?\That I might someday aspire to take your position\and put a knife to your throat.\Just as you did to your predecessor.\Evil expects evil from others. response:	I don't agree to allying with you, either.
context: You're the one who kicked me out of the Port Mafia in the first place.\Did you not quit because you wanted to?\You were afraid, weren't you?\That I might someday aspire to take your position\and put a knife to your throat.\Just as you did to your predecessor.\Evil expects evil from others.\I don't agree to allying with you, either. response:	Our troops?
context: Did you not quit because you wanted to?\You were afraid, weren't you?\That I might someday aspire to take your position\and put a knife to your throat.\Just as you did to your predecessor.\Evil expects evil from others.\I don't agree to allying with you, either.\Our troops? response:	Deployed as ordered.
context: You were afraid, weren't you?\That I might someday aspire to take your position\and put a knife to your throat.\Just as you did to your predecessor.\Evil expects evil from others.\I don't agree to allying with you, either.\Our troops?\Deployed as ordered. response:	Boss, I've been with the Port Mafia longer than I had during the previous boss's time.
context: That I might someday aspire to take your position\and put a knife to your throat.\Just as you did to your predecessor.\Evil expects evil from others.\I don't agree to allying with you, either.\Our troops?\Deployed as ordered.\Boss, I've been with the Port Mafia longer than I had during the previous boss's time. response:	You're quite a senior here.
context: and put a knife to your throat.\Just as you did to your predecessor.\Evil expects evil from others.\I don't agree to allying with you, either.\Our troops?\Deployed as ordered.\Boss, I've been with the Port Mafia longer than I had during the previous boss's time.\You're quite a senior here. response:	The organization was in ruins towards the end of his tenure.
context: Just as you did to your predecessor.\Evil expects evil from others.\I don't agree to allying with you, either.\Our troops?\Deployed as ordered.\Boss, I've been with the Port Mafia longer than I had during the previous boss's time.\You're quite a senior here.\The organization was in ruins towards the end of his tenure. response:	He was ill, and his orders were erratic.
context: Evil expects evil from others.\I don't agree to allying with you, either.\Our troops?\Deployed as ordered.\Boss, I've been with the Port Mafia longer than I had during the previous boss's time.\You're quite a senior here.\The organization was in ruins towards the end of his tenure.\He was ill, and his orders were erratic. response:	The Port Mafia engaged in conflict aimlessly.
context: I don't agree to allying with you, either.\Our troops?\Deployed as ordered.\Boss, I've been with the Port Mafia longer than I had during the previous boss's time.\You're quite a senior here.\The organization was in ruins towards the end of his tenure.\He was ill, and his orders were erratic.\The Port Mafia engaged in conflict aimlessly. response:	Sooner or later he would have destroyed this city,
context: Our troops?\Deployed as ordered.\Boss, I've been with the Port Mafia longer than I had during the previous boss's time.\You're quite a senior here.\The organization was in ruins towards the end of his tenure.\He was ill, and his orders were erratic.\The Port Mafia engaged in conflict aimlessly.\Sooner or later he would have destroyed this city, response:	if you hadn't taken his seat.
context: Deployed as ordered.\Boss, I've been with the Port Mafia longer than I had during the previous boss's time.\You're quite a senior here.\The organization was in ruins towards the end of his tenure.\He was ill, and his orders were erratic.\The Port Mafia engaged in conflict aimlessly.\Sooner or later he would have destroyed this city,\if you hadn't taken his seat. response:	What is your point?
context: Boss, I've been with the Port Mafia longer than I had during the previous boss's time.\You're quite a senior here.\The organization was in ruins towards the end of his tenure.\He was ill, and his orders were erratic.\The Port Mafia engaged in conflict aimlessly.\Sooner or later he would have destroyed this city,\if you hadn't taken his seat.\What is your point? response:	I just wanted to point out that Dazai-kun surely understands your intentions.
context: You're quite a senior here.\The organization was in ruins towards the end of his tenure.\He was ill, and his orders were erratic.\The Port Mafia engaged in conflict aimlessly.\Sooner or later he would have destroyed this city,\if you hadn't taken his seat.\What is your point?\I just wanted to point out that Dazai-kun surely understands your intentions. response:	So this is where Q is being kept.
context: The organization was in ruins towards the end of his tenure.\He was ill, and his orders were erratic.\The Port Mafia engaged in conflict aimlessly.\Sooner or later he would have destroyed this city,\if you hadn't taken his seat.\What is your point?\I just wanted to point out that Dazai-kun surely understands your intentions.\So this is where Q is being kept. response:	Good evening.
context: He was ill, and his orders were erratic.\The Port Mafia engaged in conflict aimlessly.\Sooner or later he would have destroyed this city,\if you hadn't taken his seat.\What is your point?\I just wanted to point out that Dazai-kun surely understands your intentions.\So this is where Q is being kept.\Good evening. response:	Our strategist is adept at reading the enemy's actions.
context: The Port Mafia engaged in conflict aimlessly.\Sooner or later he would have destroyed this city,\if you hadn't taken his seat.\What is your point?\I just wanted to point out that Dazai-kun surely understands your intentions.\So this is where Q is being kept.\Good evening.\Our strategist is adept at reading the enemy's actions. response:	Of course, it's a trap.
context: Sooner or later he would have destroyed this city,\if you hadn't taken his seat.\What is your point?\I just wanted to point out that Dazai-kun surely understands your intentions.\So this is where Q is being kept.\Good evening.\Our strategist is adept at reading the enemy's actions.\Of course, it's a trap. response:	Even if Dazai-kun didn't intend to dethrone me,
context: if you hadn't taken his seat.\What is your point?\I just wanted to point out that Dazai-kun surely understands your intentions.\So this is where Q is being kept.\Good evening.\Our strategist is adept at reading the enemy's actions.\Of course, it's a trap.\Even if Dazai-kun didn't intend to dethrone me, response:	my decisions were all rational and optimal.
context: What is your point?\I just wanted to point out that Dazai-kun surely understands your intentions.\So this is where Q is being kept.\Good evening.\Our strategist is adept at reading the enemy's actions.\Of course, it's a trap.\Even if Dazai-kun didn't intend to dethrone me,\my decisions were all rational and optimal. response:	I have no regrets.
context: I just wanted to point out that Dazai-kun surely understands your intentions.\So this is where Q is being kept.\Good evening.\Our strategist is adept at reading the enemy's actions.\Of course, it's a trap.\Even if Dazai-kun didn't intend to dethrone me,\my decisions were all rational and optimal.\I have no regrets. response:	But if Dazai-kun had still
context: So this is where Q is being kept.\Good evening.\Our strategist is adept at reading the enemy's actions.\Of course, it's a trap.\Even if Dazai-kun didn't intend to dethrone me,\my decisions were all rational and optimal.\I have no regrets.\But if Dazai-kun had still response:	been my right-hand man, the Guild would have been no match.
context: Good evening.\Our strategist is adept at reading the enemy's actions.\Of course, it's a trap.\Even if Dazai-kun didn't intend to dethrone me,\my decisions were all rational and optimal.\I have no regrets.\But if Dazai-kun had still\been my right-hand man, the Guild would have been no match. response:	Evil expects evil from others.
context: Our strategist is adept at reading the enemy's actions.\Of course, it's a trap.\Even if Dazai-kun didn't intend to dethrone me,\my decisions were all rational and optimal.\I have no regrets.\But if Dazai-kun had still\been my right-hand man, the Guild would have been no match.\Evil expects evil from others. response:	Hirotsu-san, the communicator for the frontlines.
context: Of course, it's a trap.\Even if Dazai-kun didn't intend to dethrone me,\my decisions were all rational and optimal.\I have no regrets.\But if Dazai-kun had still\been my right-hand man, the Guild would have been no match.\Evil expects evil from others.\Hirotsu-san, the communicator for the frontlines. response:	I already have it here.
context: Even if Dazai-kun didn't intend to dethrone me,\my decisions were all rational and optimal.\I have no regrets.\But if Dazai-kun had still\been my right-hand man, the Guild would have been no match.\Evil expects evil from others.\Hirotsu-san, the communicator for the frontlines.\I already have it here. response:	Despite what I said to the Agency,
context: my decisions were all rational and optimal.\I have no regrets.\But if Dazai-kun had still\been my right-hand man, the Guild would have been no match.\Evil expects evil from others.\Hirotsu-san, the communicator for the frontlines.\I already have it here.\Despite what I said to the Agency, response:	there is a rational path towards a proper alliance.
context: I have no regrets.\But if Dazai-kun had still\been my right-hand man, the Guild would have been no match.\Evil expects evil from others.\Hirotsu-san, the communicator for the frontlines.\I already have it here.\Despite what I said to the Agency,\there is a rational path towards a proper alliance. response:	Advance payment is the essence of an alliance.
context: But if Dazai-kun had still\been my right-hand man, the Guild would have been no match.\Evil expects evil from others.\Hirotsu-san, the communicator for the frontlines.\I already have it here.\Despite what I said to the Agency,\there is a rational path towards a proper alliance.\Advance payment is the essence of an alliance. response:	One pays a loss up front, and a profit is made a hundred times greater.
context: been my right-hand man, the Guild would have been no match.\Evil expects evil from others.\Hirotsu-san, the communicator for the frontlines.\I already have it here.\Despite what I said to the Agency,\there is a rational path towards a proper alliance.\Advance payment is the essence of an alliance.\One pays a loss up front, and a profit is made a hundred times greater. response:	Only then can an alliance make up for old grudges.
context: Evil expects evil from others.\Hirotsu-san, the communicator for the frontlines.\I already have it here.\Despite what I said to the Agency,\there is a rational path towards a proper alliance.\Advance payment is the essence of an alliance.\One pays a loss up front, and a profit is made a hundred times greater.\Only then can an alliance make up for old grudges. response:	Those two once defeated an enemy gifted organization overnight.
context: Hirotsu-san, the communicator for the frontlines.\I already have it here.\Despite what I said to the Agency,\there is a rational path towards a proper alliance.\Advance payment is the essence of an alliance.\One pays a loss up front, and a profit is made a hundred times greater.\Only then can an alliance make up for old grudges.\Those two once defeated an enemy gifted organization overnight. response:	Their alliance was called the most devastating rivalry in history.
context: I already have it here.\Despite what I said to the Agency,\there is a rational path towards a proper alliance.\Advance payment is the essence of an alliance.\One pays a loss up front, and a profit is made a hundred times greater.\Only then can an alliance make up for old grudges.\Those two once defeated an enemy gifted organization overnight.\Their alliance was called the most devastating rivalry in history. response:	The alliance returns just for one night.
context: Despite what I said to the Agency,\there is a rational path towards a proper alliance.\Advance payment is the essence of an alliance.\One pays a loss up front, and a profit is made a hundred times greater.\Only then can an alliance make up for old grudges.\Those two once defeated an enemy gifted organization overnight.\Their alliance was called the most devastating rivalry in history.\The alliance returns just for one night. response:	Let me set one thing straight.
context: there is a rational path towards a proper alliance.\Advance payment is the essence of an alliance.\One pays a loss up front, and a profit is made a hundred times greater.\Only then can an alliance make up for old grudges.\Those two once defeated an enemy gifted organization overnight.\Their alliance was called the most devastating rivalry in history.\The alliance returns just for one night.\Let me set one thing straight. response:	Once I'm done taking out the trash, you're next.
context: Advance payment is the essence of an alliance.\One pays a loss up front, and a profit is made a hundred times greater.\Only then can an alliance make up for old grudges.\Those two once defeated an enemy gifted organization overnight.\Their alliance was called the most devastating rivalry in history.\The alliance returns just for one night.\Let me set one thing straight.\Once I'm done taking out the trash, you're next. response:	I knew it.
context: One pays a loss up front, and a profit is made a hundred times greater.\Only then can an alliance make up for old grudges.\Those two once defeated an enemy gifted organization overnight.\Their alliance was called the most devastating rivalry in history.\The alliance returns just for one night.\Let me set one thing straight.\Once I'm done taking out the trash, you're next.\I knew it. response:	This is why I wasn't feeling up for it today.
context: Only then can an alliance make up for old grudges.\Those two once defeated an enemy gifted organization overnight.\Their alliance was called the most devastating rivalry in history.\The alliance returns just for one night.\Let me set one thing straight.\Once I'm done taking out the trash, you're next.\I knew it.\This is why I wasn't feeling up for it today. response:	I never heard anything about this surprise attack in the strategic forecasts.
context: Those two once defeated an enemy gifted organization overnight.\Their alliance was called the most devastating rivalry in history.\The alliance returns just for one night.\Let me set one thing straight.\Once I'm done taking out the trash, you're next.\I knew it.\This is why I wasn't feeling up for it today.\I never heard anything about this surprise attack in the strategic forecasts. response:	Sorry, you don't get to do that.
context: Their alliance was called the most devastating rivalry in history.\The alliance returns just for one night.\Let me set one thing straight.\Once I'm done taking out the trash, you're next.\I knew it.\This is why I wasn't feeling up for it today.\I never heard anything about this surprise attack in the strategic forecasts.\Sorry, you don't get to do that. response:	The gift-disabling ability.
context: The alliance returns just for one night.\Let me set one thing straight.\Once I'm done taking out the trash, you're next.\I knew it.\This is why I wasn't feeling up for it today.\I never heard anything about this surprise attack in the strategic forecasts.\Sorry, you don't get to do that.\The gift-disabling ability. response:	This seriously sucks.
context: Let me set one thing straight.\Once I'm done taking out the trash, you're next.\I knew it.\This is why I wasn't feeling up for it today.\I never heard anything about this surprise attack in the strategic forecasts.\Sorry, you don't get to do that.\The gift-disabling ability.\This seriously sucks. response:	That's my line!
context: Once I'm done taking out the trash, you're next.\I knew it.\This is why I wasn't feeling up for it today.\I never heard anything about this surprise attack in the strategic forecasts.\Sorry, you don't get to do that.\The gift-disabling ability.\This seriously sucks.\That's my line! response:	Let's take back our lead.
context: I knew it.\This is why I wasn't feeling up for it today.\I never heard anything about this surprise attack in the strategic forecasts.\Sorry, you don't get to do that.\The gift-disabling ability.\This seriously sucks.\That's my line!\Let's take back our lead. response:	It's our common front against the Guild.
context: This is why I wasn't feeling up for it today.\I never heard anything about this surprise attack in the strategic forecasts.\Sorry, you don't get to do that.\The gift-disabling ability.\This seriously sucks.\That's my line!\Let's take back our lead.\It's our common front against the Guild. response:	The launch of our retaliation.
context: I never heard anything about this surprise attack in the strategic forecasts.\Sorry, you don't get to do that.\The gift-disabling ability.\This seriously sucks.\That's my line!\Let's take back our lead.\It's our common front against the Guild.\The launch of our retaliation. response:	Episode 21 Double Black
context: Sorry, you don't get to do that.\The gift-disabling ability.\This seriously sucks.\That's my line!\Let's take back our lead.\It's our common front against the Guild.\The launch of our retaliation.\Episode 21 Double Black response:	Dammit.
context: The gift-disabling ability.\This seriously sucks.\That's my line!\Let's take back our lead.\It's our common front against the Guild.\The launch of our retaliation.\Episode 21 Double Black\Dammit. response:	This is the worst day in years.
context: This seriously sucks.\That's my line!\Let's take back our lead.\It's our common front against the Guild.\The launch of our retaliation.\Episode 21 Double Black\Dammit.\This is the worst day in years. response:	Yo, Dazai, ever heard of Petrus?
context: That's my line!\Let's take back our lead.\It's our common front against the Guild.\The launch of our retaliation.\Episode 21 Double Black\Dammit.\This is the worst day in years.\Yo, Dazai, ever heard of Petrus? response:	The flabbergastingly expensive wine.
context: Let's take back our lead.\It's our common front against the Guild.\The launch of our retaliation.\Episode 21 Double Black\Dammit.\This is the worst day in years.\Yo, Dazai, ever heard of Petrus?\The flabbergastingly expensive wine. response:	The night you vanished from the organization,
context: It's our common front against the Guild.\The launch of our retaliation.\Episode 21 Double Black\Dammit.\This is the worst day in years.\Yo, Dazai, ever heard of Petrus?\The flabbergastingly expensive wine.\The night you vanished from the organization, response:	I opened an'89 bottle in celebration.
context: The launch of our retaliation.\Episode 21 Double Black\Dammit.\This is the worst day in years.\Yo, Dazai, ever heard of Petrus?\The flabbergastingly expensive wine.\The night you vanished from the organization,\I opened an'89 bottle in celebration. response:	That's how sick of you I was.
context: Episode 21 Double Black\Dammit.\This is the worst day in years.\Yo, Dazai, ever heard of Petrus?\The flabbergastingly expensive wine.\The night you vanished from the organization,\I opened an'89 bottle in celebration.\That's how sick of you I was. response:	I remember setting a bomb under your car that night.
context: Dammit.\This is the worst day in years.\Yo, Dazai, ever heard of Petrus?\The flabbergastingly expensive wine.\The night you vanished from the organization,\I opened an'89 bottle in celebration.\That's how sick of you I was.\I remember setting a bomb under your car that night. response:	That was your doing?!
context: This is the worst day in years.\Yo, Dazai, ever heard of Petrus?\The flabbergastingly expensive wine.\The night you vanished from the organization,\I opened an'89 bottle in celebration.\That's how sick of you I was.\I remember setting a bomb under your car that night.\That was your doing?! response:	I can't stand you.
context: Yo, Dazai, ever heard of Petrus?\The flabbergastingly expensive wine.\The night you vanished from the organization,\I opened an'89 bottle in celebration.\That's how sick of you I was.\I remember setting a bomb under your car that night.\That was your doing?!\I can't stand you. response:	I hate everything about you, too.
context: The flabbergastingly expensive wine.\The night you vanished from the organization,\I opened an'89 bottle in celebration.\That's how sick of you I was.\I remember setting a bomb under your car that night.\That was your doing?!\I can't stand you.\I hate everything about you, too. response:	The only thing I like about you, maybe, is your taste in shoes.
context: The night you vanished from the organization,\I opened an'89 bottle in celebration.\That's how sick of you I was.\I remember setting a bomb under your car that night.\That was your doing?!\I can't stand you.\I hate everything about you, too.\The only thing I like about you, maybe, is your taste in shoes. response:	You think?
context: I opened an'89 bottle in celebration.\That's how sick of you I was.\I remember setting a bomb under your car that night.\That was your doing?!\I can't stand you.\I hate everything about you, too.\The only thing I like about you, maybe, is your taste in shoes.\You think? response:	Just kidding, of course.
context: That's how sick of you I was.\I remember setting a bomb under your car that night.\That was your doing?!\I can't stand you.\I hate everything about you, too.\The only thing I like about you, maybe, is your taste in shoes.\You think?\Just kidding, of course. response:	You...!
context: I remember setting a bomb under your car that night.\That was your doing?!\I can't stand you.\I hate everything about you, too.\The only thing I like about you, maybe, is your taste in shoes.\You think?\Just kidding, of course.\You...! response:	Give it up.
context: That was your doing?!\I can't stand you.\I hate everything about you, too.\The only thing I like about you, maybe, is your taste in shoes.\You think?\Just kidding, of course.\You...!\Give it up. response:	I'm familiar with your attacks. Your timing, your thrusts...
context: I can't stand you.\I hate everything about you, too.\The only thing I like about you, maybe, is your taste in shoes.\You think?\Just kidding, of course.\You...!\Give it up.\I'm familiar with your attacks. Your timing, your thrusts... response:	I was going easy on you.
context: I hate everything about you, too.\The only thing I like about you, maybe, is your taste in shoes.\You think?\Just kidding, of course.\You...!\Give it up.\I'm familiar with your attacks. Your timing, your thrusts...\I was going easy on you. response:	If I were serious, I would have pulverized your skull.
context: The only thing I like about you, maybe, is your taste in shoes.\You think?\Just kidding, of course.\You...!\Give it up.\I'm familiar with your attacks. Your timing, your thrusts...\I was going easy on you.\If I were serious, I would have pulverized your skull. response:	Oh?
context: You think?\Just kidding, of course.\You...!\Give it up.\I'm familiar with your attacks. Your timing, your thrusts...\I was going easy on you.\If I were serious, I would have pulverized your skull.\Oh? response:	How scary.
context: Just kidding, of course.\You...!\Give it up.\I'm familiar with your attacks. Your timing, your thrusts...\I was going easy on you.\If I were serious, I would have pulverized your skull.\Oh?\How scary. response:	There he is.
context: You...!\Give it up.\I'm familiar with your attacks. Your timing, your thrusts...\I was going easy on you.\If I were serious, I would have pulverized your skull.\Oh?\How scary.\There he is. response:	The sleeping beauty awaiting his savior.
context: Give it up.\I'm familiar with your attacks. Your timing, your thrusts...\I was going easy on you.\If I were serious, I would have pulverized your skull.\Oh?\How scary.\There he is.\The sleeping beauty awaiting his savior. response:	Sleeping beauty, huh?
context: I'm familiar with your attacks. Your timing, your thrusts...\I was going easy on you.\If I were serious, I would have pulverized your skull.\Oh?\How scary.\There he is.\The sleeping beauty awaiting his savior.\Sleeping beauty, huh? response:	Hand me your knife.
context: I was going easy on you.\If I were serious, I would have pulverized your skull.\Oh?\How scary.\There he is.\The sleeping beauty awaiting his savior.\Sleeping beauty, huh?\Hand me your knife. response:	Oh, wait, I swiped it off you earlier, just in case.
context: If I were serious, I would have pulverized your skull.\Oh?\How scary.\There he is.\The sleeping beauty awaiting his savior.\Sleeping beauty, huh?\Hand me your knife.\Oh, wait, I swiped it off you earlier, just in case. response:	You...
context: Oh?\How scary.\There he is.\The sleeping beauty awaiting his savior.\Sleeping beauty, huh?\Hand me your knife.\Oh, wait, I swiped it off you earlier, just in case.\You... response:	Aren't you going to stop me?
context: How scary.\There he is.\The sleeping beauty awaiting his savior.\Sleeping beauty, huh?\Hand me your knife.\Oh, wait, I swiped it off you earlier, just in case.\You...\Aren't you going to stop me? response:	The boss ordered me to take him back alive,
context: There he is.\The sleeping beauty awaiting his savior.\Sleeping beauty, huh?\Hand me your knife.\Oh, wait, I swiped it off you earlier, just in case.\You...\Aren't you going to stop me?\The boss ordered me to take him back alive, response:	but seeing that kid's face, I have flashbacks of the bodybags
context: The sleeping beauty awaiting his savior.\Sleeping beauty, huh?\Hand me your knife.\Oh, wait, I swiped it off you earlier, just in case.\You...\Aren't you going to stop me?\The boss ordered me to take him back alive,\but seeing that kid's face, I have flashbacks of the bodybags response:	my people came home in, thanks to his curse.
context: Sleeping beauty, huh?\Hand me your knife.\Oh, wait, I swiped it off you earlier, just in case.\You...\Aren't you going to stop me?\The boss ordered me to take him back alive,\but seeing that kid's face, I have flashbacks of the bodybags\my people came home in, thanks to his curse. response:	Kill him.
context: Hand me your knife.\Oh, wait, I swiped it off you earlier, just in case.\You...\Aren't you going to stop me?\The boss ordered me to take him back alive,\but seeing that kid's face, I have flashbacks of the bodybags\my people came home in, thanks to his curse.\Kill him. response:	I see.
context: Oh, wait, I swiped it off you earlier, just in case.\You...\Aren't you going to stop me?\The boss ordered me to take him back alive,\but seeing that kid's face, I have flashbacks of the bodybags\my people came home in, thanks to his curse.\Kill him.\I see. response:	All right, then, I will.
context: You...\Aren't you going to stop me?\The boss ordered me to take him back alive,\but seeing that kid's face, I have flashbacks of the bodybags\my people came home in, thanks to his curse.\Kill him.\I see.\All right, then, I will. response:	You softy.
context: Aren't you going to stop me?\The boss ordered me to take him back alive,\but seeing that kid's face, I have flashbacks of the bodybags\my people came home in, thanks to his curse.\Kill him.\I see.\All right, then, I will.\You softy. response:	Your hypocrisy makes me retch.
context: The boss ordered me to take him back alive,\but seeing that kid's face, I have flashbacks of the bodybags\my people came home in, thanks to his curse.\Kill him.\I see.\All right, then, I will.\You softy.\Your hypocrisy makes me retch. response:	As long as Q is alive, you still need my ability as a safety measure.
context: but seeing that kid's face, I have flashbacks of the bodybags\my people came home in, thanks to his curse.\Kill him.\I see.\All right, then, I will.\You softy.\Your hypocrisy makes me retch.\As long as Q is alive, you still need my ability as a safety measure. response:	The Port Mafia won't be able to kill me.
context: my people came home in, thanks to his curse.\Kill him.\I see.\All right, then, I will.\You softy.\Your hypocrisy makes me retch.\As long as Q is alive, you still need my ability as a safety measure.\The Port Mafia won't be able to kill me. response:	It's a rational decision.
context: Kill him.\I see.\All right, then, I will.\You softy.\Your hypocrisy makes me retch.\As long as Q is alive, you still need my ability as a safety measure.\The Port Mafia won't be able to kill me.\It's a rational decision. response:	I don't know about that.
context: I see.\All right, then, I will.\You softy.\Your hypocrisy makes me retch.\As long as Q is alive, you still need my ability as a safety measure.\The Port Mafia won't be able to kill me.\It's a rational decision.\I don't know about that. response:	Yo, Dazai, you asshole, hand over that doll!
context: All right, then, I will.\You softy.\Your hypocrisy makes me retch.\As long as Q is alive, you still need my ability as a safety measure.\The Port Mafia won't be able to kill me.\It's a rational decision.\I don't know about that.\Yo, Dazai, you asshole, hand over that doll! response:	No way.
context: You softy.\Your hypocrisy makes me retch.\As long as Q is alive, you still need my ability as a safety measure.\The Port Mafia won't be able to kill me.\It's a rational decision.\I don't know about that.\Yo, Dazai, you asshole, hand over that doll!\No way. response:	It's my insurance.
context: Your hypocrisy makes me retch.\As long as Q is alive, you still need my ability as a safety measure.\The Port Mafia won't be able to kill me.\It's a rational decision.\I don't know about that.\Yo, Dazai, you asshole, hand over that doll!\No way.\It's my insurance. response:	I'm going to kill him someday.
context: As long as Q is alive, you still need my ability as a safety measure.\The Port Mafia won't be able to kill me.\It's a rational decision.\I don't know about that.\Yo, Dazai, you asshole, hand over that doll!\No way.\It's my insurance.\I'm going to kill him someday. response:	My shoulder's been stiff for some reason.
context: The Port Mafia won't be able to kill me.\It's a rational decision.\I don't know about that.\Yo, Dazai, you asshole, hand over that doll!\No way.\It's my insurance.\I'm going to kill him someday.\My shoulder's been stiff for some reason. response:	Am I working too much?
context: It's a rational decision.\I don't know about that.\Yo, Dazai, you asshole, hand over that doll!\No way.\It's my insurance.\I'm going to kill him someday.\My shoulder's been stiff for some reason.\Am I working too much? response:	What was that ability?
context: I don't know about that.\Yo, Dazai, you asshole, hand over that doll!\No way.\It's my insurance.\I'm going to kill him someday.\My shoulder's been stiff for some reason.\Am I working too much?\What was that ability? response:	I'd expect no less from the Guild!
