context: Where am I? response:	I see...
context: I feel sorry.\For her.\And for you.\Inaho...\What is Lt. Kaizuka's condition?\It's nothing life-threatening.\What worries me is that the Analytical Engine is putting a strain on his cranial nerves.\I told him not to, but look at how far he expanded its domain... response:	What does that mean?
context: For her.\And for you.\Inaho...\What is Lt. Kaizuka's condition?\It's nothing life-threatening.\What worries me is that the Analytical Engine is putting a strain on his cranial nerves.\I told him not to, but look at how far he expanded its domain...\What does that mean? response:	He's ceded part of his brain to the machine.
context: And for you.\Inaho...\What is Lt. Kaizuka's condition?\It's nothing life-threatening.\What worries me is that the Analytical Engine is putting a strain on his cranial nerves.\I told him not to, but look at how far he expanded its domain...\What does that mean?\He's ceded part of his brain to the machine. response:	Damn crazy kid...
context: Inaho...\What is Lt. Kaizuka's condition?\It's nothing life-threatening.\What worries me is that the Analytical Engine is putting a strain on his cranial nerves.\I told him not to, but look at how far he expanded its domain...\What does that mean?\He's ceded part of his brain to the machine.\Damn crazy kid... response:	I must do something to put an end to this war.
context: What is Lt. Kaizuka's condition?\It's nothing life-threatening.\What worries me is that the Analytical Engine is putting a strain on his cranial nerves.\I told him not to, but look at how far he expanded its domain...\What does that mean?\He's ceded part of his brain to the machine.\Damn crazy kid...\I must do something to put an end to this war. response:	I will address all of the Orbital Knights.
context: It's nothing life-threatening.\What worries me is that the Analytical Engine is putting a strain on his cranial nerves.\I told him not to, but look at how far he expanded its domain...\What does that mean?\He's ceded part of his brain to the machine.\Damn crazy kid...\I must do something to put an end to this war.\I will address all of the Orbital Knights. response:	With all due respect, that alone may not suffice.
context: What worries me is that the Analytical Engine is putting a strain on his cranial nerves.\I told him not to, but look at how far he expanded its domain...\What does that mean?\He's ceded part of his brain to the machine.\Damn crazy kid...\I must do something to put an end to this war.\I will address all of the Orbital Knights.\With all due respect, that alone may not suffice. response:	Why?!
context: I told him not to, but look at how far he expanded its domain...\What does that mean?\He's ceded part of his brain to the machine.\Damn crazy kid...\I must do something to put an end to this war.\I will address all of the Orbital Knights.\With all due respect, that alone may not suffice.\Why?! response:	From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.
context: What does that mean?\He's ceded part of his brain to the machine.\Damn crazy kid...\I must do something to put an end to this war.\I will address all of the Orbital Knights.\With all due respect, that alone may not suffice.\Why?!\From the very beginning, the Orbital Knights have desired to fight Earth and occupy it. response:	Count Troyard has given them a pardon to do just that in the form of a royal decree.
context: He's ceded part of his brain to the machine.\Damn crazy kid...\I must do something to put an end to this war.\I will address all of the Orbital Knights.\With all due respect, that alone may not suffice.\Why?!\From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.\Count Troyard has given them a pardon to do just that in the form of a royal decree. response:	He has unified them with guarantees
context: Damn crazy kid...\I must do something to put an end to this war.\I will address all of the Orbital Knights.\With all due respect, that alone may not suffice.\Why?!\From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.\Count Troyard has given them a pardon to do just that in the form of a royal decree.\He has unified them with guarantees response:	of status in the new kingdom and Aldnoah activation privileges.
context: I must do something to put an end to this war.\I will address all of the Orbital Knights.\With all due respect, that alone may not suffice.\Why?!\From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.\Count Troyard has given them a pardon to do just that in the form of a royal decree.\He has unified them with guarantees\of status in the new kingdom and Aldnoah activation privileges. response:	Princess Asseylum, it was his betrothal to you that clinched it.
context: I will address all of the Orbital Knights.\With all due respect, that alone may not suffice.\Why?!\From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.\Count Troyard has given them a pardon to do just that in the form of a royal decree.\He has unified them with guarantees\of status in the new kingdom and Aldnoah activation privileges.\Princess Asseylum, it was his betrothal to you that clinched it. response:	If you simply call for an end to hostilities, you will only lose their trust.
context: With all due respect, that alone may not suffice.\Why?!\From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.\Count Troyard has given them a pardon to do just that in the form of a royal decree.\He has unified them with guarantees\of status in the new kingdom and Aldnoah activation privileges.\Princess Asseylum, it was his betrothal to you that clinched it.\If you simply call for an end to hostilities, you will only lose their trust. response:	As long as your younger sister is at his side, pretending to be you.
context: Why?!\From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.\Count Troyard has given them a pardon to do just that in the form of a royal decree.\He has unified them with guarantees\of status in the new kingdom and Aldnoah activation privileges.\Princess Asseylum, it was his betrothal to you that clinched it.\If you simply call for an end to hostilities, you will only lose their trust.\As long as your younger sister is at his side, pretending to be you. response:	Ah, Princess Asseylum. It is good to see you well.
context: From the very beginning, the Orbital Knights have desired to fight Earth and occupy it.\Count Troyard has given them a pardon to do just that in the form of a royal decree.\He has unified them with guarantees\of status in the new kingdom and Aldnoah activation privileges.\Princess Asseylum, it was his betrothal to you that clinched it.\If you simply call for an end to hostilities, you will only lose their trust.\As long as your younger sister is at his side, pretending to be you.\Ah, Princess Asseylum. It is good to see you well. response:	Thank you for being so kind as to assist me.
context: Count Troyard has given them a pardon to do just that in the form of a royal decree.\He has unified them with guarantees\of status in the new kingdom and Aldnoah activation privileges.\Princess Asseylum, it was his betrothal to you that clinched it.\If you simply call for an end to hostilities, you will only lose their trust.\As long as your younger sister is at his side, pretending to be you.\Ah, Princess Asseylum. It is good to see you well.\Thank you for being so kind as to assist me. response:	You give me too much credit, Highness.
context: He has unified them with guarantees\of status in the new kingdom and Aldnoah activation privileges.\Princess Asseylum, it was his betrothal to you that clinched it.\If you simply call for an end to hostilities, you will only lose their trust.\As long as your younger sister is at his side, pretending to be you.\Ah, Princess Asseylum. It is good to see you well.\Thank you for being so kind as to assist me.\You give me too much credit, Highness. response:	I am relieved to be able to repay my debt.
context: of status in the new kingdom and Aldnoah activation privileges.\Princess Asseylum, it was his betrothal to you that clinched it.\If you simply call for an end to hostilities, you will only lose their trust.\As long as your younger sister is at his side, pretending to be you.\Ah, Princess Asseylum. It is good to see you well.\Thank you for being so kind as to assist me.\You give me too much credit, Highness.\I am relieved to be able to repay my debt. response:	Your debt?
context: Princess Asseylum, it was his betrothal to you that clinched it.\If you simply call for an end to hostilities, you will only lose their trust.\As long as your younger sister is at his side, pretending to be you.\Ah, Princess Asseylum. It is good to see you well.\Thank you for being so kind as to assist me.\You give me too much credit, Highness.\I am relieved to be able to repay my debt.\Your debt? response:	Yes...
context: If you simply call for an end to hostilities, you will only lose their trust.\As long as your younger sister is at his side, pretending to be you.\Ah, Princess Asseylum. It is good to see you well.\Thank you for being so kind as to assist me.\You give me too much credit, Highness.\I am relieved to be able to repay my debt.\Your debt?\Yes... response:	To Inaho Kaizuka.
context: As long as your younger sister is at his side, pretending to be you.\Ah, Princess Asseylum. It is good to see you well.\Thank you for being so kind as to assist me.\You give me too much credit, Highness.\I am relieved to be able to repay my debt.\Your debt?\Yes...\To Inaho Kaizuka. response:	I've received reports that a part of your force went to the moonbase.
context: Ah, Princess Asseylum. It is good to see you well.\Thank you for being so kind as to assist me.\You give me too much credit, Highness.\I am relieved to be able to repay my debt.\Your debt?\Yes...\To Inaho Kaizuka.\I've received reports that a part of your force went to the moonbase. response:	Would you mind explaining why, Capt. Magbaredge?
context: Thank you for being so kind as to assist me.\You give me too much credit, Highness.\I am relieved to be able to repay my debt.\Your debt?\Yes...\To Inaho Kaizuka.\I've received reports that a part of your force went to the moonbase.\Would you mind explaining why, Capt. Magbaredge? response:	It was an on-the-spot call.
context: You give me too much credit, Highness.\I am relieved to be able to repay my debt.\Your debt?\Yes...\To Inaho Kaizuka.\I've received reports that a part of your force went to the moonbase.\Would you mind explaining why, Capt. Magbaredge?\It was an on-the-spot call. response:	If we lose the princess now, we lose any chance at peace for good.
context: I am relieved to be able to repay my debt.\Your debt?\Yes...\To Inaho Kaizuka.\I've received reports that a part of your force went to the moonbase.\Would you mind explaining why, Capt. Magbaredge?\It was an on-the-spot call.\If we lose the princess now, we lose any chance at peace for good. response:	Why would Slaine launch a war like this?
context: Your debt?\Yes...\To Inaho Kaizuka.\I've received reports that a part of your force went to the moonbase.\Would you mind explaining why, Capt. Magbaredge?\It was an on-the-spot call.\If we lose the princess now, we lose any chance at peace for good.\Why would Slaine launch a war like this? response:	Milady...
context: Yes...\To Inaho Kaizuka.\I've received reports that a part of your force went to the moonbase.\Would you mind explaining why, Capt. Magbaredge?\It was an on-the-spot call.\If we lose the princess now, we lose any chance at peace for good.\Why would Slaine launch a war like this?\Milady... response:	The Slaine I knew was kind, adored nature, and loved the Earth.
context: To Inaho Kaizuka.\I've received reports that a part of your force went to the moonbase.\Would you mind explaining why, Capt. Magbaredge?\It was an on-the-spot call.\If we lose the princess now, we lose any chance at peace for good.\Why would Slaine launch a war like this?\Milady...\The Slaine I knew was kind, adored nature, and loved the Earth. response:	He was not someone who would engage in pointless war...
context: I've received reports that a part of your force went to the moonbase.\Would you mind explaining why, Capt. Magbaredge?\It was an on-the-spot call.\If we lose the princess now, we lose any chance at peace for good.\Why would Slaine launch a war like this?\Milady...\The Slaine I knew was kind, adored nature, and loved the Earth.\He was not someone who would engage in pointless war... response:	Why would he do this in spite of that?
context: Would you mind explaining why, Capt. Magbaredge?\It was an on-the-spot call.\If we lose the princess now, we lose any chance at peace for good.\Why would Slaine launch a war like this?\Milady...\The Slaine I knew was kind, adored nature, and loved the Earth.\He was not someone who would engage in pointless war...\Why would he do this in spite of that? response:	Milady...
context: It was an on-the-spot call.\If we lose the princess now, we lose any chance at peace for good.\Why would Slaine launch a war like this?\Milady...\The Slaine I knew was kind, adored nature, and loved the Earth.\He was not someone who would engage in pointless war...\Why would he do this in spite of that?\Milady... response:	Lord Slaine has not changed at all.
context: If we lose the princess now, we lose any chance at peace for good.\Why would Slaine launch a war like this?\Milady...\The Slaine I knew was kind, adored nature, and loved the Earth.\He was not someone who would engage in pointless war...\Why would he do this in spite of that?\Milady...\Lord Slaine has not changed at all. response:	I do not know if his actions are right or wrong.
context: Why would Slaine launch a war like this?\Milady...\The Slaine I knew was kind, adored nature, and loved the Earth.\He was not someone who would engage in pointless war...\Why would he do this in spite of that?\Milady...\Lord Slaine has not changed at all.\I do not know if his actions are right or wrong. response:	But he has always cared deeply for you.
context: Milady...\The Slaine I knew was kind, adored nature, and loved the Earth.\He was not someone who would engage in pointless war...\Why would he do this in spite of that?\Milady...\Lord Slaine has not changed at all.\I do not know if his actions are right or wrong.\But he has always cared deeply for you. response:	He has always wished for what was best for you,
context: The Slaine I knew was kind, adored nature, and loved the Earth.\He was not someone who would engage in pointless war...\Why would he do this in spite of that?\Milady...\Lord Slaine has not changed at all.\I do not know if his actions are right or wrong.\But he has always cared deeply for you.\He has always wished for what was best for you, response:	even if it jeopardized his position, or even his life.
context: He was not someone who would engage in pointless war...\Why would he do this in spite of that?\Milady...\Lord Slaine has not changed at all.\I do not know if his actions are right or wrong.\But he has always cared deeply for you.\He has always wished for what was best for you,\even if it jeopardized his position, or even his life. response:	Always... believing that you would awaken one day...
context: Why would he do this in spite of that?\Milady...\Lord Slaine has not changed at all.\I do not know if his actions are right or wrong.\But he has always cared deeply for you.\He has always wished for what was best for you,\even if it jeopardized his position, or even his life.\Always... believing that you would awaken one day... response:	Yes... I suppose that is true.
context: Milady...\Lord Slaine has not changed at all.\I do not know if his actions are right or wrong.\But he has always cared deeply for you.\He has always wished for what was best for you,\even if it jeopardized his position, or even his life.\Always... believing that you would awaken one day...\Yes... I suppose that is true. response:	What you say is right, Eddelrittuo.
context: Lord Slaine has not changed at all.\I do not know if his actions are right or wrong.\But he has always cared deeply for you.\He has always wished for what was best for you,\even if it jeopardized his position, or even his life.\Always... believing that you would awaken one day...\Yes... I suppose that is true.\What you say is right, Eddelrittuo. response:	Are you able to make contact with Vers?
context: I do not know if his actions are right or wrong.\But he has always cared deeply for you.\He has always wished for what was best for you,\even if it jeopardized his position, or even his life.\Always... believing that you would awaken one day...\Yes... I suppose that is true.\What you say is right, Eddelrittuo.\Are you able to make contact with Vers? response:	Yes. However, His Majesty is...
context: But he has always cared deeply for you.\He has always wished for what was best for you,\even if it jeopardized his position, or even his life.\Always... believing that you would awaken one day...\Yes... I suppose that is true.\What you say is right, Eddelrittuo.\Are you able to make contact with Vers?\Yes. However, His Majesty is... response:	This is no time to stop at half measures.
context: He has always wished for what was best for you,\even if it jeopardized his position, or even his life.\Always... believing that you would awaken one day...\Yes... I suppose that is true.\What you say is right, Eddelrittuo.\Are you able to make contact with Vers?\Yes. However, His Majesty is...\This is no time to stop at half measures. response:	Count Klancain. I require your assistance.
context: even if it jeopardized his position, or even his life.\Always... believing that you would awaken one day...\Yes... I suppose that is true.\What you say is right, Eddelrittuo.\Are you able to make contact with Vers?\Yes. However, His Majesty is...\This is no time to stop at half measures.\Count Klancain. I require your assistance. response:	I shall use the Hadriacus' audience chamber.
context: Always... believing that you would awaken one day...\Yes... I suppose that is true.\What you say is right, Eddelrittuo.\Are you able to make contact with Vers?\Yes. However, His Majesty is...\This is no time to stop at half measures.\Count Klancain. I require your assistance.\I shall use the Hadriacus' audience chamber. response:	As you wish, Princess Asseylum.
context: Yes... I suppose that is true.\What you say is right, Eddelrittuo.\Are you able to make contact with Vers?\Yes. However, His Majesty is...\This is no time to stop at half measures.\Count Klancain. I require your assistance.\I shall use the Hadriacus' audience chamber.\As you wish, Princess Asseylum. response:	Attention, all forces.
context: What you say is right, Eddelrittuo.\Are you able to make contact with Vers?\Yes. However, His Majesty is...\This is no time to stop at half measures.\Count Klancain. I require your assistance.\I shall use the Hadriacus' audience chamber.\As you wish, Princess Asseylum.\Attention, all forces. response:	Operation will commence as planned at 1500 hours UTC.
context: Are you able to make contact with Vers?\Yes. However, His Majesty is...\This is no time to stop at half measures.\Count Klancain. I require your assistance.\I shall use the Hadriacus' audience chamber.\As you wish, Princess Asseylum.\Attention, all forces.\Operation will commence as planned at 1500 hours UTC. response:	Man your battle stations and stand by.
context: Yes. However, His Majesty is...\This is no time to stop at half measures.\Count Klancain. I require your assistance.\I shall use the Hadriacus' audience chamber.\As you wish, Princess Asseylum.\Attention, all forces.\Operation will commence as planned at 1500 hours UTC.\Man your battle stations and stand by. response:	Lt. Marito, you're going into battle?
context: This is no time to stop at half measures.\Count Klancain. I require your assistance.\I shall use the Hadriacus' audience chamber.\As you wish, Princess Asseylum.\Attention, all forces.\Operation will commence as planned at 1500 hours UTC.\Man your battle stations and stand by.\Lt. Marito, you're going into battle? response:	Yeah. I'd hoped to have one last drink with you, Doc,
context: Count Klancain. I require your assistance.\I shall use the Hadriacus' audience chamber.\As you wish, Princess Asseylum.\Attention, all forces.\Operation will commence as planned at 1500 hours UTC.\Man your battle stations and stand by.\Lt. Marito, you're going into battle?\Yeah. I'd hoped to have one last drink with you, Doc, response:	but never got the chance.
context: I shall use the Hadriacus' audience chamber.\As you wish, Princess Asseylum.\Attention, all forces.\Operation will commence as planned at 1500 hours UTC.\Man your battle stations and stand by.\Lt. Marito, you're going into battle?\Yeah. I'd hoped to have one last drink with you, Doc,\but never got the chance. response:	That doesn't sound like you.
context: As you wish, Princess Asseylum.\Attention, all forces.\Operation will commence as planned at 1500 hours UTC.\Man your battle stations and stand by.\Lt. Marito, you're going into battle?\Yeah. I'd hoped to have one last drink with you, Doc,\but never got the chance.\That doesn't sound like you. response:	Well, we're in a low-pressure environment. I don't want to drink myself sick.
context: Attention, all forces.\Operation will commence as planned at 1500 hours UTC.\Man your battle stations and stand by.\Lt. Marito, you're going into battle?\Yeah. I'd hoped to have one last drink with you, Doc,\but never got the chance.\That doesn't sound like you.\Well, we're in a low-pressure environment. I don't want to drink myself sick. response:	No, not that. This won't be the last time.
context: Operation will commence as planned at 1500 hours UTC.\Man your battle stations and stand by.\Lt. Marito, you're going into battle?\Yeah. I'd hoped to have one last drink with you, Doc,\but never got the chance.\That doesn't sound like you.\Well, we're in a low-pressure environment. I don't want to drink myself sick.\No, not that. This won't be the last time. response:	Sure, when I get back!
context: Man your battle stations and stand by.\Lt. Marito, you're going into battle?\Yeah. I'd hoped to have one last drink with you, Doc,\but never got the chance.\That doesn't sound like you.\Well, we're in a low-pressure environment. I don't want to drink myself sick.\No, not that. This won't be the last time.\Sure, when I get back! response:	Is this one of those final showdown situations?
context: Lt. Marito, you're going into battle?\Yeah. I'd hoped to have one last drink with you, Doc,\but never got the chance.\That doesn't sound like you.\Well, we're in a low-pressure environment. I don't want to drink myself sick.\No, not that. This won't be the last time.\Sure, when I get back!\Is this one of those final showdown situations? response:	Maybe. If we finish'em off, wouldn't it be?
context: Yeah. I'd hoped to have one last drink with you, Doc,\but never got the chance.\That doesn't sound like you.\Well, we're in a low-pressure environment. I don't want to drink myself sick.\No, not that. This won't be the last time.\Sure, when I get back!\Is this one of those final showdown situations?\Maybe. If we finish'em off, wouldn't it be? response:	Whenever somebody dies in action, I guess that was the final showdown for him.
context: but never got the chance.\That doesn't sound like you.\Well, we're in a low-pressure environment. I don't want to drink myself sick.\No, not that. This won't be the last time.\Sure, when I get back!\Is this one of those final showdown situations?\Maybe. If we finish'em off, wouldn't it be?\Whenever somebody dies in action, I guess that was the final showdown for him. response:	Sheesh!
context: That doesn't sound like you.\Well, we're in a low-pressure environment. I don't want to drink myself sick.\No, not that. This won't be the last time.\Sure, when I get back!\Is this one of those final showdown situations?\Maybe. If we finish'em off, wouldn't it be?\Whenever somebody dies in action, I guess that was the final showdown for him.\Sheesh! response:	Don't jinx us, okay?
context: Well, we're in a low-pressure environment. I don't want to drink myself sick.\No, not that. This won't be the last time.\Sure, when I get back!\Is this one of those final showdown situations?\Maybe. If we finish'em off, wouldn't it be?\Whenever somebody dies in action, I guess that was the final showdown for him.\Sheesh!\Don't jinx us, okay? response:	He's right! We're all going to make it back in one piece!
context: No, not that. This won't be the last time.\Sure, when I get back!\Is this one of those final showdown situations?\Maybe. If we finish'em off, wouldn't it be?\Whenever somebody dies in action, I guess that was the final showdown for him.\Sheesh!\Don't jinx us, okay?\He's right! We're all going to make it back in one piece! response:	Milord Slaine,
context: Sure, when I get back!\Is this one of those final showdown situations?\Maybe. If we finish'em off, wouldn't it be?\Whenever somebody dies in action, I guess that was the final showdown for him.\Sheesh!\Don't jinx us, okay?\He's right! We're all going to make it back in one piece!\Milord Slaine, response:	the UFE has begun to mass its forces.
context: Is this one of those final showdown situations?\Maybe. If we finish'em off, wouldn't it be?\Whenever somebody dies in action, I guess that was the final showdown for him.\Sheesh!\Don't jinx us, okay?\He's right! We're all going to make it back in one piece!\Milord Slaine,\the UFE has begun to mass its forces. response:	What shall we do about them?
context: Maybe. If we finish'em off, wouldn't it be?\Whenever somebody dies in action, I guess that was the final showdown for him.\Sheesh!\Don't jinx us, okay?\He's right! We're all going to make it back in one piece!\Milord Slaine,\the UFE has begun to mass its forces.\What shall we do about them? response:	This changes nothing. Launch all forces and intercept the UFE.
context: Whenever somebody dies in action, I guess that was the final showdown for him.\Sheesh!\Don't jinx us, okay?\He's right! We're all going to make it back in one piece!\Milord Slaine,\the UFE has begun to mass its forces.\What shall we do about them?\This changes nothing. Launch all forces and intercept the UFE. response:	In the meantime,
context: Sheesh!\Don't jinx us, okay?\He's right! We're all going to make it back in one piece!\Milord Slaine,\the UFE has begun to mass its forces.\What shall we do about them?\This changes nothing. Launch all forces and intercept the UFE.\In the meantime, response:	we will request the assistance of the Orbital Knights who back us.
context: Don't jinx us, okay?\He's right! We're all going to make it back in one piece!\Milord Slaine,\the UFE has begun to mass its forces.\What shall we do about them?\This changes nothing. Launch all forces and intercept the UFE.\In the meantime,\we will request the assistance of the Orbital Knights who back us. response:	Assistance, Milord?
context: He's right! We're all going to make it back in one piece!\Milord Slaine,\the UFE has begun to mass its forces.\What shall we do about them?\This changes nothing. Launch all forces and intercept the UFE.\In the meantime,\we will request the assistance of the Orbital Knights who back us.\Assistance, Milord? response:	We will launch an all-out offensive against the entire Earth.
context: Milord Slaine,\the UFE has begun to mass its forces.\What shall we do about them?\This changes nothing. Launch all forces and intercept the UFE.\In the meantime,\we will request the assistance of the Orbital Knights who back us.\Assistance, Milord?\We will launch an all-out offensive against the entire Earth. response:	They will know how it feels to have nowhere to go home to.
context: the UFE has begun to mass its forces.\What shall we do about them?\This changes nothing. Launch all forces and intercept the UFE.\In the meantime,\we will request the assistance of the Orbital Knights who back us.\Assistance, Milord?\We will launch an all-out offensive against the entire Earth.\They will know how it feels to have nowhere to go home to. response:	Nao!
context: What shall we do about them?\This changes nothing. Launch all forces and intercept the UFE.\In the meantime,\we will request the assistance of the Orbital Knights who back us.\Assistance, Milord?\We will launch an all-out offensive against the entire Earth.\They will know how it feels to have nowhere to go home to.\Nao! response:	Yuki...
context: This changes nothing. Launch all forces and intercept the UFE.\In the meantime,\we will request the assistance of the Orbital Knights who back us.\Assistance, Milord?\We will launch an all-out offensive against the entire Earth.\They will know how it feels to have nowhere to go home to.\Nao!\Yuki... response:	Are you okay, Nao?
context: In the meantime,\we will request the assistance of the Orbital Knights who back us.\Assistance, Milord?\We will launch an all-out offensive against the entire Earth.\They will know how it feels to have nowhere to go home to.\Nao!\Yuki...\Are you okay, Nao? response:	Yeah...
context: we will request the assistance of the Orbital Knights who back us.\Assistance, Milord?\We will launch an all-out offensive against the entire Earth.\They will know how it feels to have nowhere to go home to.\Nao!\Yuki...\Are you okay, Nao?\Yeah... response:	Thank goodness...
context: Assistance, Milord?\We will launch an all-out offensive against the entire Earth.\They will know how it feels to have nowhere to go home to.\Nao!\Yuki...\Are you okay, Nao?\Yeah...\Thank goodness... response:	You did good today. Take it easy for a while.
context: We will launch an all-out offensive against the entire Earth.\They will know how it feels to have nowhere to go home to.\Nao!\Yuki...\Are you okay, Nao?\Yeah...\Thank goodness...\You did good today. Take it easy for a while. response:	He's going to launch an all-out attack.
context: They will know how it feels to have nowhere to go home to.\Nao!\Yuki...\Are you okay, Nao?\Yeah...\Thank goodness...\You did good today. Take it easy for a while.\He's going to launch an all-out attack. response:	Is it almost time for the mission?
context: Nao!\Yuki...\Are you okay, Nao?\Yeah...\Thank goodness...\You did good today. Take it easy for a while.\He's going to launch an all-out attack.\Is it almost time for the mission? response:	Don't even think it! Stay in bed!
context: Yuki...\Are you okay, Nao?\Yeah...\Thank goodness...\You did good today. Take it easy for a while.\He's going to launch an all-out attack.\Is it almost time for the mission?\Don't even think it! Stay in bed! response:	Sorry, Yuki. Something's come up that I have to do.
context: Are you okay, Nao?\Yeah...\Thank goodness...\You did good today. Take it easy for a while.\He's going to launch an all-out attack.\Is it almost time for the mission?\Don't even think it! Stay in bed!\Sorry, Yuki. Something's come up that I have to do. response:	Nao!
context: Yeah...\Thank goodness...\You did good today. Take it easy for a while.\He's going to launch an all-out attack.\Is it almost time for the mission?\Don't even think it! Stay in bed!\Sorry, Yuki. Something's come up that I have to do.\Nao! response:	Please, let me go.
context: Thank goodness...\You did good today. Take it easy for a while.\He's going to launch an all-out attack.\Is it almost time for the mission?\Don't even think it! Stay in bed!\Sorry, Yuki. Something's come up that I have to do.\Nao!\Please, let me go. response:	There's that face that says you're going even if I say not to.
context: You did good today. Take it easy for a while.\He's going to launch an all-out attack.\Is it almost time for the mission?\Don't even think it! Stay in bed!\Sorry, Yuki. Something's come up that I have to do.\Nao!\Please, let me go.\There's that face that says you're going even if I say not to. response:	And there's that voice that says I'm going to be stubborn, so you may as well give in.
context: He's going to launch an all-out attack.\Is it almost time for the mission?\Don't even think it! Stay in bed!\Sorry, Yuki. Something's come up that I have to do.\Nao!\Please, let me go.\There's that face that says you're going even if I say not to.\And there's that voice that says I'm going to be stubborn, so you may as well give in. response:	Damn it. When you get back, let's have dinner together.
context: Is it almost time for the mission?\Don't even think it! Stay in bed!\Sorry, Yuki. Something's come up that I have to do.\Nao!\Please, let me go.\There's that face that says you're going even if I say not to.\And there's that voice that says I'm going to be stubborn, so you may as well give in.\Damn it. When you get back, let's have dinner together. response:	That's a death flag right there.
context: Don't even think it! Stay in bed!\Sorry, Yuki. Something's come up that I have to do.\Nao!\Please, let me go.\There's that face that says you're going even if I say not to.\And there's that voice that says I'm going to be stubborn, so you may as well give in.\Damn it. When you get back, let's have dinner together.\That's a death flag right there. response:	Hey! Don't talk like that!
context: Sorry, Yuki. Something's come up that I have to do.\Nao!\Please, let me go.\There's that face that says you're going even if I say not to.\And there's that voice that says I'm going to be stubborn, so you may as well give in.\Damn it. When you get back, let's have dinner together.\That's a death flag right there.\Hey! Don't talk like that! response:	You're coming back alive, you got that?
context: Nao!\Please, let me go.\There's that face that says you're going even if I say not to.\And there's that voice that says I'm going to be stubborn, so you may as well give in.\Damn it. When you get back, let's have dinner together.\That's a death flag right there.\Hey! Don't talk like that!\You're coming back alive, you got that? response:	Sure. You do the same, Yuki.
context: Please, let me go.\There's that face that says you're going even if I say not to.\And there's that voice that says I'm going to be stubborn, so you may as well give in.\Damn it. When you get back, let's have dinner together.\That's a death flag right there.\Hey! Don't talk like that!\You're coming back alive, you got that?\Sure. You do the same, Yuki. response:	Hey, Inaho. Feeling better?
context: There's that face that says you're going even if I say not to.\And there's that voice that says I'm going to be stubborn, so you may as well give in.\Damn it. When you get back, let's have dinner together.\That's a death flag right there.\Hey! Don't talk like that!\You're coming back alive, you got that?\Sure. You do the same, Yuki.\Hey, Inaho. Feeling better? response:	Yeah. Is this...?
context: And there's that voice that says I'm going to be stubborn, so you may as well give in.\Damn it. When you get back, let's have dinner together.\That's a death flag right there.\Hey! Don't talk like that!\You're coming back alive, you got that?\Sure. You do the same, Yuki.\Hey, Inaho. Feeling better?\Yeah. Is this...? response:	Yeah, the Sleipnir Final Showdown spec!
context: Damn it. When you get back, let's have dinner together.\That's a death flag right there.\Hey! Don't talk like that!\You're coming back alive, you got that?\Sure. You do the same, Yuki.\Hey, Inaho. Feeling better?\Yeah. Is this...?\Yeah, the Sleipnir Final Showdown spec! response:	Isn't this payload a bit much, though?
context: That's a death flag right there.\Hey! Don't talk like that!\You're coming back alive, you got that?\Sure. You do the same, Yuki.\Hey, Inaho. Feeling better?\Yeah. Is this...?\Yeah, the Sleipnir Final Showdown spec!\Isn't this payload a bit much, though? response:	Getting close enough to use this in a space battle would be nuts.
context: Hey! Don't talk like that!\You're coming back alive, you got that?\Sure. You do the same, Yuki.\Hey, Inaho. Feeling better?\Yeah. Is this...?\Yeah, the Sleipnir Final Showdown spec!\Isn't this payload a bit much, though?\Getting close enough to use this in a space battle would be nuts. response:	It looks like things are going to get nuts.
context: You're coming back alive, you got that?\Sure. You do the same, Yuki.\Hey, Inaho. Feeling better?\Yeah. Is this...?\Yeah, the Sleipnir Final Showdown spec!\Isn't this payload a bit much, though?\Getting close enough to use this in a space battle would be nuts.\It looks like things are going to get nuts. response:	Are you serious?!
context: Sure. You do the same, Yuki.\Hey, Inaho. Feeling better?\Yeah. Is this...?\Yeah, the Sleipnir Final Showdown spec!\Isn't this payload a bit much, though?\Getting close enough to use this in a space battle would be nuts.\It looks like things are going to get nuts.\Are you serious?! response:	He's not taking this seriously at all!
context: Hey, Inaho. Feeling better?\Yeah. Is this...?\Yeah, the Sleipnir Final Showdown spec!\Isn't this payload a bit much, though?\Getting close enough to use this in a space battle would be nuts.\It looks like things are going to get nuts.\Are you serious?!\He's not taking this seriously at all! response:	Inko...
context: Yeah. Is this...?\Yeah, the Sleipnir Final Showdown spec!\Isn't this payload a bit much, though?\Getting close enough to use this in a space battle would be nuts.\It looks like things are going to get nuts.\Are you serious?!\He's not taking this seriously at all!\Inko... response:	Why are boys always like this?
context: Yeah, the Sleipnir Final Showdown spec!\Isn't this payload a bit much, though?\Getting close enough to use this in a space battle would be nuts.\It looks like things are going to get nuts.\Are you serious?!\He's not taking this seriously at all!\Inko...\Why are boys always like this? response:	Inaho, you're in no condition to go into battle.
