context: Fire! response:	Send word to the lords of every domain in Melromarc.
context: Naofumi-sama, I'll keep watch,\so you can go ahead and sleep.\All right.\Why do you listen to what Raphtalia-san says, but not me?\It's not like that.\Mel-chan, I wanna explore this place.\Sure. Let's go.\I wonder if they have any yummy snacks. response:	Couldn't you be a bit nicer to her?
context: so you can go ahead and sleep.\All right.\Why do you listen to what Raphtalia-san says, but not me?\It's not like that.\Mel-chan, I wanna explore this place.\Sure. Let's go.\I wonder if they have any yummy snacks.\Couldn't you be a bit nicer to her? response:	What's wrong, Mel-chan?
context: All right.\Why do you listen to what Raphtalia-san says, but not me?\It's not like that.\Mel-chan, I wanna explore this place.\Sure. Let's go.\I wonder if they have any yummy snacks.\Couldn't you be a bit nicer to her?\What's wrong, Mel-chan? response:	I think I've been acting really spoiled since meeting Naofumi.
context: Why do you listen to what Raphtalia-san says, but not me?\It's not like that.\Mel-chan, I wanna explore this place.\Sure. Let's go.\I wonder if they have any yummy snacks.\Couldn't you be a bit nicer to her?\What's wrong, Mel-chan?\I think I've been acting really spoiled since meeting Naofumi. response:	My speech has become cruder, too.
context: It's not like that.\Mel-chan, I wanna explore this place.\Sure. Let's go.\I wonder if they have any yummy snacks.\Couldn't you be a bit nicer to her?\What's wrong, Mel-chan?\I think I've been acting really spoiled since meeting Naofumi.\My speech has become cruder, too. response:	It's like I'm a different person.
context: Mel-chan, I wanna explore this place.\Sure. Let's go.\I wonder if they have any yummy snacks.\Couldn't you be a bit nicer to her?\What's wrong, Mel-chan?\I think I've been acting really spoiled since meeting Naofumi.\My speech has become cruder, too.\It's like I'm a different person. response:	Uh...
context: Sure. Let's go.\I wonder if they have any yummy snacks.\Couldn't you be a bit nicer to her?\What's wrong, Mel-chan?\I think I've been acting really spoiled since meeting Naofumi.\My speech has become cruder, too.\It's like I'm a different person.\Uh... response:	Sorry. You don't understand, do you?
context: I wonder if they have any yummy snacks.\Couldn't you be a bit nicer to her?\What's wrong, Mel-chan?\I think I've been acting really spoiled since meeting Naofumi.\My speech has become cruder, too.\It's like I'm a different person.\Uh...\Sorry. You don't understand, do you? response:	I love the way you are now, Mel-chan.
context: Couldn't you be a bit nicer to her?\What's wrong, Mel-chan?\I think I've been acting really spoiled since meeting Naofumi.\My speech has become cruder, too.\It's like I'm a different person.\Uh...\Sorry. You don't understand, do you?\I love the way you are now, Mel-chan. response:	I mean, you look so cheerful when you're talking to Master.
context: What's wrong, Mel-chan?\I think I've been acting really spoiled since meeting Naofumi.\My speech has become cruder, too.\It's like I'm a different person.\Uh...\Sorry. You don't understand, do you?\I love the way you are now, Mel-chan.\I mean, you look so cheerful when you're talking to Master. response:	Th-That's not right...
context: I think I've been acting really spoiled since meeting Naofumi.\My speech has become cruder, too.\It's like I'm a different person.\Uh...\Sorry. You don't understand, do you?\I love the way you are now, Mel-chan.\I mean, you look so cheerful when you're talking to Master.\Th-That's not right... response:	Mel-chan, have him dote on you just like us!
context: My speech has become cruder, too.\It's like I'm a different person.\Uh...\Sorry. You don't understand, do you?\I love the way you are now, Mel-chan.\I mean, you look so cheerful when you're talking to Master.\Th-That's not right...\Mel-chan, have him dote on you just like us! response:	Dote on me?!
context: It's like I'm a different person.\Uh...\Sorry. You don't understand, do you?\I love the way you are now, Mel-chan.\I mean, you look so cheerful when you're talking to Master.\Th-That's not right...\Mel-chan, have him dote on you just like us!\Dote on me?! response:	Yep!
context: Uh...\Sorry. You don't understand, do you?\I love the way you are now, Mel-chan.\I mean, you look so cheerful when you're talking to Master.\Th-That's not right...\Mel-chan, have him dote on you just like us!\Dote on me?!\Yep! response:	That's n-not what I'm looking for!
context: Sorry. You don't understand, do you?\I love the way you are now, Mel-chan.\I mean, you look so cheerful when you're talking to Master.\Th-That's not right...\Mel-chan, have him dote on you just like us!\Dote on me?!\Yep!\That's n-not what I'm looking for! response:	You still haven't found her?!
context: I love the way you are now, Mel-chan.\I mean, you look so cheerful when you're talking to Master.\Th-That's not right...\Mel-chan, have him dote on you just like us!\Dote on me?!\Yep!\That's n-not what I'm looking for!\You still haven't found her?! response:	Know that I'll have your heads if anything happens to Melty!
context: I mean, you look so cheerful when you're talking to Master.\Th-That's not right...\Mel-chan, have him dote on you just like us!\Dote on me?!\Yep!\That's n-not what I'm looking for!\You still haven't found her?!\Know that I'll have your heads if anything happens to Melty! response:	Yes, sir!
context: Th-That's not right...\Mel-chan, have him dote on you just like us!\Dote on me?!\Yep!\That's n-not what I'm looking for!\You still haven't found her?!\Know that I'll have your heads if anything happens to Melty!\Yes, sir! response:	Please rest assured, Father.
context: Mel-chan, have him dote on you just like us!\Dote on me?!\Yep!\That's n-not what I'm looking for!\You still haven't found her?!\Know that I'll have your heads if anything happens to Melty!\Yes, sir!\Please rest assured, Father. response:	I promise you that I shall rescue Melty.
context: Dote on me?!\Yep!\That's n-not what I'm looking for!\You still haven't found her?!\Know that I'll have your heads if anything happens to Melty!\Yes, sir!\Please rest assured, Father.\I promise you that I shall rescue Melty. response:	Please.
context: Yep!\That's n-not what I'm looking for!\You still haven't found her?!\Know that I'll have your heads if anything happens to Melty!\Yes, sir!\Please rest assured, Father.\I promise you that I shall rescue Melty.\Please. response:	Not my family again.
context: That's n-not what I'm looking for!\You still haven't found her?!\Know that I'll have your heads if anything happens to Melty!\Yes, sir!\Please rest assured, Father.\I promise you that I shall rescue Melty.\Please.\Not my family again. response:	How much will you make me suffer?
context: You still haven't found her?!\Know that I'll have your heads if anything happens to Melty!\Yes, sir!\Please rest assured, Father.\I promise you that I shall rescue Melty.\Please.\Not my family again.\How much will you make me suffer? response:	Accursed Shield!
context: Know that I'll have your heads if anything happens to Melty!\Yes, sir!\Please rest assured, Father.\I promise you that I shall rescue Melty.\Please.\Not my family again.\How much will you make me suffer?\Accursed Shield! response:	You're up?
context: Yes, sir!\Please rest assured, Father.\I promise you that I shall rescue Melty.\Please.\Not my family again.\How much will you make me suffer?\Accursed Shield!\You're up? response:	Yeah. I'll take over now.
context: Please rest assured, Father.\I promise you that I shall rescue Melty.\Please.\Not my family again.\How much will you make me suffer?\Accursed Shield!\You're up?\Yeah. I'll take over now. response:	It's fine.
context: I promise you that I shall rescue Melty.\Please.\Not my family again.\How much will you make me suffer?\Accursed Shield!\You're up?\Yeah. I'll take over now.\It's fine. response:	I'm not very sleepy.
context: Please.\Not my family again.\How much will you make me suffer?\Accursed Shield!\You're up?\Yeah. I'll take over now.\It's fine.\I'm not very sleepy. response:	Really?
context: Not my family again.\How much will you make me suffer?\Accursed Shield!\You're up?\Yeah. I'll take over now.\It's fine.\I'm not very sleepy.\Really? response:	Say, Naofumi...
context: How much will you make me suffer?\Accursed Shield!\You're up?\Yeah. I'll take over now.\It's fine.\I'm not very sleepy.\Really?\Say, Naofumi... response:	What?
context: Accursed Shield!\You're up?\Yeah. I'll take over now.\It's fine.\I'm not very sleepy.\Really?\Say, Naofumi...\What? response:	Should I really keep running like this?
context: You're up?\Yeah. I'll take over now.\It's fine.\I'm not very sleepy.\Really?\Say, Naofumi...\What?\Should I really keep running like this? response:	As crown princess, there are so many other things I should be doing.
context: Yeah. I'll take over now.\It's fine.\I'm not very sleepy.\Really?\Say, Naofumi...\What?\Should I really keep running like this?\As crown princess, there are so many other things I should be doing. response:	But I haven't been able to do any of them.
context: It's fine.\I'm not very sleepy.\Really?\Say, Naofumi...\What?\Should I really keep running like this?\As crown princess, there are so many other things I should be doing.\But I haven't been able to do any of them. response:	Your life comes first.
context: I'm not very sleepy.\Really?\Say, Naofumi...\What?\Should I really keep running like this?\As crown princess, there are so many other things I should be doing.\But I haven't been able to do any of them.\Your life comes first. response:	You can worry about your duties after you're safe.
context: Really?\Say, Naofumi...\What?\Should I really keep running like this?\As crown princess, there are so many other things I should be doing.\But I haven't been able to do any of them.\Your life comes first.\You can worry about your duties after you're safe. response:	But I feel so pathetic.
context: Say, Naofumi...\What?\Should I really keep running like this?\As crown princess, there are so many other things I should be doing.\But I haven't been able to do any of them.\Your life comes first.\You can worry about your duties after you're safe.\But I feel so pathetic. response:	Don't beat yourself up too much. Get some rest.
context: What?\Should I really keep running like this?\As crown princess, there are so many other things I should be doing.\But I haven't been able to do any of them.\Your life comes first.\You can worry about your duties after you're safe.\But I feel so pathetic.\Don't beat yourself up too much. Get some rest. response:	Okay.
context: Should I really keep running like this?\As crown princess, there are so many other things I should be doing.\But I haven't been able to do any of them.\Your life comes first.\You can worry about your duties after you're safe.\But I feel so pathetic.\Don't beat yourself up too much. Get some rest.\Okay. response:	I'm sure there are things that only you can do.
context: As crown princess, there are so many other things I should be doing.\But I haven't been able to do any of them.\Your life comes first.\You can worry about your duties after you're safe.\But I feel so pathetic.\Don't beat yourself up too much. Get some rest.\Okay.\I'm sure there are things that only you can do. response:	Thanks.
context: But I haven't been able to do any of them.\Your life comes first.\You can worry about your duties after you're safe.\But I feel so pathetic.\Don't beat yourself up too much. Get some rest.\Okay.\I'm sure there are things that only you can do.\Thanks. response:	Huh?
context: Your life comes first.\You can worry about your duties after you're safe.\But I feel so pathetic.\Don't beat yourself up too much. Get some rest.\Okay.\I'm sure there are things that only you can do.\Thanks.\Huh? response:	It's nothing. Never mind.
context: You can worry about your duties after you're safe.\But I feel so pathetic.\Don't beat yourself up too much. Get some rest.\Okay.\I'm sure there are things that only you can do.\Thanks.\Huh?\It's nothing. Never mind. response:	Good night.
context: But I feel so pathetic.\Don't beat yourself up too much. Get some rest.\Okay.\I'm sure there are things that only you can do.\Thanks.\Huh?\It's nothing. Never mind.\Good night. response:	Yeah.
context: Don't beat yourself up too much. Get some rest.\Okay.\I'm sure there are things that only you can do.\Thanks.\Huh?\It's nothing. Never mind.\Good night.\Yeah. response:	Please... Stop...
context: Okay.\I'm sure there are things that only you can do.\Thanks.\Huh?\It's nothing. Never mind.\Good night.\Yeah.\Please... Stop... response:	Is she having that same nightmare again?
context: I'm sure there are things that only you can do.\Thanks.\Huh?\It's nothing. Never mind.\Good night.\Yeah.\Please... Stop...\Is she having that same nightmare again? response:	Rifana-chan!
context: Thanks.\Huh?\It's nothing. Never mind.\Good night.\Yeah.\Please... Stop...\Is she having that same nightmare again?\Rifana-chan! response:	You okay?
context: Huh?\It's nothing. Never mind.\Good night.\Yeah.\Please... Stop...\Is she having that same nightmare again?\Rifana-chan!\You okay? response:	Y-Yes.
context: It's nothing. Never mind.\Good night.\Yeah.\Please... Stop...\Is she having that same nightmare again?\Rifana-chan!\You okay?\Y-Yes. response:	We've got bad news.
context: Good night.\Yeah.\Please... Stop...\Is she having that same nightmare again?\Rifana-chan!\You okay?\Y-Yes.\We've got bad news. response:	Why is the lord being taken away?
context: Yeah.\Please... Stop...\Is she having that same nightmare again?\Rifana-chan!\You okay?\Y-Yes.\We've got bad news.\Why is the lord being taken away? response:	Sir Hero! You must get out of here at once!
context: Please... Stop...\Is she having that same nightmare again?\Rifana-chan!\You okay?\Y-Yes.\We've got bad news.\Why is the lord being taken away?\Sir Hero! You must get out of here at once! response:	What happened?
context: Is she having that same nightmare again?\Rifana-chan!\You okay?\Y-Yes.\We've got bad news.\Why is the lord being taken away?\Sir Hero! You must get out of here at once!\What happened? response:	A nobleman from the next town over marched in here and accused us of hiding you!
context: Rifana-chan!\You okay?\Y-Yes.\We've got bad news.\Why is the lord being taken away?\Sir Hero! You must get out of here at once!\What happened?\A nobleman from the next town over marched in here and accused us of hiding you! response:	Find the Devil of the Shield!
context: You okay?\Y-Yes.\We've got bad news.\Why is the lord being taken away?\Sir Hero! You must get out of here at once!\What happened?\A nobleman from the next town over marched in here and accused us of hiding you!\Find the Devil of the Shield! response:	Use the kitchen door and escape out the back.
context: Y-Yes.\We've got bad news.\Why is the lord being taken away?\Sir Hero! You must get out of here at once!\What happened?\A nobleman from the next town over marched in here and accused us of hiding you!\Find the Devil of the Shield!\Use the kitchen door and escape out the back. response:	Where are Filo and Melty?
context: We've got bad news.\Why is the lord being taken away?\Sir Hero! You must get out of here at once!\What happened?\A nobleman from the next town over marched in here and accused us of hiding you!\Find the Devil of the Shield!\Use the kitchen door and escape out the back.\Where are Filo and Melty? response:	Did you find him?
context: Why is the lord being taken away?\Sir Hero! You must get out of here at once!\What happened?\A nobleman from the next town over marched in here and accused us of hiding you!\Find the Devil of the Shield!\Use the kitchen door and escape out the back.\Where are Filo and Melty?\Did you find him? response:	No, he's not here.
context: Sir Hero! You must get out of here at once!\What happened?\A nobleman from the next town over marched in here and accused us of hiding you!\Find the Devil of the Shield!\Use the kitchen door and escape out the back.\Where are Filo and Melty?\Did you find him?\No, he's not here. response:	This way.
context: What happened?\A nobleman from the next town over marched in here and accused us of hiding you!\Find the Devil of the Shield!\Use the kitchen door and escape out the back.\Where are Filo and Melty?\Did you find him?\No, he's not here.\This way. response:	Hey, you there!
context: A nobleman from the next town over marched in here and accused us of hiding you!\Find the Devil of the Shield!\Use the kitchen door and escape out the back.\Where are Filo and Melty?\Did you find him?\No, he's not here.\This way.\Hey, you there! response:	What are you doing?
context: Find the Devil of the Shield!\Use the kitchen door and escape out the back.\Where are Filo and Melty?\Did you find him?\No, he's not here.\This way.\Hey, you there!\What are you doing? response:	Getting ready for lunch.
context: Use the kitchen door and escape out the back.\Where are Filo and Melty?\Did you find him?\No, he's not here.\This way.\Hey, you there!\What are you doing?\Getting ready for lunch. response:	Forget that! Get over here!
context: Where are Filo and Melty?\Did you find him?\No, he's not here.\This way.\Hey, you there!\What are you doing?\Getting ready for lunch.\Forget that! Get over here! response:	What do you think you're doing?
context: Did you find him?\No, he's not here.\This way.\Hey, you there!\What are you doing?\Getting ready for lunch.\Forget that! Get over here!\What do you think you're doing? response:	I am Melty Melromarc, Second Princess of Melromarc.
context: No, he's not here.\This way.\Hey, you there!\What are you doing?\Getting ready for lunch.\Forget that! Get over here!\What do you think you're doing?\I am Melty Melromarc, Second Princess of Melromarc. response:	I demand that you cease this behavior at once!
context: This way.\Hey, you there!\What are you doing?\Getting ready for lunch.\Forget that! Get over here!\What do you think you're doing?\I am Melty Melromarc, Second Princess of Melromarc.\I demand that you cease this behavior at once! response:	The second princess?
context: Hey, you there!\What are you doing?\Getting ready for lunch.\Forget that! Get over here!\What do you think you're doing?\I am Melty Melromarc, Second Princess of Melromarc.\I demand that you cease this behavior at once!\The second princess? response:	The real deal?
context: What are you doing?\Getting ready for lunch.\Forget that! Get over here!\What do you think you're doing?\I am Melty Melromarc, Second Princess of Melromarc.\I demand that you cease this behavior at once!\The second princess?\The real deal? response:	My, if it isn't Princess Melty.
context: Getting ready for lunch.\Forget that! Get over here!\What do you think you're doing?\I am Melty Melromarc, Second Princess of Melromarc.\I demand that you cease this behavior at once!\The second princess?\The real deal?\My, if it isn't Princess Melty. response:	Aren't you...
context: Forget that! Get over here!\What do you think you're doing?\I am Melty Melromarc, Second Princess of Melromarc.\I demand that you cease this behavior at once!\The second princess?\The real deal?\My, if it isn't Princess Melty.\Aren't you... response:	Let's wait and see what happens.
context: What do you think you're doing?\I am Melty Melromarc, Second Princess of Melromarc.\I demand that you cease this behavior at once!\The second princess?\The real deal?\My, if it isn't Princess Melty.\Aren't you...\Let's wait and see what happens. response:	I'm so glad to see you're all right.
context: I am Melty Melromarc, Second Princess of Melromarc.\I demand that you cease this behavior at once!\The second princess?\The real deal?\My, if it isn't Princess Melty.\Aren't you...\Let's wait and see what happens.\I'm so glad to see you're all right. response:	I rushed here worried for your safety.
context: I demand that you cease this behavior at once!\The second princess?\The real deal?\My, if it isn't Princess Melty.\Aren't you...\Let's wait and see what happens.\I'm so glad to see you're all right.\I rushed here worried for your safety. response:	Idol Rabier...
context: The second princess?\The real deal?\My, if it isn't Princess Melty.\Aren't you...\Let's wait and see what happens.\I'm so glad to see you're all right.\I rushed here worried for your safety.\Idol Rabier... response:	I've heard that you fought with Father in the past.
context: The real deal?\My, if it isn't Princess Melty.\Aren't you...\Let's wait and see what happens.\I'm so glad to see you're all right.\I rushed here worried for your safety.\Idol Rabier...\I've heard that you fought with Father in the past. response:	You heard right.
context: My, if it isn't Princess Melty.\Aren't you...\Let's wait and see what happens.\I'm so glad to see you're all right.\I rushed here worried for your safety.\Idol Rabier...\I've heard that you fought with Father in the past.\You heard right. response:	Are these your troops?
context: Aren't you...\Let's wait and see what happens.\I'm so glad to see you're all right.\I rushed here worried for your safety.\Idol Rabier...\I've heard that you fought with Father in the past.\You heard right.\Are these your troops? response:	They are indeed.
context: Let's wait and see what happens.\I'm so glad to see you're all right.\I rushed here worried for your safety.\Idol Rabier...\I've heard that you fought with Father in the past.\You heard right.\Are these your troops?\They are indeed. response:	Have them withdraw from this mansion immediately.
context: I'm so glad to see you're all right.\I rushed here worried for your safety.\Idol Rabier...\I've heard that you fought with Father in the past.\You heard right.\Are these your troops?\They are indeed.\Have them withdraw from this mansion immediately. response:	Before that, where is the Devil of the Shield?
context: I rushed here worried for your safety.\Idol Rabier...\I've heard that you fought with Father in the past.\You heard right.\Are these your troops?\They are indeed.\Have them withdraw from this mansion immediately.\Before that, where is the Devil of the Shield? response:	The Shield Hero isn't here.
context: Idol Rabier...\I've heard that you fought with Father in the past.\You heard right.\Are these your troops?\They are indeed.\Have them withdraw from this mansion immediately.\Before that, where is the Devil of the Shield?\The Shield Hero isn't here. response:	Oh?
context: I've heard that you fought with Father in the past.\You heard right.\Are these your troops?\They are indeed.\Have them withdraw from this mansion immediately.\Before that, where is the Devil of the Shield?\The Shield Hero isn't here.\Oh? response:	I asked him to leave me and escape.
context: You heard right.\Are these your troops?\They are indeed.\Have them withdraw from this mansion immediately.\Before that, where is the Devil of the Shield?\The Shield Hero isn't here.\Oh?\I asked him to leave me and escape. response:	That girl...
context: Are these your troops?\They are indeed.\Have them withdraw from this mansion immediately.\Before that, where is the Devil of the Shield?\The Shield Hero isn't here.\Oh?\I asked him to leave me and escape.\That girl... response:	I plan to speak with Father directly.
context: They are indeed.\Have them withdraw from this mansion immediately.\Before that, where is the Devil of the Shield?\The Shield Hero isn't here.\Oh?\I asked him to leave me and escape.\That girl...\I plan to speak with Father directly. response:	And I shall clear the Shield Hero's good name!
context: Have them withdraw from this mansion immediately.\Before that, where is the Devil of the Shield?\The Shield Hero isn't here.\Oh?\I asked him to leave me and escape.\That girl...\I plan to speak with Father directly.\And I shall clear the Shield Hero's good name! response:	You will take me to the capital as soon as possible.
context: Before that, where is the Devil of the Shield?\The Shield Hero isn't here.\Oh?\I asked him to leave me and escape.\That girl...\I plan to speak with Father directly.\And I shall clear the Shield Hero's good name!\You will take me to the capital as soon as possible. response:	I understand.
context: The Shield Hero isn't here.\Oh?\I asked him to leave me and escape.\That girl...\I plan to speak with Father directly.\And I shall clear the Shield Hero's good name!\You will take me to the capital as soon as possible.\I understand. response:	I'll make arrangements for your journey at my mansion.
context: Oh?\I asked him to leave me and escape.\That girl...\I plan to speak with Father directly.\And I shall clear the Shield Hero's good name!\You will take me to the capital as soon as possible.\I understand.\I'll make arrangements for your journey at my mansion. response:	Take her.
context: I asked him to leave me and escape.\That girl...\I plan to speak with Father directly.\And I shall clear the Shield Hero's good name!\You will take me to the capital as soon as possible.\I understand.\I'll make arrangements for your journey at my mansion.\Take her. response:	Calm down.
context: That girl...\I plan to speak with Father directly.\And I shall clear the Shield Hero's good name!\You will take me to the capital as soon as possible.\I understand.\I'll make arrangements for your journey at my mansion.\Take her.\Calm down. response:	Do you want to ruin what Melty's trying to do?
context: I plan to speak with Father directly.\And I shall clear the Shield Hero's good name!\You will take me to the capital as soon as possible.\I understand.\I'll make arrangements for your journey at my mansion.\Take her.\Calm down.\Do you want to ruin what Melty's trying to do? response:	Filo! Where are you?
context: And I shall clear the Shield Hero's good name!\You will take me to the capital as soon as possible.\I understand.\I'll make arrangements for your journey at my mansion.\Take her.\Calm down.\Do you want to ruin what Melty's trying to do?\Filo! Where are you? response:	Filo?
context: You will take me to the capital as soon as possible.\I understand.\I'll make arrangements for your journey at my mansion.\Take her.\Calm down.\Do you want to ruin what Melty's trying to do?\Filo! Where are you?\Filo? response:	Filo-chan!
context: I understand.\I'll make arrangements for your journey at my mansion.\Take her.\Calm down.\Do you want to ruin what Melty's trying to do?\Filo! Where are you?\Filo?\Filo-chan! response:	Where are you?
context: I'll make arrangements for your journey at my mansion.\Take her.\Calm down.\Do you want to ruin what Melty's trying to do?\Filo! Where are you?\Filo?\Filo-chan!\Where are you? response:	Oh, to hell with it.
context: Take her.\Calm down.\Do you want to ruin what Melty's trying to do?\Filo! Where are you?\Filo?\Filo-chan!\Where are you?\Oh, to hell with it. response:	Filo!
context: Calm down.\Do you want to ruin what Melty's trying to do?\Filo! Where are you?\Filo?\Filo-chan!\Where are you?\Oh, to hell with it.\Filo! response:	Get out here now! This is an order!
context: Do you want to ruin what Melty's trying to do?\Filo! Where are you?\Filo?\Filo-chan!\Where are you?\Oh, to hell with it.\Filo!\Get out here now! This is an order! response:	Master, you meanie!
context: Filo! Where are you?\Filo?\Filo-chan!\Where are you?\Oh, to hell with it.\Filo!\Get out here now! This is an order!\Master, you meanie! response:	It's your fault for not showing yourself.
context: Filo?\Filo-chan!\Where are you?\Oh, to hell with it.\Filo!\Get out here now! This is an order!\Master, you meanie!\It's your fault for not showing yourself. response:	What were you even doing up here?
context: Filo-chan!\Where are you?\Oh, to hell with it.\Filo!\Get out here now! This is an order!\Master, you meanie!\It's your fault for not showing yourself.\What were you even doing up here? response:	What?
context: Where are you?\Oh, to hell with it.\Filo!\Get out here now! This is an order!\Master, you meanie!\It's your fault for not showing yourself.\What were you even doing up here?\What? response:	Mel-chan wanted to play hide and seek.
context: Oh, to hell with it.\Filo!\Get out here now! This is an order!\Master, you meanie!\It's your fault for not showing yourself.\What were you even doing up here?\What?\Mel-chan wanted to play hide and seek. response:	She said I should hide somewhere I wouldn't be found
context: Filo!\Get out here now! This is an order!\Master, you meanie!\It's your fault for not showing yourself.\What were you even doing up here?\What?\Mel-chan wanted to play hide and seek.\She said I should hide somewhere I wouldn't be found response:	and not come out, no matter what.
context: Get out here now! This is an order!\Master, you meanie!\It's your fault for not showing yourself.\What were you even doing up here?\What?\Mel-chan wanted to play hide and seek.\She said I should hide somewhere I wouldn't be found\and not come out, no matter what. response:	But she never came for me in the end.
context: Master, you meanie!\It's your fault for not showing yourself.\What were you even doing up here?\What?\Mel-chan wanted to play hide and seek.\She said I should hide somewhere I wouldn't be found\and not come out, no matter what.\But she never came for me in the end. response:	Huh?
context: It's your fault for not showing yourself.\What were you even doing up here?\What?\Mel-chan wanted to play hide and seek.\She said I should hide somewhere I wouldn't be found\and not come out, no matter what.\But she never came for me in the end.\Huh? response:	Where's Mel-chan?
context: What were you even doing up here?\What?\Mel-chan wanted to play hide and seek.\She said I should hide somewhere I wouldn't be found\and not come out, no matter what.\But she never came for me in the end.\Huh?\Where's Mel-chan? response:	I'm going to save Mel-chan!
context: What?\Mel-chan wanted to play hide and seek.\She said I should hide somewhere I wouldn't be found\and not come out, no matter what.\But she never came for me in the end.\Huh?\Where's Mel-chan?\I'm going to save Mel-chan! response:	Wait, Filo!
context: Mel-chan wanted to play hide and seek.\She said I should hide somewhere I wouldn't be found\and not come out, no matter what.\But she never came for me in the end.\Huh?\Where's Mel-chan?\I'm going to save Mel-chan!\Wait, Filo! response:	But if we don't hurry up, she'll...
context: She said I should hide somewhere I wouldn't be found\and not come out, no matter what.\But she never came for me in the end.\Huh?\Where's Mel-chan?\I'm going to save Mel-chan!\Wait, Filo!\But if we don't hurry up, she'll... response:	Abandoning her and running away is an option.
context: and not come out, no matter what.\But she never came for me in the end.\Huh?\Where's Mel-chan?\I'm going to save Mel-chan!\Wait, Filo!\But if we don't hurry up, she'll...\Abandoning her and running away is an option. response:	But she believed in me.
context: But she never came for me in the end.\Huh?\Where's Mel-chan?\I'm going to save Mel-chan!\Wait, Filo!\But if we don't hurry up, she'll...\Abandoning her and running away is an option.\But she believed in me. response:	I did make her a promise.
context: Huh?\Where's Mel-chan?\I'm going to save Mel-chan!\Wait, Filo!\But if we don't hurry up, she'll...\Abandoning her and running away is an option.\But she believed in me.\I did make her a promise. response:	You know that Idol guy, don't you?
context: Where's Mel-chan?\I'm going to save Mel-chan!\Wait, Filo!\But if we don't hurry up, she'll...\Abandoning her and running away is an option.\But she believed in me.\I did make her a promise.\You know that Idol guy, don't you? response:	Yes.
context: I'm going to save Mel-chan!\Wait, Filo!\But if we don't hurry up, she'll...\Abandoning her and running away is an option.\But she believed in me.\I did make her a promise.\You know that Idol guy, don't you?\Yes. response:	You can stay behind if you want.
context: Wait, Filo!\But if we don't hurry up, she'll...\Abandoning her and running away is an option.\But she believed in me.\I did make her a promise.\You know that Idol guy, don't you?\Yes.\You can stay behind if you want. response:	No. I have my sword now.
context: But if we don't hurry up, she'll...\Abandoning her and running away is an option.\But she believed in me.\I did make her a promise.\You know that Idol guy, don't you?\Yes.\You can stay behind if you want.\No. I have my sword now. response:	I want to confront my past!
context: Abandoning her and running away is an option.\But she believed in me.\I did make her a promise.\You know that Idol guy, don't you?\Yes.\You can stay behind if you want.\No. I have my sword now.\I want to confront my past! response:	Got it.
context: But she believed in me.\I did make her a promise.\You know that Idol guy, don't you?\Yes.\You can stay behind if you want.\No. I have my sword now.\I want to confront my past!\Got it. response:	Open the gate!
context: I did make her a promise.\You know that Idol guy, don't you?\Yes.\You can stay behind if you want.\No. I have my sword now.\I want to confront my past!\Got it.\Open the gate! response:	What's going on?
context: You know that Idol guy, don't you?\Yes.\You can stay behind if you want.\No. I have my sword now.\I want to confront my past!\Got it.\Open the gate!\What's going on? response:	Demi-humans who love their lord must've come here for him.
context: Yes.\You can stay behind if you want.\No. I have my sword now.\I want to confront my past!\Got it.\Open the gate!\What's going on?\Demi-humans who love their lord must've come here for him. response:	Give back Van-sama!
context: You can stay behind if you want.\No. I have my sword now.\I want to confront my past!\Got it.\Open the gate!\What's going on?\Demi-humans who love their lord must've come here for him.\Give back Van-sama! response:	This is convenient. We'll sneak into the mansion while they distract the guards.
context: No. I have my sword now.\I want to confront my past!\Got it.\Open the gate!\What's going on?\Demi-humans who love their lord must've come here for him.\Give back Van-sama!\This is convenient. We'll sneak into the mansion while they distract the guards. response:	Let's go.
context: I want to confront my past!\Got it.\Open the gate!\What's going on?\Demi-humans who love their lord must've come here for him.\Give back Van-sama!\This is convenient. We'll sneak into the mansion while they distract the guards.\Let's go. response:	Right!
context: Got it.\Open the gate!\What's going on?\Demi-humans who love their lord must've come here for him.\Give back Van-sama!\This is convenient. We'll sneak into the mansion while they distract the guards.\Let's go.\Right! response:	'Kay!
context: Open the gate!\What's going on?\Demi-humans who love their lord must've come here for him.\Give back Van-sama!\This is convenient. We'll sneak into the mansion while they distract the guards.\Let's go.\Right!\'Kay! response:	Ugh, those damned demis!
context: What's going on?\Demi-humans who love their lord must've come here for him.\Give back Van-sama!\This is convenient. We'll sneak into the mansion while they distract the guards.\Let's go.\Right!\'Kay!\Ugh, those damned demis! response:	What is happening outside?
context: Demi-humans who love their lord must've come here for him.\Give back Van-sama!\This is convenient. We'll sneak into the mansion while they distract the guards.\Let's go.\Right!\'Kay!\Ugh, those damned demis!\What is happening outside? response:	Just some flies buzzing around. It's nothing you need to worry about.
context: Give back Van-sama!\This is convenient. We'll sneak into the mansion while they distract the guards.\Let's go.\Right!\'Kay!\Ugh, those damned demis!\What is happening outside?\Just some flies buzzing around. It's nothing you need to worry about. response:	We'll get rid of them at once.
context: This is convenient. We'll sneak into the mansion while they distract the guards.\Let's go.\Right!\'Kay!\Ugh, those damned demis!\What is happening outside?\Just some flies buzzing around. It's nothing you need to worry about.\We'll get rid of them at once. response:	Now, will you tell me where the Devil of the Shield is?
