context: Mr. MacPhail's chosen the Ser Veresta? response:	Why won't you obey me?!
context: Well, princesses don't normally go to burger joints, do they?\That's what's called a bias.\There's an actual example right in front of you.\So accept it!\I heard about this place from my friends.\Friends?\Even I have friends, okay?\Uh, right. response:	Not here... but in my own country, that is.
context: That's what's called a bias.\There's an actual example right in front of you.\So accept it!\I heard about this place from my friends.\Friends?\Even I have friends, okay?\Uh, right.\Not here... but in my own country, that is. response:	Julis, can we talk about something serious for a second?
context: There's an actual example right in front of you.\So accept it!\I heard about this place from my friends.\Friends?\Even I have friends, okay?\Uh, right.\Not here... but in my own country, that is.\Julis, can we talk about something serious for a second? response:	What is it?
context: So accept it!\I heard about this place from my friends.\Friends?\Even I have friends, okay?\Uh, right.\Not here... but in my own country, that is.\Julis, can we talk about something serious for a second?\What is it? response:	About that attack on you...
context: I heard about this place from my friends.\Friends?\Even I have friends, okay?\Uh, right.\Not here... but in my own country, that is.\Julis, can we talk about something serious for a second?\What is it?\About that attack on you... response:	I talked about it with Claudia, see.
context: Friends?\Even I have friends, okay?\Uh, right.\Not here... but in my own country, that is.\Julis, can we talk about something serious for a second?\What is it?\About that attack on you...\I talked about it with Claudia, see. response:	So anyway, I don't think you should be going out alone, or dueling...
context: Even I have friends, okay?\Uh, right.\Not here... but in my own country, that is.\Julis, can we talk about something serious for a second?\What is it?\About that attack on you...\I talked about it with Claudia, see.\So anyway, I don't think you should be going out alone, or dueling... response:	No, thank you.
context: Uh, right.\Not here... but in my own country, that is.\Julis, can we talk about something serious for a second?\What is it?\About that attack on you...\I talked about it with Claudia, see.\So anyway, I don't think you should be going out alone, or dueling...\No, thank you. response:	Why should I have to alter my routine because of such cowards?
context: Not here... but in my own country, that is.\Julis, can we talk about something serious for a second?\What is it?\About that attack on you...\I talked about it with Claudia, see.\So anyway, I don't think you should be going out alone, or dueling...\No, thank you.\Why should I have to alter my routine because of such cowards? response:	I hear you.
context: Julis, can we talk about something serious for a second?\What is it?\About that attack on you...\I talked about it with Claudia, see.\So anyway, I don't think you should be going out alone, or dueling...\No, thank you.\Why should I have to alter my routine because of such cowards?\I hear you. response:	I'll be the one to decide my own path.
context: What is it?\About that attack on you...\I talked about it with Claudia, see.\So anyway, I don't think you should be going out alone, or dueling...\No, thank you.\Why should I have to alter my routine because of such cowards?\I hear you.\I'll be the one to decide my own path. response:	My will belongs to me alone.
context: About that attack on you...\I talked about it with Claudia, see.\So anyway, I don't think you should be going out alone, or dueling...\No, thank you.\Why should I have to alter my routine because of such cowards?\I hear you.\I'll be the one to decide my own path.\My will belongs to me alone. response:	Well, well! Always the heroine, aren't you now?
context: I talked about it with Claudia, see.\So anyway, I don't think you should be going out alone, or dueling...\No, thank you.\Why should I have to alter my routine because of such cowards?\I hear you.\I'll be the one to decide my own path.\My will belongs to me alone.\Well, well! Always the heroine, aren't you now? response:	Despite getting targeted by a mystery attacker.
context: So anyway, I don't think you should be going out alone, or dueling...\No, thank you.\Why should I have to alter my routine because of such cowards?\I hear you.\I'll be the one to decide my own path.\My will belongs to me alone.\Well, well! Always the heroine, aren't you now?\Despite getting targeted by a mystery attacker. response:	Eavesdropping? Such impeccable taste, Lester.
context: No, thank you.\Why should I have to alter my routine because of such cowards?\I hear you.\I'll be the one to decide my own path.\My will belongs to me alone.\Well, well! Always the heroine, aren't you now?\Despite getting targeted by a mystery attacker.\Eavesdropping? Such impeccable taste, Lester. response:	If there's anyone worthy of being my opponent, I'll just take him on!
context: Why should I have to alter my routine because of such cowards?\I hear you.\I'll be the one to decide my own path.\My will belongs to me alone.\Well, well! Always the heroine, aren't you now?\Despite getting targeted by a mystery attacker.\Eavesdropping? Such impeccable taste, Lester.\If there's anyone worthy of being my opponent, I'll just take him on! response:	Then why don't you take me on right here and now?
context: I hear you.\I'll be the one to decide my own path.\My will belongs to me alone.\Well, well! Always the heroine, aren't you now?\Despite getting targeted by a mystery attacker.\Eavesdropping? Such impeccable taste, Lester.\If there's anyone worthy of being my opponent, I'll just take him on!\Then why don't you take me on right here and now? response:	How many times do I have to repeat this until it registers? I have no inclination to take you on.
context: I'll be the one to decide my own path.\My will belongs to me alone.\Well, well! Always the heroine, aren't you now?\Despite getting targeted by a mystery attacker.\Eavesdropping? Such impeccable taste, Lester.\If there's anyone worthy of being my opponent, I'll just take him on!\Then why don't you take me on right here and now?\How many times do I have to repeat this until it registers? I have no inclination to take you on. response:	Never mind that, I'm telling you to battle me now!
context: My will belongs to me alone.\Well, well! Always the heroine, aren't you now?\Despite getting targeted by a mystery attacker.\Eavesdropping? Such impeccable taste, Lester.\If there's anyone worthy of being my opponent, I'll just take him on!\Then why don't you take me on right here and now?\How many times do I have to repeat this until it registers? I have no inclination to take you on.\Never mind that, I'm telling you to battle me now! response:	Don't you think you've taken it far enough?
context: Well, well! Always the heroine, aren't you now?\Despite getting targeted by a mystery attacker.\Eavesdropping? Such impeccable taste, Lester.\If there's anyone worthy of being my opponent, I'll just take him on!\Then why don't you take me on right here and now?\How many times do I have to repeat this until it registers? I have no inclination to take you on.\Never mind that, I'm telling you to battle me now!\Don't you think you've taken it far enough? response:	You shut up!
context: Despite getting targeted by a mystery attacker.\Eavesdropping? Such impeccable taste, Lester.\If there's anyone worthy of being my opponent, I'll just take him on!\Then why don't you take me on right here and now?\How many times do I have to repeat this until it registers? I have no inclination to take you on.\Never mind that, I'm telling you to battle me now!\Don't you think you've taken it far enough?\You shut up! response:	Not happening.
context: Eavesdropping? Such impeccable taste, Lester.\If there's anyone worthy of being my opponent, I'll just take him on!\Then why don't you take me on right here and now?\How many times do I have to repeat this until it registers? I have no inclination to take you on.\Never mind that, I'm telling you to battle me now!\Don't you think you've taken it far enough?\You shut up!\Not happening. response:	Haven't you heard how Julis was attacked?
context: If there's anyone worthy of being my opponent, I'll just take him on!\Then why don't you take me on right here and now?\How many times do I have to repeat this until it registers? I have no inclination to take you on.\Never mind that, I'm telling you to battle me now!\Don't you think you've taken it far enough?\You shut up!\Not happening.\Haven't you heard how Julis was attacked? response:	If you pick a fight here,
context: Then why don't you take me on right here and now?\How many times do I have to repeat this until it registers? I have no inclination to take you on.\Never mind that, I'm telling you to battle me now!\Don't you think you've taken it far enough?\You shut up!\Not happening.\Haven't you heard how Julis was attacked?\If you pick a fight here, response:	too bad if people lump you in with the cowards from the other day.
context: How many times do I have to repeat this until it registers? I have no inclination to take you on.\Never mind that, I'm telling you to battle me now!\Don't you think you've taken it far enough?\You shut up!\Not happening.\Haven't you heard how Julis was attacked?\If you pick a fight here,\too bad if people lump you in with the cowards from the other day. response:	Why, you...
context: Never mind that, I'm telling you to battle me now!\Don't you think you've taken it far enough?\You shut up!\Not happening.\Haven't you heard how Julis was attacked?\If you pick a fight here,\too bad if people lump you in with the cowards from the other day.\Why, you... response:	Don't give me that crap!
context: Don't you think you've taken it far enough?\You shut up!\Not happening.\Haven't you heard how Julis was attacked?\If you pick a fight here,\too bad if people lump you in with the cowards from the other day.\Why, you...\Don't give me that crap! response:	Are you saying that I'm no different than guys who sneak around?!
context: You shut up!\Not happening.\Haven't you heard how Julis was attacked?\If you pick a fight here,\too bad if people lump you in with the cowards from the other day.\Why, you...\Don't give me that crap!\Are you saying that I'm no different than guys who sneak around?! response:	In that case, I'll be happy to start by annihilating you!
context: Not happening.\Haven't you heard how Julis was attacked?\If you pick a fight here,\too bad if people lump you in with the cowards from the other day.\Why, you...\Don't give me that crap!\Are you saying that I'm no different than guys who sneak around?!\In that case, I'll be happy to start by annihilating you! response:	You call me a coward, and you're making a run for it?
context: Haven't you heard how Julis was attacked?\If you pick a fight here,\too bad if people lump you in with the cowards from the other day.\Why, you...\Don't give me that crap!\Are you saying that I'm no different than guys who sneak around?!\In that case, I'll be happy to start by annihilating you!\You call me a coward, and you're making a run for it? response:	You damned wuss!
context: If you pick a fight here,\too bad if people lump you in with the cowards from the other day.\Why, you...\Don't give me that crap!\Are you saying that I'm no different than guys who sneak around?!\In that case, I'll be happy to start by annihilating you!\You call me a coward, and you're making a run for it?\You damned wuss! response:	Whatever you say.
context: too bad if people lump you in with the cowards from the other day.\Why, you...\Don't give me that crap!\Are you saying that I'm no different than guys who sneak around?!\In that case, I'll be happy to start by annihilating you!\You call me a coward, and you're making a run for it?\You damned wuss!\Whatever you say. response:	I won't take part in a meaningless duel.
context: Why, you...\Don't give me that crap!\Are you saying that I'm no different than guys who sneak around?!\In that case, I'll be happy to start by annihilating you!\You call me a coward, and you're making a run for it?\You damned wuss!\Whatever you say.\I won't take part in a meaningless duel. response:	Bastard!
context: Don't give me that crap!\Are you saying that I'm no different than guys who sneak around?!\In that case, I'll be happy to start by annihilating you!\You call me a coward, and you're making a run for it?\You damned wuss!\Whatever you say.\I won't take part in a meaningless duel.\Bastard! response:	Calm down!
context: Are you saying that I'm no different than guys who sneak around?!\In that case, I'll be happy to start by annihilating you!\You call me a coward, and you're making a run for it?\You damned wuss!\Whatever you say.\I won't take part in a meaningless duel.\Bastard!\Calm down! response:	Everybody knows that you've always taken out your opponents fair and square!
context: In that case, I'll be happy to start by annihilating you!\You call me a coward, and you're making a run for it?\You damned wuss!\Whatever you say.\I won't take part in a meaningless duel.\Bastard!\Calm down!\Everybody knows that you've always taken out your opponents fair and square! response:	H-He's right!
context: You call me a coward, and you're making a run for it?\You damned wuss!\Whatever you say.\I won't take part in a meaningless duel.\Bastard!\Calm down!\Everybody knows that you've always taken out your opponents fair and square!\H-He's right! response:	Waiting for a chance to duel...
context: You damned wuss!\Whatever you say.\I won't take part in a meaningless duel.\Bastard!\Calm down!\Everybody knows that you've always taken out your opponents fair and square!\H-He's right!\Waiting for a chance to duel... response:	You'd never do anything cowardly like that!
context: Whatever you say.\I won't take part in a meaningless duel.\Bastard!\Calm down!\Everybody knows that you've always taken out your opponents fair and square!\H-He's right!\Waiting for a chance to duel...\You'd never do anything cowardly like that! response:	We're going to let you off easy today!
context: I won't take part in a meaningless duel.\Bastard!\Calm down!\Everybody knows that you've always taken out your opponents fair and square!\H-He's right!\Waiting for a chance to duel...\You'd never do anything cowardly like that!\We're going to let you off easy today! response:	Just as I thought, you really are a tough one.
context: Bastard!\Calm down!\Everybody knows that you've always taken out your opponents fair and square!\H-He's right!\Waiting for a chance to duel...\You'd never do anything cowardly like that!\We're going to let you off easy today!\Just as I thought, you really are a tough one. response:	What are you talking about?
context: Calm down!\Everybody knows that you've always taken out your opponents fair and square!\H-He's right!\Waiting for a chance to duel...\You'd never do anything cowardly like that!\We're going to let you off easy today!\Just as I thought, you really are a tough one.\What are you talking about? response:	Oh, skip it.
context: Everybody knows that you've always taken out your opponents fair and square!\H-He's right!\Waiting for a chance to duel...\You'd never do anything cowardly like that!\We're going to let you off easy today!\Just as I thought, you really are a tough one.\What are you talking about?\Oh, skip it. response:	More importantly...
context: H-He's right!\Waiting for a chance to duel...\You'd never do anything cowardly like that!\We're going to let you off easy today!\Just as I thought, you really are a tough one.\What are you talking about?\Oh, skip it.\More importantly... response:	You've got ketchup on your face.
context: Waiting for a chance to duel...\You'd never do anything cowardly like that!\We're going to let you off easy today!\Just as I thought, you really are a tough one.\What are you talking about?\Oh, skip it.\More importantly...\You've got ketchup on your face. response:	Seriously, you're unfathomable, aren't you?
context: You'd never do anything cowardly like that!\We're going to let you off easy today!\Just as I thought, you really are a tough one.\What are you talking about?\Oh, skip it.\More importantly...\You've got ketchup on your face.\Seriously, you're unfathomable, aren't you? response:	Thanks for today.
context: We're going to let you off easy today!\Just as I thought, you really are a tough one.\What are you talking about?\Oh, skip it.\More importantly...\You've got ketchup on your face.\Seriously, you're unfathomable, aren't you?\Thanks for today. response:	I learned a lot, and it was fun, too.
context: Just as I thought, you really are a tough one.\What are you talking about?\Oh, skip it.\More importantly...\You've got ketchup on your face.\Seriously, you're unfathomable, aren't you?\Thanks for today.\I learned a lot, and it was fun, too. response:	Was it? I-I mean...
context: What are you talking about?\Oh, skip it.\More importantly...\You've got ketchup on your face.\Seriously, you're unfathomable, aren't you?\Thanks for today.\I learned a lot, and it was fun, too.\Was it? I-I mean... response:	At the risk of repeating myself, all I did was repay my debt, all right?
context: Oh, skip it.\More importantly...\You've got ketchup on your face.\Seriously, you're unfathomable, aren't you?\Thanks for today.\I learned a lot, and it was fun, too.\Was it? I-I mean...\At the risk of repeating myself, all I did was repay my debt, all right? response:	There's no need for you to thank me.
context: More importantly...\You've got ketchup on your face.\Seriously, you're unfathomable, aren't you?\Thanks for today.\I learned a lot, and it was fun, too.\Was it? I-I mean...\At the risk of repeating myself, all I did was repay my debt, all right?\There's no need for you to thank me. response:	What are you looking at, bastard?!
context: You've got ketchup on your face.\Seriously, you're unfathomable, aren't you?\Thanks for today.\I learned a lot, and it was fun, too.\Was it? I-I mean...\At the risk of repeating myself, all I did was repay my debt, all right?\There's no need for you to thank me.\What are you looking at, bastard?! response:	Those are students from Le Wolfe Black Academy.
context: Seriously, you're unfathomable, aren't you?\Thanks for today.\I learned a lot, and it was fun, too.\Was it? I-I mean...\At the risk of repeating myself, all I did was repay my debt, all right?\There's no need for you to thank me.\What are you looking at, bastard?!\Those are students from Le Wolfe Black Academy. response:	Looks like they're getting into it, huh?
context: Thanks for today.\I learned a lot, and it was fun, too.\Was it? I-I mean...\At the risk of repeating myself, all I did was repay my debt, all right?\There's no need for you to thank me.\What are you looking at, bastard?!\Those are students from Le Wolfe Black Academy.\Looks like they're getting into it, huh? response:	Hey, there's the first blow.
context: I learned a lot, and it was fun, too.\Was it? I-I mean...\At the risk of repeating myself, all I did was repay my debt, all right?\There's no need for you to thank me.\What are you looking at, bastard?!\Those are students from Le Wolfe Black Academy.\Looks like they're getting into it, huh?\Hey, there's the first blow. response:	What the hell?!
context: Was it? I-I mean...\At the risk of repeating myself, all I did was repay my debt, all right?\There's no need for you to thank me.\What are you looking at, bastard?!\Those are students from Le Wolfe Black Academy.\Looks like they're getting into it, huh?\Hey, there's the first blow.\What the hell?! response:	I'll get you!
context: At the risk of repeating myself, all I did was repay my debt, all right?\There's no need for you to thank me.\What are you looking at, bastard?!\Those are students from Le Wolfe Black Academy.\Looks like they're getting into it, huh?\Hey, there's the first blow.\What the hell?!\I'll get you! response:	This isn't good.
context: There's no need for you to thank me.\What are you looking at, bastard?!\Those are students from Le Wolfe Black Academy.\Looks like they're getting into it, huh?\Hey, there's the first blow.\What the hell?!\I'll get you!\This isn't good. response:	I'm being set up.
context: What are you looking at, bastard?!\Those are students from Le Wolfe Black Academy.\Looks like they're getting into it, huh?\Hey, there's the first blow.\What the hell?!\I'll get you!\This isn't good.\I'm being set up. response:	Damn you!
context: Those are students from Le Wolfe Black Academy.\Looks like they're getting into it, huh?\Hey, there's the first blow.\What the hell?!\I'll get you!\This isn't good.\I'm being set up.\Damn you! response:	This is a common ploy.
context: Looks like they're getting into it, huh?\Hey, there's the first blow.\What the hell?!\I'll get you!\This isn't good.\I'm being set up.\Damn you!\This is a common ploy. response:	They surround their target by feigning a brawl,
context: Hey, there's the first blow.\What the hell?!\I'll get you!\This isn't good.\I'm being set up.\Damn you!\This is a common ploy.\They surround their target by feigning a brawl, response:	and then go to town on him.
context: What the hell?!\I'll get you!\This isn't good.\I'm being set up.\Damn you!\This is a common ploy.\They surround their target by feigning a brawl,\and then go to town on him. response:	Meaning that it was Le Wolfe who went after you?
context: I'll get you!\This isn't good.\I'm being set up.\Damn you!\This is a common ploy.\They surround their target by feigning a brawl,\and then go to town on him.\Meaning that it was Le Wolfe who went after you? response:	No, not necessarily.
context: This isn't good.\I'm being set up.\Damn you!\This is a common ploy.\They surround their target by feigning a brawl,\and then go to town on him.\Meaning that it was Le Wolfe who went after you?\No, not necessarily. response:	Show them the money, and hoodlums like these will take on just about anything.
context: I'm being set up.\Damn you!\This is a common ploy.\They surround their target by feigning a brawl,\and then go to town on him.\Meaning that it was Le Wolfe who went after you?\No, not necessarily.\Show them the money, and hoodlums like these will take on just about anything. response:	This would be a clear-cut case of self-defense, right?
context: Damn you!\This is a common ploy.\They surround their target by feigning a brawl,\and then go to town on him.\Meaning that it was Le Wolfe who went after you?\No, not necessarily.\Show them the money, and hoodlums like these will take on just about anything.\This would be a clear-cut case of self-defense, right? response:	I'm going to grill some answers out of him!
context: This is a common ploy.\They surround their target by feigning a brawl,\and then go to town on him.\Meaning that it was Le Wolfe who went after you?\No, not necessarily.\Show them the money, and hoodlums like these will take on just about anything.\This would be a clear-cut case of self-defense, right?\I'm going to grill some answers out of him! response:	Hey, give him a break and keep it to medium rare or so, okay?
context: They surround their target by feigning a brawl,\and then go to town on him.\Meaning that it was Le Wolfe who went after you?\No, not necessarily.\Show them the money, and hoodlums like these will take on just about anything.\This would be a clear-cut case of self-defense, right?\I'm going to grill some answers out of him!\Hey, give him a break and keep it to medium rare or so, okay? response:	This isn't even much of a warm-up.
context: and then go to town on him.\Meaning that it was Le Wolfe who went after you?\No, not necessarily.\Show them the money, and hoodlums like these will take on just about anything.\This would be a clear-cut case of self-defense, right?\I'm going to grill some answers out of him!\Hey, give him a break and keep it to medium rare or so, okay?\This isn't even much of a warm-up. response:	Hey!
context: Meaning that it was Le Wolfe who went after you?\No, not necessarily.\Show them the money, and hoodlums like these will take on just about anything.\This would be a clear-cut case of self-defense, right?\I'm going to grill some answers out of him!\Hey, give him a break and keep it to medium rare or so, okay?\This isn't even much of a warm-up.\Hey! response:	Wake up.
context: No, not necessarily.\Show them the money, and hoodlums like these will take on just about anything.\This would be a clear-cut case of self-defense, right?\I'm going to grill some answers out of him!\Hey, give him a break and keep it to medium rare or so, okay?\This isn't even much of a warm-up.\Hey!\Wake up. response:	Or else I'll burn off that bizarre hairstyle of yours, roots and all!
context: Show them the money, and hoodlums like these will take on just about anything.\This would be a clear-cut case of self-defense, right?\I'm going to grill some answers out of him!\Hey, give him a break and keep it to medium rare or so, okay?\This isn't even much of a warm-up.\Hey!\Wake up.\Or else I'll burn off that bizarre hairstyle of yours, roots and all! response:	Be succinct.
context: This would be a clear-cut case of self-defense, right?\I'm going to grill some answers out of him!\Hey, give him a break and keep it to medium rare or so, okay?\This isn't even much of a warm-up.\Hey!\Wake up.\Or else I'll burn off that bizarre hairstyle of yours, roots and all!\Be succinct. response:	Who gave you the order to do this?
context: I'm going to grill some answers out of him!\Hey, give him a break and keep it to medium rare or so, okay?\This isn't even much of a warm-up.\Hey!\Wake up.\Or else I'll burn off that bizarre hairstyle of yours, roots and all!\Be succinct.\Who gave you the order to do this? response:	Some guy I don't know.
context: Hey, give him a break and keep it to medium rare or so, okay?\This isn't even much of a warm-up.\Hey!\Wake up.\Or else I'll burn off that bizarre hairstyle of yours, roots and all!\Be succinct.\Who gave you the order to do this?\Some guy I don't know. response:	He said he'd pay us to make you guys hurt a little.
context: This isn't even much of a warm-up.\Hey!\Wake up.\Or else I'll burn off that bizarre hairstyle of yours, roots and all!\Be succinct.\Who gave you the order to do this?\Some guy I don't know.\He said he'd pay us to make you guys hurt a little. response:	What did this guy look like?
context: Hey!\Wake up.\Or else I'll burn off that bizarre hairstyle of yours, roots and all!\Be succinct.\Who gave you the order to do this?\Some guy I don't know.\He said he'd pay us to make you guys hurt a little.\What did this guy look like? response:	He was dressed all in black. A tall, burly guy...
context: Wake up.\Or else I'll burn off that bizarre hairstyle of yours, roots and all!\Be succinct.\Who gave you the order to do this?\Some guy I don't know.\He said he'd pay us to make you guys hurt a little.\What did this guy look like?\He was dressed all in black. A tall, burly guy... response:	Hey! That's him!
context: Or else I'll burn off that bizarre hairstyle of yours, roots and all!\Be succinct.\Who gave you the order to do this?\Some guy I don't know.\He said he'd pay us to make you guys hurt a little.\What did this guy look like?\He was dressed all in black. A tall, burly guy...\Hey! That's him! response:	He's the one who hired us!
context: Be succinct.\Who gave you the order to do this?\Some guy I don't know.\He said he'd pay us to make you guys hurt a little.\What did this guy look like?\He was dressed all in black. A tall, burly guy...\Hey! That's him!\He's the one who hired us! response:	- Come back here! - Julis!
context: Who gave you the order to do this?\Some guy I don't know.\He said he'd pay us to make you guys hurt a little.\What did this guy look like?\He was dressed all in black. A tall, burly guy...\Hey! That's him!\He's the one who hired us!\- Come back here! - Julis! response:	Don't chase him too far!
context: Some guy I don't know.\He said he'd pay us to make you guys hurt a little.\What did this guy look like?\He was dressed all in black. A tall, burly guy...\Hey! That's him!\He's the one who hired us!\- Come back here! - Julis!\Don't chase him too far! response:	Julis!
context: He said he'd pay us to make you guys hurt a little.\What did this guy look like?\He was dressed all in black. A tall, burly guy...\Hey! That's him!\He's the one who hired us!\- Come back here! - Julis!\Don't chase him too far!\Julis! response:	Julis!
context: What did this guy look like?\He was dressed all in black. A tall, burly guy...\Hey! That's him!\He's the one who hired us!\- Come back here! - Julis!\Don't chase him too far!\Julis!\Julis! response:	Behind you!
context: He was dressed all in black. A tall, burly guy...\Hey! That's him!\He's the one who hired us!\- Come back here! - Julis!\Don't chase him too far!\Julis!\Julis!\Behind you! response:	Ayato!
context: Hey! That's him!\He's the one who hired us!\- Come back here! - Julis!\Don't chase him too far!\Julis!\Julis!\Behind you!\Ayato! response:	Hey, are you all right?
context: He's the one who hired us!\- Come back here! - Julis!\Don't chase him too far!\Julis!\Julis!\Behind you!\Ayato!\Hey, are you all right? response:	Just barely, yeah.
context: - Come back here! - Julis!\Don't chase him too far!\Julis!\Julis!\Behind you!\Ayato!\Hey, are you all right?\Just barely, yeah. response:	My clothes are shredded, though.
context: Don't chase him too far!\Julis!\Julis!\Behind you!\Ayato!\Hey, are you all right?\Just barely, yeah.\My clothes are shredded, though. response:	Don't you think that was a bit careless?
context: Julis!\Julis!\Behind you!\Ayato!\Hey, are you all right?\Just barely, yeah.\My clothes are shredded, though.\Don't you think that was a bit careless? response:	Surely you could've evaded an attack like that!
context: Julis!\Behind you!\Ayato!\Hey, are you all right?\Just barely, yeah.\My clothes are shredded, though.\Don't you think that was a bit careless?\Surely you could've evaded an attack like that! response:	You even got your Lux demolished.
context: Behind you!\Ayato!\Hey, are you all right?\Just barely, yeah.\My clothes are shredded, though.\Don't you think that was a bit careless?\Surely you could've evaded an attack like that!\You even got your Lux demolished. response:	Right now, that's about all I can handle.
context: Ayato!\Hey, are you all right?\Just barely, yeah.\My clothes are shredded, though.\Don't you think that was a bit careless?\Surely you could've evaded an attack like that!\You even got your Lux demolished.\Right now, that's about all I can handle. response:	So dealing with multiple opponents isn't your thing?
context: Hey, are you all right?\Just barely, yeah.\My clothes are shredded, though.\Don't you think that was a bit careless?\Surely you could've evaded an attack like that!\You even got your Lux demolished.\Right now, that's about all I can handle.\So dealing with multiple opponents isn't your thing? response:	Well, never mind.
context: Just barely, yeah.\My clothes are shredded, though.\Don't you think that was a bit careless?\Surely you could've evaded an attack like that!\You even got your Lux demolished.\Right now, that's about all I can handle.\So dealing with multiple opponents isn't your thing?\Well, never mind. response:	Security should be showing up soon.
context: My clothes are shredded, though.\Don't you think that was a bit careless?\Surely you could've evaded an attack like that!\You even got your Lux demolished.\Right now, that's about all I can handle.\So dealing with multiple opponents isn't your thing?\Well, never mind.\Security should be showing up soon. response:	Why don't we withdraw, as well?
context: Don't you think that was a bit careless?\Surely you could've evaded an attack like that!\You even got your Lux demolished.\Right now, that's about all I can handle.\So dealing with multiple opponents isn't your thing?\Well, never mind.\Security should be showing up soon.\Why don't we withdraw, as well? response:	Good idea.
context: Surely you could've evaded an attack like that!\You even got your Lux demolished.\Right now, that's about all I can handle.\So dealing with multiple opponents isn't your thing?\Well, never mind.\Security should be showing up soon.\Why don't we withdraw, as well?\Good idea. response:	By the way...
context: You even got your Lux demolished.\Right now, that's about all I can handle.\So dealing with multiple opponents isn't your thing?\Well, never mind.\Security should be showing up soon.\Why don't we withdraw, as well?\Good idea.\By the way... response:	Do you still have some time after this?
context: Right now, that's about all I can handle.\So dealing with multiple opponents isn't your thing?\Well, never mind.\Security should be showing up soon.\Why don't we withdraw, as well?\Good idea.\By the way...\Do you still have some time after this? response:	I'm coming in...
context: So dealing with multiple opponents isn't your thing?\Well, never mind.\Security should be showing up soon.\Why don't we withdraw, as well?\Good idea.\By the way...\Do you still have some time after this?\I'm coming in... response:	Jeez, I hate how that's become like, second nature to me!
context: Well, never mind.\Security should be showing up soon.\Why don't we withdraw, as well?\Good idea.\By the way...\Do you still have some time after this?\I'm coming in...\Jeez, I hate how that's become like, second nature to me! response:	Here you are.
context: Security should be showing up soon.\Why don't we withdraw, as well?\Good idea.\By the way...\Do you still have some time after this?\I'm coming in...\Jeez, I hate how that's become like, second nature to me!\Here you are. response:	All right, let's get this over with, shall we?
context: Why don't we withdraw, as well?\Good idea.\By the way...\Do you still have some time after this?\I'm coming in...\Jeez, I hate how that's become like, second nature to me!\Here you are.\All right, let's get this over with, shall we? response:	Take off your clothes.
context: Good idea.\By the way...\Do you still have some time after this?\I'm coming in...\Jeez, I hate how that's become like, second nature to me!\Here you are.\All right, let's get this over with, shall we?\Take off your clothes. response:	U-Uh... J-J-J-J-Julis?
context: By the way...\Do you still have some time after this?\I'm coming in...\Jeez, I hate how that's become like, second nature to me!\Here you are.\All right, let's get this over with, shall we?\Take off your clothes.\U-Uh... J-J-J-J-Julis? response:	Why are you so flustered?
context: Do you still have some time after this?\I'm coming in...\Jeez, I hate how that's become like, second nature to me!\Here you are.\All right, let's get this over with, shall we?\Take off your clothes.\U-Uh... J-J-J-J-Julis?\Why are you so flustered? response:	Just hurry it up and...
context: I'm coming in...\Jeez, I hate how that's become like, second nature to me!\Here you are.\All right, let's get this over with, shall we?\Take off your clothes.\U-Uh... J-J-J-J-Julis?\Why are you so flustered?\Just hurry it up and... response:	I-Idiot!
context: Jeez, I hate how that's become like, second nature to me!\Here you are.\All right, let's get this over with, shall we?\Take off your clothes.\U-Uh... J-J-J-J-Julis?\Why are you so flustered?\Just hurry it up and...\I-Idiot! response:	G-G-Get your mind out of the gutter!
context: Here you are.\All right, let's get this over with, shall we?\Take off your clothes.\U-Uh... J-J-J-J-Julis?\Why are you so flustered?\Just hurry it up and...\I-Idiot!\G-G-Get your mind out of the gutter! response:	Not that! I'm offering to repair your ripped clothing!
context: All right, let's get this over with, shall we?\Take off your clothes.\U-Uh... J-J-J-J-Julis?\Why are you so flustered?\Just hurry it up and...\I-Idiot!\G-G-Get your mind out of the gutter!\Not that! I'm offering to repair your ripped clothing! response:	Repair? You mean you can sew, Julis?
context: Take off your clothes.\U-Uh... J-J-J-J-Julis?\Why are you so flustered?\Just hurry it up and...\I-Idiot!\G-G-Get your mind out of the gutter!\Not that! I'm offering to repair your ripped clothing!\Repair? You mean you can sew, Julis? response:	It's not my forte... but well, I'm not half bad.
context: U-Uh... J-J-J-J-Julis?\Why are you so flustered?\Just hurry it up and...\I-Idiot!\G-G-Get your mind out of the gutter!\Not that! I'm offering to repair your ripped clothing!\Repair? You mean you can sew, Julis?\It's not my forte... but well, I'm not half bad. response:	I was just as responsible for this, too, you see.
context: Why are you so flustered?\Just hurry it up and...\I-Idiot!\G-G-Get your mind out of the gutter!\Not that! I'm offering to repair your ripped clothing!\Repair? You mean you can sew, Julis?\It's not my forte... but well, I'm not half bad.\I was just as responsible for this, too, you see. response:	I don't wish to incur any more debt from you.
context: Just hurry it up and...\I-Idiot!\G-G-Get your mind out of the gutter!\Not that! I'm offering to repair your ripped clothing!\Repair? You mean you can sew, Julis?\It's not my forte... but well, I'm not half bad.\I was just as responsible for this, too, you see.\I don't wish to incur any more debt from you. response:	Well, if that's the deal, fine...
context: I-Idiot!\G-G-Get your mind out of the gutter!\Not that! I'm offering to repair your ripped clothing!\Repair? You mean you can sew, Julis?\It's not my forte... but well, I'm not half bad.\I was just as responsible for this, too, you see.\I don't wish to incur any more debt from you.\Well, if that's the deal, fine... response:	Is this another thing you learned from your friends?
