context: We will now begin the second phase of the footman audition. response:	There is only one assignment in this second phase.
context: Shut up! And I said you made your point, so get off of me!\Stop smirking, you perv!\Oh, good. They're still arguing, but looks like it didn't turn into a fight.\You're right.\We'll now begin phase three of the footman audition.\Usui... you know...\I'll do my best not to overdo it,\but I will still do my best until the end. response:	Aoi-chan! Subaru! Over here!
context: Stop smirking, you perv!\Oh, good. They're still arguing, but looks like it didn't turn into a fight.\You're right.\We'll now begin phase three of the footman audition.\Usui... you know...\I'll do my best not to overdo it,\but I will still do my best until the end.\Aoi-chan! Subaru! Over here! response:	I'm sorry for the trouble you went through. Are you two okay?
context: Oh, good. They're still arguing, but looks like it didn't turn into a fight.\You're right.\We'll now begin phase three of the footman audition.\Usui... you know...\I'll do my best not to overdo it,\but I will still do my best until the end.\Aoi-chan! Subaru! Over here!\I'm sorry for the trouble you went through. Are you two okay? response:	Yes.
context: You're right.\We'll now begin phase three of the footman audition.\Usui... you know...\I'll do my best not to overdo it,\but I will still do my best until the end.\Aoi-chan! Subaru! Over here!\I'm sorry for the trouble you went through. Are you two okay?\Yes. response:	Aoi-chan! You're doing something like this again without telling me anything!
context: We'll now begin phase three of the footman audition.\Usui... you know...\I'll do my best not to overdo it,\but I will still do my best until the end.\Aoi-chan! Subaru! Over here!\I'm sorry for the trouble you went through. Are you two okay?\Yes.\Aoi-chan! You're doing something like this again without telling me anything! response:	Yeah, yeah. I don't want to hear your lectures.
context: Usui... you know...\I'll do my best not to overdo it,\but I will still do my best until the end.\Aoi-chan! Subaru! Over here!\I'm sorry for the trouble you went through. Are you two okay?\Yes.\Aoi-chan! You're doing something like this again without telling me anything!\Yeah, yeah. I don't want to hear your lectures. response:	Gosh!
context: I'll do my best not to overdo it,\but I will still do my best until the end.\Aoi-chan! Subaru! Over here!\I'm sorry for the trouble you went through. Are you two okay?\Yes.\Aoi-chan! You're doing something like this again without telling me anything!\Yeah, yeah. I don't want to hear your lectures.\Gosh! response:	There's no way I'm going to sit around and watch Satsuki-san's place getting taken over
context: but I will still do my best until the end.\Aoi-chan! Subaru! Over here!\I'm sorry for the trouble you went through. Are you two okay?\Yes.\Aoi-chan! You're doing something like this again without telling me anything!\Yeah, yeah. I don't want to hear your lectures.\Gosh!\There's no way I'm going to sit around and watch Satsuki-san's place getting taken over response:	and replaced by something as uncute as a butler cafe.
context: Aoi-chan! Subaru! Over here!\I'm sorry for the trouble you went through. Are you two okay?\Yes.\Aoi-chan! You're doing something like this again without telling me anything!\Yeah, yeah. I don't want to hear your lectures.\Gosh!\There's no way I'm going to sit around and watch Satsuki-san's place getting taken over\and replaced by something as uncute as a butler cafe. response:	Aoi-chan.
context: I'm sorry for the trouble you went through. Are you two okay?\Yes.\Aoi-chan! You're doing something like this again without telling me anything!\Yeah, yeah. I don't want to hear your lectures.\Gosh!\There's no way I'm going to sit around and watch Satsuki-san's place getting taken over\and replaced by something as uncute as a butler cafe.\Aoi-chan. response:	I'm supposed to make that place cuter in the future.
context: Yes.\Aoi-chan! You're doing something like this again without telling me anything!\Yeah, yeah. I don't want to hear your lectures.\Gosh!\There's no way I'm going to sit around and watch Satsuki-san's place getting taken over\and replaced by something as uncute as a butler cafe.\Aoi-chan.\I'm supposed to make that place cuter in the future. response:	Aoi-chan... You plan on taking over my shop?
context: Aoi-chan! You're doing something like this again without telling me anything!\Yeah, yeah. I don't want to hear your lectures.\Gosh!\There's no way I'm going to sit around and watch Satsuki-san's place getting taken over\and replaced by something as uncute as a butler cafe.\Aoi-chan.\I'm supposed to make that place cuter in the future.\Aoi-chan... You plan on taking over my shop? response:	If you ask me, she's the one being reckless.
context: Yeah, yeah. I don't want to hear your lectures.\Gosh!\There's no way I'm going to sit around and watch Satsuki-san's place getting taken over\and replaced by something as uncute as a butler cafe.\Aoi-chan.\I'm supposed to make that place cuter in the future.\Aoi-chan... You plan on taking over my shop?\If you ask me, she's the one being reckless. response:	What is that girl thinking?
context: Gosh!\There's no way I'm going to sit around and watch Satsuki-san's place getting taken over\and replaced by something as uncute as a butler cafe.\Aoi-chan.\I'm supposed to make that place cuter in the future.\Aoi-chan... You plan on taking over my shop?\If you ask me, she's the one being reckless.\What is that girl thinking? response:	I'm glad. Those two made it back to where everyone is.
context: There's no way I'm going to sit around and watch Satsuki-san's place getting taken over\and replaced by something as uncute as a butler cafe.\Aoi-chan.\I'm supposed to make that place cuter in the future.\Aoi-chan... You plan on taking over my shop?\If you ask me, she's the one being reckless.\What is that girl thinking?\I'm glad. Those two made it back to where everyone is. response:	I know I'm being reckless.
context: and replaced by something as uncute as a butler cafe.\Aoi-chan.\I'm supposed to make that place cuter in the future.\Aoi-chan... You plan on taking over my shop?\If you ask me, she's the one being reckless.\What is that girl thinking?\I'm glad. Those two made it back to where everyone is.\I know I'm being reckless. response:	Still, I can't turn back down now.
context: Aoi-chan.\I'm supposed to make that place cuter in the future.\Aoi-chan... You plan on taking over my shop?\If you ask me, she's the one being reckless.\What is that girl thinking?\I'm glad. Those two made it back to where everyone is.\I know I'm being reckless.\Still, I can't turn back down now. response:	Not since I brought up the takeover.
context: I'm supposed to make that place cuter in the future.\Aoi-chan... You plan on taking over my shop?\If you ask me, she's the one being reckless.\What is that girl thinking?\I'm glad. Those two made it back to where everyone is.\I know I'm being reckless.\Still, I can't turn back down now.\Not since I brought up the takeover. response:	Wow, I was really able to jam it in.
context: Aoi-chan... You plan on taking over my shop?\If you ask me, she's the one being reckless.\What is that girl thinking?\I'm glad. Those two made it back to where everyone is.\I know I'm being reckless.\Still, I can't turn back down now.\Not since I brought up the takeover.\Wow, I was really able to jam it in. response:	We're not here to play around, stupid Usui!
context: If you ask me, she's the one being reckless.\What is that girl thinking?\I'm glad. Those two made it back to where everyone is.\I know I'm being reckless.\Still, I can't turn back down now.\Not since I brought up the takeover.\Wow, I was really able to jam it in.\We're not here to play around, stupid Usui! response:	What is this paper for?
context: What is that girl thinking?\I'm glad. Those two made it back to where everyone is.\I know I'm being reckless.\Still, I can't turn back down now.\Not since I brought up the takeover.\Wow, I was really able to jam it in.\We're not here to play around, stupid Usui!\What is this paper for? response:	49?
context: I'm glad. Those two made it back to where everyone is.\I know I'm being reckless.\Still, I can't turn back down now.\Not since I brought up the takeover.\Wow, I was really able to jam it in.\We're not here to play around, stupid Usui!\What is this paper for?\49? response:	Have you all received a paper with a number written on it?
context: I know I'm being reckless.\Still, I can't turn back down now.\Not since I brought up the takeover.\Wow, I was really able to jam it in.\We're not here to play around, stupid Usui!\What is this paper for?\49?\Have you all received a paper with a number written on it? response:	The number I had each group draw is the order of audition.
context: Still, I can't turn back down now.\Not since I brought up the takeover.\Wow, I was really able to jam it in.\We're not here to play around, stupid Usui!\What is this paper for?\49?\Have you all received a paper with a number written on it?\The number I had each group draw is the order of audition. response:	The final phase is a customer relations simulation.
context: Not since I brought up the takeover.\Wow, I was really able to jam it in.\We're not here to play around, stupid Usui!\What is this paper for?\49?\Have you all received a paper with a number written on it?\The number I had each group draw is the order of audition.\The final phase is a customer relations simulation. response:	We will have you wait on the judges.
context: Wow, I was really able to jam it in.\We're not here to play around, stupid Usui!\What is this paper for?\49?\Have you all received a paper with a number written on it?\The number I had each group draw is the order of audition.\The final phase is a customer relations simulation.\We will have you wait on the judges. response:	What we are looking for is elegance and loyalty, while handling tension.
context: We're not here to play around, stupid Usui!\What is this paper for?\49?\Have you all received a paper with a number written on it?\The number I had each group draw is the order of audition.\The final phase is a customer relations simulation.\We will have you wait on the judges.\What we are looking for is elegance and loyalty, while handling tension. response:	How well can you improvise in a situation where you can't make mistakes.
context: What is this paper for?\49?\Have you all received a paper with a number written on it?\The number I had each group draw is the order of audition.\The final phase is a customer relations simulation.\We will have you wait on the judges.\What we are looking for is elegance and loyalty, while handling tension.\How well can you improvise in a situation where you can't make mistakes. response:	This is the most important task.
context: 49?\Have you all received a paper with a number written on it?\The number I had each group draw is the order of audition.\The final phase is a customer relations simulation.\We will have you wait on the judges.\What we are looking for is elegance and loyalty, while handling tension.\How well can you improvise in a situation where you can't make mistakes.\This is the most important task. response:	Good luck, everyone.
context: Have you all received a paper with a number written on it?\The number I had each group draw is the order of audition.\The final phase is a customer relations simulation.\We will have you wait on the judges.\What we are looking for is elegance and loyalty, while handling tension.\How well can you improvise in a situation where you can't make mistakes.\This is the most important task.\Good luck, everyone. response:	Our pair switching reduced the number of pairs by one,
context: The number I had each group draw is the order of audition.\The final phase is a customer relations simulation.\We will have you wait on the judges.\What we are looking for is elegance and loyalty, while handling tension.\How well can you improvise in a situation where you can't make mistakes.\This is the most important task.\Good luck, everyone.\Our pair switching reduced the number of pairs by one, response:	so we're dead last.
context: The final phase is a customer relations simulation.\We will have you wait on the judges.\What we are looking for is elegance and loyalty, while handling tension.\How well can you improvise in a situation where you can't make mistakes.\This is the most important task.\Good luck, everyone.\Our pair switching reduced the number of pairs by one,\so we're dead last. response:	Usui je Nye-san, I'm all nervous. How are you?
context: We will have you wait on the judges.\What we are looking for is elegance and loyalty, while handling tension.\How well can you improvise in a situation where you can't make mistakes.\This is the most important task.\Good luck, everyone.\Our pair switching reduced the number of pairs by one,\so we're dead last.\Usui je Nye-san, I'm all nervous. How are you? response:	Go away! He'll know it's me if he comes this close!
context: What we are looking for is elegance and loyalty, while handling tension.\How well can you improvise in a situation where you can't make mistakes.\This is the most important task.\Good luck, everyone.\Our pair switching reduced the number of pairs by one,\so we're dead last.\Usui je Nye-san, I'm all nervous. How are you?\Go away! He'll know it's me if he comes this close! response:	Usu...
context: How well can you improvise in a situation where you can't make mistakes.\This is the most important task.\Good luck, everyone.\Our pair switching reduced the number of pairs by one,\so we're dead last.\Usui je Nye-san, I'm all nervous. How are you?\Go away! He'll know it's me if he comes this close!\Usu... response:	Are they alright?
context: This is the most important task.\Good luck, everyone.\Our pair switching reduced the number of pairs by one,\so we're dead last.\Usui je Nye-san, I'm all nervous. How are you?\Go away! He'll know it's me if he comes this close!\Usu...\Are they alright? response:	Is he conscious?
context: Good luck, everyone.\Our pair switching reduced the number of pairs by one,\so we're dead last.\Usui je Nye-san, I'm all nervous. How are you?\Go away! He'll know it's me if he comes this close!\Usu...\Are they alright?\Is he conscious? response:	Wake up, both of you!
context: Our pair switching reduced the number of pairs by one,\so we're dead last.\Usui je Nye-san, I'm all nervous. How are you?\Go away! He'll know it's me if he comes this close!\Usu...\Are they alright?\Is he conscious?\Wake up, both of you! response:	Usui.
context: so we're dead last.\Usui je Nye-san, I'm all nervous. How are you?\Go away! He'll know it's me if he comes this close!\Usu...\Are they alright?\Is he conscious?\Wake up, both of you!\Usui. response:	Hey, Usui!
context: Usui je Nye-san, I'm all nervous. How are you?\Go away! He'll know it's me if he comes this close!\Usu...\Are they alright?\Is he conscious?\Wake up, both of you!\Usui.\Hey, Usui! response:	Usui! Usui!
context: Go away! He'll know it's me if he comes this close!\Usu...\Are they alright?\Is he conscious?\Wake up, both of you!\Usui.\Hey, Usui!\Usui! Usui! response:	Usui!
context: Usu...\Are they alright?\Is he conscious?\Wake up, both of you!\Usui.\Hey, Usui!\Usui! Usui!\Usui! response:	Usui...
context: Are they alright?\Is he conscious?\Wake up, both of you!\Usui.\Hey, Usui!\Usui! Usui!\Usui!\Usui... response:	Are you hurt?
context: Is he conscious?\Wake up, both of you!\Usui.\Hey, Usui!\Usui! Usui!\Usui!\Usui...\Are you hurt? response:	I'm fine.
context: Wake up, both of you!\Usui.\Hey, Usui!\Usui! Usui!\Usui!\Usui...\Are you hurt?\I'm fine. response:	I'm fine, too, Misaki-kun.
context: Usui.\Hey, Usui!\Usui! Usui!\Usui!\Usui...\Are you hurt?\I'm fine.\I'm fine, too, Misaki-kun. response:	You shouldn't move. You need to get first aid.
context: Hey, Usui!\Usui! Usui!\Usui!\Usui...\Are you hurt?\I'm fine.\I'm fine, too, Misaki-kun.\You shouldn't move. You need to get first aid. response:	I'm fine.
context: Usui! Usui!\Usui!\Usui...\Are you hurt?\I'm fine.\I'm fine, too, Misaki-kun.\You shouldn't move. You need to get first aid.\I'm fine. response:	Of course you're not.
context: Usui!\Usui...\Are you hurt?\I'm fine.\I'm fine, too, Misaki-kun.\You shouldn't move. You need to get first aid.\I'm fine.\Of course you're not. response:	Even for you, you fell while protecting me.
context: Usui...\Are you hurt?\I'm fine.\I'm fine, too, Misaki-kun.\You shouldn't move. You need to get first aid.\I'm fine.\Of course you're not.\Even for you, you fell while protecting me. response:	There's no way you're not hurt!
context: Are you hurt?\I'm fine.\I'm fine, too, Misaki-kun.\You shouldn't move. You need to get first aid.\I'm fine.\Of course you're not.\Even for you, you fell while protecting me.\There's no way you're not hurt! response:	Misaki-kun.
context: I'm fine.\I'm fine, too, Misaki-kun.\You shouldn't move. You need to get first aid.\I'm fine.\Of course you're not.\Even for you, you fell while protecting me.\There's no way you're not hurt!\Misaki-kun. response:	The cafe's staff looks worried.
context: I'm fine, too, Misaki-kun.\You shouldn't move. You need to get first aid.\I'm fine.\Of course you're not.\Even for you, you fell while protecting me.\There's no way you're not hurt!\Misaki-kun.\The cafe's staff looks worried. response:	If you're fine, you should wave at them.
context: You shouldn't move. You need to get first aid.\I'm fine.\Of course you're not.\Even for you, you fell while protecting me.\There's no way you're not hurt!\Misaki-kun.\The cafe's staff looks worried.\If you're fine, you should wave at them. response:	You...
context: I'm fine.\Of course you're not.\Even for you, you fell while protecting me.\There's no way you're not hurt!\Misaki-kun.\The cafe's staff looks worried.\If you're fine, you should wave at them.\You... response:	Your arm's...
context: Of course you're not.\Even for you, you fell while protecting me.\There's no way you're not hurt!\Misaki-kun.\The cafe's staff looks worried.\If you're fine, you should wave at them.\You...\Your arm's... response:	Are you really okay?
context: Even for you, you fell while protecting me.\There's no way you're not hurt!\Misaki-kun.\The cafe's staff looks worried.\If you're fine, you should wave at them.\You...\Your arm's...\Are you really okay? response:	If not, I'll call a doctor.
context: There's no way you're not hurt!\Misaki-kun.\The cafe's staff looks worried.\If you're fine, you should wave at them.\You...\Your arm's...\Are you really okay?\If not, I'll call a doctor. response:	That won't be necessary.
context: Misaki-kun.\The cafe's staff looks worried.\If you're fine, you should wave at them.\You...\Your arm's...\Are you really okay?\If not, I'll call a doctor.\That won't be necessary. response:	Next, number 49.
context: The cafe's staff looks worried.\If you're fine, you should wave at them.\You...\Your arm's...\Are you really okay?\If not, I'll call a doctor.\That won't be necessary.\Next, number 49. response:	It's finally our turn.
context: If you're fine, you should wave at them.\You...\Your arm's...\Are you really okay?\If not, I'll call a doctor.\That won't be necessary.\Next, number 49.\It's finally our turn. response:	That reaction earlier.
context: You...\Your arm's...\Are you really okay?\If not, I'll call a doctor.\That won't be necessary.\Next, number 49.\It's finally our turn.\That reaction earlier. response:	His left arm should be badly hurt.
context: Your arm's...\Are you really okay?\If not, I'll call a doctor.\That won't be necessary.\Next, number 49.\It's finally our turn.\That reaction earlier.\His left arm should be badly hurt. response:	And his right wrist, too.
context: Are you really okay?\If not, I'll call a doctor.\That won't be necessary.\Next, number 49.\It's finally our turn.\That reaction earlier.\His left arm should be badly hurt.\And his right wrist, too. response:	Is it all right to let him go up those stairs like this?
context: If not, I'll call a doctor.\That won't be necessary.\Next, number 49.\It's finally our turn.\That reaction earlier.\His left arm should be badly hurt.\And his right wrist, too.\Is it all right to let him go up those stairs like this? response:	But if I quit now...
context: That won't be necessary.\Next, number 49.\It's finally our turn.\That reaction earlier.\His left arm should be badly hurt.\And his right wrist, too.\Is it all right to let him go up those stairs like this?\But if I quit now... response:	We'll now begin your audition.
context: Next, number 49.\It's finally our turn.\That reaction earlier.\His left arm should be badly hurt.\And his right wrist, too.\Is it all right to let him go up those stairs like this?\But if I quit now...\We'll now begin your audition. response:	The customer and the judge will be me, Maki.
context: It's finally our turn.\That reaction earlier.\His left arm should be badly hurt.\And his right wrist, too.\Is it all right to let him go up those stairs like this?\But if I quit now...\We'll now begin your audition.\The customer and the judge will be me, Maki. response:	I look forward to your service.
context: That reaction earlier.\His left arm should be badly hurt.\And his right wrist, too.\Is it all right to let him go up those stairs like this?\But if I quit now...\We'll now begin your audition.\The customer and the judge will be me, Maki.\I look forward to your service. response:	Thank you.
context: His left arm should be badly hurt.\And his right wrist, too.\Is it all right to let him go up those stairs like this?\But if I quit now...\We'll now begin your audition.\The customer and the judge will be me, Maki.\I look forward to your service.\Thank you. response:	It's started.
context: And his right wrist, too.\Is it all right to let him go up those stairs like this?\But if I quit now...\We'll now begin your audition.\The customer and the judge will be me, Maki.\I look forward to your service.\Thank you.\It's started. response:	I knew that slit eye would come out.
context: Is it all right to let him go up those stairs like this?\But if I quit now...\We'll now begin your audition.\The customer and the judge will be me, Maki.\I look forward to your service.\Thank you.\It's started.\I knew that slit eye would come out. response:	This is the last thing they do, right?
context: But if I quit now...\We'll now begin your audition.\The customer and the judge will be me, Maki.\I look forward to your service.\Thank you.\It's started.\I knew that slit eye would come out.\This is the last thing they do, right? response:	Please. Let there be no more issues.
context: We'll now begin your audition.\The customer and the judge will be me, Maki.\I look forward to your service.\Thank you.\It's started.\I knew that slit eye would come out.\This is the last thing they do, right?\Please. Let there be no more issues. response:	I hope they'll come back safe.
context: The customer and the judge will be me, Maki.\I look forward to your service.\Thank you.\It's started.\I knew that slit eye would come out.\This is the last thing they do, right?\Please. Let there be no more issues.\I hope they'll come back safe. response:	Let me take your bag for you.
context: I look forward to your service.\Thank you.\It's started.\I knew that slit eye would come out.\This is the last thing they do, right?\Please. Let there be no more issues.\I hope they'll come back safe.\Let me take your bag for you. response:	Then your coat, too.
context: Thank you.\It's started.\I knew that slit eye would come out.\This is the last thing they do, right?\Please. Let there be no more issues.\I hope they'll come back safe.\Let me take your bag for you.\Then your coat, too. response:	Let me take your coat, too.
context: It's started.\I knew that slit eye would come out.\This is the last thing they do, right?\Please. Let there be no more issues.\I hope they'll come back safe.\Let me take your bag for you.\Then your coat, too.\Let me take your coat, too. response:	Let me show you to your table.
context: I knew that slit eye would come out.\This is the last thing they do, right?\Please. Let there be no more issues.\I hope they'll come back safe.\Let me take your bag for you.\Then your coat, too.\Let me take your coat, too.\Let me show you to your table. response:	That's right. I'll let Usui handle the guiding and talking.
context: This is the last thing they do, right?\Please. Let there be no more issues.\I hope they'll come back safe.\Let me take your bag for you.\Then your coat, too.\Let me take your coat, too.\Let me show you to your table.\That's right. I'll let Usui handle the guiding and talking. response:	I'll take on all the manual labor.
context: Please. Let there be no more issues.\I hope they'll come back safe.\Let me take your bag for you.\Then your coat, too.\Let me take your coat, too.\Let me show you to your table.\That's right. I'll let Usui handle the guiding and talking.\I'll take on all the manual labor. response:	I can't increase Usui's burden when his arms are injured.
context: I hope they'll come back safe.\Let me take your bag for you.\Then your coat, too.\Let me take your coat, too.\Let me show you to your table.\That's right. I'll let Usui handle the guiding and talking.\I'll take on all the manual labor.\I can't increase Usui's burden when his arms are injured. response:	Did you need us, Master?
context: Let me take your bag for you.\Then your coat, too.\Let me take your coat, too.\Let me show you to your table.\That's right. I'll let Usui handle the guiding and talking.\I'll take on all the manual labor.\I can't increase Usui's burden when his arms are injured.\Did you need us, Master? response:	I'd like to order dinner now.
context: Then your coat, too.\Let me take your coat, too.\Let me show you to your table.\That's right. I'll let Usui handle the guiding and talking.\I'll take on all the manual labor.\I can't increase Usui's burden when his arms are injured.\Did you need us, Master?\I'd like to order dinner now. response:	Yes, certainly!
context: Let me take your coat, too.\Let me show you to your table.\That's right. I'll let Usui handle the guiding and talking.\I'll take on all the manual labor.\I can't increase Usui's burden when his arms are injured.\Did you need us, Master?\I'd like to order dinner now.\Yes, certainly! response:	Oh, and you.
context: Let me show you to your table.\That's right. I'll let Usui handle the guiding and talking.\I'll take on all the manual labor.\I can't increase Usui's burden when his arms are injured.\Did you need us, Master?\I'd like to order dinner now.\Yes, certainly!\Oh, and you. response:	I'd like to have something to read.
context: That's right. I'll let Usui handle the guiding and talking.\I'll take on all the manual labor.\I can't increase Usui's burden when his arms are injured.\Did you need us, Master?\I'd like to order dinner now.\Yes, certainly!\Oh, and you.\I'd like to have something to read. response:	Can you bring about 10 books from over there?
context: I'll take on all the manual labor.\I can't increase Usui's burden when his arms are injured.\Did you need us, Master?\I'd like to order dinner now.\Yes, certainly!\Oh, and you.\I'd like to have something to read.\Can you bring about 10 books from over there? response:	Certainly.
context: I can't increase Usui's burden when his arms are injured.\Did you need us, Master?\I'd like to order dinner now.\Yes, certainly!\Oh, and you.\I'd like to have something to read.\Can you bring about 10 books from over there?\Certainly. response:	Please enjoy, Master!
context: Did you need us, Master?\I'd like to order dinner now.\Yes, certainly!\Oh, and you.\I'd like to have something to read.\Can you bring about 10 books from over there?\Certainly.\Please enjoy, Master! response:	It's been bothering me for a while now, but are you covering for him?
context: I'd like to order dinner now.\Yes, certainly!\Oh, and you.\I'd like to have something to read.\Can you bring about 10 books from over there?\Certainly.\Please enjoy, Master!\It's been bothering me for a while now, but are you covering for him? response:	There must be a reason.
context: Yes, certainly!\Oh, and you.\I'd like to have something to read.\Can you bring about 10 books from over there?\Certainly.\Please enjoy, Master!\It's been bothering me for a while now, but are you covering for him?\There must be a reason. response:	Perhaps you don't want him to hold anything?
context: Oh, and you.\I'd like to have something to read.\Can you bring about 10 books from over there?\Certainly.\Please enjoy, Master!\It's been bothering me for a while now, but are you covering for him?\There must be a reason.\Perhaps you don't want him to hold anything? response:	I'm sorry, it was not my place to inquire into your affairs.
context: I'd like to have something to read.\Can you bring about 10 books from over there?\Certainly.\Please enjoy, Master!\It's been bothering me for a while now, but are you covering for him?\There must be a reason.\Perhaps you don't want him to hold anything?\I'm sorry, it was not my place to inquire into your affairs. response:	But if he is incapable of working, I shouldn't ask him to do anything, should I?
context: Can you bring about 10 books from over there?\Certainly.\Please enjoy, Master!\It's been bothering me for a while now, but are you covering for him?\There must be a reason.\Perhaps you don't want him to hold anything?\I'm sorry, it was not my place to inquire into your affairs.\But if he is incapable of working, I shouldn't ask him to do anything, should I? response:	Crap...
context: Certainly.\Please enjoy, Master!\It's been bothering me for a while now, but are you covering for him?\There must be a reason.\Perhaps you don't want him to hold anything?\I'm sorry, it was not my place to inquire into your affairs.\But if he is incapable of working, I shouldn't ask him to do anything, should I?\Crap... response:	Thank you for your kind thoughts, Master.
context: Please enjoy, Master!\It's been bothering me for a while now, but are you covering for him?\There must be a reason.\Perhaps you don't want him to hold anything?\I'm sorry, it was not my place to inquire into your affairs.\But if he is incapable of working, I shouldn't ask him to do anything, should I?\Crap...\Thank you for your kind thoughts, Master. response:	But we have no purpose without your commands.
context: It's been bothering me for a while now, but are you covering for him?\There must be a reason.\Perhaps you don't want him to hold anything?\I'm sorry, it was not my place to inquire into your affairs.\But if he is incapable of working, I shouldn't ask him to do anything, should I?\Crap...\Thank you for your kind thoughts, Master.\But we have no purpose without your commands. response:	Please ask for whatever you'd like.
context: There must be a reason.\Perhaps you don't want him to hold anything?\I'm sorry, it was not my place to inquire into your affairs.\But if he is incapable of working, I shouldn't ask him to do anything, should I?\Crap...\Thank you for your kind thoughts, Master.\But we have no purpose without your commands.\Please ask for whatever you'd like. response:	I only drew attention to Usui...
context: Perhaps you don't want him to hold anything?\I'm sorry, it was not my place to inquire into your affairs.\But if he is incapable of working, I shouldn't ask him to do anything, should I?\Crap...\Thank you for your kind thoughts, Master.\But we have no purpose without your commands.\Please ask for whatever you'd like.\I only drew attention to Usui... response:	But you have an issue, do you not?
context: I'm sorry, it was not my place to inquire into your affairs.\But if he is incapable of working, I shouldn't ask him to do anything, should I?\Crap...\Thank you for your kind thoughts, Master.\But we have no purpose without your commands.\Please ask for whatever you'd like.\I only drew attention to Usui...\But you have an issue, do you not? response:	For instance, an injury?
context: But if he is incapable of working, I shouldn't ask him to do anything, should I?\Crap...\Thank you for your kind thoughts, Master.\But we have no purpose without your commands.\Please ask for whatever you'd like.\I only drew attention to Usui...\But you have an issue, do you not?\For instance, an injury? response:	He is doing my work for me in order to leave me free to do other tasks.
context: Crap...\Thank you for your kind thoughts, Master.\But we have no purpose without your commands.\Please ask for whatever you'd like.\I only drew attention to Usui...\But you have an issue, do you not?\For instance, an injury?\He is doing my work for me in order to leave me free to do other tasks. response:	I'd like to ask your permission for one thing.
context: Thank you for your kind thoughts, Master.\But we have no purpose without your commands.\Please ask for whatever you'd like.\I only drew attention to Usui...\But you have an issue, do you not?\For instance, an injury?\He is doing my work for me in order to leave me free to do other tasks.\I'd like to ask your permission for one thing. response:	So this other task is playing violin?
context: But we have no purpose without your commands.\Please ask for whatever you'd like.\I only drew attention to Usui...\But you have an issue, do you not?\For instance, an injury?\He is doing my work for me in order to leave me free to do other tasks.\I'd like to ask your permission for one thing.\So this other task is playing violin? response:	I never knew he could play.
context: Please ask for whatever you'd like.\I only drew attention to Usui...\But you have an issue, do you not?\For instance, an injury?\He is doing my work for me in order to leave me free to do other tasks.\I'd like to ask your permission for one thing.\So this other task is playing violin?\I never knew he could play. response:	But his wrist is...
context: I only drew attention to Usui...\But you have an issue, do you not?\For instance, an injury?\He is doing my work for me in order to leave me free to do other tasks.\I'd like to ask your permission for one thing.\So this other task is playing violin?\I never knew he could play.\But his wrist is... response:	Wow.
context: But you have an issue, do you not?\For instance, an injury?\He is doing my work for me in order to leave me free to do other tasks.\I'd like to ask your permission for one thing.\So this other task is playing violin?\I never knew he could play.\But his wrist is...\Wow. response:	He's good.
context: For instance, an injury?\He is doing my work for me in order to leave me free to do other tasks.\I'd like to ask your permission for one thing.\So this other task is playing violin?\I never knew he could play.\But his wrist is...\Wow.\He's good. response:	I see. Well done.
context: He is doing my work for me in order to leave me free to do other tasks.\I'd like to ask your permission for one thing.\So this other task is playing violin?\I never knew he could play.\But his wrist is...\Wow.\He's good.\I see. Well done. response:	It'll make the dinner taste even better.
context: I'd like to ask your permission for one thing.\So this other task is playing violin?\I never knew he could play.\But his wrist is...\Wow.\He's good.\I see. Well done.\It'll make the dinner taste even better. response:	I'll take the moment to enjoy the performance.
context: So this other task is playing violin?\I never knew he could play.\But his wrist is...\Wow.\He's good.\I see. Well done.\It'll make the dinner taste even better.\I'll take the moment to enjoy the performance. response:	He's starting to show that he's in pain.
context: I never knew he could play.\But his wrist is...\Wow.\He's good.\I see. Well done.\It'll make the dinner taste even better.\I'll take the moment to enjoy the performance.\He's starting to show that he's in pain. response:	They're taking much longer than the others.
context: But his wrist is...\Wow.\He's good.\I see. Well done.\It'll make the dinner taste even better.\I'll take the moment to enjoy the performance.\He's starting to show that he's in pain.\They're taking much longer than the others. response:	I hid my gender this long in order to protect the cafe.
context: Wow.\He's good.\I see. Well done.\It'll make the dinner taste even better.\I'll take the moment to enjoy the performance.\He's starting to show that he's in pain.\They're taking much longer than the others.\I hid my gender this long in order to protect the cafe. response:	I thought that this was the only way to handle the situation...
context: He's good.\I see. Well done.\It'll make the dinner taste even better.\I'll take the moment to enjoy the performance.\He's starting to show that he's in pain.\They're taking much longer than the others.\I hid my gender this long in order to protect the cafe.\I thought that this was the only way to handle the situation... response:	But...
context: I see. Well done.\It'll make the dinner taste even better.\I'll take the moment to enjoy the performance.\He's starting to show that he's in pain.\They're taking much longer than the others.\I hid my gender this long in order to protect the cafe.\I thought that this was the only way to handle the situation...\But... response:	That's enough.
context: It'll make the dinner taste even better.\I'll take the moment to enjoy the performance.\He's starting to show that he's in pain.\They're taking much longer than the others.\I hid my gender this long in order to protect the cafe.\I thought that this was the only way to handle the situation...\But...\That's enough. response:	Stop already!
context: I'll take the moment to enjoy the performance.\He's starting to show that he's in pain.\They're taking much longer than the others.\I hid my gender this long in order to protect the cafe.\I thought that this was the only way to handle the situation...\But...\That's enough.\Stop already! response:	Is something the matter?
