context: An employee directory dating back to ten years. response:	It should be sufficient if we're able to trace the records to that extent.
context: Au revoir!\Getting used to an unfamiliar host is so annoying...\This crow...\I see.\You're the cat from before.\So you're a possession-type contractor, too?\What if I am?\You've lost it as well. response:	What?
context: Getting used to an unfamiliar host is so annoying...\This crow...\I see.\You're the cat from before.\So you're a possession-type contractor, too?\What if I am?\You've lost it as well.\What? response:	Your body.
context: This crow...\I see.\You're the cat from before.\So you're a possession-type contractor, too?\What if I am?\You've lost it as well.\What?\Your body. response:	H-Hey!
context: I see.\You're the cat from before.\So you're a possession-type contractor, too?\What if I am?\You've lost it as well.\What?\Your body.\H-Hey! response:	Hei!
context: You're the cat from before.\So you're a possession-type contractor, too?\What if I am?\You've lost it as well.\What?\Your body.\H-Hey!\Hei! response:	Another contractor?
context: So you're a possession-type contractor, too?\What if I am?\You've lost it as well.\What?\Your body.\H-Hey!\Hei!\Another contractor? response:	Move to his blind side.
context: What if I am?\You've lost it as well.\What?\Your body.\H-Hey!\Hei!\Another contractor?\Move to his blind side. response:	He won't be able to possess your body if you stay away from his line of sight!
context: You've lost it as well.\What?\Your body.\H-Hey!\Hei!\Another contractor?\Move to his blind side.\He won't be able to possess your body if you stay away from his line of sight! response:	W-Wait!
context: What?\Your body.\H-Hey!\Hei!\Another contractor?\Move to his blind side.\He won't be able to possess your body if you stay away from his line of sight!\W-Wait! response:	Hei! Shit! Help me!
context: Your body.\H-Hey!\Hei!\Another contractor?\Move to his blind side.\He won't be able to possess your body if you stay away from his line of sight!\W-Wait!\Hei! Shit! Help me! response:	Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)
context: H-Hey!\Hei!\Another contractor?\Move to his blind side.\He won't be able to possess your body if you stay away from his line of sight!\W-Wait!\Hei! Shit! Help me!\Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two) response:	I can't believe it.
context: Hei!\Another contractor?\Move to his blind side.\He won't be able to possess your body if you stay away from his line of sight!\W-Wait!\Hei! Shit! Help me!\Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)\I can't believe it. response:	What were you doing swimming at this time of year?
context: Another contractor?\Move to his blind side.\He won't be able to possess your body if you stay away from his line of sight!\W-Wait!\Hei! Shit! Help me!\Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)\I can't believe it.\What were you doing swimming at this time of year? response:	I have no idea.
context: Move to his blind side.\He won't be able to possess your body if you stay away from his line of sight!\W-Wait!\Hei! Shit! Help me!\Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)\I can't believe it.\What were you doing swimming at this time of year?\I have no idea. response:	You shouldn't stick your nose into frivolous matters.
context: He won't be able to possess your body if you stay away from his line of sight!\W-Wait!\Hei! Shit! Help me!\Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)\I can't believe it.\What were you doing swimming at this time of year?\I have no idea.\You shouldn't stick your nose into frivolous matters. response:	You're going to lose your balls.
context: W-Wait!\Hei! Shit! Help me!\Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)\I can't believe it.\What were you doing swimming at this time of year?\I have no idea.\You shouldn't stick your nose into frivolous matters.\You're going to lose your balls. response:	A man's job is tough.
context: Hei! Shit! Help me!\Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)\I can't believe it.\What were you doing swimming at this time of year?\I have no idea.\You shouldn't stick your nose into frivolous matters.\You're going to lose your balls.\A man's job is tough. response:	Did you find the cat, Miss Flat Chest?
context: Episode Eight The Scent of Gardenias Lingers in the Summer Rain... (Part Two)\I can't believe it.\What were you doing swimming at this time of year?\I have no idea.\You shouldn't stick your nose into frivolous matters.\You're going to lose your balls.\A man's job is tough.\Did you find the cat, Miss Flat Chest? response:	Again with the sexual harassment...
context: I can't believe it.\What were you doing swimming at this time of year?\I have no idea.\You shouldn't stick your nose into frivolous matters.\You're going to lose your balls.\A man's job is tough.\Did you find the cat, Miss Flat Chest?\Again with the sexual harassment... response:	Oh, about that garbage mansion case...
context: What were you doing swimming at this time of year?\I have no idea.\You shouldn't stick your nose into frivolous matters.\You're going to lose your balls.\A man's job is tough.\Did you find the cat, Miss Flat Chest?\Again with the sexual harassment...\Oh, about that garbage mansion case... response:	It looked interesting, so I checked it out.
context: I have no idea.\You shouldn't stick your nose into frivolous matters.\You're going to lose your balls.\A man's job is tough.\Did you find the cat, Miss Flat Chest?\Again with the sexual harassment...\Oh, about that garbage mansion case...\It looked interesting, so I checked it out. response:	If you get too involved in this case, you'll have your balls taken as well.
context: You shouldn't stick your nose into frivolous matters.\You're going to lose your balls.\A man's job is tough.\Did you find the cat, Miss Flat Chest?\Again with the sexual harassment...\Oh, about that garbage mansion case...\It looked interesting, so I checked it out.\If you get too involved in this case, you'll have your balls taken as well. response:	Not that you have any to lose.
context: You're going to lose your balls.\A man's job is tough.\Did you find the cat, Miss Flat Chest?\Again with the sexual harassment...\Oh, about that garbage mansion case...\It looked interesting, so I checked it out.\If you get too involved in this case, you'll have your balls taken as well.\Not that you have any to lose. response:	I'll seriously sue you.
context: A man's job is tough.\Did you find the cat, Miss Flat Chest?\Again with the sexual harassment...\Oh, about that garbage mansion case...\It looked interesting, so I checked it out.\If you get too involved in this case, you'll have your balls taken as well.\Not that you have any to lose.\I'll seriously sue you. response:	More importantly, I heard a strange rumor around the neighborhood.
context: Did you find the cat, Miss Flat Chest?\Again with the sexual harassment...\Oh, about that garbage mansion case...\It looked interesting, so I checked it out.\If you get too involved in this case, you'll have your balls taken as well.\Not that you have any to lose.\I'll seriously sue you.\More importantly, I heard a strange rumor around the neighborhood. response:	It's about this person.
context: Again with the sexual harassment...\Oh, about that garbage mansion case...\It looked interesting, so I checked it out.\If you get too involved in this case, you'll have your balls taken as well.\Not that you have any to lose.\I'll seriously sue you.\More importantly, I heard a strange rumor around the neighborhood.\It's about this person. response:	The widow.
context: Oh, about that garbage mansion case...\It looked interesting, so I checked it out.\If you get too involved in this case, you'll have your balls taken as well.\Not that you have any to lose.\I'll seriously sue you.\More importantly, I heard a strange rumor around the neighborhood.\It's about this person.\The widow. response:	What?
context: It looked interesting, so I checked it out.\If you get too involved in this case, you'll have your balls taken as well.\Not that you have any to lose.\I'll seriously sue you.\More importantly, I heard a strange rumor around the neighborhood.\It's about this person.\The widow.\What? response:	Now that's bureaucracy at its finest.
context: If you get too involved in this case, you'll have your balls taken as well.\Not that you have any to lose.\I'll seriously sue you.\More importantly, I heard a strange rumor around the neighborhood.\It's about this person.\The widow.\What?\Now that's bureaucracy at its finest. response:	They've finally taken action.
context: Not that you have any to lose.\I'll seriously sue you.\More importantly, I heard a strange rumor around the neighborhood.\It's about this person.\The widow.\What?\Now that's bureaucracy at its finest.\They've finally taken action. response:	What's that?
context: I'll seriously sue you.\More importantly, I heard a strange rumor around the neighborhood.\It's about this person.\The widow.\What?\Now that's bureaucracy at its finest.\They've finally taken action.\What's that? response:	Is this from Huang?
context: More importantly, I heard a strange rumor around the neighborhood.\It's about this person.\The widow.\What?\Now that's bureaucracy at its finest.\They've finally taken action.\What's that?\Is this from Huang? response:	Yes.
context: It's about this person.\The widow.\What?\Now that's bureaucracy at its finest.\They've finally taken action.\What's that?\Is this from Huang?\Yes. response:	Doesn't seem like there's any doubt about it.
context: The widow.\What?\Now that's bureaucracy at its finest.\They've finally taken action.\What's that?\Is this from Huang?\Yes.\Doesn't seem like there's any doubt about it. response:	What do you think, Mao?
context: What?\Now that's bureaucracy at its finest.\They've finally taken action.\What's that?\Is this from Huang?\Yes.\Doesn't seem like there's any doubt about it.\What do you think, Mao? response:	Mao.
context: Now that's bureaucracy at its finest.\They've finally taken action.\What's that?\Is this from Huang?\Yes.\Doesn't seem like there's any doubt about it.\What do you think, Mao?\Mao. response:	Oh, sorry.
context: They've finally taken action.\What's that?\Is this from Huang?\Yes.\Doesn't seem like there's any doubt about it.\What do you think, Mao?\Mao.\Oh, sorry. response:	I was just receiving data from the network.
context: What's that?\Is this from Huang?\Yes.\Doesn't seem like there's any doubt about it.\What do you think, Mao?\Mao.\Oh, sorry.\I was just receiving data from the network. response:	Network?
context: Is this from Huang?\Yes.\Doesn't seem like there's any doubt about it.\What do you think, Mao?\Mao.\Oh, sorry.\I was just receiving data from the network.\Network? response:	Haven't I told you?
context: Yes.\Doesn't seem like there's any doubt about it.\What do you think, Mao?\Mao.\Oh, sorry.\I was just receiving data from the network.\Network?\Haven't I told you? response:	The deficient brain capacity of a cat is compensated by a server.
context: Doesn't seem like there's any doubt about it.\What do you think, Mao?\Mao.\Oh, sorry.\I was just receiving data from the network.\Network?\Haven't I told you?\The deficient brain capacity of a cat is compensated by a server. response:	If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.
context: What do you think, Mao?\Mao.\Oh, sorry.\I was just receiving data from the network.\Network?\Haven't I told you?\The deficient brain capacity of a cat is compensated by a server.\If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion. response:	That's him all right.
context: Mao.\Oh, sorry.\I was just receiving data from the network.\Network?\Haven't I told you?\The deficient brain capacity of a cat is compensated by a server.\If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.\That's him all right. response:	Ukiyama Norio, a manipulator of gravity.
context: Oh, sorry.\I was just receiving data from the network.\Network?\Haven't I told you?\The deficient brain capacity of a cat is compensated by a server.\If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.\That's him all right.\Ukiyama Norio, a manipulator of gravity. response:	Gravity?
context: I was just receiving data from the network.\Network?\Haven't I told you?\The deficient brain capacity of a cat is compensated by a server.\If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.\That's him all right.\Ukiyama Norio, a manipulator of gravity.\Gravity? response:	Doesn't he use possession?
context: Network?\Haven't I told you?\The deficient brain capacity of a cat is compensated by a server.\If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.\That's him all right.\Ukiyama Norio, a manipulator of gravity.\Gravity?\Doesn't he use possession? response:	I don't know.
context: Haven't I told you?\The deficient brain capacity of a cat is compensated by a server.\If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.\That's him all right.\Ukiyama Norio, a manipulator of gravity.\Gravity?\Doesn't he use possession?\I don't know. response:	Together with another contractor that has the ability to possess bodies,
context: The deficient brain capacity of a cat is compensated by a server.\If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.\That's him all right.\Ukiyama Norio, a manipulator of gravity.\Gravity?\Doesn't he use possession?\I don't know.\Together with another contractor that has the ability to possess bodies, response:	who goes by the name of Amitabh Kapoor, they've been particularly active in North India.
context: If I don't do this occasionally, the feline conscience becomes dominant, just like when I was lost in that garbage mansion.\That's him all right.\Ukiyama Norio, a manipulator of gravity.\Gravity?\Doesn't he use possession?\I don't know.\Together with another contractor that has the ability to possess bodies,\who goes by the name of Amitabh Kapoor, they've been particularly active in North India. response:	It's him.
context: That's him all right.\Ukiyama Norio, a manipulator of gravity.\Gravity?\Doesn't he use possession?\I don't know.\Together with another contractor that has the ability to possess bodies,\who goes by the name of Amitabh Kapoor, they've been particularly active in North India.\It's him. response:	Who?
context: Ukiyama Norio, a manipulator of gravity.\Gravity?\Doesn't he use possession?\I don't know.\Together with another contractor that has the ability to possess bodies,\who goes by the name of Amitabh Kapoor, they've been particularly active in North India.\It's him.\Who? response:	Kapoor possessed Ukiyama's body.
context: Gravity?\Doesn't he use possession?\I don't know.\Together with another contractor that has the ability to possess bodies,\who goes by the name of Amitabh Kapoor, they've been particularly active in North India.\It's him.\Who?\Kapoor possessed Ukiyama's body. response:	However, due to an accident during the possession, Kapoor lost his body.
context: Doesn't he use possession?\I don't know.\Together with another contractor that has the ability to possess bodies,\who goes by the name of Amitabh Kapoor, they've been particularly active in North India.\It's him.\Who?\Kapoor possessed Ukiyama's body.\However, due to an accident during the possession, Kapoor lost his body. response:	Where have I heard that story before?
context: I don't know.\Together with another contractor that has the ability to possess bodies,\who goes by the name of Amitabh Kapoor, they've been particularly active in North India.\It's him.\Who?\Kapoor possessed Ukiyama's body.\However, due to an accident during the possession, Kapoor lost his body.\Where have I heard that story before? response:	According to the police, the ex-wife had a chronic heart condition.
context: Together with another contractor that has the ability to possess bodies,\who goes by the name of Amitabh Kapoor, they've been particularly active in North India.\It's him.\Who?\Kapoor possessed Ukiyama's body.\However, due to an accident during the possession, Kapoor lost his body.\Where have I heard that story before?\According to the police, the ex-wife had a chronic heart condition. response:	Is that so?
context: who goes by the name of Amitabh Kapoor, they've been particularly active in North India.\It's him.\Who?\Kapoor possessed Ukiyama's body.\However, due to an accident during the possession, Kapoor lost his body.\Where have I heard that story before?\According to the police, the ex-wife had a chronic heart condition.\Is that so? response:	She probably suffered a heart attack while she was walking along the staircase,
context: It's him.\Who?\Kapoor possessed Ukiyama's body.\However, due to an accident during the possession, Kapoor lost his body.\Where have I heard that story before?\According to the police, the ex-wife had a chronic heart condition.\Is that so?\She probably suffered a heart attack while she was walking along the staircase, response:	when she leaned on the banister and unfortunately fell.
context: Who?\Kapoor possessed Ukiyama's body.\However, due to an accident during the possession, Kapoor lost his body.\Where have I heard that story before?\According to the police, the ex-wife had a chronic heart condition.\Is that so?\She probably suffered a heart attack while she was walking along the staircase,\when she leaned on the banister and unfortunately fell. response:	There's little doubt about whether it was an accident.
context: Kapoor possessed Ukiyama's body.\However, due to an accident during the possession, Kapoor lost his body.\Where have I heard that story before?\According to the police, the ex-wife had a chronic heart condition.\Is that so?\She probably suffered a heart attack while she was walking along the staircase,\when she leaned on the banister and unfortunately fell.\There's little doubt about whether it was an accident. response:	However...
context: However, due to an accident during the possession, Kapoor lost his body.\Where have I heard that story before?\According to the police, the ex-wife had a chronic heart condition.\Is that so?\She probably suffered a heart attack while she was walking along the staircase,\when she leaned on the banister and unfortunately fell.\There's little doubt about whether it was an accident.\However... response:	However?
context: Where have I heard that story before?\According to the police, the ex-wife had a chronic heart condition.\Is that so?\She probably suffered a heart attack while she was walking along the staircase,\when she leaned on the banister and unfortunately fell.\There's little doubt about whether it was an accident.\However...\However? response:	Do you think I'm the culprit?
context: According to the police, the ex-wife had a chronic heart condition.\Is that so?\She probably suffered a heart attack while she was walking along the staircase,\when she leaned on the banister and unfortunately fell.\There's little doubt about whether it was an accident.\However...\However?\Do you think I'm the culprit? response:	It was an accident.
context: Is that so?\She probably suffered a heart attack while she was walking along the staircase,\when she leaned on the banister and unfortunately fell.\There's little doubt about whether it was an accident.\However...\However?\Do you think I'm the culprit?\It was an accident. response:	Was it?
context: She probably suffered a heart attack while she was walking along the staircase,\when she leaned on the banister and unfortunately fell.\There's little doubt about whether it was an accident.\However...\However?\Do you think I'm the culprit?\It was an accident.\Was it? response:	Why did you have me go to the ex-wife's place?
context: when she leaned on the banister and unfortunately fell.\There's little doubt about whether it was an accident.\However...\However?\Do you think I'm the culprit?\It was an accident.\Was it?\Why did you have me go to the ex-wife's place? response:	It was because of my cat.
context: There's little doubt about whether it was an accident.\However...\However?\Do you think I'm the culprit?\It was an accident.\Was it?\Why did you have me go to the ex-wife's place?\It was because of my cat. response:	There's no way she could have taken the cat.
context: However...\However?\Do you think I'm the culprit?\It was an accident.\Was it?\Why did you have me go to the ex-wife's place?\It was because of my cat.\There's no way she could have taken the cat. response:	Remember the trend some time ago
context: However?\Do you think I'm the culprit?\It was an accident.\Was it?\Why did you have me go to the ex-wife's place?\It was because of my cat.\There's no way she could have taken the cat.\Remember the trend some time ago response:	when people used to place plastic bottles filled with water to ward off cats?
context: Do you think I'm the culprit?\It was an accident.\Was it?\Why did you have me go to the ex-wife's place?\It was because of my cat.\There's no way she could have taken the cat.\Remember the trend some time ago\when people used to place plastic bottles filled with water to ward off cats? response:	It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.
context: It was an accident.\Was it?\Why did you have me go to the ex-wife's place?\It was because of my cat.\There's no way she could have taken the cat.\Remember the trend some time ago\when people used to place plastic bottles filled with water to ward off cats?\It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you. response:	You were looking for someone to send to that house from the beginning
context: Was it?\Why did you have me go to the ex-wife's place?\It was because of my cat.\There's no way she could have taken the cat.\Remember the trend some time ago\when people used to place plastic bottles filled with water to ward off cats?\It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.\You were looking for someone to send to that house from the beginning response:	in order to find her body and frame as the killer, in the best case scenario.
context: Why did you have me go to the ex-wife's place?\It was because of my cat.\There's no way she could have taken the cat.\Remember the trend some time ago\when people used to place plastic bottles filled with water to ward off cats?\It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.\You were looking for someone to send to that house from the beginning\in order to find her body and frame as the killer, in the best case scenario. response:	I have a witness who saw you near Toshiko-san's house almost six months ago,
context: It was because of my cat.\There's no way she could have taken the cat.\Remember the trend some time ago\when people used to place plastic bottles filled with water to ward off cats?\It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.\You were looking for someone to send to that house from the beginning\in order to find her body and frame as the killer, in the best case scenario.\I have a witness who saw you near Toshiko-san's house almost six months ago, response:	the estimated time of her death.
context: There's no way she could have taken the cat.\Remember the trend some time ago\when people used to place plastic bottles filled with water to ward off cats?\It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.\You were looking for someone to send to that house from the beginning\in order to find her body and frame as the killer, in the best case scenario.\I have a witness who saw you near Toshiko-san's house almost six months ago,\the estimated time of her death. response:	You had plenty of motives to have her dead.
context: Remember the trend some time ago\when people used to place plastic bottles filled with water to ward off cats?\It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.\You were looking for someone to send to that house from the beginning\in order to find her body and frame as the killer, in the best case scenario.\I have a witness who saw you near Toshiko-san's house almost six months ago,\the estimated time of her death.\You had plenty of motives to have her dead. response:	You're the perpetrator, aren't you, madam?
context: when people used to place plastic bottles filled with water to ward off cats?\It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.\You were looking for someone to send to that house from the beginning\in order to find her body and frame as the killer, in the best case scenario.\I have a witness who saw you near Toshiko-san's house almost six months ago,\the estimated time of her death.\You had plenty of motives to have her dead.\You're the perpetrator, aren't you, madam? response:	Do you have any proof?
context: It would be difficult to imagine someone who disliked cats that much would take her, even if it was to annoy you.\You were looking for someone to send to that house from the beginning\in order to find her body and frame as the killer, in the best case scenario.\I have a witness who saw you near Toshiko-san's house almost six months ago,\the estimated time of her death.\You had plenty of motives to have her dead.\You're the perpetrator, aren't you, madam?\Do you have any proof? response:	I don't have any evidence.
context: You were looking for someone to send to that house from the beginning\in order to find her body and frame as the killer, in the best case scenario.\I have a witness who saw you near Toshiko-san's house almost six months ago,\the estimated time of her death.\You had plenty of motives to have her dead.\You're the perpetrator, aren't you, madam?\Do you have any proof?\I don't have any evidence. response:	Call it an investigator's intuition.
context: in order to find her body and frame as the killer, in the best case scenario.\I have a witness who saw you near Toshiko-san's house almost six months ago,\the estimated time of her death.\You had plenty of motives to have her dead.\You're the perpetrator, aren't you, madam?\Do you have any proof?\I don't have any evidence.\Call it an investigator's intuition. response:	Madam, I didn't want to acknowledge it.
context: I have a witness who saw you near Toshiko-san's house almost six months ago,\the estimated time of her death.\You had plenty of motives to have her dead.\You're the perpetrator, aren't you, madam?\Do you have any proof?\I don't have any evidence.\Call it an investigator's intuition.\Madam, I didn't want to acknowledge it. response:	Turn yourself in.
context: the estimated time of her death.\You had plenty of motives to have her dead.\You're the perpetrator, aren't you, madam?\Do you have any proof?\I don't have any evidence.\Call it an investigator's intuition.\Madam, I didn't want to acknowledge it.\Turn yourself in. response:	What's so funny?
context: You had plenty of motives to have her dead.\You're the perpetrator, aren't you, madam?\Do you have any proof?\I don't have any evidence.\Call it an investigator's intuition.\Madam, I didn't want to acknowledge it.\Turn yourself in.\What's so funny? response:	It isn't possible for evidence to exist.
context: You're the perpetrator, aren't you, madam?\Do you have any proof?\I don't have any evidence.\Call it an investigator's intuition.\Madam, I didn't want to acknowledge it.\Turn yourself in.\What's so funny?\It isn't possible for evidence to exist. response:	She was already dead by the time I went to visit her.
context: Do you have any proof?\I don't have any evidence.\Call it an investigator's intuition.\Madam, I didn't want to acknowledge it.\Turn yourself in.\What's so funny?\It isn't possible for evidence to exist.\She was already dead by the time I went to visit her. response:	I certainly went there six months ago.
context: I don't have any evidence.\Call it an investigator's intuition.\Madam, I didn't want to acknowledge it.\Turn yourself in.\What's so funny?\It isn't possible for evidence to exist.\She was already dead by the time I went to visit her.\I certainly went there six months ago. response:	I had overheard her house had become a garbage mansion, so I wanted to see for myself.
context: Call it an investigator's intuition.\Madam, I didn't want to acknowledge it.\Turn yourself in.\What's so funny?\It isn't possible for evidence to exist.\She was already dead by the time I went to visit her.\I certainly went there six months ago.\I had overheard her house had become a garbage mansion, so I wanted to see for myself. response:	Why would you do something like that?
context: Madam, I didn't want to acknowledge it.\Turn yourself in.\What's so funny?\It isn't possible for evidence to exist.\She was already dead by the time I went to visit her.\I certainly went there six months ago.\I had overheard her house had become a garbage mansion, so I wanted to see for myself.\Why would you do something like that? response:	It was Yuzuki's home since he was a child.
context: Turn yourself in.\What's so funny?\It isn't possible for evidence to exist.\She was already dead by the time I went to visit her.\I certainly went there six months ago.\I had overheard her house had become a garbage mansion, so I wanted to see for myself.\Why would you do something like that?\It was Yuzuki's home since he was a child. response:	I couldn't stand the thought of it being tainted by her.
context: What's so funny?\It isn't possible for evidence to exist.\She was already dead by the time I went to visit her.\I certainly went there six months ago.\I had overheard her house had become a garbage mansion, so I wanted to see for myself.\Why would you do something like that?\It was Yuzuki's home since he was a child.\I couldn't stand the thought of it being tainted by her. response:	It was worse than I imagined it would be.
context: It isn't possible for evidence to exist.\She was already dead by the time I went to visit her.\I certainly went there six months ago.\I had overheard her house had become a garbage mansion, so I wanted to see for myself.\Why would you do something like that?\It was Yuzuki's home since he was a child.\I couldn't stand the thought of it being tainted by her.\It was worse than I imagined it would be. response:	I couldn't restrain myself, so I went in to say something.
context: She was already dead by the time I went to visit her.\I certainly went there six months ago.\I had overheard her house had become a garbage mansion, so I wanted to see for myself.\Why would you do something like that?\It was Yuzuki's home since he was a child.\I couldn't stand the thought of it being tainted by her.\It was worse than I imagined it would be.\I couldn't restrain myself, so I went in to say something. response:	Is she away?
context: I certainly went there six months ago.\I had overheard her house had become a garbage mansion, so I wanted to see for myself.\Why would you do something like that?\It was Yuzuki's home since he was a child.\I couldn't stand the thought of it being tainted by her.\It was worse than I imagined it would be.\I couldn't restrain myself, so I went in to say something.\Is she away? response:	However, believe me,
context: I had overheard her house had become a garbage mansion, so I wanted to see for myself.\Why would you do something like that?\It was Yuzuki's home since he was a child.\I couldn't stand the thought of it being tainted by her.\It was worse than I imagined it would be.\I couldn't restrain myself, so I went in to say something.\Is she away?\However, believe me, response:	I didn't ask you to go to the mansion to frame you as the killer.
context: Why would you do something like that?\It was Yuzuki's home since he was a child.\I couldn't stand the thought of it being tainted by her.\It was worse than I imagined it would be.\I couldn't restrain myself, so I went in to say something.\Is she away?\However, believe me,\I didn't ask you to go to the mansion to frame you as the killer. response:	Having her body not be found for such a long time and left neglected like that slightly scared me.
context: It was Yuzuki's home since he was a child.\I couldn't stand the thought of it being tainted by her.\It was worse than I imagined it would be.\I couldn't restrain myself, so I went in to say something.\Is she away?\However, believe me,\I didn't ask you to go to the mansion to frame you as the killer.\Having her body not be found for such a long time and left neglected like that slightly scared me. response:	In any case, I was being used.
context: I couldn't stand the thought of it being tainted by her.\It was worse than I imagined it would be.\I couldn't restrain myself, so I went in to say something.\Is she away?\However, believe me,\I didn't ask you to go to the mansion to frame you as the killer.\Having her body not be found for such a long time and left neglected like that slightly scared me.\In any case, I was being used. response:	I'm sorry.
context: It was worse than I imagined it would be.\I couldn't restrain myself, so I went in to say something.\Is she away?\However, believe me,\I didn't ask you to go to the mansion to frame you as the killer.\Having her body not be found for such a long time and left neglected like that slightly scared me.\In any case, I was being used.\I'm sorry. response:	Why didn't you notify the authorities at the time?
context: I couldn't restrain myself, so I went in to say something.\Is she away?\However, believe me,\I didn't ask you to go to the mansion to frame you as the killer.\Having her body not be found for such a long time and left neglected like that slightly scared me.\In any case, I was being used.\I'm sorry.\Why didn't you notify the authorities at the time? response:	I didn't want to be involved in the investigations.
context: Is she away?\However, believe me,\I didn't ask you to go to the mansion to frame you as the killer.\Having her body not be found for such a long time and left neglected like that slightly scared me.\In any case, I was being used.\I'm sorry.\Why didn't you notify the authorities at the time?\I didn't want to be involved in the investigations. response:	No, that's not it.
context: However, believe me,\I didn't ask you to go to the mansion to frame you as the killer.\Having her body not be found for such a long time and left neglected like that slightly scared me.\In any case, I was being used.\I'm sorry.\Why didn't you notify the authorities at the time?\I didn't want to be involved in the investigations.\No, that's not it. response:	That's how I felt about it,
context: I didn't ask you to go to the mansion to frame you as the killer.\Having her body not be found for such a long time and left neglected like that slightly scared me.\In any case, I was being used.\I'm sorry.\Why didn't you notify the authorities at the time?\I didn't want to be involved in the investigations.\No, that's not it.\That's how I felt about it, response:	Are you the one who called me out here?
context: Having her body not be found for such a long time and left neglected like that slightly scared me.\In any case, I was being used.\I'm sorry.\Why didn't you notify the authorities at the time?\I didn't want to be involved in the investigations.\No, that's not it.\That's how I felt about it,\Are you the one who called me out here? response:	but it had crossed my mind.
context: In any case, I was being used.\I'm sorry.\Why didn't you notify the authorities at the time?\I didn't want to be involved in the investigations.\No, that's not it.\That's how I felt about it,\Are you the one who called me out here?\but it had crossed my mind. response:	The body odor of the woman Yuzuki liked should turn into a rotten musk.
context: I'm sorry.\Why didn't you notify the authorities at the time?\I didn't want to be involved in the investigations.\No, that's not it.\That's how I felt about it,\Are you the one who called me out here?\but it had crossed my mind.\The body odor of the woman Yuzuki liked should turn into a rotten musk. response:	She deserved to rot amongst garbage and emit a vile stench.
context: Why didn't you notify the authorities at the time?\I didn't want to be involved in the investigations.\No, that's not it.\That's how I felt about it,\Are you the one who called me out here?\but it had crossed my mind.\The body odor of the woman Yuzuki liked should turn into a rotten musk.\She deserved to rot amongst garbage and emit a vile stench. response:	Why did you go that far?
context: I didn't want to be involved in the investigations.\No, that's not it.\That's how I felt about it,\Are you the one who called me out here?\but it had crossed my mind.\The body odor of the woman Yuzuki liked should turn into a rotten musk.\She deserved to rot amongst garbage and emit a vile stench.\Why did you go that far? response:	It seems to me you were the one who stole him from his ex-wife.
context: No, that's not it.\That's how I felt about it,\Are you the one who called me out here?\but it had crossed my mind.\The body odor of the woman Yuzuki liked should turn into a rotten musk.\She deserved to rot amongst garbage and emit a vile stench.\Why did you go that far?\It seems to me you were the one who stole him from his ex-wife. response:	The reason why she trashed her own house could have been triggered by the shock.
context: That's how I felt about it,\Are you the one who called me out here?\but it had crossed my mind.\The body odor of the woman Yuzuki liked should turn into a rotten musk.\She deserved to rot amongst garbage and emit a vile stench.\Why did you go that far?\It seems to me you were the one who stole him from his ex-wife.\The reason why she trashed her own house could have been triggered by the shock. response:	You're the one who gained everything!
context: Are you the one who called me out here?\but it had crossed my mind.\The body odor of the woman Yuzuki liked should turn into a rotten musk.\She deserved to rot amongst garbage and emit a vile stench.\Why did you go that far?\It seems to me you were the one who stole him from his ex-wife.\The reason why she trashed her own house could have been triggered by the shock.\You're the one who gained everything! response:	What did I really gain?
context: but it had crossed my mind.\The body odor of the woman Yuzuki liked should turn into a rotten musk.\She deserved to rot amongst garbage and emit a vile stench.\Why did you go that far?\It seems to me you were the one who stole him from his ex-wife.\The reason why she trashed her own house could have been triggered by the shock.\You're the one who gained everything!\What did I really gain? response:	Yuzuki covetously used all of his senses...
