context: Target silent. Mission complete. response:	Damage report.
context: Can you bring me that hex wrench?\Why don't you just use Mana to move it?\Why don't you?\Why do you know about Para-mail?\What are you?\I'm Tusk.\I'm just Tusk.\No, I mean response:	I knew it, the output circuits are shot.
context: Why don't you just use Mana to move it?\Why don't you?\Why do you know about Para-mail?\What are you?\I'm Tusk.\I'm just Tusk.\No, I mean\I knew it, the output circuits are shot. response:	But the radio will work once we fix it.
context: Why don't you?\Why do you know about Para-mail?\What are you?\I'm Tusk.\I'm just Tusk.\No, I mean\I knew it, the output circuits are shot.\But the radio will work once we fix it. response:	Then you can contact your people.
context: Why do you know about Para-mail?\What are you?\I'm Tusk.\I'm just Tusk.\No, I mean\I knew it, the output circuits are shot.\But the radio will work once we fix it.\Then you can contact your people. response:	It's no use fixing it.
context: What are you?\I'm Tusk.\I'm just Tusk.\No, I mean\I knew it, the output circuits are shot.\But the radio will work once we fix it.\Then you can contact your people.\It's no use fixing it. response:	They won't come, even if I contacted them.
context: I'm Tusk.\I'm just Tusk.\No, I mean\I knew it, the output circuits are shot.\But the radio will work once we fix it.\Then you can contact your people.\It's no use fixing it.\They won't come, even if I contacted them. response:	Even if I went back, no one would be waiting for me.
context: I'm just Tusk.\No, I mean\I knew it, the output circuits are shot.\But the radio will work once we fix it.\Then you can contact your people.\It's no use fixing it.\They won't come, even if I contacted them.\Even if I went back, no one would be waiting for me. response:	Oh.
context: No, I mean\I knew it, the output circuits are shot.\But the radio will work once we fix it.\Then you can contact your people.\It's no use fixing it.\They won't come, even if I contacted them.\Even if I went back, no one would be waiting for me.\Oh. response:	If you're okay with it,
context: I knew it, the output circuits are shot.\But the radio will work once we fix it.\Then you can contact your people.\It's no use fixing it.\They won't come, even if I contacted them.\Even if I went back, no one would be waiting for me.\Oh.\If you're okay with it, response:	why don't you stay here for a while?
context: But the radio will work once we fix it.\Then you can contact your people.\It's no use fixing it.\They won't come, even if I contacted them.\Even if I went back, no one would be waiting for me.\Oh.\If you're okay with it,\why don't you stay here for a while? response:	I won't do anything weird.
context: Then you can contact your people.\It's no use fixing it.\They won't come, even if I contacted them.\Even if I went back, no one would be waiting for me.\Oh.\If you're okay with it,\why don't you stay here for a while?\I won't do anything weird. response:	I suppose.
context: It's no use fixing it.\They won't come, even if I contacted them.\Even if I went back, no one would be waiting for me.\Oh.\If you're okay with it,\why don't you stay here for a while?\I won't do anything weird.\I suppose. response:	I didn't think there were so many stars.
context: They won't come, even if I contacted them.\Even if I went back, no one would be waiting for me.\Oh.\If you're okay with it,\why don't you stay here for a while?\I won't do anything weird.\I suppose.\I didn't think there were so many stars. response:	You never noticed?
context: Even if I went back, no one would be waiting for me.\Oh.\If you're okay with it,\why don't you stay here for a while?\I won't do anything weird.\I suppose.\I didn't think there were so many stars.\You never noticed? response:	I haven't looked up at the sky in a long time.
context: Oh.\If you're okay with it,\why don't you stay here for a while?\I won't do anything weird.\I suppose.\I didn't think there were so many stars.\You never noticed?\I haven't looked up at the sky in a long time. response:	It's pretty.
context: If you're okay with it,\why don't you stay here for a while?\I won't do anything weird.\I suppose.\I didn't think there were so many stars.\You never noticed?\I haven't looked up at the sky in a long time.\It's pretty. response:	You're even prettier.
context: why don't you stay here for a while?\I won't do anything weird.\I suppose.\I didn't think there were so many stars.\You never noticed?\I haven't looked up at the sky in a long time.\It's pretty.\You're even prettier. response:	U-Um
context: I won't do anything weird.\I suppose.\I didn't think there were so many stars.\You never noticed?\I haven't looked up at the sky in a long time.\It's pretty.\You're even prettier.\U-Um response:	Be quiet.
context: I suppose.\I didn't think there were so many stars.\You never noticed?\I haven't looked up at the sky in a long time.\It's pretty.\You're even prettier.\U-Um\Be quiet. response:	Isn't that a DRAGON?
context: I didn't think there were so many stars.\You never noticed?\I haven't looked up at the sky in a long time.\It's pretty.\You're even prettier.\U-Um\Be quiet.\Isn't that a DRAGON? response:	They're taking it? Where? Why?
context: You never noticed?\I haven't looked up at the sky in a long time.\It's pretty.\You're even prettier.\U-Um\Be quiet.\Isn't that a DRAGON?\They're taking it? Where? Why? response:	That's
context: I haven't looked up at the sky in a long time.\It's pretty.\You're even prettier.\U-Um\Be quiet.\Isn't that a DRAGON?\They're taking it? Where? Why?\That's response:	Let's run.
context: It's pretty.\You're even prettier.\U-Um\Be quiet.\Isn't that a DRAGON?\They're taking it? Where? Why?\That's\Let's run. response:	That's not going to hurt it.
context: You're even prettier.\U-Um\Be quiet.\Isn't that a DRAGON?\They're taking it? Where? Why?\That's\Let's run.\That's not going to hurt it. response:	So you'd rather we just get eaten here?
context: U-Um\Be quiet.\Isn't that a DRAGON?\They're taking it? Where? Why?\That's\Let's run.\That's not going to hurt it.\So you'd rather we just get eaten here? response:	The Para-mail.
context: Be quiet.\Isn't that a DRAGON?\They're taking it? Where? Why?\That's\Let's run.\That's not going to hurt it.\So you'd rather we just get eaten here?\The Para-mail. response:	It would work.
context: Isn't that a DRAGON?\They're taking it? Where? Why?\That's\Let's run.\That's not going to hurt it.\So you'd rather we just get eaten here?\The Para-mail.\It would work. response:	But it's not fixed yet.
context: They're taking it? Where? Why?\That's\Let's run.\That's not going to hurt it.\So you'd rather we just get eaten here?\The Para-mail.\It would work.\But it's not fixed yet. response:	Then fix it now.
context: That's\Let's run.\That's not going to hurt it.\So you'd rather we just get eaten here?\The Para-mail.\It would work.\But it's not fixed yet.\Then fix it now. response:	All right.
context: Let's run.\That's not going to hurt it.\So you'd rather we just get eaten here?\The Para-mail.\It would work.\But it's not fixed yet.\Then fix it now.\All right. response:	Hurry.
context: That's not going to hurt it.\So you'd rather we just get eaten here?\The Para-mail.\It would work.\But it's not fixed yet.\Then fix it now.\All right.\Hurry. response:	Over here, you shambling corpse.
context: So you'd rather we just get eaten here?\The Para-mail.\It would work.\But it's not fixed yet.\Then fix it now.\All right.\Hurry.\Over here, you shambling corpse. response:	Here.
context: The Para-mail.\It would work.\But it's not fixed yet.\Then fix it now.\All right.\Hurry.\Over here, you shambling corpse.\Here. response:	Hurry.
context: It would work.\But it's not fixed yet.\Then fix it now.\All right.\Hurry.\Over here, you shambling corpse.\Here.\Hurry. response:	You!
context: But it's not fixed yet.\Then fix it now.\All right.\Hurry.\Over here, you shambling corpse.\Here.\Hurry.\You! response:	You!
context: Then fix it now.\All right.\Hurry.\Over here, you shambling corpse.\Here.\Hurry.\You!\You! response:	It's dead.
context: All right.\Hurry.\Over here, you shambling corpse.\Here.\Hurry.\You!\You!\It's dead. response:	It must have been trying to help its friend.
context: Hurry.\Over here, you shambling corpse.\Here.\Hurry.\You!\You!\It's dead.\It must have been trying to help its friend. response:	It must have wanted to go back to its own world together.
context: Over here, you shambling corpse.\Here.\Hurry.\You!\You!\It's dead.\It must have been trying to help its friend.\It must have wanted to go back to its own world together. response:	We won't be able to stay in this forest.
context: Here.\Hurry.\You!\You!\It's dead.\It must have been trying to help its friend.\It must have wanted to go back to its own world together.\We won't be able to stay in this forest. response:	We have to hurry.
context: Hurry.\You!\You!\It's dead.\It must have been trying to help its friend.\It must have wanted to go back to its own world together.\We won't be able to stay in this forest.\We have to hurry. response:	What about you?
context: You!\You!\It's dead.\It must have been trying to help its friend.\It must have wanted to go back to its own world together.\We won't be able to stay in this forest.\We have to hurry.\What about you? response:	Would you come with me?
context: You!\It's dead.\It must have been trying to help its friend.\It must have wanted to go back to its own world together.\We won't be able to stay in this forest.\We have to hurry.\What about you?\Would you come with me? response:	You're a bit violent, but you're pretty and cute and beautiful.
context: It's dead.\It must have been trying to help its friend.\It must have wanted to go back to its own world together.\We won't be able to stay in this forest.\We have to hurry.\What about you?\Would you come with me?\You're a bit violent, but you're pretty and cute and beautiful. response:	And I've seen you naked.
context: It must have been trying to help its friend.\It must have wanted to go back to its own world together.\We won't be able to stay in this forest.\We have to hurry.\What about you?\Would you come with me?\You're a bit violent, but you're pretty and cute and beautiful.\And I've seen you naked. response:	And I did all those things.
context: It must have wanted to go back to its own world together.\We won't be able to stay in this forest.\We have to hurry.\What about you?\Would you come with me?\You're a bit violent, but you're pretty and cute and beautiful.\And I've seen you naked.\And I did all those things. response:	I'll take responsibility.
context: We won't be able to stay in this forest.\We have to hurry.\What about you?\Would you come with me?\You're a bit violent, but you're pretty and cute and beautiful.\And I've seen you naked.\And I did all those things.\I'll take responsibility. response:	Ange-san, please respond.
context: We have to hurry.\What about you?\Would you come with me?\You're a bit violent, but you're pretty and cute and beautiful.\And I've seen you naked.\And I did all those things.\I'll take responsibility.\Ange-san, please respond. response:	Are you dead?
context: What about you?\Would you come with me?\You're a bit violent, but you're pretty and cute and beautiful.\And I've seen you naked.\And I did all those things.\I'll take responsibility.\Ange-san, please respond.\Are you dead? response:	Please tell me if you're dead.
context: Would you come with me?\You're a bit violent, but you're pretty and cute and beautiful.\And I've seen you naked.\And I did all those things.\I'll take responsibility.\Ange-san, please respond.\Are you dead?\Please tell me if you're dead. response:	What?
context: You're a bit violent, but you're pretty and cute and beautiful.\And I've seen you naked.\And I did all those things.\I'll take responsibility.\Ange-san, please respond.\Are you dead?\Please tell me if you're dead.\What? response:	Ange here.
context: And I've seen you naked.\And I did all those things.\I'll take responsibility.\Ange-san, please respond.\Are you dead?\Please tell me if you're dead.\What?\Ange here. response:	I'm alive.
context: And I did all those things.\I'll take responsibility.\Ange-san, please respond.\Are you dead?\Please tell me if you're dead.\What?\Ange here.\I'm alive. response:	No way.
context: I'll take responsibility.\Ange-san, please respond.\Are you dead?\Please tell me if you're dead.\What?\Ange here.\I'm alive.\No way. response:	Ange.
context: Ange-san, please respond.\Are you dead?\Please tell me if you're dead.\What?\Ange here.\I'm alive.\No way.\Ange. response:	Is it really you?
context: Are you dead?\Please tell me if you're dead.\What?\Ange here.\I'm alive.\No way.\Ange.\Is it really you? response:	Requesting rescue.
context: Please tell me if you're dead.\What?\Ange here.\I'm alive.\No way.\Ange.\Is it really you?\Requesting rescue. response:	R-Roger.
context: What?\Ange here.\I'm alive.\No way.\Ange.\Is it really you?\Requesting rescue.\R-Roger. response:	I'm going back.
context: Ange here.\I'm alive.\No way.\Ange.\Is it really you?\Requesting rescue.\R-Roger.\I'm going back. response:	I think it's...
context: I'm alive.\No way.\Ange.\Is it really you?\Requesting rescue.\R-Roger.\I'm going back.\I think it's... response:	Besides, I have to get them back for what they did.
context: No way.\Ange.\Is it really you?\Requesting rescue.\R-Roger.\I'm going back.\I think it's...\Besides, I have to get them back for what they did. response:	I see.
context: Ange.\Is it really you?\Requesting rescue.\R-Roger.\I'm going back.\I think it's...\Besides, I have to get them back for what they did.\I see. response:	Thanks.
context: Is it really you?\Requesting rescue.\R-Roger.\I'm going back.\I think it's...\Besides, I have to get them back for what they did.\I see.\Thanks. response:	I would have been dead without you.
context: Requesting rescue.\R-Roger.\I'm going back.\I think it's...\Besides, I have to get them back for what they did.\I see.\Thanks.\I would have been dead without you. response:	Sorry I can't come with you.
context: R-Roger.\I'm going back.\I think it's...\Besides, I have to get them back for what they did.\I see.\Thanks.\I would have been dead without you.\Sorry I can't come with you. response:	Listen, nothing happened between us.
context: I'm going back.\I think it's...\Besides, I have to get them back for what they did.\I see.\Thanks.\I would have been dead without you.\Sorry I can't come with you.\Listen, nothing happened between us. response:	You didn't see anything. You didn't do anything.
context: I think it's...\Besides, I have to get them back for what they did.\I see.\Thanks.\I would have been dead without you.\Sorry I can't come with you.\Listen, nothing happened between us.\You didn't see anything. You didn't do anything. response:	You didn't suck venom out of me.
context: Besides, I have to get them back for what they did.\I see.\Thanks.\I would have been dead without you.\Sorry I can't come with you.\Listen, nothing happened between us.\You didn't see anything. You didn't do anything.\You didn't suck venom out of me. response:	Forget all of it.
context: I see.\Thanks.\I would have been dead without you.\Sorry I can't come with you.\Listen, nothing happened between us.\You didn't see anything. You didn't do anything.\You didn't suck venom out of me.\Forget all of it. response:	Got it?
context: Thanks.\I would have been dead without you.\Sorry I can't come with you.\Listen, nothing happened between us.\You didn't see anything. You didn't do anything.\You didn't suck venom out of me.\Forget all of it.\Got it? response:	Yes.
context: I would have been dead without you.\Sorry I can't come with you.\Listen, nothing happened between us.\You didn't see anything. You didn't do anything.\You didn't suck venom out of me.\Forget all of it.\Got it?\Yes. response:	Ange.
context: Sorry I can't come with you.\Listen, nothing happened between us.\You didn't see anything. You didn't do anything.\You didn't suck venom out of me.\Forget all of it.\Got it?\Yes.\Ange. response:	My name's Ange, Tusk.
context: Listen, nothing happened between us.\You didn't see anything. You didn't do anything.\You didn't suck venom out of me.\Forget all of it.\Got it?\Yes.\Ange.\My name's Ange, Tusk. response:	Nice name.
context: You didn't see anything. You didn't do anything.\You didn't suck venom out of me.\Forget all of it.\Got it?\Yes.\Ange.\My name's Ange, Tusk.\Nice name. response:	See you, Ange.
context: You didn't suck venom out of me.\Forget all of it.\Got it?\Yes.\Ange.\My name's Ange, Tusk.\Nice name.\See you, Ange. response:	What a strange person.
context: Forget all of it.\Got it?\Yes.\Ange.\My name's Ange, Tusk.\Nice name.\See you, Ange.\What a strange person. response:	And now for a quiz.
context: Got it?\Yes.\Ange.\My name's Ange, Tusk.\Nice name.\See you, Ange.\What a strange person.\And now for a quiz. response:	Who's still alive after falling?
context: Yes.\Ange.\My name's Ange, Tusk.\Nice name.\See you, Ange.\What a strange person.\And now for a quiz.\Who's still alive after falling? response:	The answer is Ange!
context: Ange.\My name's Ange, Tusk.\Nice name.\See you, Ange.\What a strange person.\And now for a quiz.\Who's still alive after falling?\The answer is Ange! response:	Here you go, Ange-chan.
context: My name's Ange, Tusk.\Nice name.\See you, Ange.\What a strange person.\And now for a quiz.\Who's still alive after falling?\The answer is Ange!\Here you go, Ange-chan. response:	Thanks.
context: Nice name.\See you, Ange.\What a strange person.\And now for a quiz.\Who's still alive after falling?\The answer is Ange!\Here you go, Ange-chan.\Thanks. response:	Oh, my.
context: See you, Ange.\What a strange person.\And now for a quiz.\Who's still alive after falling?\The answer is Ange!\Here you go, Ange-chan.\Thanks.\Oh, my. response:	Hey, Vivian, do you still have those weird mascots?
context: What a strange person.\And now for a quiz.\Who's still alive after falling?\The answer is Ange!\Here you go, Ange-chan.\Thanks.\Oh, my.\Hey, Vivian, do you still have those weird mascots? response:	Ange, you said my name.
context: And now for a quiz.\Who's still alive after falling?\The answer is Ange!\Here you go, Ange-chan.\Thanks.\Oh, my.\Hey, Vivian, do you still have those weird mascots?\Ange, you said my name. response:	There's nothing in my cockpit.
context: Who's still alive after falling?\The answer is Ange!\Here you go, Ange-chan.\Thanks.\Oh, my.\Hey, Vivian, do you still have those weird mascots?\Ange, you said my name.\There's nothing in my cockpit. response:	It smells like curry, is that okay?
context: The answer is Ange!\Here you go, Ange-chan.\Thanks.\Oh, my.\Hey, Vivian, do you still have those weird mascots?\Ange, you said my name.\There's nothing in my cockpit.\It smells like curry, is that okay? response:	No.
context: Here you go, Ange-chan.\Thanks.\Oh, my.\Hey, Vivian, do you still have those weird mascots?\Ange, you said my name.\There's nothing in my cockpit.\It smells like curry, is that okay?\No. response:	Next episode
context: Thanks.\Oh, my.\Hey, Vivian, do you still have those weird mascots?\Ange, you said my name.\There's nothing in my cockpit.\It smells like curry, is that okay?\No.\Next episode response:	And we fell for it.
context: Oh, my.\Hey, Vivian, do you still have those weird mascots?\Ange, you said my name.\There's nothing in my cockpit.\It smells like curry, is that okay?\No.\Next episode\And we fell for it. response:	A gorgeous beach, a mysterious jungle, and a beautiful encounter...
context: Hey, Vivian, do you still have those weird mascots?\Ange, you said my name.\There's nothing in my cockpit.\It smells like curry, is that okay?\No.\Next episode\And we fell for it.\A gorgeous beach, a mysterious jungle, and a beautiful encounter... response:	But nope, it's more gory battles.
context: Ange, you said my name.\There's nothing in my cockpit.\It smells like curry, is that okay?\No.\Next episode\And we fell for it.\A gorgeous beach, a mysterious jungle, and a beautiful encounter...\But nope, it's more gory battles. response:	Forget vacations and romance, it's all about survival.
context: There's nothing in my cockpit.\It smells like curry, is that okay?\No.\Next episode\And we fell for it.\A gorgeous beach, a mysterious jungle, and a beautiful encounter...\But nope, it's more gory battles.\Forget vacations and romance, it's all about survival. response:	I'm not falling for it again.
context: It smells like curry, is that okay?\No.\Next episode\And we fell for it.\A gorgeous beach, a mysterious jungle, and a beautiful encounter...\But nope, it's more gory battles.\Forget vacations and romance, it's all about survival.\I'm not falling for it again. response:	This preview's probably all lies, too.
context: No.\Next episode\And we fell for it.\A gorgeous beach, a mysterious jungle, and a beautiful encounter...\But nope, it's more gory battles.\Forget vacations and romance, it's all about survival.\I'm not falling for it again.\This preview's probably all lies, too. response:	Momoka's Here!
context: Next episode\And we fell for it.\A gorgeous beach, a mysterious jungle, and a beautiful encounter...\But nope, it's more gory battles.\Forget vacations and romance, it's all about survival.\I'm not falling for it again.\This preview's probably all lies, too.\Momoka's Here! response:	Momoka's not actually coming.
