context: Hopes and dreams are the power that moves humanity, response:	and keep the Earth turning!
context: Boy, am I exhausted these days...\I can't shake these headaches...\I need at least three volunteers,\My back...\though I'd prefer five.\Who'd like to give our shopping district a\Oh, excuse me.\Hi, Mom. response:	Are you free soon?
context: I can't shake these headaches...\I need at least three volunteers,\My back...\though I'd prefer five.\Who'd like to give our shopping district a\Oh, excuse me.\Hi, Mom.\Are you free soon? response:	Yeah.
context: I need at least three volunteers,\My back...\though I'd prefer five.\Who'd like to give our shopping district a\Oh, excuse me.\Hi, Mom.\Are you free soon?\Yeah. response:	What's up?
context: My back...\though I'd prefer five.\Who'd like to give our shopping district a\Oh, excuse me.\Hi, Mom.\Are you free soon?\Yeah.\What's up? response:	Wakana has some questions for you.
context: though I'd prefer five.\Who'd like to give our shopping district a\Oh, excuse me.\Hi, Mom.\Are you free soon?\Yeah.\What's up?\Wakana has some questions for you. response:	Wakana-chan?
context: Who'd like to give our shopping district a\Oh, excuse me.\Hi, Mom.\Are you free soon?\Yeah.\What's up?\Wakana has some questions for you.\Wakana-chan? response:	Are you guys heading home from your club meeting?
context: Oh, excuse me.\Hi, Mom.\Are you free soon?\Yeah.\What's up?\Wakana has some questions for you.\Wakana-chan?\Are you guys heading home from your club meeting? response:	Do you have five people there?
context: Hi, Mom.\Are you free soon?\Yeah.\What's up?\Wakana has some questions for you.\Wakana-chan?\Are you guys heading home from your club meeting?\Do you have five people there? response:	Yeah, why?
context: Are you free soon?\Yeah.\What's up?\Wakana has some questions for you.\Wakana-chan?\Are you guys heading home from your club meeting?\Do you have five people there?\Yeah, why? response:	That's perfect! Bring them all over.
context: Yeah.\What's up?\Wakana has some questions for you.\Wakana-chan?\Are you guys heading home from your club meeting?\Do you have five people there?\Yeah, why?\That's perfect! Bring them all over. response:	I'll treat you all to some delicious cake.
context: What's up?\Wakana has some questions for you.\Wakana-chan?\Are you guys heading home from your club meeting?\Do you have five people there?\Yeah, why?\That's perfect! Bring them all over.\I'll treat you all to some delicious cake. response:	Okay. I'll ask them.
context: Wakana has some questions for you.\Wakana-chan?\Are you guys heading home from your club meeting?\Do you have five people there?\Yeah, why?\That's perfect! Bring them all over.\I'll treat you all to some delicious cake.\Okay. I'll ask them. response:	Make sure they come. I'll meet you there.
context: Wakana-chan?\Are you guys heading home from your club meeting?\Do you have five people there?\Yeah, why?\That's perfect! Bring them all over.\I'll treat you all to some delicious cake.\Okay. I'll ask them.\Make sure they come. I'll meet you there. response:	Someone get some delicious cake over here, on the double.
context: Are you guys heading home from your club meeting?\Do you have five people there?\Yeah, why?\That's perfect! Bring them all over.\I'll treat you all to some delicious cake.\Okay. I'll ask them.\Make sure they come. I'll meet you there.\Someone get some delicious cake over here, on the double. response:	Well, we're not gonna turn down cake.
context: Do you have five people there?\Yeah, why?\That's perfect! Bring them all over.\I'll treat you all to some delicious cake.\Okay. I'll ask them.\Make sure they come. I'll meet you there.\Someone get some delicious cake over here, on the double.\Well, we're not gonna turn down cake. response:	Right?
context: Yeah, why?\That's perfect! Bring them all over.\I'll treat you all to some delicious cake.\Okay. I'll ask them.\Make sure they come. I'll meet you there.\Someone get some delicious cake over here, on the double.\Well, we're not gonna turn down cake.\Right? response:	Right.
context: That's perfect! Bring them all over.\I'll treat you all to some delicious cake.\Okay. I'll ask them.\Make sure they come. I'll meet you there.\Someone get some delicious cake over here, on the double.\Well, we're not gonna turn down cake.\Right?\Right. response:	Then Tanaka can come with us.
context: I'll treat you all to some delicious cake.\Okay. I'll ask them.\Make sure they come. I'll meet you there.\Someone get some delicious cake over here, on the double.\Well, we're not gonna turn down cake.\Right?\Right.\Then Tanaka can come with us. response:	You think Shiho-san can help you?
context: Okay. I'll ask them.\Make sure they come. I'll meet you there.\Someone get some delicious cake over here, on the double.\Well, we're not gonna turn down cake.\Right?\Right.\Then Tanaka can come with us.\You think Shiho-san can help you? response:	Wein could take the train with Konatsu...
context: Make sure they come. I'll meet you there.\Someone get some delicious cake over here, on the double.\Well, we're not gonna turn down cake.\Right?\Right.\Then Tanaka can come with us.\You think Shiho-san can help you?\Wein could take the train with Konatsu... response:	I'm not sure.
context: Someone get some delicious cake over here, on the double.\Well, we're not gonna turn down cake.\Right?\Right.\Then Tanaka can come with us.\You think Shiho-san can help you?\Wein could take the train with Konatsu...\I'm not sure. response:	I'm just trying to figure out what my mom thought about when she wrote songs...
context: Well, we're not gonna turn down cake.\Right?\Right.\Then Tanaka can come with us.\You think Shiho-san can help you?\Wein could take the train with Konatsu...\I'm not sure.\I'm just trying to figure out what my mom thought about when she wrote songs... response:	Like if she ever felt scared...
context: Right?\Right.\Then Tanaka can come with us.\You think Shiho-san can help you?\Wein could take the train with Konatsu...\I'm not sure.\I'm just trying to figure out what my mom thought about when she wrote songs...\Like if she ever felt scared... response:	Scared? What do you mean?
context: Right.\Then Tanaka can come with us.\You think Shiho-san can help you?\Wein could take the train with Konatsu...\I'm not sure.\I'm just trying to figure out what my mom thought about when she wrote songs...\Like if she ever felt scared...\Scared? What do you mean? response:	Like, if she ever doubted herself,
context: Then Tanaka can come with us.\You think Shiho-san can help you?\Wein could take the train with Konatsu...\I'm not sure.\I'm just trying to figure out what my mom thought about when she wrote songs...\Like if she ever felt scared...\Scared? What do you mean?\Like, if she ever doubted herself, response:	or worried if the finished product was any good.
context: You think Shiho-san can help you?\Wein could take the train with Konatsu...\I'm not sure.\I'm just trying to figure out what my mom thought about when she wrote songs...\Like if she ever felt scared...\Scared? What do you mean?\Like, if she ever doubted herself,\or worried if the finished product was any good. response:	I just... I need to know more about my mom
context: Wein could take the train with Konatsu...\I'm not sure.\I'm just trying to figure out what my mom thought about when she wrote songs...\Like if she ever felt scared...\Scared? What do you mean?\Like, if she ever doubted herself,\or worried if the finished product was any good.\I just... I need to know more about my mom response:	if I'm going to write a song with her.
context: I'm not sure.\I'm just trying to figure out what my mom thought about when she wrote songs...\Like if she ever felt scared...\Scared? What do you mean?\Like, if she ever doubted herself,\or worried if the finished product was any good.\I just... I need to know more about my mom\if I'm going to write a song with her. response:	That's deep.
context: I'm just trying to figure out what my mom thought about when she wrote songs...\Like if she ever felt scared...\Scared? What do you mean?\Like, if she ever doubted herself,\or worried if the finished product was any good.\I just... I need to know more about my mom\if I'm going to write a song with her.\That's deep. response:	Here you are!
context: Like if she ever felt scared...\Scared? What do you mean?\Like, if she ever doubted herself,\or worried if the finished product was any good.\I just... I need to know more about my mom\if I'm going to write a song with her.\That's deep.\Here you are! response:	Why are you smiling like that?
context: Scared? What do you mean?\Like, if she ever doubted herself,\or worried if the finished product was any good.\I just... I need to know more about my mom\if I'm going to write a song with her.\That's deep.\Here you are!\Why are you smiling like that? response:	Thank you!
context: Like, if she ever doubted herself,\or worried if the finished product was any good.\I just... I need to know more about my mom\if I'm going to write a song with her.\That's deep.\Here you are!\Why are you smiling like that?\Thank you! response:	Thank you.
context: or worried if the finished product was any good.\I just... I need to know more about my mom\if I'm going to write a song with her.\That's deep.\Here you are!\Why are you smiling like that?\Thank you!\Thank you. response:	Say, would you like to make some money?
context: I just... I need to know more about my mom\if I'm going to write a song with her.\That's deep.\Here you are!\Why are you smiling like that?\Thank you!\Thank you.\Say, would you like to make some money? response:	We sure would!
context: if I'm going to write a song with her.\That's deep.\Here you are!\Why are you smiling like that?\Thank you!\Thank you.\Say, would you like to make some money?\We sure would! response:	Konatsu.
context: That's deep.\Here you are!\Why are you smiling like that?\Thank you!\Thank you.\Say, would you like to make some money?\We sure would!\Konatsu. response:	I was taught never to get roped in
context: Here you are!\Why are you smiling like that?\Thank you!\Thank you.\Say, would you like to make some money?\We sure would!\Konatsu.\I was taught never to get roped in response:	by slick talk or fast roller coasters...
context: Why are you smiling like that?\Thank you!\Thank you.\Say, would you like to make some money?\We sure would!\Konatsu.\I was taught never to get roped in\by slick talk or fast roller coasters... response:	Just hear me out.
context: Thank you!\Thank you.\Say, would you like to make some money?\We sure would!\Konatsu.\I was taught never to get roped in\by slick talk or fast roller coasters...\Just hear me out. response:	Wouldn't you like to be superheroes?
context: Thank you.\Say, would you like to make some money?\We sure would!\Konatsu.\I was taught never to get roped in\by slick talk or fast roller coasters...\Just hear me out.\Wouldn't you like to be superheroes? response:	What do you mean?
context: Say, would you like to make some money?\We sure would!\Konatsu.\I was taught never to get roped in\by slick talk or fast roller coasters...\Just hear me out.\Wouldn't you like to be superheroes?\What do you mean? response:	Want the details?
context: We sure would!\Konatsu.\I was taught never to get roped in\by slick talk or fast roller coasters...\Just hear me out.\Wouldn't you like to be superheroes?\What do you mean?\Want the details? response:	Yes.
context: Konatsu.\I was taught never to get roped in\by slick talk or fast roller coasters...\Just hear me out.\Wouldn't you like to be superheroes?\What do you mean?\Want the details?\Yes. response:	Yes!
context: I was taught never to get roped in\by slick talk or fast roller coasters...\Just hear me out.\Wouldn't you like to be superheroes?\What do you mean?\Want the details?\Yes.\Yes! response:	Careful.
context: by slick talk or fast roller coasters...\Just hear me out.\Wouldn't you like to be superheroes?\What do you mean?\Want the details?\Yes.\Yes!\Careful. response:	Sure.
context: Just hear me out.\Wouldn't you like to be superheroes?\What do you mean?\Want the details?\Yes.\Yes!\Careful.\Sure. response:	Suits and masks?
context: Wouldn't you like to be superheroes?\What do you mean?\Want the details?\Yes.\Yes!\Careful.\Sure.\Suits and masks? response:	What is that?
context: What do you mean?\Want the details?\Yes.\Yes!\Careful.\Sure.\Suits and masks?\What is that? response:	Oh, here we are.
context: Want the details?\Yes.\Yes!\Careful.\Sure.\Suits and masks?\What is that?\Oh, here we are. response:	These are...
context: Yes.\Yes!\Careful.\Sure.\Suits and masks?\What is that?\Oh, here we are.\These are... response:	Superhero outfits!
context: Yes!\Careful.\Sure.\Suits and masks?\What is that?\Oh, here we are.\These are...\Superhero outfits! response:	Red, pink, yellow, white...
context: Careful.\Sure.\Suits and masks?\What is that?\Oh, here we are.\These are...\Superhero outfits!\Red, pink, yellow, white... response:	Thank goodness.
context: Sure.\Suits and masks?\What is that?\Oh, here we are.\These are...\Superhero outfits!\Red, pink, yellow, white...\Thank goodness. response:	They look perfectly usable.
context: Suits and masks?\What is that?\Oh, here we are.\These are...\Superhero outfits!\Red, pink, yellow, white...\Thank goodness.\They look perfectly usable. response:	There's green, too. Just like the Gambaraijers!
context: What is that?\Oh, here we are.\These are...\Superhero outfits!\Red, pink, yellow, white...\Thank goodness.\They look perfectly usable.\There's green, too. Just like the Gambaraijers! response:	Mom, what is this all about?
context: Oh, here we are.\These are...\Superhero outfits!\Red, pink, yellow, white...\Thank goodness.\They look perfectly usable.\There's green, too. Just like the Gambaraijers!\Mom, what is this all about? response:	These were used for a lunch box contest
context: These are...\Superhero outfits!\Red, pink, yellow, white...\Thank goodness.\They look perfectly usable.\There's green, too. Just like the Gambaraijers!\Mom, what is this all about?\These were used for a lunch box contest response:	Aren't these a bit small?
context: Superhero outfits!\Red, pink, yellow, white...\Thank goodness.\They look perfectly usable.\There's green, too. Just like the Gambaraijers!\Mom, what is this all about?\These were used for a lunch box contest\Aren't these a bit small? response:	They're soft, so you can stretch them out.
context: Red, pink, yellow, white...\Thank goodness.\They look perfectly usable.\There's green, too. Just like the Gambaraijers!\Mom, what is this all about?\These were used for a lunch box contest\Aren't these a bit small?\They're soft, so you can stretch them out. response:	in the shopping district a while back.
context: Thank goodness.\They look perfectly usable.\There's green, too. Just like the Gambaraijers!\Mom, what is this all about?\These were used for a lunch box contest\Aren't these a bit small?\They're soft, so you can stretch them out.\in the shopping district a while back. response:	Oh, hey. There're boots, too.
context: They look perfectly usable.\There's green, too. Just like the Gambaraijers!\Mom, what is this all about?\These were used for a lunch box contest\Aren't these a bit small?\They're soft, so you can stretch them out.\in the shopping district a while back.\Oh, hey. There're boots, too. response:	You wore those?
context: There's green, too. Just like the Gambaraijers!\Mom, what is this all about?\These were used for a lunch box contest\Aren't these a bit small?\They're soft, so you can stretch them out.\in the shopping district a while back.\Oh, hey. There're boots, too.\You wore those? response:	They're pretty old, but the sizes should be okay.
context: Mom, what is this all about?\These were used for a lunch box contest\Aren't these a bit small?\They're soft, so you can stretch them out.\in the shopping district a while back.\Oh, hey. There're boots, too.\You wore those?\They're pretty old, but the sizes should be okay. response:	For a lunch box contest?
context: These were used for a lunch box contest\Aren't these a bit small?\They're soft, so you can stretch them out.\in the shopping district a while back.\Oh, hey. There're boots, too.\You wore those?\They're pretty old, but the sizes should be okay.\For a lunch box contest? response:	Yeah, but we overstuffed it and failed.
context: Aren't these a bit small?\They're soft, so you can stretch them out.\in the shopping district a while back.\Oh, hey. There're boots, too.\You wore those?\They're pretty old, but the sizes should be okay.\For a lunch box contest?\Yeah, but we overstuffed it and failed. response:	Wow, they really do stretch.
context: They're soft, so you can stretch them out.\in the shopping district a while back.\Oh, hey. There're boots, too.\You wore those?\They're pretty old, but the sizes should be okay.\For a lunch box contest?\Yeah, but we overstuffed it and failed.\Wow, they really do stretch. response:	I can't believe these were hidden here.
context: in the shopping district a while back.\Oh, hey. There're boots, too.\You wore those?\They're pretty old, but the sizes should be okay.\For a lunch box contest?\Yeah, but we overstuffed it and failed.\Wow, they really do stretch.\I can't believe these were hidden here. response:	Our ambitions didn't fit in the box!
context: Oh, hey. There're boots, too.\You wore those?\They're pretty old, but the sizes should be okay.\For a lunch box contest?\Yeah, but we overstuffed it and failed.\Wow, they really do stretch.\I can't believe these were hidden here.\Our ambitions didn't fit in the box! response:	You can stop talking now.
context: You wore those?\They're pretty old, but the sizes should be okay.\For a lunch box contest?\Yeah, but we overstuffed it and failed.\Wow, they really do stretch.\I can't believe these were hidden here.\Our ambitions didn't fit in the box!\You can stop talking now. response:	The association's hoping you'll wear them this weekend.
context: They're pretty old, but the sizes should be okay.\For a lunch box contest?\Yeah, but we overstuffed it and failed.\Wow, they really do stretch.\I can't believe these were hidden here.\Our ambitions didn't fit in the box!\You can stop talking now.\The association's hoping you'll wear them this weekend. response:	How does 30,000 yen sound?
context: For a lunch box contest?\Yeah, but we overstuffed it and failed.\Wow, they really do stretch.\I can't believe these were hidden here.\Our ambitions didn't fit in the box!\You can stop talking now.\The association's hoping you'll wear them this weekend.\How does 30,000 yen sound? response:	For all five of us?
context: Yeah, but we overstuffed it and failed.\Wow, they really do stretch.\I can't believe these were hidden here.\Our ambitions didn't fit in the box!\You can stop talking now.\The association's hoping you'll wear them this weekend.\How does 30,000 yen sound?\For all five of us? response:	When would we start? How many hours would we work?
context: Wow, they really do stretch.\I can't believe these were hidden here.\Our ambitions didn't fit in the box!\You can stop talking now.\The association's hoping you'll wear them this weekend.\How does 30,000 yen sound?\For all five of us?\When would we start? How many hours would we work? response:	If we could use all five of you, it'd be ideal.
context: I can't believe these were hidden here.\Our ambitions didn't fit in the box!\You can stop talking now.\The association's hoping you'll wear them this weekend.\How does 30,000 yen sound?\For all five of us?\When would we start? How many hours would we work?\If we could use all five of you, it'd be ideal. response:	We'd like you to do ten-minute shifts,
context: Our ambitions didn't fit in the box!\You can stop talking now.\The association's hoping you'll wear them this weekend.\How does 30,000 yen sound?\For all five of us?\When would we start? How many hours would we work?\If we could use all five of you, it'd be ideal.\We'd like you to do ten-minute shifts, response:	five times each day.
context: You can stop talking now.\The association's hoping you'll wear them this weekend.\How does 30,000 yen sound?\For all five of us?\When would we start? How many hours would we work?\If we could use all five of you, it'd be ideal.\We'd like you to do ten-minute shifts,\five times each day. response:	30,000 yen for a weekend's work is fair, don't you think?
context: The association's hoping you'll wear them this weekend.\How does 30,000 yen sound?\For all five of us?\When would we start? How many hours would we work?\If we could use all five of you, it'd be ideal.\We'd like you to do ten-minute shifts,\five times each day.\30,000 yen for a weekend's work is fair, don't you think? response:	We'd also need time to rehearse...
context: How does 30,000 yen sound?\For all five of us?\When would we start? How many hours would we work?\If we could use all five of you, it'd be ideal.\We'd like you to do ten-minute shifts,\five times each day.\30,000 yen for a weekend's work is fair, don't you think?\We'd also need time to rehearse... response:	What do you think?
context: For all five of us?\When would we start? How many hours would we work?\If we could use all five of you, it'd be ideal.\We'd like you to do ten-minute shifts,\five times each day.\30,000 yen for a weekend's work is fair, don't you think?\We'd also need time to rehearse...\What do you think? response:	Why do I have to decide?
context: When would we start? How many hours would we work?\If we could use all five of you, it'd be ideal.\We'd like you to do ten-minute shifts,\five times each day.\30,000 yen for a weekend's work is fair, don't you think?\We'd also need time to rehearse...\What do you think?\Why do I have to decide? response:	You're in for sure, daughter of mine.
context: If we could use all five of you, it'd be ideal.\We'd like you to do ten-minute shifts,\five times each day.\30,000 yen for a weekend's work is fair, don't you think?\We'd also need time to rehearse...\What do you think?\Why do I have to decide?\You're in for sure, daughter of mine. response:	Wakana wants to ask you about her mother.
context: We'd like you to do ten-minute shifts,\five times each day.\30,000 yen for a weekend's work is fair, don't you think?\We'd also need time to rehearse...\What do you think?\Why do I have to decide?\You're in for sure, daughter of mine.\Wakana wants to ask you about her mother. response:	Then if you scratch my back, I'll scratch yours.
context: five times each day.\30,000 yen for a weekend's work is fair, don't you think?\We'd also need time to rehearse...\What do you think?\Why do I have to decide?\You're in for sure, daughter of mine.\Wakana wants to ask you about her mother.\Then if you scratch my back, I'll scratch yours. response:	Traitor.
context: 30,000 yen for a weekend's work is fair, don't you think?\We'd also need time to rehearse...\What do you think?\Why do I have to decide?\You're in for sure, daughter of mine.\Wakana wants to ask you about her mother.\Then if you scratch my back, I'll scratch yours.\Traitor. response:	Please!
context: We'd also need time to rehearse...\What do you think?\Why do I have to decide?\You're in for sure, daughter of mine.\Wakana wants to ask you about her mother.\Then if you scratch my back, I'll scratch yours.\Traitor.\Please! response:	You're the only ones I can ask to be superheroes!
context: What do you think?\Why do I have to decide?\You're in for sure, daughter of mine.\Wakana wants to ask you about her mother.\Then if you scratch my back, I'll scratch yours.\Traitor.\Please!\You're the only ones I can ask to be superheroes! response:	This is a worthy mission.
context: Why do I have to decide?\You're in for sure, daughter of mine.\Wakana wants to ask you about her mother.\Then if you scratch my back, I'll scratch yours.\Traitor.\Please!\You're the only ones I can ask to be superheroes!\This is a worthy mission. response:	It's worthy,
context: You're in for sure, daughter of mine.\Wakana wants to ask you about her mother.\Then if you scratch my back, I'll scratch yours.\Traitor.\Please!\You're the only ones I can ask to be superheroes!\This is a worthy mission.\It's worthy, response:	because it inspires hopes and dreams.
context: Wakana wants to ask you about her mother.\Then if you scratch my back, I'll scratch yours.\Traitor.\Please!\You're the only ones I can ask to be superheroes!\This is a worthy mission.\It's worthy,\because it inspires hopes and dreams. response:	Hopes and dreams are the power that moves humanity
context: Then if you scratch my back, I'll scratch yours.\Traitor.\Please!\You're the only ones I can ask to be superheroes!\This is a worthy mission.\It's worthy,\because it inspires hopes and dreams.\Hopes and dreams are the power that moves humanity response:	and keep the Earth turning.
context: Traitor.\Please!\You're the only ones I can ask to be superheroes!\This is a worthy mission.\It's worthy,\because it inspires hopes and dreams.\Hopes and dreams are the power that moves humanity\and keep the Earth turning. response:	Wien?
context: Please!\You're the only ones I can ask to be superheroes!\This is a worthy mission.\It's worthy,\because it inspires hopes and dreams.\Hopes and dreams are the power that moves humanity\and keep the Earth turning.\Wien? response:	Tomorrow doesn't come because the sun rises in the morning!
context: You're the only ones I can ask to be superheroes!\This is a worthy mission.\It's worthy,\because it inspires hopes and dreams.\Hopes and dreams are the power that moves humanity\and keep the Earth turning.\Wien?\Tomorrow doesn't come because the sun rises in the morning! response:	The sun rises in the morning because people keep their
context: This is a worthy mission.\It's worthy,\because it inspires hopes and dreams.\Hopes and dreams are the power that moves humanity\and keep the Earth turning.\Wien?\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their response:	hopes close to their hearts!
context: It's worthy,\because it inspires hopes and dreams.\Hopes and dreams are the power that moves humanity\and keep the Earth turning.\Wien?\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts! response:	We keep the Earth turning!
context: because it inspires hopes and dreams.\Hopes and dreams are the power that moves humanity\and keep the Earth turning.\Wien?\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning! response:	I'd forgotten something important.
context: Hopes and dreams are the power that moves humanity\and keep the Earth turning.\Wien?\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\I'd forgotten something important. response:	How could I allow myself to lose hope?
context: and keep the Earth turning.\Wien?\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\I'd forgotten something important.\How could I allow myself to lose hope? response:	Can you please repeat our job description?
context: Wien?\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\I'd forgotten something important.\How could I allow myself to lose hope?\Can you please repeat our job description? response:	Sure... We'd like you to work over the weekend, for ten minutes at a...
context: Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\I'd forgotten something important.\How could I allow myself to lose hope?\Can you please repeat our job description?\Sure... We'd like you to work over the weekend, for ten minutes at a... response:	Wien sure is passionate.
context: The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\I'd forgotten something important.\How could I allow myself to lose hope?\Can you please repeat our job description?\Sure... We'd like you to work over the weekend, for ten minutes at a...\Wien sure is passionate. response:	Was he always like this?
context: hopes close to their hearts!\We keep the Earth turning!\I'd forgotten something important.\How could I allow myself to lose hope?\Can you please repeat our job description?\Sure... We'd like you to work over the weekend, for ten minutes at a...\Wien sure is passionate.\Was he always like this? response:	That was Gamba Red's speech.
context: We keep the Earth turning!\I'd forgotten something important.\How could I allow myself to lose hope?\Can you please repeat our job description?\Sure... We'd like you to work over the weekend, for ten minutes at a...\Wien sure is passionate.\Was he always like this?\That was Gamba Red's speech. response:	The passionate heroes, the Gambaraijers.
context: I'd forgotten something important.\How could I allow myself to lose hope?\Can you please repeat our job description?\Sure... We'd like you to work over the weekend, for ten minutes at a...\Wien sure is passionate.\Was he always like this?\That was Gamba Red's speech.\The passionate heroes, the Gambaraijers. response:	We saw them in his room, remember?
context: How could I allow myself to lose hope?\Can you please repeat our job description?\Sure... We'd like you to work over the weekend, for ten minutes at a...\Wien sure is passionate.\Was he always like this?\That was Gamba Red's speech.\The passionate heroes, the Gambaraijers.\We saw them in his room, remember? response:	Oh, yeah.
context: Can you please repeat our job description?\Sure... We'd like you to work over the weekend, for ten minutes at a...\Wien sure is passionate.\Was he always like this?\That was Gamba Red's speech.\The passionate heroes, the Gambaraijers.\We saw them in his room, remember?\Oh, yeah. response:	So this flipped his superhero switch.
context: Sure... We'd like you to work over the weekend, for ten minutes at a...\Wien sure is passionate.\Was he always like this?\That was Gamba Red's speech.\The passionate heroes, the Gambaraijers.\We saw them in his room, remember?\Oh, yeah.\So this flipped his superhero switch. response:	So, you guys are in, right?
context: Wien sure is passionate.\Was he always like this?\That was Gamba Red's speech.\The passionate heroes, the Gambaraijers.\We saw them in his room, remember?\Oh, yeah.\So this flipped his superhero switch.\So, you guys are in, right? response:	Yup!
context: Was he always like this?\That was Gamba Red's speech.\The passionate heroes, the Gambaraijers.\We saw them in his room, remember?\Oh, yeah.\So this flipped his superhero switch.\So, you guys are in, right?\Yup! response:	We can rehearse tomorrow at my house!
context: That was Gamba Red's speech.\The passionate heroes, the Gambaraijers.\We saw them in his room, remember?\Oh, yeah.\So this flipped his superhero switch.\So, you guys are in, right?\Yup!\We can rehearse tomorrow at my house! response:	Not wasting any time, huh.
context: The passionate heroes, the Gambaraijers.\We saw them in his room, remember?\Oh, yeah.\So this flipped his superhero switch.\So, you guys are in, right?\Yup!\We can rehearse tomorrow at my house!\Not wasting any time, huh. response:	The battle is upon us!
context: We saw them in his room, remember?\Oh, yeah.\So this flipped his superhero switch.\So, you guys are in, right?\Yup!\We can rehearse tomorrow at my house!\Not wasting any time, huh.\The battle is upon us! response:	You want to know how Mahiru wrote her songs?
context: Oh, yeah.\So this flipped his superhero switch.\So, you guys are in, right?\Yup!\We can rehearse tomorrow at my house!\Not wasting any time, huh.\The battle is upon us!\You want to know how Mahiru wrote her songs? response:	Well, I was only ever a singer...
context: So this flipped his superhero switch.\So, you guys are in, right?\Yup!\We can rehearse tomorrow at my house!\Not wasting any time, huh.\The battle is upon us!\You want to know how Mahiru wrote her songs?\Well, I was only ever a singer... response:	She was easy to talk to, but I don't think
context: So, you guys are in, right?\Yup!\We can rehearse tomorrow at my house!\Not wasting any time, huh.\The battle is upon us!\You want to know how Mahiru wrote her songs?\Well, I was only ever a singer...\She was easy to talk to, but I don't think response:	that subject ever came up.
context: Yup!\We can rehearse tomorrow at my house!\Not wasting any time, huh.\The battle is upon us!\You want to know how Mahiru wrote her songs?\Well, I was only ever a singer...\She was easy to talk to, but I don't think\that subject ever came up. response:	Oh, I see.
context: We can rehearse tomorrow at my house!\Not wasting any time, huh.\The battle is upon us!\You want to know how Mahiru wrote her songs?\Well, I was only ever a singer...\She was easy to talk to, but I don't think\that subject ever came up.\Oh, I see. response:	I never saw her worry much about that, though.
context: Not wasting any time, huh.\The battle is upon us!\You want to know how Mahiru wrote her songs?\Well, I was only ever a singer...\She was easy to talk to, but I don't think\that subject ever came up.\Oh, I see.\I never saw her worry much about that, though. response:	I'm pretty sure she was the type to let inspiration strike.
context: The battle is upon us!\You want to know how Mahiru wrote her songs?\Well, I was only ever a singer...\She was easy to talk to, but I don't think\that subject ever came up.\Oh, I see.\I never saw her worry much about that, though.\I'm pretty sure she was the type to let inspiration strike. response:	Oh.
context: You want to know how Mahiru wrote her songs?\Well, I was only ever a singer...\She was easy to talk to, but I don't think\that subject ever came up.\Oh, I see.\I never saw her worry much about that, though.\I'm pretty sure she was the type to let inspiration strike.\Oh. response:	I wish I had talked to her more about these things.
context: Well, I was only ever a singer...\She was easy to talk to, but I don't think\that subject ever came up.\Oh, I see.\I never saw her worry much about that, though.\I'm pretty sure she was the type to let inspiration strike.\Oh.\I wish I had talked to her more about these things. response:	Well, if you want to know more about composition,
context: She was easy to talk to, but I don't think\that subject ever came up.\Oh, I see.\I never saw her worry much about that, though.\I'm pretty sure she was the type to let inspiration strike.\Oh.\I wish I had talked to her more about these things.\Well, if you want to know more about composition, response:	you should talk to the vice principal.
context: that subject ever came up.\Oh, I see.\I never saw her worry much about that, though.\I'm pretty sure she was the type to let inspiration strike.\Oh.\I wish I had talked to her more about these things.\Well, if you want to know more about composition,\you should talk to the vice principal. response:	The song on that cassette tape
context: Oh, I see.\I never saw her worry much about that, though.\I'm pretty sure she was the type to let inspiration strike.\Oh.\I wish I had talked to her more about these things.\Well, if you want to know more about composition,\you should talk to the vice principal.\The song on that cassette tape response:	was co-written by her and your mom.
context: I never saw her worry much about that, though.\I'm pretty sure she was the type to let inspiration strike.\Oh.\I wish I had talked to her more about these things.\Well, if you want to know more about composition,\you should talk to the vice principal.\The song on that cassette tape\was co-written by her and your mom. response:	Mahiru told us she wanted us to write our own song.
context: I'm pretty sure she was the type to let inspiration strike.\Oh.\I wish I had talked to her more about these things.\Well, if you want to know more about composition,\you should talk to the vice principal.\The song on that cassette tape\was co-written by her and your mom.\Mahiru told us she wanted us to write our own song. response:	At first, we all thought she was joking.
context: Oh.\I wish I had talked to her more about these things.\Well, if you want to know more about composition,\you should talk to the vice principal.\The song on that cassette tape\was co-written by her and your mom.\Mahiru told us she wanted us to write our own song.\At first, we all thought she was joking. response:	But Takakura has always been quite serious,
context: I wish I had talked to her more about these things.\Well, if you want to know more about composition,\you should talk to the vice principal.\The song on that cassette tape\was co-written by her and your mom.\Mahiru told us she wanted us to write our own song.\At first, we all thought she was joking.\But Takakura has always been quite serious, response:	so she got swept up in the whole affair.
