context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: What's the big idea, Noelle?!\You are pretty hurt. Just stay put, kid.\Or so I'd like to say,\but I guess you were with me when the Wizard King gave us this mission.\Fine, come with.\Yes, sir!\Everyone else, make sure you get some rest...\Yeah, guess I don't need to tell you that. response:	Take care.
context: You are pretty hurt. Just stay put, kid.\Or so I'd like to say,\but I guess you were with me when the Wizard King gave us this mission.\Fine, come with.\Yes, sir!\Everyone else, make sure you get some rest...\Yeah, guess I don't need to tell you that.\Take care. response:	You coming, too, Nero?
context: Or so I'd like to say,\but I guess you were with me when the Wizard King gave us this mission.\Fine, come with.\Yes, sir!\Everyone else, make sure you get some rest...\Yeah, guess I don't need to tell you that.\Take care.\You coming, too, Nero? response:	Come to think of it...
context: but I guess you were with me when the Wizard King gave us this mission.\Fine, come with.\Yes, sir!\Everyone else, make sure you get some rest...\Yeah, guess I don't need to tell you that.\Take care.\You coming, too, Nero?\Come to think of it... response:	Didn't that thing you found at Saussy Village sorta look like a magic stone?
context: Fine, come with.\Yes, sir!\Everyone else, make sure you get some rest...\Yeah, guess I don't need to tell you that.\Take care.\You coming, too, Nero?\Come to think of it...\Didn't that thing you found at Saussy Village sorta look like a magic stone? response:	Asta!
context: Yes, sir!\Everyone else, make sure you get some rest...\Yeah, guess I don't need to tell you that.\Take care.\You coming, too, Nero?\Come to think of it...\Didn't that thing you found at Saussy Village sorta look like a magic stone?\Asta! response:	Coming!
context: Everyone else, make sure you get some rest...\Yeah, guess I don't need to tell you that.\Take care.\You coming, too, Nero?\Come to think of it...\Didn't that thing you found at Saussy Village sorta look like a magic stone?\Asta!\Coming! response:	We're going! Hurry it up.
context: Yeah, guess I don't need to tell you that.\Take care.\You coming, too, Nero?\Come to think of it...\Didn't that thing you found at Saussy Village sorta look like a magic stone?\Asta!\Coming!\We're going! Hurry it up. response:	Quit wastin' time!
context: Take care.\You coming, too, Nero?\Come to think of it...\Didn't that thing you found at Saussy Village sorta look like a magic stone?\Asta!\Coming!\We're going! Hurry it up.\Quit wastin' time! response:	Sorry!
context: You coming, too, Nero?\Come to think of it...\Didn't that thing you found at Saussy Village sorta look like a magic stone?\Asta!\Coming!\We're going! Hurry it up.\Quit wastin' time!\Sorry! response:	Man, this place is as stupidly huge as ever!
context: Come to think of it...\Didn't that thing you found at Saussy Village sorta look like a magic stone?\Asta!\Coming!\We're going! Hurry it up.\Quit wastin' time!\Sorry!\Man, this place is as stupidly huge as ever! response:	Shut up.
context: Didn't that thing you found at Saussy Village sorta look like a magic stone?\Asta!\Coming!\We're going! Hurry it up.\Quit wastin' time!\Sorry!\Man, this place is as stupidly huge as ever!\Shut up. response:	Good work, Finral.
context: Asta!\Coming!\We're going! Hurry it up.\Quit wastin' time!\Sorry!\Man, this place is as stupidly huge as ever!\Shut up.\Good work, Finral. response:	Huh?
context: Coming!\We're going! Hurry it up.\Quit wastin' time!\Sorry!\Man, this place is as stupidly huge as ever!\Shut up.\Good work, Finral.\Huh? response:	You can go play until we come back.
context: We're going! Hurry it up.\Quit wastin' time!\Sorry!\Man, this place is as stupidly huge as ever!\Shut up.\Good work, Finral.\Huh?\You can go play until we come back. response:	What?! No fair!
context: Quit wastin' time!\Sorry!\Man, this place is as stupidly huge as ever!\Shut up.\Good work, Finral.\Huh?\You can go play until we come back.\What?! No fair! response:	I wanna meet the Wizard King, too!
context: Sorry!\Man, this place is as stupidly huge as ever!\Shut up.\Good work, Finral.\Huh?\You can go play until we come back.\What?! No fair!\I wanna meet the Wizard King, too! response:	I really am nothing but your ride now!
context: Man, this place is as stupidly huge as ever!\Shut up.\Good work, Finral.\Huh?\You can go play until we come back.\What?! No fair!\I wanna meet the Wizard King, too!\I really am nothing but your ride now! response:	But then again, it'd be more fun to go
context: Shut up.\Good work, Finral.\Huh?\You can go play until we come back.\What?! No fair!\I wanna meet the Wizard King, too!\I really am nothing but your ride now!\But then again, it'd be more fun to go response:	flirt with girls in the capital than to see the Wizard King.
context: Good work, Finral.\Huh?\You can go play until we come back.\What?! No fair!\I wanna meet the Wizard King, too!\I really am nothing but your ride now!\But then again, it'd be more fun to go\flirt with girls in the capital than to see the Wizard King. response:	See ya, guys!
context: Huh?\You can go play until we come back.\What?! No fair!\I wanna meet the Wizard King, too!\I really am nothing but your ride now!\But then again, it'd be more fun to go\flirt with girls in the capital than to see the Wizard King.\See ya, guys! response:	Wait for me, cuties!
context: You can go play until we come back.\What?! No fair!\I wanna meet the Wizard King, too!\I really am nothing but your ride now!\But then again, it'd be more fun to go\flirt with girls in the capital than to see the Wizard King.\See ya, guys!\Wait for me, cuties! response:	I see.
context: What?! No fair!\I wanna meet the Wizard King, too!\I really am nothing but your ride now!\But then again, it'd be more fun to go\flirt with girls in the capital than to see the Wizard King.\See ya, guys!\Wait for me, cuties!\I see. response:	He was a member of the Third Eye, the strongest of
context: I wanna meet the Wizard King, too!\I really am nothing but your ride now!\But then again, it'd be more fun to go\flirt with girls in the capital than to see the Wizard King.\See ya, guys!\Wait for me, cuties!\I see.\He was a member of the Third Eye, the strongest of response:	the Eye of the Midnight Sun, then?
context: I really am nothing but your ride now!\But then again, it'd be more fun to go\flirt with girls in the capital than to see the Wizard King.\See ya, guys!\Wait for me, cuties!\I see.\He was a member of the Third Eye, the strongest of\the Eye of the Midnight Sun, then? response:	His name was Vetto the Despair.
context: But then again, it'd be more fun to go\flirt with girls in the capital than to see the Wizard King.\See ya, guys!\Wait for me, cuties!\I see.\He was a member of the Third Eye, the strongest of\the Eye of the Midnight Sun, then?\His name was Vetto the Despair. response:	Despair, eh?
context: flirt with girls in the capital than to see the Wizard King.\See ya, guys!\Wait for me, cuties!\I see.\He was a member of the Third Eye, the strongest of\the Eye of the Midnight Sun, then?\His name was Vetto the Despair.\Despair, eh? response:	We'll send his corpse in for an autopsy
context: See ya, guys!\Wait for me, cuties!\I see.\He was a member of the Third Eye, the strongest of\the Eye of the Midnight Sun, then?\His name was Vetto the Despair.\Despair, eh?\We'll send his corpse in for an autopsy response:	I can't move! Let us go!
context: Wait for me, cuties!\I see.\He was a member of the Third Eye, the strongest of\the Eye of the Midnight Sun, then?\His name was Vetto the Despair.\Despair, eh?\We'll send his corpse in for an autopsy\I can't move! Let us go! response:	and interrogate the other Eye of the Midnight Sun members.
context: I see.\He was a member of the Third Eye, the strongest of\the Eye of the Midnight Sun, then?\His name was Vetto the Despair.\Despair, eh?\We'll send his corpse in for an autopsy\I can't move! Let us go!\and interrogate the other Eye of the Midnight Sun members. response:	Let us out!
context: He was a member of the Third Eye, the strongest of\the Eye of the Midnight Sun, then?\His name was Vetto the Despair.\Despair, eh?\We'll send his corpse in for an autopsy\I can't move! Let us go!\and interrogate the other Eye of the Midnight Sun members.\Let us out! response:	Got it.
context: the Eye of the Midnight Sun, then?\His name was Vetto the Despair.\Despair, eh?\We'll send his corpse in for an autopsy\I can't move! Let us go!\and interrogate the other Eye of the Midnight Sun members.\Let us out!\Got it. response:	Your binding spell is fantastic.
context: His name was Vetto the Despair.\Despair, eh?\We'll send his corpse in for an autopsy\I can't move! Let us go!\and interrogate the other Eye of the Midnight Sun members.\Let us out!\Got it.\Your binding spell is fantastic. response:	That fluff is superb.
context: Despair, eh?\We'll send his corpse in for an autopsy\I can't move! Let us go!\and interrogate the other Eye of the Midnight Sun members.\Let us out!\Got it.\Your binding spell is fantastic.\That fluff is superb. response:	Who are you?
context: We'll send his corpse in for an autopsy\I can't move! Let us go!\and interrogate the other Eye of the Midnight Sun members.\Let us out!\Got it.\Your binding spell is fantastic.\That fluff is superb.\Who are you? response:	By the way, Yami, is this little one your child?
context: I can't move! Let us go!\and interrogate the other Eye of the Midnight Sun members.\Let us out!\Got it.\Your binding spell is fantastic.\That fluff is superb.\Who are you?\By the way, Yami, is this little one your child? response:	When did you end up with a kid this big?
context: and interrogate the other Eye of the Midnight Sun members.\Let us out!\Got it.\Your binding spell is fantastic.\That fluff is superb.\Who are you?\By the way, Yami, is this little one your child?\When did you end up with a kid this big? response:	She's not.
context: Let us out!\Got it.\Your binding spell is fantastic.\That fluff is superb.\Who are you?\By the way, Yami, is this little one your child?\When did you end up with a kid this big?\She's not. response:	Gimme something yummy.
context: Got it.\Your binding spell is fantastic.\That fluff is superb.\Who are you?\By the way, Yami, is this little one your child?\When did you end up with a kid this big?\She's not.\Gimme something yummy. response:	But anyway...
context: Your binding spell is fantastic.\That fluff is superb.\Who are you?\By the way, Yami, is this little one your child?\When did you end up with a kid this big?\She's not.\Gimme something yummy.\But anyway... response:	Safe!
context: That fluff is superb.\Who are you?\By the way, Yami, is this little one your child?\When did you end up with a kid this big?\She's not.\Gimme something yummy.\But anyway...\Safe! response:	Here's the magic stone.
context: Who are you?\By the way, Yami, is this little one your child?\When did you end up with a kid this big?\She's not.\Gimme something yummy.\But anyway...\Safe!\Here's the magic stone. response:	Well done, indeed.
context: By the way, Yami, is this little one your child?\When did you end up with a kid this big?\She's not.\Gimme something yummy.\But anyway...\Safe!\Here's the magic stone.\Well done, indeed. response:	I'm sure you've heard, but many lost their lives fighting at Raquey.
context: When did you end up with a kid this big?\She's not.\Gimme something yummy.\But anyway...\Safe!\Here's the magic stone.\Well done, indeed.\I'm sure you've heard, but many lost their lives fighting at Raquey. response:	This should help them rest in peace.
context: She's not.\Gimme something yummy.\But anyway...\Safe!\Here's the magic stone.\Well done, indeed.\I'm sure you've heard, but many lost their lives fighting at Raquey.\This should help them rest in peace. response:	The Black Bulls accomplished this very important mission
context: Gimme something yummy.\But anyway...\Safe!\Here's the magic stone.\Well done, indeed.\I'm sure you've heard, but many lost their lives fighting at Raquey.\This should help them rest in peace.\The Black Bulls accomplished this very important mission response:	without losing a single member.
context: But anyway...\Safe!\Here's the magic stone.\Well done, indeed.\I'm sure you've heard, but many lost their lives fighting at Raquey.\This should help them rest in peace.\The Black Bulls accomplished this very important mission\without losing a single member. response:	Absolutely brilliant.
context: Safe!\Here's the magic stone.\Well done, indeed.\I'm sure you've heard, but many lost their lives fighting at Raquey.\This should help them rest in peace.\The Black Bulls accomplished this very important mission\without losing a single member.\Absolutely brilliant. response:	It seems that you've also grown stronger,
context: Here's the magic stone.\Well done, indeed.\I'm sure you've heard, but many lost their lives fighting at Raquey.\This should help them rest in peace.\The Black Bulls accomplished this very important mission\without losing a single member.\Absolutely brilliant.\It seems that you've also grown stronger, response:	Yami.
context: Well done, indeed.\I'm sure you've heard, but many lost their lives fighting at Raquey.\This should help them rest in peace.\The Black Bulls accomplished this very important mission\without losing a single member.\Absolutely brilliant.\It seems that you've also grown stronger,\Yami. response:	I heard he made that foreigner a Magic Knight.
context: I'm sure you've heard, but many lost their lives fighting at Raquey.\This should help them rest in peace.\The Black Bulls accomplished this very important mission\without losing a single member.\Absolutely brilliant.\It seems that you've also grown stronger,\Yami.\I heard he made that foreigner a Magic Knight. response:	What's Captain Julius thinking?
context: This should help them rest in peace.\The Black Bulls accomplished this very important mission\without losing a single member.\Absolutely brilliant.\It seems that you've also grown stronger,\Yami.\I heard he made that foreigner a Magic Knight.\What's Captain Julius thinking? response:	You're going to make someone like that a Magic Knights Squad Captain?!
context: The Black Bulls accomplished this very important mission\without losing a single member.\Absolutely brilliant.\It seems that you've also grown stronger,\Yami.\I heard he made that foreigner a Magic Knight.\What's Captain Julius thinking?\You're going to make someone like that a Magic Knights Squad Captain?! response:	Are you insane, Wizard King?
context: without losing a single member.\Absolutely brilliant.\It seems that you've also grown stronger,\Yami.\I heard he made that foreigner a Magic Knight.\What's Captain Julius thinking?\You're going to make someone like that a Magic Knights Squad Captain?!\Are you insane, Wizard King? response:	Aren't you a little too happy-go-lucky, mister?
context: Absolutely brilliant.\It seems that you've also grown stronger,\Yami.\I heard he made that foreigner a Magic Knight.\What's Captain Julius thinking?\You're going to make someone like that a Magic Knights Squad Captain?!\Are you insane, Wizard King?\Aren't you a little too happy-go-lucky, mister? response:	You've truly become a magnificent Magic Knights Captain, Yami.
context: It seems that you've also grown stronger,\Yami.\I heard he made that foreigner a Magic Knight.\What's Captain Julius thinking?\You're going to make someone like that a Magic Knights Squad Captain?!\Are you insane, Wizard King?\Aren't you a little too happy-go-lucky, mister?\You've truly become a magnificent Magic Knights Captain, Yami. response:	Cut it out. I'm 28 now, you know? You're embarrassing me.
context: Yami.\I heard he made that foreigner a Magic Knight.\What's Captain Julius thinking?\You're going to make someone like that a Magic Knights Squad Captain?!\Are you insane, Wizard King?\Aren't you a little too happy-go-lucky, mister?\You've truly become a magnificent Magic Knights Captain, Yami.\Cut it out. I'm 28 now, you know? You're embarrassing me. response:	Oh, sorry about that.
context: I heard he made that foreigner a Magic Knight.\What's Captain Julius thinking?\You're going to make someone like that a Magic Knights Squad Captain?!\Are you insane, Wizard King?\Aren't you a little too happy-go-lucky, mister?\You've truly become a magnificent Magic Knights Captain, Yami.\Cut it out. I'm 28 now, you know? You're embarrassing me.\Oh, sorry about that. response:	If you want to say you're right,
context: What's Captain Julius thinking?\You're going to make someone like that a Magic Knights Squad Captain?!\Are you insane, Wizard King?\Aren't you a little too happy-go-lucky, mister?\You've truly become a magnificent Magic Knights Captain, Yami.\Cut it out. I'm 28 now, you know? You're embarrassing me.\Oh, sorry about that.\If you want to say you're right, response:	then prove it with the results you get from doing things your way.
context: You're going to make someone like that a Magic Knights Squad Captain?!\Are you insane, Wizard King?\Aren't you a little too happy-go-lucky, mister?\You've truly become a magnificent Magic Knights Captain, Yami.\Cut it out. I'm 28 now, you know? You're embarrassing me.\Oh, sorry about that.\If you want to say you're right,\then prove it with the results you get from doing things your way. response:	That's what you told me, Julius.
context: Are you insane, Wizard King?\Aren't you a little too happy-go-lucky, mister?\You've truly become a magnificent Magic Knights Captain, Yami.\Cut it out. I'm 28 now, you know? You're embarrassing me.\Oh, sorry about that.\If you want to say you're right,\then prove it with the results you get from doing things your way.\That's what you told me, Julius. response:	I've said this before, but all I did
context: Aren't you a little too happy-go-lucky, mister?\You've truly become a magnificent Magic Knights Captain, Yami.\Cut it out. I'm 28 now, you know? You're embarrassing me.\Oh, sorry about that.\If you want to say you're right,\then prove it with the results you get from doing things your way.\That's what you told me, Julius.\I've said this before, but all I did response:	was prove that you were right.
context: You've truly become a magnificent Magic Knights Captain, Yami.\Cut it out. I'm 28 now, you know? You're embarrassing me.\Oh, sorry about that.\If you want to say you're right,\then prove it with the results you get from doing things your way.\That's what you told me, Julius.\I've said this before, but all I did\was prove that you were right. response:	And these guys, my Magic Knights...
context: Cut it out. I'm 28 now, you know? You're embarrassing me.\Oh, sorry about that.\If you want to say you're right,\then prove it with the results you get from doing things your way.\That's what you told me, Julius.\I've said this before, but all I did\was prove that you were right.\And these guys, my Magic Knights... response:	Ow!
context: Oh, sorry about that.\If you want to say you're right,\then prove it with the results you get from doing things your way.\That's what you told me, Julius.\I've said this before, but all I did\was prove that you were right.\And these guys, my Magic Knights...\Ow! response:	Yeah...
context: If you want to say you're right,\then prove it with the results you get from doing things your way.\That's what you told me, Julius.\I've said this before, but all I did\was prove that you were right.\And these guys, my Magic Knights...\Ow!\Yeah... response:	Asta, you've earned another achievement.
context: then prove it with the results you get from doing things your way.\That's what you told me, Julius.\I've said this before, but all I did\was prove that you were right.\And these guys, my Magic Knights...\Ow!\Yeah...\Asta, you've earned another achievement. response:	You're another step closer to becoming the Wizard King.
context: That's what you told me, Julius.\I've said this before, but all I did\was prove that you were right.\And these guys, my Magic Knights...\Ow!\Yeah...\Asta, you've earned another achievement.\You're another step closer to becoming the Wizard King. response:	I look forward to seeing what you do next.
context: I've said this before, but all I did\was prove that you were right.\And these guys, my Magic Knights...\Ow!\Yeah...\Asta, you've earned another achievement.\You're another step closer to becoming the Wizard King.\I look forward to seeing what you do next. response:	Yes, sir!
context: was prove that you were right.\And these guys, my Magic Knights...\Ow!\Yeah...\Asta, you've earned another achievement.\You're another step closer to becoming the Wizard King.\I look forward to seeing what you do next.\Yes, sir! response:	U-Um, Wizard King, sir, I have a r-request.
context: And these guys, my Magic Knights...\Ow!\Yeah...\Asta, you've earned another achievement.\You're another step closer to becoming the Wizard King.\I look forward to seeing what you do next.\Yes, sir!\U-Um, Wizard King, sir, I have a r-request. response:	What is it?
context: Ow!\Yeah...\Asta, you've earned another achievement.\You're another step closer to becoming the Wizard King.\I look forward to seeing what you do next.\Yes, sir!\U-Um, Wizard King, sir, I have a r-request.\What is it? response:	U-Um, well...
context: Yeah...\Asta, you've earned another achievement.\You're another step closer to becoming the Wizard King.\I look forward to seeing what you do next.\Yes, sir!\U-Um, Wizard King, sir, I have a r-request.\What is it?\U-Um, well... response:	C-Could I have your autograph?!
context: Asta, you've earned another achievement.\You're another step closer to becoming the Wizard King.\I look forward to seeing what you do next.\Yes, sir!\U-Um, Wizard King, sir, I have a r-request.\What is it?\U-Um, well...\C-Could I have your autograph?! response:	Sure, I'll write it right on your face.
context: You're another step closer to becoming the Wizard King.\I look forward to seeing what you do next.\Yes, sir!\U-Um, Wizard King, sir, I have a r-request.\What is it?\U-Um, well...\C-Could I have your autograph?!\Sure, I'll write it right on your face. response:	Please, no!
context: I look forward to seeing what you do next.\Yes, sir!\U-Um, Wizard King, sir, I have a r-request.\What is it?\U-Um, well...\C-Could I have your autograph?!\Sure, I'll write it right on your face.\Please, no! response:	You jerk. Get nervous around me, too!
context: Yes, sir!\U-Um, Wizard King, sir, I have a r-request.\What is it?\U-Um, well...\C-Could I have your autograph?!\Sure, I'll write it right on your face.\Please, no!\You jerk. Get nervous around me, too! response:	I'm sorry to interrupt, Wizard King.
context: U-Um, Wizard King, sir, I have a r-request.\What is it?\U-Um, well...\C-Could I have your autograph?!\Sure, I'll write it right on your face.\Please, no!\You jerk. Get nervous around me, too!\I'm sorry to interrupt, Wizard King. response:	Mushroom Head.
context: What is it?\U-Um, well...\C-Could I have your autograph?!\Sure, I'll write it right on your face.\Please, no!\You jerk. Get nervous around me, too!\I'm sorry to interrupt, Wizard King.\Mushroom Head. response:	Who are you calling Mushroom Head?!
context: U-Um, well...\C-Could I have your autograph?!\Sure, I'll write it right on your face.\Please, no!\You jerk. Get nervous around me, too!\I'm sorry to interrupt, Wizard King.\Mushroom Head.\Who are you calling Mushroom Head?! response:	No, now's not the time for that!
context: C-Could I have your autograph?!\Sure, I'll write it right on your face.\Please, no!\You jerk. Get nervous around me, too!\I'm sorry to interrupt, Wizard King.\Mushroom Head.\Who are you calling Mushroom Head?!\No, now's not the time for that! response:	What's the matter, Marx?
context: Sure, I'll write it right on your face.\Please, no!\You jerk. Get nervous around me, too!\I'm sorry to interrupt, Wizard King.\Mushroom Head.\Who are you calling Mushroom Head?!\No, now's not the time for that!\What's the matter, Marx? response:	The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,
context: Please, no!\You jerk. Get nervous around me, too!\I'm sorry to interrupt, Wizard King.\Mushroom Head.\Who are you calling Mushroom Head?!\No, now's not the time for that!\What's the matter, Marx?\The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom, response:	is under attack by a Diamond Kingdom squad.
context: You jerk. Get nervous around me, too!\I'm sorry to interrupt, Wizard King.\Mushroom Head.\Who are you calling Mushroom Head?!\No, now's not the time for that!\What's the matter, Marx?\The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,\is under attack by a Diamond Kingdom squad. response:	They couldn't have chosen a worse time.
context: I'm sorry to interrupt, Wizard King.\Mushroom Head.\Who are you calling Mushroom Head?!\No, now's not the time for that!\What's the matter, Marx?\The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,\is under attack by a Diamond Kingdom squad.\They couldn't have chosen a worse time. response:	This is...
context: Mushroom Head.\Who are you calling Mushroom Head?!\No, now's not the time for that!\What's the matter, Marx?\The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,\is under attack by a Diamond Kingdom squad.\They couldn't have chosen a worse time.\This is... response:	Wh-What's with that massive horde of people?!
context: Who are you calling Mushroom Head?!\No, now's not the time for that!\What's the matter, Marx?\The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,\is under attack by a Diamond Kingdom squad.\They couldn't have chosen a worse time.\This is...\Wh-What's with that massive horde of people?! response:	This looks like a bit more than their usual harassment.
context: No, now's not the time for that!\What's the matter, Marx?\The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,\is under attack by a Diamond Kingdom squad.\They couldn't have chosen a worse time.\This is...\Wh-What's with that massive horde of people?!\This looks like a bit more than their usual harassment. response:	Not to mention the ones leading this army...
context: What's the matter, Marx?\The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,\is under attack by a Diamond Kingdom squad.\They couldn't have chosen a worse time.\This is...\Wh-What's with that massive horde of people?!\This looks like a bit more than their usual harassment.\Not to mention the ones leading this army... response:	Yes, sir. We believe they're Lagus,
context: The border town of Kiten, which has a history of skirmishes with the Diamond Kingdom,\is under attack by a Diamond Kingdom squad.\They couldn't have chosen a worse time.\This is...\Wh-What's with that massive horde of people?!\This looks like a bit more than their usual harassment.\Not to mention the ones leading this army...\Yes, sir. We believe they're Lagus, response:	Brocks,
context: is under attack by a Diamond Kingdom squad.\They couldn't have chosen a worse time.\This is...\Wh-What's with that massive horde of people?!\This looks like a bit more than their usual harassment.\Not to mention the ones leading this army...\Yes, sir. We believe they're Lagus,\Brocks, response:	and Yagos.
context: They couldn't have chosen a worse time.\This is...\Wh-What's with that massive horde of people?!\This looks like a bit more than their usual harassment.\Not to mention the ones leading this army...\Yes, sir. We believe they're Lagus,\Brocks,\and Yagos. response:	Three of the Eight Shining Generals.
context: This is...\Wh-What's with that massive horde of people?!\This looks like a bit more than their usual harassment.\Not to mention the ones leading this army...\Yes, sir. We believe they're Lagus,\Brocks,\and Yagos.\Three of the Eight Shining Generals. response:	What are the Eight Shining Generals?
context: Wh-What's with that massive horde of people?!\This looks like a bit more than their usual harassment.\Not to mention the ones leading this army...\Yes, sir. We believe they're Lagus,\Brocks,\and Yagos.\Three of the Eight Shining Generals.\What are the Eight Shining Generals? response:	The eight strongest from the Diamond Kingdom.
context: This looks like a bit more than their usual harassment.\Not to mention the ones leading this army...\Yes, sir. We believe they're Lagus,\Brocks,\and Yagos.\Three of the Eight Shining Generals.\What are the Eight Shining Generals?\The eight strongest from the Diamond Kingdom. response:	What?!
context: Not to mention the ones leading this army...\Yes, sir. We believe they're Lagus,\Brocks,\and Yagos.\Three of the Eight Shining Generals.\What are the Eight Shining Generals?\The eight strongest from the Diamond Kingdom.\What?! response:	They're similar to the Magic Knights Captains of the Clover Kingdom.
context: Yes, sir. We believe they're Lagus,\Brocks,\and Yagos.\Three of the Eight Shining Generals.\What are the Eight Shining Generals?\The eight strongest from the Diamond Kingdom.\What?!\They're similar to the Magic Knights Captains of the Clover Kingdom. response:	That's super bad news!
context: Brocks,\and Yagos.\Three of the Eight Shining Generals.\What are the Eight Shining Generals?\The eight strongest from the Diamond Kingdom.\What?!\They're similar to the Magic Knights Captains of the Clover Kingdom.\That's super bad news! response:	Clover Kingdom
context: and Yagos.\Three of the Eight Shining Generals.\What are the Eight Shining Generals?\The eight strongest from the Diamond Kingdom.\What?!\They're similar to the Magic Knights Captains of the Clover Kingdom.\That's super bad news!\Clover Kingdom response:	Kiten
context: Three of the Eight Shining Generals.\What are the Eight Shining Generals?\The eight strongest from the Diamond Kingdom.\What?!\They're similar to the Magic Knights Captains of the Clover Kingdom.\That's super bad news!\Clover Kingdom\Kiten response:	Diamond Kingdom
context: What are the Eight Shining Generals?\The eight strongest from the Diamond Kingdom.\What?!\They're similar to the Magic Knights Captains of the Clover Kingdom.\That's super bad news!\Clover Kingdom\Kiten\Diamond Kingdom response:	This isn't good. Kiten is the cornerstone of our border defense.
context: The eight strongest from the Diamond Kingdom.\What?!\They're similar to the Magic Knights Captains of the Clover Kingdom.\That's super bad news!\Clover Kingdom\Kiten\Diamond Kingdom\This isn't good. Kiten is the cornerstone of our border defense. response:	It'll be easier for the Diamond Kingdom to invade if they take it.
context: What?!\They're similar to the Magic Knights Captains of the Clover Kingdom.\That's super bad news!\Clover Kingdom\Kiten\Diamond Kingdom\This isn't good. Kiten is the cornerstone of our border defense.\It'll be easier for the Diamond Kingdom to invade if they take it. response:	The time has come.
context: They're similar to the Magic Knights Captains of the Clover Kingdom.\That's super bad news!\Clover Kingdom\Kiten\Diamond Kingdom\This isn't good. Kiten is the cornerstone of our border defense.\It'll be easier for the Diamond Kingdom to invade if they take it.\The time has come. response:	The Diamond Kingdom's Eight Shining Generals Lagus
context: That's super bad news!\Clover Kingdom\Kiten\Diamond Kingdom\This isn't good. Kiten is the cornerstone of our border defense.\It'll be easier for the Diamond Kingdom to invade if they take it.\The time has come.\The Diamond Kingdom's Eight Shining Generals Lagus response:	The history of the Diamond Kingdom will finally move forward.
context: Clover Kingdom\Kiten\Diamond Kingdom\This isn't good. Kiten is the cornerstone of our border defense.\It'll be easier for the Diamond Kingdom to invade if they take it.\The time has come.\The Diamond Kingdom's Eight Shining Generals Lagus\The history of the Diamond Kingdom will finally move forward. response:	The Diamond Kingdom's Eight Shining Generals Yagos
context: Kiten\Diamond Kingdom\This isn't good. Kiten is the cornerstone of our border defense.\It'll be easier for the Diamond Kingdom to invade if they take it.\The time has come.\The Diamond Kingdom's Eight Shining Generals Lagus\The history of the Diamond Kingdom will finally move forward.\The Diamond Kingdom's Eight Shining Generals Yagos response:	It's been so long since my last battle! I can barely contain myself!
context: Diamond Kingdom\This isn't good. Kiten is the cornerstone of our border defense.\It'll be easier for the Diamond Kingdom to invade if they take it.\The time has come.\The Diamond Kingdom's Eight Shining Generals Lagus\The history of the Diamond Kingdom will finally move forward.\The Diamond Kingdom's Eight Shining Generals Yagos\It's been so long since my last battle! I can barely contain myself! response:	The Diamond Kingdom's Eight Shining Generals Brocks
context: This isn't good. Kiten is the cornerstone of our border defense.\It'll be easier for the Diamond Kingdom to invade if they take it.\The time has come.\The Diamond Kingdom's Eight Shining Generals Lagus\The history of the Diamond Kingdom will finally move forward.\The Diamond Kingdom's Eight Shining Generals Yagos\It's been so long since my last battle! I can barely contain myself!\The Diamond Kingdom's Eight Shining Generals Brocks response:	Those Clover Kingdom weaklings! I'll crush them all!
context: It'll be easier for the Diamond Kingdom to invade if they take it.\The time has come.\The Diamond Kingdom's Eight Shining Generals Lagus\The history of the Diamond Kingdom will finally move forward.\The Diamond Kingdom's Eight Shining Generals Yagos\It's been so long since my last battle! I can barely contain myself!\The Diamond Kingdom's Eight Shining Generals Brocks\Those Clover Kingdom weaklings! I'll crush them all! response:	It appears that our intel about their border defense being weakened due to
context: The time has come.\The Diamond Kingdom's Eight Shining Generals Lagus\The history of the Diamond Kingdom will finally move forward.\The Diamond Kingdom's Eight Shining Generals Yagos\It's been so long since my last battle! I can barely contain myself!\The Diamond Kingdom's Eight Shining Generals Brocks\Those Clover Kingdom weaklings! I'll crush them all!\It appears that our intel about their border defense being weakened due to response:	their struggles with a terrorist group
context: The Diamond Kingdom's Eight Shining Generals Lagus\The history of the Diamond Kingdom will finally move forward.\The Diamond Kingdom's Eight Shining Generals Yagos\It's been so long since my last battle! I can barely contain myself!\The Diamond Kingdom's Eight Shining Generals Brocks\Those Clover Kingdom weaklings! I'll crush them all!\It appears that our intel about their border defense being weakened due to\their struggles with a terrorist group response:	called the Eye of the Midnight Sun was correct.
context: The history of the Diamond Kingdom will finally move forward.\The Diamond Kingdom's Eight Shining Generals Yagos\It's been so long since my last battle! I can barely contain myself!\The Diamond Kingdom's Eight Shining Generals Brocks\Those Clover Kingdom weaklings! I'll crush them all!\It appears that our intel about their border defense being weakened due to\their struggles with a terrorist group\called the Eye of the Midnight Sun was correct. response:	If we can conquer Kiten, it'll immediately give our forces the advantage!
