context: My, my. She's much stronger than I had anticipated. response:	Honestly, I'm glad we're in the middle of the Calm.
context: But why did Akihito transform into a demon?\When he was unconscious, Ayaka-san told me\that his human half had grown terribly weak.\Even though his demon half has been weakened by the Calm,\his human half might be even weaker right now!\It seems that his demon half has taken control as a result.\Right.\That would explain why Akihito-kun's demon form was weaker than it had been in the past. response:	That's why he fled.
context: When he was unconscious, Ayaka-san told me\that his human half had grown terribly weak.\Even though his demon half has been weakened by the Calm,\his human half might be even weaker right now!\It seems that his demon half has taken control as a result.\Right.\That would explain why Akihito-kun's demon form was weaker than it had been in the past.\That's why he fled. response:	Oh, I'm sorry!
context: that his human half had grown terribly weak.\Even though his demon half has been weakened by the Calm,\his human half might be even weaker right now!\It seems that his demon half has taken control as a result.\Right.\That would explain why Akihito-kun's demon form was weaker than it had been in the past.\That's why he fled.\Oh, I'm sorry! response:	Number 135?
context: Even though his demon half has been weakened by the Calm,\his human half might be even weaker right now!\It seems that his demon half has taken control as a result.\Right.\That would explain why Akihito-kun's demon form was weaker than it had been in the past.\That's why he fled.\Oh, I'm sorry!\Number 135? response:	Overall Grade: 83.
context: his human half might be even weaker right now!\It seems that his demon half has taken control as a result.\Right.\That would explain why Akihito-kun's demon form was weaker than it had been in the past.\That's why he fled.\Oh, I'm sorry!\Number 135?\Overall Grade: 83. response:	Comments: While this photo contains the special mystique that only bespectacled beauties have,
context: It seems that his demon half has taken control as a result.\Right.\That would explain why Akihito-kun's demon form was weaker than it had been in the past.\That's why he fled.\Oh, I'm sorry!\Number 135?\Overall Grade: 83.\Comments: While this photo contains the special mystique that only bespectacled beauties have, response:	her expression seems too forced.
context: Right.\That would explain why Akihito-kun's demon form was weaker than it had been in the past.\That's why he fled.\Oh, I'm sorry!\Number 135?\Overall Grade: 83.\Comments: While this photo contains the special mystique that only bespectacled beauties have,\her expression seems too forced. response:	It simply does not feel natural.
context: That would explain why Akihito-kun's demon form was weaker than it had been in the past.\That's why he fled.\Oh, I'm sorry!\Number 135?\Overall Grade: 83.\Comments: While this photo contains the special mystique that only bespectacled beauties have,\her expression seems too forced.\It simply does not feel natural. response:	How unpleasant.
context: That's why he fled.\Oh, I'm sorry!\Number 135?\Overall Grade: 83.\Comments: While this photo contains the special mystique that only bespectacled beauties have,\her expression seems too forced.\It simply does not feel natural.\How unpleasant. response:	Check out those boxes over there.
context: Oh, I'm sorry!\Number 135?\Overall Grade: 83.\Comments: While this photo contains the special mystique that only bespectacled beauties have,\her expression seems too forced.\It simply does not feel natural.\How unpleasant.\Check out those boxes over there. response:	What a sicko!
context: Number 135?\Overall Grade: 83.\Comments: While this photo contains the special mystique that only bespectacled beauties have,\her expression seems too forced.\It simply does not feel natural.\How unpleasant.\Check out those boxes over there.\What a sicko! response:	It's a shame that the half-demon, one of the rarest kinds of demons, is like this.
context: Overall Grade: 83.\Comments: While this photo contains the special mystique that only bespectacled beauties have,\her expression seems too forced.\It simply does not feel natural.\How unpleasant.\Check out those boxes over there.\What a sicko!\It's a shame that the half-demon, one of the rarest kinds of demons, is like this. response:	I don't think it's fair to criticize him after you've gone through his stuff without his permission.
context: Comments: While this photo contains the special mystique that only bespectacled beauties have,\her expression seems too forced.\It simply does not feel natural.\How unpleasant.\Check out those boxes over there.\What a sicko!\It's a shame that the half-demon, one of the rarest kinds of demons, is like this.\I don't think it's fair to criticize him after you've gone through his stuff without his permission. response:	But this is just too much!
context: her expression seems too forced.\It simply does not feel natural.\How unpleasant.\Check out those boxes over there.\What a sicko!\It's a shame that the half-demon, one of the rarest kinds of demons, is like this.\I don't think it's fair to criticize him after you've gone through his stuff without his permission.\But this is just too much! response:	Kuriyama-san
context: It simply does not feel natural.\How unpleasant.\Check out those boxes over there.\What a sicko!\It's a shame that the half-demon, one of the rarest kinds of demons, is like this.\I don't think it's fair to criticize him after you've gone through his stuff without his permission.\But this is just too much!\Kuriyama-san response:	Kuriyama-san
context: How unpleasant.\Check out those boxes over there.\What a sicko!\It's a shame that the half-demon, one of the rarest kinds of demons, is like this.\I don't think it's fair to criticize him after you've gone through his stuff without his permission.\But this is just too much!\Kuriyama-san\Kuriyama-san response:	Kuriyama-san
context: Check out those boxes over there.\What a sicko!\It's a shame that the half-demon, one of the rarest kinds of demons, is like this.\I don't think it's fair to criticize him after you've gone through his stuff without his permission.\But this is just too much!\Kuriyama-san\Kuriyama-san\Kuriyama-san response:	Kuriyama-san
context: What a sicko!\It's a shame that the half-demon, one of the rarest kinds of demons, is like this.\I don't think it's fair to criticize him after you've gone through his stuff without his permission.\But this is just too much!\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san response:	Kuriyama-san
context: It's a shame that the half-demon, one of the rarest kinds of demons, is like this.\I don't think it's fair to criticize him after you've gone through his stuff without his permission.\But this is just too much!\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san response:	Kuriyama-san
context: I don't think it's fair to criticize him after you've gone through his stuff without his permission.\But this is just too much!\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san response:	Kuriyama-san
context: But this is just too much!\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san response:	who loves glasses
context: Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\who loves glasses response:	For Kuriyama-sans hhhhhhhhhhhhhhhbirthday
context: Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\who loves glasses\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday response:	For Kuriyama-sans hhhhhhhhhhhhhhhbirthday
context: Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\who loves glasses\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday response:	For Kuriyama-sans hhhhhhhhhhhhhhhbirthday
context: Kuriyama-san\Kuriyama-san\Kuriyama-san\Kuriyama-san\who loves glasses\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday response:	For Kuriyama-sans hhhhhhhhhhhhhhhbirthday
context: Kuriyama-san\Kuriyama-san\Kuriyama-san\who loves glasses\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday response:	For Kuriyama-sans hhhhhhhhhhhhhhhbirthday
context: Kuriyama-san\Kuriyama-san\who loves glasses\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday response:	For Kuriyama-sans hhhhhhhhhhhhhhhbirthday
context: Kuriyama-san\who loves glasses\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday response:	For Kuriyama-sans hhhhhhhhhhhhhhhbirthday
context: who loves glasses\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday response:	F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday
context: For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday response:	How unpleasant!
context: For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday\How unpleasant! response:	I'll go ahead and set it up so I'll know if anyone comes in.
context: For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday\How unpleasant!\I'll go ahead and set it up so I'll know if anyone comes in. response:	What was that?!
context: For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday\How unpleasant!\I'll go ahead and set it up so I'll know if anyone comes in.\What was that?! response:	Another demon?
context: For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday\How unpleasant!\I'll go ahead and set it up so I'll know if anyone comes in.\What was that?!\Another demon? response:	All three of you, be prepared to fight at a moment's notice.
context: For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday\How unpleasant!\I'll go ahead and set it up so I'll know if anyone comes in.\What was that?!\Another demon?\All three of you, be prepared to fight at a moment's notice. response:	He could be nearby.
context: For Kuriyama-sans hhhhhhhhhhhhhhhbirthday\F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday\How unpleasant!\I'll go ahead and set it up so I'll know if anyone comes in.\What was that?!\Another demon?\All three of you, be prepared to fight at a moment's notice.\He could be nearby. response:	Right.
context: F or K uriya ma-sa n s hhhhhhhhhhhhhhhbirthday\How unpleasant!\I'll go ahead and set it up so I'll know if anyone comes in.\What was that?!\Another demon?\All three of you, be prepared to fight at a moment's notice.\He could be nearby.\Right. response:	Mitsuki, fall back.
context: How unpleasant!\I'll go ahead and set it up so I'll know if anyone comes in.\What was that?!\Another demon?\All three of you, be prepared to fight at a moment's notice.\He could be nearby.\Right.\Mitsuki, fall back. response:	You got it!
context: I'll go ahead and set it up so I'll know if anyone comes in.\What was that?!\Another demon?\All three of you, be prepared to fight at a moment's notice.\He could be nearby.\Right.\Mitsuki, fall back.\You got it! response:	Did you really expect me to respond like that?
context: What was that?!\Another demon?\All three of you, be prepared to fight at a moment's notice.\He could be nearby.\Right.\Mitsuki, fall back.\You got it!\Did you really expect me to respond like that? response:	This is serious!
context: Another demon?\All three of you, be prepared to fight at a moment's notice.\He could be nearby.\Right.\Mitsuki, fall back.\You got it!\Did you really expect me to respond like that?\This is serious! response:	I'll run if I feel like my life is in any danger.
context: All three of you, be prepared to fight at a moment's notice.\He could be nearby.\Right.\Mitsuki, fall back.\You got it!\Did you really expect me to respond like that?\This is serious!\I'll run if I feel like my life is in any danger. response:	More importantly...
context: He could be nearby.\Right.\Mitsuki, fall back.\You got it!\Did you really expect me to respond like that?\This is serious!\I'll run if I feel like my life is in any danger.\More importantly... response:	What are you going to do if you wind up having to fight him?
context: Right.\Mitsuki, fall back.\You got it!\Did you really expect me to respond like that?\This is serious!\I'll run if I feel like my life is in any danger.\More importantly...\What are you going to do if you wind up having to fight him? response:	This isn't anything all that new.
context: Mitsuki, fall back.\You got it!\Did you really expect me to respond like that?\This is serious!\I'll run if I feel like my life is in any danger.\More importantly...\What are you going to do if you wind up having to fight him?\This isn't anything all that new. response:	I imagine Akkey is also prepared for what's to come.
context: You got it!\Did you really expect me to respond like that?\This is serious!\I'll run if I feel like my life is in any danger.\More importantly...\What are you going to do if you wind up having to fight him?\This isn't anything all that new.\I imagine Akkey is also prepared for what's to come. response:	But remember what Akihito's mother said?
context: Did you really expect me to respond like that?\This is serious!\I'll run if I feel like my life is in any danger.\More importantly...\What are you going to do if you wind up having to fight him?\This isn't anything all that new.\I imagine Akkey is also prepared for what's to come.\But remember what Akihito's mother said? response:	She warned him to be careful during the Calm.
context: This is serious!\I'll run if I feel like my life is in any danger.\More importantly...\What are you going to do if you wind up having to fight him?\This isn't anything all that new.\I imagine Akkey is also prepared for what's to come.\But remember what Akihito's mother said?\She warned him to be careful during the Calm. response:	If you fight Akihito like before and injure him like you have in the past, he will...
context: I'll run if I feel like my life is in any danger.\More importantly...\What are you going to do if you wind up having to fight him?\This isn't anything all that new.\I imagine Akkey is also prepared for what's to come.\But remember what Akihito's mother said?\She warned him to be careful during the Calm.\If you fight Akihito like before and injure him like you have in the past, he will... response:	What the heck is that?
context: More importantly...\What are you going to do if you wind up having to fight him?\This isn't anything all that new.\I imagine Akkey is also prepared for what's to come.\But remember what Akihito's mother said?\She warned him to be careful during the Calm.\If you fight Akihito like before and injure him like you have in the past, he will...\What the heck is that? response:	Did Akkey do this?
context: What are you going to do if you wind up having to fight him?\This isn't anything all that new.\I imagine Akkey is also prepared for what's to come.\But remember what Akihito's mother said?\She warned him to be careful during the Calm.\If you fight Akihito like before and injure him like you have in the past, he will...\What the heck is that?\Did Akkey do this? response:	Probably.
context: This isn't anything all that new.\I imagine Akkey is also prepared for what's to come.\But remember what Akihito's mother said?\She warned him to be careful during the Calm.\If you fight Akihito like before and injure him like you have in the past, he will...\What the heck is that?\Did Akkey do this?\Probably. response:	Is he still in the area?
context: I imagine Akkey is also prepared for what's to come.\But remember what Akihito's mother said?\She warned him to be careful during the Calm.\If you fight Akihito like before and injure him like you have in the past, he will...\What the heck is that?\Did Akkey do this?\Probably.\Is he still in the area? response:	I'm not certain. Hiromi, create a Cage.
context: But remember what Akihito's mother said?\She warned him to be careful during the Calm.\If you fight Akihito like before and injure him like you have in the past, he will...\What the heck is that?\Did Akkey do this?\Probably.\Is he still in the area?\I'm not certain. Hiromi, create a Cage. response:	On it.
context: She warned him to be careful during the Calm.\If you fight Akihito like before and injure him like you have in the past, he will...\What the heck is that?\Did Akkey do this?\Probably.\Is he still in the area?\I'm not certain. Hiromi, create a Cage.\On it. response:	Um... Shouldn't we be searching for Senpai?
context: If you fight Akihito like before and injure him like you have in the past, he will...\What the heck is that?\Did Akkey do this?\Probably.\Is he still in the area?\I'm not certain. Hiromi, create a Cage.\On it.\Um... Shouldn't we be searching for Senpai? response:	I suppose.
context: What the heck is that?\Did Akkey do this?\Probably.\Is he still in the area?\I'm not certain. Hiromi, create a Cage.\On it.\Um... Shouldn't we be searching for Senpai?\I suppose. response:	This is merely based on my personal deductions.
context: Did Akkey do this?\Probably.\Is he still in the area?\I'm not certain. Hiromi, create a Cage.\On it.\Um... Shouldn't we be searching for Senpai?\I suppose.\This is merely based on my personal deductions. response:	You do not have to listen to me, and I cannot make you do this.
context: Probably.\Is he still in the area?\I'm not certain. Hiromi, create a Cage.\On it.\Um... Shouldn't we be searching for Senpai?\I suppose.\This is merely based on my personal deductions.\You do not have to listen to me, and I cannot make you do this. response:	Regardless, I'm going to say this because I believe it is for the best.
context: Is he still in the area?\I'm not certain. Hiromi, create a Cage.\On it.\Um... Shouldn't we be searching for Senpai?\I suppose.\This is merely based on my personal deductions.\You do not have to listen to me, and I cannot make you do this.\Regardless, I'm going to say this because I believe it is for the best. response:	Kuriyama-san, the moment you find Akihito-kun,
context: I'm not certain. Hiromi, create a Cage.\On it.\Um... Shouldn't we be searching for Senpai?\I suppose.\This is merely based on my personal deductions.\You do not have to listen to me, and I cannot make you do this.\Regardless, I'm going to say this because I believe it is for the best.\Kuriyama-san, the moment you find Akihito-kun, response:	kill him.
context: On it.\Um... Shouldn't we be searching for Senpai?\I suppose.\This is merely based on my personal deductions.\You do not have to listen to me, and I cannot make you do this.\Regardless, I'm going to say this because I believe it is for the best.\Kuriyama-san, the moment you find Akihito-kun,\kill him. response:	Mirai?
context: Um... Shouldn't we be searching for Senpai?\I suppose.\This is merely based on my personal deductions.\You do not have to listen to me, and I cannot make you do this.\Regardless, I'm going to say this because I believe it is for the best.\Kuriyama-san, the moment you find Akihito-kun,\kill him.\Mirai? response:	Y-Yes?
context: I suppose.\This is merely based on my personal deductions.\You do not have to listen to me, and I cannot make you do this.\Regardless, I'm going to say this because I believe it is for the best.\Kuriyama-san, the moment you find Akihito-kun,\kill him.\Mirai?\Y-Yes? response:	How long are you going to stay in the shower?
context: This is merely based on my personal deductions.\You do not have to listen to me, and I cannot make you do this.\Regardless, I'm going to say this because I believe it is for the best.\Kuriyama-san, the moment you find Akihito-kun,\kill him.\Mirai?\Y-Yes?\How long are you going to stay in the shower? response:	I'm sorry.
context: You do not have to listen to me, and I cannot make you do this.\Regardless, I'm going to say this because I believe it is for the best.\Kuriyama-san, the moment you find Akihito-kun,\kill him.\Mirai?\Y-Yes?\How long are you going to stay in the shower?\I'm sorry. response:	The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.
context: Regardless, I'm going to say this because I believe it is for the best.\Kuriyama-san, the moment you find Akihito-kun,\kill him.\Mirai?\Y-Yes?\How long are you going to stay in the shower?\I'm sorry.\The Calm has completely upset Akihito-kun's internal balance between his human and demon halves. response:	If he is still in his current state when the Calm ends,
context: Kuriyama-san, the moment you find Akihito-kun,\kill him.\Mirai?\Y-Yes?\How long are you going to stay in the shower?\I'm sorry.\The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.\If he is still in his current state when the Calm ends, response:	we can assume that Akihito-kun's demon half will suppress his human half,
context: kill him.\Mirai?\Y-Yes?\How long are you going to stay in the shower?\I'm sorry.\The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.\If he is still in his current state when the Calm ends,\we can assume that Akihito-kun's demon half will suppress his human half, response:	considering it has already taken control of his body.
context: Mirai?\Y-Yes?\How long are you going to stay in the shower?\I'm sorry.\The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.\If he is still in his current state when the Calm ends,\we can assume that Akihito-kun's demon half will suppress his human half,\considering it has already taken control of his body. response:	When that happens, he will simply be a powerful demon with the gift of immortality.
context: Y-Yes?\How long are you going to stay in the shower?\I'm sorry.\The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.\If he is still in his current state when the Calm ends,\we can assume that Akihito-kun's demon half will suppress his human half,\considering it has already taken control of his body.\When that happens, he will simply be a powerful demon with the gift of immortality. response:	Akihito-kun will lose his human half.
context: How long are you going to stay in the shower?\I'm sorry.\The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.\If he is still in his current state when the Calm ends,\we can assume that Akihito-kun's demon half will suppress his human half,\considering it has already taken control of his body.\When that happens, he will simply be a powerful demon with the gift of immortality.\Akihito-kun will lose his human half. response:	He will be despised as a demon forever.
context: I'm sorry.\The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.\If he is still in his current state when the Calm ends,\we can assume that Akihito-kun's demon half will suppress his human half,\considering it has already taken control of his body.\When that happens, he will simply be a powerful demon with the gift of immortality.\Akihito-kun will lose his human half.\He will be despised as a demon forever. response:	Even so...
context: The Calm has completely upset Akihito-kun's internal balance between his human and demon halves.\If he is still in his current state when the Calm ends,\we can assume that Akihito-kun's demon half will suppress his human half,\considering it has already taken control of his body.\When that happens, he will simply be a powerful demon with the gift of immortality.\Akihito-kun will lose his human half.\He will be despised as a demon forever.\Even so... response:	Of course, all of this is purely speculation.
context: If he is still in his current state when the Calm ends,\we can assume that Akihito-kun's demon half will suppress his human half,\considering it has already taken control of his body.\When that happens, he will simply be a powerful demon with the gift of immortality.\Akihito-kun will lose his human half.\He will be despised as a demon forever.\Even so...\Of course, all of this is purely speculation. response:	There is no guarantee that this will come to pass.
context: we can assume that Akihito-kun's demon half will suppress his human half,\considering it has already taken control of his body.\When that happens, he will simply be a powerful demon with the gift of immortality.\Akihito-kun will lose his human half.\He will be despised as a demon forever.\Even so...\Of course, all of this is purely speculation.\There is no guarantee that this will come to pass. response:	But if what I just described does become reality,
context: considering it has already taken control of his body.\When that happens, he will simply be a powerful demon with the gift of immortality.\Akihito-kun will lose his human half.\He will be despised as a demon forever.\Even so...\Of course, all of this is purely speculation.\There is no guarantee that this will come to pass.\But if what I just described does become reality, response:	he will be unstoppable.
context: When that happens, he will simply be a powerful demon with the gift of immortality.\Akihito-kun will lose his human half.\He will be despised as a demon forever.\Even so...\Of course, all of this is purely speculation.\There is no guarantee that this will come to pass.\But if what I just described does become reality,\he will be unstoppable. response:	You must decide now how you're going to act.
context: Akihito-kun will lose his human half.\He will be despised as a demon forever.\Even so...\Of course, all of this is purely speculation.\There is no guarantee that this will come to pass.\But if what I just described does become reality,\he will be unstoppable.\You must decide now how you're going to act. response:	During the Calm, he will have lost his immortality.
context: He will be despised as a demon forever.\Even so...\Of course, all of this is purely speculation.\There is no guarantee that this will come to pass.\But if what I just described does become reality,\he will be unstoppable.\You must decide now how you're going to act.\During the Calm, he will have lost his immortality. response:	During the Calm, you can kill Akihito-kun.
context: Even so...\Of course, all of this is purely speculation.\There is no guarantee that this will come to pass.\But if what I just described does become reality,\he will be unstoppable.\You must decide now how you're going to act.\During the Calm, he will have lost his immortality.\During the Calm, you can kill Akihito-kun. response:	This... can't be real.
context: Of course, all of this is purely speculation.\There is no guarantee that this will come to pass.\But if what I just described does become reality,\he will be unstoppable.\You must decide now how you're going to act.\During the Calm, he will have lost his immortality.\During the Calm, you can kill Akihito-kun.\This... can't be real. response:	You're raising the gas bill.
context: There is no guarantee that this will come to pass.\But if what I just described does become reality,\he will be unstoppable.\You must decide now how you're going to act.\During the Calm, he will have lost his immortality.\During the Calm, you can kill Akihito-kun.\This... can't be real.\You're raising the gas bill. response:	What's wrong with you?!
context: But if what I just described does become reality,\he will be unstoppable.\You must decide now how you're going to act.\During the Calm, he will have lost his immortality.\During the Calm, you can kill Akihito-kun.\This... can't be real.\You're raising the gas bill.\What's wrong with you?! response:	I finally got you to talk.
context: he will be unstoppable.\You must decide now how you're going to act.\During the Calm, he will have lost his immortality.\During the Calm, you can kill Akihito-kun.\This... can't be real.\You're raising the gas bill.\What's wrong with you?!\I finally got you to talk. response:	Are you hungry?
context: You must decide now how you're going to act.\During the Calm, he will have lost his immortality.\During the Calm, you can kill Akihito-kun.\This... can't be real.\You're raising the gas bill.\What's wrong with you?!\I finally got you to talk.\Are you hungry? response:	No.
context: During the Calm, he will have lost his immortality.\During the Calm, you can kill Akihito-kun.\This... can't be real.\You're raising the gas bill.\What's wrong with you?!\I finally got you to talk.\Are you hungry?\No. response:	So something did happen.
context: During the Calm, you can kill Akihito-kun.\This... can't be real.\You're raising the gas bill.\What's wrong with you?!\I finally got you to talk.\Are you hungry?\No.\So something did happen. response:	What makes you say that?
context: This... can't be real.\You're raising the gas bill.\What's wrong with you?!\I finally got you to talk.\Are you hungry?\No.\So something did happen.\What makes you say that? response:	Why?
context: You're raising the gas bill.\What's wrong with you?!\I finally got you to talk.\Are you hungry?\No.\So something did happen.\What makes you say that?\Why? response:	Why is it so weird for me to not be hungry?
context: What's wrong with you?!\I finally got you to talk.\Are you hungry?\No.\So something did happen.\What makes you say that?\Why?\Why is it so weird for me to not be hungry? response:	Don't cry.
context: I finally got you to talk.\Are you hungry?\No.\So something did happen.\What makes you say that?\Why?\Why is it so weird for me to not be hungry?\Don't cry. response:	Put a shirt on! Disgusting...
context: Are you hungry?\No.\So something did happen.\What makes you say that?\Why?\Why is it so weird for me to not be hungry?\Don't cry.\Put a shirt on! Disgusting... response:	The right to barge in and issue demands is reserved for my little sister.
context: No.\So something did happen.\What makes you say that?\Why?\Why is it so weird for me to not be hungry?\Don't cry.\Put a shirt on! Disgusting...\The right to barge in and issue demands is reserved for my little sister. response:	Big Bro, what do you think?
context: So something did happen.\What makes you say that?\Why?\Why is it so weird for me to not be hungry?\Don't cry.\Put a shirt on! Disgusting...\The right to barge in and issue demands is reserved for my little sister.\Big Bro, what do you think? response:	About?
context: What makes you say that?\Why?\Why is it so weird for me to not be hungry?\Don't cry.\Put a shirt on! Disgusting...\The right to barge in and issue demands is reserved for my little sister.\Big Bro, what do you think?\About? response:	What Izumi-neesama told us.
context: Why?\Why is it so weird for me to not be hungry?\Don't cry.\Put a shirt on! Disgusting...\The right to barge in and issue demands is reserved for my little sister.\Big Bro, what do you think?\About?\What Izumi-neesama told us. response:	There's nothing to think about.
context: Why is it so weird for me to not be hungry?\Don't cry.\Put a shirt on! Disgusting...\The right to barge in and issue demands is reserved for my little sister.\Big Bro, what do you think?\About?\What Izumi-neesama told us.\There's nothing to think about. response:	But she told Kuriyama-san to kill Akihito!
context: Don't cry.\Put a shirt on! Disgusting...\The right to barge in and issue demands is reserved for my little sister.\Big Bro, what do you think?\About?\What Izumi-neesama told us.\There's nothing to think about.\But she told Kuriyama-san to kill Akihito! response:	That's just so...
context: Put a shirt on! Disgusting...\The right to barge in and issue demands is reserved for my little sister.\Big Bro, what do you think?\About?\What Izumi-neesama told us.\There's nothing to think about.\But she told Kuriyama-san to kill Akihito!\That's just so... response:	It's certainly understandable, considering the situation.
context: The right to barge in and issue demands is reserved for my little sister.\Big Bro, what do you think?\About?\What Izumi-neesama told us.\There's nothing to think about.\But she told Kuriyama-san to kill Akihito!\That's just so...\It's certainly understandable, considering the situation. response:	Then you should kill him for her!
context: Big Bro, what do you think?\About?\What Izumi-neesama told us.\There's nothing to think about.\But she told Kuriyama-san to kill Akihito!\That's just so...\It's certainly understandable, considering the situation.\Then you should kill him for her! response:	I would if I could!
context: About?\What Izumi-neesama told us.\There's nothing to think about.\But she told Kuriyama-san to kill Akihito!\That's just so...\It's certainly understandable, considering the situation.\Then you should kill him for her!\I would if I could! response:	But even in the middle of the Calm,
context: What Izumi-neesama told us.\There's nothing to think about.\But she told Kuriyama-san to kill Akihito!\That's just so...\It's certainly understandable, considering the situation.\Then you should kill him for her!\I would if I could!\But even in the middle of the Calm, response:	if you wanted to make sure Akkey was killed,
context: There's nothing to think about.\But she told Kuriyama-san to kill Akihito!\That's just so...\It's certainly understandable, considering the situation.\Then you should kill him for her!\I would if I could!\But even in the middle of the Calm,\if you wanted to make sure Akkey was killed, response:	Kuriyama Mirai is your best bet.
context: But she told Kuriyama-san to kill Akihito!\That's just so...\It's certainly understandable, considering the situation.\Then you should kill him for her!\I would if I could!\But even in the middle of the Calm,\if you wanted to make sure Akkey was killed,\Kuriyama Mirai is your best bet. response:	Big Bro...
context: That's just so...\It's certainly understandable, considering the situation.\Then you should kill him for her!\I would if I could!\But even in the middle of the Calm,\if you wanted to make sure Akkey was killed,\Kuriyama Mirai is your best bet.\Big Bro... response:	More importantly...
