context: Uprisings are breaking out all over Sistina. response:	What good will it do for the people to make a commotion?
context: I see.\I believe the man in the center is Dorni Rossini.\Looks like it.\After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.\As long as the Rossini family rules, we'll be plundered, and killed for no good reason.\There's no other domain but Sistina being governed this way.\But we all rose up!\We'll overcome fear with courage, and find hope in the depths of despair. response:	Now, let's win this battle, and bring an end to the Rossini family's tyranny!
context: I believe the man in the center is Dorni Rossini.\Looks like it.\After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.\As long as the Rossini family rules, we'll be plundered, and killed for no good reason.\There's no other domain but Sistina being governed this way.\But we all rose up!\We'll overcome fear with courage, and find hope in the depths of despair.\Now, let's win this battle, and bring an end to the Rossini family's tyranny! response:	For the sake of those we love, and for those we must protect!
context: Looks like it.\After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.\As long as the Rossini family rules, we'll be plundered, and killed for no good reason.\There's no other domain but Sistina being governed this way.\But we all rose up!\We'll overcome fear with courage, and find hope in the depths of despair.\Now, let's win this battle, and bring an end to the Rossini family's tyranny!\For the sake of those we love, and for those we must protect! response:	Forward!
context: After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.\As long as the Rossini family rules, we'll be plundered, and killed for no good reason.\There's no other domain but Sistina being governed this way.\But we all rose up!\We'll overcome fear with courage, and find hope in the depths of despair.\Now, let's win this battle, and bring an end to the Rossini family's tyranny!\For the sake of those we love, and for those we must protect!\Forward! response:	How impudent.
context: As long as the Rossini family rules, we'll be plundered, and killed for no good reason.\There's no other domain but Sistina being governed this way.\But we all rose up!\We'll overcome fear with courage, and find hope in the depths of despair.\Now, let's win this battle, and bring an end to the Rossini family's tyranny!\For the sake of those we love, and for those we must protect!\Forward!\How impudent. response:	No matter how sizable your forces may be, they're still just a ragtag crew!
context: There's no other domain but Sistina being governed this way.\But we all rose up!\We'll overcome fear with courage, and find hope in the depths of despair.\Now, let's win this battle, and bring an end to the Rossini family's tyranny!\For the sake of those we love, and for those we must protect!\Forward!\How impudent.\No matter how sizable your forces may be, they're still just a ragtag crew! response:	We'll annihilate you!
context: But we all rose up!\We'll overcome fear with courage, and find hope in the depths of despair.\Now, let's win this battle, and bring an end to the Rossini family's tyranny!\For the sake of those we love, and for those we must protect!\Forward!\How impudent.\No matter how sizable your forces may be, they're still just a ragtag crew!\We'll annihilate you! response:	Rossini soldiers, now's the time to pledge fealty with your blood!
context: We'll overcome fear with courage, and find hope in the depths of despair.\Now, let's win this battle, and bring an end to the Rossini family's tyranny!\For the sake of those we love, and for those we must protect!\Forward!\How impudent.\No matter how sizable your forces may be, they're still just a ragtag crew!\We'll annihilate you!\Rossini soldiers, now's the time to pledge fealty with your blood! response:	I will eliminate everyone who might get in my master's way.
context: Now, let's win this battle, and bring an end to the Rossini family's tyranny!\For the sake of those we love, and for those we must protect!\Forward!\How impudent.\No matter how sizable your forces may be, they're still just a ragtag crew!\We'll annihilate you!\Rossini soldiers, now's the time to pledge fealty with your blood!\I will eliminate everyone who might get in my master's way. response:	I will kill you, and then I will also kill Theo Cornaro and your master.
context: For the sake of those we love, and for those we must protect!\Forward!\How impudent.\No matter how sizable your forces may be, they're still just a ragtag crew!\We'll annihilate you!\Rossini soldiers, now's the time to pledge fealty with your blood!\I will eliminate everyone who might get in my master's way.\I will kill you, and then I will also kill Theo Cornaro and your master. response:	I won't let you.
context: Forward!\How impudent.\No matter how sizable your forces may be, they're still just a ragtag crew!\We'll annihilate you!\Rossini soldiers, now's the time to pledge fealty with your blood!\I will eliminate everyone who might get in my master's way.\I will kill you, and then I will also kill Theo Cornaro and your master.\I won't let you. response:	Poison?
context: How impudent.\No matter how sizable your forces may be, they're still just a ragtag crew!\We'll annihilate you!\Rossini soldiers, now's the time to pledge fealty with your blood!\I will eliminate everyone who might get in my master's way.\I will kill you, and then I will also kill Theo Cornaro and your master.\I won't let you.\Poison? response:	Yes, a Black Witch special.
context: No matter how sizable your forces may be, they're still just a ragtag crew!\We'll annihilate you!\Rossini soldiers, now's the time to pledge fealty with your blood!\I will eliminate everyone who might get in my master's way.\I will kill you, and then I will also kill Theo Cornaro and your master.\I won't let you.\Poison?\Yes, a Black Witch special. response:	I knew you were those two pups from that time.
context: We'll annihilate you!\Rossini soldiers, now's the time to pledge fealty with your blood!\I will eliminate everyone who might get in my master's way.\I will kill you, and then I will also kill Theo Cornaro and your master.\I won't let you.\Poison?\Yes, a Black Witch special.\I knew you were those two pups from that time. response:	A demon's barrier can't just be easily broken, you know.
context: Rossini soldiers, now's the time to pledge fealty with your blood!\I will eliminate everyone who might get in my master's way.\I will kill you, and then I will also kill Theo Cornaro and your master.\I won't let you.\Poison?\Yes, a Black Witch special.\I knew you were those two pups from that time.\A demon's barrier can't just be easily broken, you know. response:	Now then, let the festivities begin!
context: I will eliminate everyone who might get in my master's way.\I will kill you, and then I will also kill Theo Cornaro and your master.\I won't let you.\Poison?\Yes, a Black Witch special.\I knew you were those two pups from that time.\A demon's barrier can't just be easily broken, you know.\Now then, let the festivities begin! response:	What's wrong? Will you only defend?
context: I will kill you, and then I will also kill Theo Cornaro and your master.\I won't let you.\Poison?\Yes, a Black Witch special.\I knew you were those two pups from that time.\A demon's barrier can't just be easily broken, you know.\Now then, let the festivities begin!\What's wrong? Will you only defend? response:	Whoever is the last man standing wins.
context: I won't let you.\Poison?\Yes, a Black Witch special.\I knew you were those two pups from that time.\A demon's barrier can't just be easily broken, you know.\Now then, let the festivities begin!\What's wrong? Will you only defend?\Whoever is the last man standing wins. response:	You were coating your weapon with my poison while deflecting my blade?
context: Poison?\Yes, a Black Witch special.\I knew you were those two pups from that time.\A demon's barrier can't just be easily broken, you know.\Now then, let the festivities begin!\What's wrong? Will you only defend?\Whoever is the last man standing wins.\You were coating your weapon with my poison while deflecting my blade? response:	Chamberlains must accomplish multiple tasks simultaneously.
context: Yes, a Black Witch special.\I knew you were those two pups from that time.\A demon's barrier can't just be easily broken, you know.\Now then, let the festivities begin!\What's wrong? Will you only defend?\Whoever is the last man standing wins.\You were coating your weapon with my poison while deflecting my blade?\Chamberlains must accomplish multiple tasks simultaneously. response:	And we also must think several steps ahead.
context: I knew you were those two pups from that time.\A demon's barrier can't just be easily broken, you know.\Now then, let the festivities begin!\What's wrong? Will you only defend?\Whoever is the last man standing wins.\You were coating your weapon with my poison while deflecting my blade?\Chamberlains must accomplish multiple tasks simultaneously.\And we also must think several steps ahead. response:	The Flames of Darkness are quite effective, yes?
context: A demon's barrier can't just be easily broken, you know.\Now then, let the festivities begin!\What's wrong? Will you only defend?\Whoever is the last man standing wins.\You were coating your weapon with my poison while deflecting my blade?\Chamberlains must accomplish multiple tasks simultaneously.\And we also must think several steps ahead.\The Flames of Darkness are quite effective, yes? response:	Only a matter of time before you can't move anymore.
context: Now then, let the festivities begin!\What's wrong? Will you only defend?\Whoever is the last man standing wins.\You were coating your weapon with my poison while deflecting my blade?\Chamberlains must accomplish multiple tasks simultaneously.\And we also must think several steps ahead.\The Flames of Darkness are quite effective, yes?\Only a matter of time before you can't move anymore. response:	And while you're immobile, that demon will have its way with you!
context: What's wrong? Will you only defend?\Whoever is the last man standing wins.\You were coating your weapon with my poison while deflecting my blade?\Chamberlains must accomplish multiple tasks simultaneously.\And we also must think several steps ahead.\The Flames of Darkness are quite effective, yes?\Only a matter of time before you can't move anymore.\And while you're immobile, that demon will have its way with you! response:	We'll rip you to shreds before that happens!
context: Whoever is the last man standing wins.\You were coating your weapon with my poison while deflecting my blade?\Chamberlains must accomplish multiple tasks simultaneously.\And we also must think several steps ahead.\The Flames of Darkness are quite effective, yes?\Only a matter of time before you can't move anymore.\And while you're immobile, that demon will have its way with you!\We'll rip you to shreds before that happens! response:	We'll avenge Mother no matter what!
context: You were coating your weapon with my poison while deflecting my blade?\Chamberlains must accomplish multiple tasks simultaneously.\And we also must think several steps ahead.\The Flames of Darkness are quite effective, yes?\Only a matter of time before you can't move anymore.\And while you're immobile, that demon will have its way with you!\We'll rip you to shreds before that happens!\We'll avenge Mother no matter what! response:	I'd like to see you try.
context: Chamberlains must accomplish multiple tasks simultaneously.\And we also must think several steps ahead.\The Flames of Darkness are quite effective, yes?\Only a matter of time before you can't move anymore.\And while you're immobile, that demon will have its way with you!\We'll rip you to shreds before that happens!\We'll avenge Mother no matter what!\I'd like to see you try. response:	What should we do, Emma?
context: And we also must think several steps ahead.\The Flames of Darkness are quite effective, yes?\Only a matter of time before you can't move anymore.\And while you're immobile, that demon will have its way with you!\We'll rip you to shreds before that happens!\We'll avenge Mother no matter what!\I'd like to see you try.\What should we do, Emma? response:	There's a wall surrounding the demon.
context: The Flames of Darkness are quite effective, yes?\Only a matter of time before you can't move anymore.\And while you're immobile, that demon will have its way with you!\We'll rip you to shreds before that happens!\We'll avenge Mother no matter what!\I'd like to see you try.\What should we do, Emma?\There's a wall surrounding the demon. response:	Let's try that move.
context: Only a matter of time before you can't move anymore.\And while you're immobile, that demon will have its way with you!\We'll rip you to shreds before that happens!\We'll avenge Mother no matter what!\I'd like to see you try.\What should we do, Emma?\There's a wall surrounding the demon.\Let's try that move. response:	Got it!
context: And while you're immobile, that demon will have its way with you!\We'll rip you to shreds before that happens!\We'll avenge Mother no matter what!\I'd like to see you try.\What should we do, Emma?\There's a wall surrounding the demon.\Let's try that move.\Got it! response:	What are you plotting?
context: We'll rip you to shreds before that happens!\We'll avenge Mother no matter what!\I'd like to see you try.\What should we do, Emma?\There's a wall surrounding the demon.\Let's try that move.\Got it!\What are you plotting? response:	Go!
context: We'll avenge Mother no matter what!\I'd like to see you try.\What should we do, Emma?\There's a wall surrounding the demon.\Let's try that move.\Got it!\What are you plotting?\Go! response:	I'm going!
context: I'd like to see you try.\What should we do, Emma?\There's a wall surrounding the demon.\Let's try that move.\Got it!\What are you plotting?\Go!\I'm going! response:	She got away.
context: What should we do, Emma?\There's a wall surrounding the demon.\Let's try that move.\Got it!\What are you plotting?\Go!\I'm going!\She got away. response:	We were so close, too!
context: There's a wall surrounding the demon.\Let's try that move.\Got it!\What are you plotting?\Go!\I'm going!\She got away.\We were so close, too! response:	Lightning!
context: Let's try that move.\Got it!\What are you plotting?\Go!\I'm going!\She got away.\We were so close, too!\Lightning! response:	Run!
context: Got it!\What are you plotting?\Go!\I'm going!\She got away.\We were so close, too!\Lightning!\Run! response:	Hey!
context: What are you plotting?\Go!\I'm going!\She got away.\We were so close, too!\Lightning!\Run!\Hey! response:	Where're you going!
context: Go!\I'm going!\She got away.\We were so close, too!\Lightning!\Run!\Hey!\Where're you going! response:	Why? Why won't you fight?
context: I'm going!\She got away.\We were so close, too!\Lightning!\Run!\Hey!\Where're you going!\Why? Why won't you fight? response:	Sir Dorni!
context: She got away.\We were so close, too!\Lightning!\Run!\Hey!\Where're you going!\Why? Why won't you fight?\Sir Dorni! response:	We will fight by your side until the end, Sir Dorni!
context: We were so close, too!\Lightning!\Run!\Hey!\Where're you going!\Why? Why won't you fight?\Sir Dorni!\We will fight by your side until the end, Sir Dorni! response:	Irvin!
context: Lightning!\Run!\Hey!\Where're you going!\Why? Why won't you fight?\Sir Dorni!\We will fight by your side until the end, Sir Dorni!\Irvin! response:	Irvin! Wake up!
context: Run!\Hey!\Where're you going!\Why? Why won't you fight?\Sir Dorni!\We will fight by your side until the end, Sir Dorni!\Irvin!\Irvin! Wake up! response:	It's poison!
context: Hey!\Where're you going!\Why? Why won't you fight?\Sir Dorni!\We will fight by your side until the end, Sir Dorni!\Irvin!\Irvin! Wake up!\It's poison! response:	Don't die!
context: Where're you going!\Why? Why won't you fight?\Sir Dorni!\We will fight by your side until the end, Sir Dorni!\Irvin!\Irvin! Wake up!\It's poison!\Don't die! response:	Irvin!
context: Why? Why won't you fight?\Sir Dorni!\We will fight by your side until the end, Sir Dorni!\Irvin!\Irvin! Wake up!\It's poison!\Don't die!\Irvin! response:	Priscilla.
context: Sir Dorni!\We will fight by your side until the end, Sir Dorni!\Irvin!\Irvin! Wake up!\It's poison!\Don't die!\Irvin!\Priscilla. response:	He is not destined to die here.
context: We will fight by your side until the end, Sir Dorni!\Irvin!\Irvin! Wake up!\It's poison!\Don't die!\Irvin!\Priscilla.\He is not destined to die here. response:	Irvin!
context: Irvin!\Irvin! Wake up!\It's poison!\Don't die!\Irvin!\Priscilla.\He is not destined to die here.\Irvin! response:	Damn them. I'll tear them apart!
context: Irvin! Wake up!\It's poison!\Don't die!\Irvin!\Priscilla.\He is not destined to die here.\Irvin!\Damn them. I'll tear them apart! response:	I'll take at least one of them down with me, and tear them apart.
context: It's poison!\Don't die!\Irvin!\Priscilla.\He is not destined to die here.\Irvin!\Damn them. I'll tear them apart!\I'll take at least one of them down with me, and tear them apart. response:	Sir Dorni... I have fulfilled my loyalty oath.
context: Don't die!\Irvin!\Priscilla.\He is not destined to die here.\Irvin!\Damn them. I'll tear them apart!\I'll take at least one of them down with me, and tear them apart.\Sir Dorni... I have fulfilled my loyalty oath. response:	You bastard. So you were waiting for me to get fatigued?
context: Irvin!\Priscilla.\He is not destined to die here.\Irvin!\Damn them. I'll tear them apart!\I'll take at least one of them down with me, and tear them apart.\Sir Dorni... I have fulfilled my loyalty oath.\You bastard. So you were waiting for me to get fatigued? response:	This is the only way that I know how to fight.
context: Priscilla.\He is not destined to die here.\Irvin!\Damn them. I'll tear them apart!\I'll take at least one of them down with me, and tear them apart.\Sir Dorni... I have fulfilled my loyalty oath.\You bastard. So you were waiting for me to get fatigued?\This is the only way that I know how to fight. response:	So damned insolent!
context: He is not destined to die here.\Irvin!\Damn them. I'll tear them apart!\I'll take at least one of them down with me, and tear them apart.\Sir Dorni... I have fulfilled my loyalty oath.\You bastard. So you were waiting for me to get fatigued?\This is the only way that I know how to fight.\So damned insolent! response:	Sir Theo.
context: Irvin!\Damn them. I'll tear them apart!\I'll take at least one of them down with me, and tear them apart.\Sir Dorni... I have fulfilled my loyalty oath.\You bastard. So you were waiting for me to get fatigued?\This is the only way that I know how to fight.\So damned insolent!\Sir Theo. response:	I want you to bury this man in the same way as the other casualties.
context: Damn them. I'll tear them apart!\I'll take at least one of them down with me, and tear them apart.\Sir Dorni... I have fulfilled my loyalty oath.\You bastard. So you were waiting for me to get fatigued?\This is the only way that I know how to fight.\So damned insolent!\Sir Theo.\I want you to bury this man in the same way as the other casualties. response:	And I also want you to call on the Rossini forces to surrender.
context: I'll take at least one of them down with me, and tear them apart.\Sir Dorni... I have fulfilled my loyalty oath.\You bastard. So you were waiting for me to get fatigued?\This is the only way that I know how to fight.\So damned insolent!\Sir Theo.\I want you to bury this man in the same way as the other casualties.\And I also want you to call on the Rossini forces to surrender. response:	Comet, O Comet...
context: Sir Dorni... I have fulfilled my loyalty oath.\You bastard. So you were waiting for me to get fatigued?\This is the only way that I know how to fight.\So damned insolent!\Sir Theo.\I want you to bury this man in the same way as the other casualties.\And I also want you to call on the Rossini forces to surrender.\Comet, O Comet... response:	Will you grant me my wish?
context: You bastard. So you were waiting for me to get fatigued?\This is the only way that I know how to fight.\So damned insolent!\Sir Theo.\I want you to bury this man in the same way as the other casualties.\And I also want you to call on the Rossini forces to surrender.\Comet, O Comet...\Will you grant me my wish? response:	No, no, that star is a bad omen.
context: This is the only way that I know how to fight.\So damned insolent!\Sir Theo.\I want you to bury this man in the same way as the other casualties.\And I also want you to call on the Rossini forces to surrender.\Comet, O Comet...\Will you grant me my wish?\No, no, that star is a bad omen. response:	It will bring death and disaster!
context: So damned insolent!\Sir Theo.\I want you to bury this man in the same way as the other casualties.\And I also want you to call on the Rossini forces to surrender.\Comet, O Comet...\Will you grant me my wish?\No, no, that star is a bad omen.\It will bring death and disaster! response:	That light...
context: Sir Theo.\I want you to bury this man in the same way as the other casualties.\And I also want you to call on the Rossini forces to surrender.\Comet, O Comet...\Will you grant me my wish?\No, no, that star is a bad omen.\It will bring death and disaster!\That light... response:	Die! Theo Cornaro!
context: I want you to bury this man in the same way as the other casualties.\And I also want you to call on the Rossini forces to surrender.\Comet, O Comet...\Will you grant me my wish?\No, no, that star is a bad omen.\It will bring death and disaster!\That light...\Die! Theo Cornaro! response:	Wail with grief, Witch of Eramu!
context: And I also want you to call on the Rossini forces to surrender.\Comet, O Comet...\Will you grant me my wish?\No, no, that star is a bad omen.\It will bring death and disaster!\That light...\Die! Theo Cornaro!\Wail with grief, Witch of Eramu! response:	Shooting Star, Shooting Star...
context: Comet, O Comet...\Will you grant me my wish?\No, no, that star is a bad omen.\It will bring death and disaster!\That light...\Die! Theo Cornaro!\Wail with grief, Witch of Eramu!\Shooting Star, Shooting Star... response:	My wish will surely be granted!
context: Will you grant me my wish?\No, no, that star is a bad omen.\It will bring death and disaster!\That light...\Die! Theo Cornaro!\Wail with grief, Witch of Eramu!\Shooting Star, Shooting Star...\My wish will surely be granted! response:	Aishela! Take her into custody!
context: No, no, that star is a bad omen.\It will bring death and disaster!\That light...\Die! Theo Cornaro!\Wail with grief, Witch of Eramu!\Shooting Star, Shooting Star...\My wish will surely be granted!\Aishela! Take her into custody! response:	Leave it to me!
context: It will bring death and disaster!\That light...\Die! Theo Cornaro!\Wail with grief, Witch of Eramu!\Shooting Star, Shooting Star...\My wish will surely be granted!\Aishela! Take her into custody!\Leave it to me! response:	After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.
context: That light...\Die! Theo Cornaro!\Wail with grief, Witch of Eramu!\Shooting Star, Shooting Star...\My wish will surely be granted!\Aishela! Take her into custody!\Leave it to me!\After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble. response:	Theo Cornaro's forces will be here soon.
context: Die! Theo Cornaro!\Wail with grief, Witch of Eramu!\Shooting Star, Shooting Star...\My wish will surely be granted!\Aishela! Take her into custody!\Leave it to me!\After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.\Theo Cornaro's forces will be here soon. response:	And then we'll have to surrender.
context: Wail with grief, Witch of Eramu!\Shooting Star, Shooting Star...\My wish will surely be granted!\Aishela! Take her into custody!\Leave it to me!\After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.\Theo Cornaro's forces will be here soon.\And then we'll have to surrender. response:	It's inevitable.
context: Shooting Star, Shooting Star...\My wish will surely be granted!\Aishela! Take her into custody!\Leave it to me!\After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.\Theo Cornaro's forces will be here soon.\And then we'll have to surrender.\It's inevitable. response:	As Lord of Sistina, I'm prepared to fulfill my final task.
context: My wish will surely be granted!\Aishela! Take her into custody!\Leave it to me!\After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.\Theo Cornaro's forces will be here soon.\And then we'll have to surrender.\It's inevitable.\As Lord of Sistina, I'm prepared to fulfill my final task. response:	But...
context: Aishela! Take her into custody!\Leave it to me!\After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.\Theo Cornaro's forces will be here soon.\And then we'll have to surrender.\It's inevitable.\As Lord of Sistina, I'm prepared to fulfill my final task.\But... response:	You have to escape this island!
context: Leave it to me!\After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.\Theo Cornaro's forces will be here soon.\And then we'll have to surrender.\It's inevitable.\As Lord of Sistina, I'm prepared to fulfill my final task.\But...\You have to escape this island! response:	You cannot die!
context: After lasting for generations, the Rossini family's rule ended in a flash once it began to crumble.\Theo Cornaro's forces will be here soon.\And then we'll have to surrender.\It's inevitable.\As Lord of Sistina, I'm prepared to fulfill my final task.\But...\You have to escape this island!\You cannot die! response:	I don't care where. I'm begging you to flee!
context: Theo Cornaro's forces will be here soon.\And then we'll have to surrender.\It's inevitable.\As Lord of Sistina, I'm prepared to fulfill my final task.\But...\You have to escape this island!\You cannot die!\I don't care where. I'm begging you to flee! response:	If I were to lose you, too, I'd...
context: And then we'll have to surrender.\It's inevitable.\As Lord of Sistina, I'm prepared to fulfill my final task.\But...\You have to escape this island!\You cannot die!\I don't care where. I'm begging you to flee!\If I were to lose you, too, I'd... response:	I'll ask Theo Cornaro if he'll negotiate.
context: It's inevitable.\As Lord of Sistina, I'm prepared to fulfill my final task.\But...\You have to escape this island!\You cannot die!\I don't care where. I'm begging you to flee!\If I were to lose you, too, I'd...\I'll ask Theo Cornaro if he'll negotiate. response:	I'll try to convince him that I'd be beneficial to his people.
context: As Lord of Sistina, I'm prepared to fulfill my final task.\But...\You have to escape this island!\You cannot die!\I don't care where. I'm begging you to flee!\If I were to lose you, too, I'd...\I'll ask Theo Cornaro if he'll negotiate.\I'll try to convince him that I'd be beneficial to his people. response:	Let's take a chance on him.
context: But...\You have to escape this island!\You cannot die!\I don't care where. I'm begging you to flee!\If I were to lose you, too, I'd...\I'll ask Theo Cornaro if he'll negotiate.\I'll try to convince him that I'd be beneficial to his people.\Let's take a chance on him. response:	Clear the way!
context: You have to escape this island!\You cannot die!\I don't care where. I'm begging you to flee!\If I were to lose you, too, I'd...\I'll ask Theo Cornaro if he'll negotiate.\I'll try to convince him that I'd be beneficial to his people.\Let's take a chance on him.\Clear the way! response:	- Get the Rossini family out! - Here comes the hero, Theo Cornaro!
context: You cannot die!\I don't care where. I'm begging you to flee!\If I were to lose you, too, I'd...\I'll ask Theo Cornaro if he'll negotiate.\I'll try to convince him that I'd be beneficial to his people.\Let's take a chance on him.\Clear the way!\- Get the Rossini family out! - Here comes the hero, Theo Cornaro! response:	Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.
context: I don't care where. I'm begging you to flee!\If I were to lose you, too, I'd...\I'll ask Theo Cornaro if he'll negotiate.\I'll try to convince him that I'd be beneficial to his people.\Let's take a chance on him.\Clear the way!\- Get the Rossini family out! - Here comes the hero, Theo Cornaro!\Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you. response:	Where's Sir Phederico?
context: If I were to lose you, too, I'd...\I'll ask Theo Cornaro if he'll negotiate.\I'll try to convince him that I'd be beneficial to his people.\Let's take a chance on him.\Clear the way!\- Get the Rossini family out! - Here comes the hero, Theo Cornaro!\Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.\Where's Sir Phederico? response:	My father just ceded his court rank to me. As so, I have full discretion over these negotiations.
context: I'll ask Theo Cornaro if he'll negotiate.\I'll try to convince him that I'd be beneficial to his people.\Let's take a chance on him.\Clear the way!\- Get the Rossini family out! - Here comes the hero, Theo Cornaro!\Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.\Where's Sir Phederico?\My father just ceded his court rank to me. As so, I have full discretion over these negotiations. response:	Negotiations? What exactly do you think you're going to negotiate?
context: I'll try to convince him that I'd be beneficial to his people.\Let's take a chance on him.\Clear the way!\- Get the Rossini family out! - Here comes the hero, Theo Cornaro!\Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.\Where's Sir Phederico?\My father just ceded his court rank to me. As so, I have full discretion over these negotiations.\Negotiations? What exactly do you think you're going to negotiate? response:	To ensure no more needless bloodshed.
context: Let's take a chance on him.\Clear the way!\- Get the Rossini family out! - Here comes the hero, Theo Cornaro!\Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.\Where's Sir Phederico?\My father just ceded his court rank to me. As so, I have full discretion over these negotiations.\Negotiations? What exactly do you think you're going to negotiate?\To ensure no more needless bloodshed. response:	If that's what this is about, then I'll listen.
context: Clear the way!\- Get the Rossini family out! - Here comes the hero, Theo Cornaro!\Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.\Where's Sir Phederico?\My father just ceded his court rank to me. As so, I have full discretion over these negotiations.\Negotiations? What exactly do you think you're going to negotiate?\To ensure no more needless bloodshed.\If that's what this is about, then I'll listen. response:	We ask for your assurance for those who serve the Rossinis
context: - Get the Rossini family out! - Here comes the hero, Theo Cornaro!\Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.\Where's Sir Phederico?\My father just ceded his court rank to me. As so, I have full discretion over these negotiations.\Negotiations? What exactly do you think you're going to negotiate?\To ensure no more needless bloodshed.\If that's what this is about, then I'll listen.\We ask for your assurance for those who serve the Rossinis response:	will not lose their fortunes, nor their lives.
context: Sir Theo Cornaro, my name is Juzel Rossini. I'd like to speak with you.\Where's Sir Phederico?\My father just ceded his court rank to me. As so, I have full discretion over these negotiations.\Negotiations? What exactly do you think you're going to negotiate?\To ensure no more needless bloodshed.\If that's what this is about, then I'll listen.\We ask for your assurance for those who serve the Rossinis\will not lose their fortunes, nor their lives. response:	What are your demands?
context: Where's Sir Phederico?\My father just ceded his court rank to me. As so, I have full discretion over these negotiations.\Negotiations? What exactly do you think you're going to negotiate?\To ensure no more needless bloodshed.\If that's what this is about, then I'll listen.\We ask for your assurance for those who serve the Rossinis\will not lose their fortunes, nor their lives.\What are your demands? response:	The entire fortunes of those who serve the Rossinis.
context: My father just ceded his court rank to me. As so, I have full discretion over these negotiations.\Negotiations? What exactly do you think you're going to negotiate?\To ensure no more needless bloodshed.\If that's what this is about, then I'll listen.\We ask for your assurance for those who serve the Rossinis\will not lose their fortunes, nor their lives.\What are your demands?\The entire fortunes of those who serve the Rossinis. response:	Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.
context: Negotiations? What exactly do you think you're going to negotiate?\To ensure no more needless bloodshed.\If that's what this is about, then I'll listen.\We ask for your assurance for those who serve the Rossinis\will not lose their fortunes, nor their lives.\What are your demands?\The entire fortunes of those who serve the Rossinis.\Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico. response:	I want you to know that my demands are the words of the people in this uprising.
context: To ensure no more needless bloodshed.\If that's what this is about, then I'll listen.\We ask for your assurance for those who serve the Rossinis\will not lose their fortunes, nor their lives.\What are your demands?\The entire fortunes of those who serve the Rossinis.\Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.\I want you to know that my demands are the words of the people in this uprising. response:	I'll be sure to take note of that.
context: If that's what this is about, then I'll listen.\We ask for your assurance for those who serve the Rossinis\will not lose their fortunes, nor their lives.\What are your demands?\The entire fortunes of those who serve the Rossinis.\Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.\I want you to know that my demands are the words of the people in this uprising.\I'll be sure to take note of that. response:	I have no problem relinquishing my life, and my father's, to you.
context: We ask for your assurance for those who serve the Rossinis\will not lose their fortunes, nor their lives.\What are your demands?\The entire fortunes of those who serve the Rossinis.\Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.\I want you to know that my demands are the words of the people in this uprising.\I'll be sure to take note of that.\I have no problem relinquishing my life, and my father's, to you. response:	But if you were to execute us, and take over as ruler,
context: will not lose their fortunes, nor their lives.\What are your demands?\The entire fortunes of those who serve the Rossinis.\Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.\I want you to know that my demands are the words of the people in this uprising.\I'll be sure to take note of that.\I have no problem relinquishing my life, and my father's, to you.\But if you were to execute us, and take over as ruler, response:	I doubt that those who pledged loyalty to the Rossinis will remain silent.
context: What are your demands?\The entire fortunes of those who serve the Rossinis.\Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.\I want you to know that my demands are the words of the people in this uprising.\I'll be sure to take note of that.\I have no problem relinquishing my life, and my father's, to you.\But if you were to execute us, and take over as ruler,\I doubt that those who pledged loyalty to the Rossinis will remain silent. response:	And so I have a proposal.
context: The entire fortunes of those who serve the Rossinis.\Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.\I want you to know that my demands are the words of the people in this uprising.\I'll be sure to take note of that.\I have no problem relinquishing my life, and my father's, to you.\But if you were to execute us, and take over as ruler,\I doubt that those who pledged loyalty to the Rossinis will remain silent.\And so I have a proposal. response:	Will you allow me to pledge allegiance to you?
