context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed. response:	However, a number of rebels have escaped.
context: This was the final piece to complete the connection between the north and south.\Intense.\What the hell?\Is it a fire?\No!\Those are signs of an explosion!\Send a message to the brigadier general that our infiltration was successful.\Affirmative. response:	Why aren't we moving?
context: Intense.\What the hell?\Is it a fire?\No!\Those are signs of an explosion!\Send a message to the brigadier general that our infiltration was successful.\Affirmative.\Why aren't we moving? response:	Apparently, there was a fire nearby.
context: What the hell?\Is it a fire?\No!\Those are signs of an explosion!\Send a message to the brigadier general that our infiltration was successful.\Affirmative.\Why aren't we moving?\Apparently, there was a fire nearby. response:	Mr. Vandal, please let me down near that train!
context: Is it a fire?\No!\Those are signs of an explosion!\Send a message to the brigadier general that our infiltration was successful.\Affirmative.\Why aren't we moving?\Apparently, there was a fire nearby.\Mr. Vandal, please let me down near that train! response:	Don't be crazy!
context: No!\Those are signs of an explosion!\Send a message to the brigadier general that our infiltration was successful.\Affirmative.\Why aren't we moving?\Apparently, there was a fire nearby.\Mr. Vandal, please let me down near that train!\Don't be crazy! response:	My coworkers are on that train! Please!
context: Those are signs of an explosion!\Send a message to the brigadier general that our infiltration was successful.\Affirmative.\Why aren't we moving?\Apparently, there was a fire nearby.\Mr. Vandal, please let me down near that train!\Don't be crazy!\My coworkers are on that train! Please! response:	Fine! Hang on!
context: Send a message to the brigadier general that our infiltration was successful.\Affirmative.\Why aren't we moving?\Apparently, there was a fire nearby.\Mr. Vandal, please let me down near that train!\Don't be crazy!\My coworkers are on that train! Please!\Fine! Hang on! response:	They've confirmed at least seven fires since yesterday.
context: Affirmative.\Why aren't we moving?\Apparently, there was a fire nearby.\Mr. Vandal, please let me down near that train!\Don't be crazy!\My coworkers are on that train! Please!\Fine! Hang on!\They've confirmed at least seven fires since yesterday. response:	They are all near the railroad,
context: Why aren't we moving?\Apparently, there was a fire nearby.\Mr. Vandal, please let me down near that train!\Don't be crazy!\My coworkers are on that train! Please!\Fine! Hang on!\They've confirmed at least seven fires since yesterday.\They are all near the railroad, response:	and only getting closer.
context: Apparently, there was a fire nearby.\Mr. Vandal, please let me down near that train!\Don't be crazy!\My coworkers are on that train! Please!\Fine! Hang on!\They've confirmed at least seven fires since yesterday.\They are all near the railroad,\and only getting closer. response:	-Do you think it's the anti-peace faction? -Yes.
context: Mr. Vandal, please let me down near that train!\Don't be crazy!\My coworkers are on that train! Please!\Fine! Hang on!\They've confirmed at least seven fires since yesterday.\They are all near the railroad,\and only getting closer.\-Do you think it's the anti-peace faction? -Yes. response:	They will be targeting our train next.
context: Don't be crazy!\My coworkers are on that train! Please!\Fine! Hang on!\They've confirmed at least seven fires since yesterday.\They are all near the railroad,\and only getting closer.\-Do you think it's the anti-peace faction? -Yes.\They will be targeting our train next. response:	Send out an advanced recon unit to scout out the enemy along the tracks.
context: My coworkers are on that train! Please!\Fine! Hang on!\They've confirmed at least seven fires since yesterday.\They are all near the railroad,\and only getting closer.\-Do you think it's the anti-peace faction? -Yes.\They will be targeting our train next.\Send out an advanced recon unit to scout out the enemy along the tracks. response:	Understood. I will send them out right away.
context: Fine! Hang on!\They've confirmed at least seven fires since yesterday.\They are all near the railroad,\and only getting closer.\-Do you think it's the anti-peace faction? -Yes.\They will be targeting our train next.\Send out an advanced recon unit to scout out the enemy along the tracks.\Understood. I will send them out right away. response:	Violet! What are you doing here?
context: They've confirmed at least seven fires since yesterday.\They are all near the railroad,\and only getting closer.\-Do you think it's the anti-peace faction? -Yes.\They will be targeting our train next.\Send out an advanced recon unit to scout out the enemy along the tracks.\Understood. I will send them out right away.\Violet! What are you doing here? response:	Cattleya, where are you headed?
context: They are all near the railroad,\and only getting closer.\-Do you think it's the anti-peace faction? -Yes.\They will be targeting our train next.\Send out an advanced recon unit to scout out the enemy along the tracks.\Understood. I will send them out right away.\Violet! What are you doing here?\Cattleya, where are you headed? response:	What? We're going to the peace signing ceremony with Gardarik.
context: and only getting closer.\-Do you think it's the anti-peace faction? -Yes.\They will be targeting our train next.\Send out an advanced recon unit to scout out the enemy along the tracks.\Understood. I will send them out right away.\Violet! What are you doing here?\Cattleya, where are you headed?\What? We're going to the peace signing ceremony with Gardarik. response:	There were signs of explosions nearby. I will go with you!
context: -Do you think it's the anti-peace faction? -Yes.\They will be targeting our train next.\Send out an advanced recon unit to scout out the enemy along the tracks.\Understood. I will send them out right away.\Violet! What are you doing here?\Cattleya, where are you headed?\What? We're going to the peace signing ceremony with Gardarik.\There were signs of explosions nearby. I will go with you! response:	No. You have to get back to the office.
context: They will be targeting our train next.\Send out an advanced recon unit to scout out the enemy along the tracks.\Understood. I will send them out right away.\Violet! What are you doing here?\Cattleya, where are you headed?\What? We're going to the peace signing ceremony with Gardarik.\There were signs of explosions nearby. I will go with you!\No. You have to get back to the office. response:	-But-! -What the hell are you doing here?
context: Send out an advanced recon unit to scout out the enemy along the tracks.\Understood. I will send them out right away.\Violet! What are you doing here?\Cattleya, where are you headed?\What? We're going to the peace signing ceremony with Gardarik.\There were signs of explosions nearby. I will go with you!\No. You have to get back to the office.\-But-! -What the hell are you doing here? response:	I happened to see you on my way back from my mission in Ctrigall.
context: Understood. I will send them out right away.\Violet! What are you doing here?\Cattleya, where are you headed?\What? We're going to the peace signing ceremony with Gardarik.\There were signs of explosions nearby. I will go with you!\No. You have to get back to the office.\-But-! -What the hell are you doing here?\I happened to see you on my way back from my mission in Ctrigall. response:	Did you say Ctrigall?
context: Violet! What are you doing here?\Cattleya, where are you headed?\What? We're going to the peace signing ceremony with Gardarik.\There were signs of explosions nearby. I will go with you!\No. You have to get back to the office.\-But-! -What the hell are you doing here?\I happened to see you on my way back from my mission in Ctrigall.\Did you say Ctrigall? response:	During my mission, I saw remnants of the Gardarik Army.
context: Cattleya, where are you headed?\What? We're going to the peace signing ceremony with Gardarik.\There were signs of explosions nearby. I will go with you!\No. You have to get back to the office.\-But-! -What the hell are you doing here?\I happened to see you on my way back from my mission in Ctrigall.\Did you say Ctrigall?\During my mission, I saw remnants of the Gardarik Army. response:	Are you sure?
context: What? We're going to the peace signing ceremony with Gardarik.\There were signs of explosions nearby. I will go with you!\No. You have to get back to the office.\-But-! -What the hell are you doing here?\I happened to see you on my way back from my mission in Ctrigall.\Did you say Ctrigall?\During my mission, I saw remnants of the Gardarik Army.\Are you sure? response:	Yes.
context: There were signs of explosions nearby. I will go with you!\No. You have to get back to the office.\-But-! -What the hell are you doing here?\I happened to see you on my way back from my mission in Ctrigall.\Did you say Ctrigall?\During my mission, I saw remnants of the Gardarik Army.\Are you sure?\Yes. response:	-Tell me everything you know. -Violet!
context: No. You have to get back to the office.\-But-! -What the hell are you doing here?\I happened to see you on my way back from my mission in Ctrigall.\Did you say Ctrigall?\During my mission, I saw remnants of the Gardarik Army.\Are you sure?\Yes.\-Tell me everything you know. -Violet! response:	From the air, I visually confirmed traces of explosions and nine smoke pillars.
context: -But-! -What the hell are you doing here?\I happened to see you on my way back from my mission in Ctrigall.\Did you say Ctrigall?\During my mission, I saw remnants of the Gardarik Army.\Are you sure?\Yes.\-Tell me everything you know. -Violet!\From the air, I visually confirmed traces of explosions and nine smoke pillars. response:	As I thought, their plan is to delay our train and attack us directly.
context: I happened to see you on my way back from my mission in Ctrigall.\Did you say Ctrigall?\During my mission, I saw remnants of the Gardarik Army.\Are you sure?\Yes.\-Tell me everything you know. -Violet!\From the air, I visually confirmed traces of explosions and nine smoke pillars.\As I thought, their plan is to delay our train and attack us directly. response:	Once we confirm it is safe up ahead, we will depart as soon as possible.
context: Did you say Ctrigall?\During my mission, I saw remnants of the Gardarik Army.\Are you sure?\Yes.\-Tell me everything you know. -Violet!\From the air, I visually confirmed traces of explosions and nine smoke pillars.\As I thought, their plan is to delay our train and attack us directly.\Once we confirm it is safe up ahead, we will depart as soon as possible. response:	-You should get off this train, too. -I can help if there's danger ahead!
context: During my mission, I saw remnants of the Gardarik Army.\Are you sure?\Yes.\-Tell me everything you know. -Violet!\From the air, I visually confirmed traces of explosions and nine smoke pillars.\As I thought, their plan is to delay our train and attack us directly.\Once we confirm it is safe up ahead, we will depart as soon as possible.\-You should get off this train, too. -I can help if there's danger ahead! response:	Captain, please give me your orders!
context: Are you sure?\Yes.\-Tell me everything you know. -Violet!\From the air, I visually confirmed traces of explosions and nine smoke pillars.\As I thought, their plan is to delay our train and attack us directly.\Once we confirm it is safe up ahead, we will depart as soon as possible.\-You should get off this train, too. -I can help if there's danger ahead!\Captain, please give me your orders! response:	You're still a tool who can only follow orders, huh?
context: Yes.\-Tell me everything you know. -Violet!\From the air, I visually confirmed traces of explosions and nine smoke pillars.\As I thought, their plan is to delay our train and attack us directly.\Once we confirm it is safe up ahead, we will depart as soon as possible.\-You should get off this train, too. -I can help if there's danger ahead!\Captain, please give me your orders!\You're still a tool who can only follow orders, huh? response:	No. I'm not.
context: -Tell me everything you know. -Violet!\From the air, I visually confirmed traces of explosions and nine smoke pillars.\As I thought, their plan is to delay our train and attack us directly.\Once we confirm it is safe up ahead, we will depart as soon as possible.\-You should get off this train, too. -I can help if there's danger ahead!\Captain, please give me your orders!\You're still a tool who can only follow orders, huh?\No. I'm not. response:	Not anymore.
context: From the air, I visually confirmed traces of explosions and nine smoke pillars.\As I thought, their plan is to delay our train and attack us directly.\Once we confirm it is safe up ahead, we will depart as soon as possible.\-You should get off this train, too. -I can help if there's danger ahead!\Captain, please give me your orders!\You're still a tool who can only follow orders, huh?\No. I'm not.\Not anymore. response:	Get out of my sight!
context: As I thought, their plan is to delay our train and attack us directly.\Once we confirm it is safe up ahead, we will depart as soon as possible.\-You should get off this train, too. -I can help if there's danger ahead!\Captain, please give me your orders!\You're still a tool who can only follow orders, huh?\No. I'm not.\Not anymore.\Get out of my sight! response:	We have received a report from Navy Captain Bougainvillea.
context: Once we confirm it is safe up ahead, we will depart as soon as possible.\-You should get off this train, too. -I can help if there's danger ahead!\Captain, please give me your orders!\You're still a tool who can only follow orders, huh?\No. I'm not.\Not anymore.\Get out of my sight!\We have received a report from Navy Captain Bougainvillea. response:	There have been explosions around the railroad
context: -You should get off this train, too. -I can help if there's danger ahead!\Captain, please give me your orders!\You're still a tool who can only follow orders, huh?\No. I'm not.\Not anymore.\Get out of my sight!\We have received a report from Navy Captain Bougainvillea.\There have been explosions around the railroad response:	believed to be the work of the anti-peace faction.
context: Captain, please give me your orders!\You're still a tool who can only follow orders, huh?\No. I'm not.\Not anymore.\Get out of my sight!\We have received a report from Navy Captain Bougainvillea.\There have been explosions around the railroad\believed to be the work of the anti-peace faction. response:	They seem to be targeting the train carrying the special envoy.
context: You're still a tool who can only follow orders, huh?\No. I'm not.\Not anymore.\Get out of my sight!\We have received a report from Navy Captain Bougainvillea.\There have been explosions around the railroad\believed to be the work of the anti-peace faction.\They seem to be targeting the train carrying the special envoy. response:	Tell him he must protect the envoy at all costs.
context: No. I'm not.\Not anymore.\Get out of my sight!\We have received a report from Navy Captain Bougainvillea.\There have been explosions around the railroad\believed to be the work of the anti-peace faction.\They seem to be targeting the train carrying the special envoy.\Tell him he must protect the envoy at all costs. response:	Prepare all forces to deploy! And contact the surrounding nations.
context: Not anymore.\Get out of my sight!\We have received a report from Navy Captain Bougainvillea.\There have been explosions around the railroad\believed to be the work of the anti-peace faction.\They seem to be targeting the train carrying the special envoy.\Tell him he must protect the envoy at all costs.\Prepare all forces to deploy! And contact the surrounding nations. response:	We cannot allow this to turn into another war!
context: Get out of my sight!\We have received a report from Navy Captain Bougainvillea.\There have been explosions around the railroad\believed to be the work of the anti-peace faction.\They seem to be targeting the train carrying the special envoy.\Tell him he must protect the envoy at all costs.\Prepare all forces to deploy! And contact the surrounding nations.\We cannot allow this to turn into another war! response:	Brigadier General Merkulov! I have a message from the advanced forces.
context: We have received a report from Navy Captain Bougainvillea.\There have been explosions around the railroad\believed to be the work of the anti-peace faction.\They seem to be targeting the train carrying the special envoy.\Tell him he must protect the envoy at all costs.\Prepare all forces to deploy! And contact the surrounding nations.\We cannot allow this to turn into another war!\Brigadier General Merkulov! I have a message from the advanced forces. response:	A peace envoy is aboard a special train that left from Distery,
context: There have been explosions around the railroad\believed to be the work of the anti-peace faction.\They seem to be targeting the train carrying the special envoy.\Tell him he must protect the envoy at all costs.\Prepare all forces to deploy! And contact the surrounding nations.\We cannot allow this to turn into another war!\Brigadier General Merkulov! I have a message from the advanced forces.\A peace envoy is aboard a special train that left from Distery, response:	and Isidor succeeded in infiltrating it.
context: believed to be the work of the anti-peace faction.\They seem to be targeting the train carrying the special envoy.\Tell him he must protect the envoy at all costs.\Prepare all forces to deploy! And contact the surrounding nations.\We cannot allow this to turn into another war!\Brigadier General Merkulov! I have a message from the advanced forces.\A peace envoy is aboard a special train that left from Distery,\and Isidor succeeded in infiltrating it. response:	We will attack the train and set back these peace talks!
context: They seem to be targeting the train carrying the special envoy.\Tell him he must protect the envoy at all costs.\Prepare all forces to deploy! And contact the surrounding nations.\We cannot allow this to turn into another war!\Brigadier General Merkulov! I have a message from the advanced forces.\A peace envoy is aboard a special train that left from Distery,\and Isidor succeeded in infiltrating it.\We will attack the train and set back these peace talks! response:	There was an explosion at Distery Station after our departure. No casualties.
context: Tell him he must protect the envoy at all costs.\Prepare all forces to deploy! And contact the surrounding nations.\We cannot allow this to turn into another war!\Brigadier General Merkulov! I have a message from the advanced forces.\A peace envoy is aboard a special train that left from Distery,\and Isidor succeeded in infiltrating it.\We will attack the train and set back these peace talks!\There was an explosion at Distery Station after our departure. No casualties. response:	Just as I thought. We managed to make it out this time,
context: Prepare all forces to deploy! And contact the surrounding nations.\We cannot allow this to turn into another war!\Brigadier General Merkulov! I have a message from the advanced forces.\A peace envoy is aboard a special train that left from Distery,\and Isidor succeeded in infiltrating it.\We will attack the train and set back these peace talks!\There was an explosion at Distery Station after our departure. No casualties.\Just as I thought. We managed to make it out this time, response:	but keep a strict watch on our surroundings.
context: We cannot allow this to turn into another war!\Brigadier General Merkulov! I have a message from the advanced forces.\A peace envoy is aboard a special train that left from Distery,\and Isidor succeeded in infiltrating it.\We will attack the train and set back these peace talks!\There was an explosion at Distery Station after our departure. No casualties.\Just as I thought. We managed to make it out this time,\but keep a strict watch on our surroundings. response:	Do not let anyone close.
context: Brigadier General Merkulov! I have a message from the advanced forces.\A peace envoy is aboard a special train that left from Distery,\and Isidor succeeded in infiltrating it.\We will attack the train and set back these peace talks!\There was an explosion at Distery Station after our departure. No casualties.\Just as I thought. We managed to make it out this time,\but keep a strict watch on our surroundings.\Do not let anyone close. response:	Where do you think they will attack?
context: A peace envoy is aboard a special train that left from Distery,\and Isidor succeeded in infiltrating it.\We will attack the train and set back these peace talks!\There was an explosion at Distery Station after our departure. No casualties.\Just as I thought. We managed to make it out this time,\but keep a strict watch on our surroundings.\Do not let anyone close.\Where do you think they will attack? response:	Somewhere where we slow down.
context: and Isidor succeeded in infiltrating it.\We will attack the train and set back these peace talks!\There was an explosion at Distery Station after our departure. No casualties.\Just as I thought. We managed to make it out this time,\but keep a strict watch on our surroundings.\Do not let anyone close.\Where do you think they will attack?\Somewhere where we slow down. response:	And somewhere where it will be hard to restore if it is destroyed.
context: We will attack the train and set back these peace talks!\There was an explosion at Distery Station after our departure. No casualties.\Just as I thought. We managed to make it out this time,\but keep a strict watch on our surroundings.\Do not let anyone close.\Where do you think they will attack?\Somewhere where we slow down.\And somewhere where it will be hard to restore if it is destroyed. response:	The Grandezza Bridge!
context: There was an explosion at Distery Station after our departure. No casualties.\Just as I thought. We managed to make it out this time,\but keep a strict watch on our surroundings.\Do not let anyone close.\Where do you think they will attack?\Somewhere where we slow down.\And somewhere where it will be hard to restore if it is destroyed.\The Grandezza Bridge! response:	It took ten years to build that tunnel. The transcontinental railroad
context: Just as I thought. We managed to make it out this time,\but keep a strict watch on our surroundings.\Do not let anyone close.\Where do you think they will attack?\Somewhere where we slow down.\And somewhere where it will be hard to restore if it is destroyed.\The Grandezza Bridge!\It took ten years to build that tunnel. The transcontinental railroad response:	will be out of commission for some time if it is destroyed.
context: but keep a strict watch on our surroundings.\Do not let anyone close.\Where do you think they will attack?\Somewhere where we slow down.\And somewhere where it will be hard to restore if it is destroyed.\The Grandezza Bridge!\It took ten years to build that tunnel. The transcontinental railroad\will be out of commission for some time if it is destroyed. response:	Currently, there are only passengers
context: Do not let anyone close.\Where do you think they will attack?\Somewhere where we slow down.\And somewhere where it will be hard to restore if it is destroyed.\The Grandezza Bridge!\It took ten years to build that tunnel. The transcontinental railroad\will be out of commission for some time if it is destroyed.\Currently, there are only passengers response:	in the first and second compartments of the third train car.
context: Where do you think they will attack?\Somewhere where we slow down.\And somewhere where it will be hard to restore if it is destroyed.\The Grandezza Bridge!\It took ten years to build that tunnel. The transcontinental railroad\will be out of commission for some time if it is destroyed.\Currently, there are only passengers\in the first and second compartments of the third train car. response:	There is one young male in the first compartment,
context: Somewhere where we slow down.\And somewhere where it will be hard to restore if it is destroyed.\The Grandezza Bridge!\It took ten years to build that tunnel. The transcontinental railroad\will be out of commission for some time if it is destroyed.\Currently, there are only passengers\in the first and second compartments of the third train car.\There is one young male in the first compartment, response:	and one middle-aged man in the second.
context: And somewhere where it will be hard to restore if it is destroyed.\The Grandezza Bridge!\It took ten years to build that tunnel. The transcontinental railroad\will be out of commission for some time if it is destroyed.\Currently, there are only passengers\in the first and second compartments of the third train car.\There is one young male in the first compartment,\and one middle-aged man in the second. response:	We believe that he is the special envoy.
context: The Grandezza Bridge!\It took ten years to build that tunnel. The transcontinental railroad\will be out of commission for some time if it is destroyed.\Currently, there are only passengers\in the first and second compartments of the third train car.\There is one young male in the first compartment,\and one middle-aged man in the second.\We believe that he is the special envoy. response:	All of the soldiers are stationed from the fourth car and beyond.
context: It took ten years to build that tunnel. The transcontinental railroad\will be out of commission for some time if it is destroyed.\Currently, there are only passengers\in the first and second compartments of the third train car.\There is one young male in the first compartment,\and one middle-aged man in the second.\We believe that he is the special envoy.\All of the soldiers are stationed from the fourth car and beyond. response:	Okay. We will begin our operation now.
context: will be out of commission for some time if it is destroyed.\Currently, there are only passengers\in the first and second compartments of the third train car.\There is one young male in the first compartment,\and one middle-aged man in the second.\We believe that he is the special envoy.\All of the soldiers are stationed from the fourth car and beyond.\Okay. We will begin our operation now. response:	-Go! -Yes, sir!
context: Currently, there are only passengers\in the first and second compartments of the third train car.\There is one young male in the first compartment,\and one middle-aged man in the second.\We believe that he is the special envoy.\All of the soldiers are stationed from the fourth car and beyond.\Okay. We will begin our operation now.\-Go! -Yes, sir! response:	What are you doing here?
context: in the first and second compartments of the third train car.\There is one young male in the first compartment,\and one middle-aged man in the second.\We believe that he is the special envoy.\All of the soldiers are stationed from the fourth car and beyond.\Okay. We will begin our operation now.\-Go! -Yes, sir!\What are you doing here? response:	Enemy attack!
context: There is one young male in the first compartment,\and one middle-aged man in the second.\We believe that he is the special envoy.\All of the soldiers are stationed from the fourth car and beyond.\Okay. We will begin our operation now.\-Go! -Yes, sir!\What are you doing here?\Enemy attack! response:	They're at the back of the fourth car! Hurry!
context: and one middle-aged man in the second.\We believe that he is the special envoy.\All of the soldiers are stationed from the fourth car and beyond.\Okay. We will begin our operation now.\-Go! -Yes, sir!\What are you doing here?\Enemy attack!\They're at the back of the fourth car! Hurry! response:	Separate them! Stop wasting time!
context: We believe that he is the special envoy.\All of the soldiers are stationed from the fourth car and beyond.\Okay. We will begin our operation now.\-Go! -Yes, sir!\What are you doing here?\Enemy attack!\They're at the back of the fourth car! Hurry!\Separate them! Stop wasting time! response:	So, their plan was to separate our forces!
context: All of the soldiers are stationed from the fourth car and beyond.\Okay. We will begin our operation now.\-Go! -Yes, sir!\What are you doing here?\Enemy attack!\They're at the back of the fourth car! Hurry!\Separate them! Stop wasting time!\So, their plan was to separate our forces! response:	What was that jolt?
context: Okay. We will begin our operation now.\-Go! -Yes, sir!\What are you doing here?\Enemy attack!\They're at the back of the fourth car! Hurry!\Separate them! Stop wasting time!\So, their plan was to separate our forces!\What was that jolt? response:	-Violet? -I will bring the special envoy.
context: -Go! -Yes, sir!\What are you doing here?\Enemy attack!\They're at the back of the fourth car! Hurry!\Separate them! Stop wasting time!\So, their plan was to separate our forces!\What was that jolt?\-Violet? -I will bring the special envoy. response:	The two of you please remain here.
context: What are you doing here?\Enemy attack!\They're at the back of the fourth car! Hurry!\Separate them! Stop wasting time!\So, their plan was to separate our forces!\What was that jolt?\-Violet? -I will bring the special envoy.\The two of you please remain here. response:	There are a few of them towards the back. I also heard noises coming from the front.
context: Enemy attack!\They're at the back of the fourth car! Hurry!\Separate them! Stop wasting time!\So, their plan was to separate our forces!\What was that jolt?\-Violet? -I will bring the special envoy.\The two of you please remain here.\There are a few of them towards the back. I also heard noises coming from the front. response:	Our remaining forces are close to zero.
context: They're at the back of the fourth car! Hurry!\Separate them! Stop wasting time!\So, their plan was to separate our forces!\What was that jolt?\-Violet? -I will bring the special envoy.\The two of you please remain here.\There are a few of them towards the back. I also heard noises coming from the front.\Our remaining forces are close to zero. response:	I will go stop this train. You stay and protect the people inside.
context: Separate them! Stop wasting time!\So, their plan was to separate our forces!\What was that jolt?\-Violet? -I will bring the special envoy.\The two of you please remain here.\There are a few of them towards the back. I also heard noises coming from the front.\Our remaining forces are close to zero.\I will go stop this train. You stay and protect the people inside. response:	Understood.
context: So, their plan was to separate our forces!\What was that jolt?\-Violet? -I will bring the special envoy.\The two of you please remain here.\There are a few of them towards the back. I also heard noises coming from the front.\Our remaining forces are close to zero.\I will go stop this train. You stay and protect the people inside.\Understood. response:	Just as I thought. You only want orders.
context: What was that jolt?\-Violet? -I will bring the special envoy.\The two of you please remain here.\There are a few of them towards the back. I also heard noises coming from the front.\Our remaining forces are close to zero.\I will go stop this train. You stay and protect the people inside.\Understood.\Just as I thought. You only want orders. response:	No.
context: -Violet? -I will bring the special envoy.\The two of you please remain here.\There are a few of them towards the back. I also heard noises coming from the front.\Our remaining forces are close to zero.\I will go stop this train. You stay and protect the people inside.\Understood.\Just as I thought. You only want orders.\No. response:	You do.
context: The two of you please remain here.\There are a few of them towards the back. I also heard noises coming from the front.\Our remaining forces are close to zero.\I will go stop this train. You stay and protect the people inside.\Understood.\Just as I thought. You only want orders.\No.\You do. response:	You're just a tool.
context: There are a few of them towards the back. I also heard noises coming from the front.\Our remaining forces are close to zero.\I will go stop this train. You stay and protect the people inside.\Understood.\Just as I thought. You only want orders.\No.\You do.\You're just a tool. response:	If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?
context: Our remaining forces are close to zero.\I will go stop this train. You stay and protect the people inside.\Understood.\Just as I thought. You only want orders.\No.\You do.\You're just a tool.\If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right? response:	I will not kill anyone.
context: I will go stop this train. You stay and protect the people inside.\Understood.\Just as I thought. You only want orders.\No.\You do.\You're just a tool.\If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?\I will not kill anyone. response:	I do not need a weapon.
context: Understood.\Just as I thought. You only want orders.\No.\You do.\You're just a tool.\If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?\I will not kill anyone.\I do not need a weapon. response:	If you're not a tool, then what are you?
context: Just as I thought. You only want orders.\No.\You do.\You're just a tool.\If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?\I will not kill anyone.\I do not need a weapon.\If you're not a tool, then what are you? response:	You! The soldier maiden of Leidenschaftlich.
context: No.\You do.\You're just a tool.\If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?\I will not kill anyone.\I do not need a weapon.\If you're not a tool, then what are you?\You! The soldier maiden of Leidenschaftlich. response:	We meet again! What happened to that kid in Ctrigall after that?
context: You do.\You're just a tool.\If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?\I will not kill anyone.\I do not need a weapon.\If you're not a tool, then what are you?\You! The soldier maiden of Leidenschaftlich.\We meet again! What happened to that kid in Ctrigall after that? response:	Did he die a disgrace?
context: You're just a tool.\If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?\I will not kill anyone.\I do not need a weapon.\If you're not a tool, then what are you?\You! The soldier maiden of Leidenschaftlich.\We meet again! What happened to that kid in Ctrigall after that?\Did he die a disgrace? response:	There's no reason for you to get mad. No one would mourn his death.
context: If I ordered you to slaughter the enemy, you wouldn't hesitate to kill them, right?\I will not kill anyone.\I do not need a weapon.\If you're not a tool, then what are you?\You! The soldier maiden of Leidenschaftlich.\We meet again! What happened to that kid in Ctrigall after that?\Did he die a disgrace?\There's no reason for you to get mad. No one would mourn his death. response:	Thanks.
context: I will not kill anyone.\I do not need a weapon.\If you're not a tool, then what are you?\You! The soldier maiden of Leidenschaftlich.\We meet again! What happened to that kid in Ctrigall after that?\Did he die a disgrace?\There's no reason for you to get mad. No one would mourn his death.\Thanks. response:	A woman? Go.
context: I do not need a weapon.\If you're not a tool, then what are you?\You! The soldier maiden of Leidenschaftlich.\We meet again! What happened to that kid in Ctrigall after that?\Did he die a disgrace?\There's no reason for you to get mad. No one would mourn his death.\Thanks.\A woman? Go. response:	I remember now. I've seen that doll on the battlefield before.
context: If you're not a tool, then what are you?\You! The soldier maiden of Leidenschaftlich.\We meet again! What happened to that kid in Ctrigall after that?\Did he die a disgrace?\There's no reason for you to get mad. No one would mourn his death.\Thanks.\A woman? Go.\I remember now. I've seen that doll on the battlefield before. response:	The Battle Doll of Leidenschaftlich.
context: You! The soldier maiden of Leidenschaftlich.\We meet again! What happened to that kid in Ctrigall after that?\Did he die a disgrace?\There's no reason for you to get mad. No one would mourn his death.\Thanks.\A woman? Go.\I remember now. I've seen that doll on the battlefield before.\The Battle Doll of Leidenschaftlich. response:	Why are you doing this?
context: We meet again! What happened to that kid in Ctrigall after that?\Did he die a disgrace?\There's no reason for you to get mad. No one would mourn his death.\Thanks.\A woman? Go.\I remember now. I've seen that doll on the battlefield before.\The Battle Doll of Leidenschaftlich.\Why are you doing this? response:	In order to get back the people and things you've taken from us.
context: Did he die a disgrace?\There's no reason for you to get mad. No one would mourn his death.\Thanks.\A woman? Go.\I remember now. I've seen that doll on the battlefield before.\The Battle Doll of Leidenschaftlich.\Why are you doing this?\In order to get back the people and things you've taken from us. response:	Are you planning on starting another war?
context: There's no reason for you to get mad. No one would mourn his death.\Thanks.\A woman? Go.\I remember now. I've seen that doll on the battlefield before.\The Battle Doll of Leidenschaftlich.\Why are you doing this?\In order to get back the people and things you've taken from us.\Are you planning on starting another war? response:	Do you think the war is over?
context: Thanks.\A woman? Go.\I remember now. I've seen that doll on the battlefield before.\The Battle Doll of Leidenschaftlich.\Why are you doing this?\In order to get back the people and things you've taken from us.\Are you planning on starting another war?\Do you think the war is over? response:	It seems like you know what I'm talking about.
context: A woman? Go.\I remember now. I've seen that doll on the battlefield before.\The Battle Doll of Leidenschaftlich.\Why are you doing this?\In order to get back the people and things you've taken from us.\Are you planning on starting another war?\Do you think the war is over?\It seems like you know what I'm talking about. response:	You and I, we both have the memories of violence burned into us like scars,
context: I remember now. I've seen that doll on the battlefield before.\The Battle Doll of Leidenschaftlich.\Why are you doing this?\In order to get back the people and things you've taken from us.\Are you planning on starting another war?\Do you think the war is over?\It seems like you know what I'm talking about.\You and I, we both have the memories of violence burned into us like scars, response:	and it will never be over.
context: The Battle Doll of Leidenschaftlich.\Why are you doing this?\In order to get back the people and things you've taken from us.\Are you planning on starting another war?\Do you think the war is over?\It seems like you know what I'm talking about.\You and I, we both have the memories of violence burned into us like scars,\and it will never be over. response:	-But the war has ended in the real world. -It has not!
context: Why are you doing this?\In order to get back the people and things you've taken from us.\Are you planning on starting another war?\Do you think the war is over?\It seems like you know what I'm talking about.\You and I, we both have the memories of violence burned into us like scars,\and it will never be over.\-But the war has ended in the real world. -It has not! response:	We fought dreaming for the war to end,
