context: I can't believe you're a spy. response:	There was no other way to get across the Wall.
context: These people are-\Beatrice!\Excuse me!\What was THAT all about?\There was a mechanism in her throat.\Beatrice's father is known for being fanatical about machines.\Possessed by machines himself,\he eventually began to experiment on his own daughter. response:	It's the mechanical girl!
context: Beatrice!\Excuse me!\What was THAT all about?\There was a mechanism in her throat.\Beatrice's father is known for being fanatical about machines.\Possessed by machines himself,\he eventually began to experiment on his own daughter.\It's the mechanical girl! response:	Go on, say something!
context: Excuse me!\What was THAT all about?\There was a mechanism in her throat.\Beatrice's father is known for being fanatical about machines.\Possessed by machines himself,\he eventually began to experiment on his own daughter.\It's the mechanical girl!\Go on, say something! response:	Yuck, she smells like oil!
context: What was THAT all about?\There was a mechanism in her throat.\Beatrice's father is known for being fanatical about machines.\Possessed by machines himself,\he eventually began to experiment on his own daughter.\It's the mechanical girl!\Go on, say something!\Yuck, she smells like oil! response:	Your Highness!
context: There was a mechanism in her throat.\Beatrice's father is known for being fanatical about machines.\Possessed by machines himself,\he eventually began to experiment on his own daughter.\It's the mechanical girl!\Go on, say something!\Yuck, she smells like oil!\Your Highness! response:	Your Highness! Your Highness!
context: Beatrice's father is known for being fanatical about machines.\Possessed by machines himself,\he eventually began to experiment on his own daughter.\It's the mechanical girl!\Go on, say something!\Yuck, she smells like oil!\Your Highness!\Your Highness! Your Highness! response:	Your Highness!
context: Possessed by machines himself,\he eventually began to experiment on his own daughter.\It's the mechanical girl!\Go on, say something!\Yuck, she smells like oil!\Your Highness!\Your Highness! Your Highness!\Your Highness! response:	Come on, Beatrice.
context: he eventually began to experiment on his own daughter.\It's the mechanical girl!\Go on, say something!\Yuck, she smells like oil!\Your Highness!\Your Highness! Your Highness!\Your Highness!\Come on, Beatrice. response:	Let's you and I be friends.
context: It's the mechanical girl!\Go on, say something!\Yuck, she smells like oil!\Your Highness!\Your Highness! Your Highness!\Your Highness!\Come on, Beatrice.\Let's you and I be friends. response:	Your Highness, I don't think those people are just any spies.
context: Go on, say something!\Yuck, she smells like oil!\Your Highness!\Your Highness! Your Highness!\Your Highness!\Come on, Beatrice.\Let's you and I be friends.\Your Highness, I don't think those people are just any spies. response:	They mean to replace you.
context: Yuck, she smells like oil!\Your Highness!\Your Highness! Your Highness!\Your Highness!\Come on, Beatrice.\Let's you and I be friends.\Your Highness, I don't think those people are just any spies.\They mean to replace you. response:	I know. I know God won't do anything for us.
context: Your Highness!\Your Highness! Your Highness!\Your Highness!\Come on, Beatrice.\Let's you and I be friends.\Your Highness, I don't think those people are just any spies.\They mean to replace you.\I know. I know God won't do anything for us. response:	The police work for the Duke of Normandy,
context: Your Highness! Your Highness!\Your Highness!\Come on, Beatrice.\Let's you and I be friends.\Your Highness, I don't think those people are just any spies.\They mean to replace you.\I know. I know God won't do anything for us.\The police work for the Duke of Normandy, response:	and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.
context: Your Highness!\Come on, Beatrice.\Let's you and I be friends.\Your Highness, I don't think those people are just any spies.\They mean to replace you.\I know. I know God won't do anything for us.\The police work for the Duke of Normandy,\and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally. response:	I'm the only one...
context: Come on, Beatrice.\Let's you and I be friends.\Your Highness, I don't think those people are just any spies.\They mean to replace you.\I know. I know God won't do anything for us.\The police work for the Duke of Normandy,\and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.\I'm the only one... response:	I'm terribly sorry for dropping in unannounced.
context: Let's you and I be friends.\Your Highness, I don't think those people are just any spies.\They mean to replace you.\I know. I know God won't do anything for us.\The police work for the Duke of Normandy,\and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.\I'm the only one...\I'm terribly sorry for dropping in unannounced. response:	This is where we held the send-off for His Royal Highness Prince Abyssinian.
context: Your Highness, I don't think those people are just any spies.\They mean to replace you.\I know. I know God won't do anything for us.\The police work for the Duke of Normandy,\and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.\I'm the only one...\I'm terribly sorry for dropping in unannounced.\This is where we held the send-off for His Royal Highness Prince Abyssinian. response:	We are deeply honored to have you, Princess.
context: They mean to replace you.\I know. I know God won't do anything for us.\The police work for the Duke of Normandy,\and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.\I'm the only one...\I'm terribly sorry for dropping in unannounced.\This is where we held the send-off for His Royal Highness Prince Abyssinian.\We are deeply honored to have you, Princess. response:	This will certainly improve our sailors' morale.
context: I know. I know God won't do anything for us.\The police work for the Duke of Normandy,\and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.\I'm the only one...\I'm terribly sorry for dropping in unannounced.\This is where we held the send-off for His Royal Highness Prince Abyssinian.\We are deeply honored to have you, Princess.\This will certainly improve our sailors' morale. response:	Our ship will be preparing for departure soon.
context: The police work for the Duke of Normandy,\and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.\I'm the only one...\I'm terribly sorry for dropping in unannounced.\This is where we held the send-off for His Royal Highness Prince Abyssinian.\We are deeply honored to have you, Princess.\This will certainly improve our sailors' morale.\Our ship will be preparing for departure soon. response:	We don't have much to offer, but perhaps some Kalinga tea...
context: and the Duke of Anquitaine, Lord High Admiral... he can hardly be considered an ally.\I'm the only one...\I'm terribly sorry for dropping in unannounced.\This is where we held the send-off for His Royal Highness Prince Abyssinian.\We are deeply honored to have you, Princess.\This will certainly improve our sailors' morale.\Our ship will be preparing for departure soon.\We don't have much to offer, but perhaps some Kalinga tea... response:	My, that sounds lovely.
context: I'm the only one...\I'm terribly sorry for dropping in unannounced.\This is where we held the send-off for His Royal Highness Prince Abyssinian.\We are deeply honored to have you, Princess.\This will certainly improve our sailors' morale.\Our ship will be preparing for departure soon.\We don't have much to offer, but perhaps some Kalinga tea...\My, that sounds lovely. response:	I can't let you go any farther, Miss.
context: I'm terribly sorry for dropping in unannounced.\This is where we held the send-off for His Royal Highness Prince Abyssinian.\We are deeply honored to have you, Princess.\This will certainly improve our sailors' morale.\Our ship will be preparing for departure soon.\We don't have much to offer, but perhaps some Kalinga tea...\My, that sounds lovely.\I can't let you go any farther, Miss. response:	Oh, that's hardly friendly.
context: This is where we held the send-off for His Royal Highness Prince Abyssinian.\We are deeply honored to have you, Princess.\This will certainly improve our sailors' morale.\Our ship will be preparing for departure soon.\We don't have much to offer, but perhaps some Kalinga tea...\My, that sounds lovely.\I can't let you go any farther, Miss.\Oh, that's hardly friendly. response:	Classified material's in there.
context: We are deeply honored to have you, Princess.\This will certainly improve our sailors' morale.\Our ship will be preparing for departure soon.\We don't have much to offer, but perhaps some Kalinga tea...\My, that sounds lovely.\I can't let you go any farther, Miss.\Oh, that's hardly friendly.\Classified material's in there. response:	If you like, you could wait in the Officers' Mess...
context: This will certainly improve our sailors' morale.\Our ship will be preparing for departure soon.\We don't have much to offer, but perhaps some Kalinga tea...\My, that sounds lovely.\I can't let you go any farther, Miss.\Oh, that's hardly friendly.\Classified material's in there.\If you like, you could wait in the Officers' Mess... response:	Actually...
context: Our ship will be preparing for departure soon.\We don't have much to offer, but perhaps some Kalinga tea...\My, that sounds lovely.\I can't let you go any farther, Miss.\Oh, that's hardly friendly.\Classified material's in there.\If you like, you could wait in the Officers' Mess...\Actually... response:	There's somewhere else I'd really like to go.
context: We don't have much to offer, but perhaps some Kalinga tea...\My, that sounds lovely.\I can't let you go any farther, Miss.\Oh, that's hardly friendly.\Classified material's in there.\If you like, you could wait in the Officers' Mess...\Actually...\There's somewhere else I'd really like to go. response:	A-as long as it's somewhere I can authorize.
context: My, that sounds lovely.\I can't let you go any farther, Miss.\Oh, that's hardly friendly.\Classified material's in there.\If you like, you could wait in the Officers' Mess...\Actually...\There's somewhere else I'd really like to go.\A-as long as it's somewhere I can authorize. response:	I can't hold it in any longer.
context: I can't let you go any farther, Miss.\Oh, that's hardly friendly.\Classified material's in there.\If you like, you could wait in the Officers' Mess...\Actually...\There's somewhere else I'd really like to go.\A-as long as it's somewhere I can authorize.\I can't hold it in any longer. response:	Why did you come along?
context: Oh, that's hardly friendly.\Classified material's in there.\If you like, you could wait in the Officers' Mess...\Actually...\There's somewhere else I'd really like to go.\A-as long as it's somewhere I can authorize.\I can't hold it in any longer.\Why did you come along? response:	You hate us, don't you?
context: Classified material's in there.\If you like, you could wait in the Officers' Mess...\Actually...\There's somewhere else I'd really like to go.\A-as long as it's somewhere I can authorize.\I can't hold it in any longer.\Why did you come along?\You hate us, don't you? response:	I-I'm here for Her Highness!
context: If you like, you could wait in the Officers' Mess...\Actually...\There's somewhere else I'd really like to go.\A-as long as it's somewhere I can authorize.\I can't hold it in any longer.\Why did you come along?\You hate us, don't you?\I-I'm here for Her Highness! response:	I'm keeping an eye on you, to make sure you don't try anything funny!
context: Actually...\There's somewhere else I'd really like to go.\A-as long as it's somewhere I can authorize.\I can't hold it in any longer.\Why did you come along?\You hate us, don't you?\I-I'm here for Her Highness!\I'm keeping an eye on you, to make sure you don't try anything funny! response:	Don't bother.
context: There's somewhere else I'd really like to go.\A-as long as it's somewhere I can authorize.\I can't hold it in any longer.\Why did you come along?\You hate us, don't you?\I-I'm here for Her Highness!\I'm keeping an eye on you, to make sure you don't try anything funny!\Don't bother. response:	You're an amateur. You'll never hit me.
context: A-as long as it's somewhere I can authorize.\I can't hold it in any longer.\Why did you come along?\You hate us, don't you?\I-I'm here for Her Highness!\I'm keeping an eye on you, to make sure you don't try anything funny!\Don't bother.\You're an amateur. You'll never hit me. response:	I'd be so embarrassed if you heard me.
context: I can't hold it in any longer.\Why did you come along?\You hate us, don't you?\I-I'm here for Her Highness!\I'm keeping an eye on you, to make sure you don't try anything funny!\Don't bother.\You're an amateur. You'll never hit me.\I'd be so embarrassed if you heard me. response:	Could you step away, please?
context: Why did you come along?\You hate us, don't you?\I-I'm here for Her Highness!\I'm keeping an eye on you, to make sure you don't try anything funny!\Don't bother.\You're an amateur. You'll never hit me.\I'd be so embarrassed if you heard me.\Could you step away, please? response:	I-I beg your pardon!
context: You hate us, don't you?\I-I'm here for Her Highness!\I'm keeping an eye on you, to make sure you don't try anything funny!\Don't bother.\You're an amateur. You'll never hit me.\I'd be so embarrassed if you heard me.\Could you step away, please?\I-I beg your pardon! response:	Answer me! Why do you look so much like Her Highness?
context: I-I'm here for Her Highness!\I'm keeping an eye on you, to make sure you don't try anything funny!\Don't bother.\You're an amateur. You'll never hit me.\I'd be so embarrassed if you heard me.\Could you step away, please?\I-I beg your pardon!\Answer me! Why do you look so much like Her Highness? response:	Because Princess and I are sisters from the Black Lizard Planet.
context: I'm keeping an eye on you, to make sure you don't try anything funny!\Don't bother.\You're an amateur. You'll never hit me.\I'd be so embarrassed if you heard me.\Could you step away, please?\I-I beg your pardon!\Answer me! Why do you look so much like Her Highness?\Because Princess and I are sisters from the Black Lizard Planet. response:	Don't joke with me!
context: Don't bother.\You're an amateur. You'll never hit me.\I'd be so embarrassed if you heard me.\Could you step away, please?\I-I beg your pardon!\Answer me! Why do you look so much like Her Highness?\Because Princess and I are sisters from the Black Lizard Planet.\Don't joke with me! response:	You're planning to replace her. That's why you look like her!
context: You're an amateur. You'll never hit me.\I'd be so embarrassed if you heard me.\Could you step away, please?\I-I beg your pardon!\Answer me! Why do you look so much like Her Highness?\Because Princess and I are sisters from the Black Lizard Planet.\Don't joke with me!\You're planning to replace her. That's why you look like her! response:	Isn't it?!
context: I'd be so embarrassed if you heard me.\Could you step away, please?\I-I beg your pardon!\Answer me! Why do you look so much like Her Highness?\Because Princess and I are sisters from the Black Lizard Planet.\Don't joke with me!\You're planning to replace her. That's why you look like her!\Isn't it?! response:	Almost time to go.
context: Could you step away, please?\I-I beg your pardon!\Answer me! Why do you look so much like Her Highness?\Because Princess and I are sisters from the Black Lizard Planet.\Don't joke with me!\You're planning to replace her. That's why you look like her!\Isn't it?!\Almost time to go. response:	What? But-!
context: I-I beg your pardon!\Answer me! Why do you look so much like Her Highness?\Because Princess and I are sisters from the Black Lizard Planet.\Don't joke with me!\You're planning to replace her. That's why you look like her!\Isn't it?!\Almost time to go.\What? But-! response:	Save the chat for teatime.
context: Answer me! Why do you look so much like Her Highness?\Because Princess and I are sisters from the Black Lizard Planet.\Don't joke with me!\You're planning to replace her. That's why you look like her!\Isn't it?!\Almost time to go.\What? But-!\Save the chat for teatime. response:	Wait!
context: Because Princess and I are sisters from the Black Lizard Planet.\Don't joke with me!\You're planning to replace her. That's why you look like her!\Isn't it?!\Almost time to go.\What? But-!\Save the chat for teatime.\Wait! response:	I said wait!
context: Don't joke with me!\You're planning to replace her. That's why you look like her!\Isn't it?!\Almost time to go.\What? But-!\Save the chat for teatime.\Wait!\I said wait! response:	No! I have to protect Her Highness!
context: You're planning to replace her. That's why you look like her!\Isn't it?!\Almost time to go.\What? But-!\Save the chat for teatime.\Wait!\I said wait!\No! I have to protect Her Highness! response:	You're awake, then?
context: Isn't it?!\Almost time to go.\What? But-!\Save the chat for teatime.\Wait!\I said wait!\No! I have to protect Her Highness!\You're awake, then? response:	Y-you'll get no thanks from me!
context: Almost time to go.\What? But-!\Save the chat for teatime.\Wait!\I said wait!\No! I have to protect Her Highness!\You're awake, then?\Y-you'll get no thanks from me! response:	I don't want any.
context: What? But-!\Save the chat for teatime.\Wait!\I said wait!\No! I have to protect Her Highness!\You're awake, then?\Y-you'll get no thanks from me!\I don't want any. response:	Anyway, hurry.
context: Save the chat for teatime.\Wait!\I said wait!\No! I have to protect Her Highness!\You're awake, then?\Y-you'll get no thanks from me!\I don't want any.\Anyway, hurry. response:	Once we get the plates, we're parachuting out of here.
context: Wait!\I said wait!\No! I have to protect Her Highness!\You're awake, then?\Y-you'll get no thanks from me!\I don't want any.\Anyway, hurry.\Once we get the plates, we're parachuting out of here. response:	You want me to help a spy? I would rather die!
context: I said wait!\No! I have to protect Her Highness!\You're awake, then?\Y-you'll get no thanks from me!\I don't want any.\Anyway, hurry.\Once we get the plates, we're parachuting out of here.\You want me to help a spy? I would rather die! response:	Then die.
context: No! I have to protect Her Highness!\You're awake, then?\Y-you'll get no thanks from me!\I don't want any.\Anyway, hurry.\Once we get the plates, we're parachuting out of here.\You want me to help a spy? I would rather die!\Then die. response:	For your princess.
context: You're awake, then?\Y-you'll get no thanks from me!\I don't want any.\Anyway, hurry.\Once we get the plates, we're parachuting out of here.\You want me to help a spy? I would rather die!\Then die.\For your princess. response:	If you got caught, they would have no trouble cracking an amateur like you.
context: Y-you'll get no thanks from me!\I don't want any.\Anyway, hurry.\Once we get the plates, we're parachuting out of here.\You want me to help a spy? I would rather die!\Then die.\For your princess.\If you got caught, they would have no trouble cracking an amateur like you. response:	Then they'll know that Princess made a deal with the Commonwealth.
context: I don't want any.\Anyway, hurry.\Once we get the plates, we're parachuting out of here.\You want me to help a spy? I would rather die!\Then die.\For your princess.\If you got caught, they would have no trouble cracking an amateur like you.\Then they'll know that Princess made a deal with the Commonwealth. response:	Then get caught and see.
context: Anyway, hurry.\Once we get the plates, we're parachuting out of here.\You want me to help a spy? I would rather die!\Then die.\For your princess.\If you got caught, they would have no trouble cracking an amateur like you.\Then they'll know that Princess made a deal with the Commonwealth.\Then get caught and see. response:	A professional interrogation is more than just a chat.
context: Once we get the plates, we're parachuting out of here.\You want me to help a spy? I would rather die!\Then die.\For your princess.\If you got caught, they would have no trouble cracking an amateur like you.\Then they'll know that Princess made a deal with the Commonwealth.\Then get caught and see.\A professional interrogation is more than just a chat. response:	Is somebody in there?
context: You want me to help a spy? I would rather die!\Then die.\For your princess.\If you got caught, they would have no trouble cracking an amateur like you.\Then they'll know that Princess made a deal with the Commonwealth.\Then get caught and see.\A professional interrogation is more than just a chat.\Is somebody in there? response:	What's up?
context: Then die.\For your princess.\If you got caught, they would have no trouble cracking an amateur like you.\Then they'll know that Princess made a deal with the Commonwealth.\Then get caught and see.\A professional interrogation is more than just a chat.\Is somebody in there?\What's up? response:	Oh, nothing. I thought I heard voices.
context: For your princess.\If you got caught, they would have no trouble cracking an amateur like you.\Then they'll know that Princess made a deal with the Commonwealth.\Then get caught and see.\A professional interrogation is more than just a chat.\Is somebody in there?\What's up?\Oh, nothing. I thought I heard voices. response:	Voices?
context: If you got caught, they would have no trouble cracking an amateur like you.\Then they'll know that Princess made a deal with the Commonwealth.\Then get caught and see.\A professional interrogation is more than just a chat.\Is somebody in there?\What's up?\Oh, nothing. I thought I heard voices.\Voices? response:	A telephone switchboard?
context: Then they'll know that Princess made a deal with the Commonwealth.\Then get caught and see.\A professional interrogation is more than just a chat.\Is somebody in there?\What's up?\Oh, nothing. I thought I heard voices.\Voices?\A telephone switchboard? response:	This is Corporal Henry, Royal Marines 2nd Company,
context: Then get caught and see.\A professional interrogation is more than just a chat.\Is somebody in there?\What's up?\Oh, nothing. I thought I heard voices.\Voices?\A telephone switchboard?\This is Corporal Henry, Royal Marines 2nd Company, response:	I've just completed my guard shift.
context: A professional interrogation is more than just a chat.\Is somebody in there?\What's up?\Oh, nothing. I thought I heard voices.\Voices?\A telephone switchboard?\This is Corporal Henry, Royal Marines 2nd Company,\I've just completed my guard shift. response:	This is engine watch. I've just completed my guard shift.
context: Is somebody in there?\What's up?\Oh, nothing. I thought I heard voices.\Voices?\A telephone switchboard?\This is Corporal Henry, Royal Marines 2nd Company,\I've just completed my guard shift.\This is engine watch. I've just completed my guard shift. response:	Distillation amounts are normal. I've just completed my guard shift.
context: What's up?\Oh, nothing. I thought I heard voices.\Voices?\A telephone switchboard?\This is Corporal Henry, Royal Marines 2nd Company,\I've just completed my guard shift.\This is engine watch. I've just completed my guard shift.\Distillation amounts are normal. I've just completed my guard shift. response:	Distillation amounts are normal.
context: Oh, nothing. I thought I heard voices.\Voices?\A telephone switchboard?\This is Corporal Henry, Royal Marines 2nd Company,\I've just completed my guard shift.\This is engine watch. I've just completed my guard shift.\Distillation amounts are normal. I've just completed my guard shift.\Distillation amounts are normal. response:	Distillation amounts are normal. Naval command, copy that.
context: Voices?\A telephone switchboard?\This is Corporal Henry, Royal Marines 2nd Company,\I've just completed my guard shift.\This is engine watch. I've just completed my guard shift.\Distillation amounts are normal. I've just completed my guard shift.\Distillation amounts are normal.\Distillation amounts are normal. Naval command, copy that. response:	Naval command, copy that.
context: A telephone switchboard?\This is Corporal Henry, Royal Marines 2nd Company,\I've just completed my guard shift.\This is engine watch. I've just completed my guard shift.\Distillation amounts are normal. I've just completed my guard shift.\Distillation amounts are normal.\Distillation amounts are normal. Naval command, copy that.\Naval command, copy that. response:	No effect on the ship's internal gravity.
context: This is Corporal Henry, Royal Marines 2nd Company,\I've just completed my guard shift.\This is engine watch. I've just completed my guard shift.\Distillation amounts are normal. I've just completed my guard shift.\Distillation amounts are normal.\Distillation amounts are normal. Naval command, copy that.\Naval command, copy that.\No effect on the ship's internal gravity. response:	Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.
context: I've just completed my guard shift.\This is engine watch. I've just completed my guard shift.\Distillation amounts are normal. I've just completed my guard shift.\Distillation amounts are normal.\Distillation amounts are normal. Naval command, copy that.\Naval command, copy that.\No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. No effect on the ship's internal gravity. response:	Now you go dream about that fiancee of yours. The Cavorite jammer has activated.
context: This is engine watch. I've just completed my guard shift.\Distillation amounts are normal. I've just completed my guard shift.\Distillation amounts are normal.\Distillation amounts are normal. Naval command, copy that.\Naval command, copy that.\No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. The Cavorite jammer has activated. response:	Jennifer, was it? The Cavorite jammer has activated.
context: Distillation amounts are normal. I've just completed my guard shift.\Distillation amounts are normal.\Distillation amounts are normal. Naval command, copy that.\Naval command, copy that.\No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. The Cavorite jammer has activated.\Jennifer, was it? The Cavorite jammer has activated. response:	When we get there, you're paying me back.
context: Distillation amounts are normal.\Distillation amounts are normal. Naval command, copy that.\Naval command, copy that.\No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. The Cavorite jammer has activated.\Jennifer, was it? The Cavorite jammer has activated.\When we get there, you're paying me back. response:	No... are you listening to all of them at once? When we get there, you're paying me back.
context: Distillation amounts are normal. Naval command, copy that.\Naval command, copy that.\No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. The Cavorite jammer has activated.\Jennifer, was it? The Cavorite jammer has activated.\When we get there, you're paying me back.\No... are you listening to all of them at once? When we get there, you're paying me back. response:	Get me Number One.
context: Naval command, copy that.\No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. The Cavorite jammer has activated.\Jennifer, was it? The Cavorite jammer has activated.\When we get there, you're paying me back.\No... are you listening to all of them at once? When we get there, you're paying me back.\Get me Number One. response:	Not at all. The world of economics makes a fine battlefield.
context: No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. The Cavorite jammer has activated.\Jennifer, was it? The Cavorite jammer has activated.\When we get there, you're paying me back.\No... are you listening to all of them at once? When we get there, you're paying me back.\Get me Number One.\Not at all. The world of economics makes a fine battlefield. response:	Not at all. The world of economics makes a fine battlefield. About that missing special delivery...
context: Now you go dream about that fiancee of yours. No effect on the ship's internal gravity.\Now you go dream about that fiancee of yours. The Cavorite jammer has activated.\Jennifer, was it? The Cavorite jammer has activated.\When we get there, you're paying me back.\No... are you listening to all of them at once? When we get there, you're paying me back.\Get me Number One.\Not at all. The world of economics makes a fine battlefield.\Not at all. The world of economics makes a fine battlefield. About that missing special delivery... response:	This is the Chief Gunner. Prepare for arms inspection.
context: Now you go dream about that fiancee of yours. The Cavorite jammer has activated.\Jennifer, was it? The Cavorite jammer has activated.\When we get there, you're paying me back.\No... are you listening to all of them at once? When we get there, you're paying me back.\Get me Number One.\Not at all. The world of economics makes a fine battlefield.\Not at all. The world of economics makes a fine battlefield. About that missing special delivery...\This is the Chief Gunner. Prepare for arms inspection. response:	You need money to feed your troops and pay for weapons and ammunition.
context: Jennifer, was it? The Cavorite jammer has activated.\When we get there, you're paying me back.\No... are you listening to all of them at once? When we get there, you're paying me back.\Get me Number One.\Not at all. The world of economics makes a fine battlefield.\Not at all. The world of economics makes a fine battlefield. About that missing special delivery...\This is the Chief Gunner. Prepare for arms inspection.\You need money to feed your troops and pay for weapons and ammunition. response:	And to add troublesome cargo to your warship's load.
context: When we get there, you're paying me back.\No... are you listening to all of them at once? When we get there, you're paying me back.\Get me Number One.\Not at all. The world of economics makes a fine battlefield.\Not at all. The world of economics makes a fine battlefield. About that missing special delivery...\This is the Chief Gunner. Prepare for arms inspection.\You need money to feed your troops and pay for weapons and ammunition.\And to add troublesome cargo to your warship's load. response:	I appreciate your cooperation, Captain.
context: No... are you listening to all of them at once? When we get there, you're paying me back.\Get me Number One.\Not at all. The world of economics makes a fine battlefield.\Not at all. The world of economics makes a fine battlefield. About that missing special delivery...\This is the Chief Gunner. Prepare for arms inspection.\You need money to feed your troops and pay for weapons and ammunition.\And to add troublesome cargo to your warship's load.\I appreciate your cooperation, Captain. response:	I will put in a good word for you with the Duke of Normandy.
context: Get me Number One.\Not at all. The world of economics makes a fine battlefield.\Not at all. The world of economics makes a fine battlefield. About that missing special delivery...\This is the Chief Gunner. Prepare for arms inspection.\You need money to feed your troops and pay for weapons and ammunition.\And to add troublesome cargo to your warship's load.\I appreciate your cooperation, Captain.\I will put in a good word for you with the Duke of Normandy. response:	Yes, I hope you will.
context: Not at all. The world of economics makes a fine battlefield.\Not at all. The world of economics makes a fine battlefield. About that missing special delivery...\This is the Chief Gunner. Prepare for arms inspection.\You need money to feed your troops and pay for weapons and ammunition.\And to add troublesome cargo to your warship's load.\I appreciate your cooperation, Captain.\I will put in a good word for you with the Duke of Normandy.\Yes, I hope you will. response:	What was that?
context: Not at all. The world of economics makes a fine battlefield. About that missing special delivery...\This is the Chief Gunner. Prepare for arms inspection.\You need money to feed your troops and pay for weapons and ammunition.\And to add troublesome cargo to your warship's load.\I appreciate your cooperation, Captain.\I will put in a good word for you with the Duke of Normandy.\Yes, I hope you will.\What was that? response:	The captain and one of the Duke of Normandy's men.
context: This is the Chief Gunner. Prepare for arms inspection.\You need money to feed your troops and pay for weapons and ammunition.\And to add troublesome cargo to your warship's load.\I appreciate your cooperation, Captain.\I will put in a good word for you with the Duke of Normandy.\Yes, I hope you will.\What was that?\The captain and one of the Duke of Normandy's men. response:	The one responsible for transporting the plates.
context: You need money to feed your troops and pay for weapons and ammunition.\And to add troublesome cargo to your warship's load.\I appreciate your cooperation, Captain.\I will put in a good word for you with the Duke of Normandy.\Yes, I hope you will.\What was that?\The captain and one of the Duke of Normandy's men.\The one responsible for transporting the plates. response:	The gun room.
context: And to add troublesome cargo to your warship's load.\I appreciate your cooperation, Captain.\I will put in a good word for you with the Duke of Normandy.\Yes, I hope you will.\What was that?\The captain and one of the Duke of Normandy's men.\The one responsible for transporting the plates.\The gun room. response:	Here.
context: I appreciate your cooperation, Captain.\I will put in a good word for you with the Duke of Normandy.\Yes, I hope you will.\What was that?\The captain and one of the Duke of Normandy's men.\The one responsible for transporting the plates.\The gun room.\Here. response:	It's so far away.
context: I will put in a good word for you with the Duke of Normandy.\Yes, I hope you will.\What was that?\The captain and one of the Duke of Normandy's men.\The one responsible for transporting the plates.\The gun room.\Here.\It's so far away. response:	And we have to go past the sailors' cabins?
context: Yes, I hope you will.\What was that?\The captain and one of the Duke of Normandy's men.\The one responsible for transporting the plates.\The gun room.\Here.\It's so far away.\And we have to go past the sailors' cabins? response:	Wh-what?
context: What was that?\The captain and one of the Duke of Normandy's men.\The one responsible for transporting the plates.\The gun room.\Here.\It's so far away.\And we have to go past the sailors' cabins?\Wh-what? response:	It does seem difficult.
context: The captain and one of the Duke of Normandy's men.\The one responsible for transporting the plates.\The gun room.\Here.\It's so far away.\And we have to go past the sailors' cabins?\Wh-what?\It does seem difficult. response:	We'll take a different route.
context: The one responsible for transporting the plates.\The gun room.\Here.\It's so far away.\And we have to go past the sailors' cabins?\Wh-what?\It does seem difficult.\We'll take a different route. response:	Change into this.
context: The gun room.\Here.\It's so far away.\And we have to go past the sailors' cabins?\Wh-what?\It does seem difficult.\We'll take a different route.\Change into this. response:	You're still wet. It will be cold outside.
context: Here.\It's so far away.\And we have to go past the sailors' cabins?\Wh-what?\It does seem difficult.\We'll take a different route.\Change into this.\You're still wet. It will be cold outside. response:	Outside?
context: It's so far away.\And we have to go past the sailors' cabins?\Wh-what?\It does seem difficult.\We'll take a different route.\Change into this.\You're still wet. It will be cold outside.\Outside? response:	Do you see that turret?
context: And we have to go past the sailors' cabins?\Wh-what?\It does seem difficult.\We'll take a different route.\Change into this.\You're still wet. It will be cold outside.\Outside?\Do you see that turret? response:	The plates are under that.
context: Wh-what?\It does seem difficult.\We'll take a different route.\Change into this.\You're still wet. It will be cold outside.\Outside?\Do you see that turret?\The plates are under that. response:	I'll go first.
context: It does seem difficult.\We'll take a different route.\Change into this.\You're still wet. It will be cold outside.\Outside?\Do you see that turret?\The plates are under that.\I'll go first. response:	First?
context: We'll take a different route.\Change into this.\You're still wet. It will be cold outside.\Outside?\Do you see that turret?\The plates are under that.\I'll go first.\First? response:	When I pull the wire three times, come after me.
context: Change into this.\You're still wet. It will be cold outside.\Outside?\Do you see that turret?\The plates are under that.\I'll go first.\First?\When I pull the wire three times, come after me. response:	No! I couldn't possibly...!
