context: Saito? response:	I wonder what happened.
context: Anyone who's like me is out!\Since I'm his master, naturally I'm by his side.\Since I'm his maid...\I don't think this will work.\How about we settle it with rock paper scissors?\Why are you in charge of this?\Um... So...\What?! response:	I have a good idea...
context: Since I'm his master, naturally I'm by his side.\Since I'm his maid...\I don't think this will work.\How about we settle it with rock paper scissors?\Why are you in charge of this?\Um... So...\What?!\I have a good idea... response:	I can't sleep like this.
context: Since I'm his maid...\I don't think this will work.\How about we settle it with rock paper scissors?\Why are you in charge of this?\Um... So...\What?!\I have a good idea...\I can't sleep like this. response:	I just can't sleep without Saito!
context: I don't think this will work.\How about we settle it with rock paper scissors?\Why are you in charge of this?\Um... So...\What?!\I have a good idea...\I can't sleep like this.\I just can't sleep without Saito! response:	No sneaking out.
context: How about we settle it with rock paper scissors?\Why are you in charge of this?\Um... So...\What?!\I have a good idea...\I can't sleep like this.\I just can't sleep without Saito!\No sneaking out. response:	I'm just going to the bathroom.
context: Why are you in charge of this?\Um... So...\What?!\I have a good idea...\I can't sleep like this.\I just can't sleep without Saito!\No sneaking out.\I'm just going to the bathroom. response:	Then I'll go, too.
context: Um... So...\What?!\I have a good idea...\I can't sleep like this.\I just can't sleep without Saito!\No sneaking out.\I'm just going to the bathroom.\Then I'll go, too. response:	Bathroom!
context: What?!\I have a good idea...\I can't sleep like this.\I just can't sleep without Saito!\No sneaking out.\I'm just going to the bathroom.\Then I'll go, too.\Bathroom! response:	Huh? W-Wait...
context: I have a good idea...\I can't sleep like this.\I just can't sleep without Saito!\No sneaking out.\I'm just going to the bathroom.\Then I'll go, too.\Bathroom!\Huh? W-Wait... response:	So,
context: I can't sleep like this.\I just can't sleep without Saito!\No sneaking out.\I'm just going to the bathroom.\Then I'll go, too.\Bathroom!\Huh? W-Wait...\So, response:	what happened?
context: I just can't sleep without Saito!\No sneaking out.\I'm just going to the bathroom.\Then I'll go, too.\Bathroom!\Huh? W-Wait...\So,\what happened? response:	Nothing...
context: No sneaking out.\I'm just going to the bathroom.\Then I'll go, too.\Bathroom!\Huh? W-Wait...\So,\what happened?\Nothing... response:	Thank you for waiting.
context: I'm just going to the bathroom.\Then I'll go, too.\Bathroom!\Huh? W-Wait...\So,\what happened?\Nothing...\Thank you for waiting. response:	Our guests have just arrived!
context: Then I'll go, too.\Bathroom!\Huh? W-Wait...\So,\what happened?\Nothing...\Thank you for waiting.\Our guests have just arrived! response:	Hello, everyone.
context: Bathroom!\Huh? W-Wait...\So,\what happened?\Nothing...\Thank you for waiting.\Our guests have just arrived!\Hello, everyone. response:	Guiche! Guys! Thanks for coming.
context: Huh? W-Wait...\So,\what happened?\Nothing...\Thank you for waiting.\Our guests have just arrived!\Hello, everyone.\Guiche! Guys! Thanks for coming. response:	So Saito's finally a lord.
context: So,\what happened?\Nothing...\Thank you for waiting.\Our guests have just arrived!\Hello, everyone.\Guiche! Guys! Thanks for coming.\So Saito's finally a lord. response:	That's quite a move up the ladder.
context: what happened?\Nothing...\Thank you for waiting.\Our guests have just arrived!\Hello, everyone.\Guiche! Guys! Thanks for coming.\So Saito's finally a lord.\That's quite a move up the ladder. response:	I'm looking forward to it! The nude interaction.
context: Nothing...\Thank you for waiting.\Our guests have just arrived!\Hello, everyone.\Guiche! Guys! Thanks for coming.\So Saito's finally a lord.\That's quite a move up the ladder.\I'm looking forward to it! The nude interaction. response:	Yeah, the hot spring feels great.
context: Thank you for waiting.\Our guests have just arrived!\Hello, everyone.\Guiche! Guys! Thanks for coming.\So Saito's finally a lord.\That's quite a move up the ladder.\I'm looking forward to it! The nude interaction.\Yeah, the hot spring feels great. response:	What? You haven't even kissed him?
context: Our guests have just arrived!\Hello, everyone.\Guiche! Guys! Thanks for coming.\So Saito's finally a lord.\That's quite a move up the ladder.\I'm looking forward to it! The nude interaction.\Yeah, the hot spring feels great.\What? You haven't even kissed him? response:	Tabitha's not like you, you know.
context: Hello, everyone.\Guiche! Guys! Thanks for coming.\So Saito's finally a lord.\That's quite a move up the ladder.\I'm looking forward to it! The nude interaction.\Yeah, the hot spring feels great.\What? You haven't even kissed him?\Tabitha's not like you, you know. response:	But if she goes back to Gallia without having done anything,
context: Guiche! Guys! Thanks for coming.\So Saito's finally a lord.\That's quite a move up the ladder.\I'm looking forward to it! The nude interaction.\Yeah, the hot spring feels great.\What? You haven't even kissed him?\Tabitha's not like you, you know.\But if she goes back to Gallia without having done anything, response:	coming here was pointless.
context: So Saito's finally a lord.\That's quite a move up the ladder.\I'm looking forward to it! The nude interaction.\Yeah, the hot spring feels great.\What? You haven't even kissed him?\Tabitha's not like you, you know.\But if she goes back to Gallia without having done anything,\coming here was pointless. response:	Congratulations, Saito.
context: That's quite a move up the ladder.\I'm looking forward to it! The nude interaction.\Yeah, the hot spring feels great.\What? You haven't even kissed him?\Tabitha's not like you, you know.\But if she goes back to Gallia without having done anything,\coming here was pointless.\Congratulations, Saito. response:	Miss Valliere...
context: I'm looking forward to it! The nude interaction.\Yeah, the hot spring feels great.\What? You haven't even kissed him?\Tabitha's not like you, you know.\But if she goes back to Gallia without having done anything,\coming here was pointless.\Congratulations, Saito.\Miss Valliere... response:	You're embarrassing me.
context: Yeah, the hot spring feels great.\What? You haven't even kissed him?\Tabitha's not like you, you know.\But if she goes back to Gallia without having done anything,\coming here was pointless.\Congratulations, Saito.\Miss Valliere...\You're embarrassing me. response:	What? Someone suspicious?
context: What? You haven't even kissed him?\Tabitha's not like you, you know.\But if she goes back to Gallia without having done anything,\coming here was pointless.\Congratulations, Saito.\Miss Valliere...\You're embarrassing me.\What? Someone suspicious? response:	Over there.
context: Tabitha's not like you, you know.\But if she goes back to Gallia without having done anything,\coming here was pointless.\Congratulations, Saito.\Miss Valliere...\You're embarrassing me.\What? Someone suspicious?\Over there. response:	You're right.
context: But if she goes back to Gallia without having done anything,\coming here was pointless.\Congratulations, Saito.\Miss Valliere...\You're embarrassing me.\What? Someone suspicious?\Over there.\You're right. response:	That person is the definition of suspicious.
context: coming here was pointless.\Congratulations, Saito.\Miss Valliere...\You're embarrassing me.\What? Someone suspicious?\Over there.\You're right.\That person is the definition of suspicious. response:	Give it up, you creeper!
context: Congratulations, Saito.\Miss Valliere...\You're embarrassing me.\What? Someone suspicious?\Over there.\You're right.\That person is the definition of suspicious.\Give it up, you creeper! response:	I'm not letting go!
context: Miss Valliere...\You're embarrassing me.\What? Someone suspicious?\Over there.\You're right.\That person is the definition of suspicious.\Give it up, you creeper!\I'm not letting go! response:	What do you want here?
context: You're embarrassing me.\What? Someone suspicious?\Over there.\You're right.\That person is the definition of suspicious.\Give it up, you creeper!\I'm not letting go!\What do you want here? response:	Your Majesty?!
context: What? Someone suspicious?\Over there.\You're right.\That person is the definition of suspicious.\Give it up, you creeper!\I'm not letting go!\What do you want here?\Your Majesty?! response:	I've come, too.
context: Over there.\You're right.\That person is the definition of suspicious.\Give it up, you creeper!\I'm not letting go!\What do you want here?\Your Majesty?!\I've come, too. response:	Would you be so kind as to show me
context: You're right.\That person is the definition of suspicious.\Give it up, you creeper!\I'm not letting go!\What do you want here?\Your Majesty?!\I've come, too.\Would you be so kind as to show me response:	the hot spring that makes your skin beautiful?
context: That person is the definition of suspicious.\Give it up, you creeper!\I'm not letting go!\What do you want here?\Your Majesty?!\I've come, too.\Would you be so kind as to show me\the hot spring that makes your skin beautiful? response:	So this is the hot spring.
context: Give it up, you creeper!\I'm not letting go!\What do you want here?\Your Majesty?!\I've come, too.\Would you be so kind as to show me\the hot spring that makes your skin beautiful?\So this is the hot spring. response:	It feels quite nice.
context: I'm not letting go!\What do you want here?\Your Majesty?!\I've come, too.\Would you be so kind as to show me\the hot spring that makes your skin beautiful?\So this is the hot spring.\It feels quite nice. response:	You came here without an escort.
context: What do you want here?\Your Majesty?!\I've come, too.\Would you be so kind as to show me\the hot spring that makes your skin beautiful?\So this is the hot spring.\It feels quite nice.\You came here without an escort. response:	The court must be in an uproar.
context: Your Majesty?!\I've come, too.\Would you be so kind as to show me\the hot spring that makes your skin beautiful?\So this is the hot spring.\It feels quite nice.\You came here without an escort.\The court must be in an uproar. response:	It's fine, I left a note behind.
context: I've come, too.\Would you be so kind as to show me\the hot spring that makes your skin beautiful?\So this is the hot spring.\It feels quite nice.\You came here without an escort.\The court must be in an uproar.\It's fine, I left a note behind. response:	So what brings you here?
context: Would you be so kind as to show me\the hot spring that makes your skin beautiful?\So this is the hot spring.\It feels quite nice.\You came here without an escort.\The court must be in an uproar.\It's fine, I left a note behind.\So what brings you here? response:	If you can't say it, shall I do it for you?
context: the hot spring that makes your skin beautiful?\So this is the hot spring.\It feels quite nice.\You came here without an escort.\The court must be in an uproar.\It's fine, I left a note behind.\So what brings you here?\If you can't say it, shall I do it for you? response:	Huh?
context: So this is the hot spring.\It feels quite nice.\You came here without an escort.\The court must be in an uproar.\It's fine, I left a note behind.\So what brings you here?\If you can't say it, shall I do it for you?\Huh? response:	You came here for the hidden room, didn't you?
context: It feels quite nice.\You came here without an escort.\The court must be in an uproar.\It's fine, I left a note behind.\So what brings you here?\If you can't say it, shall I do it for you?\Huh?\You came here for the hidden room, didn't you? response:	Wh-What are you talking about?
context: You came here without an escort.\The court must be in an uproar.\It's fine, I left a note behind.\So what brings you here?\If you can't say it, shall I do it for you?\Huh?\You came here for the hidden room, didn't you?\Wh-What are you talking about? response:	No use in denying it.
context: The court must be in an uproar.\It's fine, I left a note behind.\So what brings you here?\If you can't say it, shall I do it for you?\Huh?\You came here for the hidden room, didn't you?\Wh-What are you talking about?\No use in denying it. response:	Saito told me everything.
context: It's fine, I left a note behind.\So what brings you here?\If you can't say it, shall I do it for you?\Huh?\You came here for the hidden room, didn't you?\Wh-What are you talking about?\No use in denying it.\Saito told me everything. response:	Your Majesty, you're a liar.
context: So what brings you here?\If you can't say it, shall I do it for you?\Huh?\You came here for the hidden room, didn't you?\Wh-What are you talking about?\No use in denying it.\Saito told me everything.\Your Majesty, you're a liar. response:	What exactly do you mean?
context: If you can't say it, shall I do it for you?\Huh?\You came here for the hidden room, didn't you?\Wh-What are you talking about?\No use in denying it.\Saito told me everything.\Your Majesty, you're a liar.\What exactly do you mean? response:	The Sleipnir Ball.
context: Huh?\You came here for the hidden room, didn't you?\Wh-What are you talking about?\No use in denying it.\Saito told me everything.\Your Majesty, you're a liar.\What exactly do you mean?\The Sleipnir Ball. response:	That was...
context: You came here for the hidden room, didn't you?\Wh-What are you talking about?\No use in denying it.\Saito told me everything.\Your Majesty, you're a liar.\What exactly do you mean?\The Sleipnir Ball.\That was... response:	Back then...
context: Wh-What are you talking about?\No use in denying it.\Saito told me everything.\Your Majesty, you're a liar.\What exactly do you mean?\The Sleipnir Ball.\That was...\Back then... response:	Back then you said,
context: No use in denying it.\Saito told me everything.\Your Majesty, you're a liar.\What exactly do you mean?\The Sleipnir Ball.\That was...\Back then...\Back then you said, response:	From now on, I will only show myself as a queen.
context: Saito told me everything.\Your Majesty, you're a liar.\What exactly do you mean?\The Sleipnir Ball.\That was...\Back then...\Back then you said,\From now on, I will only show myself as a queen. response:	And yet...
context: Your Majesty, you're a liar.\What exactly do you mean?\The Sleipnir Ball.\That was...\Back then...\Back then you said,\From now on, I will only show myself as a queen.\And yet... response:	I can't help it.
context: What exactly do you mean?\The Sleipnir Ball.\That was...\Back then...\Back then you said,\From now on, I will only show myself as a queen.\And yet...\I can't help it. response:	I seriously fell in love with him.
context: The Sleipnir Ball.\That was...\Back then...\Back then you said,\From now on, I will only show myself as a queen.\And yet...\I can't help it.\I seriously fell in love with him. response:	Can't help it?
context: That was...\Back then...\Back then you said,\From now on, I will only show myself as a queen.\And yet...\I can't help it.\I seriously fell in love with him.\Can't help it? response:	Are you going back on your word?!
context: Back then...\Back then you said,\From now on, I will only show myself as a queen.\And yet...\I can't help it.\I seriously fell in love with him.\Can't help it?\Are you going back on your word?! response:	Falling in love with the same person
context: Back then you said,\From now on, I will only show myself as a queen.\And yet...\I can't help it.\I seriously fell in love with him.\Can't help it?\Are you going back on your word?!\Falling in love with the same person response:	happens quite often, does it not?
context: From now on, I will only show myself as a queen.\And yet...\I can't help it.\I seriously fell in love with him.\Can't help it?\Are you going back on your word?!\Falling in love with the same person\happens quite often, does it not? response:	Saito is off limits!
context: And yet...\I can't help it.\I seriously fell in love with him.\Can't help it?\Are you going back on your word?!\Falling in love with the same person\happens quite often, does it not?\Saito is off limits! response:	I can't back down on that!
context: I can't help it.\I seriously fell in love with him.\Can't help it?\Are you going back on your word?!\Falling in love with the same person\happens quite often, does it not?\Saito is off limits!\I can't back down on that! response:	I also can't go on without Saito!
context: I seriously fell in love with him.\Can't help it?\Are you going back on your word?!\Falling in love with the same person\happens quite often, does it not?\Saito is off limits!\I can't back down on that!\I also can't go on without Saito! response:	I bet you just used your
context: Can't help it?\Are you going back on your word?!\Falling in love with the same person\happens quite often, does it not?\Saito is off limits!\I can't back down on that!\I also can't go on without Saito!\I bet you just used your response:	needlessly sensual body to seduce Saito!
context: Are you going back on your word?!\Falling in love with the same person\happens quite often, does it not?\Saito is off limits!\I can't back down on that!\I also can't go on without Saito!\I bet you just used your\needlessly sensual body to seduce Saito! response:	If you're so jealous, why don't you mature a bit?
context: Falling in love with the same person\happens quite often, does it not?\Saito is off limits!\I can't back down on that!\I also can't go on without Saito!\I bet you just used your\needlessly sensual body to seduce Saito!\If you're so jealous, why don't you mature a bit? response:	How dare you say that after you laid hands on my man?!
context: happens quite often, does it not?\Saito is off limits!\I can't back down on that!\I also can't go on without Saito!\I bet you just used your\needlessly sensual body to seduce Saito!\If you're so jealous, why don't you mature a bit?\How dare you say that after you laid hands on my man?! response:	Don't you have any shame?!
context: Saito is off limits!\I can't back down on that!\I also can't go on without Saito!\I bet you just used your\needlessly sensual body to seduce Saito!\If you're so jealous, why don't you mature a bit?\How dare you say that after you laid hands on my man?!\Don't you have any shame?! response:	I haven't done anything bad.
context: I can't back down on that!\I also can't go on without Saito!\I bet you just used your\needlessly sensual body to seduce Saito!\If you're so jealous, why don't you mature a bit?\How dare you say that after you laid hands on my man?!\Don't you have any shame?!\I haven't done anything bad. response:	Just so you know,
context: I also can't go on without Saito!\I bet you just used your\needlessly sensual body to seduce Saito!\If you're so jealous, why don't you mature a bit?\How dare you say that after you laid hands on my man?!\Don't you have any shame?!\I haven't done anything bad.\Just so you know, response:	our friendship is over if you get any closer to Saito!
context: I bet you just used your\needlessly sensual body to seduce Saito!\If you're so jealous, why don't you mature a bit?\How dare you say that after you laid hands on my man?!\Don't you have any shame?!\I haven't done anything bad.\Just so you know,\our friendship is over if you get any closer to Saito! response:	You bitch!
context: needlessly sensual body to seduce Saito!\If you're so jealous, why don't you mature a bit?\How dare you say that after you laid hands on my man?!\Don't you have any shame?!\I haven't done anything bad.\Just so you know,\our friendship is over if you get any closer to Saito!\You bitch! response:	Now you've done it!
context: If you're so jealous, why don't you mature a bit?\How dare you say that after you laid hands on my man?!\Don't you have any shame?!\I haven't done anything bad.\Just so you know,\our friendship is over if you get any closer to Saito!\You bitch!\Now you've done it! response:	Louise!
context: How dare you say that after you laid hands on my man?!\Don't you have any shame?!\I haven't done anything bad.\Just so you know,\our friendship is over if you get any closer to Saito!\You bitch!\Now you've done it!\Louise! response:	Let go!
context: Don't you have any shame?!\I haven't done anything bad.\Just so you know,\our friendship is over if you get any closer to Saito!\You bitch!\Now you've done it!\Louise!\Let go! response:	You've always been like this!
context: I haven't done anything bad.\Just so you know,\our friendship is over if you get any closer to Saito!\You bitch!\Now you've done it!\Louise!\Let go!\You've always been like this! response:	When I was playing with my dolls, you'd say,
context: Just so you know,\our friendship is over if you get any closer to Saito!\You bitch!\Now you've done it!\Louise!\Let go!\You've always been like this!\When I was playing with my dolls, you'd say, response:	Oh, Louise, those are cute. Can I have them?
context: our friendship is over if you get any closer to Saito!\You bitch!\Now you've done it!\Louise!\Let go!\You've always been like this!\When I was playing with my dolls, you'd say,\Oh, Louise, those are cute. Can I have them? response:	and take them without batting an eyelash.
context: You bitch!\Now you've done it!\Louise!\Let go!\You've always been like this!\When I was playing with my dolls, you'd say,\Oh, Louise, those are cute. Can I have them?\and take them without batting an eyelash. response:	Then you'd get bored and toss them aside right away.
context: Now you've done it!\Louise!\Let go!\You've always been like this!\When I was playing with my dolls, you'd say,\Oh, Louise, those are cute. Can I have them?\and take them without batting an eyelash.\Then you'd get bored and toss them aside right away. response:	I bet that's how you feel about Saito, too!
context: Louise!\Let go!\You've always been like this!\When I was playing with my dolls, you'd say,\Oh, Louise, those are cute. Can I have them?\and take them without batting an eyelash.\Then you'd get bored and toss them aside right away.\I bet that's how you feel about Saito, too! response:	Saito is different.
context: Let go!\You've always been like this!\When I was playing with my dolls, you'd say,\Oh, Louise, those are cute. Can I have them?\and take them without batting an eyelash.\Then you'd get bored and toss them aside right away.\I bet that's how you feel about Saito, too!\Saito is different. response:	And not to mention, I don't think Saito
context: You've always been like this!\When I was playing with my dolls, you'd say,\Oh, Louise, those are cute. Can I have them?\and take them without batting an eyelash.\Then you'd get bored and toss them aside right away.\I bet that's how you feel about Saito, too!\Saito is different.\And not to mention, I don't think Saito response:	will ever feel satisfied with this flat board.
context: When I was playing with my dolls, you'd say,\Oh, Louise, those are cute. Can I have them?\and take them without batting an eyelash.\Then you'd get bored and toss them aside right away.\I bet that's how you feel about Saito, too!\Saito is different.\And not to mention, I don't think Saito\will ever feel satisfied with this flat board. response:	Who are you calling flat, you thieving cat?!
context: Oh, Louise, those are cute. Can I have them?\and take them without batting an eyelash.\Then you'd get bored and toss them aside right away.\I bet that's how you feel about Saito, too!\Saito is different.\And not to mention, I don't think Saito\will ever feel satisfied with this flat board.\Who are you calling flat, you thieving cat?! response:	Milk jugs!
context: and take them without batting an eyelash.\Then you'd get bored and toss them aside right away.\I bet that's how you feel about Saito, too!\Saito is different.\And not to mention, I don't think Saito\will ever feel satisfied with this flat board.\Who are you calling flat, you thieving cat?!\Milk jugs! response:	Carpenter's dream!
context: Then you'd get bored and toss them aside right away.\I bet that's how you feel about Saito, too!\Saito is different.\And not to mention, I don't think Saito\will ever feel satisfied with this flat board.\Who are you calling flat, you thieving cat?!\Milk jugs!\Carpenter's dream! response:	We haven't had a wrestling match
context: I bet that's how you feel about Saito, too!\Saito is different.\And not to mention, I don't think Saito\will ever feel satisfied with this flat board.\Who are you calling flat, you thieving cat?!\Milk jugs!\Carpenter's dream!\We haven't had a wrestling match response:	like this since we were kids.
context: Saito is different.\And not to mention, I don't think Saito\will ever feel satisfied with this flat board.\Who are you calling flat, you thieving cat?!\Milk jugs!\Carpenter's dream!\We haven't had a wrestling match\like this since we were kids. response:	Just so you know, our score is
context: And not to mention, I don't think Saito\will ever feel satisfied with this flat board.\Who are you calling flat, you thieving cat?!\Milk jugs!\Carpenter's dream!\We haven't had a wrestling match\like this since we were kids.\Just so you know, our score is response:	27 wins, 25 losses, and 2 draws, in my favor.
context: will ever feel satisfied with this flat board.\Who are you calling flat, you thieving cat?!\Milk jugs!\Carpenter's dream!\We haven't had a wrestling match\like this since we were kids.\Just so you know, our score is\27 wins, 25 losses, and 2 draws, in my favor. response:	No, it's 29 wins, 24 losses, 1 draw, in my favor.
context: Who are you calling flat, you thieving cat?!\Milk jugs!\Carpenter's dream!\We haven't had a wrestling match\like this since we were kids.\Just so you know, our score is\27 wins, 25 losses, and 2 draws, in my favor.\No, it's 29 wins, 24 losses, 1 draw, in my favor. response:	In my favor!
context: Milk jugs!\Carpenter's dream!\We haven't had a wrestling match\like this since we were kids.\Just so you know, our score is\27 wins, 25 losses, and 2 draws, in my favor.\No, it's 29 wins, 24 losses, 1 draw, in my favor.\In my favor! response:	No, in mine!
context: Carpenter's dream!\We haven't had a wrestling match\like this since we were kids.\Just so you know, our score is\27 wins, 25 losses, and 2 draws, in my favor.\No, it's 29 wins, 24 losses, 1 draw, in my favor.\In my favor!\No, in mine! response:	I'm going to win!
context: We haven't had a wrestling match\like this since we were kids.\Just so you know, our score is\27 wins, 25 losses, and 2 draws, in my favor.\No, it's 29 wins, 24 losses, 1 draw, in my favor.\In my favor!\No, in mine!\I'm going to win! response:	Now it's 27 wins, 25 losses, and 3 draws.
context: like this since we were kids.\Just so you know, our score is\27 wins, 25 losses, and 2 draws, in my favor.\No, it's 29 wins, 24 losses, 1 draw, in my favor.\In my favor!\No, in mine!\I'm going to win!\Now it's 27 wins, 25 losses, and 3 draws. response:	It's 29 wins, 24 losses, and 2 draws.
context: Just so you know, our score is\27 wins, 25 losses, and 2 draws, in my favor.\No, it's 29 wins, 24 losses, 1 draw, in my favor.\In my favor!\No, in mine!\I'm going to win!\Now it's 27 wins, 25 losses, and 3 draws.\It's 29 wins, 24 losses, and 2 draws. response:	But I'm not giving up on Saito.
context: 27 wins, 25 losses, and 2 draws, in my favor.\No, it's 29 wins, 24 losses, 1 draw, in my favor.\In my favor!\No, in mine!\I'm going to win!\Now it's 27 wins, 25 losses, and 3 draws.\It's 29 wins, 24 losses, and 2 draws.\But I'm not giving up on Saito. response:	You're still...
context: No, it's 29 wins, 24 losses, 1 draw, in my favor.\In my favor!\No, in mine!\I'm going to win!\Now it's 27 wins, 25 losses, and 3 draws.\It's 29 wins, 24 losses, and 2 draws.\But I'm not giving up on Saito.\You're still... response:	Yes. I don't want to regret anything.
context: In my favor!\No, in mine!\I'm going to win!\Now it's 27 wins, 25 losses, and 3 draws.\It's 29 wins, 24 losses, and 2 draws.\But I'm not giving up on Saito.\You're still...\Yes. I don't want to regret anything. response:	Regret?
context: No, in mine!\I'm going to win!\Now it's 27 wins, 25 losses, and 3 draws.\It's 29 wins, 24 losses, and 2 draws.\But I'm not giving up on Saito.\You're still...\Yes. I don't want to regret anything.\Regret? response:	In this day and age,
context: I'm going to win!\Now it's 27 wins, 25 losses, and 3 draws.\It's 29 wins, 24 losses, and 2 draws.\But I'm not giving up on Saito.\You're still...\Yes. I don't want to regret anything.\Regret?\In this day and age, response:	you never know when a lord may lose his life.
context: Now it's 27 wins, 25 losses, and 3 draws.\It's 29 wins, 24 losses, and 2 draws.\But I'm not giving up on Saito.\You're still...\Yes. I don't want to regret anything.\Regret?\In this day and age,\you never know when a lord may lose his life. response:	Just the other day in Romalia,
context: It's 29 wins, 24 losses, and 2 draws.\But I'm not giving up on Saito.\You're still...\Yes. I don't want to regret anything.\Regret?\In this day and age,\you never know when a lord may lose his life.\Just the other day in Romalia, response:	both you and Saito were on the edge of life and death.
context: But I'm not giving up on Saito.\You're still...\Yes. I don't want to regret anything.\Regret?\In this day and age,\you never know when a lord may lose his life.\Just the other day in Romalia,\both you and Saito were on the edge of life and death. response:	That's why I don't want to lie to
context: You're still...\Yes. I don't want to regret anything.\Regret?\In this day and age,\you never know when a lord may lose his life.\Just the other day in Romalia,\both you and Saito were on the edge of life and death.\That's why I don't want to lie to response:	myself about my feelings any longer.
context: Yes. I don't want to regret anything.\Regret?\In this day and age,\you never know when a lord may lose his life.\Just the other day in Romalia,\both you and Saito were on the edge of life and death.\That's why I don't want to lie to\myself about my feelings any longer. response:	Your Majesty...
context: Regret?\In this day and age,\you never know when a lord may lose his life.\Just the other day in Romalia,\both you and Saito were on the edge of life and death.\That's why I don't want to lie to\myself about my feelings any longer.\Your Majesty... response:	This felt like when we were kids. I had fun,
context: In this day and age,\you never know when a lord may lose his life.\Just the other day in Romalia,\both you and Saito were on the edge of life and death.\That's why I don't want to lie to\myself about my feelings any longer.\Your Majesty...\This felt like when we were kids. I had fun, response:	Louise.
context: you never know when a lord may lose his life.\Just the other day in Romalia,\both you and Saito were on the edge of life and death.\That's why I don't want to lie to\myself about my feelings any longer.\Your Majesty...\This felt like when we were kids. I had fun,\Louise. response:	I'm also glad I was able to talk to you.
context: Just the other day in Romalia,\both you and Saito were on the edge of life and death.\That's why I don't want to lie to\myself about my feelings any longer.\Your Majesty...\This felt like when we were kids. I had fun,\Louise.\I'm also glad I was able to talk to you. response:	The queen is here?!
context: both you and Saito were on the edge of life and death.\That's why I don't want to lie to\myself about my feelings any longer.\Your Majesty...\This felt like when we were kids. I had fun,\Louise.\I'm also glad I was able to talk to you.\The queen is here?! response:	Apparently she came here in secret.
context: That's why I don't want to lie to\myself about my feelings any longer.\Your Majesty...\This felt like when we were kids. I had fun,\Louise.\I'm also glad I was able to talk to you.\The queen is here?!\Apparently she came here in secret. response:	She called for you.
context: myself about my feelings any longer.\Your Majesty...\This felt like when we were kids. I had fun,\Louise.\I'm also glad I was able to talk to you.\The queen is here?!\Apparently she came here in secret.\She called for you. response:	I see. Thanks, Siesta.
context: Your Majesty...\This felt like when we were kids. I had fun,\Louise.\I'm also glad I was able to talk to you.\The queen is here?!\Apparently she came here in secret.\She called for you.\I see. Thanks, Siesta. response:	Saito, I'm sorry for calling you out here.
context: This felt like when we were kids. I had fun,\Louise.\I'm also glad I was able to talk to you.\The queen is here?!\Apparently she came here in secret.\She called for you.\I see. Thanks, Siesta.\Saito, I'm sorry for calling you out here. response:	It's no problem. I actually wanted to talk to you.
context: Louise.\I'm also glad I was able to talk to you.\The queen is here?!\Apparently she came here in secret.\She called for you.\I see. Thanks, Siesta.\Saito, I'm sorry for calling you out here.\It's no problem. I actually wanted to talk to you. response:	To me?
context: I'm also glad I was able to talk to you.\The queen is here?!\Apparently she came here in secret.\She called for you.\I see. Thanks, Siesta.\Saito, I'm sorry for calling you out here.\It's no problem. I actually wanted to talk to you.\To me? response:	Yes.
context: The queen is here?!\Apparently she came here in secret.\She called for you.\I see. Thanks, Siesta.\Saito, I'm sorry for calling you out here.\It's no problem. I actually wanted to talk to you.\To me?\Yes. response:	Everything that happened recently is my fault.
context: Apparently she came here in secret.\She called for you.\I see. Thanks, Siesta.\Saito, I'm sorry for calling you out here.\It's no problem. I actually wanted to talk to you.\To me?\Yes.\Everything that happened recently is my fault. response:	I'm sorry.
context: She called for you.\I see. Thanks, Siesta.\Saito, I'm sorry for calling you out here.\It's no problem. I actually wanted to talk to you.\To me?\Yes.\Everything that happened recently is my fault.\I'm sorry. response:	When I was still living in my world,
context: I see. Thanks, Siesta.\Saito, I'm sorry for calling you out here.\It's no problem. I actually wanted to talk to you.\To me?\Yes.\Everything that happened recently is my fault.\I'm sorry.\When I was still living in my world, response:	I was living a really careless life.
context: Saito, I'm sorry for calling you out here.\It's no problem. I actually wanted to talk to you.\To me?\Yes.\Everything that happened recently is my fault.\I'm sorry.\When I was still living in my world,\I was living a really careless life. response:	I never got involved in anything, and just lived day to day.
context: It's no problem. I actually wanted to talk to you.\To me?\Yes.\Everything that happened recently is my fault.\I'm sorry.\When I was still living in my world,\I was living a really careless life.\I never got involved in anything, and just lived day to day. response:	I thought that's how you somehow become an adult.
context: To me?\Yes.\Everything that happened recently is my fault.\I'm sorry.\When I was still living in my world,\I was living a really careless life.\I never got involved in anything, and just lived day to day.\I thought that's how you somehow become an adult. response:	I thought that was good enough.
context: Yes.\Everything that happened recently is my fault.\I'm sorry.\When I was still living in my world,\I was living a really careless life.\I never got involved in anything, and just lived day to day.\I thought that's how you somehow become an adult.\I thought that was good enough. response:	But when I came here, I finally understood what I'm here for.
context: Everything that happened recently is my fault.\I'm sorry.\When I was still living in my world,\I was living a really careless life.\I never got involved in anything, and just lived day to day.\I thought that's how you somehow become an adult.\I thought that was good enough.\But when I came here, I finally understood what I'm here for. response:	Louise...
context: I'm sorry.\When I was still living in my world,\I was living a really careless life.\I never got involved in anything, and just lived day to day.\I thought that's how you somehow become an adult.\I thought that was good enough.\But when I came here, I finally understood what I'm here for.\Louise... response:	Yes.
context: When I was still living in my world,\I was living a really careless life.\I never got involved in anything, and just lived day to day.\I thought that's how you somehow become an adult.\I thought that was good enough.\But when I came here, I finally understood what I'm here for.\Louise...\Yes. response:	I realized, when she was gone,
