context: It's here! response:	It's here! Here! Here! Here! Here!
context: He's overpowering Izuru...\Officer... Ange...?\You were great.\It's reassuring to know that we have a pilot like\you on the team.\Honestly, I was dropping by your room to invite\you to a welcoming party.\If you like- response:	I don't need a welcoming party.
context: Officer... Ange...?\You were great.\It's reassuring to know that we have a pilot like\you on the team.\Honestly, I was dropping by your room to invite\you to a welcoming party.\If you like-\I don't need a welcoming party. response:	I was born to fight.
context: You were great.\It's reassuring to know that we have a pilot like\you on the team.\Honestly, I was dropping by your room to invite\you to a welcoming party.\If you like-\I don't need a welcoming party.\I was born to fight. response:	Aside from fighting, I don't need anything.
context: It's reassuring to know that we have a pilot like\you on the team.\Honestly, I was dropping by your room to invite\you to a welcoming party.\If you like-\I don't need a welcoming party.\I was born to fight.\Aside from fighting, I don't need anything. response:	Ummm...?
context: you on the team.\Honestly, I was dropping by your room to invite\you to a welcoming party.\If you like-\I don't need a welcoming party.\I was born to fight.\Aside from fighting, I don't need anything.\Ummm...? response:	Move.
context: Honestly, I was dropping by your room to invite\you to a welcoming party.\If you like-\I don't need a welcoming party.\I was born to fight.\Aside from fighting, I don't need anything.\Ummm...?\Move. response:	What is that?
context: you to a welcoming party.\If you like-\I don't need a welcoming party.\I was born to fight.\Aside from fighting, I don't need anything.\Ummm...?\Move.\What is that? response:	I was hoping a new pair of eyes could look over it...
context: If you like-\I don't need a welcoming party.\I was born to fight.\Aside from fighting, I don't need anything.\Ummm...?\Move.\What is that?\I was hoping a new pair of eyes could look over it... response:	Your theme is stale and your story lacks excitement.
context: I don't need a welcoming party.\I was born to fight.\Aside from fighting, I don't need anything.\Ummm...?\Move.\What is that?\I was hoping a new pair of eyes could look over it...\Your theme is stale and your story lacks excitement. response:	Your panels are poorly blocked and the designs are a mess.
context: I was born to fight.\Aside from fighting, I don't need anything.\Ummm...?\Move.\What is that?\I was hoping a new pair of eyes could look over it...\Your theme is stale and your story lacks excitement.\Your panels are poorly blocked and the designs are a mess. response:	Bluntly put, it sucks.
context: Aside from fighting, I don't need anything.\Ummm...?\Move.\What is that?\I was hoping a new pair of eyes could look over it...\Your theme is stale and your story lacks excitement.\Your panels are poorly blocked and the designs are a mess.\Bluntly put, it sucks. response:	It's just like you.
context: Ummm...?\Move.\What is that?\I was hoping a new pair of eyes could look over it...\Your theme is stale and your story lacks excitement.\Your panels are poorly blocked and the designs are a mess.\Bluntly put, it sucks.\It's just like you. response:	What was that battle today?
context: Move.\What is that?\I was hoping a new pair of eyes could look over it...\Your theme is stale and your story lacks excitement.\Your panels are poorly blocked and the designs are a mess.\Bluntly put, it sucks.\It's just like you.\What was that battle today? response:	It was pathetic!
context: What is that?\I was hoping a new pair of eyes could look over it...\Your theme is stale and your story lacks excitement.\Your panels are poorly blocked and the designs are a mess.\Bluntly put, it sucks.\It's just like you.\What was that battle today?\It was pathetic! response:	Stop right there!
context: I was hoping a new pair of eyes could look over it...\Your theme is stale and your story lacks excitement.\Your panels are poorly blocked and the designs are a mess.\Bluntly put, it sucks.\It's just like you.\What was that battle today?\It was pathetic!\Stop right there! response:	How dare you!
context: Your theme is stale and your story lacks excitement.\Your panels are poorly blocked and the designs are a mess.\Bluntly put, it sucks.\It's just like you.\What was that battle today?\It was pathetic!\Stop right there!\How dare you! response:	Wh-what was I doing...?
context: Your panels are poorly blocked and the designs are a mess.\Bluntly put, it sucks.\It's just like you.\What was that battle today?\It was pathetic!\Stop right there!\How dare you!\Wh-what was I doing...? response:	I'm sorry!
context: Bluntly put, it sucks.\It's just like you.\What was that battle today?\It was pathetic!\Stop right there!\How dare you!\Wh-what was I doing...?\I'm sorry! response:	Officer Ange, we're holding a welcoming part in the mess hall!
context: It's just like you.\What was that battle today?\It was pathetic!\Stop right there!\How dare you!\Wh-what was I doing...?\I'm sorry!\Officer Ange, we're holding a welcoming part in the mess hall! response:	I'm the one who should apologize...
context: What was that battle today?\It was pathetic!\Stop right there!\How dare you!\Wh-what was I doing...?\I'm sorry!\Officer Ange, we're holding a welcoming part in the mess hall!\I'm the one who should apologize... response:	Thank you, Kei.
context: It was pathetic!\Stop right there!\How dare you!\Wh-what was I doing...?\I'm sorry!\Officer Ange, we're holding a welcoming part in the mess hall!\I'm the one who should apologize...\Thank you, Kei. response:	Did you actually invite him?
context: Stop right there!\How dare you!\Wh-what was I doing...?\I'm sorry!\Officer Ange, we're holding a welcoming part in the mess hall!\I'm the one who should apologize...\Thank you, Kei.\Did you actually invite him? response:	It wasn't much of an invitation...
context: How dare you!\Wh-what was I doing...?\I'm sorry!\Officer Ange, we're holding a welcoming part in the mess hall!\I'm the one who should apologize...\Thank you, Kei.\Did you actually invite him?\It wasn't much of an invitation... response:	Maybe she's really shy...
context: Wh-what was I doing...?\I'm sorry!\Officer Ange, we're holding a welcoming part in the mess hall!\I'm the one who should apologize...\Thank you, Kei.\Did you actually invite him?\It wasn't much of an invitation...\Maybe she's really shy... response:	Ange must be the super shy type.
context: I'm sorry!\Officer Ange, we're holding a welcoming part in the mess hall!\I'm the one who should apologize...\Thank you, Kei.\Did you actually invite him?\It wasn't much of an invitation...\Maybe she's really shy...\Ange must be the super shy type. response:	Should I go fetch Ange?
context: Officer Ange, we're holding a welcoming part in the mess hall!\I'm the one who should apologize...\Thank you, Kei.\Did you actually invite him?\It wasn't much of an invitation...\Maybe she's really shy...\Ange must be the super shy type.\Should I go fetch Ange? response:	This might conflict with his schedule or something...
context: I'm the one who should apologize...\Thank you, Kei.\Did you actually invite him?\It wasn't much of an invitation...\Maybe she's really shy...\Ange must be the super shy type.\Should I go fetch Ange?\This might conflict with his schedule or something... response:	Going by this, do you think we're going to work well together?
context: Thank you, Kei.\Did you actually invite him?\It wasn't much of an invitation...\Maybe she's really shy...\Ange must be the super shy type.\Should I go fetch Ange?\This might conflict with his schedule or something...\Going by this, do you think we're going to work well together? response:	After the Battle of Ceres,
context: Did you actually invite him?\It wasn't much of an invitation...\Maybe she's really shy...\Ange must be the super shy type.\Should I go fetch Ange?\This might conflict with his schedule or something...\Going by this, do you think we're going to work well together?\After the Battle of Ceres, response:	the Wulgaru have been going around destroying our bases
context: It wasn't much of an invitation...\Maybe she's really shy...\Ange must be the super shy type.\Should I go fetch Ange?\This might conflict with his schedule or something...\Going by this, do you think we're going to work well together?\After the Battle of Ceres,\the Wulgaru have been going around destroying our bases response:	on 2493 Elmer and 1272 Gefion.
context: Maybe she's really shy...\Ange must be the super shy type.\Should I go fetch Ange?\This might conflict with his schedule or something...\Going by this, do you think we're going to work well together?\After the Battle of Ceres,\the Wulgaru have been going around destroying our bases\on 2493 Elmer and 1272 Gefion. response:	We expect them to strike 4 Vesta next.
context: Ange must be the super shy type.\Should I go fetch Ange?\This might conflict with his schedule or something...\Going by this, do you think we're going to work well together?\After the Battle of Ceres,\the Wulgaru have been going around destroying our bases\on 2493 Elmer and 1272 Gefion.\We expect them to strike 4 Vesta next. response:	We have a supply base located there.
context: Should I go fetch Ange?\This might conflict with his schedule or something...\Going by this, do you think we're going to work well together?\After the Battle of Ceres,\the Wulgaru have been going around destroying our bases\on 2493 Elmer and 1272 Gefion.\We expect them to strike 4 Vesta next.\We have a supply base located there. response:	It would appear that a Wulgaru reconnaissance
context: This might conflict with his schedule or something...\Going by this, do you think we're going to work well together?\After the Battle of Ceres,\the Wulgaru have been going around destroying our bases\on 2493 Elmer and 1272 Gefion.\We expect them to strike 4 Vesta next.\We have a supply base located there.\It would appear that a Wulgaru reconnaissance response:	unit has already located the base.
context: Going by this, do you think we're going to work well together?\After the Battle of Ceres,\the Wulgaru have been going around destroying our bases\on 2493 Elmer and 1272 Gefion.\We expect them to strike 4 Vesta next.\We have a supply base located there.\It would appear that a Wulgaru reconnaissance\unit has already located the base. response:	This is where the GDF has been extracting Helium-3 and water.
context: After the Battle of Ceres,\the Wulgaru have been going around destroying our bases\on 2493 Elmer and 1272 Gefion.\We expect them to strike 4 Vesta next.\We have a supply base located there.\It would appear that a Wulgaru reconnaissance\unit has already located the base.\This is where the GDF has been extracting Helium-3 and water. response:	We will suffer a tremendous loss if we lose this base.
context: the Wulgaru have been going around destroying our bases\on 2493 Elmer and 1272 Gefion.\We expect them to strike 4 Vesta next.\We have a supply base located there.\It would appear that a Wulgaru reconnaissance\unit has already located the base.\This is where the GDF has been extracting Helium-3 and water.\We will suffer a tremendous loss if we lose this base. response:	We must defend it at all cost!
context: on 2493 Elmer and 1272 Gefion.\We expect them to strike 4 Vesta next.\We have a supply base located there.\It would appear that a Wulgaru reconnaissance\unit has already located the base.\This is where the GDF has been extracting Helium-3 and water.\We will suffer a tremendous loss if we lose this base.\We must defend it at all cost! response:	Increasing backup engine's output.
context: We expect them to strike 4 Vesta next.\We have a supply base located there.\It would appear that a Wulgaru reconnaissance\unit has already located the base.\This is where the GDF has been extracting Helium-3 and water.\We will suffer a tremendous loss if we lose this base.\We must defend it at all cost!\Increasing backup engine's output. response:	Activating the turbine's activation sequence.
context: We have a supply base located there.\It would appear that a Wulgaru reconnaissance\unit has already located the base.\This is where the GDF has been extracting Helium-3 and water.\We will suffer a tremendous loss if we lose this base.\We must defend it at all cost!\Increasing backup engine's output.\Activating the turbine's activation sequence. response:	Disconnect all equipment.
context: It would appear that a Wulgaru reconnaissance\unit has already located the base.\This is where the GDF has been extracting Helium-3 and water.\We will suffer a tremendous loss if we lose this base.\We must defend it at all cost!\Increasing backup engine's output.\Activating the turbine's activation sequence.\Disconnect all equipment. response:	All hatches are closed.
context: unit has already located the base.\This is where the GDF has been extracting Helium-3 and water.\We will suffer a tremendous loss if we lose this base.\We must defend it at all cost!\Increasing backup engine's output.\Activating the turbine's activation sequence.\Disconnect all equipment.\All hatches are closed. response:	External power has been established.
context: This is where the GDF has been extracting Helium-3 and water.\We will suffer a tremendous loss if we lose this base.\We must defend it at all cost!\Increasing backup engine's output.\Activating the turbine's activation sequence.\Disconnect all equipment.\All hatches are closed.\External power has been established. response:	APU activated.
context: We will suffer a tremendous loss if we lose this base.\We must defend it at all cost!\Increasing backup engine's output.\Activating the turbine's activation sequence.\Disconnect all equipment.\All hatches are closed.\External power has been established.\APU activated. response:	External pressure increasing.
context: We must defend it at all cost!\Increasing backup engine's output.\Activating the turbine's activation sequence.\Disconnect all equipment.\All hatches are closed.\External power has been established.\APU activated.\External pressure increasing. response:	Main engine, military!
context: Increasing backup engine's output.\Activating the turbine's activation sequence.\Disconnect all equipment.\All hatches are closed.\External power has been established.\APU activated.\External pressure increasing.\Main engine, military! response:	Blast off!
context: Activating the turbine's activation sequence.\Disconnect all equipment.\All hatches are closed.\External power has been established.\APU activated.\External pressure increasing.\Main engine, military!\Blast off! response:	Not another mission.
context: Disconnect all equipment.\All hatches are closed.\External power has been established.\APU activated.\External pressure increasing.\Main engine, military!\Blast off!\Not another mission. response:	Where are we headed this time?
context: All hatches are closed.\External power has been established.\APU activated.\External pressure increasing.\Main engine, military!\Blast off!\Not another mission.\Where are we headed this time? response:	Now that your team is stronger than ever,
context: External power has been established.\APU activated.\External pressure increasing.\Main engine, military!\Blast off!\Not another mission.\Where are we headed this time?\Now that your team is stronger than ever, response:	I am sending you on a new mission.
context: APU activated.\External pressure increasing.\Main engine, military!\Blast off!\Not another mission.\Where are we headed this time?\Now that your team is stronger than ever,\I am sending you on a new mission. response:	Commence Operation: Iouto!
context: External pressure increasing.\Main engine, military!\Blast off!\Not another mission.\Where are we headed this time?\Now that your team is stronger than ever,\I am sending you on a new mission.\Commence Operation: Iouto! response:	Godinion, enter Combat Formation I.
context: Main engine, military!\Blast off!\Not another mission.\Where are we headed this time?\Now that your team is stronger than ever,\I am sending you on a new mission.\Commence Operation: Iouto!\Godinion, enter Combat Formation I. response:	Main control: Move CIC.
context: Blast off!\Not another mission.\Where are we headed this time?\Now that your team is stronger than ever,\I am sending you on a new mission.\Commence Operation: Iouto!\Godinion, enter Combat Formation I.\Main control: Move CIC. response:	Navi bridge: Closed.
context: Not another mission.\Where are we headed this time?\Now that your team is stronger than ever,\I am sending you on a new mission.\Commence Operation: Iouto!\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed. response:	Bulkhead: Locked.
context: Where are we headed this time?\Now that your team is stronger than ever,\I am sending you on a new mission.\Commence Operation: Iouto!\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked. response:	Whole control room: Move complete.
context: Now that your team is stronger than ever,\I am sending you on a new mission.\Commence Operation: Iouto!\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete. response:	Completed.
context: I am sending you on a new mission.\Commence Operation: Iouto!\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed. response:	We get to see the new AHSMB in actual combat...
context: Commence Operation: Iouto!\Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\We get to see the new AHSMB in actual combat... response:	Think it'll be okay without its own specialized crew?
context: Godinion, enter Combat Formation I.\Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\We get to see the new AHSMB in actual combat...\Think it'll be okay without its own specialized crew? response:	It's automatized, so it doesn't need the likes of us.
context: Main control: Move CIC.\Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\We get to see the new AHSMB in actual combat...\Think it'll be okay without its own specialized crew?\It's automatized, so it doesn't need the likes of us. response:	Don't make me depressed!
context: Navi bridge: Closed.\Bulkhead: Locked.\Whole control room: Move complete.\Completed.\We get to see the new AHSMB in actual combat...\Think it'll be okay without its own specialized crew?\It's automatized, so it doesn't need the likes of us.\Don't make me depressed! response:	Pick up the pace, primitive creatures!
context: Bulkhead: Locked.\Whole control room: Move complete.\Completed.\We get to see the new AHSMB in actual combat...\Think it'll be okay without its own specialized crew?\It's automatized, so it doesn't need the likes of us.\Don't make me depressed!\Pick up the pace, primitive creatures! response:	How is attacking my dust cloud gonna save your butts, slowpokes?
context: Whole control room: Move complete.\Completed.\We get to see the new AHSMB in actual combat...\Think it'll be okay without its own specialized crew?\It's automatized, so it doesn't need the likes of us.\Don't make me depressed!\Pick up the pace, primitive creatures!\How is attacking my dust cloud gonna save your butts, slowpokes? response:	What is it?
context: Completed.\We get to see the new AHSMB in actual combat...\Think it'll be okay without its own specialized crew?\It's automatized, so it doesn't need the likes of us.\Don't make me depressed!\Pick up the pace, primitive creatures!\How is attacking my dust cloud gonna save your butts, slowpokes?\What is it? response:	Legatus Klein, it would appear that those units are headed our way.
context: We get to see the new AHSMB in actual combat...\Think it'll be okay without its own specialized crew?\It's automatized, so it doesn't need the likes of us.\Don't make me depressed!\Pick up the pace, primitive creatures!\How is attacking my dust cloud gonna save your butts, slowpokes?\What is it?\Legatus Klein, it would appear that those units are headed our way. response:	Yeah? Cool!
context: Think it'll be okay without its own specialized crew?\It's automatized, so it doesn't need the likes of us.\Don't make me depressed!\Pick up the pace, primitive creatures!\How is attacking my dust cloud gonna save your butts, slowpokes?\What is it?\Legatus Klein, it would appear that those units are headed our way.\Yeah? Cool! response:	We'll break off the assault on the base and prepare an ambush!
context: It's automatized, so it doesn't need the likes of us.\Don't make me depressed!\Pick up the pace, primitive creatures!\How is attacking my dust cloud gonna save your butts, slowpokes?\What is it?\Legatus Klein, it would appear that those units are headed our way.\Yeah? Cool!\We'll break off the assault on the base and prepare an ambush! response:	Sulfur is emitted around the Vesta Base, creating poor visibility.
context: Don't make me depressed!\Pick up the pace, primitive creatures!\How is attacking my dust cloud gonna save your butts, slowpokes?\What is it?\Legatus Klein, it would appear that those units are headed our way.\Yeah? Cool!\We'll break off the assault on the base and prepare an ambush!\Sulfur is emitted around the Vesta Base, creating poor visibility. response:	Furthermore, it would appear that there are also some sulfur geysers.
context: Pick up the pace, primitive creatures!\How is attacking my dust cloud gonna save your butts, slowpokes?\What is it?\Legatus Klein, it would appear that those units are headed our way.\Yeah? Cool!\We'll break off the assault on the base and prepare an ambush!\Sulfur is emitted around the Vesta Base, creating poor visibility.\Furthermore, it would appear that there are also some sulfur geysers. response:	Bear that in mind when on the move.
context: How is attacking my dust cloud gonna save your butts, slowpokes?\What is it?\Legatus Klein, it would appear that those units are headed our way.\Yeah? Cool!\We'll break off the assault on the base and prepare an ambush!\Sulfur is emitted around the Vesta Base, creating poor visibility.\Furthermore, it would appear that there are also some sulfur geysers.\Bear that in mind when on the move. response:	The enemy strikes in swift, tight formations.
context: What is it?\Legatus Klein, it would appear that those units are headed our way.\Yeah? Cool!\We'll break off the assault on the base and prepare an ambush!\Sulfur is emitted around the Vesta Base, creating poor visibility.\Furthermore, it would appear that there are also some sulfur geysers.\Bear that in mind when on the move.\The enemy strikes in swift, tight formations. response:	First, focus on breaking their formation.
context: Legatus Klein, it would appear that those units are headed our way.\Yeah? Cool!\We'll break off the assault on the base and prepare an ambush!\Sulfur is emitted around the Vesta Base, creating poor visibility.\Furthermore, it would appear that there are also some sulfur geysers.\Bear that in mind when on the move.\The enemy strikes in swift, tight formations.\First, focus on breaking their formation. response:	Rose 3, that's your job.
context: Yeah? Cool!\We'll break off the assault on the base and prepare an ambush!\Sulfur is emitted around the Vesta Base, creating poor visibility.\Furthermore, it would appear that there are also some sulfur geysers.\Bear that in mind when on the move.\The enemy strikes in swift, tight formations.\First, focus on breaking their formation.\Rose 3, that's your job. response:	Got it!
context: We'll break off the assault on the base and prepare an ambush!\Sulfur is emitted around the Vesta Base, creating poor visibility.\Furthermore, it would appear that there are also some sulfur geysers.\Bear that in mind when on the move.\The enemy strikes in swift, tight formations.\First, focus on breaking their formation.\Rose 3, that's your job.\Got it! response:	Purple 2, ascertain the enemies' movements and report them
context: Sulfur is emitted around the Vesta Base, creating poor visibility.\Furthermore, it would appear that there are also some sulfur geysers.\Bear that in mind when on the move.\The enemy strikes in swift, tight formations.\First, focus on breaking their formation.\Rose 3, that's your job.\Got it!\Purple 2, ascertain the enemies' movements and report them response:	to the rest of the team.
context: Furthermore, it would appear that there are also some sulfur geysers.\Bear that in mind when on the move.\The enemy strikes in swift, tight formations.\First, focus on breaking their formation.\Rose 3, that's your job.\Got it!\Purple 2, ascertain the enemies' movements and report them\to the rest of the team. response:	Yes, Ma'am!
context: Bear that in mind when on the move.\The enemy strikes in swift, tight formations.\First, focus on breaking their formation.\Rose 3, that's your job.\Got it!\Purple 2, ascertain the enemies' movements and report them\to the rest of the team.\Yes, Ma'am! response:	Once Rose 3 charges in, Blue 1, Red 5
context: The enemy strikes in swift, tight formations.\First, focus on breaking their formation.\Rose 3, that's your job.\Got it!\Purple 2, ascertain the enemies' movements and report them\to the rest of the team.\Yes, Ma'am!\Once Rose 3 charges in, Blue 1, Red 5 response:	and Black 6 are to attack from different directions.
context: First, focus on breaking their formation.\Rose 3, that's your job.\Got it!\Purple 2, ascertain the enemies' movements and report them\to the rest of the team.\Yes, Ma'am!\Once Rose 3 charges in, Blue 1, Red 5\and Black 6 are to attack from different directions. response:	Red 5 will issue the orders. Understood?
context: Rose 3, that's your job.\Got it!\Purple 2, ascertain the enemies' movements and report them\to the rest of the team.\Yes, Ma'am!\Once Rose 3 charges in, Blue 1, Red 5\and Black 6 are to attack from different directions.\Red 5 will issue the orders. Understood? response:	Roger! Yes, Ma'am!
context: Got it!\Purple 2, ascertain the enemies' movements and report them\to the rest of the team.\Yes, Ma'am!\Once Rose 3 charges in, Blue 1, Red 5\and Black 6 are to attack from different directions.\Red 5 will issue the orders. Understood?\Roger! Yes, Ma'am! response:	Hey, Officer Ange? Are you okay?
context: Purple 2, ascertain the enemies' movements and report them\to the rest of the team.\Yes, Ma'am!\Once Rose 3 charges in, Blue 1, Red 5\and Black 6 are to attack from different directions.\Red 5 will issue the orders. Understood?\Roger! Yes, Ma'am!\Hey, Officer Ange? Are you okay? response:	Uh, yeah...
context: to the rest of the team.\Yes, Ma'am!\Once Rose 3 charges in, Blue 1, Red 5\and Black 6 are to attack from different directions.\Red 5 will issue the orders. Understood?\Roger! Yes, Ma'am!\Hey, Officer Ange? Are you okay?\Uh, yeah... response:	All units will reach 4 Vesta in 180 seconds.
context: Yes, Ma'am!\Once Rose 3 charges in, Blue 1, Red 5\and Black 6 are to attack from different directions.\Red 5 will issue the orders. Understood?\Roger! Yes, Ma'am!\Hey, Officer Ange? Are you okay?\Uh, yeah...\All units will reach 4 Vesta in 180 seconds. response:	I can't see the Wulgaru's enemy fighters...
context: Once Rose 3 charges in, Blue 1, Red 5\and Black 6 are to attack from different directions.\Red 5 will issue the orders. Understood?\Roger! Yes, Ma'am!\Hey, Officer Ange? Are you okay?\Uh, yeah...\All units will reach 4 Vesta in 180 seconds.\I can't see the Wulgaru's enemy fighters... response:	Where on Earth did they go?
context: and Black 6 are to attack from different directions.\Red 5 will issue the orders. Understood?\Roger! Yes, Ma'am!\Hey, Officer Ange? Are you okay?\Uh, yeah...\All units will reach 4 Vesta in 180 seconds.\I can't see the Wulgaru's enemy fighters...\Where on Earth did they go? response:	Is the sulfur jamming our sensors?
context: Red 5 will issue the orders. Understood?\Roger! Yes, Ma'am!\Hey, Officer Ange? Are you okay?\Uh, yeah...\All units will reach 4 Vesta in 180 seconds.\I can't see the Wulgaru's enemy fighters...\Where on Earth did they go?\Is the sulfur jamming our sensors? response:	Should I increase their sensitivity?
context: Roger! Yes, Ma'am!\Hey, Officer Ange? Are you okay?\Uh, yeah...\All units will reach 4 Vesta in 180 seconds.\I can't see the Wulgaru's enemy fighters...\Where on Earth did they go?\Is the sulfur jamming our sensors?\Should I increase their sensitivity? response:	Purple 2, can you sense them?
context: Hey, Officer Ange? Are you okay?\Uh, yeah...\All units will reach 4 Vesta in 180 seconds.\I can't see the Wulgaru's enemy fighters...\Where on Earth did they go?\Is the sulfur jamming our sensors?\Should I increase their sensitivity?\Purple 2, can you sense them? response:	I'll try.
context: Uh, yeah...\All units will reach 4 Vesta in 180 seconds.\I can't see the Wulgaru's enemy fighters...\Where on Earth did they go?\Is the sulfur jamming our sensors?\Should I increase their sensitivity?\Purple 2, can you sense them?\I'll try. response:	I knew it...
context: All units will reach 4 Vesta in 180 seconds.\I can't see the Wulgaru's enemy fighters...\Where on Earth did they go?\Is the sulfur jamming our sensors?\Should I increase their sensitivity?\Purple 2, can you sense them?\I'll try.\I knew it... response:	They're here.
context: I can't see the Wulgaru's enemy fighters...\Where on Earth did they go?\Is the sulfur jamming our sensors?\Should I increase their sensitivity?\Purple 2, can you sense them?\I'll try.\I knew it...\They're here. response:	But where?!
context: Where on Earth did they go?\Is the sulfur jamming our sensors?\Should I increase their sensitivity?\Purple 2, can you sense them?\I'll try.\I knew it...\They're here.\But where?! response:	I can't see a thing through this sulfur!
context: Is the sulfur jamming our sensors?\Should I increase their sensitivity?\Purple 2, can you sense them?\I'll try.\I knew it...\They're here.\But where?!\I can't see a thing through this sulfur! response:	Asagi's AHSMB reacted before he did!
context: Should I increase their sensitivity?\Purple 2, can you sense them?\I'll try.\I knew it...\They're here.\But where?!\I can't see a thing through this sulfur!\Asagi's AHSMB reacted before he did! response:	Its evasive skills are still on a league of its own, huh?
context: Purple 2, can you sense them?\I'll try.\I knew it...\They're here.\But where?!\I can't see a thing through this sulfur!\Asagi's AHSMB reacted before he did!\Its evasive skills are still on a league of its own, huh? response:	Do you think Ange'll be okay?
context: I'll try.\I knew it...\They're here.\But where?!\I can't see a thing through this sulfur!\Asagi's AHSMB reacted before he did!\Its evasive skills are still on a league of its own, huh?\Do you think Ange'll be okay? response:	This is his first real battle...
context: I knew it...\They're here.\But where?!\I can't see a thing through this sulfur!\Asagi's AHSMB reacted before he did!\Its evasive skills are still on a league of its own, huh?\Do you think Ange'll be okay?\This is his first real battle... response:	You'll be fine, Officer Ange! Just keep calm.
context: They're here.\But where?!\I can't see a thing through this sulfur!\Asagi's AHSMB reacted before he did!\Its evasive skills are still on a league of its own, huh?\Do you think Ange'll be okay?\This is his first real battle...\You'll be fine, Officer Ange! Just keep calm. response:	Uh, right...
context: But where?!\I can't see a thing through this sulfur!\Asagi's AHSMB reacted before he did!\Its evasive skills are still on a league of its own, huh?\Do you think Ange'll be okay?\This is his first real battle...\You'll be fine, Officer Ange! Just keep calm.\Uh, right... response:	Where'd the enemy go?
context: I can't see a thing through this sulfur!\Asagi's AHSMB reacted before he did!\Its evasive skills are still on a league of its own, huh?\Do you think Ange'll be okay?\This is his first real battle...\You'll be fine, Officer Ange! Just keep calm.\Uh, right...\Where'd the enemy go? response:	It's so quiet. I don't like it.
context: Asagi's AHSMB reacted before he did!\Its evasive skills are still on a league of its own, huh?\Do you think Ange'll be okay?\This is his first real battle...\You'll be fine, Officer Ange! Just keep calm.\Uh, right...\Where'd the enemy go?\It's so quiet. I don't like it. response:	Kei, find them yet?
context: Its evasive skills are still on a league of its own, huh?\Do you think Ange'll be okay?\This is his first real battle...\You'll be fine, Officer Ange! Just keep calm.\Uh, right...\Where'd the enemy go?\It's so quiet. I don't like it.\Kei, find them yet? response:	Wait.
context: Do you think Ange'll be okay?\This is his first real battle...\You'll be fine, Officer Ange! Just keep calm.\Uh, right...\Where'd the enemy go?\It's so quiet. I don't like it.\Kei, find them yet?\Wait. response:	Over to your three o'clock!
context: This is his first real battle...\You'll be fine, Officer Ange! Just keep calm.\Uh, right...\Where'd the enemy go?\It's so quiet. I don't like it.\Kei, find them yet?\Wait.\Over to your three o'clock! response:	Then I'm off!
context: You'll be fine, Officer Ange! Just keep calm.\Uh, right...\Where'd the enemy go?\It's so quiet. I don't like it.\Kei, find them yet?\Wait.\Over to your three o'clock!\Then I'm off! response:	Wait! There isn't much noise out that way!
context: Uh, right...\Where'd the enemy go?\It's so quiet. I don't like it.\Kei, find them yet?\Wait.\Over to your three o'clock!\Then I'm off!\Wait! There isn't much noise out that way! response:	The main unit is-!
context: Where'd the enemy go?\It's so quiet. I don't like it.\Kei, find them yet?\Wait.\Over to your three o'clock!\Then I'm off!\Wait! There isn't much noise out that way!\The main unit is-! response:	To our right!
context: It's so quiet. I don't like it.\Kei, find them yet?\Wait.\Over to your three o'clock!\Then I'm off!\Wait! There isn't much noise out that way!\The main unit is-!\To our right! response:	This was a decoy?!
context: Kei, find them yet?\Wait.\Over to your three o'clock!\Then I'm off!\Wait! There isn't much noise out that way!\The main unit is-!\To our right!\This was a decoy?! response:	Wulgaru formation in the 10 o'clock direction.
context: Wait.\Over to your three o'clock!\Then I'm off!\Wait! There isn't much noise out that way!\The main unit is-!\To our right!\This was a decoy?!\Wulgaru formation in the 10 o'clock direction. response:	Several fighters are approaching!
context: Over to your three o'clock!\Then I'm off!\Wait! There isn't much noise out that way!\The main unit is-!\To our right!\This was a decoy?!\Wulgaru formation in the 10 o'clock direction.\Several fighters are approaching! response:	I'll pick off that one first!
context: Then I'm off!\Wait! There isn't much noise out that way!\The main unit is-!\To our right!\This was a decoy?!\Wulgaru formation in the 10 o'clock direction.\Several fighters are approaching!\I'll pick off that one first! response:	Red 5 and Blue 1, offer Purple 2 support!
context: Wait! There isn't much noise out that way!\The main unit is-!\To our right!\This was a decoy?!\Wulgaru formation in the 10 o'clock direction.\Several fighters are approaching!\I'll pick off that one first!\Red 5 and Blue 1, offer Purple 2 support! response:	Damn it! I can't move.
context: The main unit is-!\To our right!\This was a decoy?!\Wulgaru formation in the 10 o'clock direction.\Several fighters are approaching!\I'll pick off that one first!\Red 5 and Blue 1, offer Purple 2 support!\Damn it! I can't move. response:	We've gotta get past these guys!
context: To our right!\This was a decoy?!\Wulgaru formation in the 10 o'clock direction.\Several fighters are approaching!\I'll pick off that one first!\Red 5 and Blue 1, offer Purple 2 support!\Damn it! I can't move.\We've gotta get past these guys! response:	Miss!
