context: Hey, bro! response:	Yes, sir.
context: If you do it right, the tuna will go for it\when you bring it to the surface.\Give it a try.\Enoshima bowl!\The most important part of tuna fishing is accurate casting.\What are you doing?\Tuna are cautious, so you cannot approach them easily.\To avoid missing your only chance, you must cast accurately. response:	Indian!
context: when you bring it to the surface.\Give it a try.\Enoshima bowl!\The most important part of tuna fishing is accurate casting.\What are you doing?\Tuna are cautious, so you cannot approach them easily.\To avoid missing your only chance, you must cast accurately.\Indian! response:	That's not the only important part of catching big fish.
context: Give it a try.\Enoshima bowl!\The most important part of tuna fishing is accurate casting.\What are you doing?\Tuna are cautious, so you cannot approach them easily.\To avoid missing your only chance, you must cast accurately.\Indian!\That's not the only important part of catching big fish. response:	You need good teamwork between
context: Enoshima bowl!\The most important part of tuna fishing is accurate casting.\What are you doing?\Tuna are cautious, so you cannot approach them easily.\To avoid missing your only chance, you must cast accurately.\Indian!\That's not the only important part of catching big fish.\You need good teamwork between response:	the guy fishing and the guy steering the boat.
context: The most important part of tuna fishing is accurate casting.\What are you doing?\Tuna are cautious, so you cannot approach them easily.\To avoid missing your only chance, you must cast accurately.\Indian!\That's not the only important part of catching big fish.\You need good teamwork between\the guy fishing and the guy steering the boat. response:	Teamwork!
context: What are you doing?\Tuna are cautious, so you cannot approach them easily.\To avoid missing your only chance, you must cast accurately.\Indian!\That's not the only important part of catching big fish.\You need good teamwork between\the guy fishing and the guy steering the boat.\Teamwork! response:	Even if you hook one, tuna swim fast and pull hard.
context: Tuna are cautious, so you cannot approach them easily.\To avoid missing your only chance, you must cast accurately.\Indian!\That's not the only important part of catching big fish.\You need good teamwork between\the guy fishing and the guy steering the boat.\Teamwork!\Even if you hook one, tuna swim fast and pull hard. response:	If the guy driving the boat sucks, you'll lose him in a second.
context: To avoid missing your only chance, you must cast accurately.\Indian!\That's not the only important part of catching big fish.\You need good teamwork between\the guy fishing and the guy steering the boat.\Teamwork!\Even if you hook one, tuna swim fast and pull hard.\If the guy driving the boat sucks, you'll lose him in a second. response:	Catching tuna seems hard.
context: Indian!\That's not the only important part of catching big fish.\You need good teamwork between\the guy fishing and the guy steering the boat.\Teamwork!\Even if you hook one, tuna swim fast and pull hard.\If the guy driving the boat sucks, you'll lose him in a second.\Catching tuna seems hard. response:	It's okay. You'll catch one.
context: That's not the only important part of catching big fish.\You need good teamwork between\the guy fishing and the guy steering the boat.\Teamwork!\Even if you hook one, tuna swim fast and pull hard.\If the guy driving the boat sucks, you'll lose him in a second.\Catching tuna seems hard.\It's okay. You'll catch one. response:	The real problem is location.
context: You need good teamwork between\the guy fishing and the guy steering the boat.\Teamwork!\Even if you hook one, tuna swim fast and pull hard.\If the guy driving the boat sucks, you'll lose him in a second.\Catching tuna seems hard.\It's okay. You'll catch one.\The real problem is location. response:	Location?
context: the guy fishing and the guy steering the boat.\Teamwork!\Even if you hook one, tuna swim fast and pull hard.\If the guy driving the boat sucks, you'll lose him in a second.\Catching tuna seems hard.\It's okay. You'll catch one.\The real problem is location.\Location? response:	Casting and teamwork are both important,
context: Teamwork!\Even if you hook one, tuna swim fast and pull hard.\If the guy driving the boat sucks, you'll lose him in a second.\Catching tuna seems hard.\It's okay. You'll catch one.\The real problem is location.\Location?\Casting and teamwork are both important, response:	but we have to find where they are first.
context: Even if you hook one, tuna swim fast and pull hard.\If the guy driving the boat sucks, you'll lose him in a second.\Catching tuna seems hard.\It's okay. You'll catch one.\The real problem is location.\Location?\Casting and teamwork are both important,\but we have to find where they are first. response:	Wave the rod down and let it sink.
context: If the guy driving the boat sucks, you'll lose him in a second.\Catching tuna seems hard.\It's okay. You'll catch one.\The real problem is location.\Location?\Casting and teamwork are both important,\but we have to find where they are first.\Wave the rod down and let it sink. response:	Make it seem like bait by letting it swim a little,
context: Catching tuna seems hard.\It's okay. You'll catch one.\The real problem is location.\Location?\Casting and teamwork are both important,\but we have to find where they are first.\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little, response:	before pulling it up to the surface.
context: It's okay. You'll catch one.\The real problem is location.\Location?\Casting and teamwork are both important,\but we have to find where they are first.\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface. response:	Do this repeatedly to lure the tuna.
context: The real problem is location.\Location?\Casting and teamwork are both important,\but we have to find where they are first.\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\Do this repeatedly to lure the tuna. response:	Hey, bro. There's a ton of birds over there.
context: Location?\Casting and teamwork are both important,\but we have to find where they are first.\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\Do this repeatedly to lure the tuna.\Hey, bro. There's a ton of birds over there. response:	Can we go there?
context: Casting and teamwork are both important,\but we have to find where they are first.\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\Do this repeatedly to lure the tuna.\Hey, bro. There's a ton of birds over there.\Can we go there? response:	Oh, Akemi?
context: but we have to find where they are first.\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\Do this repeatedly to lure the tuna.\Hey, bro. There's a ton of birds over there.\Can we go there?\Oh, Akemi? response:	Akemi?
context: Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\Do this repeatedly to lure the tuna.\Hey, bro. There's a ton of birds over there.\Can we go there?\Oh, Akemi?\Akemi? response:	It's written as bright sea and pronounced Akemi.
context: Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\Do this repeatedly to lure the tuna.\Hey, bro. There's a ton of birds over there.\Can we go there?\Oh, Akemi?\Akemi?\It's written as bright sea and pronounced Akemi. response:	It's an artificial fish reef.
context: before pulling it up to the surface.\Do this repeatedly to lure the tuna.\Hey, bro. There's a ton of birds over there.\Can we go there?\Oh, Akemi?\Akemi?\It's written as bright sea and pronounced Akemi.\It's an artificial fish reef. response:	Fish reef?
context: Do this repeatedly to lure the tuna.\Hey, bro. There's a ton of birds over there.\Can we go there?\Oh, Akemi?\Akemi?\It's written as bright sea and pronounced Akemi.\It's an artificial fish reef.\Fish reef? response:	A man-made object placed in the
context: Hey, bro. There's a ton of birds over there.\Can we go there?\Oh, Akemi?\Akemi?\It's written as bright sea and pronounced Akemi.\It's an artificial fish reef.\Fish reef?\A man-made object placed in the response:	ocean to encourage fish to live and mate.
context: Can we go there?\Oh, Akemi?\Akemi?\It's written as bright sea and pronounced Akemi.\It's an artificial fish reef.\Fish reef?\A man-made object placed in the\ocean to encourage fish to live and mate. response:	I don't get it.
context: Oh, Akemi?\Akemi?\It's written as bright sea and pronounced Akemi.\It's an artificial fish reef.\Fish reef?\A man-made object placed in the\ocean to encourage fish to live and mate.\I don't get it. response:	It's a place where lots of fish gather.
context: Akemi?\It's written as bright sea and pronounced Akemi.\It's an artificial fish reef.\Fish reef?\A man-made object placed in the\ocean to encourage fish to live and mate.\I don't get it.\It's a place where lots of fish gather. response:	Sir, we can't go over there.
context: It's written as bright sea and pronounced Akemi.\It's an artificial fish reef.\Fish reef?\A man-made object placed in the\ocean to encourage fish to live and mate.\I don't get it.\It's a place where lots of fish gather.\Sir, we can't go over there. response:	They don't allow fishing.
context: It's an artificial fish reef.\Fish reef?\A man-made object placed in the\ocean to encourage fish to live and mate.\I don't get it.\It's a place where lots of fish gather.\Sir, we can't go over there.\They don't allow fishing. response:	Why would they prohibit fishing in a place with lots of fish?
context: Fish reef?\A man-made object placed in the\ocean to encourage fish to live and mate.\I don't get it.\It's a place where lots of fish gather.\Sir, we can't go over there.\They don't allow fishing.\Why would they prohibit fishing in a place with lots of fish? response:	How suspicious.
context: A man-made object placed in the\ocean to encourage fish to live and mate.\I don't get it.\It's a place where lots of fish gather.\Sir, we can't go over there.\They don't allow fishing.\Why would they prohibit fishing in a place with lots of fish?\How suspicious. response:	Could it be a secret fishing spot for locals?
context: ocean to encourage fish to live and mate.\I don't get it.\It's a place where lots of fish gather.\Sir, we can't go over there.\They don't allow fishing.\Why would they prohibit fishing in a place with lots of fish?\How suspicious.\Could it be a secret fishing spot for locals? response:	There isn't actually a fishing ban.
context: I don't get it.\It's a place where lots of fish gather.\Sir, we can't go over there.\They don't allow fishing.\Why would they prohibit fishing in a place with lots of fish?\How suspicious.\Could it be a secret fishing spot for locals?\There isn't actually a fishing ban. response:	But the locals won't go anyway.
context: It's a place where lots of fish gather.\Sir, we can't go over there.\They don't allow fishing.\Why would they prohibit fishing in a place with lots of fish?\How suspicious.\Could it be a secret fishing spot for locals?\There isn't actually a fishing ban.\But the locals won't go anyway. response:	Why not?
context: Sir, we can't go over there.\They don't allow fishing.\Why would they prohibit fishing in a place with lots of fish?\How suspicious.\Could it be a secret fishing spot for locals?\There isn't actually a fishing ban.\But the locals won't go anyway.\Why not? response:	Hey, you guys.
context: They don't allow fishing.\Why would they prohibit fishing in a place with lots of fish?\How suspicious.\Could it be a secret fishing spot for locals?\There isn't actually a fishing ban.\But the locals won't go anyway.\Why not?\Hey, you guys. response:	Don't just stand around talking.
context: Why would they prohibit fishing in a place with lots of fish?\How suspicious.\Could it be a secret fishing spot for locals?\There isn't actually a fishing ban.\But the locals won't go anyway.\Why not?\Hey, you guys.\Don't just stand around talking. response:	Okay.
context: How suspicious.\Could it be a secret fishing spot for locals?\There isn't actually a fishing ban.\But the locals won't go anyway.\Why not?\Hey, you guys.\Don't just stand around talking.\Okay. response:	I don't know the details, but apparently,
context: Could it be a secret fishing spot for locals?\There isn't actually a fishing ban.\But the locals won't go anyway.\Why not?\Hey, you guys.\Don't just stand around talking.\Okay.\I don't know the details, but apparently, response:	a fishing boat disappeared over there a long time ago.
context: There isn't actually a fishing ban.\But the locals won't go anyway.\Why not?\Hey, you guys.\Don't just stand around talking.\Okay.\I don't know the details, but apparently,\a fishing boat disappeared over there a long time ago. response:	You guys have been working hard this past month.
context: But the locals won't go anyway.\Why not?\Hey, you guys.\Don't just stand around talking.\Okay.\I don't know the details, but apparently,\a fishing boat disappeared over there a long time ago.\You guys have been working hard this past month. response:	You've all gotten stronger.
context: Why not?\Hey, you guys.\Don't just stand around talking.\Okay.\I don't know the details, but apparently,\a fishing boat disappeared over there a long time ago.\You guys have been working hard this past month.\You've all gotten stronger. response:	Thanks for all your help.
context: Hey, you guys.\Don't just stand around talking.\Okay.\I don't know the details, but apparently,\a fishing boat disappeared over there a long time ago.\You guys have been working hard this past month.\You've all gotten stronger.\Thanks for all your help. response:	No, thank you.
context: Don't just stand around talking.\Okay.\I don't know the details, but apparently,\a fishing boat disappeared over there a long time ago.\You guys have been working hard this past month.\You've all gotten stronger.\Thanks for all your help.\No, thank you. response:	Thanks, Captain.
context: Okay.\I don't know the details, but apparently,\a fishing boat disappeared over there a long time ago.\You guys have been working hard this past month.\You've all gotten stronger.\Thanks for all your help.\No, thank you.\Thanks, Captain. response:	Thank you!
context: I don't know the details, but apparently,\a fishing boat disappeared over there a long time ago.\You guys have been working hard this past month.\You've all gotten stronger.\Thanks for all your help.\No, thank you.\Thanks, Captain.\Thank you! response:	Okay, bring it in!
context: a fishing boat disappeared over there a long time ago.\You guys have been working hard this past month.\You've all gotten stronger.\Thanks for all your help.\No, thank you.\Thanks, Captain.\Thank you!\Okay, bring it in! response:	He does this every year.
context: You guys have been working hard this past month.\You've all gotten stronger.\Thanks for all your help.\No, thank you.\Thanks, Captain.\Thank you!\Okay, bring it in!\He does this every year. response:	I want to jump in, but...
context: You've all gotten stronger.\Thanks for all your help.\No, thank you.\Thanks, Captain.\Thank you!\Okay, bring it in!\He does this every year.\I want to jump in, but... response:	What's wrong? Don't be shy.
context: Thanks for all your help.\No, thank you.\Thanks, Captain.\Thank you!\Okay, bring it in!\He does this every year.\I want to jump in, but...\What's wrong? Don't be shy. response:	He won't let us go until we do this. Come on.
context: No, thank you.\Thanks, Captain.\Thank you!\Okay, bring it in!\He does this every year.\I want to jump in, but...\What's wrong? Don't be shy.\He won't let us go until we do this. Come on. response:	Ready, and...
context: Thanks, Captain.\Thank you!\Okay, bring it in!\He does this every year.\I want to jump in, but...\What's wrong? Don't be shy.\He won't let us go until we do this. Come on.\Ready, and... response:	Come on!
context: Thank you!\Okay, bring it in!\He does this every year.\I want to jump in, but...\What's wrong? Don't be shy.\He won't let us go until we do this. Come on.\Ready, and...\Come on! response:	All right!
context: Okay, bring it in!\He does this every year.\I want to jump in, but...\What's wrong? Don't be shy.\He won't let us go until we do this. Come on.\Ready, and...\Come on!\All right! response:	Good.
context: He does this every year.\I want to jump in, but...\What's wrong? Don't be shy.\He won't let us go until we do this. Come on.\Ready, and...\Come on!\All right!\Good. response:	Your movements are becoming more natural.
context: I want to jump in, but...\What's wrong? Don't be shy.\He won't let us go until we do this. Come on.\Ready, and...\Come on!\All right!\Good.\Your movements are becoming more natural. response:	The captain's the
context: What's wrong? Don't be shy.\He won't let us go until we do this. Come on.\Ready, and...\Come on!\All right!\Good.\Your movements are becoming more natural.\The captain's the response:	cool supporting character who gives the fishermen a hand.
context: He won't let us go until we do this. Come on.\Ready, and...\Come on!\All right!\Good.\Your movements are becoming more natural.\The captain's the\cool supporting character who gives the fishermen a hand. response:	Listen closely to the guys fishing,
context: Ready, and...\Come on!\All right!\Good.\Your movements are becoming more natural.\The captain's the\cool supporting character who gives the fishermen a hand.\Listen closely to the guys fishing, response:	watch their movements carefully,
context: Come on!\All right!\Good.\Your movements are becoming more natural.\The captain's the\cool supporting character who gives the fishermen a hand.\Listen closely to the guys fishing,\watch their movements carefully, response:	and move the boat into the easiest position for them to fish.
context: All right!\Good.\Your movements are becoming more natural.\The captain's the\cool supporting character who gives the fishermen a hand.\Listen closely to the guys fishing,\watch their movements carefully,\and move the boat into the easiest position for them to fish. response:	You'll slowly approach bait balls,
context: Good.\Your movements are becoming more natural.\The captain's the\cool supporting character who gives the fishermen a hand.\Listen closely to the guys fishing,\watch their movements carefully,\and move the boat into the easiest position for them to fish.\You'll slowly approach bait balls, response:	and sometimes move to cut the tuna off.
context: Your movements are becoming more natural.\The captain's the\cool supporting character who gives the fishermen a hand.\Listen closely to the guys fishing,\watch their movements carefully,\and move the boat into the easiest position for them to fish.\You'll slowly approach bait balls,\and sometimes move to cut the tuna off. response:	Once they hook one, you close the gap.
context: The captain's the\cool supporting character who gives the fishermen a hand.\Listen closely to the guys fishing,\watch their movements carefully,\and move the boat into the easiest position for them to fish.\You'll slowly approach bait balls,\and sometimes move to cut the tuna off.\Once they hook one, you close the gap. response:	I see.
context: cool supporting character who gives the fishermen a hand.\Listen closely to the guys fishing,\watch their movements carefully,\and move the boat into the easiest position for them to fish.\You'll slowly approach bait balls,\and sometimes move to cut the tuna off.\Once they hook one, you close the gap.\I see. response:	I have one more question.
context: Listen closely to the guys fishing,\watch their movements carefully,\and move the boat into the easiest position for them to fish.\You'll slowly approach bait balls,\and sometimes move to cut the tuna off.\Once they hook one, you close the gap.\I see.\I have one more question. response:	What is it?
context: watch their movements carefully,\and move the boat into the easiest position for them to fish.\You'll slowly approach bait balls,\and sometimes move to cut the tuna off.\Once they hook one, you close the gap.\I see.\I have one more question.\What is it? response:	You can ask me anything about boats.
context: and move the boat into the easiest position for them to fish.\You'll slowly approach bait balls,\and sometimes move to cut the tuna off.\Once they hook one, you close the gap.\I see.\I have one more question.\What is it?\You can ask me anything about boats. response:	Are there tuna at Akemi?
context: You'll slowly approach bait balls,\and sometimes move to cut the tuna off.\Once they hook one, you close the gap.\I see.\I have one more question.\What is it?\You can ask me anything about boats.\Are there tuna at Akemi? response:	Who knows?
context: and sometimes move to cut the tuna off.\Once they hook one, you close the gap.\I see.\I have one more question.\What is it?\You can ask me anything about boats.\Are there tuna at Akemi?\Who knows? response:	No one's been out there recently.
context: Once they hook one, you close the gap.\I see.\I have one more question.\What is it?\You can ask me anything about boats.\Are there tuna at Akemi?\Who knows?\No one's been out there recently. response:	Because a boat disappeared?
context: I see.\I have one more question.\What is it?\You can ask me anything about boats.\Are there tuna at Akemi?\Who knows?\No one's been out there recently.\Because a boat disappeared? response:	Why do you ask?
context: I have one more question.\What is it?\You can ask me anything about boats.\Are there tuna at Akemi?\Who knows?\No one's been out there recently.\Because a boat disappeared?\Why do you ask? response:	You said you wanted me to teach you how to drive a boat.
context: What is it?\You can ask me anything about boats.\Are there tuna at Akemi?\Who knows?\No one's been out there recently.\Because a boat disappeared?\Why do you ask?\You said you wanted me to teach you how to drive a boat. response:	I'm just curious.
context: You can ask me anything about boats.\Are there tuna at Akemi?\Who knows?\No one's been out there recently.\Because a boat disappeared?\Why do you ask?\You said you wanted me to teach you how to drive a boat.\I'm just curious. response:	Hey, it's time to head back.
context: Are there tuna at Akemi?\Who knows?\No one's been out there recently.\Because a boat disappeared?\Why do you ask?\You said you wanted me to teach you how to drive a boat.\I'm just curious.\Hey, it's time to head back. response:	But the sun won't set for a while.
context: Who knows?\No one's been out there recently.\Because a boat disappeared?\Why do you ask?\You said you wanted me to teach you how to drive a boat.\I'm just curious.\Hey, it's time to head back.\But the sun won't set for a while. response:	I know how you feel,
context: No one's been out there recently.\Because a boat disappeared?\Why do you ask?\You said you wanted me to teach you how to drive a boat.\I'm just curious.\Hey, it's time to head back.\But the sun won't set for a while.\I know how you feel, response:	but the currents are shifting,
context: Because a boat disappeared?\Why do you ask?\You said you wanted me to teach you how to drive a boat.\I'm just curious.\Hey, it's time to head back.\But the sun won't set for a while.\I know how you feel,\but the currents are shifting, response:	and I've got something to do after this.
context: Why do you ask?\You said you wanted me to teach you how to drive a boat.\I'm just curious.\Hey, it's time to head back.\But the sun won't set for a while.\I know how you feel,\but the currents are shifting,\and I've got something to do after this. response:	Well, I can have someone else take you out,
context: You said you wanted me to teach you how to drive a boat.\I'm just curious.\Hey, it's time to head back.\But the sun won't set for a while.\I know how you feel,\but the currents are shifting,\and I've got something to do after this.\Well, I can have someone else take you out, response:	but don't go to Akemi.
context: I'm just curious.\Hey, it's time to head back.\But the sun won't set for a while.\I know how you feel,\but the currents are shifting,\and I've got something to do after this.\Well, I can have someone else take you out,\but don't go to Akemi. response:	Under no circumstances.
context: Hey, it's time to head back.\But the sun won't set for a while.\I know how you feel,\but the currents are shifting,\and I've got something to do after this.\Well, I can have someone else take you out,\but don't go to Akemi.\Under no circumstances. response:	Got it?
context: But the sun won't set for a while.\I know how you feel,\but the currents are shifting,\and I've got something to do after this.\Well, I can have someone else take you out,\but don't go to Akemi.\Under no circumstances.\Got it? response:	Okay.
context: I know how you feel,\but the currents are shifting,\and I've got something to do after this.\Well, I can have someone else take you out,\but don't go to Akemi.\Under no circumstances.\Got it?\Okay. response:	Thank you.
context: but the currents are shifting,\and I've got something to do after this.\Well, I can have someone else take you out,\but don't go to Akemi.\Under no circumstances.\Got it?\Okay.\Thank you. response:	Thanks.
context: and I've got something to do after this.\Well, I can have someone else take you out,\but don't go to Akemi.\Under no circumstances.\Got it?\Okay.\Thank you.\Thanks. response:	This sucks. None of the boats are free.
context: Well, I can have someone else take you out,\but don't go to Akemi.\Under no circumstances.\Got it?\Okay.\Thank you.\Thanks.\This sucks. None of the boats are free. response:	We won't be able to catch tuna from the shore.
context: but don't go to Akemi.\Under no circumstances.\Got it?\Okay.\Thank you.\Thanks.\This sucks. None of the boats are free.\We won't be able to catch tuna from the shore. response:	Would you like to take my boat?
context: Under no circumstances.\Got it?\Okay.\Thank you.\Thanks.\This sucks. None of the boats are free.\We won't be able to catch tuna from the shore.\Would you like to take my boat? response:	What boat?
context: Got it?\Okay.\Thank you.\Thanks.\This sucks. None of the boats are free.\We won't be able to catch tuna from the shore.\Would you like to take my boat?\What boat? response:	Enoshima bowl.
context: Okay.\Thank you.\Thanks.\This sucks. None of the boats are free.\We won't be able to catch tuna from the shore.\Would you like to take my boat?\What boat?\Enoshima bowl. response:	Damn it, let me fish!
context: Thank you.\Thanks.\This sucks. None of the boats are free.\We won't be able to catch tuna from the shore.\Would you like to take my boat?\What boat?\Enoshima bowl.\Damn it, let me fish! response:	I know. This is an investigation.
context: Thanks.\This sucks. None of the boats are free.\We won't be able to catch tuna from the shore.\Would you like to take my boat?\What boat?\Enoshima bowl.\Damn it, let me fish!\I know. This is an investigation. response:	We've cast tons of times...
context: This sucks. None of the boats are free.\We won't be able to catch tuna from the shore.\Would you like to take my boat?\What boat?\Enoshima bowl.\Damn it, let me fish!\I know. This is an investigation.\We've cast tons of times... response:	Maybe we're not in the right place.
context: We won't be able to catch tuna from the shore.\Would you like to take my boat?\What boat?\Enoshima bowl.\Damn it, let me fish!\I know. This is an investigation.\We've cast tons of times...\Maybe we're not in the right place. response:	But I've heard of people catching tuna around here.
context: Would you like to take my boat?\What boat?\Enoshima bowl.\Damn it, let me fish!\I know. This is an investigation.\We've cast tons of times...\Maybe we're not in the right place.\But I've heard of people catching tuna around here. response:	Should we check it out?
context: What boat?\Enoshima bowl.\Damn it, let me fish!\I know. This is an investigation.\We've cast tons of times...\Maybe we're not in the right place.\But I've heard of people catching tuna around here.\Should we check it out? response:	But the captain said...
context: Enoshima bowl.\Damn it, let me fish!\I know. This is an investigation.\We've cast tons of times...\Maybe we're not in the right place.\But I've heard of people catching tuna around here.\Should we check it out?\But the captain said... response:	I know, but the tuna are definitely there.
context: Damn it, let me fish!\I know. This is an investigation.\We've cast tons of times...\Maybe we're not in the right place.\But I've heard of people catching tuna around here.\Should we check it out?\But the captain said...\I know, but the tuna are definitely there. response:	Then we have to go.
context: I know. This is an investigation.\We've cast tons of times...\Maybe we're not in the right place.\But I've heard of people catching tuna around here.\Should we check it out?\But the captain said...\I know, but the tuna are definitely there.\Then we have to go. response:	Don't you want to catch one, Yuki?
context: We've cast tons of times...\Maybe we're not in the right place.\But I've heard of people catching tuna around here.\Should we check it out?\But the captain said...\I know, but the tuna are definitely there.\Then we have to go.\Don't you want to catch one, Yuki? response:	I definitely want to catch one.
context: Maybe we're not in the right place.\But I've heard of people catching tuna around here.\Should we check it out?\But the captain said...\I know, but the tuna are definitely there.\Then we have to go.\Don't you want to catch one, Yuki?\I definitely want to catch one. response:	Look!
context: But I've heard of people catching tuna around here.\Should we check it out?\But the captain said...\I know, but the tuna are definitely there.\Then we have to go.\Don't you want to catch one, Yuki?\I definitely want to catch one.\Look! response:	That's amazing.
context: Should we check it out?\But the captain said...\I know, but the tuna are definitely there.\Then we have to go.\Don't you want to catch one, Yuki?\I definitely want to catch one.\Look!\That's amazing. response:	I've never been to such a great spot.
context: But the captain said...\I know, but the tuna are definitely there.\Then we have to go.\Don't you want to catch one, Yuki?\I definitely want to catch one.\Look!\That's amazing.\I've never been to such a great spot. response:	There's tuna.
context: I know, but the tuna are definitely there.\Then we have to go.\Don't you want to catch one, Yuki?\I definitely want to catch one.\Look!\That's amazing.\I've never been to such a great spot.\There's tuna. response:	Really?
context: Then we have to go.\Don't you want to catch one, Yuki?\I definitely want to catch one.\Look!\That's amazing.\I've never been to such a great spot.\There's tuna.\Really? response:	Akira, slowly approach the bait ball!
context: Don't you want to catch one, Yuki?\I definitely want to catch one.\Look!\That's amazing.\I've never been to such a great spot.\There's tuna.\Really?\Akira, slowly approach the bait ball! response:	I know!
context: I definitely want to catch one.\Look!\That's amazing.\I've never been to such a great spot.\There's tuna.\Really?\Akira, slowly approach the bait ball!\I know! response:	It's okay.
context: Look!\That's amazing.\I've never been to such a great spot.\There's tuna.\Really?\Akira, slowly approach the bait ball!\I know!\It's okay. response:	I'll catch one.
context: That's amazing.\I've never been to such a great spot.\There's tuna.\Really?\Akira, slowly approach the bait ball!\I know!\It's okay.\I'll catch one. response:	I want to catch one myself.
context: I've never been to such a great spot.\There's tuna.\Really?\Akira, slowly approach the bait ball!\I know!\It's okay.\I'll catch one.\I want to catch one myself. response:	Look at the distance. Are you sure you can do it?
context: There's tuna.\Really?\Akira, slowly approach the bait ball!\I know!\It's okay.\I'll catch one.\I want to catch one myself.\Look at the distance. Are you sure you can do it? response:	I'll try.
context: Really?\Akira, slowly approach the bait ball!\I know!\It's okay.\I'll catch one.\I want to catch one myself.\Look at the distance. Are you sure you can do it?\I'll try. response:	Don't miss. You only have one chance.
context: Akira, slowly approach the bait ball!\I know!\It's okay.\I'll catch one.\I want to catch one myself.\Look at the distance. Are you sure you can do it?\I'll try.\Don't miss. You only have one chance. response:	What's wrong with you? Aim better.
context: I know!\It's okay.\I'll catch one.\I want to catch one myself.\Look at the distance. Are you sure you can do it?\I'll try.\Don't miss. You only have one chance.\What's wrong with you? Aim better. response:	Don't panic.
context: It's okay.\I'll catch one.\I want to catch one myself.\Look at the distance. Are you sure you can do it?\I'll try.\Don't miss. You only have one chance.\What's wrong with you? Aim better.\Don't panic. response:	Think of casting into the bucket!
context: I'll catch one.\I want to catch one myself.\Look at the distance. Are you sure you can do it?\I'll try.\Don't miss. You only have one chance.\What's wrong with you? Aim better.\Don't panic.\Think of casting into the bucket! response:	It's Enoshima bowl, Yuki.
context: I want to catch one myself.\Look at the distance. Are you sure you can do it?\I'll try.\Don't miss. You only have one chance.\What's wrong with you? Aim better.\Don't panic.\Think of casting into the bucket!\It's Enoshima bowl, Yuki. response:	Calm down.
context: Look at the distance. Are you sure you can do it?\I'll try.\Don't miss. You only have one chance.\What's wrong with you? Aim better.\Don't panic.\Think of casting into the bucket!\It's Enoshima bowl, Yuki.\Calm down. response:	Enoshima bowl!
context: I'll try.\Don't miss. You only have one chance.\What's wrong with you? Aim better.\Don't panic.\Think of casting into the bucket!\It's Enoshima bowl, Yuki.\Calm down.\Enoshima bowl! response:	Go!
context: Don't miss. You only have one chance.\What's wrong with you? Aim better.\Don't panic.\Think of casting into the bucket!\It's Enoshima bowl, Yuki.\Calm down.\Enoshima bowl!\Go! response:	Um, what am I supposed to do?
context: What's wrong with you? Aim better.\Don't panic.\Think of casting into the bucket!\It's Enoshima bowl, Yuki.\Calm down.\Enoshima bowl!\Go!\Um, what am I supposed to do? response:	Yuki, jerking.
context: Don't panic.\Think of casting into the bucket!\It's Enoshima bowl, Yuki.\Calm down.\Enoshima bowl!\Go!\Um, what am I supposed to do?\Yuki, jerking. response:	Oh, yeah!
context: Think of casting into the bucket!\It's Enoshima bowl, Yuki.\Calm down.\Enoshima bowl!\Go!\Um, what am I supposed to do?\Yuki, jerking.\Oh, yeah! response:	Wave the rod down and let it sink.
context: It's Enoshima bowl, Yuki.\Calm down.\Enoshima bowl!\Go!\Um, what am I supposed to do?\Yuki, jerking.\Oh, yeah!\Wave the rod down and let it sink. response:	Make it seem like bait by letting it swim a little
context: Calm down.\Enoshima bowl!\Go!\Um, what am I supposed to do?\Yuki, jerking.\Oh, yeah!\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little response:	before pulling it up to the surface.
context: Enoshima bowl!\Go!\Um, what am I supposed to do?\Yuki, jerking.\Oh, yeah!\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little\before pulling it up to the surface. response:	Got one!
context: Go!\Um, what am I supposed to do?\Yuki, jerking.\Oh, yeah!\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little\before pulling it up to the surface.\Got one! response:	How far is he going to run?
context: Um, what am I supposed to do?\Yuki, jerking.\Oh, yeah!\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little\before pulling it up to the surface.\Got one!\How far is he going to run? response:	Wait for him to stop.
context: Yuki, jerking.\Oh, yeah!\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little\before pulling it up to the surface.\Got one!\How far is he going to run?\Wait for him to stop. response:	Don't let your guard down.
context: Oh, yeah!\Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little\before pulling it up to the surface.\Got one!\How far is he going to run?\Wait for him to stop.\Don't let your guard down. response:	Won't I run out of line?!
