context: The water is alive. response:	Once you dive in, it will immediately bare its fangs and attack.
context: But that's your name, Haru-chan.\But that pool is old and not in use.\There's no swim club, either.\Where do you swim, then?\I quit swimming competitively.\What?!\Why'd you quit?!\I was all excited about getting to swim with you again in high school! response:	We're not little kids anymore.
context: But that pool is old and not in use.\There's no swim club, either.\Where do you swim, then?\I quit swimming competitively.\What?!\Why'd you quit?!\I was all excited about getting to swim with you again in high school!\We're not little kids anymore. response:	Things aren't the way they used to be.
context: There's no swim club, either.\Where do you swim, then?\I quit swimming competitively.\What?!\Why'd you quit?!\I was all excited about getting to swim with you again in high school!\We're not little kids anymore.\Things aren't the way they used to be. response:	Haru-chan...
context: Where do you swim, then?\I quit swimming competitively.\What?!\Why'd you quit?!\I was all excited about getting to swim with you again in high school!\We're not little kids anymore.\Things aren't the way they used to be.\Haru-chan... response:	Well, he stopped swimming competitively,
context: I quit swimming competitively.\What?!\Why'd you quit?!\I was all excited about getting to swim with you again in high school!\We're not little kids anymore.\Things aren't the way they used to be.\Haru-chan...\Well, he stopped swimming competitively, response:	but he still loves water.
context: What?!\Why'd you quit?!\I was all excited about getting to swim with you again in high school!\We're not little kids anymore.\Things aren't the way they used to be.\Haru-chan...\Well, he stopped swimming competitively,\but he still loves water. response:	Haru can't live without being in water.
context: Why'd you quit?!\I was all excited about getting to swim with you again in high school!\We're not little kids anymore.\Things aren't the way they used to be.\Haru-chan...\Well, he stopped swimming competitively,\but he still loves water.\Haru can't live without being in water. response:	During the summer, he swims in the ocean,
context: I was all excited about getting to swim with you again in high school!\We're not little kids anymore.\Things aren't the way they used to be.\Haru-chan...\Well, he stopped swimming competitively,\but he still loves water.\Haru can't live without being in water.\During the summer, he swims in the ocean, response:	and he was soaking in the tub this morning.
context: We're not little kids anymore.\Things aren't the way they used to be.\Haru-chan...\Well, he stopped swimming competitively,\but he still loves water.\Haru can't live without being in water.\During the summer, he swims in the ocean,\and he was soaking in the tub this morning. response:	What does that have to do with swimming?
context: Things aren't the way they used to be.\Haru-chan...\Well, he stopped swimming competitively,\but he still loves water.\Haru can't live without being in water.\During the summer, he swims in the ocean,\and he was soaking in the tub this morning.\What does that have to do with swimming? response:	That just means he likes baths.
context: Haru-chan...\Well, he stopped swimming competitively,\but he still loves water.\Haru can't live without being in water.\During the summer, he swims in the ocean,\and he was soaking in the tub this morning.\What does that have to do with swimming?\That just means he likes baths. response:	I know! How about a hot springs club?
context: Well, he stopped swimming competitively,\but he still loves water.\Haru can't live without being in water.\During the summer, he swims in the ocean,\and he was soaking in the tub this morning.\What does that have to do with swimming?\That just means he likes baths.\I know! How about a hot springs club? response:	Let's start a hot springs club!
context: but he still loves water.\Haru can't live without being in water.\During the summer, he swims in the ocean,\and he was soaking in the tub this morning.\What does that have to do with swimming?\That just means he likes baths.\I know! How about a hot springs club?\Let's start a hot springs club! response:	I can't stand the heat.
context: Haru can't live without being in water.\During the summer, he swims in the ocean,\and he was soaking in the tub this morning.\What does that have to do with swimming?\That just means he likes baths.\I know! How about a hot springs club?\Let's start a hot springs club!\I can't stand the heat. response:	Nagisa hasn't changed one bit.
context: During the summer, he swims in the ocean,\and he was soaking in the tub this morning.\What does that have to do with swimming?\That just means he likes baths.\I know! How about a hot springs club?\Let's start a hot springs club!\I can't stand the heat.\Nagisa hasn't changed one bit. response:	Don't be like that!
context: and he was soaking in the tub this morning.\What does that have to do with swimming?\That just means he likes baths.\I know! How about a hot springs club?\Let's start a hot springs club!\I can't stand the heat.\Nagisa hasn't changed one bit.\Don't be like that! response:	No.
context: What does that have to do with swimming?\That just means he likes baths.\I know! How about a hot springs club?\Let's start a hot springs club!\I can't stand the heat.\Nagisa hasn't changed one bit.\Don't be like that!\No. response:	Okay, then...
context: That just means he likes baths.\I know! How about a hot springs club?\Let's start a hot springs club!\I can't stand the heat.\Nagisa hasn't changed one bit.\Don't be like that!\No.\Okay, then... response:	I refuse.
context: I know! How about a hot springs club?\Let's start a hot springs club!\I can't stand the heat.\Nagisa hasn't changed one bit.\Don't be like that!\No.\Okay, then...\I refuse. response:	I didn't say anything yet.
context: Let's start a hot springs club!\I can't stand the heat.\Nagisa hasn't changed one bit.\Don't be like that!\No.\Okay, then...\I refuse.\I didn't say anything yet. response:	Aw, I should have gotten the same thing you did.
context: I can't stand the heat.\Nagisa hasn't changed one bit.\Don't be like that!\No.\Okay, then...\I refuse.\I didn't say anything yet.\Aw, I should have gotten the same thing you did. response:	Hey, have you heard?
context: Nagisa hasn't changed one bit.\Don't be like that!\No.\Okay, then...\I refuse.\I didn't say anything yet.\Aw, I should have gotten the same thing you did.\Hey, have you heard? response:	The swimming club we went to in grade school is gonna be torn down soon.
context: Don't be like that!\No.\Okay, then...\I refuse.\I didn't say anything yet.\Aw, I should have gotten the same thing you did.\Hey, have you heard?\The swimming club we went to in grade school is gonna be torn down soon. response:	So before that happens, why don't we pay a visit?
context: No.\Okay, then...\I refuse.\I didn't say anything yet.\Aw, I should have gotten the same thing you did.\Hey, have you heard?\The swimming club we went to in grade school is gonna be torn down soon.\So before that happens, why don't we pay a visit? response:	To dig that up?
context: Okay, then...\I refuse.\I didn't say anything yet.\Aw, I should have gotten the same thing you did.\Hey, have you heard?\The swimming club we went to in grade school is gonna be torn down soon.\So before that happens, why don't we pay a visit?\To dig that up? response:	Exactly!
context: I refuse.\I didn't say anything yet.\Aw, I should have gotten the same thing you did.\Hey, have you heard?\The swimming club we went to in grade school is gonna be torn down soon.\So before that happens, why don't we pay a visit?\To dig that up?\Exactly! response:	We can sneak in at night...
context: I didn't say anything yet.\Aw, I should have gotten the same thing you did.\Hey, have you heard?\The swimming club we went to in grade school is gonna be torn down soon.\So before that happens, why don't we pay a visit?\To dig that up?\Exactly!\We can sneak in at night... response:	You can go by yourself.
context: Aw, I should have gotten the same thing you did.\Hey, have you heard?\The swimming club we went to in grade school is gonna be torn down soon.\So before that happens, why don't we pay a visit?\To dig that up?\Exactly!\We can sneak in at night...\You can go by yourself. response:	Don't say that!
context: Hey, have you heard?\The swimming club we went to in grade school is gonna be torn down soon.\So before that happens, why don't we pay a visit?\To dig that up?\Exactly!\We can sneak in at night...\You can go by yourself.\Don't say that! response:	Come with us, Haru-chan.
context: The swimming club we went to in grade school is gonna be torn down soon.\So before that happens, why don't we pay a visit?\To dig that up?\Exactly!\We can sneak in at night...\You can go by yourself.\Don't say that!\Come with us, Haru-chan. response:	I'm not going.
context: So before that happens, why don't we pay a visit?\To dig that up?\Exactly!\We can sneak in at night...\You can go by yourself.\Don't say that!\Come with us, Haru-chan.\I'm not going. response:	Don't you think it'll be fun?
context: To dig that up?\Exactly!\We can sneak in at night...\You can go by yourself.\Don't say that!\Come with us, Haru-chan.\I'm not going.\Don't you think it'll be fun? response:	I don't.
context: Exactly!\We can sneak in at night...\You can go by yourself.\Don't say that!\Come with us, Haru-chan.\I'm not going.\Don't you think it'll be fun?\I don't. response:	Why don't you just humor him?
context: We can sneak in at night...\You can go by yourself.\Don't say that!\Come with us, Haru-chan.\I'm not going.\Don't you think it'll be fun?\I don't.\Why don't you just humor him? response:	No, it's too much effort.
context: You can go by yourself.\Don't say that!\Come with us, Haru-chan.\I'm not going.\Don't you think it'll be fun?\I don't.\Why don't you just humor him?\No, it's too much effort. response:	But there's a pool there.
context: Don't say that!\Come with us, Haru-chan.\I'm not going.\Don't you think it'll be fun?\I don't.\Why don't you just humor him?\No, it's too much effort.\But there's a pool there. response:	A pool is much bigger than a bathtub.
context: Come with us, Haru-chan.\I'm not going.\Don't you think it'll be fun?\I don't.\Why don't you just humor him?\No, it's too much effort.\But there's a pool there.\A pool is much bigger than a bathtub. response:	Wow...
context: I'm not going.\Don't you think it'll be fun?\I don't.\Why don't you just humor him?\No, it's too much effort.\But there's a pool there.\A pool is much bigger than a bathtub.\Wow... response:	You live by yourself, Haru-chan?
context: Don't you think it'll be fun?\I don't.\Why don't you just humor him?\No, it's too much effort.\But there's a pool there.\A pool is much bigger than a bathtub.\Wow...\You live by yourself, Haru-chan? response:	His mom went with his dad when he had to move because of work.
context: I don't.\Why don't you just humor him?\No, it's too much effort.\But there's a pool there.\A pool is much bigger than a bathtub.\Wow...\You live by yourself, Haru-chan?\His mom went with his dad when he had to move because of work. response:	Wait, fish again?
context: Why don't you just humor him?\No, it's too much effort.\But there's a pool there.\A pool is much bigger than a bathtub.\Wow...\You live by yourself, Haru-chan?\His mom went with his dad when he had to move because of work.\Wait, fish again? response:	Nobody's forcing you to eat it.
context: No, it's too much effort.\But there's a pool there.\A pool is much bigger than a bathtub.\Wow...\You live by yourself, Haru-chan?\His mom went with his dad when he had to move because of work.\Wait, fish again?\Nobody's forcing you to eat it. response:	Looks delicious.
context: But there's a pool there.\A pool is much bigger than a bathtub.\Wow...\You live by yourself, Haru-chan?\His mom went with his dad when he had to move because of work.\Wait, fish again?\Nobody's forcing you to eat it.\Looks delicious. response:	Haru-chan was always a good cook.
context: A pool is much bigger than a bathtub.\Wow...\You live by yourself, Haru-chan?\His mom went with his dad when he had to move because of work.\Wait, fish again?\Nobody's forcing you to eat it.\Looks delicious.\Haru-chan was always a good cook. response:	So, are you sure about this?
context: Wow...\You live by yourself, Haru-chan?\His mom went with his dad when he had to move because of work.\Wait, fish again?\Nobody's forcing you to eat it.\Looks delicious.\Haru-chan was always a good cook.\So, are you sure about this? response:	Weren't you all for it earlier?
context: You live by yourself, Haru-chan?\His mom went with his dad when he had to move because of work.\Wait, fish again?\Nobody's forcing you to eat it.\Looks delicious.\Haru-chan was always a good cook.\So, are you sure about this?\Weren't you all for it earlier? response:	Are you getting scared?
context: His mom went with his dad when he had to move because of work.\Wait, fish again?\Nobody's forcing you to eat it.\Looks delicious.\Haru-chan was always a good cook.\So, are you sure about this?\Weren't you all for it earlier?\Are you getting scared? response:	It's not that.
context: Wait, fish again?\Nobody's forcing you to eat it.\Looks delicious.\Haru-chan was always a good cook.\So, are you sure about this?\Weren't you all for it earlier?\Are you getting scared?\It's not that. response:	Is it okay for just the three of us to dig it up?
context: Nobody's forcing you to eat it.\Looks delicious.\Haru-chan was always a good cook.\So, are you sure about this?\Weren't you all for it earlier?\Are you getting scared?\It's not that.\Is it okay for just the three of us to dig it up? response:	Can't do anything about that.
context: Looks delicious.\Haru-chan was always a good cook.\So, are you sure about this?\Weren't you all for it earlier?\Are you getting scared?\It's not that.\Is it okay for just the three of us to dig it up?\Can't do anything about that. response:	Rin-chan isn't in Japan anymore.
context: Haru-chan was always a good cook.\So, are you sure about this?\Weren't you all for it earlier?\Are you getting scared?\It's not that.\Is it okay for just the three of us to dig it up?\Can't do anything about that.\Rin-chan isn't in Japan anymore. response:	I won't be attending middle school here.
context: So, are you sure about this?\Weren't you all for it earlier?\Are you getting scared?\It's not that.\Is it okay for just the three of us to dig it up?\Can't do anything about that.\Rin-chan isn't in Japan anymore.\I won't be attending middle school here. response:	Huh? What do you mean, Rin?
context: Weren't you all for it earlier?\Are you getting scared?\It's not that.\Is it okay for just the three of us to dig it up?\Can't do anything about that.\Rin-chan isn't in Japan anymore.\I won't be attending middle school here.\Huh? What do you mean, Rin? response:	I'm going to Australia.
context: Are you getting scared?\It's not that.\Is it okay for just the three of us to dig it up?\Can't do anything about that.\Rin-chan isn't in Japan anymore.\I won't be attending middle school here.\Huh? What do you mean, Rin?\I'm going to Australia. response:	You mean you're going to a different country?
context: It's not that.\Is it okay for just the three of us to dig it up?\Can't do anything about that.\Rin-chan isn't in Japan anymore.\I won't be attending middle school here.\Huh? What do you mean, Rin?\I'm going to Australia.\You mean you're going to a different country? response:	Yep, I'm going to a swimming school.
context: Is it okay for just the three of us to dig it up?\Can't do anything about that.\Rin-chan isn't in Japan anymore.\I won't be attending middle school here.\Huh? What do you mean, Rin?\I'm going to Australia.\You mean you're going to a different country?\Yep, I'm going to a swimming school. response:	What are you trying to do?
context: Can't do anything about that.\Rin-chan isn't in Japan anymore.\I won't be attending middle school here.\Huh? What do you mean, Rin?\I'm going to Australia.\You mean you're going to a different country?\Yep, I'm going to a swimming school.\What are you trying to do? response:	I'm going to become an Olympic swimmer.
context: Rin-chan isn't in Japan anymore.\I won't be attending middle school here.\Huh? What do you mean, Rin?\I'm going to Australia.\You mean you're going to a different country?\Yep, I'm going to a swimming school.\What are you trying to do?\I'm going to become an Olympic swimmer. response:	Why didn't you tell us?
context: I won't be attending middle school here.\Huh? What do you mean, Rin?\I'm going to Australia.\You mean you're going to a different country?\Yep, I'm going to a swimming school.\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us? response:	What about the relay?
context: Huh? What do you mean, Rin?\I'm going to Australia.\You mean you're going to a different country?\Yep, I'm going to a swimming school.\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay? response:	I'll swim in the relay.
context: I'm going to Australia.\You mean you're going to a different country?\Yep, I'm going to a swimming school.\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay. response:	I'm leaving the day after the tournament.
context: You mean you're going to a different country?\Yep, I'm going to a swimming school.\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament. response:	So this will be the last time the four of us swim together.
context: Yep, I'm going to a swimming school.\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together. response:	I only swim freestyle.
context: What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle. response:	That's why you have to swim in the relay.
context: I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay. response:	This is our last chance.
context: Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance. response:	Let's swim together, Nanase.
context: What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase. response:	If you swim with me,
context: I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me, response:	I'll show you a sight you've never seen before.
context: I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before. response:	The place is pretty trashed.
context: So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\The place is pretty trashed. response:	Here, just in case.
context: I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\The place is pretty trashed.\Here, just in case. response:	Purifying salt.
context: That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\The place is pretty trashed.\Here, just in case.\Purifying salt. response:	Salt?
context: This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\The place is pretty trashed.\Here, just in case.\Purifying salt.\Salt? response:	They say the place is haunted.
context: Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\The place is pretty trashed.\Here, just in case.\Purifying salt.\Salt?\They say the place is haunted. response:	Don't scare me.
context: If you swim with me,\I'll show you a sight you've never seen before.\The place is pretty trashed.\Here, just in case.\Purifying salt.\Salt?\They say the place is haunted.\Don't scare me. response:	I'm not lying.
context: I'll show you a sight you've never seen before.\The place is pretty trashed.\Here, just in case.\Purifying salt.\Salt?\They say the place is haunted.\Don't scare me.\I'm not lying. response:	People have been seeing shadows moving around
context: The place is pretty trashed.\Here, just in case.\Purifying salt.\Salt?\They say the place is haunted.\Don't scare me.\I'm not lying.\People have been seeing shadows moving around response:	and hearing sobbing voices.
context: Here, just in case.\Purifying salt.\Salt?\They say the place is haunted.\Don't scare me.\I'm not lying.\People have been seeing shadows moving around\and hearing sobbing voices. response:	Stand still.
context: Purifying salt.\Salt?\They say the place is haunted.\Don't scare me.\I'm not lying.\People have been seeing shadows moving around\and hearing sobbing voices.\Stand still. response:	Okay. You're next, Haru-chan.
context: Salt?\They say the place is haunted.\Don't scare me.\I'm not lying.\People have been seeing shadows moving around\and hearing sobbing voices.\Stand still.\Okay. You're next, Haru-chan. response:	Hey.
context: They say the place is haunted.\Don't scare me.\I'm not lying.\People have been seeing shadows moving around\and hearing sobbing voices.\Stand still.\Okay. You're next, Haru-chan.\Hey. response:	Wh-What is it?
context: Don't scare me.\I'm not lying.\People have been seeing shadows moving around\and hearing sobbing voices.\Stand still.\Okay. You're next, Haru-chan.\Hey.\Wh-What is it? response:	This isn't salt. It's sugar.
context: I'm not lying.\People have been seeing shadows moving around\and hearing sobbing voices.\Stand still.\Okay. You're next, Haru-chan.\Hey.\Wh-What is it?\This isn't salt. It's sugar. response:	Well, it's all mental anyway,
context: People have been seeing shadows moving around\and hearing sobbing voices.\Stand still.\Okay. You're next, Haru-chan.\Hey.\Wh-What is it?\This isn't salt. It's sugar.\Well, it's all mental anyway, response:	so sugar will still get the job done.
context: and hearing sobbing voices.\Stand still.\Okay. You're next, Haru-chan.\Hey.\Wh-What is it?\This isn't salt. It's sugar.\Well, it's all mental anyway,\so sugar will still get the job done. response:	Cliched as hell.
context: Stand still.\Okay. You're next, Haru-chan.\Hey.\Wh-What is it?\This isn't salt. It's sugar.\Well, it's all mental anyway,\so sugar will still get the job done.\Cliched as hell. response:	It is one of the oldest mistakes out there.
context: Okay. You're next, Haru-chan.\Hey.\Wh-What is it?\This isn't salt. It's sugar.\Well, it's all mental anyway,\so sugar will still get the job done.\Cliched as hell.\It is one of the oldest mistakes out there. response:	What?!
context: Hey.\Wh-What is it?\This isn't salt. It's sugar.\Well, it's all mental anyway,\so sugar will still get the job done.\Cliched as hell.\It is one of the oldest mistakes out there.\What?! response:	My foot hit an empty can.
context: Wh-What is it?\This isn't salt. It's sugar.\Well, it's all mental anyway,\so sugar will still get the job done.\Cliched as hell.\It is one of the oldest mistakes out there.\What?!\My foot hit an empty can. response:	You're doing this on purpose, aren't you?!
context: This isn't salt. It's sugar.\Well, it's all mental anyway,\so sugar will still get the job done.\Cliched as hell.\It is one of the oldest mistakes out there.\What?!\My foot hit an empty can.\You're doing this on purpose, aren't you?! response:	You always were scared of the dark.
context: Well, it's all mental anyway,\so sugar will still get the job done.\Cliched as hell.\It is one of the oldest mistakes out there.\What?!\My foot hit an empty can.\You're doing this on purpose, aren't you?!\You always were scared of the dark. response:	You're not helping any!
context: so sugar will still get the job done.\Cliched as hell.\It is one of the oldest mistakes out there.\What?!\My foot hit an empty can.\You're doing this on purpose, aren't you?!\You always were scared of the dark.\You're not helping any! response:	Sorry.
context: Cliched as hell.\It is one of the oldest mistakes out there.\What?!\My foot hit an empty can.\You're doing this on purpose, aren't you?!\You always were scared of the dark.\You're not helping any!\Sorry. response:	This brings back memories.
context: It is one of the oldest mistakes out there.\What?!\My foot hit an empty can.\You're doing this on purpose, aren't you?!\You always were scared of the dark.\You're not helping any!\Sorry.\This brings back memories. response:	It's not as trashed inside as I expected.
context: What?!\My foot hit an empty can.\You're doing this on purpose, aren't you?!\You always were scared of the dark.\You're not helping any!\Sorry.\This brings back memories.\It's not as trashed inside as I expected. response:	This is...
context: My foot hit an empty can.\You're doing this on purpose, aren't you?!\You always were scared of the dark.\You're not helping any!\Sorry.\This brings back memories.\It's not as trashed inside as I expected.\This is... response:	The lounge.
context: You're doing this on purpose, aren't you?!\You always were scared of the dark.\You're not helping any!\Sorry.\This brings back memories.\It's not as trashed inside as I expected.\This is...\The lounge. response:	Hurry up!
context: You always were scared of the dark.\You're not helping any!\Sorry.\This brings back memories.\It's not as trashed inside as I expected.\This is...\The lounge.\Hurry up! response:	Look.
context: You're not helping any!\Sorry.\This brings back memories.\It's not as trashed inside as I expected.\This is...\The lounge.\Hurry up!\Look. response:	This is the picture from when we won the relay.
context: Sorry.\This brings back memories.\It's not as trashed inside as I expected.\This is...\The lounge.\Hurry up!\Look.\This is the picture from when we won the relay. response:	I'll show you a sight you've never seen before.
context: This brings back memories.\It's not as trashed inside as I expected.\This is...\The lounge.\Hurry up!\Look.\This is the picture from when we won the relay.\I'll show you a sight you've never seen before. response:	The four of us won this together,
context: It's not as trashed inside as I expected.\This is...\The lounge.\Hurry up!\Look.\This is the picture from when we won the relay.\I'll show you a sight you've never seen before.\The four of us won this together, response:	so it doesn't make sense for one person to take it home.
context: This is...\The lounge.\Hurry up!\Look.\This is the picture from when we won the relay.\I'll show you a sight you've never seen before.\The four of us won this together,\so it doesn't make sense for one person to take it home. response:	So let's put it in a time capsule
context: The lounge.\Hurry up!\Look.\This is the picture from when we won the relay.\I'll show you a sight you've never seen before.\The four of us won this together,\so it doesn't make sense for one person to take it home.\So let's put it in a time capsule response:	and dig it up when we're grown up.
context: Hurry up!\Look.\This is the picture from when we won the relay.\I'll show you a sight you've never seen before.\The four of us won this together,\so it doesn't make sense for one person to take it home.\So let's put it in a time capsule\and dig it up when we're grown up. response:	Romantic, right?
context: Look.\This is the picture from when we won the relay.\I'll show you a sight you've never seen before.\The four of us won this together,\so it doesn't make sense for one person to take it home.\So let's put it in a time capsule\and dig it up when we're grown up.\Romantic, right? response:	Haru...
context: This is the picture from when we won the relay.\I'll show you a sight you've never seen before.\The four of us won this together,\so it doesn't make sense for one person to take it home.\So let's put it in a time capsule\and dig it up when we're grown up.\Romantic, right?\Haru... response:	Let's go, Haru.
context: I'll show you a sight you've never seen before.\The four of us won this together,\so it doesn't make sense for one person to take it home.\So let's put it in a time capsule\and dig it up when we're grown up.\Romantic, right?\Haru...\Let's go, Haru. response:	Yeah...
context: The four of us won this together,\so it doesn't make sense for one person to take it home.\So let's put it in a time capsule\and dig it up when we're grown up.\Romantic, right?\Haru...\Let's go, Haru.\Yeah... response:	Think the marker is still there?
context: so it doesn't make sense for one person to take it home.\So let's put it in a time capsule\and dig it up when we're grown up.\Romantic, right?\Haru...\Let's go, Haru.\Yeah...\Think the marker is still there? response:	Can we pick up the pace a little?
context: So let's put it in a time capsule\and dig it up when we're grown up.\Romantic, right?\Haru...\Let's go, Haru.\Yeah...\Think the marker is still there?\Can we pick up the pace a little? response:	Yo.
context: and dig it up when we're grown up.\Romantic, right?\Haru...\Let's go, Haru.\Yeah...\Think the marker is still there?\Can we pick up the pace a little?\Yo. response:	Huh? Who's there?
context: Romantic, right?\Haru...\Let's go, Haru.\Yeah...\Think the marker is still there?\Can we pick up the pace a little?\Yo.\Huh? Who's there? response:	I can't tell.
context: Haru...\Let's go, Haru.\Yeah...\Think the marker is still there?\Can we pick up the pace a little?\Yo.\Huh? Who's there?\I can't tell. response:	I didn't think I'd run into you guys here.
context: Let's go, Haru.\Yeah...\Think the marker is still there?\Can we pick up the pace a little?\Yo.\Huh? Who's there?\I can't tell.\I didn't think I'd run into you guys here. response:	Rin!
context: Yeah...\Think the marker is still there?\Can we pick up the pace a little?\Yo.\Huh? Who's there?\I can't tell.\I didn't think I'd run into you guys here.\Rin! response:	Rin-chan!
context: Think the marker is still there?\Can we pick up the pace a little?\Yo.\Huh? Who's there?\I can't tell.\I didn't think I'd run into you guys here.\Rin!\Rin-chan! response:	You're back from Australia!
context: Can we pick up the pace a little?\Yo.\Huh? Who's there?\I can't tell.\I didn't think I'd run into you guys here.\Rin!\Rin-chan!\You're back from Australia! response:	What are you doing here, though?
context: Yo.\Huh? Who's there?\I can't tell.\I didn't think I'd run into you guys here.\Rin!\Rin-chan!\You're back from Australia!\What are you doing here, though? response:	This must be fate!
context: Huh? Who's there?\I can't tell.\I didn't think I'd run into you guys here.\Rin!\Rin-chan!\You're back from Australia!\What are you doing here, though?\This must be fate! response:	Some unseen force brought us all here at this exact
context: I can't tell.\I didn't think I'd run into you guys here.\Rin!\Rin-chan!\You're back from Australia!\What are you doing here, though?\This must be fate!\Some unseen force brought us all here at this exact response:	Haru, you're still hanging out with these guys?
context: I didn't think I'd run into you guys here.\Rin!\Rin-chan!\You're back from Australia!\What are you doing here, though?\This must be fate!\Some unseen force brought us all here at this exact\Haru, you're still hanging out with these guys? response:	You never learn.
context: Rin!\Rin-chan!\You're back from Australia!\What are you doing here, though?\This must be fate!\Some unseen force brought us all here at this exact\Haru, you're still hanging out with these guys?\You never learn. response:	What are you talking about, Rin?
context: Rin-chan!\You're back from Australia!\What are you doing here, though?\This must be fate!\Some unseen force brought us all here at this exact\Haru, you're still hanging out with these guys?\You never learn.\What are you talking about, Rin? response:	And what about you?
context: You're back from Australia!\What are you doing here, though?\This must be fate!\Some unseen force brought us all here at this exact\Haru, you're still hanging out with these guys?\You never learn.\What are you talking about, Rin?\And what about you? response:	Have you learned anything?
context: What are you doing here, though?\This must be fate!\Some unseen force brought us all here at this exact\Haru, you're still hanging out with these guys?\You never learn.\What are you talking about, Rin?\And what about you?\Have you learned anything? response:	Haru?
context: This must be fate!\Some unseen force brought us all here at this exact\Haru, you're still hanging out with these guys?\You never learn.\What are you talking about, Rin?\And what about you?\Have you learned anything?\Haru? response:	I'm glad you asked.
context: Some unseen force brought us all here at this exact\Haru, you're still hanging out with these guys?\You never learn.\What are you talking about, Rin?\And what about you?\Have you learned anything?\Haru?\I'm glad you asked. response:	Why don't I show you?
context: Haru, you're still hanging out with these guys?\You never learn.\What are you talking about, Rin?\And what about you?\Have you learned anything?\Haru?\I'm glad you asked.\Why don't I show you? response:	Let's race, Haru.
context: You never learn.\What are you talking about, Rin?\And what about you?\Have you learned anything?\Haru?\I'm glad you asked.\Why don't I show you?\Let's race, Haru. response:	Race?
context: What are you talking about, Rin?\And what about you?\Have you learned anything?\Haru?\I'm glad you asked.\Why don't I show you?\Let's race, Haru.\Race? response:	Wait, Haru!
context: And what about you?\Have you learned anything?\Haru?\I'm glad you asked.\Why don't I show you?\Let's race, Haru.\Race?\Wait, Haru! response:	Did they just ditch us?
context: Have you learned anything?\Haru?\I'm glad you asked.\Why don't I show you?\Let's race, Haru.\Race?\Wait, Haru!\Did they just ditch us? response:	Looks like it.
context: Haru?\I'm glad you asked.\Why don't I show you?\Let's race, Haru.\Race?\Wait, Haru!\Did they just ditch us?\Looks like it. response:	Wait!
context: I'm glad you asked.\Why don't I show you?\Let's race, Haru.\Race?\Wait, Haru!\Did they just ditch us?\Looks like it.\Wait! response:	I'll show you how different we are now.
context: Why don't I show you?\Let's race, Haru.\Race?\Wait, Haru!\Did they just ditch us?\Looks like it.\Wait!\I'll show you how different we are now. response:	Sure.
context: Let's race, Haru.\Race?\Wait, Haru!\Did they just ditch us?\Looks like it.\Wait!\I'll show you how different we are now.\Sure. response:	Go ahead.
context: Race?\Wait, Haru!\Did they just ditch us?\Looks like it.\Wait!\I'll show you how different we are now.\Sure.\Go ahead. response:	They're going to swim here?
context: Wait, Haru!\Did they just ditch us?\Looks like it.\Wait!\I'll show you how different we are now.\Sure.\Go ahead.\They're going to swim here? response:	Wait, hold on.
context: Did they just ditch us?\Looks like it.\Wait!\I'll show you how different we are now.\Sure.\Go ahead.\They're going to swim here?\Wait, hold on. response:	Haru, that's a bad idea!
context: Looks like it.\Wait!\I'll show you how different we are now.\Sure.\Go ahead.\They're going to swim here?\Wait, hold on.\Haru, that's a bad idea! response:	Wait, you've been wearing that the whole day?!
