context: It's a castle. response:	Someone's fighting?
context: We never had identities of our own!\I am Sella, and starting today, I will be looking after you.\And this is Leysritt, who has been assigned to protect you.\I-Illya... Nice to meet you.\Please forgive her. Leysritt's link is not yet complete\I don't care.\Making introductions is pointless.\You're all the same, anyway. response:	Then is the Servant here?
context: I am Sella, and starting today, I will be looking after you.\And this is Leysritt, who has been assigned to protect you.\I-Illya... Nice to meet you.\Please forgive her. Leysritt's link is not yet complete\I don't care.\Making introductions is pointless.\You're all the same, anyway.\Then is the Servant here? response:	Yes, the summoning has already been performed.
context: And this is Leysritt, who has been assigned to protect you.\I-Illya... Nice to meet you.\Please forgive her. Leysritt's link is not yet complete\I don't care.\Making introductions is pointless.\You're all the same, anyway.\Then is the Servant here?\Yes, the summoning has already been performed. response:	He is the great hero renowned in Greek myth, Heracles.
context: I-Illya... Nice to meet you.\Please forgive her. Leysritt's link is not yet complete\I don't care.\Making introductions is pointless.\You're all the same, anyway.\Then is the Servant here?\Yes, the summoning has already been performed.\He is the great hero renowned in Greek myth, Heracles. response:	How awe-inspiring...
context: Please forgive her. Leysritt's link is not yet complete\I don't care.\Making introductions is pointless.\You're all the same, anyway.\Then is the Servant here?\Yes, the summoning has already been performed.\He is the great hero renowned in Greek myth, Heracles.\How awe-inspiring... response:	Rejoice, mistress!
context: I don't care.\Making introductions is pointless.\You're all the same, anyway.\Then is the Servant here?\Yes, the summoning has already been performed.\He is the great hero renowned in Greek myth, Heracles.\How awe-inspiring...\Rejoice, mistress! response:	With a Heroic Spirit such as this summoned, your victory is assured!
context: Making introductions is pointless.\You're all the same, anyway.\Then is the Servant here?\Yes, the summoning has already been performed.\He is the great hero renowned in Greek myth, Heracles.\How awe-inspiring...\Rejoice, mistress!\With a Heroic Spirit such as this summoned, your victory is assured! response:	We place our lives and our meager abilities at your
context: You're all the same, anyway.\Then is the Servant here?\Yes, the summoning has already been performed.\He is the great hero renowned in Greek myth, Heracles.\How awe-inspiring...\Rejoice, mistress!\With a Heroic Spirit such as this summoned, your victory is assured!\We place our lives and our meager abilities at your response:	I don't want it.
context: Then is the Servant here?\Yes, the summoning has already been performed.\He is the great hero renowned in Greek myth, Heracles.\How awe-inspiring...\Rejoice, mistress!\With a Heroic Spirit such as this summoned, your victory is assured!\We place our lives and our meager abilities at your\I don't want it. response:	I don't want anything like that.
context: Yes, the summoning has already been performed.\He is the great hero renowned in Greek myth, Heracles.\How awe-inspiring...\Rejoice, mistress!\With a Heroic Spirit such as this summoned, your victory is assured!\We place our lives and our meager abilities at your\I don't want it.\I don't want anything like that. response:	Servants are nothing more than tools.
context: He is the great hero renowned in Greek myth, Heracles.\How awe-inspiring...\Rejoice, mistress!\With a Heroic Spirit such as this summoned, your victory is assured!\We place our lives and our meager abilities at your\I don't want it.\I don't want anything like that.\Servants are nothing more than tools. response:	What's on the inside doesn't matter.
context: How awe-inspiring...\Rejoice, mistress!\With a Heroic Spirit such as this summoned, your victory is assured!\We place our lives and our meager abilities at your\I don't want it.\I don't want anything like that.\Servants are nothing more than tools.\What's on the inside doesn't matter. response:	I can manage just fine on my own.
context: Rejoice, mistress!\With a Heroic Spirit such as this summoned, your victory is assured!\We place our lives and our meager abilities at your\I don't want it.\I don't want anything like that.\Servants are nothing more than tools.\What's on the inside doesn't matter.\I can manage just fine on my own. response:	I'll win the Holy Grail War by myself.
context: With a Heroic Spirit such as this summoned, your victory is assured!\We place our lives and our meager abilities at your\I don't want it.\I don't want anything like that.\Servants are nothing more than tools.\What's on the inside doesn't matter.\I can manage just fine on my own.\I'll win the Holy Grail War by myself. response:	That is wrong.
context: We place our lives and our meager abilities at your\I don't want it.\I don't want anything like that.\Servants are nothing more than tools.\What's on the inside doesn't matter.\I can manage just fine on my own.\I'll win the Holy Grail War by myself.\That is wrong. response:	You need Berserker...
context: I don't want it.\I don't want anything like that.\Servants are nothing more than tools.\What's on the inside doesn't matter.\I can manage just fine on my own.\I'll win the Holy Grail War by myself.\That is wrong.\You need Berserker... response:	Berserker will keep you safe...
context: I don't want anything like that.\Servants are nothing more than tools.\What's on the inside doesn't matter.\I can manage just fine on my own.\I'll win the Holy Grail War by myself.\That is wrong.\You need Berserker...\Berserker will keep you safe... response:	Don't make me laugh.
context: Servants are nothing more than tools.\What's on the inside doesn't matter.\I can manage just fine on my own.\I'll win the Holy Grail War by myself.\That is wrong.\You need Berserker...\Berserker will keep you safe...\Don't make me laugh. response:	Servants are just familiars that are bound by rules.
context: What's on the inside doesn't matter.\I can manage just fine on my own.\I'll win the Holy Grail War by myself.\That is wrong.\You need Berserker...\Berserker will keep you safe...\Don't make me laugh.\Servants are just familiars that are bound by rules. response:	If not for my Command Seals, it would betray me in an instant.
context: I can manage just fine on my own.\I'll win the Holy Grail War by myself.\That is wrong.\You need Berserker...\Berserker will keep you safe...\Don't make me laugh.\Servants are just familiars that are bound by rules.\If not for my Command Seals, it would betray me in an instant. response:	I don't trust anyone anymore.
context: I'll win the Holy Grail War by myself.\That is wrong.\You need Berserker...\Berserker will keep you safe...\Don't make me laugh.\Servants are just familiars that are bound by rules.\If not for my Command Seals, it would betray me in an instant.\I don't trust anyone anymore. response:	We will now begin linking you to Berserker.
context: That is wrong.\You need Berserker...\Berserker will keep you safe...\Don't make me laugh.\Servants are just familiars that are bound by rules.\If not for my Command Seals, it would betray me in an instant.\I don't trust anyone anymore.\We will now begin linking you to Berserker. response:	Seventy percent of your body is composed of Magic Circuits,
context: You need Berserker...\Berserker will keep you safe...\Don't make me laugh.\Servants are just familiars that are bound by rules.\If not for my Command Seals, it would betray me in an instant.\I don't trust anyone anymore.\We will now begin linking you to Berserker.\Seventy percent of your body is composed of Magic Circuits, response:	so you will receive far more Servant feedback than an ordinary Master.
context: Berserker will keep you safe...\Don't make me laugh.\Servants are just familiars that are bound by rules.\If not for my Command Seals, it would betray me in an instant.\I don't trust anyone anymore.\We will now begin linking you to Berserker.\Seventy percent of your body is composed of Magic Circuits,\so you will receive far more Servant feedback than an ordinary Master. response:	Please exercise the utmost caution.
context: Don't make me laugh.\Servants are just familiars that are bound by rules.\If not for my Command Seals, it would betray me in an instant.\I don't trust anyone anymore.\We will now begin linking you to Berserker.\Seventy percent of your body is composed of Magic Circuits,\so you will receive far more Servant feedback than an ordinary Master.\Please exercise the utmost caution. response:	Illya, if it hurts, stop.
context: Servants are just familiars that are bound by rules.\If not for my Command Seals, it would betray me in an instant.\I don't trust anyone anymore.\We will now begin linking you to Berserker.\Seventy percent of your body is composed of Magic Circuits,\so you will receive far more Servant feedback than an ordinary Master.\Please exercise the utmost caution.\Illya, if it hurts, stop. response:	That doesn't matter. Let's begin.
context: If not for my Command Seals, it would betray me in an instant.\I don't trust anyone anymore.\We will now begin linking you to Berserker.\Seventy percent of your body is composed of Magic Circuits,\so you will receive far more Servant feedback than an ordinary Master.\Please exercise the utmost caution.\Illya, if it hurts, stop.\That doesn't matter. Let's begin. response:	What's going on?
context: I don't trust anyone anymore.\We will now begin linking you to Berserker.\Seventy percent of your body is composed of Magic Circuits,\so you will receive far more Servant feedback than an ordinary Master.\Please exercise the utmost caution.\Illya, if it hurts, stop.\That doesn't matter. Let's begin.\What's going on? response:	What are you doing? Move like I said, Berserker!
context: We will now begin linking you to Berserker.\Seventy percent of your body is composed of Magic Circuits,\so you will receive far more Servant feedback than an ordinary Master.\Please exercise the utmost caution.\Illya, if it hurts, stop.\That doesn't matter. Let's begin.\What's going on?\What are you doing? Move like I said, Berserker! response:	Move, I said!
context: Seventy percent of your body is composed of Magic Circuits,\so you will receive far more Servant feedback than an ordinary Master.\Please exercise the utmost caution.\Illya, if it hurts, stop.\That doesn't matter. Let's begin.\What's going on?\What are you doing? Move like I said, Berserker!\Move, I said! response:	Why won't you move?
context: so you will receive far more Servant feedback than an ordinary Master.\Please exercise the utmost caution.\Illya, if it hurts, stop.\That doesn't matter. Let's begin.\What's going on?\What are you doing? Move like I said, Berserker!\Move, I said!\Why won't you move? response:	Come on... Move!
context: Please exercise the utmost caution.\Illya, if it hurts, stop.\That doesn't matter. Let's begin.\What's going on?\What are you doing? Move like I said, Berserker!\Move, I said!\Why won't you move?\Come on... Move! response:	And you call yourself the most powerful Heroic Spirit?
context: Illya, if it hurts, stop.\That doesn't matter. Let's begin.\What's going on?\What are you doing? Move like I said, Berserker!\Move, I said!\Why won't you move?\Come on... Move!\And you call yourself the most powerful Heroic Spirit? response:	Come on, move!
context: That doesn't matter. Let's begin.\What's going on?\What are you doing? Move like I said, Berserker!\Move, I said!\Why won't you move?\Come on... Move!\And you call yourself the most powerful Heroic Spirit?\Come on, move! response:	Mistress!
context: What's going on?\What are you doing? Move like I said, Berserker!\Move, I said!\Why won't you move?\Come on... Move!\And you call yourself the most powerful Heroic Spirit?\Come on, move!\Mistress! response:	Please sever the link!
context: What are you doing? Move like I said, Berserker!\Move, I said!\Why won't you move?\Come on... Move!\And you call yourself the most powerful Heroic Spirit?\Come on, move!\Mistress!\Please sever the link! response:	Let's perform the pact ritual another time!
context: Move, I said!\Why won't you move?\Come on... Move!\And you call yourself the most powerful Heroic Spirit?\Come on, move!\Mistress!\Please sever the link!\Let's perform the pact ritual another time! response:	This is nothing...
context: Why won't you move?\Come on... Move!\And you call yourself the most powerful Heroic Spirit?\Come on, move!\Mistress!\Please sever the link!\Let's perform the pact ritual another time!\This is nothing... response:	I'll break him soon enough, so be quiet and watch.
context: Come on... Move!\And you call yourself the most powerful Heroic Spirit?\Come on, move!\Mistress!\Please sever the link!\Let's perform the pact ritual another time!\This is nothing...\I'll break him soon enough, so be quiet and watch. response:	I won't be beaten.
context: And you call yourself the most powerful Heroic Spirit?\Come on, move!\Mistress!\Please sever the link!\Let's perform the pact ritual another time!\This is nothing...\I'll break him soon enough, so be quiet and watch.\I won't be beaten. response:	I'm the most powerful Master in the world!
context: Come on, move!\Mistress!\Please sever the link!\Let's perform the pact ritual another time!\This is nothing...\I'll break him soon enough, so be quiet and watch.\I won't be beaten.\I'm the most powerful Master in the world! response:	Huh? How did I...
context: Mistress!\Please sever the link!\Let's perform the pact ritual another time!\This is nothing...\I'll break him soon enough, so be quiet and watch.\I won't be beaten.\I'm the most powerful Master in the world!\Huh? How did I... response:	Oh, right... I was in the middle of the final test.
context: Please sever the link!\Let's perform the pact ritual another time!\This is nothing...\I'll break him soon enough, so be quiet and watch.\I won't be beaten.\I'm the most powerful Master in the world!\Huh? How did I...\Oh, right... I was in the middle of the final test. response:	If I make it back to the castle alive, I can go to Fuyuki.
context: Let's perform the pact ritual another time!\This is nothing...\I'll break him soon enough, so be quiet and watch.\I won't be beaten.\I'm the most powerful Master in the world!\Huh? How did I...\Oh, right... I was in the middle of the final test.\If I make it back to the castle alive, I can go to Fuyuki. response:	But I left Berserker behind.
context: This is nothing...\I'll break him soon enough, so be quiet and watch.\I won't be beaten.\I'm the most powerful Master in the world!\Huh? How did I...\Oh, right... I was in the middle of the final test.\If I make it back to the castle alive, I can go to Fuyuki.\But I left Berserker behind. response:	That's okay, though.
context: I'll break him soon enough, so be quiet and watch.\I won't be beaten.\I'm the most powerful Master in the world!\Huh? How did I...\Oh, right... I was in the middle of the final test.\If I make it back to the castle alive, I can go to Fuyuki.\But I left Berserker behind.\That's okay, though. response:	When I get back to the castle, I'll just summon a new Servant.
context: I won't be beaten.\I'm the most powerful Master in the world!\Huh? How did I...\Oh, right... I was in the middle of the final test.\If I make it back to the castle alive, I can go to Fuyuki.\But I left Berserker behind.\That's okay, though.\When I get back to the castle, I'll just summon a new Servant. response:	I'll summon one that won't cause me pain and isn't so scary.
context: I'm the most powerful Master in the world!\Huh? How did I...\Oh, right... I was in the middle of the final test.\If I make it back to the castle alive, I can go to Fuyuki.\But I left Berserker behind.\That's okay, though.\When I get back to the castle, I'll just summon a new Servant.\I'll summon one that won't cause me pain and isn't so scary. response:	Berserker?
context: Huh? How did I...\Oh, right... I was in the middle of the final test.\If I make it back to the castle alive, I can go to Fuyuki.\But I left Berserker behind.\That's okay, though.\When I get back to the castle, I'll just summon a new Servant.\I'll summon one that won't cause me pain and isn't so scary.\Berserker? response:	Why are you here?
context: Oh, right... I was in the middle of the final test.\If I make it back to the castle alive, I can go to Fuyuki.\But I left Berserker behind.\That's okay, though.\When I get back to the castle, I'll just summon a new Servant.\I'll summon one that won't cause me pain and isn't so scary.\Berserker?\Why are you here? response:	I left you behind...
context: If I make it back to the castle alive, I can go to Fuyuki.\But I left Berserker behind.\That's okay, though.\When I get back to the castle, I'll just summon a new Servant.\I'll summon one that won't cause me pain and isn't so scary.\Berserker?\Why are you here?\I left you behind... response:	Why aren't you fighting?
context: But I left Berserker behind.\That's okay, though.\When I get back to the castle, I'll just summon a new Servant.\I'll summon one that won't cause me pain and isn't so scary.\Berserker?\Why are you here?\I left you behind...\Why aren't you fighting? response:	Because of me?
context: That's okay, though.\When I get back to the castle, I'll just summon a new Servant.\I'll summon one that won't cause me pain and isn't so scary.\Berserker?\Why are you here?\I left you behind...\Why aren't you fighting?\Because of me? response:	Because you don't want to make me suffer?
context: When I get back to the castle, I'll just summon a new Servant.\I'll summon one that won't cause me pain and isn't so scary.\Berserker?\Why are you here?\I left you behind...\Why aren't you fighting?\Because of me?\Because you don't want to make me suffer? response:	Because you don't want to hurt me?
context: I'll summon one that won't cause me pain and isn't so scary.\Berserker?\Why are you here?\I left you behind...\Why aren't you fighting?\Because of me?\Because you don't want to make me suffer?\Because you don't want to hurt me? response:	Get them, Berserker.
context: Berserker?\Why are you here?\I left you behind...\Why aren't you fighting?\Because of me?\Because you don't want to make me suffer?\Because you don't want to hurt me?\Get them, Berserker. response:	I finally understand.
context: Why are you here?\I left you behind...\Why aren't you fighting?\Because of me?\Because you don't want to make me suffer?\Because you don't want to hurt me?\Get them, Berserker.\I finally understand. response:	You didn't protect me because I ordered you to or because you're a Servant.
context: I left you behind...\Why aren't you fighting?\Because of me?\Because you don't want to make me suffer?\Because you don't want to hurt me?\Get them, Berserker.\I finally understand.\You didn't protect me because I ordered you to or because you're a Servant. response:	You've been protecting me of your own free will, haven't you?
context: Why aren't you fighting?\Because of me?\Because you don't want to make me suffer?\Because you don't want to hurt me?\Get them, Berserker.\I finally understand.\You didn't protect me because I ordered you to or because you're a Servant.\You've been protecting me of your own free will, haven't you? response:	You're so strong, Berserker...
context: Because of me?\Because you don't want to make me suffer?\Because you don't want to hurt me?\Get them, Berserker.\I finally understand.\You didn't protect me because I ordered you to or because you're a Servant.\You've been protecting me of your own free will, haven't you?\You're so strong, Berserker... response:	He won't lose.
context: Because you don't want to make me suffer?\Because you don't want to hurt me?\Get them, Berserker.\I finally understand.\You didn't protect me because I ordered you to or because you're a Servant.\You've been protecting me of your own free will, haven't you?\You're so strong, Berserker...\He won't lose. response:	Berserker won't lose to the likes of him.
context: Because you don't want to hurt me?\Get them, Berserker.\I finally understand.\You didn't protect me because I ordered you to or because you're a Servant.\You've been protecting me of your own free will, haven't you?\You're so strong, Berserker...\He won't lose.\Berserker won't lose to the likes of him. response:	Because Berserker is...
context: Get them, Berserker.\I finally understand.\You didn't protect me because I ordered you to or because you're a Servant.\You've been protecting me of your own free will, haven't you?\You're so strong, Berserker...\He won't lose.\Berserker won't lose to the likes of him.\Because Berserker is... response:	He's stronger than anyone!
context: I finally understand.\You didn't protect me because I ordered you to or because you're a Servant.\You've been protecting me of your own free will, haven't you?\You're so strong, Berserker...\He won't lose.\Berserker won't lose to the likes of him.\Because Berserker is...\He's stronger than anyone! response:	What was that?
context: You didn't protect me because I ordered you to or because you're a Servant.\You've been protecting me of your own free will, haven't you?\You're so strong, Berserker...\He won't lose.\Berserker won't lose to the likes of him.\Because Berserker is...\He's stronger than anyone!\What was that? response:	Shirou...
context: You've been protecting me of your own free will, haven't you?\You're so strong, Berserker...\He won't lose.\Berserker won't lose to the likes of him.\Because Berserker is...\He's stronger than anyone!\What was that?\Shirou... response:	You understand, right?
context: You're so strong, Berserker...\He won't lose.\Berserker won't lose to the likes of him.\Because Berserker is...\He's stronger than anyone!\What was that?\Shirou...\You understand, right? response:	No matter what happens, don't interfere.
context: He won't lose.\Berserker won't lose to the likes of him.\Because Berserker is...\He's stronger than anyone!\What was that?\Shirou...\You understand, right?\No matter what happens, don't interfere. response:	We have no way to fight them now.
context: Berserker won't lose to the likes of him.\Because Berserker is...\He's stronger than anyone!\What was that?\Shirou...\You understand, right?\No matter what happens, don't interfere.\We have no way to fight them now. response:	Got it?
context: Because Berserker is...\He's stronger than anyone!\What was that?\Shirou...\You understand, right?\No matter what happens, don't interfere.\We have no way to fight them now.\Got it? response:	If you want to save people,
context: He's stronger than anyone!\What was that?\Shirou...\You understand, right?\No matter what happens, don't interfere.\We have no way to fight them now.\Got it?\If you want to save people, response:	save yourself first, and then think about others.
context: What was that?\Shirou...\You understand, right?\No matter what happens, don't interfere.\We have no way to fight them now.\Got it?\If you want to save people,\save yourself first, and then think about others. response:	Your defeat is certain.
context: Shirou...\You understand, right?\No matter what happens, don't interfere.\We have no way to fight them now.\Got it?\If you want to save people,\save yourself first, and then think about others.\Your defeat is certain. response:	How about it? Since you will die anyway,
context: You understand, right?\No matter what happens, don't interfere.\We have no way to fight them now.\Got it?\If you want to save people,\save yourself first, and then think about others.\Your defeat is certain.\How about it? Since you will die anyway, response:	why not lay down your burden at the end?
context: No matter what happens, don't interfere.\We have no way to fight them now.\Got it?\If you want to save people,\save yourself first, and then think about others.\Your defeat is certain.\How about it? Since you will die anyway,\why not lay down your burden at the end? response:	Fighting unencumbered, you still have a chance of slaying me.
context: We have no way to fight them now.\Got it?\If you want to save people,\save yourself first, and then think about others.\Your defeat is certain.\How about it? Since you will die anyway,\why not lay down your burden at the end?\Fighting unencumbered, you still have a chance of slaying me. response:	I see...
context: Got it?\If you want to save people,\save yourself first, and then think about others.\Your defeat is certain.\How about it? Since you will die anyway,\why not lay down your burden at the end?\Fighting unencumbered, you still have a chance of slaying me.\I see... response:	Then die with your mistress.
context: If you want to save people,\save yourself first, and then think about others.\Your defeat is certain.\How about it? Since you will die anyway,\why not lay down your burden at the end?\Fighting unencumbered, you still have a chance of slaying me.\I see...\Then die with your mistress. response:	Don't lose...
context: save yourself first, and then think about others.\Your defeat is certain.\How about it? Since you will die anyway,\why not lay down your burden at the end?\Fighting unencumbered, you still have a chance of slaying me.\I see...\Then die with your mistress.\Don't lose... response:	Berserker!
context: Your defeat is certain.\How about it? Since you will die anyway,\why not lay down your burden at the end?\Fighting unencumbered, you still have a chance of slaying me.\I see...\Then die with your mistress.\Don't lose...\Berserker! response:	In that case, I shall give you the greatest of labors!
context: How about it? Since you will die anyway,\why not lay down your burden at the end?\Fighting unencumbered, you still have a chance of slaying me.\I see...\Then die with your mistress.\Don't lose...\Berserker!\In that case, I shall give you the greatest of labors! response:	That makes eleven!
context: why not lay down your burden at the end?\Fighting unencumbered, you still have a chance of slaying me.\I see...\Then die with your mistress.\Don't lose...\Berserker!\In that case, I shall give you the greatest of labors!\That makes eleven! response:	You've run out of chances, Heracles!
context: Fighting unencumbered, you still have a chance of slaying me.\I see...\Then die with your mistress.\Don't lose...\Berserker!\In that case, I shall give you the greatest of labors!\That makes eleven!\You've run out of chances, Heracles! response:	Had he forsaken his mistress at once, he would have stood a chance...
context: I see...\Then die with your mistress.\Don't lose...\Berserker!\In that case, I shall give you the greatest of labors!\That makes eleven!\You've run out of chances, Heracles!\Had he forsaken his mistress at once, he would have stood a chance... response:	Ultimately, he was no more than a lowly beast? One who lived to fight?
context: Then die with your mistress.\Don't lose...\Berserker!\In that case, I shall give you the greatest of labors!\That makes eleven!\You've run out of chances, Heracles!\Had he forsaken his mistress at once, he would have stood a chance...\Ultimately, he was no more than a lowly beast? One who lived to fight? response:	I had hoped for better from a fellow demigod.
context: Don't lose...\Berserker!\In that case, I shall give you the greatest of labors!\That makes eleven!\You've run out of chances, Heracles!\Had he forsaken his mistress at once, he would have stood a chance...\Ultimately, he was no more than a lowly beast? One who lived to fight?\I had hoped for better from a fellow demigod. response:	I did not take you to be such a fool.
context: Berserker!\In that case, I shall give you the greatest of labors!\That makes eleven!\You've run out of chances, Heracles!\Had he forsaken his mistress at once, he would have stood a chance...\Ultimately, he was no more than a lowly beast? One who lived to fight?\I had hoped for better from a fellow demigod.\I did not take you to be such a fool. response:	Berserker!
context: In that case, I shall give you the greatest of labors!\That makes eleven!\You've run out of chances, Heracles!\Had he forsaken his mistress at once, he would have stood a chance...\Ultimately, he was no more than a lowly beast? One who lived to fight?\I had hoped for better from a fellow demigod.\I did not take you to be such a fool.\Berserker! response:	Return to me, Berserker!
context: That makes eleven!\You've run out of chances, Heracles!\Had he forsaken his mistress at once, he would have stood a chance...\Ultimately, he was no more than a lowly beast? One who lived to fight?\I had hoped for better from a fellow demigod.\I did not take you to be such a fool.\Berserker!\Return to me, Berserker! response:	Why? I told you to come back inside me, so why won't
context: You've run out of chances, Heracles!\Had he forsaken his mistress at once, he would have stood a chance...\Ultimately, he was no more than a lowly beast? One who lived to fight?\I had hoped for better from a fellow demigod.\I did not take you to be such a fool.\Berserker!\Return to me, Berserker!\Why? I told you to come back inside me, so why won't response:	No use, little puppet.
context: Had he forsaken his mistress at once, he would have stood a chance...\Ultimately, he was no more than a lowly beast? One who lived to fight?\I had hoped for better from a fellow demigod.\I did not take you to be such a fool.\Berserker!\Return to me, Berserker!\Why? I told you to come back inside me, so why won't\No use, little puppet. response:	The Chains of Heaven!
context: Ultimately, he was no more than a lowly beast? One who lived to fight?\I had hoped for better from a fellow demigod.\I did not take you to be such a fool.\Berserker!\Return to me, Berserker!\Why? I told you to come back inside me, so why won't\No use, little puppet.\The Chains of Heaven! response:	Anything bound in these chains cannot escape, not even a god.
context: I had hoped for better from a fellow demigod.\I did not take you to be such a fool.\Berserker!\Return to me, Berserker!\Why? I told you to come back inside me, so why won't\No use, little puppet.\The Chains of Heaven!\Anything bound in these chains cannot escape, not even a god. response:	Rather,
context: I did not take you to be such a fool.\Berserker!\Return to me, Berserker!\Why? I told you to come back inside me, so why won't\No use, little puppet.\The Chains of Heaven!\Anything bound in these chains cannot escape, not even a god.\Rather, response:	it binds those with high divinity levels, such as this man, more tightly.
context: Berserker!\Return to me, Berserker!\Why? I told you to come back inside me, so why won't\No use, little puppet.\The Chains of Heaven!\Anything bound in these chains cannot escape, not even a god.\Rather,\it binds those with high divinity levels, such as this man, more tightly. response:	As if I would allow him to teleport away via Command Seal.
context: Return to me, Berserker!\Why? I told you to come back inside me, so why won't\No use, little puppet.\The Chains of Heaven!\Anything bound in these chains cannot escape, not even a god.\Rather,\it binds those with high divinity levels, such as this man, more tightly.\As if I would allow him to teleport away via Command Seal. response:	No.
context: Why? I told you to come back inside me, so why won't\No use, little puppet.\The Chains of Heaven!\Anything bound in these chains cannot escape, not even a god.\Rather,\it binds those with high divinity levels, such as this man, more tightly.\As if I would allow him to teleport away via Command Seal.\No. response:	No, Berserker...
context: No use, little puppet.\The Chains of Heaven!\Anything bound in these chains cannot escape, not even a god.\Rather,\it binds those with high divinity levels, such as this man, more tightly.\As if I would allow him to teleport away via Command Seal.\No.\No, Berserker... response:	Berserker.
context: The Chains of Heaven!\Anything bound in these chains cannot escape, not even a god.\Rather,\it binds those with high divinity levels, such as this man, more tightly.\As if I would allow him to teleport away via Command Seal.\No.\No, Berserker...\Berserker. response:	Berserker...
context: Anything bound in these chains cannot escape, not even a god.\Rather,\it binds those with high divinity levels, such as this man, more tightly.\As if I would allow him to teleport away via Command Seal.\No.\No, Berserker...\Berserker.\Berserker... response:	Berserker...
context: Rather,\it binds those with high divinity levels, such as this man, more tightly.\As if I would allow him to teleport away via Command Seal.\No.\No, Berserker...\Berserker.\Berserker...\Berserker... response:	Shirou, I'm begging you!
context: it binds those with high divinity levels, such as this man, more tightly.\As if I would allow him to teleport away via Command Seal.\No.\No, Berserker...\Berserker.\Berserker...\Berserker...\Shirou, I'm begging you! response:	Huh? It hurts...
context: As if I would allow him to teleport away via Command Seal.\No.\No, Berserker...\Berserker.\Berserker...\Berserker...\Shirou, I'm begging you!\Huh? It hurts... response:	It really hurts.
context: No.\No, Berserker...\Berserker.\Berserker...\Berserker...\Shirou, I'm begging you!\Huh? It hurts...\It really hurts. response:	Berserker...
context: No, Berserker...\Berserker.\Berserker...\Berserker...\Shirou, I'm begging you!\Huh? It hurts...\It really hurts.\Berserker... response:	Where are you? I can't see you.
context: Berserker.\Berserker...\Berserker...\Shirou, I'm begging you!\Huh? It hurts...\It really hurts.\Berserker...\Where are you? I can't see you. response:	It's all dark. I can't see anything...
context: Berserker...\Berserker...\Shirou, I'm begging you!\Huh? It hurts...\It really hurts.\Berserker...\Where are you? I can't see you.\It's all dark. I can't see anything... response:	Thank goodness.
context: Berserker...\Shirou, I'm begging you!\Huh? It hurts...\It really hurts.\Berserker...\Where are you? I can't see you.\It's all dark. I can't see anything...\Thank goodness. response:	Please stay here with me forever, Berserker...
context: Shirou, I'm begging you!\Huh? It hurts...\It really hurts.\Berserker...\Where are you? I can't see you.\It's all dark. I can't see anything...\Thank goodness.\Please stay here with me forever, Berserker... response:	What?
context: Huh? It hurts...\It really hurts.\Berserker...\Where are you? I can't see you.\It's all dark. I can't see anything...\Thank goodness.\Please stay here with me forever, Berserker...\What? response:	Troublesome man.
context: It really hurts.\Berserker...\Where are you? I can't see you.\It's all dark. I can't see anything...\Thank goodness.\Please stay here with me forever, Berserker...\What?\Troublesome man. response:	You surpass your own myth to the very end.
context: Berserker...\Where are you? I can't see you.\It's all dark. I can't see anything...\Thank goodness.\Please stay here with me forever, Berserker...\What?\Troublesome man.\You surpass your own myth to the very end. response:	Stop it, you bastard!
context: Where are you? I can't see you.\It's all dark. I can't see anything...\Thank goodness.\Please stay here with me forever, Berserker...\What?\Troublesome man.\You surpass your own myth to the very end.\Stop it, you bastard! response:	Even if everything's dark, I'm not scared.
context: It's all dark. I can't see anything...\Thank goodness.\Please stay here with me forever, Berserker...\What?\Troublesome man.\You surpass your own myth to the very end.\Stop it, you bastard!\Even if everything's dark, I'm not scared. response:	Because you're strong, Berserker.
context: Thank goodness.\Please stay here with me forever, Berserker...\What?\Troublesome man.\You surpass your own myth to the very end.\Stop it, you bastard!\Even if everything's dark, I'm not scared.\Because you're strong, Berserker. response:	With you next to me like this, I don't have to worry.
context: Please stay here with me forever, Berserker...\What?\Troublesome man.\You surpass your own myth to the very end.\Stop it, you bastard!\Even if everything's dark, I'm not scared.\Because you're strong, Berserker.\With you next to me like this, I don't have to worry. response:	Because you always protected me.
context: What?\Troublesome man.\You surpass your own myth to the very end.\Stop it, you bastard!\Even if everything's dark, I'm not scared.\Because you're strong, Berserker.\With you next to me like this, I don't have to worry.\Because you always protected me. response:	You might have been scary, but actually, you were kind.
context: Troublesome man.\You surpass your own myth to the very end.\Stop it, you bastard!\Even if everything's dark, I'm not scared.\Because you're strong, Berserker.\With you next to me like this, I don't have to worry.\Because you always protected me.\You might have been scary, but actually, you were kind. response:	You were big, just like Father.
context: You surpass your own myth to the very end.\Stop it, you bastard!\Even if everything's dark, I'm not scared.\Because you're strong, Berserker.\With you next to me like this, I don't have to worry.\Because you always protected me.\You might have been scary, but actually, you were kind.\You were big, just like Father. response:	I really wanted you to scoop me up in your arms, just once.
context: Stop it, you bastard!\Even if everything's dark, I'm not scared.\Because you're strong, Berserker.\With you next to me like this, I don't have to worry.\Because you always protected me.\You might have been scary, but actually, you were kind.\You were big, just like Father.\I really wanted you to scoop me up in your arms, just once. response:	Yeah.
context: Even if everything's dark, I'm not scared.\Because you're strong, Berserker.\With you next to me like this, I don't have to worry.\Because you always protected me.\You might have been scary, but actually, you were kind.\You were big, just like Father.\I really wanted you to scoop me up in your arms, just once.\Yeah. response:	It's kinda cold, isn't it?
