context: So, um, Yuuki... response:	Hi.
context: What situations lead to a transformation?\You need to have exact answers to those questions.\So that you're not paralyzed with fear.\Yanagi told me...\you're so afraid of transforming you can't get anywhere near your girlfriend.\What?\So first, you need to know yourself.\Especially if you want to face your girlfriend and protect her. response:	There are ways to train yourself to control your bloodlust.
context: You need to have exact answers to those questions.\So that you're not paralyzed with fear.\Yanagi told me...\you're so afraid of transforming you can't get anywhere near your girlfriend.\What?\So first, you need to know yourself.\Especially if you want to face your girlfriend and protect her.\There are ways to train yourself to control your bloodlust. response:	But to do it, you'll need her help.
context: So that you're not paralyzed with fear.\Yanagi told me...\you're so afraid of transforming you can't get anywhere near your girlfriend.\What?\So first, you need to know yourself.\Especially if you want to face your girlfriend and protect her.\There are ways to train yourself to control your bloodlust.\But to do it, you'll need her help. response:	Hey guys, quiet.
context: Yanagi told me...\you're so afraid of transforming you can't get anywhere near your girlfriend.\What?\So first, you need to know yourself.\Especially if you want to face your girlfriend and protect her.\There are ways to train yourself to control your bloodlust.\But to do it, you'll need her help.\Hey guys, quiet. response:	Emergency message from B2 HQ.
context: you're so afraid of transforming you can't get anywhere near your girlfriend.\What?\So first, you need to know yourself.\Especially if you want to face your girlfriend and protect her.\There are ways to train yourself to control your bloodlust.\But to do it, you'll need her help.\Hey guys, quiet.\Emergency message from B2 HQ. response:	Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...
context: What?\So first, you need to know yourself.\Especially if you want to face your girlfriend and protect her.\There are ways to train yourself to control your bloodlust.\But to do it, you'll need her help.\Hey guys, quiet.\Emergency message from B2 HQ.\Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital... response:	taking a hostage with her.
context: So first, you need to know yourself.\Especially if you want to face your girlfriend and protect her.\There are ways to train yourself to control your bloodlust.\But to do it, you'll need her help.\Hey guys, quiet.\Emergency message from B2 HQ.\Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...\taking a hostage with her. response:	The hostage is a young woman with short hair and a scar across her face.
context: Especially if you want to face your girlfriend and protect her.\There are ways to train yourself to control your bloodlust.\But to do it, you'll need her help.\Hey guys, quiet.\Emergency message from B2 HQ.\Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...\taking a hostage with her.\The hostage is a young woman with short hair and a scar across her face. response:	Look, we're here, Zero Seven.
context: There are ways to train yourself to control your bloodlust.\But to do it, you'll need her help.\Hey guys, quiet.\Emergency message from B2 HQ.\Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...\taking a hostage with her.\The hostage is a young woman with short hair and a scar across her face.\Look, we're here, Zero Seven. response:	I couldn't stop myself from helping them.
context: But to do it, you'll need her help.\Hey guys, quiet.\Emergency message from B2 HQ.\Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...\taking a hostage with her.\The hostage is a young woman with short hair and a scar across her face.\Look, we're here, Zero Seven.\I couldn't stop myself from helping them. response:	Am I being too naive?
context: Hey guys, quiet.\Emergency message from B2 HQ.\Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...\taking a hostage with her.\The hostage is a young woman with short hair and a scar across her face.\Look, we're here, Zero Seven.\I couldn't stop myself from helping them.\Am I being too naive? response:	Zero Nine, were we followed?
context: Emergency message from B2 HQ.\Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...\taking a hostage with her.\The hostage is a young woman with short hair and a scar across her face.\Look, we're here, Zero Seven.\I couldn't stop myself from helping them.\Am I being too naive?\Zero Nine, were we followed? response:	Don't worry. Just get some rest.
context: Target T, the suspect in the sniper case, has stolen a car and fled Shirase Hospital...\taking a hostage with her.\The hostage is a young woman with short hair and a scar across her face.\Look, we're here, Zero Seven.\I couldn't stop myself from helping them.\Am I being too naive?\Zero Nine, were we followed?\Don't worry. Just get some rest. response:	I'm listening to the police scanner.
context: taking a hostage with her.\The hostage is a young woman with short hair and a scar across her face.\Look, we're here, Zero Seven.\I couldn't stop myself from helping them.\Am I being too naive?\Zero Nine, were we followed?\Don't worry. Just get some rest.\I'm listening to the police scanner. response:	I'll tell you if anything happens.
context: The hostage is a young woman with short hair and a scar across her face.\Look, we're here, Zero Seven.\I couldn't stop myself from helping them.\Am I being too naive?\Zero Nine, were we followed?\Don't worry. Just get some rest.\I'm listening to the police scanner.\I'll tell you if anything happens. response:	So, just what do you people do?
context: Look, we're here, Zero Seven.\I couldn't stop myself from helping them.\Am I being too naive?\Zero Nine, were we followed?\Don't worry. Just get some rest.\I'm listening to the police scanner.\I'll tell you if anything happens.\So, just what do you people do? response:	Exterminate devils.
context: I couldn't stop myself from helping them.\Am I being too naive?\Zero Nine, were we followed?\Don't worry. Just get some rest.\I'm listening to the police scanner.\I'll tell you if anything happens.\So, just what do you people do?\Exterminate devils. response:	This devil issue has been hidden for years.
context: Am I being too naive?\Zero Nine, were we followed?\Don't worry. Just get some rest.\I'm listening to the police scanner.\I'll tell you if anything happens.\So, just what do you people do?\Exterminate devils.\This devil issue has been hidden for years. response:	Our mission is to expose it, warn people of the danger, and eradicate the problem.
context: Zero Nine, were we followed?\Don't worry. Just get some rest.\I'm listening to the police scanner.\I'll tell you if anything happens.\So, just what do you people do?\Exterminate devils.\This devil issue has been hidden for years.\Our mission is to expose it, warn people of the danger, and eradicate the problem. response:	Eradicate?!
context: Don't worry. Just get some rest.\I'm listening to the police scanner.\I'll tell you if anything happens.\So, just what do you people do?\Exterminate devils.\This devil issue has been hidden for years.\Our mission is to expose it, warn people of the danger, and eradicate the problem.\Eradicate?! response:	Hey! What do you think you can do?!
context: I'm listening to the police scanner.\I'll tell you if anything happens.\So, just what do you people do?\Exterminate devils.\This devil issue has been hidden for years.\Our mission is to expose it, warn people of the danger, and eradicate the problem.\Eradicate?!\Hey! What do you think you can do?! response:	I can't sit around and do nothing!
context: I'll tell you if anything happens.\So, just what do you people do?\Exterminate devils.\This devil issue has been hidden for years.\Our mission is to expose it, warn people of the danger, and eradicate the problem.\Eradicate?!\Hey! What do you think you can do?!\I can't sit around and do nothing! response:	Devils are supposed to be on standby!
context: So, just what do you people do?\Exterminate devils.\This devil issue has been hidden for years.\Our mission is to expose it, warn people of the danger, and eradicate the problem.\Eradicate?!\Hey! What do you think you can do?!\I can't sit around and do nothing!\Devils are supposed to be on standby! response:	Besides, you don't even know where she is.
context: Exterminate devils.\This devil issue has been hidden for years.\Our mission is to expose it, warn people of the danger, and eradicate the problem.\Eradicate?!\Hey! What do you think you can do?!\I can't sit around and do nothing!\Devils are supposed to be on standby!\Besides, you don't even know where she is. response:	You can't just wander around and hope...
context: This devil issue has been hidden for years.\Our mission is to expose it, warn people of the danger, and eradicate the problem.\Eradicate?!\Hey! What do you think you can do?!\I can't sit around and do nothing!\Devils are supposed to be on standby!\Besides, you don't even know where she is.\You can't just wander around and hope... response:	The sniper. She's that girl with the rifle, right?
context: Our mission is to expose it, warn people of the danger, and eradicate the problem.\Eradicate?!\Hey! What do you think you can do?!\I can't sit around and do nothing!\Devils are supposed to be on standby!\Besides, you don't even know where she is.\You can't just wander around and hope...\The sniper. She's that girl with the rifle, right? response:	I don't think she'd do anything to Tsukasa.
context: Eradicate?!\Hey! What do you think you can do?!\I can't sit around and do nothing!\Devils are supposed to be on standby!\Besides, you don't even know where she is.\You can't just wander around and hope...\The sniper. She's that girl with the rifle, right?\I don't think she'd do anything to Tsukasa. response:	She was a reasonable person.
context: Hey! What do you think you can do?!\I can't sit around and do nothing!\Devils are supposed to be on standby!\Besides, you don't even know where she is.\You can't just wander around and hope...\The sniper. She's that girl with the rifle, right?\I don't think she'd do anything to Tsukasa.\She was a reasonable person. response:	Yanagi said the same thing.
context: I can't sit around and do nothing!\Devils are supposed to be on standby!\Besides, you don't even know where she is.\You can't just wander around and hope...\The sniper. She's that girl with the rifle, right?\I don't think she'd do anything to Tsukasa.\She was a reasonable person.\Yanagi said the same thing. response:	That she didn't look like she was going to hurt her.
context: Devils are supposed to be on standby!\Besides, you don't even know where she is.\You can't just wander around and hope...\The sniper. She's that girl with the rifle, right?\I don't think she'd do anything to Tsukasa.\She was a reasonable person.\Yanagi said the same thing.\That she didn't look like she was going to hurt her. response:	This is a woman who killed five devils!
context: Besides, you don't even know where she is.\You can't just wander around and hope...\The sniper. She's that girl with the rifle, right?\I don't think she'd do anything to Tsukasa.\She was a reasonable person.\Yanagi said the same thing.\That she didn't look like she was going to hurt her.\This is a woman who killed five devils! response:	That's the thing.
context: You can't just wander around and hope...\The sniper. She's that girl with the rifle, right?\I don't think she'd do anything to Tsukasa.\She was a reasonable person.\Yanagi said the same thing.\That she didn't look like she was going to hurt her.\This is a woman who killed five devils!\That's the thing. response:	She's only killed devils.
context: The sniper. She's that girl with the rifle, right?\I don't think she'd do anything to Tsukasa.\She was a reasonable person.\Yanagi said the same thing.\That she didn't look like she was going to hurt her.\This is a woman who killed five devils!\That's the thing.\She's only killed devils. response:	She doesn't think of it as murder.
context: I don't think she'd do anything to Tsukasa.\She was a reasonable person.\Yanagi said the same thing.\That she didn't look like she was going to hurt her.\This is a woman who killed five devils!\That's the thing.\She's only killed devils.\She doesn't think of it as murder. response:	It's possible she thinks of it as a kind of pest control.
context: She was a reasonable person.\Yanagi said the same thing.\That she didn't look like she was going to hurt her.\This is a woman who killed five devils!\That's the thing.\She's only killed devils.\She doesn't think of it as murder.\It's possible she thinks of it as a kind of pest control. response:	You're a devil. If you go, I think you'll only provoke her.
context: Yanagi said the same thing.\That she didn't look like she was going to hurt her.\This is a woman who killed five devils!\That's the thing.\She's only killed devils.\She doesn't think of it as murder.\It's possible she thinks of it as a kind of pest control.\You're a devil. If you go, I think you'll only provoke her. response:	You said you liked a devil.
context: That she didn't look like she was going to hurt her.\This is a woman who killed five devils!\That's the thing.\She's only killed devils.\She doesn't think of it as murder.\It's possible she thinks of it as a kind of pest control.\You're a devil. If you go, I think you'll only provoke her.\You said you liked a devil. response:	How can you fall in love with one of those monsters?
context: This is a woman who killed five devils!\That's the thing.\She's only killed devils.\She doesn't think of it as murder.\It's possible she thinks of it as a kind of pest control.\You're a devil. If you go, I think you'll only provoke her.\You said you liked a devil.\How can you fall in love with one of those monsters? response:	Did you not know what he was?
context: That's the thing.\She's only killed devils.\She doesn't think of it as murder.\It's possible she thinks of it as a kind of pest control.\You're a devil. If you go, I think you'll only provoke her.\You said you liked a devil.\How can you fall in love with one of those monsters?\Did you not know what he was? response:	I didn't start to like him until after I found out he was a devil.
context: She's only killed devils.\She doesn't think of it as murder.\It's possible she thinks of it as a kind of pest control.\You're a devil. If you go, I think you'll only provoke her.\You said you liked a devil.\How can you fall in love with one of those monsters?\Did you not know what he was?\I didn't start to like him until after I found out he was a devil. response:	If you knew, how could you like him?
context: She doesn't think of it as murder.\It's possible she thinks of it as a kind of pest control.\You're a devil. If you go, I think you'll only provoke her.\You said you liked a devil.\How can you fall in love with one of those monsters?\Did you not know what he was?\I didn't start to like him until after I found out he was a devil.\If you knew, how could you like him? response:	How could I...
context: It's possible she thinks of it as a kind of pest control.\You're a devil. If you go, I think you'll only provoke her.\You said you liked a devil.\How can you fall in love with one of those monsters?\Did you not know what he was?\I didn't start to like him until after I found out he was a devil.\If you knew, how could you like him?\How could I... response:	You make this distinction between devils and humans, but they're basically the same.
context: You're a devil. If you go, I think you'll only provoke her.\You said you liked a devil.\How can you fall in love with one of those monsters?\Did you not know what he was?\I didn't start to like him until after I found out he was a devil.\If you knew, how could you like him?\How could I...\You make this distinction between devils and humans, but they're basically the same. response:	Just that some can't handle blood.
context: You said you liked a devil.\How can you fall in love with one of those monsters?\Did you not know what he was?\I didn't start to like him until after I found out he was a devil.\If you knew, how could you like him?\How could I...\You make this distinction between devils and humans, but they're basically the same.\Just that some can't handle blood. response:	The only visible difference is the dark circles under their eyes,
context: How can you fall in love with one of those monsters?\Did you not know what he was?\I didn't start to like him until after I found out he was a devil.\If you knew, how could you like him?\How could I...\You make this distinction between devils and humans, but they're basically the same.\Just that some can't handle blood.\The only visible difference is the dark circles under their eyes, response:	and devils who drink blood don't even have those.
context: Did you not know what he was?\I didn't start to like him until after I found out he was a devil.\If you knew, how could you like him?\How could I...\You make this distinction between devils and humans, but they're basically the same.\Just that some can't handle blood.\The only visible difference is the dark circles under their eyes,\and devils who drink blood don't even have those. response:	If they drink blood, the dark circles...
context: I didn't start to like him until after I found out he was a devil.\If you knew, how could you like him?\How could I...\You make this distinction between devils and humans, but they're basically the same.\Just that some can't handle blood.\The only visible difference is the dark circles under their eyes,\and devils who drink blood don't even have those.\If they drink blood, the dark circles... response:	aren't there?
context: If you knew, how could you like him?\How could I...\You make this distinction between devils and humans, but they're basically the same.\Just that some can't handle blood.\The only visible difference is the dark circles under their eyes,\and devils who drink blood don't even have those.\If they drink blood, the dark circles...\aren't there? response:	Zero Seven!
context: How could I...\You make this distinction between devils and humans, but they're basically the same.\Just that some can't handle blood.\The only visible difference is the dark circles under their eyes,\and devils who drink blood don't even have those.\If they drink blood, the dark circles...\aren't there?\Zero Seven! response:	I'm getting something.
context: You make this distinction between devils and humans, but they're basically the same.\Just that some can't handle blood.\The only visible difference is the dark circles under their eyes,\and devils who drink blood don't even have those.\If they drink blood, the dark circles...\aren't there?\Zero Seven!\I'm getting something. response:	Public Security found the car you abandoned.
context: Just that some can't handle blood.\The only visible difference is the dark circles under their eyes,\and devils who drink blood don't even have those.\If they drink blood, the dark circles...\aren't there?\Zero Seven!\I'm getting something.\Public Security found the car you abandoned. response:	And the GPS for both Zero Six and Zero Five has gone offline.
context: The only visible difference is the dark circles under their eyes,\and devils who drink blood don't even have those.\If they drink blood, the dark circles...\aren't there?\Zero Seven!\I'm getting something.\Public Security found the car you abandoned.\And the GPS for both Zero Six and Zero Five has gone offline. response:	You turned off our GPS trackers, right?
context: and devils who drink blood don't even have those.\If they drink blood, the dark circles...\aren't there?\Zero Seven!\I'm getting something.\Public Security found the car you abandoned.\And the GPS for both Zero Six and Zero Five has gone offline.\You turned off our GPS trackers, right? response:	Do you think this means that Zero Six and Zero Five have been ordered to go after us?
context: If they drink blood, the dark circles...\aren't there?\Zero Seven!\I'm getting something.\Public Security found the car you abandoned.\And the GPS for both Zero Six and Zero Five has gone offline.\You turned off our GPS trackers, right?\Do you think this means that Zero Six and Zero Five have been ordered to go after us? response:	Probably.
context: aren't there?\Zero Seven!\I'm getting something.\Public Security found the car you abandoned.\And the GPS for both Zero Six and Zero Five has gone offline.\You turned off our GPS trackers, right?\Do you think this means that Zero Six and Zero Five have been ordered to go after us?\Probably. response:	But both of them work in Public Security Division 5.
context: Zero Seven!\I'm getting something.\Public Security found the car you abandoned.\And the GPS for both Zero Six and Zero Five has gone offline.\You turned off our GPS trackers, right?\Do you think this means that Zero Six and Zero Five have been ordered to go after us?\Probably.\But both of them work in Public Security Division 5. response:	They won't have a lot of freedom to search.
context: I'm getting something.\Public Security found the car you abandoned.\And the GPS for both Zero Six and Zero Five has gone offline.\You turned off our GPS trackers, right?\Do you think this means that Zero Six and Zero Five have been ordered to go after us?\Probably.\But both of them work in Public Security Division 5.\They won't have a lot of freedom to search. response:	What?
context: Public Security found the car you abandoned.\And the GPS for both Zero Six and Zero Five has gone offline.\You turned off our GPS trackers, right?\Do you think this means that Zero Six and Zero Five have been ordered to go after us?\Probably.\But both of them work in Public Security Division 5.\They won't have a lot of freedom to search.\What? response:	I told you, didn't I? You can't trust the police.
context: And the GPS for both Zero Six and Zero Five has gone offline.\You turned off our GPS trackers, right?\Do you think this means that Zero Six and Zero Five have been ordered to go after us?\Probably.\But both of them work in Public Security Division 5.\They won't have a lot of freedom to search.\What?\I told you, didn't I? You can't trust the police. response:	Sawazaki, F Squad.
context: You turned off our GPS trackers, right?\Do you think this means that Zero Six and Zero Five have been ordered to go after us?\Probably.\But both of them work in Public Security Division 5.\They won't have a lot of freedom to search.\What?\I told you, didn't I? You can't trust the police.\Sawazaki, F Squad. response:	The devils' bar Cross has been attacked.
context: Do you think this means that Zero Six and Zero Five have been ordered to go after us?\Probably.\But both of them work in Public Security Division 5.\They won't have a lot of freedom to search.\What?\I told you, didn't I? You can't trust the police.\Sawazaki, F Squad.\The devils' bar Cross has been attacked. response:	Two dead.
context: Probably.\But both of them work in Public Security Division 5.\They won't have a lot of freedom to search.\What?\I told you, didn't I? You can't trust the police.\Sawazaki, F Squad.\The devils' bar Cross has been attacked.\Two dead. response:	B Squad's Sergeant Makimura had been guarding the bar but is now missing.
context: But both of them work in Public Security Division 5.\They won't have a lot of freedom to search.\What?\I told you, didn't I? You can't trust the police.\Sawazaki, F Squad.\The devils' bar Cross has been attacked.\Two dead.\B Squad's Sergeant Makimura had been guarding the bar but is now missing. response:	Are you saying Makimura is the mole?
context: They won't have a lot of freedom to search.\What?\I told you, didn't I? You can't trust the police.\Sawazaki, F Squad.\The devils' bar Cross has been attacked.\Two dead.\B Squad's Sergeant Makimura had been guarding the bar but is now missing.\Are you saying Makimura is the mole? response:	Dammit. I don't like this.
context: What?\I told you, didn't I? You can't trust the police.\Sawazaki, F Squad.\The devils' bar Cross has been attacked.\Two dead.\B Squad's Sergeant Makimura had been guarding the bar but is now missing.\Are you saying Makimura is the mole?\Dammit. I don't like this. response:	Just how many people are we dealing with?
context: I told you, didn't I? You can't trust the police.\Sawazaki, F Squad.\The devils' bar Cross has been attacked.\Two dead.\B Squad's Sergeant Makimura had been guarding the bar but is now missing.\Are you saying Makimura is the mole?\Dammit. I don't like this.\Just how many people are we dealing with? response:	This is where we found the stolen car.
context: Sawazaki, F Squad.\The devils' bar Cross has been attacked.\Two dead.\B Squad's Sergeant Makimura had been guarding the bar but is now missing.\Are you saying Makimura is the mole?\Dammit. I don't like this.\Just how many people are we dealing with?\This is where we found the stolen car. response:	There are two convenience stores nearby.
context: The devils' bar Cross has been attacked.\Two dead.\B Squad's Sergeant Makimura had been guarding the bar but is now missing.\Are you saying Makimura is the mole?\Dammit. I don't like this.\Just how many people are we dealing with?\This is where we found the stolen car.\There are two convenience stores nearby. response:	Check their security footage and see if you can find witnesses.
context: Two dead.\B Squad's Sergeant Makimura had been guarding the bar but is now missing.\Are you saying Makimura is the mole?\Dammit. I don't like this.\Just how many people are we dealing with?\This is where we found the stolen car.\There are two convenience stores nearby.\Check their security footage and see if you can find witnesses. response:	You call the cab companies and see if anyone picked up any injured passengers.
context: B Squad's Sergeant Makimura had been guarding the bar but is now missing.\Are you saying Makimura is the mole?\Dammit. I don't like this.\Just how many people are we dealing with?\This is where we found the stolen car.\There are two convenience stores nearby.\Check their security footage and see if you can find witnesses.\You call the cab companies and see if anyone picked up any injured passengers. response:	Okay. Yes, sir!
context: Are you saying Makimura is the mole?\Dammit. I don't like this.\Just how many people are we dealing with?\This is where we found the stolen car.\There are two convenience stores nearby.\Check their security footage and see if you can find witnesses.\You call the cab companies and see if anyone picked up any injured passengers.\Okay. Yes, sir! response:	You have people working inside Public Security Division 5?
context: Dammit. I don't like this.\Just how many people are we dealing with?\This is where we found the stolen car.\There are two convenience stores nearby.\Check their security footage and see if you can find witnesses.\You call the cab companies and see if anyone picked up any injured passengers.\Okay. Yes, sir!\You have people working inside Public Security Division 5? response:	You're a civilian. The less you know the-
context: Just how many people are we dealing with?\This is where we found the stolen car.\There are two convenience stores nearby.\Check their security footage and see if you can find witnesses.\You call the cab companies and see if anyone picked up any injured passengers.\Okay. Yes, sir!\You have people working inside Public Security Division 5?\You're a civilian. The less you know the- response:	The guy I like is an officer in Division 5.
context: This is where we found the stolen car.\There are two convenience stores nearby.\Check their security footage and see if you can find witnesses.\You call the cab companies and see if anyone picked up any injured passengers.\Okay. Yes, sir!\You have people working inside Public Security Division 5?\You're a civilian. The less you know the-\The guy I like is an officer in Division 5. response:	He's the man you shot the other day!
context: There are two convenience stores nearby.\Check their security footage and see if you can find witnesses.\You call the cab companies and see if anyone picked up any injured passengers.\Okay. Yes, sir!\You have people working inside Public Security Division 5?\You're a civilian. The less you know the-\The guy I like is an officer in Division 5.\He's the man you shot the other day! response:	I was with him when it happened.
context: Check their security footage and see if you can find witnesses.\You call the cab companies and see if anyone picked up any injured passengers.\Okay. Yes, sir!\You have people working inside Public Security Division 5?\You're a civilian. The less you know the-\The guy I like is an officer in Division 5.\He's the man you shot the other day!\I was with him when it happened. response:	Of course. You're the one who...
context: You call the cab companies and see if anyone picked up any injured passengers.\Okay. Yes, sir!\You have people working inside Public Security Division 5?\You're a civilian. The less you know the-\The guy I like is an officer in Division 5.\He's the man you shot the other day!\I was with him when it happened.\Of course. You're the one who... response:	Zero Seven, it's Zero Six.
context: Okay. Yes, sir!\You have people working inside Public Security Division 5?\You're a civilian. The less you know the-\The guy I like is an officer in Division 5.\He's the man you shot the other day!\I was with him when it happened.\Of course. You're the one who...\Zero Seven, it's Zero Six. response:	He attacked a bar in Ikebukuro and quit the force.
context: You have people working inside Public Security Division 5?\You're a civilian. The less you know the-\The guy I like is an officer in Division 5.\He's the man you shot the other day!\I was with him when it happened.\Of course. You're the one who...\Zero Seven, it's Zero Six.\He attacked a bar in Ikebukuro and quit the force. response:	Don't stick your nose into this any further.
context: You're a civilian. The less you know the-\The guy I like is an officer in Division 5.\He's the man you shot the other day!\I was with him when it happened.\Of course. You're the one who...\Zero Seven, it's Zero Six.\He attacked a bar in Ikebukuro and quit the force.\Don't stick your nose into this any further. response:	I'm in it pretty deep already. It's too late to...
context: The guy I like is an officer in Division 5.\He's the man you shot the other day!\I was with him when it happened.\Of course. You're the one who...\Zero Seven, it's Zero Six.\He attacked a bar in Ikebukuro and quit the force.\Don't stick your nose into this any further.\I'm in it pretty deep already. It's too late to... response:	Does your boyfriend want you getting involved in this?
context: He's the man you shot the other day!\I was with him when it happened.\Of course. You're the one who...\Zero Seven, it's Zero Six.\He attacked a bar in Ikebukuro and quit the force.\Don't stick your nose into this any further.\I'm in it pretty deep already. It's too late to...\Does your boyfriend want you getting involved in this? response:	Police officers are trained and armed.
context: I was with him when it happened.\Of course. You're the one who...\Zero Seven, it's Zero Six.\He attacked a bar in Ikebukuro and quit the force.\Don't stick your nose into this any further.\I'm in it pretty deep already. It's too late to...\Does your boyfriend want you getting involved in this?\Police officers are trained and armed. response:	You know I'm armed, too, and I've had training.
context: Of course. You're the one who...\Zero Seven, it's Zero Six.\He attacked a bar in Ikebukuro and quit the force.\Don't stick your nose into this any further.\I'm in it pretty deep already. It's too late to...\Does your boyfriend want you getting involved in this?\Police officers are trained and armed.\You know I'm armed, too, and I've had training. response:	But you haven't!
context: Zero Seven, it's Zero Six.\He attacked a bar in Ikebukuro and quit the force.\Don't stick your nose into this any further.\I'm in it pretty deep already. It's too late to...\Does your boyfriend want you getting involved in this?\Police officers are trained and armed.\You know I'm armed, too, and I've had training.\But you haven't! response:	I think maybe, someday...
context: He attacked a bar in Ikebukuro and quit the force.\Don't stick your nose into this any further.\I'm in it pretty deep already. It's too late to...\Does your boyfriend want you getting involved in this?\Police officers are trained and armed.\You know I'm armed, too, and I've had training.\But you haven't!\I think maybe, someday... response:	there will be something safer that you can do.
context: Don't stick your nose into this any further.\I'm in it pretty deep already. It's too late to...\Does your boyfriend want you getting involved in this?\Police officers are trained and armed.\You know I'm armed, too, and I've had training.\But you haven't!\I think maybe, someday...\there will be something safer that you can do. response:	Kikuhara, we identified the taxi!
context: I'm in it pretty deep already. It's too late to...\Does your boyfriend want you getting involved in this?\Police officers are trained and armed.\You know I'm armed, too, and I've had training.\But you haven't!\I think maybe, someday...\there will be something safer that you can do.\Kikuhara, we identified the taxi! response:	It was going to...
context: Does your boyfriend want you getting involved in this?\Police officers are trained and armed.\You know I'm armed, too, and I've had training.\But you haven't!\I think maybe, someday...\there will be something safer that you can do.\Kikuhara, we identified the taxi!\It was going to... response:	I found you.
context: Police officers are trained and armed.\You know I'm armed, too, and I've had training.\But you haven't!\I think maybe, someday...\there will be something safer that you can do.\Kikuhara, we identified the taxi!\It was going to...\I found you. response:	Are you okay?
context: You know I'm armed, too, and I've had training.\But you haven't!\I think maybe, someday...\there will be something safer that you can do.\Kikuhara, we identified the taxi!\It was going to...\I found you.\Are you okay? response:	I'm always wondering if there's anything I can do to help.
context: But you haven't!\I think maybe, someday...\there will be something safer that you can do.\Kikuhara, we identified the taxi!\It was going to...\I found you.\Are you okay?\I'm always wondering if there's anything I can do to help. response:	But I was told to just stay locked up inside.
context: I think maybe, someday...\there will be something safer that you can do.\Kikuhara, we identified the taxi!\It was going to...\I found you.\Are you okay?\I'm always wondering if there's anything I can do to help.\But I was told to just stay locked up inside. response:	I hated that, so I rebelled, and I went out anyway.
context: there will be something safer that you can do.\Kikuhara, we identified the taxi!\It was going to...\I found you.\Are you okay?\I'm always wondering if there's anything I can do to help.\But I was told to just stay locked up inside.\I hated that, so I rebelled, and I went out anyway. response:	When you like someone, it's natural to want to be useful to them.
context: Kikuhara, we identified the taxi!\It was going to...\I found you.\Are you okay?\I'm always wondering if there's anything I can do to help.\But I was told to just stay locked up inside.\I hated that, so I rebelled, and I went out anyway.\When you like someone, it's natural to want to be useful to them. response:	Know myself so I'm not paralyzed with fear, huh?
context: It was going to...\I found you.\Are you okay?\I'm always wondering if there's anything I can do to help.\But I was told to just stay locked up inside.\I hated that, so I rebelled, and I went out anyway.\When you like someone, it's natural to want to be useful to them.\Know myself so I'm not paralyzed with fear, huh? response:	And to do that, I'll need Tsukasa's help.
context: I found you.\Are you okay?\I'm always wondering if there's anything I can do to help.\But I was told to just stay locked up inside.\I hated that, so I rebelled, and I went out anyway.\When you like someone, it's natural to want to be useful to them.\Know myself so I'm not paralyzed with fear, huh?\And to do that, I'll need Tsukasa's help. response:	But I don't want to put her in any danger. That's why I'm trying to put distance between us.
context: Are you okay?\I'm always wondering if there's anything I can do to help.\But I was told to just stay locked up inside.\I hated that, so I rebelled, and I went out anyway.\When you like someone, it's natural to want to be useful to them.\Know myself so I'm not paralyzed with fear, huh?\And to do that, I'll need Tsukasa's help.\But I don't want to put her in any danger. That's why I'm trying to put distance between us. response:	She really isn't the least bit scared of me, is she?
context: I'm always wondering if there's anything I can do to help.\But I was told to just stay locked up inside.\I hated that, so I rebelled, and I went out anyway.\When you like someone, it's natural to want to be useful to them.\Know myself so I'm not paralyzed with fear, huh?\And to do that, I'll need Tsukasa's help.\But I don't want to put her in any danger. That's why I'm trying to put distance between us.\She really isn't the least bit scared of me, is she? response:	No, she's never been scared of me.
context: But I was told to just stay locked up inside.\I hated that, so I rebelled, and I went out anyway.\When you like someone, it's natural to want to be useful to them.\Know myself so I'm not paralyzed with fear, huh?\And to do that, I'll need Tsukasa's help.\But I don't want to put her in any danger. That's why I'm trying to put distance between us.\She really isn't the least bit scared of me, is she?\No, she's never been scared of me. response:	She'd always look me right in the eye.
context: I hated that, so I rebelled, and I went out anyway.\When you like someone, it's natural to want to be useful to them.\Know myself so I'm not paralyzed with fear, huh?\And to do that, I'll need Tsukasa's help.\But I don't want to put her in any danger. That's why I'm trying to put distance between us.\She really isn't the least bit scared of me, is she?\No, she's never been scared of me.\She'd always look me right in the eye. response:	She'd never hesitate to do or say anything.
context: When you like someone, it's natural to want to be useful to them.\Know myself so I'm not paralyzed with fear, huh?\And to do that, I'll need Tsukasa's help.\But I don't want to put her in any danger. That's why I'm trying to put distance between us.\She really isn't the least bit scared of me, is she?\No, she's never been scared of me.\She'd always look me right in the eye.\She'd never hesitate to do or say anything. response:	That's what I like about her.
context: Know myself so I'm not paralyzed with fear, huh?\And to do that, I'll need Tsukasa's help.\But I don't want to put her in any danger. That's why I'm trying to put distance between us.\She really isn't the least bit scared of me, is she?\No, she's never been scared of me.\She'd always look me right in the eye.\She'd never hesitate to do or say anything.\That's what I like about her. response:	But that's exactly why I must never, ever hurt her.
