context: Don't drop the pressure! response:	If we stop, it's all over!
context: Are you the boss here?\I am Kensho, head of the Yomokawa Family.\Yomokawa-dono, thank you for your hospitality.\Shimon-sama, I presume?\I have read your letter.\We would like to take you to our mansion first.\They're not going to be inspected?\What is going on? response:	Who are they?
context: I am Kensho, head of the Yomokawa Family.\Yomokawa-dono, thank you for your hospitality.\Shimon-sama, I presume?\I have read your letter.\We would like to take you to our mansion first.\They're not going to be inspected?\What is going on?\Who are they? response:	No idea...
context: Yomokawa-dono, thank you for your hospitality.\Shimon-sama, I presume?\I have read your letter.\We would like to take you to our mansion first.\They're not going to be inspected?\What is going on?\Who are they?\No idea... response:	It's a Corpse!
context: Shimon-sama, I presume?\I have read your letter.\We would like to take you to our mansion first.\They're not going to be inspected?\What is going on?\Who are they?\No idea...\It's a Corpse! response:	He has a wound!
context: I have read your letter.\We would like to take you to our mansion first.\They're not going to be inspected?\What is going on?\Who are they?\No idea...\It's a Corpse!\He has a wound! response:	He's been bitten!
context: We would like to take you to our mansion first.\They're not going to be inspected?\What is going on?\Who are they?\No idea...\It's a Corpse!\He has a wound!\He's been bitten! response:	Don't let him get away!
context: They're not going to be inspected?\What is going on?\Who are they?\No idea...\It's a Corpse!\He has a wound!\He's been bitten!\Don't let him get away! response:	A Corpse?
context: What is going on?\Who are they?\No idea...\It's a Corpse!\He has a wound!\He's been bitten!\Don't let him get away!\A Corpse? response:	Stop right there!
context: Who are they?\No idea...\It's a Corpse!\He has a wound!\He's been bitten!\Don't let him get away!\A Corpse?\Stop right there! response:	No! I'm not a Corpse!
context: No idea...\It's a Corpse!\He has a wound!\He's been bitten!\Don't let him get away!\A Corpse?\Stop right there!\No! I'm not a Corpse! response:	Stop!
context: It's a Corpse!\He has a wound!\He's been bitten!\Don't let him get away!\A Corpse?\Stop right there!\No! I'm not a Corpse!\Stop! response:	Kill him!
context: He has a wound!\He's been bitten!\Don't let him get away!\A Corpse?\Stop right there!\No! I'm not a Corpse!\Stop!\Kill him! response:	Surround and kill him!
context: He's been bitten!\Don't let him get away!\A Corpse?\Stop right there!\No! I'm not a Corpse!\Stop!\Kill him!\Surround and kill him! response:	I swear, it's not a bite!
context: Don't let him get away!\A Corpse?\Stop right there!\No! I'm not a Corpse!\Stop!\Kill him!\Surround and kill him!\I swear, it's not a bite! response:	I swear, I'm not one of them!
context: A Corpse?\Stop right there!\No! I'm not a Corpse!\Stop!\Kill him!\Surround and kill him!\I swear, it's not a bite!\I swear, I'm not one of them! response:	Please help me!
context: Stop right there!\No! I'm not a Corpse!\Stop!\Kill him!\Surround and kill him!\I swear, it's not a bite!\I swear, I'm not one of them!\Please help me! response:	Stop!
context: No! I'm not a Corpse!\Stop!\Kill him!\Surround and kill him!\I swear, it's not a bite!\I swear, I'm not one of them!\Please help me!\Stop! response:	Who the hell are you?!
context: Stop!\Kill him!\Surround and kill him!\I swear, it's not a bite!\I swear, I'm not one of them!\Please help me!\Stop!\Who the hell are you?! response:	He's saying he's not a Corpse!
context: Kill him!\Surround and kill him!\I swear, it's not a bite!\I swear, I'm not one of them!\Please help me!\Stop!\Who the hell are you?!\He's saying he's not a Corpse! response:	Like we can trust him!
context: Surround and kill him!\I swear, it's not a bite!\I swear, I'm not one of them!\Please help me!\Stop!\Who the hell are you?!\He's saying he's not a Corpse!\Like we can trust him! response:	Stop, you coward!
context: I swear, it's not a bite!\I swear, I'm not one of them!\Please help me!\Stop!\Who the hell are you?!\He's saying he's not a Corpse!\Like we can trust him!\Stop, you coward! response:	Those suspected of being a Corpse
context: I swear, I'm not one of them!\Please help me!\Stop!\Who the hell are you?!\He's saying he's not a Corpse!\Like we can trust him!\Stop, you coward!\Those suspected of being a Corpse response:	are to be locked up for three days and kept under watch!
context: Please help me!\Stop!\Who the hell are you?!\He's saying he's not a Corpse!\Like we can trust him!\Stop, you coward!\Those suspected of being a Corpse\are to be locked up for three days and kept under watch! response:	You're the ones who made the rule!
context: Stop!\Who the hell are you?!\He's saying he's not a Corpse!\Like we can trust him!\Stop, you coward!\Those suspected of being a Corpse\are to be locked up for three days and kept under watch!\You're the ones who made the rule! response:	Shut up!
context: Who the hell are you?!\He's saying he's not a Corpse!\Like we can trust him!\Stop, you coward!\Those suspected of being a Corpse\are to be locked up for three days and kept under watch!\You're the ones who made the rule!\Shut up! response:	This matter doesn't concern a lowly steam smith!
context: He's saying he's not a Corpse!\Like we can trust him!\Stop, you coward!\Those suspected of being a Corpse\are to be locked up for three days and kept under watch!\You're the ones who made the rule!\Shut up!\This matter doesn't concern a lowly steam smith! response:	I'm trying to tell you that you're pointing your guns at the wrong targets!
context: Like we can trust him!\Stop, you coward!\Those suspected of being a Corpse\are to be locked up for three days and kept under watch!\You're the ones who made the rule!\Shut up!\This matter doesn't concern a lowly steam smith!\I'm trying to tell you that you're pointing your guns at the wrong targets! response:	Father!
context: Stop, you coward!\Those suspected of being a Corpse\are to be locked up for three days and kept under watch!\You're the ones who made the rule!\Shut up!\This matter doesn't concern a lowly steam smith!\I'm trying to tell you that you're pointing your guns at the wrong targets!\Father! response:	Corpse's...?
context: Those suspected of being a Corpse\are to be locked up for three days and kept under watch!\You're the ones who made the rule!\Shut up!\This matter doesn't concern a lowly steam smith!\I'm trying to tell you that you're pointing your guns at the wrong targets!\Father!\Corpse's...? response:	Disgusting!
context: are to be locked up for three days and kept under watch!\You're the ones who made the rule!\Shut up!\This matter doesn't concern a lowly steam smith!\I'm trying to tell you that you're pointing your guns at the wrong targets!\Father!\Corpse's...?\Disgusting! response:	Why does he have them?
context: You're the ones who made the rule!\Shut up!\This matter doesn't concern a lowly steam smith!\I'm trying to tell you that you're pointing your guns at the wrong targets!\Father!\Corpse's...?\Disgusting!\Why does he have them? response:	Answer me!
context: Shut up!\This matter doesn't concern a lowly steam smith!\I'm trying to tell you that you're pointing your guns at the wrong targets!\Father!\Corpse's...?\Disgusting!\Why does he have them?\Answer me! response:	Why do you have something like that?!
context: This matter doesn't concern a lowly steam smith!\I'm trying to tell you that you're pointing your guns at the wrong targets!\Father!\Corpse's...?\Disgusting!\Why does he have them?\Answer me!\Why do you have something like that?! response:	He's getting away!
context: I'm trying to tell you that you're pointing your guns at the wrong targets!\Father!\Corpse's...?\Disgusting!\Why does he have them?\Answer me!\Why do you have something like that?!\He's getting away! response:	Don't!
context: Father!\Corpse's...?\Disgusting!\Why does he have them?\Answer me!\Why do you have something like that?!\He's getting away!\Don't! response:	He's died...
context: Corpse's...?\Disgusting!\Why does he have them?\Answer me!\Why do you have something like that?!\He's getting away!\Don't!\He's died... response:	Which means...
context: Disgusting!\Why does he have them?\Answer me!\Why do you have something like that?!\He's getting away!\Don't!\He's died...\Which means... response:	He wasn't a Corpse?
context: Why does he have them?\Answer me!\Why do you have something like that?!\He's getting away!\Don't!\He's died...\Which means...\He wasn't a Corpse? response:	Y-You aren't even ashamed?
context: Answer me!\Why do you have something like that?!\He's getting away!\Don't!\He's died...\Which means...\He wasn't a Corpse?\Y-You aren't even ashamed? response:	Being so afraid of everything?!
context: Why do you have something like that?!\He's getting away!\Don't!\He's died...\Which means...\He wasn't a Corpse?\Y-You aren't even ashamed?\Being so afraid of everything?! response:	For losing your sanity?!
context: He's getting away!\Don't!\He's died...\Which means...\He wasn't a Corpse?\Y-You aren't even ashamed?\Being so afraid of everything?!\For losing your sanity?! response:	Those are some lofty words.
context: Don't!\He's died...\Which means...\He wasn't a Corpse?\Y-You aren't even ashamed?\Being so afraid of everything?!\For losing your sanity?!\Those are some lofty words. response:	A privilege afforded to you because of the guaranteed safety the Warriors provide.
context: He's died...\Which means...\He wasn't a Corpse?\Y-You aren't even ashamed?\Being so afraid of everything?!\For losing your sanity?!\Those are some lofty words.\A privilege afforded to you because of the guaranteed safety the Warriors provide. response:	You're wrong!
context: Which means...\He wasn't a Corpse?\Y-You aren't even ashamed?\Being so afraid of everything?!\For losing your sanity?!\Those are some lofty words.\A privilege afforded to you because of the guaranteed safety the Warriors provide.\You're wrong! response:	I will fight too!
context: He wasn't a Corpse?\Y-You aren't even ashamed?\Being so afraid of everything?!\For losing your sanity?!\Those are some lofty words.\A privilege afforded to you because of the guaranteed safety the Warriors provide.\You're wrong!\I will fight too! response:	Kurusu!
context: Y-You aren't even ashamed?\Being so afraid of everything?!\For losing your sanity?!\Those are some lofty words.\A privilege afforded to you because of the guaranteed safety the Warriors provide.\You're wrong!\I will fight too!\Kurusu! response:	Yes, sir.
context: Being so afraid of everything?!\For losing your sanity?!\Those are some lofty words.\A privilege afforded to you because of the guaranteed safety the Warriors provide.\You're wrong!\I will fight too!\Kurusu!\Yes, sir. response:	I'm close to finishing the steam g
context: For losing your sanity?!\Those are some lofty words.\A privilege afforded to you because of the guaranteed safety the Warriors provide.\You're wrong!\I will fight too!\Kurusu!\Yes, sir.\I'm close to finishing the steam g response:	Throw him in jail.
context: Those are some lofty words.\A privilege afforded to you because of the guaranteed safety the Warriors provide.\You're wrong!\I will fight too!\Kurusu!\Yes, sir.\I'm close to finishing the steam g\Throw him in jail. response:	He may be a Corpse.
context: A privilege afforded to you because of the guaranteed safety the Warriors provide.\You're wrong!\I will fight too!\Kurusu!\Yes, sir.\I'm close to finishing the steam g\Throw him in jail.\He may be a Corpse. response:	Father!
context: You're wrong!\I will fight too!\Kurusu!\Yes, sir.\I'm close to finishing the steam g\Throw him in jail.\He may be a Corpse.\Father! response:	Let's go.
context: I will fight too!\Kurusu!\Yes, sir.\I'm close to finishing the steam g\Throw him in jail.\He may be a Corpse.\Father!\Let's go. response:	Ayame.
context: Kurusu!\Yes, sir.\I'm close to finishing the steam g\Throw him in jail.\He may be a Corpse.\Father!\Let's go.\Ayame. response:	Defending order is also a Warrior's duty.
context: Yes, sir.\I'm close to finishing the steam g\Throw him in jail.\He may be a Corpse.\Father!\Let's go.\Ayame.\Defending order is also a Warrior's duty. response:	The order...
context: I'm close to finishing the steam g\Throw him in jail.\He may be a Corpse.\Father!\Let's go.\Ayame.\Defending order is also a Warrior's duty.\The order... response:	I see.
context: Throw him in jail.\He may be a Corpse.\Father!\Let's go.\Ayame.\Defending order is also a Warrior's duty.\The order...\I see. response:	You're both headed to Diamond Citadel?
context: He may be a Corpse.\Father!\Let's go.\Ayame.\Defending order is also a Warrior's duty.\The order...\I see.\You're both headed to Diamond Citadel? response:	Then, the Warlord -sama is...?
context: Father!\Let's go.\Ayame.\Defending order is also a Warrior's duty.\The order...\I see.\You're both headed to Diamond Citadel?\Then, the Warlord -sama is...? response:	No, not yet.
context: Let's go.\Ayame.\Defending order is also a Warrior's duty.\The order...\I see.\You're both headed to Diamond Citadel?\Then, the Warlord -sama is...?\No, not yet. response:	That is why the two of us are going alone.
context: Ayame.\Defending order is also a Warrior's duty.\The order...\I see.\You're both headed to Diamond Citadel?\Then, the Warlord -sama is...?\No, not yet.\That is why the two of us are going alone. response:	It's June.
context: Defending order is also a Warrior's duty.\The order...\I see.\You're both headed to Diamond Citadel?\Then, the Warlord -sama is...?\No, not yet.\That is why the two of us are going alone.\It's June. response:	Almost time, brother.
context: The order...\I see.\You're both headed to Diamond Citadel?\Then, the Warlord -sama is...?\No, not yet.\That is why the two of us are going alone.\It's June.\Almost time, brother. response:	I knew it!
context: I see.\You're both headed to Diamond Citadel?\Then, the Warlord -sama is...?\No, not yet.\That is why the two of us are going alone.\It's June.\Almost time, brother.\I knew it! response:	It's the corpse gatherer.
context: You're both headed to Diamond Citadel?\Then, the Warlord -sama is...?\No, not yet.\That is why the two of us are going alone.\It's June.\Almost time, brother.\I knew it!\It's the corpse gatherer. response:	You're...
context: Then, the Warlord -sama is...?\No, not yet.\That is why the two of us are going alone.\It's June.\Almost time, brother.\I knew it!\It's the corpse gatherer.\You're... response:	Nameless.
context: No, not yet.\That is why the two of us are going alone.\It's June.\Almost time, brother.\I knew it!\It's the corpse gatherer.\You're...\Nameless. response:	Nameless ?
context: That is why the two of us are going alone.\It's June.\Almost time, brother.\I knew it!\It's the corpse gatherer.\You're...\Nameless.\Nameless ? response:	Is that a name?
context: It's June.\Almost time, brother.\I knew it!\It's the corpse gatherer.\You're...\Nameless.\Nameless ?\Is that a name? response:	Nice, isn't it?
context: Almost time, brother.\I knew it!\It's the corpse gatherer.\You're...\Nameless.\Nameless ?\Is that a name?\Nice, isn't it? response:	My brother gave it to me.
context: I knew it!\It's the corpse gatherer.\You're...\Nameless.\Nameless ?\Is that a name?\Nice, isn't it?\My brother gave it to me. response:	Hey, did you know that the guy from before, wasn't a Corpse?
context: It's the corpse gatherer.\You're...\Nameless.\Nameless ?\Is that a name?\Nice, isn't it?\My brother gave it to me.\Hey, did you know that the guy from before, wasn't a Corpse? response:	No...
context: You're...\Nameless.\Nameless ?\Is that a name?\Nice, isn't it?\My brother gave it to me.\Hey, did you know that the guy from before, wasn't a Corpse?\No... response:	But I couldn't just ignore it.
context: Nameless.\Nameless ?\Is that a name?\Nice, isn't it?\My brother gave it to me.\Hey, did you know that the guy from before, wasn't a Corpse?\No...\But I couldn't just ignore it. response:	Normally, you would.
context: Nameless ?\Is that a name?\Nice, isn't it?\My brother gave it to me.\Hey, did you know that the guy from before, wasn't a Corpse?\No...\But I couldn't just ignore it.\Normally, you would. response:	Then there's something wrong with being normal.
context: Is that a name?\Nice, isn't it?\My brother gave it to me.\Hey, did you know that the guy from before, wasn't a Corpse?\No...\But I couldn't just ignore it.\Normally, you would.\Then there's something wrong with being normal. response:	You're interesting.
context: Nice, isn't it?\My brother gave it to me.\Hey, did you know that the guy from before, wasn't a Corpse?\No...\But I couldn't just ignore it.\Normally, you would.\Then there's something wrong with being normal.\You're interesting. response:	What is it?
context: My brother gave it to me.\Hey, did you know that the guy from before, wasn't a Corpse?\No...\But I couldn't just ignore it.\Normally, you would.\Then there's something wrong with being normal.\You're interesting.\What is it? response:	I mean, it's normal to be scared of the Corpses, right?
context: Hey, did you know that the guy from before, wasn't a Corpse?\No...\But I couldn't just ignore it.\Normally, you would.\Then there's something wrong with being normal.\You're interesting.\What is it?\I mean, it's normal to be scared of the Corpses, right? response:	People are generally frightened cowards.
context: No...\But I couldn't just ignore it.\Normally, you would.\Then there's something wrong with being normal.\You're interesting.\What is it?\I mean, it's normal to be scared of the Corpses, right?\People are generally frightened cowards. response:	They can do nothing about it.
context: But I couldn't just ignore it.\Normally, you would.\Then there's something wrong with being normal.\You're interesting.\What is it?\I mean, it's normal to be scared of the Corpses, right?\People are generally frightened cowards.\They can do nothing about it. response:	Yes, they can.
context: Normally, you would.\Then there's something wrong with being normal.\You're interesting.\What is it?\I mean, it's normal to be scared of the Corpses, right?\People are generally frightened cowards.\They can do nothing about it.\Yes, they can. response:	They can do nothing but kill others out of fear?
context: Then there's something wrong with being normal.\You're interesting.\What is it?\I mean, it's normal to be scared of the Corpses, right?\People are generally frightened cowards.\They can do nothing about it.\Yes, they can.\They can do nothing but kill others out of fear? response:	They have no choice but kill others out of fear?
context: You're interesting.\What is it?\I mean, it's normal to be scared of the Corpses, right?\People are generally frightened cowards.\They can do nothing about it.\Yes, they can.\They can do nothing but kill others out of fear?\They have no choice but kill others out of fear? response:	That's unthinkable to me.
context: What is it?\I mean, it's normal to be scared of the Corpses, right?\People are generally frightened cowards.\They can do nothing about it.\Yes, they can.\They can do nothing but kill others out of fear?\They have no choice but kill others out of fear?\That's unthinkable to me. response:	You cannot lose your humanity to fear.
context: I mean, it's normal to be scared of the Corpses, right?\People are generally frightened cowards.\They can do nothing about it.\Yes, they can.\They can do nothing but kill others out of fear?\They have no choice but kill others out of fear?\That's unthinkable to me.\You cannot lose your humanity to fear. response:	Ikoma is a dumbass.
context: People are generally frightened cowards.\They can do nothing about it.\Yes, they can.\They can do nothing but kill others out of fear?\They have no choice but kill others out of fear?\That's unthinkable to me.\You cannot lose your humanity to fear.\Ikoma is a dumbass. response:	Getting all worked up like that.
context: They can do nothing about it.\Yes, they can.\They can do nothing but kill others out of fear?\They have no choice but kill others out of fear?\That's unthinkable to me.\You cannot lose your humanity to fear.\Ikoma is a dumbass.\Getting all worked up like that. response:	What a self-righteous idiot.
context: Yes, they can.\They can do nothing but kill others out of fear?\They have no choice but kill others out of fear?\That's unthinkable to me.\You cannot lose your humanity to fear.\Ikoma is a dumbass.\Getting all worked up like that.\What a self-righteous idiot. response:	But...
context: They can do nothing but kill others out of fear?\They have no choice but kill others out of fear?\That's unthinkable to me.\You cannot lose your humanity to fear.\Ikoma is a dumbass.\Getting all worked up like that.\What a self-righteous idiot.\But... response:	Talking back to a Warriors like that.
context: They have no choice but kill others out of fear?\That's unthinkable to me.\You cannot lose your humanity to fear.\Ikoma is a dumbass.\Getting all worked up like that.\What a self-righteous idiot.\But...\Talking back to a Warriors like that. response:	That's what makes him stupid!
context: That's unthinkable to me.\You cannot lose your humanity to fear.\Ikoma is a dumbass.\Getting all worked up like that.\What a self-righteous idiot.\But...\Talking back to a Warriors like that.\That's what makes him stupid! response:	It's here! It's the Tree Fortress!
context: You cannot lose your humanity to fear.\Ikoma is a dumbass.\Getting all worked up like that.\What a self-righteous idiot.\But...\Talking back to a Warriors like that.\That's what makes him stupid!\It's here! It's the Tree Fortress! response:	It's right on time this time.
context: Ikoma is a dumbass.\Getting all worked up like that.\What a self-righteous idiot.\But...\Talking back to a Warriors like that.\That's what makes him stupid!\It's here! It's the Tree Fortress!\It's right on time this time. response:	It's going too fast!
context: Getting all worked up like that.\What a self-righteous idiot.\But...\Talking back to a Warriors like that.\That's what makes him stupid!\It's here! It's the Tree Fortress!\It's right on time this time.\It's going too fast! response:	Slow down!
context: What a self-righteous idiot.\But...\Talking back to a Warriors like that.\That's what makes him stupid!\It's here! It's the Tree Fortress!\It's right on time this time.\It's going too fast!\Slow down! response:	Damn it! Raise the bridge!
context: But...\Talking back to a Warriors like that.\That's what makes him stupid!\It's here! It's the Tree Fortress!\It's right on time this time.\It's going too fast!\Slow down!\Damn it! Raise the bridge! response:	Hurry up!
context: Talking back to a Warriors like that.\That's what makes him stupid!\It's here! It's the Tree Fortress!\It's right on time this time.\It's going too fast!\Slow down!\Damn it! Raise the bridge!\Hurry up! response:	It's too late!
context: That's what makes him stupid!\It's here! It's the Tree Fortress!\It's right on time this time.\It's going too fast!\Slow down!\Damn it! Raise the bridge!\Hurry up!\It's too late! response:	What?!
context: It's here! It's the Tree Fortress!\It's right on time this time.\It's going too fast!\Slow down!\Damn it! Raise the bridge!\Hurry up!\It's too late!\What?! response:	It's the Corpses!
context: It's right on time this time.\It's going too fast!\Slow down!\Damn it! Raise the bridge!\Hurry up!\It's too late!\What?!\It's the Corpses! response:	Out of the way!
context: It's going too fast!\Slow down!\Damn it! Raise the bridge!\Hurry up!\It's too late!\What?!\It's the Corpses!\Out of the way! response:	It's the Corpses!
context: Slow down!\Damn it! Raise the bridge!\Hurry up!\It's too late!\What?!\It's the Corpses!\Out of the way!\It's the Corpses! response:	That's...
context: Damn it! Raise the bridge!\Hurry up!\It's too late!\What?!\It's the Corpses!\Out of the way!\It's the Corpses!\That's... response:	Don't tell me...!
context: Hurry up!\It's too late!\What?!\It's the Corpses!\Out of the way!\It's the Corpses!\That's...\Don't tell me...! response:	The Corpses are here?!
context: It's too late!\What?!\It's the Corpses!\Out of the way!\It's the Corpses!\That's...\Don't tell me...!\The Corpses are here?! response:	I have to go.
context: What?!\It's the Corpses!\Out of the way!\It's the Corpses!\That's...\Don't tell me...!\The Corpses are here?!\I have to go. response:	I need to get my piercing gun!
context: It's the Corpses!\Out of the way!\It's the Corpses!\That's...\Don't tell me...!\The Corpses are here?!\I have to go.\I need to get my piercing gun! response:	Hurry up!
context: Out of the way!\It's the Corpses!\That's...\Don't tell me...!\The Corpses are here?!\I have to go.\I need to get my piercing gun!\Hurry up! response:	I'm taking these too.
context: It's the Corpses!\That's...\Don't tell me...!\The Corpses are here?!\I have to go.\I need to get my piercing gun!\Hurry up!\I'm taking these too. response:	Nameless.
context: That's...\Don't tell me...!\The Corpses are here?!\I have to go.\I need to get my piercing gun!\Hurry up!\I'm taking these too.\Nameless. response:	They have broken through the west gate.
context: Don't tell me...!\The Corpses are here?!\I have to go.\I need to get my piercing gun!\Hurry up!\I'm taking these too.\Nameless.\They have broken through the west gate. response:	This whole place is lost.
context: The Corpses are here?!\I have to go.\I need to get my piercing gun!\Hurry up!\I'm taking these too.\Nameless.\They have broken through the west gate.\This whole place is lost. response:	But
context: I have to go.\I need to get my piercing gun!\Hurry up!\I'm taking these too.\Nameless.\They have broken through the west gate.\This whole place is lost.\But response:	We're going to the Iron Fortress.
context: I need to get my piercing gun!\Hurry up!\I'm taking these too.\Nameless.\They have broken through the west gate.\This whole place is lost.\But\We're going to the Iron Fortress. response:	Come.
context: Hurry up!\I'm taking these too.\Nameless.\They have broken through the west gate.\This whole place is lost.\But\We're going to the Iron Fortress.\Come. response:	Father, where are you going?
context: I'm taking these too.\Nameless.\They have broken through the west gate.\This whole place is lost.\But\We're going to the Iron Fortress.\Come.\Father, where are you going? response:	To the Iron Fortress.
context: Nameless.\They have broken through the west gate.\This whole place is lost.\But\We're going to the Iron Fortress.\Come.\Father, where are you going?\To the Iron Fortress. response:	You're not...?
context: They have broken through the west gate.\This whole place is lost.\But\We're going to the Iron Fortress.\Come.\Father, where are you going?\To the Iron Fortress.\You're not...? response:	Are you abandoning this station?!
context: This whole place is lost.\But\We're going to the Iron Fortress.\Come.\Father, where are you going?\To the Iron Fortress.\You're not...?\Are you abandoning this station?! response:	I will give the signal when the Iron Fortress has been secured.
context: But\We're going to the Iron Fortress.\Come.\Father, where are you going?\To the Iron Fortress.\You're not...?\Are you abandoning this station?!\I will give the signal when the Iron Fortress has been secured. response:	Come when you see it.
context: We're going to the Iron Fortress.\Come.\Father, where are you going?\To the Iron Fortress.\You're not...?\Are you abandoning this station?!\I will give the signal when the Iron Fortress has been secured.\Come when you see it. response:	The Corpses react to blood.
context: Come.\Father, where are you going?\To the Iron Fortress.\You're not...?\Are you abandoning this station?!\I will give the signal when the Iron Fortress has been secured.\Come when you see it.\The Corpses react to blood. response:	Damn it, that hurts!
context: Father, where are you going?\To the Iron Fortress.\You're not...?\Are you abandoning this station?!\I will give the signal when the Iron Fortress has been secured.\Come when you see it.\The Corpses react to blood.\Damn it, that hurts! response:	Stop!
context: To the Iron Fortress.\You're not...?\Are you abandoning this station?!\I will give the signal when the Iron Fortress has been secured.\Come when you see it.\The Corpses react to blood.\Damn it, that hurts!\Stop! response:	Take off your clothes immediately!
context: You're not...?\Are you abandoning this station?!\I will give the signal when the Iron Fortress has been secured.\Come when you see it.\The Corpses react to blood.\Damn it, that hurts!\Stop!\Take off your clothes immediately! response:	Are you kidding me?!
context: Are you abandoning this station?!\I will give the signal when the Iron Fortress has been secured.\Come when you see it.\The Corpses react to blood.\Damn it, that hurts!\Stop!\Take off your clothes immediately!\Are you kidding me?! response:	The Corpse are coming!
context: I will give the signal when the Iron Fortress has been secured.\Come when you see it.\The Corpses react to blood.\Damn it, that hurts!\Stop!\Take off your clothes immediately!\Are you kidding me?!\The Corpse are coming! response:	That's why you have to show that you don't have wounds on your body!
context: Come when you see it.\The Corpses react to blood.\Damn it, that hurts!\Stop!\Take off your clothes immediately!\Are you kidding me?!\The Corpse are coming!\That's why you have to show that you don't have wounds on your body! response:	Prove that you don't have any marks on your body!
context: The Corpses react to blood.\Damn it, that hurts!\Stop!\Take off your clothes immediately!\Are you kidding me?!\The Corpse are coming!\That's why you have to show that you don't have wounds on your body!\Prove that you don't have any marks on your body! response:	What's going to happen to us?
context: Damn it, that hurts!\Stop!\Take off your clothes immediately!\Are you kidding me?!\The Corpse are coming!\That's why you have to show that you don't have wounds on your body!\Prove that you don't have any marks on your body!\What's going to happen to us? response:	Where's Ikoma?!
context: Stop!\Take off your clothes immediately!\Are you kidding me?!\The Corpse are coming!\That's why you have to show that you don't have wounds on your body!\Prove that you don't have any marks on your body!\What's going to happen to us?\Where's Ikoma?! response:	He took the bait!
context: Take off your clothes immediately!\Are you kidding me?!\The Corpse are coming!\That's why you have to show that you don't have wounds on your body!\Prove that you don't have any marks on your body!\What's going to happen to us?\Where's Ikoma?!\He took the bait! response:	I won't fail this time!
context: Are you kidding me?!\The Corpse are coming!\That's why you have to show that you don't have wounds on your body!\Prove that you don't have any marks on your body!\What's going to happen to us?\Where's Ikoma?!\He took the bait!\I won't fail this time! response:	I've increased the explosives this time!
context: The Corpse are coming!\That's why you have to show that you don't have wounds on your body!\Prove that you don't have any marks on your body!\What's going to happen to us?\Where's Ikoma?!\He took the bait!\I won't fail this time!\I've increased the explosives this time! response:	I did it!
context: That's why you have to show that you don't have wounds on your body!\Prove that you don't have any marks on your body!\What's going to happen to us?\Where's Ikoma?!\He took the bait!\I won't fail this time!\I've increased the explosives this time!\I did it! response:	My piercing gun...
context: Prove that you don't have any marks on your body!\What's going to happen to us?\Where's Ikoma?!\He took the bait!\I won't fail this time!\I've increased the explosives this time!\I did it!\My piercing gun... response:	My!
context: What's going to happen to us?\Where's Ikoma?!\He took the bait!\I won't fail this time!\I've increased the explosives this time!\I did it!\My piercing gun...\My! response:	I did it!
context: Where's Ikoma?!\He took the bait!\I won't fail this time!\I've increased the explosives this time!\I did it!\My piercing gun...\My!\I did it! response:	I see it!
context: He took the bait!\I won't fail this time!\I've increased the explosives this time!\I did it!\My piercing gun...\My!\I did it!\I see it! response:	It's the Iron Fortress.
context: I won't fail this time!\I've increased the explosives this time!\I did it!\My piercing gun...\My!\I did it!\I see it!\It's the Iron Fortress. response:	Nameless -dono.
context: I've increased the explosives this time!\I did it!\My piercing gun...\My!\I did it!\I see it!\It's the Iron Fortress.\Nameless -dono. response:	You will have to continue on alone.
context: I did it!\My piercing gun...\My!\I did it!\I see it!\It's the Iron Fortress.\Nameless -dono.\You will have to continue on alone. response:	Go to Diamond Citadel...
context: My piercing gun...\My!\I did it!\I see it!\It's the Iron Fortress.\Nameless -dono.\You will have to continue on alone.\Go to Diamond Citadel... response:	I leave the rest...
context: My!\I did it!\I see it!\It's the Iron Fortress.\Nameless -dono.\You will have to continue on alone.\Go to Diamond Citadel...\I leave the rest... response:	May karma smile upon you.
context: I did it!\I see it!\It's the Iron Fortress.\Nameless -dono.\You will have to continue on alone.\Go to Diamond Citadel...\I leave the rest...\May karma smile upon you. response:	It's not a curse.
context: I see it!\It's the Iron Fortress.\Nameless -dono.\You will have to continue on alone.\Go to Diamond Citadel...\I leave the rest...\May karma smile upon you.\It's not a curse. response:	I just need to make sure the virus doesn't reach my brain!
context: It's the Iron Fortress.\Nameless -dono.\You will have to continue on alone.\Go to Diamond Citadel...\I leave the rest...\May karma smile upon you.\It's not a curse.\I just need to make sure the virus doesn't reach my brain! response:	Five years...
context: Nameless -dono.\You will have to continue on alone.\Go to Diamond Citadel...\I leave the rest...\May karma smile upon you.\It's not a curse.\I just need to make sure the virus doesn't reach my brain!\Five years... response:	It's been five years!
context: You will have to continue on alone.\Go to Diamond Citadel...\I leave the rest...\May karma smile upon you.\It's not a curse.\I just need to make sure the virus doesn't reach my brain!\Five years...\It's been five years! response:	For whose sake I was working...
context: Go to Diamond Citadel...\I leave the rest...\May karma smile upon you.\It's not a curse.\I just need to make sure the virus doesn't reach my brain!\Five years...\It's been five years!\For whose sake I was working... response:	All the work I put in to finally be able to fight the Corpses...
context: I leave the rest...\May karma smile upon you.\It's not a curse.\I just need to make sure the virus doesn't reach my brain!\Five years...\It's been five years!\For whose sake I was working...\All the work I put in to finally be able to fight the Corpses... response:	I'm...
context: May karma smile upon you.\It's not a curse.\I just need to make sure the virus doesn't reach my brain!\Five years...\It's been five years!\For whose sake I was working...\All the work I put in to finally be able to fight the Corpses...\I'm... response:	This time...
