context: TS response:	SCRIPT
context: No one else is needed.\Wait!\W-Wait!\Please don't kill Mayuri!\I'm sorry!\I was wrong!\I never wanted to expose SERN!\I'll give you the time leap machine... response:	I'll never tell anyone what I learned!
context: Wait!\W-Wait!\Please don't kill Mayuri!\I'm sorry!\I was wrong!\I never wanted to expose SERN!\I'll give you the time leap machine...\I'll never tell anyone what I learned! response:	Begin the mission.
context: W-Wait!\Please don't kill Mayuri!\I'm sorry!\I was wrong!\I never wanted to expose SERN!\I'll give you the time leap machine...\I'll never tell anyone what I learned!\Begin the mission. response:	Please! I'll do anything!
context: Please don't kill Mayuri!\I'm sorry!\I was wrong!\I never wanted to expose SERN!\I'll give you the time leap machine...\I'll never tell anyone what I learned!\Begin the mission.\Please! I'll do anything! response:	Please... It was just simple curiosity...
context: I'm sorry!\I was wrong!\I never wanted to expose SERN!\I'll give you the time leap machine...\I'll never tell anyone what I learned!\Begin the mission.\Please! I'll do anything!\Please... It was just simple curiosity... response:	It was a game!
context: I was wrong!\I never wanted to expose SERN!\I'll give you the time leap machine...\I'll never tell anyone what I learned!\Begin the mission.\Please! I'll do anything!\Please... It was just simple curiosity...\It was a game! response:	So... Just spare Mayuri...
context: I never wanted to expose SERN!\I'll give you the time leap machine...\I'll never tell anyone what I learned!\Begin the mission.\Please! I'll do anything!\Please... It was just simple curiosity...\It was a game!\So... Just spare Mayuri... response:	It's too late.
context: I'll give you the time leap machine...\I'll never tell anyone what I learned!\Begin the mission.\Please! I'll do anything!\Please... It was just simple curiosity...\It was a game!\So... Just spare Mayuri...\It's too late. response:	Mayuri...
context: I'll never tell anyone what I learned!\Begin the mission.\Please! I'll do anything!\Please... It was just simple curiosity...\It was a game!\So... Just spare Mayuri...\It's too late.\Mayuri... response:	Mayuri!
context: Begin the mission.\Please! I'll do anything!\Please... It was just simple curiosity...\It was a game!\So... Just spare Mayuri...\It's too late.\Mayuri...\Mayuri! response:	Shut up!
context: Please! I'll do anything!\Please... It was just simple curiosity...\It was a game!\So... Just spare Mayuri...\It's too late.\Mayuri...\Mayuri!\Shut up! response:	Mayuri!
context: Please... It was just simple curiosity...\It was a game!\So... Just spare Mayuri...\It's too late.\Mayuri...\Mayuri!\Shut up!\Mayuri! response:	Mayuri...
context: It was a game!\So... Just spare Mayuri...\It's too late.\Mayuri...\Mayuri!\Shut up!\Mayuri!\Mayuri... response:	What's wrong?
context: So... Just spare Mayuri...\It's too late.\Mayuri...\Mayuri!\Shut up!\Mayuri!\Mayuri...\What's wrong? response:	Were you napping?
context: It's too late.\Mayuri...\Mayuri!\Shut up!\Mayuri!\Mayuri...\What's wrong?\Were you napping? response:	This again...
context: Mayuri...\Mayuri!\Shut up!\Mayuri!\Mayuri...\What's wrong?\Were you napping?\This again... response:	I can't take this anymore!
context: Mayuri!\Shut up!\Mayuri!\Mayuri...\What's wrong?\Were you napping?\This again...\I can't take this anymore! response:	Okabe!
context: Shut up!\Mayuri!\Mayuri...\What's wrong?\Were you napping?\This again...\I can't take this anymore!\Okabe! response:	What's wrong?
context: Mayuri!\Mayuri...\What's wrong?\Were you napping?\This again...\I can't take this anymore!\Okabe!\What's wrong? response:	You don't need to destroy it.
context: Mayuri...\What's wrong?\Were you napping?\This again...\I can't take this anymore!\Okabe!\What's wrong?\You don't need to destroy it. response:	We decided we aren't doing the time leap.
context: What's wrong?\Were you napping?\This again...\I can't take this anymore!\Okabe!\What's wrong?\You don't need to destroy it.\We decided we aren't doing the time leap. response:	What's wrong with you, all of a sudden?
context: Were you napping?\This again...\I can't take this anymore!\Okabe!\What's wrong?\You don't need to destroy it.\We decided we aren't doing the time leap.\What's wrong with you, all of a sudden? response:	You're going shopping, for the party, right?
context: This again...\I can't take this anymore!\Okabe!\What's wrong?\You don't need to destroy it.\We decided we aren't doing the time leap.\What's wrong with you, all of a sudden?\You're going shopping, for the party, right? response:	The party...
context: I can't take this anymore!\Okabe!\What's wrong?\You don't need to destroy it.\We decided we aren't doing the time leap.\What's wrong with you, all of a sudden?\You're going shopping, for the party, right?\The party... response:	Wait, Okabe!
context: Okabe!\What's wrong?\You don't need to destroy it.\We decided we aren't doing the time leap.\What's wrong with you, all of a sudden?\You're going shopping, for the party, right?\The party...\Wait, Okabe! response:	It's the bullet train!
context: What's wrong?\You don't need to destroy it.\We decided we aren't doing the time leap.\What's wrong with you, all of a sudden?\You're going shopping, for the party, right?\The party...\Wait, Okabe!\It's the bullet train! response:	No, the bullet train is white.
context: You don't need to destroy it.\We decided we aren't doing the time leap.\What's wrong with you, all of a sudden?\You're going shopping, for the party, right?\The party...\Wait, Okabe!\It's the bullet train!\No, the bullet train is white. response:	Oka... Kyouma-san...
context: We decided we aren't doing the time leap.\What's wrong with you, all of a sudden?\You're going shopping, for the party, right?\The party...\Wait, Okabe!\It's the bullet train!\No, the bullet train is white.\Oka... Kyouma-san... response:	Where's Mayuri?
context: What's wrong with you, all of a sudden?\You're going shopping, for the party, right?\The party...\Wait, Okabe!\It's the bullet train!\No, the bullet train is white.\Oka... Kyouma-san...\Where's Mayuri? response:	Mayuri-chan already left.
context: You're going shopping, for the party, right?\The party...\Wait, Okabe!\It's the bullet train!\No, the bullet train is white.\Oka... Kyouma-san...\Where's Mayuri?\Mayuri-chan already left. response:	I know.
context: The party...\Wait, Okabe!\It's the bullet train!\No, the bullet train is white.\Oka... Kyouma-san...\Where's Mayuri?\Mayuri-chan already left.\I know. response:	I know she came to invite you to the party...
context: Wait, Okabe!\It's the bullet train!\No, the bullet train is white.\Oka... Kyouma-san...\Where's Mayuri?\Mayuri-chan already left.\I know.\I know she came to invite you to the party... response:	And that she's going to meet her friend who cosplays...
context: It's the bullet train!\No, the bullet train is white.\Oka... Kyouma-san...\Where's Mayuri?\Mayuri-chan already left.\I know.\I know she came to invite you to the party...\And that she's going to meet her friend who cosplays... response:	I know she's looking forward to the party.
context: No, the bullet train is white.\Oka... Kyouma-san...\Where's Mayuri?\Mayuri-chan already left.\I know.\I know she came to invite you to the party...\And that she's going to meet her friend who cosplays...\I know she's looking forward to the party. response:	All of it!
context: Oka... Kyouma-san...\Where's Mayuri?\Mayuri-chan already left.\I know.\I know she came to invite you to the party...\And that she's going to meet her friend who cosplays...\I know she's looking forward to the party.\All of it! response:	I'm sorry.
context: Where's Mayuri?\Mayuri-chan already left.\I know.\I know she came to invite you to the party...\And that she's going to meet her friend who cosplays...\I know she's looking forward to the party.\All of it!\I'm sorry. response:	But I...
context: Mayuri-chan already left.\I know.\I know she came to invite you to the party...\And that she's going to meet her friend who cosplays...\I know she's looking forward to the party.\All of it!\I'm sorry.\But I... response:	But I...
context: I know.\I know she came to invite you to the party...\And that she's going to meet her friend who cosplays...\I know she's looking forward to the party.\All of it!\I'm sorry.\But I...\But I... response:	What are you doing over there?
context: I know she came to invite you to the party...\And that she's going to meet her friend who cosplays...\I know she's looking forward to the party.\All of it!\I'm sorry.\But I...\But I...\What are you doing over there? response:	Kurisu...
context: And that she's going to meet her friend who cosplays...\I know she's looking forward to the party.\All of it!\I'm sorry.\But I...\But I...\What are you doing over there?\Kurisu... response:	That's the first time you've ever called me by the right name.
context: I know she's looking forward to the party.\All of it!\I'm sorry.\But I...\But I...\What are you doing over there?\Kurisu...\That's the first time you've ever called me by the right name. response:	What happened?
context: All of it!\I'm sorry.\But I...\But I...\What are you doing over there?\Kurisu...\That's the first time you've ever called me by the right name.\What happened? response:	No, what's going to happen?
context: I'm sorry.\But I...\But I...\What are you doing over there?\Kurisu...\That's the first time you've ever called me by the right name.\What happened?\No, what's going to happen? response:	You time leaped, didn't you?
context: But I...\But I...\What are you doing over there?\Kurisu...\That's the first time you've ever called me by the right name.\What happened?\No, what's going to happen?\You time leaped, didn't you? response:	It's all...
context: But I...\What are you doing over there?\Kurisu...\That's the first time you've ever called me by the right name.\What happened?\No, what's going to happen?\You time leaped, didn't you?\It's all... response:	All my fault.
context: What are you doing over there?\Kurisu...\That's the first time you've ever called me by the right name.\What happened?\No, what's going to happen?\You time leaped, didn't you?\It's all...\All my fault. response:	Okabe.
context: Kurisu...\That's the first time you've ever called me by the right name.\What happened?\No, what's going to happen?\You time leaped, didn't you?\It's all...\All my fault.\Okabe. response:	It's all my fault.
context: That's the first time you've ever called me by the right name.\What happened?\No, what's going to happen?\You time leaped, didn't you?\It's all...\All my fault.\Okabe.\It's all my fault. response:	I never should have told Daru to hack into SERN.
context: What happened?\No, what's going to happen?\You time leaped, didn't you?\It's all...\All my fault.\Okabe.\It's all my fault.\I never should have told Daru to hack into SERN. response:	I never should have said to make the time machine.
context: No, what's going to happen?\You time leaped, didn't you?\It's all...\All my fault.\Okabe.\It's all my fault.\I never should have told Daru to hack into SERN.\I never should have said to make the time machine. response:	I never should have invited Moeka to be a lab member!
context: You time leaped, didn't you?\It's all...\All my fault.\Okabe.\It's all my fault.\I never should have told Daru to hack into SERN.\I never should have said to make the time machine.\I never should have invited Moeka to be a lab member! response:	It's my fault... And Mayuri...
context: It's all...\All my fault.\Okabe.\It's all my fault.\I never should have told Daru to hack into SERN.\I never should have said to make the time machine.\I never should have invited Moeka to be a lab member!\It's my fault... And Mayuri... response:	You're pushing yourself too hard, idiot.
context: All my fault.\Okabe.\It's all my fault.\I never should have told Daru to hack into SERN.\I never should have said to make the time machine.\I never should have invited Moeka to be a lab member!\It's my fault... And Mayuri...\You're pushing yourself too hard, idiot. response:	We don't know that the time leap machine is completely safe.
context: Okabe.\It's all my fault.\I never should have told Daru to hack into SERN.\I never should have said to make the time machine.\I never should have invited Moeka to be a lab member!\It's my fault... And Mayuri...\You're pushing yourself too hard, idiot.\We don't know that the time leap machine is completely safe. response:	It's possible you could completely erase yourself from existence.
context: It's all my fault.\I never should have told Daru to hack into SERN.\I never should have said to make the time machine.\I never should have invited Moeka to be a lab member!\It's my fault... And Mayuri...\You're pushing yourself too hard, idiot.\We don't know that the time leap machine is completely safe.\It's possible you could completely erase yourself from existence. response:	On a fundamental level, humans are temporal creatures.
context: I never should have told Daru to hack into SERN.\I never should have said to make the time machine.\I never should have invited Moeka to be a lab member!\It's my fault... And Mayuri...\You're pushing yourself too hard, idiot.\We don't know that the time leap machine is completely safe.\It's possible you could completely erase yourself from existence.\On a fundamental level, humans are temporal creatures. response:	Heidegger... I was just about to say that.
context: I never should have said to make the time machine.\I never should have invited Moeka to be a lab member!\It's my fault... And Mayuri...\You're pushing yourself too hard, idiot.\We don't know that the time leap machine is completely safe.\It's possible you could completely erase yourself from existence.\On a fundamental level, humans are temporal creatures.\Heidegger... I was just about to say that. response:	I learned that phrase from you.
context: I never should have invited Moeka to be a lab member!\It's my fault... And Mayuri...\You're pushing yourself too hard, idiot.\We don't know that the time leap machine is completely safe.\It's possible you could completely erase yourself from existence.\On a fundamental level, humans are temporal creatures.\Heidegger... I was just about to say that.\I learned that phrase from you. response:	That's kind of creepy.
context: It's my fault... And Mayuri...\You're pushing yourself too hard, idiot.\We don't know that the time leap machine is completely safe.\It's possible you could completely erase yourself from existence.\On a fundamental level, humans are temporal creatures.\Heidegger... I was just about to say that.\I learned that phrase from you.\That's kind of creepy. response:	It's like you're peeking inside my head.
context: You're pushing yourself too hard, idiot.\We don't know that the time leap machine is completely safe.\It's possible you could completely erase yourself from existence.\On a fundamental level, humans are temporal creatures.\Heidegger... I was just about to say that.\I learned that phrase from you.\That's kind of creepy.\It's like you're peeking inside my head. response:	But I guess that's what a time leap is.
context: We don't know that the time leap machine is completely safe.\It's possible you could completely erase yourself from existence.\On a fundamental level, humans are temporal creatures.\Heidegger... I was just about to say that.\I learned that phrase from you.\That's kind of creepy.\It's like you're peeking inside my head.\But I guess that's what a time leap is. response:	What should I do?
context: It's possible you could completely erase yourself from existence.\On a fundamental level, humans are temporal creatures.\Heidegger... I was just about to say that.\I learned that phrase from you.\That's kind of creepy.\It's like you're peeking inside my head.\But I guess that's what a time leap is.\What should I do? response:	When will the lab be attacked?
context: On a fundamental level, humans are temporal creatures.\Heidegger... I was just about to say that.\I learned that phrase from you.\That's kind of creepy.\It's like you're peeking inside my head.\But I guess that's what a time leap is.\What should I do?\When will the lab be attacked? response:	After 7:30.
context: Heidegger... I was just about to say that.\I learned that phrase from you.\That's kind of creepy.\It's like you're peeking inside my head.\But I guess that's what a time leap is.\What should I do?\When will the lab be attacked?\After 7:30. response:	I can think of several possible causes for Mayuri's death.
context: I learned that phrase from you.\That's kind of creepy.\It's like you're peeking inside my head.\But I guess that's what a time leap is.\What should I do?\When will the lab be attacked?\After 7:30.\I can think of several possible causes for Mayuri's death. response:	But we don't have time to talk.
context: That's kind of creepy.\It's like you're peeking inside my head.\But I guess that's what a time leap is.\What should I do?\When will the lab be attacked?\After 7:30.\I can think of several possible causes for Mayuri's death.\But we don't have time to talk. response:	Let's go.
context: It's like you're peeking inside my head.\But I guess that's what a time leap is.\What should I do?\When will the lab be attacked?\After 7:30.\I can think of several possible causes for Mayuri's death.\But we don't have time to talk.\Let's go. response:	Mayuri's a dear friend.
context: But I guess that's what a time leap is.\What should I do?\When will the lab be attacked?\After 7:30.\I can think of several possible causes for Mayuri's death.\But we don't have time to talk.\Let's go.\Mayuri's a dear friend. response:	I want to save her, too!
context: What should I do?\When will the lab be attacked?\After 7:30.\I can think of several possible causes for Mayuri's death.\But we don't have time to talk.\Let's go.\Mayuri's a dear friend.\I want to save her, too! response:	I'm sorry.
context: When will the lab be attacked?\After 7:30.\I can think of several possible causes for Mayuri's death.\But we don't have time to talk.\Let's go.\Mayuri's a dear friend.\I want to save her, too!\I'm sorry. response:	Don't apologize.
context: After 7:30.\I can think of several possible causes for Mayuri's death.\But we don't have time to talk.\Let's go.\Mayuri's a dear friend.\I want to save her, too!\I'm sorry.\Don't apologize. response:	I want to help you.
context: I can think of several possible causes for Mayuri's death.\But we don't have time to talk.\Let's go.\Mayuri's a dear friend.\I want to save her, too!\I'm sorry.\Don't apologize.\I want to help you. response:	I do...
context: But we don't have time to talk.\Let's go.\Mayuri's a dear friend.\I want to save her, too!\I'm sorry.\Don't apologize.\I want to help you.\I do... response:	Hey, mad scientist!
context: Let's go.\Mayuri's a dear friend.\I want to save her, too!\I'm sorry.\Don't apologize.\I want to help you.\I do...\Hey, mad scientist! response:	You're going to change the world, right?
context: Mayuri's a dear friend.\I want to save her, too!\I'm sorry.\Don't apologize.\I want to help you.\I do...\Hey, mad scientist!\You're going to change the world, right? response:	Of course!
context: I want to save her, too!\I'm sorry.\Don't apologize.\I want to help you.\I do...\Hey, mad scientist!\You're going to change the world, right?\Of course! response:	Right?
context: I'm sorry.\Don't apologize.\I want to help you.\I do...\Hey, mad scientist!\You're going to change the world, right?\Of course!\Right? response:	I set the time to five or so hours ago,
context: Don't apologize.\I want to help you.\I do...\Hey, mad scientist!\You're going to change the world, right?\Of course!\Right?\I set the time to five or so hours ago, response:	to just when the time leap machine was created.
context: I want to help you.\I do...\Hey, mad scientist!\You're going to change the world, right?\Of course!\Right?\I set the time to five or so hours ago,\to just when the time leap machine was created. response:	If you go to before it's completed, it's possible I won't finish it.
context: I do...\Hey, mad scientist!\You're going to change the world, right?\Of course!\Right?\I set the time to five or so hours ago,\to just when the time leap machine was created.\If you go to before it's completed, it's possible I won't finish it. response:	You go back in time,
context: Hey, mad scientist!\You're going to change the world, right?\Of course!\Right?\I set the time to five or so hours ago,\to just when the time leap machine was created.\If you go to before it's completed, it's possible I won't finish it.\You go back in time, response:	and once the time leap machine is done,
context: You're going to change the world, right?\Of course!\Right?\I set the time to five or so hours ago,\to just when the time leap machine was created.\If you go to before it's completed, it's possible I won't finish it.\You go back in time,\and once the time leap machine is done, response:	send everyone away and tell me what we just discussed.
context: Of course!\Right?\I set the time to five or so hours ago,\to just when the time leap machine was created.\If you go to before it's completed, it's possible I won't finish it.\You go back in time,\and once the time leap machine is done,\send everyone away and tell me what we just discussed. response:	If you say you've come from the future,
context: Right?\I set the time to five or so hours ago,\to just when the time leap machine was created.\If you go to before it's completed, it's possible I won't finish it.\You go back in time,\and once the time leap machine is done,\send everyone away and tell me what we just discussed.\If you say you've come from the future, response:	I'll probably believe it.
context: I set the time to five or so hours ago,\to just when the time leap machine was created.\If you go to before it's completed, it's possible I won't finish it.\You go back in time,\and once the time leap machine is done,\send everyone away and tell me what we just discussed.\If you say you've come from the future,\I'll probably believe it. response:	How can you know?
context: to just when the time leap machine was created.\If you go to before it's completed, it's possible I won't finish it.\You go back in time,\and once the time leap machine is done,\send everyone away and tell me what we just discussed.\If you say you've come from the future,\I'll probably believe it.\How can you know? response:	I know myself better than anyone.
context: If you go to before it's completed, it's possible I won't finish it.\You go back in time,\and once the time leap machine is done,\send everyone away and tell me what we just discussed.\If you say you've come from the future,\I'll probably believe it.\How can you know?\I know myself better than anyone. response:	I'm the one who made the time leap machine,
context: You go back in time,\and once the time leap machine is done,\send everyone away and tell me what we just discussed.\If you say you've come from the future,\I'll probably believe it.\How can you know?\I know myself better than anyone.\I'm the one who made the time leap machine, response:	to begin with.
context: and once the time leap machine is done,\send everyone away and tell me what we just discussed.\If you say you've come from the future,\I'll probably believe it.\How can you know?\I know myself better than anyone.\I'm the one who made the time leap machine,\to begin with. response:	You mean you're confident about your work?
context: send everyone away and tell me what we just discussed.\If you say you've come from the future,\I'll probably believe it.\How can you know?\I know myself better than anyone.\I'm the one who made the time leap machine,\to begin with.\You mean you're confident about your work? response:	I guess so.
context: If you say you've come from the future,\I'll probably believe it.\How can you know?\I know myself better than anyone.\I'm the one who made the time leap machine,\to begin with.\You mean you're confident about your work?\I guess so. response:	When I saw you back there, I was certain.
context: I'll probably believe it.\How can you know?\I know myself better than anyone.\I'm the one who made the time leap machine,\to begin with.\You mean you're confident about your work?\I guess so.\When I saw you back there, I was certain. response:	That you'd time leaped, I mean.
context: How can you know?\I know myself better than anyone.\I'm the one who made the time leap machine,\to begin with.\You mean you're confident about your work?\I guess so.\When I saw you back there, I was certain.\That you'd time leaped, I mean. response:	Just in case, let's decide on a keyword.
context: I know myself better than anyone.\I'm the one who made the time leap machine,\to begin with.\You mean you're confident about your work?\I guess so.\When I saw you back there, I was certain.\That you'd time leaped, I mean.\Just in case, let's decide on a keyword. response:	Right now, what I want most is
context: I'm the one who made the time leap machine,\to begin with.\You mean you're confident about your work?\I guess so.\When I saw you back there, I was certain.\That you'd time leaped, I mean.\Just in case, let's decide on a keyword.\Right now, what I want most is response:	my own personal fork.
context: to begin with.\You mean you're confident about your work?\I guess so.\When I saw you back there, I was certain.\That you'd time leaped, I mean.\Just in case, let's decide on a keyword.\Right now, what I want most is\my own personal fork. response:	You want one?
context: You mean you're confident about your work?\I guess so.\When I saw you back there, I was certain.\That you'd time leaped, I mean.\Just in case, let's decide on a keyword.\Right now, what I want most is\my own personal fork.\You want one? response:	A fork?
context: I guess so.\When I saw you back there, I was certain.\That you'd time leaped, I mean.\Just in case, let's decide on a keyword.\Right now, what I want most is\my own personal fork.\You want one?\A fork? response:	Yeah, I already have a personal spoon.
context: When I saw you back there, I was certain.\That you'd time leaped, I mean.\Just in case, let's decide on a keyword.\Right now, what I want most is\my own personal fork.\You want one?\A fork?\Yeah, I already have a personal spoon. response:	Don't be nosy about that!
context: That you'd time leaped, I mean.\Just in case, let's decide on a keyword.\Right now, what I want most is\my own personal fork.\You want one?\A fork?\Yeah, I already have a personal spoon.\Don't be nosy about that! response:	Here we go!
context: Just in case, let's decide on a keyword.\Right now, what I want most is\my own personal fork.\You want one?\A fork?\Yeah, I already have a personal spoon.\Don't be nosy about that!\Here we go! response:	Okay.
context: Right now, what I want most is\my own personal fork.\You want one?\A fork?\Yeah, I already have a personal spoon.\Don't be nosy about that!\Here we go!\Okay. response:	Five hours ago,
context: my own personal fork.\You want one?\A fork?\Yeah, I already have a personal spoon.\Don't be nosy about that!\Here we go!\Okay.\Five hours ago, response:	I won't remember that you called me Kurisu...
context: You want one?\A fork?\Yeah, I already have a personal spoon.\Don't be nosy about that!\Here we go!\Okay.\Five hours ago,\I won't remember that you called me Kurisu... response:	Do you think you could hold this?
context: A fork?\Yeah, I already have a personal spoon.\Don't be nosy about that!\Here we go!\Okay.\Five hours ago,\I won't remember that you called me Kurisu...\Do you think you could hold this? response:	Like this?
context: Yeah, I already have a personal spoon.\Don't be nosy about that!\Here we go!\Okay.\Five hours ago,\I won't remember that you called me Kurisu...\Do you think you could hold this?\Like this? response:	That's right.
context: Don't be nosy about that!\Here we go!\Okay.\Five hours ago,\I won't remember that you called me Kurisu...\Do you think you could hold this?\Like this?\That's right. response:	Keep it spread out like that!
context: Here we go!\Okay.\Five hours ago,\I won't remember that you called me Kurisu...\Do you think you could hold this?\Like this?\That's right.\Keep it spread out like that! response:	That ribbon's cute.
context: Okay.\Five hours ago,\I won't remember that you called me Kurisu...\Do you think you could hold this?\Like this?\That's right.\Keep it spread out like that!\That ribbon's cute. response:	Right?
context: Five hours ago,\I won't remember that you called me Kurisu...\Do you think you could hold this?\Like this?\That's right.\Keep it spread out like that!\That ribbon's cute.\Right? response:	Want to try it on?
context: I won't remember that you called me Kurisu...\Do you think you could hold this?\Like this?\That's right.\Keep it spread out like that!\That ribbon's cute.\Right?\Want to try it on? response:	I still have some cosplay outfits for Comima.
context: Do you think you could hold this?\Like this?\That's right.\Keep it spread out like that!\That ribbon's cute.\Right?\Want to try it on?\I still have some cosplay outfits for Comima. response:	Cosplay, huh?
context: Like this?\That's right.\Keep it spread out like that!\That ribbon's cute.\Right?\Want to try it on?\I still have some cosplay outfits for Comima.\Cosplay, huh? response:	Interested?
context: That's right.\Keep it spread out like that!\That ribbon's cute.\Right?\Want to try it on?\I still have some cosplay outfits for Comima.\Cosplay, huh?\Interested? response:	N-No way!
context: Keep it spread out like that!\That ribbon's cute.\Right?\Want to try it on?\I still have some cosplay outfits for Comima.\Cosplay, huh?\Interested?\N-No way! response:	I couldn't wear this around others...
context: That ribbon's cute.\Right?\Want to try it on?\I still have some cosplay outfits for Comima.\Cosplay, huh?\Interested?\N-No way!\I couldn't wear this around others... response:	I see...
context: Right?\Want to try it on?\I still have some cosplay outfits for Comima.\Cosplay, huh?\Interested?\N-No way!\I couldn't wear this around others...\I see... response:	Five hours ago, Mayuri hasn't left.
context: Want to try it on?\I still have some cosplay outfits for Comima.\Cosplay, huh?\Interested?\N-No way!\I couldn't wear this around others...\I see...\Five hours ago, Mayuri hasn't left. response:	As I recall, her cosplay outfit's finished right as the time leap machine's done.
context: I still have some cosplay outfits for Comima.\Cosplay, huh?\Interested?\N-No way!\I couldn't wear this around others...\I see...\Five hours ago, Mayuri hasn't left.\As I recall, her cosplay outfit's finished right as the time leap machine's done. response:	It's done!
context: Cosplay, huh?\Interested?\N-No way!\I couldn't wear this around others...\I see...\Five hours ago, Mayuri hasn't left.\As I recall, her cosplay outfit's finished right as the time leap machine's done.\It's done! response:	I win!
context: Interested?\N-No way!\I couldn't wear this around others...\I see...\Five hours ago, Mayuri hasn't left.\As I recall, her cosplay outfit's finished right as the time leap machine's done.\It's done!\I win! response:	We were racing.
context: N-No way!\I couldn't wear this around others...\I see...\Five hours ago, Mayuri hasn't left.\As I recall, her cosplay outfit's finished right as the time leap machine's done.\It's done!\I win!\We were racing. response:	I lose.
context: I couldn't wear this around others...\I see...\Five hours ago, Mayuri hasn't left.\As I recall, her cosplay outfit's finished right as the time leap machine's done.\It's done!\I win!\We were racing.\I lose. response:	But we're almost done, too.
context: I see...\Five hours ago, Mayuri hasn't left.\As I recall, her cosplay outfit's finished right as the time leap machine's done.\It's done!\I win!\We were racing.\I lose.\But we're almost done, too. response:	Now we're done.
context: Five hours ago, Mayuri hasn't left.\As I recall, her cosplay outfit's finished right as the time leap machine's done.\It's done!\I win!\We were racing.\I lose.\But we're almost done, too.\Now we're done. response:	This is...
context: As I recall, her cosplay outfit's finished right as the time leap machine's done.\It's done!\I win!\We were racing.\I lose.\But we're almost done, too.\Now we're done.\This is... response:	We won't do the experiment!
context: It's done!\I win!\We were racing.\I lose.\But we're almost done, too.\Now we're done.\This is...\We won't do the experiment! response:	Darn... Was that too sudden?
context: I win!\We were racing.\I lose.\But we're almost done, too.\Now we're done.\This is...\We won't do the experiment!\Darn... Was that too sudden? response:	What do you mean?
context: We were racing.\I lose.\But we're almost done, too.\Now we're done.\This is...\We won't do the experiment!\Darn... Was that too sudden?\What do you mean? response:	Y-You're all tired.
context: I lose.\But we're almost done, too.\Now we're done.\This is...\We won't do the experiment!\Darn... Was that too sudden?\What do you mean?\Y-You're all tired. response:	We'll talk later.
context: But we're almost done, too.\Now we're done.\This is...\We won't do the experiment!\Darn... Was that too sudden?\What do you mean?\Y-You're all tired.\We'll talk later. response:	We're done for today.
context: Now we're done.\This is...\We won't do the experiment!\Darn... Was that too sudden?\What do you mean?\Y-You're all tired.\We'll talk later.\We're done for today. response:	I'll take a plate.
context: This is...\We won't do the experiment!\Darn... Was that too sudden?\What do you mean?\Y-You're all tired.\We'll talk later.\We're done for today.\I'll take a plate. response:	One plate.
context: We won't do the experiment!\Darn... Was that too sudden?\What do you mean?\Y-You're all tired.\We'll talk later.\We're done for today.\I'll take a plate.\One plate. response:	What are you doing here?
context: Darn... Was that too sudden?\What do you mean?\Y-You're all tired.\We'll talk later.\We're done for today.\I'll take a plate.\One plate.\What are you doing here? response:	I'd just ordered when I got your message.
context: What do you mean?\Y-You're all tired.\We'll talk later.\We're done for today.\I'll take a plate.\One plate.\What are you doing here?\I'd just ordered when I got your message. response:	I didn't think you were a regular here.
context: Y-You're all tired.\We'll talk later.\We're done for today.\I'll take a plate.\One plate.\What are you doing here?\I'd just ordered when I got your message.\I didn't think you were a regular here. response:	I-I'm not a regular!
context: We'll talk later.\We're done for today.\I'll take a plate.\One plate.\What are you doing here?\I'd just ordered when I got your message.\I didn't think you were a regular here.\I-I'm not a regular! response:	Mayuri told me about this place.
context: We're done for today.\I'll take a plate.\One plate.\What are you doing here?\I'd just ordered when I got your message.\I didn't think you were a regular here.\I-I'm not a regular!\Mayuri told me about this place. response:	So what did you want to talk about?
context: I'll take a plate.\One plate.\What are you doing here?\I'd just ordered when I got your message.\I didn't think you were a regular here.\I-I'm not a regular!\Mayuri told me about this place.\So what did you want to talk about? response:	You told us all to leave, and then
context: One plate.\What are you doing here?\I'd just ordered when I got your message.\I didn't think you were a regular here.\I-I'm not a regular!\Mayuri told me about this place.\So what did you want to talk about?\You told us all to leave, and then response:	you suddenly message me.
context: What are you doing here?\I'd just ordered when I got your message.\I didn't think you were a regular here.\I-I'm not a regular!\Mayuri told me about this place.\So what did you want to talk about?\You told us all to leave, and then\you suddenly message me. response:	You see...
context: I'd just ordered when I got your message.\I didn't think you were a regular here.\I-I'm not a regular!\Mayuri told me about this place.\So what did you want to talk about?\You told us all to leave, and then\you suddenly message me.\You see... response:	I've come from five hours in the future.
context: I didn't think you were a regular here.\I-I'm not a regular!\Mayuri told me about this place.\So what did you want to talk about?\You told us all to leave, and then\you suddenly message me.\You see...\I've come from five hours in the future. response:	What? That's the stupidest line I've ever heard.
context: I-I'm not a regular!\Mayuri told me about this place.\So what did you want to talk about?\You told us all to leave, and then\you suddenly message me.\You see...\I've come from five hours in the future.\What? That's the stupidest line I've ever heard. response:	H-Hey! That isn't what you said!
context: Mayuri told me about this place.\So what did you want to talk about?\You told us all to leave, and then\you suddenly message me.\You see...\I've come from five hours in the future.\What? That's the stupidest line I've ever heard.\H-Hey! That isn't what you said! response:	You said you'd probably believe me!
context: So what did you want to talk about?\You told us all to leave, and then\you suddenly message me.\You see...\I've come from five hours in the future.\What? That's the stupidest line I've ever heard.\H-Hey! That isn't what you said!\You said you'd probably believe me! response:	What are you talking about?
