context: Here comes another psychic. response:	What should we do with them, Dimple-san?
context: and had them touch me all over with their filthy, filthy hands.\Th-That's preposterous!\You can't believe a word Dad says.\He's been acting so darn crazy lately, like he's possessed.\How so?\He started saying that I've been cursed,\or that my body's been taken over by a demon.\I mean, I guess I was acting a little rebellious, response:	but this is going way too far.
context: Th-That's preposterous!\You can't believe a word Dad says.\He's been acting so darn crazy lately, like he's possessed.\How so?\He started saying that I've been cursed,\or that my body's been taken over by a demon.\I mean, I guess I was acting a little rebellious,\but this is going way too far. response:	I-I assure you that I'm sane!
context: You can't believe a word Dad says.\He's been acting so darn crazy lately, like he's possessed.\How so?\He started saying that I've been cursed,\or that my body's been taken over by a demon.\I mean, I guess I was acting a little rebellious,\but this is going way too far.\I-I assure you that I'm sane! response:	This is ridiculous!
context: He's been acting so darn crazy lately, like he's possessed.\How so?\He started saying that I've been cursed,\or that my body's been taken over by a demon.\I mean, I guess I was acting a little rebellious,\but this is going way too far.\I-I assure you that I'm sane!\This is ridiculous! response:	There's a demon that's making my daughter say these lies!
context: How so?\He started saying that I've been cursed,\or that my body's been taken over by a demon.\I mean, I guess I was acting a little rebellious,\but this is going way too far.\I-I assure you that I'm sane!\This is ridiculous!\There's a demon that's making my daughter say these lies! response:	Am I going to be trapped in here forever?
context: He started saying that I've been cursed,\or that my body's been taken over by a demon.\I mean, I guess I was acting a little rebellious,\but this is going way too far.\I-I assure you that I'm sane!\This is ridiculous!\There's a demon that's making my daughter say these lies!\Am I going to be trapped in here forever? response:	Say, Mr. Psychic...
context: or that my body's been taken over by a demon.\I mean, I guess I was acting a little rebellious,\but this is going way too far.\I-I assure you that I'm sane!\This is ridiculous!\There's a demon that's making my daughter say these lies!\Am I going to be trapped in here forever?\Say, Mr. Psychic... response:	could ya undo these for me?
context: I mean, I guess I was acting a little rebellious,\but this is going way too far.\I-I assure you that I'm sane!\This is ridiculous!\There's a demon that's making my daughter say these lies!\Am I going to be trapped in here forever?\Say, Mr. Psychic...\could ya undo these for me? response:	They hurt so bad!
context: but this is going way too far.\I-I assure you that I'm sane!\This is ridiculous!\There's a demon that's making my daughter say these lies!\Am I going to be trapped in here forever?\Say, Mr. Psychic...\could ya undo these for me?\They hurt so bad! response:	I'll ask your dad.
context: I-I assure you that I'm sane!\This is ridiculous!\There's a demon that's making my daughter say these lies!\Am I going to be trapped in here forever?\Say, Mr. Psychic...\could ya undo these for me?\They hurt so bad!\I'll ask your dad. response:	How'd it go?
context: This is ridiculous!\There's a demon that's making my daughter say these lies!\Am I going to be trapped in here forever?\Say, Mr. Psychic...\could ya undo these for me?\They hurt so bad!\I'll ask your dad.\How'd it go? response:	This is an open-and-shut case.
context: There's a demon that's making my daughter say these lies!\Am I going to be trapped in here forever?\Say, Mr. Psychic...\could ya undo these for me?\They hurt so bad!\I'll ask your dad.\How'd it go?\This is an open-and-shut case. response:	She is perfectly normal.
context: Am I going to be trapped in here forever?\Say, Mr. Psychic...\could ya undo these for me?\They hurt so bad!\I'll ask your dad.\How'd it go?\This is an open-and-shut case.\She is perfectly normal. response:	You think so too, Jodo-sama?
context: Say, Mr. Psychic...\could ya undo these for me?\They hurt so bad!\I'll ask your dad.\How'd it go?\This is an open-and-shut case.\She is perfectly normal.\You think so too, Jodo-sama? response:	What? What do you mean?
context: could ya undo these for me?\They hurt so bad!\I'll ask your dad.\How'd it go?\This is an open-and-shut case.\She is perfectly normal.\You think so too, Jodo-sama?\What? What do you mean? response:	We're saying that there's zero possibility that she's possessed.
context: They hurt so bad!\I'll ask your dad.\How'd it go?\This is an open-and-shut case.\She is perfectly normal.\You think so too, Jodo-sama?\What? What do you mean?\We're saying that there's zero possibility that she's possessed. response:	No, that can't be true!
context: I'll ask your dad.\How'd it go?\This is an open-and-shut case.\She is perfectly normal.\You think so too, Jodo-sama?\What? What do you mean?\We're saying that there's zero possibility that she's possessed.\No, that can't be true! response:	It's my turn next. But I'm rather certain Jodo-sama is correct.
context: How'd it go?\This is an open-and-shut case.\She is perfectly normal.\You think so too, Jodo-sama?\What? What do you mean?\We're saying that there's zero possibility that she's possessed.\No, that can't be true!\It's my turn next. But I'm rather certain Jodo-sama is correct. response:	But wait
context: This is an open-and-shut case.\She is perfectly normal.\You think so too, Jodo-sama?\What? What do you mean?\We're saying that there's zero possibility that she's possessed.\No, that can't be true!\It's my turn next. But I'm rather certain Jodo-sama is correct.\But wait response:	Are you sure you're not the problem here?
context: She is perfectly normal.\You think so too, Jodo-sama?\What? What do you mean?\We're saying that there's zero possibility that she's possessed.\No, that can't be true!\It's my turn next. But I'm rather certain Jodo-sama is correct.\But wait\Are you sure you're not the problem here? response:	You don't like the change in your relationship and refuse to accept it.
context: You think so too, Jodo-sama?\What? What do you mean?\We're saying that there's zero possibility that she's possessed.\No, that can't be true!\It's my turn next. But I'm rather certain Jodo-sama is correct.\But wait\Are you sure you're not the problem here?\You don't like the change in your relationship and refuse to accept it. response:	Instead, you're blaming spirits and demons.
context: What? What do you mean?\We're saying that there's zero possibility that she's possessed.\No, that can't be true!\It's my turn next. But I'm rather certain Jodo-sama is correct.\But wait\Are you sure you're not the problem here?\You don't like the change in your relationship and refuse to accept it.\Instead, you're blaming spirits and demons. response:	N-No...
context: We're saying that there's zero possibility that she's possessed.\No, that can't be true!\It's my turn next. But I'm rather certain Jodo-sama is correct.\But wait\Are you sure you're not the problem here?\You don't like the change in your relationship and refuse to accept it.\Instead, you're blaming spirits and demons.\N-No... response:	Is that really how you guys talk to a client?
context: No, that can't be true!\It's my turn next. But I'm rather certain Jodo-sama is correct.\But wait\Are you sure you're not the problem here?\You don't like the change in your relationship and refuse to accept it.\Instead, you're blaming spirits and demons.\N-No...\Is that really how you guys talk to a client? response:	That's a nasty one.
context: It's my turn next. But I'm rather certain Jodo-sama is correct.\But wait\Are you sure you're not the problem here?\You don't like the change in your relationship and refuse to accept it.\Instead, you're blaming spirits and demons.\N-No...\Is that really how you guys talk to a client?\That's a nasty one. response:	Definitely something wrong there.
context: But wait\Are you sure you're not the problem here?\You don't like the change in your relationship and refuse to accept it.\Instead, you're blaming spirits and demons.\N-No...\Is that really how you guys talk to a client?\That's a nasty one.\Definitely something wrong there. response:	It didn't feel like I was talking to a child.
context: Are you sure you're not the problem here?\You don't like the change in your relationship and refuse to accept it.\Instead, you're blaming spirits and demons.\N-No...\Is that really how you guys talk to a client?\That's a nasty one.\Definitely something wrong there.\It didn't feel like I was talking to a child. response:	So you believe me?
context: You don't like the change in your relationship and refuse to accept it.\Instead, you're blaming spirits and demons.\N-No...\Is that really how you guys talk to a client?\That's a nasty one.\Definitely something wrong there.\It didn't feel like I was talking to a child.\So you believe me? response:	You just want the reward money all to yourself, don't you?
context: Instead, you're blaming spirits and demons.\N-No...\Is that really how you guys talk to a client?\That's a nasty one.\Definitely something wrong there.\It didn't feel like I was talking to a child.\So you believe me?\You just want the reward money all to yourself, don't you? response:	Everyone who actually fell for what she said should leave now.
context: N-No...\Is that really how you guys talk to a client?\That's a nasty one.\Definitely something wrong there.\It didn't feel like I was talking to a child.\So you believe me?\You just want the reward money all to yourself, don't you?\Everyone who actually fell for what she said should leave now. response:	She's just going to make a fool of you.
context: Is that really how you guys talk to a client?\That's a nasty one.\Definitely something wrong there.\It didn't feel like I was talking to a child.\So you believe me?\You just want the reward money all to yourself, don't you?\Everyone who actually fell for what she said should leave now.\She's just going to make a fool of you. response:	The way she talked was too inconsistent.
context: That's a nasty one.\Definitely something wrong there.\It didn't feel like I was talking to a child.\So you believe me?\You just want the reward money all to yourself, don't you?\Everyone who actually fell for what she said should leave now.\She's just going to make a fool of you.\The way she talked was too inconsistent. response:	And she switched from Papa to Dad.
context: Definitely something wrong there.\It didn't feel like I was talking to a child.\So you believe me?\You just want the reward money all to yourself, don't you?\Everyone who actually fell for what she said should leave now.\She's just going to make a fool of you.\The way she talked was too inconsistent.\And she switched from Papa to Dad. response:	Also, I never introduced myself,
context: It didn't feel like I was talking to a child.\So you believe me?\You just want the reward money all to yourself, don't you?\Everyone who actually fell for what she said should leave now.\She's just going to make a fool of you.\The way she talked was too inconsistent.\And she switched from Papa to Dad.\Also, I never introduced myself, response:	but she called me a psychic.
context: So you believe me?\You just want the reward money all to yourself, don't you?\Everyone who actually fell for what she said should leave now.\She's just going to make a fool of you.\The way she talked was too inconsistent.\And she switched from Papa to Dad.\Also, I never introduced myself,\but she called me a psychic. response:	Meaning she heard our conversation out h
context: You just want the reward money all to yourself, don't you?\Everyone who actually fell for what she said should leave now.\She's just going to make a fool of you.\The way she talked was too inconsistent.\And she switched from Papa to Dad.\Also, I never introduced myself,\but she called me a psychic.\Meaning she heard our conversation out h response:	Udo! Are you all right?!
context: Everyone who actually fell for what she said should leave now.\She's just going to make a fool of you.\The way she talked was too inconsistent.\And she switched from Papa to Dad.\Also, I never introduced myself,\but she called me a psychic.\Meaning she heard our conversation out h\Udo! Are you all right?! response:	Get a hold of yourself!
context: She's just going to make a fool of you.\The way she talked was too inconsistent.\And she switched from Papa to Dad.\Also, I never introduced myself,\but she called me a psychic.\Meaning she heard our conversation out h\Udo! Are you all right?!\Get a hold of yourself! response:	Sh-She's a monster...
context: The way she talked was too inconsistent.\And she switched from Papa to Dad.\Also, I never introduced myself,\but she called me a psychic.\Meaning she heard our conversation out h\Udo! Are you all right?!\Get a hold of yourself!\Sh-She's a monster... response:	Master!
context: And she switched from Papa to Dad.\Also, I never introduced myself,\but she called me a psychic.\Meaning she heard our conversation out h\Udo! Are you all right?!\Get a hold of yourself!\Sh-She's a monster...\Master! response:	I'm fine.
context: Also, I never introduced myself,\but she called me a psychic.\Meaning she heard our conversation out h\Udo! Are you all right?!\Get a hold of yourself!\Sh-She's a monster...\Master!\I'm fine. response:	More importantly, she sure showed her true colors pretty fast.
context: but she called me a psychic.\Meaning she heard our conversation out h\Udo! Are you all right?!\Get a hold of yourself!\Sh-She's a monster...\Master!\I'm fine.\More importantly, she sure showed her true colors pretty fast. response:	I guess there's no point in continuing this charade.
context: Meaning she heard our conversation out h\Udo! Are you all right?!\Get a hold of yourself!\Sh-She's a monster...\Master!\I'm fine.\More importantly, she sure showed her true colors pretty fast.\I guess there's no point in continuing this charade. response:	Go ahead and try to force me out of this girl!
context: Udo! Are you all right?!\Get a hold of yourself!\Sh-She's a monster...\Master!\I'm fine.\More importantly, she sure showed her true colors pretty fast.\I guess there's no point in continuing this charade.\Go ahead and try to force me out of this girl! response:	I beg of you! Somebody please save my daughter!
context: Get a hold of yourself!\Sh-She's a monster...\Master!\I'm fine.\More importantly, she sure showed her true colors pretty fast.\I guess there's no point in continuing this charade.\Go ahead and try to force me out of this girl!\I beg of you! Somebody please save my daughter! response:	I will pay you anything if you can rid my daughter of that demon!
context: Sh-She's a monster...\Master!\I'm fine.\More importantly, she sure showed her true colors pretty fast.\I guess there's no point in continuing this charade.\Go ahead and try to force me out of this girl!\I beg of you! Somebody please save my daughter!\I will pay you anything if you can rid my daughter of that demon! response:	Two hundred million! Five hundred million!
context: Master!\I'm fine.\More importantly, she sure showed her true colors pretty fast.\I guess there's no point in continuing this charade.\Go ahead and try to force me out of this girl!\I beg of you! Somebody please save my daughter!\I will pay you anything if you can rid my daughter of that demon!\Two hundred million! Five hundred million! response:	Yawn
context: I'm fine.\More importantly, she sure showed her true colors pretty fast.\I guess there's no point in continuing this charade.\Go ahead and try to force me out of this girl!\I beg of you! Somebody please save my daughter!\I will pay you anything if you can rid my daughter of that demon!\Two hundred million! Five hundred million!\Yawn response:	Lick Lick Lick
context: More importantly, she sure showed her true colors pretty fast.\I guess there's no point in continuing this charade.\Go ahead and try to force me out of this girl!\I beg of you! Somebody please save my daughter!\I will pay you anything if you can rid my daughter of that demon!\Two hundred million! Five hundred million!\Yawn\Lick Lick Lick response:	Namu
context: I guess there's no point in continuing this charade.\Go ahead and try to force me out of this girl!\I beg of you! Somebody please save my daughter!\I will pay you anything if you can rid my daughter of that demon!\Two hundred million! Five hundred million!\Yawn\Lick Lick Lick\Namu response:	Here I go! I'm gonna drink it!
context: Go ahead and try to force me out of this girl!\I beg of you! Somebody please save my daughter!\I will pay you anything if you can rid my daughter of that demon!\Two hundred million! Five hundred million!\Yawn\Lick Lick Lick\Namu\Here I go! I'm gonna drink it! response:	I'm getting bored of this.
context: I beg of you! Somebody please save my daughter!\I will pay you anything if you can rid my daughter of that demon!\Two hundred million! Five hundred million!\Yawn\Lick Lick Lick\Namu\Here I go! I'm gonna drink it!\I'm getting bored of this. response:	Your turn might be coming up soon.
context: I will pay you anything if you can rid my daughter of that demon!\Two hundred million! Five hundred million!\Yawn\Lick Lick Lick\Namu\Here I go! I'm gonna drink it!\I'm getting bored of this.\Your turn might be coming up soon. response:	Winner
context: Two hundred million! Five hundred million!\Yawn\Lick Lick Lick\Namu\Here I go! I'm gonna drink it!\I'm getting bored of this.\Your turn might be coming up soon.\Winner response:	49th out of 68
context: Yawn\Lick Lick Lick\Namu\Here I go! I'm gonna drink it!\I'm getting bored of this.\Your turn might be coming up soon.\Winner\49th out of 68 response:	Make sure you warm up a bit.
context: Lick Lick Lick\Namu\Here I go! I'm gonna drink it!\I'm getting bored of this.\Your turn might be coming up soon.\Winner\49th out of 68\Make sure you warm up a bit. response:	You're making it sound like a workout.
context: Namu\Here I go! I'm gonna drink it!\I'm getting bored of this.\Your turn might be coming up soon.\Winner\49th out of 68\Make sure you warm up a bit.\You're making it sound like a workout. response:	There are no warmups for this.
context: Here I go! I'm gonna drink it!\I'm getting bored of this.\Your turn might be coming up soon.\Winner\49th out of 68\Make sure you warm up a bit.\You're making it sound like a workout.\There are no warmups for this. response:	Suikoden
context: I'm getting bored of this.\Your turn might be coming up soon.\Winner\49th out of 68\Make sure you warm up a bit.\You're making it sound like a workout.\There are no warmups for this.\Suikoden response:	What's wrong, Dimple? You're shaking like crazy.
context: Your turn might be coming up soon.\Winner\49th out of 68\Make sure you warm up a bit.\You're making it sound like a workout.\There are no warmups for this.\Suikoden\What's wrong, Dimple? You're shaking like crazy. response:	Are you a chihuahua?
context: Winner\49th out of 68\Make sure you warm up a bit.\You're making it sound like a workout.\There are no warmups for this.\Suikoden\What's wrong, Dimple? You're shaking like crazy.\Are you a chihuahua? response:	There's still time... Drop this job!
context: 49th out of 68\Make sure you warm up a bit.\You're making it sound like a workout.\There are no warmups for this.\Suikoden\What's wrong, Dimple? You're shaking like crazy.\Are you a chihuahua?\There's still time... Drop this job! response:	Huh?
context: Make sure you warm up a bit.\You're making it sound like a workout.\There are no warmups for this.\Suikoden\What's wrong, Dimple? You're shaking like crazy.\Are you a chihuahua?\There's still time... Drop this job!\Huh? response:	I'm sure you've at least heard of his name before... Mogami Keiji.
context: You're making it sound like a workout.\There are no warmups for this.\Suikoden\What's wrong, Dimple? You're shaking like crazy.\Are you a chihuahua?\There's still time... Drop this job!\Huh?\I'm sure you've at least heard of his name before... Mogami Keiji. response:	Nope.
context: There are no warmups for this.\Suikoden\What's wrong, Dimple? You're shaking like crazy.\Are you a chihuahua?\There's still time... Drop this job!\Huh?\I'm sure you've at least heard of his name before... Mogami Keiji.\Nope. response:	Mogami...
context: Suikoden\What's wrong, Dimple? You're shaking like crazy.\Are you a chihuahua?\There's still time... Drop this job!\Huh?\I'm sure you've at least heard of his name before... Mogami Keiji.\Nope.\Mogami... response:	He's one of the people I referenced when I first started in this biz.
context: What's wrong, Dimple? You're shaking like crazy.\Are you a chihuahua?\There's still time... Drop this job!\Huh?\I'm sure you've at least heard of his name before... Mogami Keiji.\Nope.\Mogami...\He's one of the people I referenced when I first started in this biz. response:	He's been dead for ages, though.
context: Are you a chihuahua?\There's still time... Drop this job!\Huh?\I'm sure you've at least heard of his name before... Mogami Keiji.\Nope.\Mogami...\He's one of the people I referenced when I first started in this biz.\He's been dead for ages, though. response:	We're talking about forty years ago!
context: There's still time... Drop this job!\Huh?\I'm sure you've at least heard of his name before... Mogami Keiji.\Nope.\Mogami...\He's one of the people I referenced when I first started in this biz.\He's been dead for ages, though.\We're talking about forty years ago! response:	40 Years Ago
context: Huh?\I'm sure you've at least heard of his name before... Mogami Keiji.\Nope.\Mogami...\He's one of the people I referenced when I first started in this biz.\He's been dead for ages, though.\We're talking about forty years ago!\40 Years Ago response:	Mogami Keiji
context: I'm sure you've at least heard of his name before... Mogami Keiji.\Nope.\Mogami...\He's one of the people I referenced when I first started in this biz.\He's been dead for ages, though.\We're talking about forty years ago!\40 Years Ago\Mogami Keiji response:	Mogami Keiji.
context: Nope.\Mogami...\He's one of the people I referenced when I first started in this biz.\He's been dead for ages, though.\We're talking about forty years ago!\40 Years Ago\Mogami Keiji\Mogami Keiji. response:	Mogami Keiji performs a seance
context: Mogami...\He's one of the people I referenced when I first started in this biz.\He's been dead for ages, though.\We're talking about forty years ago!\40 Years Ago\Mogami Keiji\Mogami Keiji.\Mogami Keiji performs a seance response:	He was known as a good psychic who used seances and channeling to save people,
context: He's one of the people I referenced when I first started in this biz.\He's been dead for ages, though.\We're talking about forty years ago!\40 Years Ago\Mogami Keiji\Mogami Keiji.\Mogami Keiji performs a seance\He was known as a good psychic who used seances and channeling to save people, response:	Mogami Keiji
context: He's been dead for ages, though.\We're talking about forty years ago!\40 Years Ago\Mogami Keiji\Mogami Keiji.\Mogami Keiji performs a seance\He was known as a good psychic who used seances and channeling to save people,\Mogami Keiji response:	The voices of the dead
context: We're talking about forty years ago!\40 Years Ago\Mogami Keiji\Mogami Keiji.\Mogami Keiji performs a seance\He was known as a good psychic who used seances and channeling to save people,\Mogami Keiji\The voices of the dead response:	and the media loved him.
context: 40 Years Ago\Mogami Keiji\Mogami Keiji.\Mogami Keiji performs a seance\He was known as a good psychic who used seances and channeling to save people,\Mogami Keiji\The voices of the dead\and the media loved him. response:	But what the masses were seeing was Mogami Keiji the entertainer.
context: Mogami Keiji\Mogami Keiji.\Mogami Keiji performs a seance\He was known as a good psychic who used seances and channeling to save people,\Mogami Keiji\The voices of the dead\and the media loved him.\But what the masses were seeing was Mogami Keiji the entertainer. response:	Psychic Mogami Keiji
context: Mogami Keiji.\Mogami Keiji performs a seance\He was known as a good psychic who used seances and channeling to save people,\Mogami Keiji\The voices of the dead\and the media loved him.\But what the masses were seeing was Mogami Keiji the entertainer.\Psychic Mogami Keiji response:	And then one day,
context: Mogami Keiji performs a seance\He was known as a good psychic who used seances and channeling to save people,\Mogami Keiji\The voices of the dead\and the media loved him.\But what the masses were seeing was Mogami Keiji the entertainer.\Psychic Mogami Keiji\And then one day, response:	he completely vanished from the public eye.
context: He was known as a good psychic who used seances and channeling to save people,\Mogami Keiji\The voices of the dead\and the media loved him.\But what the masses were seeing was Mogami Keiji the entertainer.\Psychic Mogami Keiji\And then one day,\he completely vanished from the public eye. response:	Mogami had another side to him.
context: Mogami Keiji\The voices of the dead\and the media loved him.\But what the masses were seeing was Mogami Keiji the entertainer.\Psychic Mogami Keiji\And then one day,\he completely vanished from the public eye.\Mogami had another side to him. response:	He was an assassin who used his powers to kill.
context: The voices of the dead\and the media loved him.\But what the masses were seeing was Mogami Keiji the entertainer.\Psychic Mogami Keiji\And then one day,\he completely vanished from the public eye.\Mogami had another side to him.\He was an assassin who used his powers to kill. response:	Mogami was desperate for money.
context: and the media loved him.\But what the masses were seeing was Mogami Keiji the entertainer.\Psychic Mogami Keiji\And then one day,\he completely vanished from the public eye.\Mogami had another side to him.\He was an assassin who used his powers to kill.\Mogami was desperate for money. response:	His mother was gravely ill,
context: But what the masses were seeing was Mogami Keiji the entertainer.\Psychic Mogami Keiji\And then one day,\he completely vanished from the public eye.\Mogami had another side to him.\He was an assassin who used his powers to kill.\Mogami was desperate for money.\His mother was gravely ill, response:	and the treatment and equipment she needed cost a lot of money.
context: Psychic Mogami Keiji\And then one day,\he completely vanished from the public eye.\Mogami had another side to him.\He was an assassin who used his powers to kill.\Mogami was desperate for money.\His mother was gravely ill,\and the treatment and equipment she needed cost a lot of money. response:	Be it the living or the dead, seeing their final moments had become routine for him.
context: And then one day,\he completely vanished from the public eye.\Mogami had another side to him.\He was an assassin who used his powers to kill.\Mogami was desperate for money.\His mother was gravely ill,\and the treatment and equipment she needed cost a lot of money.\Be it the living or the dead, seeing their final moments had become routine for him. response:	And it broke him.
context: he completely vanished from the public eye.\Mogami had another side to him.\He was an assassin who used his powers to kill.\Mogami was desperate for money.\His mother was gravely ill,\and the treatment and equipment she needed cost a lot of money.\Be it the living or the dead, seeing their final moments had become routine for him.\And it broke him. response:	And that's around the time
context: Mogami had another side to him.\He was an assassin who used his powers to kill.\Mogami was desperate for money.\His mother was gravely ill,\and the treatment and equipment she needed cost a lot of money.\Be it the living or the dead, seeing their final moments had become routine for him.\And it broke him.\And that's around the time response:	he showed up to exorcise me.
context: He was an assassin who used his powers to kill.\Mogami was desperate for money.\His mother was gravely ill,\and the treatment and equipment she needed cost a lot of money.\Be it the living or the dead, seeing their final moments had become routine for him.\And it broke him.\And that's around the time\he showed up to exorcise me. response:	How dare you do that to my followers?!
context: Mogami was desperate for money.\His mother was gravely ill,\and the treatment and equipment she needed cost a lot of money.\Be it the living or the dead, seeing their final moments had become routine for him.\And it broke him.\And that's around the time\he showed up to exorcise me.\How dare you do that to my followers?! response:	I'm going full power for this!
context: His mother was gravely ill,\and the treatment and equipment she needed cost a lot of money.\Be it the living or the dead, seeing their final moments had become routine for him.\And it broke him.\And that's around the time\he showed up to exorcise me.\How dare you do that to my followers?!\I'm going full power for this! response:	Overrun! Wraither Beam!
context: and the treatment and equipment she needed cost a lot of money.\Be it the living or the dead, seeing their final moments had become routine for him.\And it broke him.\And that's around the time\he showed up to exorcise me.\How dare you do that to my followers?!\I'm going full power for this!\Overrun! Wraither Beam! response:	I give up!
context: Be it the living or the dead, seeing their final moments had become routine for him.\And it broke him.\And that's around the time\he showed up to exorcise me.\How dare you do that to my followers?!\I'm going full power for this!\Overrun! Wraither Beam!\I give up! response:	Wait, I said I give up! I won't do anything bad ever again!
context: And it broke him.\And that's around the time\he showed up to exorcise me.\How dare you do that to my followers?!\I'm going full power for this!\Overrun! Wraither Beam!\I give up!\Wait, I said I give up! I won't do anything bad ever again! response:	What are you talking about?
context: And that's around the time\he showed up to exorcise me.\How dare you do that to my followers?!\I'm going full power for this!\Overrun! Wraither Beam!\I give up!\Wait, I said I give up! I won't do anything bad ever again!\What are you talking about? response:	You seem to have the wrong idea.
context: he showed up to exorcise me.\How dare you do that to my followers?!\I'm going full power for this!\Overrun! Wraither Beam!\I give up!\Wait, I said I give up! I won't do anything bad ever again!\What are you talking about?\You seem to have the wrong idea. response:	I've come to absorb you.
context: How dare you do that to my followers?!\I'm going full power for this!\Overrun! Wraither Beam!\I give up!\Wait, I said I give up! I won't do anything bad ever again!\What are you talking about?\You seem to have the wrong idea.\I've come to absorb you. response:	A-Absorb me?
context: I'm going full power for this!\Overrun! Wraither Beam!\I give up!\Wait, I said I give up! I won't do anything bad ever again!\What are you talking about?\You seem to have the wrong idea.\I've come to absorb you.\A-Absorb me? response:	This bastard...
context: Overrun! Wraither Beam!\I give up!\Wait, I said I give up! I won't do anything bad ever again!\What are you talking about?\You seem to have the wrong idea.\I've come to absorb you.\A-Absorb me?\This bastard... response:	He's human, but he's absorbing my spiritual molecules!
context: I give up!\Wait, I said I give up! I won't do anything bad ever again!\What are you talking about?\You seem to have the wrong idea.\I've come to absorb you.\A-Absorb me?\This bastard...\He's human, but he's absorbing my spiritual molecules! response:	Are you trying to eat me?
context: Wait, I said I give up! I won't do anything bad ever again!\What are you talking about?\You seem to have the wrong idea.\I've come to absorb you.\A-Absorb me?\This bastard...\He's human, but he's absorbing my spiritual molecules!\Are you trying to eat me? response:	You'll just end up with an upset stomach!
context: What are you talking about?\You seem to have the wrong idea.\I've come to absorb you.\A-Absorb me?\This bastard...\He's human, but he's absorbing my spiritual molecules!\Are you trying to eat me?\You'll just end up with an upset stomach! response:	I am going to willfully shuffle off this mortal coil soon
context: You seem to have the wrong idea.\I've come to absorb you.\A-Absorb me?\This bastard...\He's human, but he's absorbing my spiritual molecules!\Are you trying to eat me?\You'll just end up with an upset stomach!\I am going to willfully shuffle off this mortal coil soon response:	and become a powerful vengeful spirit.
context: I've come to absorb you.\A-Absorb me?\This bastard...\He's human, but he's absorbing my spiritual molecules!\Are you trying to eat me?\You'll just end up with an upset stomach!\I am going to willfully shuffle off this mortal coil soon\and become a powerful vengeful spirit. response:	Shit! This bastard's completely lost it!
context: A-Absorb me?\This bastard...\He's human, but he's absorbing my spiritual molecules!\Are you trying to eat me?\You'll just end up with an upset stomach!\I am going to willfully shuffle off this mortal coil soon\and become a powerful vengeful spirit.\Shit! This bastard's completely lost it! response:	Wh-Why would you do that?
context: This bastard...\He's human, but he's absorbing my spiritual molecules!\Are you trying to eat me?\You'll just end up with an upset stomach!\I am going to willfully shuffle off this mortal coil soon\and become a powerful vengeful spirit.\Shit! This bastard's completely lost it!\Wh-Why would you do that? response:	Revenge.
context: He's human, but he's absorbing my spiritual molecules!\Are you trying to eat me?\You'll just end up with an upset stomach!\I am going to willfully shuffle off this mortal coil soon\and become a powerful vengeful spirit.\Shit! This bastard's completely lost it!\Wh-Why would you do that?\Revenge. response:	I'm going to show all those bastards who think nothing bad will ever happen to them.
context: Are you trying to eat me?\You'll just end up with an upset stomach!\I am going to willfully shuffle off this mortal coil soon\and become a powerful vengeful spirit.\Shit! This bastard's completely lost it!\Wh-Why would you do that?\Revenge.\I'm going to show all those bastards who think nothing bad will ever happen to them. response:	Show them what true hatred is like.
context: You'll just end up with an upset stomach!\I am going to willfully shuffle off this mortal coil soon\and become a powerful vengeful spirit.\Shit! This bastard's completely lost it!\Wh-Why would you do that?\Revenge.\I'm going to show all those bastards who think nothing bad will ever happen to them.\Show them what true hatred is like. response:	And what happens when they manipulate and use someone.
context: I am going to willfully shuffle off this mortal coil soon\and become a powerful vengeful spirit.\Shit! This bastard's completely lost it!\Wh-Why would you do that?\Revenge.\I'm going to show all those bastards who think nothing bad will ever happen to them.\Show them what true hatred is like.\And what happens when they manipulate and use someone. response:	You're going to empower me to achieve that goal.
context: and become a powerful vengeful spirit.\Shit! This bastard's completely lost it!\Wh-Why would you do that?\Revenge.\I'm going to show all those bastards who think nothing bad will ever happen to them.\Show them what true hatred is like.\And what happens when they manipulate and use someone.\You're going to empower me to achieve that goal. response:	It appears I absorbed too many vengeful spirits at once.
context: Shit! This bastard's completely lost it!\Wh-Why would you do that?\Revenge.\I'm going to show all those bastards who think nothing bad will ever happen to them.\Show them what true hatred is like.\And what happens when they manipulate and use someone.\You're going to empower me to achieve that goal.\It appears I absorbed too many vengeful spirits at once. response:	It got away?
context: Wh-Why would you do that?\Revenge.\I'm going to show all those bastards who think nothing bad will ever happen to them.\Show them what true hatred is like.\And what happens when they manipulate and use someone.\You're going to empower me to achieve that goal.\It appears I absorbed too many vengeful spirits at once.\It got away? response:	Hang on a sec.
context: Revenge.\I'm going to show all those bastards who think nothing bad will ever happen to them.\Show them what true hatred is like.\And what happens when they manipulate and use someone.\You're going to empower me to achieve that goal.\It appears I absorbed too many vengeful spirits at once.\It got away?\Hang on a sec. response:	What's that got to do with anything?
context: I'm going to show all those bastards who think nothing bad will ever happen to them.\Show them what true hatred is like.\And what happens when they manipulate and use someone.\You're going to empower me to achieve that goal.\It appears I absorbed too many vengeful spirits at once.\It got away?\Hang on a sec.\What's that got to do with anything? response:	That's Mogami himself!
context: Show them what true hatred is like.\And what happens when they manipulate and use someone.\You're going to empower me to achieve that goal.\It appears I absorbed too many vengeful spirits at once.\It got away?\Hang on a sec.\What's that got to do with anything?\That's Mogami himself! response:	The star psychic of the 20th century, Mogami Keiji!
