context: I want to go back to that time again. response:	I want to become small again.
context: did you like Minami-kun's mom a long time ago?\What are you saying?\I asked her to come work here because I've known her for long and wanted to help her,...\Dad...\But, my offer to recommend him to Takasu University, which you requested, was turned down.\It was turned down?\There is nothing I can say about it anymore.\Sayori. response:	Actually, I have something to tell you.
context: What are you saying?\I asked her to come work here because I've known her for long and wanted to help her,...\Dad...\But, my offer to recommend him to Takasu University, which you requested, was turned down.\It was turned down?\There is nothing I can say about it anymore.\Sayori.\Actually, I have something to tell you. response:	Eh? What is it?
context: I asked her to come work here because I've known her for long and wanted to help her,...\Dad...\But, my offer to recommend him to Takasu University, which you requested, was turned down.\It was turned down?\There is nothing I can say about it anymore.\Sayori.\Actually, I have something to tell you.\Eh? What is it? response:	Right.
context: Dad...\But, my offer to recommend him to Takasu University, which you requested, was turned down.\It was turned down?\There is nothing I can say about it anymore.\Sayori.\Actually, I have something to tell you.\Eh? What is it?\Right. response:	I am thinking about getting remarried.
context: But, my offer to recommend him to Takasu University, which you requested, was turned down.\It was turned down?\There is nothing I can say about it anymore.\Sayori.\Actually, I have something to tell you.\Eh? What is it?\Right.\I am thinking about getting remarried. response:	What?
context: It was turned down?\There is nothing I can say about it anymore.\Sayori.\Actually, I have something to tell you.\Eh? What is it?\Right.\I am thinking about getting remarried.\What? response:	It's time I could get happy, right?
context: There is nothing I can say about it anymore.\Sayori.\Actually, I have something to tell you.\Eh? What is it?\Right.\I am thinking about getting remarried.\What?\It's time I could get happy, right? response:	With whom?
context: Sayori.\Actually, I have something to tell you.\Eh? What is it?\Right.\I am thinking about getting remarried.\What?\It's time I could get happy, right?\With whom? response:	Well, Dr. Koide you met now. She is attractive, right?
context: Actually, I have something to tell you.\Eh? What is it?\Right.\I am thinking about getting remarried.\What?\It's time I could get happy, right?\With whom?\Well, Dr. Koide you met now. She is attractive, right? response:	Wait, Sayori. Sayori.
context: Eh? What is it?\Right.\I am thinking about getting remarried.\What?\It's time I could get happy, right?\With whom?\Well, Dr. Koide you met now. She is attractive, right?\Wait, Sayori. Sayori. response:	Go ahead! Get married or whatever.
context: Right.\I am thinking about getting remarried.\What?\It's time I could get happy, right?\With whom?\Well, Dr. Koide you met now. She is attractive, right?\Wait, Sayori. Sayori.\Go ahead! Get married or whatever. response:	Sayori...
context: I am thinking about getting remarried.\What?\It's time I could get happy, right?\With whom?\Well, Dr. Koide you met now. She is attractive, right?\Wait, Sayori. Sayori.\Go ahead! Get married or whatever.\Sayori... response:	But, do you think you will be happy with such marriage?
context: What?\It's time I could get happy, right?\With whom?\Well, Dr. Koide you met now. She is attractive, right?\Wait, Sayori. Sayori.\Go ahead! Get married or whatever.\Sayori...\But, do you think you will be happy with such marriage? response:	Have you ever wondered how Mom felt when she left us?
context: It's time I could get happy, right?\With whom?\Well, Dr. Koide you met now. She is attractive, right?\Wait, Sayori. Sayori.\Go ahead! Get married or whatever.\Sayori...\But, do you think you will be happy with such marriage?\Have you ever wondered how Mom felt when she left us? response:	We can't talk about it here. Let's talk at home.
context: With whom?\Well, Dr. Koide you met now. She is attractive, right?\Wait, Sayori. Sayori.\Go ahead! Get married or whatever.\Sayori...\But, do you think you will be happy with such marriage?\Have you ever wondered how Mom felt when she left us?\We can't talk about it here. Let's talk at home. response:	What? It'll cause you trouble if I talk about it here?
context: Well, Dr. Koide you met now. She is attractive, right?\Wait, Sayori. Sayori.\Go ahead! Get married or whatever.\Sayori...\But, do you think you will be happy with such marriage?\Have you ever wondered how Mom felt when she left us?\We can't talk about it here. Let's talk at home.\What? It'll cause you trouble if I talk about it here? response:	You care about how you appear to other people more than your daughter's feelings.
context: Wait, Sayori. Sayori.\Go ahead! Get married or whatever.\Sayori...\But, do you think you will be happy with such marriage?\Have you ever wondered how Mom felt when she left us?\We can't talk about it here. Let's talk at home.\What? It'll cause you trouble if I talk about it here?\You care about how you appear to other people more than your daughter's feelings. response:	Be quiet, Sayori!!
context: Go ahead! Get married or whatever.\Sayori...\But, do you think you will be happy with such marriage?\Have you ever wondered how Mom felt when she left us?\We can't talk about it here. Let's talk at home.\What? It'll cause you trouble if I talk about it here?\You care about how you appear to other people more than your daughter's feelings.\Be quiet, Sayori!! response:	Sayori...
context: Sayori...\But, do you think you will be happy with such marriage?\Have you ever wondered how Mom felt when she left us?\We can't talk about it here. Let's talk at home.\What? It'll cause you trouble if I talk about it here?\You care about how you appear to other people more than your daughter's feelings.\Be quiet, Sayori!!\Sayori... response:	Sayori-chan.
context: But, do you think you will be happy with such marriage?\Have you ever wondered how Mom felt when she left us?\We can't talk about it here. Let's talk at home.\What? It'll cause you trouble if I talk about it here?\You care about how you appear to other people more than your daughter's feelings.\Be quiet, Sayori!!\Sayori...\Sayori-chan. response:	Timing and Subtitles brought to you by The My Little Lover Team @Viki.
context: Have you ever wondered how Mom felt when she left us?\We can't talk about it here. Let's talk at home.\What? It'll cause you trouble if I talk about it here?\You care about how you appear to other people more than your daughter's feelings.\Be quiet, Sayori!!\Sayori...\Sayori-chan.\Timing and Subtitles brought to you by The My Little Lover Team @Viki. response:	Excuse me.
context: We can't talk about it here. Let's talk at home.\What? It'll cause you trouble if I talk about it here?\You care about how you appear to other people more than your daughter's feelings.\Be quiet, Sayori!!\Sayori...\Sayori-chan.\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\Excuse me. response:	What's this?
context: What? It'll cause you trouble if I talk about it here?\You care about how you appear to other people more than your daughter's feelings.\Be quiet, Sayori!!\Sayori...\Sayori-chan.\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\Excuse me.\What's this? response:	Oh...
context: You care about how you appear to other people more than your daughter's feelings.\Be quiet, Sayori!!\Sayori...\Sayori-chan.\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\Excuse me.\What's this?\Oh... response:	Onii-chan did bring these here.
context: Be quiet, Sayori!!\Sayori...\Sayori-chan.\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\Excuse me.\What's this?\Oh...\Onii-chan did bring these here. response:	What? Handmade?
context: Sayori...\Sayori-chan.\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\Excuse me.\What's this?\Oh...\Onii-chan did bring these here.\What? Handmade? response:	Could it be...
context: Sayori-chan.\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\Excuse me.\What's this?\Oh...\Onii-chan did bring these here.\What? Handmade?\Could it be... response:	Just wait.
context: Timing and Subtitles brought to you by The My Little Lover Team @Viki.\Excuse me.\What's this?\Oh...\Onii-chan did bring these here.\What? Handmade?\Could it be...\Just wait. response:	I'm just about to finish making this cute clothes.
context: Excuse me.\What's this?\Oh...\Onii-chan did bring these here.\What? Handmade?\Could it be...\Just wait.\I'm just about to finish making this cute clothes. response:	Is Onii-chan a perv?
context: What's this?\Oh...\Onii-chan did bring these here.\What? Handmade?\Could it be...\Just wait.\I'm just about to finish making this cute clothes.\Is Onii-chan a perv? response:	No way, no way.
context: Oh...\Onii-chan did bring these here.\What? Handmade?\Could it be...\Just wait.\I'm just about to finish making this cute clothes.\Is Onii-chan a perv?\No way, no way. response:	By chance... in here, too...?
context: Onii-chan did bring these here.\What? Handmade?\Could it be...\Just wait.\I'm just about to finish making this cute clothes.\Is Onii-chan a perv?\No way, no way.\By chance... in here, too...? response:	Onii-chan. I'm sorry.
context: What? Handmade?\Could it be...\Just wait.\I'm just about to finish making this cute clothes.\Is Onii-chan a perv?\No way, no way.\By chance... in here, too...?\Onii-chan. I'm sorry. response:	Oh? It's e-mail screen.
context: Could it be...\Just wait.\I'm just about to finish making this cute clothes.\Is Onii-chan a perv?\No way, no way.\By chance... in here, too...?\Onii-chan. I'm sorry.\Oh? It's e-mail screen. response:	Eh? What is this?
context: Just wait.\I'm just about to finish making this cute clothes.\Is Onii-chan a perv?\No way, no way.\By chance... in here, too...?\Onii-chan. I'm sorry.\Oh? It's e-mail screen.\Eh? What is this? response:	Onii-chan's e-mail address is'issun-hime' (one-inch princess)?
context: I'm just about to finish making this cute clothes.\Is Onii-chan a perv?\No way, no way.\By chance... in here, too...?\Onii-chan. I'm sorry.\Oh? It's e-mail screen.\Eh? What is this?\Onii-chan's e-mail address is'issun-hime' (one-inch princess)? response:	I'm home.
context: Is Onii-chan a perv?\No way, no way.\By chance... in here, too...?\Onii-chan. I'm sorry.\Oh? It's e-mail screen.\Eh? What is this?\Onii-chan's e-mail address is'issun-hime' (one-inch princess)?\I'm home. response:	Grandma.
context: No way, no way.\By chance... in here, too...?\Onii-chan. I'm sorry.\Oh? It's e-mail screen.\Eh? What is this?\Onii-chan's e-mail address is'issun-hime' (one-inch princess)?\I'm home.\Grandma. response:	How are you feeling?
context: By chance... in here, too...?\Onii-chan. I'm sorry.\Oh? It's e-mail screen.\Eh? What is this?\Onii-chan's e-mail address is'issun-hime' (one-inch princess)?\I'm home.\Grandma.\How are you feeling? response:	Ah... Asuka-chan.
context: Onii-chan. I'm sorry.\Oh? It's e-mail screen.\Eh? What is this?\Onii-chan's e-mail address is'issun-hime' (one-inch princess)?\I'm home.\Grandma.\How are you feeling?\Ah... Asuka-chan. response:	Asuka?
context: Oh? It's e-mail screen.\Eh? What is this?\Onii-chan's e-mail address is'issun-hime' (one-inch princess)?\I'm home.\Grandma.\How are you feeling?\Ah... Asuka-chan.\Asuka? response:	W-Why are you here?
context: Eh? What is this?\Onii-chan's e-mail address is'issun-hime' (one-inch princess)?\I'm home.\Grandma.\How are you feeling?\Ah... Asuka-chan.\Asuka?\W-Why are you here? response:	It's so nice of her.
context: Onii-chan's e-mail address is'issun-hime' (one-inch princess)?\I'm home.\Grandma.\How are you feeling?\Ah... Asuka-chan.\Asuka?\W-Why are you here?\It's so nice of her. response:	She came to see how I was doing.
context: I'm home.\Grandma.\How are you feeling?\Ah... Asuka-chan.\Asuka?\W-Why are you here?\It's so nice of her.\She came to see how I was doing. response:	You're better than expected. I'm relieved.
context: Grandma.\How are you feeling?\Ah... Asuka-chan.\Asuka?\W-Why are you here?\It's so nice of her.\She came to see how I was doing.\You're better than expected. I'm relieved. response:	Also, I thought I would ask you to help me study, so I was waiting upstairs.
context: How are you feeling?\Ah... Asuka-chan.\Asuka?\W-Why are you here?\It's so nice of her.\She came to see how I was doing.\You're better than expected. I'm relieved.\Also, I thought I would ask you to help me study, so I was waiting upstairs. response:	What's she thinking?
context: Ah... Asuka-chan.\Asuka?\W-Why are you here?\It's so nice of her.\She came to see how I was doing.\You're better than expected. I'm relieved.\Also, I thought I would ask you to help me study, so I was waiting upstairs.\What's she thinking? response:	My Little Lover Minami Kun No Koibito
context: Asuka?\W-Why are you here?\It's so nice of her.\She came to see how I was doing.\You're better than expected. I'm relieved.\Also, I thought I would ask you to help me study, so I was waiting upstairs.\What's she thinking?\My Little Lover Minami Kun No Koibito response:	Ah... It's messy here.
context: W-Why are you here?\It's so nice of her.\She came to see how I was doing.\You're better than expected. I'm relieved.\Also, I thought I would ask you to help me study, so I was waiting upstairs.\What's she thinking?\My Little Lover Minami Kun No Koibito\Ah... It's messy here. response:	That's okay. I don't mind.
context: It's so nice of her.\She came to see how I was doing.\You're better than expected. I'm relieved.\Also, I thought I would ask you to help me study, so I was waiting upstairs.\What's she thinking?\My Little Lover Minami Kun No Koibito\Ah... It's messy here.\That's okay. I don't mind. response:	Yea...
context: She came to see how I was doing.\You're better than expected. I'm relieved.\Also, I thought I would ask you to help me study, so I was waiting upstairs.\What's she thinking?\My Little Lover Minami Kun No Koibito\Ah... It's messy here.\That's okay. I don't mind.\Yea... response:	Let's see...
context: You're better than expected. I'm relieved.\Also, I thought I would ask you to help me study, so I was waiting upstairs.\What's she thinking?\My Little Lover Minami Kun No Koibito\Ah... It's messy here.\That's okay. I don't mind.\Yea...\Let's see... response:	Which one should I get help on...?
context: Also, I thought I would ask you to help me study, so I was waiting upstairs.\What's she thinking?\My Little Lover Minami Kun No Koibito\Ah... It's messy here.\That's okay. I don't mind.\Yea...\Let's see...\Which one should I get help on...? response:	Asuka-chan.
context: What's she thinking?\My Little Lover Minami Kun No Koibito\Ah... It's messy here.\That's okay. I don't mind.\Yea...\Let's see...\Which one should I get help on...?\Asuka-chan. response:	You know, I am a man, so...
context: My Little Lover Minami Kun No Koibito\Ah... It's messy here.\That's okay. I don't mind.\Yea...\Let's see...\Which one should I get help on...?\Asuka-chan.\You know, I am a man, so... response:	It's not right for a girl to come into a man's room.
context: Ah... It's messy here.\That's okay. I don't mind.\Yea...\Let's see...\Which one should I get help on...?\Asuka-chan.\You know, I am a man, so...\It's not right for a girl to come into a man's room. response:	Does that mean...
context: That's okay. I don't mind.\Yea...\Let's see...\Which one should I get help on...?\Asuka-chan.\You know, I am a man, so...\It's not right for a girl to come into a man's room.\Does that mean... response:	You see me as a girl?
context: Yea...\Let's see...\Which one should I get help on...?\Asuka-chan.\You know, I am a man, so...\It's not right for a girl to come into a man's room.\Does that mean...\You see me as a girl? response:	Eh?
context: Let's see...\Which one should I get help on...?\Asuka-chan.\You know, I am a man, so...\It's not right for a girl to come into a man's room.\Does that mean...\You see me as a girl?\Eh? response:	I don't mind.
context: Which one should I get help on...?\Asuka-chan.\You know, I am a man, so...\It's not right for a girl to come into a man's room.\Does that mean...\You see me as a girl?\Eh?\I don't mind. response:	You can attack me.
context: Asuka-chan.\You know, I am a man, so...\It's not right for a girl to come into a man's room.\Does that mean...\You see me as a girl?\Eh?\I don't mind.\You can attack me. response:	Asuka...
context: You know, I am a man, so...\It's not right for a girl to come into a man's room.\Does that mean...\You see me as a girl?\Eh?\I don't mind.\You can attack me.\Asuka... response:	Onii-chan, are you panicking?
context: It's not right for a girl to come into a man's room.\Does that mean...\You see me as a girl?\Eh?\I don't mind.\You can attack me.\Asuka...\Onii-chan, are you panicking? response:	Asuka-chan! Which part do you not understand?
context: Does that mean...\You see me as a girl?\Eh?\I don't mind.\You can attack me.\Asuka...\Onii-chan, are you panicking?\Asuka-chan! Which part do you not understand? response:	Oh right. Well, let's see...
context: You see me as a girl?\Eh?\I don't mind.\You can attack me.\Asuka...\Onii-chan, are you panicking?\Asuka-chan! Which part do you not understand?\Oh right. Well, let's see... response:	I'm home.
context: Eh?\I don't mind.\You can attack me.\Asuka...\Onii-chan, are you panicking?\Asuka-chan! Which part do you not understand?\Oh right. Well, let's see...\I'm home. response:	Okay, Sayori-chan. Come on in.
context: I don't mind.\You can attack me.\Asuka...\Onii-chan, are you panicking?\Asuka-chan! Which part do you not understand?\Oh right. Well, let's see...\I'm home.\Okay, Sayori-chan. Come on in. response:	Come this way, please.
context: You can attack me.\Asuka...\Onii-chan, are you panicking?\Asuka-chan! Which part do you not understand?\Oh right. Well, let's see...\I'm home.\Okay, Sayori-chan. Come on in.\Come this way, please. response:	Hello.
context: Asuka...\Onii-chan, are you panicking?\Asuka-chan! Which part do you not understand?\Oh right. Well, let's see...\I'm home.\Okay, Sayori-chan. Come on in.\Come this way, please.\Hello. response:	What?
context: Onii-chan, are you panicking?\Asuka-chan! Which part do you not understand?\Oh right. Well, let's see...\I'm home.\Okay, Sayori-chan. Come on in.\Come this way, please.\Hello.\What? response:	Oh, we have a visitor?
context: Asuka-chan! Which part do you not understand?\Oh right. Well, let's see...\I'm home.\Okay, Sayori-chan. Come on in.\Come this way, please.\Hello.\What?\Oh, we have a visitor? response:	Nomura...
context: Oh right. Well, let's see...\I'm home.\Okay, Sayori-chan. Come on in.\Come this way, please.\Hello.\What?\Oh, we have a visitor?\Nomura... response:	Hello, Minami-kun.
context: I'm home.\Okay, Sayori-chan. Come on in.\Come this way, please.\Hello.\What?\Oh, we have a visitor?\Nomura...\Hello, Minami-kun. response:	Make yourself at home. Have a seat over there.
context: Okay, Sayori-chan. Come on in.\Come this way, please.\Hello.\What?\Oh, we have a visitor?\Nomura...\Hello, Minami-kun.\Make yourself at home. Have a seat over there. response:	This time, it's Nomura-san...?
context: Come this way, please.\Hello.\What?\Oh, we have a visitor?\Nomura...\Hello, Minami-kun.\Make yourself at home. Have a seat over there.\This time, it's Nomura-san...? response:	What a day.
context: Hello.\What?\Oh, we have a visitor?\Nomura...\Hello, Minami-kun.\Make yourself at home. Have a seat over there.\This time, it's Nomura-san...?\What a day. response:	It's delicious.
context: What?\Oh, we have a visitor?\Nomura...\Hello, Minami-kun.\Make yourself at home. Have a seat over there.\This time, it's Nomura-san...?\What a day.\It's delicious. response:	- Yes, it is. - it is delicious, Sayori-chan.
context: Oh, we have a visitor?\Nomura...\Hello, Minami-kun.\Make yourself at home. Have a seat over there.\This time, it's Nomura-san...?\What a day.\It's delicious.\- Yes, it is. - it is delicious, Sayori-chan. response:	You cook well.
context: Nomura...\Hello, Minami-kun.\Make yourself at home. Have a seat over there.\This time, it's Nomura-san...?\What a day.\It's delicious.\- Yes, it is. - it is delicious, Sayori-chan.\You cook well. response:	Really?
context: Hello, Minami-kun.\Make yourself at home. Have a seat over there.\This time, it's Nomura-san...?\What a day.\It's delicious.\- Yes, it is. - it is delicious, Sayori-chan.\You cook well.\Really? response:	Does it taste good, Minami-kun?
context: Make yourself at home. Have a seat over there.\This time, it's Nomura-san...?\What a day.\It's delicious.\- Yes, it is. - it is delicious, Sayori-chan.\You cook well.\Really?\Does it taste good, Minami-kun? response:	Ah... Yeah, it tastes good.
context: This time, it's Nomura-san...?\What a day.\It's delicious.\- Yes, it is. - it is delicious, Sayori-chan.\You cook well.\Really?\Does it taste good, Minami-kun?\Ah... Yeah, it tastes good. response:	I am sorry I had you cook for us although you are our guest.
context: What a day.\It's delicious.\- Yes, it is. - it is delicious, Sayori-chan.\You cook well.\Really?\Does it taste good, Minami-kun?\Ah... Yeah, it tastes good.\I am sorry I had you cook for us although you are our guest. response:	Don't worry about it.
context: It's delicious.\- Yes, it is. - it is delicious, Sayori-chan.\You cook well.\Really?\Does it taste good, Minami-kun?\Ah... Yeah, it tastes good.\I am sorry I had you cook for us although you are our guest.\Don't worry about it. response:	We don't have a mother, so I always cook myself.
context: - Yes, it is. - it is delicious, Sayori-chan.\You cook well.\Really?\Does it taste good, Minami-kun?\Ah... Yeah, it tastes good.\I am sorry I had you cook for us although you are our guest.\Don't worry about it.\We don't have a mother, so I always cook myself. response:	I am sorry I intruded on you when you have not been feeling well.
context: You cook well.\Really?\Does it taste good, Minami-kun?\Ah... Yeah, it tastes good.\I am sorry I had you cook for us although you are our guest.\Don't worry about it.\We don't have a mother, so I always cook myself.\I am sorry I intruded on you when you have not been feeling well. response:	Don't worry about it. I am completely well now.
context: Really?\Does it taste good, Minami-kun?\Ah... Yeah, it tastes good.\I am sorry I had you cook for us although you are our guest.\Don't worry about it.\We don't have a mother, so I always cook myself.\I am sorry I intruded on you when you have not been feeling well.\Don't worry about it. I am completely well now. response:	She has a big appetite.
context: Does it taste good, Minami-kun?\Ah... Yeah, it tastes good.\I am sorry I had you cook for us although you are our guest.\Don't worry about it.\We don't have a mother, so I always cook myself.\I am sorry I intruded on you when you have not been feeling well.\Don't worry about it. I am completely well now.\She has a big appetite. response:	Yeah. It really tastes good.
context: Ah... Yeah, it tastes good.\I am sorry I had you cook for us although you are our guest.\Don't worry about it.\We don't have a mother, so I always cook myself.\I am sorry I intruded on you when you have not been feeling well.\Don't worry about it. I am completely well now.\She has a big appetite.\Yeah. It really tastes good. response:	This is nice.
context: I am sorry I had you cook for us although you are our guest.\Don't worry about it.\We don't have a mother, so I always cook myself.\I am sorry I intruded on you when you have not been feeling well.\Don't worry about it. I am completely well now.\She has a big appetite.\Yeah. It really tastes good.\This is nice. response:	I always eat alone.
context: Don't worry about it.\We don't have a mother, so I always cook myself.\I am sorry I intruded on you when you have not been feeling well.\Don't worry about it. I am completely well now.\She has a big appetite.\Yeah. It really tastes good.\This is nice.\I always eat alone. response:	Oh... I am sorry. I'm being weird...
context: We don't have a mother, so I always cook myself.\I am sorry I intruded on you when you have not been feeling well.\Don't worry about it. I am completely well now.\She has a big appetite.\Yeah. It really tastes good.\This is nice.\I always eat alone.\Oh... I am sorry. I'm being weird... response:	That's okay. You should just let it out.
context: I am sorry I intruded on you when you have not been feeling well.\Don't worry about it. I am completely well now.\She has a big appetite.\Yeah. It really tastes good.\This is nice.\I always eat alone.\Oh... I am sorry. I'm being weird...\That's okay. You should just let it out. response:	Grandma.
context: Don't worry about it. I am completely well now.\She has a big appetite.\Yeah. It really tastes good.\This is nice.\I always eat alone.\Oh... I am sorry. I'm being weird...\That's okay. You should just let it out.\Grandma. response:	Were you shocked to hear your father was getting remarried?
context: She has a big appetite.\Yeah. It really tastes good.\This is nice.\I always eat alone.\Oh... I am sorry. I'm being weird...\That's okay. You should just let it out.\Grandma.\Were you shocked to hear your father was getting remarried? response:	When my mom left us,
context: Yeah. It really tastes good.\This is nice.\I always eat alone.\Oh... I am sorry. I'm being weird...\That's okay. You should just let it out.\Grandma.\Were you shocked to hear your father was getting remarried?\When my mom left us, response:	I thought I didn't care.
context: This is nice.\I always eat alone.\Oh... I am sorry. I'm being weird...\That's okay. You should just let it out.\Grandma.\Were you shocked to hear your father was getting remarried?\When my mom left us,\I thought I didn't care. response:	I disliked my mom who was always whining and crying.
context: I always eat alone.\Oh... I am sorry. I'm being weird...\That's okay. You should just let it out.\Grandma.\Were you shocked to hear your father was getting remarried?\When my mom left us,\I thought I didn't care.\I disliked my mom who was always whining and crying. response:	It is opposite from our case.
context: Oh... I am sorry. I'm being weird...\That's okay. You should just let it out.\Grandma.\Were you shocked to hear your father was getting remarried?\When my mom left us,\I thought I didn't care.\I disliked my mom who was always whining and crying.\It is opposite from our case. response:	You know,
context: That's okay. You should just let it out.\Grandma.\Were you shocked to hear your father was getting remarried?\When my mom left us,\I thought I didn't care.\I disliked my mom who was always whining and crying.\It is opposite from our case.\You know, response:	It is best to forget about the person who left you.
context: Grandma.\Were you shocked to hear your father was getting remarried?\When my mom left us,\I thought I didn't care.\I disliked my mom who was always whining and crying.\It is opposite from our case.\You know,\It is best to forget about the person who left you. response:	But...
context: Were you shocked to hear your father was getting remarried?\When my mom left us,\I thought I didn't care.\I disliked my mom who was always whining and crying.\It is opposite from our case.\You know,\It is best to forget about the person who left you.\But... response:	Lately, I have come to understand how my mom felt.
context: When my mom left us,\I thought I didn't care.\I disliked my mom who was always whining and crying.\It is opposite from our case.\You know,\It is best to forget about the person who left you.\But...\Lately, I have come to understand how my mom felt. response:	She was left alone by my dad for a long time.
context: I thought I didn't care.\I disliked my mom who was always whining and crying.\It is opposite from our case.\You know,\It is best to forget about the person who left you.\But...\Lately, I have come to understand how my mom felt.\She was left alone by my dad for a long time. response:	Even when I cooked dinner and waited for him,
context: I disliked my mom who was always whining and crying.\It is opposite from our case.\You know,\It is best to forget about the person who left you.\But...\Lately, I have come to understand how my mom felt.\She was left alone by my dad for a long time.\Even when I cooked dinner and waited for him, response:	we couldn't eat together, day after day.
context: It is opposite from our case.\You know,\It is best to forget about the person who left you.\But...\Lately, I have come to understand how my mom felt.\She was left alone by my dad for a long time.\Even when I cooked dinner and waited for him,\we couldn't eat together, day after day. response:	I thought Ah...my mom was the same.
context: You know,\It is best to forget about the person who left you.\But...\Lately, I have come to understand how my mom felt.\She was left alone by my dad for a long time.\Even when I cooked dinner and waited for him,\we couldn't eat together, day after day.\I thought Ah...my mom was the same. response:	The one who leaves has a reason to do so as well.
context: It is best to forget about the person who left you.\But...\Lately, I have come to understand how my mom felt.\She was left alone by my dad for a long time.\Even when I cooked dinner and waited for him,\we couldn't eat together, day after day.\I thought Ah...my mom was the same.\The one who leaves has a reason to do so as well. response:	And yet, my dad is about to make the same mistake.
context: But...\Lately, I have come to understand how my mom felt.\She was left alone by my dad for a long time.\Even when I cooked dinner and waited for him,\we couldn't eat together, day after day.\I thought Ah...my mom was the same.\The one who leaves has a reason to do so as well.\And yet, my dad is about to make the same mistake. response:	He didn't love my mom.
context: Lately, I have come to understand how my mom felt.\She was left alone by my dad for a long time.\Even when I cooked dinner and waited for him,\we couldn't eat together, day after day.\I thought Ah...my mom was the same.\The one who leaves has a reason to do so as well.\And yet, my dad is about to make the same mistake.\He didn't love my mom. response:	He married her just because she was a daughter of a professor he had been obliged to.
context: She was left alone by my dad for a long time.\Even when I cooked dinner and waited for him,\we couldn't eat together, day after day.\I thought Ah...my mom was the same.\The one who leaves has a reason to do so as well.\And yet, my dad is about to make the same mistake.\He didn't love my mom.\He married her just because she was a daughter of a professor he had been obliged to. response:	Actually...
context: Even when I cooked dinner and waited for him,\we couldn't eat together, day after day.\I thought Ah...my mom was the same.\The one who leaves has a reason to do so as well.\And yet, my dad is about to make the same mistake.\He didn't love my mom.\He married her just because she was a daughter of a professor he had been obliged to.\Actually... response:	he loved someone else.
context: we couldn't eat together, day after day.\I thought Ah...my mom was the same.\The one who leaves has a reason to do so as well.\And yet, my dad is about to make the same mistake.\He didn't love my mom.\He married her just because she was a daughter of a professor he had been obliged to.\Actually...\he loved someone else. response:	I think my mom was lonely.
context: I thought Ah...my mom was the same.\The one who leaves has a reason to do so as well.\And yet, my dad is about to make the same mistake.\He didn't love my mom.\He married her just because she was a daughter of a professor he had been obliged to.\Actually...\he loved someone else.\I think my mom was lonely. response:	I'm sorry to tell you this...
context: The one who leaves has a reason to do so as well.\And yet, my dad is about to make the same mistake.\He didn't love my mom.\He married her just because she was a daughter of a professor he had been obliged to.\Actually...\he loved someone else.\I think my mom was lonely.\I'm sorry to tell you this... response:	My home situation is (nothing) compared with Minami-kun's...
context: And yet, my dad is about to make the same mistake.\He didn't love my mom.\He married her just because she was a daughter of a professor he had been obliged to.\Actually...\he loved someone else.\I think my mom was lonely.\I'm sorry to tell you this...\My home situation is (nothing) compared with Minami-kun's... response:	It's okay.
context: He didn't love my mom.\He married her just because she was a daughter of a professor he had been obliged to.\Actually...\he loved someone else.\I think my mom was lonely.\I'm sorry to tell you this...\My home situation is (nothing) compared with Minami-kun's...\It's okay. response:	It's okay.
context: He married her just because she was a daughter of a professor he had been obliged to.\Actually...\he loved someone else.\I think my mom was lonely.\I'm sorry to tell you this...\My home situation is (nothing) compared with Minami-kun's...\It's okay.\It's okay. response:	Poor girl.
context: Actually...\he loved someone else.\I think my mom was lonely.\I'm sorry to tell you this...\My home situation is (nothing) compared with Minami-kun's...\It's okay.\It's okay.\Poor girl. response:	Minami-kun.
context: he loved someone else.\I think my mom was lonely.\I'm sorry to tell you this...\My home situation is (nothing) compared with Minami-kun's...\It's okay.\It's okay.\Poor girl.\Minami-kun. response:	I left a bath towel in the room.
context: I think my mom was lonely.\I'm sorry to tell you this...\My home situation is (nothing) compared with Minami-kun's...\It's okay.\It's okay.\Poor girl.\Minami-kun.\I left a bath towel in the room. response:	Would you please get it for me?
context: I'm sorry to tell you this...\My home situation is (nothing) compared with Minami-kun's...\It's okay.\It's okay.\Poor girl.\Minami-kun.\I left a bath towel in the room.\Would you please get it for me? response:	Ah... yeah.
context: My home situation is (nothing) compared with Minami-kun's...\It's okay.\It's okay.\Poor girl.\Minami-kun.\I left a bath towel in the room.\Would you please get it for me?\Ah... yeah. response:	My Little Lover Minami Kun No Koibito
context: It's okay.\It's okay.\Poor girl.\Minami-kun.\I left a bath towel in the room.\Would you please get it for me?\Ah... yeah.\My Little Lover Minami Kun No Koibito response:	You had a rough day today, didn't you?
context: It's okay.\Poor girl.\Minami-kun.\I left a bath towel in the room.\Would you please get it for me?\Ah... yeah.\My Little Lover Minami Kun No Koibito\You had a rough day today, didn't you? response:	Yeah...
context: Poor girl.\Minami-kun.\I left a bath towel in the room.\Would you please get it for me?\Ah... yeah.\My Little Lover Minami Kun No Koibito\You had a rough day today, didn't you?\Yeah... response:	Nomura-san's home situation is similar to yours.
context: Minami-kun.\I left a bath towel in the room.\Would you please get it for me?\Ah... yeah.\My Little Lover Minami Kun No Koibito\You had a rough day today, didn't you?\Yeah...\Nomura-san's home situation is similar to yours. response:	That's why you are...
