context: I feel bad for doing that to Iroha. response:	If you're going to feel guilty, you shouldn't have rejected her.
context: So why are you still hung up on the form it takes?\We've reached a consensus,\and we've shared our ideas for the ground design.\I agree.\That's the thing!\That's true.\You're wrong.\I know because I had the conceited idea in my head that I could do it. response:	That's why, even though I was wrong, I couldn't admit it.
context: We've reached a consensus,\and we've shared our ideas for the ground design.\I agree.\That's the thing!\That's true.\You're wrong.\I know because I had the conceited idea in my head that I could do it.\That's why, even though I was wrong, I couldn't admit it. response:	I guess I wanted to cover up my own mistakes.
context: and we've shared our ideas for the ground design.\I agree.\That's the thing!\That's true.\You're wrong.\I know because I had the conceited idea in my head that I could do it.\That's why, even though I was wrong, I couldn't admit it.\I guess I wanted to cover up my own mistakes. response:	To do that, I used tricks and words.
context: I agree.\That's the thing!\That's true.\You're wrong.\I know because I had the conceited idea in my head that I could do it.\That's why, even though I was wrong, I couldn't admit it.\I guess I wanted to cover up my own mistakes.\To do that, I used tricks and words. response:	I tried to put myself at ease by getting promises out of people.
context: That's the thing!\That's true.\You're wrong.\I know because I had the conceited idea in my head that I could do it.\That's why, even though I was wrong, I couldn't admit it.\I guess I wanted to cover up my own mistakes.\To do that, I used tricks and words.\I tried to put myself at ease by getting promises out of people. response:	Because when I messed up, it was easier if I could blame it on someone else.
context: That's true.\You're wrong.\I know because I had the conceited idea in my head that I could do it.\That's why, even though I was wrong, I couldn't admit it.\I guess I wanted to cover up my own mistakes.\To do that, I used tricks and words.\I tried to put myself at ease by getting promises out of people.\Because when I messed up, it was easier if I could blame it on someone else. response:	I get the feeling that's just a lack of communication.
context: You're wrong.\I know because I had the conceited idea in my head that I could do it.\That's why, even though I was wrong, I couldn't admit it.\I guess I wanted to cover up my own mistakes.\To do that, I used tricks and words.\I tried to put myself at ease by getting promises out of people.\Because when I messed up, it was easier if I could blame it on someone else.\I get the feeling that's just a lack of communication. response:	Why don't we take time to cool down and then discuss this again?
context: I know because I had the conceited idea in my head that I could do it.\That's why, even though I was wrong, I couldn't admit it.\I guess I wanted to cover up my own mistakes.\To do that, I used tricks and words.\I tried to put myself at ease by getting promises out of people.\Because when I messed up, it was easier if I could blame it on someone else.\I get the feeling that's just a lack of communication.\Why don't we take time to cool down and then discuss this again? response:	I agree.
context: That's why, even though I was wrong, I couldn't admit it.\I guess I wanted to cover up my own mistakes.\To do that, I used tricks and words.\I tried to put myself at ease by getting promises out of people.\Because when I messed up, it was easier if I could blame it on someone else.\I get the feeling that's just a lack of communication.\Why don't we take time to cool down and then discuss this again?\I agree. response:	That's the thing!
context: I guess I wanted to cover up my own mistakes.\To do that, I used tricks and words.\I tried to put myself at ease by getting promises out of people.\Because when I messed up, it was easier if I could blame it on someone else.\I get the feeling that's just a lack of communication.\Why don't we take time to cool down and then discuss this again?\I agree.\That's the thing! response:	If you want to play pretend,
context: To do that, I used tricks and words.\I tried to put myself at ease by getting promises out of people.\Because when I messed up, it was easier if I could blame it on someone else.\I get the feeling that's just a lack of communication.\Why don't we take time to cool down and then discuss this again?\I agree.\That's the thing!\If you want to play pretend, response:	could you do it elsewhere?
context: I tried to put myself at ease by getting promises out of people.\Because when I messed up, it was easier if I could blame it on someone else.\I get the feeling that's just a lack of communication.\Why don't we take time to cool down and then discuss this again?\I agree.\That's the thing!\If you want to play pretend,\could you do it elsewhere? response:	You've been saying all kinds of things that have no meaning.
context: Because when I messed up, it was easier if I could blame it on someone else.\I get the feeling that's just a lack of communication.\Why don't we take time to cool down and then discuss this again?\I agree.\That's the thing!\If you want to play pretend,\could you do it elsewhere?\You've been saying all kinds of things that have no meaning. response:	Is it so much fun for you to pretend you're working
context: I get the feeling that's just a lack of communication.\Why don't we take time to cool down and then discuss this again?\I agree.\That's the thing!\If you want to play pretend,\could you do it elsewhere?\You've been saying all kinds of things that have no meaning.\Is it so much fun for you to pretend you're working response:	by using words you just learned and mimicking a debate?
context: Why don't we take time to cool down and then discuss this again?\I agree.\That's the thing!\If you want to play pretend,\could you do it elsewhere?\You've been saying all kinds of things that have no meaning.\Is it so much fun for you to pretend you're working\by using words you just learned and mimicking a debate? response:	You use vague terms to feel like you spoke up,
context: I agree.\That's the thing!\If you want to play pretend,\could you do it elsewhere?\You've been saying all kinds of things that have no meaning.\Is it so much fun for you to pretend you're working\by using words you just learned and mimicking a debate?\You use vague terms to feel like you spoke up, response:	to feel like you understand,
context: That's the thing!\If you want to play pretend,\could you do it elsewhere?\You've been saying all kinds of things that have no meaning.\Is it so much fun for you to pretend you're working\by using words you just learned and mimicking a debate?\You use vague terms to feel like you spoke up,\to feel like you understand, response:	but you take no action whatsoever.
context: If you want to play pretend,\could you do it elsewhere?\You've been saying all kinds of things that have no meaning.\Is it so much fun for you to pretend you're working\by using words you just learned and mimicking a debate?\You use vague terms to feel like you spoke up,\to feel like you understand,\but you take no action whatsoever. response:	You'll never move forward that way.
context: could you do it elsewhere?\You've been saying all kinds of things that have no meaning.\Is it so much fun for you to pretend you're working\by using words you just learned and mimicking a debate?\You use vague terms to feel like you spoke up,\to feel like you understand,\but you take no action whatsoever.\You'll never move forward that way. response:	You won't create anything.
context: You've been saying all kinds of things that have no meaning.\Is it so much fun for you to pretend you're working\by using words you just learned and mimicking a debate?\You use vague terms to feel like you spoke up,\to feel like you understand,\but you take no action whatsoever.\You'll never move forward that way.\You won't create anything. response:	You won't gain anything.
context: Is it so much fun for you to pretend you're working\by using words you just learned and mimicking a debate?\You use vague terms to feel like you spoke up,\to feel like you understand,\but you take no action whatsoever.\You'll never move forward that way.\You won't create anything.\You won't gain anything. response:	You won't give anyone anything.
context: by using words you just learned and mimicking a debate?\You use vague terms to feel like you spoke up,\to feel like you understand,\but you take no action whatsoever.\You'll never move forward that way.\You won't create anything.\You won't gain anything.\You won't give anyone anything. response:	You're just a pretender.
context: You use vague terms to feel like you spoke up,\to feel like you understand,\but you take no action whatsoever.\You'll never move forward that way.\You won't create anything.\You won't gain anything.\You won't give anyone anything.\You're just a pretender. response:	Yukinon...
context: to feel like you understand,\but you take no action whatsoever.\You'll never move forward that way.\You won't create anything.\You won't gain anything.\You won't give anyone anything.\You're just a pretender.\Yukinon... response:	Could you refrain from wasting any more of our time?
context: but you take no action whatsoever.\You'll never move forward that way.\You won't create anything.\You won't gain anything.\You won't give anyone anything.\You're just a pretender.\Yukinon...\Could you refrain from wasting any more of our time? response:	Uh, wouldn't it be more fun
context: You'll never move forward that way.\You won't create anything.\You won't gain anything.\You won't give anyone anything.\You're just a pretender.\Yukinon...\Could you refrain from wasting any more of our time?\Uh, wouldn't it be more fun response:	to let people enjoy the event twice than to force it all into one?
context: You won't create anything.\You won't gain anything.\You won't give anyone anything.\You're just a pretender.\Yukinon...\Could you refrain from wasting any more of our time?\Uh, wouldn't it be more fun\to let people enjoy the event twice than to force it all into one? response:	It would show the individuality of both our schools!
context: You won't gain anything.\You won't give anyone anything.\You're just a pretender.\Yukinon...\Could you refrain from wasting any more of our time?\Uh, wouldn't it be more fun\to let people enjoy the event twice than to force it all into one?\It would show the individuality of both our schools! response:	Right?
context: You won't give anyone anything.\You're just a pretender.\Yukinon...\Could you refrain from wasting any more of our time?\Uh, wouldn't it be more fun\to let people enjoy the event twice than to force it all into one?\It would show the individuality of both our schools!\Right? response:	Uh... Right. I think that sounds great.
context: You're just a pretender.\Yukinon...\Could you refrain from wasting any more of our time?\Uh, wouldn't it be more fun\to let people enjoy the event twice than to force it all into one?\It would show the individuality of both our schools!\Right?\Uh... Right. I think that sounds great. response:	Wh-What do you think?
context: Yukinon...\Could you refrain from wasting any more of our time?\Uh, wouldn't it be more fun\to let people enjoy the event twice than to force it all into one?\It would show the individuality of both our schools!\Right?\Uh... Right. I think that sounds great.\Wh-What do you think? response:	Uh, yeah... That could be cool, too.
context: Could you refrain from wasting any more of our time?\Uh, wouldn't it be more fun\to let people enjoy the event twice than to force it all into one?\It would show the individuality of both our schools!\Right?\Uh... Right. I think that sounds great.\Wh-What do you think?\Uh, yeah... That could be cool, too. response:	Right? Right?
context: Uh, wouldn't it be more fun\to let people enjoy the event twice than to force it all into one?\It would show the individuality of both our schools!\Right?\Uh... Right. I think that sounds great.\Wh-What do you think?\Uh, yeah... That could be cool, too.\Right? Right? response:	Yeah...
context: to let people enjoy the event twice than to force it all into one?\It would show the individuality of both our schools!\Right?\Uh... Right. I think that sounds great.\Wh-What do you think?\Uh, yeah... That could be cool, too.\Right? Right?\Yeah... response:	Well, that makes sense...
context: It would show the individuality of both our schools!\Right?\Uh... Right. I think that sounds great.\Wh-What do you think?\Uh, yeah... That could be cool, too.\Right? Right?\Yeah...\Well, that makes sense... response:	That's not a bad idea.
context: Right?\Uh... Right. I think that sounds great.\Wh-What do you think?\Uh, yeah... That could be cool, too.\Right? Right?\Yeah...\Well, that makes sense...\That's not a bad idea. response:	Why did you two have to say stuff like that?
context: Uh... Right. I think that sounds great.\Wh-What do you think?\Uh, yeah... That could be cool, too.\Right? Right?\Yeah...\Well, that makes sense...\That's not a bad idea.\Why did you two have to say stuff like that? response:	You totally destroyed the mood!
context: Wh-What do you think?\Uh, yeah... That could be cool, too.\Right? Right?\Yeah...\Well, that makes sense...\That's not a bad idea.\Why did you two have to say stuff like that?\You totally destroyed the mood! response:	I don't believe anything I said was mistaken.
context: Uh, yeah... That could be cool, too.\Right? Right?\Yeah...\Well, that makes sense...\That's not a bad idea.\Why did you two have to say stuff like that?\You totally destroyed the mood!\I don't believe anything I said was mistaken. response:	You may have been right, but you could have read the mood a little.
context: Right? Right?\Yeah...\Well, that makes sense...\That's not a bad idea.\Why did you two have to say stuff like that?\You totally destroyed the mood!\I don't believe anything I said was mistaken.\You may have been right, but you could have read the mood a little. response:	There were other ways to handle that, weren't there?
context: Yeah...\Well, that makes sense...\That's not a bad idea.\Why did you two have to say stuff like that?\You totally destroyed the mood!\I don't believe anything I said was mistaken.\You may have been right, but you could have read the mood a little.\There were other ways to handle that, weren't there? response:	If you expect him to read a mood, your hope is in vain.
context: Well, that makes sense...\That's not a bad idea.\Why did you two have to say stuff like that?\You totally destroyed the mood!\I don't believe anything I said was mistaken.\You may have been right, but you could have read the mood a little.\There were other ways to handle that, weren't there?\If you expect him to read a mood, your hope is in vain. response:	Even in our club, he only reads lines of text.
context: That's not a bad idea.\Why did you two have to say stuff like that?\You totally destroyed the mood!\I don't believe anything I said was mistaken.\You may have been right, but you could have read the mood a little.\There were other ways to handle that, weren't there?\If you expect him to read a mood, your hope is in vain.\Even in our club, he only reads lines of text. response:	Sorry, but no. When you become a reader of my caliber,
context: Why did you two have to say stuff like that?\You totally destroyed the mood!\I don't believe anything I said was mistaken.\You may have been right, but you could have read the mood a little.\There were other ways to handle that, weren't there?\If you expect him to read a mood, your hope is in vain.\Even in our club, he only reads lines of text.\Sorry, but no. When you become a reader of my caliber, response:	you can read between lines, too.
context: You totally destroyed the mood!\I don't believe anything I said was mistaken.\You may have been right, but you could have read the mood a little.\There were other ways to handle that, weren't there?\If you expect him to read a mood, your hope is in vain.\Even in our club, he only reads lines of text.\Sorry, but no. When you become a reader of my caliber,\you can read between lines, too. response:	Also, aren't you the one she was just chewing out?
context: I don't believe anything I said was mistaken.\You may have been right, but you could have read the mood a little.\There were other ways to handle that, weren't there?\If you expect him to read a mood, your hope is in vain.\Even in our club, he only reads lines of text.\Sorry, but no. When you become a reader of my caliber,\you can read between lines, too.\Also, aren't you the one she was just chewing out? response:	But Isshiki-san acknowledged that I was right.
context: You may have been right, but you could have read the mood a little.\There were other ways to handle that, weren't there?\If you expect him to read a mood, your hope is in vain.\Even in our club, he only reads lines of text.\Sorry, but no. When you become a reader of my caliber,\you can read between lines, too.\Also, aren't you the one she was just chewing out?\But Isshiki-san acknowledged that I was right. response:	So there's no reason for me to be chewed out.
context: There were other ways to handle that, weren't there?\If you expect him to read a mood, your hope is in vain.\Even in our club, he only reads lines of text.\Sorry, but no. When you become a reader of my caliber,\you can read between lines, too.\Also, aren't you the one she was just chewing out?\But Isshiki-san acknowledged that I was right.\So there's no reason for me to be chewed out. response:	Yeah, that. That's exactly why she was chewing you out.
context: If you expect him to read a mood, your hope is in vain.\Even in our club, he only reads lines of text.\Sorry, but no. When you become a reader of my caliber,\you can read between lines, too.\Also, aren't you the one she was just chewing out?\But Isshiki-san acknowledged that I was right.\So there's no reason for me to be chewed out.\Yeah, that. That's exactly why she was chewing you out. response:	Listen to what she's saying.
context: Even in our club, he only reads lines of text.\Sorry, but no. When you become a reader of my caliber,\you can read between lines, too.\Also, aren't you the one she was just chewing out?\But Isshiki-san acknowledged that I was right.\So there's no reason for me to be chewed out.\Yeah, that. That's exactly why she was chewing you out.\Listen to what she's saying. response:	Excuse me!
context: Sorry, but no. When you become a reader of my caliber,\you can read between lines, too.\Also, aren't you the one she was just chewing out?\But Isshiki-san acknowledged that I was right.\So there's no reason for me to be chewed out.\Yeah, that. That's exactly why she was chewing you out.\Listen to what she's saying.\Excuse me! response:	Were you guys listening to me?
context: you can read between lines, too.\Also, aren't you the one she was just chewing out?\But Isshiki-san acknowledged that I was right.\So there's no reason for me to be chewed out.\Yeah, that. That's exactly why she was chewing you out.\Listen to what she's saying.\Excuse me!\Were you guys listening to me? response:	I was talking to both of you!
context: Also, aren't you the one she was just chewing out?\But Isshiki-san acknowledged that I was right.\So there's no reason for me to be chewed out.\Yeah, that. That's exactly why she was chewing you out.\Listen to what she's saying.\Excuse me!\Were you guys listening to me?\I was talking to both of you! response:	Here. My treat.
context: But Isshiki-san acknowledged that I was right.\So there's no reason for me to be chewed out.\Yeah, that. That's exactly why she was chewing you out.\Listen to what she's saying.\Excuse me!\Were you guys listening to me?\I was talking to both of you!\Here. My treat. response:	Th-Thanks.
context: So there's no reason for me to be chewed out.\Yeah, that. That's exactly why she was chewing you out.\Listen to what she's saying.\Excuse me!\Were you guys listening to me?\I was talking to both of you!\Here. My treat.\Th-Thanks. response:	Yay!
context: Yeah, that. That's exactly why she was chewing you out.\Listen to what she's saying.\Excuse me!\Were you guys listening to me?\I was talking to both of you!\Here. My treat.\Th-Thanks.\Yay! response:	Y-Yeah.
context: Listen to what she's saying.\Excuse me!\Were you guys listening to me?\I was talking to both of you!\Here. My treat.\Th-Thanks.\Yay!\Y-Yeah. response:	You've kinda changed, Hikigaya.
context: Excuse me!\Were you guys listening to me?\I was talking to both of you!\Here. My treat.\Th-Thanks.\Yay!\Y-Yeah.\You've kinda changed, Hikigaya. response:	I used to think you were totally boring.
context: Were you guys listening to me?\I was talking to both of you!\Here. My treat.\Th-Thanks.\Yay!\Y-Yeah.\You've kinda changed, Hikigaya.\I used to think you were totally boring. response:	D-Did you?
context: I was talking to both of you!\Here. My treat.\Th-Thanks.\Yay!\Y-Yeah.\You've kinda changed, Hikigaya.\I used to think you were totally boring.\D-Did you? response:	But if someone looks boring, it might really be the looker's fault.
context: Here. My treat.\Th-Thanks.\Yay!\Y-Yeah.\You've kinda changed, Hikigaya.\I used to think you were totally boring.\D-Did you?\But if someone looks boring, it might really be the looker's fault. response:	Still, I don't think I could ever go out with you.
context: Th-Thanks.\Yay!\Y-Yeah.\You've kinda changed, Hikigaya.\I used to think you were totally boring.\D-Did you?\But if someone looks boring, it might really be the looker's fault.\Still, I don't think I could ever go out with you. response:	Uh, I didn't ask you to do that...
context: Yay!\Y-Yeah.\You've kinda changed, Hikigaya.\I used to think you were totally boring.\D-Did you?\But if someone looks boring, it might really be the looker's fault.\Still, I don't think I could ever go out with you.\Uh, I didn't ask you to do that... response:	But...
context: Y-Yeah.\You've kinda changed, Hikigaya.\I used to think you were totally boring.\D-Did you?\But if someone looks boring, it might really be the looker's fault.\Still, I don't think I could ever go out with you.\Uh, I didn't ask you to do that...\But... response:	As friends, I guess it might work.
context: You've kinda changed, Hikigaya.\I used to think you were totally boring.\D-Did you?\But if someone looks boring, it might really be the looker's fault.\Still, I don't think I could ever go out with you.\Uh, I didn't ask you to do that...\But...\As friends, I guess it might work. response:	I mean, you're hilarious.
context: I used to think you were totally boring.\D-Did you?\But if someone looks boring, it might really be the looker's fault.\Still, I don't think I could ever go out with you.\Uh, I didn't ask you to do that...\But...\As friends, I guess it might work.\I mean, you're hilarious. response:	If we have a class reunion or anything, why don't you come?
context: D-Did you?\But if someone looks boring, it might really be the looker's fault.\Still, I don't think I could ever go out with you.\Uh, I didn't ask you to do that...\But...\As friends, I guess it might work.\I mean, you're hilarious.\If we have a class reunion or anything, why don't you come? response:	No. Never.
context: But if someone looks boring, it might really be the looker's fault.\Still, I don't think I could ever go out with you.\Uh, I didn't ask you to do that...\But...\As friends, I guess it might work.\I mean, you're hilarious.\If we have a class reunion or anything, why don't you come?\No. Never. response:	I figured! That's hilarious!
context: Still, I don't think I could ever go out with you.\Uh, I didn't ask you to do that...\But...\As friends, I guess it might work.\I mean, you're hilarious.\If we have a class reunion or anything, why don't you come?\No. Never.\I figured! That's hilarious! response:	No, it's not.
context: Uh, I didn't ask you to do that...\But...\As friends, I guess it might work.\I mean, you're hilarious.\If we have a class reunion or anything, why don't you come?\No. Never.\I figured! That's hilarious!\No, it's not. response:	Hachiman, it's okay.
context: But...\As friends, I guess it might work.\I mean, you're hilarious.\If we have a class reunion or anything, why don't you come?\No. Never.\I figured! That's hilarious!\No, it's not.\Hachiman, it's okay. response:	I don't need help. I can handle it by myself.
context: As friends, I guess it might work.\I mean, you're hilarious.\If we have a class reunion or anything, why don't you come?\No. Never.\I figured! That's hilarious!\No, it's not.\Hachiman, it's okay.\I don't need help. I can handle it by myself. response:	Yeah, maybe you can, but...
context: I mean, you're hilarious.\If we have a class reunion or anything, why don't you come?\No. Never.\I figured! That's hilarious!\No, it's not.\Hachiman, it's okay.\I don't need help. I can handle it by myself.\Yeah, maybe you can, but... response:	It's fine.
context: If we have a class reunion or anything, why don't you come?\No. Never.\I figured! That's hilarious!\No, it's not.\Hachiman, it's okay.\I don't need help. I can handle it by myself.\Yeah, maybe you can, but...\It's fine. response:	But you know...
context: No. Never.\I figured! That's hilarious!\No, it's not.\Hachiman, it's okay.\I don't need help. I can handle it by myself.\Yeah, maybe you can, but...\It's fine.\But you know... response:	I can handle it by myself even better.
context: I figured! That's hilarious!\No, it's not.\Hachiman, it's okay.\I don't need help. I can handle it by myself.\Yeah, maybe you can, but...\It's fine.\But you know...\I can handle it by myself even better. response:	What are you talking about? That's dumb.
context: No, it's not.\Hachiman, it's okay.\I don't need help. I can handle it by myself.\Yeah, maybe you can, but...\It's fine.\But you know...\I can handle it by myself even better.\What are you talking about? That's dumb. response:	So you, uh...
context: Hachiman, it's okay.\I don't need help. I can handle it by myself.\Yeah, maybe you can, but...\It's fine.\But you know...\I can handle it by myself even better.\What are you talking about? That's dumb.\So you, uh... response:	I'm not you.
context: I don't need help. I can handle it by myself.\Yeah, maybe you can, but...\It's fine.\But you know...\I can handle it by myself even better.\What are you talking about? That's dumb.\So you, uh...\I'm not you. response:	I'm Rumi.
context: Yeah, maybe you can, but...\It's fine.\But you know...\I can handle it by myself even better.\What are you talking about? That's dumb.\So you, uh...\I'm not you.\I'm Rumi. response:	Okay, so, Rumi...
context: It's fine.\But you know...\I can handle it by myself even better.\What are you talking about? That's dumb.\So you, uh...\I'm not you.\I'm Rumi.\Okay, so, Rumi... response:	Want to be in our school's play?
context: But you know...\I can handle it by myself even better.\What are you talking about? That's dumb.\So you, uh...\I'm not you.\I'm Rumi.\Okay, so, Rumi...\Want to be in our school's play? response:	Yuigahama-san, did you finish bagging the cookies?
context: I can handle it by myself even better.\What are you talking about? That's dumb.\So you, uh...\I'm not you.\I'm Rumi.\Okay, so, Rumi...\Want to be in our school's play?\Yuigahama-san, did you finish bagging the cookies? response:	Yeah, I just finished!
context: What are you talking about? That's dumb.\So you, uh...\I'm not you.\I'm Rumi.\Okay, so, Rumi...\Want to be in our school's play?\Yuigahama-san, did you finish bagging the cookies?\Yeah, I just finished! response:	Want me to bake a cake, too?
context: So you, uh...\I'm not you.\I'm Rumi.\Okay, so, Rumi...\Want to be in our school's play?\Yuigahama-san, did you finish bagging the cookies?\Yeah, I just finished!\Want me to bake a cake, too? response:	No need.
context: I'm not you.\I'm Rumi.\Okay, so, Rumi...\Want to be in our school's play?\Yuigahama-san, did you finish bagging the cookies?\Yeah, I just finished!\Want me to bake a cake, too?\No need. response:	So don't touch these, no matter what.
context: I'm Rumi.\Okay, so, Rumi...\Want to be in our school's play?\Yuigahama-san, did you finish bagging the cookies?\Yeah, I just finished!\Want me to bake a cake, too?\No need.\So don't touch these, no matter what. response:	No matter what, okay?
context: Okay, so, Rumi...\Want to be in our school's play?\Yuigahama-san, did you finish bagging the cookies?\Yeah, I just finished!\Want me to bake a cake, too?\No need.\So don't touch these, no matter what.\No matter what, okay? response:	That's kinda mean!
context: Want to be in our school's play?\Yuigahama-san, did you finish bagging the cookies?\Yeah, I just finished!\Want me to bake a cake, too?\No need.\So don't touch these, no matter what.\No matter what, okay?\That's kinda mean! response:	Oh, God...
context: Yuigahama-san, did you finish bagging the cookies?\Yeah, I just finished!\Want me to bake a cake, too?\No need.\So don't touch these, no matter what.\No matter what, okay?\That's kinda mean!\Oh, God... response:	We're totally in trouble!
context: Yeah, I just finished!\Want me to bake a cake, too?\No need.\So don't touch these, no matter what.\No matter what, okay?\That's kinda mean!\Oh, God...\We're totally in trouble! response:	The scenario was well-written.
context: Want me to bake a cake, too?\No need.\So don't touch these, no matter what.\No matter what, okay?\That's kinda mean!\Oh, God...\We're totally in trouble!\The scenario was well-written. response:	What's there to be worried about?
context: No need.\So don't touch these, no matter what.\No matter what, okay?\That's kinda mean!\Oh, God...\We're totally in trouble!\The scenario was well-written.\What's there to be worried about? response:	My secretary worked hard on the scenario.
context: So don't touch these, no matter what.\No matter what, okay?\That's kinda mean!\Oh, God...\We're totally in trouble!\The scenario was well-written.\What's there to be worried about?\My secretary worked hard on the scenario. response:	And, Senpai, you...
context: No matter what, okay?\That's kinda mean!\Oh, God...\We're totally in trouble!\The scenario was well-written.\What's there to be worried about?\My secretary worked hard on the scenario.\And, Senpai, you... response:	Oh, right! I'm gonna go join the others, okay?
context: That's kinda mean!\Oh, God...\We're totally in trouble!\The scenario was well-written.\What's there to be worried about?\My secretary worked hard on the scenario.\And, Senpai, you...\Oh, right! I'm gonna go join the others, okay? response:	Oh, and be sure to check
context: Oh, God...\We're totally in trouble!\The scenario was well-written.\What's there to be worried about?\My secretary worked hard on the scenario.\And, Senpai, you...\Oh, right! I'm gonna go join the others, okay?\Oh, and be sure to check response:	with the vice president on how to time the ending!
context: We're totally in trouble!\The scenario was well-written.\What's there to be worried about?\My secretary worked hard on the scenario.\And, Senpai, you...\Oh, right! I'm gonna go join the others, okay?\Oh, and be sure to check\with the vice president on how to time the ending! response:	And take care of the cakes for me!
context: The scenario was well-written.\What's there to be worried about?\My secretary worked hard on the scenario.\And, Senpai, you...\Oh, right! I'm gonna go join the others, okay?\Oh, and be sure to check\with the vice president on how to time the ending!\And take care of the cakes for me! response:	You got it,
context: What's there to be worried about?\My secretary worked hard on the scenario.\And, Senpai, you...\Oh, right! I'm gonna go join the others, okay?\Oh, and be sure to check\with the vice president on how to time the ending!\And take care of the cakes for me!\You got it, response:	President.
context: My secretary worked hard on the scenario.\And, Senpai, you...\Oh, right! I'm gonna go join the others, okay?\Oh, and be sure to check\with the vice president on how to time the ending!\And take care of the cakes for me!\You got it,\President. response:	Good work today, Yuigahama-san.
context: And, Senpai, you...\Oh, right! I'm gonna go join the others, okay?\Oh, and be sure to check\with the vice president on how to time the ending!\And take care of the cakes for me!\You got it,\President.\Good work today, Yuigahama-san. response:	Thanks!
context: Oh, right! I'm gonna go join the others, okay?\Oh, and be sure to check\with the vice president on how to time the ending!\And take care of the cakes for me!\You got it,\President.\Good work today, Yuigahama-san.\Thanks! response:	Eh? What?
context: Oh, and be sure to check\with the vice president on how to time the ending!\And take care of the cakes for me!\You got it,\President.\Good work today, Yuigahama-san.\Thanks!\Eh? What? response:	What's this?
context: with the vice president on how to time the ending!\And take care of the cakes for me!\You got it,\President.\Good work today, Yuigahama-san.\Thanks!\Eh? What?\What's this? response:	Your Christmas present!
context: And take care of the cakes for me!\You got it,\President.\Good work today, Yuigahama-san.\Thanks!\Eh? What?\What's this?\Your Christmas present! response:	Giving just one person a paper cup would be wasteful.
context: You got it,\President.\Good work today, Yuigahama-san.\Thanks!\Eh? What?\What's this?\Your Christmas present!\Giving just one person a paper cup would be wasteful. response:	I picked the shape, and Yukinon picked the print.
context: President.\Good work today, Yuigahama-san.\Thanks!\Eh? What?\What's this?\Your Christmas present!\Giving just one person a paper cup would be wasteful.\I picked the shape, and Yukinon picked the print. response:	I should've known.
context: Good work today, Yuigahama-san.\Thanks!\Eh? What?\What's this?\Your Christmas present!\Giving just one person a paper cup would be wasteful.\I picked the shape, and Yukinon picked the print.\I should've known. response:	But I don't have anything for you guys...
context: Thanks!\Eh? What?\What's this?\Your Christmas present!\Giving just one person a paper cup would be wasteful.\I picked the shape, and Yukinon picked the print.\I should've known.\But I don't have anything for you guys... response:	You don't need to worry about that.
context: Eh? What?\What's this?\Your Christmas present!\Giving just one person a paper cup would be wasteful.\I picked the shape, and Yukinon picked the print.\I should've known.\But I don't have anything for you guys...\You don't need to worry about that. response:	It's just a substitute for a paper cup.
context: What's this?\Your Christmas present!\Giving just one person a paper cup would be wasteful.\I picked the shape, and Yukinon picked the print.\I should've known.\But I don't have anything for you guys...\You don't need to worry about that.\It's just a substitute for a paper cup. response:	Thanks.
context: Your Christmas present!\Giving just one person a paper cup would be wasteful.\I picked the shape, and Yukinon picked the print.\I should've known.\But I don't have anything for you guys...\You don't need to worry about that.\It's just a substitute for a paper cup.\Thanks. response:	And for handling my request... uh...
context: Giving just one person a paper cup would be wasteful.\I picked the shape, and Yukinon picked the print.\I should've known.\But I don't have anything for you guys...\You don't need to worry about that.\It's just a substitute for a paper cup.\Thanks.\And for handling my request... uh... response:	Thanks. You really saved me.
context: I picked the shape, and Yukinon picked the print.\I should've known.\But I don't have anything for you guys...\You don't need to worry about that.\It's just a substitute for a paper cup.\Thanks.\And for handling my request... uh...\Thanks. You really saved me. response:	It ended in success thanks to you.
context: I should've known.\But I don't have anything for you guys...\You don't need to worry about that.\It's just a substitute for a paper cup.\Thanks.\And for handling my request... uh...\Thanks. You really saved me.\It ended in success thanks to you. response:	We haven't finished your request yet.
context: But I don't have anything for you guys...\You don't need to worry about that.\It's just a substitute for a paper cup.\Thanks.\And for handling my request... uh...\Thanks. You really saved me.\It ended in success thanks to you.\We haven't finished your request yet. response:	We said we'd accept your request, didn't we?
context: You don't need to worry about that.\It's just a substitute for a paper cup.\Thanks.\And for handling my request... uh...\Thanks. You really saved me.\It ended in success thanks to you.\We haven't finished your request yet.\We said we'd accept your request, didn't we? response:	Uh, yeah... And that just ended, right?
context: It's just a substitute for a paper cup.\Thanks.\And for handling my request... uh...\Thanks. You really saved me.\It ended in success thanks to you.\We haven't finished your request yet.\We said we'd accept your request, didn't we?\Uh, yeah... And that just ended, right? response:	What is this, a riddle?
context: Thanks.\And for handling my request... uh...\Thanks. You really saved me.\It ended in success thanks to you.\We haven't finished your request yet.\We said we'd accept your request, didn't we?\Uh, yeah... And that just ended, right?\What is this, a riddle? response:	Yes, maybe it is a riddle.
context: And for handling my request... uh...\Thanks. You really saved me.\It ended in success thanks to you.\We haven't finished your request yet.\We said we'd accept your request, didn't we?\Uh, yeah... And that just ended, right?\What is this, a riddle?\Yes, maybe it is a riddle. response:	I figured out the answer.
context: Thanks. You really saved me.\It ended in success thanks to you.\We haven't finished your request yet.\We said we'd accept your request, didn't we?\Uh, yeah... And that just ended, right?\What is this, a riddle?\Yes, maybe it is a riddle.\I figured out the answer. response:	Maybe it's okay if you don't, Hikki.
