context: Lottery response:	Nice try!
context: Sorry I'm late.\You're early.\I don't think I'm early.\Don't be in such a rush.\S-Sorry, I'll come later next time.\H-How's the shop? It's a weekend.\Don't worry, I took care of it.\Okay, let's go. response:	Saucer Steamed Buns
context: You're early.\I don't think I'm early.\Don't be in such a rush.\S-Sorry, I'll come later next time.\H-How's the shop? It's a weekend.\Don't worry, I took care of it.\Okay, let's go.\Saucer Steamed Buns response:	They're selling them here, too.
context: I don't think I'm early.\Don't be in such a rush.\S-Sorry, I'll come later next time.\H-How's the shop? It's a weekend.\Don't worry, I took care of it.\Okay, let's go.\Saucer Steamed Buns\They're selling them here, too. response:	They have good reach, right?
context: Don't be in such a rush.\S-Sorry, I'll come later next time.\H-How's the shop? It's a weekend.\Don't worry, I took care of it.\Okay, let's go.\Saucer Steamed Buns\They're selling them here, too.\They have good reach, right? response:	Yeah.
context: S-Sorry, I'll come later next time.\H-How's the shop? It's a weekend.\Don't worry, I took care of it.\Okay, let's go.\Saucer Steamed Buns\They're selling them here, too.\They have good reach, right?\Yeah. response:	They don't taste bad,
context: H-How's the shop? It's a weekend.\Don't worry, I took care of it.\Okay, let's go.\Saucer Steamed Buns\They're selling them here, too.\They have good reach, right?\Yeah.\They don't taste bad, response:	but they were better when I ate them as a kid.
context: Don't worry, I took care of it.\Okay, let's go.\Saucer Steamed Buns\They're selling them here, too.\They have good reach, right?\Yeah.\They don't taste bad,\but they were better when I ate them as a kid. response:	Um, ma'am?
context: Okay, let's go.\Saucer Steamed Buns\They're selling them here, too.\They have good reach, right?\Yeah.\They don't taste bad,\but they were better when I ate them as a kid.\Um, ma'am? response:	They're still the best.
context: Saucer Steamed Buns\They're selling them here, too.\They have good reach, right?\Yeah.\They don't taste bad,\but they were better when I ate them as a kid.\Um, ma'am?\They're still the best. response:	Shiihara Saucer Steamed Buns!
context: They're selling them here, too.\They have good reach, right?\Yeah.\They don't taste bad,\but they were better when I ate them as a kid.\Um, ma'am?\They're still the best.\Shiihara Saucer Steamed Buns! response:	What are you doing?
context: They have good reach, right?\Yeah.\They don't taste bad,\but they were better when I ate them as a kid.\Um, ma'am?\They're still the best.\Shiihara Saucer Steamed Buns!\What are you doing? response:	Shione!
context: Yeah.\They don't taste bad,\but they were better when I ate them as a kid.\Um, ma'am?\They're still the best.\Shiihara Saucer Steamed Buns!\What are you doing?\Shione! response:	Outdoor Baths (Down the hall and to the right.)
context: They don't taste bad,\but they were better when I ate them as a kid.\Um, ma'am?\They're still the best.\Shiihara Saucer Steamed Buns!\What are you doing?\Shione!\Outdoor Baths (Down the hall and to the right.) response:	Hey, they have outdoor baths.
context: but they were better when I ate them as a kid.\Um, ma'am?\They're still the best.\Shiihara Saucer Steamed Buns!\What are you doing?\Shione!\Outdoor Baths (Down the hall and to the right.)\Hey, they have outdoor baths. response:	Really?
context: Um, ma'am?\They're still the best.\Shiihara Saucer Steamed Buns!\What are you doing?\Shione!\Outdoor Baths (Down the hall and to the right.)\Hey, they have outdoor baths.\Really? response:	I can't wait.
context: They're still the best.\Shiihara Saucer Steamed Buns!\What are you doing?\Shione!\Outdoor Baths (Down the hall and to the right.)\Hey, they have outdoor baths.\Really?\I can't wait. response:	Enjoy your stay.
context: Shiihara Saucer Steamed Buns!\What are you doing?\Shione!\Outdoor Baths (Down the hall and to the right.)\Hey, they have outdoor baths.\Really?\I can't wait.\Enjoy your stay. response:	Hot springs, hot springs, hot springs with Shione.
context: What are you doing?\Shione!\Outdoor Baths (Down the hall and to the right.)\Hey, they have outdoor baths.\Really?\I can't wait.\Enjoy your stay.\Hot springs, hot springs, hot springs with Shione. response:	It's a pretty nice view.
context: Shione!\Outdoor Baths (Down the hall and to the right.)\Hey, they have outdoor baths.\Really?\I can't wait.\Enjoy your stay.\Hot springs, hot springs, hot springs with Shione.\It's a pretty nice view. response:	What's wrong?
context: Outdoor Baths (Down the hall and to the right.)\Hey, they have outdoor baths.\Really?\I can't wait.\Enjoy your stay.\Hot springs, hot springs, hot springs with Shione.\It's a pretty nice view.\What's wrong? response:	I didn't think you'd say that.
context: Hey, they have outdoor baths.\Really?\I can't wait.\Enjoy your stay.\Hot springs, hot springs, hot springs with Shione.\It's a pretty nice view.\What's wrong?\I didn't think you'd say that. response:	It's nothing.
context: Really?\I can't wait.\Enjoy your stay.\Hot springs, hot springs, hot springs with Shione.\It's a pretty nice view.\What's wrong?\I didn't think you'd say that.\It's nothing. response:	It's not like I approve of the saucer.
context: I can't wait.\Enjoy your stay.\Hot springs, hot springs, hot springs with Shione.\It's a pretty nice view.\What's wrong?\I didn't think you'd say that.\It's nothing.\It's not like I approve of the saucer. response:	We're just in a cease fire.
context: Enjoy your stay.\Hot springs, hot springs, hot springs with Shione.\It's a pretty nice view.\What's wrong?\I didn't think you'd say that.\It's nothing.\It's not like I approve of the saucer.\We're just in a cease fire. response:	What?
context: Hot springs, hot springs, hot springs with Shione.\It's a pretty nice view.\What's wrong?\I didn't think you'd say that.\It's nothing.\It's not like I approve of the saucer.\We're just in a cease fire.\What? response:	Hey, hey!
context: It's a pretty nice view.\What's wrong?\I didn't think you'd say that.\It's nothing.\It's not like I approve of the saucer.\We're just in a cease fire.\What?\Hey, hey! response:	Why are you getting all comfortable?
context: What's wrong?\I didn't think you'd say that.\It's nothing.\It's not like I approve of the saucer.\We're just in a cease fire.\What?\Hey, hey!\Why are you getting all comfortable? response:	You know there's something we have to do first.
context: I didn't think you'd say that.\It's nothing.\It's not like I approve of the saucer.\We're just in a cease fire.\What?\Hey, hey!\Why are you getting all comfortable?\You know there's something we have to do first. response:	Is there?
context: It's nothing.\It's not like I approve of the saucer.\We're just in a cease fire.\What?\Hey, hey!\Why are you getting all comfortable?\You know there's something we have to do first.\Is there? response:	It's a hot spring.
context: It's not like I approve of the saucer.\We're just in a cease fire.\What?\Hey, hey!\Why are you getting all comfortable?\You know there's something we have to do first.\Is there?\It's a hot spring. response:	We have to go to the bath!
context: We're just in a cease fire.\What?\Hey, hey!\Why are you getting all comfortable?\You know there's something we have to do first.\Is there?\It's a hot spring.\We have to go to the bath! response:	Now?
context: What?\Hey, hey!\Why are you getting all comfortable?\You know there's something we have to do first.\Is there?\It's a hot spring.\We have to go to the bath!\Now? response:	Obviously.
context: Hey, hey!\Why are you getting all comfortable?\You know there's something we have to do first.\Is there?\It's a hot spring.\We have to go to the bath!\Now?\Obviously. response:	That was fast!
context: Why are you getting all comfortable?\You know there's something we have to do first.\Is there?\It's a hot spring.\We have to go to the bath!\Now?\Obviously.\That was fast! response:	Cleaning No Access
context: You know there's something we have to do first.\Is there?\It's a hot spring.\We have to go to the bath!\Now?\Obviously.\That was fast!\Cleaning No Access response:	We're a bit too early.
context: Is there?\It's a hot spring.\We have to go to the bath!\Now?\Obviously.\That was fast!\Cleaning No Access\We're a bit too early. response:	I want to go to the hot springs!
context: It's a hot spring.\We have to go to the bath!\Now?\Obviously.\That was fast!\Cleaning No Access\We're a bit too early.\I want to go to the hot springs! response:	Not bad.
context: We have to go to the bath!\Now?\Obviously.\That was fast!\Cleaning No Access\We're a bit too early.\I want to go to the hot springs!\Not bad. response:	That was okay.
context: Now?\Obviously.\That was fast!\Cleaning No Access\We're a bit too early.\I want to go to the hot springs!\Not bad.\That was okay. response:	Wasn't there something you needed to do, Yuzuki?
context: Obviously.\That was fast!\Cleaning No Access\We're a bit too early.\I want to go to the hot springs!\Not bad.\That was okay.\Wasn't there something you needed to do, Yuzuki? response:	Didn't you have to say something to Nonoka?
context: That was fast!\Cleaning No Access\We're a bit too early.\I want to go to the hot springs!\Not bad.\That was okay.\Wasn't there something you needed to do, Yuzuki?\Didn't you have to say something to Nonoka? response:	I'll be back in the room.
context: Cleaning No Access\We're a bit too early.\I want to go to the hot springs!\Not bad.\That was okay.\Wasn't there something you needed to do, Yuzuki?\Didn't you have to say something to Nonoka?\I'll be back in the room. response:	Be strong.
context: We're a bit too early.\I want to go to the hot springs!\Not bad.\That was okay.\Wasn't there something you needed to do, Yuzuki?\Didn't you have to say something to Nonoka?\I'll be back in the room.\Be strong. response:	Yeah.
context: I want to go to the hot springs!\Not bad.\That was okay.\Wasn't there something you needed to do, Yuzuki?\Didn't you have to say something to Nonoka?\I'll be back in the room.\Be strong.\Yeah. response:	I know.
context: Not bad.\That was okay.\Wasn't there something you needed to do, Yuzuki?\Didn't you have to say something to Nonoka?\I'll be back in the room.\Be strong.\Yeah.\I know. response:	Hey, Nonoka.
context: That was okay.\Wasn't there something you needed to do, Yuzuki?\Didn't you have to say something to Nonoka?\I'll be back in the room.\Be strong.\Yeah.\I know.\Hey, Nonoka. response:	I have to talk to you.
context: Wasn't there something you needed to do, Yuzuki?\Didn't you have to say something to Nonoka?\I'll be back in the room.\Be strong.\Yeah.\I know.\Hey, Nonoka.\I have to talk to you. response:	Hang on.
context: Didn't you have to say something to Nonoka?\I'll be back in the room.\Be strong.\Yeah.\I know.\Hey, Nonoka.\I have to talk to you.\Hang on. response:	Koharu?
context: I'll be back in the room.\Be strong.\Yeah.\I know.\Hey, Nonoka.\I have to talk to you.\Hang on.\Koharu? response:	Be strong.
context: Be strong.\Yeah.\I know.\Hey, Nonoka.\I have to talk to you.\Hang on.\Koharu?\Be strong. response:	I know.
context: Yeah.\I know.\Hey, Nonoka.\I have to talk to you.\Hang on.\Koharu?\Be strong.\I know. response:	Champion
context: I know.\Hey, Nonoka.\I have to talk to you.\Hang on.\Koharu?\Be strong.\I know.\Champion response:	You are the champion!
context: Hey, Nonoka.\I have to talk to you.\Hang on.\Koharu?\Be strong.\I know.\Champion\You are the champion! response:	You're pretty good.
context: I have to talk to you.\Hang on.\Koharu?\Be strong.\I know.\Champion\You are the champion!\You're pretty good. response:	So what did you want to talk to me about?
context: Hang on.\Koharu?\Be strong.\I know.\Champion\You are the champion!\You're pretty good.\So what did you want to talk to me about? response:	Talk?
context: Koharu?\Be strong.\I know.\Champion\You are the champion!\You're pretty good.\So what did you want to talk to me about?\Talk? response:	We can talk later.
context: Be strong.\I know.\Champion\You are the champion!\You're pretty good.\So what did you want to talk to me about?\Talk?\We can talk later. response:	Yeah.
context: I know.\Champion\You are the champion!\You're pretty good.\So what did you want to talk to me about?\Talk?\We can talk later.\Yeah. response:	Really?
context: Champion\You are the champion!\You're pretty good.\So what did you want to talk to me about?\Talk?\We can talk later.\Yeah.\Really? response:	Arcade
context: You are the champion!\You're pretty good.\So what did you want to talk to me about?\Talk?\We can talk later.\Yeah.\Really?\Arcade response:	Huh? The notice fell off.
context: You're pretty good.\So what did you want to talk to me about?\Talk?\We can talk later.\Yeah.\Really?\Arcade\Huh? The notice fell off. response:	I'm playing this.
context: So what did you want to talk to me about?\Talk?\We can talk later.\Yeah.\Really?\Arcade\Huh? The notice fell off.\I'm playing this. response:	Out of Order
context: Talk?\We can talk later.\Yeah.\Really?\Arcade\Huh? The notice fell off.\I'm playing this.\Out of Order response:	Looks like it's broken.
context: We can talk later.\Yeah.\Really?\Arcade\Huh? The notice fell off.\I'm playing this.\Out of Order\Looks like it's broken. response:	Sorry, it can't wait.
context: Yeah.\Really?\Arcade\Huh? The notice fell off.\I'm playing this.\Out of Order\Looks like it's broken.\Sorry, it can't wait. response:	H-Hey, Yuzuki!
context: Really?\Arcade\Huh? The notice fell off.\I'm playing this.\Out of Order\Looks like it's broken.\Sorry, it can't wait.\H-Hey, Yuzuki! response:	Shione, hurry, hurry!
context: Arcade\Huh? The notice fell off.\I'm playing this.\Out of Order\Looks like it's broken.\Sorry, it can't wait.\H-Hey, Yuzuki!\Shione, hurry, hurry! response:	So, what's up?
context: Huh? The notice fell off.\I'm playing this.\Out of Order\Looks like it's broken.\Sorry, it can't wait.\H-Hey, Yuzuki!\Shione, hurry, hurry!\So, what's up? response:	You've been acting weird.
context: I'm playing this.\Out of Order\Looks like it's broken.\Sorry, it can't wait.\H-Hey, Yuzuki!\Shione, hurry, hurry!\So, what's up?\You've been acting weird. response:	Tell me.
context: Out of Order\Looks like it's broken.\Sorry, it can't wait.\H-Hey, Yuzuki!\Shione, hurry, hurry!\So, what's up?\You've been acting weird.\Tell me. response:	I actually asked Koharu
context: Looks like it's broken.\Sorry, it can't wait.\H-Hey, Yuzuki!\Shione, hurry, hurry!\So, what's up?\You've been acting weird.\Tell me.\I actually asked Koharu response:	to invite you today.
context: Sorry, it can't wait.\H-Hey, Yuzuki!\Shione, hurry, hurry!\So, what's up?\You've been acting weird.\Tell me.\I actually asked Koharu\to invite you today. response:	I thought so.
context: H-Hey, Yuzuki!\Shione, hurry, hurry!\So, what's up?\You've been acting weird.\Tell me.\I actually asked Koharu\to invite you today.\I thought so. response:	You noticed?
context: Shione, hurry, hurry!\So, what's up?\You've been acting weird.\Tell me.\I actually asked Koharu\to invite you today.\I thought so.\You noticed? response:	It was suspicious.
context: So, what's up?\You've been acting weird.\Tell me.\I actually asked Koharu\to invite you today.\I thought so.\You noticed?\It was suspicious. response:	I thought maybe if we're in a different environment,
context: You've been acting weird.\Tell me.\I actually asked Koharu\to invite you today.\I thought so.\You noticed?\It was suspicious.\I thought maybe if we're in a different environment, response:	it'd be easier for me to say this.
context: Tell me.\I actually asked Koharu\to invite you today.\I thought so.\You noticed?\It was suspicious.\I thought maybe if we're in a different environment,\it'd be easier for me to say this. response:	Sure, I'll hear you out.
context: I actually asked Koharu\to invite you today.\I thought so.\You noticed?\It was suspicious.\I thought maybe if we're in a different environment,\it'd be easier for me to say this.\Sure, I'll hear you out. response:	Nonoka, please.
context: to invite you today.\I thought so.\You noticed?\It was suspicious.\I thought maybe if we're in a different environment,\it'd be easier for me to say this.\Sure, I'll hear you out.\Nonoka, please. response:	Hit me!
context: I thought so.\You noticed?\It was suspicious.\I thought maybe if we're in a different environment,\it'd be easier for me to say this.\Sure, I'll hear you out.\Nonoka, please.\Hit me! response:	Wh-Why?
context: You noticed?\It was suspicious.\I thought maybe if we're in a different environment,\it'd be easier for me to say this.\Sure, I'll hear you out.\Nonoka, please.\Hit me!\Wh-Why? response:	I can't get it out of my mind
context: It was suspicious.\I thought maybe if we're in a different environment,\it'd be easier for me to say this.\Sure, I'll hear you out.\Nonoka, please.\Hit me!\Wh-Why?\I can't get it out of my mind response:	that I did something so awful to you.
context: I thought maybe if we're in a different environment,\it'd be easier for me to say this.\Sure, I'll hear you out.\Nonoka, please.\Hit me!\Wh-Why?\I can't get it out of my mind\that I did something so awful to you. response:	So if you're going to forgive me, hit me really hard!
context: it'd be easier for me to say this.\Sure, I'll hear you out.\Nonoka, please.\Hit me!\Wh-Why?\I can't get it out of my mind\that I did something so awful to you.\So if you're going to forgive me, hit me really hard! response:	Please, Nonoka!
context: Sure, I'll hear you out.\Nonoka, please.\Hit me!\Wh-Why?\I can't get it out of my mind\that I did something so awful to you.\So if you're going to forgive me, hit me really hard!\Please, Nonoka! response:	Yeah?
context: Nonoka, please.\Hit me!\Wh-Why?\I can't get it out of my mind\that I did something so awful to you.\So if you're going to forgive me, hit me really hard!\Please, Nonoka!\Yeah? response:	But really?
context: Hit me!\Wh-Why?\I can't get it out of my mind\that I did something so awful to you.\So if you're going to forgive me, hit me really hard!\Please, Nonoka!\Yeah?\But really? response:	As hard as you can.
context: Wh-Why?\I can't get it out of my mind\that I did something so awful to you.\So if you're going to forgive me, hit me really hard!\Please, Nonoka!\Yeah?\But really?\As hard as you can. response:	Okay.
context: I can't get it out of my mind\that I did something so awful to you.\So if you're going to forgive me, hit me really hard!\Please, Nonoka!\Yeah?\But really?\As hard as you can.\Okay. response:	Here I go.
context: that I did something so awful to you.\So if you're going to forgive me, hit me really hard!\Please, Nonoka!\Yeah?\But really?\As hard as you can.\Okay.\Here I go. response:	Ready, set...
context: So if you're going to forgive me, hit me really hard!\Please, Nonoka!\Yeah?\But really?\As hard as you can.\Okay.\Here I go.\Ready, set... response:	I said as hard as you can.
context: Please, Nonoka!\Yeah?\But really?\As hard as you can.\Okay.\Here I go.\Ready, set...\I said as hard as you can. response:	It wouldn't be fair if I got serious.
context: Yeah?\But really?\As hard as you can.\Okay.\Here I go.\Ready, set...\I said as hard as you can.\It wouldn't be fair if I got serious. response:	So we're even now.
context: But really?\As hard as you can.\Okay.\Here I go.\Ready, set...\I said as hard as you can.\It wouldn't be fair if I got serious.\So we're even now. response:	Thank you.
context: As hard as you can.\Okay.\Here I go.\Ready, set...\I said as hard as you can.\It wouldn't be fair if I got serious.\So we're even now.\Thank you. response:	Hey, what do you think?
context: Okay.\Here I go.\Ready, set...\I said as hard as you can.\It wouldn't be fair if I got serious.\So we're even now.\Thank you.\Hey, what do you think? response:	I'm not going to be here in this town next year.
context: Here I go.\Ready, set...\I said as hard as you can.\It wouldn't be fair if I got serious.\So we're even now.\Thank you.\Hey, what do you think?\I'm not going to be here in this town next year. response:	She could have invited me, right?
context: Ready, set...\I said as hard as you can.\It wouldn't be fair if I got serious.\So we're even now.\Thank you.\Hey, what do you think?\I'm not going to be here in this town next year.\She could have invited me, right? response:	I guess I should clean you.
context: I said as hard as you can.\It wouldn't be fair if I got serious.\So we're even now.\Thank you.\Hey, what do you think?\I'm not going to be here in this town next year.\She could have invited me, right?\I guess I should clean you. response:	So it must have been that night.
context: It wouldn't be fair if I got serious.\So we're even now.\Thank you.\Hey, what do you think?\I'm not going to be here in this town next year.\She could have invited me, right?\I guess I should clean you.\So it must have been that night. response:	Can I have this?
context: So we're even now.\Thank you.\Hey, what do you think?\I'm not going to be here in this town next year.\She could have invited me, right?\I guess I should clean you.\So it must have been that night.\Can I have this? response:	I don't want it.
context: Thank you.\Hey, what do you think?\I'm not going to be here in this town next year.\She could have invited me, right?\I guess I should clean you.\So it must have been that night.\Can I have this?\I don't want it. response:	Go ahead.
context: Hey, what do you think?\I'm not going to be here in this town next year.\She could have invited me, right?\I guess I should clean you.\So it must have been that night.\Can I have this?\I don't want it.\Go ahead. response:	White Bunny of the Snow Country
context: I'm not going to be here in this town next year.\She could have invited me, right?\I guess I should clean you.\So it must have been that night.\Can I have this?\I don't want it.\Go ahead.\White Bunny of the Snow Country response:	Let's eat together.
context: She could have invited me, right?\I guess I should clean you.\So it must have been that night.\Can I have this?\I don't want it.\Go ahead.\White Bunny of the Snow Country\Let's eat together. response:	Do you like the saucer, Shione?
context: I guess I should clean you.\So it must have been that night.\Can I have this?\I don't want it.\Go ahead.\White Bunny of the Snow Country\Let's eat together.\Do you like the saucer, Shione? response:	Why would you ask such a thing?
context: So it must have been that night.\Can I have this?\I don't want it.\Go ahead.\White Bunny of the Snow Country\Let's eat together.\Do you like the saucer, Shione?\Why would you ask such a thing? response:	You're always taking pictures of it.
context: Can I have this?\I don't want it.\Go ahead.\White Bunny of the Snow Country\Let's eat together.\Do you like the saucer, Shione?\Why would you ask such a thing?\You're always taking pictures of it. response:	I'm taking pictures
context: I don't want it.\Go ahead.\White Bunny of the Snow Country\Let's eat together.\Do you like the saucer, Shione?\Why would you ask such a thing?\You're always taking pictures of it.\I'm taking pictures response:	to learn about it.
context: Go ahead.\White Bunny of the Snow Country\Let's eat together.\Do you like the saucer, Shione?\Why would you ask such a thing?\You're always taking pictures of it.\I'm taking pictures\to learn about it. response:	We're eating, aren't we?
context: White Bunny of the Snow Country\Let's eat together.\Do you like the saucer, Shione?\Why would you ask such a thing?\You're always taking pictures of it.\I'm taking pictures\to learn about it.\We're eating, aren't we? response:	I'll make tea.
context: Let's eat together.\Do you like the saucer, Shione?\Why would you ask such a thing?\You're always taking pictures of it.\I'm taking pictures\to learn about it.\We're eating, aren't we?\I'll make tea. response:	Yuzuki!
context: Do you like the saucer, Shione?\Why would you ask such a thing?\You're always taking pictures of it.\I'm taking pictures\to learn about it.\We're eating, aren't we?\I'll make tea.\Yuzuki! response:	What was that for?
context: Why would you ask such a thing?\You're always taking pictures of it.\I'm taking pictures\to learn about it.\We're eating, aren't we?\I'll make tea.\Yuzuki!\What was that for? response:	Good, it was you.
context: You're always taking pictures of it.\I'm taking pictures\to learn about it.\We're eating, aren't we?\I'll make tea.\Yuzuki!\What was that for?\Good, it was you. response:	I couldn't see without my glasses.
context: I'm taking pictures\to learn about it.\We're eating, aren't we?\I'll make tea.\Yuzuki!\What was that for?\Good, it was you.\I couldn't see without my glasses. response:	What if it wasn't me?
context: to learn about it.\We're eating, aren't we?\I'll make tea.\Yuzuki!\What was that for?\Good, it was you.\I couldn't see without my glasses.\What if it wasn't me? response:	So, how did it go?
context: We're eating, aren't we?\I'll make tea.\Yuzuki!\What was that for?\Good, it was you.\I couldn't see without my glasses.\What if it wasn't me?\So, how did it go? response:	Well...
context: I'll make tea.\Yuzuki!\What was that for?\Good, it was you.\I couldn't see without my glasses.\What if it wasn't me?\So, how did it go?\Well... response:	I'm happy you invited me today.
context: Yuzuki!\What was that for?\Good, it was you.\I couldn't see without my glasses.\What if it wasn't me?\So, how did it go?\Well...\I'm happy you invited me today. response:	Thanks, you two.
context: What was that for?\Good, it was you.\I couldn't see without my glasses.\What if it wasn't me?\So, how did it go?\Well...\I'm happy you invited me today.\Thanks, you two. response:	Maybe Noel can come next time.
context: Good, it was you.\I couldn't see without my glasses.\What if it wasn't me?\So, how did it go?\Well...\I'm happy you invited me today.\Thanks, you two.\Maybe Noel can come next time. response:	And Togawa-san, if it's possible.
context: I couldn't see without my glasses.\What if it wasn't me?\So, how did it go?\Well...\I'm happy you invited me today.\Thanks, you two.\Maybe Noel can come next time.\And Togawa-san, if it's possible. response:	You're right.
context: What if it wasn't me?\So, how did it go?\Well...\I'm happy you invited me today.\Thanks, you two.\Maybe Noel can come next time.\And Togawa-san, if it's possible.\You're right. response:	Yeah.
context: So, how did it go?\Well...\I'm happy you invited me today.\Thanks, you two.\Maybe Noel can come next time.\And Togawa-san, if it's possible.\You're right.\Yeah. response:	That was refreshing.
context: Well...\I'm happy you invited me today.\Thanks, you two.\Maybe Noel can come next time.\And Togawa-san, if it's possible.\You're right.\Yeah.\That was refreshing. response:	Yeah.
context: I'm happy you invited me today.\Thanks, you two.\Maybe Noel can come next time.\And Togawa-san, if it's possible.\You're right.\Yeah.\That was refreshing.\Yeah. response:	Let's buy something cold.
context: Thanks, you two.\Maybe Noel can come next time.\And Togawa-san, if it's possible.\You're right.\Yeah.\That was refreshing.\Yeah.\Let's buy something cold. response:	Sounds good.
context: Maybe Noel can come next time.\And Togawa-san, if it's possible.\You're right.\Yeah.\That was refreshing.\Yeah.\Let's buy something cold.\Sounds good. response:	Woo hoo!
context: And Togawa-san, if it's possible.\You're right.\Yeah.\That was refreshing.\Yeah.\Let's buy something cold.\Sounds good.\Woo hoo! response:	Take your clothes off!
context: You're right.\Yeah.\That was refreshing.\Yeah.\Let's buy something cold.\Sounds good.\Woo hoo!\Take your clothes off! response:	This is all a bath?
context: Yeah.\That was refreshing.\Yeah.\Let's buy something cold.\Sounds good.\Woo hoo!\Take your clothes off!\This is all a bath? response:	Obviously.
context: That was refreshing.\Yeah.\Let's buy something cold.\Sounds good.\Woo hoo!\Take your clothes off!\This is all a bath?\Obviously. response:	Let's get in.
context: Yeah.\Let's buy something cold.\Sounds good.\Woo hoo!\Take your clothes off!\This is all a bath?\Obviously.\Let's get in. response:	Hurry, hurry!
context: Let's buy something cold.\Sounds good.\Woo hoo!\Take your clothes off!\This is all a bath?\Obviously.\Let's get in.\Hurry, hurry! response:	You're right.
context: Sounds good.\Woo hoo!\Take your clothes off!\This is all a bath?\Obviously.\Let's get in.\Hurry, hurry!\You're right. response:	It's fun bathing together.
context: Woo hoo!\Take your clothes off!\This is all a bath?\Obviously.\Let's get in.\Hurry, hurry!\You're right.\It's fun bathing together. response:	A bath is a bath, isn't it?
context: Take your clothes off!\This is all a bath?\Obviously.\Let's get in.\Hurry, hurry!\You're right.\It's fun bathing together.\A bath is a bath, isn't it? response:	So what if you're with someone?
context: This is all a bath?\Obviously.\Let's get in.\Hurry, hurry!\You're right.\It's fun bathing together.\A bath is a bath, isn't it?\So what if you're with someone? response:	I feel warm.
context: Obviously.\Let's get in.\Hurry, hurry!\You're right.\It's fun bathing together.\A bath is a bath, isn't it?\So what if you're with someone?\I feel warm. response:	Are you texting Souta?
context: Let's get in.\Hurry, hurry!\You're right.\It's fun bathing together.\A bath is a bath, isn't it?\So what if you're with someone?\I feel warm.\Are you texting Souta? response:	Yeah.
context: Hurry, hurry!\You're right.\It's fun bathing together.\A bath is a bath, isn't it?\So what if you're with someone?\I feel warm.\Are you texting Souta?\Yeah. response:	I had him help at the store. I have to thank him.
context: You're right.\It's fun bathing together.\A bath is a bath, isn't it?\So what if you're with someone?\I feel warm.\Are you texting Souta?\Yeah.\I had him help at the store. I have to thank him. response:	That's it?
context: It's fun bathing together.\A bath is a bath, isn't it?\So what if you're with someone?\I feel warm.\Are you texting Souta?\Yeah.\I had him help at the store. I have to thank him.\That's it? response:	That's it.
context: A bath is a bath, isn't it?\So what if you're with someone?\I feel warm.\Are you texting Souta?\Yeah.\I had him help at the store. I have to thank him.\That's it?\That's it. response:	You aren't going to say you wanted him to come?
context: So what if you're with someone?\I feel warm.\Are you texting Souta?\Yeah.\I had him help at the store. I have to thank him.\That's it?\That's it.\You aren't going to say you wanted him to come? response:	Why?
context: I feel warm.\Are you texting Souta?\Yeah.\I had him help at the store. I have to thank him.\That's it?\That's it.\You aren't going to say you wanted him to come?\Why? response:	Hey, don't you have someone?
context: Are you texting Souta?\Yeah.\I had him help at the store. I have to thank him.\That's it?\That's it.\You aren't going to say you wanted him to come?\Why?\Hey, don't you have someone? response:	Someone?
context: Yeah.\I had him help at the store. I have to thank him.\That's it?\That's it.\You aren't going to say you wanted him to come?\Why?\Hey, don't you have someone?\Someone? response:	So boring.
context: I had him help at the store. I have to thank him.\That's it?\That's it.\You aren't going to say you wanted him to come?\Why?\Hey, don't you have someone?\Someone?\So boring. response:	I'm going to sleep.
context: That's it?\That's it.\You aren't going to say you wanted him to come?\Why?\Hey, don't you have someone?\Someone?\So boring.\I'm going to sleep. response:	Hot springs...
context: That's it.\You aren't going to say you wanted him to come?\Why?\Hey, don't you have someone?\Someone?\So boring.\I'm going to sleep.\Hot springs... response:	When's the last time I wasn't alone?
context: You aren't going to say you wanted him to come?\Why?\Hey, don't you have someone?\Someone?\So boring.\I'm going to sleep.\Hot springs...\When's the last time I wasn't alone? response:	Are you still up?
context: Why?\Hey, don't you have someone?\Someone?\So boring.\I'm going to sleep.\Hot springs...\When's the last time I wasn't alone?\Are you still up? response:	Yeah.
context: Hey, don't you have someone?\Someone?\So boring.\I'm going to sleep.\Hot springs...\When's the last time I wasn't alone?\Are you still up?\Yeah. response:	Nonoka, thanks.
context: Someone?\So boring.\I'm going to sleep.\Hot springs...\When's the last time I wasn't alone?\Are you still up?\Yeah.\Nonoka, thanks. response:	Thanks, huh?
context: So boring.\I'm going to sleep.\Hot springs...\When's the last time I wasn't alone?\Are you still up?\Yeah.\Nonoka, thanks.\Thanks, huh? response:	Thanks for waiting.
context: I'm going to sleep.\Hot springs...\When's the last time I wasn't alone?\Are you still up?\Yeah.\Nonoka, thanks.\Thanks, huh?\Thanks for waiting. response:	You could have shopped at my place.
context: Hot springs...\When's the last time I wasn't alone?\Are you still up?\Yeah.\Nonoka, thanks.\Thanks, huh?\Thanks for waiting.\You could have shopped at my place. response:	Gifts?
context: When's the last time I wasn't alone?\Are you still up?\Yeah.\Nonoka, thanks.\Thanks, huh?\Thanks for waiting.\You could have shopped at my place.\Gifts? response:	Yeah. For Dad.
context: Are you still up?\Yeah.\Nonoka, thanks.\Thanks, huh?\Thanks for waiting.\You could have shopped at my place.\Gifts?\Yeah. For Dad. response:	And for Mom.
context: Yeah.\Nonoka, thanks.\Thanks, huh?\Thanks for waiting.\You could have shopped at my place.\Gifts?\Yeah. For Dad.\And for Mom. response:	You're a good daughter.
