context: Yeah, I'm fine. response:	I'm eating properly.
context: I'm sorry, monster-san!\Noel, are you all right?\Here, wipe your face.\Nonoka!\Noel.\Nonoka, are you done with school yet?\No, I'm doing extracurricular work.\After school? response:	I still have school.
context: Noel, are you all right?\Here, wipe your face.\Nonoka!\Noel.\Nonoka, are you done with school yet?\No, I'm doing extracurricular work.\After school?\I still have school. response:	Sorry.
context: Here, wipe your face.\Nonoka!\Noel.\Nonoka, are you done with school yet?\No, I'm doing extracurricular work.\After school?\I still have school.\Sorry. response:	Okay.
context: Nonoka!\Noel.\Nonoka, are you done with school yet?\No, I'm doing extracurricular work.\After school?\I still have school.\Sorry.\Okay. response:	She's so cute!
context: Noel.\Nonoka, are you done with school yet?\No, I'm doing extracurricular work.\After school?\I still have school.\Sorry.\Okay.\She's so cute! response:	Where'd she come from?
context: Nonoka, are you done with school yet?\No, I'm doing extracurricular work.\After school?\I still have school.\Sorry.\Okay.\She's so cute!\Where'd she come from? response:	Is she your sister?
context: No, I'm doing extracurricular work.\After school?\I still have school.\Sorry.\Okay.\She's so cute!\Where'd she come from?\Is she your sister? response:	Can I keep her?
context: After school?\I still have school.\Sorry.\Okay.\She's so cute!\Where'd she come from?\Is she your sister?\Can I keep her? response:	I told you about her, remember?
context: I still have school.\Sorry.\Okay.\She's so cute!\Where'd she come from?\Is she your sister?\Can I keep her?\I told you about her, remember? response:	She's Noel.
context: Sorry.\Okay.\She's so cute!\Where'd she come from?\Is she your sister?\Can I keep her?\I told you about her, remember?\She's Noel. response:	Nice to meet you!
context: Okay.\She's so cute!\Where'd she come from?\Is she your sister?\Can I keep her?\I told you about her, remember?\She's Noel.\Nice to meet you! response:	Nice to meet you.
context: She's so cute!\Where'd she come from?\Is she your sister?\Can I keep her?\I told you about her, remember?\She's Noel.\Nice to meet you!\Nice to meet you. response:	Who is that?
context: Where'd she come from?\Is she your sister?\Can I keep her?\I told you about her, remember?\She's Noel.\Nice to meet you!\Nice to meet you.\Who is that? response:	Shione,
context: Is she your sister?\Can I keep her?\I told you about her, remember?\She's Noel.\Nice to meet you!\Nice to meet you.\Who is that?\Shione, response:	let's go to the next spot.
context: Can I keep her?\I told you about her, remember?\She's Noel.\Nice to meet you!\Nice to meet you.\Who is that?\Shione,\let's go to the next spot. response:	What?
context: I told you about her, remember?\She's Noel.\Nice to meet you!\Nice to meet you.\Who is that?\Shione,\let's go to the next spot.\What? response:	Why are you so cold to Nonoka?
context: She's Noel.\Nice to meet you!\Nice to meet you.\Who is that?\Shione,\let's go to the next spot.\What?\Why are you so cold to Nonoka? response:	I hate her, that's all.
context: Nice to meet you!\Nice to meet you.\Who is that?\Shione,\let's go to the next spot.\What?\Why are you so cold to Nonoka?\I hate her, that's all. response:	Haven't you noticed?
context: Nice to meet you.\Who is that?\Shione,\let's go to the next spot.\What?\Why are you so cold to Nonoka?\I hate her, that's all.\Haven't you noticed? response:	Apparently.
context: Who is that?\Shione,\let's go to the next spot.\What?\Why are you so cold to Nonoka?\I hate her, that's all.\Haven't you noticed?\Apparently. response:	You wouldn't think she'd be back now, would you?
context: Shione,\let's go to the next spot.\What?\Why are you so cold to Nonoka?\I hate her, that's all.\Haven't you noticed?\Apparently.\You wouldn't think she'd be back now, would you? response:	Enemy units spotted!
context: let's go to the next spot.\What?\Why are you so cold to Nonoka?\I hate her, that's all.\Haven't you noticed?\Apparently.\You wouldn't think she'd be back now, would you?\Enemy units spotted! response:	We'll catch up to them.
context: What?\Why are you so cold to Nonoka?\I hate her, that's all.\Haven't you noticed?\Apparently.\You wouldn't think she'd be back now, would you?\Enemy units spotted!\We'll catch up to them. response:	There's five of us now!
context: Why are you so cold to Nonoka?\I hate her, that's all.\Haven't you noticed?\Apparently.\You wouldn't think she'd be back now, would you?\Enemy units spotted!\We'll catch up to them.\There's five of us now! response:	Why do you have more than before?
context: I hate her, that's all.\Haven't you noticed?\Apparently.\You wouldn't think she'd be back now, would you?\Enemy units spotted!\We'll catch up to them.\There's five of us now!\Why do you have more than before? response:	I dunno.
context: Haven't you noticed?\Apparently.\You wouldn't think she'd be back now, would you?\Enemy units spotted!\We'll catch up to them.\There's five of us now!\Why do you have more than before?\I dunno. response:	Let's go, Noel.
context: Apparently.\You wouldn't think she'd be back now, would you?\Enemy units spotted!\We'll catch up to them.\There's five of us now!\Why do you have more than before?\I dunno.\Let's go, Noel. response:	Let's show them our power!
context: You wouldn't think she'd be back now, would you?\Enemy units spotted!\We'll catch up to them.\There's five of us now!\Why do you have more than before?\I dunno.\Let's go, Noel.\Let's show them our power! response:	Sucks to be with the noisy one, huh, transfer kid?
context: Enemy units spotted!\We'll catch up to them.\There's five of us now!\Why do you have more than before?\I dunno.\Let's go, Noel.\Let's show them our power!\Sucks to be with the noisy one, huh, transfer kid? response:	What do you mean?
context: We'll catch up to them.\There's five of us now!\Why do you have more than before?\I dunno.\Let's go, Noel.\Let's show them our power!\Sucks to be with the noisy one, huh, transfer kid?\What do you mean? response:	Not at all.
context: There's five of us now!\Why do you have more than before?\I dunno.\Let's go, Noel.\Let's show them our power!\Sucks to be with the noisy one, huh, transfer kid?\What do you mean?\Not at all. response:	She thinks we're stupid.
context: Why do you have more than before?\I dunno.\Let's go, Noel.\Let's show them our power!\Sucks to be with the noisy one, huh, transfer kid?\What do you mean?\Not at all.\She thinks we're stupid. response:	Hurry! Hurry! Hurry!
context: I dunno.\Let's go, Noel.\Let's show them our power!\Sucks to be with the noisy one, huh, transfer kid?\What do you mean?\Not at all.\She thinks we're stupid.\Hurry! Hurry! Hurry! response:	The rest are past that mountain over there.
context: Let's go, Noel.\Let's show them our power!\Sucks to be with the noisy one, huh, transfer kid?\What do you mean?\Not at all.\She thinks we're stupid.\Hurry! Hurry! Hurry!\The rest are past that mountain over there. response:	One more?
context: Let's show them our power!\Sucks to be with the noisy one, huh, transfer kid?\What do you mean?\Not at all.\She thinks we're stupid.\Hurry! Hurry! Hurry!\The rest are past that mountain over there.\One more? response:	Yep, should be.
context: Sucks to be with the noisy one, huh, transfer kid?\What do you mean?\Not at all.\She thinks we're stupid.\Hurry! Hurry! Hurry!\The rest are past that mountain over there.\One more?\Yep, should be. response:	It's a bit far, though.
context: What do you mean?\Not at all.\She thinks we're stupid.\Hurry! Hurry! Hurry!\The rest are past that mountain over there.\One more?\Yep, should be.\It's a bit far, though. response:	Aren't you tired, Noel?
context: Not at all.\She thinks we're stupid.\Hurry! Hurry! Hurry!\The rest are past that mountain over there.\One more?\Yep, should be.\It's a bit far, though.\Aren't you tired, Noel? response:	Noel is great!
context: She thinks we're stupid.\Hurry! Hurry! Hurry!\The rest are past that mountain over there.\One more?\Yep, should be.\It's a bit far, though.\Aren't you tired, Noel?\Noel is great! response:	You look the most tired of all of us, Yuzuki.
context: Hurry! Hurry! Hurry!\The rest are past that mountain over there.\One more?\Yep, should be.\It's a bit far, though.\Aren't you tired, Noel?\Noel is great!\You look the most tired of all of us, Yuzuki. response:	That's not true!
context: The rest are past that mountain over there.\One more?\Yep, should be.\It's a bit far, though.\Aren't you tired, Noel?\Noel is great!\You look the most tired of all of us, Yuzuki.\That's not true! response:	Huh, where's Togawa-san?
context: One more?\Yep, should be.\It's a bit far, though.\Aren't you tired, Noel?\Noel is great!\You look the most tired of all of us, Yuzuki.\That's not true!\Huh, where's Togawa-san? response:	She was walking behind us until just now.
context: Yep, should be.\It's a bit far, though.\Aren't you tired, Noel?\Noel is great!\You look the most tired of all of us, Yuzuki.\That's not true!\Huh, where's Togawa-san?\She was walking behind us until just now. response:	I wonder if she got lost.
context: It's a bit far, though.\Aren't you tired, Noel?\Noel is great!\You look the most tired of all of us, Yuzuki.\That's not true!\Huh, where's Togawa-san?\She was walking behind us until just now.\I wonder if she got lost. response:	She might just be slow.
context: Aren't you tired, Noel?\Noel is great!\You look the most tired of all of us, Yuzuki.\That's not true!\Huh, where's Togawa-san?\She was walking behind us until just now.\I wonder if she got lost.\She might just be slow. response:	I'll go find her.
context: Noel is great!\You look the most tired of all of us, Yuzuki.\That's not true!\Huh, where's Togawa-san?\She was walking behind us until just now.\I wonder if she got lost.\She might just be slow.\I'll go find her. response:	You guys go ahead.
context: You look the most tired of all of us, Yuzuki.\That's not true!\Huh, where's Togawa-san?\She was walking behind us until just now.\I wonder if she got lost.\She might just be slow.\I'll go find her.\You guys go ahead. response:	Nonoka!
context: That's not true!\Huh, where's Togawa-san?\She was walking behind us until just now.\I wonder if she got lost.\She might just be slow.\I'll go find her.\You guys go ahead.\Nonoka! response:	Shouldn't we look for her together?
context: Huh, where's Togawa-san?\She was walking behind us until just now.\I wonder if she got lost.\She might just be slow.\I'll go find her.\You guys go ahead.\Nonoka!\Shouldn't we look for her together? response:	Nonoka, me, too!
context: She was walking behind us until just now.\I wonder if she got lost.\She might just be slow.\I'll go find her.\You guys go ahead.\Nonoka!\Shouldn't we look for her together?\Nonoka, me, too! response:	Don't worry, I'll be right back.
context: I wonder if she got lost.\She might just be slow.\I'll go find her.\You guys go ahead.\Nonoka!\Shouldn't we look for her together?\Nonoka, me, too!\Don't worry, I'll be right back. response:	Stay with the others!
context: She might just be slow.\I'll go find her.\You guys go ahead.\Nonoka!\Shouldn't we look for her together?\Nonoka, me, too!\Don't worry, I'll be right back.\Stay with the others! response:	Yuzuki, take care of Noel for me!
context: I'll go find her.\You guys go ahead.\Nonoka!\Shouldn't we look for her together?\Nonoka, me, too!\Don't worry, I'll be right back.\Stay with the others!\Yuzuki, take care of Noel for me! response:	Sure.
context: You guys go ahead.\Nonoka!\Shouldn't we look for her together?\Nonoka, me, too!\Don't worry, I'll be right back.\Stay with the others!\Yuzuki, take care of Noel for me!\Sure. response:	Do you think Nonoka's okay?
context: Nonoka!\Shouldn't we look for her together?\Nonoka, me, too!\Don't worry, I'll be right back.\Stay with the others!\Yuzuki, take care of Noel for me!\Sure.\Do you think Nonoka's okay? response:	It's been a while.
context: Shouldn't we look for her together?\Nonoka, me, too!\Don't worry, I'll be right back.\Stay with the others!\Yuzuki, take care of Noel for me!\Sure.\Do you think Nonoka's okay?\It's been a while. response:	What are you doing?
context: Nonoka, me, too!\Don't worry, I'll be right back.\Stay with the others!\Yuzuki, take care of Noel for me!\Sure.\Do you think Nonoka's okay?\It's been a while.\What are you doing? response:	Shione!
context: Don't worry, I'll be right back.\Stay with the others!\Yuzuki, take care of Noel for me!\Sure.\Do you think Nonoka's okay?\It's been a while.\What are you doing?\Shione! response:	Where's Nonoka?
context: Stay with the others!\Yuzuki, take care of Noel for me!\Sure.\Do you think Nonoka's okay?\It's been a while.\What are you doing?\Shione!\Where's Nonoka? response:	I wouldn't know.
context: Yuzuki, take care of Noel for me!\Sure.\Do you think Nonoka's okay?\It's been a while.\What are you doing?\Shione!\Where's Nonoka?\I wouldn't know. response:	How did you even get ahead?
context: Sure.\Do you think Nonoka's okay?\It's been a while.\What are you doing?\Shione!\Where's Nonoka?\I wouldn't know.\How did you even get ahead? response:	Maybe she took another route?
context: Do you think Nonoka's okay?\It's been a while.\What are you doing?\Shione!\Where's Nonoka?\I wouldn't know.\How did you even get ahead?\Maybe she took another route? response:	Seems that way.
context: It's been a while.\What are you doing?\Shione!\Where's Nonoka?\I wouldn't know.\How did you even get ahead?\Maybe she took another route?\Seems that way. response:	Nonoka!
context: What are you doing?\Shione!\Where's Nonoka?\I wouldn't know.\How did you even get ahead?\Maybe she took another route?\Seems that way.\Nonoka! response:	Wait, Noel!
context: Shione!\Where's Nonoka?\I wouldn't know.\How did you even get ahead?\Maybe she took another route?\Seems that way.\Nonoka!\Wait, Noel! response:	Noel-chan.
context: Where's Nonoka?\I wouldn't know.\How did you even get ahead?\Maybe she took another route?\Seems that way.\Nonoka!\Wait, Noel!\Noel-chan. response:	Togawa-san!
context: I wouldn't know.\How did you even get ahead?\Maybe she took another route?\Seems that way.\Nonoka!\Wait, Noel!\Noel-chan.\Togawa-san! response:	Togawa-san!
context: How did you even get ahead?\Maybe she took another route?\Seems that way.\Nonoka!\Wait, Noel!\Noel-chan.\Togawa-san!\Togawa-san! response:	Togawa-san!
context: Maybe she took another route?\Seems that way.\Nonoka!\Wait, Noel!\Noel-chan.\Togawa-san!\Togawa-san!\Togawa-san! response:	Togawa-san!
context: Seems that way.\Nonoka!\Wait, Noel!\Noel-chan.\Togawa-san!\Togawa-san!\Togawa-san!\Togawa-san! response:	I guess now I'm lost.
context: Nonoka!\Wait, Noel!\Noel-chan.\Togawa-san!\Togawa-san!\Togawa-san!\Togawa-san!\I guess now I'm lost. response:	Noel!
context: Wait, Noel!\Noel-chan.\Togawa-san!\Togawa-san!\Togawa-san!\Togawa-san!\I guess now I'm lost.\Noel! response:	Nonoka!
context: Noel-chan.\Togawa-san!\Togawa-san!\Togawa-san!\Togawa-san!\I guess now I'm lost.\Noel!\Nonoka! response:	Noel!
context: Togawa-san!\Togawa-san!\Togawa-san!\Togawa-san!\I guess now I'm lost.\Noel!\Nonoka!\Noel! response:	Nonoka!
context: Togawa-san!\Togawa-san!\Togawa-san!\I guess now I'm lost.\Noel!\Nonoka!\Noel!\Nonoka! response:	Yuzuki.
context: Togawa-san!\Togawa-san!\I guess now I'm lost.\Noel!\Nonoka!\Noel!\Nonoka!\Yuzuki. response:	Oh, Souta.
context: Togawa-san!\I guess now I'm lost.\Noel!\Nonoka!\Noel!\Nonoka!\Yuzuki.\Oh, Souta. response:	What?
context: I guess now I'm lost.\Noel!\Nonoka!\Noel!\Nonoka!\Yuzuki.\Oh, Souta.\What? response:	We're already finished.
context: Noel!\Nonoka!\Noel!\Nonoka!\Yuzuki.\Oh, Souta.\What?\We're already finished. response:	Good for you.
context: Nonoka!\Noel!\Nonoka!\Yuzuki.\Oh, Souta.\What?\We're already finished.\Good for you. response:	Koharu, we're looking for the latecomers.
context: Noel!\Nonoka!\Yuzuki.\Oh, Souta.\What?\We're already finished.\Good for you.\Koharu, we're looking for the latecomers. response:	Where's the transfer student and that little kid?
context: Nonoka!\Yuzuki.\Oh, Souta.\What?\We're already finished.\Good for you.\Koharu, we're looking for the latecomers.\Where's the transfer student and that little kid? response:	Well...
context: Yuzuki.\Oh, Souta.\What?\We're already finished.\Good for you.\Koharu, we're looking for the latecomers.\Where's the transfer student and that little kid?\Well... response:	Kiriyako Kindergarten
context: Oh, Souta.\What?\We're already finished.\Good for you.\Koharu, we're looking for the latecomers.\Where's the transfer student and that little kid?\Well...\Kiriyako Kindergarten response:	I never knew this was here.
context: What?\We're already finished.\Good for you.\Koharu, we're looking for the latecomers.\Where's the transfer student and that little kid?\Well...\Kiriyako Kindergarten\I never knew this was here. response:	Kiriyako Kindergarten
context: We're already finished.\Good for you.\Koharu, we're looking for the latecomers.\Where's the transfer student and that little kid?\Well...\Kiriyako Kindergarten\I never knew this was here.\Kiriyako Kindergarten response:	I wonder if they found Shione-san.
context: Good for you.\Koharu, we're looking for the latecomers.\Where's the transfer student and that little kid?\Well...\Kiriyako Kindergarten\I never knew this was here.\Kiriyako Kindergarten\I wonder if they found Shione-san. response:	I keep messing up.
context: Koharu, we're looking for the latecomers.\Where's the transfer student and that little kid?\Well...\Kiriyako Kindergarten\I never knew this was here.\Kiriyako Kindergarten\I wonder if they found Shione-san.\I keep messing up. response:	Komiya!
context: Where's the transfer student and that little kid?\Well...\Kiriyako Kindergarten\I never knew this was here.\Kiriyako Kindergarten\I wonder if they found Shione-san.\I keep messing up.\Komiya! response:	Nonoka!
context: Well...\Kiriyako Kindergarten\I never knew this was here.\Kiriyako Kindergarten\I wonder if they found Shione-san.\I keep messing up.\Komiya!\Nonoka! response:	Nonoka!
context: Kiriyako Kindergarten\I never knew this was here.\Kiriyako Kindergarten\I wonder if they found Shione-san.\I keep messing up.\Komiya!\Nonoka!\Nonoka! response:	It's been a while since we've all been together, huh?
context: I never knew this was here.\Kiriyako Kindergarten\I wonder if they found Shione-san.\I keep messing up.\Komiya!\Nonoka!\Nonoka!\It's been a while since we've all been together, huh? response:	Oh, yeah.
context: Kiriyako Kindergarten\I wonder if they found Shione-san.\I keep messing up.\Komiya!\Nonoka!\Nonoka!\It's been a while since we've all been together, huh?\Oh, yeah. response:	We were all in separate classes until last year, right?
context: I wonder if they found Shione-san.\I keep messing up.\Komiya!\Nonoka!\Nonoka!\It's been a while since we've all been together, huh?\Oh, yeah.\We were all in separate classes until last year, right? response:	Yeah, it'd get complicated with two twins in the same class.
context: I keep messing up.\Komiya!\Nonoka!\Nonoka!\It's been a while since we've all been together, huh?\Oh, yeah.\We were all in separate classes until last year, right?\Yeah, it'd get complicated with two twins in the same class. response:	Hey, do you remember back when there was
context: Komiya!\Nonoka!\Nonoka!\It's been a while since we've all been together, huh?\Oh, yeah.\We were all in separate classes until last year, right?\Yeah, it'd get complicated with two twins in the same class.\Hey, do you remember back when there was response:	Stop!
context: Nonoka!\Nonoka!\It's been a while since we've all been together, huh?\Oh, yeah.\We were all in separate classes until last year, right?\Yeah, it'd get complicated with two twins in the same class.\Hey, do you remember back when there was\Stop! response:	If she hadn't said what she did...
context: Nonoka!\It's been a while since we've all been together, huh?\Oh, yeah.\We were all in separate classes until last year, right?\Yeah, it'd get complicated with two twins in the same class.\Hey, do you remember back when there was\Stop!\If she hadn't said what she did... response:	We wouldn't have called the saucer.
context: It's been a while since we've all been together, huh?\Oh, yeah.\We were all in separate classes until last year, right?\Yeah, it'd get complicated with two twins in the same class.\Hey, do you remember back when there was\Stop!\If she hadn't said what she did...\We wouldn't have called the saucer. response:	Obviously.
context: Oh, yeah.\We were all in separate classes until last year, right?\Yeah, it'd get complicated with two twins in the same class.\Hey, do you remember back when there was\Stop!\If she hadn't said what she did...\We wouldn't have called the saucer.\Obviously. response:	You can't forgive her?
context: We were all in separate classes until last year, right?\Yeah, it'd get complicated with two twins in the same class.\Hey, do you remember back when there was\Stop!\If she hadn't said what she did...\We wouldn't have called the saucer.\Obviously.\You can't forgive her? response:	Of course not!
context: Yeah, it'd get complicated with two twins in the same class.\Hey, do you remember back when there was\Stop!\If she hadn't said what she did...\We wouldn't have called the saucer.\Obviously.\You can't forgive her?\Of course not! response:	She's the one that called the saucer!
context: Hey, do you remember back when there was\Stop!\If she hadn't said what she did...\We wouldn't have called the saucer.\Obviously.\You can't forgive her?\Of course not!\She's the one that called the saucer! response:	Then why are you being nice to her?
context: Stop!\If she hadn't said what she did...\We wouldn't have called the saucer.\Obviously.\You can't forgive her?\Of course not!\She's the one that called the saucer!\Then why are you being nice to her? response:	Found you.
context: If she hadn't said what she did...\We wouldn't have called the saucer.\Obviously.\You can't forgive her?\Of course not!\She's the one that called the saucer!\Then why are you being nice to her?\Found you. response:	That song...
context: We wouldn't have called the saucer.\Obviously.\You can't forgive her?\Of course not!\She's the one that called the saucer!\Then why are you being nice to her?\Found you.\That song... response:	I'm pretty good now, right?
context: Obviously.\You can't forgive her?\Of course not!\She's the one that called the saucer!\Then why are you being nice to her?\Found you.\That song...\I'm pretty good now, right? response:	Is it really you
context: You can't forgive her?\Of course not!\She's the one that called the saucer!\Then why are you being nice to her?\Found you.\That song...\I'm pretty good now, right?\Is it really you response:	from seven years ago?
context: Of course not!\She's the one that called the saucer!\Then why are you being nice to her?\Found you.\That song...\I'm pretty good now, right?\Is it really you\from seven years ago? response:	Is Tokyo really far away?
context: She's the one that called the saucer!\Then why are you being nice to her?\Found you.\That song...\I'm pretty good now, right?\Is it really you\from seven years ago?\Is Tokyo really far away? response:	There you are.
context: Then why are you being nice to her?\Found you.\That song...\I'm pretty good now, right?\Is it really you\from seven years ago?\Is Tokyo really far away?\There you are. response:	What's up?
context: Found you.\That song...\I'm pretty good now, right?\Is it really you\from seven years ago?\Is Tokyo really far away?\There you are.\What's up? response:	They asked me to find you.
context: That song...\I'm pretty good now, right?\Is it really you\from seven years ago?\Is Tokyo really far away?\There you are.\What's up?\They asked me to find you. response:	They're going to eat them.
context: I'm pretty good now, right?\Is it really you\from seven years ago?\Is Tokyo really far away?\There you are.\What's up?\They asked me to find you.\They're going to eat them. response:	They are?
context: Is it really you\from seven years ago?\Is Tokyo really far away?\There you are.\What's up?\They asked me to find you.\They're going to eat them.\They are? response:	Yeah, hurry.
context: from seven years ago?\Is Tokyo really far away?\There you are.\What's up?\They asked me to find you.\They're going to eat them.\They are?\Yeah, hurry. response:	They're left over. Why can't I have them?
context: Is Tokyo really far away?\There you are.\What's up?\They asked me to find you.\They're going to eat them.\They are?\Yeah, hurry.\They're left over. Why can't I have them? response:	You can't. It's one each.
context: There you are.\What's up?\They asked me to find you.\They're going to eat them.\They are?\Yeah, hurry.\They're left over. Why can't I have them?\You can't. It's one each. response:	Here, catch!
context: What's up?\They asked me to find you.\They're going to eat them.\They are?\Yeah, hurry.\They're left over. Why can't I have them?\You can't. It's one each.\Here, catch! response:	Eat it, quick!
context: They asked me to find you.\They're going to eat them.\They are?\Yeah, hurry.\They're left over. Why can't I have them?\You can't. It's one each.\Here, catch!\Eat it, quick! response:	Good!
context: They're going to eat them.\They are?\Yeah, hurry.\They're left over. Why can't I have them?\You can't. It's one each.\Here, catch!\Eat it, quick!\Good! response:	Case closed.
context: They are?\Yeah, hurry.\They're left over. Why can't I have them?\You can't. It's one each.\Here, catch!\Eat it, quick!\Good!\Case closed. response:	Come on.
context: Yeah, hurry.\They're left over. Why can't I have them?\You can't. It's one each.\Here, catch!\Eat it, quick!\Good!\Case closed.\Come on. response:	Hey, hey.
context: They're left over. Why can't I have them?\You can't. It's one each.\Here, catch!\Eat it, quick!\Good!\Case closed.\Come on.\Hey, hey. response:	The saucer?
context: You can't. It's one each.\Here, catch!\Eat it, quick!\Good!\Case closed.\Come on.\Hey, hey.\The saucer? response:	Remember we talked about it?
context: Here, catch!\Eat it, quick!\Good!\Case closed.\Come on.\Hey, hey.\The saucer?\Remember we talked about it? response:	If we all wish for it, a saucer will come down.
context: Eat it, quick!\Good!\Case closed.\Come on.\Hey, hey.\The saucer?\Remember we talked about it?\If we all wish for it, a saucer will come down. response:	Yeah, it said so in the saucer book.
context: Good!\Case closed.\Come on.\Hey, hey.\The saucer?\Remember we talked about it?\If we all wish for it, a saucer will come down.\Yeah, it said so in the saucer book. response:	Let's try it.
context: Case closed.\Come on.\Hey, hey.\The saucer?\Remember we talked about it?\If we all wish for it, a saucer will come down.\Yeah, it said so in the saucer book.\Let's try it. response:	I want to do something with you guys.
context: Come on.\Hey, hey.\The saucer?\Remember we talked about it?\If we all wish for it, a saucer will come down.\Yeah, it said so in the saucer book.\Let's try it.\I want to do something with you guys. response:	Why?
context: Hey, hey.\The saucer?\Remember we talked about it?\If we all wish for it, a saucer will come down.\Yeah, it said so in the saucer book.\Let's try it.\I want to do something with you guys.\Why? response:	I might
context: The saucer?\Remember we talked about it?\If we all wish for it, a saucer will come down.\Yeah, it said so in the saucer book.\Let's try it.\I want to do something with you guys.\Why?\I might response:	not be able to see you once it's winter.
context: Remember we talked about it?\If we all wish for it, a saucer will come down.\Yeah, it said so in the saucer book.\Let's try it.\I want to do something with you guys.\Why?\I might\not be able to see you once it's winter. response:	Oh, yeah.
context: If we all wish for it, a saucer will come down.\Yeah, it said so in the saucer book.\Let's try it.\I want to do something with you guys.\Why?\I might\not be able to see you once it's winter.\Oh, yeah. response:	It would be hard to come here if it snows a lot.
context: Yeah, it said so in the saucer book.\Let's try it.\I want to do something with you guys.\Why?\I might\not be able to see you once it's winter.\Oh, yeah.\It would be hard to come here if it snows a lot. response:	Yeah.
context: Let's try it.\I want to do something with you guys.\Why?\I might\not be able to see you once it's winter.\Oh, yeah.\It would be hard to come here if it snows a lot.\Yeah. response:	So, before it snows.
context: I want to do something with you guys.\Why?\I might\not be able to see you once it's winter.\Oh, yeah.\It would be hard to come here if it snows a lot.\Yeah.\So, before it snows. response:	Nonoka is that girl?
context: Why?\I might\not be able to see you once it's winter.\Oh, yeah.\It would be hard to come here if it snows a lot.\Yeah.\So, before it snows.\Nonoka is that girl? response:	There's no way that's her.
context: I might\not be able to see you once it's winter.\Oh, yeah.\It would be hard to come here if it snows a lot.\Yeah.\So, before it snows.\Nonoka is that girl?\There's no way that's her. response:	Why couldn't she be?
context: not be able to see you once it's winter.\Oh, yeah.\It would be hard to come here if it snows a lot.\Yeah.\So, before it snows.\Nonoka is that girl?\There's no way that's her.\Why couldn't she be? response:	Nonoka's my friend.
context: Oh, yeah.\It would be hard to come here if it snows a lot.\Yeah.\So, before it snows.\Nonoka is that girl?\There's no way that's her.\Why couldn't she be?\Nonoka's my friend. response:	She's helping me get rid of the saucer.
context: It would be hard to come here if it snows a lot.\Yeah.\So, before it snows.\Nonoka is that girl?\There's no way that's her.\Why couldn't she be?\Nonoka's my friend.\She's helping me get rid of the saucer. response:	Besides...
context: Yeah.\So, before it snows.\Nonoka is that girl?\There's no way that's her.\Why couldn't she be?\Nonoka's my friend.\She's helping me get rid of the saucer.\Besides... response:	Besides, she used to live here.
context: So, before it snows.\Nonoka is that girl?\There's no way that's her.\Why couldn't she be?\Nonoka's my friend.\She's helping me get rid of the saucer.\Besides...\Besides, she used to live here. response:	She said so herself.
context: Nonoka is that girl?\There's no way that's her.\Why couldn't she be?\Nonoka's my friend.\She's helping me get rid of the saucer.\Besides...\Besides, she used to live here.\She said so herself. response:	Is that true?
context: There's no way that's her.\Why couldn't she be?\Nonoka's my friend.\She's helping me get rid of the saucer.\Besides...\Besides, she used to live here.\She said so herself.\Is that true? response:	She made us help her call the saucer,
context: Why couldn't she be?\Nonoka's my friend.\She's helping me get rid of the saucer.\Besides...\Besides, she used to live here.\She said so herself.\Is that true?\She made us help her call the saucer, response:	and then she left town.
context: Nonoka's my friend.\She's helping me get rid of the saucer.\Besides...\Besides, she used to live here.\She said so herself.\Is that true?\She made us help her call the saucer,\and then she left town. response:	For the past seven years
context: She's helping me get rid of the saucer.\Besides...\Besides, she used to live here.\She said so herself.\Is that true?\She made us help her call the saucer,\and then she left town.\For the past seven years response:	you've regretted it every time you've looked at the saucer, haven't you?
context: Besides...\Besides, she used to live here.\She said so herself.\Is that true?\She made us help her call the saucer,\and then she left town.\For the past seven years\you've regretted it every time you've looked at the saucer, haven't you? response:	Why did I do this?
context: Besides, she used to live here.\She said so herself.\Is that true?\She made us help her call the saucer,\and then she left town.\For the past seven years\you've regretted it every time you've looked at the saucer, haven't you?\Why did I do this? response:	She comes back now, and she calls us friends?
context: She said so herself.\Is that true?\She made us help her call the saucer,\and then she left town.\For the past seven years\you've regretted it every time you've looked at the saucer, haven't you?\Why did I do this?\She comes back now, and she calls us friends? response:	She thinks we're stupid.
context: Is that true?\She made us help her call the saucer,\and then she left town.\For the past seven years\you've regretted it every time you've looked at the saucer, haven't you?\Why did I do this?\She comes back now, and she calls us friends?\She thinks we're stupid. response:	But...
context: She made us help her call the saucer,\and then she left town.\For the past seven years\you've regretted it every time you've looked at the saucer, haven't you?\Why did I do this?\She comes back now, and she calls us friends?\She thinks we're stupid.\But... response:	But, we don't know if that was really Nonoka!
context: and then she left town.\For the past seven years\you've regretted it every time you've looked at the saucer, haven't you?\Why did I do this?\She comes back now, and she calls us friends?\She thinks we're stupid.\But...\But, we don't know if that was really Nonoka! response:	Yuzuki.
context: For the past seven years\you've regretted it every time you've looked at the saucer, haven't you?\Why did I do this?\She comes back now, and she calls us friends?\She thinks we're stupid.\But...\But, we don't know if that was really Nonoka!\Yuzuki. response:	Hey, I found her.
context: you've regretted it every time you've looked at the saucer, haven't you?\Why did I do this?\She comes back now, and she calls us friends?\She thinks we're stupid.\But...\But, we don't know if that was really Nonoka!\Yuzuki.\Hey, I found her. response:	I remember now.
context: Why did I do this?\She comes back now, and she calls us friends?\She thinks we're stupid.\But...\But, we don't know if that was really Nonoka!\Yuzuki.\Hey, I found her.\I remember now. response:	I said it first.
