context: Kurahara? response:	Run with the Wind
context: Please! I'm here on a track scholarship!\If I quit the team, I won't have anything!\Please let me run! Please!\Please!\Please! Please!\It's time. Let's get started.\Yes, sir. To the track!\Yes, sir! response:	Please! Please let me back on the team!
context: If I quit the team, I won't have anything!\Please let me run! Please!\Please!\Please! Please!\It's time. Let's get started.\Yes, sir. To the track!\Yes, sir!\Please! Please let me back on the team! response:	I'm sorry I got injured! Please!
context: Please let me run! Please!\Please!\Please! Please!\It's time. Let's get started.\Yes, sir. To the track!\Yes, sir!\Please! Please let me back on the team!\I'm sorry I got injured! Please! response:	Please!
context: Please!\Please! Please!\It's time. Let's get started.\Yes, sir. To the track!\Yes, sir!\Please! Please let me back on the team!\I'm sorry I got injured! Please!\Please! response:	I only have time for students who can run.
context: Please! Please!\It's time. Let's get started.\Yes, sir. To the track!\Yes, sir!\Please! Please let me back on the team!\I'm sorry I got injured! Please!\Please!\I only have time for students who can run. response:	Good luck. You have my support.
context: It's time. Let's get started.\Yes, sir. To the track!\Yes, sir!\Please! Please let me back on the team!\I'm sorry I got injured! Please!\Please!\I only have time for students who can run.\Good luck. You have my support. response:	Kurahara?
context: Yes, sir. To the track!\Yes, sir!\Please! Please let me back on the team!\I'm sorry I got injured! Please!\Please!\I only have time for students who can run.\Good luck. You have my support.\Kurahara? response:	Kakeru.
context: Yes, sir!\Please! Please let me back on the team!\I'm sorry I got injured! Please!\Please!\I only have time for students who can run.\Good luck. You have my support.\Kurahara?\Kakeru. response:	Kakeru.
context: Please! Please let me back on the team!\I'm sorry I got injured! Please!\Please!\I only have time for students who can run.\Good luck. You have my support.\Kurahara?\Kakeru.\Kakeru. response:	Kakeru?
context: I'm sorry I got injured! Please!\Please!\I only have time for students who can run.\Good luck. You have my support.\Kurahara?\Kakeru.\Kakeru.\Kakeru? response:	Um...
context: Please!\I only have time for students who can run.\Good luck. You have my support.\Kurahara?\Kakeru.\Kakeru.\Kakeru?\Um... response:	He asked you to lead Group B since we're splitting into two groups.
context: I only have time for students who can run.\Good luck. You have my support.\Kurahara?\Kakeru.\Kakeru.\Kakeru?\Um...\He asked you to lead Group B since we're splitting into two groups. response:	Quit spacing out.
context: Good luck. You have my support.\Kurahara?\Kakeru.\Kakeru.\Kakeru?\Um...\He asked you to lead Group B since we're splitting into two groups.\Quit spacing out. response:	Sorry.
context: Kurahara?\Kakeru.\Kakeru.\Kakeru?\Um...\He asked you to lead Group B since we're splitting into two groups.\Quit spacing out.\Sorry. response:	You must be cold.
context: Kakeru.\Kakeru.\Kakeru?\Um...\He asked you to lead Group B since we're splitting into two groups.\Quit spacing out.\Sorry.\You must be cold. response:	I heated up some milk.
context: Kakeru.\Kakeru?\Um...\He asked you to lead Group B since we're splitting into two groups.\Quit spacing out.\Sorry.\You must be cold.\I heated up some milk. response:	Look at those stars.
context: Kakeru?\Um...\He asked you to lead Group B since we're splitting into two groups.\Quit spacing out.\Sorry.\You must be cold.\I heated up some milk.\Look at those stars. response:	It'd be a waste not to see this.
context: Um...\He asked you to lead Group B since we're splitting into two groups.\Quit spacing out.\Sorry.\You must be cold.\I heated up some milk.\Look at those stars.\It'd be a waste not to see this. response:	How much do you know?
context: He asked you to lead Group B since we're splitting into two groups.\Quit spacing out.\Sorry.\You must be cold.\I heated up some milk.\Look at those stars.\It'd be a waste not to see this.\How much do you know? response:	About me.
context: Quit spacing out.\Sorry.\You must be cold.\I heated up some milk.\Look at those stars.\It'd be a waste not to see this.\How much do you know?\About me. response:	How much?
context: Sorry.\You must be cold.\I heated up some milk.\Look at those stars.\It'd be a waste not to see this.\How much do you know?\About me.\How much? response:	You knew the morning after I first stayed at Aotake
context: You must be cold.\I heated up some milk.\Look at those stars.\It'd be a waste not to see this.\How much do you know?\About me.\How much?\You knew the morning after I first stayed at Aotake response:	that I was from Sendai Josei High School.
context: I heated up some milk.\Look at those stars.\It'd be a waste not to see this.\How much do you know?\About me.\How much?\You knew the morning after I first stayed at Aotake\that I was from Sendai Josei High School. response:	Yeah.
context: Look at those stars.\It'd be a waste not to see this.\How much do you know?\About me.\How much?\You knew the morning after I first stayed at Aotake\that I was from Sendai Josei High School.\Yeah. response:	Which means...
context: It'd be a waste not to see this.\How much do you know?\About me.\How much?\You knew the morning after I first stayed at Aotake\that I was from Sendai Josei High School.\Yeah.\Which means... response:	A quick search online revealed just how good a runner you were.
context: How much do you know?\About me.\How much?\You knew the morning after I first stayed at Aotake\that I was from Sendai Josei High School.\Yeah.\Which means...\A quick search online revealed just how good a runner you were. response:	That you were a nationally top-ranked runner by your second year,
context: About me.\How much?\You knew the morning after I first stayed at Aotake\that I was from Sendai Josei High School.\Yeah.\Which means...\A quick search online revealed just how good a runner you were.\That you were a nationally top-ranked runner by your second year, response:	and that your records suddenly stopped the spring of your third year.
context: How much?\You knew the morning after I first stayed at Aotake\that I was from Sendai Josei High School.\Yeah.\Which means...\A quick search online revealed just how good a runner you were.\That you were a nationally top-ranked runner by your second year,\and that your records suddenly stopped the spring of your third year. response:	But that's all I know.
context: You knew the morning after I first stayed at Aotake\that I was from Sendai Josei High School.\Yeah.\Which means...\A quick search online revealed just how good a runner you were.\That you were a nationally top-ranked runner by your second year,\and that your records suddenly stopped the spring of your third year.\But that's all I know. response:	There was no need for me to investigate any further.
context: that I was from Sendai Josei High School.\Yeah.\Which means...\A quick search online revealed just how good a runner you were.\That you were a nationally top-ranked runner by your second year,\and that your records suddenly stopped the spring of your third year.\But that's all I know.\There was no need for me to investigate any further. response:	I can't cause the team any more trouble than I have already.
context: Yeah.\Which means...\A quick search online revealed just how good a runner you were.\That you were a nationally top-ranked runner by your second year,\and that your records suddenly stopped the spring of your third year.\But that's all I know.\There was no need for me to investigate any further.\I can't cause the team any more trouble than I have already. response:	I can't control my emotions.
context: Which means...\A quick search online revealed just how good a runner you were.\That you were a nationally top-ranked runner by your second year,\and that your records suddenly stopped the spring of your third year.\But that's all I know.\There was no need for me to investigate any further.\I can't cause the team any more trouble than I have already.\I can't control my emotions. response:	When that reporter spoke to me, I felt like I had woken up from a dream.
context: A quick search online revealed just how good a runner you were.\That you were a nationally top-ranked runner by your second year,\and that your records suddenly stopped the spring of your third year.\But that's all I know.\There was no need for me to investigate any further.\I can't cause the team any more trouble than I have already.\I can't control my emotions.\When that reporter spoke to me, I felt like I had woken up from a dream. response:	I realized no matter how far I run, I'm still me.
context: That you were a nationally top-ranked runner by your second year,\and that your records suddenly stopped the spring of your third year.\But that's all I know.\There was no need for me to investigate any further.\I can't cause the team any more trouble than I have already.\I can't control my emotions.\When that reporter spoke to me, I felt like I had woken up from a dream.\I realized no matter how far I run, I'm still me. response:	Haiji, I
context: and that your records suddenly stopped the spring of your third year.\But that's all I know.\There was no need for me to investigate any further.\I can't cause the team any more trouble than I have already.\I can't control my emotions.\When that reporter spoke to me, I felt like I had woken up from a dream.\I realized no matter how far I run, I'm still me.\Haiji, I response:	Kakeru.
context: But that's all I know.\There was no need for me to investigate any further.\I can't cause the team any more trouble than I have already.\I can't control my emotions.\When that reporter spoke to me, I felt like I had woken up from a dream.\I realized no matter how far I run, I'm still me.\Haiji, I\Kakeru. response:	If you're going to talk, why not tell everyone?
context: There was no need for me to investigate any further.\I can't cause the team any more trouble than I have already.\I can't control my emotions.\When that reporter spoke to me, I felt like I had woken up from a dream.\I realized no matter how far I run, I'm still me.\Haiji, I\Kakeru.\If you're going to talk, why not tell everyone? response:	It's okay.
context: I can't cause the team any more trouble than I have already.\I can't control my emotions.\When that reporter spoke to me, I felt like I had woken up from a dream.\I realized no matter how far I run, I'm still me.\Haiji, I\Kakeru.\If you're going to talk, why not tell everyone?\It's okay. response:	No matter what happens, we're still us.
context: I can't control my emotions.\When that reporter spoke to me, I felt like I had woken up from a dream.\I realized no matter how far I run, I'm still me.\Haiji, I\Kakeru.\If you're going to talk, why not tell everyone?\It's okay.\No matter what happens, we're still us. response:	You're still awake.
context: When that reporter spoke to me, I felt like I had woken up from a dream.\I realized no matter how far I run, I'm still me.\Haiji, I\Kakeru.\If you're going to talk, why not tell everyone?\It's okay.\No matter what happens, we're still us.\You're still awake. response:	Sorry you had to bathe last.
context: I realized no matter how far I run, I'm still me.\Haiji, I\Kakeru.\If you're going to talk, why not tell everyone?\It's okay.\No matter what happens, we're still us.\You're still awake.\Sorry you had to bathe last. response:	Was the bath dirty?
context: Haiji, I\Kakeru.\If you're going to talk, why not tell everyone?\It's okay.\No matter what happens, we're still us.\You're still awake.\Sorry you had to bathe last.\Was the bath dirty? response:	Not at all.
context: Kakeru.\If you're going to talk, why not tell everyone?\It's okay.\No matter what happens, we're still us.\You're still awake.\Sorry you had to bathe last.\Was the bath dirty?\Not at all. response:	You cleaned it again for me, didn't you?
context: If you're going to talk, why not tell everyone?\It's okay.\No matter what happens, we're still us.\You're still awake.\Sorry you had to bathe last.\Was the bath dirty?\Not at all.\You cleaned it again for me, didn't you? response:	Well, yeah.
context: It's okay.\No matter what happens, we're still us.\You're still awake.\Sorry you had to bathe last.\Was the bath dirty?\Not at all.\You cleaned it again for me, didn't you?\Well, yeah. response:	Really? You're that considerate?
context: No matter what happens, we're still us.\You're still awake.\Sorry you had to bathe last.\Was the bath dirty?\Not at all.\You cleaned it again for me, didn't you?\Well, yeah.\Really? You're that considerate? response:	Yuki told me to use my head.
context: You're still awake.\Sorry you had to bathe last.\Was the bath dirty?\Not at all.\You cleaned it again for me, didn't you?\Well, yeah.\Really? You're that considerate?\Yuki told me to use my head. response:	Your seniors can teach you all kinds of things.
context: Sorry you had to bathe last.\Was the bath dirty?\Not at all.\You cleaned it again for me, didn't you?\Well, yeah.\Really? You're that considerate?\Yuki told me to use my head.\Your seniors can teach you all kinds of things. response:	By the way...
context: Was the bath dirty?\Not at all.\You cleaned it again for me, didn't you?\Well, yeah.\Really? You're that considerate?\Yuki told me to use my head.\Your seniors can teach you all kinds of things.\By the way... response:	Kakeru, do you have a girlfriend?
context: Not at all.\You cleaned it again for me, didn't you?\Well, yeah.\Really? You're that considerate?\Yuki told me to use my head.\Your seniors can teach you all kinds of things.\By the way...\Kakeru, do you have a girlfriend? response:	What?
context: You cleaned it again for me, didn't you?\Well, yeah.\Really? You're that considerate?\Yuki told me to use my head.\Your seniors can teach you all kinds of things.\By the way...\Kakeru, do you have a girlfriend?\What? response:	Seriously? I wanna know!
context: Well, yeah.\Really? You're that considerate?\Yuki told me to use my head.\Your seniors can teach you all kinds of things.\By the way...\Kakeru, do you have a girlfriend?\What?\Seriously? I wanna know! response:	O-Of course I don't. Where did that come from?
context: Really? You're that considerate?\Yuki told me to use my head.\Your seniors can teach you all kinds of things.\By the way...\Kakeru, do you have a girlfriend?\What?\Seriously? I wanna know!\O-Of course I don't. Where did that come from? response:	Well, the night sky was just so pretty.
context: Yuki told me to use my head.\Your seniors can teach you all kinds of things.\By the way...\Kakeru, do you have a girlfriend?\What?\Seriously? I wanna know!\O-Of course I don't. Where did that come from?\Well, the night sky was just so pretty. response:	What does that mean?
context: Your seniors can teach you all kinds of things.\By the way...\Kakeru, do you have a girlfriend?\What?\Seriously? I wanna know!\O-Of course I don't. Where did that come from?\Well, the night sky was just so pretty.\What does that mean? response:	What?
context: By the way...\Kakeru, do you have a girlfriend?\What?\Seriously? I wanna know!\O-Of course I don't. Where did that come from?\Well, the night sky was just so pretty.\What does that mean?\What? response:	The stars are mad pretty!
context: Kakeru, do you have a girlfriend?\What?\Seriously? I wanna know!\O-Of course I don't. Where did that come from?\Well, the night sky was just so pretty.\What does that mean?\What?\The stars are mad pretty! response:	Right?
context: What?\Seriously? I wanna know!\O-Of course I don't. Where did that come from?\Well, the night sky was just so pretty.\What does that mean?\What?\The stars are mad pretty!\Right? response:	Yeah!
context: Seriously? I wanna know!\O-Of course I don't. Where did that come from?\Well, the night sky was just so pretty.\What does that mean?\What?\The stars are mad pretty!\Right?\Yeah! response:	You'll wake the others!
context: O-Of course I don't. Where did that come from?\Well, the night sky was just so pretty.\What does that mean?\What?\The stars are mad pretty!\Right?\Yeah!\You'll wake the others! response:	Look, Hana. A shooting star.
context: Well, the night sky was just so pretty.\What does that mean?\What?\The stars are mad pretty!\Right?\Yeah!\You'll wake the others!\Look, Hana. A shooting star. response:	Dad?
context: What does that mean?\What?\The stars are mad pretty!\Right?\Yeah!\You'll wake the others!\Look, Hana. A shooting star.\Dad? response:	I hated my high school track team.
context: What?\The stars are mad pretty!\Right?\Yeah!\You'll wake the others!\Look, Hana. A shooting star.\Dad?\I hated my high school track team. response:	My coach's methods, the stuffy air of that club room...
context: The stars are mad pretty!\Right?\Yeah!\You'll wake the others!\Look, Hana. A shooting star.\Dad?\I hated my high school track team.\My coach's methods, the stuffy air of that club room... response:	I hated it so much, it made me want to puke.
context: Right?\Yeah!\You'll wake the others!\Look, Hana. A shooting star.\Dad?\I hated my high school track team.\My coach's methods, the stuffy air of that club room...\I hated it so much, it made me want to puke. response:	I broke my coach's nose, lost my college recommendation,
context: Yeah!\You'll wake the others!\Look, Hana. A shooting star.\Dad?\I hated my high school track team.\My coach's methods, the stuffy air of that club room...\I hated it so much, it made me want to puke.\I broke my coach's nose, lost my college recommendation, response:	and quit the club.
context: You'll wake the others!\Look, Hana. A shooting star.\Dad?\I hated my high school track team.\My coach's methods, the stuffy air of that club room...\I hated it so much, it made me want to puke.\I broke my coach's nose, lost my college recommendation,\and quit the club. response:	Since the school wanted to keep it quiet, they imposed restrictions on the team.
context: Look, Hana. A shooting star.\Dad?\I hated my high school track team.\My coach's methods, the stuffy air of that club room...\I hated it so much, it made me want to puke.\I broke my coach's nose, lost my college recommendation,\and quit the club.\Since the school wanted to keep it quiet, they imposed restrictions on the team. response:	The summer of my third year,
context: Dad?\I hated my high school track team.\My coach's methods, the stuffy air of that club room...\I hated it so much, it made me want to puke.\I broke my coach's nose, lost my college recommendation,\and quit the club.\Since the school wanted to keep it quiet, they imposed restrictions on the team.\The summer of my third year, response:	none of my classmates were able to participate in meets.
context: I hated my high school track team.\My coach's methods, the stuffy air of that club room...\I hated it so much, it made me want to puke.\I broke my coach's nose, lost my college recommendation,\and quit the club.\Since the school wanted to keep it quiet, they imposed restrictions on the team.\The summer of my third year,\none of my classmates were able to participate in meets. response:	Looking back on it,
context: My coach's methods, the stuffy air of that club room...\I hated it so much, it made me want to puke.\I broke my coach's nose, lost my college recommendation,\and quit the club.\Since the school wanted to keep it quiet, they imposed restrictions on the team.\The summer of my third year,\none of my classmates were able to participate in meets.\Looking back on it, response:	what happened to that first-year was just an opportunity for me
context: I hated it so much, it made me want to puke.\I broke my coach's nose, lost my college recommendation,\and quit the club.\Since the school wanted to keep it quiet, they imposed restrictions on the team.\The summer of my third year,\none of my classmates were able to participate in meets.\Looking back on it,\what happened to that first-year was just an opportunity for me response:	to release all my pent-up anger and achieve some self-satisfaction.
context: I broke my coach's nose, lost my college recommendation,\and quit the club.\Since the school wanted to keep it quiet, they imposed restrictions on the team.\The summer of my third year,\none of my classmates were able to participate in meets.\Looking back on it,\what happened to that first-year was just an opportunity for me\to release all my pent-up anger and achieve some self-satisfaction. response:	It's no wonder they hate me.
context: and quit the club.\Since the school wanted to keep it quiet, they imposed restrictions on the team.\The summer of my third year,\none of my classmates were able to participate in meets.\Looking back on it,\what happened to that first-year was just an opportunity for me\to release all my pent-up anger and achieve some self-satisfaction.\It's no wonder they hate me. response:	Because of a moment's decision, I wasted three years of their effort.
context: Since the school wanted to keep it quiet, they imposed restrictions on the team.\The summer of my third year,\none of my classmates were able to participate in meets.\Looking back on it,\what happened to that first-year was just an opportunity for me\to release all my pent-up anger and achieve some self-satisfaction.\It's no wonder they hate me.\Because of a moment's decision, I wasted three years of their effort. response:	Especially for Sakaki...
context: The summer of my third year,\none of my classmates were able to participate in meets.\Looking back on it,\what happened to that first-year was just an opportunity for me\to release all my pent-up anger and achieve some self-satisfaction.\It's no wonder they hate me.\Because of a moment's decision, I wasted three years of their effort.\Especially for Sakaki... response:	I see.
context: none of my classmates were able to participate in meets.\Looking back on it,\what happened to that first-year was just an opportunity for me\to release all my pent-up anger and achieve some self-satisfaction.\It's no wonder they hate me.\Because of a moment's decision, I wasted three years of their effort.\Especially for Sakaki...\I see. response:	That's why he hates you so much.
context: Looking back on it,\what happened to that first-year was just an opportunity for me\to release all my pent-up anger and achieve some self-satisfaction.\It's no wonder they hate me.\Because of a moment's decision, I wasted three years of their effort.\Especially for Sakaki...\I see.\That's why he hates you so much. response:	It's no wonder he hates me.
context: what happened to that first-year was just an opportunity for me\to release all my pent-up anger and achieve some self-satisfaction.\It's no wonder they hate me.\Because of a moment's decision, I wasted three years of their effort.\Especially for Sakaki...\I see.\That's why he hates you so much.\It's no wonder he hates me. response:	I became unable to see anything but myself.
context: to release all my pent-up anger and achieve some self-satisfaction.\It's no wonder they hate me.\Because of a moment's decision, I wasted three years of their effort.\Especially for Sakaki...\I see.\That's why he hates you so much.\It's no wonder he hates me.\I became unable to see anything but myself. response:	That's what I'm afraid of.
context: It's no wonder they hate me.\Because of a moment's decision, I wasted three years of their effort.\Especially for Sakaki...\I see.\That's why he hates you so much.\It's no wonder he hates me.\I became unable to see anything but myself.\That's what I'm afraid of. response:	I'm worried I might do something similar again.
context: Because of a moment's decision, I wasted three years of their effort.\Especially for Sakaki...\I see.\That's why he hates you so much.\It's no wonder he hates me.\I became unable to see anything but myself.\That's what I'm afraid of.\I'm worried I might do something similar again. response:	I was nearly unable to stop myself again.
context: Especially for Sakaki...\I see.\That's why he hates you so much.\It's no wonder he hates me.\I became unable to see anything but myself.\That's what I'm afraid of.\I'm worried I might do something similar again.\I was nearly unable to stop myself again. response:	You've been hesitant about running because you were worried about that?
context: I see.\That's why he hates you so much.\It's no wonder he hates me.\I became unable to see anything but myself.\That's what I'm afraid of.\I'm worried I might do something similar again.\I was nearly unable to stop myself again.\You've been hesitant about running because you were worried about that? response:	But you had a reason, right?
context: That's why he hates you so much.\It's no wonder he hates me.\I became unable to see anything but myself.\That's what I'm afraid of.\I'm worried I might do something similar again.\I was nearly unable to stop myself again.\You've been hesitant about running because you were worried about that?\But you had a reason, right? response:	A reason you had to do it.
context: It's no wonder he hates me.\I became unable to see anything but myself.\That's what I'm afraid of.\I'm worried I might do something similar again.\I was nearly unable to stop myself again.\You've been hesitant about running because you were worried about that?\But you had a reason, right?\A reason you had to do it. response:	It's not good to use violence against another person, though.
context: I became unable to see anything but myself.\That's what I'm afraid of.\I'm worried I might do something similar again.\I was nearly unable to stop myself again.\You've been hesitant about running because you were worried about that?\But you had a reason, right?\A reason you had to do it.\It's not good to use violence against another person, though. response:	Yes. That's why...
context: That's what I'm afraid of.\I'm worried I might do something similar again.\I was nearly unable to stop myself again.\You've been hesitant about running because you were worried about that?\But you had a reason, right?\A reason you had to do it.\It's not good to use violence against another person, though.\Yes. That's why... response:	That's why?
context: I'm worried I might do something similar again.\I was nearly unable to stop myself again.\You've been hesitant about running because you were worried about that?\But you had a reason, right?\A reason you had to do it.\It's not good to use violence against another person, though.\Yes. That's why...\That's why? response:	That's why...
context: I was nearly unable to stop myself again.\You've been hesitant about running because you were worried about that?\But you had a reason, right?\A reason you had to do it.\It's not good to use violence against another person, though.\Yes. That's why...\That's why?\That's why... response:	Before I cause any more trouble for you guys...
context: You've been hesitant about running because you were worried about that?\But you had a reason, right?\A reason you had to do it.\It's not good to use violence against another person, though.\Yes. That's why...\That's why?\That's why...\Before I cause any more trouble for you guys... response:	Before that, I...
context: But you had a reason, right?\A reason you had to do it.\It's not good to use violence against another person, though.\Yes. That's why...\That's why?\That's why...\Before I cause any more trouble for you guys...\Before that, I... response:	Hey.
context: A reason you had to do it.\It's not good to use violence against another person, though.\Yes. That's why...\That's why?\That's why...\Before I cause any more trouble for you guys...\Before that, I...\Hey. response:	We've already started running.
context: It's not good to use violence against another person, though.\Yes. That's why...\That's why?\That's why...\Before I cause any more trouble for you guys...\Before that, I...\Hey.\We've already started running. response:	We won't let you bail on us now.
context: Yes. That's why...\That's why?\That's why...\Before I cause any more trouble for you guys...\Before that, I...\Hey.\We've already started running.\We won't let you bail on us now. response:	They're right.
context: That's why?\That's why...\Before I cause any more trouble for you guys...\Before that, I...\Hey.\We've already started running.\We won't let you bail on us now.\They're right. response:	If anything, I'm glad to know.
context: That's why...\Before I cause any more trouble for you guys...\Before that, I...\Hey.\We've already started running.\We won't let you bail on us now.\They're right.\If anything, I'm glad to know. response:	Thanks for telling us.
context: Before I cause any more trouble for you guys...\Before that, I...\Hey.\We've already started running.\We won't let you bail on us now.\They're right.\If anything, I'm glad to know.\Thanks for telling us. response:	We more or less already knew that you tend to act before you speak.
context: Before that, I...\Hey.\We've already started running.\We won't let you bail on us now.\They're right.\If anything, I'm glad to know.\Thanks for telling us.\We more or less already knew that you tend to act before you speak. response:	If anything, I can't believe you were worried about that.
context: Hey.\We've already started running.\We won't let you bail on us now.\They're right.\If anything, I'm glad to know.\Thanks for telling us.\We more or less already knew that you tend to act before you speak.\If anything, I can't believe you were worried about that. response:	Yeah.
context: We've already started running.\We won't let you bail on us now.\They're right.\If anything, I'm glad to know.\Thanks for telling us.\We more or less already knew that you tend to act before you speak.\If anything, I can't believe you were worried about that.\Yeah. response:	Kakeru, I really like you.
context: We won't let you bail on us now.\They're right.\If anything, I'm glad to know.\Thanks for telling us.\We more or less already knew that you tend to act before you speak.\If anything, I can't believe you were worried about that.\Yeah.\Kakeru, I really like you. response:	Don't the rest of you?
context: They're right.\If anything, I'm glad to know.\Thanks for telling us.\We more or less already knew that you tend to act before you speak.\If anything, I can't believe you were worried about that.\Yeah.\Kakeru, I really like you.\Don't the rest of you? response:	Yeah.
context: If anything, I'm glad to know.\Thanks for telling us.\We more or less already knew that you tend to act before you speak.\If anything, I can't believe you were worried about that.\Yeah.\Kakeru, I really like you.\Don't the rest of you?\Yeah. response:	It's hard to say yes when you're asked face-to-face.
context: Thanks for telling us.\We more or less already knew that you tend to act before you speak.\If anything, I can't believe you were worried about that.\Yeah.\Kakeru, I really like you.\Don't the rest of you?\Yeah.\It's hard to say yes when you're asked face-to-face. response:	When we first met,
context: We more or less already knew that you tend to act before you speak.\If anything, I can't believe you were worried about that.\Yeah.\Kakeru, I really like you.\Don't the rest of you?\Yeah.\It's hard to say yes when you're asked face-to-face.\When we first met, response:	I was captivated by the way you ran.
context: If anything, I can't believe you were worried about that.\Yeah.\Kakeru, I really like you.\Don't the rest of you?\Yeah.\It's hard to say yes when you're asked face-to-face.\When we first met,\I was captivated by the way you ran. response:	I was moved.
context: Yeah.\Kakeru, I really like you.\Don't the rest of you?\Yeah.\It's hard to say yes when you're asked face-to-face.\When we first met,\I was captivated by the way you ran.\I was moved. response:	I couldn't believe someone could have such pure running form.
context: Kakeru, I really like you.\Don't the rest of you?\Yeah.\It's hard to say yes when you're asked face-to-face.\When we first met,\I was captivated by the way you ran.\I was moved.\I couldn't believe someone could have such pure running form. response:	I thought you might already know the answer I was seeking.
context: Don't the rest of you?\Yeah.\It's hard to say yes when you're asked face-to-face.\When we first met,\I was captivated by the way you ran.\I was moved.\I couldn't believe someone could have such pure running form.\I thought you might already know the answer I was seeking. response:	What it means to run. The answer to that question.
context: Yeah.\It's hard to say yes when you're asked face-to-face.\When we first met,\I was captivated by the way you ran.\I was moved.\I couldn't believe someone could have such pure running form.\I thought you might already know the answer I was seeking.\What it means to run. The answer to that question. response:	But I still haven't found the answer.
context: It's hard to say yes when you're asked face-to-face.\When we first met,\I was captivated by the way you ran.\I was moved.\I couldn't believe someone could have such pure running form.\I thought you might already know the answer I was seeking.\What it means to run. The answer to that question.\But I still haven't found the answer. response:	The more I run, the more difficult I realize it is.
context: When we first met,\I was captivated by the way you ran.\I was moved.\I couldn't believe someone could have such pure running form.\I thought you might already know the answer I was seeking.\What it means to run. The answer to that question.\But I still haven't found the answer.\The more I run, the more difficult I realize it is. response:	Don't you feel the same way?
context: I was captivated by the way you ran.\I was moved.\I couldn't believe someone could have such pure running form.\I thought you might already know the answer I was seeking.\What it means to run. The answer to that question.\But I still haven't found the answer.\The more I run, the more difficult I realize it is.\Don't you feel the same way? response:	I have fun running with you!
context: I was moved.\I couldn't believe someone could have such pure running form.\I thought you might already know the answer I was seeking.\What it means to run. The answer to that question.\But I still haven't found the answer.\The more I run, the more difficult I realize it is.\Don't you feel the same way?\I have fun running with you! response:	Me, too. In fact, I have more fun than Jota!
context: I couldn't believe someone could have such pure running form.\I thought you might already know the answer I was seeking.\What it means to run. The answer to that question.\But I still haven't found the answer.\The more I run, the more difficult I realize it is.\Don't you feel the same way?\I have fun running with you!\Me, too. In fact, I have more fun than Jota! response:	You what?
context: I thought you might already know the answer I was seeking.\What it means to run. The answer to that question.\But I still haven't found the answer.\The more I run, the more difficult I realize it is.\Don't you feel the same way?\I have fun running with you!\Me, too. In fact, I have more fun than Jota!\You what? response:	I was just speaking my mind.
context: What it means to run. The answer to that question.\But I still haven't found the answer.\The more I run, the more difficult I realize it is.\Don't you feel the same way?\I have fun running with you!\Me, too. In fact, I have more fun than Jota!\You what?\I was just speaking my mind. response:	Don't ruin the moment!
context: But I still haven't found the answer.\The more I run, the more difficult I realize it is.\Don't you feel the same way?\I have fun running with you!\Me, too. In fact, I have more fun than Jota!\You what?\I was just speaking my mind.\Don't ruin the moment! response:	Yeah, but...
context: The more I run, the more difficult I realize it is.\Don't you feel the same way?\I have fun running with you!\Me, too. In fact, I have more fun than Jota!\You what?\I was just speaking my mind.\Don't ruin the moment!\Yeah, but... response:	Me, too.
context: Don't you feel the same way?\I have fun running with you!\Me, too. In fact, I have more fun than Jota!\You what?\I was just speaking my mind.\Don't ruin the moment!\Yeah, but...\Me, too. response:	I enjoy running with you guys, from the bottom of my heart.
context: I have fun running with you!\Me, too. In fact, I have more fun than Jota!\You what?\I was just speaking my mind.\Don't ruin the moment!\Yeah, but...\Me, too.\I enjoy running with you guys, from the bottom of my heart. response:	Kakeru, the goal is still far ahead.
context: Me, too. In fact, I have more fun than Jota!\You what?\I was just speaking my mind.\Don't ruin the moment!\Yeah, but...\Me, too.\I enjoy running with you guys, from the bottom of my heart.\Kakeru, the goal is still far ahead. response:	Let's go there together.
context: You what?\I was just speaking my mind.\Don't ruin the moment!\Yeah, but...\Me, too.\I enjoy running with you guys, from the bottom of my heart.\Kakeru, the goal is still far ahead.\Let's go there together. response:	Hey!
context: I was just speaking my mind.\Don't ruin the moment!\Yeah, but...\Me, too.\I enjoy running with you guys, from the bottom of my heart.\Kakeru, the goal is still far ahead.\Let's go there together.\Hey! response:	Breakfast is getting cold!
context: Don't ruin the moment!\Yeah, but...\Me, too.\I enjoy running with you guys, from the bottom of my heart.\Kakeru, the goal is still far ahead.\Let's go there together.\Hey!\Breakfast is getting cold! response:	We'll be right there!
context: Yeah, but...\Me, too.\I enjoy running with you guys, from the bottom of my heart.\Kakeru, the goal is still far ahead.\Let's go there together.\Hey!\Breakfast is getting cold!\We'll be right there! response:	All right, that concludes our meeting.
context: Me, too.\I enjoy running with you guys, from the bottom of my heart.\Kakeru, the goal is still far ahead.\Let's go there together.\Hey!\Breakfast is getting cold!\We'll be right there!\All right, that concludes our meeting. response:	Sorry.
context: I enjoy running with you guys, from the bottom of my heart.\Kakeru, the goal is still far ahead.\Let's go there together.\Hey!\Breakfast is getting cold!\We'll be right there!\All right, that concludes our meeting.\Sorry. response:	For what?
context: Kakeru, the goal is still far ahead.\Let's go there together.\Hey!\Breakfast is getting cold!\We'll be right there!\All right, that concludes our meeting.\Sorry.\For what? response:	You don't need to apologize.
context: Let's go there together.\Hey!\Breakfast is getting cold!\We'll be right there!\All right, that concludes our meeting.\Sorry.\For what?\You don't need to apologize. response:	Thank you for believing in me.
