context: Cou-sama, are you awake? response:	I am... but it's not time to get up!
context: But those are only on lower floors.\The ones on the first floor are all deactivated.\Oh, Cou-sama!\Don't scare me like that!\But you have some business down here as well, right?\Yes. I wanted to fetch an item\that I wanted to give Rebecca for the return ritual.\I've stored some mementos down here. response:	I see.
context: The ones on the first floor are all deactivated.\Oh, Cou-sama!\Don't scare me like that!\But you have some business down here as well, right?\Yes. I wanted to fetch an item\that I wanted to give Rebecca for the return ritual.\I've stored some mementos down here.\I see. response:	And Rico, Noir,
context: Oh, Cou-sama!\Don't scare me like that!\But you have some business down here as well, right?\Yes. I wanted to fetch an item\that I wanted to give Rebecca for the return ritual.\I've stored some mementos down here.\I see.\And Rico, Noir, response:	you both have experienced the return ritual.
context: Don't scare me like that!\But you have some business down here as well, right?\Yes. I wanted to fetch an item\that I wanted to give Rebecca for the return ritual.\I've stored some mementos down here.\I see.\And Rico, Noir,\you both have experienced the return ritual. response:	I wanted to ask you to tell me a little about that.
context: But you have some business down here as well, right?\Yes. I wanted to fetch an item\that I wanted to give Rebecca for the return ritual.\I've stored some mementos down here.\I see.\And Rico, Noir,\you both have experienced the return ritual.\I wanted to ask you to tell me a little about that. response:	Oh, there it is!
context: Yes. I wanted to fetch an item\that I wanted to give Rebecca for the return ritual.\I've stored some mementos down here.\I see.\And Rico, Noir,\you both have experienced the return ritual.\I wanted to ask you to tell me a little about that.\Oh, there it is! response:	That jewel case.
context: that I wanted to give Rebecca for the return ritual.\I've stored some mementos down here.\I see.\And Rico, Noir,\you both have experienced the return ritual.\I wanted to ask you to tell me a little about that.\Oh, there it is!\That jewel case. response:	Let's take this first and...
context: I've stored some mementos down here.\I see.\And Rico, Noir,\you both have experienced the return ritual.\I wanted to ask you to tell me a little about that.\Oh, there it is!\That jewel case.\Let's take this first and... response:	Cou-sama!
context: I see.\And Rico, Noir,\you both have experienced the return ritual.\I wanted to ask you to tell me a little about that.\Oh, there it is!\That jewel case.\Let's take this first and...\Cou-sama! response:	Skyer!
context: And Rico, Noir,\you both have experienced the return ritual.\I wanted to ask you to tell me a little about that.\Oh, there it is!\That jewel case.\Let's take this first and...\Cou-sama!\Skyer! response:	Bright Power Release!
context: you both have experienced the return ritual.\I wanted to ask you to tell me a little about that.\Oh, there it is!\That jewel case.\Let's take this first and...\Cou-sama!\Skyer!\Bright Power Release! response:	Seven Tails!
context: I wanted to ask you to tell me a little about that.\Oh, there it is!\That jewel case.\Let's take this first and...\Cou-sama!\Skyer!\Bright Power Release!\Seven Tails! response:	Just in time...
context: Oh, there it is!\That jewel case.\Let's take this first and...\Cou-sama!\Skyer!\Bright Power Release!\Seven Tails!\Just in time... response:	Nicely done, Noir!
context: That jewel case.\Let's take this first and...\Cou-sama!\Skyer!\Bright Power Release!\Seven Tails!\Just in time...\Nicely done, Noir! response:	You saved us.
context: Let's take this first and...\Cou-sama!\Skyer!\Bright Power Release!\Seven Tails!\Just in time...\Nicely done, Noir!\You saved us. response:	That trap was active.
context: Cou-sama!\Skyer!\Bright Power Release!\Seven Tails!\Just in time...\Nicely done, Noir!\You saved us.\That trap was active. response:	Well, this place is quite old,
context: Skyer!\Bright Power Release!\Seven Tails!\Just in time...\Nicely done, Noir!\You saved us.\That trap was active.\Well, this place is quite old, response:	so it's bound to have some issues...
context: Bright Power Release!\Seven Tails!\Just in time...\Nicely done, Noir!\You saved us.\That trap was active.\Well, this place is quite old,\so it's bound to have some issues... response:	Where are we?
context: Seven Tails!\Just in time...\Nicely done, Noir!\You saved us.\That trap was active.\Well, this place is quite old,\so it's bound to have some issues...\Where are we? response:	I guess about ten levels lower.
context: Just in time...\Nicely done, Noir!\You saved us.\That trap was active.\Well, this place is quite old,\so it's bound to have some issues...\Where are we?\I guess about ten levels lower. response:	We only fell straight down.
context: Nicely done, Noir!\You saved us.\That trap was active.\Well, this place is quite old,\so it's bound to have some issues...\Where are we?\I guess about ten levels lower.\We only fell straight down. response:	If I use Skyer, it's easy to...
context: You saved us.\That trap was active.\Well, this place is quite old,\so it's bound to have some issues...\Where are we?\I guess about ten levels lower.\We only fell straight down.\If I use Skyer, it's easy to... response:	It closed.
context: That trap was active.\Well, this place is quite old,\so it's bound to have some issues...\Where are we?\I guess about ten levels lower.\We only fell straight down.\If I use Skyer, it's easy to...\It closed. response:	That means...
context: Well, this place is quite old,\so it's bound to have some issues...\Where are we?\I guess about ten levels lower.\We only fell straight down.\If I use Skyer, it's easy to...\It closed.\That means... response:	We're trapped!
context: so it's bound to have some issues...\Where are we?\I guess about ten levels lower.\We only fell straight down.\If I use Skyer, it's easy to...\It closed.\That means...\We're trapped! response:	There's a map!
context: Where are we?\I guess about ten levels lower.\We only fell straight down.\If I use Skyer, it's easy to...\It closed.\That means...\We're trapped!\There's a map! response:	If we check that, I'm sure we'll find the way out!
context: I guess about ten levels lower.\We only fell straight down.\If I use Skyer, it's easy to...\It closed.\That means...\We're trapped!\There's a map!\If we check that, I'm sure we'll find the way out! response:	A trap...
context: We only fell straight down.\If I use Skyer, it's easy to...\It closed.\That means...\We're trapped!\There's a map!\If we check that, I'm sure we'll find the way out!\A trap... response:	You two, be careful where you step.
context: If I use Skyer, it's easy to...\It closed.\That means...\We're trapped!\There's a map!\If we check that, I'm sure we'll find the way out!\A trap...\You two, be careful where you step. response:	Sorry, I should've kept my mouth shut.
context: It closed.\That means...\We're trapped!\There's a map!\If we check that, I'm sure we'll find the way out!\A trap...\You two, be careful where you step.\Sorry, I should've kept my mouth shut. response:	This maze is horrible.
context: That means...\We're trapped!\There's a map!\If we check that, I'm sure we'll find the way out!\A trap...\You two, be careful where you step.\Sorry, I should've kept my mouth shut.\This maze is horrible. response:	We have to get out of here.
context: We're trapped!\There's a map!\If we check that, I'm sure we'll find the way out!\A trap...\You two, be careful where you step.\Sorry, I should've kept my mouth shut.\This maze is horrible.\We have to get out of here. response:	This chair is perfect.
context: There's a map!\If we check that, I'm sure we'll find the way out!\A trap...\You two, be careful where you step.\Sorry, I should've kept my mouth shut.\This maze is horrible.\We have to get out of here.\This chair is perfect. response:	This sound...
context: If we check that, I'm sure we'll find the way out!\A trap...\You two, be careful where you step.\Sorry, I should've kept my mouth shut.\This maze is horrible.\We have to get out of here.\This chair is perfect.\This sound... response:	Could it be...
context: A trap...\You two, be careful where you step.\Sorry, I should've kept my mouth shut.\This maze is horrible.\We have to get out of here.\This chair is perfect.\This sound...\Could it be... response:	Could it be...
context: You two, be careful where you step.\Sorry, I should've kept my mouth shut.\This maze is horrible.\We have to get out of here.\This chair is perfect.\This sound...\Could it be...\Could it be... response:	I knew it!
context: Sorry, I should've kept my mouth shut.\This maze is horrible.\We have to get out of here.\This chair is perfect.\This sound...\Could it be...\Could it be...\I knew it! response:	Rebecca, is something wrong?
context: This maze is horrible.\We have to get out of here.\This chair is perfect.\This sound...\Could it be...\Could it be...\I knew it!\Rebecca, is something wrong? response:	No, it's nothing.
context: We have to get out of here.\This chair is perfect.\This sound...\Could it be...\Could it be...\I knew it!\Rebecca, is something wrong?\No, it's nothing. response:	Really?
context: This chair is perfect.\This sound...\Could it be...\Could it be...\I knew it!\Rebecca, is something wrong?\No, it's nothing.\Really? response:	Yes.
context: This sound...\Could it be...\Could it be...\I knew it!\Rebecca, is something wrong?\No, it's nothing.\Really?\Yes. response:	I wonder why I have this really bad feeling...
context: Could it be...\Could it be...\I knew it!\Rebecca, is something wrong?\No, it's nothing.\Really?\Yes.\I wonder why I have this really bad feeling... response:	A side path! We need a side path!
context: Could it be...\I knew it!\Rebecca, is something wrong?\No, it's nothing.\Really?\Yes.\I wonder why I have this really bad feeling...\A side path! We need a side path! response:	There are no intersections in sight, no matter how far we run!
context: I knew it!\Rebecca, is something wrong?\No, it's nothing.\Really?\Yes.\I wonder why I have this really bad feeling...\A side path! We need a side path!\There are no intersections in sight, no matter how far we run! response:	It's catching up to us!
context: Rebecca, is something wrong?\No, it's nothing.\Really?\Yes.\I wonder why I have this really bad feeling...\A side path! We need a side path!\There are no intersections in sight, no matter how far we run!\It's catching up to us! response:	Are you all okay?
context: No, it's nothing.\Really?\Yes.\I wonder why I have this really bad feeling...\A side path! We need a side path!\There are no intersections in sight, no matter how far we run!\It's catching up to us!\Are you all okay? response:	I'm alive...
context: Really?\Yes.\I wonder why I have this really bad feeling...\A side path! We need a side path!\There are no intersections in sight, no matter how far we run!\It's catching up to us!\Are you all okay?\I'm alive... response:	Is that Becky?
context: Yes.\I wonder why I have this really bad feeling...\A side path! We need a side path!\There are no intersections in sight, no matter how far we run!\It's catching up to us!\Are you all okay?\I'm alive...\Is that Becky? response:	Hey, Sink,
context: I wonder why I have this really bad feeling...\A side path! We need a side path!\There are no intersections in sight, no matter how far we run!\It's catching up to us!\Are you all okay?\I'm alive...\Is that Becky?\Hey, Sink, response:	did Cou-sama and the others get there already?
context: A side path! We need a side path!\There are no intersections in sight, no matter how far we run!\It's catching up to us!\Are you all okay?\I'm alive...\Is that Becky?\Hey, Sink,\did Cou-sama and the others get there already? response:	Not yet...
context: There are no intersections in sight, no matter how far we run!\It's catching up to us!\Are you all okay?\I'm alive...\Is that Becky?\Hey, Sink,\did Cou-sama and the others get there already?\Not yet... response:	That's weird.
context: It's catching up to us!\Are you all okay?\I'm alive...\Is that Becky?\Hey, Sink,\did Cou-sama and the others get there already?\Not yet...\That's weird. response:	It shouldn't take that long...
context: Are you all okay?\I'm alive...\Is that Becky?\Hey, Sink,\did Cou-sama and the others get there already?\Not yet...\That's weird.\It shouldn't take that long... response:	What?
context: I'm alive...\Is that Becky?\Hey, Sink,\did Cou-sama and the others get there already?\Not yet...\That's weird.\It shouldn't take that long...\What? response:	Under the castle?
context: Is that Becky?\Hey, Sink,\did Cou-sama and the others get there already?\Not yet...\That's weird.\It shouldn't take that long...\What?\Under the castle? response:	Yes, she was going to the treasure vault under the castle.
context: Hey, Sink,\did Cou-sama and the others get there already?\Not yet...\That's weird.\It shouldn't take that long...\What?\Under the castle?\Yes, she was going to the treasure vault under the castle. response:	Treasure vault?
context: did Cou-sama and the others get there already?\Not yet...\That's weird.\It shouldn't take that long...\What?\Under the castle?\Yes, she was going to the treasure vault under the castle.\Treasure vault? response:	That's the maze I used when
context: Not yet...\That's weird.\It shouldn't take that long...\What?\Under the castle?\Yes, she was going to the treasure vault under the castle.\Treasure vault?\That's the maze I used when response:	I was still doing my Demon King thing.
context: That's weird.\It shouldn't take that long...\What?\Under the castle?\Yes, she was going to the treasure vault under the castle.\Treasure vault?\That's the maze I used when\I was still doing my Demon King thing. response:	It's a dark and intense final dungeon
context: It shouldn't take that long...\What?\Under the castle?\Yes, she was going to the treasure vault under the castle.\Treasure vault?\That's the maze I used when\I was still doing my Demon King thing.\It's a dark and intense final dungeon response:	that's filled with brutal traps.
context: What?\Under the castle?\Yes, she was going to the treasure vault under the castle.\Treasure vault?\That's the maze I used when\I was still doing my Demon King thing.\It's a dark and intense final dungeon\that's filled with brutal traps. response:	What?!
context: Under the castle?\Yes, she was going to the treasure vault under the castle.\Treasure vault?\That's the maze I used when\I was still doing my Demon King thing.\It's a dark and intense final dungeon\that's filled with brutal traps.\What?! response:	Of course the traps are all deactivated.
context: Yes, she was going to the treasure vault under the castle.\Treasure vault?\That's the maze I used when\I was still doing my Demon King thing.\It's a dark and intense final dungeon\that's filled with brutal traps.\What?!\Of course the traps are all deactivated. response:	But that place is really old, so...
context: Treasure vault?\That's the maze I used when\I was still doing my Demon King thing.\It's a dark and intense final dungeon\that's filled with brutal traps.\What?!\Of course the traps are all deactivated.\But that place is really old, so... response:	Becky!
context: That's the maze I used when\I was still doing my Demon King thing.\It's a dark and intense final dungeon\that's filled with brutal traps.\What?!\Of course the traps are all deactivated.\But that place is really old, so...\Becky! response:	Yes!
context: I was still doing my Demon King thing.\It's a dark and intense final dungeon\that's filled with brutal traps.\What?!\Of course the traps are all deactivated.\But that place is really old, so...\Becky!\Yes! response:	Is this a dead end?
context: It's a dark and intense final dungeon\that's filled with brutal traps.\What?!\Of course the traps are all deactivated.\But that place is really old, so...\Becky!\Yes!\Is this a dead end? response:	Let's take a breather, I'm a bit tired.
context: that's filled with brutal traps.\What?!\Of course the traps are all deactivated.\But that place is really old, so...\Becky!\Yes!\Is this a dead end?\Let's take a breather, I'm a bit tired. response:	I agree.
context: What?!\Of course the traps are all deactivated.\But that place is really old, so...\Becky!\Yes!\Is this a dead end?\Let's take a breather, I'm a bit tired.\I agree. response:	Rico, Noir, I'm really sorry.
context: Of course the traps are all deactivated.\But that place is really old, so...\Becky!\Yes!\Is this a dead end?\Let's take a breather, I'm a bit tired.\I agree.\Rico, Noir, I'm really sorry. response:	This happened because I invited you here.
context: But that place is really old, so...\Becky!\Yes!\Is this a dead end?\Let's take a breather, I'm a bit tired.\I agree.\Rico, Noir, I'm really sorry.\This happened because I invited you here. response:	Cou-sama, that's not true.
context: Becky!\Yes!\Is this a dead end?\Let's take a breather, I'm a bit tired.\I agree.\Rico, Noir, I'm really sorry.\This happened because I invited you here.\Cou-sama, that's not true. response:	We're the ones who wanted to come here, anyway.
context: Yes!\Is this a dead end?\Let's take a breather, I'm a bit tired.\I agree.\Rico, Noir, I'm really sorry.\This happened because I invited you here.\Cou-sama, that's not true.\We're the ones who wanted to come here, anyway. response:	But if I had been more careful,
context: Is this a dead end?\Let's take a breather, I'm a bit tired.\I agree.\Rico, Noir, I'm really sorry.\This happened because I invited you here.\Cou-sama, that's not true.\We're the ones who wanted to come here, anyway.\But if I had been more careful, response:	if I had properly maintained this place...
context: Let's take a breather, I'm a bit tired.\I agree.\Rico, Noir, I'm really sorry.\This happened because I invited you here.\Cou-sama, that's not true.\We're the ones who wanted to come here, anyway.\But if I had been more careful,\if I had properly maintained this place... response:	Well, then I could have also
context: I agree.\Rico, Noir, I'm really sorry.\This happened because I invited you here.\Cou-sama, that's not true.\We're the ones who wanted to come here, anyway.\But if I had been more careful,\if I had properly maintained this place...\Well, then I could have also response:	caught you two with my Seven Tails before you fell.
context: Rico, Noir, I'm really sorry.\This happened because I invited you here.\Cou-sama, that's not true.\We're the ones who wanted to come here, anyway.\But if I had been more careful,\if I had properly maintained this place...\Well, then I could have also\caught you two with my Seven Tails before you fell. response:	And I should have noticed the trap on the floor.
context: This happened because I invited you here.\Cou-sama, that's not true.\We're the ones who wanted to come here, anyway.\But if I had been more careful,\if I had properly maintained this place...\Well, then I could have also\caught you two with my Seven Tails before you fell.\And I should have noticed the trap on the floor. response:	But...
context: Cou-sama, that's not true.\We're the ones who wanted to come here, anyway.\But if I had been more careful,\if I had properly maintained this place...\Well, then I could have also\caught you two with my Seven Tails before you fell.\And I should have noticed the trap on the floor.\But... response:	We're fine.
context: We're the ones who wanted to come here, anyway.\But if I had been more careful,\if I had properly maintained this place...\Well, then I could have also\caught you two with my Seven Tails before you fell.\And I should have noticed the trap on the floor.\But...\We're fine. response:	We're below the castle,
context: But if I had been more careful,\if I had properly maintained this place...\Well, then I could have also\caught you two with my Seven Tails before you fell.\And I should have noticed the trap on the floor.\But...\We're fine.\We're below the castle, response:	so someone's bound to come save us soon.
context: if I had properly maintained this place...\Well, then I could have also\caught you two with my Seven Tails before you fell.\And I should have noticed the trap on the floor.\But...\We're fine.\We're below the castle,\so someone's bound to come save us soon. response:	Right!
context: Well, then I could have also\caught you two with my Seven Tails before you fell.\And I should have noticed the trap on the floor.\But...\We're fine.\We're below the castle,\so someone's bound to come save us soon.\Right! response:	Anyway, let's take a rest.
context: caught you two with my Seven Tails before you fell.\And I should have noticed the trap on the floor.\But...\We're fine.\We're below the castle,\so someone's bound to come save us soon.\Right!\Anyway, let's take a rest. response:	Oh that reminds me, Cou-sama.
context: And I should have noticed the trap on the floor.\But...\We're fine.\We're below the castle,\so someone's bound to come save us soon.\Right!\Anyway, let's take a rest.\Oh that reminds me, Cou-sama. response:	What did you want to know about the return ritual?
context: But...\We're fine.\We're below the castle,\so someone's bound to come save us soon.\Right!\Anyway, let's take a rest.\Oh that reminds me, Cou-sama.\What did you want to know about the return ritual? response:	Oh, yes... Did you feel sad when
context: We're fine.\We're below the castle,\so someone's bound to come save us soon.\Right!\Anyway, let's take a rest.\Oh that reminds me, Cou-sama.\What did you want to know about the return ritual?\Oh, yes... Did you feel sad when response:	you had to say good bye to your Hero?
context: We're below the castle,\so someone's bound to come save us soon.\Right!\Anyway, let's take a rest.\Oh that reminds me, Cou-sama.\What did you want to know about the return ritual?\Oh, yes... Did you feel sad when\you had to say good bye to your Hero? response:	Or... did you maybe feel worried...
context: so someone's bound to come save us soon.\Right!\Anyway, let's take a rest.\Oh that reminds me, Cou-sama.\What did you want to know about the return ritual?\Oh, yes... Did you feel sad when\you had to say good bye to your Hero?\Or... did you maybe feel worried... response:	and stuff like that...
context: Right!\Anyway, let's take a rest.\Oh that reminds me, Cou-sama.\What did you want to know about the return ritual?\Oh, yes... Did you feel sad when\you had to say good bye to your Hero?\Or... did you maybe feel worried...\and stuff like that... response:	Of course I felt sad and lonely,
context: Anyway, let's take a rest.\Oh that reminds me, Cou-sama.\What did you want to know about the return ritual?\Oh, yes... Did you feel sad when\you had to say good bye to your Hero?\Or... did you maybe feel worried...\and stuff like that...\Of course I felt sad and lonely, response:	and I cried and cried.
context: Oh that reminds me, Cou-sama.\What did you want to know about the return ritual?\Oh, yes... Did you feel sad when\you had to say good bye to your Hero?\Or... did you maybe feel worried...\and stuff like that...\Of course I felt sad and lonely,\and I cried and cried. response:	The last return was difficult on many levels.
context: What did you want to know about the return ritual?\Oh, yes... Did you feel sad when\you had to say good bye to your Hero?\Or... did you maybe feel worried...\and stuff like that...\Of course I felt sad and lonely,\and I cried and cried.\The last return was difficult on many levels. response:	I heard a bit about that.
context: Oh, yes... Did you feel sad when\you had to say good bye to your Hero?\Or... did you maybe feel worried...\and stuff like that...\Of course I felt sad and lonely,\and I cried and cried.\The last return was difficult on many levels.\I heard a bit about that. response:	But when I heard that we would meet again,
context: you had to say good bye to your Hero?\Or... did you maybe feel worried...\and stuff like that...\Of course I felt sad and lonely,\and I cried and cried.\The last return was difficult on many levels.\I heard a bit about that.\But when I heard that we would meet again, response:	all my lonely feelings just flew away!
context: Or... did you maybe feel worried...\and stuff like that...\Of course I felt sad and lonely,\and I cried and cried.\The last return was difficult on many levels.\I heard a bit about that.\But when I heard that we would meet again,\all my lonely feelings just flew away! response:	I'm also sad that Nanami and Sink are leaving,
context: and stuff like that...\Of course I felt sad and lonely,\and I cried and cried.\The last return was difficult on many levels.\I heard a bit about that.\But when I heard that we would meet again,\all my lonely feelings just flew away!\I'm also sad that Nanami and Sink are leaving, response:	but we really can meet again whenever we want.
context: Of course I felt sad and lonely,\and I cried and cried.\The last return was difficult on many levels.\I heard a bit about that.\But when I heard that we would meet again,\all my lonely feelings just flew away!\I'm also sad that Nanami and Sink are leaving,\but we really can meet again whenever we want. response:	Even knowing that, I'm still worried.
context: and I cried and cried.\The last return was difficult on many levels.\I heard a bit about that.\But when I heard that we would meet again,\all my lonely feelings just flew away!\I'm also sad that Nanami and Sink are leaving,\but we really can meet again whenever we want.\Even knowing that, I'm still worried. response:	Rebecca lives in a far away world.
context: The last return was difficult on many levels.\I heard a bit about that.\But when I heard that we would meet again,\all my lonely feelings just flew away!\I'm also sad that Nanami and Sink are leaving,\but we really can meet again whenever we want.\Even knowing that, I'm still worried.\Rebecca lives in a far away world. response:	There are many fun things in her home world,
context: I heard a bit about that.\But when I heard that we would meet again,\all my lonely feelings just flew away!\I'm also sad that Nanami and Sink are leaving,\but we really can meet again whenever we want.\Even knowing that, I'm still worried.\Rebecca lives in a far away world.\There are many fun things in her home world, response:	a lot of people who are important to her...
context: But when I heard that we would meet again,\all my lonely feelings just flew away!\I'm also sad that Nanami and Sink are leaving,\but we really can meet again whenever we want.\Even knowing that, I'm still worried.\Rebecca lives in a far away world.\There are many fun things in her home world,\a lot of people who are important to her... response:	I worry that she'll forget about me after a while.
context: all my lonely feelings just flew away!\I'm also sad that Nanami and Sink are leaving,\but we really can meet again whenever we want.\Even knowing that, I'm still worried.\Rebecca lives in a far away world.\There are many fun things in her home world,\a lot of people who are important to her...\I worry that she'll forget about me after a while. response:	Cou-sama...
context: I'm also sad that Nanami and Sink are leaving,\but we really can meet again whenever we want.\Even knowing that, I'm still worried.\Rebecca lives in a far away world.\There are many fun things in her home world,\a lot of people who are important to her...\I worry that she'll forget about me after a while.\Cou-sama... response:	I know. Rebecca is a kind girl.
context: but we really can meet again whenever we want.\Even knowing that, I'm still worried.\Rebecca lives in a far away world.\There are many fun things in her home world,\a lot of people who are important to her...\I worry that she'll forget about me after a while.\Cou-sama...\I know. Rebecca is a kind girl. response:	I know that won't happen.
context: Even knowing that, I'm still worried.\Rebecca lives in a far away world.\There are many fun things in her home world,\a lot of people who are important to her...\I worry that she'll forget about me after a while.\Cou-sama...\I know. Rebecca is a kind girl.\I know that won't happen. response:	But I still feel really sad about
context: Rebecca lives in a far away world.\There are many fun things in her home world,\a lot of people who are important to her...\I worry that she'll forget about me after a while.\Cou-sama...\I know. Rebecca is a kind girl.\I know that won't happen.\But I still feel really sad about response:	having to part with her.
context: There are many fun things in her home world,\a lot of people who are important to her...\I worry that she'll forget about me after a while.\Cou-sama...\I know. Rebecca is a kind girl.\I know that won't happen.\But I still feel really sad about\having to part with her. response:	I don't have enough faith...
context: a lot of people who are important to her...\I worry that she'll forget about me after a while.\Cou-sama...\I know. Rebecca is a kind girl.\I know that won't happen.\But I still feel really sad about\having to part with her.\I don't have enough faith... response:	Just laugh at me for being a feeble fledgling ruler.
context: I worry that she'll forget about me after a while.\Cou-sama...\I know. Rebecca is a kind girl.\I know that won't happen.\But I still feel really sad about\having to part with her.\I don't have enough faith...\Just laugh at me for being a feeble fledgling ruler. response:	We'd never laugh at you.
context: Cou-sama...\I know. Rebecca is a kind girl.\I know that won't happen.\But I still feel really sad about\having to part with her.\I don't have enough faith...\Just laugh at me for being a feeble fledgling ruler.\We'd never laugh at you. response:	There's nobody in the world
context: I know. Rebecca is a kind girl.\I know that won't happen.\But I still feel really sad about\having to part with her.\I don't have enough faith...\Just laugh at me for being a feeble fledgling ruler.\We'd never laugh at you.\There's nobody in the world response:	who wouldn't feel sad
context: I know that won't happen.\But I still feel really sad about\having to part with her.\I don't have enough faith...\Just laugh at me for being a feeble fledgling ruler.\We'd never laugh at you.\There's nobody in the world\who wouldn't feel sad response:	when they have to part with someone they love.
context: But I still feel really sad about\having to part with her.\I don't have enough faith...\Just laugh at me for being a feeble fledgling ruler.\We'd never laugh at you.\There's nobody in the world\who wouldn't feel sad\when they have to part with someone they love. response:	Okay, Rico. The break's over.
context: having to part with her.\I don't have enough faith...\Just laugh at me for being a feeble fledgling ruler.\We'd never laugh at you.\There's nobody in the world\who wouldn't feel sad\when they have to part with someone they love.\Okay, Rico. The break's over. response:	Right!
context: I don't have enough faith...\Just laugh at me for being a feeble fledgling ruler.\We'd never laugh at you.\There's nobody in the world\who wouldn't feel sad\when they have to part with someone they love.\Okay, Rico. The break's over.\Right! response:	We need to make sure that you
context: Just laugh at me for being a feeble fledgling ruler.\We'd never laugh at you.\There's nobody in the world\who wouldn't feel sad\when they have to part with someone they love.\Okay, Rico. The break's over.\Right!\We need to make sure that you response:	can spend as much time as possible
context: We'd never laugh at you.\There's nobody in the world\who wouldn't feel sad\when they have to part with someone they love.\Okay, Rico. The break's over.\Right!\We need to make sure that you\can spend as much time as possible response:	with Rebecca before she has to leave!
context: There's nobody in the world\who wouldn't feel sad\when they have to part with someone they love.\Okay, Rico. The break's over.\Right!\We need to make sure that you\can spend as much time as possible\with Rebecca before she has to leave! response:	So we're getting out of here.
context: who wouldn't feel sad\when they have to part with someone they love.\Okay, Rico. The break's over.\Right!\We need to make sure that you\can spend as much time as possible\with Rebecca before she has to leave!\So we're getting out of here. response:	Rico... Noir...
context: when they have to part with someone they love.\Okay, Rico. The break's over.\Right!\We need to make sure that you\can spend as much time as possible\with Rebecca before she has to leave!\So we're getting out of here.\Rico... Noir... response:	Now...
context: Okay, Rico. The break's over.\Right!\We need to make sure that you\can spend as much time as possible\with Rebecca before she has to leave!\So we're getting out of here.\Rico... Noir...\Now... response:	That's not fair! Just when I was being cool!
context: Right!\We need to make sure that you\can spend as much time as possible\with Rebecca before she has to leave!\So we're getting out of here.\Rico... Noir...\Now...\That's not fair! Just when I was being cool! response:	First, we have to esc-
context: We need to make sure that you\can spend as much time as possible\with Rebecca before she has to leave!\So we're getting out of here.\Rico... Noir...\Now...\That's not fair! Just when I was being cool!\First, we have to esc- response:	We can't...
context: can spend as much time as possible\with Rebecca before she has to leave!\So we're getting out of here.\Rico... Noir...\Now...\That's not fair! Just when I was being cool!\First, we have to esc-\We can't... response:	You two, up there!
context: with Rebecca before she has to leave!\So we're getting out of here.\Rico... Noir...\Now...\That's not fair! Just when I was being cool!\First, we have to esc-\We can't...\You two, up there! response:	I am going to do something about this.
context: So we're getting out of here.\Rico... Noir...\Now...\That's not fair! Just when I was being cool!\First, we have to esc-\We can't...\You two, up there!\I am going to do something about this. response:	I am not going to let my best friends get hurt!
context: Rico... Noir...\Now...\That's not fair! Just when I was being cool!\First, we have to esc-\We can't...\You two, up there!\I am going to do something about this.\I am not going to let my best friends get hurt! response:	I've located the Crimaris.
context: Now...\That's not fair! Just when I was being cool!\First, we have to esc-\We can't...\You two, up there!\I am going to do something about this.\I am not going to let my best friends get hurt!\I've located the Crimaris. response:	The trap's been temporarily stopped,
context: That's not fair! Just when I was being cool!\First, we have to esc-\We can't...\You two, up there!\I am going to do something about this.\I am not going to let my best friends get hurt!\I've located the Crimaris.\The trap's been temporarily stopped, response:	but it won't last long.
context: First, we have to esc-\We can't...\You two, up there!\I am going to do something about this.\I am not going to let my best friends get hurt!\I've located the Crimaris.\The trap's been temporarily stopped,\but it won't last long. response:	Sink, Rebecca, please get them out!
context: We can't...\You two, up there!\I am going to do something about this.\I am not going to let my best friends get hurt!\I've located the Crimaris.\The trap's been temporarily stopped,\but it won't last long.\Sink, Rebecca, please get them out! response:	Right!
context: You two, up there!\I am going to do something about this.\I am not going to let my best friends get hurt!\I've located the Crimaris.\The trap's been temporarily stopped,\but it won't last long.\Sink, Rebecca, please get them out!\Right! response:	Hey, take this!
context: I am going to do something about this.\I am not going to let my best friends get hurt!\I've located the Crimaris.\The trap's been temporarily stopped,\but it won't last long.\Sink, Rebecca, please get them out!\Right!\Hey, take this! response:	What is this?
context: I am not going to let my best friends get hurt!\I've located the Crimaris.\The trap's been temporarily stopped,\but it won't last long.\Sink, Rebecca, please get them out!\Right!\Hey, take this!\What is this? response:	A Demon God Crystal.
context: I've located the Crimaris.\The trap's been temporarily stopped,\but it won't last long.\Sink, Rebecca, please get them out!\Right!\Hey, take this!\What is this?\A Demon God Crystal. response:	Simply put, it's the Demon King's version
context: The trap's been temporarily stopped,\but it won't last long.\Sink, Rebecca, please get them out!\Right!\Hey, take this!\What is this?\A Demon God Crystal.\Simply put, it's the Demon King's version response:	of the Hero Crystal.
context: but it won't last long.\Sink, Rebecca, please get them out!\Right!\Hey, take this!\What is this?\A Demon God Crystal.\Simply put, it's the Demon King's version\of the Hero Crystal. response:	I'm sure you'll be able to use it well.
context: Sink, Rebecca, please get them out!\Right!\Hey, take this!\What is this?\A Demon God Crystal.\Simply put, it's the Demon King's version\of the Hero Crystal.\I'm sure you'll be able to use it well. response:	I'll do my best!
context: Right!\Hey, take this!\What is this?\A Demon God Crystal.\Simply put, it's the Demon King's version\of the Hero Crystal.\I'm sure you'll be able to use it well.\I'll do my best! response:	Hero Teleport!
context: Hey, take this!\What is this?\A Demon God Crystal.\Simply put, it's the Demon King's version\of the Hero Crystal.\I'm sure you'll be able to use it well.\I'll do my best!\Hero Teleport! response:	It's falling again!
