context: I like your eyes the most. response:	Your Majesty, don't make fun of me.
context: After I killed it\this place was made into the Celestial Tribe's restricted area.\I am sorry, Your Highness.\I did not know I trespassed on to restricted land.\There is nobody on Mount Junji. You need not search anymore.\Does Your Highness know why I am here?\The Jade Purity Fan of Kunlun you're holding\is a Kunlun Mountain artifact. response:	Is Si Yin the one you are searching for?
context: this place was made into the Celestial Tribe's restricted area.\I am sorry, Your Highness.\I did not know I trespassed on to restricted land.\There is nobody on Mount Junji. You need not search anymore.\Does Your Highness know why I am here?\The Jade Purity Fan of Kunlun you're holding\is a Kunlun Mountain artifact.\Is Si Yin the one you are searching for? response:	Does Your Highness know of Si Yin's whereabouts?
context: I am sorry, Your Highness.\I did not know I trespassed on to restricted land.\There is nobody on Mount Junji. You need not search anymore.\Does Your Highness know why I am here?\The Jade Purity Fan of Kunlun you're holding\is a Kunlun Mountain artifact.\Is Si Yin the one you are searching for?\Does Your Highness know of Si Yin's whereabouts? response:	I only know that after the war 70,000 years ago
context: I did not know I trespassed on to restricted land.\There is nobody on Mount Junji. You need not search anymore.\Does Your Highness know why I am here?\The Jade Purity Fan of Kunlun you're holding\is a Kunlun Mountain artifact.\Is Si Yin the one you are searching for?\Does Your Highness know of Si Yin's whereabouts?\I only know that after the war 70,000 years ago response:	Si Yin left with Mo Yuan to live in seclusion.
context: There is nobody on Mount Junji. You need not search anymore.\Does Your Highness know why I am here?\The Jade Purity Fan of Kunlun you're holding\is a Kunlun Mountain artifact.\Is Si Yin the one you are searching for?\Does Your Highness know of Si Yin's whereabouts?\I only know that after the war 70,000 years ago\Si Yin left with Mo Yuan to live in seclusion. response:	This remains a complicated matter.
context: Does Your Highness know why I am here?\The Jade Purity Fan of Kunlun you're holding\is a Kunlun Mountain artifact.\Is Si Yin the one you are searching for?\Does Your Highness know of Si Yin's whereabouts?\I only know that after the war 70,000 years ago\Si Yin left with Mo Yuan to live in seclusion.\This remains a complicated matter. response:	I still have yet to believe it.
context: The Jade Purity Fan of Kunlun you're holding\is a Kunlun Mountain artifact.\Is Si Yin the one you are searching for?\Does Your Highness know of Si Yin's whereabouts?\I only know that after the war 70,000 years ago\Si Yin left with Mo Yuan to live in seclusion.\This remains a complicated matter.\I still have yet to believe it. response:	Farewell.
context: is a Kunlun Mountain artifact.\Is Si Yin the one you are searching for?\Does Your Highness know of Si Yin's whereabouts?\I only know that after the war 70,000 years ago\Si Yin left with Mo Yuan to live in seclusion.\This remains a complicated matter.\I still have yet to believe it.\Farewell. response:	Wait.
context: Is Si Yin the one you are searching for?\Does Your Highness know of Si Yin's whereabouts?\I only know that after the war 70,000 years ago\Si Yin left with Mo Yuan to live in seclusion.\This remains a complicated matter.\I still have yet to believe it.\Farewell.\Wait. response:	What orders do you have, Your Highness?
context: Does Your Highness know of Si Yin's whereabouts?\I only know that after the war 70,000 years ago\Si Yin left with Mo Yuan to live in seclusion.\This remains a complicated matter.\I still have yet to believe it.\Farewell.\Wait.\What orders do you have, Your Highness? response:	The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.
context: I only know that after the war 70,000 years ago\Si Yin left with Mo Yuan to live in seclusion.\This remains a complicated matter.\I still have yet to believe it.\Farewell.\Wait.\What orders do you have, Your Highness?\The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact. response:	It should be returned to the Celestial Tribe.
context: Si Yin left with Mo Yuan to live in seclusion.\This remains a complicated matter.\I still have yet to believe it.\Farewell.\Wait.\What orders do you have, Your Highness?\The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.\It should be returned to the Celestial Tribe. response:	Farewell.
context: This remains a complicated matter.\I still have yet to believe it.\Farewell.\Wait.\What orders do you have, Your Highness?\The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.\It should be returned to the Celestial Tribe.\Farewell. response:	- What do I do? - All right, allow me.
context: I still have yet to believe it.\Farewell.\Wait.\What orders do you have, Your Highness?\The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.\It should be returned to the Celestial Tribe.\Farewell.\- What do I do? - All right, allow me. response:	There wasn't much rice to begin with and now it's gone to waste again.
context: Farewell.\Wait.\What orders do you have, Your Highness?\The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.\It should be returned to the Celestial Tribe.\Farewell.\- What do I do? - All right, allow me.\There wasn't much rice to begin with and now it's gone to waste again. response:	It's all right. When my injuries are better, I'll find a way to get food.
context: Wait.\What orders do you have, Your Highness?\The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.\It should be returned to the Celestial Tribe.\Farewell.\- What do I do? - All right, allow me.\There wasn't much rice to begin with and now it's gone to waste again.\It's all right. When my injuries are better, I'll find a way to get food. response:	If you don't get better soon, I'll have to starve with you.
context: What orders do you have, Your Highness?\The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.\It should be returned to the Celestial Tribe.\Farewell.\- What do I do? - All right, allow me.\There wasn't much rice to begin with and now it's gone to waste again.\It's all right. When my injuries are better, I'll find a way to get food.\If you don't get better soon, I'll have to starve with you. response:	Why am I sleeping on the bed?
context: The Jade Purity Fan of Kunlun is a Kunlun Mountain artifact.\It should be returned to the Celestial Tribe.\Farewell.\- What do I do? - All right, allow me.\There wasn't much rice to begin with and now it's gone to waste again.\It's all right. When my injuries are better, I'll find a way to get food.\If you don't get better soon, I'll have to starve with you.\Why am I sleeping on the bed? response:	You always sleep until the middle of the night and climb in.
context: It should be returned to the Celestial Tribe.\Farewell.\- What do I do? - All right, allow me.\There wasn't much rice to begin with and now it's gone to waste again.\It's all right. When my injuries are better, I'll find a way to get food.\If you don't get better soon, I'll have to starve with you.\Why am I sleeping on the bed?\You always sleep until the middle of the night and climb in. response:	I am hampered by severe injuries and naturally could not stop you.
context: Farewell.\- What do I do? - All right, allow me.\There wasn't much rice to begin with and now it's gone to waste again.\It's all right. When my injuries are better, I'll find a way to get food.\If you don't get better soon, I'll have to starve with you.\Why am I sleeping on the bed?\You always sleep until the middle of the night and climb in.\I am hampered by severe injuries and naturally could not stop you. response:	Then...
context: - What do I do? - All right, allow me.\There wasn't much rice to begin with and now it's gone to waste again.\It's all right. When my injuries are better, I'll find a way to get food.\If you don't get better soon, I'll have to starve with you.\Why am I sleeping on the bed?\You always sleep until the middle of the night and climb in.\I am hampered by severe injuries and naturally could not stop you.\Then... response:	I also chose to hold you?
context: There wasn't much rice to begin with and now it's gone to waste again.\It's all right. When my injuries are better, I'll find a way to get food.\If you don't get better soon, I'll have to starve with you.\Why am I sleeping on the bed?\You always sleep until the middle of the night and climb in.\I am hampered by severe injuries and naturally could not stop you.\Then...\I also chose to hold you? response:	Yes.
context: It's all right. When my injuries are better, I'll find a way to get food.\If you don't get better soon, I'll have to starve with you.\Why am I sleeping on the bed?\You always sleep until the middle of the night and climb in.\I am hampered by severe injuries and naturally could not stop you.\Then...\I also chose to hold you?\Yes. response:	- Then... - Don't move.
context: If you don't get better soon, I'll have to starve with you.\Why am I sleeping on the bed?\You always sleep until the middle of the night and climb in.\I am hampered by severe injuries and naturally could not stop you.\Then...\I also chose to hold you?\Yes.\- Then... - Don't move. response:	Did I bump into your injury?
context: Why am I sleeping on the bed?\You always sleep until the middle of the night and climb in.\I am hampered by severe injuries and naturally could not stop you.\Then...\I also chose to hold you?\Yes.\- Then... - Don't move.\Did I bump into your injury? response:	Are you asleep?
context: You always sleep until the middle of the night and climb in.\I am hampered by severe injuries and naturally could not stop you.\Then...\I also chose to hold you?\Yes.\- Then... - Don't move.\Did I bump into your injury?\Are you asleep? response:	Your Highness.
context: I am hampered by severe injuries and naturally could not stop you.\Then...\I also chose to hold you?\Yes.\- Then... - Don't move.\Did I bump into your injury?\Are you asleep?\Your Highness. response:	What are you doing?
context: Then...\I also chose to hold you?\Yes.\- Then... - Don't move.\Did I bump into your injury?\Are you asleep?\Your Highness.\What are you doing? response:	Trimming peach blossom branches for a vase arrangement.
context: I also chose to hold you?\Yes.\- Then... - Don't move.\Did I bump into your injury?\Are you asleep?\Your Highness.\What are you doing?\Trimming peach blossom branches for a vase arrangement. response:	How nice.
context: Yes.\- Then... - Don't move.\Did I bump into your injury?\Are you asleep?\Your Highness.\What are you doing?\Trimming peach blossom branches for a vase arrangement.\How nice. response:	I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.
context: - Then... - Don't move.\Did I bump into your injury?\Are you asleep?\Your Highness.\What are you doing?\Trimming peach blossom branches for a vase arrangement.\How nice.\I heard Zhe Yan of Qing Qiu planted ten miles of peach trees. response:	It seems Your Highness hasn't admired them enough
context: Did I bump into your injury?\Are you asleep?\Your Highness.\What are you doing?\Trimming peach blossom branches for a vase arrangement.\How nice.\I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.\It seems Your Highness hasn't admired them enough response:	and came to Taichen Palace to trim these peach blossoms.
context: Are you asleep?\Your Highness.\What are you doing?\Trimming peach blossom branches for a vase arrangement.\How nice.\I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.\It seems Your Highness hasn't admired them enough\and came to Taichen Palace to trim these peach blossoms. response:	Don't make fun of me.
context: Your Highness.\What are you doing?\Trimming peach blossom branches for a vase arrangement.\How nice.\I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.\It seems Your Highness hasn't admired them enough\and came to Taichen Palace to trim these peach blossoms.\Don't make fun of me. response:	Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.
context: What are you doing?\Trimming peach blossom branches for a vase arrangement.\How nice.\I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.\It seems Your Highness hasn't admired them enough\and came to Taichen Palace to trim these peach blossoms.\Don't make fun of me.\Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun. response:	I'm ordered around all day.
context: Trimming peach blossom branches for a vase arrangement.\How nice.\I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.\It seems Your Highness hasn't admired them enough\and came to Taichen Palace to trim these peach blossoms.\Don't make fun of me.\Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.\I'm ordered around all day. response:	I've forgotten what I came here for in the first place.
context: How nice.\I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.\It seems Your Highness hasn't admired them enough\and came to Taichen Palace to trim these peach blossoms.\Don't make fun of me.\Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.\I'm ordered around all day.\I've forgotten what I came here for in the first place. response:	Dijun is in Taichen Palace. He just rarely comes out.
context: I heard Zhe Yan of Qing Qiu planted ten miles of peach trees.\It seems Your Highness hasn't admired them enough\and came to Taichen Palace to trim these peach blossoms.\Don't make fun of me.\Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.\I'm ordered around all day.\I've forgotten what I came here for in the first place.\Dijun is in Taichen Palace. He just rarely comes out. response:	Why is that?
context: It seems Your Highness hasn't admired them enough\and came to Taichen Palace to trim these peach blossoms.\Don't make fun of me.\Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.\I'm ordered around all day.\I've forgotten what I came here for in the first place.\Dijun is in Taichen Palace. He just rarely comes out.\Why is that? response:	Is he shunned by others in the Celestial Palace?
context: and came to Taichen Palace to trim these peach blossoms.\Don't make fun of me.\Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.\I'm ordered around all day.\I've forgotten what I came here for in the first place.\Dijun is in Taichen Palace. He just rarely comes out.\Why is that?\Is he shunned by others in the Celestial Palace? response:	Your Highness is very funny.
context: Don't make fun of me.\Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.\I'm ordered around all day.\I've forgotten what I came here for in the first place.\Dijun is in Taichen Palace. He just rarely comes out.\Why is that?\Is he shunned by others in the Celestial Palace?\Your Highness is very funny. response:	Do you know how others in the Celestial Palace assess Dijun?
context: Ever since I entered Taichen Palace, I haven't even seen the shadow of Dijun.\I'm ordered around all day.\I've forgotten what I came here for in the first place.\Dijun is in Taichen Palace. He just rarely comes out.\Why is that?\Is he shunned by others in the Celestial Palace?\Your Highness is very funny.\Do you know how others in the Celestial Palace assess Dijun? response:	How?
context: I'm ordered around all day.\I've forgotten what I came here for in the first place.\Dijun is in Taichen Palace. He just rarely comes out.\Why is that?\Is he shunned by others in the Celestial Palace?\Your Highness is very funny.\Do you know how others in the Celestial Palace assess Dijun?\How? response:	Pays no attention to mundane affairs or world of mortals.
context: I've forgotten what I came here for in the first place.\Dijun is in Taichen Palace. He just rarely comes out.\Why is that?\Is he shunned by others in the Celestial Palace?\Your Highness is very funny.\Do you know how others in the Celestial Palace assess Dijun?\How?\Pays no attention to mundane affairs or world of mortals. response:	Other than being concerned about the peace of the world
context: Dijun is in Taichen Palace. He just rarely comes out.\Why is that?\Is he shunned by others in the Celestial Palace?\Your Highness is very funny.\Do you know how others in the Celestial Palace assess Dijun?\How?\Pays no attention to mundane affairs or world of mortals.\Other than being concerned about the peace of the world response:	he never holds regard for anyone.
context: Why is that?\Is he shunned by others in the Celestial Palace?\Your Highness is very funny.\Do you know how others in the Celestial Palace assess Dijun?\How?\Pays no attention to mundane affairs or world of mortals.\Other than being concerned about the peace of the world\he never holds regard for anyone. response:	He is only a deity best suited for hanging on the wall.
context: Is he shunned by others in the Celestial Palace?\Your Highness is very funny.\Do you know how others in the Celestial Palace assess Dijun?\How?\Pays no attention to mundane affairs or world of mortals.\Other than being concerned about the peace of the world\he never holds regard for anyone.\He is only a deity best suited for hanging on the wall. response:	- Is he really like that? - Yes.
context: Your Highness is very funny.\Do you know how others in the Celestial Palace assess Dijun?\How?\Pays no attention to mundane affairs or world of mortals.\Other than being concerned about the peace of the world\he never holds regard for anyone.\He is only a deity best suited for hanging on the wall.\- Is he really like that? - Yes. response:	That is why it is not a major concern if you repay his kindness.
context: Do you know how others in the Celestial Palace assess Dijun?\How?\Pays no attention to mundane affairs or world of mortals.\Other than being concerned about the peace of the world\he never holds regard for anyone.\He is only a deity best suited for hanging on the wall.\- Is he really like that? - Yes.\That is why it is not a major concern if you repay his kindness. response:	Dijun wouldn't mind such a trivial matter either.
context: How?\Pays no attention to mundane affairs or world of mortals.\Other than being concerned about the peace of the world\he never holds regard for anyone.\He is only a deity best suited for hanging on the wall.\- Is he really like that? - Yes.\That is why it is not a major concern if you repay his kindness.\Dijun wouldn't mind such a trivial matter either. response:	Repaying a kindness is necessary, especially for saving a life.
context: Pays no attention to mundane affairs or world of mortals.\Other than being concerned about the peace of the world\he never holds regard for anyone.\He is only a deity best suited for hanging on the wall.\- Is he really like that? - Yes.\That is why it is not a major concern if you repay his kindness.\Dijun wouldn't mind such a trivial matter either.\Repaying a kindness is necessary, especially for saving a life. response:	As you wish.
context: Other than being concerned about the peace of the world\he never holds regard for anyone.\He is only a deity best suited for hanging on the wall.\- Is he really like that? - Yes.\That is why it is not a major concern if you repay his kindness.\Dijun wouldn't mind such a trivial matter either.\Repaying a kindness is necessary, especially for saving a life.\As you wish. response:	How about this?
context: he never holds regard for anyone.\He is only a deity best suited for hanging on the wall.\- Is he really like that? - Yes.\That is why it is not a major concern if you repay his kindness.\Dijun wouldn't mind such a trivial matter either.\Repaying a kindness is necessary, especially for saving a life.\As you wish.\How about this? response:	If you want to repay Dijun, then you must see him.
context: He is only a deity best suited for hanging on the wall.\- Is he really like that? - Yes.\That is why it is not a major concern if you repay his kindness.\Dijun wouldn't mind such a trivial matter either.\Repaying a kindness is necessary, especially for saving a life.\As you wish.\How about this?\If you want to repay Dijun, then you must see him. response:	Pick a few peach blossoms and I will take them to Dijun and compliment them
context: - Is he really like that? - Yes.\That is why it is not a major concern if you repay his kindness.\Dijun wouldn't mind such a trivial matter either.\Repaying a kindness is necessary, especially for saving a life.\As you wish.\How about this?\If you want to repay Dijun, then you must see him.\Pick a few peach blossoms and I will take them to Dijun and compliment them response:	so you'll have a chance to thank him.
context: That is why it is not a major concern if you repay his kindness.\Dijun wouldn't mind such a trivial matter either.\Repaying a kindness is necessary, especially for saving a life.\As you wish.\How about this?\If you want to repay Dijun, then you must see him.\Pick a few peach blossoms and I will take them to Dijun and compliment them\so you'll have a chance to thank him. response:	How is that?
context: Dijun wouldn't mind such a trivial matter either.\Repaying a kindness is necessary, especially for saving a life.\As you wish.\How about this?\If you want to repay Dijun, then you must see him.\Pick a few peach blossoms and I will take them to Dijun and compliment them\so you'll have a chance to thank him.\How is that? response:	But if Dijun sees that I am in Taichen Palace
context: Repaying a kindness is necessary, especially for saving a life.\As you wish.\How about this?\If you want to repay Dijun, then you must see him.\Pick a few peach blossoms and I will take them to Dijun and compliment them\so you'll have a chance to thank him.\How is that?\But if Dijun sees that I am in Taichen Palace response:	will he blame me?
context: As you wish.\How about this?\If you want to repay Dijun, then you must see him.\Pick a few peach blossoms and I will take them to Dijun and compliment them\so you'll have a chance to thank him.\How is that?\But if Dijun sees that I am in Taichen Palace\will he blame me? response:	In order to repay him, Your Highness has already humbled yourself to be a maid.
context: How about this?\If you want to repay Dijun, then you must see him.\Pick a few peach blossoms and I will take them to Dijun and compliment them\so you'll have a chance to thank him.\How is that?\But if Dijun sees that I am in Taichen Palace\will he blame me?\In order to repay him, Your Highness has already humbled yourself to be a maid. response:	Dijun would only be touched instead of blaming you.
context: If you want to repay Dijun, then you must see him.\Pick a few peach blossoms and I will take them to Dijun and compliment them\so you'll have a chance to thank him.\How is that?\But if Dijun sees that I am in Taichen Palace\will he blame me?\In order to repay him, Your Highness has already humbled yourself to be a maid.\Dijun would only be touched instead of blaming you. response:	That's true.
context: Pick a few peach blossoms and I will take them to Dijun and compliment them\so you'll have a chance to thank him.\How is that?\But if Dijun sees that I am in Taichen Palace\will he blame me?\In order to repay him, Your Highness has already humbled yourself to be a maid.\Dijun would only be touched instead of blaming you.\That's true. response:	I've never served another in such a way before.
context: so you'll have a chance to thank him.\How is that?\But if Dijun sees that I am in Taichen Palace\will he blame me?\In order to repay him, Your Highness has already humbled yourself to be a maid.\Dijun would only be touched instead of blaming you.\That's true.\I've never served another in such a way before. response:	And this is for repaying him. Dijun would surely understand.
context: How is that?\But if Dijun sees that I am in Taichen Palace\will he blame me?\In order to repay him, Your Highness has already humbled yourself to be a maid.\Dijun would only be touched instead of blaming you.\That's true.\I've never served another in such a way before.\And this is for repaying him. Dijun would surely understand. response:	Quickly bestow the peach blossoms then.
context: But if Dijun sees that I am in Taichen Palace\will he blame me?\In order to repay him, Your Highness has already humbled yourself to be a maid.\Dijun would only be touched instead of blaming you.\That's true.\I've never served another in such a way before.\And this is for repaying him. Dijun would surely understand.\Quickly bestow the peach blossoms then. response:	Star Lord, you're so good to me.
context: will he blame me?\In order to repay him, Your Highness has already humbled yourself to be a maid.\Dijun would only be touched instead of blaming you.\That's true.\I've never served another in such a way before.\And this is for repaying him. Dijun would surely understand.\Quickly bestow the peach blossoms then.\Star Lord, you're so good to me. response:	Which branch should I pick?
context: In order to repay him, Your Highness has already humbled yourself to be a maid.\Dijun would only be touched instead of blaming you.\That's true.\I've never served another in such a way before.\And this is for repaying him. Dijun would surely understand.\Quickly bestow the peach blossoms then.\Star Lord, you're so good to me.\Which branch should I pick? response:	These peach blossoms are quite nice.
context: Dijun would only be touched instead of blaming you.\That's true.\I've never served another in such a way before.\And this is for repaying him. Dijun would surely understand.\Quickly bestow the peach blossoms then.\Star Lord, you're so good to me.\Which branch should I pick?\These peach blossoms are quite nice. response:	They're quite nice.
context: That's true.\I've never served another in such a way before.\And this is for repaying him. Dijun would surely understand.\Quickly bestow the peach blossoms then.\Star Lord, you're so good to me.\Which branch should I pick?\These peach blossoms are quite nice.\They're quite nice. response:	These were picked by a new palace maid in Dijun's palace who has a good eye.
context: I've never served another in such a way before.\And this is for repaying him. Dijun would surely understand.\Quickly bestow the peach blossoms then.\Star Lord, you're so good to me.\Which branch should I pick?\These peach blossoms are quite nice.\They're quite nice.\These were picked by a new palace maid in Dijun's palace who has a good eye. response:	Palace maid?
context: And this is for repaying him. Dijun would surely understand.\Quickly bestow the peach blossoms then.\Star Lord, you're so good to me.\Which branch should I pick?\These peach blossoms are quite nice.\They're quite nice.\These were picked by a new palace maid in Dijun's palace who has a good eye.\Palace maid? response:	- A new arrival? - What is it?
context: Quickly bestow the peach blossoms then.\Star Lord, you're so good to me.\Which branch should I pick?\These peach blossoms are quite nice.\They're quite nice.\These were picked by a new palace maid in Dijun's palace who has a good eye.\Palace maid?\- A new arrival? - What is it? response:	Is Your Highness interested in seeing her?
context: Star Lord, you're so good to me.\Which branch should I pick?\These peach blossoms are quite nice.\They're quite nice.\These were picked by a new palace maid in Dijun's palace who has a good eye.\Palace maid?\- A new arrival? - What is it?\Is Your Highness interested in seeing her? response:	Let's see her.
context: Which branch should I pick?\These peach blossoms are quite nice.\They're quite nice.\These were picked by a new palace maid in Dijun's palace who has a good eye.\Palace maid?\- A new arrival? - What is it?\Is Your Highness interested in seeing her?\Let's see her. response:	I'll go fetch her.
context: These peach blossoms are quite nice.\They're quite nice.\These were picked by a new palace maid in Dijun's palace who has a good eye.\Palace maid?\- A new arrival? - What is it?\Is Your Highness interested in seeing her?\Let's see her.\I'll go fetch her. response:	Greetings, Dijun.
context: They're quite nice.\These were picked by a new palace maid in Dijun's palace who has a good eye.\Palace maid?\- A new arrival? - What is it?\Is Your Highness interested in seeing her?\Let's see her.\I'll go fetch her.\Greetings, Dijun. response:	Greetings, Third Prince.
context: These were picked by a new palace maid in Dijun's palace who has a good eye.\Palace maid?\- A new arrival? - What is it?\Is Your Highness interested in seeing her?\Let's see her.\I'll go fetch her.\Greetings, Dijun.\Greetings, Third Prince. response:	Stand up and let me see.
context: Palace maid?\- A new arrival? - What is it?\Is Your Highness interested in seeing her?\Let's see her.\I'll go fetch her.\Greetings, Dijun.\Greetings, Third Prince.\Stand up and let me see. response:	What does Your Highness want to see?
context: - A new arrival? - What is it?\Is Your Highness interested in seeing her?\Let's see her.\I'll go fetch her.\Greetings, Dijun.\Greetings, Third Prince.\Stand up and let me see.\What does Your Highness want to see? response:	His Highness is a well-known playboy in the Celestial Tribe.
context: Is Your Highness interested in seeing her?\Let's see her.\I'll go fetch her.\Greetings, Dijun.\Greetings, Third Prince.\Stand up and let me see.\What does Your Highness want to see?\His Highness is a well-known playboy in the Celestial Tribe. response:	Of course he wants to see your face.
context: Let's see her.\I'll go fetch her.\Greetings, Dijun.\Greetings, Third Prince.\Stand up and let me see.\What does Your Highness want to see?\His Highness is a well-known playboy in the Celestial Tribe.\Of course he wants to see your face. response:	Yes.
context: I'll go fetch her.\Greetings, Dijun.\Greetings, Third Prince.\Stand up and let me see.\What does Your Highness want to see?\His Highness is a well-known playboy in the Celestial Tribe.\Of course he wants to see your face.\Yes. response:	I want to see your face
context: Greetings, Dijun.\Greetings, Third Prince.\Stand up and let me see.\What does Your Highness want to see?\His Highness is a well-known playboy in the Celestial Tribe.\Of course he wants to see your face.\Yes.\I want to see your face response:	and see if it is as mesmerizing as Si Ming says it is.
context: Greetings, Third Prince.\Stand up and let me see.\What does Your Highness want to see?\His Highness is a well-known playboy in the Celestial Tribe.\Of course he wants to see your face.\Yes.\I want to see your face\and see if it is as mesmerizing as Si Ming says it is. response:	No, I didn't say that.
context: Stand up and let me see.\What does Your Highness want to see?\His Highness is a well-known playboy in the Celestial Tribe.\Of course he wants to see your face.\Yes.\I want to see your face\and see if it is as mesmerizing as Si Ming says it is.\No, I didn't say that. response:	Right, Si Ming?
context: What does Your Highness want to see?\His Highness is a well-known playboy in the Celestial Tribe.\Of course he wants to see your face.\Yes.\I want to see your face\and see if it is as mesmerizing as Si Ming says it is.\No, I didn't say that.\Right, Si Ming? response:	Yes, Your Highness is right.
context: His Highness is a well-known playboy in the Celestial Tribe.\Of course he wants to see your face.\Yes.\I want to see your face\and see if it is as mesmerizing as Si Ming says it is.\No, I didn't say that.\Right, Si Ming?\Yes, Your Highness is right. response:	Greetings, Dijun.
context: Of course he wants to see your face.\Yes.\I want to see your face\and see if it is as mesmerizing as Si Ming says it is.\No, I didn't say that.\Right, Si Ming?\Yes, Your Highness is right.\Greetings, Dijun. response:	Did you all agree to come to my study to act out a play?
context: Yes.\I want to see your face\and see if it is as mesmerizing as Si Ming says it is.\No, I didn't say that.\Right, Si Ming?\Yes, Your Highness is right.\Greetings, Dijun.\Did you all agree to come to my study to act out a play? response:	What do you mean by that, Dijun?
context: I want to see your face\and see if it is as mesmerizing as Si Ming says it is.\No, I didn't say that.\Right, Si Ming?\Yes, Your Highness is right.\Greetings, Dijun.\Did you all agree to come to my study to act out a play?\What do you mean by that, Dijun? response:	Do you understand?
context: and see if it is as mesmerizing as Si Ming says it is.\No, I didn't say that.\Right, Si Ming?\Yes, Your Highness is right.\Greetings, Dijun.\Did you all agree to come to my study to act out a play?\What do you mean by that, Dijun?\Do you understand? response:	No.
context: No, I didn't say that.\Right, Si Ming?\Yes, Your Highness is right.\Greetings, Dijun.\Did you all agree to come to my study to act out a play?\What do you mean by that, Dijun?\Do you understand?\No. response:	Does Your Highness understand?
context: Right, Si Ming?\Yes, Your Highness is right.\Greetings, Dijun.\Did you all agree to come to my study to act out a play?\What do you mean by that, Dijun?\Do you understand?\No.\Does Your Highness understand? response:	I really don't.
context: Yes, Your Highness is right.\Greetings, Dijun.\Did you all agree to come to my study to act out a play?\What do you mean by that, Dijun?\Do you understand?\No.\Does Your Highness understand?\I really don't. response:	You.
context: Greetings, Dijun.\Did you all agree to come to my study to act out a play?\What do you mean by that, Dijun?\Do you understand?\No.\Does Your Highness understand?\I really don't.\You. response:	You were so disappointing.
context: Did you all agree to come to my study to act out a play?\What do you mean by that, Dijun?\Do you understand?\No.\Does Your Highness understand?\I really don't.\You.\You were so disappointing. response:	You were in Dijun's presence.
context: What do you mean by that, Dijun?\Do you understand?\No.\Does Your Highness understand?\I really don't.\You.\You were so disappointing.\You were in Dijun's presence. response:	But instead of showing your demeanor as princess of Qing Qiu
context: Do you understand?\No.\Does Your Highness understand?\I really don't.\You.\You were so disappointing.\You were in Dijun's presence.\But instead of showing your demeanor as princess of Qing Qiu response:	you were so docile and submissive.
context: No.\Does Your Highness understand?\I really don't.\You.\You were so disappointing.\You were in Dijun's presence.\But instead of showing your demeanor as princess of Qing Qiu\you were so docile and submissive. response:	How humiliating!
context: Does Your Highness understand?\I really don't.\You.\You were so disappointing.\You were in Dijun's presence.\But instead of showing your demeanor as princess of Qing Qiu\you were so docile and submissive.\How humiliating! response:	Didn't you ruin the opportunity, Lady Cheng Yu?
context: I really don't.\You.\You were so disappointing.\You were in Dijun's presence.\But instead of showing your demeanor as princess of Qing Qiu\you were so docile and submissive.\How humiliating!\Didn't you ruin the opportunity, Lady Cheng Yu? response:	I had finally thought of a way to bring Her Highness in front of Dijun.
context: You.\You were so disappointing.\You were in Dijun's presence.\But instead of showing your demeanor as princess of Qing Qiu\you were so docile and submissive.\How humiliating!\Didn't you ruin the opportunity, Lady Cheng Yu?\I had finally thought of a way to bring Her Highness in front of Dijun. response:	You know her?
context: You were so disappointing.\You were in Dijun's presence.\But instead of showing your demeanor as princess of Qing Qiu\you were so docile and submissive.\How humiliating!\Didn't you ruin the opportunity, Lady Cheng Yu?\I had finally thought of a way to bring Her Highness in front of Dijun.\You know her? response:	Yes.
context: You were in Dijun's presence.\But instead of showing your demeanor as princess of Qing Qiu\you were so docile and submissive.\How humiliating!\Didn't you ruin the opportunity, Lady Cheng Yu?\I had finally thought of a way to bring Her Highness in front of Dijun.\You know her?\Yes. response:	- You also know her? - Yes.
context: But instead of showing your demeanor as princess of Qing Qiu\you were so docile and submissive.\How humiliating!\Didn't you ruin the opportunity, Lady Cheng Yu?\I had finally thought of a way to bring Her Highness in front of Dijun.\You know her?\Yes.\- You also know her? - Yes. response:	Then this palace maid's real identity is...
