context: You're late, even though you're the one who called us out. response:	I've received orders from above.
context: You're the contractor from that night.\Isozaki was determined to destroy the evidence.\He pretended to report it to his superiors, but he actually hid the photo.\That's ridiculous!\At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.\That's why...\Is that why you approached me?\Is that your true appearance? response:	Who knows?
context: Isozaki was determined to destroy the evidence.\He pretended to report it to his superiors, but he actually hid the photo.\That's ridiculous!\At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.\That's why...\Is that why you approached me?\Is that your true appearance?\Who knows? response:	To tell you the truth, I don't even know.
context: He pretended to report it to his superiors, but he actually hid the photo.\That's ridiculous!\At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.\That's why...\Is that why you approached me?\Is that your true appearance?\Who knows?\To tell you the truth, I don't even know. response:	My remuneration is aging.
context: That's ridiculous!\At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.\That's why...\Is that why you approached me?\Is that your true appearance?\Who knows?\To tell you the truth, I don't even know.\My remuneration is aging. response:	Aging?
context: At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.\That's why...\Is that why you approached me?\Is that your true appearance?\Who knows?\To tell you the truth, I don't even know.\My remuneration is aging.\Aging? response:	Every time I use my ability to transform, I grow older.
context: That's why...\Is that why you approached me?\Is that your true appearance?\Who knows?\To tell you the truth, I don't even know.\My remuneration is aging.\Aging?\Every time I use my ability to transform, I grow older. response:	It looks like I've run out of time.
context: Is that why you approached me?\Is that your true appearance?\Who knows?\To tell you the truth, I don't even know.\My remuneration is aging.\Aging?\Every time I use my ability to transform, I grow older.\It looks like I've run out of time. response:	Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)
context: Is that your true appearance?\Who knows?\To tell you the truth, I don't even know.\My remuneration is aging.\Aging?\Every time I use my ability to transform, I grow older.\It looks like I've run out of time.\Episode Twenty Dreaming Shallow, Uninebriated... (Part Two) response:	Keep your eyes open.
context: Who knows?\To tell you the truth, I don't even know.\My remuneration is aging.\Aging?\Every time I use my ability to transform, I grow older.\It looks like I've run out of time.\Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)\Keep your eyes open. response:	We'll wait one hour for Hei to return.
context: To tell you the truth, I don't even know.\My remuneration is aging.\Aging?\Every time I use my ability to transform, I grow older.\It looks like I've run out of time.\Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)\Keep your eyes open.\We'll wait one hour for Hei to return. response:	What if he doesn't?
context: My remuneration is aging.\Aging?\Every time I use my ability to transform, I grow older.\It looks like I've run out of time.\Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)\Keep your eyes open.\We'll wait one hour for Hei to return.\What if he doesn't? response:	I'll go back to the cult grounds
context: Aging?\Every time I use my ability to transform, I grow older.\It looks like I've run out of time.\Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)\Keep your eyes open.\We'll wait one hour for Hei to return.\What if he doesn't?\I'll go back to the cult grounds response:	after I kill you.
context: Every time I use my ability to transform, I grow older.\It looks like I've run out of time.\Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)\Keep your eyes open.\We'll wait one hour for Hei to return.\What if he doesn't?\I'll go back to the cult grounds\after I kill you. response:	There's one more thing I have to ask you.
context: It looks like I've run out of time.\Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)\Keep your eyes open.\We'll wait one hour for Hei to return.\What if he doesn't?\I'll go back to the cult grounds\after I kill you.\There's one more thing I have to ask you. response:	Why weren't my memories erased?
context: Episode Twenty Dreaming Shallow, Uninebriated... (Part Two)\Keep your eyes open.\We'll wait one hour for Hei to return.\What if he doesn't?\I'll go back to the cult grounds\after I kill you.\There's one more thing I have to ask you.\Why weren't my memories erased? response:	That's because...
context: Keep your eyes open.\We'll wait one hour for Hei to return.\What if he doesn't?\I'll go back to the cult grounds\after I kill you.\There's one more thing I have to ask you.\Why weren't my memories erased?\That's because... response:	What's wrong?
context: We'll wait one hour for Hei to return.\What if he doesn't?\I'll go back to the cult grounds\after I kill you.\There's one more thing I have to ask you.\Why weren't my memories erased?\That's because...\What's wrong? response:	Help... Help me!
context: What if he doesn't?\I'll go back to the cult grounds\after I kill you.\There's one more thing I have to ask you.\Why weren't my memories erased?\That's because...\What's wrong?\Help... Help me! response:	What's wrong? Hey, Shihoko!
context: I'll go back to the cult grounds\after I kill you.\There's one more thing I have to ask you.\Why weren't my memories erased?\That's because...\What's wrong?\Help... Help me!\What's wrong? Hey, Shihoko! response:	Shihoko!
context: after I kill you.\There's one more thing I have to ask you.\Why weren't my memories erased?\That's because...\What's wrong?\Help... Help me!\What's wrong? Hey, Shihoko!\Shihoko! response:	N-No!
context: There's one more thing I have to ask you.\Why weren't my memories erased?\That's because...\What's wrong?\Help... Help me!\What's wrong? Hey, Shihoko!\Shihoko!\N-No! response:	Why do you let the syndicate exploit you?
context: Why weren't my memories erased?\That's because...\What's wrong?\Help... Help me!\What's wrong? Hey, Shihoko!\Shihoko!\N-No!\Why do you let the syndicate exploit you? response:	I suppose they wouldn't leave you alone, would they?
context: That's because...\What's wrong?\Help... Help me!\What's wrong? Hey, Shihoko!\Shihoko!\N-No!\Why do you let the syndicate exploit you?\I suppose they wouldn't leave you alone, would they? response:	You could call it the contractor's karma, if you will.
context: What's wrong?\Help... Help me!\What's wrong? Hey, Shihoko!\Shihoko!\N-No!\Why do you let the syndicate exploit you?\I suppose they wouldn't leave you alone, would they?\You could call it the contractor's karma, if you will. response:	You disregard social and moral standards
context: Help... Help me!\What's wrong? Hey, Shihoko!\Shihoko!\N-No!\Why do you let the syndicate exploit you?\I suppose they wouldn't leave you alone, would they?\You could call it the contractor's karma, if you will.\You disregard social and moral standards response:	and show no remorse for using your abilities,
context: What's wrong? Hey, Shihoko!\Shihoko!\N-No!\Why do you let the syndicate exploit you?\I suppose they wouldn't leave you alone, would they?\You could call it the contractor's karma, if you will.\You disregard social and moral standards\and show no remorse for using your abilities, response:	which enables you to kill people.
context: Shihoko!\N-No!\Why do you let the syndicate exploit you?\I suppose they wouldn't leave you alone, would they?\You could call it the contractor's karma, if you will.\You disregard social and moral standards\and show no remorse for using your abilities,\which enables you to kill people. response:	It creates a convenient image of a machine meant to kill,
context: N-No!\Why do you let the syndicate exploit you?\I suppose they wouldn't leave you alone, would they?\You could call it the contractor's karma, if you will.\You disregard social and moral standards\and show no remorse for using your abilities,\which enables you to kill people.\It creates a convenient image of a machine meant to kill, response:	which is a stereotype that humans are comfortable with.
context: Why do you let the syndicate exploit you?\I suppose they wouldn't leave you alone, would they?\You could call it the contractor's karma, if you will.\You disregard social and moral standards\and show no remorse for using your abilities,\which enables you to kill people.\It creates a convenient image of a machine meant to kill,\which is a stereotype that humans are comfortable with. response:	You make it sound as if contractors aren't human.
context: I suppose they wouldn't leave you alone, would they?\You could call it the contractor's karma, if you will.\You disregard social and moral standards\and show no remorse for using your abilities,\which enables you to kill people.\It creates a convenient image of a machine meant to kill,\which is a stereotype that humans are comfortable with.\You make it sound as if contractors aren't human. response:	That's what they want you to think.
context: You could call it the contractor's karma, if you will.\You disregard social and moral standards\and show no remorse for using your abilities,\which enables you to kill people.\It creates a convenient image of a machine meant to kill,\which is a stereotype that humans are comfortable with.\You make it sound as if contractors aren't human.\That's what they want you to think. response:	In order to liberate contractors from this karma, I have chosen religion as my foundation.
context: You disregard social and moral standards\and show no remorse for using your abilities,\which enables you to kill people.\It creates a convenient image of a machine meant to kill,\which is a stereotype that humans are comfortable with.\You make it sound as if contractors aren't human.\That's what they want you to think.\In order to liberate contractors from this karma, I have chosen religion as my foundation. response:	In the beginning, it was more like an expedient, a cover of sorts.
context: and show no remorse for using your abilities,\which enables you to kill people.\It creates a convenient image of a machine meant to kill,\which is a stereotype that humans are comfortable with.\You make it sound as if contractors aren't human.\That's what they want you to think.\In order to liberate contractors from this karma, I have chosen religion as my foundation.\In the beginning, it was more like an expedient, a cover of sorts. response:	However, I still believe I did the right thing.
context: which enables you to kill people.\It creates a convenient image of a machine meant to kill,\which is a stereotype that humans are comfortable with.\You make it sound as if contractors aren't human.\That's what they want you to think.\In order to liberate contractors from this karma, I have chosen religion as my foundation.\In the beginning, it was more like an expedient, a cover of sorts.\However, I still believe I did the right thing. response:	Do you know what differentiates contractors from humans?
context: It creates a convenient image of a machine meant to kill,\which is a stereotype that humans are comfortable with.\You make it sound as if contractors aren't human.\That's what they want you to think.\In order to liberate contractors from this karma, I have chosen religion as my foundation.\In the beginning, it was more like an expedient, a cover of sorts.\However, I still believe I did the right thing.\Do you know what differentiates contractors from humans? response:	Contractors don't have a soul.
context: which is a stereotype that humans are comfortable with.\You make it sound as if contractors aren't human.\That's what they want you to think.\In order to liberate contractors from this karma, I have chosen religion as my foundation.\In the beginning, it was more like an expedient, a cover of sorts.\However, I still believe I did the right thing.\Do you know what differentiates contractors from humans?\Contractors don't have a soul. response:	Is that really true?
context: You make it sound as if contractors aren't human.\That's what they want you to think.\In order to liberate contractors from this karma, I have chosen religion as my foundation.\In the beginning, it was more like an expedient, a cover of sorts.\However, I still believe I did the right thing.\Do you know what differentiates contractors from humans?\Contractors don't have a soul.\Is that really true? response:	Contractors have no sense of guilt.
context: That's what they want you to think.\In order to liberate contractors from this karma, I have chosen religion as my foundation.\In the beginning, it was more like an expedient, a cover of sorts.\However, I still believe I did the right thing.\Do you know what differentiates contractors from humans?\Contractors don't have a soul.\Is that really true?\Contractors have no sense of guilt. response:	Whether they're committed by contractors or by people,
context: In order to liberate contractors from this karma, I have chosen religion as my foundation.\In the beginning, it was more like an expedient, a cover of sorts.\However, I still believe I did the right thing.\Do you know what differentiates contractors from humans?\Contractors don't have a soul.\Is that really true?\Contractors have no sense of guilt.\Whether they're committed by contractors or by people, response:	crimes will never cease to exist.
context: In the beginning, it was more like an expedient, a cover of sorts.\However, I still believe I did the right thing.\Do you know what differentiates contractors from humans?\Contractors don't have a soul.\Is that really true?\Contractors have no sense of guilt.\Whether they're committed by contractors or by people,\crimes will never cease to exist. response:	There's a significant difference between those who possess abilities and those who don't.
context: However, I still believe I did the right thing.\Do you know what differentiates contractors from humans?\Contractors don't have a soul.\Is that really true?\Contractors have no sense of guilt.\Whether they're committed by contractors or by people,\crimes will never cease to exist.\There's a significant difference between those who possess abilities and those who don't. response:	Think of that as a bonus.
context: Do you know what differentiates contractors from humans?\Contractors don't have a soul.\Is that really true?\Contractors have no sense of guilt.\Whether they're committed by contractors or by people,\crimes will never cease to exist.\There's a significant difference between those who possess abilities and those who don't.\Think of that as a bonus. response:	Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.
context: Contractors don't have a soul.\Is that really true?\Contractors have no sense of guilt.\Whether they're committed by contractors or by people,\crimes will never cease to exist.\There's a significant difference between those who possess abilities and those who don't.\Think of that as a bonus.\Even if you don't have special abilities, you have the power to take the life of another with a gun or knife. response:	The most significant difference between humans and contractors is in their mental composition.
context: Is that really true?\Contractors have no sense of guilt.\Whether they're committed by contractors or by people,\crimes will never cease to exist.\There's a significant difference between those who possess abilities and those who don't.\Think of that as a bonus.\Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.\The most significant difference between humans and contractors is in their mental composition. response:	In other words, their rational discretion.
context: Contractors have no sense of guilt.\Whether they're committed by contractors or by people,\crimes will never cease to exist.\There's a significant difference between those who possess abilities and those who don't.\Think of that as a bonus.\Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.\The most significant difference between humans and contractors is in their mental composition.\In other words, their rational discretion. response:	In a human society, ideas like compassion and consensus are afterthoughts
context: Whether they're committed by contractors or by people,\crimes will never cease to exist.\There's a significant difference between those who possess abilities and those who don't.\Think of that as a bonus.\Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.\The most significant difference between humans and contractors is in their mental composition.\In other words, their rational discretion.\In a human society, ideas like compassion and consensus are afterthoughts response:	to the pursuit of profit, the driving force behind success.
context: crimes will never cease to exist.\There's a significant difference between those who possess abilities and those who don't.\Think of that as a bonus.\Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.\The most significant difference between humans and contractors is in their mental composition.\In other words, their rational discretion.\In a human society, ideas like compassion and consensus are afterthoughts\to the pursuit of profit, the driving force behind success. response:	Contractors may be the deus ex machina in the race to a profit.
context: There's a significant difference between those who possess abilities and those who don't.\Think of that as a bonus.\Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.\The most significant difference between humans and contractors is in their mental composition.\In other words, their rational discretion.\In a human society, ideas like compassion and consensus are afterthoughts\to the pursuit of profit, the driving force behind success.\Contractors may be the deus ex machina in the race to a profit. response:	Contractors can't see dreams.
context: Think of that as a bonus.\Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.\The most significant difference between humans and contractors is in their mental composition.\In other words, their rational discretion.\In a human society, ideas like compassion and consensus are afterthoughts\to the pursuit of profit, the driving force behind success.\Contractors may be the deus ex machina in the race to a profit.\Contractors can't see dreams. response:	I've seen it.
context: Even if you don't have special abilities, you have the power to take the life of another with a gun or knife.\The most significant difference between humans and contractors is in their mental composition.\In other words, their rational discretion.\In a human society, ideas like compassion and consensus are afterthoughts\to the pursuit of profit, the driving force behind success.\Contractors may be the deus ex machina in the race to a profit.\Contractors can't see dreams.\I've seen it. response:	The ideal relationship between contractors and humans.
context: The most significant difference between humans and contractors is in their mental composition.\In other words, their rational discretion.\In a human society, ideas like compassion and consensus are afterthoughts\to the pursuit of profit, the driving force behind success.\Contractors may be the deus ex machina in the race to a profit.\Contractors can't see dreams.\I've seen it.\The ideal relationship between contractors and humans. response:	Then again, I've used my powers to kill people in the past.
context: In other words, their rational discretion.\In a human society, ideas like compassion and consensus are afterthoughts\to the pursuit of profit, the driving force behind success.\Contractors may be the deus ex machina in the race to a profit.\Contractors can't see dreams.\I've seen it.\The ideal relationship between contractors and humans.\Then again, I've used my powers to kill people in the past. response:	Until that happened, I had second thoughts about using it because of my overwhelming remuneration.
context: In a human society, ideas like compassion and consensus are afterthoughts\to the pursuit of profit, the driving force behind success.\Contractors may be the deus ex machina in the race to a profit.\Contractors can't see dreams.\I've seen it.\The ideal relationship between contractors and humans.\Then again, I've used my powers to kill people in the past.\Until that happened, I had second thoughts about using it because of my overwhelming remuneration. response:	However, ever since then, I've decided to use my abilities
context: to the pursuit of profit, the driving force behind success.\Contractors may be the deus ex machina in the race to a profit.\Contractors can't see dreams.\I've seen it.\The ideal relationship between contractors and humans.\Then again, I've used my powers to kill people in the past.\Until that happened, I had second thoughts about using it because of my overwhelming remuneration.\However, ever since then, I've decided to use my abilities response:	just like this.
context: Contractors may be the deus ex machina in the race to a profit.\Contractors can't see dreams.\I've seen it.\The ideal relationship between contractors and humans.\Then again, I've used my powers to kill people in the past.\Until that happened, I had second thoughts about using it because of my overwhelming remuneration.\However, ever since then, I've decided to use my abilities\just like this. response:	Repeated use of my powers will result in repeated fulfillment of my remuneration.
context: Contractors can't see dreams.\I've seen it.\The ideal relationship between contractors and humans.\Then again, I've used my powers to kill people in the past.\Until that happened, I had second thoughts about using it because of my overwhelming remuneration.\However, ever since then, I've decided to use my abilities\just like this.\Repeated use of my powers will result in repeated fulfillment of my remuneration. response:	I thought I could atone for my actions.
context: I've seen it.\The ideal relationship between contractors and humans.\Then again, I've used my powers to kill people in the past.\Until that happened, I had second thoughts about using it because of my overwhelming remuneration.\However, ever since then, I've decided to use my abilities\just like this.\Repeated use of my powers will result in repeated fulfillment of my remuneration.\I thought I could atone for my actions. response:	Isn't it strange for a contractor to mention something like atonement?
context: The ideal relationship between contractors and humans.\Then again, I've used my powers to kill people in the past.\Until that happened, I had second thoughts about using it because of my overwhelming remuneration.\However, ever since then, I've decided to use my abilities\just like this.\Repeated use of my powers will result in repeated fulfillment of my remuneration.\I thought I could atone for my actions.\Isn't it strange for a contractor to mention something like atonement? response:	It looks like the time has come to make my final remuneration.
context: Then again, I've used my powers to kill people in the past.\Until that happened, I had second thoughts about using it because of my overwhelming remuneration.\However, ever since then, I've decided to use my abilities\just like this.\Repeated use of my powers will result in repeated fulfillment of my remuneration.\I thought I could atone for my actions.\Isn't it strange for a contractor to mention something like atonement?\It looks like the time has come to make my final remuneration. response:	I'll finally be liberated from this karma.
context: Until that happened, I had second thoughts about using it because of my overwhelming remuneration.\However, ever since then, I've decided to use my abilities\just like this.\Repeated use of my powers will result in repeated fulfillment of my remuneration.\I thought I could atone for my actions.\Isn't it strange for a contractor to mention something like atonement?\It looks like the time has come to make my final remuneration.\I'll finally be liberated from this karma. response:	Isn't it an ironic remuneration?
context: However, ever since then, I've decided to use my abilities\just like this.\Repeated use of my powers will result in repeated fulfillment of my remuneration.\I thought I could atone for my actions.\Isn't it strange for a contractor to mention something like atonement?\It looks like the time has come to make my final remuneration.\I'll finally be liberated from this karma.\Isn't it an ironic remuneration? response:	I regain my human conscience for a while.
context: just like this.\Repeated use of my powers will result in repeated fulfillment of my remuneration.\I thought I could atone for my actions.\Isn't it strange for a contractor to mention something like atonement?\It looks like the time has come to make my final remuneration.\I'll finally be liberated from this karma.\Isn't it an ironic remuneration?\I regain my human conscience for a while. response:	That's why I understand what I'm doing... and how horrifying it is.
context: Repeated use of my powers will result in repeated fulfillment of my remuneration.\I thought I could atone for my actions.\Isn't it strange for a contractor to mention something like atonement?\It looks like the time has come to make my final remuneration.\I'll finally be liberated from this karma.\Isn't it an ironic remuneration?\I regain my human conscience for a while.\That's why I understand what I'm doing... and how horrifying it is. response:	It's as if this was my punishment.
context: I thought I could atone for my actions.\Isn't it strange for a contractor to mention something like atonement?\It looks like the time has come to make my final remuneration.\I'll finally be liberated from this karma.\Isn't it an ironic remuneration?\I regain my human conscience for a while.\That's why I understand what I'm doing... and how horrifying it is.\It's as if this was my punishment. response:	Shihoko...
context: Isn't it strange for a contractor to mention something like atonement?\It looks like the time has come to make my final remuneration.\I'll finally be liberated from this karma.\Isn't it an ironic remuneration?\I regain my human conscience for a while.\That's why I understand what I'm doing... and how horrifying it is.\It's as if this was my punishment.\Shihoko... response:	I'm scared.
context: It looks like the time has come to make my final remuneration.\I'll finally be liberated from this karma.\Isn't it an ironic remuneration?\I regain my human conscience for a while.\That's why I understand what I'm doing... and how horrifying it is.\It's as if this was my punishment.\Shihoko...\I'm scared. response:	You're not going to deceive me! I'm sick of this act.
context: I'll finally be liberated from this karma.\Isn't it an ironic remuneration?\I regain my human conscience for a while.\That's why I understand what I'm doing... and how horrifying it is.\It's as if this was my punishment.\Shihoko...\I'm scared.\You're not going to deceive me! I'm sick of this act. response:	But...
context: Isn't it an ironic remuneration?\I regain my human conscience for a while.\That's why I understand what I'm doing... and how horrifying it is.\It's as if this was my punishment.\Shihoko...\I'm scared.\You're not going to deceive me! I'm sick of this act.\But... response:	A part of me feels somewhat relieved,
context: I regain my human conscience for a while.\That's why I understand what I'm doing... and how horrifying it is.\It's as if this was my punishment.\Shihoko...\I'm scared.\You're not going to deceive me! I'm sick of this act.\But...\A part of me feels somewhat relieved, response:	since I normally don't have a sensation of fear.
context: That's why I understand what I'm doing... and how horrifying it is.\It's as if this was my punishment.\Shihoko...\I'm scared.\You're not going to deceive me! I'm sick of this act.\But...\A part of me feels somewhat relieved,\since I normally don't have a sensation of fear. response:	Contractors have memories,
context: It's as if this was my punishment.\Shihoko...\I'm scared.\You're not going to deceive me! I'm sick of this act.\But...\A part of me feels somewhat relieved,\since I normally don't have a sensation of fear.\Contractors have memories, response:	but it's not quite the same.
context: Shihoko...\I'm scared.\You're not going to deceive me! I'm sick of this act.\But...\A part of me feels somewhat relieved,\since I normally don't have a sensation of fear.\Contractors have memories,\but it's not quite the same. response:	It's my own memory, but it feels distant for some reason.
context: I'm scared.\You're not going to deceive me! I'm sick of this act.\But...\A part of me feels somewhat relieved,\since I normally don't have a sensation of fear.\Contractors have memories,\but it's not quite the same.\It's my own memory, but it feels distant for some reason. response:	That night was different, though.
context: You're not going to deceive me! I'm sick of this act.\But...\A part of me feels somewhat relieved,\since I normally don't have a sensation of fear.\Contractors have memories,\but it's not quite the same.\It's my own memory, but it feels distant for some reason.\That night was different, though. response:	That night, when you said you wanted to be with me,
context: But...\A part of me feels somewhat relieved,\since I normally don't have a sensation of fear.\Contractors have memories,\but it's not quite the same.\It's my own memory, but it feels distant for some reason.\That night was different, though.\That night, when you said you wanted to be with me, response:	my memories were of...
context: A part of me feels somewhat relieved,\since I normally don't have a sensation of fear.\Contractors have memories,\but it's not quite the same.\It's my own memory, but it feels distant for some reason.\That night was different, though.\That night, when you said you wanted to be with me,\my memories were of... response:	the chirping of insects, the sound of the flowing river,
context: since I normally don't have a sensation of fear.\Contractors have memories,\but it's not quite the same.\It's my own memory, but it feels distant for some reason.\That night was different, though.\That night, when you said you wanted to be with me,\my memories were of...\the chirping of insects, the sound of the flowing river, response:	the dry, chilly wind of that night,
context: Contractors have memories,\but it's not quite the same.\It's my own memory, but it feels distant for some reason.\That night was different, though.\That night, when you said you wanted to be with me,\my memories were of...\the chirping of insects, the sound of the flowing river,\the dry, chilly wind of that night, response:	the shimmering stars.
context: but it's not quite the same.\It's my own memory, but it feels distant for some reason.\That night was different, though.\That night, when you said you wanted to be with me,\my memories were of...\the chirping of insects, the sound of the flowing river,\the dry, chilly wind of that night,\the shimmering stars. response:	I forgot to play my role during that moment.
context: It's my own memory, but it feels distant for some reason.\That night was different, though.\That night, when you said you wanted to be with me,\my memories were of...\the chirping of insects, the sound of the flowing river,\the dry, chilly wind of that night,\the shimmering stars.\I forgot to play my role during that moment. response:	I was simply happy.
context: That night was different, though.\That night, when you said you wanted to be with me,\my memories were of...\the chirping of insects, the sound of the flowing river,\the dry, chilly wind of that night,\the shimmering stars.\I forgot to play my role during that moment.\I was simply happy. response:	It's a happy, yet cruel memory,
context: That night, when you said you wanted to be with me,\my memories were of...\the chirping of insects, the sound of the flowing river,\the dry, chilly wind of that night,\the shimmering stars.\I forgot to play my role during that moment.\I was simply happy.\It's a happy, yet cruel memory, response:	but it's the only one I have of you.
context: my memories were of...\the chirping of insects, the sound of the flowing river,\the dry, chilly wind of that night,\the shimmering stars.\I forgot to play my role during that moment.\I was simply happy.\It's a happy, yet cruel memory,\but it's the only one I have of you. response:	I was afraid that the memories of our time together would disappear from you as well.
context: the chirping of insects, the sound of the flowing river,\the dry, chilly wind of that night,\the shimmering stars.\I forgot to play my role during that moment.\I was simply happy.\It's a happy, yet cruel memory,\but it's the only one I have of you.\I was afraid that the memories of our time together would disappear from you as well. response:	Having your memory erased isn't much different from being killed.
context: the dry, chilly wind of that night,\the shimmering stars.\I forgot to play my role during that moment.\I was simply happy.\It's a happy, yet cruel memory,\but it's the only one I have of you.\I was afraid that the memories of our time together would disappear from you as well.\Having your memory erased isn't much different from being killed. response:	I didn't want to become like that.
context: the shimmering stars.\I forgot to play my role during that moment.\I was simply happy.\It's a happy, yet cruel memory,\but it's the only one I have of you.\I was afraid that the memories of our time together would disappear from you as well.\Having your memory erased isn't much different from being killed.\I didn't want to become like that. response:	So it was you, Shihoko,
context: I forgot to play my role during that moment.\I was simply happy.\It's a happy, yet cruel memory,\but it's the only one I have of you.\I was afraid that the memories of our time together would disappear from you as well.\Having your memory erased isn't much different from being killed.\I didn't want to become like that.\So it was you, Shihoko, response:	who arranged for the preservation of my memory.
context: I was simply happy.\It's a happy, yet cruel memory,\but it's the only one I have of you.\I was afraid that the memories of our time together would disappear from you as well.\Having your memory erased isn't much different from being killed.\I didn't want to become like that.\So it was you, Shihoko,\who arranged for the preservation of my memory. response:	Come on. Aren't you done yet?
context: It's a happy, yet cruel memory,\but it's the only one I have of you.\I was afraid that the memories of our time together would disappear from you as well.\Having your memory erased isn't much different from being killed.\I didn't want to become like that.\So it was you, Shihoko,\who arranged for the preservation of my memory.\Come on. Aren't you done yet? response:	You seem to be acquainted with that woman.
context: but it's the only one I have of you.\I was afraid that the memories of our time together would disappear from you as well.\Having your memory erased isn't much different from being killed.\I didn't want to become like that.\So it was you, Shihoko,\who arranged for the preservation of my memory.\Come on. Aren't you done yet?\You seem to be acquainted with that woman. response:	That's none of your business!
context: I was afraid that the memories of our time together would disappear from you as well.\Having your memory erased isn't much different from being killed.\I didn't want to become like that.\So it was you, Shihoko,\who arranged for the preservation of my memory.\Come on. Aren't you done yet?\You seem to be acquainted with that woman.\That's none of your business! response:	Is she the reason you made that mistake?
context: Having your memory erased isn't much different from being killed.\I didn't want to become like that.\So it was you, Shihoko,\who arranged for the preservation of my memory.\Come on. Aren't you done yet?\You seem to be acquainted with that woman.\That's none of your business!\Is she the reason you made that mistake? response:	I told you that it doesn't concern you!
context: I didn't want to become like that.\So it was you, Shihoko,\who arranged for the preservation of my memory.\Come on. Aren't you done yet?\You seem to be acquainted with that woman.\That's none of your business!\Is she the reason you made that mistake?\I told you that it doesn't concern you! response:	In that case...
context: So it was you, Shihoko,\who arranged for the preservation of my memory.\Come on. Aren't you done yet?\You seem to be acquainted with that woman.\That's none of your business!\Is she the reason you made that mistake?\I told you that it doesn't concern you!\In that case... response:	Don't rush me.
context: who arranged for the preservation of my memory.\Come on. Aren't you done yet?\You seem to be acquainted with that woman.\That's none of your business!\Is she the reason you made that mistake?\I told you that it doesn't concern you!\In that case...\Don't rush me. response:	What an ugly scene.
context: Come on. Aren't you done yet?\You seem to be acquainted with that woman.\That's none of your business!\Is she the reason you made that mistake?\I told you that it doesn't concern you!\In that case...\Don't rush me.\What an ugly scene. response:	Shoot both of us with this.
context: You seem to be acquainted with that woman.\That's none of your business!\Is she the reason you made that mistake?\I told you that it doesn't concern you!\In that case...\Don't rush me.\What an ugly scene.\Shoot both of us with this. response:	What are you saying?
context: That's none of your business!\Is she the reason you made that mistake?\I told you that it doesn't concern you!\In that case...\Don't rush me.\What an ugly scene.\Shoot both of us with this.\What are you saying? response:	Shut up!
context: Is she the reason you made that mistake?\I told you that it doesn't concern you!\In that case...\Don't rush me.\What an ugly scene.\Shoot both of us with this.\What are you saying?\Shut up! response:	You have a compassionate side to you, after all.
context: I told you that it doesn't concern you!\In that case...\Don't rush me.\What an ugly scene.\Shoot both of us with this.\What are you saying?\Shut up!\You have a compassionate side to you, after all. response:	I don't want to hear that from a contractor.
context: In that case...\Don't rush me.\What an ugly scene.\Shoot both of us with this.\What are you saying?\Shut up!\You have a compassionate side to you, after all.\I don't want to hear that from a contractor. response:	Do you realize what you're saying, Huang?
context: Don't rush me.\What an ugly scene.\Shoot both of us with this.\What are you saying?\Shut up!\You have a compassionate side to you, after all.\I don't want to hear that from a contractor.\Do you realize what you're saying, Huang? response:	She's a contractor as well.
context: What an ugly scene.\Shoot both of us with this.\What are you saying?\Shut up!\You have a compassionate side to you, after all.\I don't want to hear that from a contractor.\Do you realize what you're saying, Huang?\She's a contractor as well. response:	I do have a soft spot, you know.
context: Shoot both of us with this.\What are you saying?\Shut up!\You have a compassionate side to you, after all.\I don't want to hear that from a contractor.\Do you realize what you're saying, Huang?\She's a contractor as well.\I do have a soft spot, you know. response:	Hurry up!
context: What are you saying?\Shut up!\You have a compassionate side to you, after all.\I don't want to hear that from a contractor.\Do you realize what you're saying, Huang?\She's a contractor as well.\I do have a soft spot, you know.\Hurry up! response:	Hei, what are you doing? Don't tell me you're going to let him go!
context: Shut up!\You have a compassionate side to you, after all.\I don't want to hear that from a contractor.\Do you realize what you're saying, Huang?\She's a contractor as well.\I do have a soft spot, you know.\Hurry up!\Hei, what are you doing? Don't tell me you're going to let him go! response:	You're out of your mind!
context: You have a compassionate side to you, after all.\I don't want to hear that from a contractor.\Do you realize what you're saying, Huang?\She's a contractor as well.\I do have a soft spot, you know.\Hurry up!\Hei, what are you doing? Don't tell me you're going to let him go!\You're out of your mind! response:	This isn't the same situation as with the doll from last time.
