context: I guess I'm hungry' response:	I'll have to apologize to Kero-chan for eating without him.
context: Yes! I do this scene and one later on.\This is such a beautiful house!\It looks like it should be in a movie!\Thank you very much.\So, three of you live here?\Yes.\I wonder who lived here before.\Three foreigners, response:	just like us.
context: This is such a beautiful house!\It looks like it should be in a movie!\Thank you very much.\So, three of you live here?\Yes.\I wonder who lived here before.\Three foreigners,\just like us. response:	Sakura-chan looks cute, doesn't she?
context: It looks like it should be in a movie!\Thank you very much.\So, three of you live here?\Yes.\I wonder who lived here before.\Three foreigners,\just like us.\Sakura-chan looks cute, doesn't she? response:	What's wrong?
context: Thank you very much.\So, three of you live here?\Yes.\I wonder who lived here before.\Three foreigners,\just like us.\Sakura-chan looks cute, doesn't she?\What's wrong? response:	Nothing.
context: So, three of you live here?\Yes.\I wonder who lived here before.\Three foreigners,\just like us.\Sakura-chan looks cute, doesn't she?\What's wrong?\Nothing. response:	Tsukishiro-kun! Kinomoto-kun! We need you now!
context: Yes.\I wonder who lived here before.\Three foreigners,\just like us.\Sakura-chan looks cute, doesn't she?\What's wrong?\Nothing.\Tsukishiro-kun! Kinomoto-kun! We need you now! response:	We're coming! Let's go, Touya.
context: I wonder who lived here before.\Three foreigners,\just like us.\Sakura-chan looks cute, doesn't she?\What's wrong?\Nothing.\Tsukishiro-kun! Kinomoto-kun! We need you now!\We're coming! Let's go, Touya. response:	And this scene is'?
context: Three foreigners,\just like us.\Sakura-chan looks cute, doesn't she?\What's wrong?\Nothing.\Tsukishiro-kun! Kinomoto-kun! We need you now!\We're coming! Let's go, Touya.\And this scene is'? response:	I told you before.
context: just like us.\Sakura-chan looks cute, doesn't she?\What's wrong?\Nothing.\Tsukishiro-kun! Kinomoto-kun! We need you now!\We're coming! Let's go, Touya.\And this scene is'?\I told you before. response:	Weren't you listening?
context: Sakura-chan looks cute, doesn't she?\What's wrong?\Nothing.\Tsukishiro-kun! Kinomoto-kun! We need you now!\We're coming! Let's go, Touya.\And this scene is'?\I told you before.\Weren't you listening? response:	Listen this time.
context: What's wrong?\Nothing.\Tsukishiro-kun! Kinomoto-kun! We need you now!\We're coming! Let's go, Touya.\And this scene is'?\I told you before.\Weren't you listening?\Listen this time. response:	Ok.
context: Nothing.\Tsukishiro-kun! Kinomoto-kun! We need you now!\We're coming! Let's go, Touya.\And this scene is'?\I told you before.\Weren't you listening?\Listen this time.\Ok. response:	Calm down. You need to relax.
context: Tsukishiro-kun! Kinomoto-kun! We need you now!\We're coming! Let's go, Touya.\And this scene is'?\I told you before.\Weren't you listening?\Listen this time.\Ok.\Calm down. You need to relax. response:	Relax?
context: We're coming! Let's go, Touya.\And this scene is'?\I told you before.\Weren't you listening?\Listen this time.\Ok.\Calm down. You need to relax.\Relax? response:	Shall I fix your hair?
context: And this scene is'?\I told you before.\Weren't you listening?\Listen this time.\Ok.\Calm down. You need to relax.\Relax?\Shall I fix your hair? response:	Sit here.
context: I told you before.\Weren't you listening?\Listen this time.\Ok.\Calm down. You need to relax.\Relax?\Shall I fix your hair?\Sit here. response:	Thank you.
context: Weren't you listening?\Listen this time.\Ok.\Calm down. You need to relax.\Relax?\Shall I fix your hair?\Sit here.\Thank you. response:	Eh?
context: Listen this time.\Ok.\Calm down. You need to relax.\Relax?\Shall I fix your hair?\Sit here.\Thank you.\Eh? response:	I sense Clow-san's aura from this chair
context: Ok.\Calm down. You need to relax.\Relax?\Shall I fix your hair?\Sit here.\Thank you.\Eh?\I sense Clow-san's aura from this chair response:	Is something wrong?
context: Calm down. You need to relax.\Relax?\Shall I fix your hair?\Sit here.\Thank you.\Eh?\I sense Clow-san's aura from this chair\Is something wrong? response:	Oh? No' It's a very nice chair.
context: Relax?\Shall I fix your hair?\Sit here.\Thank you.\Eh?\I sense Clow-san's aura from this chair\Is something wrong?\Oh? No' It's a very nice chair. response:	It's all I've had for a very long time.
context: Shall I fix your hair?\Sit here.\Thank you.\Eh?\I sense Clow-san's aura from this chair\Is something wrong?\Oh? No' It's a very nice chair.\It's all I've had for a very long time. response:	Really?
context: Sit here.\Thank you.\Eh?\I sense Clow-san's aura from this chair\Is something wrong?\Oh? No' It's a very nice chair.\It's all I've had for a very long time.\Really? response:	Sakura-chan! We need you now!
context: Thank you.\Eh?\I sense Clow-san's aura from this chair\Is something wrong?\Oh? No' It's a very nice chair.\It's all I've had for a very long time.\Really?\Sakura-chan! We need you now! response:	Sakura-chan's right hand and leg are moving in unison.
context: Eh?\I sense Clow-san's aura from this chair\Is something wrong?\Oh? No' It's a very nice chair.\It's all I've had for a very long time.\Really?\Sakura-chan! We need you now!\Sakura-chan's right hand and leg are moving in unison. response:	Is she really up to this?
context: I sense Clow-san's aura from this chair\Is something wrong?\Oh? No' It's a very nice chair.\It's all I've had for a very long time.\Really?\Sakura-chan! We need you now!\Sakura-chan's right hand and leg are moving in unison.\Is she really up to this? response:	Yuki?
context: Is something wrong?\Oh? No' It's a very nice chair.\It's all I've had for a very long time.\Really?\Sakura-chan! We need you now!\Sakura-chan's right hand and leg are moving in unison.\Is she really up to this?\Yuki? response:	Just a little tired.
context: Oh? No' It's a very nice chair.\It's all I've had for a very long time.\Really?\Sakura-chan! We need you now!\Sakura-chan's right hand and leg are moving in unison.\Is she really up to this?\Yuki?\Just a little tired. response:	And this early in the day, too' Strange, isn't it?
context: It's all I've had for a very long time.\Really?\Sakura-chan! We need you now!\Sakura-chan's right hand and leg are moving in unison.\Is she really up to this?\Yuki?\Just a little tired.\And this early in the day, too' Strange, isn't it? response:	And then you give this to your big brother, ok?
context: Really?\Sakura-chan! We need you now!\Sakura-chan's right hand and leg are moving in unison.\Is she really up to this?\Yuki?\Just a little tired.\And this early in the day, too' Strange, isn't it?\And then you give this to your big brother, ok? response:	And look really sad.
context: Sakura-chan! We need you now!\Sakura-chan's right hand and leg are moving in unison.\Is she really up to this?\Yuki?\Just a little tired.\And this early in the day, too' Strange, isn't it?\And then you give this to your big brother, ok?\And look really sad. response:	Cut!
context: Sakura-chan's right hand and leg are moving in unison.\Is she really up to this?\Yuki?\Just a little tired.\And this early in the day, too' Strange, isn't it?\And then you give this to your big brother, ok?\And look really sad.\Cut! response:	Ok, that's all for this one! You were very cute!
context: Is she really up to this?\Yuki?\Just a little tired.\And this early in the day, too' Strange, isn't it?\And then you give this to your big brother, ok?\And look really sad.\Cut!\Ok, that's all for this one! You were very cute! response:	Really?
context: Yuki?\Just a little tired.\And this early in the day, too' Strange, isn't it?\And then you give this to your big brother, ok?\And look really sad.\Cut!\Ok, that's all for this one! You were very cute!\Really? response:	Yeah! Ok, let's do the next scene!
context: Just a little tired.\And this early in the day, too' Strange, isn't it?\And then you give this to your big brother, ok?\And look really sad.\Cut!\Ok, that's all for this one! You were very cute!\Really?\Yeah! Ok, let's do the next scene! response:	All done!
context: And this early in the day, too' Strange, isn't it?\And then you give this to your big brother, ok?\And look really sad.\Cut!\Ok, that's all for this one! You were very cute!\Really?\Yeah! Ok, let's do the next scene!\All done! response:	Are you really finished?
context: And then you give this to your big brother, ok?\And look really sad.\Cut!\Ok, that's all for this one! You were very cute!\Really?\Yeah! Ok, let's do the next scene!\All done!\Are you really finished? response:	Yeah' But I was really awful'
context: And look really sad.\Cut!\Ok, that's all for this one! You were very cute!\Really?\Yeah! Ok, let's do the next scene!\All done!\Are you really finished?\Yeah' But I was really awful' response:	No, you were amazing, Sakura-chan!
context: Cut!\Ok, that's all for this one! You were very cute!\Really?\Yeah! Ok, let's do the next scene!\All done!\Are you really finished?\Yeah' But I was really awful'\No, you were amazing, Sakura-chan! response:	And I was able to film'The Making of Sakura-chan's First Movie', too!
context: Ok, that's all for this one! You were very cute!\Really?\Yeah! Ok, let's do the next scene!\All done!\Are you really finished?\Yeah' But I was really awful'\No, you were amazing, Sakura-chan!\And I was able to film'The Making of Sakura-chan's First Movie', too! response:	I'm so happy!
context: Really?\Yeah! Ok, let's do the next scene!\All done!\Are you really finished?\Yeah' But I was really awful'\No, you were amazing, Sakura-chan!\And I was able to film'The Making of Sakura-chan's First Movie', too!\I'm so happy! response:	Tomoyo-chan' You were filming the entire time?
context: Yeah! Ok, let's do the next scene!\All done!\Are you really finished?\Yeah' But I was really awful'\No, you were amazing, Sakura-chan!\And I was able to film'The Making of Sakura-chan's First Movie', too!\I'm so happy!\Tomoyo-chan' You were filming the entire time? response:	Ok, here it is!
context: All done!\Are you really finished?\Yeah' But I was really awful'\No, you were amazing, Sakura-chan!\And I was able to film'The Making of Sakura-chan's First Movie', too!\I'm so happy!\Tomoyo-chan' You were filming the entire time?\Ok, here it is! response:	Everyone else will be done after the veranda scene, right?
context: Are you really finished?\Yeah' But I was really awful'\No, you were amazing, Sakura-chan!\And I was able to film'The Making of Sakura-chan's First Movie', too!\I'm so happy!\Tomoyo-chan' You were filming the entire time?\Ok, here it is!\Everyone else will be done after the veranda scene, right? response:	Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.
context: Yeah' But I was really awful'\No, you were amazing, Sakura-chan!\And I was able to film'The Making of Sakura-chan's First Movie', too!\I'm so happy!\Tomoyo-chan' You were filming the entire time?\Ok, here it is!\Everyone else will be done after the veranda scene, right?\Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow. response:	Tsukishiro-kun will gaze out over the landscape
context: No, you were amazing, Sakura-chan!\And I was able to film'The Making of Sakura-chan's First Movie', too!\I'm so happy!\Tomoyo-chan' You were filming the entire time?\Ok, here it is!\Everyone else will be done after the veranda scene, right?\Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.\Tsukishiro-kun will gaze out over the landscape response:	and Touya-kun
context: And I was able to film'The Making of Sakura-chan's First Movie', too!\I'm so happy!\Tomoyo-chan' You were filming the entire time?\Ok, here it is!\Everyone else will be done after the veranda scene, right?\Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.\Tsukishiro-kun will gaze out over the landscape\and Touya-kun response:	will confront him.
context: I'm so happy!\Tomoyo-chan' You were filming the entire time?\Ok, here it is!\Everyone else will be done after the veranda scene, right?\Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.\Tsukishiro-kun will gaze out over the landscape\and Touya-kun\will confront him. response:	Any questions?
context: Tomoyo-chan' You were filming the entire time?\Ok, here it is!\Everyone else will be done after the veranda scene, right?\Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.\Tsukishiro-kun will gaze out over the landscape\and Touya-kun\will confront him.\Any questions? response:	Nope, none.
context: Ok, here it is!\Everyone else will be done after the veranda scene, right?\Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.\Tsukishiro-kun will gaze out over the landscape\and Touya-kun\will confront him.\Any questions?\Nope, none. response:	Okay, let's go!
context: Everyone else will be done after the veranda scene, right?\Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.\Tsukishiro-kun will gaze out over the landscape\and Touya-kun\will confront him.\Any questions?\Nope, none.\Okay, let's go! response:	Hey, stop that, Akizuki
context: Ok, Tsukishiro-kun, you will run out here. Touya-kun will follow.\Tsukishiro-kun will gaze out over the landscape\and Touya-kun\will confront him.\Any questions?\Nope, none.\Okay, let's go!\Hey, stop that, Akizuki response:	I can't help it! I'm so excited!
context: Tsukishiro-kun will gaze out over the landscape\and Touya-kun\will confront him.\Any questions?\Nope, none.\Okay, let's go!\Hey, stop that, Akizuki\I can't help it! I'm so excited! response:	Ok, it's up to you!
context: and Touya-kun\will confront him.\Any questions?\Nope, none.\Okay, let's go!\Hey, stop that, Akizuki\I can't help it! I'm so excited!\Ok, it's up to you! response:	You alright?
context: will confront him.\Any questions?\Nope, none.\Okay, let's go!\Hey, stop that, Akizuki\I can't help it! I'm so excited!\Ok, it's up to you!\You alright? response:	I'm fine.
context: Any questions?\Nope, none.\Okay, let's go!\Hey, stop that, Akizuki\I can't help it! I'm so excited!\Ok, it's up to you!\You alright?\I'm fine. response:	Action!
context: Nope, none.\Okay, let's go!\Hey, stop that, Akizuki\I can't help it! I'm so excited!\Ok, it's up to you!\You alright?\I'm fine.\Action! response:	They're starting.
context: Okay, let's go!\Hey, stop that, Akizuki\I can't help it! I'm so excited!\Ok, it's up to you!\You alright?\I'm fine.\Action!\They're starting. response:	I'll go get some tea.
context: Hey, stop that, Akizuki\I can't help it! I'm so excited!\Ok, it's up to you!\You alright?\I'm fine.\Action!\They're starting.\I'll go get some tea. response:	Can I help?
context: I can't help it! I'm so excited!\Ok, it's up to you!\You alright?\I'm fine.\Action!\They're starting.\I'll go get some tea.\Can I help? response:	No, I'll be fine.
context: Ok, it's up to you!\You alright?\I'm fine.\Action!\They're starting.\I'll go get some tea.\Can I help?\No, I'll be fine. response:	I know who the criminal is, now.
context: You alright?\I'm fine.\Action!\They're starting.\I'll go get some tea.\Can I help?\No, I'll be fine.\I know who the criminal is, now. response:	Who was it?
context: I'm fine.\Action!\They're starting.\I'll go get some tea.\Can I help?\No, I'll be fine.\I know who the criminal is, now.\Who was it? response:	That's perfect'
context: Action!\They're starting.\I'll go get some tea.\Can I help?\No, I'll be fine.\I know who the criminal is, now.\Who was it?\That's perfect' response:	I know all about it' You'
context: They're starting.\I'll go get some tea.\Can I help?\No, I'll be fine.\I know who the criminal is, now.\Who was it?\That's perfect'\I know all about it' You' response:	That's it!
context: I'll go get some tea.\Can I help?\No, I'll be fine.\I know who the criminal is, now.\Who was it?\That's perfect'\I know all about it' You'\That's it! response:	You'
context: Can I help?\No, I'll be fine.\I know who the criminal is, now.\Who was it?\That's perfect'\I know all about it' You'\That's it!\You' response:	Yuki!!!
context: No, I'll be fine.\I know who the criminal is, now.\Who was it?\That's perfect'\I know all about it' You'\That's it!\You'\Yuki!!! response:	Yukito-san!!
context: I know who the criminal is, now.\Who was it?\That's perfect'\I know all about it' You'\That's it!\You'\Yuki!!!\Yukito-san!! response:	Yuki! Yuki!!
context: Who was it?\That's perfect'\I know all about it' You'\That's it!\You'\Yuki!!!\Yukito-san!!\Yuki! Yuki!! response:	Sakura-chan!
context: That's perfect'\I know all about it' You'\That's it!\You'\Yuki!!!\Yukito-san!!\Yuki! Yuki!!\Sakura-chan! response:	O Key that holds the power of the stars,
context: I know all about it' You'\That's it!\You'\Yuki!!!\Yukito-san!!\Yuki! Yuki!!\Sakura-chan!\O Key that holds the power of the stars, response:	Reveal your true form to me.
context: That's it!\You'\Yuki!!!\Yukito-san!!\Yuki! Yuki!!\Sakura-chan!\O Key that holds the power of the stars,\Reveal your true form to me. response:	By our contract, I, Sakura, command you!
context: You'\Yuki!!!\Yukito-san!!\Yuki! Yuki!!\Sakura-chan!\O Key that holds the power of the stars,\Reveal your true form to me.\By our contract, I, Sakura, command you! response:	Release!
context: Yuki!!!\Yukito-san!!\Yuki! Yuki!!\Sakura-chan!\O Key that holds the power of the stars,\Reveal your true form to me.\By our contract, I, Sakura, command you!\Release! response:	Open your Eyes!!! Yuki!!
context: Yukito-san!!\Yuki! Yuki!!\Sakura-chan!\O Key that holds the power of the stars,\Reveal your true form to me.\By our contract, I, Sakura, command you!\Release!\Open your Eyes!!! Yuki!! response:	Yuukii!!
context: Yuki! Yuki!!\Sakura-chan!\O Key that holds the power of the stars,\Reveal your true form to me.\By our contract, I, Sakura, command you!\Release!\Open your Eyes!!! Yuki!!\Yuukii!! response:	YUKI!!
context: Sakura-chan!\O Key that holds the power of the stars,\Reveal your true form to me.\By our contract, I, Sakura, command you!\Release!\Open your Eyes!!! Yuki!!\Yuukii!!\YUKI!! response:	Yuki!
context: O Key that holds the power of the stars,\Reveal your true form to me.\By our contract, I, Sakura, command you!\Release!\Open your Eyes!!! Yuki!!\Yuukii!!\YUKI!!\Yuki! response:	Yuki'
context: Reveal your true form to me.\By our contract, I, Sakura, command you!\Release!\Open your Eyes!!! Yuki!!\Yuukii!!\YUKI!!\Yuki!\Yuki' response:	We should put him in a room to rest.
context: By our contract, I, Sakura, command you!\Release!\Open your Eyes!!! Yuki!!\Yuukii!!\YUKI!!\Yuki!\Yuki'\We should put him in a room to rest. response:	You'
context: Release!\Open your Eyes!!! Yuki!!\Yuukii!!\YUKI!!\Yuki!\Yuki'\We should put him in a room to rest.\You' response:	Don't worry, it's no bother.
context: Open your Eyes!!! Yuki!!\Yuukii!!\YUKI!!\Yuki!\Yuki'\We should put him in a room to rest.\You'\Don't worry, it's no bother. response:	Touya'
context: Yuukii!!\YUKI!!\Yuki!\Yuki'\We should put him in a room to rest.\You'\Don't worry, it's no bother.\Touya' response:	I guess I fell asleep, again'
context: YUKI!!\Yuki!\Yuki'\We should put him in a room to rest.\You'\Don't worry, it's no bother.\Touya'\I guess I fell asleep, again' response:	Something like that.
context: Yuki!\Yuki'\We should put him in a room to rest.\You'\Don't worry, it's no bother.\Touya'\I guess I fell asleep, again'\Something like that. response:	So' tired.
context: Yuki'\We should put him in a room to rest.\You'\Don't worry, it's no bother.\Touya'\I guess I fell asleep, again'\Something like that.\So' tired. response:	Yuki, if this keeps up, you'll disappear.
context: We should put him in a room to rest.\You'\Don't worry, it's no bother.\Touya'\I guess I fell asleep, again'\Something like that.\So' tired.\Yuki, if this keeps up, you'll disappear. response:	I won't allow that to happen.
context: You'\Don't worry, it's no bother.\Touya'\I guess I fell asleep, again'\Something like that.\So' tired.\Yuki, if this keeps up, you'll disappear.\I won't allow that to happen. response:	Why will I disappear?
context: Don't worry, it's no bother.\Touya'\I guess I fell asleep, again'\Something like that.\So' tired.\Yuki, if this keeps up, you'll disappear.\I won't allow that to happen.\Why will I disappear? response:	When you lose track of time'
context: Touya'\I guess I fell asleep, again'\Something like that.\So' tired.\Yuki, if this keeps up, you'll disappear.\I won't allow that to happen.\Why will I disappear?\When you lose track of time' response:	I know all about it' You'
context: I guess I fell asleep, again'\Something like that.\So' tired.\Yuki, if this keeps up, you'll disappear.\I won't allow that to happen.\Why will I disappear?\When you lose track of time'\I know all about it' You' response:	Tsukishiro-kun! Are you okay?
context: Something like that.\So' tired.\Yuki, if this keeps up, you'll disappear.\I won't allow that to happen.\Why will I disappear?\When you lose track of time'\I know all about it' You'\Tsukishiro-kun! Are you okay? response:	Again'?
context: So' tired.\Yuki, if this keeps up, you'll disappear.\I won't allow that to happen.\Why will I disappear?\When you lose track of time'\I know all about it' You'\Tsukishiro-kun! Are you okay?\Again'? response:	I'm okay' Really, Akizuki-san.
context: Yuki, if this keeps up, you'll disappear.\I won't allow that to happen.\Why will I disappear?\When you lose track of time'\I know all about it' You'\Tsukishiro-kun! Are you okay?\Again'?\I'm okay' Really, Akizuki-san. response:	Are you sure you're not hurt anywhere?
context: I won't allow that to happen.\Why will I disappear?\When you lose track of time'\I know all about it' You'\Tsukishiro-kun! Are you okay?\Again'?\I'm okay' Really, Akizuki-san.\Are you sure you're not hurt anywhere? response:	Yeah.
context: Why will I disappear?\When you lose track of time'\I know all about it' You'\Tsukishiro-kun! Are you okay?\Again'?\I'm okay' Really, Akizuki-san.\Are you sure you're not hurt anywhere?\Yeah. response:	I'm glad. Well, then, let's go finish that scene.
context: When you lose track of time'\I know all about it' You'\Tsukishiro-kun! Are you okay?\Again'?\I'm okay' Really, Akizuki-san.\Are you sure you're not hurt anywhere?\Yeah.\I'm glad. Well, then, let's go finish that scene. response:	Yes?
context: I know all about it' You'\Tsukishiro-kun! Are you okay?\Again'?\I'm okay' Really, Akizuki-san.\Are you sure you're not hurt anywhere?\Yeah.\I'm glad. Well, then, let's go finish that scene.\Yes? response:	I have something to say to him.
context: Tsukishiro-kun! Are you okay?\Again'?\I'm okay' Really, Akizuki-san.\Are you sure you're not hurt anywhere?\Yeah.\I'm glad. Well, then, let's go finish that scene.\Yes?\I have something to say to him. response:	Without distractions.
context: Again'?\I'm okay' Really, Akizuki-san.\Are you sure you're not hurt anywhere?\Yeah.\I'm glad. Well, then, let's go finish that scene.\Yes?\I have something to say to him.\Without distractions. response:	O-ok.
context: I'm okay' Really, Akizuki-san.\Are you sure you're not hurt anywhere?\Yeah.\I'm glad. Well, then, let's go finish that scene.\Yes?\I have something to say to him.\Without distractions.\O-ok. response:	This is bad'
context: Are you sure you're not hurt anywhere?\Yeah.\I'm glad. Well, then, let's go finish that scene.\Yes?\I have something to say to him.\Without distractions.\O-ok.\This is bad' response:	I guess you bothered him too much.
context: Yeah.\I'm glad. Well, then, let's go finish that scene.\Yes?\I have something to say to him.\Without distractions.\O-ok.\This is bad'\I guess you bothered him too much. response:	What'll I do?
context: I'm glad. Well, then, let's go finish that scene.\Yes?\I have something to say to him.\Without distractions.\O-ok.\This is bad'\I guess you bothered him too much.\What'll I do? response:	At this rate, I won't become Touya's most beloved.
context: Yes?\I have something to say to him.\Without distractions.\O-ok.\This is bad'\I guess you bothered him too much.\What'll I do?\At this rate, I won't become Touya's most beloved. response:	I guess you'll have to live with it, then.
context: I have something to say to him.\Without distractions.\O-ok.\This is bad'\I guess you bothered him too much.\What'll I do?\At this rate, I won't become Touya's most beloved.\I guess you'll have to live with it, then. response:	No! I don't want to!
context: Without distractions.\O-ok.\This is bad'\I guess you bothered him too much.\What'll I do?\At this rate, I won't become Touya's most beloved.\I guess you'll have to live with it, then.\No! I don't want to! response:	You're really hopeless, aren't you?
context: O-ok.\This is bad'\I guess you bothered him too much.\What'll I do?\At this rate, I won't become Touya's most beloved.\I guess you'll have to live with it, then.\No! I don't want to!\You're really hopeless, aren't you? response:	But'
context: This is bad'\I guess you bothered him too much.\What'll I do?\At this rate, I won't become Touya's most beloved.\I guess you'll have to live with it, then.\No! I don't want to!\You're really hopeless, aren't you?\But' response:	Eriol's gonna be mad.
context: I guess you bothered him too much.\What'll I do?\At this rate, I won't become Touya's most beloved.\I guess you'll have to live with it, then.\No! I don't want to!\You're really hopeless, aren't you?\But'\Eriol's gonna be mad. response:	Sakura and they are going to power-up.
context: What'll I do?\At this rate, I won't become Touya's most beloved.\I guess you'll have to live with it, then.\No! I don't want to!\You're really hopeless, aren't you?\But'\Eriol's gonna be mad.\Sakura and they are going to power-up. response:	I don't think he'll be too upset.
context: At this rate, I won't become Touya's most beloved.\I guess you'll have to live with it, then.\No! I don't want to!\You're really hopeless, aren't you?\But'\Eriol's gonna be mad.\Sakura and they are going to power-up.\I don't think he'll be too upset. response:	He might even be glad.
context: I guess you'll have to live with it, then.\No! I don't want to!\You're really hopeless, aren't you?\But'\Eriol's gonna be mad.\Sakura and they are going to power-up.\I don't think he'll be too upset.\He might even be glad. response:	Yuki' I know all about it' You'
context: No! I don't want to!\You're really hopeless, aren't you?\But'\Eriol's gonna be mad.\Sakura and they are going to power-up.\I don't think he'll be too upset.\He might even be glad.\Yuki' I know all about it' You' response:	We've done that scene already'
context: You're really hopeless, aren't you?\But'\Eriol's gonna be mad.\Sakura and they are going to power-up.\I don't think he'll be too upset.\He might even be glad.\Yuki' I know all about it' You'\We've done that scene already' response:	No. Please listen.
context: But'\Eriol's gonna be mad.\Sakura and they are going to power-up.\I don't think he'll be too upset.\He might even be glad.\Yuki' I know all about it' You'\We've done that scene already'\No. Please listen. response:	I know you're not human.
context: Eriol's gonna be mad.\Sakura and they are going to power-up.\I don't think he'll be too upset.\He might even be glad.\Yuki' I know all about it' You'\We've done that scene already'\No. Please listen.\I know you're not human. response:	So you have no reason to hide from me.
context: Sakura and they are going to power-up.\I don't think he'll be too upset.\He might even be glad.\Yuki' I know all about it' You'\We've done that scene already'\No. Please listen.\I know you're not human.\So you have no reason to hide from me. response:	We finally meet.
context: I don't think he'll be too upset.\He might even be glad.\Yuki' I know all about it' You'\We've done that scene already'\No. Please listen.\I know you're not human.\So you have no reason to hide from me.\We finally meet. response:	Your name is?
context: He might even be glad.\Yuki' I know all about it' You'\We've done that scene already'\No. Please listen.\I know you're not human.\So you have no reason to hide from me.\We finally meet.\Your name is? response:	Yue.
context: Yuki' I know all about it' You'\We've done that scene already'\No. Please listen.\I know you're not human.\So you have no reason to hide from me.\We finally meet.\Your name is?\Yue. response:	Yukito wanted you to know. About him and about me.
context: We've done that scene already'\No. Please listen.\I know you're not human.\So you have no reason to hide from me.\We finally meet.\Your name is?\Yue.\Yukito wanted you to know. About him and about me. response:	That is why I came.
context: No. Please listen.\I know you're not human.\So you have no reason to hide from me.\We finally meet.\Your name is?\Yue.\Yukito wanted you to know. About him and about me.\That is why I came. response:	That's fine by me.
context: I know you're not human.\So you have no reason to hide from me.\We finally meet.\Your name is?\Yue.\Yukito wanted you to know. About him and about me.\That is why I came.\That's fine by me. response:	I heard you say you wouldn't let us disappear.
context: So you have no reason to hide from me.\We finally meet.\Your name is?\Yue.\Yukito wanted you to know. About him and about me.\That is why I came.\That's fine by me.\I heard you say you wouldn't let us disappear. response:	Yes.
context: We finally meet.\Your name is?\Yue.\Yukito wanted you to know. About him and about me.\That is why I came.\That's fine by me.\I heard you say you wouldn't let us disappear.\Yes. response:	Do you know what you'd have to do?
context: Your name is?\Yue.\Yukito wanted you to know. About him and about me.\That is why I came.\That's fine by me.\I heard you say you wouldn't let us disappear.\Yes.\Do you know what you'd have to do? response:	I know.
context: Yue.\Yukito wanted you to know. About him and about me.\That is why I came.\That's fine by me.\I heard you say you wouldn't let us disappear.\Yes.\Do you know what you'd have to do?\I know. response:	You can have my strength.
context: Yukito wanted you to know. About him and about me.\That is why I came.\That's fine by me.\I heard you say you wouldn't let us disappear.\Yes.\Do you know what you'd have to do?\I know.\You can have my strength. response:	All of it.
context: That is why I came.\That's fine by me.\I heard you say you wouldn't let us disappear.\Yes.\Do you know what you'd have to do?\I know.\You can have my strength.\All of it. response:	You may never see your mother again.
context: That's fine by me.\I heard you say you wouldn't let us disappear.\Yes.\Do you know what you'd have to do?\I know.\You can have my strength.\All of it.\You may never see your mother again. response:	It's unfair that I'm the only one who can see her.
context: I heard you say you wouldn't let us disappear.\Yes.\Do you know what you'd have to do?\I know.\You can have my strength.\All of it.\You may never see your mother again.\It's unfair that I'm the only one who can see her. response:	However'
context: Yes.\Do you know what you'd have to do?\I know.\You can have my strength.\All of it.\You may never see your mother again.\It's unfair that I'm the only one who can see her.\However' response:	Without my power, I won't be able to protect Sakura.
context: Do you know what you'd have to do?\I know.\You can have my strength.\All of it.\You may never see your mother again.\It's unfair that I'm the only one who can see her.\However'\Without my power, I won't be able to protect Sakura. response:	Will you protect her for me?
context: I know.\You can have my strength.\All of it.\You may never see your mother again.\It's unfair that I'm the only one who can see her.\However'\Without my power, I won't be able to protect Sakura.\Will you protect her for me? response:	There's no need to ask.
context: You can have my strength.\All of it.\You may never see your mother again.\It's unfair that I'm the only one who can see her.\However'\Without my power, I won't be able to protect Sakura.\Will you protect her for me?\There's no need to ask. response:	I'd protect her, anyway.
context: All of it.\You may never see your mother again.\It's unfair that I'm the only one who can see her.\However'\Without my power, I won't be able to protect Sakura.\Will you protect her for me?\There's no need to ask.\I'd protect her, anyway. response:	I'm asking anyway.
context: You may never see your mother again.\It's unfair that I'm the only one who can see her.\However'\Without my power, I won't be able to protect Sakura.\Will you protect her for me?\There's no need to ask.\I'd protect her, anyway.\I'm asking anyway. response:	Promise you'll protect her.
context: It's unfair that I'm the only one who can see her.\However'\Without my power, I won't be able to protect Sakura.\Will you protect her for me?\There's no need to ask.\I'd protect her, anyway.\I'm asking anyway.\Promise you'll protect her. response:	Protect all of them.
context: However'\Without my power, I won't be able to protect Sakura.\Will you protect her for me?\There's no need to ask.\I'd protect her, anyway.\I'm asking anyway.\Promise you'll protect her.\Protect all of them. response:	That's all you want for your magic?
context: Without my power, I won't be able to protect Sakura.\Will you protect her for me?\There's no need to ask.\I'd protect her, anyway.\I'm asking anyway.\Promise you'll protect her.\Protect all of them.\That's all you want for your magic? response:	That's it.
context: Will you protect her for me?\There's no need to ask.\I'd protect her, anyway.\I'm asking anyway.\Promise you'll protect her.\Protect all of them.\That's all you want for your magic?\That's it. response:	It's a deal then.
