context: Central Flognarde is well into fall. response:	There was a short panic that occurred after the Heroes return,
context: Even with nature-friendly gathering methods we could get plenty!\Really?\Shinku.\These crystals grow off the power of the land.\Thus, we only take the part that naturally grows, and don't take the whole thing.\That's called nature-friendly gathering.\We don't disrupt the natural order.\We just take a little bit of the blessings of the land. response:	I see.
context: Really?\Shinku.\These crystals grow off the power of the land.\Thus, we only take the part that naturally grows, and don't take the whole thing.\That's called nature-friendly gathering.\We don't disrupt the natural order.\We just take a little bit of the blessings of the land.\I see. response:	Crystals and ore are very important for making our lives convenient,
context: Shinku.\These crystals grow off the power of the land.\Thus, we only take the part that naturally grows, and don't take the whole thing.\That's called nature-friendly gathering.\We don't disrupt the natural order.\We just take a little bit of the blessings of the land.\I see.\Crystals and ore are very important for making our lives convenient, response:	but the land and nature are just as important.
context: These crystals grow off the power of the land.\Thus, we only take the part that naturally grows, and don't take the whole thing.\That's called nature-friendly gathering.\We don't disrupt the natural order.\We just take a little bit of the blessings of the land.\I see.\Crystals and ore are very important for making our lives convenient,\but the land and nature are just as important. response:	I see...
context: Thus, we only take the part that naturally grows, and don't take the whole thing.\That's called nature-friendly gathering.\We don't disrupt the natural order.\We just take a little bit of the blessings of the land.\I see.\Crystals and ore are very important for making our lives convenient,\but the land and nature are just as important.\I see... response:	Hey, Princess...
context: That's called nature-friendly gathering.\We don't disrupt the natural order.\We just take a little bit of the blessings of the land.\I see.\Crystals and ore are very important for making our lives convenient,\but the land and nature are just as important.\I see...\Hey, Princess... response:	What is that?
context: We don't disrupt the natural order.\We just take a little bit of the blessings of the land.\I see.\Crystals and ore are very important for making our lives convenient,\but the land and nature are just as important.\I see...\Hey, Princess...\What is that? response:	I think... I'm about done here...
context: We just take a little bit of the blessings of the land.\I see.\Crystals and ore are very important for making our lives convenient,\but the land and nature are just as important.\I see...\Hey, Princess...\What is that?\I think... I'm about done here... response:	Okay.
context: I see.\Crystals and ore are very important for making our lives convenient,\but the land and nature are just as important.\I see...\Hey, Princess...\What is that?\I think... I'm about done here...\Okay. response:	It's time to move to another area.
context: Crystals and ore are very important for making our lives convenient,\but the land and nature are just as important.\I see...\Hey, Princess...\What is that?\I think... I'm about done here...\Okay.\It's time to move to another area. response:	Hero!
context: but the land and nature are just as important.\I see...\Hey, Princess...\What is that?\I think... I'm about done here...\Okay.\It's time to move to another area.\Hero! response:	Shinku!
context: I see...\Hey, Princess...\What is that?\I think... I'm about done here...\Okay.\It's time to move to another area.\Hero!\Shinku! response:	Shinku, are you okay?
context: Hey, Princess...\What is that?\I think... I'm about done here...\Okay.\It's time to move to another area.\Hero!\Shinku!\Shinku, are you okay? response:	What's wrong?
context: What is that?\I think... I'm about done here...\Okay.\It's time to move to another area.\Hero!\Shinku!\Shinku, are you okay?\What's wrong? response:	Well... there were these little people.
context: I think... I'm about done here...\Okay.\It's time to move to another area.\Hero!\Shinku!\Shinku, are you okay?\What's wrong?\Well... there were these little people. response:	Little people?
context: Okay.\It's time to move to another area.\Hero!\Shinku!\Shinku, are you okay?\What's wrong?\Well... there were these little people.\Little people? response:	Could it be...
context: It's time to move to another area.\Hero!\Shinku!\Shinku, are you okay?\What's wrong?\Well... there were these little people.\Little people?\Could it be... response:	Those are the forest people.
context: Hero!\Shinku!\Shinku, are you okay?\What's wrong?\Well... there were these little people.\Little people?\Could it be...\Those are the forest people. response:	The forest...
context: Shinku!\Shinku, are you okay?\What's wrong?\Well... there were these little people.\Little people?\Could it be...\Those are the forest people.\The forest... response:	Forest people.
context: Shinku, are you okay?\What's wrong?\Well... there were these little people.\Little people?\Could it be...\Those are the forest people.\The forest...\Forest people. response:	They're a type of spirit.
context: What's wrong?\Well... there were these little people.\Little people?\Could it be...\Those are the forest people.\The forest...\Forest people.\They're a type of spirit. response:	Forest people, please don't be scared!
context: Well... there were these little people.\Little people?\Could it be...\Those are the forest people.\The forest...\Forest people.\They're a type of spirit.\Forest people, please don't be scared! response:	We want to be friends.
context: Little people?\Could it be...\Those are the forest people.\The forest...\Forest people.\They're a type of spirit.\Forest people, please don't be scared!\We want to be friends. response:	Is that okay?
context: Could it be...\Those are the forest people.\The forest...\Forest people.\They're a type of spirit.\Forest people, please don't be scared!\We want to be friends.\Is that okay? response:	Thank you!
context: Those are the forest people.\The forest...\Forest people.\They're a type of spirit.\Forest people, please don't be scared!\We want to be friends.\Is that okay?\Thank you! response:	Here.
context: The forest...\Forest people.\They're a type of spirit.\Forest people, please don't be scared!\We want to be friends.\Is that okay?\Thank you!\Here. response:	They're cute.
context: Forest people.\They're a type of spirit.\Forest people, please don't be scared!\We want to be friends.\Is that okay?\Thank you!\Here.\They're cute. response:	Hello.
context: They're a type of spirit.\Forest people, please don't be scared!\We want to be friends.\Is that okay?\Thank you!\Here.\They're cute.\Hello. response:	They're kind and very curious.
context: Forest people, please don't be scared!\We want to be friends.\Is that okay?\Thank you!\Here.\They're cute.\Hello.\They're kind and very curious. response:	Look.
context: We want to be friends.\Is that okay?\Thank you!\Here.\They're cute.\Hello.\They're kind and very curious.\Look. response:	Hello.
context: Is that okay?\Thank you!\Here.\They're cute.\Hello.\They're kind and very curious.\Look.\Hello. response:	This nut... is that for me?
context: Thank you!\Here.\They're cute.\Hello.\They're kind and very curious.\Look.\Hello.\This nut... is that for me? response:	The forest people help humans and animals when they're in trouble.
context: Here.\They're cute.\Hello.\They're kind and very curious.\Look.\Hello.\This nut... is that for me?\The forest people help humans and animals when they're in trouble. response:	Hero, you were hungry, right?
context: They're cute.\Hello.\They're kind and very curious.\Look.\Hello.\This nut... is that for me?\The forest people help humans and animals when they're in trouble.\Hero, you were hungry, right? response:	I am, actually.
context: Hello.\They're kind and very curious.\Look.\Hello.\This nut... is that for me?\The forest people help humans and animals when they're in trouble.\Hero, you were hungry, right?\I am, actually. response:	Thank you, forest people.
context: They're kind and very curious.\Look.\Hello.\This nut... is that for me?\The forest people help humans and animals when they're in trouble.\Hero, you were hungry, right?\I am, actually.\Thank you, forest people. response:	And they like this as an offering.
context: Look.\Hello.\This nut... is that for me?\The forest people help humans and animals when they're in trouble.\Hero, you were hungry, right?\I am, actually.\Thank you, forest people.\And they like this as an offering. response:	What's that?
context: Hello.\This nut... is that for me?\The forest people help humans and animals when they're in trouble.\Hero, you were hungry, right?\I am, actually.\Thank you, forest people.\And they like this as an offering.\What's that? response:	Rock salt.
context: This nut... is that for me?\The forest people help humans and animals when they're in trouble.\Hero, you were hungry, right?\I am, actually.\Thank you, forest people.\And they like this as an offering.\What's that?\Rock salt. response:	The forest people love salt.
context: The forest people help humans and animals when they're in trouble.\Hero, you were hungry, right?\I am, actually.\Thank you, forest people.\And they like this as an offering.\What's that?\Rock salt.\The forest people love salt. response:	I'm glad I had some on hand for Onmitsu.
context: Hero, you were hungry, right?\I am, actually.\Thank you, forest people.\And they like this as an offering.\What's that?\Rock salt.\The forest people love salt.\I'm glad I had some on hand for Onmitsu. response:	Are they trying to say something?
context: I am, actually.\Thank you, forest people.\And they like this as an offering.\What's that?\Rock salt.\The forest people love salt.\I'm glad I had some on hand for Onmitsu.\Are they trying to say something? response:	What is it?
context: Thank you, forest people.\And they like this as an offering.\What's that?\Rock salt.\The forest people love salt.\I'm glad I had some on hand for Onmitsu.\Are they trying to say something?\What is it? response:	There's a problem.
context: And they like this as an offering.\What's that?\Rock salt.\The forest people love salt.\I'm glad I had some on hand for Onmitsu.\Are they trying to say something?\What is it?\There's a problem. response:	That's... the mountain pass?
context: What's that?\Rock salt.\The forest people love salt.\I'm glad I had some on hand for Onmitsu.\Are they trying to say something?\What is it?\There's a problem.\That's... the mountain pass? response:	There are demons living in the cave on the pass!
context: Rock salt.\The forest people love salt.\I'm glad I had some on hand for Onmitsu.\Are they trying to say something?\What is it?\There's a problem.\That's... the mountain pass?\There are demons living in the cave on the pass! response:	And the forest people's princess was kidnapped?
context: The forest people love salt.\I'm glad I had some on hand for Onmitsu.\Are they trying to say something?\What is it?\There's a problem.\That's... the mountain pass?\There are demons living in the cave on the pass!\And the forest people's princess was kidnapped? response:	We have to go!
context: I'm glad I had some on hand for Onmitsu.\Are they trying to say something?\What is it?\There's a problem.\That's... the mountain pass?\There are demons living in the cave on the pass!\And the forest people's princess was kidnapped?\We have to go! response:	Shinku, this is Rebecca.
context: Are they trying to say something?\What is it?\There's a problem.\That's... the mountain pass?\There are demons living in the cave on the pass!\And the forest people's princess was kidnapped?\We have to go!\Shinku, this is Rebecca. response:	Becky!
context: What is it?\There's a problem.\That's... the mountain pass?\There are demons living in the cave on the pass!\And the forest people's princess was kidnapped?\We have to go!\Shinku, this is Rebecca.\Becky! response:	Good timing!
context: There's a problem.\That's... the mountain pass?\There are demons living in the cave on the pass!\And the forest people's princess was kidnapped?\We have to go!\Shinku, this is Rebecca.\Becky!\Good timing! response:	Trouble, everyone!
context: That's... the mountain pass?\There are demons living in the cave on the pass!\And the forest people's princess was kidnapped?\We have to go!\Shinku, this is Rebecca.\Becky!\Good timing!\Trouble, everyone! response:	There are demons on this mountain!
context: There are demons living in the cave on the pass!\And the forest people's princess was kidnapped?\We have to go!\Shinku, this is Rebecca.\Becky!\Good timing!\Trouble, everyone!\There are demons on this mountain! response:	That thing is huge!
context: And the forest people's princess was kidnapped?\We have to go!\Shinku, this is Rebecca.\Becky!\Good timing!\Trouble, everyone!\There are demons on this mountain!\That thing is huge! response:	It seems to be a lower-class demon,
context: We have to go!\Shinku, this is Rebecca.\Becky!\Good timing!\Trouble, everyone!\There are demons on this mountain!\That thing is huge!\It seems to be a lower-class demon, response:	but it's so big.
context: Shinku, this is Rebecca.\Becky!\Good timing!\Trouble, everyone!\There are demons on this mountain!\That thing is huge!\It seems to be a lower-class demon,\but it's so big. response:	It's just chowing down on the crystal trees...
context: Becky!\Good timing!\Trouble, everyone!\There are demons on this mountain!\That thing is huge!\It seems to be a lower-class demon,\but it's so big.\It's just chowing down on the crystal trees... response:	And it just ate a bunch of ore.
context: Good timing!\Trouble, everyone!\There are demons on this mountain!\That thing is huge!\It seems to be a lower-class demon,\but it's so big.\It's just chowing down on the crystal trees...\And it just ate a bunch of ore. response:	At this rate it's going to eat all the ore and crystals on this mountain.
context: Trouble, everyone!\There are demons on this mountain!\That thing is huge!\It seems to be a lower-class demon,\but it's so big.\It's just chowing down on the crystal trees...\And it just ate a bunch of ore.\At this rate it's going to eat all the ore and crystals on this mountain. response:	Where is your princess?
context: There are demons on this mountain!\That thing is huge!\It seems to be a lower-class demon,\but it's so big.\It's just chowing down on the crystal trees...\And it just ate a bunch of ore.\At this rate it's going to eat all the ore and crystals on this mountain.\Where is your princess? response:	Inside its stomach?
context: That thing is huge!\It seems to be a lower-class demon,\but it's so big.\It's just chowing down on the crystal trees...\And it just ate a bunch of ore.\At this rate it's going to eat all the ore and crystals on this mountain.\Where is your princess?\Inside its stomach? response:	She got eaten?
context: It seems to be a lower-class demon,\but it's so big.\It's just chowing down on the crystal trees...\And it just ate a bunch of ore.\At this rate it's going to eat all the ore and crystals on this mountain.\Where is your princess?\Inside its stomach?\She got eaten? response:	That monster seems to swallow crystals and spirits to slowly absorb their power.
context: but it's so big.\It's just chowing down on the crystal trees...\And it just ate a bunch of ore.\At this rate it's going to eat all the ore and crystals on this mountain.\Where is your princess?\Inside its stomach?\She got eaten?\That monster seems to swallow crystals and spirits to slowly absorb their power. response:	If it seems like a lot of time hasn't passed since she was eaten...
context: It's just chowing down on the crystal trees...\And it just ate a bunch of ore.\At this rate it's going to eat all the ore and crystals on this mountain.\Where is your princess?\Inside its stomach?\She got eaten?\That monster seems to swallow crystals and spirits to slowly absorb their power.\If it seems like a lot of time hasn't passed since she was eaten... response:	We can save her!
context: And it just ate a bunch of ore.\At this rate it's going to eat all the ore and crystals on this mountain.\Where is your princess?\Inside its stomach?\She got eaten?\That monster seems to swallow crystals and spirits to slowly absorb their power.\If it seems like a lot of time hasn't passed since she was eaten...\We can save her! response:	Hold it!
context: At this rate it's going to eat all the ore and crystals on this mountain.\Where is your princess?\Inside its stomach?\She got eaten?\That monster seems to swallow crystals and spirits to slowly absorb their power.\If it seems like a lot of time hasn't passed since she was eaten...\We can save her!\Hold it! response:	All creatures eat other things.
context: Where is your princess?\Inside its stomach?\She got eaten?\That monster seems to swallow crystals and spirits to slowly absorb their power.\If it seems like a lot of time hasn't passed since she was eaten...\We can save her!\Hold it!\All creatures eat other things. response:	I won't blame you for that.
context: Inside its stomach?\She got eaten?\That monster seems to swallow crystals and spirits to slowly absorb their power.\If it seems like a lot of time hasn't passed since she was eaten...\We can save her!\Hold it!\All creatures eat other things.\I won't blame you for that. response:	But I can't let you get away with this brutality
context: She got eaten?\That monster seems to swallow crystals and spirits to slowly absorb their power.\If it seems like a lot of time hasn't passed since she was eaten...\We can save her!\Hold it!\All creatures eat other things.\I won't blame you for that.\But I can't let you get away with this brutality response:	towards the forest spirits or your gluttony!
context: That monster seems to swallow crystals and spirits to slowly absorb their power.\If it seems like a lot of time hasn't passed since she was eaten...\We can save her!\Hold it!\All creatures eat other things.\I won't blame you for that.\But I can't let you get away with this brutality\towards the forest spirits or your gluttony! response:	If you can understand us then listen.
context: If it seems like a lot of time hasn't passed since she was eaten...\We can save her!\Hold it!\All creatures eat other things.\I won't blame you for that.\But I can't let you get away with this brutality\towards the forest spirits or your gluttony!\If you can understand us then listen. response:	If you can't...
context: We can save her!\Hold it!\All creatures eat other things.\I won't blame you for that.\But I can't let you get away with this brutality\towards the forest spirits or your gluttony!\If you can understand us then listen.\If you can't... response:	In the name of Biscotti's Hero,
context: Hold it!\All creatures eat other things.\I won't blame you for that.\But I can't let you get away with this brutality\towards the forest spirits or your gluttony!\If you can understand us then listen.\If you can't...\In the name of Biscotti's Hero, response:	And her leader...
context: All creatures eat other things.\I won't blame you for that.\But I can't let you get away with this brutality\towards the forest spirits or your gluttony!\If you can understand us then listen.\If you can't...\In the name of Biscotti's Hero,\And her leader... response:	We're going to punish you!
context: I won't blame you for that.\But I can't let you get away with this brutality\towards the forest spirits or your gluttony!\If you can understand us then listen.\If you can't...\In the name of Biscotti's Hero,\And her leader...\We're going to punish you! response:	This voice...
context: But I can't let you get away with this brutality\towards the forest spirits or your gluttony!\If you can understand us then listen.\If you can't...\In the name of Biscotti's Hero,\And her leader...\We're going to punish you!\This voice... response:	Don't listen to it.
context: towards the forest spirits or your gluttony!\If you can understand us then listen.\If you can't...\In the name of Biscotti's Hero,\And her leader...\We're going to punish you!\This voice...\Don't listen to it. response:	I won't let you!
context: If you can understand us then listen.\If you can't...\In the name of Biscotti's Hero,\And her leader...\We're going to punish you!\This voice...\Don't listen to it.\I won't let you! response:	Princess!
context: If you can't...\In the name of Biscotti's Hero,\And her leader...\We're going to punish you!\This voice...\Don't listen to it.\I won't let you!\Princess! response:	Yukikaze-style Ninjutsu!
context: In the name of Biscotti's Hero,\And her leader...\We're going to punish you!\This voice...\Don't listen to it.\I won't let you!\Princess!\Yukikaze-style Ninjutsu! response:	Senka Souretsu!
context: And her leader...\We're going to punish you!\This voice...\Don't listen to it.\I won't let you!\Princess!\Yukikaze-style Ninjutsu!\Senka Souretsu! response:	Oh, no!
context: We're going to punish you!\This voice...\Don't listen to it.\I won't let you!\Princess!\Yukikaze-style Ninjutsu!\Senka Souretsu!\Oh, no! response:	Yuki!
context: This voice...\Don't listen to it.\I won't let you!\Princess!\Yukikaze-style Ninjutsu!\Senka Souretsu!\Oh, no!\Yuki! response:	No way!
context: Don't listen to it.\I won't let you!\Princess!\Yukikaze-style Ninjutsu!\Senka Souretsu!\Oh, no!\Yuki!\No way! response:	It's all sticky!
context: I won't let you!\Princess!\Yukikaze-style Ninjutsu!\Senka Souretsu!\Oh, no!\Yuki!\No way!\It's all sticky! response:	Special Move: Shining Blast...
context: Princess!\Yukikaze-style Ninjutsu!\Senka Souretsu!\Oh, no!\Yuki!\No way!\It's all sticky!\Special Move: Shining Blast... response:	That's...
context: Yukikaze-style Ninjutsu!\Senka Souretsu!\Oh, no!\Yuki!\No way!\It's all sticky!\Special Move: Shining Blast...\That's... response:	This is terrible.
context: Senka Souretsu!\Oh, no!\Yuki!\No way!\It's all sticky!\Special Move: Shining Blast...\That's...\This is terrible. response:	I need to hurry.
context: Oh, no!\Yuki!\No way!\It's all sticky!\Special Move: Shining Blast...\That's...\This is terrible.\I need to hurry. response:	That's it!
context: Yuki!\No way!\It's all sticky!\Special Move: Shining Blast...\That's...\This is terrible.\I need to hurry.\That's it! response:	Shinku! Shinku!
context: No way!\It's all sticky!\Special Move: Shining Blast...\That's...\This is terrible.\I need to hurry.\That's it!\Shinku! Shinku! response:	Shinku!
context: It's all sticky!\Special Move: Shining Blast...\That's...\This is terrible.\I need to hurry.\That's it!\Shinku! Shinku!\Shinku! response:	Shinku!
context: Special Move: Shining Blast...\That's...\This is terrible.\I need to hurry.\That's it!\Shinku! Shinku!\Shinku!\Shinku! response:	Just wait! I'll save you
context: That's...\This is terrible.\I need to hurry.\That's it!\Shinku! Shinku!\Shinku!\Shinku!\Just wait! I'll save you response:	I won't let you get away.
context: This is terrible.\I need to hurry.\That's it!\Shinku! Shinku!\Shinku!\Shinku!\Just wait! I'll save you\I won't let you get away. response:	Give back the Hero!
context: I need to hurry.\That's it!\Shinku! Shinku!\Shinku!\Shinku!\Just wait! I'll save you\I won't let you get away.\Give back the Hero! response:	It can't get me here...
context: That's it!\Shinku! Shinku!\Shinku!\Shinku!\Just wait! I'll save you\I won't let you get away.\Give back the Hero!\It can't get me here... response:	He got me.
context: Shinku! Shinku!\Shinku!\Shinku!\Just wait! I'll save you\I won't let you get away.\Give back the Hero!\It can't get me here...\He got me. response:	You're the forest people's princess, aren't you?
context: Shinku!\Shinku!\Just wait! I'll save you\I won't let you get away.\Give back the Hero!\It can't get me here...\He got me.\You're the forest people's princess, aren't you? response:	I'm here to save you.
context: Shinku!\Just wait! I'll save you\I won't let you get away.\Give back the Hero!\It can't get me here...\He got me.\You're the forest people's princess, aren't you?\I'm here to save you. response:	It's okay now.
context: Just wait! I'll save you\I won't let you get away.\Give back the Hero!\It can't get me here...\He got me.\You're the forest people's princess, aren't you?\I'm here to save you.\It's okay now. response:	We're going to escape, so sorry,
context: I won't let you get away.\Give back the Hero!\It can't get me here...\He got me.\You're the forest people's princess, aren't you?\I'm here to save you.\It's okay now.\We're going to escape, so sorry, response:	but get in here.
context: Give back the Hero!\It can't get me here...\He got me.\You're the forest people's princess, aren't you?\I'm here to save you.\It's okay now.\We're going to escape, so sorry,\but get in here. response:	Okay!
context: It can't get me here...\He got me.\You're the forest people's princess, aren't you?\I'm here to save you.\It's okay now.\We're going to escape, so sorry,\but get in here.\Okay! response:	That's not enough, huh?
context: He got me.\You're the forest people's princess, aren't you?\I'm here to save you.\It's okay now.\We're going to escape, so sorry,\but get in here.\Okay!\That's not enough, huh? response:	Then this!
context: You're the forest people's princess, aren't you?\I'm here to save you.\It's okay now.\We're going to escape, so sorry,\but get in here.\Okay!\That's not enough, huh?\Then this! response:	Double Shining Blast Fist!
context: I'm here to save you.\It's okay now.\We're going to escape, so sorry,\but get in here.\Okay!\That's not enough, huh?\Then this!\Double Shining Blast Fist! response:	Flame King Fang!
context: It's okay now.\We're going to escape, so sorry,\but get in here.\Okay!\That's not enough, huh?\Then this!\Double Shining Blast Fist!\Flame King Fang! response:	Shinku!
context: We're going to escape, so sorry,\but get in here.\Okay!\That's not enough, huh?\Then this!\Double Shining Blast Fist!\Flame King Fang!\Shinku! response:	Hero!
context: but get in here.\Okay!\That's not enough, huh?\Then this!\Double Shining Blast Fist!\Flame King Fang!\Shinku!\Hero! response:	Yukki! Rico!
context: Okay!\That's not enough, huh?\Then this!\Double Shining Blast Fist!\Flame King Fang!\Shinku!\Hero!\Yukki! Rico! response:	Shinku!
context: That's not enough, huh?\Then this!\Double Shining Blast Fist!\Flame King Fang!\Shinku!\Hero!\Yukki! Rico!\Shinku! response:	Becky! Princess!
context: Then this!\Double Shining Blast Fist!\Flame King Fang!\Shinku!\Hero!\Yukki! Rico!\Shinku!\Becky! Princess! response:	Shinku!
context: Double Shining Blast Fist!\Flame King Fang!\Shinku!\Hero!\Yukki! Rico!\Shinku!\Becky! Princess!\Shinku! response:	I'm so glad!
context: Flame King Fang!\Shinku!\Hero!\Yukki! Rico!\Shinku!\Becky! Princess!\Shinku!\I'm so glad! response:	Sorry to worry you, princess.
context: Shinku!\Hero!\Yukki! Rico!\Shinku!\Becky! Princess!\Shinku!\I'm so glad!\Sorry to worry you, princess. response:	Yuki-chan, is that monster...
context: Hero!\Yukki! Rico!\Shinku!\Becky! Princess!\Shinku!\I'm so glad!\Sorry to worry you, princess.\Yuki-chan, is that monster... response:	Yeah...
context: Yukki! Rico!\Shinku!\Becky! Princess!\Shinku!\I'm so glad!\Sorry to worry you, princess.\Yuki-chan, is that monster...\Yeah... response:	It was a cursed sword demon.
context: Shinku!\Becky! Princess!\Shinku!\I'm so glad!\Sorry to worry you, princess.\Yuki-chan, is that monster...\Yeah...\It was a cursed sword demon. response:	No wonder it was strong.
context: Becky! Princess!\Shinku!\I'm so glad!\Sorry to worry you, princess.\Yuki-chan, is that monster...\Yeah...\It was a cursed sword demon.\No wonder it was strong. response:	But Shinku beat it on his own.
context: Shinku!\I'm so glad!\Sorry to worry you, princess.\Yuki-chan, is that monster...\Yeah...\It was a cursed sword demon.\No wonder it was strong.\But Shinku beat it on his own. response:	Yup.
context: I'm so glad!\Sorry to worry you, princess.\Yuki-chan, is that monster...\Yeah...\It was a cursed sword demon.\No wonder it was strong.\But Shinku beat it on his own.\Yup. response:	Our Hero is great.
context: Sorry to worry you, princess.\Yuki-chan, is that monster...\Yeah...\It was a cursed sword demon.\No wonder it was strong.\But Shinku beat it on his own.\Yup.\Our Hero is great. response:	But you saved the princess.
context: Yuki-chan, is that monster...\Yeah...\It was a cursed sword demon.\No wonder it was strong.\But Shinku beat it on his own.\Yup.\Our Hero is great.\But you saved the princess. response:	I'm really grateful.
context: Yeah...\It was a cursed sword demon.\No wonder it was strong.\But Shinku beat it on his own.\Yup.\Our Hero is great.\But you saved the princess.\I'm really grateful. response:	I'm glad everybody was safe.
context: It was a cursed sword demon.\No wonder it was strong.\But Shinku beat it on his own.\Yup.\Our Hero is great.\But you saved the princess.\I'm really grateful.\I'm glad everybody was safe. response:	And after that, Yukki sealed the cursed sword.
context: No wonder it was strong.\But Shinku beat it on his own.\Yup.\Our Hero is great.\But you saved the princess.\I'm really grateful.\I'm glad everybody was safe.\And after that, Yukki sealed the cursed sword. response:	The frog god whose body it was inhabiting went back to its old nest.
context: But Shinku beat it on his own.\Yup.\Our Hero is great.\But you saved the princess.\I'm really grateful.\I'm glad everybody was safe.\And after that, Yukki sealed the cursed sword.\The frog god whose body it was inhabiting went back to its old nest. response:	And of course, the princess returned to the forest people.
context: Yup.\Our Hero is great.\But you saved the princess.\I'm really grateful.\I'm glad everybody was safe.\And after that, Yukki sealed the cursed sword.\The frog god whose body it was inhabiting went back to its old nest.\And of course, the princess returned to the forest people. response:	And peace came back to the mountains.
context: Our Hero is great.\But you saved the princess.\I'm really grateful.\I'm glad everybody was safe.\And after that, Yukki sealed the cursed sword.\The frog god whose body it was inhabiting went back to its old nest.\And of course, the princess returned to the forest people.\And peace came back to the mountains. response:	And since our demon-fighting and research were all done, of course...
context: But you saved the princess.\I'm really grateful.\I'm glad everybody was safe.\And after that, Yukki sealed the cursed sword.\The frog god whose body it was inhabiting went back to its old nest.\And of course, the princess returned to the forest people.\And peace came back to the mountains.\And since our demon-fighting and research were all done, of course... response:	This is paradise.
context: I'm really grateful.\I'm glad everybody was safe.\And after that, Yukki sealed the cursed sword.\The frog god whose body it was inhabiting went back to its old nest.\And of course, the princess returned to the forest people.\And peace came back to the mountains.\And since our demon-fighting and research were all done, of course...\This is paradise. response:	I feel so warm.
context: I'm glad everybody was safe.\And after that, Yukki sealed the cursed sword.\The frog god whose body it was inhabiting went back to its old nest.\And of course, the princess returned to the forest people.\And peace came back to the mountains.\And since our demon-fighting and research were all done, of course...\This is paradise.\I feel so warm. response:	The temperature is great.
context: And after that, Yukki sealed the cursed sword.\The frog god whose body it was inhabiting went back to its old nest.\And of course, the princess returned to the forest people.\And peace came back to the mountains.\And since our demon-fighting and research were all done, of course...\This is paradise.\I feel so warm.\The temperature is great. response:	It feels perfect.
context: The frog god whose body it was inhabiting went back to its old nest.\And of course, the princess returned to the forest people.\And peace came back to the mountains.\And since our demon-fighting and research were all done, of course...\This is paradise.\I feel so warm.\The temperature is great.\It feels perfect. response:	I'm so happy.
context: And of course, the princess returned to the forest people.\And peace came back to the mountains.\And since our demon-fighting and research were all done, of course...\This is paradise.\I feel so warm.\The temperature is great.\It feels perfect.\I'm so happy. response:	You guys did good work, too.
context: And peace came back to the mountains.\And since our demon-fighting and research were all done, of course...\This is paradise.\I feel so warm.\The temperature is great.\It feels perfect.\I'm so happy.\You guys did good work, too. response:	This place is amazing.
context: And since our demon-fighting and research were all done, of course...\This is paradise.\I feel so warm.\The temperature is great.\It feels perfect.\I'm so happy.\You guys did good work, too.\This place is amazing. response:	Huh? Princess?
context: This is paradise.\I feel so warm.\The temperature is great.\It feels perfect.\I'm so happy.\You guys did good work, too.\This place is amazing.\Huh? Princess? response:	And the other forest people...
context: I feel so warm.\The temperature is great.\It feels perfect.\I'm so happy.\You guys did good work, too.\This place is amazing.\Huh? Princess?\And the other forest people... response:	What is it?
context: The temperature is great.\It feels perfect.\I'm so happy.\You guys did good work, too.\This place is amazing.\Huh? Princess?\And the other forest people...\What is it? response:	You're giving me this?
context: It feels perfect.\I'm so happy.\You guys did good work, too.\This place is amazing.\Huh? Princess?\And the other forest people...\What is it?\You're giving me this? response:	Thanks!
context: I'm so happy.\You guys did good work, too.\This place is amazing.\Huh? Princess?\And the other forest people...\What is it?\You're giving me this?\Thanks! response:	That's wonderful.
context: You guys did good work, too.\This place is amazing.\Huh? Princess?\And the other forest people...\What is it?\You're giving me this?\Thanks!\That's wonderful. response:	Is it fruit juice?
context: This place is amazing.\Huh? Princess?\And the other forest people...\What is it?\You're giving me this?\Thanks!\That's wonderful.\Is it fruit juice? response:	It smells so good.
context: Huh? Princess?\And the other forest people...\What is it?\You're giving me this?\Thanks!\That's wonderful.\Is it fruit juice?\It smells so good. response:	Thanks!
context: And the other forest people...\What is it?\You're giving me this?\Thanks!\That's wonderful.\Is it fruit juice?\It smells so good.\Thanks! response:	It's... good.
context: What is it?\You're giving me this?\Thanks!\That's wonderful.\Is it fruit juice?\It smells so good.\Thanks!\It's... good. response:	Wh-What is this?
context: You're giving me this?\Thanks!\That's wonderful.\Is it fruit juice?\It smells so good.\Thanks!\It's... good.\Wh-What is this? response:	Shinku!
context: Thanks!\That's wonderful.\Is it fruit juice?\It smells so good.\Thanks!\It's... good.\Wh-What is this?\Shinku! response:	What's wrong?
context: That's wonderful.\Is it fruit juice?\It smells so good.\Thanks!\It's... good.\Wh-What is this?\Shinku!\What's wrong? response:	We're leaving.
context: Is it fruit juice?\It smells so good.\Thanks!\It's... good.\Wh-What is this?\Shinku!\What's wrong?\We're leaving. response:	Shinku!
context: It smells so good.\Thanks!\It's... good.\Wh-What is this?\Shinku!\What's wrong?\We're leaving.\Shinku! response:	Shinku?
context: Thanks!\It's... good.\Wh-What is this?\Shinku!\What's wrong?\We're leaving.\Shinku!\Shinku? response:	What's wrong?
context: It's... good.\Wh-What is this?\Shinku!\What's wrong?\We're leaving.\Shinku!\Shinku?\What's wrong? response:	He had some of the Forest People's Nectar Water, huh?
context: Wh-What is this?\Shinku!\What's wrong?\We're leaving.\Shinku!\Shinku?\What's wrong?\He had some of the Forest People's Nectar Water, huh? response:	Is that...
