context: Were you on it? response:	Hey, I'm in Class 3.
context: Azumi-kun: What're you up to?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\If you want, tomorrow at 12:00 in front of Doimaru Department Store\Why so cold?\We don't want you here.\Come on, we're already here. response:	Stop, idiot! Idiot!
context: Why not?\What's the problem?\We're going to be the ones to get yelled at.\If you want, tomorrow at 12:00 in front of Doimaru Department Store\Why so cold?\We don't want you here.\Come on, we're already here.\Stop, idiot! Idiot! response:	Huh? Say what?
context: What's the problem?\We're going to be the ones to get yelled at.\If you want, tomorrow at 12:00 in front of Doimaru Department Store\Why so cold?\We don't want you here.\Come on, we're already here.\Stop, idiot! Idiot!\Huh? Say what? response:	Suspicious.
context: We're going to be the ones to get yelled at.\If you want, tomorrow at 12:00 in front of Doimaru Department Store\Why so cold?\We don't want you here.\Come on, we're already here.\Stop, idiot! Idiot!\Huh? Say what?\Suspicious. response:	Uh... Yeah.
context: If you want, tomorrow at 12:00 in front of Doimaru Department Store\Why so cold?\We don't want you here.\Come on, we're already here.\Stop, idiot! Idiot!\Huh? Say what?\Suspicious.\Uh... Yeah. response:	No secrets, remember?
context: Why so cold?\We don't want you here.\Come on, we're already here.\Stop, idiot! Idiot!\Huh? Say what?\Suspicious.\Uh... Yeah.\No secrets, remember? response:	I, uh... My parents are asking about souvenirs.
context: We don't want you here.\Come on, we're already here.\Stop, idiot! Idiot!\Huh? Say what?\Suspicious.\Uh... Yeah.\No secrets, remember?\I, uh... My parents are asking about souvenirs. response:	Yasaka Shrine
context: Come on, we're already here.\Stop, idiot! Idiot!\Huh? Say what?\Suspicious.\Uh... Yeah.\No secrets, remember?\I, uh... My parents are asking about souvenirs.\Yasaka Shrine response:	What's wrong?
context: Stop, idiot! Idiot!\Huh? Say what?\Suspicious.\Uh... Yeah.\No secrets, remember?\I, uh... My parents are asking about souvenirs.\Yasaka Shrine\What's wrong? response:	Nothing.
context: Huh? Say what?\Suspicious.\Uh... Yeah.\No secrets, remember?\I, uh... My parents are asking about souvenirs.\Yasaka Shrine\What's wrong?\Nothing. response:	What?
context: Suspicious.\Uh... Yeah.\No secrets, remember?\I, uh... My parents are asking about souvenirs.\Yasaka Shrine\What's wrong?\Nothing.\What? response:	Have to go?
context: Uh... Yeah.\No secrets, remember?\I, uh... My parents are asking about souvenirs.\Yasaka Shrine\What's wrong?\Nothing.\What?\Have to go? response:	No?
context: No secrets, remember?\I, uh... My parents are asking about souvenirs.\Yasaka Shrine\What's wrong?\Nothing.\What?\Have to go?\No? response:	That's enough.
context: I, uh... My parents are asking about souvenirs.\Yasaka Shrine\What's wrong?\Nothing.\What?\Have to go?\No?\That's enough. response:	We're torturing her.
context: Yasaka Shrine\What's wrong?\Nothing.\What?\Have to go?\No?\That's enough.\We're torturing her. response:	Let's split up.
context: What's wrong?\Nothing.\What?\Have to go?\No?\That's enough.\We're torturing her.\Let's split up. response:	Let's go, Miu.
context: Nothing.\What?\Have to go?\No?\That's enough.\We're torturing her.\Let's split up.\Let's go, Miu. response:	Huh?
context: What?\Have to go?\No?\That's enough.\We're torturing her.\Let's split up.\Let's go, Miu.\Huh? response:	Come on.
context: Have to go?\No?\That's enough.\We're torturing her.\Let's split up.\Let's go, Miu.\Huh?\Come on. response:	Hey, wait...
context: No?\That's enough.\We're torturing her.\Let's split up.\Let's go, Miu.\Huh?\Come on.\Hey, wait... response:	See you later!
context: That's enough.\We're torturing her.\Let's split up.\Let's go, Miu.\Huh?\Come on.\Hey, wait...\See you later! response:	I'm at Doimaru Department Store
context: We're torturing her.\Let's split up.\Let's go, Miu.\Huh?\Come on.\Hey, wait...\See you later!\I'm at Doimaru Department Store response:	Where are you?
context: Let's split up.\Let's go, Miu.\Huh?\Come on.\Hey, wait...\See you later!\I'm at Doimaru Department Store\Where are you? response:	He's not answering me.
context: Let's go, Miu.\Huh?\Come on.\Hey, wait...\See you later!\I'm at Doimaru Department Store\Where are you?\He's not answering me. response:	We aren't dating.
context: Huh?\Come on.\Hey, wait...\See you later!\I'm at Doimaru Department Store\Where are you?\He's not answering me.\We aren't dating. response:	I never even gave him an answer.
context: Come on.\Hey, wait...\See you later!\I'm at Doimaru Department Store\Where are you?\He's not answering me.\We aren't dating.\I never even gave him an answer. response:	He might not come.
context: Hey, wait...\See you later!\I'm at Doimaru Department Store\Where are you?\He's not answering me.\We aren't dating.\I never even gave him an answer.\He might not come. response:	Hello, Akane?
context: See you later!\I'm at Doimaru Department Store\Where are you?\He's not answering me.\We aren't dating.\I never even gave him an answer.\He might not come.\Hello, Akane? response:	Here.
context: I'm at Doimaru Department Store\Where are you?\He's not answering me.\We aren't dating.\I never even gave him an answer.\He might not come.\Hello, Akane?\Here. response:	H-Hey...
context: Where are you?\He's not answering me.\We aren't dating.\I never even gave him an answer.\He might not come.\Hello, Akane?\Here.\H-Hey... response:	Who's this?
context: He's not answering me.\We aren't dating.\I never even gave him an answer.\He might not come.\Hello, Akane?\Here.\H-Hey...\Who's this? response:	Azumi.
context: We aren't dating.\I never even gave him an answer.\He might not come.\Hello, Akane?\Here.\H-Hey...\Who's this?\Azumi. response:	Why?
context: I never even gave him an answer.\He might not come.\Hello, Akane?\Here.\H-Hey...\Who's this?\Azumi.\Why? response:	Some stuff happened...
context: He might not come.\Hello, Akane?\Here.\H-Hey...\Who's this?\Azumi.\Why?\Some stuff happened... response:	I don't get it.
context: Hello, Akane?\Here.\H-Hey...\Who's this?\Azumi.\Why?\Some stuff happened...\I don't get it. response:	I was waiting for you.
context: Here.\H-Hey...\Who's this?\Azumi.\Why?\Some stuff happened...\I don't get it.\I was waiting for you. response:	Where are you?
context: H-Hey...\Who's this?\Azumi.\Why?\Some stuff happened...\I don't get it.\I was waiting for you.\Where are you? response:	You're so late.
context: Who's this?\Azumi.\Why?\Some stuff happened...\I don't get it.\I was waiting for you.\Where are you?\You're so late. response:	Sorry.
context: Azumi.\Why?\Some stuff happened...\I don't get it.\I was waiting for you.\Where are you?\You're so late.\Sorry. response:	You told me to meet you here,
context: Why?\Some stuff happened...\I don't get it.\I was waiting for you.\Where are you?\You're so late.\Sorry.\You told me to meet you here, response:	so I came, but you weren't here.
context: Some stuff happened...\I don't get it.\I was waiting for you.\Where are you?\You're so late.\Sorry.\You told me to meet you here,\so I came, but you weren't here. response:	It's raining, and you aren't answering your phone.
context: I don't get it.\I was waiting for you.\Where are you?\You're so late.\Sorry.\You told me to meet you here,\so I came, but you weren't here.\It's raining, and you aren't answering your phone. response:	S-Sorry.
context: I was waiting for you.\Where are you?\You're so late.\Sorry.\You told me to meet you here,\so I came, but you weren't here.\It's raining, and you aren't answering your phone.\S-Sorry. response:	The teacher took my phone.
context: Where are you?\You're so late.\Sorry.\You told me to meet you here,\so I came, but you weren't here.\It's raining, and you aren't answering your phone.\S-Sorry.\The teacher took my phone. response:	Why Chinatsu's phone?
context: You're so late.\Sorry.\You told me to meet you here,\so I came, but you weren't here.\It's raining, and you aren't answering your phone.\S-Sorry.\The teacher took my phone.\Why Chinatsu's phone? response:	You guys are close, huh?
context: Sorry.\You told me to meet you here,\so I came, but you weren't here.\It's raining, and you aren't answering your phone.\S-Sorry.\The teacher took my phone.\Why Chinatsu's phone?\You guys are close, huh? response:	She just happened to...
context: You told me to meet you here,\so I came, but you weren't here.\It's raining, and you aren't answering your phone.\S-Sorry.\The teacher took my phone.\Why Chinatsu's phone?\You guys are close, huh?\She just happened to... response:	What?
context: so I came, but you weren't here.\It's raining, and you aren't answering your phone.\S-Sorry.\The teacher took my phone.\Why Chinatsu's phone?\You guys are close, huh?\She just happened to...\What? response:	Nothing.
context: It's raining, and you aren't answering your phone.\S-Sorry.\The teacher took my phone.\Why Chinatsu's phone?\You guys are close, huh?\She just happened to...\What?\Nothing. response:	I don't know.
context: S-Sorry.\The teacher took my phone.\Why Chinatsu's phone?\You guys are close, huh?\She just happened to...\What?\Nothing.\I don't know. response:	I don't know, but we can't even talk at all...
context: The teacher took my phone.\Why Chinatsu's phone?\You guys are close, huh?\She just happened to...\What?\Nothing.\I don't know.\I don't know, but we can't even talk at all... response:	Yeah.
context: Why Chinatsu's phone?\You guys are close, huh?\She just happened to...\What?\Nothing.\I don't know.\I don't know, but we can't even talk at all...\Yeah. response:	I want...
context: You guys are close, huh?\She just happened to...\What?\Nothing.\I don't know.\I don't know, but we can't even talk at all...\Yeah.\I want... response:	to talk with you more, Azumi-kun.
context: She just happened to...\What?\Nothing.\I don't know.\I don't know, but we can't even talk at all...\Yeah.\I want...\to talk with you more, Azumi-kun. response:	Is that...
context: What?\Nothing.\I don't know.\I don't know, but we can't even talk at all...\Yeah.\I want...\to talk with you more, Azumi-kun.\Is that... response:	your answer?
context: Nothing.\I don't know.\I don't know, but we can't even talk at all...\Yeah.\I want...\to talk with you more, Azumi-kun.\Is that...\your answer? response:	Yeah.
context: I don't know.\I don't know, but we can't even talk at all...\Yeah.\I want...\to talk with you more, Azumi-kun.\Is that...\your answer?\Yeah. response:	Things you shouldn't do in a relationship
context: I don't know, but we can't even talk at all...\Yeah.\I want...\to talk with you more, Azumi-kun.\Is that...\your answer?\Yeah.\Things you shouldn't do in a relationship response:	Dating is so hard.
context: Yeah.\I want...\to talk with you more, Azumi-kun.\Is that...\your answer?\Yeah.\Things you shouldn't do in a relationship\Dating is so hard. response:	I'm going to go to that cram school.
context: I want...\to talk with you more, Azumi-kun.\Is that...\your answer?\Yeah.\Things you shouldn't do in a relationship\Dating is so hard.\I'm going to go to that cram school. response:	Yeah?
context: to talk with you more, Azumi-kun.\Is that...\your answer?\Yeah.\Things you shouldn't do in a relationship\Dating is so hard.\I'm going to go to that cram school.\Yeah? response:	Tell me your LINE ID?
context: Is that...\your answer?\Yeah.\Things you shouldn't do in a relationship\Dating is so hard.\I'm going to go to that cram school.\Yeah?\Tell me your LINE ID? response:	Okay.
context: your answer?\Yeah.\Things you shouldn't do in a relationship\Dating is so hard.\I'm going to go to that cram school.\Yeah?\Tell me your LINE ID?\Okay. response:	Whoops...
context: Yeah.\Things you shouldn't do in a relationship\Dating is so hard.\I'm going to go to that cram school.\Yeah?\Tell me your LINE ID?\Okay.\Whoops... response:	Sorry.
context: Things you shouldn't do in a relationship\Dating is so hard.\I'm going to go to that cram school.\Yeah?\Tell me your LINE ID?\Okay.\Whoops...\Sorry. response:	Are you okay?
context: Dating is so hard.\I'm going to go to that cram school.\Yeah?\Tell me your LINE ID?\Okay.\Whoops...\Sorry.\Are you okay? response:	I'm fine.
context: I'm going to go to that cram school.\Yeah?\Tell me your LINE ID?\Okay.\Whoops...\Sorry.\Are you okay?\I'm fine. response:	Thank goodness.
context: Yeah?\Tell me your LINE ID?\Okay.\Whoops...\Sorry.\Are you okay?\I'm fine.\Thank goodness. response:	Did you find the place okay?
context: Tell me your LINE ID?\Okay.\Whoops...\Sorry.\Are you okay?\I'm fine.\Thank goodness.\Did you find the place okay? response:	I used Maps.
context: Okay.\Whoops...\Sorry.\Are you okay?\I'm fine.\Thank goodness.\Did you find the place okay?\I used Maps. response:	How did the exam go?
context: Whoops...\Sorry.\Are you okay?\I'm fine.\Thank goodness.\Did you find the place okay?\I used Maps.\How did the exam go? response:	Decent.
context: Sorry.\Are you okay?\I'm fine.\Thank goodness.\Did you find the place okay?\I used Maps.\How did the exam go?\Decent. response:	Lucky.
context: Are you okay?\I'm fine.\Thank goodness.\Did you find the place okay?\I used Maps.\How did the exam go?\Decent.\Lucky. response:	I did awful.
context: I'm fine.\Thank goodness.\Did you find the place okay?\I used Maps.\How did the exam go?\Decent.\Lucky.\I did awful. response:	Really?
context: Thank goodness.\Did you find the place okay?\I used Maps.\How did the exam go?\Decent.\Lucky.\I did awful.\Really? response:	I'm not studying.
context: Did you find the place okay?\I used Maps.\How did the exam go?\Decent.\Lucky.\I did awful.\Really?\I'm not studying. response:	Your novel?
context: I used Maps.\How did the exam go?\Decent.\Lucky.\I did awful.\Really?\I'm not studying.\Your novel? response:	Yeah.
context: How did the exam go?\Decent.\Lucky.\I did awful.\Really?\I'm not studying.\Your novel?\Yeah. response:	That's okay, then.
context: Decent.\Lucky.\I did awful.\Really?\I'm not studying.\Your novel?\Yeah.\That's okay, then. response:	I mean, I think it's okay.
context: Lucky.\I did awful.\Really?\I'm not studying.\Your novel?\Yeah.\That's okay, then.\I mean, I think it's okay. response:	Sorry.
context: I did awful.\Really?\I'm not studying.\Your novel?\Yeah.\That's okay, then.\I mean, I think it's okay.\Sorry. response:	Chinatsu
context: Really?\I'm not studying.\Your novel?\Yeah.\That's okay, then.\I mean, I think it's okay.\Sorry.\Chinatsu response:	Notice to Akane! I think I have a crush on Azumi-kun
context: I'm not studying.\Your novel?\Yeah.\That's okay, then.\I mean, I think it's okay.\Sorry.\Chinatsu\Notice to Akane! I think I have a crush on Azumi-kun response:	I think I have a crush on Azumi-kun
context: Your novel?\Yeah.\That's okay, then.\I mean, I think it's okay.\Sorry.\Chinatsu\Notice to Akane! I think I have a crush on Azumi-kun\I think I have a crush on Azumi-kun response:	Can I have a bite?
context: Yeah.\That's okay, then.\I mean, I think it's okay.\Sorry.\Chinatsu\Notice to Akane! I think I have a crush on Azumi-kun\I think I have a crush on Azumi-kun\Can I have a bite? response:	This again?
context: That's okay, then.\I mean, I think it's okay.\Sorry.\Chinatsu\Notice to Akane! I think I have a crush on Azumi-kun\I think I have a crush on Azumi-kun\Can I have a bite?\This again? response:	It's so good!
context: I mean, I think it's okay.\Sorry.\Chinatsu\Notice to Akane! I think I have a crush on Azumi-kun\I think I have a crush on Azumi-kun\Can I have a bite?\This again?\It's so good! response:	What flavor is yours, Akane?
context: Sorry.\Chinatsu\Notice to Akane! I think I have a crush on Azumi-kun\I think I have a crush on Azumi-kun\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane? response:	Kinako mochi soda.
context: Chinatsu\Notice to Akane! I think I have a crush on Azumi-kun\I think I have a crush on Azumi-kun\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda. response:	Let me taste!
context: Notice to Akane! I think I have a crush on Azumi-kun\I think I have a crush on Azumi-kun\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste! response:	Really? Wow!
context: I think I have a crush on Azumi-kun\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\Really? Wow! response:	Yeah, the publisher called me and said they wanted to meet with me.
context: Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me. response:	That's awesome!
context: This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome! response:	I don't know.
context: It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know. response:	Wow...
context: What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow... response:	I still don't know what they want to say.
context: Kinako mochi soda.\Let me taste!\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say. response:	You might be winning that award.
context: Let me taste!\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award. response:	Dunno...
context: Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno... response:	Good for you.
context: Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you. response:	Yeah.
context: That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah. response:	It really is amazing.
context: I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing. response:	Your dream might come true.
context: Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true. response:	Yeah.
context: I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah. response:	Oh, but it's this Sunday.
context: You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday. response:	The same day?
context: Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day? response:	Sorry I can't come cheer for you.
context: Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you. response:	It's totally fine.
context: Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine. response:	The same day, huh?
context: It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh? response:	Yeah.
context: Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah. response:	Let's both do our best.
context: Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best. response:	Yeah, let's.
context: Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's. response:	What about you?
context: The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you? response:	You said you wanted to talk.
context: Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk. response:	Oh, um...
context: It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um... response:	No, never mind.
context: The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind. response:	It's okay. Next time.
context: Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time. response:	Are you sure?
context: Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure? response:	Yeah.
context: Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah. response:	Azumi-kun
context: What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Azumi-kun response:	Here goes
context: You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Azumi-kun\Here goes response:	Here goes
context: Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Azumi-kun\Here goes\Here goes response:	Pinky promise
context: No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Azumi-kun\Here goes\Here goes\Pinky promise response:	Oh, over here.
context: It's okay. Next time.\Are you sure?\Yeah.\Azumi-kun\Here goes\Here goes\Pinky promise\Oh, over here. response:	Hi.
context: Are you sure?\Yeah.\Azumi-kun\Here goes\Here goes\Pinky promise\Oh, over here.\Hi. response:	Hey...
context: Yeah.\Azumi-kun\Here goes\Here goes\Pinky promise\Oh, over here.\Hi.\Hey... response:	About that LINE message the other day...
context: Azumi-kun\Here goes\Here goes\Pinky promise\Oh, over here.\Hi.\Hey...\About that LINE message the other day... response:	S-Sorry.
context: Here goes\Here goes\Pinky promise\Oh, over here.\Hi.\Hey...\About that LINE message the other day...\S-Sorry. response:	For what?
context: Here goes\Pinky promise\Oh, over here.\Hi.\Hey...\About that LINE message the other day...\S-Sorry.\For what? response:	I'm, uh...
context: Pinky promise\Oh, over here.\Hi.\Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh... response:	in... a relationship.
context: Oh, over here.\Hi.\Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship. response:	W-With Azumi-kun.
context: Hi.\Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun. response:	I know.
context: Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know. response:	It's obvious.
context: About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious. response:	We're friends, after all.
context: S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all. response:	Uh...
context: For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh... response:	Thanks for letting me know.
context: I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know. response:	Set!
context: in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set! response:	Mizuno, slow down!
context: W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Mizuno, slow down! response:	We're searching for young writers right now.
context: I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Mizuno, slow down!\We're searching for young writers right now. response:	Right.
context: It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Mizuno, slow down!\We're searching for young writers right now.\Right. response:	You're in middle school, aren't you?
context: We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Mizuno, slow down!\We're searching for young writers right now.\Right.\You're in middle school, aren't you? response:	Yes.
context: Uh...\Thanks for letting me know.\Set!\Mizuno, slow down!\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes. response:	Lucky you, being so young.
context: Thanks for letting me know.\Set!\Mizuno, slow down!\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young. response:	Well, to be honest, I don't think you're cut out for serious literature.
context: Set!\Mizuno, slow down!\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature. response:	Why don't you try light novel-type stuff instead?
context: Mizuno, slow down!\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead? response:	I have a feeling you could do it, Azumi-san.
context: We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san. response:	Mizuno.
context: Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\Mizuno. response:	What happened today?
context: You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\Mizuno.\What happened today? response:	You weren't focused at all, were you?
context: Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\Mizuno.\What happened today?\You weren't focused at all, were you? response:	I was sure you could make it to prefecturals.
context: Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals. response:	Your time was actually worse than last year.
context: Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year. response:	Come on, Mizuno...
context: Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno... response:	Sorry I didn't tell you we were dating.
context: I have a feeling you could do it, Azumi-san.\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\Sorry I didn't tell you we were dating. response:	And I'm sorry I fell for him.
context: Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him. response:	The truth is...
context: What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\The truth is... response:	Yeah.
context: You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\The truth is...\Yeah. response:	I don't know what to do.
context: I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\The truth is...\Yeah.\I don't know what to do. response:	Yeah.
context: Your time was actually worse than last year.\Come on, Mizuno...\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\The truth is...\Yeah.\I don't know what to do.\Yeah. response:	But... we're friends.
context: Come on, Mizuno...\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\The truth is...\Yeah.\I don't know what to do.\Yeah.\But... we're friends. response:	Thanks, Akane.
context: Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\The truth is...\Yeah.\I don't know what to do.\Yeah.\But... we're friends.\Thanks, Akane. response:	Can I confess to him?
context: And I'm sorry I fell for him.\The truth is...\Yeah.\I don't know what to do.\Yeah.\But... we're friends.\Thanks, Akane.\Can I confess to him? response:	I want proper closure.
