context: It hurts!! response:	No! I messed up the cake again!
context: Hey, since when did you start liking that guy?\Hm' Eh'\He was Touya's classmate,\and he came over' And'\And you have a crush on him?\Wh' What about you?\For me' it wasn't exactly like a crush'\In Hong Kong, I lived very close to Shao Lan. response:	Because I don't have magic powers,
context: Hm' Eh'\He was Touya's classmate,\and he came over' And'\And you have a crush on him?\Wh' What about you?\For me' it wasn't exactly like a crush'\In Hong Kong, I lived very close to Shao Lan.\Because I don't have magic powers, response:	I didn't need to study magic.
context: He was Touya's classmate,\and he came over' And'\And you have a crush on him?\Wh' What about you?\For me' it wasn't exactly like a crush'\In Hong Kong, I lived very close to Shao Lan.\Because I don't have magic powers,\I didn't need to study magic. response:	But Shao Lan and I did have
context: and he came over' And'\And you have a crush on him?\Wh' What about you?\For me' it wasn't exactly like a crush'\In Hong Kong, I lived very close to Shao Lan.\Because I don't have magic powers,\I didn't need to study magic.\But Shao Lan and I did have response:	martial art lessons together with Wei.
context: And you have a crush on him?\Wh' What about you?\For me' it wasn't exactly like a crush'\In Hong Kong, I lived very close to Shao Lan.\Because I don't have magic powers,\I didn't need to study magic.\But Shao Lan and I did have\martial art lessons together with Wei. response:	Shao Lan-sama.
context: Wh' What about you?\For me' it wasn't exactly like a crush'\In Hong Kong, I lived very close to Shao Lan.\Because I don't have magic powers,\I didn't need to study magic.\But Shao Lan and I did have\martial art lessons together with Wei.\Shao Lan-sama. response:	But Shao Lan doesn't smile at all. Nor does he like to play.
context: For me' it wasn't exactly like a crush'\In Hong Kong, I lived very close to Shao Lan.\Because I don't have magic powers,\I didn't need to study magic.\But Shao Lan and I did have\martial art lessons together with Wei.\Shao Lan-sama.\But Shao Lan doesn't smile at all. Nor does he like to play. response:	Like how he is now?
context: In Hong Kong, I lived very close to Shao Lan.\Because I don't have magic powers,\I didn't need to study magic.\But Shao Lan and I did have\martial art lessons together with Wei.\Shao Lan-sama.\But Shao Lan doesn't smile at all. Nor does he like to play.\Like how he is now? response:	Even worse. I've never seen him did anything fun before.
context: Because I don't have magic powers,\I didn't need to study magic.\But Shao Lan and I did have\martial art lessons together with Wei.\Shao Lan-sama.\But Shao Lan doesn't smile at all. Nor does he like to play.\Like how he is now?\Even worse. I've never seen him did anything fun before. response:	That's why I'd watch him sometimes.
context: I didn't need to study magic.\But Shao Lan and I did have\martial art lessons together with Wei.\Shao Lan-sama.\But Shao Lan doesn't smile at all. Nor does he like to play.\Like how he is now?\Even worse. I've never seen him did anything fun before.\That's why I'd watch him sometimes. response:	But, you know'
context: But Shao Lan and I did have\martial art lessons together with Wei.\Shao Lan-sama.\But Shao Lan doesn't smile at all. Nor does he like to play.\Like how he is now?\Even worse. I've never seen him did anything fun before.\That's why I'd watch him sometimes.\But, you know' response:	Is there something wrong?
context: martial art lessons together with Wei.\Shao Lan-sama.\But Shao Lan doesn't smile at all. Nor does he like to play.\Like how he is now?\Even worse. I've never seen him did anything fun before.\That's why I'd watch him sometimes.\But, you know'\Is there something wrong? response:	The bird'
context: Shao Lan-sama.\But Shao Lan doesn't smile at all. Nor does he like to play.\Like how he is now?\Even worse. I've never seen him did anything fun before.\That's why I'd watch him sometimes.\But, you know'\Is there something wrong?\The bird' response:	It flew away'
context: But Shao Lan doesn't smile at all. Nor does he like to play.\Like how he is now?\Even worse. I've never seen him did anything fun before.\That's why I'd watch him sometimes.\But, you know'\Is there something wrong?\The bird'\It flew away' response:	Auntie gave it to me'
context: Like how he is now?\Even worse. I've never seen him did anything fun before.\That's why I'd watch him sometimes.\But, you know'\Is there something wrong?\The bird'\It flew away'\Auntie gave it to me' response:	It was my favorite'
context: Even worse. I've never seen him did anything fun before.\That's why I'd watch him sometimes.\But, you know'\Is there something wrong?\The bird'\It flew away'\Auntie gave it to me'\It was my favorite' response:	Don't cry.
context: That's why I'd watch him sometimes.\But, you know'\Is there something wrong?\The bird'\It flew away'\Auntie gave it to me'\It was my favorite'\Don't cry. response:	Shao Lan-sama! Where are you going?!
context: But, you know'\Is there something wrong?\The bird'\It flew away'\Auntie gave it to me'\It was my favorite'\Don't cry.\Shao Lan-sama! Where are you going?! response:	I'm going to look for it!
context: Is there something wrong?\The bird'\It flew away'\Auntie gave it to me'\It was my favorite'\Don't cry.\Shao Lan-sama! Where are you going?!\I'm going to look for it! response:	So he went looking for it.
context: The bird'\It flew away'\Auntie gave it to me'\It was my favorite'\Don't cry.\Shao Lan-sama! Where are you going?!\I'm going to look for it!\So he went looking for it. response:	And then, the rain started to come down,
context: It flew away'\Auntie gave it to me'\It was my favorite'\Don't cry.\Shao Lan-sama! Where are you going?!\I'm going to look for it!\So he went looking for it.\And then, the rain started to come down, response:	but still Shao Lan hasn't come back.
context: Auntie gave it to me'\It was my favorite'\Don't cry.\Shao Lan-sama! Where are you going?!\I'm going to look for it!\So he went looking for it.\And then, the rain started to come down,\but still Shao Lan hasn't come back. response:	Shao Lan'
context: It was my favorite'\Don't cry.\Shao Lan-sama! Where are you going?!\I'm going to look for it!\So he went looking for it.\And then, the rain started to come down,\but still Shao Lan hasn't come back.\Shao Lan' response:	Don't worry.
context: Don't cry.\Shao Lan-sama! Where are you going?!\I'm going to look for it!\So he went looking for it.\And then, the rain started to come down,\but still Shao Lan hasn't come back.\Shao Lan'\Don't worry. response:	I am sure Shao Lan
context: Shao Lan-sama! Where are you going?!\I'm going to look for it!\So he went looking for it.\And then, the rain started to come down,\but still Shao Lan hasn't come back.\Shao Lan'\Don't worry.\I am sure Shao Lan response:	will bring back the bird.
context: I'm going to look for it!\So he went looking for it.\And then, the rain started to come down,\but still Shao Lan hasn't come back.\Shao Lan'\Don't worry.\I am sure Shao Lan\will bring back the bird. response:	Shao Lan.
context: So he went looking for it.\And then, the rain started to come down,\but still Shao Lan hasn't come back.\Shao Lan'\Don't worry.\I am sure Shao Lan\will bring back the bird.\Shao Lan. response:	Shao Lan'
context: And then, the rain started to come down,\but still Shao Lan hasn't come back.\Shao Lan'\Don't worry.\I am sure Shao Lan\will bring back the bird.\Shao Lan.\Shao Lan' response:	This is the bird, right?
context: but still Shao Lan hasn't come back.\Shao Lan'\Don't worry.\I am sure Shao Lan\will bring back the bird.\Shao Lan.\Shao Lan'\This is the bird, right? response:	Hey! What's the matter? Are you hurting somewhere?
context: Shao Lan'\Don't worry.\I am sure Shao Lan\will bring back the bird.\Shao Lan.\Shao Lan'\This is the bird, right?\Hey! What's the matter? Are you hurting somewhere? response:	So there was such a story.
context: Don't worry.\I am sure Shao Lan\will bring back the bird.\Shao Lan.\Shao Lan'\This is the bird, right?\Hey! What's the matter? Are you hurting somewhere?\So there was such a story. response:	I guess from then on'
context: I am sure Shao Lan\will bring back the bird.\Shao Lan.\Shao Lan'\This is the bird, right?\Hey! What's the matter? Are you hurting somewhere?\So there was such a story.\I guess from then on' response:	I'm not too clear too.
context: will bring back the bird.\Shao Lan.\Shao Lan'\This is the bird, right?\Hey! What's the matter? Are you hurting somewhere?\So there was such a story.\I guess from then on'\I'm not too clear too. response:	I've grown to like him a lot,
context: Shao Lan.\Shao Lan'\This is the bird, right?\Hey! What's the matter? Are you hurting somewhere?\So there was such a story.\I guess from then on'\I'm not too clear too.\I've grown to like him a lot, response:	That why I love him.
context: Shao Lan'\This is the bird, right?\Hey! What's the matter? Are you hurting somewhere?\So there was such a story.\I guess from then on'\I'm not too clear too.\I've grown to like him a lot,\That why I love him. response:	But it's not the same for Shao Lan.
context: This is the bird, right?\Hey! What's the matter? Are you hurting somewhere?\So there was such a story.\I guess from then on'\I'm not too clear too.\I've grown to like him a lot,\That why I love him.\But it's not the same for Shao Lan. response:	He made a promise with me, but'
context: Hey! What's the matter? Are you hurting somewhere?\So there was such a story.\I guess from then on'\I'm not too clear too.\I've grown to like him a lot,\That why I love him.\But it's not the same for Shao Lan.\He made a promise with me, but' response:	A promise?
context: So there was such a story.\I guess from then on'\I'm not too clear too.\I've grown to like him a lot,\That why I love him.\But it's not the same for Shao Lan.\He made a promise with me, but'\A promise? response:	I don't have any magic.
context: I guess from then on'\I'm not too clear too.\I've grown to like him a lot,\That why I love him.\But it's not the same for Shao Lan.\He made a promise with me, but'\A promise?\I don't have any magic. response:	Even if I stay with him, I can't do anything for him.
context: I'm not too clear too.\I've grown to like him a lot,\That why I love him.\But it's not the same for Shao Lan.\He made a promise with me, but'\A promise?\I don't have any magic.\Even if I stay with him, I can't do anything for him. response:	There's no need for me to be here to help him look for the cards.
context: I've grown to like him a lot,\That why I love him.\But it's not the same for Shao Lan.\He made a promise with me, but'\A promise?\I don't have any magic.\Even if I stay with him, I can't do anything for him.\There's no need for me to be here to help him look for the cards. response:	Mei Lin'
context: That why I love him.\But it's not the same for Shao Lan.\He made a promise with me, but'\A promise?\I don't have any magic.\Even if I stay with him, I can't do anything for him.\There's no need for me to be here to help him look for the cards.\Mei Lin' response:	I sense a Clow Card!
context: But it's not the same for Shao Lan.\He made a promise with me, but'\A promise?\I don't have any magic.\Even if I stay with him, I can't do anything for him.\There's no need for me to be here to help him look for the cards.\Mei Lin'\I sense a Clow Card! response:	Sakura! I'm heading towards
context: He made a promise with me, but'\A promise?\I don't have any magic.\Even if I stay with him, I can't do anything for him.\There's no need for me to be here to help him look for the cards.\Mei Lin'\I sense a Clow Card!\Sakura! I'm heading towards response:	where the Clow Card is!
context: A promise?\I don't have any magic.\Even if I stay with him, I can't do anything for him.\There's no need for me to be here to help him look for the cards.\Mei Lin'\I sense a Clow Card!\Sakura! I'm heading towards\where the Clow Card is! response:	Are you done yet?
context: I don't have any magic.\Even if I stay with him, I can't do anything for him.\There's no need for me to be here to help him look for the cards.\Mei Lin'\I sense a Clow Card!\Sakura! I'm heading towards\where the Clow Card is!\Are you done yet? response:	Yeah. Okay. Gotcha.
context: Even if I stay with him, I can't do anything for him.\There's no need for me to be here to help him look for the cards.\Mei Lin'\I sense a Clow Card!\Sakura! I'm heading towards\where the Clow Card is!\Are you done yet?\Yeah. Okay. Gotcha. response:	Mei Lin-chan, you're not going?
context: There's no need for me to be here to help him look for the cards.\Mei Lin'\I sense a Clow Card!\Sakura! I'm heading towards\where the Clow Card is!\Are you done yet?\Yeah. Okay. Gotcha.\Mei Lin-chan, you're not going? response:	Maybe I shouldn't'
context: Mei Lin'\I sense a Clow Card!\Sakura! I'm heading towards\where the Clow Card is!\Are you done yet?\Yeah. Okay. Gotcha.\Mei Lin-chan, you're not going?\Maybe I shouldn't' response:	Everything in the art museum is doubled.
context: I sense a Clow Card!\Sakura! I'm heading towards\where the Clow Card is!\Are you done yet?\Yeah. Okay. Gotcha.\Mei Lin-chan, you're not going?\Maybe I shouldn't'\Everything in the art museum is doubled. response:	Could this be'
context: Sakura! I'm heading towards\where the Clow Card is!\Are you done yet?\Yeah. Okay. Gotcha.\Mei Lin-chan, you're not going?\Maybe I shouldn't'\Everything in the art museum is doubled.\Could this be' response:	That way?
context: where the Clow Card is!\Are you done yet?\Yeah. Okay. Gotcha.\Mei Lin-chan, you're not going?\Maybe I shouldn't'\Everything in the art museum is doubled.\Could this be'\That way? response:	Let's go, Mei Lin-chan!
context: Are you done yet?\Yeah. Okay. Gotcha.\Mei Lin-chan, you're not going?\Maybe I shouldn't'\Everything in the art museum is doubled.\Could this be'\That way?\Let's go, Mei Lin-chan! response:	But even if I go'
context: Yeah. Okay. Gotcha.\Mei Lin-chan, you're not going?\Maybe I shouldn't'\Everything in the art museum is doubled.\Could this be'\That way?\Let's go, Mei Lin-chan!\But even if I go' response:	Mei Lin-chan!
context: Mei Lin-chan, you're not going?\Maybe I shouldn't'\Everything in the art museum is doubled.\Could this be'\That way?\Let's go, Mei Lin-chan!\But even if I go'\Mei Lin-chan! response:	There are plenty of things that no one else but you can do.
context: Maybe I shouldn't'\Everything in the art museum is doubled.\Could this be'\That way?\Let's go, Mei Lin-chan!\But even if I go'\Mei Lin-chan!\There are plenty of things that no one else but you can do. response:	Crap.
context: Everything in the art museum is doubled.\Could this be'\That way?\Let's go, Mei Lin-chan!\But even if I go'\Mei Lin-chan!\There are plenty of things that no one else but you can do.\Crap. response:	No! It is Twin after all.
context: Could this be'\That way?\Let's go, Mei Lin-chan!\But even if I go'\Mei Lin-chan!\There are plenty of things that no one else but you can do.\Crap.\No! It is Twin after all. response:	What? Didn't your house become double as well?
context: That way?\Let's go, Mei Lin-chan!\But even if I go'\Mei Lin-chan!\There are plenty of things that no one else but you can do.\Crap.\No! It is Twin after all.\What? Didn't your house become double as well? response:	Shao Lan!
context: Let's go, Mei Lin-chan!\But even if I go'\Mei Lin-chan!\There are plenty of things that no one else but you can do.\Crap.\No! It is Twin after all.\What? Didn't your house become double as well?\Shao Lan! response:	Are you all right?
context: But even if I go'\Mei Lin-chan!\There are plenty of things that no one else but you can do.\Crap.\No! It is Twin after all.\What? Didn't your house become double as well?\Shao Lan!\Are you all right? response:	Even that old man!
context: Mei Lin-chan!\There are plenty of things that no one else but you can do.\Crap.\No! It is Twin after all.\What? Didn't your house become double as well?\Shao Lan!\Are you all right?\Even that old man! response:	Kero-chan! Sakura!
context: There are plenty of things that no one else but you can do.\Crap.\No! It is Twin after all.\What? Didn't your house become double as well?\Shao Lan!\Are you all right?\Even that old man!\Kero-chan! Sakura! response:	What have you been doing? You're late!
context: Crap.\No! It is Twin after all.\What? Didn't your house become double as well?\Shao Lan!\Are you all right?\Even that old man!\Kero-chan! Sakura!\What have you been doing? You're late! response:	I'm sorry!
context: No! It is Twin after all.\What? Didn't your house become double as well?\Shao Lan!\Are you all right?\Even that old man!\Kero-chan! Sakura!\What have you been doing? You're late!\I'm sorry! response:	Shao Lan! You okay?
context: What? Didn't your house become double as well?\Shao Lan!\Are you all right?\Even that old man!\Kero-chan! Sakura!\What have you been doing? You're late!\I'm sorry!\Shao Lan! You okay? response:	Watch out!
context: Shao Lan!\Are you all right?\Even that old man!\Kero-chan! Sakura!\What have you been doing? You're late!\I'm sorry!\Shao Lan! You okay?\Watch out! response:	Shao Lan! You okay?
context: Are you all right?\Even that old man!\Kero-chan! Sakura!\What have you been doing? You're late!\I'm sorry!\Shao Lan! You okay?\Watch out!\Shao Lan! You okay? response:	Jump!
context: Even that old man!\Kero-chan! Sakura!\What have you been doing? You're late!\I'm sorry!\Shao Lan! You okay?\Watch out!\Shao Lan! You okay?\Jump! response:	Wind! Become a chain of admonition!
context: Kero-chan! Sakura!\What have you been doing? You're late!\I'm sorry!\Shao Lan! You okay?\Watch out!\Shao Lan! You okay?\Jump!\Wind! Become a chain of admonition! response:	Windy!
context: What have you been doing? You're late!\I'm sorry!\Shao Lan! You okay?\Watch out!\Shao Lan! You okay?\Jump!\Wind! Become a chain of admonition!\Windy! response:	Return to thy form which thou should be!
context: I'm sorry!\Shao Lan! You okay?\Watch out!\Shao Lan! You okay?\Jump!\Wind! Become a chain of admonition!\Windy!\Return to thy form which thou should be! response:	Clow Card!
context: Shao Lan! You okay?\Watch out!\Shao Lan! You okay?\Jump!\Wind! Become a chain of admonition!\Windy!\Return to thy form which thou should be!\Clow Card! response:	How come?!
context: Watch out!\Shao Lan! You okay?\Jump!\Wind! Become a chain of admonition!\Windy!\Return to thy form which thou should be!\Clow Card!\How come?! response:	It won't work
context: Shao Lan! You okay?\Jump!\Wind! Become a chain of admonition!\Windy!\Return to thy form which thou should be!\Clow Card!\How come?!\It won't work response:	if you only capture one of the twins.
context: Jump!\Wind! Become a chain of admonition!\Windy!\Return to thy form which thou should be!\Clow Card!\How come?!\It won't work\if you only capture one of the twins. response:	They have to be caught exactly at the same moment!
context: Wind! Become a chain of admonition!\Windy!\Return to thy form which thou should be!\Clow Card!\How come?!\It won't work\if you only capture one of the twins.\They have to be caught exactly at the same moment! response:	At the same moment!
context: Windy!\Return to thy form which thou should be!\Clow Card!\How come?!\It won't work\if you only capture one of the twins.\They have to be caught exactly at the same moment!\At the same moment! response:	Jump!
context: Return to thy form which thou should be!\Clow Card!\How come?!\It won't work\if you only capture one of the twins.\They have to be caught exactly at the same moment!\At the same moment!\Jump! response:	What to do'
context: Clow Card!\How come?!\It won't work\if you only capture one of the twins.\They have to be caught exactly at the same moment!\At the same moment!\Jump!\What to do' response:	' Has to be at the same moment'?' Right.
context: How come?!\It won't work\if you only capture one of the twins.\They have to be caught exactly at the same moment!\At the same moment!\Jump!\What to do'\' Has to be at the same moment'?' Right. response:	King of Thunder, descend!
context: It won't work\if you only capture one of the twins.\They have to be caught exactly at the same moment!\At the same moment!\Jump!\What to do'\' Has to be at the same moment'?' Right.\King of Thunder, descend! response:	I see!
context: if you only capture one of the twins.\They have to be caught exactly at the same moment!\At the same moment!\Jump!\What to do'\' Has to be at the same moment'?' Right.\King of Thunder, descend!\I see! response:	Thunder!
context: They have to be caught exactly at the same moment!\At the same moment!\Jump!\What to do'\' Has to be at the same moment'?' Right.\King of Thunder, descend!\I see!\Thunder! response:	That won't work!
context: At the same moment!\Jump!\What to do'\' Has to be at the same moment'?' Right.\King of Thunder, descend!\I see!\Thunder!\That won't work! response:	Just as I thought.
context: Jump!\What to do'\' Has to be at the same moment'?' Right.\King of Thunder, descend!\I see!\Thunder!\That won't work!\Just as I thought. response:	They noticed a gap in time'
context: What to do'\' Has to be at the same moment'?' Right.\King of Thunder, descend!\I see!\Thunder!\That won't work!\Just as I thought.\They noticed a gap in time' response:	If it's not exactly the same moment'
context: ' Has to be at the same moment'?' Right.\King of Thunder, descend!\I see!\Thunder!\That won't work!\Just as I thought.\They noticed a gap in time'\If it's not exactly the same moment' response:	What? Exact same moment?
context: King of Thunder, descend!\I see!\Thunder!\That won't work!\Just as I thought.\They noticed a gap in time'\If it's not exactly the same moment'\What? Exact same moment? response:	Even there is just a gap, they will notice.
context: I see!\Thunder!\That won't work!\Just as I thought.\They noticed a gap in time'\If it's not exactly the same moment'\What? Exact same moment?\Even there is just a gap, they will notice. response:	Wanna try one more time?
context: Thunder!\That won't work!\Just as I thought.\They noticed a gap in time'\If it's not exactly the same moment'\What? Exact same moment?\Even there is just a gap, they will notice.\Wanna try one more time? response:	But is it gonna work?
context: That won't work!\Just as I thought.\They noticed a gap in time'\If it's not exactly the same moment'\What? Exact same moment?\Even there is just a gap, they will notice.\Wanna try one more time?\But is it gonna work? response:	We gotta try, if nothing else!
context: Just as I thought.\They noticed a gap in time'\If it's not exactly the same moment'\What? Exact same moment?\Even there is just a gap, they will notice.\Wanna try one more time?\But is it gonna work?\We gotta try, if nothing else! response:	Mei Lin-chan!
context: They noticed a gap in time'\If it's not exactly the same moment'\What? Exact same moment?\Even there is just a gap, they will notice.\Wanna try one more time?\But is it gonna work?\We gotta try, if nothing else!\Mei Lin-chan! response:	Li-kun! You and Mei Lin-chan might be able
context: If it's not exactly the same moment'\What? Exact same moment?\Even there is just a gap, they will notice.\Wanna try one more time?\But is it gonna work?\We gotta try, if nothing else!\Mei Lin-chan!\Li-kun! You and Mei Lin-chan might be able response:	to move just like the Twin.
context: What? Exact same moment?\Even there is just a gap, they will notice.\Wanna try one more time?\But is it gonna work?\We gotta try, if nothing else!\Mei Lin-chan!\Li-kun! You and Mei Lin-chan might be able\to move just like the Twin. response:	can stop their action.
context: Even there is just a gap, they will notice.\Wanna try one more time?\But is it gonna work?\We gotta try, if nothing else!\Mei Lin-chan!\Li-kun! You and Mei Lin-chan might be able\to move just like the Twin.\can stop their action. response:	' Kinomoto-san!' You can do it!
context: Wanna try one more time?\But is it gonna work?\We gotta try, if nothing else!\Mei Lin-chan!\Li-kun! You and Mei Lin-chan might be able\to move just like the Twin.\can stop their action.\' Kinomoto-san!' You can do it! response:	Because you've always watched Li-kun!
context: But is it gonna work?\We gotta try, if nothing else!\Mei Lin-chan!\Li-kun! You and Mei Lin-chan might be able\to move just like the Twin.\can stop their action.\' Kinomoto-san!' You can do it!\Because you've always watched Li-kun! response:	But'
context: We gotta try, if nothing else!\Mei Lin-chan!\Li-kun! You and Mei Lin-chan might be able\to move just like the Twin.\can stop their action.\' Kinomoto-san!' You can do it!\Because you've always watched Li-kun!\But' response:	I' might be a bother'
context: Mei Lin-chan!\Li-kun! You and Mei Lin-chan might be able\to move just like the Twin.\can stop their action.\' Kinomoto-san!' You can do it!\Because you've always watched Li-kun!\But'\I' might be a bother' response:	Let's do it! Mei Lin!
context: Li-kun! You and Mei Lin-chan might be able\to move just like the Twin.\can stop their action.\' Kinomoto-san!' You can do it!\Because you've always watched Li-kun!\But'\I' might be a bother'\Let's do it! Mei Lin! response:	Got it!
context: to move just like the Twin.\can stop their action.\' Kinomoto-san!' You can do it!\Because you've always watched Li-kun!\But'\I' might be a bother'\Let's do it! Mei Lin!\Got it! response:	Awesome!
context: can stop their action.\' Kinomoto-san!' You can do it!\Because you've always watched Li-kun!\But'\I' might be a bother'\Let's do it! Mei Lin!\Got it!\Awesome! response:	Are you okay?
context: ' Kinomoto-san!' You can do it!\Because you've always watched Li-kun!\But'\I' might be a bother'\Let's do it! Mei Lin!\Got it!\Awesome!\Are you okay? response:	Now!
context: Because you've always watched Li-kun!\But'\I' might be a bother'\Let's do it! Mei Lin!\Got it!\Awesome!\Are you okay?\Now! response:	Return to thy form which thou should be!
context: But'\I' might be a bother'\Let's do it! Mei Lin!\Got it!\Awesome!\Are you okay?\Now!\Return to thy form which thou should be! response:	Clow Card!
context: I' might be a bother'\Let's do it! Mei Lin!\Got it!\Awesome!\Are you okay?\Now!\Return to thy form which thou should be!\Clow Card! response:	I've never thought of you as a bother.
context: Let's do it! Mei Lin!\Got it!\Awesome!\Are you okay?\Now!\Return to thy form which thou should be!\Clow Card!\I've never thought of you as a bother. response:	I've never imagined that
context: Got it!\Awesome!\Are you okay?\Now!\Return to thy form which thou should be!\Clow Card!\I've never thought of you as a bother.\I've never imagined that response:	The noisy bratty girl's gonna leave us.
context: Awesome!\Are you okay?\Now!\Return to thy form which thou should be!\Clow Card!\I've never thought of you as a bother.\I've never imagined that\The noisy bratty girl's gonna leave us. response:	She'll be sad'
context: Are you okay?\Now!\Return to thy form which thou should be!\Clow Card!\I've never thought of you as a bother.\I've never imagined that\The noisy bratty girl's gonna leave us.\She'll be sad' response:	You didn't forget anything else, right?
context: Now!\Return to thy form which thou should be!\Clow Card!\I've never thought of you as a bother.\I've never imagined that\The noisy bratty girl's gonna leave us.\She'll be sad'\You didn't forget anything else, right? response:	Let me take care of boarding procedures.
context: Return to thy form which thou should be!\Clow Card!\I've never thought of you as a bother.\I've never imagined that\The noisy bratty girl's gonna leave us.\She'll be sad'\You didn't forget anything else, right?\Let me take care of boarding procedures. response:	I'll contact you when we arrive.
context: Clow Card!\I've never thought of you as a bother.\I've never imagined that\The noisy bratty girl's gonna leave us.\She'll be sad'\You didn't forget anything else, right?\Let me take care of boarding procedures.\I'll contact you when we arrive. response:	Hey, do you remember that promise?
context: I've never thought of you as a bother.\I've never imagined that\The noisy bratty girl's gonna leave us.\She'll be sad'\You didn't forget anything else, right?\Let me take care of boarding procedures.\I'll contact you when we arrive.\Hey, do you remember that promise? response:	Promise?
context: I've never imagined that\The noisy bratty girl's gonna leave us.\She'll be sad'\You didn't forget anything else, right?\Let me take care of boarding procedures.\I'll contact you when we arrive.\Hey, do you remember that promise?\Promise? response:	I love you!
context: The noisy bratty girl's gonna leave us.\She'll be sad'\You didn't forget anything else, right?\Let me take care of boarding procedures.\I'll contact you when we arrive.\Hey, do you remember that promise?\Promise?\I love you! response:	I love you, Shao Lan! I'll be your bride!
context: She'll be sad'\You didn't forget anything else, right?\Let me take care of boarding procedures.\I'll contact you when we arrive.\Hey, do you remember that promise?\Promise?\I love you!\I love you, Shao Lan! I'll be your bride! response:	Hey, wait a second! I'
context: You didn't forget anything else, right?\Let me take care of boarding procedures.\I'll contact you when we arrive.\Hey, do you remember that promise?\Promise?\I love you!\I love you, Shao Lan! I'll be your bride!\Hey, wait a second! I' response:	Shao Lan! Is there someone else
context: Let me take care of boarding procedures.\I'll contact you when we arrive.\Hey, do you remember that promise?\Promise?\I love you!\I love you, Shao Lan! I'll be your bride!\Hey, wait a second! I'\Shao Lan! Is there someone else response:	you love more than me?
context: I'll contact you when we arrive.\Hey, do you remember that promise?\Promise?\I love you!\I love you, Shao Lan! I'll be your bride!\Hey, wait a second! I'\Shao Lan! Is there someone else\you love more than me? response:	No, there isn't, but'
context: Hey, do you remember that promise?\Promise?\I love you!\I love you, Shao Lan! I'll be your bride!\Hey, wait a second! I'\Shao Lan! Is there someone else\you love more than me?\No, there isn't, but' response:	So I'll be your bride!
context: Promise?\I love you!\I love you, Shao Lan! I'll be your bride!\Hey, wait a second! I'\Shao Lan! Is there someone else\you love more than me?\No, there isn't, but'\So I'll be your bride! response:	Because you're the one I love most!
context: I love you!\I love you, Shao Lan! I'll be your bride!\Hey, wait a second! I'\Shao Lan! Is there someone else\you love more than me?\No, there isn't, but'\So I'll be your bride!\Because you're the one I love most! response:	Hey, listen'
context: I love you, Shao Lan! I'll be your bride!\Hey, wait a second! I'\Shao Lan! Is there someone else\you love more than me?\No, there isn't, but'\So I'll be your bride!\Because you're the one I love most!\Hey, listen' response:	I'll give up
context: Hey, wait a second! I'\Shao Lan! Is there someone else\you love more than me?\No, there isn't, but'\So I'll be your bride!\Because you're the one I love most!\Hey, listen'\I'll give up response:	if you find someone you love more than me.
context: Shao Lan! Is there someone else\you love more than me?\No, there isn't, but'\So I'll be your bride!\Because you're the one I love most!\Hey, listen'\I'll give up\if you find someone you love more than me. response:	But until that day,
context: you love more than me?\No, there isn't, but'\So I'll be your bride!\Because you're the one I love most!\Hey, listen'\I'll give up\if you find someone you love more than me.\But until that day, response:	I'm your bride!
context: No, there isn't, but'\So I'll be your bride!\Because you're the one I love most!\Hey, listen'\I'll give up\if you find someone you love more than me.\But until that day,\I'm your bride! response:	' Okay?' What do you mean'okay'?
context: So I'll be your bride!\Because you're the one I love most!\Hey, listen'\I'll give up\if you find someone you love more than me.\But until that day,\I'm your bride!\' Okay?' What do you mean'okay'? response:	Okay?!
context: Because you're the one I love most!\Hey, listen'\I'll give up\if you find someone you love more than me.\But until that day,\I'm your bride!\' Okay?' What do you mean'okay'?\Okay?! response:	Do whatever you want.
context: Hey, listen'\I'll give up\if you find someone you love more than me.\But until that day,\I'm your bride!\' Okay?' What do you mean'okay'?\Okay?!\Do whatever you want. response:	Until you find someone you love most,
context: I'll give up\if you find someone you love more than me.\But until that day,\I'm your bride!\' Okay?' What do you mean'okay'?\Okay?!\Do whatever you want.\Until you find someone you love most, response:	I'm your fiancee.
context: if you find someone you love more than me.\But until that day,\I'm your bride!\' Okay?' What do you mean'okay'?\Okay?!\Do whatever you want.\Until you find someone you love most,\I'm your fiancee. response:	Mei Lin'
context: But until that day,\I'm your bride!\' Okay?' What do you mean'okay'?\Okay?!\Do whatever you want.\Until you find someone you love most,\I'm your fiancee.\Mei Lin' response:	Mei Lin-chan' We'll see each other again, right?
context: I'm your bride!\' Okay?' What do you mean'okay'?\Okay?!\Do whatever you want.\Until you find someone you love most,\I'm your fiancee.\Mei Lin'\Mei Lin-chan' We'll see each other again, right? response:	Of course! I'll definitely come back to be near Shao Lan.
context: ' Okay?' What do you mean'okay'?\Okay?!\Do whatever you want.\Until you find someone you love most,\I'm your fiancee.\Mei Lin'\Mei Lin-chan' We'll see each other again, right?\Of course! I'll definitely come back to be near Shao Lan. response:	Mei Lin-sama! It is time!
context: Okay?!\Do whatever you want.\Until you find someone you love most,\I'm your fiancee.\Mei Lin'\Mei Lin-chan' We'll see each other again, right?\Of course! I'll definitely come back to be near Shao Lan.\Mei Lin-sama! It is time! response:	Okay!
context: Do whatever you want.\Until you find someone you love most,\I'm your fiancee.\Mei Lin'\Mei Lin-chan' We'll see each other again, right?\Of course! I'll definitely come back to be near Shao Lan.\Mei Lin-sama! It is time!\Okay! response:	Thanks for helping me
