context: 48 Days Until the Prefectural Tournament! response:	Gou-chan, you're still doing those?
context: Wait.\I'll think of something.\There should be a way to hold a camp without needing money.\Mako-chan's getting serious!\We can count on our captain!\Whatcha doing, big brother?\Are you going camping? I wanna come!\I've got a training camp with Haru and everyone else. response:	Maybe some other time.
context: I'll think of something.\There should be a way to hold a camp without needing money.\Mako-chan's getting serious!\We can count on our captain!\Whatcha doing, big brother?\Are you going camping? I wanna come!\I've got a training camp with Haru and everyone else.\Maybe some other time. response:	What? That's no fair!
context: There should be a way to hold a camp without needing money.\Mako-chan's getting serious!\We can count on our captain!\Whatcha doing, big brother?\Are you going camping? I wanna come!\I've got a training camp with Haru and everyone else.\Maybe some other time.\What? That's no fair! response:	His idea is to literally camp outside?
context: Mako-chan's getting serious!\We can count on our captain!\Whatcha doing, big brother?\Are you going camping? I wanna come!\I've got a training camp with Haru and everyone else.\Maybe some other time.\What? That's no fair!\His idea is to literally camp outside? response:	And what do we do about the boat fare to the island?
context: We can count on our captain!\Whatcha doing, big brother?\Are you going camping? I wanna come!\I've got a training camp with Haru and everyone else.\Maybe some other time.\What? That's no fair!\His idea is to literally camp outside?\And what do we do about the boat fare to the island? response:	Are we going to hitchhike?
context: Whatcha doing, big brother?\Are you going camping? I wanna come!\I've got a training camp with Haru and everyone else.\Maybe some other time.\What? That's no fair!\His idea is to literally camp outside?\And what do we do about the boat fare to the island?\Are we going to hitchhike? response:	There aren't any cars or trucks in the ocean.
context: Are you going camping? I wanna come!\I've got a training camp with Haru and everyone else.\Maybe some other time.\What? That's no fair!\His idea is to literally camp outside?\And what do we do about the boat fare to the island?\Are we going to hitchhike?\There aren't any cars or trucks in the ocean. response:	What's this?
context: I've got a training camp with Haru and everyone else.\Maybe some other time.\What? That's no fair!\His idea is to literally camp outside?\And what do we do about the boat fare to the island?\Are we going to hitchhike?\There aren't any cars or trucks in the ocean.\What's this? response:	A grave for a goldfish.
context: Maybe some other time.\What? That's no fair!\His idea is to literally camp outside?\And what do we do about the boat fare to the island?\Are we going to hitchhike?\There aren't any cars or trucks in the ocean.\What's this?\A grave for a goldfish. response:	It was Makoto's pet.
context: What? That's no fair!\His idea is to literally camp outside?\And what do we do about the boat fare to the island?\Are we going to hitchhike?\There aren't any cars or trucks in the ocean.\What's this?\A grave for a goldfish.\It was Makoto's pet. response:	Oh, yeah. He had a pet goldfish in grade school.
context: His idea is to literally camp outside?\And what do we do about the boat fare to the island?\Are we going to hitchhike?\There aren't any cars or trucks in the ocean.\What's this?\A grave for a goldfish.\It was Makoto's pet.\Oh, yeah. He had a pet goldfish in grade school. response:	So this is still here.
context: And what do we do about the boat fare to the island?\Are we going to hitchhike?\There aren't any cars or trucks in the ocean.\What's this?\A grave for a goldfish.\It was Makoto's pet.\Oh, yeah. He had a pet goldfish in grade school.\So this is still here. response:	This is some serious equipment.
context: Are we going to hitchhike?\There aren't any cars or trucks in the ocean.\What's this?\A grave for a goldfish.\It was Makoto's pet.\Oh, yeah. He had a pet goldfish in grade school.\So this is still here.\This is some serious equipment. response:	Our family always goes camping during the summer.
context: There aren't any cars or trucks in the ocean.\What's this?\A grave for a goldfish.\It was Makoto's pet.\Oh, yeah. He had a pet goldfish in grade school.\So this is still here.\This is some serious equipment.\Our family always goes camping during the summer. response:	Who gave you permission to use my place for storage?
context: What's this?\A grave for a goldfish.\It was Makoto's pet.\Oh, yeah. He had a pet goldfish in grade school.\So this is still here.\This is some serious equipment.\Our family always goes camping during the summer.\Who gave you permission to use my place for storage? response:	But there's so much room here.
context: A grave for a goldfish.\It was Makoto's pet.\Oh, yeah. He had a pet goldfish in grade school.\So this is still here.\This is some serious equipment.\Our family always goes camping during the summer.\Who gave you permission to use my place for storage?\But there's so much room here. response:	Are these all deserted islands?
context: It was Makoto's pet.\Oh, yeah. He had a pet goldfish in grade school.\So this is still here.\This is some serious equipment.\Our family always goes camping during the summer.\Who gave you permission to use my place for storage?\But there's so much room here.\Are these all deserted islands? response:	We could camp on a deserted island!
context: Oh, yeah. He had a pet goldfish in grade school.\So this is still here.\This is some serious equipment.\Our family always goes camping during the summer.\Who gave you permission to use my place for storage?\But there's so much room here.\Are these all deserted islands?\We could camp on a deserted island! response:	That's a bad idea.
context: So this is still here.\This is some serious equipment.\Our family always goes camping during the summer.\Who gave you permission to use my place for storage?\But there's so much room here.\Are these all deserted islands?\We could camp on a deserted island!\That's a bad idea. response:	Let's have a barbeque on a deserted island!
context: This is some serious equipment.\Our family always goes camping during the summer.\Who gave you permission to use my place for storage?\But there's so much room here.\Are these all deserted islands?\We could camp on a deserted island!\That's a bad idea.\Let's have a barbeque on a deserted island! response:	Barbeque!
context: Our family always goes camping during the summer.\Who gave you permission to use my place for storage?\But there's so much room here.\Are these all deserted islands?\We could camp on a deserted island!\That's a bad idea.\Let's have a barbeque on a deserted island!\Barbeque! response:	Can you drop the deserted island business?
context: Who gave you permission to use my place for storage?\But there's so much room here.\Are these all deserted islands?\We could camp on a deserted island!\That's a bad idea.\Let's have a barbeque on a deserted island!\Barbeque!\Can you drop the deserted island business? response:	Now we just need money for transportation.
context: But there's so much room here.\Are these all deserted islands?\We could camp on a deserted island!\That's a bad idea.\Let's have a barbeque on a deserted island!\Barbeque!\Can you drop the deserted island business?\Now we just need money for transportation. response:	Do you think Ama-chan has a boat?
context: Are these all deserted islands?\We could camp on a deserted island!\That's a bad idea.\Let's have a barbeque on a deserted island!\Barbeque!\Can you drop the deserted island business?\Now we just need money for transportation.\Do you think Ama-chan has a boat? response:	I seriously doubt it.
context: We could camp on a deserted island!\That's a bad idea.\Let's have a barbeque on a deserted island!\Barbeque!\Can you drop the deserted island business?\Now we just need money for transportation.\Do you think Ama-chan has a boat?\I seriously doubt it. response:	I know someone with one!
context: That's a bad idea.\Let's have a barbeque on a deserted island!\Barbeque!\Can you drop the deserted island business?\Now we just need money for transportation.\Do you think Ama-chan has a boat?\I seriously doubt it.\I know someone with one! response:	Yes, I have the squid fishing boat left by my grandpa.
context: Let's have a barbeque on a deserted island!\Barbeque!\Can you drop the deserted island business?\Now we just need money for transportation.\Do you think Ama-chan has a boat?\I seriously doubt it.\I know someone with one!\Yes, I have the squid fishing boat left by my grandpa. response:	And I have a boating license.
context: Barbeque!\Can you drop the deserted island business?\Now we just need money for transportation.\Do you think Ama-chan has a boat?\I seriously doubt it.\I know someone with one!\Yes, I have the squid fishing boat left by my grandpa.\And I have a boating license. response:	However...
context: Can you drop the deserted island business?\Now we just need money for transportation.\Do you think Ama-chan has a boat?\I seriously doubt it.\I know someone with one!\Yes, I have the squid fishing boat left by my grandpa.\And I have a boating license.\However... response:	You buy me one pizza and expect me to do you a favor like that?
context: Now we just need money for transportation.\Do you think Ama-chan has a boat?\I seriously doubt it.\I know someone with one!\Yes, I have the squid fishing boat left by my grandpa.\And I have a boating license.\However...\You buy me one pizza and expect me to do you a favor like that? response:	Please help us out!
context: Do you think Ama-chan has a boat?\I seriously doubt it.\I know someone with one!\Yes, I have the squid fishing boat left by my grandpa.\And I have a boating license.\However...\You buy me one pizza and expect me to do you a favor like that?\Please help us out! response:	We'll also give you this!
context: I seriously doubt it.\I know someone with one!\Yes, I have the squid fishing boat left by my grandpa.\And I have a boating license.\However...\You buy me one pizza and expect me to do you a favor like that?\Please help us out!\We'll also give you this! response:	I don't want that!
context: I know someone with one!\Yes, I have the squid fishing boat left by my grandpa.\And I have a boating license.\However...\You buy me one pizza and expect me to do you a favor like that?\Please help us out!\We'll also give you this!\I don't want that! response:	Oh, fine.
context: Yes, I have the squid fishing boat left by my grandpa.\And I have a boating license.\However...\You buy me one pizza and expect me to do you a favor like that?\Please help us out!\We'll also give you this!\I don't want that!\Oh, fine. response:	I can't participate in your camp,
context: And I have a boating license.\However...\You buy me one pizza and expect me to do you a favor like that?\Please help us out!\We'll also give you this!\I don't want that!\Oh, fine.\I can't participate in your camp, response:	but I can take you there and back.
context: However...\You buy me one pizza and expect me to do you a favor like that?\Please help us out!\We'll also give you this!\I don't want that!\Oh, fine.\I can't participate in your camp,\but I can take you there and back. response:	Really?!
context: You buy me one pizza and expect me to do you a favor like that?\Please help us out!\We'll also give you this!\I don't want that!\Oh, fine.\I can't participate in your camp,\but I can take you there and back.\Really?! response:	Yeah.
context: Please help us out!\We'll also give you this!\I don't want that!\Oh, fine.\I can't participate in your camp,\but I can take you there and back.\Really?!\Yeah. response:	Yay!
context: We'll also give you this!\I don't want that!\Oh, fine.\I can't participate in your camp,\but I can take you there and back.\Really?!\Yeah.\Yay! response:	I could use a little cruise.
context: I don't want that!\Oh, fine.\I can't participate in your camp,\but I can take you there and back.\Really?!\Yeah.\Yay!\I could use a little cruise. response:	A cruise in a squid fishing boat?
context: Oh, fine.\I can't participate in your camp,\but I can take you there and back.\Really?!\Yeah.\Yay!\I could use a little cruise.\A cruise in a squid fishing boat? response:	Thank you so much!
context: I can't participate in your camp,\but I can take you there and back.\Really?!\Yeah.\Yay!\I could use a little cruise.\A cruise in a squid fishing boat?\Thank you so much! response:	Sure.
context: but I can take you there and back.\Really?!\Yeah.\Yay!\I could use a little cruise.\A cruise in a squid fishing boat?\Thank you so much!\Sure. response:	You can have this!
context: Really?!\Yeah.\Yay!\I could use a little cruise.\A cruise in a squid fishing boat?\Thank you so much!\Sure.\You can have this! response:	I told you, I don't want that!
context: Yeah.\Yay!\I could use a little cruise.\A cruise in a squid fishing boat?\Thank you so much!\Sure.\You can have this!\I told you, I don't want that! response:	Iwatobi Station
context: Yay!\I could use a little cruise.\A cruise in a squid fishing boat?\Thank you so much!\Sure.\You can have this!\I told you, I don't want that!\Iwatobi Station response:	Bye!
context: I could use a little cruise.\A cruise in a squid fishing boat?\Thank you so much!\Sure.\You can have this!\I told you, I don't want that!\Iwatobi Station\Bye! response:	See you tomorrow!
context: A cruise in a squid fishing boat?\Thank you so much!\Sure.\You can have this!\I told you, I don't want that!\Iwatobi Station\Bye!\See you tomorrow! response:	Yeah!
context: Thank you so much!\Sure.\You can have this!\I told you, I don't want that!\Iwatobi Station\Bye!\See you tomorrow!\Yeah! response:	Let's go.
context: Sure.\You can have this!\I told you, I don't want that!\Iwatobi Station\Bye!\See you tomorrow!\Yeah!\Let's go. response:	Yeah.
context: You can have this!\I told you, I don't want that!\Iwatobi Station\Bye!\See you tomorrow!\Yeah!\Let's go.\Yeah. response:	Looks like this camp is going to work out.
context: I told you, I don't want that!\Iwatobi Station\Bye!\See you tomorrow!\Yeah!\Let's go.\Yeah.\Looks like this camp is going to work out. response:	We just need permission from Miss Ama-chan now.
context: Iwatobi Station\Bye!\See you tomorrow!\Yeah!\Let's go.\Yeah.\Looks like this camp is going to work out.\We just need permission from Miss Ama-chan now. response:	Yeah.
context: Bye!\See you tomorrow!\Yeah!\Let's go.\Yeah.\Looks like this camp is going to work out.\We just need permission from Miss Ama-chan now.\Yeah. response:	A training camp with everyone, huh?
context: See you tomorrow!\Yeah!\Let's go.\Yeah.\Looks like this camp is going to work out.\We just need permission from Miss Ama-chan now.\Yeah.\A training camp with everyone, huh? response:	I'm looking forward to this.
context: Yeah!\Let's go.\Yeah.\Looks like this camp is going to work out.\We just need permission from Miss Ama-chan now.\Yeah.\A training camp with everyone, huh?\I'm looking forward to this. response:	Oh. Rei's a beginner, so we need to watch out for him.
context: Let's go.\Yeah.\Looks like this camp is going to work out.\We just need permission from Miss Ama-chan now.\Yeah.\A training camp with everyone, huh?\I'm looking forward to this.\Oh. Rei's a beginner, so we need to watch out for him. response:	Is he going to be able to handle this?
context: Yeah.\Looks like this camp is going to work out.\We just need permission from Miss Ama-chan now.\Yeah.\A training camp with everyone, huh?\I'm looking forward to this.\Oh. Rei's a beginner, so we need to watch out for him.\Is he going to be able to handle this? response:	I'm not much of a long distance swimmer myself.
context: Looks like this camp is going to work out.\We just need permission from Miss Ama-chan now.\Yeah.\A training camp with everyone, huh?\I'm looking forward to this.\Oh. Rei's a beginner, so we need to watch out for him.\Is he going to be able to handle this?\I'm not much of a long distance swimmer myself. response:	What's wrong?
context: We just need permission from Miss Ama-chan now.\Yeah.\A training camp with everyone, huh?\I'm looking forward to this.\Oh. Rei's a beginner, so we need to watch out for him.\Is he going to be able to handle this?\I'm not much of a long distance swimmer myself.\What's wrong? response:	Are you really okay with this?
context: Yeah.\A training camp with everyone, huh?\I'm looking forward to this.\Oh. Rei's a beginner, so we need to watch out for him.\Is he going to be able to handle this?\I'm not much of a long distance swimmer myself.\What's wrong?\Are you really okay with this? response:	The ocean.
context: A training camp with everyone, huh?\I'm looking forward to this.\Oh. Rei's a beginner, so we need to watch out for him.\Is he going to be able to handle this?\I'm not much of a long distance swimmer myself.\What's wrong?\Are you really okay with this?\The ocean. response:	I'll be fine.
context: I'm looking forward to this.\Oh. Rei's a beginner, so we need to watch out for him.\Is he going to be able to handle this?\I'm not much of a long distance swimmer myself.\What's wrong?\Are you really okay with this?\The ocean.\I'll be fine. response:	It was a long time ago.
context: Oh. Rei's a beginner, so we need to watch out for him.\Is he going to be able to handle this?\I'm not much of a long distance swimmer myself.\What's wrong?\Are you really okay with this?\The ocean.\I'll be fine.\It was a long time ago. response:	Have fun.
context: Is he going to be able to handle this?\I'm not much of a long distance swimmer myself.\What's wrong?\Are you really okay with this?\The ocean.\I'll be fine.\It was a long time ago.\Have fun. response:	Buy souvenirs.
context: I'm not much of a long distance swimmer myself.\What's wrong?\Are you really okay with this?\The ocean.\I'll be fine.\It was a long time ago.\Have fun.\Buy souvenirs. response:	Be good now.
context: What's wrong?\Are you really okay with this?\The ocean.\I'll be fine.\It was a long time ago.\Have fun.\Buy souvenirs.\Be good now. response:	Morning, Haru.
context: Are you really okay with this?\The ocean.\I'll be fine.\It was a long time ago.\Have fun.\Buy souvenirs.\Be good now.\Morning, Haru. response:	Haru-chan! Mako-chan!
context: The ocean.\I'll be fine.\It was a long time ago.\Have fun.\Buy souvenirs.\Be good now.\Morning, Haru.\Haru-chan! Mako-chan! response:	Over here!
context: I'll be fine.\It was a long time ago.\Have fun.\Buy souvenirs.\Be good now.\Morning, Haru.\Haru-chan! Mako-chan!\Over here! response:	Good morning!
context: It was a long time ago.\Have fun.\Buy souvenirs.\Be good now.\Morning, Haru.\Haru-chan! Mako-chan!\Over here!\Good morning! response:	Good morning.
context: Have fun.\Buy souvenirs.\Be good now.\Morning, Haru.\Haru-chan! Mako-chan!\Over here!\Good morning!\Good morning. response:	Morning.
context: Buy souvenirs.\Be good now.\Morning, Haru.\Haru-chan! Mako-chan!\Over here!\Good morning!\Good morning.\Morning. response:	Morning.
context: Be good now.\Morning, Haru.\Haru-chan! Mako-chan!\Over here!\Good morning!\Good morning.\Morning.\Morning. response:	Is everyone here?
context: Morning, Haru.\Haru-chan! Mako-chan!\Over here!\Good morning!\Good morning.\Morning.\Morning.\Is everyone here? response:	We're still missing Miss Amakata.
context: Haru-chan! Mako-chan!\Over here!\Good morning!\Good morning.\Morning.\Morning.\Is everyone here?\We're still missing Miss Amakata. response:	Huh?
context: Over here!\Good morning!\Good morning.\Morning.\Morning.\Is everyone here?\We're still missing Miss Amakata.\Huh? response:	Sorry to keep you all waiting.
context: Good morning!\Good morning.\Morning.\Morning.\Is everyone here?\We're still missing Miss Amakata.\Huh?\Sorry to keep you all waiting. response:	You must be Sasabe-san.
context: Good morning.\Morning.\Morning.\Is everyone here?\We're still missing Miss Amakata.\Huh?\Sorry to keep you all waiting.\You must be Sasabe-san. response:	Thank you for your help.
context: Morning.\Morning.\Is everyone here?\We're still missing Miss Amakata.\Huh?\Sorry to keep you all waiting.\You must be Sasabe-san.\Thank you for your help. response:	Please take this.
context: Morning.\Is everyone here?\We're still missing Miss Amakata.\Huh?\Sorry to keep you all waiting.\You must be Sasabe-san.\Thank you for your help.\Please take this. response:	It's just a token, but...
context: Is everyone here?\We're still missing Miss Amakata.\Huh?\Sorry to keep you all waiting.\You must be Sasabe-san.\Thank you for your help.\Please take this.\It's just a token, but... response:	Oh, thank you.
context: We're still missing Miss Amakata.\Huh?\Sorry to keep you all waiting.\You must be Sasabe-san.\Thank you for your help.\Please take this.\It's just a token, but...\Oh, thank you. response:	Is something wrong?
context: Huh?\Sorry to keep you all waiting.\You must be Sasabe-san.\Thank you for your help.\Please take this.\It's just a token, but...\Oh, thank you.\Is something wrong? response:	Oh, uh...
context: Sorry to keep you all waiting.\You must be Sasabe-san.\Thank you for your help.\Please take this.\It's just a token, but...\Oh, thank you.\Is something wrong?\Oh, uh... response:	Have we met before?
context: You must be Sasabe-san.\Thank you for your help.\Please take this.\It's just a token, but...\Oh, thank you.\Is something wrong?\Oh, uh...\Have we met before? response:	No, we haven't!
context: Thank you for your help.\Please take this.\It's just a token, but...\Oh, thank you.\Is something wrong?\Oh, uh...\Have we met before?\No, we haven't! response:	This is the first time I've met you.
context: Please take this.\It's just a token, but...\Oh, thank you.\Is something wrong?\Oh, uh...\Have we met before?\No, we haven't!\This is the first time I've met you. response:	Is he trying to hit on her?
context: It's just a token, but...\Oh, thank you.\Is something wrong?\Oh, uh...\Have we met before?\No, we haven't!\This is the first time I've met you.\Is he trying to hit on her? response:	Okay, let's set sail!
context: Oh, thank you.\Is something wrong?\Oh, uh...\Have we met before?\No, we haven't!\This is the first time I've met you.\Is he trying to hit on her?\Okay, let's set sail! response:	Big Catch Sasa
context: Is something wrong?\Oh, uh...\Have we met before?\No, we haven't!\This is the first time I've met you.\Is he trying to hit on her?\Okay, let's set sail!\Big Catch Sasa response:	I'll fly our flag with a prayer for your training camp's success!
context: Oh, uh...\Have we met before?\No, we haven't!\This is the first time I've met you.\Is he trying to hit on her?\Okay, let's set sail!\Big Catch Sasa\I'll fly our flag with a prayer for your training camp's success! response:	Off we go to the deserted island!
context: Have we met before?\No, we haven't!\This is the first time I've met you.\Is he trying to hit on her?\Okay, let's set sail!\Big Catch Sasa\I'll fly our flag with a prayer for your training camp's success!\Off we go to the deserted island! response:	Full steam ahead!
context: No, we haven't!\This is the first time I've met you.\Is he trying to hit on her?\Okay, let's set sail!\Big Catch Sasa\I'll fly our flag with a prayer for your training camp's success!\Off we go to the deserted island!\Full steam ahead! response:	We're not going to a deserted island!
context: This is the first time I've met you.\Is he trying to hit on her?\Okay, let's set sail!\Big Catch Sasa\I'll fly our flag with a prayer for your training camp's success!\Off we go to the deserted island!\Full steam ahead!\We're not going to a deserted island! response:	Now, now. Don't be so picky!
context: Is he trying to hit on her?\Okay, let's set sail!\Big Catch Sasa\I'll fly our flag with a prayer for your training camp's success!\Off we go to the deserted island!\Full steam ahead!\We're not going to a deserted island!\Now, now. Don't be so picky! response:	I'm not being picky!
context: Okay, let's set sail!\Big Catch Sasa\I'll fly our flag with a prayer for your training camp's success!\Off we go to the deserted island!\Full steam ahead!\We're not going to a deserted island!\Now, now. Don't be so picky!\I'm not being picky! response:	This place is gorgeous!
context: Big Catch Sasa\I'll fly our flag with a prayer for your training camp's success!\Off we go to the deserted island!\Full steam ahead!\We're not going to a deserted island!\Now, now. Don't be so picky!\I'm not being picky!\This place is gorgeous! response:	I'm so glad I came!
context: I'll fly our flag with a prayer for your training camp's success!\Off we go to the deserted island!\Full steam ahead!\We're not going to a deserted island!\Now, now. Don't be so picky!\I'm not being picky!\This place is gorgeous!\I'm so glad I came! response:	Absolutely!
context: Off we go to the deserted island!\Full steam ahead!\We're not going to a deserted island!\Now, now. Don't be so picky!\I'm not being picky!\This place is gorgeous!\I'm so glad I came!\Absolutely! response:	Are you okay, Rei?
context: Full steam ahead!\We're not going to a deserted island!\Now, now. Don't be so picky!\I'm not being picky!\This place is gorgeous!\I'm so glad I came!\Absolutely!\Are you okay, Rei? response:	I'm okay...
context: We're not going to a deserted island!\Now, now. Don't be so picky!\I'm not being picky!\This place is gorgeous!\I'm so glad I came!\Absolutely!\Are you okay, Rei?\I'm okay... response:	I need to go to the restroom.
context: Now, now. Don't be so picky!\I'm not being picky!\This place is gorgeous!\I'm so glad I came!\Absolutely!\Are you okay, Rei?\I'm okay...\I need to go to the restroom. response:	And here's a gift from me.
context: I'm not being picky!\This place is gorgeous!\I'm so glad I came!\Absolutely!\Are you okay, Rei?\I'm okay...\I need to go to the restroom.\And here's a gift from me. response:	Good luck!
context: This place is gorgeous!\I'm so glad I came!\Absolutely!\Are you okay, Rei?\I'm okay...\I need to go to the restroom.\And here's a gift from me.\Good luck! response:	I'll be back for you on your last day!
context: I'm so glad I came!\Absolutely!\Are you okay, Rei?\I'm okay...\I need to go to the restroom.\And here's a gift from me.\Good luck!\I'll be back for you on your last day! response:	Thank you very much!
context: Absolutely!\Are you okay, Rei?\I'm okay...\I need to go to the restroom.\And here's a gift from me.\Good luck!\I'll be back for you on your last day!\Thank you very much! response:	Is Rei-chan okay?
context: Are you okay, Rei?\I'm okay...\I need to go to the restroom.\And here's a gift from me.\Good luck!\I'll be back for you on your last day!\Thank you very much!\Is Rei-chan okay? response:	It seems there's a sports facility over there.
context: I'm okay...\I need to go to the restroom.\And here's a gift from me.\Good luck!\I'll be back for you on your last day!\Thank you very much!\Is Rei-chan okay?\It seems there's a sports facility over there. response:	It has a 50 meter pool.
context: I need to go to the restroom.\And here's a gift from me.\Good luck!\I'll be back for you on your last day!\Thank you very much!\Is Rei-chan okay?\It seems there's a sports facility over there.\It has a 50 meter pool. response:	We could swim there...
context: And here's a gift from me.\Good luck!\I'll be back for you on your last day!\Thank you very much!\Is Rei-chan okay?\It seems there's a sports facility over there.\It has a 50 meter pool.\We could swim there... response:	We don't have the money to go there.
context: Good luck!\I'll be back for you on your last day!\Thank you very much!\Is Rei-chan okay?\It seems there's a sports facility over there.\It has a 50 meter pool.\We could swim there...\We don't have the money to go there. response:	I'll go look for a good camping site.
context: I'll be back for you on your last day!\Thank you very much!\Is Rei-chan okay?\It seems there's a sports facility over there.\It has a 50 meter pool.\We could swim there...\We don't have the money to go there.\I'll go look for a good camping site. response:	Okay.
context: Thank you very much!\Is Rei-chan okay?\It seems there's a sports facility over there.\It has a 50 meter pool.\We could swim there...\We don't have the money to go there.\I'll go look for a good camping site.\Okay. response:	So what was his gift?
context: Is Rei-chan okay?\It seems there's a sports facility over there.\It has a 50 meter pool.\We could swim there...\We don't have the money to go there.\I'll go look for a good camping site.\Okay.\So what was his gift? response:	Pizza?
context: It seems there's a sports facility over there.\It has a 50 meter pool.\We could swim there...\We don't have the money to go there.\I'll go look for a good camping site.\Okay.\So what was his gift?\Pizza? response:	And this is...
context: It has a 50 meter pool.\We could swim there...\We don't have the money to go there.\I'll go look for a good camping site.\Okay.\So what was his gift?\Pizza?\And this is... response:	Mackerel.
context: We could swim there...\We don't have the money to go there.\I'll go look for a good camping site.\Okay.\So what was his gift?\Pizza?\And this is...\Mackerel. response:	You like mackerel way too much.
context: We don't have the money to go there.\I'll go look for a good camping site.\Okay.\So what was his gift?\Pizza?\And this is...\Mackerel.\You like mackerel way too much. response:	Hey!
context: I'll go look for a good camping site.\Okay.\So what was his gift?\Pizza?\And this is...\Mackerel.\You like mackerel way too much.\Hey! response:	Come over here!
context: Okay.\So what was his gift?\Pizza?\And this is...\Mackerel.\You like mackerel way too much.\Hey!\Come over here! response:	Inoue!
context: So what was his gift?\Pizza?\And this is...\Mackerel.\You like mackerel way too much.\Hey!\Come over here!\Inoue! response:	Yamanaka!
context: Pizza?\And this is...\Mackerel.\You like mackerel way too much.\Hey!\Come over here!\Inoue!\Yamanaka! response:	You're falling behind!
context: And this is...\Mackerel.\You like mackerel way too much.\Hey!\Come over here!\Inoue!\Yamanaka!\You're falling behind! response:	Why is Samezuka's swim team here?
context: Mackerel.\You like mackerel way too much.\Hey!\Come over here!\Inoue!\Yamanaka!\You're falling behind!\Why is Samezuka's swim team here? response:	Pick up the pace!
context: You like mackerel way too much.\Hey!\Come over here!\Inoue!\Yamanaka!\You're falling behind!\Why is Samezuka's swim team here?\Pick up the pace! response:	Oh, Rin-chan's here.
context: Hey!\Come over here!\Inoue!\Yamanaka!\You're falling behind!\Why is Samezuka's swim team here?\Pick up the pace!\Oh, Rin-chan's here. response:	Did you do something again, Gou-chan?
context: Come over here!\Inoue!\Yamanaka!\You're falling behind!\Why is Samezuka's swim team here?\Pick up the pace!\Oh, Rin-chan's here.\Did you do something again, Gou-chan? response:	Huh? I didn't know anything this time.
context: Inoue!\Yamanaka!\You're falling behind!\Why is Samezuka's swim team here?\Pick up the pace!\Oh, Rin-chan's here.\Did you do something again, Gou-chan?\Huh? I didn't know anything this time. response:	Really?
context: Yamanaka!\You're falling behind!\Why is Samezuka's swim team here?\Pick up the pace!\Oh, Rin-chan's here.\Did you do something again, Gou-chan?\Huh? I didn't know anything this time.\Really? response:	I mean, it's obvious that my brother won't listen to anything I say.
context: You're falling behind!\Why is Samezuka's swim team here?\Pick up the pace!\Oh, Rin-chan's here.\Did you do something again, Gou-chan?\Huh? I didn't know anything this time.\Really?\I mean, it's obvious that my brother won't listen to anything I say. response:	Plus...
context: Why is Samezuka's swim team here?\Pick up the pace!\Oh, Rin-chan's here.\Did you do something again, Gou-chan?\Huh? I didn't know anything this time.\Really?\I mean, it's obvious that my brother won't listen to anything I say.\Plus... response:	Plus?
context: Pick up the pace!\Oh, Rin-chan's here.\Did you do something again, Gou-chan?\Huh? I didn't know anything this time.\Really?\I mean, it's obvious that my brother won't listen to anything I say.\Plus...\Plus? response:	No, it's nothing.
context: Oh, Rin-chan's here.\Did you do something again, Gou-chan?\Huh? I didn't know anything this time.\Really?\I mean, it's obvious that my brother won't listen to anything I say.\Plus...\Plus?\No, it's nothing. response:	So it's just a coincidence.
context: Did you do something again, Gou-chan?\Huh? I didn't know anything this time.\Really?\I mean, it's obvious that my brother won't listen to anything I say.\Plus...\Plus?\No, it's nothing.\So it's just a coincidence. response:	We should go say hello then.
context: Huh? I didn't know anything this time.\Really?\I mean, it's obvious that my brother won't listen to anything I say.\Plus...\Plus?\No, it's nothing.\So it's just a coincidence.\We should go say hello then. response:	Don't.
context: Really?\I mean, it's obvious that my brother won't listen to anything I say.\Plus...\Plus?\No, it's nothing.\So it's just a coincidence.\We should go say hello then.\Don't. response:	Huh? Why not?
context: I mean, it's obvious that my brother won't listen to anything I say.\Plus...\Plus?\No, it's nothing.\So it's just a coincidence.\We should go say hello then.\Don't.\Huh? Why not? response:	I promised him
context: Plus...\Plus?\No, it's nothing.\So it's just a coincidence.\We should go say hello then.\Don't.\Huh? Why not?\I promised him response:	that we would meet at prefecturals.
context: Plus?\No, it's nothing.\So it's just a coincidence.\We should go say hello then.\Don't.\Huh? Why not?\I promised him\that we would meet at prefecturals. response:	What? Really?
context: No, it's nothing.\So it's just a coincidence.\We should go say hello then.\Don't.\Huh? Why not?\I promised him\that we would meet at prefecturals.\What? Really? response:	When did that happen?
context: So it's just a coincidence.\We should go say hello then.\Don't.\Huh? Why not?\I promised him\that we would meet at prefecturals.\What? Really?\When did that happen? response:	What is it, Senpai?
context: We should go say hello then.\Don't.\Huh? Why not?\I promised him\that we would meet at prefecturals.\What? Really?\When did that happen?\What is it, Senpai? response:	Oh, I thought I smelled something.
context: Don't.\Huh? Why not?\I promised him\that we would meet at prefecturals.\What? Really?\When did that happen?\What is it, Senpai?\Oh, I thought I smelled something. response:	Smelled something?
context: Huh? Why not?\I promised him\that we would meet at prefecturals.\What? Really?\When did that happen?\What is it, Senpai?\Oh, I thought I smelled something.\Smelled something? response:	Smelled like mackerel.
context: I promised him\that we would meet at prefecturals.\What? Really?\When did that happen?\What is it, Senpai?\Oh, I thought I smelled something.\Smelled something?\Smelled like mackerel. response:	Oh, Matsuoka! You've got a sharp nose!
context: that we would meet at prefecturals.\What? Really?\When did that happen?\What is it, Senpai?\Oh, I thought I smelled something.\Smelled something?\Smelled like mackerel.\Oh, Matsuoka! You've got a sharp nose! response:	We're having mackerel curry for lunch!
