context: Those Awaiting a Star Part 3 response:	I want you to deliver that book to someone for me.
context: And so the child looked very hard. So hard that their eyes could have fallen out.\Then, off in the distance, a myriad of tiny, twinkling stars could be seen.\'See? You can see them if you look really carefully.\The sky is endlessly connected.\Just try, and you'll see even the faintest of lights.'\This is the book I need?\Hatori-san.\Hm? response:	You might see nothing but pitch-black darkness right now.
context: Then, off in the distance, a myriad of tiny, twinkling stars could be seen.\'See? You can see them if you look really carefully.\The sky is endlessly connected.\Just try, and you'll see even the faintest of lights.'\This is the book I need?\Hatori-san.\Hm?\You might see nothing but pitch-black darkness right now. response:	But, you have to keep trying and trying, looking into the dark world.
context: 'See? You can see them if you look really carefully.\The sky is endlessly connected.\Just try, and you'll see even the faintest of lights.'\This is the book I need?\Hatori-san.\Hm?\You might see nothing but pitch-black darkness right now.\But, you have to keep trying and trying, looking into the dark world. response:	Yeah.
context: The sky is endlessly connected.\Just try, and you'll see even the faintest of lights.'\This is the book I need?\Hatori-san.\Hm?\You might see nothing but pitch-black darkness right now.\But, you have to keep trying and trying, looking into the dark world.\Yeah. response:	And off in the distance, you'll surely find some light.
context: Just try, and you'll see even the faintest of lights.'\This is the book I need?\Hatori-san.\Hm?\You might see nothing but pitch-black darkness right now.\But, you have to keep trying and trying, looking into the dark world.\Yeah.\And off in the distance, you'll surely find some light. response:	Like the child of a star?
context: This is the book I need?\Hatori-san.\Hm?\You might see nothing but pitch-black darkness right now.\But, you have to keep trying and trying, looking into the dark world.\Yeah.\And off in the distance, you'll surely find some light.\Like the child of a star? response:	Yes.
context: Hatori-san.\Hm?\You might see nothing but pitch-black darkness right now.\But, you have to keep trying and trying, looking into the dark world.\Yeah.\And off in the distance, you'll surely find some light.\Like the child of a star?\Yes. response:	Like the child of a star.
context: Hm?\You might see nothing but pitch-black darkness right now.\But, you have to keep trying and trying, looking into the dark world.\Yeah.\And off in the distance, you'll surely find some light.\Like the child of a star?\Yes.\Like the child of a star. response:	And when you find the child of a star, they'll surely find you, too.
context: You might see nothing but pitch-black darkness right now.\But, you have to keep trying and trying, looking into the dark world.\Yeah.\And off in the distance, you'll surely find some light.\Like the child of a star?\Yes.\Like the child of a star.\And when you find the child of a star, they'll surely find you, too. response:	And you'll shine light on each other.
context: But, you have to keep trying and trying, looking into the dark world.\Yeah.\And off in the distance, you'll surely find some light.\Like the child of a star?\Yes.\Like the child of a star.\And when you find the child of a star, they'll surely find you, too.\And you'll shine light on each other. response:	And then your world will no longer be pitch-black.
context: Yeah.\And off in the distance, you'll surely find some light.\Like the child of a star?\Yes.\Like the child of a star.\And when you find the child of a star, they'll surely find you, too.\And you'll shine light on each other.\And then your world will no longer be pitch-black. response:	Really?
context: And off in the distance, you'll surely find some light.\Like the child of a star?\Yes.\Like the child of a star.\And when you find the child of a star, they'll surely find you, too.\And you'll shine light on each other.\And then your world will no longer be pitch-black.\Really? response:	Just look.
context: Like the child of a star?\Yes.\Like the child of a star.\And when you find the child of a star, they'll surely find you, too.\And you'll shine light on each other.\And then your world will no longer be pitch-black.\Really?\Just look. response:	There are so many stars out there.
context: Yes.\Like the child of a star.\And when you find the child of a star, they'll surely find you, too.\And you'll shine light on each other.\And then your world will no longer be pitch-black.\Really?\Just look.\There are so many stars out there. response:	I truly believe you'll meet a child of a star who will light your world.
context: Like the child of a star.\And when you find the child of a star, they'll surely find you, too.\And you'll shine light on each other.\And then your world will no longer be pitch-black.\Really?\Just look.\There are so many stars out there.\I truly believe you'll meet a child of a star who will light your world. response:	Really?
context: And when you find the child of a star, they'll surely find you, too.\And you'll shine light on each other.\And then your world will no longer be pitch-black.\Really?\Just look.\There are so many stars out there.\I truly believe you'll meet a child of a star who will light your world.\Really? response:	Life is a lot longer than you think.
context: And you'll shine light on each other.\And then your world will no longer be pitch-black.\Really?\Just look.\There are so many stars out there.\I truly believe you'll meet a child of a star who will light your world.\Really?\Life is a lot longer than you think. response:	Live your best, and you will...
context: And then your world will no longer be pitch-black.\Really?\Just look.\There are so many stars out there.\I truly believe you'll meet a child of a star who will light your world.\Really?\Life is a lot longer than you think.\Live your best, and you will... response:	I can't believe that.
context: Really?\Just look.\There are so many stars out there.\I truly believe you'll meet a child of a star who will light your world.\Really?\Life is a lot longer than you think.\Live your best, and you will...\I can't believe that. response:	Yeah.
context: Just look.\There are so many stars out there.\I truly believe you'll meet a child of a star who will light your world.\Really?\Life is a lot longer than you think.\Live your best, and you will...\I can't believe that.\Yeah. response:	We're ready when you are.
context: There are so many stars out there.\I truly believe you'll meet a child of a star who will light your world.\Really?\Life is a lot longer than you think.\Live your best, and you will...\I can't believe that.\Yeah.\We're ready when you are. response:	I truly believe you'll meet a child of a star who will light your world.
context: I truly believe you'll meet a child of a star who will light your world.\Really?\Life is a lot longer than you think.\Live your best, and you will...\I can't believe that.\Yeah.\We're ready when you are.\I truly believe you'll meet a child of a star who will light your world. response:	Boys, can you come help?
context: Really?\Life is a lot longer than you think.\Live your best, and you will...\I can't believe that.\Yeah.\We're ready when you are.\I truly believe you'll meet a child of a star who will light your world.\Boys, can you come help? response:	The Lonely Little Star
context: Life is a lot longer than you think.\Live your best, and you will...\I can't believe that.\Yeah.\We're ready when you are.\I truly believe you'll meet a child of a star who will light your world.\Boys, can you come help?\The Lonely Little Star response:	Okay.
context: Live your best, and you will...\I can't believe that.\Yeah.\We're ready when you are.\I truly believe you'll meet a child of a star who will light your world.\Boys, can you come help?\The Lonely Little Star\Okay. response:	You will.
context: I can't believe that.\Yeah.\We're ready when you are.\I truly believe you'll meet a child of a star who will light your world.\Boys, can you come help?\The Lonely Little Star\Okay.\You will. response:	I can't believe this book is here, after I let it go.
context: Yeah.\We're ready when you are.\I truly believe you'll meet a child of a star who will light your world.\Boys, can you come help?\The Lonely Little Star\Okay.\You will.\I can't believe this book is here, after I let it go. response:	Show me more.
context: We're ready when you are.\I truly believe you'll meet a child of a star who will light your world.\Boys, can you come help?\The Lonely Little Star\Okay.\You will.\I can't believe this book is here, after I let it go.\Show me more. response:	Show me.
context: I truly believe you'll meet a child of a star who will light your world.\Boys, can you come help?\The Lonely Little Star\Okay.\You will.\I can't believe this book is here, after I let it go.\Show me more.\Show me. response:	Elias?
context: Boys, can you come help?\The Lonely Little Star\Okay.\You will.\I can't believe this book is here, after I let it go.\Show me more.\Show me.\Elias? response:	Chise, may I?
context: The Lonely Little Star\Okay.\You will.\I can't believe this book is here, after I let it go.\Show me more.\Show me.\Elias?\Chise, may I? response:	Huh? Um...
context: Okay.\You will.\I can't believe this book is here, after I let it go.\Show me more.\Show me.\Elias?\Chise, may I?\Huh? Um... response:	Elias, what is it?
context: You will.\I can't believe this book is here, after I let it go.\Show me more.\Show me.\Elias?\Chise, may I?\Huh? Um...\Elias, what is it? response:	Found it.
context: I can't believe this book is here, after I let it go.\Show me more.\Show me.\Elias?\Chise, may I?\Huh? Um...\Elias, what is it?\Found it. response:	That story you just told me...
context: Show me more.\Show me.\Elias?\Chise, may I?\Huh? Um...\Elias, what is it?\Found it.\That story you just told me... response:	I believe I've seen something like it before.
context: Show me.\Elias?\Chise, may I?\Huh? Um...\Elias, what is it?\Found it.\That story you just told me...\I believe I've seen something like it before. response:	See?
context: Elias?\Chise, may I?\Huh? Um...\Elias, what is it?\Found it.\That story you just told me...\I believe I've seen something like it before.\See? response:	Mayoiga?
context: Chise, may I?\Huh? Um...\Elias, what is it?\Found it.\That story you just told me...\I believe I've seen something like it before.\See?\Mayoiga? response:	Yeah.
context: Huh? Um...\Elias, what is it?\Found it.\That story you just told me...\I believe I've seen something like it before.\See?\Mayoiga?\Yeah. response:	It shows itself in a spectacular light to those who get lost in the forest.
context: Elias, what is it?\Found it.\That story you just told me...\I believe I've seen something like it before.\See?\Mayoiga?\Yeah.\It shows itself in a spectacular light to those who get lost in the forest. response:	So that's how it draws people in.
context: Found it.\That story you just told me...\I believe I've seen something like it before.\See?\Mayoiga?\Yeah.\It shows itself in a spectacular light to those who get lost in the forest.\So that's how it draws people in. response:	Huh.
context: That story you just told me...\I believe I've seen something like it before.\See?\Mayoiga?\Yeah.\It shows itself in a spectacular light to those who get lost in the forest.\So that's how it draws people in.\Huh. response:	That's so odd.
context: I believe I've seen something like it before.\See?\Mayoiga?\Yeah.\It shows itself in a spectacular light to those who get lost in the forest.\So that's how it draws people in.\Huh.\That's so odd. response:	How so?
context: See?\Mayoiga?\Yeah.\It shows itself in a spectacular light to those who get lost in the forest.\So that's how it draws people in.\Huh.\That's so odd.\How so? response:	Those who wander in are allowed to bring home just one thing.
context: Mayoiga?\Yeah.\It shows itself in a spectacular light to those who get lost in the forest.\So that's how it draws people in.\Huh.\That's so odd.\How so?\Those who wander in are allowed to bring home just one thing. response:	You don't see this kind of thing very often around here.
context: Yeah.\It shows itself in a spectacular light to those who get lost in the forest.\So that's how it draws people in.\Huh.\That's so odd.\How so?\Those who wander in are allowed to bring home just one thing.\You don't see this kind of thing very often around here. response:	People do steal things by force.
context: It shows itself in a spectacular light to those who get lost in the forest.\So that's how it draws people in.\Huh.\That's so odd.\How so?\Those who wander in are allowed to bring home just one thing.\You don't see this kind of thing very often around here.\People do steal things by force. response:	I see.
context: So that's how it draws people in.\Huh.\That's so odd.\How so?\Those who wander in are allowed to bring home just one thing.\You don't see this kind of thing very often around here.\People do steal things by force.\I see. response:	That's probably the condition for their returning to their own world.
context: Huh.\That's so odd.\How so?\Those who wander in are allowed to bring home just one thing.\You don't see this kind of thing very often around here.\People do steal things by force.\I see.\That's probably the condition for their returning to their own world. response:	That Miura man gave you something every time you left from the library, correct?
context: That's so odd.\How so?\Those who wander in are allowed to bring home just one thing.\You don't see this kind of thing very often around here.\People do steal things by force.\I see.\That's probably the condition for their returning to their own world.\That Miura man gave you something every time you left from the library, correct? response:	A library card, a picture book, and that book.
context: How so?\Those who wander in are allowed to bring home just one thing.\You don't see this kind of thing very often around here.\People do steal things by force.\I see.\That's probably the condition for their returning to their own world.\That Miura man gave you something every time you left from the library, correct?\A library card, a picture book, and that book. response:	I wonder if it counts if it's given to you by someone inside.
context: Those who wander in are allowed to bring home just one thing.\You don't see this kind of thing very often around here.\People do steal things by force.\I see.\That's probably the condition for their returning to their own world.\That Miura man gave you something every time you left from the library, correct?\A library card, a picture book, and that book.\I wonder if it counts if it's given to you by someone inside. response:	What if you can't be given anything?
context: You don't see this kind of thing very often around here.\People do steal things by force.\I see.\That's probably the condition for their returning to their own world.\That Miura man gave you something every time you left from the library, correct?\A library card, a picture book, and that book.\I wonder if it counts if it's given to you by someone inside.\What if you can't be given anything? response:	You'd likely be stuck there.
context: People do steal things by force.\I see.\That's probably the condition for their returning to their own world.\That Miura man gave you something every time you left from the library, correct?\A library card, a picture book, and that book.\I wonder if it counts if it's given to you by someone inside.\What if you can't be given anything?\You'd likely be stuck there. response:	That's what it means to wander into the other side.
context: I see.\That's probably the condition for their returning to their own world.\That Miura man gave you something every time you left from the library, correct?\A library card, a picture book, and that book.\I wonder if it counts if it's given to you by someone inside.\What if you can't be given anything?\You'd likely be stuck there.\That's what it means to wander into the other side. response:	Though I don't know how much he was aware of that.
context: That's probably the condition for their returning to their own world.\That Miura man gave you something every time you left from the library, correct?\A library card, a picture book, and that book.\I wonder if it counts if it's given to you by someone inside.\What if you can't be given anything?\You'd likely be stuck there.\That's what it means to wander into the other side.\Though I don't know how much he was aware of that. response:	Miura-san...
context: That Miura man gave you something every time you left from the library, correct?\A library card, a picture book, and that book.\I wonder if it counts if it's given to you by someone inside.\What if you can't be given anything?\You'd likely be stuck there.\That's what it means to wander into the other side.\Though I don't know how much he was aware of that.\Miura-san... response:	He must have known everything.
context: A library card, a picture book, and that book.\I wonder if it counts if it's given to you by someone inside.\What if you can't be given anything?\You'd likely be stuck there.\That's what it means to wander into the other side.\Though I don't know how much he was aware of that.\Miura-san...\He must have known everything. response:	He must have given the book to me knowing that.
context: I wonder if it counts if it's given to you by someone inside.\What if you can't be given anything?\You'd likely be stuck there.\That's what it means to wander into the other side.\Though I don't know how much he was aware of that.\Miura-san...\He must have known everything.\He must have given the book to me knowing that. response:	What makes you say that?
context: What if you can't be given anything?\You'd likely be stuck there.\That's what it means to wander into the other side.\Though I don't know how much he was aware of that.\Miura-san...\He must have known everything.\He must have given the book to me knowing that.\What makes you say that? response:	If it wasn't that book that he'd given me, I probably wouldn't have left him there.
context: You'd likely be stuck there.\That's what it means to wander into the other side.\Though I don't know how much he was aware of that.\Miura-san...\He must have known everything.\He must have given the book to me knowing that.\What makes you say that?\If it wasn't that book that he'd given me, I probably wouldn't have left him there. response:	Chise...
context: That's what it means to wander into the other side.\Though I don't know how much he was aware of that.\Miura-san...\He must have known everything.\He must have given the book to me knowing that.\What makes you say that?\If it wasn't that book that he'd given me, I probably wouldn't have left him there.\Chise... response:	Yes?
context: Though I don't know how much he was aware of that.\Miura-san...\He must have known everything.\He must have given the book to me knowing that.\What makes you say that?\If it wasn't that book that he'd given me, I probably wouldn't have left him there.\Chise...\Yes? response:	Is this memory a painful one?
context: Miura-san...\He must have known everything.\He must have given the book to me knowing that.\What makes you say that?\If it wasn't that book that he'd given me, I probably wouldn't have left him there.\Chise...\Yes?\Is this memory a painful one? response:	Angie really shouldn't have sent us this.
context: He must have known everything.\He must have given the book to me knowing that.\What makes you say that?\If it wasn't that book that he'd given me, I probably wouldn't have left him there.\Chise...\Yes?\Is this memory a painful one?\Angie really shouldn't have sent us this. response:	That's not true.
context: He must have given the book to me knowing that.\What makes you say that?\If it wasn't that book that he'd given me, I probably wouldn't have left him there.\Chise...\Yes?\Is this memory a painful one?\Angie really shouldn't have sent us this.\That's not true. response:	Really?
context: What makes you say that?\If it wasn't that book that he'd given me, I probably wouldn't have left him there.\Chise...\Yes?\Is this memory a painful one?\Angie really shouldn't have sent us this.\That's not true.\Really? response:	I don't mind this book, either.
context: If it wasn't that book that he'd given me, I probably wouldn't have left him there.\Chise...\Yes?\Is this memory a painful one?\Angie really shouldn't have sent us this.\That's not true.\Really?\I don't mind this book, either. response:	Yeah.
context: Chise...\Yes?\Is this memory a painful one?\Angie really shouldn't have sent us this.\That's not true.\Really?\I don't mind this book, either.\Yeah. response:	You're right.
context: Yes?\Is this memory a painful one?\Angie really shouldn't have sent us this.\That's not true.\Really?\I don't mind this book, either.\Yeah.\You're right. response:	It's already getting dark.
context: Is this memory a painful one?\Angie really shouldn't have sent us this.\That's not true.\Really?\I don't mind this book, either.\Yeah.\You're right.\It's already getting dark. response:	We've really been talking away.
context: Angie really shouldn't have sent us this.\That's not true.\Really?\I don't mind this book, either.\Yeah.\You're right.\It's already getting dark.\We've really been talking away. response:	We didn't finish cleaning.
context: That's not true.\Really?\I don't mind this book, either.\Yeah.\You're right.\It's already getting dark.\We've really been talking away.\We didn't finish cleaning. response:	We can continue tomorrow.
context: Really?\I don't mind this book, either.\Yeah.\You're right.\It's already getting dark.\We've really been talking away.\We didn't finish cleaning.\We can continue tomorrow. response:	Yes.
context: I don't mind this book, either.\Yeah.\You're right.\It's already getting dark.\We've really been talking away.\We didn't finish cleaning.\We can continue tomorrow.\Yes. response:	It's way past tea time, too.
context: Yeah.\You're right.\It's already getting dark.\We've really been talking away.\We didn't finish cleaning.\We can continue tomorrow.\Yes.\It's way past tea time, too. response:	Stare...
context: You're right.\It's already getting dark.\We've really been talking away.\We didn't finish cleaning.\We can continue tomorrow.\Yes.\It's way past tea time, too.\Stare... response:	Silky.
context: It's already getting dark.\We've really been talking away.\We didn't finish cleaning.\We can continue tomorrow.\Yes.\It's way past tea time, too.\Stare...\Silky. response:	You made tea for us?
context: We've really been talking away.\We didn't finish cleaning.\We can continue tomorrow.\Yes.\It's way past tea time, too.\Stare...\Silky.\You made tea for us? response:	Sorry.
context: We didn't finish cleaning.\We can continue tomorrow.\Yes.\It's way past tea time, too.\Stare...\Silky.\You made tea for us?\Sorry. response:	I'll have it with dinner.
context: We can continue tomorrow.\Yes.\It's way past tea time, too.\Stare...\Silky.\You made tea for us?\Sorry.\I'll have it with dinner. response:	You sure you want to make a promise like that?
context: Yes.\It's way past tea time, too.\Stare...\Silky.\You made tea for us?\Sorry.\I'll have it with dinner.\You sure you want to make a promise like that? response:	I'll... I'll do my best.
context: It's way past tea time, too.\Stare...\Silky.\You made tea for us?\Sorry.\I'll have it with dinner.\You sure you want to make a promise like that?\I'll... I'll do my best. response:	All right, it's time for dinner.
context: Stare...\Silky.\You made tea for us?\Sorry.\I'll have it with dinner.\You sure you want to make a promise like that?\I'll... I'll do my best.\All right, it's time for dinner. response:	It's going to be chicken stewed with tomatoes,
context: Silky.\You made tea for us?\Sorry.\I'll have it with dinner.\You sure you want to make a promise like that?\I'll... I'll do my best.\All right, it's time for dinner.\It's going to be chicken stewed with tomatoes, response:	tomato compote, and dried tomato muffins.
context: You made tea for us?\Sorry.\I'll have it with dinner.\You sure you want to make a promise like that?\I'll... I'll do my best.\All right, it's time for dinner.\It's going to be chicken stewed with tomatoes,\tomato compote, and dried tomato muffins. response:	There sure are plenty of tomatoes during the summer.
context: Sorry.\I'll have it with dinner.\You sure you want to make a promise like that?\I'll... I'll do my best.\All right, it's time for dinner.\It's going to be chicken stewed with tomatoes,\tomato compote, and dried tomato muffins.\There sure are plenty of tomatoes during the summer. response:	Chise, what are you going to do with that picture book?
context: I'll have it with dinner.\You sure you want to make a promise like that?\I'll... I'll do my best.\All right, it's time for dinner.\It's going to be chicken stewed with tomatoes,\tomato compote, and dried tomato muffins.\There sure are plenty of tomatoes during the summer.\Chise, what are you going to do with that picture book? response:	I think I'll give it another proper read through.
context: You sure you want to make a promise like that?\I'll... I'll do my best.\All right, it's time for dinner.\It's going to be chicken stewed with tomatoes,\tomato compote, and dried tomato muffins.\There sure are plenty of tomatoes during the summer.\Chise, what are you going to do with that picture book?\I think I'll give it another proper read through. response:	I feel like I can read it differently this time.
context: I'll... I'll do my best.\All right, it's time for dinner.\It's going to be chicken stewed with tomatoes,\tomato compote, and dried tomato muffins.\There sure are plenty of tomatoes during the summer.\Chise, what are you going to do with that picture book?\I think I'll give it another proper read through.\I feel like I can read it differently this time. response:	If you do, would you talk to me about it again?
context: All right, it's time for dinner.\It's going to be chicken stewed with tomatoes,\tomato compote, and dried tomato muffins.\There sure are plenty of tomatoes during the summer.\Chise, what are you going to do with that picture book?\I think I'll give it another proper read through.\I feel like I can read it differently this time.\If you do, would you talk to me about it again? response:	Yes.
context: It's going to be chicken stewed with tomatoes,\tomato compote, and dried tomato muffins.\There sure are plenty of tomatoes during the summer.\Chise, what are you going to do with that picture book?\I think I'll give it another proper read through.\I feel like I can read it differently this time.\If you do, would you talk to me about it again?\Yes. response:	There's more to the Mayoiga story.
context: tomato compote, and dried tomato muffins.\There sure are plenty of tomatoes during the summer.\Chise, what are you going to do with that picture book?\I think I'll give it another proper read through.\I feel like I can read it differently this time.\If you do, would you talk to me about it again?\Yes.\There's more to the Mayoiga story. response:	There's more?
context: There sure are plenty of tomatoes during the summer.\Chise, what are you going to do with that picture book?\I think I'll give it another proper read through.\I feel like I can read it differently this time.\If you do, would you talk to me about it again?\Yes.\There's more to the Mayoiga story.\There's more? response:	Anyone who takes something home from that house is met with good fortune.
context: Chise, what are you going to do with that picture book?\I think I'll give it another proper read through.\I feel like I can read it differently this time.\If you do, would you talk to me about it again?\Yes.\There's more to the Mayoiga story.\There's more?\Anyone who takes something home from that house is met with good fortune. response:	That might be true.
