context: OP response:	OP
context: I see.\Oh, I should pay for those medicines.\No,\tomorrow will be fine.\Good night to you.\Where did I drop my charm?\Give that back!\Where did you response:	Give it back!
context: Oh, I should pay for those medicines.\No,\tomorrow will be fine.\Good night to you.\Where did I drop my charm?\Give that back!\Where did you\Give it back! response:	Give it back!
context: No,\tomorrow will be fine.\Good night to you.\Where did I drop my charm?\Give that back!\Where did you\Give it back!\Give it back! response:	Give it back!
context: tomorrow will be fine.\Good night to you.\Where did I drop my charm?\Give that back!\Where did you\Give it back!\Give it back!\Give it back! response:	Give it back!
context: Good night to you.\Where did I drop my charm?\Give that back!\Where did you\Give it back!\Give it back!\Give it back!\Give it back! response:	Is it yours?
context: Where did I drop my charm?\Give that back!\Where did you\Give it back!\Give it back!\Give it back!\Give it back!\Is it yours? response:	Yup.
context: Give that back!\Where did you\Give it back!\Give it back!\Give it back!\Give it back!\Is it yours?\Yup. response:	Im so sorry.
context: Where did you\Give it back!\Give it back!\Give it back!\Give it back!\Is it yours?\Yup.\Im so sorry. response:	Here you are.
context: Give it back!\Give it back!\Give it back!\Give it back!\Is it yours?\Yup.\Im so sorry.\Here you are. response:	Are you pregnant?
context: Give it back!\Give it back!\Give it back!\Is it yours?\Yup.\Im so sorry.\Here you are.\Are you pregnant? response:	I am.
context: Give it back!\Give it back!\Is it yours?\Yup.\Im so sorry.\Here you are.\Are you pregnant?\I am. response:	It shouldnt be more than four months or so now.
context: Give it back!\Is it yours?\Yup.\Im so sorry.\Here you are.\Are you pregnant?\I am.\It shouldnt be more than four months or so now. response:	Are you happy?
context: Is it yours?\Yup.\Im so sorry.\Here you are.\Are you pregnant?\I am.\It shouldnt be more than four months or so now.\Are you happy? response:	Yes, of course.
context: Yup.\Im so sorry.\Here you are.\Are you pregnant?\I am.\It shouldnt be more than four months or so now.\Are you happy?\Yes, of course. response:	Hey, lets go over there.
context: Im so sorry.\Here you are.\Are you pregnant?\I am.\It shouldnt be more than four months or so now.\Are you happy?\Yes, of course.\Hey, lets go over there. response:	Im afraid not.
context: Here you are.\Are you pregnant?\I am.\It shouldnt be more than four months or so now.\Are you happy?\Yes, of course.\Hey, lets go over there.\Im afraid not. response:	You should get back to your own roo
context: Are you pregnant?\I am.\It shouldnt be more than four months or so now.\Are you happy?\Yes, of course.\Hey, lets go over there.\Im afraid not.\You should get back to your own roo response:	So cold.
context: I am.\It shouldnt be more than four months or so now.\Are you happy?\Yes, of course.\Hey, lets go over there.\Im afraid not.\You should get back to your own roo\So cold. response:	I will not return home!
context: It shouldnt be more than four months or so now.\Are you happy?\Yes, of course.\Hey, lets go over there.\Im afraid not.\You should get back to your own roo\So cold.\I will not return home! response:	Leave me be!
context: Are you happy?\Yes, of course.\Hey, lets go over there.\Im afraid not.\You should get back to your own roo\So cold.\I will not return home!\Leave me be! response:	Do not give birth to this child.
context: Yes, of course.\Hey, lets go over there.\Im afraid not.\You should get back to your own roo\So cold.\I will not return home!\Leave me be!\Do not give birth to this child. response:	If it were to come back and claim its birthright,
context: Hey, lets go over there.\Im afraid not.\You should get back to your own roo\So cold.\I will not return home!\Leave me be!\Do not give birth to this child.\If it were to come back and claim its birthright, response:	it would be quite an inconvenience to the master and mistress.
context: Im afraid not.\You should get back to your own roo\So cold.\I will not return home!\Leave me be!\Do not give birth to this child.\If it were to come back and claim its birthright,\it would be quite an inconvenience to the master and mistress. response:	Ive cut myself off from the young master!
context: You should get back to your own roo\So cold.\I will not return home!\Leave me be!\Do not give birth to this child.\If it were to come back and claim its birthright,\it would be quite an inconvenience to the master and mistress.\Ive cut myself off from the young master! response:	That ignorant little fool does not concern me.
context: So cold.\I will not return home!\Leave me be!\Do not give birth to this child.\If it were to come back and claim its birthright,\it would be quite an inconvenience to the master and mistress.\Ive cut myself off from the young master!\That ignorant little fool does not concern me. response:	I just want to give birth!
context: I will not return home!\Leave me be!\Do not give birth to this child.\If it were to come back and claim its birthright,\it would be quite an inconvenience to the master and mistress.\Ive cut myself off from the young master!\That ignorant little fool does not concern me.\I just want to give birth! response:	Thats all!
context: Leave me be!\Do not give birth to this child.\If it were to come back and claim its birthright,\it would be quite an inconvenience to the master and mistress.\Ive cut myself off from the young master!\That ignorant little fool does not concern me.\I just want to give birth!\Thats all! response:	I cant return empty-handed, having come all this way.
context: Do not give birth to this child.\If it were to come back and claim its birthright,\it would be quite an inconvenience to the master and mistress.\Ive cut myself off from the young master!\That ignorant little fool does not concern me.\I just want to give birth!\Thats all!\I cant return empty-handed, having come all this way. response:	Dont kill me!
context: If it were to come back and claim its birthright,\it would be quite an inconvenience to the master and mistress.\Ive cut myself off from the young master!\That ignorant little fool does not concern me.\I just want to give birth!\Thats all!\I cant return empty-handed, having come all this way.\Dont kill me! response:	No! Please!
context: it would be quite an inconvenience to the master and mistress.\Ive cut myself off from the young master!\That ignorant little fool does not concern me.\I just want to give birth!\Thats all!\I cant return empty-handed, having come all this way.\Dont kill me!\No! Please! response:	My son!
context: Ive cut myself off from the young master!\That ignorant little fool does not concern me.\I just want to give birth!\Thats all!\I cant return empty-handed, having come all this way.\Dont kill me!\No! Please!\My son! response:	Ready to die?
context: That ignorant little fool does not concern me.\I just want to give birth!\Thats all!\I cant return empty-handed, having come all this way.\Dont kill me!\No! Please!\My son!\Ready to die? response:	My son!
context: I just want to give birth!\Thats all!\I cant return empty-handed, having come all this way.\Dont kill me!\No! Please!\My son!\Ready to die?\My son! response:	Prepare to die.
context: Thats all!\I cant return empty-handed, having come all this way.\Dont kill me!\No! Please!\My son!\Ready to die?\My son!\Prepare to die. response:	Think of my son!
context: I cant return empty-handed, having come all this way.\Dont kill me!\No! Please!\My son!\Ready to die?\My son!\Prepare to die.\Think of my son! response:	There it is.
context: Dont kill me!\No! Please!\My son!\Ready to die?\My son!\Prepare to die.\Think of my son!\There it is. response:	Just what is going on here?
context: No! Please!\My son!\Ready to die?\My son!\Prepare to die.\Think of my son!\There it is.\Just what is going on here? response:	What is this?
context: My son!\Ready to die?\My son!\Prepare to die.\Think of my son!\There it is.\Just what is going on here?\What is this? response:	What are you doing here?
context: Ready to die?\My son!\Prepare to die.\Think of my son!\There it is.\Just what is going on here?\What is this?\What are you doing here? response:	Did you do this?
context: My son!\Prepare to die.\Think of my son!\There it is.\Just what is going on here?\What is this?\What are you doing here?\Did you do this? response:	Of course not.
context: Prepare to die.\Think of my son!\There it is.\Just what is going on here?\What is this?\What are you doing here?\Did you do this?\Of course not. response:	Oh no! Its all because you let her stay in this room!
context: Think of my son!\There it is.\Just what is going on here?\What is this?\What are you doing here?\Did you do this?\Of course not.\Oh no! Its all because you let her stay in this room! response:	It protected her?
context: There it is.\Just what is going on here?\What is this?\What are you doing here?\Did you do this?\Of course not.\Oh no! Its all because you let her stay in this room!\It protected her? response:	But why?
context: Just what is going on here?\What is this?\What are you doing here?\Did you do this?\Of course not.\Oh no! Its all because you let her stay in this room!\It protected her?\But why? response:	Tokuji!
context: What is this?\What are you doing here?\Did you do this?\Of course not.\Oh no! Its all because you let her stay in this room!\It protected her?\But why?\Tokuji! response:	Go run to the castle.
context: What are you doing here?\Did you do this?\Of course not.\Oh no! Its all because you let her stay in this room!\It protected her?\But why?\Tokuji!\Go run to the castle. response:	That will not be necessary.
context: Did you do this?\Of course not.\Oh no! Its all because you let her stay in this room!\It protected her?\But why?\Tokuji!\Go run to the castle.\That will not be necessary. response:	Of course its necessary!
context: Of course not.\Oh no! Its all because you let her stay in this room!\It protected her?\But why?\Tokuji!\Go run to the castle.\That will not be necessary.\Of course its necessary! response:	Only a criminal would object to calling the authorities!
context: Oh no! Its all because you let her stay in this room!\It protected her?\But why?\Tokuji!\Go run to the castle.\That will not be necessary.\Of course its necessary!\Only a criminal would object to calling the authorities! response:	You must have done it!
context: It protected her?\But why?\Tokuji!\Go run to the castle.\That will not be necessary.\Of course its necessary!\Only a criminal would object to calling the authorities!\You must have done it! response:	He didnt!
context: But why?\Tokuji!\Go run to the castle.\That will not be necessary.\Of course its necessary!\Only a criminal would object to calling the authorities!\You must have done it!\He didnt! response:	I saw it.
context: Tokuji!\Go run to the castle.\That will not be necessary.\Of course its necessary!\Only a criminal would object to calling the authorities!\You must have done it!\He didnt!\I saw it. response:	He was not the culprit.
context: Go run to the castle.\That will not be necessary.\Of course its necessary!\Only a criminal would object to calling the authorities!\You must have done it!\He didnt!\I saw it.\He was not the culprit. response:	Oh?
context: That will not be necessary.\Of course its necessary!\Only a criminal would object to calling the authorities!\You must have done it!\He didnt!\I saw it.\He was not the culprit.\Oh? response:	What, then,
context: Of course its necessary!\Only a criminal would object to calling the authorities!\You must have done it!\He didnt!\I saw it.\He was not the culprit.\Oh?\What, then, response:	did you see?
context: Only a criminal would object to calling the authorities!\You must have done it!\He didnt!\I saw it.\He was not the culprit.\Oh?\What, then,\did you see? response:	He was caught, and pulled up.
context: You must have done it!\He didnt!\I saw it.\He was not the culprit.\Oh?\What, then,\did you see?\He was caught, and pulled up. response:	Then spun around.
context: He didnt!\I saw it.\He was not the culprit.\Oh?\What, then,\did you see?\He was caught, and pulled up.\Then spun around. response:	Around and around and around and around.
context: I saw it.\He was not the culprit.\Oh?\What, then,\did you see?\He was caught, and pulled up.\Then spun around.\Around and around and around and around. response:	Oh?
context: He was not the culprit.\Oh?\What, then,\did you see?\He was caught, and pulled up.\Then spun around.\Around and around and around and around.\Oh? response:	Around and around and around and around?
context: Oh?\What, then,\did you see?\He was caught, and pulled up.\Then spun around.\Around and around and around and around.\Oh?\Around and around and around and around? response:	Medicine Seller?
context: What, then,\did you see?\He was caught, and pulled up.\Then spun around.\Around and around and around and around.\Oh?\Around and around and around and around?\Medicine Seller? response:	Just who are you?
context: did you see?\He was caught, and pulled up.\Then spun around.\Around and around and around and around.\Oh?\Around and around and around and around?\Medicine Seller?\Just who are you? response:	What are you doing in this room, anyway?
context: He was caught, and pulled up.\Then spun around.\Around and around and around and around.\Oh?\Around and around and around and around?\Medicine Seller?\Just who are you?\What are you doing in this room, anyway? response:	The culprit was not human.
context: Then spun around.\Around and around and around and around.\Oh?\Around and around and around and around?\Medicine Seller?\Just who are you?\What are you doing in this room, anyway?\The culprit was not human. response:	It opened by itself.
context: Around and around and around and around.\Oh?\Around and around and around and around?\Medicine Seller?\Just who are you?\What are you doing in this room, anyway?\The culprit was not human.\It opened by itself. response:	What is that?
context: Oh?\Around and around and around and around?\Medicine Seller?\Just who are you?\What are you doing in this room, anyway?\The culprit was not human.\It opened by itself.\What is that? response:	WhWhy would a medicine seller be carrying such a ridiculous sword?
context: Around and around and around and around?\Medicine Seller?\Just who are you?\What are you doing in this room, anyway?\The culprit was not human.\It opened by itself.\What is that?\WhWhy would a medicine seller be carrying such a ridiculous sword? response:	I came to kill.
context: Medicine Seller?\Just who are you?\What are you doing in this room, anyway?\The culprit was not human.\It opened by itself.\What is that?\WhWhy would a medicine seller be carrying such a ridiculous sword?\I came to kill. response:	KKill what?
context: Just who are you?\What are you doing in this room, anyway?\The culprit was not human.\It opened by itself.\What is that?\WhWhy would a medicine seller be carrying such a ridiculous sword?\I came to kill.\KKill what? response:	The Mononoke, of course.
context: What are you doing in this room, anyway?\The culprit was not human.\It opened by itself.\What is that?\WhWhy would a medicine seller be carrying such a ridiculous sword?\I came to kill.\KKill what?\The Mononoke, of course. response:	Something must have killed him.
context: The culprit was not human.\It opened by itself.\What is that?\WhWhy would a medicine seller be carrying such a ridiculous sword?\I came to kill.\KKill what?\The Mononoke, of course.\Something must have killed him. response:	Dont be stupid!
context: It opened by itself.\What is that?\WhWhy would a medicine seller be carrying such a ridiculous sword?\I came to kill.\KKill what?\The Mononoke, of course.\Something must have killed him.\Dont be stupid! response:	As you can see, though,
context: What is that?\WhWhy would a medicine seller be carrying such a ridiculous sword?\I came to kill.\KKill what?\The Mononoke, of course.\Something must have killed him.\Dont be stupid!\As you can see, though, response:	he was indeed killed.
context: WhWhy would a medicine seller be carrying such a ridiculous sword?\I came to kill.\KKill what?\The Mononoke, of course.\Something must have killed him.\Dont be stupid!\As you can see, though,\he was indeed killed. response:	Could any man do this?
context: I came to kill.\KKill what?\The Mononoke, of course.\Something must have killed him.\Dont be stupid!\As you can see, though,\he was indeed killed.\Could any man do this? response:	Well of course
context: KKill what?\The Mononoke, of course.\Something must have killed him.\Dont be stupid!\As you can see, though,\he was indeed killed.\Could any man do this?\Well of course response:	Not.
context: The Mononoke, of course.\Something must have killed him.\Dont be stupid!\As you can see, though,\he was indeed killed.\Could any man do this?\Well of course\Not. response:	There, there.
context: Something must have killed him.\Dont be stupid!\As you can see, though,\he was indeed killed.\Could any man do this?\Well of course\Not.\There, there. response:	What a terrible smell.
context: Dont be stupid!\As you can see, though,\he was indeed killed.\Could any man do this?\Well of course\Not.\There, there.\What a terrible smell. response:	What is that doing here?
context: As you can see, though,\he was indeed killed.\Could any man do this?\Well of course\Not.\There, there.\What a terrible smell.\What is that doing here? response:	Where did it come from?
context: he was indeed killed.\Could any man do this?\Well of course\Not.\There, there.\What a terrible smell.\What is that doing here?\Where did it come from? response:	It was here from the beginning.
context: Could any man do this?\Well of course\Not.\There, there.\What a terrible smell.\What is that doing here?\Where did it come from?\It was here from the beginning. response:	A child came to get it.
context: Well of course\Not.\There, there.\What a terrible smell.\What is that doing here?\Where did it come from?\It was here from the beginning.\A child came to get it. response:	A child?
context: Not.\There, there.\What a terrible smell.\What is that doing here?\Where did it come from?\It was here from the beginning.\A child came to get it.\A child? response:	There must be some here.
context: There, there.\What a terrible smell.\What is that doing here?\Where did it come from?\It was here from the beginning.\A child came to get it.\A child?\There must be some here. response:	What are you talking about?
context: What a terrible smell.\What is that doing here?\Where did it come from?\It was here from the beginning.\A child came to get it.\A child?\There must be some here.\What are you talking about? response:	None of tonights customers had children with them.
context: What is that doing here?\Where did it come from?\It was here from the beginning.\A child came to get it.\A child?\There must be some here.\What are you talking about?\None of tonights customers had children with them. response:	ThThen, what were those footsteps, and childrens voices?
context: Where did it come from?\It was here from the beginning.\A child came to get it.\A child?\There must be some here.\What are you talking about?\None of tonights customers had children with them.\ThThen, what were those footsteps, and childrens voices? response:	You must have heard them when we were walking up here.
context: It was here from the beginning.\A child came to get it.\A child?\There must be some here.\What are you talking about?\None of tonights customers had children with them.\ThThen, what were those footsteps, and childrens voices?\You must have heard them when we were walking up here. response:	No, I didnt.
context: A child came to get it.\A child?\There must be some here.\What are you talking about?\None of tonights customers had children with them.\ThThen, what were those footsteps, and childrens voices?\You must have heard them when we were walking up here.\No, I didnt. response:	Huh?
context: A child?\There must be some here.\What are you talking about?\None of tonights customers had children with them.\ThThen, what were those footsteps, and childrens voices?\You must have heard them when we were walking up here.\No, I didnt.\Huh? response:	There!
context: There must be some here.\What are you talking about?\None of tonights customers had children with them.\ThThen, what were those footsteps, and childrens voices?\You must have heard them when we were walking up here.\No, I didnt.\Huh?\There! response:	Theres a group of children right over there!
context: What are you talking about?\None of tonights customers had children with them.\ThThen, what were those footsteps, and childrens voices?\You must have heard them when we were walking up here.\No, I didnt.\Huh?\There!\Theres a group of children right over there! response:	What now?
context: None of tonights customers had children with them.\ThThen, what were those footsteps, and childrens voices?\You must have heard them when we were walking up here.\No, I didnt.\Huh?\There!\Theres a group of children right over there!\What now? response:	Over there, too!
context: ThThen, what were those footsteps, and childrens voices?\You must have heard them when we were walking up here.\No, I didnt.\Huh?\There!\Theres a group of children right over there!\What now?\Over there, too! response:	Huh?
context: You must have heard them when we were walking up here.\No, I didnt.\Huh?\There!\Theres a group of children right over there!\What now?\Over there, too!\Huh? response:	And above us!
context: No, I didnt.\Huh?\There!\Theres a group of children right over there!\What now?\Over there, too!\Huh?\And above us! response:	What do you mean? This is the top floor!
context: Huh?\There!\Theres a group of children right over there!\What now?\Over there, too!\Huh?\And above us!\What do you mean? This is the top floor! response:	The body
context: There!\Theres a group of children right over there!\What now?\Over there, too!\Huh?\And above us!\What do you mean? This is the top floor!\The body response:	Its gone.
context: Theres a group of children right over there!\What now?\Over there, too!\Huh?\And above us!\What do you mean? This is the top floor!\The body\Its gone. response:	Theyre coming from right over there!
context: What now?\Over there, too!\Huh?\And above us!\What do you mean? This is the top floor!\The body\Its gone.\Theyre coming from right over there! response:	And from there!
context: Over there, too!\Huh?\And above us!\What do you mean? This is the top floor!\The body\Its gone.\Theyre coming from right over there!\And from there! response:	Thats as far as youll come!
context: Huh?\And above us!\What do you mean? This is the top floor!\The body\Its gone.\Theyre coming from right over there!\And from there!\Thats as far as youll come! response:	There are Mononoke here that are bound to this inn.
context: And above us!\What do you mean? This is the top floor!\The body\Its gone.\Theyre coming from right over there!\And from there!\Thats as far as youll come!\There are Mononoke here that are bound to this inn. response:	Children, babies cries, and
context: What do you mean? This is the top floor!\The body\Its gone.\Theyre coming from right over there!\And from there!\Thats as far as youll come!\There are Mononoke here that are bound to this inn.\Children, babies cries, and response:	birth water?
context: The body\Its gone.\Theyre coming from right over there!\And from there!\Thats as far as youll come!\There are Mononoke here that are bound to this inn.\Children, babies cries, and\birth water? response:	This is a Zashikiwarashi.
context: Its gone.\Theyre coming from right over there!\And from there!\Thats as far as youll come!\There are Mononoke here that are bound to this inn.\Children, babies cries, and\birth water?\This is a Zashikiwarashi. response:	Certain conditions must be met for the Sword of Exorcism to be drawn.
context: Theyre coming from right over there!\And from there!\Thats as far as youll come!\There are Mononoke here that are bound to this inn.\Children, babies cries, and\birth water?\This is a Zashikiwarashi.\Certain conditions must be met for the Sword of Exorcism to be drawn. response:	If Form, Truth, and Regret are not present, it cannot be unsheathed.
context: And from there!\Thats as far as youll come!\There are Mononoke here that are bound to this inn.\Children, babies cries, and\birth water?\This is a Zashikiwarashi.\Certain conditions must be met for the Sword of Exorcism to be drawn.\If Form, Truth, and Regret are not present, it cannot be unsheathed. response:	The intertwined fates of men give the Mononoke its Form,
context: Thats as far as youll come!\There are Mononoke here that are bound to this inn.\Children, babies cries, and\birth water?\This is a Zashikiwarashi.\Certain conditions must be met for the Sword of Exorcism to be drawn.\If Form, Truth, and Regret are not present, it cannot be unsheathed.\The intertwined fates of men give the Mononoke its Form, response:	Truth is the natural state of all things,
context: There are Mononoke here that are bound to this inn.\Children, babies cries, and\birth water?\This is a Zashikiwarashi.\Certain conditions must be met for the Sword of Exorcism to be drawn.\If Form, Truth, and Regret are not present, it cannot be unsheathed.\The intertwined fates of men give the Mononoke its Form,\Truth is the natural state of all things, response:	and Regret is ever-present in mens hearts.
context: Children, babies cries, and\birth water?\This is a Zashikiwarashi.\Certain conditions must be met for the Sword of Exorcism to be drawn.\If Form, Truth, and Regret are not present, it cannot be unsheathed.\The intertwined fates of men give the Mononoke its Form,\Truth is the natural state of all things,\and Regret is ever-present in mens hearts. response:	And so, Ill ask you all
context: birth water?\This is a Zashikiwarashi.\Certain conditions must be met for the Sword of Exorcism to be drawn.\If Form, Truth, and Regret are not present, it cannot be unsheathed.\The intertwined fates of men give the Mononoke its Form,\Truth is the natural state of all things,\and Regret is ever-present in mens hearts.\And so, Ill ask you all response:	to tell me
context: This is a Zashikiwarashi.\Certain conditions must be met for the Sword of Exorcism to be drawn.\If Form, Truth, and Regret are not present, it cannot be unsheathed.\The intertwined fates of men give the Mononoke its Form,\Truth is the natural state of all things,\and Regret is ever-present in mens hearts.\And so, Ill ask you all\to tell me response:	the Truth and Regret!
context: Certain conditions must be met for the Sword of Exorcism to be drawn.\If Form, Truth, and Regret are not present, it cannot be unsheathed.\The intertwined fates of men give the Mononoke its Form,\Truth is the natural state of all things,\and Regret is ever-present in mens hearts.\And so, Ill ask you all\to tell me\the Truth and Regret! response:	To be continued
context: If Form, Truth, and Regret are not present, it cannot be unsheathed.\The intertwined fates of men give the Mononoke its Form,\Truth is the natural state of all things,\and Regret is ever-present in mens hearts.\And so, Ill ask you all\to tell me\the Truth and Regret!\To be continued response:	Without you, I just cant smile.
context: The intertwined fates of men give the Mononoke its Form,\Truth is the natural state of all things,\and Regret is ever-present in mens hearts.\And so, Ill ask you all\to tell me\the Truth and Regret!\To be continued\Without you, I just cant smile. response:	I walk this banal town,
context: Truth is the natural state of all things,\and Regret is ever-present in mens hearts.\And so, Ill ask you all\to tell me\the Truth and Regret!\To be continued\Without you, I just cant smile.\I walk this banal town, response:	feeling such intense emotions.
context: and Regret is ever-present in mens hearts.\And so, Ill ask you all\to tell me\the Truth and Regret!\To be continued\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions. response:	I know that if I could treasure them and live on,
context: And so, Ill ask you all\to tell me\the Truth and Regret!\To be continued\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on, response:	I would need nothing else.
context: to tell me\the Truth and Regret!\To be continued\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else. response:	The summer flowers that bloomed in the sky
context: the Truth and Regret!\To be continued\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky response:	Come falling down, dancing in the wind.
context: To be continued\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind. response:	I can barely recall the night sky
context: Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky response:	where they all came tumbling down,
context: I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down, response:	so what I can still recall is all the more precious.
