context: And you... response:	When I felt the strongest for you, you knocked me down.
context: those who had families, returned home to help out\while those who didn't have families\continued searching for Seventeenth and Master.\Zi Lan returned recently and cleaned the place inside and outside.\Ghost Lord came by unexpectedly and said he had seen Si Yin.\Zi Lan was overjoyed and said he was leaving to search the Mortal Realm\and told me to take care of the cranes.\Ghost Lord said he had seen Si Yin? response:	I don't know if it is the truth.
context: while those who didn't have families\continued searching for Seventeenth and Master.\Zi Lan returned recently and cleaned the place inside and outside.\Ghost Lord came by unexpectedly and said he had seen Si Yin.\Zi Lan was overjoyed and said he was leaving to search the Mortal Realm\and told me to take care of the cranes.\Ghost Lord said he had seen Si Yin?\I don't know if it is the truth. response:	However, Zi Lan was restless and left to search.
context: continued searching for Seventeenth and Master.\Zi Lan returned recently and cleaned the place inside and outside.\Ghost Lord came by unexpectedly and said he had seen Si Yin.\Zi Lan was overjoyed and said he was leaving to search the Mortal Realm\and told me to take care of the cranes.\Ghost Lord said he had seen Si Yin?\I don't know if it is the truth.\However, Zi Lan was restless and left to search. response:	Even Qing Qiu's entrance has Mi Gu guarding it.
context: Zi Lan returned recently and cleaned the place inside and outside.\Ghost Lord came by unexpectedly and said he had seen Si Yin.\Zi Lan was overjoyed and said he was leaving to search the Mortal Realm\and told me to take care of the cranes.\Ghost Lord said he had seen Si Yin?\I don't know if it is the truth.\However, Zi Lan was restless and left to search.\Even Qing Qiu's entrance has Mi Gu guarding it. response:	But this Great Overarching Heaven, holding 36 heavens
context: Ghost Lord came by unexpectedly and said he had seen Si Yin.\Zi Lan was overjoyed and said he was leaving to search the Mortal Realm\and told me to take care of the cranes.\Ghost Lord said he had seen Si Yin?\I don't know if it is the truth.\However, Zi Lan was restless and left to search.\Even Qing Qiu's entrance has Mi Gu guarding it.\But this Great Overarching Heaven, holding 36 heavens response:	doesn't even have someone guarding the door?
context: Zi Lan was overjoyed and said he was leaving to search the Mortal Realm\and told me to take care of the cranes.\Ghost Lord said he had seen Si Yin?\I don't know if it is the truth.\However, Zi Lan was restless and left to search.\Even Qing Qiu's entrance has Mi Gu guarding it.\But this Great Overarching Heaven, holding 36 heavens\doesn't even have someone guarding the door? response:	How unimposing.
context: and told me to take care of the cranes.\Ghost Lord said he had seen Si Yin?\I don't know if it is the truth.\However, Zi Lan was restless and left to search.\Even Qing Qiu's entrance has Mi Gu guarding it.\But this Great Overarching Heaven, holding 36 heavens\doesn't even have someone guarding the door?\How unimposing. response:	The Supreme Venerable Sovereign began a sermon today.
context: Ghost Lord said he had seen Si Yin?\I don't know if it is the truth.\However, Zi Lan was restless and left to search.\Even Qing Qiu's entrance has Mi Gu guarding it.\But this Great Overarching Heaven, holding 36 heavens\doesn't even have someone guarding the door?\How unimposing.\The Supreme Venerable Sovereign began a sermon today. response:	I suppose they have all left to attend the assembly.
context: I don't know if it is the truth.\However, Zi Lan was restless and left to search.\Even Qing Qiu's entrance has Mi Gu guarding it.\But this Great Overarching Heaven, holding 36 heavens\doesn't even have someone guarding the door?\How unimposing.\The Supreme Venerable Sovereign began a sermon today.\I suppose they have all left to attend the assembly. response:	So there is an assembly?
context: However, Zi Lan was restless and left to search.\Even Qing Qiu's entrance has Mi Gu guarding it.\But this Great Overarching Heaven, holding 36 heavens\doesn't even have someone guarding the door?\How unimposing.\The Supreme Venerable Sovereign began a sermon today.\I suppose they have all left to attend the assembly.\So there is an assembly? response:	Qian Qian.
context: Even Qing Qiu's entrance has Mi Gu guarding it.\But this Great Overarching Heaven, holding 36 heavens\doesn't even have someone guarding the door?\How unimposing.\The Supreme Venerable Sovereign began a sermon today.\I suppose they have all left to attend the assembly.\So there is an assembly?\Qian Qian. response:	I heard that while you were helping Yuan Zhen
context: But this Great Overarching Heaven, holding 36 heavens\doesn't even have someone guarding the door?\How unimposing.\The Supreme Venerable Sovereign began a sermon today.\I suppose they have all left to attend the assembly.\So there is an assembly?\Qian Qian.\I heard that while you were helping Yuan Zhen response:	through his trial in the Mortal Realm
context: doesn't even have someone guarding the door?\How unimposing.\The Supreme Venerable Sovereign began a sermon today.\I suppose they have all left to attend the assembly.\So there is an assembly?\Qian Qian.\I heard that while you were helping Yuan Zhen\through his trial in the Mortal Realm response:	you often discussed Taoism with Yuan Zhen.
context: How unimposing.\The Supreme Venerable Sovereign began a sermon today.\I suppose they have all left to attend the assembly.\So there is an assembly?\Qian Qian.\I heard that while you were helping Yuan Zhen\through his trial in the Mortal Realm\you often discussed Taoism with Yuan Zhen. response:	You must be well-versed in Taoism now.
context: The Supreme Venerable Sovereign began a sermon today.\I suppose they have all left to attend the assembly.\So there is an assembly?\Qian Qian.\I heard that while you were helping Yuan Zhen\through his trial in the Mortal Realm\you often discussed Taoism with Yuan Zhen.\You must be well-versed in Taoism now. response:	In the past dozens of millennia
context: I suppose they have all left to attend the assembly.\So there is an assembly?\Qian Qian.\I heard that while you were helping Yuan Zhen\through his trial in the Mortal Realm\you often discussed Taoism with Yuan Zhen.\You must be well-versed in Taoism now.\In the past dozens of millennia response:	nobody has been a good match to debate the Supreme Venerable Sovereign.
context: So there is an assembly?\Qian Qian.\I heard that while you were helping Yuan Zhen\through his trial in the Mortal Realm\you often discussed Taoism with Yuan Zhen.\You must be well-versed in Taoism now.\In the past dozens of millennia\nobody has been a good match to debate the Supreme Venerable Sovereign. response:	It is quite lonely at the top.
context: Qian Qian.\I heard that while you were helping Yuan Zhen\through his trial in the Mortal Realm\you often discussed Taoism with Yuan Zhen.\You must be well-versed in Taoism now.\In the past dozens of millennia\nobody has been a good match to debate the Supreme Venerable Sovereign.\It is quite lonely at the top. response:	Now that you are here, you can debate with him.
context: I heard that while you were helping Yuan Zhen\through his trial in the Mortal Realm\you often discussed Taoism with Yuan Zhen.\You must be well-versed in Taoism now.\In the past dozens of millennia\nobody has been a good match to debate the Supreme Venerable Sovereign.\It is quite lonely at the top.\Now that you are here, you can debate with him. response:	You flatter me.
context: through his trial in the Mortal Realm\you often discussed Taoism with Yuan Zhen.\You must be well-versed in Taoism now.\In the past dozens of millennia\nobody has been a good match to debate the Supreme Venerable Sovereign.\It is quite lonely at the top.\Now that you are here, you can debate with him.\You flatter me. response:	I heard the Heavenly Lord granted you the name of Xiwu Palace
context: you often discussed Taoism with Yuan Zhen.\You must be well-versed in Taoism now.\In the past dozens of millennia\nobody has been a good match to debate the Supreme Venerable Sovereign.\It is quite lonely at the top.\Now that you are here, you can debate with him.\You flatter me.\I heard the Heavenly Lord granted you the name of Xiwu Palace response:	when you were establishing your official residence when you were 30,000 years old.
context: You must be well-versed in Taoism now.\In the past dozens of millennia\nobody has been a good match to debate the Supreme Venerable Sovereign.\It is quite lonely at the top.\Now that you are here, you can debate with him.\You flatter me.\I heard the Heavenly Lord granted you the name of Xiwu Palace\when you were establishing your official residence when you were 30,000 years old. response:	That's correct.
context: In the past dozens of millennia\nobody has been a good match to debate the Supreme Venerable Sovereign.\It is quite lonely at the top.\Now that you are here, you can debate with him.\You flatter me.\I heard the Heavenly Lord granted you the name of Xiwu Palace\when you were establishing your official residence when you were 30,000 years old.\That's correct. response:	It's so dim inside.
context: nobody has been a good match to debate the Supreme Venerable Sovereign.\It is quite lonely at the top.\Now that you are here, you can debate with him.\You flatter me.\I heard the Heavenly Lord granted you the name of Xiwu Palace\when you were establishing your official residence when you were 30,000 years old.\That's correct.\It's so dim inside. response:	It's like the Crystal Palace of the Eastern Sea during the banquet.
context: It is quite lonely at the top.\Now that you are here, you can debate with him.\You flatter me.\I heard the Heavenly Lord granted you the name of Xiwu Palace\when you were establishing your official residence when you were 30,000 years old.\That's correct.\It's so dim inside.\It's like the Crystal Palace of the Eastern Sea during the banquet. response:	That's because you can't stand bright lights.
context: Now that you are here, you can debate with him.\You flatter me.\I heard the Heavenly Lord granted you the name of Xiwu Palace\when you were establishing your official residence when you were 30,000 years old.\That's correct.\It's so dim inside.\It's like the Crystal Palace of the Eastern Sea during the banquet.\That's because you can't stand bright lights. response:	Because of me?
context: You flatter me.\I heard the Heavenly Lord granted you the name of Xiwu Palace\when you were establishing your official residence when you were 30,000 years old.\That's correct.\It's so dim inside.\It's like the Crystal Palace of the Eastern Sea during the banquet.\That's because you can't stand bright lights.\Because of me? response:	Qian Qian.
context: I heard the Heavenly Lord granted you the name of Xiwu Palace\when you were establishing your official residence when you were 30,000 years old.\That's correct.\It's so dim inside.\It's like the Crystal Palace of the Eastern Sea during the banquet.\That's because you can't stand bright lights.\Because of me?\Qian Qian. response:	I'll bring you inside.
context: when you were establishing your official residence when you were 30,000 years old.\That's correct.\It's so dim inside.\It's like the Crystal Palace of the Eastern Sea during the banquet.\That's because you can't stand bright lights.\Because of me?\Qian Qian.\I'll bring you inside. response:	Who knew that to get to the Nine Heavens, I'd have to jump in
context: That's correct.\It's so dim inside.\It's like the Crystal Palace of the Eastern Sea during the banquet.\That's because you can't stand bright lights.\Because of me?\Qian Qian.\I'll bring you inside.\Who knew that to get to the Nine Heavens, I'd have to jump in response:	instead of walking through the front entrance?
context: It's so dim inside.\It's like the Crystal Palace of the Eastern Sea during the banquet.\That's because you can't stand bright lights.\Because of me?\Qian Qian.\I'll bring you inside.\Who knew that to get to the Nine Heavens, I'd have to jump in\instead of walking through the front entrance? response:	To walk in from the front
context: It's like the Crystal Palace of the Eastern Sea during the banquet.\That's because you can't stand bright lights.\Because of me?\Qian Qian.\I'll bring you inside.\Who knew that to get to the Nine Heavens, I'd have to jump in\instead of walking through the front entrance?\To walk in from the front response:	all the halls high and low would have been alerted.
context: That's because you can't stand bright lights.\Because of me?\Qian Qian.\I'll bring you inside.\Who knew that to get to the Nine Heavens, I'd have to jump in\instead of walking through the front entrance?\To walk in from the front\all the halls high and low would have been alerted. response:	All the commotion would have been annoying.
context: Because of me?\Qian Qian.\I'll bring you inside.\Who knew that to get to the Nine Heavens, I'd have to jump in\instead of walking through the front entrance?\To walk in from the front\all the halls high and low would have been alerted.\All the commotion would have been annoying. response:	It wouldn't have been as convenient as jumping in.
context: Qian Qian.\I'll bring you inside.\Who knew that to get to the Nine Heavens, I'd have to jump in\instead of walking through the front entrance?\To walk in from the front\all the halls high and low would have been alerted.\All the commotion would have been annoying.\It wouldn't have been as convenient as jumping in. response:	That is reasonable.
context: I'll bring you inside.\Who knew that to get to the Nine Heavens, I'd have to jump in\instead of walking through the front entrance?\To walk in from the front\all the halls high and low would have been alerted.\All the commotion would have been annoying.\It wouldn't have been as convenient as jumping in.\That is reasonable. response:	Oh, yes.
context: Who knew that to get to the Nine Heavens, I'd have to jump in\instead of walking through the front entrance?\To walk in from the front\all the halls high and low would have been alerted.\All the commotion would have been annoying.\It wouldn't have been as convenient as jumping in.\That is reasonable.\Oh, yes. response:	We are here early today.
context: instead of walking through the front entrance?\To walk in from the front\all the halls high and low would have been alerted.\All the commotion would have been annoying.\It wouldn't have been as convenient as jumping in.\That is reasonable.\Oh, yes.\We are here early today. response:	Jia Yun hasn't delivered your official documents yet.
context: To walk in from the front\all the halls high and low would have been alerted.\All the commotion would have been annoying.\It wouldn't have been as convenient as jumping in.\That is reasonable.\Oh, yes.\We are here early today.\Jia Yun hasn't delivered your official documents yet. response:	Don't tell me you didn't tell him not to send them to Qing Qiu
context: all the halls high and low would have been alerted.\All the commotion would have been annoying.\It wouldn't have been as convenient as jumping in.\That is reasonable.\Oh, yes.\We are here early today.\Jia Yun hasn't delivered your official documents yet.\Don't tell me you didn't tell him not to send them to Qing Qiu response:	so he'd save his trip?
context: All the commotion would have been annoying.\It wouldn't have been as convenient as jumping in.\That is reasonable.\Oh, yes.\We are here early today.\Jia Yun hasn't delivered your official documents yet.\Don't tell me you didn't tell him not to send them to Qing Qiu\so he'd save his trip? response:	You were right.
context: It wouldn't have been as convenient as jumping in.\That is reasonable.\Oh, yes.\We are here early today.\Jia Yun hasn't delivered your official documents yet.\Don't tell me you didn't tell him not to send them to Qing Qiu\so he'd save his trip?\You were right. response:	It's a good thing we didn't enter through the front door
context: That is reasonable.\Oh, yes.\We are here early today.\Jia Yun hasn't delivered your official documents yet.\Don't tell me you didn't tell him not to send them to Qing Qiu\so he'd save his trip?\You were right.\It's a good thing we didn't enter through the front door response:	and alert all the other immortals.
context: Oh, yes.\We are here early today.\Jia Yun hasn't delivered your official documents yet.\Don't tell me you didn't tell him not to send them to Qing Qiu\so he'd save his trip?\You were right.\It's a good thing we didn't enter through the front door\and alert all the other immortals. response:	Otherwise, it would have been very troublesome.
context: We are here early today.\Jia Yun hasn't delivered your official documents yet.\Don't tell me you didn't tell him not to send them to Qing Qiu\so he'd save his trip?\You were right.\It's a good thing we didn't enter through the front door\and alert all the other immortals.\Otherwise, it would have been very troublesome. response:	Anyhow, we returned late last night.
context: Jia Yun hasn't delivered your official documents yet.\Don't tell me you didn't tell him not to send them to Qing Qiu\so he'd save his trip?\You were right.\It's a good thing we didn't enter through the front door\and alert all the other immortals.\Otherwise, it would have been very troublesome.\Anyhow, we returned late last night. response:	Have you made any progress on the official reports that have piled up?
context: Don't tell me you didn't tell him not to send them to Qing Qiu\so he'd save his trip?\You were right.\It's a good thing we didn't enter through the front door\and alert all the other immortals.\Otherwise, it would have been very troublesome.\Anyhow, we returned late last night.\Have you made any progress on the official reports that have piled up? response:	The Crown Prince always looks serious and calm as an immortal, like Dong Hua.
context: so he'd save his trip?\You were right.\It's a good thing we didn't enter through the front door\and alert all the other immortals.\Otherwise, it would have been very troublesome.\Anyhow, we returned late last night.\Have you made any progress on the official reports that have piled up?\The Crown Prince always looks serious and calm as an immortal, like Dong Hua. response:	But today, he's displaying an expression that only a youthful man would have.
context: You were right.\It's a good thing we didn't enter through the front door\and alert all the other immortals.\Otherwise, it would have been very troublesome.\Anyhow, we returned late last night.\Have you made any progress on the official reports that have piled up?\The Crown Prince always looks serious and calm as an immortal, like Dong Hua.\But today, he's displaying an expression that only a youthful man would have. response:	It is rare indeed.
context: It's a good thing we didn't enter through the front door\and alert all the other immortals.\Otherwise, it would have been very troublesome.\Anyhow, we returned late last night.\Have you made any progress on the official reports that have piled up?\The Crown Prince always looks serious and calm as an immortal, like Dong Hua.\But today, he's displaying an expression that only a youthful man would have.\It is rare indeed. response:	I have something to discuss with you.
context: and alert all the other immortals.\Otherwise, it would have been very troublesome.\Anyhow, we returned late last night.\Have you made any progress on the official reports that have piled up?\The Crown Prince always looks serious and calm as an immortal, like Dong Hua.\But today, he's displaying an expression that only a youthful man would have.\It is rare indeed.\I have something to discuss with you. response:	You are suddenly so serious. What could it be?
context: Otherwise, it would have been very troublesome.\Anyhow, we returned late last night.\Have you made any progress on the official reports that have piled up?\The Crown Prince always looks serious and calm as an immortal, like Dong Hua.\But today, he's displaying an expression that only a youthful man would have.\It is rare indeed.\I have something to discuss with you.\You are suddenly so serious. What could it be? response:	It isn't anything serious.
context: Anyhow, we returned late last night.\Have you made any progress on the official reports that have piled up?\The Crown Prince always looks serious and calm as an immortal, like Dong Hua.\But today, he's displaying an expression that only a youthful man would have.\It is rare indeed.\I have something to discuss with you.\You are suddenly so serious. What could it be?\It isn't anything serious. response:	I will be recuperating here in the Nine Heavens for a few days.
context: Have you made any progress on the official reports that have piled up?\The Crown Prince always looks serious and calm as an immortal, like Dong Hua.\But today, he's displaying an expression that only a youthful man would have.\It is rare indeed.\I have something to discuss with you.\You are suddenly so serious. What could it be?\It isn't anything serious.\I will be recuperating here in the Nine Heavens for a few days. response:	Since I came in secret
context: The Crown Prince always looks serious and calm as an immortal, like Dong Hua.\But today, he's displaying an expression that only a youthful man would have.\It is rare indeed.\I have something to discuss with you.\You are suddenly so serious. What could it be?\It isn't anything serious.\I will be recuperating here in the Nine Heavens for a few days.\Since I came in secret response:	I didn't make known my title as High Goddess.
context: But today, he's displaying an expression that only a youthful man would have.\It is rare indeed.\I have something to discuss with you.\You are suddenly so serious. What could it be?\It isn't anything serious.\I will be recuperating here in the Nine Heavens for a few days.\Since I came in secret\I didn't make known my title as High Goddess. response:	I mustn't have you arrange chambers for me with great fanfare.
context: It is rare indeed.\I have something to discuss with you.\You are suddenly so serious. What could it be?\It isn't anything serious.\I will be recuperating here in the Nine Heavens for a few days.\Since I came in secret\I didn't make known my title as High Goddess.\I mustn't have you arrange chambers for me with great fanfare. response:	Why don't I stay in Riceball's Qingyun Hall for two days?
context: I have something to discuss with you.\You are suddenly so serious. What could it be?\It isn't anything serious.\I will be recuperating here in the Nine Heavens for a few days.\Since I came in secret\I didn't make known my title as High Goddess.\I mustn't have you arrange chambers for me with great fanfare.\Why don't I stay in Riceball's Qingyun Hall for two days? response:	You want to stay in A-Li's Qingyun Hall?
context: You are suddenly so serious. What could it be?\It isn't anything serious.\I will be recuperating here in the Nine Heavens for a few days.\Since I came in secret\I didn't make known my title as High Goddess.\I mustn't have you arrange chambers for me with great fanfare.\Why don't I stay in Riceball's Qingyun Hall for two days?\You want to stay in A-Li's Qingyun Hall? response:	Would it be inconvenient?
context: It isn't anything serious.\I will be recuperating here in the Nine Heavens for a few days.\Since I came in secret\I didn't make known my title as High Goddess.\I mustn't have you arrange chambers for me with great fanfare.\Why don't I stay in Riceball's Qingyun Hall for two days?\You want to stay in A-Li's Qingyun Hall?\Would it be inconvenient? response:	I have already prepared chambers for you.
context: I will be recuperating here in the Nine Heavens for a few days.\Since I came in secret\I didn't make known my title as High Goddess.\I mustn't have you arrange chambers for me with great fanfare.\Why don't I stay in Riceball's Qingyun Hall for two days?\You want to stay in A-Li's Qingyun Hall?\Would it be inconvenient?\I have already prepared chambers for you. response:	By the way, about my master...
context: Since I came in secret\I didn't make known my title as High Goddess.\I mustn't have you arrange chambers for me with great fanfare.\Why don't I stay in Riceball's Qingyun Hall for two days?\You want to stay in A-Li's Qingyun Hall?\Would it be inconvenient?\I have already prepared chambers for you.\By the way, about my master... response:	Nobody else will know.
context: I didn't make known my title as High Goddess.\I mustn't have you arrange chambers for me with great fanfare.\Why don't I stay in Riceball's Qingyun Hall for two days?\You want to stay in A-Li's Qingyun Hall?\Would it be inconvenient?\I have already prepared chambers for you.\By the way, about my master...\Nobody else will know. response:	You have peach blossoms in your hall as well?
context: I mustn't have you arrange chambers for me with great fanfare.\Why don't I stay in Riceball's Qingyun Hall for two days?\You want to stay in A-Li's Qingyun Hall?\Would it be inconvenient?\I have already prepared chambers for you.\By the way, about my master...\Nobody else will know.\You have peach blossoms in your hall as well? response:	Were they brought over from the Heavenly Peach Garden?
context: Why don't I stay in Riceball's Qingyun Hall for two days?\You want to stay in A-Li's Qingyun Hall?\Would it be inconvenient?\I have already prepared chambers for you.\By the way, about my master...\Nobody else will know.\You have peach blossoms in your hall as well?\Were they brought over from the Heavenly Peach Garden? response:	I planted these 300 years ago.
context: You want to stay in A-Li's Qingyun Hall?\Would it be inconvenient?\I have already prepared chambers for you.\By the way, about my master...\Nobody else will know.\You have peach blossoms in your hall as well?\Were they brought over from the Heavenly Peach Garden?\I planted these 300 years ago. response:	Only this year have they finally blossomed for the very first time.
context: Would it be inconvenient?\I have already prepared chambers for you.\By the way, about my master...\Nobody else will know.\You have peach blossoms in your hall as well?\Were they brought over from the Heavenly Peach Garden?\I planted these 300 years ago.\Only this year have they finally blossomed for the very first time. response:	300 years for the first blossom?
context: I have already prepared chambers for you.\By the way, about my master...\Nobody else will know.\You have peach blossoms in your hall as well?\Were they brought over from the Heavenly Peach Garden?\I planted these 300 years ago.\Only this year have they finally blossomed for the very first time.\300 years for the first blossom? response:	You sure have patience.
context: By the way, about my master...\Nobody else will know.\You have peach blossoms in your hall as well?\Were they brought over from the Heavenly Peach Garden?\I planted these 300 years ago.\Only this year have they finally blossomed for the very first time.\300 years for the first blossom?\You sure have patience. response:	The Hall of Beautiful Youth?
context: Nobody else will know.\You have peach blossoms in your hall as well?\Were they brought over from the Heavenly Peach Garden?\I planted these 300 years ago.\Only this year have they finally blossomed for the very first time.\300 years for the first blossom?\You sure have patience.\The Hall of Beautiful Youth? response:	That is a nice name.
context: You have peach blossoms in your hall as well?\Were they brought over from the Heavenly Peach Garden?\I planted these 300 years ago.\Only this year have they finally blossomed for the very first time.\300 years for the first blossom?\You sure have patience.\The Hall of Beautiful Youth?\That is a nice name. response:	It fits well with Xiwu Palace.
context: Were they brought over from the Heavenly Peach Garden?\I planted these 300 years ago.\Only this year have they finally blossomed for the very first time.\300 years for the first blossom?\You sure have patience.\The Hall of Beautiful Youth?\That is a nice name.\It fits well with Xiwu Palace. response:	Ever since I stepped into this hall
context: I planted these 300 years ago.\Only this year have they finally blossomed for the very first time.\300 years for the first blossom?\You sure have patience.\The Hall of Beautiful Youth?\That is a nice name.\It fits well with Xiwu Palace.\Ever since I stepped into this hall response:	why have I felt uneasy and uncomfortable?
context: Only this year have they finally blossomed for the very first time.\300 years for the first blossom?\You sure have patience.\The Hall of Beautiful Youth?\That is a nice name.\It fits well with Xiwu Palace.\Ever since I stepped into this hall\why have I felt uneasy and uncomfortable? response:	High Goddess, have some tea.
context: 300 years for the first blossom?\You sure have patience.\The Hall of Beautiful Youth?\That is a nice name.\It fits well with Xiwu Palace.\Ever since I stepped into this hall\why have I felt uneasy and uncomfortable?\High Goddess, have some tea. response:	Your Highness!
context: You sure have patience.\The Hall of Beautiful Youth?\That is a nice name.\It fits well with Xiwu Palace.\Ever since I stepped into this hall\why have I felt uneasy and uncomfortable?\High Goddess, have some tea.\Your Highness! response:	Your Highness, it really is you!
context: The Hall of Beautiful Youth?\That is a nice name.\It fits well with Xiwu Palace.\Ever since I stepped into this hall\why have I felt uneasy and uncomfortable?\High Goddess, have some tea.\Your Highness!\Your Highness, it really is you! response:	I have waited for you for 300 years.
context: That is a nice name.\It fits well with Xiwu Palace.\Ever since I stepped into this hall\why have I felt uneasy and uncomfortable?\High Goddess, have some tea.\Your Highness!\Your Highness, it really is you!\I have waited for you for 300 years. response:	You've finally returned!
context: It fits well with Xiwu Palace.\Ever since I stepped into this hall\why have I felt uneasy and uncomfortable?\High Goddess, have some tea.\Your Highness!\Your Highness, it really is you!\I have waited for you for 300 years.\You've finally returned! response:	Crown Prince's Soul-gathering Lamp truly is a sacred item!
context: Ever since I stepped into this hall\why have I felt uneasy and uncomfortable?\High Goddess, have some tea.\Your Highness!\Your Highness, it really is you!\I have waited for you for 300 years.\You've finally returned!\Crown Prince's Soul-gathering Lamp truly is a sacred item! response:	Your Highness looks no different at all!
context: why have I felt uneasy and uncomfortable?\High Goddess, have some tea.\Your Highness!\Your Highness, it really is you!\I have waited for you for 300 years.\You've finally returned!\Crown Prince's Soul-gathering Lamp truly is a sacred item!\Your Highness looks no different at all! response:	You must be mistaken.
context: High Goddess, have some tea.\Your Highness!\Your Highness, it really is you!\I have waited for you for 300 years.\You've finally returned!\Crown Prince's Soul-gathering Lamp truly is a sacred item!\Your Highness looks no different at all!\You must be mistaken. response:	I am Bai Qian of Qing Qiu, not the lady you speak of.
context: Your Highness!\Your Highness, it really is you!\I have waited for you for 300 years.\You've finally returned!\Crown Prince's Soul-gathering Lamp truly is a sacred item!\Your Highness looks no different at all!\You must be mistaken.\I am Bai Qian of Qing Qiu, not the lady you speak of. response:	Nai Nai.
context: Your Highness, it really is you!\I have waited for you for 300 years.\You've finally returned!\Crown Prince's Soul-gathering Lamp truly is a sacred item!\Your Highness looks no different at all!\You must be mistaken.\I am Bai Qian of Qing Qiu, not the lady you speak of.\Nai Nai. response:	This is High Goddess Bai Qian of Qing Qiu.
context: I have waited for you for 300 years.\You've finally returned!\Crown Prince's Soul-gathering Lamp truly is a sacred item!\Your Highness looks no different at all!\You must be mistaken.\I am Bai Qian of Qing Qiu, not the lady you speak of.\Nai Nai.\This is High Goddess Bai Qian of Qing Qiu. response:	She will be staying here for a few days.
context: You've finally returned!\Crown Prince's Soul-gathering Lamp truly is a sacred item!\Your Highness looks no different at all!\You must be mistaken.\I am Bai Qian of Qing Qiu, not the lady you speak of.\Nai Nai.\This is High Goddess Bai Qian of Qing Qiu.\She will be staying here for a few days. response:	You will attend to her.
context: Crown Prince's Soul-gathering Lamp truly is a sacred item!\Your Highness looks no different at all!\You must be mistaken.\I am Bai Qian of Qing Qiu, not the lady you speak of.\Nai Nai.\This is High Goddess Bai Qian of Qing Qiu.\She will be staying here for a few days.\You will attend to her. response:	Stand up.
context: Your Highness looks no different at all!\You must be mistaken.\I am Bai Qian of Qing Qiu, not the lady you speak of.\Nai Nai.\This is High Goddess Bai Qian of Qing Qiu.\She will be staying here for a few days.\You will attend to her.\Stand up. response:	She will be going to the Lord of Numinous Treasures' Heavenly Spring.
context: You must be mistaken.\I am Bai Qian of Qing Qiu, not the lady you speak of.\Nai Nai.\This is High Goddess Bai Qian of Qing Qiu.\She will be staying here for a few days.\You will attend to her.\Stand up.\She will be going to the Lord of Numinous Treasures' Heavenly Spring. response:	Go make preparations.
context: I am Bai Qian of Qing Qiu, not the lady you speak of.\Nai Nai.\This is High Goddess Bai Qian of Qing Qiu.\She will be staying here for a few days.\You will attend to her.\Stand up.\She will be going to the Lord of Numinous Treasures' Heavenly Spring.\Go make preparations. response:	Yes.
context: Nai Nai.\This is High Goddess Bai Qian of Qing Qiu.\She will be staying here for a few days.\You will attend to her.\Stand up.\She will be going to the Lord of Numinous Treasures' Heavenly Spring.\Go make preparations.\Yes. response:	Rest for now. I'll bring A-Li here.
context: This is High Goddess Bai Qian of Qing Qiu.\She will be staying here for a few days.\You will attend to her.\Stand up.\She will be going to the Lord of Numinous Treasures' Heavenly Spring.\Go make preparations.\Yes.\Rest for now. I'll bring A-Li here. response:	All right.
context: She will be staying here for a few days.\You will attend to her.\Stand up.\She will be going to the Lord of Numinous Treasures' Heavenly Spring.\Go make preparations.\Yes.\Rest for now. I'll bring A-Li here.\All right. response:	What?
context: You will attend to her.\Stand up.\She will be going to the Lord of Numinous Treasures' Heavenly Spring.\Go make preparations.\Yes.\Rest for now. I'll bring A-Li here.\All right.\What? response:	High Goddess Bai Qian has come to the Nine Heavens?
context: Stand up.\She will be going to the Lord of Numinous Treasures' Heavenly Spring.\Go make preparations.\Yes.\Rest for now. I'll bring A-Li here.\All right.\What?\High Goddess Bai Qian has come to the Nine Heavens? response:	Yes, Your Highness.
context: She will be going to the Lord of Numinous Treasures' Heavenly Spring.\Go make preparations.\Yes.\Rest for now. I'll bring A-Li here.\All right.\What?\High Goddess Bai Qian has come to the Nine Heavens?\Yes, Your Highness. response:	She entered from the South Heavenly Gate just now.
context: Go make preparations.\Yes.\Rest for now. I'll bring A-Li here.\All right.\What?\High Goddess Bai Qian has come to the Nine Heavens?\Yes, Your Highness.\She entered from the South Heavenly Gate just now. response:	She is now in the Hall of Beautiful Youth.
context: Yes.\Rest for now. I'll bring A-Li here.\All right.\What?\High Goddess Bai Qian has come to the Nine Heavens?\Yes, Your Highness.\She entered from the South Heavenly Gate just now.\She is now in the Hall of Beautiful Youth. response:	What did you say?
context: Rest for now. I'll bring A-Li here.\All right.\What?\High Goddess Bai Qian has come to the Nine Heavens?\Yes, Your Highness.\She entered from the South Heavenly Gate just now.\She is now in the Hall of Beautiful Youth.\What did you say? response:	The Hall of Beautiful Youth?
context: All right.\What?\High Goddess Bai Qian has come to the Nine Heavens?\Yes, Your Highness.\She entered from the South Heavenly Gate just now.\She is now in the Hall of Beautiful Youth.\What did you say?\The Hall of Beautiful Youth? response:	That place...
context: What?\High Goddess Bai Qian has come to the Nine Heavens?\Yes, Your Highness.\She entered from the South Heavenly Gate just now.\She is now in the Hall of Beautiful Youth.\What did you say?\The Hall of Beautiful Youth?\That place... response:	Didn't His Highness never allow anyone to go near it?
context: High Goddess Bai Qian has come to the Nine Heavens?\Yes, Your Highness.\She entered from the South Heavenly Gate just now.\She is now in the Hall of Beautiful Youth.\What did you say?\The Hall of Beautiful Youth?\That place...\Didn't His Highness never allow anyone to go near it? response:	Yes, Your Highness.
