context: If you do not resist, I can make your death painless. response:	Why are you doing this?
context: I'll tell Bubby what you told me, I suppose.\Wait a minute...\You feel sorry for what you did to me, right?\I do not.\I'm telling Puck!\Well, I might feel just a tiny bit sorry, I suppose.\If you regret what you did and want my forgiveness,\do me one favor that I ask. response:	Let's hear it.
context: Wait a minute...\You feel sorry for what you did to me, right?\I do not.\I'm telling Puck!\Well, I might feel just a tiny bit sorry, I suppose.\If you regret what you did and want my forgiveness,\do me one favor that I ask.\Let's hear it. response:	On the fifth morning,
context: You feel sorry for what you did to me, right?\I do not.\I'm telling Puck!\Well, I might feel just a tiny bit sorry, I suppose.\If you regret what you did and want my forgiveness,\do me one favor that I ask.\Let's hear it.\On the fifth morning, response:	the day after tomorrow...
context: I do not.\I'm telling Puck!\Well, I might feel just a tiny bit sorry, I suppose.\If you regret what you did and want my forgiveness,\do me one favor that I ask.\Let's hear it.\On the fifth morning,\the day after tomorrow... response:	Would you keep me safe until then?
context: I'm telling Puck!\Well, I might feel just a tiny bit sorry, I suppose.\If you regret what you did and want my forgiveness,\do me one favor that I ask.\Let's hear it.\On the fifth morning,\the day after tomorrow...\Would you keep me safe until then? response:	I don't want you to bring dissension into this mansion, I suppose.
context: Well, I might feel just a tiny bit sorry, I suppose.\If you regret what you did and want my forgiveness,\do me one favor that I ask.\Let's hear it.\On the fifth morning,\the day after tomorrow...\Would you keep me safe until then?\I don't want you to bring dissension into this mansion, I suppose. response:	This place is vitally important to me.
context: If you regret what you did and want my forgiveness,\do me one favor that I ask.\Let's hear it.\On the fifth morning,\the day after tomorrow...\Would you keep me safe until then?\I don't want you to bring dissension into this mansion, I suppose.\This place is vitally important to me. response:	I have no intention of doing anything.
context: do me one favor that I ask.\Let's hear it.\On the fifth morning,\the day after tomorrow...\Would you keep me safe until then?\I don't want you to bring dissension into this mansion, I suppose.\This place is vitally important to me.\I have no intention of doing anything. response:	I just want to stop any sparks from flying.
context: Let's hear it.\On the fifth morning,\the day after tomorrow...\Would you keep me safe until then?\I don't want you to bring dissension into this mansion, I suppose.\This place is vitally important to me.\I have no intention of doing anything.\I just want to stop any sparks from flying. response:	What an admirable motive
context: On the fifth morning,\the day after tomorrow...\Would you keep me safe until then?\I don't want you to bring dissension into this mansion, I suppose.\This place is vitally important to me.\I have no intention of doing anything.\I just want to stop any sparks from flying.\What an admirable motive response:	for one who leaves even that in the hands of others.
context: the day after tomorrow...\Would you keep me safe until then?\I don't want you to bring dissension into this mansion, I suppose.\This place is vitally important to me.\I have no intention of doing anything.\I just want to stop any sparks from flying.\What an admirable motive\for one who leaves even that in the hands of others. response:	For once, I have no response to that...
context: Would you keep me safe until then?\I don't want you to bring dissension into this mansion, I suppose.\This place is vitally important to me.\I have no intention of doing anything.\I just want to stop any sparks from flying.\What an admirable motive\for one who leaves even that in the hands of others.\For once, I have no response to that... response:	Hold out your hand.
context: I don't want you to bring dissension into this mansion, I suppose.\This place is vitally important to me.\I have no intention of doing anything.\I just want to stop any sparks from flying.\What an admirable motive\for one who leaves even that in the hands of others.\For once, I have no response to that...\Hold out your hand. response:	I shall grant your wish.
context: This place is vitally important to me.\I have no intention of doing anything.\I just want to stop any sparks from flying.\What an admirable motive\for one who leaves even that in the hands of others.\For once, I have no response to that...\Hold out your hand.\I shall grant your wish. response:	I, Beatrice, on my honor, am henceforth bound by this contract.
context: I have no intention of doing anything.\I just want to stop any sparks from flying.\What an admirable motive\for one who leaves even that in the hands of others.\For once, I have no response to that...\Hold out your hand.\I shall grant your wish.\I, Beatrice, on my honor, am henceforth bound by this contract. response:	Temporary or not, a contract is a contract.
context: I just want to stop any sparks from flying.\What an admirable motive\for one who leaves even that in the hands of others.\For once, I have no response to that...\Hold out your hand.\I shall grant your wish.\I, Beatrice, on my honor, am henceforth bound by this contract.\Temporary or not, a contract is a contract. response:	I'll grant your nonsense favor.
context: What an admirable motive\for one who leaves even that in the hands of others.\For once, I have no response to that...\Hold out your hand.\I shall grant your wish.\I, Beatrice, on my honor, am henceforth bound by this contract.\Temporary or not, a contract is a contract.\I'll grant your nonsense favor. response:	Seriously?
context: for one who leaves even that in the hands of others.\For once, I have no response to that...\Hold out your hand.\I shall grant your wish.\I, Beatrice, on my honor, am henceforth bound by this contract.\Temporary or not, a contract is a contract.\I'll grant your nonsense favor.\Seriously? response:	I'm gonna cry because of a little girl...
context: For once, I have no response to that...\Hold out your hand.\I shall grant your wish.\I, Beatrice, on my honor, am henceforth bound by this contract.\Temporary or not, a contract is a contract.\I'll grant your nonsense favor.\Seriously?\I'm gonna cry because of a little girl... response:	Don't call me a little girl!
context: Hold out your hand.\I shall grant your wish.\I, Beatrice, on my honor, am henceforth bound by this contract.\Temporary or not, a contract is a contract.\I'll grant your nonsense favor.\Seriously?\I'm gonna cry because of a little girl...\Don't call me a little girl! response:	And if you tell Bubby, you'll regret it, I suppose! Hmph!
context: I shall grant your wish.\I, Beatrice, on my honor, am henceforth bound by this contract.\Temporary or not, a contract is a contract.\I'll grant your nonsense favor.\Seriously?\I'm gonna cry because of a little girl...\Don't call me a little girl!\And if you tell Bubby, you'll regret it, I suppose! Hmph! response:	It's that important to you?
context: I, Beatrice, on my honor, am henceforth bound by this contract.\Temporary or not, a contract is a contract.\I'll grant your nonsense favor.\Seriously?\I'm gonna cry because of a little girl...\Don't call me a little girl!\And if you tell Bubby, you'll regret it, I suppose! Hmph!\It's that important to you? response:	That desperation of yours is fanatical like a demon.
context: Temporary or not, a contract is a contract.\I'll grant your nonsense favor.\Seriously?\I'm gonna cry because of a little girl...\Don't call me a little girl!\And if you tell Bubby, you'll regret it, I suppose! Hmph!\It's that important to you?\That desperation of yours is fanatical like a demon. response:	Stop!
context: I'll grant your nonsense favor.\Seriously?\I'm gonna cry because of a little girl...\Don't call me a little girl!\And if you tell Bubby, you'll regret it, I suppose! Hmph!\It's that important to you?\That desperation of yours is fanatical like a demon.\Stop! response:	You can't keep sleeping forever, I suppose.
context: Seriously?\I'm gonna cry because of a little girl...\Don't call me a little girl!\And if you tell Bubby, you'll regret it, I suppose! Hmph!\It's that important to you?\That desperation of yours is fanatical like a demon.\Stop!\You can't keep sleeping forever, I suppose. response:	Bombardier!
context: I'm gonna cry because of a little girl...\Don't call me a little girl!\And if you tell Bubby, you'll regret it, I suppose! Hmph!\It's that important to you?\That desperation of yours is fanatical like a demon.\Stop!\You can't keep sleeping forever, I suppose.\Bombardier! response:	I came against my will because it's the designated time,
context: Don't call me a little girl!\And if you tell Bubby, you'll regret it, I suppose! Hmph!\It's that important to you?\That desperation of yours is fanatical like a demon.\Stop!\You can't keep sleeping forever, I suppose.\Bombardier!\I came against my will because it's the designated time, response:	yet you seem awfully unconcerned.
context: And if you tell Bubby, you'll regret it, I suppose! Hmph!\It's that important to you?\That desperation of yours is fanatical like a demon.\Stop!\You can't keep sleeping forever, I suppose.\Bombardier!\I came against my will because it's the designated time,\yet you seem awfully unconcerned. response:	Falling asleep on the fourth day,
context: It's that important to you?\That desperation of yours is fanatical like a demon.\Stop!\You can't keep sleeping forever, I suppose.\Bombardier!\I came against my will because it's the designated time,\yet you seem awfully unconcerned.\Falling asleep on the fourth day, response:	what kind of reckless idiot am I?
context: That desperation of yours is fanatical like a demon.\Stop!\You can't keep sleeping forever, I suppose.\Bombardier!\I came against my will because it's the designated time,\yet you seem awfully unconcerned.\Falling asleep on the fourth day,\what kind of reckless idiot am I? response:	Quit your grumbling, I suppose.
context: Stop!\You can't keep sleeping forever, I suppose.\Bombardier!\I came against my will because it's the designated time,\yet you seem awfully unconcerned.\Falling asleep on the fourth day,\what kind of reckless idiot am I?\Quit your grumbling, I suppose. response:	Just sit wherever you want.
context: You can't keep sleeping forever, I suppose.\Bombardier!\I came against my will because it's the designated time,\yet you seem awfully unconcerned.\Falling asleep on the fourth day,\what kind of reckless idiot am I?\Quit your grumbling, I suppose.\Just sit wherever you want. response:	The forbidden archive?
context: Bombardier!\I came against my will because it's the designated time,\yet you seem awfully unconcerned.\Falling asleep on the fourth day,\what kind of reckless idiot am I?\Quit your grumbling, I suppose.\Just sit wherever you want.\The forbidden archive? response:	Did you carry me in here while I slept?
context: I came against my will because it's the designated time,\yet you seem awfully unconcerned.\Falling asleep on the fourth day,\what kind of reckless idiot am I?\Quit your grumbling, I suppose.\Just sit wherever you want.\The forbidden archive?\Did you carry me in here while I slept? response:	I'd rather not stay in that room filled with your stench, I suppose.
context: yet you seem awfully unconcerned.\Falling asleep on the fourth day,\what kind of reckless idiot am I?\Quit your grumbling, I suppose.\Just sit wherever you want.\The forbidden archive?\Did you carry me in here while I slept?\I'd rather not stay in that room filled with your stench, I suppose. response:	The forbidden library is the only place for me.
context: Falling asleep on the fourth day,\what kind of reckless idiot am I?\Quit your grumbling, I suppose.\Just sit wherever you want.\The forbidden archive?\Did you carry me in here while I slept?\I'd rather not stay in that room filled with your stench, I suppose.\The forbidden library is the only place for me. response:	You need to observe proper manners, I suppose.
context: what kind of reckless idiot am I?\Quit your grumbling, I suppose.\Just sit wherever you want.\The forbidden archive?\Did you carry me in here while I slept?\I'd rather not stay in that room filled with your stench, I suppose.\The forbidden library is the only place for me.\You need to observe proper manners, I suppose. response:	Beatrice, I'm sure I'm wrong,
context: Quit your grumbling, I suppose.\Just sit wherever you want.\The forbidden archive?\Did you carry me in here while I slept?\I'd rather not stay in that room filled with your stench, I suppose.\The forbidden library is the only place for me.\You need to observe proper manners, I suppose.\Beatrice, I'm sure I'm wrong, response:	but you didn't hold my hand while I was asleep, did you?
context: Just sit wherever you want.\The forbidden archive?\Did you carry me in here while I slept?\I'd rather not stay in that room filled with your stench, I suppose.\The forbidden library is the only place for me.\You need to observe proper manners, I suppose.\Beatrice, I'm sure I'm wrong,\but you didn't hold my hand while I was asleep, did you? response:	You're wrong, indeed.
context: The forbidden archive?\Did you carry me in here while I slept?\I'd rather not stay in that room filled with your stench, I suppose.\The forbidden library is the only place for me.\You need to observe proper manners, I suppose.\Beatrice, I'm sure I'm wrong,\but you didn't hold my hand while I was asleep, did you?\You're wrong, indeed. response:	Even if Bubby asked me to, I would refuse, I suppose.
context: Did you carry me in here while I slept?\I'd rather not stay in that room filled with your stench, I suppose.\The forbidden library is the only place for me.\You need to observe proper manners, I suppose.\Beatrice, I'm sure I'm wrong,\but you didn't hold my hand while I was asleep, did you?\You're wrong, indeed.\Even if Bubby asked me to, I would refuse, I suppose. response:	Flat-out denial, huh?
context: I'd rather not stay in that room filled with your stench, I suppose.\The forbidden library is the only place for me.\You need to observe proper manners, I suppose.\Beatrice, I'm sure I'm wrong,\but you didn't hold my hand while I was asleep, did you?\You're wrong, indeed.\Even if Bubby asked me to, I would refuse, I suppose.\Flat-out denial, huh? response:	I'm not sure what you mean by proper manners...
context: The forbidden library is the only place for me.\You need to observe proper manners, I suppose.\Beatrice, I'm sure I'm wrong,\but you didn't hold my hand while I was asleep, did you?\You're wrong, indeed.\Even if Bubby asked me to, I would refuse, I suppose.\Flat-out denial, huh?\I'm not sure what you mean by proper manners... response:	So, hey, are you
context: You need to observe proper manners, I suppose.\Beatrice, I'm sure I'm wrong,\but you didn't hold my hand while I was asleep, did you?\You're wrong, indeed.\Even if Bubby asked me to, I would refuse, I suppose.\Flat-out denial, huh?\I'm not sure what you mean by proper manners...\So, hey, are you response:	You're annoying me with all your questions!
context: Beatrice, I'm sure I'm wrong,\but you didn't hold my hand while I was asleep, did you?\You're wrong, indeed.\Even if Bubby asked me to, I would refuse, I suppose.\Flat-out denial, huh?\I'm not sure what you mean by proper manners...\So, hey, are you\You're annoying me with all your questions! response:	Just be quiet, I suppose.
context: but you didn't hold my hand while I was asleep, did you?\You're wrong, indeed.\Even if Bubby asked me to, I would refuse, I suppose.\Flat-out denial, huh?\I'm not sure what you mean by proper manners...\So, hey, are you\You're annoying me with all your questions!\Just be quiet, I suppose. response:	Calling.
context: You're wrong, indeed.\Even if Bubby asked me to, I would refuse, I suppose.\Flat-out denial, huh?\I'm not sure what you mean by proper manners...\So, hey, are you\You're annoying me with all your questions!\Just be quiet, I suppose.\Calling. response:	Huh?
context: Even if Bubby asked me to, I would refuse, I suppose.\Flat-out denial, huh?\I'm not sure what you mean by proper manners...\So, hey, are you\You're annoying me with all your questions!\Just be quiet, I suppose.\Calling.\Huh? response:	I've been summoned, I suppose.
context: Flat-out denial, huh?\I'm not sure what you mean by proper manners...\So, hey, are you\You're annoying me with all your questions!\Just be quiet, I suppose.\Calling.\Huh?\I've been summoned, I suppose. response:	Oh, right, you're here. I forgot, I suppose.
context: I'm not sure what you mean by proper manners...\So, hey, are you\You're annoying me with all your questions!\Just be quiet, I suppose.\Calling.\Huh?\I've been summoned, I suppose.\Oh, right, you're here. I forgot, I suppose. response:	H-Hey, hold on!
context: So, hey, are you\You're annoying me with all your questions!\Just be quiet, I suppose.\Calling.\Huh?\I've been summoned, I suppose.\Oh, right, you're here. I forgot, I suppose.\H-Hey, hold on! response:	If you go out there now...
context: You're annoying me with all your questions!\Just be quiet, I suppose.\Calling.\Huh?\I've been summoned, I suppose.\Oh, right, you're here. I forgot, I suppose.\H-Hey, hold on!\If you go out there now... response:	I don't care if you want to stay here.
context: Just be quiet, I suppose.\Calling.\Huh?\I've been summoned, I suppose.\Oh, right, you're here. I forgot, I suppose.\H-Hey, hold on!\If you go out there now...\I don't care if you want to stay here. response:	You'll be safe here, I suppose.
context: Calling.\Huh?\I've been summoned, I suppose.\Oh, right, you're here. I forgot, I suppose.\H-Hey, hold on!\If you go out there now...\I don't care if you want to stay here.\You'll be safe here, I suppose. response:	Damn it! What the hell is this?
context: Huh?\I've been summoned, I suppose.\Oh, right, you're here. I forgot, I suppose.\H-Hey, hold on!\If you go out there now...\I don't care if you want to stay here.\You'll be safe here, I suppose.\Damn it! What the hell is this? response:	Did I
context: I've been summoned, I suppose.\Oh, right, you're here. I forgot, I suppose.\H-Hey, hold on!\If you go out there now...\I don't care if you want to stay here.\You'll be safe here, I suppose.\Damn it! What the hell is this?\Did I response:	make it through the fourth night?
context: Oh, right, you're here. I forgot, I suppose.\H-Hey, hold on!\If you go out there now...\I don't care if you want to stay here.\You'll be safe here, I suppose.\Damn it! What the hell is this?\Did I\make it through the fourth night? response:	And I thought it was so far away.
context: H-Hey, hold on!\If you go out there now...\I don't care if you want to stay here.\You'll be safe here, I suppose.\Damn it! What the hell is this?\Did I\make it through the fourth night?\And I thought it was so far away. response:	It was that easy...
context: If you go out there now...\I don't care if you want to stay here.\You'll be safe here, I suppose.\Damn it! What the hell is this?\Did I\make it through the fourth night?\And I thought it was so far away.\It was that easy... response:	Subaru?
context: I don't care if you want to stay here.\You'll be safe here, I suppose.\Damn it! What the hell is this?\Did I\make it through the fourth night?\And I thought it was so far away.\It was that easy...\Subaru? response:	Emilia?
context: You'll be safe here, I suppose.\Damn it! What the hell is this?\Did I\make it through the fourth night?\And I thought it was so far away.\It was that easy...\Subaru?\Emilia? response:	Subaru, where have you been?
context: Damn it! What the hell is this?\Did I\make it through the fourth night?\And I thought it was so far away.\It was that easy...\Subaru?\Emilia?\Subaru, where have you been? response:	Oh, I was just...
context: Did I\make it through the fourth night?\And I thought it was so far away.\It was that easy...\Subaru?\Emilia?\Subaru, where have you been?\Oh, I was just... response:	You know...
context: make it through the fourth night?\And I thought it was so far away.\It was that easy...\Subaru?\Emilia?\Subaru, where have you been?\Oh, I was just...\You know... response:	No, never mind.
context: And I thought it was so far away.\It was that easy...\Subaru?\Emilia?\Subaru, where have you been?\Oh, I was just...\You know...\No, never mind. response:	Come with me.
context: It was that easy...\Subaru?\Emilia?\Subaru, where have you been?\Oh, I was just...\You know...\No, never mind.\Come with me. response:	Huh? Where are we going?
context: Subaru?\Emilia?\Subaru, where have you been?\Oh, I was just...\You know...\No, never mind.\Come with me.\Huh? Where are we going? response:	Emilia-tan?
context: Emilia?\Subaru, where have you been?\Oh, I was just...\You know...\No, never mind.\Come with me.\Huh? Where are we going?\Emilia-tan? response:	Why are you making that face?
context: Subaru, where have you been?\Oh, I was just...\You know...\No, never mind.\Come with me.\Huh? Where are we going?\Emilia-tan?\Why are you making that face? response:	Everything will be fine now.
context: Oh, I was just...\You know...\No, never mind.\Come with me.\Huh? Where are we going?\Emilia-tan?\Why are you making that face?\Everything will be fine now. response:	Right? I'm alive, and you're...
context: You know...\No, never mind.\Come with me.\Huh? Where are we going?\Emilia-tan?\Why are you making that face?\Everything will be fine now.\Right? I'm alive, and you're... response:	Oh, I know! Let's go to the village!
context: No, never mind.\Come with me.\Huh? Where are we going?\Emilia-tan?\Why are you making that face?\Everything will be fine now.\Right? I'm alive, and you're...\Oh, I know! Let's go to the village! response:	There's so much I want to do and tell you!
context: Come with me.\Huh? Where are we going?\Emilia-tan?\Why are you making that face?\Everything will be fine now.\Right? I'm alive, and you're...\Oh, I know! Let's go to the village!\There's so much I want to do and tell you! response:	So much has happened!
context: Huh? Where are we going?\Emilia-tan?\Why are you making that face?\Everything will be fine now.\Right? I'm alive, and you're...\Oh, I know! Let's go to the village!\There's so much I want to do and tell you!\So much has happened! response:	Subaru...
context: Emilia-tan?\Why are you making that face?\Everything will be fine now.\Right? I'm alive, and you're...\Oh, I know! Let's go to the village!\There's so much I want to do and tell you!\So much has happened!\Subaru... response:	Emilia?
context: Why are you making that face?\Everything will be fine now.\Right? I'm alive, and you're...\Oh, I know! Let's go to the village!\There's so much I want to do and tell you!\So much has happened!\Subaru...\Emilia? response:	How...
context: Everything will be fine now.\Right? I'm alive, and you're...\Oh, I know! Let's go to the village!\There's so much I want to do and tell you!\So much has happened!\Subaru...\Emilia?\How... response:	Why is Rem dead?
context: Right? I'm alive, and you're...\Oh, I know! Let's go to the village!\There's so much I want to do and tell you!\So much has happened!\Subaru...\Emilia?\How...\Why is Rem dead? response:	Don't touch her!
context: Oh, I know! Let's go to the village!\There's so much I want to do and tell you!\So much has happened!\Subaru...\Emilia?\How...\Why is Rem dead?\Don't touch her! response:	Don't touch Rem...
context: There's so much I want to do and tell you!\So much has happened!\Subaru...\Emilia?\How...\Why is Rem dead?\Don't touch her!\Don't touch Rem... response:	Don't touch my little sister!
context: So much has happened!\Subaru...\Emilia?\How...\Why is Rem dead?\Don't touch her!\Don't touch Rem...\Don't touch my little sister! response:	She died of weakness.
context: Subaru...\Emilia?\How...\Why is Rem dead?\Don't touch her!\Don't touch Rem...\Don't touch my little sister!\She died of weakness. response:	It was as if she merely fell asleep.
context: Emilia?\How...\Why is Rem dead?\Don't touch her!\Don't touch Rem...\Don't touch my little sister!\She died of weakness.\It was as if she merely fell asleep. response:	The method was more of a curse than a spell.
context: How...\Why is Rem dead?\Don't touch her!\Don't touch Rem...\Don't touch my little sister!\She died of weakness.\It was as if she merely fell asleep.\The method was more of a curse than a spell. response:	I thought it was Rem who used that curse.
context: Why is Rem dead?\Don't touch her!\Don't touch Rem...\Don't touch my little sister!\She died of weakness.\It was as if she merely fell asleep.\The method was more of a curse than a spell.\I thought it was Rem who used that curse. response:	So Rem isn't the shaman?
context: Don't touch her!\Don't touch Rem...\Don't touch my little sister!\She died of weakness.\It was as if she merely fell asleep.\The method was more of a curse than a spell.\I thought it was Rem who used that curse.\So Rem isn't the shaman? response:	My dear guest, have you any idea what might have occurred?
context: Don't touch Rem...\Don't touch my little sister!\She died of weakness.\It was as if she merely fell asleep.\The method was more of a curse than a spell.\I thought it was Rem who used that curse.\So Rem isn't the shaman?\My dear guest, have you any idea what might have occurred? response:	After this has happened to a dear member of my staff,
context: Don't touch my little sister!\She died of weakness.\It was as if she merely fell asleep.\The method was more of a curse than a spell.\I thought it was Rem who used that curse.\So Rem isn't the shaman?\My dear guest, have you any idea what might have occurred?\After this has happened to a dear member of my staff, response:	I seem to be a little bit angry.
context: She died of weakness.\It was as if she merely fell asleep.\The method was more of a curse than a spell.\I thought it was Rem who used that curse.\So Rem isn't the shaman?\My dear guest, have you any idea what might have occurred?\After this has happened to a dear member of my staff,\I seem to be a little bit angry. response:	Subaru,
context: It was as if she merely fell asleep.\The method was more of a curse than a spell.\I thought it was Rem who used that curse.\So Rem isn't the shaman?\My dear guest, have you any idea what might have occurred?\After this has happened to a dear member of my staff,\I seem to be a little bit angry.\Subaru, response:	if you know anything, tell us.
context: The method was more of a curse than a spell.\I thought it was Rem who used that curse.\So Rem isn't the shaman?\My dear guest, have you any idea what might have occurred?\After this has happened to a dear member of my staff,\I seem to be a little bit angry.\Subaru,\if you know anything, tell us. response:	I want to spill it all and get it off my chest.
context: I thought it was Rem who used that curse.\So Rem isn't the shaman?\My dear guest, have you any idea what might have occurred?\After this has happened to a dear member of my staff,\I seem to be a little bit angry.\Subaru,\if you know anything, tell us.\I want to spill it all and get it off my chest. response:	Ow!
context: So Rem isn't the shaman?\My dear guest, have you any idea what might have occurred?\After this has happened to a dear member of my staff,\I seem to be a little bit angry.\Subaru,\if you know anything, tell us.\I want to spill it all and get it off my chest.\Ow! response:	If you know something, spill it all!
context: My dear guest, have you any idea what might have occurred?\After this has happened to a dear member of my staff,\I seem to be a little bit angry.\Subaru,\if you know anything, tell us.\I want to spill it all and get it off my chest.\Ow!\If you know something, spill it all! response:	Wait, Ram! That's...
context: After this has happened to a dear member of my staff,\I seem to be a little bit angry.\Subaru,\if you know anything, tell us.\I want to spill it all and get it off my chest.\Ow!\If you know something, spill it all!\Wait, Ram! That's... response:	I keep my promises.
context: I seem to be a little bit angry.\Subaru,\if you know anything, tell us.\I want to spill it all and get it off my chest.\Ow!\If you know something, spill it all!\Wait, Ram! That's...\I keep my promises. response:	As long as he remains in this mansion,
context: Subaru,\if you know anything, tell us.\I want to spill it all and get it off my chest.\Ow!\If you know something, spill it all!\Wait, Ram! That's...\I keep my promises.\As long as he remains in this mansion, response:	I am contracted to protect him, I suppose.
context: if you know anything, tell us.\I want to spill it all and get it off my chest.\Ow!\If you know something, spill it all!\Wait, Ram! That's...\I keep my promises.\As long as he remains in this mansion,\I am contracted to protect him, I suppose. response:	Beatrice-sama?
context: I want to spill it all and get it off my chest.\Ow!\If you know something, spill it all!\Wait, Ram! That's...\I keep my promises.\As long as he remains in this mansion,\I am contracted to protect him, I suppose.\Beatrice-sama? response:	Roswaal, he spent last night in the forbidden library, I suppose.
context: Ow!\If you know something, spill it all!\Wait, Ram! That's...\I keep my promises.\As long as he remains in this mansion,\I am contracted to protect him, I suppose.\Beatrice-sama?\Roswaal, he spent last night in the forbidden library, I suppose. response:	So he surely had nothing to do with
context: If you know something, spill it all!\Wait, Ram! That's...\I keep my promises.\As long as he remains in this mansion,\I am contracted to protect him, I suppose.\Beatrice-sama?\Roswaal, he spent last night in the forbidden library, I suppose.\So he surely had nothing to do with response:	There is no further need to emphasize the situation at hand.
context: Wait, Ram! That's...\I keep my promises.\As long as he remains in this mansion,\I am contracted to protect him, I suppose.\Beatrice-sama?\Roswaal, he spent last night in the forbidden library, I suppose.\So he surely had nothing to do with\There is no further need to emphasize the situation at hand. response:	However, to guard him with your life,
context: I keep my promises.\As long as he remains in this mansion,\I am contracted to protect him, I suppose.\Beatrice-sama?\Roswaal, he spent last night in the forbidden library, I suppose.\So he surely had nothing to do with\There is no further need to emphasize the situation at hand.\However, to guard him with your life, response:	you must have taken quite a liking to him.
context: As long as he remains in this mansion,\I am contracted to protect him, I suppose.\Beatrice-sama?\Roswaal, he spent last night in the forbidden library, I suppose.\So he surely had nothing to do with\There is no further need to emphasize the situation at hand.\However, to guard him with your life,\you must have taken quite a liking to him. response:	Save the jokes for your makeup and weird fetishes, I suppose.
context: I am contracted to protect him, I suppose.\Beatrice-sama?\Roswaal, he spent last night in the forbidden library, I suppose.\So he surely had nothing to do with\There is no further need to emphasize the situation at hand.\However, to guard him with your life,\you must have taken quite a liking to him.\Save the jokes for your makeup and weird fetishes, I suppose. response:	None of that even matters!
context: Beatrice-sama?\Roswaal, he spent last night in the forbidden library, I suppose.\So he surely had nothing to do with\There is no further need to emphasize the situation at hand.\However, to guard him with your life,\you must have taken quite a liking to him.\Save the jokes for your makeup and weird fetishes, I suppose.\None of that even matters! response:	Get out of the way.
context: Roswaal, he spent last night in the forbidden library, I suppose.\So he surely had nothing to do with\There is no further need to emphasize the situation at hand.\However, to guard him with your life,\you must have taken quite a liking to him.\Save the jokes for your makeup and weird fetishes, I suppose.\None of that even matters!\Get out of the way. response:	Let me through.
context: So he surely had nothing to do with\There is no further need to emphasize the situation at hand.\However, to guard him with your life,\you must have taken quite a liking to him.\Save the jokes for your makeup and weird fetishes, I suppose.\None of that even matters!\Get out of the way.\Let me through. response:	I must avenge Rem.
context: There is no further need to emphasize the situation at hand.\However, to guard him with your life,\you must have taken quite a liking to him.\Save the jokes for your makeup and weird fetishes, I suppose.\None of that even matters!\Get out of the way.\Let me through.\I must avenge Rem. response:	If you know anything, tell me.
context: However, to guard him with your life,\you must have taken quite a liking to him.\Save the jokes for your makeup and weird fetishes, I suppose.\None of that even matters!\Get out of the way.\Let me through.\I must avenge Rem.\If you know anything, tell me. response:	Help me.
context: you must have taken quite a liking to him.\Save the jokes for your makeup and weird fetishes, I suppose.\None of that even matters!\Get out of the way.\Let me through.\I must avenge Rem.\If you know anything, tell me.\Help me. response:	Help Rem!
context: Save the jokes for your makeup and weird fetishes, I suppose.\None of that even matters!\Get out of the way.\Let me through.\I must avenge Rem.\If you know anything, tell me.\Help me.\Help Rem! response:	I'm sorry, Ram. Despite all this,
context: None of that even matters!\Get out of the way.\Let me through.\I must avenge Rem.\If you know anything, tell me.\Help me.\Help Rem!\I'm sorry, Ram. Despite all this, response:	I choose to trust Subaru.
context: Get out of the way.\Let me through.\I must avenge Rem.\If you know anything, tell me.\Help me.\Help Rem!\I'm sorry, Ram. Despite all this,\I choose to trust Subaru. response:	Subaru, please.
context: Let me through.\I must avenge Rem.\If you know anything, tell me.\Help me.\Help Rem!\I'm sorry, Ram. Despite all this,\I choose to trust Subaru.\Subaru, please. response:	If you can save Ram... If you can save Rem,
context: I must avenge Rem.\If you know anything, tell me.\Help me.\Help Rem!\I'm sorry, Ram. Despite all this,\I choose to trust Subaru.\Subaru, please.\If you can save Ram... If you can save Rem, response:	please do.
context: If you know anything, tell me.\Help me.\Help Rem!\I'm sorry, Ram. Despite all this,\I choose to trust Subaru.\Subaru, please.\If you can save Ram... If you can save Rem,\please do. response:	I'm sorry.
context: Help me.\Help Rem!\I'm sorry, Ram. Despite all this,\I choose to trust Subaru.\Subaru, please.\If you can save Ram... If you can save Rem,\please do.\I'm sorry. response:	Subaru!
context: Help Rem!\I'm sorry, Ram. Despite all this,\I choose to trust Subaru.\Subaru, please.\If you can save Ram... If you can save Rem,\please do.\I'm sorry.\Subaru! response:	I'm going to kill you!
context: I'm sorry, Ram. Despite all this,\I choose to trust Subaru.\Subaru, please.\If you can save Ram... If you can save Rem,\please do.\I'm sorry.\Subaru!\I'm going to kill you! response:	I ran.
context: I choose to trust Subaru.\Subaru, please.\If you can save Ram... If you can save Rem,\please do.\I'm sorry.\Subaru!\I'm going to kill you!\I ran. response:	I ran away.
context: Subaru, please.\If you can save Ram... If you can save Rem,\please do.\I'm sorry.\Subaru!\I'm going to kill you!\I ran.\I ran away. response:	I ran away from them.
context: If you can save Ram... If you can save Rem,\please do.\I'm sorry.\Subaru!\I'm going to kill you!\I ran.\I ran away.\I ran away from them. response:	I can't go back there again.
context: please do.\I'm sorry.\Subaru!\I'm going to kill you!\I ran.\I ran away.\I ran away from them.\I can't go back there again. response:	What choice did I have? What could I...
context: I'm sorry.\Subaru!\I'm going to kill you!\I ran.\I ran away.\I ran away from them.\I can't go back there again.\What choice did I have? What could I... response:	And I was
context: Subaru!\I'm going to kill you!\I ran.\I ran away.\I ran away from them.\I can't go back there again.\What choice did I have? What could I...\And I was response:	having so much fun!
