context: This is the command car. What's going on? response:	What happened?
context: Well, you were under the custody of your mother,\but ever since your mother passed away, you've been living with your father, correct?\In that case, your legal guardian is...\I don't consider a person who only comes home once a month as my legal guardian.\My, we're lucky the notice came to the school and not to the police, but...\I'm telling you that I didn't commit arson!\However, the person who witnessed it said you were burning trash at the back of the building.\I wasn't the one who burned it! response:	It was burning right in front of me before I realized it.
context: but ever since your mother passed away, you've been living with your father, correct?\In that case, your legal guardian is...\I don't consider a person who only comes home once a month as my legal guardian.\My, we're lucky the notice came to the school and not to the police, but...\I'm telling you that I didn't commit arson!\However, the person who witnessed it said you were burning trash at the back of the building.\I wasn't the one who burned it!\It was burning right in front of me before I realized it. response:	Why... Why don't you believe me?
context: In that case, your legal guardian is...\I don't consider a person who only comes home once a month as my legal guardian.\My, we're lucky the notice came to the school and not to the police, but...\I'm telling you that I didn't commit arson!\However, the person who witnessed it said you were burning trash at the back of the building.\I wasn't the one who burned it!\It was burning right in front of me before I realized it.\Why... Why don't you believe me? response:	We'll be leaving now.
context: I don't consider a person who only comes home once a month as my legal guardian.\My, we're lucky the notice came to the school and not to the police, but...\I'm telling you that I didn't commit arson!\However, the person who witnessed it said you were burning trash at the back of the building.\I wasn't the one who burned it!\It was burning right in front of me before I realized it.\Why... Why don't you believe me?\We'll be leaving now. response:	We're going home!
context: My, we're lucky the notice came to the school and not to the police, but...\I'm telling you that I didn't commit arson!\However, the person who witnessed it said you were burning trash at the back of the building.\I wasn't the one who burned it!\It was burning right in front of me before I realized it.\Why... Why don't you believe me?\We'll be leaving now.\We're going home! response:	W-Wait a minute...
context: I'm telling you that I didn't commit arson!\However, the person who witnessed it said you were burning trash at the back of the building.\I wasn't the one who burned it!\It was burning right in front of me before I realized it.\Why... Why don't you believe me?\We'll be leaving now.\We're going home!\W-Wait a minute... response:	Mr. Tahara, I still have more to say...
context: However, the person who witnessed it said you were burning trash at the back of the building.\I wasn't the one who burned it!\It was burning right in front of me before I realized it.\Why... Why don't you believe me?\We'll be leaving now.\We're going home!\W-Wait a minute...\Mr. Tahara, I still have more to say... response:	Mr. Tahara!
context: I wasn't the one who burned it!\It was burning right in front of me before I realized it.\Why... Why don't you believe me?\We'll be leaving now.\We're going home!\W-Wait a minute...\Mr. Tahara, I still have more to say...\Mr. Tahara! response:	Are you telling the truth?
context: It was burning right in front of me before I realized it.\Why... Why don't you believe me?\We'll be leaving now.\We're going home!\W-Wait a minute...\Mr. Tahara, I still have more to say...\Mr. Tahara!\Are you telling the truth? response:	Was the trash burning on its own before you realized it?
context: Why... Why don't you believe me?\We'll be leaving now.\We're going home!\W-Wait a minute...\Mr. Tahara, I still have more to say...\Mr. Tahara!\Are you telling the truth?\Was the trash burning on its own before you realized it? response:	Is this the first time?
context: We'll be leaving now.\We're going home!\W-Wait a minute...\Mr. Tahara, I still have more to say...\Mr. Tahara!\Are you telling the truth?\Was the trash burning on its own before you realized it?\Is this the first time? response:	Do these occurrences happen frequently?
context: We're going home!\W-Wait a minute...\Mr. Tahara, I still have more to say...\Mr. Tahara!\Are you telling the truth?\Was the trash burning on its own before you realized it?\Is this the first time?\Do these occurrences happen frequently? response:	Did you eat something strange?
context: W-Wait a minute...\Mr. Tahara, I still have more to say...\Mr. Tahara!\Are you telling the truth?\Was the trash burning on its own before you realized it?\Is this the first time?\Do these occurrences happen frequently?\Did you eat something strange? response:	When did you start acting unconsciously?
context: Mr. Tahara, I still have more to say...\Mr. Tahara!\Are you telling the truth?\Was the trash burning on its own before you realized it?\Is this the first time?\Do these occurrences happen frequently?\Did you eat something strange?\When did you start acting unconsciously? response:	Talk about a rarity,
context: Mr. Tahara!\Are you telling the truth?\Was the trash burning on its own before you realized it?\Is this the first time?\Do these occurrences happen frequently?\Did you eat something strange?\When did you start acting unconsciously?\Talk about a rarity, response:	for you to be talking to me.
context: Are you telling the truth?\Was the trash burning on its own before you realized it?\Is this the first time?\Do these occurrences happen frequently?\Did you eat something strange?\When did you start acting unconsciously?\Talk about a rarity,\for you to be talking to me. response:	Don't touch me!
context: Was the trash burning on its own before you realized it?\Is this the first time?\Do these occurrences happen frequently?\Did you eat something strange?\When did you start acting unconsciously?\Talk about a rarity,\for you to be talking to me.\Don't touch me! response:	Mai?
context: Is this the first time?\Do these occurrences happen frequently?\Did you eat something strange?\When did you start acting unconsciously?\Talk about a rarity,\for you to be talking to me.\Don't touch me!\Mai? response:	What? A chauffeur? You're like a celebrity!
context: Do these occurrences happen frequently?\Did you eat something strange?\When did you start acting unconsciously?\Talk about a rarity,\for you to be talking to me.\Don't touch me!\Mai?\What? A chauffeur? You're like a celebrity! response:	Are you going anywhere?
context: Did you eat something strange?\When did you start acting unconsciously?\Talk about a rarity,\for you to be talking to me.\Don't touch me!\Mai?\What? A chauffeur? You're like a celebrity!\Are you going anywhere? response:	The same place, as usual.
context: When did you start acting unconsciously?\Talk about a rarity,\for you to be talking to me.\Don't touch me!\Mai?\What? A chauffeur? You're like a celebrity!\Are you going anywhere?\The same place, as usual. response:	It's dangerous.
context: Talk about a rarity,\for you to be talking to me.\Don't touch me!\Mai?\What? A chauffeur? You're like a celebrity!\Are you going anywhere?\The same place, as usual.\It's dangerous. response:	Is it okay?
context: for you to be talking to me.\Don't touch me!\Mai?\What? A chauffeur? You're like a celebrity!\Are you going anywhere?\The same place, as usual.\It's dangerous.\Is it okay? response:	No problem.
context: Don't touch me!\Mai?\What? A chauffeur? You're like a celebrity!\Are you going anywhere?\The same place, as usual.\It's dangerous.\Is it okay?\No problem. response:	Let's go.
context: Mai?\What? A chauffeur? You're like a celebrity!\Are you going anywhere?\The same place, as usual.\It's dangerous.\Is it okay?\No problem.\Let's go. response:	O-Okay...
context: What? A chauffeur? You're like a celebrity!\Are you going anywhere?\The same place, as usual.\It's dangerous.\Is it okay?\No problem.\Let's go.\O-Okay... response:	Is it okay?
context: Are you going anywhere?\The same place, as usual.\It's dangerous.\Is it okay?\No problem.\Let's go.\O-Okay...\Is it okay? response:	It doesn't concern you.
context: The same place, as usual.\It's dangerous.\Is it okay?\No problem.\Let's go.\O-Okay...\Is it okay?\It doesn't concern you. response:	Hurry up and return to the factory.
context: It's dangerous.\Is it okay?\No problem.\Let's go.\O-Okay...\Is it okay?\It doesn't concern you.\Hurry up and return to the factory. response:	You've recently been acting as if your mind has been drifting, Mai.
context: Is it okay?\No problem.\Let's go.\O-Okay...\Is it okay?\It doesn't concern you.\Hurry up and return to the factory.\You've recently been acting as if your mind has been drifting, Mai. response:	I think my soul has been drifting on occasion.
context: No problem.\Let's go.\O-Okay...\Is it okay?\It doesn't concern you.\Hurry up and return to the factory.\You've recently been acting as if your mind has been drifting, Mai.\I think my soul has been drifting on occasion. response:	Tired from doing too many chores?
context: Let's go.\O-Okay...\Is it okay?\It doesn't concern you.\Hurry up and return to the factory.\You've recently been acting as if your mind has been drifting, Mai.\I think my soul has been drifting on occasion.\Tired from doing too many chores? response:	You don't have a mother, do you, Mai?
context: O-Okay...\Is it okay?\It doesn't concern you.\Hurry up and return to the factory.\You've recently been acting as if your mind has been drifting, Mai.\I think my soul has been drifting on occasion.\Tired from doing too many chores?\You don't have a mother, do you, Mai? response:	Yeah.
context: Is it okay?\It doesn't concern you.\Hurry up and return to the factory.\You've recently been acting as if your mind has been drifting, Mai.\I think my soul has been drifting on occasion.\Tired from doing too many chores?\You don't have a mother, do you, Mai?\Yeah. response:	But you have a father, right?
context: It doesn't concern you.\Hurry up and return to the factory.\You've recently been acting as if your mind has been drifting, Mai.\I think my soul has been drifting on occasion.\Tired from doing too many chores?\You don't have a mother, do you, Mai?\Yeah.\But you have a father, right? response:	Yes and no.
context: Hurry up and return to the factory.\You've recently been acting as if your mind has been drifting, Mai.\I think my soul has been drifting on occasion.\Tired from doing too many chores?\You don't have a mother, do you, Mai?\Yeah.\But you have a father, right?\Yes and no. response:	What do you mean?
context: You've recently been acting as if your mind has been drifting, Mai.\I think my soul has been drifting on occasion.\Tired from doing too many chores?\You don't have a mother, do you, Mai?\Yeah.\But you have a father, right?\Yes and no.\What do you mean? response:	Are you doing the cooking, Mai?
context: I think my soul has been drifting on occasion.\Tired from doing too many chores?\You don't have a mother, do you, Mai?\Yeah.\But you have a father, right?\Yes and no.\What do you mean?\Are you doing the cooking, Mai? response:	I am.
context: Tired from doing too many chores?\You don't have a mother, do you, Mai?\Yeah.\But you have a father, right?\Yes and no.\What do you mean?\Are you doing the cooking, Mai?\I am. response:	I'm also eating by myself.
context: You don't have a mother, do you, Mai?\Yeah.\But you have a father, right?\Yes and no.\What do you mean?\Are you doing the cooking, Mai?\I am.\I'm also eating by myself. response:	Your dad doesn't come home?
context: Yeah.\But you have a father, right?\Yes and no.\What do you mean?\Are you doing the cooking, Mai?\I am.\I'm also eating by myself.\Your dad doesn't come home? response:	How come?
context: But you have a father, right?\Yes and no.\What do you mean?\Are you doing the cooking, Mai?\I am.\I'm also eating by myself.\Your dad doesn't come home?\How come? response:	I don't know.
context: Yes and no.\What do you mean?\Are you doing the cooking, Mai?\I am.\I'm also eating by myself.\Your dad doesn't come home?\How come?\I don't know. response:	Why don't you eat dinner at my place from now on?
context: What do you mean?\Are you doing the cooking, Mai?\I am.\I'm also eating by myself.\Your dad doesn't come home?\How come?\I don't know.\Why don't you eat dinner at my place from now on? response:	Huh?
context: Are you doing the cooking, Mai?\I am.\I'm also eating by myself.\Your dad doesn't come home?\How come?\I don't know.\Why don't you eat dinner at my place from now on?\Huh? response:	I have a brother and sister, so it's kind of noisy, but...
context: I am.\I'm also eating by myself.\Your dad doesn't come home?\How come?\I don't know.\Why don't you eat dinner at my place from now on?\Huh?\I have a brother and sister, so it's kind of noisy, but... response:	Meals taste better when there are people around.
context: I'm also eating by myself.\Your dad doesn't come home?\How come?\I don't know.\Why don't you eat dinner at my place from now on?\Huh?\I have a brother and sister, so it's kind of noisy, but...\Meals taste better when there are people around. response:	Papa and Mama will be glad to have you, so come over!
context: Your dad doesn't come home?\How come?\I don't know.\Why don't you eat dinner at my place from now on?\Huh?\I have a brother and sister, so it's kind of noisy, but...\Meals taste better when there are people around.\Papa and Mama will be glad to have you, so come over! response:	Yuka, what about me?
context: How come?\I don't know.\Why don't you eat dinner at my place from now on?\Huh?\I have a brother and sister, so it's kind of noisy, but...\Meals taste better when there are people around.\Papa and Mama will be glad to have you, so come over!\Yuka, what about me? response:	We won't have any food left if you come.
context: I don't know.\Why don't you eat dinner at my place from now on?\Huh?\I have a brother and sister, so it's kind of noisy, but...\Meals taste better when there are people around.\Papa and Mama will be glad to have you, so come over!\Yuka, what about me?\We won't have any food left if you come. response:	Huh?
context: Why don't you eat dinner at my place from now on?\Huh?\I have a brother and sister, so it's kind of noisy, but...\Meals taste better when there are people around.\Papa and Mama will be glad to have you, so come over!\Yuka, what about me?\We won't have any food left if you come.\Huh? response:	I guess I'll have to decline.
context: Huh?\I have a brother and sister, so it's kind of noisy, but...\Meals taste better when there are people around.\Papa and Mama will be glad to have you, so come over!\Yuka, what about me?\We won't have any food left if you come.\Huh?\I guess I'll have to decline. response:	Mai?
context: I have a brother and sister, so it's kind of noisy, but...\Meals taste better when there are people around.\Papa and Mama will be glad to have you, so come over!\Yuka, what about me?\We won't have any food left if you come.\Huh?\I guess I'll have to decline.\Mai? response:	My father might come back today for once.
context: Meals taste better when there are people around.\Papa and Mama will be glad to have you, so come over!\Yuka, what about me?\We won't have any food left if you come.\Huh?\I guess I'll have to decline.\Mai?\My father might come back today for once. response:	I see.
context: Papa and Mama will be glad to have you, so come over!\Yuka, what about me?\We won't have any food left if you come.\Huh?\I guess I'll have to decline.\Mai?\My father might come back today for once.\I see. response:	Yeah, you know...
context: Yuka, what about me?\We won't have any food left if you come.\Huh?\I guess I'll have to decline.\Mai?\My father might come back today for once.\I see.\Yeah, you know... response:	A lot of things happened, so I'll probably be lectured.
context: We won't have any food left if you come.\Huh?\I guess I'll have to decline.\Mai?\My father might come back today for once.\I see.\Yeah, you know...\A lot of things happened, so I'll probably be lectured. response:	I see.
context: Huh?\I guess I'll have to decline.\Mai?\My father might come back today for once.\I see.\Yeah, you know...\A lot of things happened, so I'll probably be lectured.\I see. response:	Next time, then.
context: I guess I'll have to decline.\Mai?\My father might come back today for once.\I see.\Yeah, you know...\A lot of things happened, so I'll probably be lectured.\I see.\Next time, then. response:	Sorry, Yuka.
context: Mai?\My father might come back today for once.\I see.\Yeah, you know...\A lot of things happened, so I'll probably be lectured.\I see.\Next time, then.\Sorry, Yuka. response:	Thanks.
context: My father might come back today for once.\I see.\Yeah, you know...\A lot of things happened, so I'll probably be lectured.\I see.\Next time, then.\Sorry, Yuka.\Thanks. response:	How many times do I have to tell you before you understand?
context: I see.\Yeah, you know...\A lot of things happened, so I'll probably be lectured.\I see.\Next time, then.\Sorry, Yuka.\Thanks.\How many times do I have to tell you before you understand? response:	I've been saying that I won't return to your company.
context: Yeah, you know...\A lot of things happened, so I'll probably be lectured.\I see.\Next time, then.\Sorry, Yuka.\Thanks.\How many times do I have to tell you before you understand?\I've been saying that I won't return to your company. response:	In that case, we'll be forced to change our attitude.
context: A lot of things happened, so I'll probably be lectured.\I see.\Next time, then.\Sorry, Yuka.\Thanks.\How many times do I have to tell you before you understand?\I've been saying that I won't return to your company.\In that case, we'll be forced to change our attitude. response:	Are you okay with that?
context: I see.\Next time, then.\Sorry, Yuka.\Thanks.\How many times do I have to tell you before you understand?\I've been saying that I won't return to your company.\In that case, we'll be forced to change our attitude.\Are you okay with that? response:	I refuse!
context: Next time, then.\Sorry, Yuka.\Thanks.\How many times do I have to tell you before you understand?\I've been saying that I won't return to your company.\In that case, we'll be forced to change our attitude.\Are you okay with that?\I refuse! response:	Yeah, it's me.
context: Sorry, Yuka.\Thanks.\How many times do I have to tell you before you understand?\I've been saying that I won't return to your company.\In that case, we'll be forced to change our attitude.\Are you okay with that?\I refuse!\Yeah, it's me. response:	We're proceeding to the next step.
context: Thanks.\How many times do I have to tell you before you understand?\I've been saying that I won't return to your company.\In that case, we'll be forced to change our attitude.\Are you okay with that?\I refuse!\Yeah, it's me.\We're proceeding to the next step. response:	That's right.
context: How many times do I have to tell you before you understand?\I've been saying that I won't return to your company.\In that case, we'll be forced to change our attitude.\Are you okay with that?\I refuse!\Yeah, it's me.\We're proceeding to the next step.\That's right. response:	The daughter.
context: I've been saying that I won't return to your company.\In that case, we'll be forced to change our attitude.\Are you okay with that?\I refuse!\Yeah, it's me.\We're proceeding to the next step.\That's right.\The daughter. response:	Excuse me. Miss?
context: In that case, we'll be forced to change our attitude.\Are you okay with that?\I refuse!\Yeah, it's me.\We're proceeding to the next step.\That's right.\The daughter.\Excuse me. Miss? response:	Um...
context: Are you okay with that?\I refuse!\Yeah, it's me.\We're proceeding to the next step.\That's right.\The daughter.\Excuse me. Miss?\Um... response:	I'd like to pay for both of these items.
context: I refuse!\Yeah, it's me.\We're proceeding to the next step.\That's right.\The daughter.\Excuse me. Miss?\Um...\I'd like to pay for both of these items. response:	Yeah, sure...
context: Yeah, it's me.\We're proceeding to the next step.\That's right.\The daughter.\Excuse me. Miss?\Um...\I'd like to pay for both of these items.\Yeah, sure... response:	So what are you doing at this time of night?
context: We're proceeding to the next step.\That's right.\The daughter.\Excuse me. Miss?\Um...\I'd like to pay for both of these items.\Yeah, sure...\So what are you doing at this time of night? response:	Middle school student?
context: That's right.\The daughter.\Excuse me. Miss?\Um...\I'd like to pay for both of these items.\Yeah, sure...\So what are you doing at this time of night?\Middle school student? response:	Are your parents with you?
context: The daughter.\Excuse me. Miss?\Um...\I'd like to pay for both of these items.\Yeah, sure...\So what are you doing at this time of night?\Middle school student?\Are your parents with you? response:	That's none of your business.
context: Excuse me. Miss?\Um...\I'd like to pay for both of these items.\Yeah, sure...\So what are you doing at this time of night?\Middle school student?\Are your parents with you?\That's none of your business. response:	Young lady...
context: Um...\I'd like to pay for both of these items.\Yeah, sure...\So what are you doing at this time of night?\Middle school student?\Are your parents with you?\That's none of your business.\Young lady... response:	I'm sorry.
context: I'd like to pay for both of these items.\Yeah, sure...\So what are you doing at this time of night?\Middle school student?\Are your parents with you?\That's none of your business.\Young lady...\I'm sorry. response:	I'm her older brother.
context: Yeah, sure...\So what are you doing at this time of night?\Middle school student?\Are your parents with you?\That's none of your business.\Young lady...\I'm sorry.\I'm her older brother. response:	Hey, don't follow me!
context: So what are you doing at this time of night?\Middle school student?\Are your parents with you?\That's none of your business.\Young lady...\I'm sorry.\I'm her older brother.\Hey, don't follow me! response:	What? Did that person tell you to keep an eye on me?
context: Middle school student?\Are your parents with you?\That's none of your business.\Young lady...\I'm sorry.\I'm her older brother.\Hey, don't follow me!\What? Did that person tell you to keep an eye on me? response:	You're annoying!
context: Are your parents with you?\That's none of your business.\Young lady...\I'm sorry.\I'm her older brother.\Hey, don't follow me!\What? Did that person tell you to keep an eye on me?\You're annoying! response:	Leave me alone!
context: That's none of your business.\Young lady...\I'm sorry.\I'm her older brother.\Hey, don't follow me!\What? Did that person tell you to keep an eye on me?\You're annoying!\Leave me alone! response:	I don't want to see your face!
context: Young lady...\I'm sorry.\I'm her older brother.\Hey, don't follow me!\What? Did that person tell you to keep an eye on me?\You're annoying!\Leave me alone!\I don't want to see your face! response:	Don't ever come back again!
context: I'm sorry.\I'm her older brother.\Hey, don't follow me!\What? Did that person tell you to keep an eye on me?\You're annoying!\Leave me alone!\I don't want to see your face!\Don't ever come back again! response:	I hate...
context: I'm her older brother.\Hey, don't follow me!\What? Did that person tell you to keep an eye on me?\You're annoying!\Leave me alone!\I don't want to see your face!\Don't ever come back again!\I hate... response:	you...
context: Hey, don't follow me!\What? Did that person tell you to keep an eye on me?\You're annoying!\Leave me alone!\I don't want to see your face!\Don't ever come back again!\I hate...\you... response:	Do you feel better?
context: What? Did that person tell you to keep an eye on me?\You're annoying!\Leave me alone!\I don't want to see your face!\Don't ever come back again!\I hate...\you...\Do you feel better? response:	Let's go home. I'll walk you back.
context: You're annoying!\Leave me alone!\I don't want to see your face!\Don't ever come back again!\I hate...\you...\Do you feel better?\Let's go home. I'll walk you back. response:	I don't want to go home.
context: Leave me alone!\I don't want to see your face!\Don't ever come back again!\I hate...\you...\Do you feel better?\Let's go home. I'll walk you back.\I don't want to go home. response:	I don't want to go back to that dark and empty room.
context: I don't want to see your face!\Don't ever come back again!\I hate...\you...\Do you feel better?\Let's go home. I'll walk you back.\I don't want to go home.\I don't want to go back to that dark and empty room. response:	Then let's play until morning.
context: Don't ever come back again!\I hate...\you...\Do you feel better?\Let's go home. I'll walk you back.\I don't want to go home.\I don't want to go back to that dark and empty room.\Then let's play until morning. response:	Huh?
context: I hate...\you...\Do you feel better?\Let's go home. I'll walk you back.\I don't want to go home.\I don't want to go back to that dark and empty room.\Then let's play until morning.\Huh? response:	It's a little scary.
context: you...\Do you feel better?\Let's go home. I'll walk you back.\I don't want to go home.\I don't want to go back to that dark and empty room.\Then let's play until morning.\Huh?\It's a little scary. response:	Can you close your eyes for a second?
context: Do you feel better?\Let's go home. I'll walk you back.\I don't want to go home.\I don't want to go back to that dark and empty room.\Then let's play until morning.\Huh?\It's a little scary.\Can you close your eyes for a second? response:	Huh?
context: Let's go home. I'll walk you back.\I don't want to go home.\I don't want to go back to that dark and empty room.\Then let's play until morning.\Huh?\It's a little scary.\Can you close your eyes for a second?\Huh? response:	Okay.
context: I don't want to go home.\I don't want to go back to that dark and empty room.\Then let's play until morning.\Huh?\It's a little scary.\Can you close your eyes for a second?\Huh?\Okay. response:	Hey!
context: I don't want to go back to that dark and empty room.\Then let's play until morning.\Huh?\It's a little scary.\Can you close your eyes for a second?\Huh?\Okay.\Hey! response:	I'm hungry.
context: Then let's play until morning.\Huh?\It's a little scary.\Can you close your eyes for a second?\Huh?\Okay.\Hey!\I'm hungry. response:	Here you go.
context: Huh?\It's a little scary.\Can you close your eyes for a second?\Huh?\Okay.\Hey!\I'm hungry.\Here you go. response:	The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!
context: It's a little scary.\Can you close your eyes for a second?\Huh?\Okay.\Hey!\I'm hungry.\Here you go.\The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds! response:	I see. So you're from China, Li-san.
context: Can you close your eyes for a second?\Huh?\Okay.\Hey!\I'm hungry.\Here you go.\The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!\I see. So you're from China, Li-san. response:	You speak Japanese well.
context: Huh?\Okay.\Hey!\I'm hungry.\Here you go.\The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!\I see. So you're from China, Li-san.\You speak Japanese well. response:	It may not look like it, but I've been living abroad.
context: Okay.\Hey!\I'm hungry.\Here you go.\The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!\I see. So you're from China, Li-san.\You speak Japanese well.\It may not look like it, but I've been living abroad. response:	My family lived in Africa until I entered grade school...
context: Hey!\I'm hungry.\Here you go.\The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!\I see. So you're from China, Li-san.\You speak Japanese well.\It may not look like it, but I've been living abroad.\My family lived in Africa until I entered grade school... response:	Okay, as an exception,
context: I'm hungry.\Here you go.\The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!\I see. So you're from China, Li-san.\You speak Japanese well.\It may not look like it, but I've been living abroad.\My family lived in Africa until I entered grade school...\Okay, as an exception, response:	I'll show it only to you, Li-san.
context: Here you go.\The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!\I see. So you're from China, Li-san.\You speak Japanese well.\It may not look like it, but I've been living abroad.\My family lived in Africa until I entered grade school...\Okay, as an exception,\I'll show it only to you, Li-san. response:	Take a close look.
context: The capricious patissier's parfait with fresh fruit and choux chocolat, topped with rice dumplings and almond seeds!\I see. So you're from China, Li-san.\You speak Japanese well.\It may not look like it, but I've been living abroad.\My family lived in Africa until I entered grade school...\Okay, as an exception,\I'll show it only to you, Li-san.\Take a close look. response:	See?
context: I see. So you're from China, Li-san.\You speak Japanese well.\It may not look like it, but I've been living abroad.\My family lived in Africa until I entered grade school...\Okay, as an exception,\I'll show it only to you, Li-san.\Take a close look.\See? response:	The glow was stronger in the past.
context: You speak Japanese well.\It may not look like it, but I've been living abroad.\My family lived in Africa until I entered grade school...\Okay, as an exception,\I'll show it only to you, Li-san.\Take a close look.\See?\The glow was stronger in the past. response:	It gradually became darker, and now it even disappears from time to time.
context: It may not look like it, but I've been living abroad.\My family lived in Africa until I entered grade school...\Okay, as an exception,\I'll show it only to you, Li-san.\Take a close look.\See?\The glow was stronger in the past.\It gradually became darker, and now it even disappears from time to time. response:	When I was a child, Papa told me there was an amulet inside that was protecting me.
context: My family lived in Africa until I entered grade school...\Okay, as an exception,\I'll show it only to you, Li-san.\Take a close look.\See?\The glow was stronger in the past.\It gradually became darker, and now it even disappears from time to time.\When I was a child, Papa told me there was an amulet inside that was protecting me. response:	Your father told you that?
context: Okay, as an exception,\I'll show it only to you, Li-san.\Take a close look.\See?\The glow was stronger in the past.\It gradually became darker, and now it even disappears from time to time.\When I was a child, Papa told me there was an amulet inside that was protecting me.\Your father told you that? response:	Was he a doctor?
context: I'll show it only to you, Li-san.\Take a close look.\See?\The glow was stronger in the past.\It gradually became darker, and now it even disappears from time to time.\When I was a child, Papa told me there was an amulet inside that was protecting me.\Your father told you that?\Was he a doctor? response:	No.
context: Take a close look.\See?\The glow was stronger in the past.\It gradually became darker, and now it even disappears from time to time.\When I was a child, Papa told me there was an amulet inside that was protecting me.\Your father told you that?\Was he a doctor?\No. response:	What did he do?
context: See?\The glow was stronger in the past.\It gradually became darker, and now it even disappears from time to time.\When I was a child, Papa told me there was an amulet inside that was protecting me.\Your father told you that?\Was he a doctor?\No.\What did he do? response:	Research.
context: The glow was stronger in the past.\It gradually became darker, and now it even disappears from time to time.\When I was a child, Papa told me there was an amulet inside that was protecting me.\Your father told you that?\Was he a doctor?\No.\What did he do?\Research. response:	A scientist?
context: It gradually became darker, and now it even disappears from time to time.\When I was a child, Papa told me there was an amulet inside that was protecting me.\Your father told you that?\Was he a doctor?\No.\What did he do?\Research.\A scientist? response:	What kind of research did he do?
context: When I was a child, Papa told me there was an amulet inside that was protecting me.\Your father told you that?\Was he a doctor?\No.\What did he do?\Research.\A scientist?\What kind of research did he do? response:	I don't know.
context: Your father told you that?\Was he a doctor?\No.\What did he do?\Research.\A scientist?\What kind of research did he do?\I don't know. response:	Li-san, why did you come to Japan?
context: Was he a doctor?\No.\What did he do?\Research.\A scientist?\What kind of research did he do?\I don't know.\Li-san, why did you come to Japan? response:	To study abroad.
context: No.\What did he do?\Research.\A scientist?\What kind of research did he do?\I don't know.\Li-san, why did you come to Japan?\To study abroad. response:	Do you have any brothers, sisters, or family?
context: What did he do?\Research.\A scientist?\What kind of research did he do?\I don't know.\Li-san, why did you come to Japan?\To study abroad.\Do you have any brothers, sisters, or family? response:	No, I don't.
context: Research.\A scientist?\What kind of research did he do?\I don't know.\Li-san, why did you come to Japan?\To study abroad.\Do you have any brothers, sisters, or family?\No, I don't. response:	I see. You're the same as me.
context: A scientist?\What kind of research did he do?\I don't know.\Li-san, why did you come to Japan?\To study abroad.\Do you have any brothers, sisters, or family?\No, I don't.\I see. You're the same as me. response:	It's almost time for the first train.
context: What kind of research did he do?\I don't know.\Li-san, why did you come to Japan?\To study abroad.\Do you have any brothers, sisters, or family?\No, I don't.\I see. You're the same as me.\It's almost time for the first train. response:	It's moving,
context: I don't know.\Li-san, why did you come to Japan?\To study abroad.\Do you have any brothers, sisters, or family?\No, I don't.\I see. You're the same as me.\It's almost time for the first train.\It's moving, response:	but it isn't the one.
context: Li-san, why did you come to Japan?\To study abroad.\Do you have any brothers, sisters, or family?\No, I don't.\I see. You're the same as me.\It's almost time for the first train.\It's moving,\but it isn't the one. response:	Li-san, you're kind of like an... older brother.
context: To study abroad.\Do you have any brothers, sisters, or family?\No, I don't.\I see. You're the same as me.\It's almost time for the first train.\It's moving,\but it isn't the one.\Li-san, you're kind of like an... older brother. response:	We're going into the next alley.
context: Do you have any brothers, sisters, or family?\No, I don't.\I see. You're the same as me.\It's almost time for the first train.\It's moving,\but it isn't the one.\Li-san, you're kind of like an... older brother.\We're going into the next alley. response:	Huh? Li-san?
context: No, I don't.\I see. You're the same as me.\It's almost time for the first train.\It's moving,\but it isn't the one.\Li-san, you're kind of like an... older brother.\We're going into the next alley.\Huh? Li-san? response:	Run!
context: I see. You're the same as me.\It's almost time for the first train.\It's moving,\but it isn't the one.\Li-san, you're kind of like an... older brother.\We're going into the next alley.\Huh? Li-san?\Run! response:	Don't think! Run!
context: It's almost time for the first train.\It's moving,\but it isn't the one.\Li-san, you're kind of like an... older brother.\We're going into the next alley.\Huh? Li-san?\Run!\Don't think! Run! response:	Hey, you can't come in here!
context: It's moving,\but it isn't the one.\Li-san, you're kind of like an... older brother.\We're going into the next alley.\Huh? Li-san?\Run!\Don't think! Run!\Hey, you can't come in here! response:	Hey!
context: but it isn't the one.\Li-san, you're kind of like an... older brother.\We're going into the next alley.\Huh? Li-san?\Run!\Don't think! Run!\Hey, you can't come in here!\Hey! response:	Yes, Kirihara speaking.
context: Li-san, you're kind of like an... older brother.\We're going into the next alley.\Huh? Li-san?\Run!\Don't think! Run!\Hey, you can't come in here!\Hey!\Yes, Kirihara speaking. response:	Boss, it's a new star!
context: We're going into the next alley.\Huh? Li-san?\Run!\Don't think! Run!\Hey, you can't come in here!\Hey!\Yes, Kirihara speaking.\Boss, it's a new star! response:	A star has appeared!
