context: Nothing response:	in this world is strange...
context: What's happening?\What kind of trickery is she using?\Show me what it is you're hiding!\So this is what's going on.\The meister turns out to be the weapon.\Wait a minute, it's the opposite!\She's one who inherited the blood of a weapon, but decided to take the path of a meister!\But why has she suddenly awakened as a weapon? response:	The fear she had inside her until a moment ago is gone...
context: What kind of trickery is she using?\Show me what it is you're hiding!\So this is what's going on.\The meister turns out to be the weapon.\Wait a minute, it's the opposite!\She's one who inherited the blood of a weapon, but decided to take the path of a meister!\But why has she suddenly awakened as a weapon?\The fear she had inside her until a moment ago is gone... response:	Why?
context: Show me what it is you're hiding!\So this is what's going on.\The meister turns out to be the weapon.\Wait a minute, it's the opposite!\She's one who inherited the blood of a weapon, but decided to take the path of a meister!\But why has she suddenly awakened as a weapon?\The fear she had inside her until a moment ago is gone...\Why? response:	Huh?
context: So this is what's going on.\The meister turns out to be the weapon.\Wait a minute, it's the opposite!\She's one who inherited the blood of a weapon, but decided to take the path of a meister!\But why has she suddenly awakened as a weapon?\The fear she had inside her until a moment ago is gone...\Why?\Huh? response:	I see.
context: The meister turns out to be the weapon.\Wait a minute, it's the opposite!\She's one who inherited the blood of a weapon, but decided to take the path of a meister!\But why has she suddenly awakened as a weapon?\The fear she had inside her until a moment ago is gone...\Why?\Huh?\I see. response:	She casted away her consciousness to make her fear disappear.
context: Wait a minute, it's the opposite!\She's one who inherited the blood of a weapon, but decided to take the path of a meister!\But why has she suddenly awakened as a weapon?\The fear she had inside her until a moment ago is gone...\Why?\Huh?\I see.\She casted away her consciousness to make her fear disappear. response:	And moreover, she's unconsciously unleashed herself as a weapon.
context: She's one who inherited the blood of a weapon, but decided to take the path of a meister!\But why has she suddenly awakened as a weapon?\The fear she had inside her until a moment ago is gone...\Why?\Huh?\I see.\She casted away her consciousness to make her fear disappear.\And moreover, she's unconsciously unleashed herself as a weapon. response:	With this, another uncertainty has been cleared up.
context: But why has she suddenly awakened as a weapon?\The fear she had inside her until a moment ago is gone...\Why?\Huh?\I see.\She casted away her consciousness to make her fear disappear.\And moreover, she's unconsciously unleashed herself as a weapon.\With this, another uncertainty has been cleared up. response:	For a trick that has been exposed,
context: The fear she had inside her until a moment ago is gone...\Why?\Huh?\I see.\She casted away her consciousness to make her fear disappear.\And moreover, she's unconsciously unleashed herself as a weapon.\With this, another uncertainty has been cleared up.\For a trick that has been exposed, response:	there is no fear!
context: Why?\Huh?\I see.\She casted away her consciousness to make her fear disappear.\And moreover, she's unconsciously unleashed herself as a weapon.\With this, another uncertainty has been cleared up.\For a trick that has been exposed,\there is no fear! response:	Gotcha!
context: Huh?\I see.\She casted away her consciousness to make her fear disappear.\And moreover, she's unconsciously unleashed herself as a weapon.\With this, another uncertainty has been cleared up.\For a trick that has been exposed,\there is no fear!\Gotcha! response:	Pain will not stir up the feeling of fear in me.
context: I see.\She casted away her consciousness to make her fear disappear.\And moreover, she's unconsciously unleashed herself as a weapon.\With this, another uncertainty has been cleared up.\For a trick that has been exposed,\there is no fear!\Gotcha!\Pain will not stir up the feeling of fear in me. response:	But,
context: She casted away her consciousness to make her fear disappear.\And moreover, she's unconsciously unleashed herself as a weapon.\With this, another uncertainty has been cleared up.\For a trick that has been exposed,\there is no fear!\Gotcha!\Pain will not stir up the feeling of fear in me.\But, response:	I wonder how well it'll work on you.
context: And moreover, she's unconsciously unleashed herself as a weapon.\With this, another uncertainty has been cleared up.\For a trick that has been exposed,\there is no fear!\Gotcha!\Pain will not stir up the feeling of fear in me.\But,\I wonder how well it'll work on you. response:	Wake up.
context: With this, another uncertainty has been cleared up.\For a trick that has been exposed,\there is no fear!\Gotcha!\Pain will not stir up the feeling of fear in me.\But,\I wonder how well it'll work on you.\Wake up. response:	Fighting while you are sleeping is not the way to do things.
context: For a trick that has been exposed,\there is no fear!\Gotcha!\Pain will not stir up the feeling of fear in me.\But,\I wonder how well it'll work on you.\Wake up.\Fighting while you are sleeping is not the way to do things. response:	Yes, now that's better.
context: there is no fear!\Gotcha!\Pain will not stir up the feeling of fear in me.\But,\I wonder how well it'll work on you.\Wake up.\Fighting while you are sleeping is not the way to do things.\Yes, now that's better. response:	This emotion that you are feeling now is also fear.
context: Gotcha!\Pain will not stir up the feeling of fear in me.\But,\I wonder how well it'll work on you.\Wake up.\Fighting while you are sleeping is not the way to do things.\Yes, now that's better.\This emotion that you are feeling now is also fear. response:	It's alright, just relax.
context: Pain will not stir up the feeling of fear in me.\But,\I wonder how well it'll work on you.\Wake up.\Fighting while you are sleeping is not the way to do things.\Yes, now that's better.\This emotion that you are feeling now is also fear.\It's alright, just relax. response:	If you give up your body to insanity, you'll be liberated from fear itself.
context: But,\I wonder how well it'll work on you.\Wake up.\Fighting while you are sleeping is not the way to do things.\Yes, now that's better.\This emotion that you are feeling now is also fear.\It's alright, just relax.\If you give up your body to insanity, you'll be liberated from fear itself. response:	Pain and anxiety will all disappear.
context: I wonder how well it'll work on you.\Wake up.\Fighting while you are sleeping is not the way to do things.\Yes, now that's better.\This emotion that you are feeling now is also fear.\It's alright, just relax.\If you give up your body to insanity, you'll be liberated from fear itself.\Pain and anxiety will all disappear. response:	In any case, you wouldn't have been able to do anything,
context: Wake up.\Fighting while you are sleeping is not the way to do things.\Yes, now that's better.\This emotion that you are feeling now is also fear.\It's alright, just relax.\If you give up your body to insanity, you'll be liberated from fear itself.\Pain and anxiety will all disappear.\In any case, you wouldn't have been able to do anything, response:	nor could your friends, nor your anti-demon wavelength.
context: Fighting while you are sleeping is not the way to do things.\Yes, now that's better.\This emotion that you are feeling now is also fear.\It's alright, just relax.\If you give up your body to insanity, you'll be liberated from fear itself.\Pain and anxiety will all disappear.\In any case, you wouldn't have been able to do anything,\nor could your friends, nor your anti-demon wavelength. response:	Everything you've been doing up until now had no effect on me.
context: Yes, now that's better.\This emotion that you are feeling now is also fear.\It's alright, just relax.\If you give up your body to insanity, you'll be liberated from fear itself.\Pain and anxiety will all disappear.\In any case, you wouldn't have been able to do anything,\nor could your friends, nor your anti-demon wavelength.\Everything you've been doing up until now had no effect on me. response:	Now that you've lost your partner, and the capability of moving your body as you please,
context: This emotion that you are feeling now is also fear.\It's alright, just relax.\If you give up your body to insanity, you'll be liberated from fear itself.\Pain and anxiety will all disappear.\In any case, you wouldn't have been able to do anything,\nor could your friends, nor your anti-demon wavelength.\Everything you've been doing up until now had no effect on me.\Now that you've lost your partner, and the capability of moving your body as you please, response:	there's no way you can defeat me.
context: It's alright, just relax.\If you give up your body to insanity, you'll be liberated from fear itself.\Pain and anxiety will all disappear.\In any case, you wouldn't have been able to do anything,\nor could your friends, nor your anti-demon wavelength.\Everything you've been doing up until now had no effect on me.\Now that you've lost your partner, and the capability of moving your body as you please,\there's no way you can defeat me. response:	There's nothing left...
context: If you give up your body to insanity, you'll be liberated from fear itself.\Pain and anxiety will all disappear.\In any case, you wouldn't have been able to do anything,\nor could your friends, nor your anti-demon wavelength.\Everything you've been doing up until now had no effect on me.\Now that you've lost your partner, and the capability of moving your body as you please,\there's no way you can defeat me.\There's nothing left... response:	for me...
context: Pain and anxiety will all disappear.\In any case, you wouldn't have been able to do anything,\nor could your friends, nor your anti-demon wavelength.\Everything you've been doing up until now had no effect on me.\Now that you've lost your partner, and the capability of moving your body as you please,\there's no way you can defeat me.\There's nothing left...\for me... response:	Yes,
context: In any case, you wouldn't have been able to do anything,\nor could your friends, nor your anti-demon wavelength.\Everything you've been doing up until now had no effect on me.\Now that you've lost your partner, and the capability of moving your body as you please,\there's no way you can defeat me.\There's nothing left...\for me...\Yes, response:	there's nothing left.
context: nor could your friends, nor your anti-demon wavelength.\Everything you've been doing up until now had no effect on me.\Now that you've lost your partner, and the capability of moving your body as you please,\there's no way you can defeat me.\There's nothing left...\for me...\Yes,\there's nothing left. response:	I'm relieved.
context: Everything you've been doing up until now had no effect on me.\Now that you've lost your partner, and the capability of moving your body as you please,\there's no way you can defeat me.\There's nothing left...\for me...\Yes,\there's nothing left.\I'm relieved. response:	Eh?
context: Now that you've lost your partner, and the capability of moving your body as you please,\there's no way you can defeat me.\There's nothing left...\for me...\Yes,\there's nothing left.\I'm relieved.\Eh? response:	I don't get what you mean.
context: there's no way you can defeat me.\There's nothing left...\for me...\Yes,\there's nothing left.\I'm relieved.\Eh?\I don't get what you mean. response:	In this kind of a situation,
context: There's nothing left...\for me...\Yes,\there's nothing left.\I'm relieved.\Eh?\I don't get what you mean.\In this kind of a situation, response:	are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?
context: for me...\Yes,\there's nothing left.\I'm relieved.\Eh?\I don't get what you mean.\In this kind of a situation,\are you saying that Maka Albarn has some strategy other than the anti-demon wavelength? response:	No...
context: Yes,\there's nothing left.\I'm relieved.\Eh?\I don't get what you mean.\In this kind of a situation,\are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?\No... response:	There's something even greater...
context: there's nothing left.\I'm relieved.\Eh?\I don't get what you mean.\In this kind of a situation,\are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?\No...\There's something even greater... response:	about Maka...
context: I'm relieved.\Eh?\I don't get what you mean.\In this kind of a situation,\are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?\No...\There's something even greater...\about Maka... response:	that's in her heart.
context: Eh?\I don't get what you mean.\In this kind of a situation,\are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?\No...\There's something even greater...\about Maka...\that's in her heart. response:	It's just like Crona said.
context: I don't get what you mean.\In this kind of a situation,\are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?\No...\There's something even greater...\about Maka...\that's in her heart.\It's just like Crona said. response:	Shinigami-sama.
context: In this kind of a situation,\are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?\No...\There's something even greater...\about Maka...\that's in her heart.\It's just like Crona said.\Shinigami-sama. response:	Resurrection!
context: are you saying that Maka Albarn has some strategy other than the anti-demon wavelength?\No...\There's something even greater...\about Maka...\that's in her heart.\It's just like Crona said.\Shinigami-sama.\Resurrection! response:	But you look kinda pitiful to me.
context: No...\There's something even greater...\about Maka...\that's in her heart.\It's just like Crona said.\Shinigami-sama.\Resurrection!\But you look kinda pitiful to me. response:	Eh?
context: There's something even greater...\about Maka...\that's in her heart.\It's just like Crona said.\Shinigami-sama.\Resurrection!\But you look kinda pitiful to me.\Eh? response:	E-Eh?
context: about Maka...\that's in her heart.\It's just like Crona said.\Shinigami-sama.\Resurrection!\But you look kinda pitiful to me.\Eh?\E-Eh? response:	What did you just say?
context: that's in her heart.\It's just like Crona said.\Shinigami-sama.\Resurrection!\But you look kinda pitiful to me.\Eh?\E-Eh?\What did you just say? response:	I just said that I felt relieved.
context: It's just like Crona said.\Shinigami-sama.\Resurrection!\But you look kinda pitiful to me.\Eh?\E-Eh?\What did you just say?\I just said that I felt relieved. response:	Eeh?
context: Shinigami-sama.\Resurrection!\But you look kinda pitiful to me.\Eh?\E-Eh?\What did you just say?\I just said that I felt relieved.\Eeh? response:	W-What was that?
context: Resurrection!\But you look kinda pitiful to me.\Eh?\E-Eh?\What did you just say?\I just said that I felt relieved.\Eeh?\W-What was that? response:	R-Relieved?
context: But you look kinda pitiful to me.\Eh?\E-Eh?\What did you just say?\I just said that I felt relieved.\Eeh?\W-What was that?\R-Relieved? response:	Relieved?
context: Eh?\E-Eh?\What did you just say?\I just said that I felt relieved.\Eeh?\W-What was that?\R-Relieved?\Relieved? response:	Relieve-?
context: E-Eh?\What did you just say?\I just said that I felt relieved.\Eeh?\W-What was that?\R-Relieved?\Relieved?\Relieve-? response:	Relieved?
context: What did you just say?\I just said that I felt relieved.\Eeh?\W-What was that?\R-Relieved?\Relieved?\Relieve-?\Relieved? response:	All this time, it's not like I had this power because I liked it.
context: I just said that I felt relieved.\Eeh?\W-What was that?\R-Relieved?\Relieved?\Relieve-?\Relieved?\All this time, it's not like I had this power because I liked it. response:	Huh?
context: Eeh?\W-What was that?\R-Relieved?\Relieved?\Relieve-?\Relieved?\All this time, it's not like I had this power because I liked it.\Huh? response:	Because the adults had such high expectations of me, I felt I had to do my very best.
context: W-What was that?\R-Relieved?\Relieved?\Relieve-?\Relieved?\All this time, it's not like I had this power because I liked it.\Huh?\Because the adults had such high expectations of me, I felt I had to do my very best. response:	But I'm really not good at those kind of things, huh?
context: R-Relieved?\Relieved?\Relieve-?\Relieved?\All this time, it's not like I had this power because I liked it.\Huh?\Because the adults had such high expectations of me, I felt I had to do my very best.\But I'm really not good at those kind of things, huh? response:	Are you...
context: Relieved?\Relieve-?\Relieved?\All this time, it's not like I had this power because I liked it.\Huh?\Because the adults had such high expectations of me, I felt I had to do my very best.\But I'm really not good at those kind of things, huh?\Are you... response:	You asking yourself, you bastard?
context: Relieve-?\Relieved?\All this time, it's not like I had this power because I liked it.\Huh?\Because the adults had such high expectations of me, I felt I had to do my very best.\But I'm really not good at those kind of things, huh?\Are you...\You asking yourself, you bastard? response:	I think everyone should already know...
context: Relieved?\All this time, it's not like I had this power because I liked it.\Huh?\Because the adults had such high expectations of me, I felt I had to do my very best.\But I'm really not good at those kind of things, huh?\Are you...\You asking yourself, you bastard?\I think everyone should already know... response:	She might not have the talent I do,
context: All this time, it's not like I had this power because I liked it.\Huh?\Because the adults had such high expectations of me, I felt I had to do my very best.\But I'm really not good at those kind of things, huh?\Are you...\You asking yourself, you bastard?\I think everyone should already know...\She might not have the talent I do, response:	but she's got something in here that's really amazing.
context: Huh?\Because the adults had such high expectations of me, I felt I had to do my very best.\But I'm really not good at those kind of things, huh?\Are you...\You asking yourself, you bastard?\I think everyone should already know...\She might not have the talent I do,\but she's got something in here that's really amazing. response:	Maka's strength...
context: Because the adults had such high expectations of me, I felt I had to do my very best.\But I'm really not good at those kind of things, huh?\Are you...\You asking yourself, you bastard?\I think everyone should already know...\She might not have the talent I do,\but she's got something in here that's really amazing.\Maka's strength... response:	You got that right.
context: But I'm really not good at those kind of things, huh?\Are you...\You asking yourself, you bastard?\I think everyone should already know...\She might not have the talent I do,\but she's got something in here that's really amazing.\Maka's strength...\You got that right. response:	Maka's strength lies in her courage to face her fears!
context: Are you...\You asking yourself, you bastard?\I think everyone should already know...\She might not have the talent I do,\but she's got something in here that's really amazing.\Maka's strength...\You got that right.\Maka's strength lies in her courage to face her fears! response:	Courage?
context: You asking yourself, you bastard?\I think everyone should already know...\She might not have the talent I do,\but she's got something in here that's really amazing.\Maka's strength...\You got that right.\Maka's strength lies in her courage to face her fears!\Courage? response:	Fear
context: I think everyone should already know...\She might not have the talent I do,\but she's got something in here that's really amazing.\Maka's strength...\You got that right.\Maka's strength lies in her courage to face her fears!\Courage?\Fear response:	What's wrong with her?!
context: She might not have the talent I do,\but she's got something in here that's really amazing.\Maka's strength...\You got that right.\Maka's strength lies in her courage to face her fears!\Courage?\Fear\What's wrong with her?! response:	Why does she depend on something so uncertain?
context: but she's got something in here that's really amazing.\Maka's strength...\You got that right.\Maka's strength lies in her courage to face her fears!\Courage?\Fear\What's wrong with her?!\Why does she depend on something so uncertain? response:	Fear
context: Maka's strength...\You got that right.\Maka's strength lies in her courage to face her fears!\Courage?\Fear\What's wrong with her?!\Why does she depend on something so uncertain?\Fear response:	Stop it! Don't look at me with those eyes!
context: You got that right.\Maka's strength lies in her courage to face her fears!\Courage?\Fear\What's wrong with her?!\Why does she depend on something so uncertain?\Fear\Stop it! Don't look at me with those eyes! response:	How can you make that face in this kind of situation?
context: Maka's strength lies in her courage to face her fears!\Courage?\Fear\What's wrong with her?!\Why does she depend on something so uncertain?\Fear\Stop it! Don't look at me with those eyes!\How can you make that face in this kind of situation? response:	What the hell?!
context: Courage?\Fear\What's wrong with her?!\Why does she depend on something so uncertain?\Fear\Stop it! Don't look at me with those eyes!\How can you make that face in this kind of situation?\What the hell?! response:	Exactly who the hell are you?!
context: Fear\What's wrong with her?!\Why does she depend on something so uncertain?\Fear\Stop it! Don't look at me with those eyes!\How can you make that face in this kind of situation?\What the hell?!\Exactly who the hell are you?! response:	My name is Maka Albarn,
context: What's wrong with her?!\Why does she depend on something so uncertain?\Fear\Stop it! Don't look at me with those eyes!\How can you make that face in this kind of situation?\What the hell?!\Exactly who the hell are you?!\My name is Maka Albarn, response:	a scythe meister.
context: Why does she depend on something so uncertain?\Fear\Stop it! Don't look at me with those eyes!\How can you make that face in this kind of situation?\What the hell?!\Exactly who the hell are you?!\My name is Maka Albarn,\a scythe meister. response:	That's not it!
context: Fear\Stop it! Don't look at me with those eyes!\How can you make that face in this kind of situation?\What the hell?!\Exactly who the hell are you?!\My name is Maka Albarn,\a scythe meister.\That's not it! response:	I didn't ask about your name!
context: Stop it! Don't look at me with those eyes!\How can you make that face in this kind of situation?\What the hell?!\Exactly who the hell are you?!\My name is Maka Albarn,\a scythe meister.\That's not it!\I didn't ask about your name! response:	That's not what I meant!
context: How can you make that face in this kind of situation?\What the hell?!\Exactly who the hell are you?!\My name is Maka Albarn,\a scythe meister.\That's not it!\I didn't ask about your name!\That's not what I meant! response:	I meant who the hell are you?!
context: What the hell?!\Exactly who the hell are you?!\My name is Maka Albarn,\a scythe meister.\That's not it!\I didn't ask about your name!\That's not what I meant!\I meant who the hell are you?! response:	I am myself,
context: Exactly who the hell are you?!\My name is Maka Albarn,\a scythe meister.\That's not it!\I didn't ask about your name!\That's not what I meant!\I meant who the hell are you?!\I am myself, response:	and not anyone else.
context: My name is Maka Albarn,\a scythe meister.\That's not it!\I didn't ask about your name!\That's not what I meant!\I meant who the hell are you?!\I am myself,\and not anyone else. response:	This is getting really irritating.
context: a scythe meister.\That's not it!\I didn't ask about your name!\That's not what I meant!\I meant who the hell are you?!\I am myself,\and not anyone else.\This is getting really irritating. response:	It feels like having an itchy spot on your body that your hands can't reach.
context: That's not it!\I didn't ask about your name!\That's not what I meant!\I meant who the hell are you?!\I am myself,\and not anyone else.\This is getting really irritating.\It feels like having an itchy spot on your body that your hands can't reach. response:	Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.
context: I didn't ask about your name!\That's not what I meant!\I meant who the hell are you?!\I am myself,\and not anyone else.\This is getting really irritating.\It feels like having an itchy spot on your body that your hands can't reach.\Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping. response:	It feels just like that!
context: That's not what I meant!\I meant who the hell are you?!\I am myself,\and not anyone else.\This is getting really irritating.\It feels like having an itchy spot on your body that your hands can't reach.\Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.\It feels just like that! response:	I don't care anymore.
context: I meant who the hell are you?!\I am myself,\and not anyone else.\This is getting really irritating.\It feels like having an itchy spot on your body that your hands can't reach.\Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.\It feels just like that!\I don't care anymore. response:	I'll just erase all of you!
context: I am myself,\and not anyone else.\This is getting really irritating.\It feels like having an itchy spot on your body that your hands can't reach.\Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.\It feels just like that!\I don't care anymore.\I'll just erase all of you! response:	There's no other choice!
context: and not anyone else.\This is getting really irritating.\It feels like having an itchy spot on your body that your hands can't reach.\Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.\It feels just like that!\I don't care anymore.\I'll just erase all of you!\There's no other choice! response:	Shaja'at.
context: This is getting really irritating.\It feels like having an itchy spot on your body that your hands can't reach.\Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.\It feels just like that!\I don't care anymore.\I'll just erase all of you!\There's no other choice!\Shaja'at. response:	Huh?
context: It feels like having an itchy spot on your body that your hands can't reach.\Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.\It feels just like that!\I don't care anymore.\I'll just erase all of you!\There's no other choice!\Shaja'at.\Huh? response:	What did you say?
context: Like you're caught up inside a cloud of cigarette smoke in the middle of sleeping.\It feels just like that!\I don't care anymore.\I'll just erase all of you!\There's no other choice!\Shaja'at.\Huh?\What did you say? response:	Who knows.
context: It feels just like that!\I don't care anymore.\I'll just erase all of you!\There's no other choice!\Shaja'at.\Huh?\What did you say?\Who knows. response:	Some kind of good luck charm, I guess.
context: I don't care anymore.\I'll just erase all of you!\There's no other choice!\Shaja'at.\Huh?\What did you say?\Who knows.\Some kind of good luck charm, I guess. response:	But whatever it is,
context: I'll just erase all of you!\There's no other choice!\Shaja'at.\Huh?\What did you say?\Who knows.\Some kind of good luck charm, I guess.\But whatever it is, response:	it has nothing to do with you!
context: There's no other choice!\Shaja'at.\Huh?\What did you say?\Who knows.\Some kind of good luck charm, I guess.\But whatever it is,\it has nothing to do with you! response:	I wanna know!
context: Shaja'at.\Huh?\What did you say?\Who knows.\Some kind of good luck charm, I guess.\But whatever it is,\it has nothing to do with you!\I wanna know! response:	Why did you even bother saying it out loud in the first place?!
context: Huh?\What did you say?\Who knows.\Some kind of good luck charm, I guess.\But whatever it is,\it has nothing to do with you!\I wanna know!\Why did you even bother saying it out loud in the first place?! response:	You make me sick!
context: What did you say?\Who knows.\Some kind of good luck charm, I guess.\But whatever it is,\it has nothing to do with you!\I wanna know!\Why did you even bother saying it out loud in the first place?!\You make me sick! response:	I'm gonna puke.
context: Who knows.\Some kind of good luck charm, I guess.\But whatever it is,\it has nothing to do with you!\I wanna know!\Why did you even bother saying it out loud in the first place?!\You make me sick!\I'm gonna puke. response:	Just stop it already!
context: Some kind of good luck charm, I guess.\But whatever it is,\it has nothing to do with you!\I wanna know!\Why did you even bother saying it out loud in the first place?!\You make me sick!\I'm gonna puke.\Just stop it already! response:	No, I will not stop!
context: But whatever it is,\it has nothing to do with you!\I wanna know!\Why did you even bother saying it out loud in the first place?!\You make me sick!\I'm gonna puke.\Just stop it already!\No, I will not stop! response:	If I stop here,
context: it has nothing to do with you!\I wanna know!\Why did you even bother saying it out loud in the first place?!\You make me sick!\I'm gonna puke.\Just stop it already!\No, I will not stop!\If I stop here, response:	I will not be able to face the ones who have given me their full support
context: I wanna know!\Why did you even bother saying it out loud in the first place?!\You make me sick!\I'm gonna puke.\Just stop it already!\No, I will not stop!\If I stop here,\I will not be able to face the ones who have given me their full support response:	and also my friends who have always fought along my side.
context: Why did you even bother saying it out loud in the first place?!\You make me sick!\I'm gonna puke.\Just stop it already!\No, I will not stop!\If I stop here,\I will not be able to face the ones who have given me their full support\and also my friends who have always fought along my side. response:	It's because of them that I'm here right now.
context: You make me sick!\I'm gonna puke.\Just stop it already!\No, I will not stop!\If I stop here,\I will not be able to face the ones who have given me their full support\and also my friends who have always fought along my side.\It's because of them that I'm here right now. response:	I've received from them all the courage I need.
context: I'm gonna puke.\Just stop it already!\No, I will not stop!\If I stop here,\I will not be able to face the ones who have given me their full support\and also my friends who have always fought along my side.\It's because of them that I'm here right now.\I've received from them all the courage I need. response:	What's left is for me to strike you with this courage.
context: Just stop it already!\No, I will not stop!\If I stop here,\I will not be able to face the ones who have given me their full support\and also my friends who have always fought along my side.\It's because of them that I'm here right now.\I've received from them all the courage I need.\What's left is for me to strike you with this courage. response:	Strike me with your courage?!
context: No, I will not stop!\If I stop here,\I will not be able to face the ones who have given me their full support\and also my friends who have always fought along my side.\It's because of them that I'm here right now.\I've received from them all the courage I need.\What's left is for me to strike you with this courage.\Strike me with your courage?! response:	What the hell are you talking about?!
context: If I stop here,\I will not be able to face the ones who have given me their full support\and also my friends who have always fought along my side.\It's because of them that I'm here right now.\I've received from them all the courage I need.\What's left is for me to strike you with this courage.\Strike me with your courage?!\What the hell are you talking about?! response:	I'll bundle them all up,
context: I will not be able to face the ones who have given me their full support\and also my friends who have always fought along my side.\It's because of them that I'm here right now.\I've received from them all the courage I need.\What's left is for me to strike you with this courage.\Strike me with your courage?!\What the hell are you talking about?!\I'll bundle them all up, response:	and wrap them around my fist!
context: and also my friends who have always fought along my side.\It's because of them that I'm here right now.\I've received from them all the courage I need.\What's left is for me to strike you with this courage.\Strike me with your courage?!\What the hell are you talking about?!\I'll bundle them all up,\and wrap them around my fist! response:	You idiot!
context: It's because of them that I'm here right now.\I've received from them all the courage I need.\What's left is for me to strike you with this courage.\Strike me with your courage?!\What the hell are you talking about?!\I'll bundle them all up,\and wrap them around my fist!\You idiot! response:	Just what can you do with that weak little arm of yours?!
context: I've received from them all the courage I need.\What's left is for me to strike you with this courage.\Strike me with your courage?!\What the hell are you talking about?!\I'll bundle them all up,\and wrap them around my fist!\You idiot!\Just what can you do with that weak little arm of yours?! response:	It won't make any difference!
context: What's left is for me to strike you with this courage.\Strike me with your courage?!\What the hell are you talking about?!\I'll bundle them all up,\and wrap them around my fist!\You idiot!\Just what can you do with that weak little arm of yours?!\It won't make any difference! response:	It won't be of any use, let alone cause pain, or even make me itch!
context: Strike me with your courage?!\What the hell are you talking about?!\I'll bundle them all up,\and wrap them around my fist!\You idiot!\Just what can you do with that weak little arm of yours?!\It won't make any difference!\It won't be of any use, let alone cause pain, or even make me itch! response:	I really don't get what you mean!
context: What the hell are you talking about?!\I'll bundle them all up,\and wrap them around my fist!\You idiot!\Just what can you do with that weak little arm of yours?!\It won't make any difference!\It won't be of any use, let alone cause pain, or even make me itch!\I really don't get what you mean! response:	Ah-!
context: I'll bundle them all up,\and wrap them around my fist!\You idiot!\Just what can you do with that weak little arm of yours?!\It won't make any difference!\It won't be of any use, let alone cause pain, or even make me itch!\I really don't get what you mean!\Ah-! response:	I don't get it?
context: and wrap them around my fist!\You idiot!\Just what can you do with that weak little arm of yours?!\It won't make any difference!\It won't be of any use, let alone cause pain, or even make me itch!\I really don't get what you mean!\Ah-!\I don't get it? response:	I don't get it.
context: You idiot!\Just what can you do with that weak little arm of yours?!\It won't make any difference!\It won't be of any use, let alone cause pain, or even make me itch!\I really don't get what you mean!\Ah-!\I don't get it?\I don't get it. response:	Why do you put hope in such a thing?
context: Just what can you do with that weak little arm of yours?!\It won't make any difference!\It won't be of any use, let alone cause pain, or even make me itch!\I really don't get what you mean!\Ah-!\I don't get it?\I don't get it.\Why do you put hope in such a thing? response:	You're weak!
context: It won't make any difference!\It won't be of any use, let alone cause pain, or even make me itch!\I really don't get what you mean!\Ah-!\I don't get it?\I don't get it.\Why do you put hope in such a thing?\You're weak! response:	And you've got nothing!
context: It won't be of any use, let alone cause pain, or even make me itch!\I really don't get what you mean!\Ah-!\I don't get it?\I don't get it.\Why do you put hope in such a thing?\You're weak!\And you've got nothing! response:	Moreover, you're just a petty little human!
context: I really don't get what you mean!\Ah-!\I don't get it?\I don't get it.\Why do you put hope in such a thing?\You're weak!\And you've got nothing!\Moreover, you're just a petty little human! response:	To not understand = To fear
context: Ah-!\I don't get it?\I don't get it.\Why do you put hope in such a thing?\You're weak!\And you've got nothing!\Moreover, you're just a petty little human!\To not understand = To fear response:	What is this courage?
context: I don't get it?\I don't get it.\Why do you put hope in such a thing?\You're weak!\And you've got nothing!\Moreover, you're just a petty little human!\To not understand = To fear\What is this courage? response:	Kishin Asura, prepare yourself!
context: I don't get it.\Why do you put hope in such a thing?\You're weak!\And you've got nothing!\Moreover, you're just a petty little human!\To not understand = To fear\What is this courage?\Kishin Asura, prepare yourself! response:	Don't come near me!
context: Why do you put hope in such a thing?\You're weak!\And you've got nothing!\Moreover, you're just a petty little human!\To not understand = To fear\What is this courage?\Kishin Asura, prepare yourself!\Don't come near me! response:	What will happen, even if you do that?!
context: You're weak!\And you've got nothing!\Moreover, you're just a petty little human!\To not understand = To fear\What is this courage?\Kishin Asura, prepare yourself!\Don't come near me!\What will happen, even if you do that?! response:	Even if you defeat me, insanity will not disappear!
context: And you've got nothing!\Moreover, you're just a petty little human!\To not understand = To fear\What is this courage?\Kishin Asura, prepare yourself!\Don't come near me!\What will happen, even if you do that?!\Even if you defeat me, insanity will not disappear! response:	Even if you defeat me, there'll be those like me, just with different names like,
