context: The World She Saw response:	The Battle of Trost ( 2 )
context: B-Boss...\Pull the cart out.\Thank you, Ms. Soldier!\You saved our lives.\Thank you so much.\Well done, Ackerman.\I'm impressed.\Thank you, Sir. response:	However...
context: Pull the cart out.\Thank you, Ms. Soldier!\You saved our lives.\Thank you so much.\Well done, Ackerman.\I'm impressed.\Thank you, Sir.\However... response:	I acted far too hastily.
context: Thank you, Ms. Soldier!\You saved our lives.\Thank you so much.\Well done, Ackerman.\I'm impressed.\Thank you, Sir.\However...\I acted far too hastily. response:	I dulled both my blades in a single attack.
context: You saved our lives.\Thank you so much.\Well done, Ackerman.\I'm impressed.\Thank you, Sir.\However...\I acted far too hastily.\I dulled both my blades in a single attack. response:	I'll be more careful next time.
context: Thank you so much.\Well done, Ackerman.\I'm impressed.\Thank you, Sir.\However...\I acted far too hastily.\I dulled both my blades in a single attack.\I'll be more careful next time. response:	Seriously, what happened to make you so?
context: Well done, Ackerman.\I'm impressed.\Thank you, Sir.\However...\I acted far too hastily.\I dulled both my blades in a single attack.\I'll be more careful next time.\Seriously, what happened to make you so? response:	Never mind.
context: I'm impressed.\Thank you, Sir.\However...\I acted far too hastily.\I dulled both my blades in a single attack.\I'll be more careful next time.\Seriously, what happened to make you so?\Never mind. response:	Forget I said anything.
context: Thank you, Sir.\However...\I acted far too hastily.\I dulled both my blades in a single attack.\I'll be more careful next time.\Seriously, what happened to make you so?\Never mind.\Forget I said anything. response:	Why am I remembering this now, of all times?
context: However...\I acted far too hastily.\I dulled both my blades in a single attack.\I'll be more careful next time.\Seriously, what happened to make you so?\Never mind.\Forget I said anything.\Why am I remembering this now, of all times? response:	Information available for public disclosure
context: I acted far too hastily.\I dulled both my blades in a single attack.\I'll be more careful next time.\Seriously, what happened to make you so?\Never mind.\Forget I said anything.\Why am I remembering this now, of all times?\Information available for public disclosure response:	Information available for public disclosure
context: I dulled both my blades in a single attack.\I'll be more careful next time.\Seriously, what happened to make you so?\Never mind.\Forget I said anything.\Why am I remembering this now, of all times?\Information available for public disclosure\Information available for public disclosure response:	Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.
context: I'll be more careful next time.\Seriously, what happened to make you so?\Never mind.\Forget I said anything.\Why am I remembering this now, of all times?\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons. response:	Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.
context: Seriously, what happened to make you so?\Never mind.\Forget I said anything.\Why am I remembering this now, of all times?\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons. response:	Information available for public disclosure
context: Never mind.\Forget I said anything.\Why am I remembering this now, of all times?\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Information available for public disclosure response:	Information available for public disclosure
context: Forget I said anything.\Why am I remembering this now, of all times?\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Information available for public disclosure\Information available for public disclosure response:	Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.
context: Why am I remembering this now, of all times?\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else. response:	Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.
context: Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else. response:	Year 844
context: Information available for public disclosure\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Year 844 response:	I did it!
context: Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Year 844\I did it! response:	Look, Mom!
context: Ultra-hardened Steel ( 1 ) A strong and flexible metal that can cut through Eotena flesh. The single-edged blades forged from this metal are widely-known anti-Eotena weapons.\Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Year 844\I did it!\Look, Mom! response:	Oh my.
context: Information available for public disclosure\Information available for public disclosure\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Year 844\I did it!\Look, Mom!\Oh my. response:	Well done, Mikasa.
context: Information available for public disclosure\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Year 844\I did it!\Look, Mom!\Oh my.\Well done, Mikasa. response:	It's great.
context: Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Year 844\I did it!\Look, Mom!\Oh my.\Well done, Mikasa.\It's great. response:	This style of embroidery has been passed down in our family for generations.
context: Ultra-hardened Steel ( 2 ) The blast furnaces in industrial towns are indispensable to the smelting of ultra-hardened steel, meaning that it can't be produced anywhere else.\Year 844\I did it!\Look, Mom!\Oh my.\Well done, Mikasa.\It's great.\This style of embroidery has been passed down in our family for generations. response:	You should teach your kids how to do it too.
context: Year 844\I did it!\Look, Mom!\Oh my.\Well done, Mikasa.\It's great.\This style of embroidery has been passed down in our family for generations.\You should teach your kids how to do it too. response:	So how do I get kids?
context: I did it!\Look, Mom!\Oh my.\Well done, Mikasa.\It's great.\This style of embroidery has been passed down in our family for generations.\You should teach your kids how to do it too.\So how do I get kids? response:	Who knows?
context: Look, Mom!\Oh my.\Well done, Mikasa.\It's great.\This style of embroidery has been passed down in our family for generations.\You should teach your kids how to do it too.\So how do I get kids?\Who knows? response:	Ask Dad.
context: Oh my.\Well done, Mikasa.\It's great.\This style of embroidery has been passed down in our family for generations.\You should teach your kids how to do it too.\So how do I get kids?\Who knows?\Ask Dad. response:	Hey, Dad?
context: Well done, Mikasa.\It's great.\This style of embroidery has been passed down in our family for generations.\You should teach your kids how to do it too.\So how do I get kids?\Who knows?\Ask Dad.\Hey, Dad? response:	I-I'm not really sure myself.
context: It's great.\This style of embroidery has been passed down in our family for generations.\You should teach your kids how to do it too.\So how do I get kids?\Who knows?\Ask Dad.\Hey, Dad?\I-I'm not really sure myself. response:	But look, Dr. Jaeger should be here soon,
context: This style of embroidery has been passed down in our family for generations.\You should teach your kids how to do it too.\So how do I get kids?\Who knows?\Ask Dad.\Hey, Dad?\I-I'm not really sure myself.\But look, Dr. Jaeger should be here soon, response:	so let's ask him.
context: You should teach your kids how to do it too.\So how do I get kids?\Who knows?\Ask Dad.\Hey, Dad?\I-I'm not really sure myself.\But look, Dr. Jaeger should be here soon,\so let's ask him. response:	Oh, speak of the devil!
context: So how do I get kids?\Who knows?\Ask Dad.\Hey, Dad?\I-I'm not really sure myself.\But look, Dr. Jaeger should be here soon,\so let's ask him.\Oh, speak of the devil! response:	Coming!
context: Who knows?\Ask Dad.\Hey, Dad?\I-I'm not really sure myself.\But look, Dr. Jaeger should be here soon,\so let's ask him.\Oh, speak of the devil!\Coming! response:	Mikasa?
context: Ask Dad.\Hey, Dad?\I-I'm not really sure myself.\But look, Dr. Jaeger should be here soon,\so let's ask him.\Oh, speak of the devil!\Coming!\Mikasa? response:	That's right.
context: Hey, Dad?\I-I'm not really sure myself.\But look, Dr. Jaeger should be here soon,\so let's ask him.\Oh, speak of the devil!\Coming!\Mikasa?\That's right. response:	She's the same age as you.
context: I-I'm not really sure myself.\But look, Dr. Jaeger should be here soon,\so let's ask him.\Oh, speak of the devil!\Coming!\Mikasa?\That's right.\She's the same age as you. response:	There aren't any other kids in this area.
context: But look, Dr. Jaeger should be here soon,\so let's ask him.\Oh, speak of the devil!\Coming!\Mikasa?\That's right.\She's the same age as you.\There aren't any other kids in this area. response:	So make friends with her, okay?
context: so let's ask him.\Oh, speak of the devil!\Coming!\Mikasa?\That's right.\She's the same age as you.\There aren't any other kids in this area.\So make friends with her, okay? response:	Depends on her.
context: Oh, speak of the devil!\Coming!\Mikasa?\That's right.\She's the same age as you.\There aren't any other kids in this area.\So make friends with her, okay?\Depends on her. response:	Eren...
context: Coming!\Mikasa?\That's right.\She's the same age as you.\There aren't any other kids in this area.\So make friends with her, okay?\Depends on her.\Eren... response:	That attitude is why you've only got one friend.
context: Mikasa?\That's right.\She's the same age as you.\There aren't any other kids in this area.\So make friends with her, okay?\Depends on her.\Eren...\That attitude is why you've only got one friend. response:	Maybe they aren't home.
context: That's right.\She's the same age as you.\There aren't any other kids in this area.\So make friends with her, okay?\Depends on her.\Eren...\That attitude is why you've only got one friend.\Maybe they aren't home. response:	Mr. Ackerman.
context: She's the same age as you.\There aren't any other kids in this area.\So make friends with her, okay?\Depends on her.\Eren...\That attitude is why you've only got one friend.\Maybe they aren't home.\Mr. Ackerman. response:	It's me, Jaeger.
context: There aren't any other kids in this area.\So make friends with her, okay?\Depends on her.\Eren...\That attitude is why you've only got one friend.\Maybe they aren't home.\Mr. Ackerman.\It's me, Jaeger. response:	Excuse me.
context: So make friends with her, okay?\Depends on her.\Eren...\That attitude is why you've only got one friend.\Maybe they aren't home.\Mr. Ackerman.\It's me, Jaeger.\Excuse me. response:	What's wrong?
context: Depends on her.\Eren...\That attitude is why you've only got one friend.\Maybe they aren't home.\Mr. Ackerman.\It's me, Jaeger.\Excuse me.\What's wrong? response:	Hey...
context: Eren...\That attitude is why you've only got one friend.\Maybe they aren't home.\Mr. Ackerman.\It's me, Jaeger.\Excuse me.\What's wrong?\Hey... response:	Dad?
context: That attitude is why you've only got one friend.\Maybe they aren't home.\Mr. Ackerman.\It's me, Jaeger.\Excuse me.\What's wrong?\Hey...\Dad? response:	No good.
context: Maybe they aren't home.\Mr. Ackerman.\It's me, Jaeger.\Excuse me.\What's wrong?\Hey...\Dad?\No good. response:	Eren.
context: Mr. Ackerman.\It's me, Jaeger.\Excuse me.\What's wrong?\Hey...\Dad?\No good.\Eren. response:	Did you see a girl around?
context: It's me, Jaeger.\Excuse me.\What's wrong?\Hey...\Dad?\No good.\Eren.\Did you see a girl around? response:	Did you see Mikasa?
context: Excuse me.\What's wrong?\Hey...\Dad?\No good.\Eren.\Did you see a girl around?\Did you see Mikasa? response:	No.
context: What's wrong?\Hey...\Dad?\No good.\Eren.\Did you see a girl around?\Did you see Mikasa?\No. response:	I see.
context: Hey...\Dad?\No good.\Eren.\Did you see a girl around?\Did you see Mikasa?\No.\I see. response:	I'm going to get the Gendarmerie and have them look for her.
context: Dad?\No good.\Eren.\Did you see a girl around?\Did you see Mikasa?\No.\I see.\I'm going to get the Gendarmerie and have them look for her. response:	You wait for me at the base of the mountain.
context: No good.\Eren.\Did you see a girl around?\Did you see Mikasa?\No.\I see.\I'm going to get the Gendarmerie and have them look for her.\You wait for me at the base of the mountain. response:	Got it?
context: Eren.\Did you see a girl around?\Did you see Mikasa?\No.\I see.\I'm going to get the Gendarmerie and have them look for her.\You wait for me at the base of the mountain.\Got it? response:	Eren?
context: Did you see a girl around?\Did you see Mikasa?\No.\I see.\I'm going to get the Gendarmerie and have them look for her.\You wait for me at the base of the mountain.\Got it?\Eren? response:	Eren!
context: Did you see Mikasa?\No.\I see.\I'm going to get the Gendarmerie and have them look for her.\You wait for me at the base of the mountain.\Got it?\Eren?\Eren! response:	Hey.
context: No.\I see.\I'm going to get the Gendarmerie and have them look for her.\You wait for me at the base of the mountain.\Got it?\Eren?\Eren!\Hey. response:	You really think she'll sell?
context: I see.\I'm going to get the Gendarmerie and have them look for her.\You wait for me at the base of the mountain.\Got it?\Eren?\Eren!\Hey.\You really think she'll sell? response:	We even killed her parents and all.
context: I'm going to get the Gendarmerie and have them look for her.\You wait for me at the base of the mountain.\Got it?\Eren?\Eren!\Hey.\You really think she'll sell?\We even killed her parents and all. response:	Take a good look at her face.
context: You wait for me at the base of the mountain.\Got it?\Eren?\Eren!\Hey.\You really think she'll sell?\We even killed her parents and all.\Take a good look at her face. response:	Okay, she's fine, but she's just a kid.
context: Got it?\Eren?\Eren!\Hey.\You really think she'll sell?\We even killed her parents and all.\Take a good look at her face.\Okay, she's fine, but she's just a kid. response:	Not my thing.
context: Eren?\Eren!\Hey.\You really think she'll sell?\We even killed her parents and all.\Take a good look at her face.\Okay, she's fine, but she's just a kid.\Not my thing. response:	I don't care if she's your thing.
context: Eren!\Hey.\You really think she'll sell?\We even killed her parents and all.\Take a good look at her face.\Okay, she's fine, but she's just a kid.\Not my thing.\I don't care if she's your thing. response:	She's Oriental.
context: Hey.\You really think she'll sell?\We even killed her parents and all.\Take a good look at her face.\Okay, she's fine, but she's just a kid.\Not my thing.\I don't care if she's your thing.\She's Oriental. response:	In the past, there were different types of humans.
context: You really think she'll sell?\We even killed her parents and all.\Take a good look at her face.\Okay, she's fine, but she's just a kid.\Not my thing.\I don't care if she's your thing.\She's Oriental.\In the past, there were different types of humans. response:	She's the descendent of people who fled into the Walls from a place called the Orient.
context: We even killed her parents and all.\Take a good look at her face.\Okay, she's fine, but she's just a kid.\Not my thing.\I don't care if she's your thing.\She's Oriental.\In the past, there were different types of humans.\She's the descendent of people who fled into the Walls from a place called the Orient. response:	We'll auction her off to some pervert at the underground market in the capital.
context: Take a good look at her face.\Okay, she's fine, but she's just a kid.\Not my thing.\I don't care if she's your thing.\She's Oriental.\In the past, there were different types of humans.\She's the descendent of people who fled into the Walls from a place called the Orient.\We'll auction her off to some pervert at the underground market in the capital. response:	The other Orientals have died out.
context: Okay, she's fine, but she's just a kid.\Not my thing.\I don't care if she's your thing.\She's Oriental.\In the past, there were different types of humans.\She's the descendent of people who fled into the Walls from a place called the Orient.\We'll auction her off to some pervert at the underground market in the capital.\The other Orientals have died out. response:	She'll fetch us quite the price.
context: Not my thing.\I don't care if she's your thing.\She's Oriental.\In the past, there were different types of humans.\She's the descendent of people who fled into the Walls from a place called the Orient.\We'll auction her off to some pervert at the underground market in the capital.\The other Orientals have died out.\She'll fetch us quite the price. response:	Her father didn't look Oriental, though.
context: I don't care if she's your thing.\She's Oriental.\In the past, there were different types of humans.\She's the descendent of people who fled into the Walls from a place called the Orient.\We'll auction her off to some pervert at the underground market in the capital.\The other Orientals have died out.\She'll fetch us quite the price.\Her father didn't look Oriental, though. response:	She's not a pure-blood.
context: She's Oriental.\In the past, there were different types of humans.\She's the descendent of people who fled into the Walls from a place called the Orient.\We'll auction her off to some pervert at the underground market in the capital.\The other Orientals have died out.\She'll fetch us quite the price.\Her father didn't look Oriental, though.\She's not a pure-blood. response:	That's right!
context: In the past, there were different types of humans.\She's the descendent of people who fled into the Walls from a place called the Orient.\We'll auction her off to some pervert at the underground market in the capital.\The other Orientals have died out.\She'll fetch us quite the price.\Her father didn't look Oriental, though.\She's not a pure-blood.\That's right! response:	Her mother was the one who was really worth something!
context: She's the descendent of people who fled into the Walls from a place called the Orient.\We'll auction her off to some pervert at the underground market in the capital.\The other Orientals have died out.\She'll fetch us quite the price.\Her father didn't look Oriental, though.\She's not a pure-blood.\That's right!\Her mother was the one who was really worth something! response:	Why'djya have to freak out and kill her?
context: We'll auction her off to some pervert at the underground market in the capital.\The other Orientals have died out.\She'll fetch us quite the price.\Her father didn't look Oriental, though.\She's not a pure-blood.\That's right!\Her mother was the one who was really worth something!\Why'djya have to freak out and kill her? response:	I-I didn't have a choice!
context: The other Orientals have died out.\She'll fetch us quite the price.\Her father didn't look Oriental, though.\She's not a pure-blood.\That's right!\Her mother was the one who was really worth something!\Why'djya have to freak out and kill her?\I-I didn't have a choice! response:	She resisted!
context: She'll fetch us quite the price.\Her father didn't look Oriental, though.\She's not a pure-blood.\That's right!\Her mother was the one who was really worth something!\Why'djya have to freak out and kill her?\I-I didn't have a choice!\She resisted! response:	That's your excuse?!
context: Her father didn't look Oriental, though.\She's not a pure-blood.\That's right!\Her mother was the one who was really worth something!\Why'djya have to freak out and kill her?\I-I didn't have a choice!\She resisted!\That's your excuse?! response:	Dr. Jaeger. We've been expecting
context: She's not a pure-blood.\That's right!\Her mother was the one who was really worth something!\Why'djya have to freak out and kill her?\I-I didn't have a choice!\She resisted!\That's your excuse?!\Dr. Jaeger. We've been expecting response:	Pardon the intrusion.
context: That's right!\Her mother was the one who was really worth something!\Why'djya have to freak out and kill her?\I-I didn't have a choice!\She resisted!\That's your excuse?!\Dr. Jaeger. We've been expecting\Pardon the intrusion. response:	Take it easy.
context: Her mother was the one who was really worth something!\Why'djya have to freak out and kill her?\I-I didn't have a choice!\She resisted!\That's your excuse?!\Dr. Jaeger. We've been expecting\Pardon the intrusion.\Take it easy. response:	Unless ya want me to split your head open with this.
context: Why'djya have to freak out and kill her?\I-I didn't have a choice!\She resisted!\That's your excuse?!\Dr. Jaeger. We've been expecting\Pardon the intrusion.\Take it easy.\Unless ya want me to split your head open with this. response:	Bitch!
context: I-I didn't have a choice!\She resisted!\That's your excuse?!\Dr. Jaeger. We've been expecting\Pardon the intrusion.\Take it easy.\Unless ya want me to split your head open with this.\Bitch! response:	Run, Mikasa!
context: She resisted!\That's your excuse?!\Dr. Jaeger. We've been expecting\Pardon the intrusion.\Take it easy.\Unless ya want me to split your head open with this.\Bitch!\Run, Mikasa! response:	Mom?
context: That's your excuse?!\Dr. Jaeger. We've been expecting\Pardon the intrusion.\Take it easy.\Unless ya want me to split your head open with this.\Bitch!\Run, Mikasa!\Mom? response:	Hurry up, Mikasa!
context: Dr. Jaeger. We've been expecting\Pardon the intrusion.\Take it easy.\Unless ya want me to split your head open with this.\Bitch!\Run, Mikasa!\Mom?\Hurry up, Mikasa! response:	Er...
context: Pardon the intrusion.\Take it easy.\Unless ya want me to split your head open with this.\Bitch!\Run, Mikasa!\Mom?\Hurry up, Mikasa!\Er... response:	Dad?
context: Take it easy.\Unless ya want me to split your head open with this.\Bitch!\Run, Mikasa!\Mom?\Hurry up, Mikasa!\Er...\Dad? response:	Knock it off!
context: Unless ya want me to split your head open with this.\Bitch!\Run, Mikasa!\Mom?\Hurry up, Mikasa!\Er...\Dad?\Knock it off! response:	The fuck are you doing?!
context: Bitch!\Run, Mikasa!\Mom?\Hurry up, Mikasa!\Er...\Dad?\Knock it off!\The fuck are you doing?! response:	I told you to only kill the father!
context: Run, Mikasa!\Mom?\Hurry up, Mikasa!\Er...\Dad?\Knock it off!\The fuck are you doing?!\I told you to only kill the father! response:	But she...
context: Mom?\Hurry up, Mikasa!\Er...\Dad?\Knock it off!\The fuck are you doing?!\I told you to only kill the father!\But she... response:	No fucking excuses!
context: Hurry up, Mikasa!\Er...\Dad?\Knock it off!\The fuck are you doing?!\I told you to only kill the father!\But she...\No fucking excuses! response:	Grab the kid.
context: Er...\Dad?\Knock it off!\The fuck are you doing?!\I told you to only kill the father!\But she...\No fucking excuses!\Grab the kid. response:	Don't make this any harder, kid.
context: Dad?\Knock it off!\The fuck are you doing?!\I told you to only kill the father!\But she...\No fucking excuses!\Grab the kid.\Don't make this any harder, kid. response:	Or else...
context: Knock it off!\The fuck are you doing?!\I told you to only kill the father!\But she...\No fucking excuses!\Grab the kid.\Don't make this any harder, kid.\Or else... response:	this is what ya get!
context: The fuck are you doing?!\I told you to only kill the father!\But she...\No fucking excuses!\Grab the kid.\Don't make this any harder, kid.\Or else...\this is what ya get! response:	I'm cold.
context: I told you to only kill the father!\But she...\No fucking excuses!\Grab the kid.\Don't make this any harder, kid.\Or else...\this is what ya get!\I'm cold. response:	Excuse me.
context: But she...\No fucking excuses!\Grab the kid.\Don't make this any harder, kid.\Or else...\this is what ya get!\I'm cold.\Excuse me. response:	You brat!
context: No fucking excuses!\Grab the kid.\Don't make this any harder, kid.\Or else...\this is what ya get!\I'm cold.\Excuse me.\You brat! response:	How'd you find this place?!
context: Grab the kid.\Don't make this any harder, kid.\Or else...\this is what ya get!\I'm cold.\Excuse me.\You brat!\How'd you find this place?! response:	Er... um...
context: Don't make this any harder, kid.\Or else...\this is what ya get!\I'm cold.\Excuse me.\You brat!\How'd you find this place?!\Er... um... response:	I got lost in the forest...
context: Or else...\this is what ya get!\I'm cold.\Excuse me.\You brat!\How'd you find this place?!\Er... um...\I got lost in the forest... response:	and um...
context: this is what ya get!\I'm cold.\Excuse me.\You brat!\How'd you find this place?!\Er... um...\I got lost in the forest...\and um... response:	I saw this cabin...
context: I'm cold.\Excuse me.\You brat!\How'd you find this place?!\Er... um...\I got lost in the forest...\and um...\I saw this cabin... response:	Now that's no good.
context: Excuse me.\You brat!\How'd you find this place?!\Er... um...\I got lost in the forest...\and um...\I saw this cabin...\Now that's no good. response:	You're just a kid. Don't come into the forest alone.
context: You brat!\How'd you find this place?!\Er... um...\I got lost in the forest...\and um...\I saw this cabin...\Now that's no good.\You're just a kid. Don't come into the forest alone. response:	There are scaaary wolves in here, you know?
context: How'd you find this place?!\Er... um...\I got lost in the forest...\and um...\I saw this cabin...\Now that's no good.\You're just a kid. Don't come into the forest alone.\There are scaaary wolves in here, you know? response:	But don't worry.
context: Er... um...\I got lost in the forest...\and um...\I saw this cabin...\Now that's no good.\You're just a kid. Don't come into the forest alone.\There are scaaary wolves in here, you know?\But don't worry. response:	You can come with us
context: I got lost in the forest...\and um...\I saw this cabin...\Now that's no good.\You're just a kid. Don't come into the forest alone.\There are scaaary wolves in here, you know?\But don't worry.\You can come with us response:	Thanks, Mister.
context: and um...\I saw this cabin...\Now that's no good.\You're just a kid. Don't come into the forest alone.\There are scaaary wolves in here, you know?\But don't worry.\You can come with us\Thanks, Mister. response:	I get it now.
context: I saw this cabin...\Now that's no good.\You're just a kid. Don't come into the forest alone.\There are scaaary wolves in here, you know?\But don't worry.\You can come with us\Thanks, Mister.\I get it now. response:	So die, you filthy fuck!
context: Now that's no good.\You're just a kid. Don't come into the forest alone.\There are scaaary wolves in here, you know?\But don't worry.\You can come with us\Thanks, Mister.\I get it now.\So die, you filthy fuck! response:	No way!
context: You're just a kid. Don't come into the forest alone.\There are scaaary wolves in here, you know?\But don't worry.\You can come with us\Thanks, Mister.\I get it now.\So die, you filthy fuck!\No way! response:	Where d'ya think you're going, you little shit?!
context: There are scaaary wolves in here, you know?\But don't worry.\You can come with us\Thanks, Mister.\I get it now.\So die, you filthy fuck!\No way!\Where d'ya think you're going, you little shit?! response:	You fucking animal!
context: But don't worry.\You can come with us\Thanks, Mister.\I get it now.\So die, you filthy fuck!\No way!\Where d'ya think you're going, you little shit?!\You fucking animal! response:	Die!
context: You can come with us\Thanks, Mister.\I get it now.\So die, you filthy fuck!\No way!\Where d'ya think you're going, you little shit?!\You fucking animal!\Die! response:	Just die!
context: Thanks, Mister.\I get it now.\So die, you filthy fuck!\No way!\Where d'ya think you're going, you little shit?!\You fucking animal!\Die!\Just die! response:	This is what you...
context: I get it now.\So die, you filthy fuck!\No way!\Where d'ya think you're going, you little shit?!\You fucking animal!\Die!\Just die!\This is what you... response:	This is what you deserve!
context: So die, you filthy fuck!\No way!\Where d'ya think you're going, you little shit?!\You fucking animal!\Die!\Just die!\This is what you...\This is what you deserve! response:	Don't you dare stand up again!
context: No way!\Where d'ya think you're going, you little shit?!\You fucking animal!\Die!\Just die!\This is what you...\This is what you deserve!\Don't you dare stand up again! response:	It's all right now.
context: Where d'ya think you're going, you little shit?!\You fucking animal!\Die!\Just die!\This is what you...\This is what you deserve!\Don't you dare stand up again!\It's all right now. response:	Don't worry.
context: You fucking animal!\Die!\Just die!\This is what you...\This is what you deserve!\Don't you dare stand up again!\It's all right now.\Don't worry. response:	You're Mikasa, right?
context: Die!\Just die!\This is what you...\This is what you deserve!\Don't you dare stand up again!\It's all right now.\Don't worry.\You're Mikasa, right? response:	I'm Eren,
context: Just die!\This is what you...\This is what you deserve!\Don't you dare stand up again!\It's all right now.\Don't worry.\You're Mikasa, right?\I'm Eren, response:	Dr. Jaeger's son.
context: This is what you...\This is what you deserve!\Don't you dare stand up again!\It's all right now.\Don't worry.\You're Mikasa, right?\I'm Eren,\Dr. Jaeger's son. response:	I think you've met my father before.
context: This is what you deserve!\Don't you dare stand up again!\It's all right now.\Don't worry.\You're Mikasa, right?\I'm Eren,\Dr. Jaeger's son.\I think you've met my father before. response:	He was visiting your place for a checkup, so I came with him.
context: Don't you dare stand up again!\It's all right now.\Don't worry.\You're Mikasa, right?\I'm Eren,\Dr. Jaeger's son.\I think you've met my father before.\He was visiting your place for a checkup, so I came with him. response:	That's when we found...
