context: It's gotten worse. response:	I see...
context: This is the record of a certain man's arrest.\He was taken into custody without his Crime Coefficient being measured...\although on the record, he was brought in voluntarily.\Touma... Kouzaburou...\He's the primary suspect in a serial murder case that stirred up the public three years ago.\I think those of you out in the field called it the Specimen Case.\In the end, Division 2, who caught this man, was put under a strict gag order.\Why?! Do you have any idea what we went through to... response:	It was just like this current case.
context: He was taken into custody without his Crime Coefficient being measured...\although on the record, he was brought in voluntarily.\Touma... Kouzaburou...\He's the primary suspect in a serial murder case that stirred up the public three years ago.\I think those of you out in the field called it the Specimen Case.\In the end, Division 2, who caught this man, was put under a strict gag order.\Why?! Do you have any idea what we went through to...\It was just like this current case. response:	Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,
context: although on the record, he was brought in voluntarily.\Touma... Kouzaburou...\He's the primary suspect in a serial murder case that stirred up the public three years ago.\I think those of you out in the field called it the Specimen Case.\In the end, Division 2, who caught this man, was put under a strict gag order.\Why?! Do you have any idea what we went through to...\It was just like this current case.\Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes, response:	the Dominators didn't react to Kouzaburou Touma...
context: Touma... Kouzaburou...\He's the primary suspect in a serial murder case that stirred up the public three years ago.\I think those of you out in the field called it the Specimen Case.\In the end, Division 2, who caught this man, was put under a strict gag order.\Why?! Do you have any idea what we went through to...\It was just like this current case.\Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,\the Dominators didn't react to Kouzaburou Touma... response:	because his Crime Coefficient didn't exceed the regulation limit.
context: He's the primary suspect in a serial murder case that stirred up the public three years ago.\I think those of you out in the field called it the Specimen Case.\In the end, Division 2, who caught this man, was put under a strict gag order.\Why?! Do you have any idea what we went through to...\It was just like this current case.\Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,\the Dominators didn't react to Kouzaburou Touma...\because his Crime Coefficient didn't exceed the regulation limit. response:	We call these rare cases criminally asymptomatic people.
context: I think those of you out in the field called it the Specimen Case.\In the end, Division 2, who caught this man, was put under a strict gag order.\Why?! Do you have any idea what we went through to...\It was just like this current case.\Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,\the Dominators didn't react to Kouzaburou Touma...\because his Crime Coefficient didn't exceed the regulation limit.\We call these rare cases criminally asymptomatic people. response:	Criminally... asymptomatic?
context: In the end, Division 2, who caught this man, was put under a strict gag order.\Why?! Do you have any idea what we went through to...\It was just like this current case.\Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,\the Dominators didn't react to Kouzaburou Touma...\because his Crime Coefficient didn't exceed the regulation limit.\We call these rare cases criminally asymptomatic people.\Criminally... asymptomatic? response:	It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.
context: Why?! Do you have any idea what we went through to...\It was just like this current case.\Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,\the Dominators didn't react to Kouzaburou Touma...\because his Crime Coefficient didn't exceed the regulation limit.\We call these rare cases criminally asymptomatic people.\Criminally... asymptomatic?\It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology. response:	It's estimated that this occurs in around one out of every two million people.
context: It was just like this current case.\Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,\the Dominators didn't react to Kouzaburou Touma...\because his Crime Coefficient didn't exceed the regulation limit.\We call these rare cases criminally asymptomatic people.\Criminally... asymptomatic?\It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.\It's estimated that this occurs in around one out of every two million people. response:	Makishima Shougo's case isn't really surprising either.
context: Despite the fact that he was practically caught in the act and we had a great deal of evidence on his crimes,\the Dominators didn't react to Kouzaburou Touma...\because his Crime Coefficient didn't exceed the regulation limit.\We call these rare cases criminally asymptomatic people.\Criminally... asymptomatic?\It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.\It's estimated that this occurs in around one out of every two million people.\Makishima Shougo's case isn't really surprising either. response:	There are some indicatiors that he took part in the incident from three years ago, right?
context: the Dominators didn't react to Kouzaburou Touma...\because his Crime Coefficient didn't exceed the regulation limit.\We call these rare cases criminally asymptomatic people.\Criminally... asymptomatic?\It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.\It's estimated that this occurs in around one out of every two million people.\Makishima Shougo's case isn't really surprising either.\There are some indicatiors that he took part in the incident from three years ago, right? response:	Touma and Makishima...
context: because his Crime Coefficient didn't exceed the regulation limit.\We call these rare cases criminally asymptomatic people.\Criminally... asymptomatic?\It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.\It's estimated that this occurs in around one out of every two million people.\Makishima Shougo's case isn't really surprising either.\There are some indicatiors that he took part in the incident from three years ago, right?\Touma and Makishima... response:	It is precisely because the two of them, both criminally asymptomatic, committed the crimes together
context: We call these rare cases criminally asymptomatic people.\Criminally... asymptomatic?\It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.\It's estimated that this occurs in around one out of every two million people.\Makishima Shougo's case isn't really surprising either.\There are some indicatiors that he took part in the incident from three years ago, right?\Touma and Makishima...\It is precisely because the two of them, both criminally asymptomatic, committed the crimes together response:	that we had so much difficulty with that case.
context: Criminally... asymptomatic?\It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.\It's estimated that this occurs in around one out of every two million people.\Makishima Shougo's case isn't really surprising either.\There are some indicatiors that he took part in the incident from three years ago, right?\Touma and Makishima...\It is precisely because the two of them, both criminally asymptomatic, committed the crimes together\that we had so much difficulty with that case. response:	What happened to Touma Kouzaburou?
context: It refers to those rare cases where the result of the person's cymatic scan doesn't match with their criminal psychology.\It's estimated that this occurs in around one out of every two million people.\Makishima Shougo's case isn't really surprising either.\There are some indicatiors that he took part in the incident from three years ago, right?\Touma and Makishima...\It is precisely because the two of them, both criminally asymptomatic, committed the crimes together\that we had so much difficulty with that case.\What happened to Touma Kouzaburou? response:	Officially, he's been declared missing.
context: It's estimated that this occurs in around one out of every two million people.\Makishima Shougo's case isn't really surprising either.\There are some indicatiors that he took part in the incident from three years ago, right?\Touma and Makishima...\It is precisely because the two of them, both criminally asymptomatic, committed the crimes together\that we had so much difficulty with that case.\What happened to Touma Kouzaburou?\Officially, he's been declared missing. response:	I also do not intend to say anything more on the matter to you.
context: Makishima Shougo's case isn't really surprising either.\There are some indicatiors that he took part in the incident from three years ago, right?\Touma and Makishima...\It is precisely because the two of them, both criminally asymptomatic, committed the crimes together\that we had so much difficulty with that case.\What happened to Touma Kouzaburou?\Officially, he's been declared missing.\I also do not intend to say anything more on the matter to you. response:	At any rate, all that matters is the fact that no one ever fell victim to his crimes again.
context: There are some indicatiors that he took part in the incident from three years ago, right?\Touma and Makishima...\It is precisely because the two of them, both criminally asymptomatic, committed the crimes together\that we had so much difficulty with that case.\What happened to Touma Kouzaburou?\Officially, he's been declared missing.\I also do not intend to say anything more on the matter to you.\At any rate, all that matters is the fact that no one ever fell victim to his crimes again. response:	He just disappeared.
context: Touma and Makishima...\It is precisely because the two of them, both criminally asymptomatic, committed the crimes together\that we had so much difficulty with that case.\What happened to Touma Kouzaburou?\Officially, he's been declared missing.\I also do not intend to say anything more on the matter to you.\At any rate, all that matters is the fact that no one ever fell victim to his crimes again.\He just disappeared. response:	His case didn't reveal a blind spot in the Sibyl System,
context: It is precisely because the two of them, both criminally asymptomatic, committed the crimes together\that we had so much difficulty with that case.\What happened to Touma Kouzaburou?\Officially, he's been declared missing.\I also do not intend to say anything more on the matter to you.\At any rate, all that matters is the fact that no one ever fell victim to his crimes again.\He just disappeared.\His case didn't reveal a blind spot in the Sibyl System, response:	nor did it shake the credibility of the system.
context: that we had so much difficulty with that case.\What happened to Touma Kouzaburou?\Officially, he's been declared missing.\I also do not intend to say anything more on the matter to you.\At any rate, all that matters is the fact that no one ever fell victim to his crimes again.\He just disappeared.\His case didn't reveal a blind spot in the Sibyl System,\nor did it shake the credibility of the system. response:	He simply disappeared.
context: What happened to Touma Kouzaburou?\Officially, he's been declared missing.\I also do not intend to say anything more on the matter to you.\At any rate, all that matters is the fact that no one ever fell victim to his crimes again.\He just disappeared.\His case didn't reveal a blind spot in the Sibyl System,\nor did it shake the credibility of the system.\He simply disappeared. response:	You all function as the terminus of the system.
context: Officially, he's been declared missing.\I also do not intend to say anything more on the matter to you.\At any rate, all that matters is the fact that no one ever fell victim to his crimes again.\He just disappeared.\His case didn't reveal a blind spot in the Sibyl System,\nor did it shake the credibility of the system.\He simply disappeared.\You all function as the terminus of the system. response:	That's the part that interacts with the public. It's how they recognize and understand it.
context: I also do not intend to say anything more on the matter to you.\At any rate, all that matters is the fact that no one ever fell victim to his crimes again.\He just disappeared.\His case didn't reveal a blind spot in the Sibyl System,\nor did it shake the credibility of the system.\He simply disappeared.\You all function as the terminus of the system.\That's the part that interacts with the public. It's how they recognize and understand it. response:	Therefore, the system's credibility is judged by how properly and strictly you are functioning.
context: At any rate, all that matters is the fact that no one ever fell victim to his crimes again.\He just disappeared.\His case didn't reveal a blind spot in the Sibyl System,\nor did it shake the credibility of the system.\He simply disappeared.\You all function as the terminus of the system.\That's the part that interacts with the public. It's how they recognize and understand it.\Therefore, the system's credibility is judged by how properly and strictly you are functioning. response:	If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.
context: He just disappeared.\His case didn't reveal a blind spot in the Sibyl System,\nor did it shake the credibility of the system.\He simply disappeared.\You all function as the terminus of the system.\That's the part that interacts with the public. It's how they recognize and understand it.\Therefore, the system's credibility is judged by how properly and strictly you are functioning.\If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order. response:	Do you understand?
context: His case didn't reveal a blind spot in the Sibyl System,\nor did it shake the credibility of the system.\He simply disappeared.\You all function as the terminus of the system.\That's the part that interacts with the public. It's how they recognize and understand it.\Therefore, the system's credibility is judged by how properly and strictly you are functioning.\If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.\Do you understand? response:	It seems that the report we submitted wasn't complete.
context: nor did it shake the credibility of the system.\He simply disappeared.\You all function as the terminus of the system.\That's the part that interacts with the public. It's how they recognize and understand it.\Therefore, the system's credibility is judged by how properly and strictly you are functioning.\If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.\Do you understand?\It seems that the report we submitted wasn't complete. response:	Fine. Resubmit it by tomorrow morning.
context: He simply disappeared.\You all function as the terminus of the system.\That's the part that interacts with the public. It's how they recognize and understand it.\Therefore, the system's credibility is judged by how properly and strictly you are functioning.\If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.\Do you understand?\It seems that the report we submitted wasn't complete.\Fine. Resubmit it by tomorrow morning. response:	Naturally, you'll need to prepare an explanation that your subordinates will accept.
context: You all function as the terminus of the system.\That's the part that interacts with the public. It's how they recognize and understand it.\Therefore, the system's credibility is judged by how properly and strictly you are functioning.\If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.\Do you understand?\It seems that the report we submitted wasn't complete.\Fine. Resubmit it by tomorrow morning.\Naturally, you'll need to prepare an explanation that your subordinates will accept. response:	Please leave it to me.
context: That's the part that interacts with the public. It's how they recognize and understand it.\Therefore, the system's credibility is judged by how properly and strictly you are functioning.\If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.\Do you understand?\It seems that the report we submitted wasn't complete.\Fine. Resubmit it by tomorrow morning.\Naturally, you'll need to prepare an explanation that your subordinates will accept.\Please leave it to me. response:	Good. Ginoza...
context: Therefore, the system's credibility is judged by how properly and strictly you are functioning.\If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.\Do you understand?\It seems that the report we submitted wasn't complete.\Fine. Resubmit it by tomorrow morning.\Naturally, you'll need to prepare an explanation that your subordinates will accept.\Please leave it to me.\Good. Ginoza... response:	My confidence in you was indeed well-placed.
context: If any of you doubt the Dominator, it could eventually cause all citizens to doubt this society's order.\Do you understand?\It seems that the report we submitted wasn't complete.\Fine. Resubmit it by tomorrow morning.\Naturally, you'll need to prepare an explanation that your subordinates will accept.\Please leave it to me.\Good. Ginoza...\My confidence in you was indeed well-placed. response:	Capture Makishima Shougo.
context: Do you understand?\It seems that the report we submitted wasn't complete.\Fine. Resubmit it by tomorrow morning.\Naturally, you'll need to prepare an explanation that your subordinates will accept.\Please leave it to me.\Good. Ginoza...\My confidence in you was indeed well-placed.\Capture Makishima Shougo. response:	Isolate him from this society as soon as possible.
context: It seems that the report we submitted wasn't complete.\Fine. Resubmit it by tomorrow morning.\Naturally, you'll need to prepare an explanation that your subordinates will accept.\Please leave it to me.\Good. Ginoza...\My confidence in you was indeed well-placed.\Capture Makishima Shougo.\Isolate him from this society as soon as possible. response:	But don't kill him.
context: Fine. Resubmit it by tomorrow morning.\Naturally, you'll need to prepare an explanation that your subordinates will accept.\Please leave it to me.\Good. Ginoza...\My confidence in you was indeed well-placed.\Capture Makishima Shougo.\Isolate him from this society as soon as possible.\But don't kill him. response:	Immediate punishment or execution requires Sibyl's involvement.
context: Naturally, you'll need to prepare an explanation that your subordinates will accept.\Please leave it to me.\Good. Ginoza...\My confidence in you was indeed well-placed.\Capture Makishima Shougo.\Isolate him from this society as soon as possible.\But don't kill him.\Immediate punishment or execution requires Sibyl's involvement. response:	Understood.
context: Please leave it to me.\Good. Ginoza...\My confidence in you was indeed well-placed.\Capture Makishima Shougo.\Isolate him from this society as soon as possible.\But don't kill him.\Immediate punishment or execution requires Sibyl's involvement.\Understood. response:	All you need to do is capture this man and bring him to the Bureau.
context: Good. Ginoza...\My confidence in you was indeed well-placed.\Capture Makishima Shougo.\Isolate him from this society as soon as possible.\But don't kill him.\Immediate punishment or execution requires Sibyl's involvement.\Understood.\All you need to do is capture this man and bring him to the Bureau. response:	Don't worry about the rest.
context: My confidence in you was indeed well-placed.\Capture Makishima Shougo.\Isolate him from this society as soon as possible.\But don't kill him.\Immediate punishment or execution requires Sibyl's involvement.\Understood.\All you need to do is capture this man and bring him to the Bureau.\Don't worry about the rest. response:	Makishima Shougo will never threaten society again,
context: Capture Makishima Shougo.\Isolate him from this society as soon as possible.\But don't kill him.\Immediate punishment or execution requires Sibyl's involvement.\Understood.\All you need to do is capture this man and bring him to the Bureau.\Don't worry about the rest.\Makishima Shougo will never threaten society again, response:	just as Touma Kouzaburou hasn't.
context: Isolate him from this society as soon as possible.\But don't kill him.\Immediate punishment or execution requires Sibyl's involvement.\Understood.\All you need to do is capture this man and bring him to the Bureau.\Don't worry about the rest.\Makishima Shougo will never threaten society again,\just as Touma Kouzaburou hasn't. response:	Hello.
context: But don't kill him.\Immediate punishment or execution requires Sibyl's involvement.\Understood.\All you need to do is capture this man and bring him to the Bureau.\Don't worry about the rest.\Makishima Shougo will never threaten society again,\just as Touma Kouzaburou hasn't.\Hello. response:	Hey.
context: Immediate punishment or execution requires Sibyl's involvement.\Understood.\All you need to do is capture this man and bring him to the Bureau.\Don't worry about the rest.\Makishima Shougo will never threaten society again,\just as Touma Kouzaburou hasn't.\Hello.\Hey. response:	Reading a book?
context: Understood.\All you need to do is capture this man and bring him to the Bureau.\Don't worry about the rest.\Makishima Shougo will never threaten society again,\just as Touma Kouzaburou hasn't.\Hello.\Hey.\Reading a book? response:	Yeah.
context: All you need to do is capture this man and bring him to the Bureau.\Don't worry about the rest.\Makishima Shougo will never threaten society again,\just as Touma Kouzaburou hasn't.\Hello.\Hey.\Reading a book?\Yeah. response:	Thanks for taking the time to visit.
context: Don't worry about the rest.\Makishima Shougo will never threaten society again,\just as Touma Kouzaburou hasn't.\Hello.\Hey.\Reading a book?\Yeah.\Thanks for taking the time to visit. response:	No problem.
context: Makishima Shougo will never threaten society again,\just as Touma Kouzaburou hasn't.\Hello.\Hey.\Reading a book?\Yeah.\Thanks for taking the time to visit.\No problem. response:	I was told to take some time off anyway.
context: just as Touma Kouzaburou hasn't.\Hello.\Hey.\Reading a book?\Yeah.\Thanks for taking the time to visit.\No problem.\I was told to take some time off anyway. response:	Have they had the funeral yet?
context: Hello.\Hey.\Reading a book?\Yeah.\Thanks for taking the time to visit.\No problem.\I was told to take some time off anyway.\Have they had the funeral yet? response:	It was the day before yesterday.
context: Hey.\Reading a book?\Yeah.\Thanks for taking the time to visit.\No problem.\I was told to take some time off anyway.\Have they had the funeral yet?\It was the day before yesterday. response:	I see.
context: Reading a book?\Yeah.\Thanks for taking the time to visit.\No problem.\I was told to take some time off anyway.\Have they had the funeral yet?\It was the day before yesterday.\I see. response:	I'm sorry.
context: Yeah.\Thanks for taking the time to visit.\No problem.\I was told to take some time off anyway.\Have they had the funeral yet?\It was the day before yesterday.\I see.\I'm sorry. response:	Why are you apologizing?
context: Thanks for taking the time to visit.\No problem.\I was told to take some time off anyway.\Have they had the funeral yet?\It was the day before yesterday.\I see.\I'm sorry.\Why are you apologizing? response:	I let Makishima Shougo get away.
context: No problem.\I was told to take some time off anyway.\Have they had the funeral yet?\It was the day before yesterday.\I see.\I'm sorry.\Why are you apologizing?\I let Makishima Shougo get away. response:	It's not your fault.
context: I was told to take some time off anyway.\Have they had the funeral yet?\It was the day before yesterday.\I see.\I'm sorry.\Why are you apologizing?\I let Makishima Shougo get away.\It's not your fault. response:	It was the Dominator that didn't work properly. Right?
context: Have they had the funeral yet?\It was the day before yesterday.\I see.\I'm sorry.\Why are you apologizing?\I let Makishima Shougo get away.\It's not your fault.\It was the Dominator that didn't work properly. Right? response:	They said that there was nothing wrong with the gun itself.
context: It was the day before yesterday.\I see.\I'm sorry.\Why are you apologizing?\I let Makishima Shougo get away.\It's not your fault.\It was the Dominator that didn't work properly. Right?\They said that there was nothing wrong with the gun itself. response:	Inspector Ginoza's petitioning the top brass and investigating now.
context: I see.\I'm sorry.\Why are you apologizing?\I let Makishima Shougo get away.\It's not your fault.\It was the Dominator that didn't work properly. Right?\They said that there was nothing wrong with the gun itself.\Inspector Ginoza's petitioning the top brass and investigating now. response:	He's never revealed himself to us until now.
context: I'm sorry.\Why are you apologizing?\I let Makishima Shougo get away.\It's not your fault.\It was the Dominator that didn't work properly. Right?\They said that there was nothing wrong with the gun itself.\Inspector Ginoza's petitioning the top brass and investigating now.\He's never revealed himself to us until now. response:	He might have some sort of trick.
context: Why are you apologizing?\I let Makishima Shougo get away.\It's not your fault.\It was the Dominator that didn't work properly. Right?\They said that there was nothing wrong with the gun itself.\Inspector Ginoza's petitioning the top brass and investigating now.\He's never revealed himself to us until now.\He might have some sort of trick. response:	Some secret means to outwit us.
context: I let Makishima Shougo get away.\It's not your fault.\It was the Dominator that didn't work properly. Right?\They said that there was nothing wrong with the gun itself.\Inspector Ginoza's petitioning the top brass and investigating now.\He's never revealed himself to us until now.\He might have some sort of trick.\Some secret means to outwit us. response:	You're your normal self, Kougami.
context: It's not your fault.\It was the Dominator that didn't work properly. Right?\They said that there was nothing wrong with the gun itself.\Inspector Ginoza's petitioning the top brass and investigating now.\He's never revealed himself to us until now.\He might have some sort of trick.\Some secret means to outwit us.\You're your normal self, Kougami. response:	You recovered more quickly than I thought you would too.
context: It was the Dominator that didn't work properly. Right?\They said that there was nothing wrong with the gun itself.\Inspector Ginoza's petitioning the top brass and investigating now.\He's never revealed himself to us until now.\He might have some sort of trick.\Some secret means to outwit us.\You're your normal self, Kougami.\You recovered more quickly than I thought you would too. response:	I can't go on feeling depressed forever.
context: They said that there was nothing wrong with the gun itself.\Inspector Ginoza's petitioning the top brass and investigating now.\He's never revealed himself to us until now.\He might have some sort of trick.\Some secret means to outwit us.\You're your normal self, Kougami.\You recovered more quickly than I thought you would too.\I can't go on feeling depressed forever. response:	We have to capture Makishima Shougo.
context: Inspector Ginoza's petitioning the top brass and investigating now.\He's never revealed himself to us until now.\He might have some sort of trick.\Some secret means to outwit us.\You're your normal self, Kougami.\You recovered more quickly than I thought you would too.\I can't go on feeling depressed forever.\We have to capture Makishima Shougo. response:	He's the one who killed my friend.
context: He's never revealed himself to us until now.\He might have some sort of trick.\Some secret means to outwit us.\You're your normal self, Kougami.\You recovered more quickly than I thought you would too.\I can't go on feeling depressed forever.\We have to capture Makishima Shougo.\He's the one who killed my friend. response:	And your friend too.
context: He might have some sort of trick.\Some secret means to outwit us.\You're your normal self, Kougami.\You recovered more quickly than I thought you would too.\I can't go on feeling depressed forever.\We have to capture Makishima Shougo.\He's the one who killed my friend.\And your friend too. response:	Yeah.
context: Some secret means to outwit us.\You're your normal self, Kougami.\You recovered more quickly than I thought you would too.\I can't go on feeling depressed forever.\We have to capture Makishima Shougo.\He's the one who killed my friend.\And your friend too.\Yeah. response:	Well, I feel a little better after seeing you.
context: You're your normal self, Kougami.\You recovered more quickly than I thought you would too.\I can't go on feeling depressed forever.\We have to capture Makishima Shougo.\He's the one who killed my friend.\And your friend too.\Yeah.\Well, I feel a little better after seeing you. response:	Take care.
context: You recovered more quickly than I thought you would too.\I can't go on feeling depressed forever.\We have to capture Makishima Shougo.\He's the one who killed my friend.\And your friend too.\Yeah.\Well, I feel a little better after seeing you.\Take care. response:	After all that, there's actually one thing that I'm relieved about.
context: I can't go on feeling depressed forever.\We have to capture Makishima Shougo.\He's the one who killed my friend.\And your friend too.\Yeah.\Well, I feel a little better after seeing you.\Take care.\After all that, there's actually one thing that I'm relieved about. response:	We know Makishima Shougo really exists.
context: We have to capture Makishima Shougo.\He's the one who killed my friend.\And your friend too.\Yeah.\Well, I feel a little better after seeing you.\Take care.\After all that, there's actually one thing that I'm relieved about.\We know Makishima Shougo really exists. response:	No one will doubt you anymore.
context: He's the one who killed my friend.\And your friend too.\Yeah.\Well, I feel a little better after seeing you.\Take care.\After all that, there's actually one thing that I'm relieved about.\We know Makishima Shougo really exists.\No one will doubt you anymore. response:	We can now finally pursue the same goal together.
context: And your friend too.\Yeah.\Well, I feel a little better after seeing you.\Take care.\After all that, there's actually one thing that I'm relieved about.\We know Makishima Shougo really exists.\No one will doubt you anymore.\We can now finally pursue the same goal together. response:	Tsunemori will work on a photofit picture?
context: Yeah.\Well, I feel a little better after seeing you.\Take care.\After all that, there's actually one thing that I'm relieved about.\We know Makishima Shougo really exists.\No one will doubt you anymore.\We can now finally pursue the same goal together.\Tsunemori will work on a photofit picture? response:	Right. She'll do a memory scoop.
context: Well, I feel a little better after seeing you.\Take care.\After all that, there's actually one thing that I'm relieved about.\We know Makishima Shougo really exists.\No one will doubt you anymore.\We can now finally pursue the same goal together.\Tsunemori will work on a photofit picture?\Right. She'll do a memory scoop. response:	That's a process that visualizes people's memories by reading directly from their brain waves.
context: Take care.\After all that, there's actually one thing that I'm relieved about.\We know Makishima Shougo really exists.\No one will doubt you anymore.\We can now finally pursue the same goal together.\Tsunemori will work on a photofit picture?\Right. She'll do a memory scoop.\That's a process that visualizes people's memories by reading directly from their brain waves. response:	I heard that Akane's trying to reconstruct what Makishima Shougo looks like.
context: After all that, there's actually one thing that I'm relieved about.\We know Makishima Shougo really exists.\No one will doubt you anymore.\We can now finally pursue the same goal together.\Tsunemori will work on a photofit picture?\Right. She'll do a memory scoop.\That's a process that visualizes people's memories by reading directly from their brain waves.\I heard that Akane's trying to reconstruct what Makishima Shougo looks like. response:	So far, she's the only one who's seen his face clearly.
context: We know Makishima Shougo really exists.\No one will doubt you anymore.\We can now finally pursue the same goal together.\Tsunemori will work on a photofit picture?\Right. She'll do a memory scoop.\That's a process that visualizes people's memories by reading directly from their brain waves.\I heard that Akane's trying to reconstruct what Makishima Shougo looks like.\So far, she's the only one who's seen his face clearly. response:	That procedure involves forcibly reliving one's memories!
context: No one will doubt you anymore.\We can now finally pursue the same goal together.\Tsunemori will work on a photofit picture?\Right. She'll do a memory scoop.\That's a process that visualizes people's memories by reading directly from their brain waves.\I heard that Akane's trying to reconstruct what Makishima Shougo looks like.\So far, she's the only one who's seen his face clearly.\That procedure involves forcibly reliving one's memories! response:	And not just any memorythe memory where her friend was killed before her very eyes!
context: We can now finally pursue the same goal together.\Tsunemori will work on a photofit picture?\Right. She'll do a memory scoop.\That's a process that visualizes people's memories by reading directly from their brain waves.\I heard that Akane's trying to reconstruct what Makishima Shougo looks like.\So far, she's the only one who's seen his face clearly.\That procedure involves forcibly reliving one's memories!\And not just any memorythe memory where her friend was killed before her very eyes! response:	I know! That's why everyone tried to stop her.
context: Tsunemori will work on a photofit picture?\Right. She'll do a memory scoop.\That's a process that visualizes people's memories by reading directly from their brain waves.\I heard that Akane's trying to reconstruct what Makishima Shougo looks like.\So far, she's the only one who's seen his face clearly.\That procedure involves forcibly reliving one's memories!\And not just any memorythe memory where her friend was killed before her very eyes!\I know! That's why everyone tried to stop her. response:	There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!
context: Right. She'll do a memory scoop.\That's a process that visualizes people's memories by reading directly from their brain waves.\I heard that Akane's trying to reconstruct what Makishima Shougo looks like.\So far, she's the only one who's seen his face clearly.\That procedure involves forcibly reliving one's memories!\And not just any memorythe memory where her friend was killed before her very eyes!\I know! That's why everyone tried to stop her.\There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's! response:	Then why?!
context: That's a process that visualizes people's memories by reading directly from their brain waves.\I heard that Akane's trying to reconstruct what Makishima Shougo looks like.\So far, she's the only one who's seen his face clearly.\That procedure involves forcibly reliving one's memories!\And not just any memorythe memory where her friend was killed before her very eyes!\I know! That's why everyone tried to stop her.\There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!\Then why?! response:	She said she'd bring down Makishima next time for sure.
context: I heard that Akane's trying to reconstruct what Makishima Shougo looks like.\So far, she's the only one who's seen his face clearly.\That procedure involves forcibly reliving one's memories!\And not just any memorythe memory where her friend was killed before her very eyes!\I know! That's why everyone tried to stop her.\There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!\Then why?!\She said she'd bring down Makishima next time for sure. response:	So in the end, I don't think you can really talk.
context: So far, she's the only one who's seen his face clearly.\That procedure involves forcibly reliving one's memories!\And not just any memorythe memory where her friend was killed before her very eyes!\I know! That's why everyone tried to stop her.\There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!\Then why?!\She said she'd bring down Makishima next time for sure.\So in the end, I don't think you can really talk. response:	Was that from Kougami?
context: That procedure involves forcibly reliving one's memories!\And not just any memorythe memory where her friend was killed before her very eyes!\I know! That's why everyone tried to stop her.\There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!\Then why?!\She said she'd bring down Makishima next time for sure.\So in the end, I don't think you can really talk.\Was that from Kougami? response:	Yeah. Kagari or someone probably told him what I was up to.
context: And not just any memorythe memory where her friend was killed before her very eyes!\I know! That's why everyone tried to stop her.\There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!\Then why?!\She said she'd bring down Makishima next time for sure.\So in the end, I don't think you can really talk.\Was that from Kougami?\Yeah. Kagari or someone probably told him what I was up to. response:	Don't you have to talk to him?
context: I know! That's why everyone tried to stop her.\There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!\Then why?!\She said she'd bring down Makishima next time for sure.\So in the end, I don't think you can really talk.\Was that from Kougami?\Yeah. Kagari or someone probably told him what I was up to.\Don't you have to talk to him? response:	There's no need to.
context: There's no way anyone's Psycho-Pass would still be okay after that, not even Akane's!\Then why?!\She said she'd bring down Makishima next time for sure.\So in the end, I don't think you can really talk.\Was that from Kougami?\Yeah. Kagari or someone probably told him what I was up to.\Don't you have to talk to him?\There's no need to. response:	I'm sure he'll just try to stop me,
context: Then why?!\She said she'd bring down Makishima next time for sure.\So in the end, I don't think you can really talk.\Was that from Kougami?\Yeah. Kagari or someone probably told him what I was up to.\Don't you have to talk to him?\There's no need to.\I'm sure he'll just try to stop me, response:	even though he's always doing reckless things himself.
context: She said she'd bring down Makishima next time for sure.\So in the end, I don't think you can really talk.\Was that from Kougami?\Yeah. Kagari or someone probably told him what I was up to.\Don't you have to talk to him?\There's no need to.\I'm sure he'll just try to stop me,\even though he's always doing reckless things himself. response:	I'm against it too. It's too dangerous.
