context: The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: Are you kidding? We're in the middle of a crisis.\That's exactly why we should! Let's liven things up with something big\and clear out the bad atmosphere here!\That might be a good idea.\You too, President?\We have enough food to last us a while.\I think we can pull off something if we keep it small.\You heard the lady! response:	Read the atmosphere, Chief Cabinet Secretary Samukawa.
context: That's exactly why we should! Let's liven things up with something big\and clear out the bad atmosphere here!\That might be a good idea.\You too, President?\We have enough food to last us a while.\I think we can pull off something if we keep it small.\You heard the lady!\Read the atmosphere, Chief Cabinet Secretary Samukawa. response:	Is this really okay?
context: and clear out the bad atmosphere here!\That might be a good idea.\You too, President?\We have enough food to last us a while.\I think we can pull off something if we keep it small.\You heard the lady!\Read the atmosphere, Chief Cabinet Secretary Samukawa.\Is this really okay? response:	Not to worry. These conditions will end soon.
context: That might be a good idea.\You too, President?\We have enough food to last us a while.\I think we can pull off something if we keep it small.\You heard the lady!\Read the atmosphere, Chief Cabinet Secretary Samukawa.\Is this really okay?\Not to worry. These conditions will end soon. response:	In that case...
context: You too, President?\We have enough food to last us a while.\I think we can pull off something if we keep it small.\You heard the lady!\Read the atmosphere, Chief Cabinet Secretary Samukawa.\Is this really okay?\Not to worry. These conditions will end soon.\In that case... response:	Then it's okay, right?
context: We have enough food to last us a while.\I think we can pull off something if we keep it small.\You heard the lady!\Read the atmosphere, Chief Cabinet Secretary Samukawa.\Is this really okay?\Not to worry. These conditions will end soon.\In that case...\Then it's okay, right? response:	Right, Shu?
context: I think we can pull off something if we keep it small.\You heard the lady!\Read the atmosphere, Chief Cabinet Secretary Samukawa.\Is this really okay?\Not to worry. These conditions will end soon.\In that case...\Then it's okay, right?\Right, Shu? response:	Yeah.
context: You heard the lady!\Read the atmosphere, Chief Cabinet Secretary Samukawa.\Is this really okay?\Not to worry. These conditions will end soon.\In that case...\Then it's okay, right?\Right, Shu?\Yeah. response:	Ah, it's finally time?
context: Read the atmosphere, Chief Cabinet Secretary Samukawa.\Is this really okay?\Not to worry. These conditions will end soon.\In that case...\Then it's okay, right?\Right, Shu?\Yeah.\Ah, it's finally time? response:	Yes sir. They said we'd have approval in a few days.
context: Is this really okay?\Not to worry. These conditions will end soon.\In that case...\Then it's okay, right?\Right, Shu?\Yeah.\Ah, it's finally time?\Yes sir. They said we'd have approval in a few days. response:	Life will be boring until then... Shall we do a little preview?
context: Not to worry. These conditions will end soon.\In that case...\Then it's okay, right?\Right, Shu?\Yeah.\Ah, it's finally time?\Yes sir. They said we'd have approval in a few days.\Life will be boring until then... Shall we do a little preview? response:	Please sir! No more joking around!
context: In that case...\Then it's okay, right?\Right, Shu?\Yeah.\Ah, it's finally time?\Yes sir. They said we'd have approval in a few days.\Life will be boring until then... Shall we do a little preview?\Please sir! No more joking around! response:	You aren't in the same position anymore...
context: Then it's okay, right?\Right, Shu?\Yeah.\Ah, it's finally time?\Yes sir. They said we'd have approval in a few days.\Life will be boring until then... Shall we do a little preview?\Please sir! No more joking around!\You aren't in the same position anymore... response:	We've both landed in difficult positions, haven't we?
context: Right, Shu?\Yeah.\Ah, it's finally time?\Yes sir. They said we'd have approval in a few days.\Life will be boring until then... Shall we do a little preview?\Please sir! No more joking around!\You aren't in the same position anymore...\We've both landed in difficult positions, haven't we? response:	I couldn't agree more.
context: Yeah.\Ah, it's finally time?\Yes sir. They said we'd have approval in a few days.\Life will be boring until then... Shall we do a little preview?\Please sir! No more joking around!\You aren't in the same position anymore...\We've both landed in difficult positions, haven't we?\I couldn't agree more. response:	I didn't expect you to agree too.
context: Ah, it's finally time?\Yes sir. They said we'd have approval in a few days.\Life will be boring until then... Shall we do a little preview?\Please sir! No more joking around!\You aren't in the same position anymore...\We've both landed in difficult positions, haven't we?\I couldn't agree more.\I didn't expect you to agree too. response:	I guess maybe I felt like living it up too.
context: Yes sir. They said we'd have approval in a few days.\Life will be boring until then... Shall we do a little preview?\Please sir! No more joking around!\You aren't in the same position anymore...\We've both landed in difficult positions, haven't we?\I couldn't agree more.\I didn't expect you to agree too.\I guess maybe I felt like living it up too. response:	So this was inside me?
context: Life will be boring until then... Shall we do a little preview?\Please sir! No more joking around!\You aren't in the same position anymore...\We've both landed in difficult positions, haven't we?\I couldn't agree more.\I didn't expect you to agree too.\I guess maybe I felt like living it up too.\So this was inside me? response:	Why are you able to hand it to me now?
context: Please sir! No more joking around!\You aren't in the same position anymore...\We've both landed in difficult positions, haven't we?\I couldn't agree more.\I didn't expect you to agree too.\I guess maybe I felt like living it up too.\So this was inside me?\Why are you able to hand it to me now? response:	During the last fight, I think my powers changed.
context: You aren't in the same position anymore...\We've both landed in difficult positions, haven't we?\I couldn't agree more.\I didn't expect you to agree too.\I guess maybe I felt like living it up too.\So this was inside me?\Why are you able to hand it to me now?\During the last fight, I think my powers changed. response:	How do we put it back?
context: We've both landed in difficult positions, haven't we?\I couldn't agree more.\I didn't expect you to agree too.\I guess maybe I felt like living it up too.\So this was inside me?\Why are you able to hand it to me now?\During the last fight, I think my powers changed.\How do we put it back? response:	Try letting go of it again.
context: I couldn't agree more.\I didn't expect you to agree too.\I guess maybe I felt like living it up too.\So this was inside me?\Why are you able to hand it to me now?\During the last fight, I think my powers changed.\How do we put it back?\Try letting go of it again. response:	These Voids are just one mystery after another, aren't they?
context: I didn't expect you to agree too.\I guess maybe I felt like living it up too.\So this was inside me?\Why are you able to hand it to me now?\During the last fight, I think my powers changed.\How do we put it back?\Try letting go of it again.\These Voids are just one mystery after another, aren't they? response:	But why are you suddenly so interested in Voids?
context: I guess maybe I felt like living it up too.\So this was inside me?\Why are you able to hand it to me now?\During the last fight, I think my powers changed.\How do we put it back?\Try letting go of it again.\These Voids are just one mystery after another, aren't they?\But why are you suddenly so interested in Voids? response:	Curiosity.
context: So this was inside me?\Why are you able to hand it to me now?\During the last fight, I think my powers changed.\How do we put it back?\Try letting go of it again.\These Voids are just one mystery after another, aren't they?\But why are you suddenly so interested in Voids?\Curiosity. response:	I don't think I'll be using this power again, though.
context: Why are you able to hand it to me now?\During the last fight, I think my powers changed.\How do we put it back?\Try letting go of it again.\These Voids are just one mystery after another, aren't they?\But why are you suddenly so interested in Voids?\Curiosity.\I don't think I'll be using this power again, though. response:	Do you really believe that?
context: During the last fight, I think my powers changed.\How do we put it back?\Try letting go of it again.\These Voids are just one mystery after another, aren't they?\But why are you suddenly so interested in Voids?\Curiosity.\I don't think I'll be using this power again, though.\Do you really believe that? response:	What do you mean?
context: How do we put it back?\Try letting go of it again.\These Voids are just one mystery after another, aren't they?\But why are you suddenly so interested in Voids?\Curiosity.\I don't think I'll be using this power again, though.\Do you really believe that?\What do you mean? response:	These conditions won't last long.
context: Try letting go of it again.\These Voids are just one mystery after another, aren't they?\But why are you suddenly so interested in Voids?\Curiosity.\I don't think I'll be using this power again, though.\Do you really believe that?\What do you mean?\These conditions won't last long. response:	And by that I mean the opposite of what Kuhouin does, Shu.
context: These Voids are just one mystery after another, aren't they?\But why are you suddenly so interested in Voids?\Curiosity.\I don't think I'll be using this power again, though.\Do you really believe that?\What do you mean?\These conditions won't last long.\And by that I mean the opposite of what Kuhouin does, Shu. response:	Your right hand, its power...
context: But why are you suddenly so interested in Voids?\Curiosity.\I don't think I'll be using this power again, though.\Do you really believe that?\What do you mean?\These conditions won't last long.\And by that I mean the opposite of what Kuhouin does, Shu.\Your right hand, its power... response:	You'll have to use them again soon enough.
context: Curiosity.\I don't think I'll be using this power again, though.\Do you really believe that?\What do you mean?\These conditions won't last long.\And by that I mean the opposite of what Kuhouin does, Shu.\Your right hand, its power...\You'll have to use them again soon enough. response:	I-I don't need those!
context: I don't think I'll be using this power again, though.\Do you really believe that?\What do you mean?\These conditions won't last long.\And by that I mean the opposite of what Kuhouin does, Shu.\Your right hand, its power...\You'll have to use them again soon enough.\I-I don't need those! response:	Oh, don't say that. Here you go!
context: Do you really believe that?\What do you mean?\These conditions won't last long.\And by that I mean the opposite of what Kuhouin does, Shu.\Your right hand, its power...\You'll have to use them again soon enough.\I-I don't need those!\Oh, don't say that. Here you go! response:	Hey, Shu!
context: What do you mean?\These conditions won't last long.\And by that I mean the opposite of what Kuhouin does, Shu.\Your right hand, its power...\You'll have to use them again soon enough.\I-I don't need those!\Oh, don't say that. Here you go!\Hey, Shu! response:	Ta-da!
context: These conditions won't last long.\And by that I mean the opposite of what Kuhouin does, Shu.\Your right hand, its power...\You'll have to use them again soon enough.\I-I don't need those!\Oh, don't say that. Here you go!\Hey, Shu!\Ta-da! response:	What's that outfit for?
context: And by that I mean the opposite of what Kuhouin does, Shu.\Your right hand, its power...\You'll have to use them again soon enough.\I-I don't need those!\Oh, don't say that. Here you go!\Hey, Shu!\Ta-da!\What's that outfit for? response:	They told me this was an Animal Cafe.
context: Your right hand, its power...\You'll have to use them again soon enough.\I-I don't need those!\Oh, don't say that. Here you go!\Hey, Shu!\Ta-da!\What's that outfit for?\They told me this was an Animal Cafe. response:	You're really part of the school now aren't you, Tsugami?
context: You'll have to use them again soon enough.\I-I don't need those!\Oh, don't say that. Here you go!\Hey, Shu!\Ta-da!\What's that outfit for?\They told me this was an Animal Cafe.\You're really part of the school now aren't you, Tsugami? response:	Well, moping won't help anyone.
context: I-I don't need those!\Oh, don't say that. Here you go!\Hey, Shu!\Ta-da!\What's that outfit for?\They told me this was an Animal Cafe.\You're really part of the school now aren't you, Tsugami?\Well, moping won't help anyone. response:	So we have to take this opportunity to have some fun!
context: Oh, don't say that. Here you go!\Hey, Shu!\Ta-da!\What's that outfit for?\They told me this was an Animal Cafe.\You're really part of the school now aren't you, Tsugami?\Well, moping won't help anyone.\So we have to take this opportunity to have some fun! response:	But I don't have anything to do with it.
context: Hey, Shu!\Ta-da!\What's that outfit for?\They told me this was an Animal Cafe.\You're really part of the school now aren't you, Tsugami?\Well, moping won't help anyone.\So we have to take this opportunity to have some fun!\But I don't have anything to do with it. response:	Don't laugh.
context: Ta-da!\What's that outfit for?\They told me this was an Animal Cafe.\You're really part of the school now aren't you, Tsugami?\Well, moping won't help anyone.\So we have to take this opportunity to have some fun!\But I don't have anything to do with it.\Don't laugh. response:	Sorry, sorry.
context: What's that outfit for?\They told me this was an Animal Cafe.\You're really part of the school now aren't you, Tsugami?\Well, moping won't help anyone.\So we have to take this opportunity to have some fun!\But I don't have anything to do with it.\Don't laugh.\Sorry, sorry. response:	They look good on you.
context: They told me this was an Animal Cafe.\You're really part of the school now aren't you, Tsugami?\Well, moping won't help anyone.\So we have to take this opportunity to have some fun!\But I don't have anything to do with it.\Don't laugh.\Sorry, sorry.\They look good on you. response:	Sheesh...
context: You're really part of the school now aren't you, Tsugami?\Well, moping won't help anyone.\So we have to take this opportunity to have some fun!\But I don't have anything to do with it.\Don't laugh.\Sorry, sorry.\They look good on you.\Sheesh... response:	Say, where's Inori?
context: Well, moping won't help anyone.\So we have to take this opportunity to have some fun!\But I don't have anything to do with it.\Don't laugh.\Sorry, sorry.\They look good on you.\Sheesh...\Say, where's Inori? response:	Hey, Shu! Over here!
context: So we have to take this opportunity to have some fun!\But I don't have anything to do with it.\Don't laugh.\Sorry, sorry.\They look good on you.\Sheesh...\Say, where's Inori?\Hey, Shu! Over here! response:	A live Egoist concert?
context: But I don't have anything to do with it.\Don't laugh.\Sorry, sorry.\They look good on you.\Sheesh...\Say, where's Inori?\Hey, Shu! Over here!\A live Egoist concert? response:	It's the festival's main event!
context: Don't laugh.\Sorry, sorry.\They look good on you.\Sheesh...\Say, where's Inori?\Hey, Shu! Over here!\A live Egoist concert?\It's the festival's main event! response:	Leave the stage directing to me!
context: Sorry, sorry.\They look good on you.\Sheesh...\Say, where's Inori?\Hey, Shu! Over here!\A live Egoist concert?\It's the festival's main event!\Leave the stage directing to me! response:	Tamadate, Minister of Education, Culture, Sports, Science and Technology,
context: They look good on you.\Sheesh...\Say, where's Inori?\Hey, Shu! Over here!\A live Egoist concert?\It's the festival's main event!\Leave the stage directing to me!\Tamadate, Minister of Education, Culture, Sports, Science and Technology, response:	will show you what I'm made of!
context: Sheesh...\Say, where's Inori?\Hey, Shu! Over here!\A live Egoist concert?\It's the festival's main event!\Leave the stage directing to me!\Tamadate, Minister of Education, Culture, Sports, Science and Technology,\will show you what I'm made of! response:	Are you okay with this, Inori?
context: Say, where's Inori?\Hey, Shu! Over here!\A live Egoist concert?\It's the festival's main event!\Leave the stage directing to me!\Tamadate, Minister of Education, Culture, Sports, Science and Technology,\will show you what I'm made of!\Are you okay with this, Inori? response:	I want to try it.
context: Hey, Shu! Over here!\A live Egoist concert?\It's the festival's main event!\Leave the stage directing to me!\Tamadate, Minister of Education, Culture, Sports, Science and Technology,\will show you what I'm made of!\Are you okay with this, Inori?\I want to try it. response:	Okay?
context: A live Egoist concert?\It's the festival's main event!\Leave the stage directing to me!\Tamadate, Minister of Education, Culture, Sports, Science and Technology,\will show you what I'm made of!\Are you okay with this, Inori?\I want to try it.\Okay? response:	Of course. I look forward to it.
context: It's the festival's main event!\Leave the stage directing to me!\Tamadate, Minister of Education, Culture, Sports, Science and Technology,\will show you what I'm made of!\Are you okay with this, Inori?\I want to try it.\Okay?\Of course. I look forward to it. response:	Come on, a festival now? There's something wrong with these people.
context: Leave the stage directing to me!\Tamadate, Minister of Education, Culture, Sports, Science and Technology,\will show you what I'm made of!\Are you okay with this, Inori?\I want to try it.\Okay?\Of course. I look forward to it.\Come on, a festival now? There's something wrong with these people. response:	Maybe the germs have spread to their brains.
context: Tamadate, Minister of Education, Culture, Sports, Science and Technology,\will show you what I'm made of!\Are you okay with this, Inori?\I want to try it.\Okay?\Of course. I look forward to it.\Come on, a festival now? There's something wrong with these people.\Maybe the germs have spread to their brains. response:	That hurt! What if I were injured!?
context: will show you what I'm made of!\Are you okay with this, Inori?\I want to try it.\Okay?\Of course. I look forward to it.\Come on, a festival now? There's something wrong with these people.\Maybe the germs have spread to their brains.\That hurt! What if I were injured!? response:	Be more careful!
context: Are you okay with this, Inori?\I want to try it.\Okay?\Of course. I look forward to it.\Come on, a festival now? There's something wrong with these people.\Maybe the germs have spread to their brains.\That hurt! What if I were injured!?\Be more careful! response:	Oh sorry! But hey, perfect timing!
context: I want to try it.\Okay?\Of course. I look forward to it.\Come on, a festival now? There's something wrong with these people.\Maybe the germs have spread to their brains.\That hurt! What if I were injured!?\Be more careful!\Oh sorry! But hey, perfect timing! response:	Here, you take this.
context: Okay?\Of course. I look forward to it.\Come on, a festival now? There's something wrong with these people.\Maybe the germs have spread to their brains.\That hurt! What if I were injured!?\Be more careful!\Oh sorry! But hey, perfect timing!\Here, you take this. response:	Hey! Why should I have to
context: Of course. I look forward to it.\Come on, a festival now? There's something wrong with these people.\Maybe the germs have spread to their brains.\That hurt! What if I were injured!?\Be more careful!\Oh sorry! But hey, perfect timing!\Here, you take this.\Hey! Why should I have to response:	This too please. And this!
context: Come on, a festival now? There's something wrong with these people.\Maybe the germs have spread to their brains.\That hurt! What if I were injured!?\Be more careful!\Oh sorry! But hey, perfect timing!\Here, you take this.\Hey! Why should I have to\This too please. And this! response:	Why do I have to do work like this?
context: Maybe the germs have spread to their brains.\That hurt! What if I were injured!?\Be more careful!\Oh sorry! But hey, perfect timing!\Here, you take this.\Hey! Why should I have to\This too please. And this!\Why do I have to do work like this? response:	Man, you're a weakling.
context: That hurt! What if I were injured!?\Be more careful!\Oh sorry! But hey, perfect timing!\Here, you take this.\Hey! Why should I have to\This too please. And this!\Why do I have to do work like this?\Man, you're a weakling. response:	No, you just gave me too much to do!
context: Be more careful!\Oh sorry! But hey, perfect timing!\Here, you take this.\Hey! Why should I have to\This too please. And this!\Why do I have to do work like this?\Man, you're a weakling.\No, you just gave me too much to do! response:	Aw, take this and cheer up.
context: Oh sorry! But hey, perfect timing!\Here, you take this.\Hey! Why should I have to\This too please. And this!\Why do I have to do work like this?\Man, you're a weakling.\No, you just gave me too much to do!\Aw, take this and cheer up. response:	What is it?
context: Here, you take this.\Hey! Why should I have to\This too please. And this!\Why do I have to do work like this?\Man, you're a weakling.\No, you just gave me too much to do!\Aw, take this and cheer up.\What is it? response:	Your reward.
context: Hey! Why should I have to\This too please. And this!\Why do I have to do work like this?\Man, you're a weakling.\No, you just gave me too much to do!\Aw, take this and cheer up.\What is it?\Your reward. response:	I don't want that yucky food.
context: This too please. And this!\Why do I have to do work like this?\Man, you're a weakling.\No, you just gave me too much to do!\Aw, take this and cheer up.\What is it?\Your reward.\I don't want that yucky food. response:	When someone does something nice for you...
context: Why do I have to do work like this?\Man, you're a weakling.\No, you just gave me too much to do!\Aw, take this and cheer up.\What is it?\Your reward.\I don't want that yucky food.\When someone does something nice for you... response:	St-Stop it!
context: Man, you're a weakling.\No, you just gave me too much to do!\Aw, take this and cheer up.\What is it?\Your reward.\I don't want that yucky food.\When someone does something nice for you...\St-Stop it! response:	Whoa, Shinomiya, you're good at this.
context: No, you just gave me too much to do!\Aw, take this and cheer up.\What is it?\Your reward.\I don't want that yucky food.\When someone does something nice for you...\St-Stop it!\Whoa, Shinomiya, you're good at this. response:	You can call me Ayase.
context: Aw, take this and cheer up.\What is it?\Your reward.\I don't want that yucky food.\When someone does something nice for you...\St-Stop it!\Whoa, Shinomiya, you're good at this.\You can call me Ayase. response:	Your name is Menjo, right?
context: What is it?\Your reward.\I don't want that yucky food.\When someone does something nice for you...\St-Stop it!\Whoa, Shinomiya, you're good at this.\You can call me Ayase.\Your name is Menjo, right? response:	Please, call me Hare. I'm sorry for asking you to do this out of the blue.
context: Your reward.\I don't want that yucky food.\When someone does something nice for you...\St-Stop it!\Whoa, Shinomiya, you're good at this.\You can call me Ayase.\Your name is Menjo, right?\Please, call me Hare. I'm sorry for asking you to do this out of the blue. response:	Why me, though?
context: I don't want that yucky food.\When someone does something nice for you...\St-Stop it!\Whoa, Shinomiya, you're good at this.\You can call me Ayase.\Your name is Menjo, right?\Please, call me Hare. I'm sorry for asking you to do this out of the blue.\Why me, though? response:	I suppose I looked lonely by myself...?
context: When someone does something nice for you...\St-Stop it!\Whoa, Shinomiya, you're good at this.\You can call me Ayase.\Your name is Menjo, right?\Please, call me Hare. I'm sorry for asking you to do this out of the blue.\Why me, though?\I suppose I looked lonely by myself...? response:	No, that's not it.
context: St-Stop it!\Whoa, Shinomiya, you're good at this.\You can call me Ayase.\Your name is Menjo, right?\Please, call me Hare. I'm sorry for asking you to do this out of the blue.\Why me, though?\I suppose I looked lonely by myself...?\No, that's not it. response:	Um, Shu's changed lately, you know? In a good way.
context: Whoa, Shinomiya, you're good at this.\You can call me Ayase.\Your name is Menjo, right?\Please, call me Hare. I'm sorry for asking you to do this out of the blue.\Why me, though?\I suppose I looked lonely by myself...?\No, that's not it.\Um, Shu's changed lately, you know? In a good way. response:	I just thought that must be thanks to the people in the Undertakers.
context: You can call me Ayase.\Your name is Menjo, right?\Please, call me Hare. I'm sorry for asking you to do this out of the blue.\Why me, though?\I suppose I looked lonely by myself...?\No, that's not it.\Um, Shu's changed lately, you know? In a good way.\I just thought that must be thanks to the people in the Undertakers. response:	So I wanted to say thank you.
context: Your name is Menjo, right?\Please, call me Hare. I'm sorry for asking you to do this out of the blue.\Why me, though?\I suppose I looked lonely by myself...?\No, that's not it.\Um, Shu's changed lately, you know? In a good way.\I just thought that must be thanks to the people in the Undertakers.\So I wanted to say thank you. response:	Thank you very much.
context: Please, call me Hare. I'm sorry for asking you to do this out of the blue.\Why me, though?\I suppose I looked lonely by myself...?\No, that's not it.\Um, Shu's changed lately, you know? In a good way.\I just thought that must be thanks to the people in the Undertakers.\So I wanted to say thank you.\Thank you very much. response:	Huh? Yeah, that's right.
context: Why me, though?\I suppose I looked lonely by myself...?\No, that's not it.\Um, Shu's changed lately, you know? In a good way.\I just thought that must be thanks to the people in the Undertakers.\So I wanted to say thank you.\Thank you very much.\Huh? Yeah, that's right. response:	Yuzuriha Inori, Ouma Shueveryone's here.
context: I suppose I looked lonely by myself...?\No, that's not it.\Um, Shu's changed lately, you know? In a good way.\I just thought that must be thanks to the people in the Undertakers.\So I wanted to say thank you.\Thank you very much.\Huh? Yeah, that's right.\Yuzuriha Inori, Ouma Shueveryone's here. response:	This is way too complicated.
context: No, that's not it.\Um, Shu's changed lately, you know? In a good way.\I just thought that must be thanks to the people in the Undertakers.\So I wanted to say thank you.\Thank you very much.\Huh? Yeah, that's right.\Yuzuriha Inori, Ouma Shueveryone's here.\This is way too complicated. response:	You could just destroy this place right now!
context: Um, Shu's changed lately, you know? In a good way.\I just thought that must be thanks to the people in the Undertakers.\So I wanted to say thank you.\Thank you very much.\Huh? Yeah, that's right.\Yuzuriha Inori, Ouma Shueveryone's here.\This is way too complicated.\You could just destroy this place right now! response:	No, that won't do. We're in the middle of deliberations right now.
context: I just thought that must be thanks to the people in the Undertakers.\So I wanted to say thank you.\Thank you very much.\Huh? Yeah, that's right.\Yuzuriha Inori, Ouma Shueveryone's here.\This is way too complicated.\You could just destroy this place right now!\No, that won't do. We're in the middle of deliberations right now. response:	We can't make any direct moves.
context: So I wanted to say thank you.\Thank you very much.\Huh? Yeah, that's right.\Yuzuriha Inori, Ouma Shueveryone's here.\This is way too complicated.\You could just destroy this place right now!\No, that won't do. We're in the middle of deliberations right now.\We can't make any direct moves. response:	No direct moves...
context: Thank you very much.\Huh? Yeah, that's right.\Yuzuriha Inori, Ouma Shueveryone's here.\This is way too complicated.\You could just destroy this place right now!\No, that won't do. We're in the middle of deliberations right now.\We can't make any direct moves.\No direct moves... response:	At any rate, don't interfere. You understand?
context: Huh? Yeah, that's right.\Yuzuriha Inori, Ouma Shueveryone's here.\This is way too complicated.\You could just destroy this place right now!\No, that won't do. We're in the middle of deliberations right now.\We can't make any direct moves.\No direct moves...\At any rate, don't interfere. You understand? response:	Yeah, got it.
context: Yuzuriha Inori, Ouma Shueveryone's here.\This is way too complicated.\You could just destroy this place right now!\No, that won't do. We're in the middle of deliberations right now.\We can't make any direct moves.\No direct moves...\At any rate, don't interfere. You understand?\Yeah, got it. response:	What is this thing? It looks so cheap.
context: This is way too complicated.\You could just destroy this place right now!\No, that won't do. We're in the middle of deliberations right now.\We can't make any direct moves.\No direct moves...\At any rate, don't interfere. You understand?\Yeah, got it.\What is this thing? It looks so cheap. response:	The next time I see that runt, I swear I'm going to torment her.
context: You could just destroy this place right now!\No, that won't do. We're in the middle of deliberations right now.\We can't make any direct moves.\No direct moves...\At any rate, don't interfere. You understand?\Yeah, got it.\What is this thing? It looks so cheap.\The next time I see that runt, I swear I'm going to torment her. response:	The Tenno Festival is now officially open.
context: No, that won't do. We're in the middle of deliberations right now.\We can't make any direct moves.\No direct moves...\At any rate, don't interfere. You understand?\Yeah, got it.\What is this thing? It looks so cheap.\The next time I see that runt, I swear I'm going to torment her.\The Tenno Festival is now officially open. response:	Have fun, everyone.
context: We can't make any direct moves.\No direct moves...\At any rate, don't interfere. You understand?\Yeah, got it.\What is this thing? It looks so cheap.\The next time I see that runt, I swear I'm going to torment her.\The Tenno Festival is now officially open.\Have fun, everyone. response:	Isn't this fun, Aya?
context: No direct moves...\At any rate, don't interfere. You understand?\Yeah, got it.\What is this thing? It looks so cheap.\The next time I see that runt, I swear I'm going to torment her.\The Tenno Festival is now officially open.\Have fun, everyone.\Isn't this fun, Aya? response:	I wonder if we'd be doing this too, if we went to school like normal kids.
context: At any rate, don't interfere. You understand?\Yeah, got it.\What is this thing? It looks so cheap.\The next time I see that runt, I swear I'm going to torment her.\The Tenno Festival is now officially open.\Have fun, everyone.\Isn't this fun, Aya?\I wonder if we'd be doing this too, if we went to school like normal kids. response:	What do you think?
context: Yeah, got it.\What is this thing? It looks so cheap.\The next time I see that runt, I swear I'm going to torment her.\The Tenno Festival is now officially open.\Have fun, everyone.\Isn't this fun, Aya?\I wonder if we'd be doing this too, if we went to school like normal kids.\What do you think? response:	Look, mini-hotcakes!
context: What is this thing? It looks so cheap.\The next time I see that runt, I swear I'm going to torment her.\The Tenno Festival is now officially open.\Have fun, everyone.\Isn't this fun, Aya?\I wonder if we'd be doing this too, if we went to school like normal kids.\What do you think?\Look, mini-hotcakes! response:	It's mini-hotcakes, Aya!
context: The next time I see that runt, I swear I'm going to torment her.\The Tenno Festival is now officially open.\Have fun, everyone.\Isn't this fun, Aya?\I wonder if we'd be doing this too, if we went to school like normal kids.\What do you think?\Look, mini-hotcakes!\It's mini-hotcakes, Aya! response:	They're having a Cultural Festival.
context: The Tenno Festival is now officially open.\Have fun, everyone.\Isn't this fun, Aya?\I wonder if we'd be doing this too, if we went to school like normal kids.\What do you think?\Look, mini-hotcakes!\It's mini-hotcakes, Aya!\They're having a Cultural Festival. response:	That's not right. Not in tough times like this where people are starving.
context: Have fun, everyone.\Isn't this fun, Aya?\I wonder if we'd be doing this too, if we went to school like normal kids.\What do you think?\Look, mini-hotcakes!\It's mini-hotcakes, Aya!\They're having a Cultural Festival.\That's not right. Not in tough times like this where people are starving. response:	You said it!
context: Isn't this fun, Aya?\I wonder if we'd be doing this too, if we went to school like normal kids.\What do you think?\Look, mini-hotcakes!\It's mini-hotcakes, Aya!\They're having a Cultural Festival.\That's not right. Not in tough times like this where people are starving.\You said it! response:	This is a job for us Philanthropists, am I right?
context: I wonder if we'd be doing this too, if we went to school like normal kids.\What do you think?\Look, mini-hotcakes!\It's mini-hotcakes, Aya!\They're having a Cultural Festival.\That's not right. Not in tough times like this where people are starving.\You said it!\This is a job for us Philanthropists, am I right? response:	A Humvee and a Gautier Endlave? Are they the real thing?
context: What do you think?\Look, mini-hotcakes!\It's mini-hotcakes, Aya!\They're having a Cultural Festival.\That's not right. Not in tough times like this where people are starving.\You said it!\This is a job for us Philanthropists, am I right?\A Humvee and a Gautier Endlave? Are they the real thing? response:	How'd you get those?
context: Look, mini-hotcakes!\It's mini-hotcakes, Aya!\They're having a Cultural Festival.\That's not right. Not in tough times like this where people are starving.\You said it!\This is a job for us Philanthropists, am I right?\A Humvee and a Gautier Endlave? Are they the real thing?\How'd you get those? response:	A gift.
context: It's mini-hotcakes, Aya!\They're having a Cultural Festival.\That's not right. Not in tough times like this where people are starving.\You said it!\This is a job for us Philanthropists, am I right?\A Humvee and a Gautier Endlave? Are they the real thing?\How'd you get those?\A gift. response:	Whoa, are you serious?
context: They're having a Cultural Festival.\That's not right. Not in tough times like this where people are starving.\You said it!\This is a job for us Philanthropists, am I right?\A Humvee and a Gautier Endlave? Are they the real thing?\How'd you get those?\A gift.\Whoa, are you serious? response:	He said he was a wealthy man who agreed with our cause.
context: That's not right. Not in tough times like this where people are starving.\You said it!\This is a job for us Philanthropists, am I right?\A Humvee and a Gautier Endlave? Are they the real thing?\How'd you get those?\A gift.\Whoa, are you serious?\He said he was a wealthy man who agreed with our cause. response:	He seemed a little sketchy, but turned out to be a good guy.
context: You said it!\This is a job for us Philanthropists, am I right?\A Humvee and a Gautier Endlave? Are they the real thing?\How'd you get those?\A gift.\Whoa, are you serious?\He said he was a wealthy man who agreed with our cause.\He seemed a little sketchy, but turned out to be a good guy. response:	Good guy?
context: This is a job for us Philanthropists, am I right?\A Humvee and a Gautier Endlave? Are they the real thing?\How'd you get those?\A gift.\Whoa, are you serious?\He said he was a wealthy man who agreed with our cause.\He seemed a little sketchy, but turned out to be a good guy.\Good guy? response:	It just goes to show the high hopes people have for our justice.
context: A Humvee and a Gautier Endlave? Are they the real thing?\How'd you get those?\A gift.\Whoa, are you serious?\He said he was a wealthy man who agreed with our cause.\He seemed a little sketchy, but turned out to be a good guy.\Good guy?\It just goes to show the high hopes people have for our justice. response:	Come on, let's go!
context: How'd you get those?\A gift.\Whoa, are you serious?\He said he was a wealthy man who agreed with our cause.\He seemed a little sketchy, but turned out to be a good guy.\Good guy?\It just goes to show the high hopes people have for our justice.\Come on, let's go! response:	We're gonna teach those happy school kids what a harsh world this is.
