context: I see that you are awake, Slaine Troyard. response:	Where am I...?
context: All right, let's go with your I want to make steady progress towards my goal,\even if means holding my nose sort of operation.\You don't approve?\No, I think it's a very simple operation.\She doesn't approve...\Target destroyed.\Okay, simulation complete. Rayet, right?\You've got some skills. Gamers are a formidable bunch. response:	Increase the difficulty.
context: even if means holding my nose sort of operation.\You don't approve?\No, I think it's a very simple operation.\She doesn't approve...\Target destroyed.\Okay, simulation complete. Rayet, right?\You've got some skills. Gamers are a formidable bunch.\Increase the difficulty. response:	Maybe we should call it a day.
context: You don't approve?\No, I think it's a very simple operation.\She doesn't approve...\Target destroyed.\Okay, simulation complete. Rayet, right?\You've got some skills. Gamers are a formidable bunch.\Increase the difficulty.\Maybe we should call it a day. response:	I'm fine, keep going.
context: No, I think it's a very simple operation.\She doesn't approve...\Target destroyed.\Okay, simulation complete. Rayet, right?\You've got some skills. Gamers are a formidable bunch.\Increase the difficulty.\Maybe we should call it a day.\I'm fine, keep going. response:	Okay, then. Why don't I throw in something we fought recently?
context: She doesn't approve...\Target destroyed.\Okay, simulation complete. Rayet, right?\You've got some skills. Gamers are a formidable bunch.\Increase the difficulty.\Maybe we should call it a day.\I'm fine, keep going.\Okay, then. Why don't I throw in something we fought recently? response:	Try this.
context: Target destroyed.\Okay, simulation complete. Rayet, right?\You've got some skills. Gamers are a formidable bunch.\Increase the difficulty.\Maybe we should call it a day.\I'm fine, keep going.\Okay, then. Why don't I throw in something we fought recently?\Try this. response:	Beginning simulation.
context: Okay, simulation complete. Rayet, right?\You've got some skills. Gamers are a formidable bunch.\Increase the difficulty.\Maybe we should call it a day.\I'm fine, keep going.\Okay, then. Why don't I throw in something we fought recently?\Try this.\Beginning simulation. response:	Thermal signature detected.
context: You've got some skills. Gamers are a formidable bunch.\Increase the difficulty.\Maybe we should call it a day.\I'm fine, keep going.\Okay, then. Why don't I throw in something we fought recently?\Try this.\Beginning simulation.\Thermal signature detected. response:	Off my 10 o'clock. Almost in effective range.
context: Increase the difficulty.\Maybe we should call it a day.\I'm fine, keep going.\Okay, then. Why don't I throw in something we fought recently?\Try this.\Beginning simulation.\Thermal signature detected.\Off my 10 o'clock. Almost in effective range. response:	Don't do that, Rayet. The gun barrel will overheat.
context: Maybe we should call it a day.\I'm fine, keep going.\Okay, then. Why don't I throw in something we fought recently?\Try this.\Beginning simulation.\Thermal signature detected.\Off my 10 o'clock. Almost in effective range.\Don't do that, Rayet. The gun barrel will overheat. response:	Simulation complete.
context: I'm fine, keep going.\Okay, then. Why don't I throw in something we fought recently?\Try this.\Beginning simulation.\Thermal signature detected.\Off my 10 o'clock. Almost in effective range.\Don't do that, Rayet. The gun barrel will overheat.\Simulation complete. response:	I'm sorry. I made it too hard all of a sudden.
context: Okay, then. Why don't I throw in something we fought recently?\Try this.\Beginning simulation.\Thermal signature detected.\Off my 10 o'clock. Almost in effective range.\Don't do that, Rayet. The gun barrel will overheat.\Simulation complete.\I'm sorry. I made it too hard all of a sudden. response:	Did it throw you?
context: Try this.\Beginning simulation.\Thermal signature detected.\Off my 10 o'clock. Almost in effective range.\Don't do that, Rayet. The gun barrel will overheat.\Simulation complete.\I'm sorry. I made it too hard all of a sudden.\Did it throw you? response:	Warrant Officer Kaizuka.
context: Beginning simulation.\Thermal signature detected.\Off my 10 o'clock. Almost in effective range.\Don't do that, Rayet. The gun barrel will overheat.\Simulation complete.\I'm sorry. I made it too hard all of a sudden.\Did it throw you?\Warrant Officer Kaizuka. response:	Dr. Yagarai.
context: Thermal signature detected.\Off my 10 o'clock. Almost in effective range.\Don't do that, Rayet. The gun barrel will overheat.\Simulation complete.\I'm sorry. I made it too hard all of a sudden.\Did it throw you?\Warrant Officer Kaizuka.\Dr. Yagarai. response:	How is the exoskeleton working?
context: Off my 10 o'clock. Almost in effective range.\Don't do that, Rayet. The gun barrel will overheat.\Simulation complete.\I'm sorry. I made it too hard all of a sudden.\Did it throw you?\Warrant Officer Kaizuka.\Dr. Yagarai.\How is the exoskeleton working? response:	Wanna arm wrestle?
context: Don't do that, Rayet. The gun barrel will overheat.\Simulation complete.\I'm sorry. I made it too hard all of a sudden.\Did it throw you?\Warrant Officer Kaizuka.\Dr. Yagarai.\How is the exoskeleton working?\Wanna arm wrestle? response:	Thanks, but no.
context: Simulation complete.\I'm sorry. I made it too hard all of a sudden.\Did it throw you?\Warrant Officer Kaizuka.\Dr. Yagarai.\How is the exoskeleton working?\Wanna arm wrestle?\Thanks, but no. response:	Actually, would you mind if I borrowed your simulator program later?
context: I'm sorry. I made it too hard all of a sudden.\Did it throw you?\Warrant Officer Kaizuka.\Dr. Yagarai.\How is the exoskeleton working?\Wanna arm wrestle?\Thanks, but no.\Actually, would you mind if I borrowed your simulator program later? response:	You joining the fight, Doc?
context: Did it throw you?\Warrant Officer Kaizuka.\Dr. Yagarai.\How is the exoskeleton working?\Wanna arm wrestle?\Thanks, but no.\Actually, would you mind if I borrowed your simulator program later?\You joining the fight, Doc? response:	No, it's not for that.
context: Warrant Officer Kaizuka.\Dr. Yagarai.\How is the exoskeleton working?\Wanna arm wrestle?\Thanks, but no.\Actually, would you mind if I borrowed your simulator program later?\You joining the fight, Doc?\No, it's not for that. response:	I need it for treatment.
context: Dr. Yagarai.\How is the exoskeleton working?\Wanna arm wrestle?\Thanks, but no.\Actually, would you mind if I borrowed your simulator program later?\You joining the fight, Doc?\No, it's not for that.\I need it for treatment. response:	Damn it...
context: How is the exoskeleton working?\Wanna arm wrestle?\Thanks, but no.\Actually, would you mind if I borrowed your simulator program later?\You joining the fight, Doc?\No, it's not for that.\I need it for treatment.\Damn it... response:	I can't believe our captain turned out to be your kid sister, Humeray.
context: Wanna arm wrestle?\Thanks, but no.\Actually, would you mind if I borrowed your simulator program later?\You joining the fight, Doc?\No, it's not for that.\I need it for treatment.\Damn it...\I can't believe our captain turned out to be your kid sister, Humeray. response:	Probably explains where she gets her guts from.
context: Thanks, but no.\Actually, would you mind if I borrowed your simulator program later?\You joining the fight, Doc?\No, it's not for that.\I need it for treatment.\Damn it...\I can't believe our captain turned out to be your kid sister, Humeray.\Probably explains where she gets her guts from. response:	Rayet.
context: Actually, would you mind if I borrowed your simulator program later?\You joining the fight, Doc?\No, it's not for that.\I need it for treatment.\Damn it...\I can't believe our captain turned out to be your kid sister, Humeray.\Probably explains where she gets her guts from.\Rayet. response:	May I join you?
context: You joining the fight, Doc?\No, it's not for that.\I need it for treatment.\Damn it...\I can't believe our captain turned out to be your kid sister, Humeray.\Probably explains where she gets her guts from.\Rayet.\May I join you? response:	Suit yourself.
context: No, it's not for that.\I need it for treatment.\Damn it...\I can't believe our captain turned out to be your kid sister, Humeray.\Probably explains where she gets her guts from.\Rayet.\May I join you?\Suit yourself. response:	Terran food is most delicious. So many unusual dishes not found on Vers.
context: I need it for treatment.\Damn it...\I can't believe our captain turned out to be your kid sister, Humeray.\Probably explains where she gets her guts from.\Rayet.\May I join you?\Suit yourself.\Terran food is most delicious. So many unusual dishes not found on Vers. response:	Is that optical camouflage, too?
context: Damn it...\I can't believe our captain turned out to be your kid sister, Humeray.\Probably explains where she gets her guts from.\Rayet.\May I join you?\Suit yourself.\Terran food is most delicious. So many unusual dishes not found on Vers.\Is that optical camouflage, too? response:	No, Inaho's friend Nina was kind enough to allow me to borrow these.
context: I can't believe our captain turned out to be your kid sister, Humeray.\Probably explains where she gets her guts from.\Rayet.\May I join you?\Suit yourself.\Terran food is most delicious. So many unusual dishes not found on Vers.\Is that optical camouflage, too?\No, Inaho's friend Nina was kind enough to allow me to borrow these. response:	She thought it might be difficult to walk in a cramped ship in that dress.
context: Probably explains where she gets her guts from.\Rayet.\May I join you?\Suit yourself.\Terran food is most delicious. So many unusual dishes not found on Vers.\Is that optical camouflage, too?\No, Inaho's friend Nina was kind enough to allow me to borrow these.\She thought it might be difficult to walk in a cramped ship in that dress. response:	Isn't she kind?
context: Rayet.\May I join you?\Suit yourself.\Terran food is most delicious. So many unusual dishes not found on Vers.\Is that optical camouflage, too?\No, Inaho's friend Nina was kind enough to allow me to borrow these.\She thought it might be difficult to walk in a cramped ship in that dress.\Isn't she kind? response:	Highness, this is for you!
context: May I join you?\Suit yourself.\Terran food is most delicious. So many unusual dishes not found on Vers.\Is that optical camouflage, too?\No, Inaho's friend Nina was kind enough to allow me to borrow these.\She thought it might be difficult to walk in a cramped ship in that dress.\Isn't she kind?\Highness, this is for you! response:	How lovely! A papercraft Terran bird!
context: Suit yourself.\Terran food is most delicious. So many unusual dishes not found on Vers.\Is that optical camouflage, too?\No, Inaho's friend Nina was kind enough to allow me to borrow these.\She thought it might be difficult to walk in a cramped ship in that dress.\Isn't she kind?\Highness, this is for you!\How lovely! A papercraft Terran bird! response:	Thank you, I shall treasure it.
context: Terran food is most delicious. So many unusual dishes not found on Vers.\Is that optical camouflage, too?\No, Inaho's friend Nina was kind enough to allow me to borrow these.\She thought it might be difficult to walk in a cramped ship in that dress.\Isn't she kind?\Highness, this is for you!\How lovely! A papercraft Terran bird!\Thank you, I shall treasure it. response:	That was most thoughtful of you, commoner.
context: Is that optical camouflage, too?\No, Inaho's friend Nina was kind enough to allow me to borrow these.\She thought it might be difficult to walk in a cramped ship in that dress.\Isn't she kind?\Highness, this is for you!\How lovely! A papercraft Terran bird!\Thank you, I shall treasure it.\That was most thoughtful of you, commoner. response:	When there is peace between Earth and Vers,
context: No, Inaho's friend Nina was kind enough to allow me to borrow these.\She thought it might be difficult to walk in a cramped ship in that dress.\Isn't she kind?\Highness, this is for you!\How lovely! A papercraft Terran bird!\Thank you, I shall treasure it.\That was most thoughtful of you, commoner.\When there is peace between Earth and Vers, response:	we shall speak of this to His Imperial Majesty, and-
context: She thought it might be difficult to walk in a cramped ship in that dress.\Isn't she kind?\Highness, this is for you!\How lovely! A papercraft Terran bird!\Thank you, I shall treasure it.\That was most thoughtful of you, commoner.\When there is peace between Earth and Vers,\we shall speak of this to His Imperial Majesty, and- response:	Why?
context: Isn't she kind?\Highness, this is for you!\How lovely! A papercraft Terran bird!\Thank you, I shall treasure it.\That was most thoughtful of you, commoner.\When there is peace between Earth and Vers,\we shall speak of this to His Imperial Majesty, and-\Why? response:	Why did you reveal your identity? Martians are seen as the enemy.
context: Highness, this is for you!\How lovely! A papercraft Terran bird!\Thank you, I shall treasure it.\That was most thoughtful of you, commoner.\When there is peace between Earth and Vers,\we shall speak of this to His Imperial Majesty, and-\Why?\Why did you reveal your identity? Martians are seen as the enemy. response:	How can you be so calm and composed?
context: How lovely! A papercraft Terran bird!\Thank you, I shall treasure it.\That was most thoughtful of you, commoner.\When there is peace between Earth and Vers,\we shall speak of this to His Imperial Majesty, and-\Why?\Why did you reveal your identity? Martians are seen as the enemy.\How can you be so calm and composed? response:	Even though you were betrayed by Martians...
context: Thank you, I shall treasure it.\That was most thoughtful of you, commoner.\When there is peace between Earth and Vers,\we shall speak of this to His Imperial Majesty, and-\Why?\Why did you reveal your identity? Martians are seen as the enemy.\How can you be so calm and composed?\Even though you were betrayed by Martians... response:	You're crazy, lady.
context: That was most thoughtful of you, commoner.\When there is peace between Earth and Vers,\we shall speak of this to His Imperial Majesty, and-\Why?\Why did you reveal your identity? Martians are seen as the enemy.\How can you be so calm and composed?\Even though you were betrayed by Martians...\You're crazy, lady. response:	Mind your tongue! How dare you say such a thing to Her Highness?
context: When there is peace between Earth and Vers,\we shall speak of this to His Imperial Majesty, and-\Why?\Why did you reveal your identity? Martians are seen as the enemy.\How can you be so calm and composed?\Even though you were betrayed by Martians...\You're crazy, lady.\Mind your tongue! How dare you say such a thing to Her Highness? response:	You thought they were your friends...
context: we shall speak of this to His Imperial Majesty, and-\Why?\Why did you reveal your identity? Martians are seen as the enemy.\How can you be so calm and composed?\Even though you were betrayed by Martians...\You're crazy, lady.\Mind your tongue! How dare you say such a thing to Her Highness?\You thought they were your friends... response:	Hey, come back here!
context: Why?\Why did you reveal your identity? Martians are seen as the enemy.\How can you be so calm and composed?\Even though you were betrayed by Martians...\You're crazy, lady.\Mind your tongue! How dare you say such a thing to Her Highness?\You thought they were your friends...\Hey, come back here! response:	This is the problem with Terrans!
context: Why did you reveal your identity? Martians are seen as the enemy.\How can you be so calm and composed?\Even though you were betrayed by Martians...\You're crazy, lady.\Mind your tongue! How dare you say such a thing to Her Highness?\You thought they were your friends...\Hey, come back here!\This is the problem with Terrans! response:	How do you feel?
context: How can you be so calm and composed?\Even though you were betrayed by Martians...\You're crazy, lady.\Mind your tongue! How dare you say such a thing to Her Highness?\You thought they were your friends...\Hey, come back here!\This is the problem with Terrans!\How do you feel? response:	No problem. I'm fine.
context: Even though you were betrayed by Martians...\You're crazy, lady.\Mind your tongue! How dare you say such a thing to Her Highness?\You thought they were your friends...\Hey, come back here!\This is the problem with Terrans!\How do you feel?\No problem. I'm fine. response:	I recreated the scene based on your descriptions, Lt. Marito.
context: You're crazy, lady.\Mind your tongue! How dare you say such a thing to Her Highness?\You thought they were your friends...\Hey, come back here!\This is the problem with Terrans!\How do you feel?\No problem. I'm fine.\I recreated the scene based on your descriptions, Lt. Marito. response:	It ought to be close, but if I got something wrong, please tell me.
context: Mind your tongue! How dare you say such a thing to Her Highness?\You thought they were your friends...\Hey, come back here!\This is the problem with Terrans!\How do you feel?\No problem. I'm fine.\I recreated the scene based on your descriptions, Lt. Marito.\It ought to be close, but if I got something wrong, please tell me. response:	Is this really going to help?
context: You thought they were your friends...\Hey, come back here!\This is the problem with Terrans!\How do you feel?\No problem. I'm fine.\I recreated the scene based on your descriptions, Lt. Marito.\It ought to be close, but if I got something wrong, please tell me.\Is this really going to help? response:	PTSD...
context: Hey, come back here!\This is the problem with Terrans!\How do you feel?\No problem. I'm fine.\I recreated the scene based on your descriptions, Lt. Marito.\It ought to be close, but if I got something wrong, please tell me.\Is this really going to help?\PTSD... response:	One treatment for post-traumatic stress disorder is to
context: This is the problem with Terrans!\How do you feel?\No problem. I'm fine.\I recreated the scene based on your descriptions, Lt. Marito.\It ought to be close, but if I got something wrong, please tell me.\Is this really going to help?\PTSD...\One treatment for post-traumatic stress disorder is to response:	recreate the incident that caused it and to relive it again and again.
context: How do you feel?\No problem. I'm fine.\I recreated the scene based on your descriptions, Lt. Marito.\It ought to be close, but if I got something wrong, please tell me.\Is this really going to help?\PTSD...\One treatment for post-traumatic stress disorder is to\recreate the incident that caused it and to relive it again and again. response:	Relive a terrifying experience often enough and you get acclimated to it, huh?
context: No problem. I'm fine.\I recreated the scene based on your descriptions, Lt. Marito.\It ought to be close, but if I got something wrong, please tell me.\Is this really going to help?\PTSD...\One treatment for post-traumatic stress disorder is to\recreate the incident that caused it and to relive it again and again.\Relive a terrifying experience often enough and you get acclimated to it, huh? response:	We'll just have to see.
context: I recreated the scene based on your descriptions, Lt. Marito.\It ought to be close, but if I got something wrong, please tell me.\Is this really going to help?\PTSD...\One treatment for post-traumatic stress disorder is to\recreate the incident that caused it and to relive it again and again.\Relive a terrifying experience often enough and you get acclimated to it, huh?\We'll just have to see. response:	Let's begin.
context: It ought to be close, but if I got something wrong, please tell me.\Is this really going to help?\PTSD...\One treatment for post-traumatic stress disorder is to\recreate the incident that caused it and to relive it again and again.\Relive a terrifying experience often enough and you get acclimated to it, huh?\We'll just have to see.\Let's begin. response:	Fine, whatever...
context: Is this really going to help?\PTSD...\One treatment for post-traumatic stress disorder is to\recreate the incident that caused it and to relive it again and again.\Relive a terrifying experience often enough and you get acclimated to it, huh?\We'll just have to see.\Let's begin.\Fine, whatever... response:	All right, here we go.
context: PTSD...\One treatment for post-traumatic stress disorder is to\recreate the incident that caused it and to relive it again and again.\Relive a terrifying experience often enough and you get acclimated to it, huh?\We'll just have to see.\Let's begin.\Fine, whatever...\All right, here we go. response:	Oh, come on... Even games are more realistic than this these days.
context: One treatment for post-traumatic stress disorder is to\recreate the incident that caused it and to relive it again and again.\Relive a terrifying experience often enough and you get acclimated to it, huh?\We'll just have to see.\Let's begin.\Fine, whatever...\All right, here we go.\Oh, come on... Even games are more realistic than this these days. response:	Oh, are they? But we aren't playing a game.
context: recreate the incident that caused it and to relive it again and again.\Relive a terrifying experience often enough and you get acclimated to it, huh?\We'll just have to see.\Let's begin.\Fine, whatever...\All right, here we go.\Oh, come on... Even games are more realistic than this these days.\Oh, are they? But we aren't playing a game. response:	Uh, this street is flipped.
context: Relive a terrifying experience often enough and you get acclimated to it, huh?\We'll just have to see.\Let's begin.\Fine, whatever...\All right, here we go.\Oh, come on... Even games are more realistic than this these days.\Oh, are they? But we aren't playing a game.\Uh, this street is flipped. response:	I'll fix that for next time.
context: We'll just have to see.\Let's begin.\Fine, whatever...\All right, here we go.\Oh, come on... Even games are more realistic than this these days.\Oh, are they? But we aren't playing a game.\Uh, this street is flipped.\I'll fix that for next time. response:	What's that down there?
context: Let's begin.\Fine, whatever...\All right, here we go.\Oh, come on... Even games are more realistic than this these days.\Oh, are they? But we aren't playing a game.\Uh, this street is flipped.\I'll fix that for next time.\What's that down there? response:	That's Humeray, your war buddy.
context: Fine, whatever...\All right, here we go.\Oh, come on... Even games are more realistic than this these days.\Oh, are they? But we aren't playing a game.\Uh, this street is flipped.\I'll fix that for next time.\What's that down there?\That's Humeray, your war buddy. response:	Give me a break. This blocky guy ain't what's bothering me!
context: All right, here we go.\Oh, come on... Even games are more realistic than this these days.\Oh, are they? But we aren't playing a game.\Uh, this street is flipped.\I'll fix that for next time.\What's that down there?\That's Humeray, your war buddy.\Give me a break. This blocky guy ain't what's bothering me! response:	Trust me. Just be quiet and watch.
context: Oh, come on... Even games are more realistic than this these days.\Oh, are they? But we aren't playing a game.\Uh, this street is flipped.\I'll fix that for next time.\What's that down there?\That's Humeray, your war buddy.\Give me a break. This blocky guy ain't what's bothering me!\Trust me. Just be quiet and watch. response:	Come off it... Are you messing with me?
context: Oh, are they? But we aren't playing a game.\Uh, this street is flipped.\I'll fix that for next time.\What's that down there?\That's Humeray, your war buddy.\Give me a break. This blocky guy ain't what's bothering me!\Trust me. Just be quiet and watch.\Come off it... Are you messing with me? response:	What the hell?! That's-
context: Uh, this street is flipped.\I'll fix that for next time.\What's that down there?\That's Humeray, your war buddy.\Give me a break. This blocky guy ain't what's bothering me!\Trust me. Just be quiet and watch.\Come off it... Are you messing with me?\What the hell?! That's- response:	Marito!
context: I'll fix that for next time.\What's that down there?\That's Humeray, your war buddy.\Give me a break. This blocky guy ain't what's bothering me!\Trust me. Just be quiet and watch.\Come off it... Are you messing with me?\What the hell?! That's-\Marito! response:	What the hell is that?! Nobody said there was something like that here!
context: What's that down there?\That's Humeray, your war buddy.\Give me a break. This blocky guy ain't what's bothering me!\Trust me. Just be quiet and watch.\Come off it... Are you messing with me?\What the hell?! That's-\Marito!\What the hell is that?! Nobody said there was something like that here! response:	Don't be scared! We outnumber them!
context: That's Humeray, your war buddy.\Give me a break. This blocky guy ain't what's bothering me!\Trust me. Just be quiet and watch.\Come off it... Are you messing with me?\What the hell?! That's-\Marito!\What the hell is that?! Nobody said there was something like that here!\Don't be scared! We outnumber them! response:	Platoon Commander to all tanks! Piecemeal attack!
context: Give me a break. This blocky guy ain't what's bothering me!\Trust me. Just be quiet and watch.\Come off it... Are you messing with me?\What the hell?! That's-\Marito!\What the hell is that?! Nobody said there was something like that here!\Don't be scared! We outnumber them!\Platoon Commander to all tanks! Piecemeal attack! response:	What the...?
context: Trust me. Just be quiet and watch.\Come off it... Are you messing with me?\What the hell?! That's-\Marito!\What the hell is that?! Nobody said there was something like that here!\Don't be scared! We outnumber them!\Platoon Commander to all tanks! Piecemeal attack!\What the...? response:	Marito!
context: Come off it... Are you messing with me?\What the hell?! That's-\Marito!\What the hell is that?! Nobody said there was something like that here!\Don't be scared! We outnumber them!\Platoon Commander to all tanks! Piecemeal attack!\What the...?\Marito! response:	That thing's doing this?
context: What the hell?! That's-\Marito!\What the hell is that?! Nobody said there was something like that here!\Don't be scared! We outnumber them!\Platoon Commander to all tanks! Piecemeal attack!\What the...?\Marito!\That thing's doing this? response:	It's flying?!
context: Marito!\What the hell is that?! Nobody said there was something like that here!\Don't be scared! We outnumber them!\Platoon Commander to all tanks! Piecemeal attack!\What the...?\Marito!\That thing's doing this?\It's flying?! response:	Our shells, they-
context: What the hell is that?! Nobody said there was something like that here!\Don't be scared! We outnumber them!\Platoon Commander to all tanks! Piecemeal attack!\What the...?\Marito!\That thing's doing this?\It's flying?!\Our shells, they- response:	Marito!
context: Don't be scared! We outnumber them!\Platoon Commander to all tanks! Piecemeal attack!\What the...?\Marito!\That thing's doing this?\It's flying?!\Our shells, they-\Marito! response:	Anti-gravity? No...
context: Platoon Commander to all tanks! Piecemeal attack!\What the...?\Marito!\That thing's doing this?\It's flying?!\Our shells, they-\Marito!\Anti-gravity? No... response:	This tank is a lost cause. We're bailing, Humeray!
context: What the...?\Marito!\That thing's doing this?\It's flying?!\Our shells, they-\Marito!\Anti-gravity? No...\This tank is a lost cause. We're bailing, Humeray! response:	I can't...
context: Marito!\That thing's doing this?\It's flying?!\Our shells, they-\Marito!\Anti-gravity? No...\This tank is a lost cause. We're bailing, Humeray!\I can't... response:	My legs are pinned!
context: That thing's doing this?\It's flying?!\Our shells, they-\Marito!\Anti-gravity? No...\This tank is a lost cause. We're bailing, Humeray!\I can't...\My legs are pinned! response:	Fire!
context: It's flying?!\Our shells, they-\Marito!\Anti-gravity? No...\This tank is a lost cause. We're bailing, Humeray!\I can't...\My legs are pinned!\Fire! response:	Humeray!
context: Our shells, they-\Marito!\Anti-gravity? No...\This tank is a lost cause. We're bailing, Humeray!\I can't...\My legs are pinned!\Fire!\Humeray! response:	Marito! Get me out, Marito!
context: Marito!\Anti-gravity? No...\This tank is a lost cause. We're bailing, Humeray!\I can't...\My legs are pinned!\Fire!\Humeray!\Marito! Get me out, Marito! response:	Marito! Marito! Hurry, Marito!
context: Anti-gravity? No...\This tank is a lost cause. We're bailing, Humeray!\I can't...\My legs are pinned!\Fire!\Humeray!\Marito! Get me out, Marito!\Marito! Marito! Hurry, Marito! response:	Marito! Shoot me!
context: This tank is a lost cause. We're bailing, Humeray!\I can't...\My legs are pinned!\Fire!\Humeray!\Marito! Get me out, Marito!\Marito! Marito! Hurry, Marito!\Marito! Shoot me! response:	Please! Marito!
context: I can't...\My legs are pinned!\Fire!\Humeray!\Marito! Get me out, Marito!\Marito! Marito! Hurry, Marito!\Marito! Shoot me!\Please! Marito! response:	Hurry! Hurry!
context: My legs are pinned!\Fire!\Humeray!\Marito! Get me out, Marito!\Marito! Marito! Hurry, Marito!\Marito! Shoot me!\Please! Marito!\Hurry! Hurry! response:	Shoot me! Marito!
context: Fire!\Humeray!\Marito! Get me out, Marito!\Marito! Marito! Hurry, Marito!\Marito! Shoot me!\Please! Marito!\Hurry! Hurry!\Shoot me! Marito! response:	Lieutenant! Lt. Marito!
context: Humeray!\Marito! Get me out, Marito!\Marito! Marito! Hurry, Marito!\Marito! Shoot me!\Please! Marito!\Hurry! Hurry!\Shoot me! Marito!\Lieutenant! Lt. Marito! response:	Are you all right, Lieutenant?
context: Marito! Get me out, Marito!\Marito! Marito! Hurry, Marito!\Marito! Shoot me!\Please! Marito!\Hurry! Hurry!\Shoot me! Marito!\Lieutenant! Lt. Marito!\Are you all right, Lieutenant? response:	Everything you saw is in the past.
context: Marito! Marito! Hurry, Marito!\Marito! Shoot me!\Please! Marito!\Hurry! Hurry!\Shoot me! Marito!\Lieutenant! Lt. Marito!\Are you all right, Lieutenant?\Everything you saw is in the past. response:	You're safe now. This isn't Tanegashima.
context: Marito! Shoot me!\Please! Marito!\Hurry! Hurry!\Shoot me! Marito!\Lieutenant! Lt. Marito!\Are you all right, Lieutenant?\Everything you saw is in the past.\You're safe now. This isn't Tanegashima. response:	Like hell we are... This is a battlefield now, too.
context: Please! Marito!\Hurry! Hurry!\Shoot me! Marito!\Lieutenant! Lt. Marito!\Are you all right, Lieutenant?\Everything you saw is in the past.\You're safe now. This isn't Tanegashima.\Like hell we are... This is a battlefield now, too. response:	I think that's enough for today.
context: Hurry! Hurry!\Shoot me! Marito!\Lieutenant! Lt. Marito!\Are you all right, Lieutenant?\Everything you saw is in the past.\You're safe now. This isn't Tanegashima.\Like hell we are... This is a battlefield now, too.\I think that's enough for today. response:	Talk about pathetic... Being scared of that blocky thing.
context: Shoot me! Marito!\Lieutenant! Lt. Marito!\Are you all right, Lieutenant?\Everything you saw is in the past.\You're safe now. This isn't Tanegashima.\Like hell we are... This is a battlefield now, too.\I think that's enough for today.\Talk about pathetic... Being scared of that blocky thing. response:	No, that isn't what you are afraid of.
context: Lieutenant! Lt. Marito!\Are you all right, Lieutenant?\Everything you saw is in the past.\You're safe now. This isn't Tanegashima.\Like hell we are... This is a battlefield now, too.\I think that's enough for today.\Talk about pathetic... Being scared of that blocky thing.\No, that isn't what you are afraid of. response:	It's the fact that you killed your friend.
context: Are you all right, Lieutenant?\Everything you saw is in the past.\You're safe now. This isn't Tanegashima.\Like hell we are... This is a battlefield now, too.\I think that's enough for today.\Talk about pathetic... Being scared of that blocky thing.\No, that isn't what you are afraid of.\It's the fact that you killed your friend. response:	This is crazy, this is crazy, this is crazy...
context: Everything you saw is in the past.\You're safe now. This isn't Tanegashima.\Like hell we are... This is a battlefield now, too.\I think that's enough for today.\Talk about pathetic... Being scared of that blocky thing.\No, that isn't what you are afraid of.\It's the fact that you killed your friend.\This is crazy, this is crazy, this is crazy... response:	This is so crazy!
context: You're safe now. This isn't Tanegashima.\Like hell we are... This is a battlefield now, too.\I think that's enough for today.\Talk about pathetic... Being scared of that blocky thing.\No, that isn't what you are afraid of.\It's the fact that you killed your friend.\This is crazy, this is crazy, this is crazy...\This is so crazy! response:	Why did she reveal her identity? Why is she so calm?
context: Like hell we are... This is a battlefield now, too.\I think that's enough for today.\Talk about pathetic... Being scared of that blocky thing.\No, that isn't what you are afraid of.\It's the fact that you killed your friend.\This is crazy, this is crazy, this is crazy...\This is so crazy!\Why did she reveal her identity? Why is she so calm? response:	Why? Why? Why?
context: I think that's enough for today.\Talk about pathetic... Being scared of that blocky thing.\No, that isn't what you are afraid of.\It's the fact that you killed your friend.\This is crazy, this is crazy, this is crazy...\This is so crazy!\Why did she reveal her identity? Why is she so calm?\Why? Why? Why? response:	Why... is she...
context: Talk about pathetic... Being scared of that blocky thing.\No, that isn't what you are afraid of.\It's the fact that you killed your friend.\This is crazy, this is crazy, this is crazy...\This is so crazy!\Why did she reveal her identity? Why is she so calm?\Why? Why? Why?\Why... is she... response:	Why... am I...
context: No, that isn't what you are afraid of.\It's the fact that you killed your friend.\This is crazy, this is crazy, this is crazy...\This is so crazy!\Why did she reveal her identity? Why is she so calm?\Why? Why? Why?\Why... is she...\Why... am I... response:	What is the matter? Not hungry?
context: It's the fact that you killed your friend.\This is crazy, this is crazy, this is crazy...\This is so crazy!\Why did she reveal her identity? Why is she so calm?\Why? Why? Why?\Why... is she...\Why... am I...\What is the matter? Not hungry? response:	Do not worry, it is not poisoned.
context: This is crazy, this is crazy, this is crazy...\This is so crazy!\Why did she reveal her identity? Why is she so calm?\Why? Why? Why?\Why... is she...\Why... am I...\What is the matter? Not hungry?\Do not worry, it is not poisoned. response:	Had I wished to kill you, I would have done so long ago.
context: This is so crazy!\Why did she reveal her identity? Why is she so calm?\Why? Why? Why?\Why... is she...\Why... am I...\What is the matter? Not hungry?\Do not worry, it is not poisoned.\Had I wished to kill you, I would have done so long ago. response:	Milord...
context: Why did she reveal her identity? Why is she so calm?\Why? Why? Why?\Why... is she...\Why... am I...\What is the matter? Not hungry?\Do not worry, it is not poisoned.\Had I wished to kill you, I would have done so long ago.\Milord... response:	Yes?
