context: I'm Sunakawa Ai, response:	a college freshman.
context: Growing Child\Yeah, the creepy one.\I was tall and skinny,\so guys started saying I looked like the statue,\and gave me the nickname Growing Statue.\It did a number on my self-confidence as a girl.\But when I was in sixth grade,\Takeo, who was in third grade at the time... response:	Takeo, you're done with practice?
context: Yeah, the creepy one.\I was tall and skinny,\so guys started saying I looked like the statue,\and gave me the nickname Growing Statue.\It did a number on my self-confidence as a girl.\But when I was in sixth grade,\Takeo, who was in third grade at the time...\Takeo, you're done with practice? response:	Yeah.
context: I was tall and skinny,\so guys started saying I looked like the statue,\and gave me the nickname Growing Statue.\It did a number on my self-confidence as a girl.\But when I was in sixth grade,\Takeo, who was in third grade at the time...\Takeo, you're done with practice?\Yeah. response:	You can have half.
context: so guys started saying I looked like the statue,\and gave me the nickname Growing Statue.\It did a number on my self-confidence as a girl.\But when I was in sixth grade,\Takeo, who was in third grade at the time...\Takeo, you're done with practice?\Yeah.\You can have half. response:	You must be thirsty.
context: and gave me the nickname Growing Statue.\It did a number on my self-confidence as a girl.\But when I was in sixth grade,\Takeo, who was in third grade at the time...\Takeo, you're done with practice?\Yeah.\You can have half.\You must be thirsty. response:	You remind me of something.
context: It did a number on my self-confidence as a girl.\But when I was in sixth grade,\Takeo, who was in third grade at the time...\Takeo, you're done with practice?\Yeah.\You can have half.\You must be thirsty.\You remind me of something. response:	Yeah, the statue, right?
context: But when I was in sixth grade,\Takeo, who was in third grade at the time...\Takeo, you're done with practice?\Yeah.\You can have half.\You must be thirsty.\You remind me of something.\Yeah, the statue, right? response:	Nope.
context: Takeo, who was in third grade at the time...\Takeo, you're done with practice?\Yeah.\You can have half.\You must be thirsty.\You remind me of something.\Yeah, the statue, right?\Nope. response:	It's that thing in the flower shop...
context: Takeo, you're done with practice?\Yeah.\You can have half.\You must be thirsty.\You remind me of something.\Yeah, the statue, right?\Nope.\It's that thing in the flower shop... response:	I don't know what it's called,
context: Yeah.\You can have half.\You must be thirsty.\You remind me of something.\Yeah, the statue, right?\Nope.\It's that thing in the flower shop...\I don't know what it's called, response:	but you remind me of that flower.
context: You can have half.\You must be thirsty.\You remind me of something.\Yeah, the statue, right?\Nope.\It's that thing in the flower shop...\I don't know what it's called,\but you remind me of that flower. response:	Huh?
context: You must be thirsty.\You remind me of something.\Yeah, the statue, right?\Nope.\It's that thing in the flower shop...\I don't know what it's called,\but you remind me of that flower.\Huh? response:	I'm that pretty?
context: You remind me of something.\Yeah, the statue, right?\Nope.\It's that thing in the flower shop...\I don't know what it's called,\but you remind me of that flower.\Huh?\I'm that pretty? response:	Yeah.
context: Yeah, the statue, right?\Nope.\It's that thing in the flower shop...\I don't know what it's called,\but you remind me of that flower.\Huh?\I'm that pretty?\Yeah. response:	I'm that pretty?
context: Nope.\It's that thing in the flower shop...\I don't know what it's called,\but you remind me of that flower.\Huh?\I'm that pretty?\Yeah.\I'm that pretty? response:	That's it?
context: It's that thing in the flower shop...\I don't know what it's called,\but you remind me of that flower.\Huh?\I'm that pretty?\Yeah.\I'm that pretty?\That's it? response:	That's it!
context: I don't know what it's called,\but you remind me of that flower.\Huh?\I'm that pretty?\Yeah.\I'm that pretty?\That's it?\That's it! response:	It might seem like nothing special to others, but it's special to you!
context: but you remind me of that flower.\Huh?\I'm that pretty?\Yeah.\I'm that pretty?\That's it?\That's it!\It might seem like nothing special to others, but it's special to you! response:	That's what it's like to fall in love.
context: Huh?\I'm that pretty?\Yeah.\I'm that pretty?\That's it?\That's it!\It might seem like nothing special to others, but it's special to you!\That's what it's like to fall in love. response:	Why didn't you tell him?
context: I'm that pretty?\Yeah.\I'm that pretty?\That's it?\That's it!\It might seem like nothing special to others, but it's special to you!\That's what it's like to fall in love.\Why didn't you tell him? response:	How could I?!
context: Yeah.\I'm that pretty?\That's it?\That's it!\It might seem like nothing special to others, but it's special to you!\That's what it's like to fall in love.\Why didn't you tell him?\How could I?! response:	We were three grades apart in elementary school!
context: I'm that pretty?\That's it?\That's it!\It might seem like nothing special to others, but it's special to you!\That's what it's like to fall in love.\Why didn't you tell him?\How could I?!\We were three grades apart in elementary school! response:	When I was a first-year in high school,
context: That's it?\That's it!\It might seem like nothing special to others, but it's special to you!\That's what it's like to fall in love.\Why didn't you tell him?\How could I?!\We were three grades apart in elementary school!\When I was a first-year in high school, response:	he was a first-year in junior high!
context: That's it!\It might seem like nothing special to others, but it's special to you!\That's what it's like to fall in love.\Why didn't you tell him?\How could I?!\We were three grades apart in elementary school!\When I was a first-year in high school,\he was a first-year in junior high! response:	Junior high!
context: It might seem like nothing special to others, but it's special to you!\That's what it's like to fall in love.\Why didn't you tell him?\How could I?!\We were three grades apart in elementary school!\When I was a first-year in high school,\he was a first-year in junior high!\Junior high! response:	I never thought he'd start dating someone!
context: That's what it's like to fall in love.\Why didn't you tell him?\How could I?!\We were three grades apart in elementary school!\When I was a first-year in high school,\he was a first-year in junior high!\Junior high!\I never thought he'd start dating someone! response:	Of course he would.
context: Why didn't you tell him?\How could I?!\We were three grades apart in elementary school!\When I was a first-year in high school,\he was a first-year in junior high!\Junior high!\I never thought he'd start dating someone!\Of course he would. response:	He's cool.
context: How could I?!\We were three grades apart in elementary school!\When I was a first-year in high school,\he was a first-year in junior high!\Junior high!\I never thought he'd start dating someone!\Of course he would.\He's cool. response:	I know...
context: We were three grades apart in elementary school!\When I was a first-year in high school,\he was a first-year in junior high!\Junior high!\I never thought he'd start dating someone!\Of course he would.\He's cool.\I know... response:	But I was hoping it'd at least take him until college!
context: When I was a first-year in high school,\he was a first-year in junior high!\Junior high!\I never thought he'd start dating someone!\Of course he would.\He's cool.\I know...\But I was hoping it'd at least take him until college! response:	But age difference?
context: he was a first-year in junior high!\Junior high!\I never thought he'd start dating someone!\Of course he would.\He's cool.\I know...\But I was hoping it'd at least take him until college!\But age difference? response:	You just said he isn't the type
context: Junior high!\I never thought he'd start dating someone!\Of course he would.\He's cool.\I know...\But I was hoping it'd at least take him until college!\But age difference?\You just said he isn't the type response:	to worry about something like that.
context: I never thought he'd start dating someone!\Of course he would.\He's cool.\I know...\But I was hoping it'd at least take him until college!\But age difference?\You just said he isn't the type\to worry about something like that. response:	Let's go home.
context: Of course he would.\He's cool.\I know...\But I was hoping it'd at least take him until college!\But age difference?\You just said he isn't the type\to worry about something like that.\Let's go home. response:	What are you doing, Takeo?
context: He's cool.\I know...\But I was hoping it'd at least take him until college!\But age difference?\You just said he isn't the type\to worry about something like that.\Let's go home.\What are you doing, Takeo? response:	Oh, hey.
context: I know...\But I was hoping it'd at least take him until college!\But age difference?\You just said he isn't the type\to worry about something like that.\Let's go home.\What are you doing, Takeo?\Oh, hey. response:	The cat was having trouble getting out of a tree.
context: But I was hoping it'd at least take him until college!\But age difference?\You just said he isn't the type\to worry about something like that.\Let's go home.\What are you doing, Takeo?\Oh, hey.\The cat was having trouble getting out of a tree. response:	Yamato-san's headed for your place.
context: But age difference?\You just said he isn't the type\to worry about something like that.\Let's go home.\What are you doing, Takeo?\Oh, hey.\The cat was having trouble getting out of a tree.\Yamato-san's headed for your place. response:	She was crying.
context: You just said he isn't the type\to worry about something like that.\Let's go home.\What are you doing, Takeo?\Oh, hey.\The cat was having trouble getting out of a tree.\Yamato-san's headed for your place.\She was crying. response:	Yamato...
context: to worry about something like that.\Let's go home.\What are you doing, Takeo?\Oh, hey.\The cat was having trouble getting out of a tree.\Yamato-san's headed for your place.\She was crying.\Yamato... response:	was crying?
context: Let's go home.\What are you doing, Takeo?\Oh, hey.\The cat was having trouble getting out of a tree.\Yamato-san's headed for your place.\She was crying.\Yamato...\was crying? response:	You know,
context: What are you doing, Takeo?\Oh, hey.\The cat was having trouble getting out of a tree.\Yamato-san's headed for your place.\She was crying.\Yamato...\was crying?\You know, response:	I guess I was trying too hard to hide my feelings.
context: Oh, hey.\The cat was having trouble getting out of a tree.\Yamato-san's headed for your place.\She was crying.\Yamato...\was crying?\You know,\I guess I was trying too hard to hide my feelings. response:	I wasn't trying hard enough to win Takeo over.
context: The cat was having trouble getting out of a tree.\Yamato-san's headed for your place.\She was crying.\Yamato...\was crying?\You know,\I guess I was trying too hard to hide my feelings.\I wasn't trying hard enough to win Takeo over. response:	If I'd told him,
context: Yamato-san's headed for your place.\She was crying.\Yamato...\was crying?\You know,\I guess I was trying too hard to hide my feelings.\I wasn't trying hard enough to win Takeo over.\If I'd told him, response:	maybe he would've run that fast for me, too.
context: She was crying.\Yamato...\was crying?\You know,\I guess I was trying too hard to hide my feelings.\I wasn't trying hard enough to win Takeo over.\If I'd told him,\maybe he would've run that fast for me, too. response:	He would've.
context: Yamato...\was crying?\You know,\I guess I was trying too hard to hide my feelings.\I wasn't trying hard enough to win Takeo over.\If I'd told him,\maybe he would've run that fast for me, too.\He would've. response:	I'm so jealous!
context: was crying?\You know,\I guess I was trying too hard to hide my feelings.\I wasn't trying hard enough to win Takeo over.\If I'd told him,\maybe he would've run that fast for me, too.\He would've.\I'm so jealous! response:	I wish I'd been born a man!
context: You know,\I guess I was trying too hard to hide my feelings.\I wasn't trying hard enough to win Takeo over.\If I'd told him,\maybe he would've run that fast for me, too.\He would've.\I'm so jealous!\I wish I'd been born a man! response:	You're lucky!
context: I guess I was trying too hard to hide my feelings.\I wasn't trying hard enough to win Takeo over.\If I'd told him,\maybe he would've run that fast for me, too.\He would've.\I'm so jealous!\I wish I'd been born a man!\You're lucky! response:	You can stay friends with him forever!
context: I wasn't trying hard enough to win Takeo over.\If I'd told him,\maybe he would've run that fast for me, too.\He would've.\I'm so jealous!\I wish I'd been born a man!\You're lucky!\You can stay friends with him forever! response:	What a pain-in-the-butt sister...
context: If I'd told him,\maybe he would've run that fast for me, too.\He would've.\I'm so jealous!\I wish I'd been born a man!\You're lucky!\You can stay friends with him forever!\What a pain-in-the-butt sister... response:	I'm a fast runner.
context: maybe he would've run that fast for me, too.\He would've.\I'm so jealous!\I wish I'd been born a man!\You're lucky!\You can stay friends with him forever!\What a pain-in-the-butt sister...\I'm a fast runner. response:	Even though I was in the judo club,
context: He would've.\I'm so jealous!\I wish I'd been born a man!\You're lucky!\You can stay friends with him forever!\What a pain-in-the-butt sister...\I'm a fast runner.\Even though I was in the judo club, response:	I came in first three years in a row
context: I'm so jealous!\I wish I'd been born a man!\You're lucky!\You can stay friends with him forever!\What a pain-in-the-butt sister...\I'm a fast runner.\Even though I was in the judo club,\I came in first three years in a row response:	in my junior high school's marathon,
context: I wish I'd been born a man!\You're lucky!\You can stay friends with him forever!\What a pain-in-the-butt sister...\I'm a fast runner.\Even though I was in the judo club,\I came in first three years in a row\in my junior high school's marathon, response:	beating track and field, soccer, and basketball guys.
context: You're lucky!\You can stay friends with him forever!\What a pain-in-the-butt sister...\I'm a fast runner.\Even though I was in the judo club,\I came in first three years in a row\in my junior high school's marathon,\beating track and field, soccer, and basketball guys. response:	I have endurance, too.
context: You can stay friends with him forever!\What a pain-in-the-butt sister...\I'm a fast runner.\Even though I was in the judo club,\I came in first three years in a row\in my junior high school's marathon,\beating track and field, soccer, and basketball guys.\I have endurance, too. response:	I'm glad I'm a fast runner.
context: What a pain-in-the-butt sister...\I'm a fast runner.\Even though I was in the judo club,\I came in first three years in a row\in my junior high school's marathon,\beating track and field, soccer, and basketball guys.\I have endurance, too.\I'm glad I'm a fast runner. response:	I'm glad I can run for a long time.
context: I'm a fast runner.\Even though I was in the judo club,\I came in first three years in a row\in my junior high school's marathon,\beating track and field, soccer, and basketball guys.\I have endurance, too.\I'm glad I'm a fast runner.\I'm glad I can run for a long time. response:	Yamato!
context: Even though I was in the judo club,\I came in first three years in a row\in my junior high school's marathon,\beating track and field, soccer, and basketball guys.\I have endurance, too.\I'm glad I'm a fast runner.\I'm glad I can run for a long time.\Yamato! response:	Takeo-kun?
context: I came in first three years in a row\in my junior high school's marathon,\beating track and field, soccer, and basketball guys.\I have endurance, too.\I'm glad I'm a fast runner.\I'm glad I can run for a long time.\Yamato!\Takeo-kun? response:	Sweat
context: in my junior high school's marathon,\beating track and field, soccer, and basketball guys.\I have endurance, too.\I'm glad I'm a fast runner.\I'm glad I can run for a long time.\Yamato!\Takeo-kun?\Sweat response:	Tears
context: beating track and field, soccer, and basketball guys.\I have endurance, too.\I'm glad I'm a fast runner.\I'm glad I can run for a long time.\Yamato!\Takeo-kun?\Sweat\Tears response:	Suna said you were crying.
context: I have endurance, too.\I'm glad I'm a fast runner.\I'm glad I can run for a long time.\Yamato!\Takeo-kun?\Sweat\Tears\Suna said you were crying. response:	You stopped?
context: I'm glad I'm a fast runner.\I'm glad I can run for a long time.\Yamato!\Takeo-kun?\Sweat\Tears\Suna said you were crying.\You stopped? response:	You ran all the way here for me, Takeo-kun...
context: I'm glad I can run for a long time.\Yamato!\Takeo-kun?\Sweat\Tears\Suna said you were crying.\You stopped?\You ran all the way here for me, Takeo-kun... response:	Yeah.
context: Yamato!\Takeo-kun?\Sweat\Tears\Suna said you were crying.\You stopped?\You ran all the way here for me, Takeo-kun...\Yeah. response:	Yamato,
context: Takeo-kun?\Sweat\Tears\Suna said you were crying.\You stopped?\You ran all the way here for me, Takeo-kun...\Yeah.\Yamato, response:	you've been troubled by something, right?
context: Sweat\Tears\Suna said you were crying.\You stopped?\You ran all the way here for me, Takeo-kun...\Yeah.\Yamato,\you've been troubled by something, right? response:	Tell me!
context: Tears\Suna said you were crying.\You stopped?\You ran all the way here for me, Takeo-kun...\Yeah.\Yamato,\you've been troubled by something, right?\Tell me! response:	Tell me everything you're thinking about.
context: Suna said you were crying.\You stopped?\You ran all the way here for me, Takeo-kun...\Yeah.\Yamato,\you've been troubled by something, right?\Tell me!\Tell me everything you're thinking about. response:	Hit me with all you've got!
context: You stopped?\You ran all the way here for me, Takeo-kun...\Yeah.\Yamato,\you've been troubled by something, right?\Tell me!\Tell me everything you're thinking about.\Hit me with all you've got! response:	I won't keel over, no matter what.
context: You ran all the way here for me, Takeo-kun...\Yeah.\Yamato,\you've been troubled by something, right?\Tell me!\Tell me everything you're thinking about.\Hit me with all you've got!\I won't keel over, no matter what. response:	And laugh!
context: Yeah.\Yamato,\you've been troubled by something, right?\Tell me!\Tell me everything you're thinking about.\Hit me with all you've got!\I won't keel over, no matter what.\And laugh! response:	I love seeing you laugh!
context: Yamato,\you've been troubled by something, right?\Tell me!\Tell me everything you're thinking about.\Hit me with all you've got!\I won't keel over, no matter what.\And laugh!\I love seeing you laugh! response:	Takeo-kun...
context: you've been troubled by something, right?\Tell me!\Tell me everything you're thinking about.\Hit me with all you've got!\I won't keel over, no matter what.\And laugh!\I love seeing you laugh!\Takeo-kun... response:	I want to hold hands with you.
context: Tell me!\Tell me everything you're thinking about.\Hit me with all you've got!\I won't keel over, no matter what.\And laugh!\I love seeing you laugh!\Takeo-kun...\I want to hold hands with you. response:	And sometimes...
context: Tell me everything you're thinking about.\Hit me with all you've got!\I won't keel over, no matter what.\And laugh!\I love seeing you laugh!\Takeo-kun...\I want to hold hands with you.\And sometimes... response:	I do want to snuggle and stuff...
context: Hit me with all you've got!\I won't keel over, no matter what.\And laugh!\I love seeing you laugh!\Takeo-kun...\I want to hold hands with you.\And sometimes...\I do want to snuggle and stuff... response:	I'm sorry I'm not as pure a girl as you thought I was.
context: I won't keel over, no matter what.\And laugh!\I love seeing you laugh!\Takeo-kun...\I want to hold hands with you.\And sometimes...\I do want to snuggle and stuff...\I'm sorry I'm not as pure a girl as you thought I was. response:	Is there anything else you'd like to do?
context: And laugh!\I love seeing you laugh!\Takeo-kun...\I want to hold hands with you.\And sometimes...\I do want to snuggle and stuff...\I'm sorry I'm not as pure a girl as you thought I was.\Is there anything else you'd like to do? response:	M-Maybe I'd like to walk with you like this for a bit.
context: I love seeing you laugh!\Takeo-kun...\I want to hold hands with you.\And sometimes...\I do want to snuggle and stuff...\I'm sorry I'm not as pure a girl as you thought I was.\Is there anything else you'd like to do?\M-Maybe I'd like to walk with you like this for a bit. response:	Okay!
context: Takeo-kun...\I want to hold hands with you.\And sometimes...\I do want to snuggle and stuff...\I'm sorry I'm not as pure a girl as you thought I was.\Is there anything else you'd like to do?\M-Maybe I'd like to walk with you like this for a bit.\Okay! response:	Maybe we can go to a nearby park.
context: I want to hold hands with you.\And sometimes...\I do want to snuggle and stuff...\I'm sorry I'm not as pure a girl as you thought I was.\Is there anything else you'd like to do?\M-Maybe I'd like to walk with you like this for a bit.\Okay!\Maybe we can go to a nearby park. response:	Okay.
context: And sometimes...\I do want to snuggle and stuff...\I'm sorry I'm not as pure a girl as you thought I was.\Is there anything else you'd like to do?\M-Maybe I'd like to walk with you like this for a bit.\Okay!\Maybe we can go to a nearby park.\Okay. response:	I'm so nervous!
context: I do want to snuggle and stuff...\I'm sorry I'm not as pure a girl as you thought I was.\Is there anything else you'd like to do?\M-Maybe I'd like to walk with you like this for a bit.\Okay!\Maybe we can go to a nearby park.\Okay.\I'm so nervous! response:	My hand's sweating a ton!
context: I'm sorry I'm not as pure a girl as you thought I was.\Is there anything else you'd like to do?\M-Maybe I'd like to walk with you like this for a bit.\Okay!\Maybe we can go to a nearby park.\Okay.\I'm so nervous!\My hand's sweating a ton! response:	Me, too.
context: Is there anything else you'd like to do?\M-Maybe I'd like to walk with you like this for a bit.\Okay!\Maybe we can go to a nearby park.\Okay.\I'm so nervous!\My hand's sweating a ton!\Me, too. response:	Yamato,
context: M-Maybe I'd like to walk with you like this for a bit.\Okay!\Maybe we can go to a nearby park.\Okay.\I'm so nervous!\My hand's sweating a ton!\Me, too.\Yamato, response:	am I correct in thinking that
context: Okay!\Maybe we can go to a nearby park.\Okay.\I'm so nervous!\My hand's sweating a ton!\Me, too.\Yamato,\am I correct in thinking that response:	if I want to hold your hand, I don't need to hold back?
context: Maybe we can go to a nearby park.\Okay.\I'm so nervous!\My hand's sweating a ton!\Me, too.\Yamato,\am I correct in thinking that\if I want to hold your hand, I don't need to hold back? response:	Yeah.
context: Okay.\I'm so nervous!\My hand's sweating a ton!\Me, too.\Yamato,\am I correct in thinking that\if I want to hold your hand, I don't need to hold back?\Yeah. response:	Then don't hold back, either, Yamato.
context: I'm so nervous!\My hand's sweating a ton!\Me, too.\Yamato,\am I correct in thinking that\if I want to hold your hand, I don't need to hold back?\Yeah.\Then don't hold back, either, Yamato. response:	Okay.
context: My hand's sweating a ton!\Me, too.\Yamato,\am I correct in thinking that\if I want to hold your hand, I don't need to hold back?\Yeah.\Then don't hold back, either, Yamato.\Okay. response:	She's a nice person.
context: Me, too.\Yamato,\am I correct in thinking that\if I want to hold your hand, I don't need to hold back?\Yeah.\Then don't hold back, either, Yamato.\Okay.\She's a nice person. response:	She's a very nice person!
context: Yamato,\am I correct in thinking that\if I want to hold your hand, I don't need to hold back?\Yeah.\Then don't hold back, either, Yamato.\Okay.\She's a nice person.\She's a very nice person! response:	Then what do you like about Yamato-san, Takeo?
context: am I correct in thinking that\if I want to hold your hand, I don't need to hold back?\Yeah.\Then don't hold back, either, Yamato.\Okay.\She's a nice person.\She's a very nice person!\Then what do you like about Yamato-san, Takeo? response:	She's pure-hearted.
context: if I want to hold your hand, I don't need to hold back?\Yeah.\Then don't hold back, either, Yamato.\Okay.\She's a nice person.\She's a very nice person!\Then what do you like about Yamato-san, Takeo?\She's pure-hearted. response:	Um, Takeo-kun...
context: Yeah.\Then don't hold back, either, Yamato.\Okay.\She's a nice person.\She's a very nice person!\Then what do you like about Yamato-san, Takeo?\She's pure-hearted.\Um, Takeo-kun... response:	Remember how, the day after we met, I went over to your place?
context: Then don't hold back, either, Yamato.\Okay.\She's a nice person.\She's a very nice person!\Then what do you like about Yamato-san, Takeo?\She's pure-hearted.\Um, Takeo-kun...\Remember how, the day after we met, I went over to your place? response:	I know I said I'd asked around at the station,
context: Okay.\She's a nice person.\She's a very nice person!\Then what do you like about Yamato-san, Takeo?\She's pure-hearted.\Um, Takeo-kun...\Remember how, the day after we met, I went over to your place?\I know I said I'd asked around at the station, response:	but I lied.
context: She's a nice person.\She's a very nice person!\Then what do you like about Yamato-san, Takeo?\She's pure-hearted.\Um, Takeo-kun...\Remember how, the day after we met, I went over to your place?\I know I said I'd asked around at the station,\but I lied. response:	Actually, I knew from your uniform that you went to Shuuei High School,
context: She's a very nice person!\Then what do you like about Yamato-san, Takeo?\She's pure-hearted.\Um, Takeo-kun...\Remember how, the day after we met, I went over to your place?\I know I said I'd asked around at the station,\but I lied.\Actually, I knew from your uniform that you went to Shuuei High School, response:	so I went there and asked around.
context: Then what do you like about Yamato-san, Takeo?\She's pure-hearted.\Um, Takeo-kun...\Remember how, the day after we met, I went over to your place?\I know I said I'd asked around at the station,\but I lied.\Actually, I knew from your uniform that you went to Shuuei High School,\so I went there and asked around. response:	And about how I forgot my cell in your room...
context: She's pure-hearted.\Um, Takeo-kun...\Remember how, the day after we met, I went over to your place?\I know I said I'd asked around at the station,\but I lied.\Actually, I knew from your uniform that you went to Shuuei High School,\so I went there and asked around.\And about how I forgot my cell in your room... response:	That was on purpose, too.
context: Um, Takeo-kun...\Remember how, the day after we met, I went over to your place?\I know I said I'd asked around at the station,\but I lied.\Actually, I knew from your uniform that you went to Shuuei High School,\so I went there and asked around.\And about how I forgot my cell in your room...\That was on purpose, too. response:	It was?
context: Remember how, the day after we met, I went over to your place?\I know I said I'd asked around at the station,\but I lied.\Actually, I knew from your uniform that you went to Shuuei High School,\so I went there and asked around.\And about how I forgot my cell in your room...\That was on purpose, too.\It was? response:	I thought I wouldn't see you again if I didn't have a reason, so...
context: I know I said I'd asked around at the station,\but I lied.\Actually, I knew from your uniform that you went to Shuuei High School,\so I went there and asked around.\And about how I forgot my cell in your room...\That was on purpose, too.\It was?\I thought I wouldn't see you again if I didn't have a reason, so... response:	I just had to see you again.
context: but I lied.\Actually, I knew from your uniform that you went to Shuuei High School,\so I went there and asked around.\And about how I forgot my cell in your room...\That was on purpose, too.\It was?\I thought I wouldn't see you again if I didn't have a reason, so...\I just had to see you again. response:	You said I was a good person, but...
context: Actually, I knew from your uniform that you went to Shuuei High School,\so I went there and asked around.\And about how I forgot my cell in your room...\That was on purpose, too.\It was?\I thought I wouldn't see you again if I didn't have a reason, so...\I just had to see you again.\You said I was a good person, but... response:	I'm sorry for lying.
context: so I went there and asked around.\And about how I forgot my cell in your room...\That was on purpose, too.\It was?\I thought I wouldn't see you again if I didn't have a reason, so...\I just had to see you again.\You said I was a good person, but...\I'm sorry for lying. response:	I see...
context: And about how I forgot my cell in your room...\That was on purpose, too.\It was?\I thought I wouldn't see you again if I didn't have a reason, so...\I just had to see you again.\You said I was a good person, but...\I'm sorry for lying.\I see... response:	I had no idea.
context: That was on purpose, too.\It was?\I thought I wouldn't see you again if I didn't have a reason, so...\I just had to see you again.\You said I was a good person, but...\I'm sorry for lying.\I see...\I had no idea. response:	Shuuei
context: It was?\I thought I wouldn't see you again if I didn't have a reason, so...\I just had to see you again.\You said I was a good person, but...\I'm sorry for lying.\I see...\I had no idea.\Shuuei response:	She went through a lot of trouble to see me.
context: I thought I wouldn't see you again if I didn't have a reason, so...\I just had to see you again.\You said I was a good person, but...\I'm sorry for lying.\I see...\I had no idea.\Shuuei\She went through a lot of trouble to see me. response:	Thank you, Yamato.
context: I just had to see you again.\You said I was a good person, but...\I'm sorry for lying.\I see...\I had no idea.\Shuuei\She went through a lot of trouble to see me.\Thank you, Yamato. response:	I'm glad!
context: You said I was a good person, but...\I'm sorry for lying.\I see...\I had no idea.\Shuuei\She went through a lot of trouble to see me.\Thank you, Yamato.\I'm glad! response:	I'm so happy you said that!
context: I'm sorry for lying.\I see...\I had no idea.\Shuuei\She went through a lot of trouble to see me.\Thank you, Yamato.\I'm glad!\I'm so happy you said that! response:	I was scared that if I told you the truth, you wouldn't like me anymore!
context: I see...\I had no idea.\Shuuei\She went through a lot of trouble to see me.\Thank you, Yamato.\I'm glad!\I'm so happy you said that!\I was scared that if I told you the truth, you wouldn't like me anymore! response:	Now that I'm relieved, I guess I'm crying...
context: I had no idea.\Shuuei\She went through a lot of trouble to see me.\Thank you, Yamato.\I'm glad!\I'm so happy you said that!\I was scared that if I told you the truth, you wouldn't like me anymore!\Now that I'm relieved, I guess I'm crying... response:	Sorry.
context: Shuuei\She went through a lot of trouble to see me.\Thank you, Yamato.\I'm glad!\I'm so happy you said that!\I was scared that if I told you the truth, you wouldn't like me anymore!\Now that I'm relieved, I guess I'm crying...\Sorry. response:	Why?
context: She went through a lot of trouble to see me.\Thank you, Yamato.\I'm glad!\I'm so happy you said that!\I was scared that if I told you the truth, you wouldn't like me anymore!\Now that I'm relieved, I guess I'm crying...\Sorry.\Why? response:	When I got out of the fire,
context: Thank you, Yamato.\I'm glad!\I'm so happy you said that!\I was scared that if I told you the truth, you wouldn't like me anymore!\Now that I'm relieved, I guess I'm crying...\Sorry.\Why?\When I got out of the fire, response:	I swore a vow to myself
context: I'm glad!\I'm so happy you said that!\I was scared that if I told you the truth, you wouldn't like me anymore!\Now that I'm relieved, I guess I'm crying...\Sorry.\Why?\When I got out of the fire,\I swore a vow to myself response:	that I'd never make you cry again.
context: I'm so happy you said that!\I was scared that if I told you the truth, you wouldn't like me anymore!\Now that I'm relieved, I guess I'm crying...\Sorry.\Why?\When I got out of the fire,\I swore a vow to myself\that I'd never make you cry again. response:	But I...
context: I was scared that if I told you the truth, you wouldn't like me anymore!\Now that I'm relieved, I guess I'm crying...\Sorry.\Why?\When I got out of the fire,\I swore a vow to myself\that I'd never make you cry again.\But I... response:	This is different!
context: Now that I'm relieved, I guess I'm crying...\Sorry.\Why?\When I got out of the fire,\I swore a vow to myself\that I'd never make you cry again.\But I...\This is different! response:	These are happy tears.
context: Sorry.\Why?\When I got out of the fire,\I swore a vow to myself\that I'd never make you cry again.\But I...\This is different!\These are happy tears. response:	So you can't count them!
context: Why?\When I got out of the fire,\I swore a vow to myself\that I'd never make you cry again.\But I...\This is different!\These are happy tears.\So you can't count them! response:	Think you can go to sleep smiling tonight?
context: When I got out of the fire,\I swore a vow to myself\that I'd never make you cry again.\But I...\This is different!\These are happy tears.\So you can't count them!\Think you can go to sleep smiling tonight? response:	Um...
context: I swore a vow to myself\that I'd never make you cry again.\But I...\This is different!\These are happy tears.\So you can't count them!\Think you can go to sleep smiling tonight?\Um... response:	I'll probably be grinning ear to ear.
context: that I'd never make you cry again.\But I...\This is different!\These are happy tears.\So you can't count them!\Think you can go to sleep smiling tonight?\Um...\I'll probably be grinning ear to ear. response:	I see...
context: But I...\This is different!\These are happy tears.\So you can't count them!\Think you can go to sleep smiling tonight?\Um...\I'll probably be grinning ear to ear.\I see... response:	I'm glad.
context: This is different!\These are happy tears.\So you can't count them!\Think you can go to sleep smiling tonight?\Um...\I'll probably be grinning ear to ear.\I see...\I'm glad. response:	I'm really glad.
context: These are happy tears.\So you can't count them!\Think you can go to sleep smiling tonight?\Um...\I'll probably be grinning ear to ear.\I see...\I'm glad.\I'm really glad. response:	Are you sure you're okay with all this?
context: So you can't count them!\Think you can go to sleep smiling tonight?\Um...\I'll probably be grinning ear to ear.\I see...\I'm glad.\I'm really glad.\Are you sure you're okay with all this? response:	Yeah.
context: Think you can go to sleep smiling tonight?\Um...\I'll probably be grinning ear to ear.\I see...\I'm glad.\I'm really glad.\Are you sure you're okay with all this?\Yeah. response:	You don't have to rush back, you know.
context: Um...\I'll probably be grinning ear to ear.\I see...\I'm glad.\I'm really glad.\Are you sure you're okay with all this?\Yeah.\You don't have to rush back, you know. response:	This was for the best.
context: I'll probably be grinning ear to ear.\I see...\I'm glad.\I'm really glad.\Are you sure you're okay with all this?\Yeah.\You don't have to rush back, you know.\This was for the best. response:	I now know that Takeo's a happy man.
