context: Japonet, Japonet... Japonet's low prices are incredible! response:	Japonet T.V. shopping.
context: Might as well be the art of grilling meat.\The sound made by the oil as it starts gushing out from the meat into the heat,\The harmony produced is like the whisper of fairies.\This is delicious.\Now its gotten bigger due to the oil from the Calvi.\I've burnt the meat again!\In a way, the rice is the protagonist of Yakiniku.\The kishihikari rice from the north goes well with any type of meat. response:	By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.
context: The sound made by the oil as it starts gushing out from the meat into the heat,\The harmony produced is like the whisper of fairies.\This is delicious.\Now its gotten bigger due to the oil from the Calvi.\I've burnt the meat again!\In a way, the rice is the protagonist of Yakiniku.\The kishihikari rice from the north goes well with any type of meat.\By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher. response:	Akita is the best!
context: The harmony produced is like the whisper of fairies.\This is delicious.\Now its gotten bigger due to the oil from the Calvi.\I've burnt the meat again!\In a way, the rice is the protagonist of Yakiniku.\The kishihikari rice from the north goes well with any type of meat.\By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.\Akita is the best! response:	Forgive me Umaru.
context: This is delicious.\Now its gotten bigger due to the oil from the Calvi.\I've burnt the meat again!\In a way, the rice is the protagonist of Yakiniku.\The kishihikari rice from the north goes well with any type of meat.\By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.\Akita is the best!\Forgive me Umaru. response:	Because of me, the meat has...
context: Now its gotten bigger due to the oil from the Calvi.\I've burnt the meat again!\In a way, the rice is the protagonist of Yakiniku.\The kishihikari rice from the north goes well with any type of meat.\By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.\Akita is the best!\Forgive me Umaru.\Because of me, the meat has... response:	Harakiri of the Grilling Magistrate
context: I've burnt the meat again!\In a way, the rice is the protagonist of Yakiniku.\The kishihikari rice from the north goes well with any type of meat.\By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.\Akita is the best!\Forgive me Umaru.\Because of me, the meat has...\Harakiri of the Grilling Magistrate response:	-Here.
context: In a way, the rice is the protagonist of Yakiniku.\The kishihikari rice from the north goes well with any type of meat.\By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.\Akita is the best!\Forgive me Umaru.\Because of me, the meat has...\Harakiri of the Grilling Magistrate\-Here. response:	T-this is?
context: The kishihikari rice from the north goes well with any type of meat.\By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.\Akita is the best!\Forgive me Umaru.\Because of me, the meat has...\Harakiri of the Grilling Magistrate\-Here.\T-this is? response:	Is the Calvi I grilled.
context: By absorbing the meat juice, the sweet rice makes the flavor of meat go one step higher.\Akita is the best!\Forgive me Umaru.\Because of me, the meat has...\Harakiri of the Grilling Magistrate\-Here.\T-this is?\Is the Calvi I grilled. response:	That's for you.
context: Akita is the best!\Forgive me Umaru.\Because of me, the meat has...\Harakiri of the Grilling Magistrate\-Here.\T-this is?\Is the Calvi I grilled.\That's for you. response:	Retirement of the Grilling Magistrate
context: Forgive me Umaru.\Because of me, the meat has...\Harakiri of the Grilling Magistrate\-Here.\T-this is?\Is the Calvi I grilled.\That's for you.\Retirement of the Grilling Magistrate response:	Let's eat then!
context: Because of me, the meat has...\Harakiri of the Grilling Magistrate\-Here.\T-this is?\Is the Calvi I grilled.\That's for you.\Retirement of the Grilling Magistrate\Let's eat then! response:	Delicious!
context: Harakiri of the Grilling Magistrate\-Here.\T-this is?\Is the Calvi I grilled.\That's for you.\Retirement of the Grilling Magistrate\Let's eat then!\Delicious! response:	The meat and rice were great, I ate from the fresh greens,
context: -Here.\T-this is?\Is the Calvi I grilled.\That's for you.\Retirement of the Grilling Magistrate\Let's eat then!\Delicious!\The meat and rice were great, I ate from the fresh greens, response:	To the recently taken out meats.
context: T-this is?\Is the Calvi I grilled.\That's for you.\Retirement of the Grilling Magistrate\Let's eat then!\Delicious!\The meat and rice were great, I ate from the fresh greens,\To the recently taken out meats. response:	I'm so happy.
context: Is the Calvi I grilled.\That's for you.\Retirement of the Grilling Magistrate\Let's eat then!\Delicious!\The meat and rice were great, I ate from the fresh greens,\To the recently taken out meats.\I'm so happy. response:	Well then, I should go.
context: That's for you.\Retirement of the Grilling Magistrate\Let's eat then!\Delicious!\The meat and rice were great, I ate from the fresh greens,\To the recently taken out meats.\I'm so happy.\Well then, I should go. response:	Boy did I ate.
context: Retirement of the Grilling Magistrate\Let's eat then!\Delicious!\The meat and rice were great, I ate from the fresh greens,\To the recently taken out meats.\I'm so happy.\Well then, I should go.\Boy did I ate. response:	Ending the meal with a cola is the best, don't you think Onii-chan?
context: Let's eat then!\Delicious!\The meat and rice were great, I ate from the fresh greens,\To the recently taken out meats.\I'm so happy.\Well then, I should go.\Boy did I ate.\Ending the meal with a cola is the best, don't you think Onii-chan? response:	Is that so.
context: Delicious!\The meat and rice were great, I ate from the fresh greens,\To the recently taken out meats.\I'm so happy.\Well then, I should go.\Boy did I ate.\Ending the meal with a cola is the best, don't you think Onii-chan?\Is that so. response:	The bill please.
context: The meat and rice were great, I ate from the fresh greens,\To the recently taken out meats.\I'm so happy.\Well then, I should go.\Boy did I ate.\Ending the meal with a cola is the best, don't you think Onii-chan?\Is that so.\The bill please. response:	Ebina-chan?
context: To the recently taken out meats.\I'm so happy.\Well then, I should go.\Boy did I ate.\Ending the meal with a cola is the best, don't you think Onii-chan?\Is that so.\The bill please.\Ebina-chan? response:	Umaru-chan whit Onii-san!?
context: I'm so happy.\Well then, I should go.\Boy did I ate.\Ending the meal with a cola is the best, don't you think Onii-chan?\Is that so.\The bill please.\Ebina-chan?\Umaru-chan whit Onii-san!? response:	The grilled meat!
context: Well then, I should go.\Boy did I ate.\Ending the meal with a cola is the best, don't you think Onii-chan?\Is that so.\The bill please.\Ebina-chan?\Umaru-chan whit Onii-san!?\The grilled meat! response:	-Eating yakiniku alone...
context: Boy did I ate.\Ending the meal with a cola is the best, don't you think Onii-chan?\Is that so.\The bill please.\Ebina-chan?\Umaru-chan whit Onii-san!?\The grilled meat!\-Eating yakiniku alone... response:	-She's in another level.
context: Ending the meal with a cola is the best, don't you think Onii-chan?\Is that so.\The bill please.\Ebina-chan?\Umaru-chan whit Onii-san!?\The grilled meat!\-Eating yakiniku alone...\-She's in another level. response:	October
context: Is that so.\The bill please.\Ebina-chan?\Umaru-chan whit Onii-san!?\The grilled meat!\-Eating yakiniku alone...\-She's in another level.\October response:	Ah... today was also a hard day.
context: The bill please.\Ebina-chan?\Umaru-chan whit Onii-san!?\The grilled meat!\-Eating yakiniku alone...\-She's in another level.\October\Ah... today was also a hard day. response:	I'll make a quick dinner...
context: Ebina-chan?\Umaru-chan whit Onii-san!?\The grilled meat!\-Eating yakiniku alone...\-She's in another level.\October\Ah... today was also a hard day.\I'll make a quick dinner... response:	I'm home...
context: Umaru-chan whit Onii-san!?\The grilled meat!\-Eating yakiniku alone...\-She's in another level.\October\Ah... today was also a hard day.\I'll make a quick dinner...\I'm home... response:	W-what the?
context: The grilled meat!\-Eating yakiniku alone...\-She's in another level.\October\Ah... today was also a hard day.\I'll make a quick dinner...\I'm home...\W-what the? response:	Trick or treat!
context: -Eating yakiniku alone...\-She's in another level.\October\Ah... today was also a hard day.\I'll make a quick dinner...\I'm home...\W-what the?\Trick or treat! response:	R-right... Is almost Halloween.
context: -She's in another level.\October\Ah... today was also a hard day.\I'll make a quick dinner...\I'm home...\W-what the?\Trick or treat!\R-right... Is almost Halloween. response:	How good,
context: October\Ah... today was also a hard day.\I'll make a quick dinner...\I'm home...\W-what the?\Trick or treat!\R-right... Is almost Halloween.\How good, response:	I had just gone to buy some candy.
context: Ah... today was also a hard day.\I'll make a quick dinner...\I'm home...\W-what the?\Trick or treat!\R-right... Is almost Halloween.\How good,\I had just gone to buy some candy. response:	Here, happy Halloween!
context: I'll make a quick dinner...\I'm home...\W-what the?\Trick or treat!\R-right... Is almost Halloween.\How good,\I had just gone to buy some candy.\Here, happy Halloween! response:	Don't you have normal candy?
context: I'm home...\W-what the?\Trick or treat!\R-right... Is almost Halloween.\How good,\I had just gone to buy some candy.\Here, happy Halloween!\Don't you have normal candy? response:	Go buy some Onii-chan.
context: W-what the?\Trick or treat!\R-right... Is almost Halloween.\How good,\I had just gone to buy some candy.\Here, happy Halloween!\Don't you have normal candy?\Go buy some Onii-chan. response:	No way, I just got home.
context: Trick or treat!\R-right... Is almost Halloween.\How good,\I had just gone to buy some candy.\Here, happy Halloween!\Don't you have normal candy?\Go buy some Onii-chan.\No way, I just got home. response:	Rice crackers are also good.
context: R-right... Is almost Halloween.\How good,\I had just gone to buy some candy.\Here, happy Halloween!\Don't you have normal candy?\Go buy some Onii-chan.\No way, I just got home.\Rice crackers are also good. response:	The feeling is important too...
context: How good,\I had just gone to buy some candy.\Here, happy Halloween!\Don't you have normal candy?\Go buy some Onii-chan.\No way, I just got home.\Rice crackers are also good.\The feeling is important too... response:	If you don't give me candy...
context: I had just gone to buy some candy.\Here, happy Halloween!\Don't you have normal candy?\Go buy some Onii-chan.\No way, I just got home.\Rice crackers are also good.\The feeling is important too...\If you don't give me candy... response:	I'll play some...
context: Here, happy Halloween!\Don't you have normal candy?\Go buy some Onii-chan.\No way, I just got home.\Rice crackers are also good.\The feeling is important too...\If you don't give me candy...\I'll play some... response:	Yay Kirie-chan, it was a success!
context: Don't you have normal candy?\Go buy some Onii-chan.\No way, I just got home.\Rice crackers are also good.\The feeling is important too...\If you don't give me candy...\I'll play some...\Yay Kirie-chan, it was a success! response:	Yes, master!
context: Go buy some Onii-chan.\No way, I just got home.\Rice crackers are also good.\The feeling is important too...\If you don't give me candy...\I'll play some...\Yay Kirie-chan, it was a success!\Yes, master! response:	Halloween is not about scaring people!
context: No way, I just got home.\Rice crackers are also good.\The feeling is important too...\If you don't give me candy...\I'll play some...\Yay Kirie-chan, it was a success!\Yes, master!\Halloween is not about scaring people! response:	Why are you suddenly celebrating Halloween?
context: Rice crackers are also good.\The feeling is important too...\If you don't give me candy...\I'll play some...\Yay Kirie-chan, it was a success!\Yes, master!\Halloween is not about scaring people!\Why are you suddenly celebrating Halloween? response:	I was playing with Kirie-chan and it came up...
context: The feeling is important too...\If you don't give me candy...\I'll play some...\Yay Kirie-chan, it was a success!\Yes, master!\Halloween is not about scaring people!\Why are you suddenly celebrating Halloween?\I was playing with Kirie-chan and it came up... response:	It's October already...
context: If you don't give me candy...\I'll play some...\Yay Kirie-chan, it was a success!\Yes, master!\Halloween is not about scaring people!\Why are you suddenly celebrating Halloween?\I was playing with Kirie-chan and it came up...\It's October already... response:	Yeah...
context: I'll play some...\Yay Kirie-chan, it was a success!\Yes, master!\Halloween is not about scaring people!\Why are you suddenly celebrating Halloween?\I was playing with Kirie-chan and it came up...\It's October already...\Yeah... response:	Weren't you just eating candy!?
context: Yay Kirie-chan, it was a success!\Yes, master!\Halloween is not about scaring people!\Why are you suddenly celebrating Halloween?\I was playing with Kirie-chan and it came up...\It's October already...\Yeah...\Weren't you just eating candy!? response:	I know is sudden but, when talking about October...?
context: Yes, master!\Halloween is not about scaring people!\Why are you suddenly celebrating Halloween?\I was playing with Kirie-chan and it came up...\It's October already...\Yeah...\Weren't you just eating candy!?\I know is sudden but, when talking about October...? response:	Halloween!
context: Halloween is not about scaring people!\Why are you suddenly celebrating Halloween?\I was playing with Kirie-chan and it came up...\It's October already...\Yeah...\Weren't you just eating candy!?\I know is sudden but, when talking about October...?\Halloween! response:	Ghost!
context: Why are you suddenly celebrating Halloween?\I was playing with Kirie-chan and it came up...\It's October already...\Yeah...\Weren't you just eating candy!?\I know is sudden but, when talking about October...?\Halloween!\Ghost! response:	Candy!
context: I was playing with Kirie-chan and it came up...\It's October already...\Yeah...\Weren't you just eating candy!?\I know is sudden but, when talking about October...?\Halloween!\Ghost!\Candy! response:	What are you supposed to do in Halloween?
context: It's October already...\Yeah...\Weren't you just eating candy!?\I know is sudden but, when talking about October...?\Halloween!\Ghost!\Candy!\What are you supposed to do in Halloween? response:	We could try wearing costumes.
context: Yeah...\Weren't you just eating candy!?\I know is sudden but, when talking about October...?\Halloween!\Ghost!\Candy!\What are you supposed to do in Halloween?\We could try wearing costumes. response:	Costumes?
context: Weren't you just eating candy!?\I know is sudden but, when talking about October...?\Halloween!\Ghost!\Candy!\What are you supposed to do in Halloween?\We could try wearing costumes.\Costumes? response:	If I'm not wrong, around here...
context: I know is sudden but, when talking about October...?\Halloween!\Ghost!\Candy!\What are you supposed to do in Halloween?\We could try wearing costumes.\Costumes?\If I'm not wrong, around here... response:	And that's how we got here.
context: Halloween!\Ghost!\Candy!\What are you supposed to do in Halloween?\We could try wearing costumes.\Costumes?\If I'm not wrong, around here...\And that's how we got here. response:	Ok, I'll go shopping once more.
context: Ghost!\Candy!\What are you supposed to do in Halloween?\We could try wearing costumes.\Costumes?\If I'm not wrong, around here...\And that's how we got here.\Ok, I'll go shopping once more. response:	Speaking of, Onii-chan is not wearing a costume.
context: Candy!\What are you supposed to do in Halloween?\We could try wearing costumes.\Costumes?\If I'm not wrong, around here...\And that's how we got here.\Ok, I'll go shopping once more.\Speaking of, Onii-chan is not wearing a costume. response:	You're right, let's prepare him one.
context: What are you supposed to do in Halloween?\We could try wearing costumes.\Costumes?\If I'm not wrong, around here...\And that's how we got here.\Ok, I'll go shopping once more.\Speaking of, Onii-chan is not wearing a costume.\You're right, let's prepare him one. response:	One hour later
context: We could try wearing costumes.\Costumes?\If I'm not wrong, around here...\And that's how we got here.\Ok, I'll go shopping once more.\Speaking of, Onii-chan is not wearing a costume.\You're right, let's prepare him one.\One hour later response:	A pumpkin gratin!
context: Costumes?\If I'm not wrong, around here...\And that's how we got here.\Ok, I'll go shopping once more.\Speaking of, Onii-chan is not wearing a costume.\You're right, let's prepare him one.\One hour later\A pumpkin gratin! response:	Pumpkin pizza, pumpkin salad.
context: If I'm not wrong, around here...\And that's how we got here.\Ok, I'll go shopping once more.\Speaking of, Onii-chan is not wearing a costume.\You're right, let's prepare him one.\One hour later\A pumpkin gratin!\Pumpkin pizza, pumpkin salad. response:	Pumpkin omelet, pumpkin soup.
context: And that's how we got here.\Ok, I'll go shopping once more.\Speaking of, Onii-chan is not wearing a costume.\You're right, let's prepare him one.\One hour later\A pumpkin gratin!\Pumpkin pizza, pumpkin salad.\Pumpkin omelet, pumpkin soup. response:	Whaa.. Looks really good.
context: Ok, I'll go shopping once more.\Speaking of, Onii-chan is not wearing a costume.\You're right, let's prepare him one.\One hour later\A pumpkin gratin!\Pumpkin pizza, pumpkin salad.\Pumpkin omelet, pumpkin soup.\Whaa.. Looks really good. response:	Halloween is a party to celebrate the October harvest.
context: Speaking of, Onii-chan is not wearing a costume.\You're right, let's prepare him one.\One hour later\A pumpkin gratin!\Pumpkin pizza, pumpkin salad.\Pumpkin omelet, pumpkin soup.\Whaa.. Looks really good.\Halloween is a party to celebrate the October harvest. response:	So we should have some plates made from pumpkin.
context: You're right, let's prepare him one.\One hour later\A pumpkin gratin!\Pumpkin pizza, pumpkin salad.\Pumpkin omelet, pumpkin soup.\Whaa.. Looks really good.\Halloween is a party to celebrate the October harvest.\So we should have some plates made from pumpkin. response:	If you say it wearing that, you look like a chef, Onii-chan
context: One hour later\A pumpkin gratin!\Pumpkin pizza, pumpkin salad.\Pumpkin omelet, pumpkin soup.\Whaa.. Looks really good.\Halloween is a party to celebrate the October harvest.\So we should have some plates made from pumpkin.\If you say it wearing that, you look like a chef, Onii-chan response:	Now that you say it, what's up with this, it has a bit of blood...
context: A pumpkin gratin!\Pumpkin pizza, pumpkin salad.\Pumpkin omelet, pumpkin soup.\Whaa.. Looks really good.\Halloween is a party to celebrate the October harvest.\So we should have some plates made from pumpkin.\If you say it wearing that, you look like a chef, Onii-chan\Now that you say it, what's up with this, it has a bit of blood... response:	You're the chef of the game Delicious Zombie
context: Pumpkin pizza, pumpkin salad.\Pumpkin omelet, pumpkin soup.\Whaa.. Looks really good.\Halloween is a party to celebrate the October harvest.\So we should have some plates made from pumpkin.\If you say it wearing that, you look like a chef, Onii-chan\Now that you say it, what's up with this, it has a bit of blood...\You're the chef of the game Delicious Zombie response:	Don't turn me into a weird cosplayer.
context: Pumpkin omelet, pumpkin soup.\Whaa.. Looks really good.\Halloween is a party to celebrate the October harvest.\So we should have some plates made from pumpkin.\If you say it wearing that, you look like a chef, Onii-chan\Now that you say it, what's up with this, it has a bit of blood...\You're the chef of the game Delicious Zombie\Don't turn me into a weird cosplayer. response:	It suits him...
context: Whaa.. Looks really good.\Halloween is a party to celebrate the October harvest.\So we should have some plates made from pumpkin.\If you say it wearing that, you look like a chef, Onii-chan\Now that you say it, what's up with this, it has a bit of blood...\You're the chef of the game Delicious Zombie\Don't turn me into a weird cosplayer.\It suits him... response:	Oh! It's ready.
context: Halloween is a party to celebrate the October harvest.\So we should have some plates made from pumpkin.\If you say it wearing that, you look like a chef, Onii-chan\Now that you say it, what's up with this, it has a bit of blood...\You're the chef of the game Delicious Zombie\Don't turn me into a weird cosplayer.\It suits him...\Oh! It's ready. response:	The pumpkin pie is ready!
context: So we should have some plates made from pumpkin.\If you say it wearing that, you look like a chef, Onii-chan\Now that you say it, what's up with this, it has a bit of blood...\You're the chef of the game Delicious Zombie\Don't turn me into a weird cosplayer.\It suits him...\Oh! It's ready.\The pumpkin pie is ready! response:	It's really good!
context: If you say it wearing that, you look like a chef, Onii-chan\Now that you say it, what's up with this, it has a bit of blood...\You're the chef of the game Delicious Zombie\Don't turn me into a weird cosplayer.\It suits him...\Oh! It's ready.\The pumpkin pie is ready!\It's really good! response:	It feels as if we were in a different country.
context: Now that you say it, what's up with this, it has a bit of blood...\You're the chef of the game Delicious Zombie\Don't turn me into a weird cosplayer.\It suits him...\Oh! It's ready.\The pumpkin pie is ready!\It's really good!\It feels as if we were in a different country. response:	Kirie-chan, we're already abroad!
context: You're the chef of the game Delicious Zombie\Don't turn me into a weird cosplayer.\It suits him...\Oh! It's ready.\The pumpkin pie is ready!\It's really good!\It feels as if we were in a different country.\Kirie-chan, we're already abroad! response:	Cola
context: Don't turn me into a weird cosplayer.\It suits him...\Oh! It's ready.\The pumpkin pie is ready!\It's really good!\It feels as if we were in a different country.\Kirie-chan, we're already abroad!\Cola response:	Grape Juice
context: It suits him...\Oh! It's ready.\The pumpkin pie is ready!\It's really good!\It feels as if we were in a different country.\Kirie-chan, we're already abroad!\Cola\Grape Juice response:	The smoothness of the bed,
context: Oh! It's ready.\The pumpkin pie is ready!\It's really good!\It feels as if we were in a different country.\Kirie-chan, we're already abroad!\Cola\Grape Juice\The smoothness of the bed, response:	I'd like to spend my life above one.
context: The pumpkin pie is ready!\It's really good!\It feels as if we were in a different country.\Kirie-chan, we're already abroad!\Cola\Grape Juice\The smoothness of the bed,\I'd like to spend my life above one. response:	Ah The classes of tomorrow and the ones the day after...
context: It's really good!\It feels as if we were in a different country.\Kirie-chan, we're already abroad!\Cola\Grape Juice\The smoothness of the bed,\I'd like to spend my life above one.\Ah The classes of tomorrow and the ones the day after... response:	How boring.
context: It feels as if we were in a different country.\Kirie-chan, we're already abroad!\Cola\Grape Juice\The smoothness of the bed,\I'd like to spend my life above one.\Ah The classes of tomorrow and the ones the day after...\How boring. response:	I want to go back to the everyday paradise of summer break.
context: Kirie-chan, we're already abroad!\Cola\Grape Juice\The smoothness of the bed,\I'd like to spend my life above one.\Ah The classes of tomorrow and the ones the day after...\How boring.\I want to go back to the everyday paradise of summer break. response:	Summer break, even now I can't forget you.
context: Cola\Grape Juice\The smoothness of the bed,\I'd like to spend my life above one.\Ah The classes of tomorrow and the ones the day after...\How boring.\I want to go back to the everyday paradise of summer break.\Summer break, even now I can't forget you. response:	Being Fall already, a typhoon should come so I can stay at home.
context: Grape Juice\The smoothness of the bed,\I'd like to spend my life above one.\Ah The classes of tomorrow and the ones the day after...\How boring.\I want to go back to the everyday paradise of summer break.\Summer break, even now I can't forget you.\Being Fall already, a typhoon should come so I can stay at home. response:	The next day
context: The smoothness of the bed,\I'd like to spend my life above one.\Ah The classes of tomorrow and the ones the day after...\How boring.\I want to go back to the everyday paradise of summer break.\Summer break, even now I can't forget you.\Being Fall already, a typhoon should come so I can stay at home.\The next day response:	Wake up Umaru.
context: I'd like to spend my life above one.\Ah The classes of tomorrow and the ones the day after...\How boring.\I want to go back to the everyday paradise of summer break.\Summer break, even now I can't forget you.\Being Fall already, a typhoon should come so I can stay at home.\The next day\Wake up Umaru. response:	It's time to go to school.
context: Ah The classes of tomorrow and the ones the day after...\How boring.\I want to go back to the everyday paradise of summer break.\Summer break, even now I can't forget you.\Being Fall already, a typhoon should come so I can stay at home.\The next day\Wake up Umaru.\It's time to go to school. response:	Eat breakfast and get ready.
context: How boring.\I want to go back to the everyday paradise of summer break.\Summer break, even now I can't forget you.\Being Fall already, a typhoon should come so I can stay at home.\The next day\Wake up Umaru.\It's time to go to school.\Eat breakfast and get ready. response:	I don't want to...
context: I want to go back to the everyday paradise of summer break.\Summer break, even now I can't forget you.\Being Fall already, a typhoon should come so I can stay at home.\The next day\Wake up Umaru.\It's time to go to school.\Eat breakfast and get ready.\I don't want to... response:	I think I might have a fever.
context: Summer break, even now I can't forget you.\Being Fall already, a typhoon should come so I can stay at home.\The next day\Wake up Umaru.\It's time to go to school.\Eat breakfast and get ready.\I don't want to...\I think I might have a fever. response:	It seems like you do.
context: Being Fall already, a typhoon should come so I can stay at home.\The next day\Wake up Umaru.\It's time to go to school.\Eat breakfast and get ready.\I don't want to...\I think I might have a fever.\It seems like you do. response:	I think you should rest today
context: The next day\Wake up Umaru.\It's time to go to school.\Eat breakfast and get ready.\I don't want to...\I think I might have a fever.\It seems like you do.\I think you should rest today response:	Be sure to rest, I'll try to get home early.
context: Wake up Umaru.\It's time to go to school.\Eat breakfast and get ready.\I don't want to...\I think I might have a fever.\It seems like you do.\I think you should rest today\Be sure to rest, I'll try to get home early. response:	Even though you were waiting her, I'm sorry Ebina-chan.
context: It's time to go to school.\Eat breakfast and get ready.\I don't want to...\I think I might have a fever.\It seems like you do.\I think you should rest today\Be sure to rest, I'll try to get home early.\Even though you were waiting her, I'm sorry Ebina-chan. response:	I'm a bit worried about Umaru.
context: Eat breakfast and get ready.\I don't want to...\I think I might have a fever.\It seems like you do.\I think you should rest today\Be sure to rest, I'll try to get home early.\Even though you were waiting her, I'm sorry Ebina-chan.\I'm a bit worried about Umaru. response:	I-I'm running late!
context: I don't want to...\I think I might have a fever.\It seems like you do.\I think you should rest today\Be sure to rest, I'll try to get home early.\Even though you were waiting her, I'm sorry Ebina-chan.\I'm a bit worried about Umaru.\I-I'm running late! response:	This is the first time I fake sick to stay at home.
context: I think I might have a fever.\It seems like you do.\I think you should rest today\Be sure to rest, I'll try to get home early.\Even though you were waiting her, I'm sorry Ebina-chan.\I'm a bit worried about Umaru.\I-I'm running late!\This is the first time I fake sick to stay at home. response:	Secret fever by friction technique
context: It seems like you do.\I think you should rest today\Be sure to rest, I'll try to get home early.\Even though you were waiting her, I'm sorry Ebina-chan.\I'm a bit worried about Umaru.\I-I'm running late!\This is the first time I fake sick to stay at home.\Secret fever by friction technique response:	What should I do?
context: I think you should rest today\Be sure to rest, I'll try to get home early.\Even though you were waiting her, I'm sorry Ebina-chan.\I'm a bit worried about Umaru.\I-I'm running late!\This is the first time I fake sick to stay at home.\Secret fever by friction technique\What should I do? response:	Well... It doesn't matter.
context: Be sure to rest, I'll try to get home early.\Even though you were waiting her, I'm sorry Ebina-chan.\I'm a bit worried about Umaru.\I-I'm running late!\This is the first time I fake sick to stay at home.\Secret fever by friction technique\What should I do?\Well... It doesn't matter. response:	Since I've skipped school I'll make this my day off!
context: Even though you were waiting her, I'm sorry Ebina-chan.\I'm a bit worried about Umaru.\I-I'm running late!\This is the first time I fake sick to stay at home.\Secret fever by friction technique\What should I do?\Well... It doesn't matter.\Since I've skipped school I'll make this my day off! response:	Now that its been decided, I'll slack like never before.
context: I'm a bit worried about Umaru.\I-I'm running late!\This is the first time I fake sick to stay at home.\Secret fever by friction technique\What should I do?\Well... It doesn't matter.\Since I've skipped school I'll make this my day off!\Now that its been decided, I'll slack like never before. response:	I feel like time goes by really slowly.
context: I-I'm running late!\This is the first time I fake sick to stay at home.\Secret fever by friction technique\What should I do?\Well... It doesn't matter.\Since I've skipped school I'll make this my day off!\Now that its been decided, I'll slack like never before.\I feel like time goes by really slowly. response:	Was it really ok to skip school?
context: This is the first time I fake sick to stay at home.\Secret fever by friction technique\What should I do?\Well... It doesn't matter.\Since I've skipped school I'll make this my day off!\Now that its been decided, I'll slack like never before.\I feel like time goes by really slowly.\Was it really ok to skip school? response:	So you lied to me Umaru...
context: Secret fever by friction technique\What should I do?\Well... It doesn't matter.\Since I've skipped school I'll make this my day off!\Now that its been decided, I'll slack like never before.\I feel like time goes by really slowly.\Was it really ok to skip school?\So you lied to me Umaru... response:	You're the worst.
context: What should I do?\Well... It doesn't matter.\Since I've skipped school I'll make this my day off!\Now that its been decided, I'll slack like never before.\I feel like time goes by really slowly.\Was it really ok to skip school?\So you lied to me Umaru...\You're the worst. response:	I shouldn't have called you master.
context: Well... It doesn't matter.\Since I've skipped school I'll make this my day off!\Now that its been decided, I'll slack like never before.\I feel like time goes by really slowly.\Was it really ok to skip school?\So you lied to me Umaru...\You're the worst.\I shouldn't have called you master. response:	Desu-wa
context: Since I've skipped school I'll make this my day off!\Now that its been decided, I'll slack like never before.\I feel like time goes by really slowly.\Was it really ok to skip school?\So you lied to me Umaru...\You're the worst.\I shouldn't have called you master.\Desu-wa response:	Feeling guilty
context: Now that its been decided, I'll slack like never before.\I feel like time goes by really slowly.\Was it really ok to skip school?\So you lied to me Umaru...\You're the worst.\I shouldn't have called you master.\Desu-wa\Feeling guilty response:	Will Umaru-chan be ok?
context: I feel like time goes by really slowly.\Was it really ok to skip school?\So you lied to me Umaru...\You're the worst.\I shouldn't have called you master.\Desu-wa\Feeling guilty\Will Umaru-chan be ok? response:	The third period is about to start.
context: Was it really ok to skip school?\So you lied to me Umaru...\You're the worst.\I shouldn't have called you master.\Desu-wa\Feeling guilty\Will Umaru-chan be ok?\The third period is about to start. response:	Eh? Umaru-chan?
context: So you lied to me Umaru...\You're the worst.\I shouldn't have called you master.\Desu-wa\Feeling guilty\Will Umaru-chan be ok?\The third period is about to start.\Eh? Umaru-chan? response:	Didn't you take the day off?
context: You're the worst.\I shouldn't have called you master.\Desu-wa\Feeling guilty\Will Umaru-chan be ok?\The third period is about to start.\Eh? Umaru-chan?\Didn't you take the day off? response:	I felt better so I decided to come.
context: I shouldn't have called you master.\Desu-wa\Feeling guilty\Will Umaru-chan be ok?\The third period is about to start.\Eh? Umaru-chan?\Didn't you take the day off?\I felt better so I decided to come. response:	-Are you ok Umaru-chan?
context: Desu-wa\Feeling guilty\Will Umaru-chan be ok?\The third period is about to start.\Eh? Umaru-chan?\Didn't you take the day off?\I felt better so I decided to come.\-Are you ok Umaru-chan? response:	-Yeah.
context: Feeling guilty\Will Umaru-chan be ok?\The third period is about to start.\Eh? Umaru-chan?\Didn't you take the day off?\I felt better so I decided to come.\-Are you ok Umaru-chan?\-Yeah. response:	You shouldn't push yourself.
context: Will Umaru-chan be ok?\The third period is about to start.\Eh? Umaru-chan?\Didn't you take the day off?\I felt better so I decided to come.\-Are you ok Umaru-chan?\-Yeah.\You shouldn't push yourself. response:	You did well by showing up, Umaru-san.
context: The third period is about to start.\Eh? Umaru-chan?\Didn't you take the day off?\I felt better so I decided to come.\-Are you ok Umaru-chan?\-Yeah.\You shouldn't push yourself.\You did well by showing up, Umaru-san. response:	We shall have a battle in today's exam.
