context: Touko, I saw response:	what you saw that day.
context: Was that me?\I knew it. I can see something when I'm near you, too.\I've never seen anything so vividly.\And voices, too.\But how do you know that this is from the future?\Because it was for me.\See, when we're together,\we can both see and hear. response:	What do you do, knowing that?
context: I knew it. I can see something when I'm near you, too.\I've never seen anything so vividly.\And voices, too.\But how do you know that this is from the future?\Because it was for me.\See, when we're together,\we can both see and hear.\What do you do, knowing that? response:	Hold on to this number.
context: I've never seen anything so vividly.\And voices, too.\But how do you know that this is from the future?\Because it was for me.\See, when we're together,\we can both see and hear.\What do you do, knowing that?\Hold on to this number. response:	Is this... You're kidding, your landline?
context: And voices, too.\But how do you know that this is from the future?\Because it was for me.\See, when we're together,\we can both see and hear.\What do you do, knowing that?\Hold on to this number.\Is this... You're kidding, your landline? response:	I don't think he's a bad person.
context: But how do you know that this is from the future?\Because it was for me.\See, when we're together,\we can both see and hear.\What do you do, knowing that?\Hold on to this number.\Is this... You're kidding, your landline?\I don't think he's a bad person. response:	But I can't seem to like him.
context: Because it was for me.\See, when we're together,\we can both see and hear.\What do you do, knowing that?\Hold on to this number.\Is this... You're kidding, your landline?\I don't think he's a bad person.\But I can't seem to like him. response:	He didn't pull anything weird, did he?
context: See, when we're together,\we can both see and hear.\What do you do, knowing that?\Hold on to this number.\Is this... You're kidding, your landline?\I don't think he's a bad person.\But I can't seem to like him.\He didn't pull anything weird, did he? response:	Of course not.
context: we can both see and hear.\What do you do, knowing that?\Hold on to this number.\Is this... You're kidding, your landline?\I don't think he's a bad person.\But I can't seem to like him.\He didn't pull anything weird, did he?\Of course not. response:	Okay, then.
context: What do you do, knowing that?\Hold on to this number.\Is this... You're kidding, your landline?\I don't think he's a bad person.\But I can't seem to like him.\He didn't pull anything weird, did he?\Of course not.\Okay, then. response:	If anyone ever caused you grief,
context: Hold on to this number.\Is this... You're kidding, your landline?\I don't think he's a bad person.\But I can't seem to like him.\He didn't pull anything weird, did he?\Of course not.\Okay, then.\If anyone ever caused you grief, response:	I would never forgive them.
context: Is this... You're kidding, your landline?\I don't think he's a bad person.\But I can't seem to like him.\He didn't pull anything weird, did he?\Of course not.\Okay, then.\If anyone ever caused you grief,\I would never forgive them. response:	It's my last chance.
context: I don't think he's a bad person.\But I can't seem to like him.\He didn't pull anything weird, did he?\Of course not.\Okay, then.\If anyone ever caused you grief,\I would never forgive them.\It's my last chance. response:	I gotta let her know.
context: But I can't seem to like him.\He didn't pull anything weird, did he?\Of course not.\Okay, then.\If anyone ever caused you grief,\I would never forgive them.\It's my last chance.\I gotta let her know. response:	Confession
context: He didn't pull anything weird, did he?\Of course not.\Okay, then.\If anyone ever caused you grief,\I would never forgive them.\It's my last chance.\I gotta let her know.\Confession response:	Oh? A man you say?
context: Of course not.\Okay, then.\If anyone ever caused you grief,\I would never forgive them.\It's my last chance.\I gotta let her know.\Confession\Oh? A man you say? response:	I won't tell you not to just barge in,
context: Okay, then.\If anyone ever caused you grief,\I would never forgive them.\It's my last chance.\I gotta let her know.\Confession\Oh? A man you say?\I won't tell you not to just barge in, response:	but can't you at least think about the mood?
context: If anyone ever caused you grief,\I would never forgive them.\It's my last chance.\I gotta let her know.\Confession\Oh? A man you say?\I won't tell you not to just barge in,\but can't you at least think about the mood? response:	Oh yeah, I saw that girl earlier.
context: I would never forgive them.\It's my last chance.\I gotta let her know.\Confession\Oh? A man you say?\I won't tell you not to just barge in,\but can't you at least think about the mood?\Oh yeah, I saw that girl earlier. response:	That one you like.
context: It's my last chance.\I gotta let her know.\Confession\Oh? A man you say?\I won't tell you not to just barge in,\but can't you at least think about the mood?\Oh yeah, I saw that girl earlier.\That one you like. response:	Stop it!
context: I gotta let her know.\Confession\Oh? A man you say?\I won't tell you not to just barge in,\but can't you at least think about the mood?\Oh yeah, I saw that girl earlier.\That one you like.\Stop it! response:	I saw her in the hospital.
context: Confession\Oh? A man you say?\I won't tell you not to just barge in,\but can't you at least think about the mood?\Oh yeah, I saw that girl earlier.\That one you like.\Stop it!\I saw her in the hospital. response:	Is there something wrong?
context: Oh? A man you say?\I won't tell you not to just barge in,\but can't you at least think about the mood?\Oh yeah, I saw that girl earlier.\That one you like.\Stop it!\I saw her in the hospital.\Is there something wrong? response:	She goes there routinely.
context: I won't tell you not to just barge in,\but can't you at least think about the mood?\Oh yeah, I saw that girl earlier.\That one you like.\Stop it!\I saw her in the hospital.\Is there something wrong?\She goes there routinely. response:	Star-crossed with a sickly beauty, huh?
context: but can't you at least think about the mood?\Oh yeah, I saw that girl earlier.\That one you like.\Stop it!\I saw her in the hospital.\Is there something wrong?\She goes there routinely.\Star-crossed with a sickly beauty, huh? response:	Sounds like your thing.
context: Oh yeah, I saw that girl earlier.\That one you like.\Stop it!\I saw her in the hospital.\Is there something wrong?\She goes there routinely.\Star-crossed with a sickly beauty, huh?\Sounds like your thing. response:	No star-crossing us!
context: That one you like.\Stop it!\I saw her in the hospital.\Is there something wrong?\She goes there routinely.\Star-crossed with a sickly beauty, huh?\Sounds like your thing.\No star-crossing us! response:	Hey, we met yesterday.
context: Stop it!\I saw her in the hospital.\Is there something wrong?\She goes there routinely.\Star-crossed with a sickly beauty, huh?\Sounds like your thing.\No star-crossing us!\Hey, we met yesterday. response:	Yo.
context: I saw her in the hospital.\Is there something wrong?\She goes there routinely.\Star-crossed with a sickly beauty, huh?\Sounds like your thing.\No star-crossing us!\Hey, we met yesterday.\Yo. response:	I'm Yukinari Imi.
context: Is there something wrong?\She goes there routinely.\Star-crossed with a sickly beauty, huh?\Sounds like your thing.\No star-crossing us!\Hey, we met yesterday.\Yo.\I'm Yukinari Imi. response:	Kakeru Okikura.
context: She goes there routinely.\Star-crossed with a sickly beauty, huh?\Sounds like your thing.\No star-crossing us!\Hey, we met yesterday.\Yo.\I'm Yukinari Imi.\Kakeru Okikura. response:	That was quick!
context: Star-crossed with a sickly beauty, huh?\Sounds like your thing.\No star-crossing us!\Hey, we met yesterday.\Yo.\I'm Yukinari Imi.\Kakeru Okikura.\That was quick! response:	Hey, are you pacing yourself?
context: Sounds like your thing.\No star-crossing us!\Hey, we met yesterday.\Yo.\I'm Yukinari Imi.\Kakeru Okikura.\That was quick!\Hey, are you pacing yourself? response:	Here, drink up.
context: No star-crossing us!\Hey, we met yesterday.\Yo.\I'm Yukinari Imi.\Kakeru Okikura.\That was quick!\Hey, are you pacing yourself?\Here, drink up. response:	You idiot, don't just ignore me!
context: Hey, we met yesterday.\Yo.\I'm Yukinari Imi.\Kakeru Okikura.\That was quick!\Hey, are you pacing yourself?\Here, drink up.\You idiot, don't just ignore me! response:	You were getting better.
context: Yo.\I'm Yukinari Imi.\Kakeru Okikura.\That was quick!\Hey, are you pacing yourself?\Here, drink up.\You idiot, don't just ignore me!\You were getting better. response:	You really should pace yourself.
context: I'm Yukinari Imi.\Kakeru Okikura.\That was quick!\Hey, are you pacing yourself?\Here, drink up.\You idiot, don't just ignore me!\You were getting better.\You really should pace yourself. response:	Also, Hiro sent everyone an email.
context: Kakeru Okikura.\That was quick!\Hey, are you pacing yourself?\Here, drink up.\You idiot, don't just ignore me!\You were getting better.\You really should pace yourself.\Also, Hiro sent everyone an email. response:	Take a look later.
context: That was quick!\Hey, are you pacing yourself?\Here, drink up.\You idiot, don't just ignore me!\You were getting better.\You really should pace yourself.\Also, Hiro sent everyone an email.\Take a look later. response:	What?
context: Hey, are you pacing yourself?\Here, drink up.\You idiot, don't just ignore me!\You were getting better.\You really should pace yourself.\Also, Hiro sent everyone an email.\Take a look later.\What? response:	I saw David.
context: Here, drink up.\You idiot, don't just ignore me!\You were getting better.\You really should pace yourself.\Also, Hiro sent everyone an email.\Take a look later.\What?\I saw David. response:	David?
context: You idiot, don't just ignore me!\You were getting better.\You really should pace yourself.\Also, Hiro sent everyone an email.\Take a look later.\What?\I saw David.\David? response:	Oh, from yesterday.
context: You were getting better.\You really should pace yourself.\Also, Hiro sent everyone an email.\Take a look later.\What?\I saw David.\David?\Oh, from yesterday. response:	And?
context: You really should pace yourself.\Also, Hiro sent everyone an email.\Take a look later.\What?\I saw David.\David?\Oh, from yesterday.\And? response:	I don't want to lose.
context: Also, Hiro sent everyone an email.\Take a look later.\What?\I saw David.\David?\Oh, from yesterday.\And?\I don't want to lose. response:	What? I couldn't hear.
context: Take a look later.\What?\I saw David.\David?\Oh, from yesterday.\And?\I don't want to lose.\What? I couldn't hear. response:	Hello?
context: What?\I saw David.\David?\Oh, from yesterday.\And?\I don't want to lose.\What? I couldn't hear.\Hello? response:	Touko? It's me.
context: I saw David.\David?\Oh, from yesterday.\And?\I don't want to lose.\What? I couldn't hear.\Hello?\Touko? It's me. response:	Yeah, what's up, Yana-chan?
context: David?\Oh, from yesterday.\And?\I don't want to lose.\What? I couldn't hear.\Hello?\Touko? It's me.\Yeah, what's up, Yana-chan? response:	I wanted to talk about something.
context: Oh, from yesterday.\And?\I don't want to lose.\What? I couldn't hear.\Hello?\Touko? It's me.\Yeah, what's up, Yana-chan?\I wanted to talk about something. response:	Sure.
context: And?\I don't want to lose.\What? I couldn't hear.\Hello?\Touko? It's me.\Yeah, what's up, Yana-chan?\I wanted to talk about something.\Sure. response:	I'm thinking of confessing.
context: I don't want to lose.\What? I couldn't hear.\Hello?\Touko? It's me.\Yeah, what's up, Yana-chan?\I wanted to talk about something.\Sure.\I'm thinking of confessing. response:	Yeah?
context: What? I couldn't hear.\Hello?\Touko? It's me.\Yeah, what's up, Yana-chan?\I wanted to talk about something.\Sure.\I'm thinking of confessing.\Yeah? response:	Do you know who to?
context: Hello?\Touko? It's me.\Yeah, what's up, Yana-chan?\I wanted to talk about something.\Sure.\I'm thinking of confessing.\Yeah?\Do you know who to? response:	Umm...
context: Touko? It's me.\Yeah, what's up, Yana-chan?\I wanted to talk about something.\Sure.\I'm thinking of confessing.\Yeah?\Do you know who to?\Umm... response:	Guess.
context: Yeah, what's up, Yana-chan?\I wanted to talk about something.\Sure.\I'm thinking of confessing.\Yeah?\Do you know who to?\Umm...\Guess. response:	Yuki-kun?
context: I wanted to talk about something.\Sure.\I'm thinking of confessing.\Yeah?\Do you know who to?\Umm...\Guess.\Yuki-kun? response:	You knew, didn't you?
context: Sure.\I'm thinking of confessing.\Yeah?\Do you know who to?\Umm...\Guess.\Yuki-kun?\You knew, didn't you? response:	I always thought you'd be cute together.
context: I'm thinking of confessing.\Yeah?\Do you know who to?\Umm...\Guess.\Yuki-kun?\You knew, didn't you?\I always thought you'd be cute together. response:	Yana-chan and Yuki-kun.
context: Yeah?\Do you know who to?\Umm...\Guess.\Yuki-kun?\You knew, didn't you?\I always thought you'd be cute together.\Yana-chan and Yuki-kun. response:	But I think
context: Do you know who to?\Umm...\Guess.\Yuki-kun?\You knew, didn't you?\I always thought you'd be cute together.\Yana-chan and Yuki-kun.\But I think response:	there's someone he likes.
context: Umm...\Guess.\Yuki-kun?\You knew, didn't you?\I always thought you'd be cute together.\Yana-chan and Yuki-kun.\But I think\there's someone he likes. response:	Yana-chan, of course!
context: Guess.\Yuki-kun?\You knew, didn't you?\I always thought you'd be cute together.\Yana-chan and Yuki-kun.\But I think\there's someone he likes.\Yana-chan, of course! response:	Maybe you should get ready for him to confess to you.
context: Yuki-kun?\You knew, didn't you?\I always thought you'd be cute together.\Yana-chan and Yuki-kun.\But I think\there's someone he likes.\Yana-chan, of course!\Maybe you should get ready for him to confess to you. response:	Say what? Get ready how?
context: You knew, didn't you?\I always thought you'd be cute together.\Yana-chan and Yuki-kun.\But I think\there's someone he likes.\Yana-chan, of course!\Maybe you should get ready for him to confess to you.\Say what? Get ready how? response:	Um...
context: I always thought you'd be cute together.\Yana-chan and Yuki-kun.\But I think\there's someone he likes.\Yana-chan, of course!\Maybe you should get ready for him to confess to you.\Say what? Get ready how?\Um... response:	I don't even know if it's me.
context: Yana-chan and Yuki-kun.\But I think\there's someone he likes.\Yana-chan, of course!\Maybe you should get ready for him to confess to you.\Say what? Get ready how?\Um...\I don't even know if it's me. response:	I swear, it'll be fine.
context: But I think\there's someone he likes.\Yana-chan, of course!\Maybe you should get ready for him to confess to you.\Say what? Get ready how?\Um...\I don't even know if it's me.\I swear, it'll be fine. response:	If it doesn't work out,
context: there's someone he likes.\Yana-chan, of course!\Maybe you should get ready for him to confess to you.\Say what? Get ready how?\Um...\I don't even know if it's me.\I swear, it'll be fine.\If it doesn't work out, response:	I'll have to leave the group.
context: Yana-chan, of course!\Maybe you should get ready for him to confess to you.\Say what? Get ready how?\Um...\I don't even know if it's me.\I swear, it'll be fine.\If it doesn't work out,\I'll have to leave the group. response:	That's not true.
context: Maybe you should get ready for him to confess to you.\Say what? Get ready how?\Um...\I don't even know if it's me.\I swear, it'll be fine.\If it doesn't work out,\I'll have to leave the group.\That's not true. response:	Yeah?
context: Say what? Get ready how?\Um...\I don't even know if it's me.\I swear, it'll be fine.\If it doesn't work out,\I'll have to leave the group.\That's not true.\Yeah? response:	Of course not.
context: Um...\I don't even know if it's me.\I swear, it'll be fine.\If it doesn't work out,\I'll have to leave the group.\That's not true.\Yeah?\Of course not. response:	Take control. You're awesome.
context: I don't even know if it's me.\I swear, it'll be fine.\If it doesn't work out,\I'll have to leave the group.\That's not true.\Yeah?\Of course not.\Take control. You're awesome. response:	I'm rooting for you.
context: I swear, it'll be fine.\If it doesn't work out,\I'll have to leave the group.\That's not true.\Yeah?\Of course not.\Take control. You're awesome.\I'm rooting for you. response:	Thanks, Touko.
context: If it doesn't work out,\I'll have to leave the group.\That's not true.\Yeah?\Of course not.\Take control. You're awesome.\I'm rooting for you.\Thanks, Touko. response:	Hey, bath's open.
context: I'll have to leave the group.\That's not true.\Yeah?\Of course not.\Take control. You're awesome.\I'm rooting for you.\Thanks, Touko.\Hey, bath's open. response:	Bath?
context: That's not true.\Yeah?\Of course not.\Take control. You're awesome.\I'm rooting for you.\Thanks, Touko.\Hey, bath's open.\Bath? response:	No, no, not like they're bathing together.
context: Yeah?\Of course not.\Take control. You're awesome.\I'm rooting for you.\Thanks, Touko.\Hey, bath's open.\Bath?\No, no, not like they're bathing together. response:	How would you get ready to be confessed to?
context: Of course not.\Take control. You're awesome.\I'm rooting for you.\Thanks, Touko.\Hey, bath's open.\Bath?\No, no, not like they're bathing together.\How would you get ready to be confessed to? response:	Onee-chan, dinner!
context: Take control. You're awesome.\I'm rooting for you.\Thanks, Touko.\Hey, bath's open.\Bath?\No, no, not like they're bathing together.\How would you get ready to be confessed to?\Onee-chan, dinner! response:	Okay.
context: I'm rooting for you.\Thanks, Touko.\Hey, bath's open.\Bath?\No, no, not like they're bathing together.\How would you get ready to be confessed to?\Onee-chan, dinner!\Okay. response:	Getting ready...
context: Thanks, Touko.\Hey, bath's open.\Bath?\No, no, not like they're bathing together.\How would you get ready to be confessed to?\Onee-chan, dinner!\Okay.\Getting ready... response:	Let's eat!
context: Hey, bath's open.\Bath?\No, no, not like they're bathing together.\How would you get ready to be confessed to?\Onee-chan, dinner!\Okay.\Getting ready...\Let's eat! response:	Fried chicken, huh?
context: Bath?\No, no, not like they're bathing together.\How would you get ready to be confessed to?\Onee-chan, dinner!\Okay.\Getting ready...\Let's eat!\Fried chicken, huh? response:	I had a craving.
context: No, no, not like they're bathing together.\How would you get ready to be confessed to?\Onee-chan, dinner!\Okay.\Getting ready...\Let's eat!\Fried chicken, huh?\I had a craving. response:	We bought too much chicken. The freezer was packed.
context: How would you get ready to be confessed to?\Onee-chan, dinner!\Okay.\Getting ready...\Let's eat!\Fried chicken, huh?\I had a craving.\We bought too much chicken. The freezer was packed. response:	Onee-chan, you went to Kirinkan today, right?
context: Onee-chan, dinner!\Okay.\Getting ready...\Let's eat!\Fried chicken, huh?\I had a craving.\We bought too much chicken. The freezer was packed.\Onee-chan, you went to Kirinkan today, right? response:	How was it?
context: Okay.\Getting ready...\Let's eat!\Fried chicken, huh?\I had a craving.\We bought too much chicken. The freezer was packed.\Onee-chan, you went to Kirinkan today, right?\How was it? response:	I wish the balcony had a cooler, too.
context: Getting ready...\Let's eat!\Fried chicken, huh?\I had a craving.\We bought too much chicken. The freezer was packed.\Onee-chan, you went to Kirinkan today, right?\How was it?\I wish the balcony had a cooler, too. response:	Kirinkan is a special place
context: Let's eat!\Fried chicken, huh?\I had a craving.\We bought too much chicken. The freezer was packed.\Onee-chan, you went to Kirinkan today, right?\How was it?\I wish the balcony had a cooler, too.\Kirinkan is a special place response:	for us, isn't it, Marie?
context: Fried chicken, huh?\I had a craving.\We bought too much chicken. The freezer was packed.\Onee-chan, you went to Kirinkan today, right?\How was it?\I wish the balcony had a cooler, too.\Kirinkan is a special place\for us, isn't it, Marie? response:	Twenty years ago,
context: I had a craving.\We bought too much chicken. The freezer was packed.\Onee-chan, you went to Kirinkan today, right?\How was it?\I wish the balcony had a cooler, too.\Kirinkan is a special place\for us, isn't it, Marie?\Twenty years ago, response:	Marie was frantically copying the display pieces.
context: We bought too much chicken. The freezer was packed.\Onee-chan, you went to Kirinkan today, right?\How was it?\I wish the balcony had a cooler, too.\Kirinkan is a special place\for us, isn't it, Marie?\Twenty years ago,\Marie was frantically copying the display pieces. response:	She forgot to breathe and collapsed,
context: Onee-chan, you went to Kirinkan today, right?\How was it?\I wish the balcony had a cooler, too.\Kirinkan is a special place\for us, isn't it, Marie?\Twenty years ago,\Marie was frantically copying the display pieces.\She forgot to breathe and collapsed, response:	and it was Dad that came to the rescue.
context: How was it?\I wish the balcony had a cooler, too.\Kirinkan is a special place\for us, isn't it, Marie?\Twenty years ago,\Marie was frantically copying the display pieces.\She forgot to breathe and collapsed,\and it was Dad that came to the rescue. response:	I don't get it.
context: I wish the balcony had a cooler, too.\Kirinkan is a special place\for us, isn't it, Marie?\Twenty years ago,\Marie was frantically copying the display pieces.\She forgot to breathe and collapsed,\and it was Dad that came to the rescue.\I don't get it. response:	I propped her up, and when she came to, she said,
context: Kirinkan is a special place\for us, isn't it, Marie?\Twenty years ago,\Marie was frantically copying the display pieces.\She forgot to breathe and collapsed,\and it was Dad that came to the rescue.\I don't get it.\I propped her up, and when she came to, she said, response:	You climbed all those stairs for me.
context: for us, isn't it, Marie?\Twenty years ago,\Marie was frantically copying the display pieces.\She forgot to breathe and collapsed,\and it was Dad that came to the rescue.\I don't get it.\I propped her up, and when she came to, she said,\You climbed all those stairs for me. response:	So I said,
context: Twenty years ago,\Marie was frantically copying the display pieces.\She forgot to breathe and collapsed,\and it was Dad that came to the rescue.\I don't get it.\I propped her up, and when she came to, she said,\You climbed all those stairs for me.\So I said, response:	Nah, it was like going down stairs.
context: Marie was frantically copying the display pieces.\She forgot to breathe and collapsed,\and it was Dad that came to the rescue.\I don't get it.\I propped her up, and when she came to, she said,\You climbed all those stairs for me.\So I said,\Nah, it was like going down stairs. response:	Man, I'm embarrassed.
context: She forgot to breathe and collapsed,\and it was Dad that came to the rescue.\I don't get it.\I propped her up, and when she came to, she said,\You climbed all those stairs for me.\So I said,\Nah, it was like going down stairs.\Man, I'm embarrassed. response:	Mom, is that true?
context: and it was Dad that came to the rescue.\I don't get it.\I propped her up, and when she came to, she said,\You climbed all those stairs for me.\So I said,\Nah, it was like going down stairs.\Man, I'm embarrassed.\Mom, is that true? response:	Don't remember a thing.
context: I don't get it.\I propped her up, and when she came to, she said,\You climbed all those stairs for me.\So I said,\Nah, it was like going down stairs.\Man, I'm embarrassed.\Mom, is that true?\Don't remember a thing. response:	Hey, Hina-chan,
context: I propped her up, and when she came to, she said,\You climbed all those stairs for me.\So I said,\Nah, it was like going down stairs.\Man, I'm embarrassed.\Mom, is that true?\Don't remember a thing.\Hey, Hina-chan, response:	if... if you could know the future,
context: You climbed all those stairs for me.\So I said,\Nah, it was like going down stairs.\Man, I'm embarrassed.\Mom, is that true?\Don't remember a thing.\Hey, Hina-chan,\if... if you could know the future, response:	what would you do?
context: So I said,\Nah, it was like going down stairs.\Man, I'm embarrassed.\Mom, is that true?\Don't remember a thing.\Hey, Hina-chan,\if... if you could know the future,\what would you do? response:	That's so random. Well...
context: Nah, it was like going down stairs.\Man, I'm embarrassed.\Mom, is that true?\Don't remember a thing.\Hey, Hina-chan,\if... if you could know the future,\what would you do?\That's so random. Well... response:	I'd make a killing on boat races.
context: Man, I'm embarrassed.\Mom, is that true?\Don't remember a thing.\Hey, Hina-chan,\if... if you could know the future,\what would you do?\That's so random. Well...\I'd make a killing on boat races. response:	Huh?
context: Mom, is that true?\Don't remember a thing.\Hey, Hina-chan,\if... if you could know the future,\what would you do?\That's so random. Well...\I'd make a killing on boat races.\Huh? response:	Like, if you're married or whatever. That kind of stuff.
context: Don't remember a thing.\Hey, Hina-chan,\if... if you could know the future,\what would you do?\That's so random. Well...\I'd make a killing on boat races.\Huh?\Like, if you're married or whatever. That kind of stuff. response:	What would be the fun in knowing that?
context: Hey, Hina-chan,\if... if you could know the future,\what would you do?\That's so random. Well...\I'd make a killing on boat races.\Huh?\Like, if you're married or whatever. That kind of stuff.\What would be the fun in knowing that? response:	How about after you grow up, then?
context: if... if you could know the future,\what would you do?\That's so random. Well...\I'd make a killing on boat races.\Huh?\Like, if you're married or whatever. That kind of stuff.\What would be the fun in knowing that?\How about after you grow up, then? response:	She says she can't make it today.
context: what would you do?\That's so random. Well...\I'd make a killing on boat races.\Huh?\Like, if you're married or whatever. That kind of stuff.\What would be the fun in knowing that?\How about after you grow up, then?\She says she can't make it today. response:	Her lesson's taking a while.
context: That's so random. Well...\I'd make a killing on boat races.\Huh?\Like, if you're married or whatever. That kind of stuff.\What would be the fun in knowing that?\How about after you grow up, then?\She says she can't make it today.\Her lesson's taking a while. response:	How was yesterday, Sacchan?
context: I'd make a killing on boat races.\Huh?\Like, if you're married or whatever. That kind of stuff.\What would be the fun in knowing that?\How about after you grow up, then?\She says she can't make it today.\Her lesson's taking a while.\How was yesterday, Sacchan? response:	He wasn't any different from
context: Huh?\Like, if you're married or whatever. That kind of stuff.\What would be the fun in knowing that?\How about after you grow up, then?\She says she can't make it today.\Her lesson's taking a while.\How was yesterday, Sacchan?\He wasn't any different from response:	when he was here last time.
context: Like, if you're married or whatever. That kind of stuff.\What would be the fun in knowing that?\How about after you grow up, then?\She says she can't make it today.\Her lesson's taking a while.\How was yesterday, Sacchan?\He wasn't any different from\when he was here last time. response:	I think they were just talking.
context: What would be the fun in knowing that?\How about after you grow up, then?\She says she can't make it today.\Her lesson's taking a while.\How was yesterday, Sacchan?\He wasn't any different from\when he was here last time.\I think they were just talking. response:	What do you mean, you think?
context: How about after you grow up, then?\She says she can't make it today.\Her lesson's taking a while.\How was yesterday, Sacchan?\He wasn't any different from\when he was here last time.\I think they were just talking.\What do you mean, you think? response:	I left the room.
context: She says she can't make it today.\Her lesson's taking a while.\How was yesterday, Sacchan?\He wasn't any different from\when he was here last time.\I think they were just talking.\What do you mean, you think?\I left the room. response:	You left them alone together?
context: Her lesson's taking a while.\How was yesterday, Sacchan?\He wasn't any different from\when he was here last time.\I think they were just talking.\What do you mean, you think?\I left the room.\You left them alone together? response:	I'm finally here!
context: How was yesterday, Sacchan?\He wasn't any different from\when he was here last time.\I think they were just talking.\What do you mean, you think?\I left the room.\You left them alone together?\I'm finally here! response:	Huh, what's wrong?
context: He wasn't any different from\when he was here last time.\I think they were just talking.\What do you mean, you think?\I left the room.\You left them alone together?\I'm finally here!\Huh, what's wrong? response:	So as per my email,
context: when he was here last time.\I think they were just talking.\What do you mean, you think?\I left the room.\You left them alone together?\I'm finally here!\Huh, what's wrong?\So as per my email, response:	we're going hiking tomorrow.
context: I think they were just talking.\What do you mean, you think?\I left the room.\You left them alone together?\I'm finally here!\Huh, what's wrong?\So as per my email,\we're going hiking tomorrow. response:	First, about our meet-up time
context: What do you mean, you think?\I left the room.\You left them alone together?\I'm finally here!\Huh, what's wrong?\So as per my email,\we're going hiking tomorrow.\First, about our meet-up time response:	Before that, there's something I want to announce.
context: I left the room.\You left them alone together?\I'm finally here!\Huh, what's wrong?\So as per my email,\we're going hiking tomorrow.\First, about our meet-up time\Before that, there's something I want to announce. response:	Proceed.
context: You left them alone together?\I'm finally here!\Huh, what's wrong?\So as per my email,\we're going hiking tomorrow.\First, about our meet-up time\Before that, there's something I want to announce.\Proceed. response:	We're open to dating.
context: I'm finally here!\Huh, what's wrong?\So as per my email,\we're going hiking tomorrow.\First, about our meet-up time\Before that, there's something I want to announce.\Proceed.\We're open to dating. response:	We were banned from dating?
context: Huh, what's wrong?\So as per my email,\we're going hiking tomorrow.\First, about our meet-up time\Before that, there's something I want to announce.\Proceed.\We're open to dating.\We were banned from dating? response:	Yup.
context: So as per my email,\we're going hiking tomorrow.\First, about our meet-up time\Before that, there's something I want to announce.\Proceed.\We're open to dating.\We were banned from dating?\Yup. response:	But from now on
context: we're going hiking tomorrow.\First, about our meet-up time\Before that, there's something I want to announce.\Proceed.\We're open to dating.\We were banned from dating?\Yup.\But from now on response:	Hold up!
context: First, about our meet-up time\Before that, there's something I want to announce.\Proceed.\We're open to dating.\We were banned from dating?\Yup.\But from now on\Hold up! response:	Wait, never mind.
context: Before that, there's something I want to announce.\Proceed.\We're open to dating.\We were banned from dating?\Yup.\But from now on\Hold up!\Wait, never mind. response:	Yuki-kun,
context: Proceed.\We're open to dating.\We were banned from dating?\Yup.\But from now on\Hold up!\Wait, never mind.\Yuki-kun, response:	I'm ready, too!
context: We're open to dating.\We were banned from dating?\Yup.\But from now on\Hold up!\Wait, never mind.\Yuki-kun,\I'm ready, too! response:	Huh, Yanagi-san.
context: We were banned from dating?\Yup.\But from now on\Hold up!\Wait, never mind.\Yuki-kun,\I'm ready, too!\Huh, Yanagi-san. response:	Everyone left already.
context: Yup.\But from now on\Hold up!\Wait, never mind.\Yuki-kun,\I'm ready, too!\Huh, Yanagi-san.\Everyone left already. response:	Oh.
context: But from now on\Hold up!\Wait, never mind.\Yuki-kun,\I'm ready, too!\Huh, Yanagi-san.\Everyone left already.\Oh. response:	I finished early, so I thought I'd drop by.
context: Hold up!\Wait, never mind.\Yuki-kun,\I'm ready, too!\Huh, Yanagi-san.\Everyone left already.\Oh.\I finished early, so I thought I'd drop by. response:	I'm going to chill for a bit.
context: Wait, never mind.\Yuki-kun,\I'm ready, too!\Huh, Yanagi-san.\Everyone left already.\Oh.\I finished early, so I thought I'd drop by.\I'm going to chill for a bit. response:	Ask Yukinari about tomorrow.
context: Yuki-kun,\I'm ready, too!\Huh, Yanagi-san.\Everyone left already.\Oh.\I finished early, so I thought I'd drop by.\I'm going to chill for a bit.\Ask Yukinari about tomorrow. response:	Okay, thanks.
context: I'm ready, too!\Huh, Yanagi-san.\Everyone left already.\Oh.\I finished early, so I thought I'd drop by.\I'm going to chill for a bit.\Ask Yukinari about tomorrow.\Okay, thanks. response:	Your order?
context: Huh, Yanagi-san.\Everyone left already.\Oh.\I finished early, so I thought I'd drop by.\I'm going to chill for a bit.\Ask Yukinari about tomorrow.\Okay, thanks.\Your order? response:	Apple tea.
context: Everyone left already.\Oh.\I finished early, so I thought I'd drop by.\I'm going to chill for a bit.\Ask Yukinari about tomorrow.\Okay, thanks.\Your order?\Apple tea. response:	Roger.
context: Oh.\I finished early, so I thought I'd drop by.\I'm going to chill for a bit.\Ask Yukinari about tomorrow.\Okay, thanks.\Your order?\Apple tea.\Roger. response:	Oh, and an announcement from Touko-san.
context: I finished early, so I thought I'd drop by.\I'm going to chill for a bit.\Ask Yukinari about tomorrow.\Okay, thanks.\Your order?\Apple tea.\Roger.\Oh, and an announcement from Touko-san. response:	We're open to dating.
context: I'm going to chill for a bit.\Ask Yukinari about tomorrow.\Okay, thanks.\Your order?\Apple tea.\Roger.\Oh, and an announcement from Touko-san.\We're open to dating. response:	Sorry, I just remembered something.
