context: Can't decide... response:	Morning.
context: But it's not beautiful.\I think Samezuka's design incorporates a shark and a katana.\Theirs is pretty cool!\We could put a real rockhopper penguin on ours, then.\What do you think, Haru-chan?\B-Beautiful...\Huh?\Forget about buying matching uniforms for now. response:	Here!
context: I think Samezuka's design incorporates a shark and a katana.\Theirs is pretty cool!\We could put a real rockhopper penguin on ours, then.\What do you think, Haru-chan?\B-Beautiful...\Huh?\Forget about buying matching uniforms for now.\Here! response:	Is that a new training regimen?
context: Theirs is pretty cool!\We could put a real rockhopper penguin on ours, then.\What do you think, Haru-chan?\B-Beautiful...\Huh?\Forget about buying matching uniforms for now.\Here!\Is that a new training regimen? response:	Yes!
context: We could put a real rockhopper penguin on ours, then.\What do you think, Haru-chan?\B-Beautiful...\Huh?\Forget about buying matching uniforms for now.\Here!\Is that a new training regimen?\Yes! response:	I revamped the regimen to account for the fact that Rei-kun can't swim.
context: What do you think, Haru-chan?\B-Beautiful...\Huh?\Forget about buying matching uniforms for now.\Here!\Is that a new training regimen?\Yes!\I revamped the regimen to account for the fact that Rei-kun can't swim. response:	Rei-kun!
context: B-Beautiful...\Huh?\Forget about buying matching uniforms for now.\Here!\Is that a new training regimen?\Yes!\I revamped the regimen to account for the fact that Rei-kun can't swim.\Rei-kun! response:	Wh-What is it?
context: Huh?\Forget about buying matching uniforms for now.\Here!\Is that a new training regimen?\Yes!\I revamped the regimen to account for the fact that Rei-kun can't swim.\Rei-kun!\Wh-What is it? response:	Given how much time we have until the regional tournament,
context: Forget about buying matching uniforms for now.\Here!\Is that a new training regimen?\Yes!\I revamped the regimen to account for the fact that Rei-kun can't swim.\Rei-kun!\Wh-What is it?\Given how much time we have until the regional tournament, response:	you have to learn how to swim within a week.
context: Here!\Is that a new training regimen?\Yes!\I revamped the regimen to account for the fact that Rei-kun can't swim.\Rei-kun!\Wh-What is it?\Given how much time we have until the regional tournament,\you have to learn how to swim within a week. response:	Within a week?
context: Is that a new training regimen?\Yes!\I revamped the regimen to account for the fact that Rei-kun can't swim.\Rei-kun!\Wh-What is it?\Given how much time we have until the regional tournament,\you have to learn how to swim within a week.\Within a week? response:	That's conceptually impossible.
context: Yes!\I revamped the regimen to account for the fact that Rei-kun can't swim.\Rei-kun!\Wh-What is it?\Given how much time we have until the regional tournament,\you have to learn how to swim within a week.\Within a week?\That's conceptually impossible. response:	This is no laughing matter!
context: I revamped the regimen to account for the fact that Rei-kun can't swim.\Rei-kun!\Wh-What is it?\Given how much time we have until the regional tournament,\you have to learn how to swim within a week.\Within a week?\That's conceptually impossible.\This is no laughing matter! response:	Yes, ma'am!
context: Rei-kun!\Wh-What is it?\Given how much time we have until the regional tournament,\you have to learn how to swim within a week.\Within a week?\That's conceptually impossible.\This is no laughing matter!\Yes, ma'am! response:	If you fail, you won't be able to complete this training regimen!
context: Wh-What is it?\Given how much time we have until the regional tournament,\you have to learn how to swim within a week.\Within a week?\That's conceptually impossible.\This is no laughing matter!\Yes, ma'am!\If you fail, you won't be able to complete this training regimen! response:	Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.
context: Given how much time we have until the regional tournament,\you have to learn how to swim within a week.\Within a week?\That's conceptually impossible.\This is no laughing matter!\Yes, ma'am!\If you fail, you won't be able to complete this training regimen!\Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half. response:	7 days to go!
context: you have to learn how to swim within a week.\Within a week?\That's conceptually impossible.\This is no laughing matter!\Yes, ma'am!\If you fail, you won't be able to complete this training regimen!\Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.\7 days to go! response:	I'll go first.
context: Within a week?\That's conceptually impossible.\This is no laughing matter!\Yes, ma'am!\If you fail, you won't be able to complete this training regimen!\Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.\7 days to go!\I'll go first. response:	I can teach you frog style.
context: That's conceptually impossible.\This is no laughing matter!\Yes, ma'am!\If you fail, you won't be able to complete this training regimen!\Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.\7 days to go!\I'll go first.\I can teach you frog style. response:	The breaststroke.
context: This is no laughing matter!\Yes, ma'am!\If you fail, you won't be able to complete this training regimen!\Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.\7 days to go!\I'll go first.\I can teach you frog style.\The breaststroke. response:	Or breast, right?
context: Yes, ma'am!\If you fail, you won't be able to complete this training regimen!\Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.\7 days to go!\I'll go first.\I can teach you frog style.\The breaststroke.\Or breast, right? response:	You've done your homework, Rei-chan.
context: If you fail, you won't be able to complete this training regimen!\Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.\7 days to go!\I'll go first.\I can teach you frog style.\The breaststroke.\Or breast, right?\You've done your homework, Rei-chan. response:	I've learned all of the concepts.
context: Iwatobi Swim Club Training Regimen (Stage 1!) Rei-kun only: Reduce all sets by half.\7 days to go!\I'll go first.\I can teach you frog style.\The breaststroke.\Or breast, right?\You've done your homework, Rei-chan.\I've learned all of the concepts. response:	I just need to figure out how to make it work.
context: 7 days to go!\I'll go first.\I can teach you frog style.\The breaststroke.\Or breast, right?\You've done your homework, Rei-chan.\I've learned all of the concepts.\I just need to figure out how to make it work. response:	That's all.
context: I'll go first.\I can teach you frog style.\The breaststroke.\Or breast, right?\You've done your homework, Rei-chan.\I've learned all of the concepts.\I just need to figure out how to make it work.\That's all. response:	Then let's start with your legs.
context: I can teach you frog style.\The breaststroke.\Or breast, right?\You've done your homework, Rei-chan.\I've learned all of the concepts.\I just need to figure out how to make it work.\That's all.\Then let's start with your legs. response:	Wow, Rei-chan!
context: The breaststroke.\Or breast, right?\You've done your homework, Rei-chan.\I've learned all of the concepts.\I just need to figure out how to make it work.\That's all.\Then let's start with your legs.\Wow, Rei-chan! response:	Your form is perfect.
context: Or breast, right?\You've done your homework, Rei-chan.\I've learned all of the concepts.\I just need to figure out how to make it work.\That's all.\Then let's start with your legs.\Wow, Rei-chan!\Your form is perfect. response:	Naturally.
context: You've done your homework, Rei-chan.\I've learned all of the concepts.\I just need to figure out how to make it work.\That's all.\Then let's start with your legs.\Wow, Rei-chan!\Your form is perfect.\Naturally. response:	I'm going to let go, then.
context: I've learned all of the concepts.\I just need to figure out how to make it work.\That's all.\Then let's start with your legs.\Wow, Rei-chan!\Your form is perfect.\Naturally.\I'm going to let go, then. response:	Go ahead.
context: I just need to figure out how to make it work.\That's all.\Then let's start with your legs.\Wow, Rei-chan!\Your form is perfect.\Naturally.\I'm going to let go, then.\Go ahead. response:	Wow, your stroke is also perfect
context: That's all.\Then let's start with your legs.\Wow, Rei-chan!\Your form is perfect.\Naturally.\I'm going to let go, then.\Go ahead.\Wow, your stroke is also perfect response:	Huh?
context: Then let's start with your legs.\Wow, Rei-chan!\Your form is perfect.\Naturally.\I'm going to let go, then.\Go ahead.\Wow, your stroke is also perfect\Huh? response:	Why?
context: Wow, Rei-chan!\Your form is perfect.\Naturally.\I'm going to let go, then.\Go ahead.\Wow, your stroke is also perfect\Huh?\Why? response:	6 more days!
context: Your form is perfect.\Naturally.\I'm going to let go, then.\Go ahead.\Wow, your stroke is also perfect\Huh?\Why?\6 more days! response:	I'm up next.
context: Naturally.\I'm going to let go, then.\Go ahead.\Wow, your stroke is also perfect\Huh?\Why?\6 more days!\I'm up next. response:	If you're having trouble with breast, we can start with back.
context: I'm going to let go, then.\Go ahead.\Wow, your stroke is also perfect\Huh?\Why?\6 more days!\I'm up next.\If you're having trouble with breast, we can start with back. response:	With the backstroke, you keep your face above the surface,
context: Go ahead.\Wow, your stroke is also perfect\Huh?\Why?\6 more days!\I'm up next.\If you're having trouble with breast, we can start with back.\With the backstroke, you keep your face above the surface, response:	so it's easier for people who are scared of water.
context: Wow, your stroke is also perfect\Huh?\Why?\6 more days!\I'm up next.\If you're having trouble with breast, we can start with back.\With the backstroke, you keep your face above the surface,\so it's easier for people who are scared of water. response:	I'm not scared of water.
context: Huh?\Why?\6 more days!\I'm up next.\If you're having trouble with breast, we can start with back.\With the backstroke, you keep your face above the surface,\so it's easier for people who are scared of water.\I'm not scared of water. response:	Move slowly.
context: Why?\6 more days!\I'm up next.\If you're having trouble with breast, we can start with back.\With the backstroke, you keep your face above the surface,\so it's easier for people who are scared of water.\I'm not scared of water.\Move slowly. response:	That's it.
context: 6 more days!\I'm up next.\If you're having trouble with breast, we can start with back.\With the backstroke, you keep your face above the surface,\so it's easier for people who are scared of water.\I'm not scared of water.\Move slowly.\That's it. response:	He knows how to float.
context: I'm up next.\If you're having trouble with breast, we can start with back.\With the backstroke, you keep your face above the surface,\so it's easier for people who are scared of water.\I'm not scared of water.\Move slowly.\That's it.\He knows how to float. response:	Naturally.
context: If you're having trouble with breast, we can start with back.\With the backstroke, you keep your face above the surface,\so it's easier for people who are scared of water.\I'm not scared of water.\Move slowly.\That's it.\He knows how to float.\Naturally. response:	My condition wasn't optimal yesterday.
context: With the backstroke, you keep your face above the surface,\so it's easier for people who are scared of water.\I'm not scared of water.\Move slowly.\That's it.\He knows how to float.\Naturally.\My condition wasn't optimal yesterday. response:	I'm gonna let go, then.
context: so it's easier for people who are scared of water.\I'm not scared of water.\Move slowly.\That's it.\He knows how to float.\Naturally.\My condition wasn't optimal yesterday.\I'm gonna let go, then. response:	Go ahead.
context: I'm not scared of water.\Move slowly.\That's it.\He knows how to float.\Naturally.\My condition wasn't optimal yesterday.\I'm gonna let go, then.\Go ahead. response:	What am I doing wrong?
context: Move slowly.\That's it.\He knows how to float.\Naturally.\My condition wasn't optimal yesterday.\I'm gonna let go, then.\Go ahead.\What am I doing wrong? response:	This is hopeless.
context: That's it.\He knows how to float.\Naturally.\My condition wasn't optimal yesterday.\I'm gonna let go, then.\Go ahead.\What am I doing wrong?\This is hopeless. response:	Haru-chan, teach him how to swim!
context: He knows how to float.\Naturally.\My condition wasn't optimal yesterday.\I'm gonna let go, then.\Go ahead.\What am I doing wrong?\This is hopeless.\Haru-chan, teach him how to swim! response:	No, that requires effort.
context: Naturally.\My condition wasn't optimal yesterday.\I'm gonna let go, then.\Go ahead.\What am I doing wrong?\This is hopeless.\Haru-chan, teach him how to swim!\No, that requires effort. response:	Man, don't be that way!
context: My condition wasn't optimal yesterday.\I'm gonna let go, then.\Go ahead.\What am I doing wrong?\This is hopeless.\Haru-chan, teach him how to swim!\No, that requires effort.\Man, don't be that way! response:	This isn't looking good...
context: I'm gonna let go, then.\Go ahead.\What am I doing wrong?\This is hopeless.\Haru-chan, teach him how to swim!\No, that requires effort.\Man, don't be that way!\This isn't looking good... response:	Come on!
context: Go ahead.\What am I doing wrong?\This is hopeless.\Haru-chan, teach him how to swim!\No, that requires effort.\Man, don't be that way!\This isn't looking good...\Come on! response:	That's it!
context: What am I doing wrong?\This is hopeless.\Haru-chan, teach him how to swim!\No, that requires effort.\Man, don't be that way!\This isn't looking good...\Come on!\That's it! response:	Miss Ama-chan, do you have any excellent advice to offer us?
context: This is hopeless.\Haru-chan, teach him how to swim!\No, that requires effort.\Man, don't be that way!\This isn't looking good...\Come on!\That's it!\Miss Ama-chan, do you have any excellent advice to offer us? response:	Let's see...
context: Haru-chan, teach him how to swim!\No, that requires effort.\Man, don't be that way!\This isn't looking good...\Come on!\That's it!\Miss Ama-chan, do you have any excellent advice to offer us?\Let's see... response:	5 more days!!
context: No, that requires effort.\Man, don't be that way!\This isn't looking good...\Come on!\That's it!\Miss Ama-chan, do you have any excellent advice to offer us?\Let's see...\5 more days!! response:	Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.
context: Man, don't be that way!\This isn't looking good...\Come on!\That's it!\Miss Ama-chan, do you have any excellent advice to offer us?\Let's see...\5 more days!!\Okay, let's begin the Let's figure out why Rei-chan can't swim meeting. response:	Anybody have any thoughts?
context: This isn't looking good...\Come on!\That's it!\Miss Ama-chan, do you have any excellent advice to offer us?\Let's see...\5 more days!!\Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.\Anybody have any thoughts? response:	The water doesn't like him.
context: Come on!\That's it!\Miss Ama-chan, do you have any excellent advice to offer us?\Let's see...\5 more days!!\Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.\Anybody have any thoughts?\The water doesn't like him. response:	Poor Rei-chan...
context: That's it!\Miss Ama-chan, do you have any excellent advice to offer us?\Let's see...\5 more days!!\Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.\Anybody have any thoughts?\The water doesn't like him.\Poor Rei-chan... response:	That can't be it.
context: Miss Ama-chan, do you have any excellent advice to offer us?\Let's see...\5 more days!!\Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.\Anybody have any thoughts?\The water doesn't like him.\Poor Rei-chan...\That can't be it. response:	Maybe he's athletically challenged!
context: Let's see...\5 more days!!\Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.\Anybody have any thoughts?\The water doesn't like him.\Poor Rei-chan...\That can't be it.\Maybe he's athletically challenged! response:	Rei-chan's really fast.
context: 5 more days!!\Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.\Anybody have any thoughts?\The water doesn't like him.\Poor Rei-chan...\That can't be it.\Maybe he's athletically challenged!\Rei-chan's really fast. response:	And he does well on tests.
context: Okay, let's begin the Let's figure out why Rei-chan can't swim meeting.\Anybody have any thoughts?\The water doesn't like him.\Poor Rei-chan...\That can't be it.\Maybe he's athletically challenged!\Rei-chan's really fast.\And he does well on tests. response:	So you must be smart.
context: Anybody have any thoughts?\The water doesn't like him.\Poor Rei-chan...\That can't be it.\Maybe he's athletically challenged!\Rei-chan's really fast.\And he does well on tests.\So you must be smart. response:	Do you like mackerel?
context: The water doesn't like him.\Poor Rei-chan...\That can't be it.\Maybe he's athletically challenged!\Rei-chan's really fast.\And he does well on tests.\So you must be smart.\Do you like mackerel? response:	DHA...
context: Poor Rei-chan...\That can't be it.\Maybe he's athletically challenged!\Rei-chan's really fast.\And he does well on tests.\So you must be smart.\Do you like mackerel?\DHA... response:	I know! His head is too heavy!
context: That can't be it.\Maybe he's athletically challenged!\Rei-chan's really fast.\And he does well on tests.\So you must be smart.\Do you like mackerel?\DHA...\I know! His head is too heavy! response:	All that studying has enlarged his brain!
context: Maybe he's athletically challenged!\Rei-chan's really fast.\And he does well on tests.\So you must be smart.\Do you like mackerel?\DHA...\I know! His head is too heavy!\All that studying has enlarged his brain! response:	That's enough!
context: Rei-chan's really fast.\And he does well on tests.\So you must be smart.\Do you like mackerel?\DHA...\I know! His head is too heavy!\All that studying has enlarged his brain!\That's enough! response:	The problem is the way you guys teach!
context: And he does well on tests.\So you must be smart.\Do you like mackerel?\DHA...\I know! His head is too heavy!\All that studying has enlarged his brain!\That's enough!\The problem is the way you guys teach! response:	If I had a proper coach, I would be fine!
context: So you must be smart.\Do you like mackerel?\DHA...\I know! His head is too heavy!\All that studying has enlarged his brain!\That's enough!\The problem is the way you guys teach!\If I had a proper coach, I would be fine! response:	A coach...
context: Do you like mackerel?\DHA...\I know! His head is too heavy!\All that studying has enlarged his brain!\That's enough!\The problem is the way you guys teach!\If I had a proper coach, I would be fine!\A coach... response:	There is a coach!
context: DHA...\I know! His head is too heavy!\All that studying has enlarged his brain!\That's enough!\The problem is the way you guys teach!\If I had a proper coach, I would be fine!\A coach...\There is a coach! response:	What?
context: I know! His head is too heavy!\All that studying has enlarged his brain!\That's enough!\The problem is the way you guys teach!\If I had a proper coach, I would be fine!\A coach...\There is a coach!\What? response:	You want me to teach a kid who sinks like a rock?
context: All that studying has enlarged his brain!\That's enough!\The problem is the way you guys teach!\If I had a proper coach, I would be fine!\A coach...\There is a coach!\What?\You want me to teach a kid who sinks like a rock? response:	Because I used to be a coach?
context: That's enough!\The problem is the way you guys teach!\If I had a proper coach, I would be fine!\A coach...\There is a coach!\What?\You want me to teach a kid who sinks like a rock?\Because I used to be a coach? response:	I object.
context: The problem is the way you guys teach!\If I had a proper coach, I would be fine!\A coach...\There is a coach!\What?\You want me to teach a kid who sinks like a rock?\Because I used to be a coach?\I object. response:	I can float, so I do not sink like a rock.
context: If I had a proper coach, I would be fine!\A coach...\There is a coach!\What?\You want me to teach a kid who sinks like a rock?\Because I used to be a coach?\I object.\I can float, so I do not sink like a rock. response:	A more accurate analogy would be to call me a submarine.
context: A coach...\There is a coach!\What?\You want me to teach a kid who sinks like a rock?\Because I used to be a coach?\I object.\I can float, so I do not sink like a rock.\A more accurate analogy would be to call me a submarine. response:	Hey, Goro-chan, we want you to teach him how to swim.
context: There is a coach!\What?\You want me to teach a kid who sinks like a rock?\Because I used to be a coach?\I object.\I can float, so I do not sink like a rock.\A more accurate analogy would be to call me a submarine.\Hey, Goro-chan, we want you to teach him how to swim. response:	Don't talk and eat at the same time!
context: What?\You want me to teach a kid who sinks like a rock?\Because I used to be a coach?\I object.\I can float, so I do not sink like a rock.\A more accurate analogy would be to call me a submarine.\Hey, Goro-chan, we want you to teach him how to swim.\Don't talk and eat at the same time! response:	I'm a busy man.
context: You want me to teach a kid who sinks like a rock?\Because I used to be a coach?\I object.\I can float, so I do not sink like a rock.\A more accurate analogy would be to call me a submarine.\Hey, Goro-chan, we want you to teach him how to swim.\Don't talk and eat at the same time!\I'm a busy man. response:	Why don't you guys teach him?
context: Because I used to be a coach?\I object.\I can float, so I do not sink like a rock.\A more accurate analogy would be to call me a submarine.\Hey, Goro-chan, we want you to teach him how to swim.\Don't talk and eat at the same time!\I'm a busy man.\Why don't you guys teach him? response:	Bye.
context: I object.\I can float, so I do not sink like a rock.\A more accurate analogy would be to call me a submarine.\Hey, Goro-chan, we want you to teach him how to swim.\Don't talk and eat at the same time!\I'm a busy man.\Why don't you guys teach him?\Bye. response:	Didn't work.
context: I can float, so I do not sink like a rock.\A more accurate analogy would be to call me a submarine.\Hey, Goro-chan, we want you to teach him how to swim.\Don't talk and eat at the same time!\I'm a busy man.\Why don't you guys teach him?\Bye.\Didn't work. response:	4 more days!!
context: A more accurate analogy would be to call me a submarine.\Hey, Goro-chan, we want you to teach him how to swim.\Don't talk and eat at the same time!\I'm a busy man.\Why don't you guys teach him?\Bye.\Didn't work.\4 more days!! response:	I finally know the reason
context: Hey, Goro-chan, we want you to teach him how to swim.\Don't talk and eat at the same time!\I'm a busy man.\Why don't you guys teach him?\Bye.\Didn't work.\4 more days!!\I finally know the reason response:	why I can't swim!
context: Don't talk and eat at the same time!\I'm a busy man.\Why don't you guys teach him?\Bye.\Didn't work.\4 more days!!\I finally know the reason\why I can't swim! response:	Really?
context: I'm a busy man.\Why don't you guys teach him?\Bye.\Didn't work.\4 more days!!\I finally know the reason\why I can't swim!\Really? response:	You figured it out?
context: Why don't you guys teach him?\Bye.\Didn't work.\4 more days!!\I finally know the reason\why I can't swim!\Really?\You figured it out? response:	Yes, the answer was right under my nose.
context: Bye.\Didn't work.\4 more days!!\I finally know the reason\why I can't swim!\Really?\You figured it out?\Yes, the answer was right under my nose. response:	The answer is...
context: Didn't work.\4 more days!!\I finally know the reason\why I can't swim!\Really?\You figured it out?\Yes, the answer was right under my nose.\The answer is... response:	The answer is?
context: 4 more days!!\I finally know the reason\why I can't swim!\Really?\You figured it out?\Yes, the answer was right under my nose.\The answer is...\The answer is? response:	My
context: I finally know the reason\why I can't swim!\Really?\You figured it out?\Yes, the answer was right under my nose.\The answer is...\The answer is?\My response:	swimsuit!
context: why I can't swim!\Really?\You figured it out?\Yes, the answer was right under my nose.\The answer is...\The answer is?\My\swimsuit! response:	This speedo is to blame!
context: Really?\You figured it out?\Yes, the answer was right under my nose.\The answer is...\The answer is?\My\swimsuit!\This speedo is to blame! response:	I let you borrow that, right?
context: You figured it out?\Yes, the answer was right under my nose.\The answer is...\The answer is?\My\swimsuit!\This speedo is to blame!\I let you borrow that, right? response:	That's kinda mean.
context: Yes, the answer was right under my nose.\The answer is...\The answer is?\My\swimsuit!\This speedo is to blame!\I let you borrow that, right?\That's kinda mean. response:	It is not mean!
context: The answer is...\The answer is?\My\swimsuit!\This speedo is to blame!\I let you borrow that, right?\That's kinda mean.\It is not mean! response:	The problem is that this speedo is not streamlined for my body, I think!
context: The answer is?\My\swimsuit!\This speedo is to blame!\I let you borrow that, right?\That's kinda mean.\It is not mean!\The problem is that this speedo is not streamlined for my body, I think! response:	I haven't crunched the numbers yet!
context: My\swimsuit!\This speedo is to blame!\I let you borrow that, right?\That's kinda mean.\It is not mean!\The problem is that this speedo is not streamlined for my body, I think!\I haven't crunched the numbers yet! response:	He's really big on sticking to form.
context: swimsuit!\This speedo is to blame!\I let you borrow that, right?\That's kinda mean.\It is not mean!\The problem is that this speedo is not streamlined for my body, I think!\I haven't crunched the numbers yet!\He's really big on sticking to form. response:	Well, I don't see why he can't
context: This speedo is to blame!\I let you borrow that, right?\That's kinda mean.\It is not mean!\The problem is that this speedo is not streamlined for my body, I think!\I haven't crunched the numbers yet!\He's really big on sticking to form.\Well, I don't see why he can't response:	buy a new swimsuit.
context: I let you borrow that, right?\That's kinda mean.\It is not mean!\The problem is that this speedo is not streamlined for my body, I think!\I haven't crunched the numbers yet!\He's really big on sticking to form.\Well, I don't see why he can't\buy a new swimsuit. response:	3 days left!!
context: That's kinda mean.\It is not mean!\The problem is that this speedo is not streamlined for my body, I think!\I haven't crunched the numbers yet!\He's really big on sticking to form.\Well, I don't see why he can't\buy a new swimsuit.\3 days left!! response:	So why didn't Miss Ama-chan come with us to buy his swimsuit?
context: It is not mean!\The problem is that this speedo is not streamlined for my body, I think!\I haven't crunched the numbers yet!\He's really big on sticking to form.\Well, I don't see why he can't\buy a new swimsuit.\3 days left!!\So why didn't Miss Ama-chan come with us to buy his swimsuit? response:	She worked for a swimsuit maker in Tokyo, right?
context: The problem is that this speedo is not streamlined for my body, I think!\I haven't crunched the numbers yet!\He's really big on sticking to form.\Well, I don't see why he can't\buy a new swimsuit.\3 days left!!\So why didn't Miss Ama-chan come with us to buy his swimsuit?\She worked for a swimsuit maker in Tokyo, right? response:	Well, I did ask her, but...
context: I haven't crunched the numbers yet!\He's really big on sticking to form.\Well, I don't see why he can't\buy a new swimsuit.\3 days left!!\So why didn't Miss Ama-chan come with us to buy his swimsuit?\She worked for a swimsuit maker in Tokyo, right?\Well, I did ask her, but... response:	Um, I have something else to do on Sunday.
context: He's really big on sticking to form.\Well, I don't see why he can't\buy a new swimsuit.\3 days left!!\So why didn't Miss Ama-chan come with us to buy his swimsuit?\She worked for a swimsuit maker in Tokyo, right?\Well, I did ask her, but...\Um, I have something else to do on Sunday. response:	Plus, there are other brands!
context: Well, I don't see why he can't\buy a new swimsuit.\3 days left!!\So why didn't Miss Ama-chan come with us to buy his swimsuit?\She worked for a swimsuit maker in Tokyo, right?\Well, I did ask her, but...\Um, I have something else to do on Sunday.\Plus, there are other brands! response:	I have my reasons.
context: buy a new swimsuit.\3 days left!!\So why didn't Miss Ama-chan come with us to buy his swimsuit?\She worked for a swimsuit maker in Tokyo, right?\Well, I did ask her, but...\Um, I have something else to do on Sunday.\Plus, there are other brands!\I have my reasons. response:	I won't be able to provide an objective perspective.
context: 3 days left!!\So why didn't Miss Ama-chan come with us to buy his swimsuit?\She worked for a swimsuit maker in Tokyo, right?\Well, I did ask her, but...\Um, I have something else to do on Sunday.\Plus, there are other brands!\I have my reasons.\I won't be able to provide an objective perspective. response:	What's with the flurry of random excuses?
context: So why didn't Miss Ama-chan come with us to buy his swimsuit?\She worked for a swimsuit maker in Tokyo, right?\Well, I did ask her, but...\Um, I have something else to do on Sunday.\Plus, there are other brands!\I have my reasons.\I won't be able to provide an objective perspective.\What's with the flurry of random excuses? response:	There are a lot to choose from.
context: She worked for a swimsuit maker in Tokyo, right?\Well, I did ask her, but...\Um, I have something else to do on Sunday.\Plus, there are other brands!\I have my reasons.\I won't be able to provide an objective perspective.\What's with the flurry of random excuses?\There are a lot to choose from. response:	Fluid mechanics would tell you that
context: Well, I did ask her, but...\Um, I have something else to do on Sunday.\Plus, there are other brands!\I have my reasons.\I won't be able to provide an objective perspective.\What's with the flurry of random excuses?\There are a lot to choose from.\Fluid mechanics would tell you that response:	Reynolds numbers and boundary layer theory are the key points,
context: Um, I have something else to do on Sunday.\Plus, there are other brands!\I have my reasons.\I won't be able to provide an objective perspective.\What's with the flurry of random excuses?\There are a lot to choose from.\Fluid mechanics would tell you that\Reynolds numbers and boundary layer theory are the key points, response:	but I believe that the color also plays a psychological role.
context: Plus, there are other brands!\I have my reasons.\I won't be able to provide an objective perspective.\What's with the flurry of random excuses?\There are a lot to choose from.\Fluid mechanics would tell you that\Reynolds numbers and boundary layer theory are the key points,\but I believe that the color also plays a psychological role. response:	I'll also need prescription goggles.
context: I have my reasons.\I won't be able to provide an objective perspective.\What's with the flurry of random excuses?\There are a lot to choose from.\Fluid mechanics would tell you that\Reynolds numbers and boundary layer theory are the key points,\but I believe that the color also plays a psychological role.\I'll also need prescription goggles. response:	Prescription
context: I won't be able to provide an objective perspective.\What's with the flurry of random excuses?\There are a lot to choose from.\Fluid mechanics would tell you that\Reynolds numbers and boundary layer theory are the key points,\but I believe that the color also plays a psychological role.\I'll also need prescription goggles.\Prescription response:	Blurry vision may be another reason for my difficulties.
context: What's with the flurry of random excuses?\There are a lot to choose from.\Fluid mechanics would tell you that\Reynolds numbers and boundary layer theory are the key points,\but I believe that the color also plays a psychological role.\I'll also need prescription goggles.\Prescription\Blurry vision may be another reason for my difficulties. response:	You can't see without your glasses?
context: There are a lot to choose from.\Fluid mechanics would tell you that\Reynolds numbers and boundary layer theory are the key points,\but I believe that the color also plays a psychological role.\I'll also need prescription goggles.\Prescription\Blurry vision may be another reason for my difficulties.\You can't see without your glasses? response:	Wait!
context: Fluid mechanics would tell you that\Reynolds numbers and boundary layer theory are the key points,\but I believe that the color also plays a psychological role.\I'll also need prescription goggles.\Prescription\Blurry vision may be another reason for my difficulties.\You can't see without your glasses?\Wait! response:	I haven't learned any of the concepts!
context: Reynolds numbers and boundary layer theory are the key points,\but I believe that the color also plays a psychological role.\I'll also need prescription goggles.\Prescription\Blurry vision may be another reason for my difficulties.\You can't see without your glasses?\Wait!\I haven't learned any of the concepts! response:	Hey, Nagisa-kun!
context: but I believe that the color also plays a psychological role.\I'll also need prescription goggles.\Prescription\Blurry vision may be another reason for my difficulties.\You can't see without your glasses?\Wait!\I haven't learned any of the concepts!\Hey, Nagisa-kun! response:	Give them back!
context: I'll also need prescription goggles.\Prescription\Blurry vision may be another reason for my difficulties.\You can't see without your glasses?\Wait!\I haven't learned any of the concepts!\Hey, Nagisa-kun!\Give them back! response:	You're going to hurt your eyes!
context: Prescription\Blurry vision may be another reason for my difficulties.\You can't see without your glasses?\Wait!\I haven't learned any of the concepts!\Hey, Nagisa-kun!\Give them back!\You're going to hurt your eyes! response:	Give them back!
context: Blurry vision may be another reason for my difficulties.\You can't see without your glasses?\Wait!\I haven't learned any of the concepts!\Hey, Nagisa-kun!\Give them back!\You're going to hurt your eyes!\Give them back! response:	I'm going to try this on.
context: You can't see without your glasses?\Wait!\I haven't learned any of the concepts!\Hey, Nagisa-kun!\Give them back!\You're going to hurt your eyes!\Give them back!\I'm going to try this on. response:	Oh, Haruka-senpai is also looking to buy a swimsuit.
context: Wait!\I haven't learned any of the concepts!\Hey, Nagisa-kun!\Give them back!\You're going to hurt your eyes!\Give them back!\I'm going to try this on.\Oh, Haruka-senpai is also looking to buy a swimsuit. response:	Are you finished changing?
context: I haven't learned any of the concepts!\Hey, Nagisa-kun!\Give them back!\You're going to hurt your eyes!\Give them back!\I'm going to try this on.\Oh, Haruka-senpai is also looking to buy a swimsuit.\Are you finished changing? response:	It's clear that this fits me much better than a speedo.
